schnellen	ràpid
kunsthalle	kunsthalle
grundlegende	bàsic
grundlegende	bàsics
grundlegende	bàsiques
grundlegende	basic
rüdiger	rüdiger
professoren	catedràtics
professoren	professores
geschmack	gust
geschmack	sabor
geschmack	sabor
porto	franqueig
porto	porto
porto	oporto
konzentration	concentracions
konzentration	concentració
interviews	entrevistes
ansprüche	reclamacions
ansprüche	pretensions
wiedervereinigung	reunificació
wiedervereinigung	retrobament
kabel	cables
kabel	cable
bemüht	endeavour
berner	berna
berner	berner
keramik	ceràmica
keramik	ceràmica
bismarck	bismarck
monika	mònica
monika	monica
monika	monika
flensburg	flensburg
pakistan	pakistan
grant	didac
grant	grant
grant	subvenció
angemeldet	notificat
angemeldet	notificada
brasilianischen	brasiler
löwe	lleó
löwe	lions
löwe	lleons
löwe	leo
gerechtfertigt	justificat
gerechtfertigt	justificats
gerechtfertigt	justificada
gerechtfertigt	justificades
gerechtfertigt	justificable
pädagogik	pedagogia
melodie	melodia
melodie	melody
melodie	sintonia
canadian	canadenc
beratung	assessorament
beratung	consulting
beratung	consultoria
beratung	consultoria
bäumen	arbrat
bäumen	arbres
boeing	boeing
externe	externs
externe	extern
externe	externa
orientierung	orientació
prinzen	prínceps
prinzen	princes
prinzen	príncep
prinzen	prince
mängel	deficiències
mängel	deficiències
mängel	mancances
mängel	defectes
medal	medalla
portrait	retrat
challenge	challenge
challenge	repte
challenge	desafiament
werten	valors
elektronischen	electronic
fachzeitschrift	journal
fachzeitschrift	diari
salvador	salvador
saarland	saarland
saarland	saar
untergang	doom
rache	venjança
rache	venjança
dutzend	dotzenes
egon	egon
utrecht	utrecht
kategorisierung	categorització
control	control
vorwürfe	acusacions
tiger	tiger
tiger	tigre
tiger	tigres
päpstlichen	pontifícia
finanziell	financerament
finanziell	financer
finanziell	financera
beamter	official
beamter	funcionaris
beamter	oficial
allgemeines	general
lichtenberg	lichtenberg
wang	wang
liverpool	liverpool
ringer	lluita
identifiziert	identifica
identifiziert	identificat
identifiziert	identificada
identifiziert	identificats
behauptungen	reclamacions
behauptungen	pretensions
behauptungen	declaracions
gerecht	fira
gerecht	equitatiu
gerecht	equitativa
roll	rotllo
roll	roll
roll	rotlle
broadway	broadway
zerstörte	destruït
zerstörte	destruïda
materie	matèria
jason	jason
jason	jàson
alaska	alaska
lies	llegit
lies	llegir
soul	ànima
schaut	mira
schaut	look
naturwissenschaften	ciència
naturwissenschaften	ciències
barocke	barroca
barocke	barroc
vermitteln	comunicant
vermitteln	mediar
matthew	matthew
matthew	mateu
argentinischer	argentina
argentinischer	argentí
positiven	positiu
positiven	positiva
positiven	positius
dunkle	fosc
floh	puça
floh	fugit
helene	helene
helene	helen
relief	socors
relief	relleu
vogt	vogt
angela	àngela
angela	angela
margarete	margaret
margarete	margarete
deutet	indica
syn	syn
ruprecht	rupert
ruprecht	ruprecht
religionen	religions
religionen	religiós
religionen	religió
mitwirkung	implicació
mitwirkung	participació
romanische	romànic
freigegeben	estrenat
freigegeben	estrenats
freigegeben	liquidats
head	head
head	capçal
leonard	leonard
disney	disney
helm	casc
ruinen	ruïnes
entscheidenden	decisiu
orientierte	orientat
offenbach	offenbach
sky	cel
sky	sky
afrikanischen	africà
afrikanischen	african
köhler	köhler
zeitalter	edats
zeitalter	era
externen	externs
externen	extern
externen	externa
vision	visió
auswertung	interpretació
auswertung	avaluació
auswertung	anàlisi
jorge	jorge
kilogramm	quilograms
kilogramm	quilogram
kilogramm	quilo
kilogramm	kilo
rumänischer	romanès
messung	mesura
messung	mesurament
schwert	blade
schwert	espases
schwert	espasa
elsass	alsàcia
schlagen	beat
schlagen	batecs
phoenix	fènix
phoenix	phoenix
eisenach	eisenach
inszenierung	escenificació
glaubens	fe
gewerkschaft	union
gewerkschaft	unió
gewerkschaft	sindicatura
gewerkschaft	unions
touristen	turistes
touristen	turista
geschwister	germà
oregon	oregon
christina	christina
normen	estàndards
ansässig	resident
erkrankungen	malalties
erkrankungen	trastorns
agentur	agència
agentur	emea
iwan	ivan
schreiber	escriba
schreiber	schreiber
blüte	blossom
blüte	flor
blüte	bloom
punk	punk
ausländische	exteriors
dell	dell
digitalen	digital
joan	joan
bremerhaven	bremerhaven
tabellen	quadres
tabellen	taules
überprüft	comprovat
überprüft	verificat
wahlperiode	legislatura
einladung	convida
einladung	invitació
stadtverwaltung	municipi
stadtverwaltung	municipal
stadtverwaltung	municipals
legislaturperiode	legislatura
slowenien	eslovènia
disziplinen	disciplina
disziplinen	disciplines
finnischer	finès
ausländischen	exteriors
gesungen	cant
gesungen	cantant
gesungen	cantada
gesungen	cantat
jerry	jerry
türken	turcs
hawaii	hawaii
zeitweilig	transitòriament
zeitweilig	temporalment
zeitweilig	temporal
jules	jules
jährlichen	anual
jährlichen	anuals
akademische	acadèmica
akademische	acadèmic
mine	mina
fachhochschule	politècnica
überleben	sobreviure
überleben	supervivència
überleben	sobreviure
école	école
stimmung	humor
stimmung	tuning
anpassung	ajustos
anpassung	ajustaments
anpassung	ajust
anpassung	ajustament
anpassung	adaptació
anpassung	personalització
flach	plànols
flach	bemoll
flach	plana
flach	superficial
entwickler	desenvolupadors
entwickler	desenvolupador
schwedisch	suec
kostenlos	freeware
kostenlos	lliure
kostenlos	gratuït
kostenlos	lliures
under	arres
individuen	particulars
tausende	milers
anwesenheit	assiduïtat
anwesenheit	presència
liedern	cançons
liedern	songs
freude	delícia
freude	alegria
freude	felicitat
freude	plaer
rotterdam	rotterdam
unterzeichnete	signat
unterzeichnete	firmat
effekte	efectes
effekte	efecte
gletscher	glacera
gletscher	glaceres
indische	indi
offs	offs
bekämpfung	combat
erzähler	narrador
operationen	operacions
operationen	cirurgia
operationen	cirurgies
haute	haute
homburg	homburg
montana	montana
kontinuierlich	ininterrompudament
kontinuierlich	continu
kontinuierlich	contínuament
wayne	wayne
gleise	plataformes
gleise	vies
gleise	peces
gleise	pistes
dessau	dessau
erobert	conquerit
erobert	conquestes
erobert	conquerir
verwundet	ferits
klöster	monestir
klöster	monestirs
anfänge	inicis
kaiserin	emperadriu
meier	meier
morris	morris
gertrud	gertrude
gertrud	gertrudis
gertrud	gertrud
malte	pintat
hitlers	hitler
pkw	cars
pkw	cotxes
pkw	automòbils
pkw	cotxe
größen	talles
größen	mides
dnb	dnb
öffnung	obertura
öffnung	obertura
petra	petra
lateinisch	llatí
geschlossene	delimitada
geschlossene	tancat
betreuung	suport
betreuung	tutoria
betreuung	supervisió
lebensmittel	menjar
lebensmittel	alimentació
lebensmittel	aliments
lebensmittel	comestibles
objektiv	lens
objektiv	lent
objektiv	lents
objektiv	objectivament
personenverkehr	passatger
geometrie	geometria
geometrie	geomètric
geometrie	geomètrica
bosnien	bòsnia
now	ara
zerstörer	destructor
wright	wright
sergei	serguei
bonner	bonner
wohnsitz	resident
wohnsitz	residència
alpha	alpha
alpha	alfa
studiert	estudiat
richtungen	indicacions
richtungen	direccions
schnee	neu
schnee	snow
gerald	gerald
angel	angel
angel	àngel
vorgeschichte	prehistòria
vorgeschichte	antecedents
vorgeschichte	fons
hartmut	doreen
hartmut	hartmut
funk	funk
herrmann	herrmann
troll	troll
troll	trolls
mythos	mite
schumacher	schumacher
schmalen	estret
schmalen	slim
stausee	presa
stausee	llac
stausee	embassament
stausee	jaciment
tenor	tenor
befehlshaber	comandants
befehlshaber	comandant
hochladen	pujant
sin	pecat
begangen	comès
ansätze	plantejaments
designer	dissenyadors
designer	dissenyador
wirft	projecta
wirft	acusa
wirft	planteja
möge	maig
verstand	seny
verstand	ment
verstand	ments
verstand	minds
türen	gates
türen	portes
valentin	valentin
valentin	valentín
valentin	valentine
begegnungen	trobades
begegnungen	encontre
brandt	brandt
oklahoma	oklahoma
gerettet	rescatat
gerettet	rescatats
gerettet	desat
gerettet	salvat
ignoriert	ignora
ignoriert	ignoren
ignoriert	ignorat
ignoriert	ignorats
überwachung	monitoratge
überwachung	monitor
überwachung	supervisió
überwachung	vigilància
achter	vuitè
achter	vuitena
achter	vuits
chinesisch	xinès
chinesisch	xinesos
gerechtigkeit	justicia
gerechtigkeit	justícia
gerechtigkeit	equitat
folglich	conseqüentment
folglich	consegüentment
bett	llits
bett	llit
vorarlberg	vorarlberg
verlangen	desig
verlangen	exigeixen
verlangen	requereixen
verlangen	exigent
verlangen	ànsies
schreibe	escriu
schreibe	escrivint
schreibe	escriptura
angemessen	apropiat
angemessen	correspongui
angemessen	adequada
angemessen	raonable
angemessen	raonables
dynamo	dinamo
drehen	gir
drehen	girar
drehen	gira
drehen	convertint
drehen	rotatius
drehen	torn
angeben	indicar
angeben	demostracions
angeben	especifica
angeben	especificar
dazwischen	entre
venezuela	veneçuela
experiment	experiment
astronom	astrònoms
astronom	astrònom
reinbek	reinbek
nina	nina
theoretische	teòrica
theoretische	teòric
ingrid	íngrid
ingrid	ingrid
industriellen	industrials
industriellen	industrial
krüger	kruger
krüger	krüger
krüger	krueger
gerichtet	dirigit
gerichtet	dirigida
gerichtet	jutjats
rechtswissenschaft	llei
rechtswissenschaft	jurisprudència
umwandlung	conversió
umwandlung	convertint
umwandlung	transformació
umwandlung	transformada
umwandlung	transformar
umwandlung	transforma
rosenberg	rosenberg
chaos	caos
xaver	xaver
xaver	xavier
ansiedlung	assentament
zoo	zoològic
zoo	zoo
gestiftet	donats
gestiftet	donara
gestiftet	dotat
bezahlt	paga
bezahlt	pagat
bezahlt	retribuïts
bezahlt	pagats
cornelius	corneli
bobby	bobby
interne	intern
interne	interna
imo	imo
käfer	fallades
käfer	errors
käfer	bugs
käfer	bitxos
käfer	bug
hinterlassen	excedència
gem	acc
gem	gem
weihnachten	nadal
reguläre	regulars
reguläre	regular
fachbereich	departament
fachbereich	facultat
beobachtungen	observacional
beobachtungen	albiraments
beobachtungen	observació
dekan	degà
dekan	dean
dekan	vicedegà
dekan	degana
ausgeliefert	entregat
ausgeliefert	lliurat
ausgeliefert	extradit
häftlinge	presos
häftlinge	presoners
häftlinge	detinguts
russen	rus
russen	russos
allee	allee
allee	avinguda
allee	carreró
basilika	basílica
zyklus	cicles
zyklus	cicle
konzepte	concepcions
konzepte	conceptes
ganzes	sencer
ganzes	sencera
ndr	ndr
heiliger	sants
heiliger	saint
heiliger	sagrat
tendenz	tendència
garcía	garcia
garcía	garcía
garcía	garcía
beibehalten	mantén
beibehalten	conservin
beibehalten	conserven
orleans	orleans
orleans	orleans
österreicher	austríacs
österreicher	austríac
eddie	eddie
vorbereitet	preparats
vorbereitet	preparat
vorbereitet	preparades
einheitliche	unificada
einheitliche	unificats
einheitliche	unitari
einheitliche	uniforme
urheberrecht	copyright
landschaften	paisatges
landschaften	paisatge
anstellung	contractació
baltimore	baltimore
kannte	sabia
fotografen	fotògrafs
fotografen	fotògraf
fotografen	fotògrafa
einverstanden	acordats
einverstanden	acordat
einverstanden	pactat
einverstanden	acorden
einverstanden	convenen
mund	desembocadura
mund	boca
mund	boques
inkl	incl
berthold	berthold
löst	resol
löst	disparadors
soziales	socials
soziales	social
xiv	xiv
reformen	reforma
reformen	reformes
sklaven	esclau
sklaven	esclava
sklaven	esclaus
weinbau	vinya
weinbau	viñas
weinbau	vinyes
weinbau	viticultura
weinbau	vi
griechen	grecs
griechen	grec
individuelle	individu
individuelle	individuals
individuelle	individual
fair	fira
scheitern	falles
scheitern	fracàs
spitzen	encaix
spitzen	puntes
spitzen	cims
spitzen	pics
mohammed	mohammad
mohammed	muhammad
mohammed	mahoma
mohammed	mohamed
marktplatz	mercat
arkansas	arkansas
erwerben	adquirir
indonesien	indonèsia
indonesien	indonesi
reagieren	reaccionar
reagieren	reaccionen
bedingung	condicional
bedingung	condició
bedingung	restricció
paolo	paolo
tagebuch	journal
tagebuch	diari
tagebuch	diari
tagebuch	diaris
entsprechender	corresponent
ethik	ètic
ethik	ètica
ausgewählte	seleccionat
ausgewählte	seleccionats
britisch	britànic
britisch	british
britisch	britànica
entdecken	descobrint
entdecken	explorar
entdecken	detectar
entdecken	detecta
entdecken	descobreix
entdecken	descobriment
angewiesen	instruïts
angewiesen	instruït
gestapo	gestapo
frequenz	freqüència
lit	enceses
auffällig	cridaners
verlinkung	vinculació
verlinkung	enllaç
seltene	rars
seltene	rares
marshall	marshall
marshall	mariscal
wortes	paraula
handwerk	ofici
handwerk	artesania
handwerk	artesania
grosse	grans
grosse	grosse
gütersloh	gütersloh
geeignete	apropiat
geeignete	correspongui
contest	concurs
contest	certamen
houston	houston
adrian	adrian
reichlich	sobrat
reichlich	abundant
reichlich	abundants
gefallenen	caigut
kaffee	cafè
kaffee	cafe
gedenkstätte	memorial
agent	agent
zagreb	zagreb
fokus	focus
verbesserungen	millores
verbesserungen	millora
gegenseitig	mútuament
schien	aparegut
modellen	models
turnieren	tornejos
grey	gris
grey	grey
krakau	cracòvia
gedenken	record
gedenken	recordant
gedenken	commemoració
gedenken	commemorar
gesendet	enviats
gesendet	enviat
gesendet	publicat
zypern	zimbabwe
zypern	xipre
zypern	malta
anleitung	orientació
anleitung	instrucció
anleitung	manual
anleitung	tutorial
anleitung	instruccions
jeff	jeff
staatsbürgerschaft	nacionalitat
staatsbürgerschaft	ciutadania
zwang	forçada
zwang	forçat
zwang	coacció
zwang	restricció
germania	germania
unterart	subtipus
unterart	subespècie
komplexe	complexitat
komplexe	complexes
komplexe	complex
verbündeten	alió
verbündeten	aliats
verbündeten	aliat
monats	mensualment
monats	mensuals
monats	mensual
monats	mes
truppe	tropa
truppe	troupe
türme	torre
türme	tower
hut	barrets
hut	barret
verbleib	parador
milch	làctics
milch	lacti
milch	llet
kommerziellen	comercial
kommerziellen	mercantils
kommerziellen	comercials
jon	jon
schmitt	schmitt
bestände	inventaris
bestände	existències
bestände	estocs
bestände	inventari
bestände	ramaderies
weswegen	perqué
hills	turons
angelegten	enjardinats
anfänglich	inicialment
beeinflussen	afecten
beeinflussen	afectar
beeinflussen	influència
bug	bug
bug	proa
meilen	kilòmetre
meilen	milla
meilen	milles
meilen	kilòmetres
meilen	quilòmetres
meilen	quilometratge
farm	granja
oberstleutnant	coronel
ermitteln	investigant
ermitteln	investigar
ermitteln	detectar
ermitteln	detecta
ermitteln	identificar
wta	wta
freizeit	recreació
freizeit	esbarjo
freizeit	oci
freizeit	lleure
freizeit	esports
drum	drum
drum	tambor
gera	gera
motorrad	motos
motorrad	motocicletes
motorrad	bici
motorrad	motocicleta
aktueller	actuals
aktueller	actual
aktueller	corrent
peer	parell
wellen	ones
wellen	onades
maßstab	escala
ständige	permanent
ständige	permanents
ständige	constant
ständige	constants
landete	aterrar
sopran	soprano
schoss	falda
schoss	disparat
fachliteratur	literatura
philosophische	filosòfic
klassiker	classics
klassiker	clàssics
klassiker	clàssica
klassiker	classic
klassiker	clàssic
burgund	bourgogne
burgund	borgonya
partnerschaft	associacions
pauli	pauli
brot	pa
ukrainischen	ucraïnès
xiii	xiii
lehren	lliçons
lehren	ensenyaments
lehren	ensenyament
lehren	docència
lehren	ensenyaments
marseille	marseille
marseille	marsella
hugh	hug
hugh	hugh
chen	chen
leon	leon
ostseite	est
höfe	granges
höfe	explotacions
höfe	tribunals
beethoven	beethoven
krefeld	krefeld
tommy	tommy
ungarisch	hongarès
rgb	rgb
tool	eina
görlitz	görlitz
glatt	plain
glatt	suau
beauftragte	encarregat
beauftragte	delegat
aussicht	outlook
aussicht	visualitzacions
aussicht	vista
aussicht	visualitza
aussicht	visualització
beantworten	contestant
erwerb	adquisicions
erwerb	compra
erwerb	adquisició
passage	passatge
portugiesischer	portuguès
run	executa
run	córrer
anime	anime
kairo	cairo
kairo	caire
reformierten	reformat
reformierten	reformada
bittet	invitacions
bittet	suplicar
olaf	olaf
bewusstsein	consciència
bewusstsein	conscienciació
bewusstsein	sensibilització
bewusstsein	consciència
bewusstsein	conscient
berufliche	ocupacional
berufliche	vocacional
apostolischen	apostòlica
erlauben	habilita
erlauben	permetre
erlauben	permet
erlauben	permís
porträts	retrats
porträts	retrat
ausgegangen	datat
avenue	avinguda
let	let
kunstverein	kunstverein
schumann	schumann
remix	remix
trikot	jersei
trikot	jersey
lorenzo	lorenzo
renate	renate
masters	masters
masters	amos
opern	opera
opern	òpera
opern	òperes
tschechisch	txeca
tschechisch	txec
angebote	especials
angebote	ascensos
angebote	promocions
angebote	ofertes
angebote	ofereix
angebote	tractes
zugewiesen	assignat
zugewiesen	assignats
zugewiesen	atribuït
zugewiesen	adjudicada
grundlegend	fonamentalment
kriegen	guerres
reifen	pneumàtics
reifen	pneumàtics
reifen	canso
reifen	pneumàtic
reifen	madur
wolfram	tungstè
wolfram	wolfram
roberts	roberts
komitee	comitè
hirsch	cérvol
hirsch	hirsch
ludwigs	ludwig
umstand	circumstància
unterarten	subespècie
ermittlungen	investigacions
speicher	emmagatzematge
speicher	emmagatzemament
speicher	memòria
verwechseln	confondre
hunter	caçador
hunter	hunter
verschieden	diferent
verschieden	diferents
verschieden	divers
verschieden	diversa
verschieden	variats
krieger	warriors
krieger	guerrers
krieger	krieger
krieger	warrior
krieger	guerrer
umstände	circumstància
umstände	circumstàncies
systematisch	sistemàticament
systematisch	sistemàtica
gesetzlichen	estatutaris
gesetzlichen	estatutari
eichstätt	eichstätt
ehepaar	parella
delta	delta
durchführen	realitzen
durchführen	realitzar
durchführen	realitzant
durchführen	escèniques
armin	armin
brockhaus	brockhaus
ivan	ivan
stichwort	cue
erwünscht	desitjada
erwünscht	desitjat
erwünscht	desitjats
erwünscht	desitjable
erwünscht	apreciada
erwünscht	apreciats
erwünscht	apreciat
erwünscht	volia
erwünscht	volien
kent	kent
matthäus	matthew
matthäus	mateu
bond	vincle
bond	lligam
aluminium	alumini
aluminium	alumini
dimension	dimensió
schönheit	bellesa
sauerstoff	oxigen
erstellte	compilat
erstellte	creades
erstellte	creats
erstellte	creat
mitchell	mitchell
marion	marion
rasse	racial
rasse	raça
rasse	cursa
schwarzwald	schwarzwald
ingolstadt	ingolstadt
inschriften	inscripcions
zähne	dent
zähne	dents
basierend	basat
cottbus	cottbus
freuen	alegra
gültig	vàlida
gültig	vàlid
gültig	caduca
statthalter	governador
sri	sri
systematische	sistemàtica
umgehen	eludir
symbole	símbols
symbole	icones
theo	theo
medaillen	medalla
medaillen	medalles
abbruch	avortament
abbruch	avortar
abbruch	enderroc
abbruch	demolició
spannungen	tensió
spannungen	tensions
resultat	resultat
bricht	descansos
sony	sony
verarbeitung	tramitació
verarbeitung	processament
sechste	sisena
sechste	sisè
empfohlen	suggerit
empfohlen	suggerits
empfohlen	recomanats
empfohlen	recomanada
empfohlen	recomanable
empfohlen	recomanat
empfohlen	aconsella
empfohlen	aconsellat
bundesautobahn	bundesautobahn
five	five
five	cinc
vernichtet	destruït
vernichtet	destruïda
vernichtet	destruir
vernichtet	aniquilats
frühling	primavera
romanischen	romànic
raf	raf
akzeptieren	acceptar
akzeptieren	acceptar
akzeptieren	accepta
gräber	tombs
gräber	tombes
ansbach	ansbach
renovierung	repassat
renovierung	renovacions
collins	collins
einander	mútuament
übersehen	enyorat
wäldern	woods
wäldern	bosc
wäldern	boscos
analysis	càlcul
terry	terry
gleichung	equació
sockel	pedestal
sockel	gorra
sockel	sòcol
sockel	socket
erlaubte	permesos
erlaubte	permès
mögen	grat
mögen	com
mögen	like
schulze	schulze
traditionen	tradicions
