vodík	hydrogen
možná	possible
slávny	famous
turbo	turbo
brazílie	brazil
nezávislých	independent
nezávislých	independents
planétu	planet
spoločenský	sociable
spoločenský	social
postupnosť	sequence
arnold	arnold
usporiadané	arranged
reaguje	reacts
reaguje	responds
reaguje	responsive
harold	harold
studio	studio
teoreticky	theoretically
bohuslav	bohuslav
podáva	lodges
černych	chernykh
kódy	codes
podporovať	support
podporovať	encourage
ľudmila	ludmilla
akt	acp
akt	act
sultán	sultan
nepriamo	indirect
nepriamo	indirectly
pápeži	popes
povedomia	awareness
modelka	model
urata	urata
občianskeho	civic
vlk	wolf
volkswagen	volkswagen
sociológ	sociologist
chemická	chemical
comba	comba
zur	zur
vyznamenanie	commendation
kongresu	congress
lászló	lászló
robot	bot
robot	robot
námornej	maritime
pevný	solid
alexandrovič	alexandrovich
zahraničné	foreign
stuttgart	stuttgart
kovy	metal
kovy	metals
hamburg	hamburg
oslobodenie	exemption
oslobodenie	liberation
oslobodenie	relief
bydlisko	resident
bydlisko	residence
bydlisko	domicile
mag	mag
bobby	bobby
náhodou	accidentally
napísali	written
napísali	wrote
tiger	tiger
nadácie	foundations
detaily	details
kolektív	collective
automobilový	automotive
philippe	philippe
ľad	ice
lese	woods
mostov	bridges
jadrovej	nuclear
rap	rap
odolnosť	robustness
odolnosť	resistance
odolnosť	resilience
jay	jay
podobnú	similar
teórií	theories
čou	zhou
záhreb	zagreb
leonardo	leonardo
sľuby	promises
sľuby	pledges
sľuby	vows
prepojenie	linking
prepojenie	interconnection
súčet	sum
umiestnenia	placement
umiestnenia	locations
umiestnenia	placements
umiestnenia	location
formátu	format
záhrade	garden
záujmov	interests
derby	derby
teréne	terrain
robinson	robinson
zubov	teeth
bela	bela
sierra	sierra
prusko	prussia
portugalský	portuguese
case	case
vlakov	trains
soľ	salt
miestni	locals
castle	castle
zjednotenie	unification
zjednotenie	unifying
väzba	bind
väzba	binding
väzba	bonding
väzba	custody
väzba	bond
tradícia	tradition
povesti	rumors
abovsko	abaúj
nástupcu	successor
aktuálny	current
aktuálny	topical
katalóg	catalogue
katalóg	catalog
nelson	nelson
rastú	grow
sčítanie	census
výklad	interpretation
výklad	interpret
znamenal	meant
výzbroje	armaments
pozemné	terrestrial
pozemné	ground
ondřejov	ondřejov
pohľady	views
cestná	road
zásah	interference
zásah	intervention
warner	warner
zdravotné	medical
zdravotné	health
chybu	mistake
založiť	base
jules	jules
prúdov	streams
komédia	comedy
watanabe	watanabe
kresťanov	christians
angel	angel
továrne	factories
faktor	factor
litva	lithuania
zavraždený	murdered
zavraždený	assassinated
phil	phil
rob	rob
zastúpené	represented
spôsobujú	causing
výkonný	executive
ponúkol	offered
presun	transfer
presun	move
presun	moving
presun	movement
carter	carter
poistenie	insurance
finančne	financially
kroky	steps
kroky	footsteps
zmazať	delete
bohatý	rich
erich	erich
informatiky	informatics
suchá	dry
poddruh	subspecies
slnečná	solar
infraštruktúra	infrastructure
svetom	world
nahrávanie	uploading
nahrávanie	upload
nahrávanie	recording
nahrávanie	record
čítať	read
záchranu	rescue
wood	wood
klavirista	pianist
kabíny	cabins
kabíny	booths
dutiny	cavity
dutiny	sinuses
dutiny	cavities
mer	mer
schopní	able
organické	organic
rybníky	ponds
portálu	portal
orientačné	indicative
vyvinuli	evolved
skutočné	real
skutočné	genuine
domény	domains
návštevy	visitors
návštevy	visit
návštevy	visits
predstaviť	introduce
predstaviť	imagine
citát	quote
citát	quotation
odborov	unions
štvrté	fourth
vzduchom	airborne
jonas	jonas
barry	barry
equus	equus
licencie	licences
licencie	licenses
licencie	licence
licencie	licensing
nákladu	cargo
budovať	build
hlboké	deep
odhad	estimated
odhad	estimate
odhad	estimation
vojnový	war
folk	folk
koalície	coalition
charakteristiky	characteristics
charakteristiky	features
briti	britons
briti	british
briti	brits
čínske	chinese
mama	mama
mama	mom
mama	mother
mama	mum
zisku	profit
zaznamenané	recorded
zaznamenané	noted
prepustený	released
venuša	venus
väzení	prison
centrálne	central
centrálne	centrally
porážku	defeat
budúci	next
harvard	harvard
olympic	olympic
nepriateľov	enemies
geometria	geometry
reprezentácia	representation
priatelia	friends
verše	verses
socialistická	socialist
prince	prince
vrtuľníky	helicopters
titan	titan
cook	cook
diely	parts
diely	cuts
charlotte	charlotte
veciach	matters
počuť	hear
chemicky	chemically
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
predstavenie	performance
predstavenie	show
bohato	richly
vraždy	homicide
vraždy	murder
vraždy	murders
podvozok	chassis
podvozok	bogie
zavedená	introduced
ensign	ensign
lisa	lisa
vybrať	choose
vybrať	select
činiteľ	factor
premenné	variable
premenné	variables
fred	fred
adrian	adrian
dvořák	dvořák
štandardy	standards
planéte	planet
čisté	net
čisté	pure
čisté	clean
súbežne	simultaneously
súbežne	parallel
tvrdenia	claims
tvrdenia	allegations
tvrdenia	arguments
tvrdenia	assertions
alois	alois
ručne	handmade
ručne	manually
súkromný	private
scaleminor	scaleminor
plody	fruit
plody	fruits
fórum	forums
fórum	forum
pestovanie	growing
pestovanie	planting
pestovanie	cultivation
relácia	session
relácia	relation
cooper	cooper
nahradená	replaced
logiky	logic
pohyby	movements
pohyby	moves
psychológ	psychologist
slávnosti	festival
slávnosti	festivities
terminológia	terminology
bytosti	beings
bytosti	creatures
samice	females
samice	female
súradnice	coordinate
súradnice	coordinates
senátu	senate
grafický	graphic
plukovník	colonel
potomkov	offspring
potomkov	descendants
melbourne	melbourne
korunu	crown
agent	agent
tém	topics
kapitola	chapter
železo	iron
spisy	writings
podvozku	bogie
labe	elbe
konečný	final
efektívne	efficient
efektívne	effectively
efektívne	effective
efektívne	efficiently
najnovšie	recent
najnovšie	latest
poľnohospodárske	agricultural
dolní	dolní
kaplnke	chapel
sasko	saxony
modra	blue
modra	modra
jadrom	core
papiera	paper
platňa	plate
spol	associates
hlasovať	vote
hlasovať	voting
liverpool	liverpool
opravy	corrections
opravy	repairs
opravy	fixes
opravy	repair
dia	dia
mačky	cats
trestné	criminal
trestné	penal
brigády	brigades
brigády	brigade
teológia	theology
varšave	warsaw
následné	subsequent
ľudský	human
potrieb	needs
útek	escaping
útek	escape
zaťaženie	load
zaťaženie	loads
zaťaženie	loading
tal	tal
sarah	sarah
venované	devoted
československo	czechoslovakia
spolupracovať	collaborate
spolupracovať	cooperate
vyhlásenia	statements
vyhlásenia	declarations
vyhlásenia	announcements
sebastian	sebastian
klaus	klaus
obsahujúce	containing
dôsledky	implications
dôsledky	consequences
váhy	scales
váhy	libra
váhy	weights
zámer	intention
zámer	intent
hladina	level
čreva	bowel
iniciatívy	initiatives
iniciatívy	initiative
symbolov	symbols
mons	mons
empire	empire
vietname	vietnam
piatok	friday
tvarov	shapes
štúdiá	studios
používateľ	user
made	made
letci	fliers
etapy	stages
pristál	landed
rozširuje	extends
rozširuje	expands
osád	settlements
žltý	yellow
abd	abd
odmietli	declined
jamie	jamie
náčelník	chief
náčelník	chieftain
sociálny	social
porto	porto
rozdielne	different
rozdielne	divergent
deutsche	deutsche
adresu	address
rumunský	romanian
lebky	skulls
lebky	skull
úseky	sections
priemyselná	industrial
pretekár	racer
kras	karst
kras	kras
uhlie	coal
uhlie	charcoal
abeceda	alphabet
komédie	comedy
komédie	comedies
vrh	litter
kopa	pile
duchovné	spiritual
extra	extra
nickelback	nickelback
udržanie	maintaining
vzdať	surrender
snahu	effort
nárok	claim
chýb	mistakes
chýb	errors
chýb	bugs
medi	copper
pokryté	covered
poskytnúť	provide
zavedený	introduced
jednotlivcov	individuals
archeológ	archaeologist
archeológ	archeologist
organizmus	organism
junior	junior
životy	lives
frekvencie	frequencies
frekvencie	frequency
autobus	bus
výrobcu	producer
výrobcu	manufacturer
tisícročia	millennium
prednášky	lectures
prednášky	lecture
ulrich	ulrich
akademický	academic
návrhov	suggestions
praktické	practical
estadio	estadio
počasie	weather
nominácia	nomination
trio	trio
skúsenosť	experience
sklo	glass
preložené	translated
disciplíne	discipline
wwe	wwe
elektrických	electrical
elektrických	electric
adresy	addresses
family	family
operáciu	surgery
vzdialený	distant
vzdialený	remote
naučil	learned
naučil	taught
existoval	existed
porasty	plantations
dmitrij	dmitri
pohlavia	gender
pohlavia	sexes
pohlavia	sex
wars	wars
dallas	dallas
karibiku	caribbean
broughton	broughton
timeaxis	timeaxis
zrýchlenie	acceleration
core	core
paralelne	parallel
lipa	lipa
challenger	challenger
bytov	flats
bytov	bytes
bytov	apartments
centrálny	central
rodičmi	parents
eddie	eddie
nymburk	nymburk
ross	ross
média	media
fritz	fritz
afganistane	afghanistan
prístupné	accessible
rádia	radio
afrických	african
terminál	terminal
konstantin	konstantin
bruins	bruins
armstrong	armstrong
lekára	physician
lekára	doctor
rukopis	manuscript
shoemaker	shoemaker
projektom	projects
prózy	prose
margaret	margaret
pridáva	adds
nebezpečné	dangerous
nebezpečné	hazardous
pristáli	landed
škótsku	scotland
škótsku	scotch
berkeley	berkeley
outline	outline
venovaná	dedicated
bočné	lateral
platnosť	valid
platnosť	validity
výchovu	upbringing
child	child
zostať	staying
zostať	stay
polo	polo
sporné	questionable
sporné	contentious
sporné	disputed
neba	heaven
baktérie	bacteria
baktérie	germs
main	main
grafika	artwork
grafika	graphics
vodcov	leaders
estónsko	estonia
sodný	sodium
schopností	abilities
medzinárodne	internationally
médium	media
médium	psychic
médium	medium
vyhláška	ordinance
vyhláška	edict
vyhláška	decree
úteku	escaping
úteku	runaway
geometrie	geometry
zachránil	saved
pravdepodobnosť	probabilities
pravdepodobnosť	odds
pravdepodobnosť	likelihood
pravdepodobnosť	probability
guide	guide
airbus	airbus
komentár	comment
komentár	comments
neskoro	late
dokázať	demonstrate
dokázať	prove
vybraný	chosen
vybraný	selected
zvon	bell
kult	cult
usb	usb
veží	towers
tajne	secretly
reedy	reedy
dodáva	adds
dodáva	supplied
kryštály	crystals
unit	unit
lightgrey	lightgrey
belfort	belfort
riadil	drove
príbuzných	relatives
nákladné	costly
nákladné	freight
nechce	wants
užitočné	useful
užitočné	helpful
športovcov	sportsmen
športovcov	athletes
dos	dos
terénu	terrain
plemena	breed
otázok	questions
kantónov	cantons
širokú	broad
širokú	wide
buffalo	buffalo
pripravený	ready
chemickej	chemical
špecifikácie	specifications
obnoviť	reset
obnoviť	restore
obnoviť	refresh
obnoviť	resume
ueda	ueda
vodiča	driver
vajíčka	eggs
zavedené	introduced
zavedené	implemented
odborník	expert
odborník	specialist
bordeaux	bordeaux
sietí	nets
sietí	networks
matematické	mathematical
magazín	magazine
chápe	understands
hrdinovia	heroes
bloky	chunks
bloky	blocks
táborov	camps
predkov	ancestors
predkov	ancestral
guinea	guinea
ralph	ralph
dáma	lady
populárna	popular
drámy	drama
pavilón	pavilion
hospodárska	economic
hodnotenia	reviews
hodnotenia	ratings
hodnotenia	evaluations
hodnotenia	assessments
robotník	worker
premena	conversion
premena	metamorphosis
premena	transformation
vyriešiť	resolve
vyriešiť	solve
mobile	mobile
živí	feeds
živí	alive
pietro	pietro
roland	roland
spracovania	processing
výslovnosť	pronunciation
priehrady	dams
vydávanie	issue
vydávanie	publishing
autorka	author
politikov	politicians
uzavretá	enclosed
uzavretá	closed
jeruzalem	jerusalem
stôp	feet
stôp	tracks
stôp	traces
kennedy	kennedy
pilotov	pilots
značný	considerable
odráža	reflected
odráža	mirrored
odráža	reflects
spoločná	joint
dolu	down
progress	progress
obľúbené	favourite
obľúbené	popular
obľúbené	favourites
obľúbené	favorite
obľúbené	favorites
kino	kino
kino	cinema
značku	brand
bomba	bomb
aplikácia	application
aplikácia	app
vyšetrenie	examination
uplatnenie	applicability
ázijské	asian
zástupcu	deputy
štandardný	default
štandardný	standard
psychológie	psychology
zameranie	targeting
zameranie	focus
meter	meter
príbehov	tales
príbehov	stories
jevgenij	yevgeny
pozor	careful
pozor	attention
podrobnosti	details
podrobnosti	detail
obnovenie	restoration
obnovenie	renewal
oldřich	oldřich
metódu	method
malta	mortar
malta	malta
uzol	node
uzol	knot
prednosť	priority
prednosť	primacy
prednosť	preference
prednosť	precedence
ean	ean
káder	ayatollah
menšiny	minority
menšiny	minorities
prietok	flow
striedavo	alternating
striedavo	alternately
prevzaté	taken
mŕtvy	dead
vyrábali	manufactured
leonard	leonard
algoritmus	algorithm
ovládanie	control
ovládanie	controls
strieborná	silver
vchod	entrance
niesol	carried
popravený	executed
bel	bel
neoficiálne	unofficial
neoficiálne	unofficially
chicagu	chicago
tvoj	your
tvoj	yours
sekundárne	secondary
skok	jump
zoskupenie	cluster
zoskupenie	grouping
gnu	gnu
obmedzenia	limitations
obmedzenia	restrictions
obmedzenia	limits
obmedzenia	constraints
reakciu	reaction
tisíce	thousands
nezahŕňa	excludes
pec	furnace
pec	oven
pec	pec
testovanie	testing
železníc	railways
otvorene	openly
original	original
ekvivalent	equivalent
formáte	format
kapitánom	captain
belo	belo
šľachtic	nobleman
bejzbal	baseball
križovatky	intersection
križovatky	junction
križovatky	crossings
križovatky	crossroads
križovatky	intersections
hollywood	hollywood
obchodník	trader
vegas	vegas
široko	widely
rekonštrukcie	refurbishment
rekonštrukcie	reconstruction
ken	ken
sedimenty	sediments
žiadal	claimed
chaos	chaos
viacej	more
schneider	schneider
collins	collins
vysielač	transmitter
symbolizuje	symbolises
symbolizuje	symbolizes
nominácie	nominations
chýbajú	missing
alba	alba
sledovanie	tracking
sledovanie	monitoring
sledovanie	surveillance
sledovanie	follow
scénu	scene
bohatstvo	fortune
bohatstvo	riches
bohatstvo	wealth
titulok	headline
titulok	title
ovocie	fruit
ovocie	fruits
kaneda	kaneda
kamery	cameras
observatórium	observatory
proste	just
minca	coin
označiť	tag
označiť	mark
videli	spotted
videli	seen
videli	saw
baptiste	baptiste
náboženská	religious
kvapaliny	liquids
kvapaliny	fluids
nápad	idea
morgan	morgan
albánska	albanian
albánska	albania
hovoril	spoken
hovoril	talked
hovoril	spoke
navrhnutá	designed
miestnosť	room
letel	flown
letel	flew
zásob	inventory
zásob	inventories
zásob	stock
hole	hole
dateformat	dateformat
brothers	brothers
tóth	tóth
vládcu	ruler
planina	planina
monika	monika
monika	monica
ovplyvnená	influenced
ovplyvnená	affected
heineken	heineken
rozdelenia	distributions
presnosť	punctuality
presnosť	precision
presnosť	accuracy
jam	jam
komplexné	comprehensive
komplexné	complex
uložená	saved
turecký	turkish
zemetrasenie	earthquake
zemetrasenie	quake
zemetrasenie	earthquakes
pochopiť	understand
pochopiť	understanding
efekty	effects
doložené	evidenced
zeppelin	zeppelin
plošina	platform
plošina	plateau
myslel	thought
myslel	thinking
his	bip
obmedzená	limited
obmedzená	restricted
uverejnil	posted
beck	beck
obchody	stores
obchody	business
obchody	trades
obchody	deals
obchody	shops
kentaur	centaur
realizácia	realisation
realizácia	implementation
realizácia	realization
realizácia	execution
kriticky	critically
kužele	cones
zachrániť	save
zachrániť	rescue
pohrebu	funeral
slabo	weakly
slabo	poorly
zvukové	audible
dosiahne	reaches
rozpad	disintegration
rozpad	decay
apoštolov	apostles
jindřich	jindřich
houston	houston
slabé	weak
hercegovina	herzegovina
pearl	pearl
priemerne	average
alignbars	alignbars
kolesá	wheels
uzavretý	enclosed
prichádzajú	arriving
mississippi	mississippi
zajatcov	captives
zajatcov	prisoners
blog	blog
samec	male
ramená	shoulders
ramená	arms
plní	performs
libreto	libretto
western	western
vedené	guided
špecifický	specific
trvalé	durable
trvalé	permanent
trvalé	lasting
baňa	mine
gilbert	gilbert
double	double
dakota	dakota
očí	eyes
vrstvu	layer
formáty	formats
baker	baker
utiekol	escaped
utiekol	fled
mini	mini
pracovníci	workers
kolumbii	colombia
zoskupenia	cluster
zoskupenia	clusters
zoskupenia	groupings
zoskupenia	grouping
urobila	did
ovplyvnené	influenced
ovplyvnené	affected
existovalo	existed
kansas	kansas
ľudská	human
šťastný	happy
konfliktov	conflicts
trek	trek
breh	shore
mladí	young
povinný	mandatory
povinný	compulsory
graz	graz
krásne	beautiful
krásne	lovely
známky	stamps
známky	grades
rektor	rector
predal	sold
obor	giant
prekonať	surpass
prekonať	overcome
predpokladu	assumption
prezidentských	presidential
ira	ira
brániť	defend
bohatá	rich
turecká	turkish
site	sieve
site	site
martín	martín
maxim	maxim
príbuzné	relatives
príbuzné	related
súrodenci	siblings
rozmer	dimension
primátor	mayor
jordan	jordan
rozpočet	budget
darkgrey	darkgrey
philipp	philipp
franklin	franklin
batérie	battery
batérie	batteries
neplatný	invalid
academia	academia
knižnici	library
zriadené	established
backgroundcolors	backgroundcolors
alkoholu	alcohol
dublin	dublin
veronika	veronica
veronika	veronika
upravená	adjusted
rom	rom
terry	terry
výmenu	exchange
okolnosti	circumstance
okolnosti	circumstances
vianoce	christmas
zaútočili	attacked
predpoklad	presumption
predpoklad	assumption
predpoklad	hypothesis
predpoklad	premise
predpoklad	prerequisite
fedor	fedor
pokoj	tranquility
pokoj	peace
pokoj	calm
pokoj	serenity
atentát	assassination
bonaparte	bonaparte
plánovaná	scheduled
plánovaná	planned
aspekty	facets
aspekty	aspects
vyvoláva	raises
pacienta	patient
borngen	börngen
letiská	aerodromes
letiská	airports
odmietla	declined
matke	mother
zasiahla	intervened
diamond	diamond
zajatí	captivity
zajatí	captive
hrobky	tomb
hrobky	tombs
jadrová	nuclear
über	über
klasifikácie	classifications
realizovať	implement
kľúčové	key
desaťročia	decades
grace	grace
cestoval	travelled
cestoval	traveled
kartu	tab
kartu	card
dana	dana
edgar	edgar
stuart	stuart
študuje	studying
dokazuje	demonstrates
zákone	testament
kitami	kitami
toulouse	toulouse
bowell	bowell
tokov	flows
urán	uranium
urán	uranus
čeľustnatce	gnathostomata
strecha	rooftop
strecha	roof
utiecť	flee
utiecť	escape
kampane	campaigns
danny	danny
obyvateľom	inhabitants
obyvateľom	residents
magic	magic
kushiro	kushiro
stráca	losing
stráca	loses
materskej	maternity
materskej	parent
bonus	bonus
náhrada	refund
náhrada	reimbursement
náhrada	compensation
náhrada	replacement
dominika	dominique
dominika	dominika
dominika	dominica
autorských	copyright
marcela	marcel
marcela	marcela
jakob	jakob
dostupná	available
obmedzenie	restriction
obmedzenie	limitation
obmedzenie	limit
obmedzenie	constraint
kameraman	cameraman
true	true
topenia	melting
nariadenia	regulations
nariadenia	regulation
interakcie	interaction
interakcie	interactions
sedan	sedan
sedan	saloon
als	als
pobočky	branches
kritiku	criticism
kritiku	criticisms
téme	topic
meč	sword
chad	chad
inštitúcia	institution
federálny	federal
zistí	detects
nádeje	hopes
juels	juels
externý	external
voyager	voyager
zeus	zeus
experimentálne	experimental
ostro	strongly
ostro	sharp
ostro	sharply
gott	gott
mních	monk
roh	corner
roh	horn
všimol	noticed
vlastníkom	owner
povolené	authorised
povolené	enabled
povolené	authorized
povolené	allowed
povolené	permitted
zrušil	annulled
jedenásť	eleven
magnus	magnus
epizódy	episodes
dočasné	temporary
dočasné	provisional
objavovať	explore
objavovať	discover
stúpa	rising
potraviny	grocery
potraviny	food
potraviny	foods
potraviny	groceries
očami	eyes
reinmuth	reinmuth
kategóriu	category
spomienky	memories
ťažkosti	difficulty
ťažkosti	difficulties
edmund	edmund
patriaci	belonging
protest	protest
graham	graham
riadené	managed
riadené	guided
riadené	controlled
poškodený	damaged
poškodený	corrupted
zadný	rear
isto	sure
isto	surely
existujúcich	existing
chrániť	protect
radosť	delight
radosť	joy
radosť	pleasure
elektróny	electrons
prepojené	linked
hus	goose
hus	hus
facebook	facebook
štandardná	default
skladateľov	composers
prístupná	accessible
správna	correct
sála	hall
sála	auditorium
odkazuje	referenced
odkazuje	refers
stretáva	meets
auta	car
krk	neck
magyar	magyar
prach	dust
nadácia	foundation
výmeny	exchanges
colin	collin
colin	colin
pocity	feelings
werner	werner
ľahký	light
salzburg	salzburg
africké	african
vrtuľník	helicopter
vrtuľník	chopper
dcér	daughters
zložité	tricky
zložité	complex
zložité	complicated
zložité	difficult
panva	pelvis
advokát	attorney
advokát	advocate
advokát	counsel
advokát	lawyer
existujúce	existing
zaujímavý	interesting
odborníci	professionals
odborníci	experts
oceľ	steel
dokopy	together
skúmanie	exploring
skúmanie	investigation
skúmanie	examination
vták	bird
roberto	roberto
prevahu	superiority
zriedka	seldom
zriedka	rarely
pól	pole
jedince	individuals
brusel	brussels
predsedníctva	presidency
čiernych	blacks
významnosť	significance
významnosť	relevance
reťazec	string
reťazec	chain
rozvíja	develops
zomreli	died
pripraviť	prepare
sľub	promise
vhodná	appropriate
vhodná	suitable
barrett	barrett
saxofón	saxophone
ghz	ghz
metallica	metallica
produkuje	produces
apr	apr
električka	tram
isaac	isaac
niesť	carry
pozostávala	consisted
výrobcov	producers
výrobcov	manufacturers
nahrávania	uploads
vyvíja	evolves
vyvíja	develops
kompletný	complete
životnosť	lifetime
životnosť	durability
jun	jun
jun	yun
elektronický	electronic
vodič	driver
newton	newton
desaťročí	decades
desaťročí	decade
galileo	galileo
chráni	protects
soundtrack	soundtrack
obmedzený	restricted
obmedzený	limited
zvláštny	strange
zvláštny	odd
dôsledok	corollary
dôsledok	consequence
palace	palace
rytmus	beat
rytmus	rhythm
príležitostne	occasional
príležitostne	occasionally
duo	duo
kresťanský	christian
mäsa	meat
henrik	henrik
bach	bach
slávu	fame
slávu	glory
theodor	theodor
využívanie	utilisation
využívanie	exploitation
využívanie	usage
ahoj	hello
učiť	teach
učiť	learn
astronauti	astronauts
kôra	bark
kôra	cortex
kôra	peel
prevláda	predominates
náročné	challenging
náročné	difficult
fakty	facts
costa	costa
darwin	darwin
uzavreté	enclosed
uzavreté	closed
rozhovory	conversations
rozhovory	interviews
rozhovory	talks
tlači	press
spolupracovala	collaborated
spolupracovala	cooperated
liečbu	treat
zabili	killed
gréckom	greek
sfondo	sfondo
osudu	fate
štýly	styles
staviteľ	builder
hlboký	deep
hlboký	profound
využívaná	exploited
násobný	multiplicative
zaujíma	interested
viaže	bound
cape	cape
rekreačné	recreational
vyrobená	produced
vyrobená	manufactured
vyrobená	made
kalendára	calendar
flotily	fleet
flotily	fleets
sektor	sector
école	école
búrka	thunderstorm
búrka	storm
guillaume	guillaume
komerčne	commercially
domácu	homemade
stavia	builds
keith	keith
spáchal	committed
pablo	pablo
slonoviny	ivory
zdanlivo	ostensibly
zdanlivo	seemingly
tvrdý	tough
súrodencov	siblings
éra	era
stredoveké	medieval
presvedčený	confident
presvedčený	believe
presvedčený	convinced
zranenie	injury
zranenie	wound
labuť	swan
zachytáva	captures
hitlera	hitler
mrakodrap	skyscraper
reštaurácia	restaurants
