css	css
jagerfly	borci
pacific	pacific
pacific	pacifik
borger	državljan
borger	meščan
pommern	pomorjansko
engel	angelček
engel	angel
erich	erich
myter	mitov
myter	miti
myter	mit
frivillig	neobvezno
frivillig	neobvezna
frivillig	prostovoljni
frivillig	prostovoljna
frivillig	prostovoljno
frivillig	prostovoljec
frost	pozeba
frost	frost
egon	egon
sting	šiv
sting	piči
sting	šive
sting	šivi
fusionerede	združeni
fusionerede	združena
asiatiske	azijske
asiatiske	azijskih
asiatiske	azijski
antikken	antike
sweet	sladkih
sweet	sladko
sweet	sladki
sweet	sladka
ler	gline
ler	smeha
ler	smeh
ler	gline
ler	glino
ler	clay
fotografi	fotografijo
fotografi	fotografija
fotografi	fotografiranje
fotografi	photography
fotografi	fotografijo
fotografi	fotografija
jagten	hunt
jagten	lov
jagten	lovski
jagten	lovska
jagten	lov
jagten	lovljenje
coupé	coupe
bevidsthed	zavest
bevidsthed	ozaveščenost
bevidsthed	zavedanje
bevidsthed	zavest
bevidsthed	zavestno
retssag	sojenje
sproglige	jezikovno
kurser	tečaje
kurser	tečaji
udkæmpet	boril
undtagelser	izjeme
undtagelser	oprostitve
undtagelser	izjeme
houston	houston
spændende	zanimiv
spændende	zanimivo
spændende	zanimiva
spændende	zanimivo
spændende	razburljivo
spændende	razburljivo
bombe	bombo
bombe	bomba
bombe	bombardiranje
anmodning	zahteva
anmodning	prošnja
anmodning	zahtevek
hænderne	roke
tank	tanka
tank	rezervoar
tank	tank
flandern	flandriji
borussia	borussia
cbs	cbs
cbs	cb
fremstiller	proizvajalec
fremstiller	proizvajalca
fremstiller	izdelovalec
antaget	predvideval
kaserne	barake
patent	patent
patent	patentov
owen	owen
rafael	raphael
rafael	rafael
filippinerne	filipini
kæden	verigo
kæden	verige
kæden	veriga
konvention	konvencija
konvention	konvencijo
konvention	konvencije
skatter	davke
skatter	davki
ravn	krokar
ravn	raven
usædvanlig	nenavaden
usædvanlig	nenavadna
usædvanlig	neobičajno
usædvanlig	nenavadno
usædvanlig	nenavadne
alabama	alabama
væbnede	oboroženi
væbnede	oborožena
væbnede	oborožen
væbnede	oborožene
undersøgt	raziskano
undersøgt	študiral
undersøgt	pregledani
undersøgt	preučila
organiske	organsko
organiske	organska
organiske	organski
organiske	ekološko
newton	newton
dybere	globlje
dybere	globlji
michelle	michelle
signatur	podpis
sammenlignes	primerja
olga	olga
romantisk	romantično
romantisk	romantičen
romantisk	romantična
blind	slep
blind	slepe
blind	slepa
blind	slepi
sevilla	sevilla
sevilla	seville
kavaleri	konjenica
mel	moke
mel	moko
mel	moka
mel	mel
mel	mela
ronnie	ronnie
opvarmning	gretje
opvarmning	segrevanje
opvarmning	ogrevanje
opvarmning	segrevanje
header	glavo
header	glava
køb	nakup
køb	kupi
køb	kupiš
køb	nakup
køb	kupil
køb	nakupi
køb	kupovanje
køb	odkup
køb	nakup
walker	walker
walker	walkerja
statistisk	statistična
statistisk	statistične
statistisk	statistično
afslørede	razkril
afslørede	pokazala
afslørede	razkrili
afslørede	razkrita
afslørede	razkrila
trio	trio
sporten	šport
sporten	sport
ruth	ruth
domstol	sodišče
domstol	dvor
leverer	zagotavlja
grænserne	mejami
grænserne	meja
grænserne	mejah
grænserne	meje
separat	ločeno
separat	ločena
separat	ločeni
separat	ločeno
wikidata	wikipodatki
komponenter	komponente
stein	stein
skulptur	kip
skulptur	kipi
pearl	pearl
pearl	biser
ordfører	poročevalec
ordfører	poročevalka
trykte	tiskani
trykte	tiskane
trykte	natisnjeno
trykte	tiskano
faciliteter	objekti
godkendte	odobrena
godkendte	odobrene
godkendte	odobreni
godkendte	odobreno
godkendte	odobren
permanente	trajni
permanente	trajen
permanente	trajna
permanente	trajno
permanente	stalna
winston	winston
fisker	ribe
fisker	ribice
fisker	ribič
fisker	ribolov
fisker	ribarjenje
fisker	ribolova
dygtige	talentiran
dygtige	nadarjena
dygtige	nadarjen
emmy	emmy
oldenburg	oldenburg
beton	konkretno
beton	konkretne
beton	beton
beton	konkreten
mandat	mandat
mandat	mandata
mandat	pooblastila
dortmund	dortmund
kæde	verigo
kæde	verige
kæde	veriga
bureau	agencija
bureau	predsedstvo
bureau	urad
bureau	biro
police	policija
dragon	zmajev
dragon	zmaj
göttingen	göttingen
rede	gnezdo
rede	gnezda
rede	pripravljeni
rede	pripravljena
rede	pripravljene
rede	pripravljen
rede	pripravljeno
chopin	chopina
drab	umor
drab	umori
drab	umori
drab	ubijanje
drab	uboj
gad	gad
dale	dale
pedro	pedro
barry	barry
allieret	zaveznika
allieret	zaveznik
allieret	ally
judas	juda
humor	humor
humor	humor
lufthavne	letališče
lufthavne	letališča
small	majhno
small	majhni
small	majhen
small	majhne
small	majhna
kentucky	kentucky
afløser	nadomeščanje
afløser	zamenjava
afløser	nadomestitev
afløser	nadomeščanje
fuldmægtig	administrator
fuldmægtig	upravitelj
fuldmægtig	administratorja
nassau	nassau
proteiner	beljakovin
proteiner	protein
proteiner	proteini
proteiner	beljakovine
proteiner	beljakovin
proteiner	proteini
proteiner	beljakovine
simpson	simpson
suppleret	dopolnjeno
suppleret	dopolnjena
suppleret	dopolnjena
satellitter	sateliti
nepal	nepalu
koncentreret	zgoščeno
koncentreret	koncentrirana
koncentreret	osredotočanje
påstand	zahtevek
påstand	terjatev
påstand	trditev
westfalen	vestfalija
amy	amy
factor	dejavnik
factor	faktor
walk	sprehod
walk	hoja
walk	sprehodi
walk	peš
walk	hodi
opdagelsesrejsende	raziskovalec
opdagelsesrejsende	raziskovalci
molekyler	molekul
molekyler	molekule
møbler	pohištva
møbler	pohištvo
rick	rick
rick	ricka
neutrale	nevtralno
neutrale	nevtralni
neutrale	nevtralen
rob	rob
omfattet	vključeni
omfattet	vključena
omfattet	vključene
omfattet	vključen
omfattet	vključeno
omfattet	pokrito
omfattet	pokrit
omfattet	pokrita
omfattet	pokrite
terror	groza
terror	teror
terror	groze
terror	terorizem
kriminelle	kriminalno
kriminelle	kazensko
kriminelle	kriminalec
kriminelle	kazenskih
kriminelle	zločinci
kriminelle	kriminalci
leftarm	leftarm
cæsar	cezar
cæsar	cezarja
forøget	povečana
forøget	povečan
forøget	povečano
forøget	zvišana
regelmæssige	redno
regelmæssige	redni
regelmæssige	redna
cypern	ciper
cypern	cipru
halve	polovici
halve	polovice
mitsubishi	mitsubishi
skarpe	ostri
skarpe	oster
skarpe	ostra
skarpe	ostro
skarpe	sharp
kriminalitet	zločini
kriminalitet	zločin
kriminalitet	kriminal
kriminalitet	kriminala
undervist	naučil
batteri	baterija
batteri	baterijo
batteri	baterije
batteri	akumulator
batteri	akumulatorji
batteri	baterije
seg	seg
omkostninger	stroški
omkostninger	strošek
omkostninger	stroški
afdelingen	oddelek
mur	obzidje
mur	zid
mur	stena
mur	steno
motors	motorji
passede	fit
cia	cia
cia	cia
forberede	pripravljanje
forberede	priprava
richmond	richmond
lissabon	lizbonska
lissabon	lizboni
lissabon	lizbonske
lissabon	lisbon
grace	grace
illustrationer	ilustracije
skandinavisk	skandinavske
brugerne	uporabniki
sct	kps
tjenester	storitve
tusind	tisoč
templet	svetišče
templet	tempelj
templet	hram
templet	temple
håbet	upal
håbet	upanja
håbet	hope
håbet	upanje
håbet	upala
håbet	upal
indlagt	hospitaliziran
indlagt	hospitaliziran
indlagt	sprejet
reform	reforme
reform	reformo
reform	reforma
videnskabeligt	znanstveno
videnskabeligt	znanstvena
videnskabeligt	znanstveno
videnskabeligt	znanstvene
missioner	misije
tidsrum	obdobje
psykisk	psihološko
psykisk	psihološki
psykisk	psihološka
psykisk	psihično
psykisk	jasnovidec
psykisk	psihiatrične
psykisk	duševno
psykisk	mentalno
psykisk	duševna
psykisk	duševno
psykisk	mentalno
psykisk	psihično
psykisk	umsko
clara	klara
clara	clara
hoteller	hotele
hoteller	hoteli
hoteller	hotelov
beskadiget	poškodovano
beskadiget	poškodovanih
beskadiget	poškodovan
beskadiget	poškodovani
beskadiget	poškodovane
beskadiget	poškodovana
rudolph	rudolph
rudolph	rudolf
pinyin	pinjin
ward	ward
modtagelse	prejem
modtagelse	sprejemam
modtagelse	prejemanje
modtagelse	sprejem
support	podporo
support	podpore
support	podpora
sandhed	resnico
sandhed	resnice
sandhed	resnica
hævet	vzgojila
hævet	vzgojen
hævet	vzgojena
hævet	postavljeno
hævet	zatekel
hævet	otekle
manuelt	ročni
manuelt	ročna
manuelt	priročnik
manuelt	ročno
manuelt	ročno
inn	inn
inn	gostilna
inn	gostišče
præstation	nastop
præstation	zmogljivost
præstation	uspešnost
præstation	uspešnosti
præstation	dosežek
præstation	doseganje
atmosfæren	ozračje
atmosfæren	atmosfera
atmosfæren	atmosfero
atmosfæren	vzdušje
magic	čarobno
magic	čarovnija
magic	magic
magic	magično
magic	magijo
eksistere	obstajajo
eksistere	obstaja
racer	racer
racer	dirkač
racer	dirk
racer	dirkah
racer	rase
racer	dirke
racer	pasem
racer	pasme
boksning	boks
augustus	avgust
augustus	augustus
iau	iau
forestilling	spektakel
specialiseret	specializiranih
specialiseret	specializiran
specialiseret	specializirana
specialiseret	specializirani
specialiseret	specializirano
specialiseret	specializirane
specialiseret	specializiran
voice	glas
cameron	cameron
bjerre	bjerre
badminton	badminton
størrelser	velikosti
øre	uho
øre	ušesa
øre	ušes
øre	ušesi
øre	ušesa
walt	walt
katalog	katalog
katalog	katalog
katalog	kataloga
shakespeare	shakespeara
shakespeare	shakespeare
hudson	hudson
schwerin	schwerin
rapporterede	poročali
rapporterede	prijavljenih
løvfældende	listnati
susan	suzana
susan	susan
karsten	karsten
triple	trojno
triple	trojni
klassificeret	zaupno
sædvanlige	običajno
sædvanlige	običajna
produktet	produkt
produktet	proizvod
produktet	izdelek
currentclub	currentclub
taber	poraženec
taber	zguba
taber	izgubi
broadway	broadway
armenien	armenski
armenien	armenijo
tropiske	tropske
tropiske	tropski
tropiske	tropskih
hand	roki
hand	roka
indstilling	možnost
indstilling	drža
indstilling	obnašanje
indstilling	odnos
indstilling	nastavljanje
indstilling	nastavitev
indstilling	nastavitve
indstilling	nastavitev
lød	zvenelo
munch	munch
busk	bush
busk	grmovje
busk	grm
busk	grm
rapporter	prijavi
rapporter	poročilo
rapporter	poročila
rapporter	poročili
kompleks	zapletena
kompleks	zapleteno
kompleks	kompleks
kompleks	kompleksna
fænomener	pojavi
fænomener	pojave
koncept	pojem
koncept	koncept
wallace	wallace
redigere	urejanje
glenn	glenn
eksport	izvoz
eksport	izvozi
eksport	izvoz
lært	naučil
lært	naučil
elite	elita
elite	elite
elite	elito
jakobsen	jakobsen
nedsatte	zmanjšan
nedsatte	zmanjšana
nedsatte	znižana
nedsatte	zmanjšano
nedsatte	zmanjšani
spurgte	vprašal
spurgte	vprašali
kørsel	vožnja
kørsel	vožnje
kørsel	vožnjo
ment	pomenilo
ment	mišljeno
jules	jules
symboliserer	simbolizira
symboliserer	simbolizira
bloch	bloch
legendariske	legendarna
legendariske	legendarno
legendariske	legendarni
memorial	memorial
udtrykker	izraža
polo	polo
polo	pola
frugter	sadje
frugter	sadeži
frugter	sadje
frugter	plodovi
bifloder	pritokov
tunesien	tunizija
tunesien	tunizijski
hood	kapuco
hood	hood
tobias	tobias
indvandrere	migranti
indvandrere	migrantov
indvandrere	migrante
indvandrere	priseljenci
indvandrere	priseljencev
indvandrere	priseljence
indvandrere	priseljenci
indvandrere	priseljenec
arbejdspladser	zaposlitve
anklager	obtožbe
anklager	tožilec
anklager	tožilka
peters	peters
konsulent	svetovalca
konsulent	svetovalec
konsulent	svetovalec
venezuela	venezuelski
venezuela	venezueli
skribent	pisec
skribent	pisateljica
skribent	pisatelj
skribent	pisar
alexandria	aleksandriji
saturn	saturn
ride	jahanje
ride	vožnja
ride	prevoz
ride	vožnjo
forklarede	pojasnil
samtale	pogovor
arrangement	dogovor
arrangement	aranžma
arrangement	ureditev
arrangement	razporeditev
ridge	greben
ridge	ridge
classic	klasika
classic	klasično
classic	klasična
classic	klasičen
classic	klasični
ritualer	obrede
ritualer	obred
ritualer	ritual
mændene	moške
mændene	možje
mændene	men
mændene	moški
mændene	moška
ambassade	veleposlaništva
ambassade	veleposlaništvo
statsborgerskab	državljanstvo
statsborgerskab	državljanstvo
newcastle	newcastle
fyldte	polnjena
fyldte	polnjene
fyldte	napolnjena
fyldte	napolnjen
fyldte	napolnjeno
runder	krogov
runder	kroge
runder	nabojev
støder	žali
ontario	ontario
åndelige	duhovna
åndelige	duhovni
åndelige	duhovnega
åndelige	duhovne
åndelige	duhovno
panzer	panzer
tropperne	čet
tropperne	čete
fiktion	fikcija
tibet	tibeta
tibet	tibetu
tibet	tibet
svendsen	svendsen
gottorp	gottorp
iversen	iversen
særskilt	ločeno
særskilt	ločena
særskilt	ločeni
særskilt	ločeno
højdepunkt	poudari
højdepunkt	poudariti
højdepunkt	vrh
varighed	trajanje
pseudonym	psevdonim
gemeinden	gemeinden
kommunistisk	komunistično
kommunistisk	komunist
kommunistisk	komunistična
kommunistisk	komunistični
sko	čevlje
sko	čevljev
sko	čevlji
sko	čevelj
lider	trpeti
lider	trpel
lider	trpi
bakken	hrib
bakken	grič
bakken	hill
dyrke	gojiti
simpelt	preprost
simpelt	preprosta
simpelt	enostavno
simpelt	preprosto
standarder	standarde
standarder	standardi
opererer	obratuje
dominerede	prevladovala
mælk	mlečni
mælk	mleka
mælk	mleko
færge	shuttle
færge	trajekt
track	steza
track	skladbo
track	tir
track	proga
track	progi
intelligens	inteligenca
intelligens	obveščevalna
eastwood	eastwood
virus	virus
virus	virusa
virus	virusi
virus	virusi
virus	viruse
marcel	marcel
leonard	leonard
halle	halle
birger	birger
seattle	seattle
mozart	mozart
adm	adm
evil	zlobna
evil	zlo
evil	hudoben
evil	zloben
evil	zlobno
dylan	dylan
vision	vizija
vision	vida
vision	vidu
vision	vid
vision	vizijo
slagmarken	bojišče
gæst	obiskovalec
gæst	gosta
gæst	gostja
gæst	gost
statsborger	državljan
statsborger	meščan
definerer	opredeli
definerer	opredeliti
definerer	opredeljevanje
definerer	definira
definerer	opredeljuje
ugift	neporočena
brasilianske	brazilski
vestindien	karibih
idéer	zamisli
idéer	idej
idéer	ideje
zulu	zulu
begivenhederne	dogodki
begivenhederne	prireditve
begivenhederne	dogodke
begivenhederne	dogodkov
økonom	ekonomist
beat	ritem
beat	premagal
gradvis	postopna
gradvis	postopoma
gradvis	postopno
gradvis	postopoma
gradvis	postopno
gradvis	napredno
gradvis	postopno
gradvis	napreden
winter	zimska
winter	zimsko
winter	zimo
winter	zima
winter	winter
vinden	vetru
vinden	veter
vinden	vetra
gert	gert
peace	mir
peace	peace
ralph	ralph
mare	mare
mare	kobila
mare	kobilo
percussion	tolkala
matcher	vžigalice
matcher	ujemanja
matcher	ujemanje
matcher	ujemanje
matcher	ujema
novelle	roman
novelle	romana
ejeren	lastnik
ejeren	lastnica
vedrører	pomisleki
vedrører	zaskrbljenost
tilbyde	daritev
tilbyde	ponuja
tilbyde	ponudba
tilbyde	ponudbo
fejlagtigt	pomotoma
fejlagtigt	zmotno
hope	upanja
hope	hope
hope	upanje
regelmæssigt	redno
regelmæssigt	redno
regelmæssigt	redni
regelmæssigt	redna
rigdom	bogastva
rigdom	bogastvo
rigdom	premoženje
nævne	omenjen
nævne	omenil
nævne	omeni
renæssance	renesančni
finansieret	financirane
finansieret	financiran
finansieret	financiranih
finansieret	financiran
akt	dejanje
akt	akt
personale	osebje
personale	osebje
kaster	metanje
kaster	metanje
kaster	meče
kaster	vrže
halvkugle	polobli
halen	rep
halen	tail
happy	srečna
happy	srečen
happy	vesela
happy	srečno
ansøgning	zahtevek
ansøgning	vloga
ansøgning	vloge
ansøgning	prošnje
ansøgning	prijave
ansøgning	aplikacije
vagn	vagn
sangere	pevke
sangere	pevci
command	poveljstvo
command	ukaz
genopbygget	obnovljena
kammer	dvorani
kammer	komora
kammer	komoro
hemmelig	skrivna
hemmelig	skrivnost
hemmelig	skrivno
følges	sledili
følges	sledilo
følges	sledila
følges	sledil
bue	lok
bue	arc
bue	arch
bue	lok
bue	premec
christoph	christoph
værksted	delavnica
værksted	garaža
værksted	garažo
værksted	garaži
værksted	garaže
værksted	delavnica
værksted	delavnice
værksted	delavnico
udtalelser	mnenja
udtalelser	izjave
udtalelser	izjavi
simpsons	simpsonovi
simpsons	simpson
weekend	vikenda
weekend	vikend
sætninger	stavki
sætninger	fraze
sætninger	fraz
sætninger	stavki
wta	wta
bryggeri	pivovarna
bryggeri	brewer
madison	madison
pulje	bazen
pulje	biljard
sørger	žalovanje
sørger	žalovanja
sørger	žalovali
sørger	zagotavlja
sørger	žalovanje
sørger	žalovanja
atlético	atlético
tilsyn	nadzorovanje
tilsyn	nadzor
blom	blom
helium	helij
indtaget	slikano
indtaget	vzet
indtaget	zaužitje
indtaget	vnos
indtaget	zaužil
indtaget	porabljen
indtaget	porabljena
indtaget	porabljene
crash	nesreči
crash	trk
glimrende	odličen
glimrende	odlično
besidder	poseduje
devil	hudič
devil	vrag
ungdoms	mladosti
ungdoms	mladina
ungdoms	mladost
søgning	iskanje
søgning	išči
søgning	iskanje
evolution	evolucijo
evolution	razvoj
evolution	evolucija
husene	hiš
husene	hiške
husene	hiše
vidne	priča
seksuel	spolno
seksuel	spolna
landede	pristalo
landede	pristal
landede	pristali
foretrak	prednostno
foretrak	zaželeno
beskeden	sporočilo
beskeden	skromna
beskeden	skromen
beskeden	skromno
zar	car
zar	car
lead	svinec
krydsere	križarke
vinderne	zmagovalcev
vinderne	zmagovalci
vinderne	zmagovalce
montana	montana
brock	brock
falsk	lažno
falsk	ponarejena
falsk	ponaredek
falsk	lažno
falsk	fake
observeret	opažena
observeret	opaženi
observeret	opažene
observeret	opaženo
nash	nash
pil	puščica
pil	puščico
mhz	mhz
monarki	monarhija
moral	moralo
moral	morala
moral	moralni
moral	nauk
moral	moralna
moral	moralno
moral	morale
moral	moralo
moral	morale
moral	moralo
moral	morala
gilbert	gilbert
sandsynlighed	verjetnost
sandsynlighed	verjetnosti
sandsynlighed	verjetnost
håbede	upal
håbede	upala
håbede	upal
dokumenteret	dokumentirano
dokumenteret	dokumentiran
dokumenteret	dokazane
dokumenteret	dokazano
dokumenteret	dokazana
kosovo	kosova
kosovo	kosovo
nacional	nacional
afvikles	poravnana
afvikles	urejeno
strengt	stroga
strengt	strogi
strengt	stroge
strengt	strogo
torino	torino
torino	torinu
akustisk	akustične
akustisk	zvočni
konference	konferenca
martha	marta
martha	martha
massive	ogromen
leveres	oddana
leveres	dostavil
leveres	dostavljeno
kyster	obale
kyster	obal
kyster	obalo
kyster	obala
frisk	sveže
frisk	svež
frisk	sveža
frisk	sveži
stabil	stabilni
stabil	hlev
stabil	stabilen
stabil	stabilno
forbrug	potrošnja
forbrug	poraba
germain	germain
seat	sedež
seat	sedeža
eksperter	strokovnjaki
tyndt	tanke
tyndt	tanka
tyndt	tanko
tyndt	tanek
anime	anime
sank	potopila
sank	potonila
sank	potopil
sank	potonil
sank	potopila
sank	potonil
sank	potonila
kær	ljubki
ask	vprašajte
ask	vprašaj
ask	pepel
ask	ash
freja	freja
freja	freya
limited	omejena
limited	omejene
limited	omejen
limited	omejeno
limited	omejeni
versionen	različica
versionen	različice
chefen	šefica
chefen	boss
chefen	šef
murphy	murphy
diesel	dizel
tromsø	tromsø
analyser	analize
analyser	analizo
analyser	analize
analyser	analiza
faxe	faks
steget	vstal
steget	vstala
diamond	diamond
diamond	diamant
forårsagede	povzročena
forårsagede	povzročila
forårsagede	povzročil
forårsagede	povzročeno
detaljeret	podrobno
bekendte	znanca
bekendte	znanci
bekendte	znance
mærker	znamke
mærker	znamk
mærker	znamenja
mærker	oznake
mærker	marks
mærker	oznake
mærker	označbe
mærker	značke
mærker	oznake
tråd	žica
tråd	žico
tråd	žice
tråd	nit
edge	robu
edge	rob
edge	ostrino
bopæl	prebivanje
bopæl	bivališče
bopæl	bivanje
bopæl	rezidenca
bopæl	prebivališče
bopæl	bivališče
bopæl	domicil
bopæl	prebivališče
jürgen	jürgen
jürgen	jürgen
læsere	bralci
knight	vitez
tilgængeligt	razpoložljivi
tilgængeligt	razpoložljiva
tilgængeligt	dostopna
tilgængeligt	dostopno
tilgængeligt	dostopni
tilgængeligt	dostopen
døren	vrata
tungt	težka
tungt	težki
tungt	težke
tungt	težko
viet	vdan
viet	predan
viet	viet
bertel	bertel
smukt	čudovita
smukt	prelepi
smukt	prelepe
smukt	lepi
smukt	lepe
smukt	lepa
torpedoer	torpeda
torpedoer	torpedi
hugh	hugh
grundstoffer	elementi
grundstoffer	elementarnega
ryg	zadaj
ryg	hrbet
ryg	nazaj
ryg	dim
ryg	kadite
ryg	dima
ryg	kadi
ryg	kajenje
forbød	prepovedal
faldende	padanje
faldende	padec
faldende	padajoči
faldende	padajo
faldende	spušča
faldende	upadanja
niende	deveti
niende	deveto
forstad	predmestje
forstad	predmestje
forstad	predmestju
forstad	predmestja
mund	ust
mund	usta
mund	gobec
bryggeriet	pivovarna
huskes	spomnil
ram	ram
ram	rama
uro	nemir
uro	nemiri
uro	anksioznost
uro	tesnoba
uro	bojazen
uro	vznemirjenost
due	golob
due	golobica
due	goloba
due	golob
justin	justin
trusler	grožnje
trusler	grožnja
lau	lau
willy	willy
gestapo	gestapa
gestapo	gestapo
eminem	eminem
andersson	andersson
coast	obalo
coast	obala
fjernsyn	televizijo
fjernsyn	televizija
ture	jaha
ture	ogledi
ture	izleti
ture	potovanja
ture	izleti
leon	leon
