culto	kult
calefacción	vročina
calefacción	toplota
calefacción	toplote
calefacción	gretje
calefacción	segrevanje
calefacción	ogrevanje
respondeu	odgovoril
décadas	desetletji
décadas	desetletjih
décadas	desetletij
décadas	desetletja
enfermos	bolan
compartimos	deli
compartimos	delimo
compartimos	delež
compartimos	delim
compartimos	skupna
compartimos	deljeno
compartimos	deljena
redución	zmanjšanje
redución	znižanje
arder	gori
arder	gorenje
arder	gorela
arder	zažgal
arder	zgori
volcán	vulkan
kg	funtov
kg	kilogramov
oriental	vzhodni
oriental	vzhodna
oriental	vzhodno
oriental	oriental
violín	violina
violín	violino
sufriu	trpel
sufriu	trpela
roubei	ukradli
roubei	ukradel
roubei	ukradla
usado	uporabljen
usado	uporabljena
usado	uporabljeno
usado	uporabljene
usado	uporabljeni
explorar	raziskovanje
explorar	raziskati
explorar	raziskuje
explorar	raziskovanju
explorar	raziskovanje
xeralmente	splošno
teléfonos	telefoni
teléfonos	telefone
estruturas	konstrukcije
estruturas	strukture
fusión	fuzijske
suma	vsota
suma	seštevek
mentais	duševno
mentais	mentalno
mentais	duševna
tanque	tanka
tanque	rezervoar
tanque	tank
eventos	dogodki
eventos	prireditve
eventos	dogodke
eventos	dogodkov
america	ameriki
america	amerika
america	ameriko
america	america
axenda	agenda
bancos	banks
bancos	bankam
bancos	bankah
bancos	bankami
bancos	banke
pensaron	misel
pensaron	so
troques	namesto
instrucións	navodila
chamábase	njegovo
chamábase	njegove
chamábase	njegov
chamábase	njegova
chamábase	ime
chamábase	bil
chamábase	bila
chamábase	poklical
pluma	pen
pluma	pero
pluma	pero
murray	murray
espido	gola
espido	nag
espido	goli
espido	golo
técnicos	tehniki
técnicos	tehnično
técnicos	tehnični
técnicos	tehnična
verbas	besed
verbas	besede
deixalos	njimi
deixalos	jih
deixalos	njih
deixalos	dopust
deixalos	zapusti
vanme	so
conclusión	to
conclusión	tisto
conclusión	zaključek
conclusión	sklep
conclusión	ugotovitev
orgullosos	ponosna
orgullosos	ponosen
orgullosos	ponosni
chegarán	will
chegarán	bo
chegarán	volja
chegarán	so
escoitou	slišal
escoitou	slišala
músculos	mišice
demostración	dokazovanje
demostración	prikaz
computador	računalnik
computador	računalniško
computador	računalniška
xogadores	igralci
xogadores	igralca
xogadores	igralce
xogadores	akterji
gañando	zmaga
gañando	zmagovalna
quedaron	so
supostamente	domnevno
facelos	njimi
facelos	jih
facelos	njih
facelos	naredi
violación	posilstva
violación	posilstvo
violación	kršitev
escribiume	napisal
escribiume	pisal
escribiume	napisala
escribiume	zapisal
gustoume	kot
gustoume	všeč
xefa	glavo
xefa	glava
xefa	head
manchas	pege
vestida	oblečen
vestida	oblečena
vestida	oblečeno
neveira	hladilnik
potente	močan
potente	močni
potente	močno
potente	mogočna
potente	močna
hanoi	hanoju
islam	islam
profeta	prerok
chámanlle	poklici
chámanlle	pokliči
chámanlle	klic
chámanlle	pokličite
devanceiros	predniki
perigosa	nevarno
perigosa	nevaren
perigosa	nevarne
perigosa	nevarni
perigosa	nevarna
categoría	kategorijo
categoría	kategorija
estatal	stanje
estatal	država
estatal	državno
amargo	zagrenjen
amargo	grenko
amargo	grenka
amargo	grenak
equivocado	narobe
equivocado	napačno
equivocado	napačen
representante	zastopnik
representante	posrednika
representante	približek
representante	zastopnik
representante	reprezentativno
representante	reprezentativni
representante	predstavnik
levárono	vzela
levárono	vzel
levárono	njega
levárono	ga
levárono	so
xogamos	igral
xogamos	igrala
xogamos	igralo
xogamos	igraj
feitas	narejena
feitas	narejeni
feitas	narejen
feitas	narejeno
renunciar	dajanje
logro	dosežek
logro	doseganje
estranxeira	tuje
estranxeira	tuja
estranxeira	tuji
estranxeira	tujec
favorita	priljubljeni
favorita	priljubljeno
favorita	najljubša
favorita	najljubši
seguranza	izvajalec
subtítulos	podnapisi
ciclo	ciklus
ciclo	cikel
dirán	so
dirán	povej
viaxa	potuje
viaxa	potovanja
viaxa	potovanje
néboa	megla
ducia	ducat
localización	lokacija
localización	lokacijo
levado	slikano
levado	vzet
cidadás	meščani
cidadás	državljane
cidadás	državljani
satisfacer	zadovolji
parker	parker
pioneiros	pionirji
esperan	upanja
esperan	hope
esperan	upanje
esperan	čakanje
esperan	čakam
taza	pokal
taza	skodelico
taza	skodelica
taza	lonček
lote	lot
metais	kovine
metais	kovin
lixeiro	svetlo
lixeiro	svetloba
lixeiro	luč
lixeiro	lahka
acumulación	kopičenja
acumulación	kopičenje
manchester	manchester
raíces	korenine
evidentemente	očitno
tina	tine
tina	tina
prometín	obljubljeno
prometín	obljubil
condena	čas
condena	časa
defunto	zamuja
defunto	pozno
defunto	pozen
defunto	pozni
defunto	pozna
defunto	mrtev
fuga	okončine
fuga	ud
fantasma	prevoz
fantasma	kočija
fantasma	duh
regrese	zadaj
regrese	hrbet
regrese	nazaj
escapou	stran
escapou	iz
escapou	od
escapou	pobegnila
escapou	pobegnil
tumbas	grobov
tumbas	graves
tumbas	grobove
amada	ljubljena
amada	ljubil
cooperativas	zadruga
cooperativas	zadrug
cooperativas	zadruge
jenny	jenny
colgar	obesili
colgar	obesi
óesme	si
óesme	ti
internado	bolnišnica
internado	bolniška
internado	bolnica
molesto	razburjena
molesto	razburjen
pensado	misel
sabas	listi
sermón	pridigo
sermón	pridiga
barriga	trebuh
barriga	trebušček
refires	zloben
refires	hudoben
refires	zlobno
gustaríalle	kot
gustaríalle	bi
parado	stojalo
parado	stand
parado	stati
mátote	ubil
mátote	si
mátote	ti
esperas	si
esperas	ti
esperas	čakanje
esperas	čakam
caín	padel
caín	padla
caín	padlo
escravo	suženj
escravo	sužnja
socorro	pomagaj
socorro	pomoč
socorro	pomagajte
mandou	poslan
mandou	poslana
mandou	poslani
mandou	poslano
mandou	poslane
joseph	joseph
joseph	jožef
seda	svile
seda	svila
secreta	skrivna
secreta	skrivnost
secreta	skrivno
xusta	le
xusta	samo
vido	pridi
vido	prišlo
vido	prišel
ombreiro	rame
ombreiro	ramo
ombreiro	rama
ombreiro	rami
dispararon	ustreljen
dispararon	ustreljena
dispararon	strel
dispararon	so
potencia	power
potencia	moč
terlle	imajo
terlle	imeti
terlle	njega
terlle	ga
prometo	obljubi
prometo	obljuba
planos	načrte
planos	načrti
polis	policaji
polis	policisti
seguirá	will
seguirá	bo
seguirá	volja
seguirá	vseeno
seguirá	še
vervos	glej
vervos	glejte
vervos	si
vervos	ti
sóltame	dobil
sóltame	dobi
ataques	napadi
ataques	napade
celosa	ljubosumen
celosa	ljubosumni
celosa	ljubosumna
estabades	bili
estabades	si
estabades	ti
interesada	zanima
interesada	zainteresirani
interesada	zainteresirana
interesada	zainteresirane
escoitaches	si
escoitaches	ti
escoitaches	slišal
escoitaches	slišala
fálame	glede
fálame	povej
vendas	prodaja
vendas	prodaja
parezo	poglej
vinnie	vinnie
permíteme	maj
permíteme	maja
pague	plača
pague	plačilo
colar	ogrlico
colar	verižico
colar	ogrlica
levarte	si
levarte	ti
levarte	vzemite
levarte	vzemi
sacaches	dobil
sacaches	dobi
sacaches	si
sacaches	ti
xudea	judeje
xudea	fronta
xudea	spredaj
boh	no
lima	lima
rezo	moli
refíreste	si
refíreste	ti
refíreste	zloben
refíreste	hudoben
refíreste	zlobno
soñando	sanjal
soñando	sanjati
adoro	ljubezni
adoro	love
adoro	ljubezen
dillo	povej
dillo	njega
dillo	ga
trent	trent
jean	jean
saigón	saigonu
ámoa	ljubezni
ámoa	love
ámoa	ljubezen
ámoa	njej
ámoa	njo
ámoa	njen
ámoa	her
ámoa	njena
dylan	dylan
xastre	krojač
xastre	krojači
quizabes	lahko
quizabes	imajo
quizabes	imeti
boulevard	boulevard
autoestrada	avtocesto
autoestrada	avtocesta
clermont	clermont
crucifixión	križanje
serventa	služkinja
serventa	sobarica
melinda	melinda
père	duchene
imperfecto	nepopolno
imperfecto	nepopoln
refuxiados	begunec
refuxiados	begunca
refuxiados	begunci
refuxiados	beguncev
viñan	pridi
viñan	prišlo
viñan	prišel
viñan	so
levei	vzela
levei	vzel
cambian	spremembe
cambian	spremeni
cambian	sprememba
honestidade	poštenost
honestidade	odkritost
honestidade	iskrenost
granxas	kmetije
mozart	mozart
dados	kocke
mestra	učiteljica
mestra	učitelj
mestra	mojstrovina
mestra	mojstrovino
mestra	umetnina
occidental	zahodna
occidental	zahodni
occidental	western
occidental	zahodno
occidental	zahodna
occidental	zahod
occidental	zahodno
representar	zastopati
representar	predstavljajo
actuación	nastop
actuación	zmogljivost
actuación	uspešnost
actuación	uspešnosti
impresionante	impresivno
encaixa	ustreza
encaixa	paše
tomaba	vzela
tomaba	vzel
king	king
king	kralj
andy	andy
archie	archie
fantasía	domišljija
fantasía	fantazijo
fantasía	fantazije
fantasía	fantazija
xulgar	judge
xulgar	sodnik
xulgar	sodnica
vicepresidente	vice
vicepresidente	podpredsednik
vicepresidente	predsednik
vicepresidente	predsednica
fase	faza
fase	oder
fase	faza
fase	fazo
veredes	glej
veredes	glejte
veredes	si
veredes	ti
deixala	njej
deixala	njo
deixala	njen
deixala	her
deixala	njena
deixala	si
deixala	ti
extraordinario	izredna
extraordinario	izredni
extraordinario	izredno
anderson	anderson
contesta	odgovor
contesta	odgovori
pagas	plača
pagas	plačilo
pagas	si
pagas	ti
preguntoume	in
preguntoume	vprašal
preguntoume	vprašali
impedir	ustavi
impedir	obdrži
impedir	ohrani
congreso	kongres
congreso	kongresu
recibiron	prejeto
recibiron	prejeti
recibiron	prejeta
collen	vzemite
collen	vzemi
béisbol	baseball
medrei	zrasel
medrei	rasel
medrei	zrasla
electrónico	elektronsko
electrónico	elektronska
reto	izziv
postura	drža
postura	držo
postura	položaj
postura	lega
postura	stališče
postura	pozicija
interacción	interakcij
interacción	interakcije
impotencia	nemoč
relacionado	povezano
relacionado	povezani
tocas	si
tocas	ti
convencer	prepričajte
ego	ega
ego	ego
prioridades	prioritete
largo	dobil
largo	dobi
largo	ven
largo	zunaj
experto	izvedenec
experto	strokovna
experto	strokovnjak
referencia	referenca
referencia	sklic
referencia	sklicevanje
tiveses	si
tiveses	ti
tiveses	imelo
tiveses	imeli
tiveses	imel
tiveses	imela
preocupar	glede
preocupar	skrbi
necesitaba	potreben
necesitaba	potrebna
necesitaba	potrebovali
gafas	očala
gafas	kozarci
secreto	skrivna
secreto	skrivnost
secreto	skrivno
pavos	purane
verdadeiros	resničen
verdadeiros	resnično
verdadeiros	resnična
verdadeiros	prava
verdadeiros	realno
verdadeiros	res
verdadeiros	resnično
verdadeiros	true
verdadeiros	resnična
verdadeiros	resnica
similares	podobni
similares	podoben
similares	podobna
similares	podobne
similares	podobnih
similares	podobno
desafío	izziv
desafío	kljubovanje
capturar	zajetje
capturar	zajeti
capturar	zajemanje
profundidade	globina
profundidade	globoka
profundidade	globoko
profundidade	globok
capas	plasti
capas	zlat
capas	zlato
capas	zlate
capas	zlati
capas	zlata
utiliza	uporaba
utiliza	use
utiliza	uporabi
virán	pridi
orientais	vzhodni
orientais	vzhodna
orientais	vzhodno
adolescente	mladostnikih
nalgures	nekje
nalgures	nekam
maquinaria	stroji
maquinaria	mašina
maquinaria	stroj
renda	najemnino
renda	najem
renda	dohodek
renda	dohodka
renda	dohodki
renda	prihodki
renda	prihodek
admitir	želiš
inxección	vbrizgavanje
inxección	injekcijo
inxección	injiciranje
inxección	injekcija
instrumento	inštrument
instrumento	instrument
diaños	pekel
micrófono	mikrofon
micrófono	mic
micrófono	mikrofon
cheguen	so
cheguen	dobil
cheguen	dobi
cheguen	pridi
placas	tablice
placas	krožniki
placas	plošče
habitacións	sobe
habitacións	sob
actuais	tok
actuais	trenutni
actuais	trenutna
actuais	sedanji
construíu	zgrajeno
construíu	zgrajen
construíu	zgrajeni
construíu	zgradil
construíu	zgrajena
contrasinal	geslo
dispositivos	naprave
dispositivos	naprav
dispositivos	pripomočki
mandela	mandela
mark	označi
mark	mark
porca	umazana
porca	umazani
porca	umazan
porca	umazano
porca	umazane
entrevistas	intervjuje
entrevistas	intervjujev
entrevistas	razgovori
entrevistas	pogovori
lendo	branje
sa	zdrave
sa	zdrav
sa	zdravi
queixa	pritožba
verdades	resnice
tomen	vzemite
tomen	vzemi
manifestación	dokazovanje
manifestación	prikaz
ética	etiko
ética	etična
ética	etika
cruzando	počez
cruzando	čez
cruzando	prečkanje
cruzando	prehod
opresión	zatiranje
serra	sierra
argumento	utemeljitev
argumento	argument
xen	gene
xen	gen
asilo	domača
asilo	doma
asilo	domov
asilo	dom
autor	avtor
ducha	tuš
ducha	prha
amabilidade	prijaznost
amabilidade	dobrote
amabilidade	prijaznosti
simon	simon
simon	simona
nucleares	jedrska
nucleares	jedrski
propiedades	last
propiedades	lastnost
propiedades	premoženje
propiedades	nepremičnine
propiedades	lastnina
propiedades	lastnosti
henry	gašper
henry	henry
gañadores	zmagovalcev
gañadores	zmagovalci
gañadores	zmagovalce
use	uporaba
use	use
use	uporabi
paramos	ustavi
aparecer	pokaži
aparecer	prikaži
aparecer	oddaja
buracos	luknje
ensaio	sojenje
mercados	trg
mercados	tržišče
mercados	tržnice
mercados	trgi
mercados	tržišča
suecia	švedska
pares	ustavi
dentista	zobozdravnik
obtivo	dobil
obtivo	got
comín	pojedel
comín	jedli
comín	jedla
comín	pojedla
comín	jedel
reside	laži
reside	prebiva
farían	bi
farían	imajo
farían	imeti
farían	so
xerais	splošno
xerais	splošni
xerais	splošna
xerais	generali
xerais	generalov
golpes	udarci
golpes	piha
meniño	otrok
meniño	punčka
meniño	dojenček
meniño	poba
meniño	deček
meniño	fant
meniño	fantek
colleron	so
debiamos	imelo
debiamos	imeli
debiamos	imel
debiamos	imela
teredes	imajo
teredes	imeti
teredes	si
teredes	ti
nazis	nacisti
nazis	nacist
nazis	nacistični
cazadores	lovce
cazadores	lovci
cazadores	lovski
cazadores	lovska
cazadores	lov
cazadores	lovljenje
trataba	bil
trataba	bila
musulmáns	muslimani
musulmáns	muslimanov
barrios	soseske
barrios	soseščine
barrios	območja
barrios	področja
barrios	površine
reláxate	sprosti
bater	zadetek
bater	hit
bater	udaril
perdoar	odpusti
manteñen	obdrži
manteñen	ohrani
manteñen	so
existiu	obstajal
existiu	obstajala
existiu	obstajali
elemento	element
mecánico	mehanska
mecánico	mehansko
mecánico	mehanski
mecánico	mehanske
mecánico	mehanik
mecánico	mehanika
desaparición	izginotje
piden	vprašajte
piden	vprašaj
piden	za
piden	so
durmimos	spi
durmimos	spanec
durmimos	spati
durmimos	spanje
esquezo	pozabi
refire	zloben
refire	hudoben
refire	zlobno
espacial	hubble
espacial	vesolje
espacial	prostor
espacial	space
espacial	vesoljska
estacións	letne
estacións	sezon
estacións	postaje
barra	bar
barra	kilogram
barra	kilo
rabaño	jato
rabaño	čreda
rabaño	jate
rabaño	jata
national	nacionalna
national	nacionalno
national	nacionalni
osos	medvedov
osos	medvedje
osos	medvedi
sumidoiro	jarku
diálogo	dialog
personalidade	osebnosti
personalidade	osebnost
gertrude	gertrude
sinceramente	res
sinceramente	resnično
sinceramente	zares
perdidos	izgubljena
perdidos	izgubljeni
perdidos	izgubil
perdidos	izgubljeno
perdidos	izgubljen
hara	hara
bebendo	pitja
bebendo	pitje
bebendo	pijača
bebendo	piti
persecución	zasledovanje
persecución	pregon
acusación	obtožba
vivido	živel
vivido	živeli
vivido	živela
lanzamento	spust
lanzamento	spusti
lanzamento	izpusti
recorda	si
recorda	ti
green	zeleno
green	zelene
green	green
green	zeleni
green	zelena
clásico	klasične
clásico	klasično
clásico	klasična
clásico	klasika
clásico	klasično
clásico	klasična
clásico	klasičen
clásico	klasični
armado	oboroženi
armado	oborožena
armado	oborožen
armado	oborožene
mobles	pohištva
mobles	pohištvo
negociar	pogajati
afastados	stran
afastados	iz
afastados	od
xestos	geste
disturbios	nemiri
disturbios	nemirov
intelectual	intelektualna
intelectual	intelektualne
intelectual	intelektualno
gravitacional	gravitacijsko
averiguar	ven
averiguar	zunaj
averiguar	poišči
averiguar	najdi
presencia	prisotnost
presencia	prisotnosti
presencia	navzočnost
teríamos	bi
teríamos	imajo
teríamos	imeti
brando	mehko
brando	mehka
brando	mehke
brando	mehak
sospeita	sum
sospeita	osumljenci
sospeita	osumljenca
mestura	premeša
mestura	mix
mestura	mešanica
mestura	mešanje
novidade	novo
novidade	nov
novidade	novi
novidade	nove
novidade	nova
mañán	dopoldne
mañán	jutranja
mañán	jutro
mañán	jutri
tua	tvoje
tua	tvoji
tua	vaš
tua	tvoj
tua	tvoja
tua	vaša
tua	ljubeča
tua	ljubeč
tua	ljubeče
tua	ljubiti
sintes	občuti
asentos	sedeže
asentos	sedeži
fondos	sredstva
fondos	skladi
bicos	poljubček
bicos	poljubi
soto	kleti
soto	klet
soto	klet
príncipes	princi
príncipes	prince
ocuparse	oskrba
ocuparse	nego
ocuparse	nega
ocuparse	care
ocuparse	vzemite
ocuparse	vzemi
eterna	večno
eterna	večen
eterna	večni
eterna	večna
elixido	izvoljeni
elixido	izvoljen
elixido	izvoljena
elixido	izbrano
elixido	izbrani
elixido	izbrana
elixido	izbran
elixido	enga
elixido	ena
elixido	en
elixido	eden
elixido	eno
fíxate	poglej
socialismo	socializem
traio	prinesi
créame	verjemi
georgie	georgie
dareille	dej
dareille	daj
mantemento	vzdrževanje
privilexios	privilegije
privilexios	privilegiji
sabíao	vedel
sabíao	vedela
cansos	utrujena
cansos	utrujeni
cansos	utrujen
cansos	utrujeno
pases	čas
pases	časa
botes	čolni
tivésemos	imelo
tivésemos	imeli
tivésemos	imel
tivésemos	imela
algodón	bombaž
tirado	lagal
tirado	lažnivi
tirado	laganje
pazo	palačo
pazo	palača
pazo	vili
pazo	vilo
pazo	villa
pazo	vila
volvería	bi
volvería	zadaj
volvería	hrbet
volvería	nazaj
volvería	spet
volvería	znova
volvería	ponovno
saes	si
saes	ti
saes	ven
saes	zunaj
solitario	osamljeno
solitario	samotno
solitario	osamljena
solitario	osamljeni
solitario	osamljen
aturo	lahko
aturo	vzemite
aturo	vzemi
aturo	stojalo
aturo	stand
aturo	stati
direiche	povej
responsábeis	odgovorno
responsábeis	odgovornega
responsábeis	odgovoren
responsábeis	odgovorni
responsábeis	odgovorna
responsábeis	za
desexaría	željo
desexaría	želja
aparta	dobil
aparta	dobi
municións	streliva
municións	strelivo
municións	strelivo
escocés	viski
quite	vzemite
quite	vzemi
quite	off
quite	izklop
louis	louis
louis	ludvik
miami	miami
descansa	počitka
descansa	počitek
pedido	naročila
pedido	naroči
pedido	red
pedido	naročilo
stratton	stratton
francesas	francosko
francesas	francoska
francesas	francoščina
francesas	francoski
perdes	si
perdes	ti
perdes	izgubi
falaron	so
detente	ustavi
servirá	will
servirá	bo
servirá	volja
digno	vredna
digno	vreden
digno	vredni
amarelo	rumena
amarelo	rumeni
amarelo	rumene
amarelo	rumen
amarelo	rumeno
wheeler	wheeler
fama	slava
fama	slavo
canibalismo	kanibalizem
duras	trde
duras	težko
duras	trdo
aceno	gesta
estouche	si
estouche	ti
della	della
trucos	triki
trucos	trike
trucos	umazani
trucos	umazan
trucos	umazano
alumnado	dijaki
alumnado	zenice
alumnado	učencev
alumnado	učenci
alumnado	so
alumnado	dijaki
alumnado	študentje
alumnado	študenti
alumnado	študente
alumnado	učenci
vera	vera
tentativa	poizkus
tentativa	poskus
tentativa	poskus
bárbaros	barbari
bárbaros	divjaki
stan	stan
stan	stana
stan	stanu
stan	si
stan	ti
west	zahodna
west	zahod
west	zahodno
bild	bild
marines	marinci
marines	morskih
marines	marinec
marines	marine
marines	morsko
dickie	dickie
cóidate	vzemite
cóidate	vzemi
cóidate	oskrba
cóidate	nego
cóidate	nega
cóidate	care
armenia	armenijo
correde	beži
correde	zbeži
correde	teči
turista	turistična
turista	turistični
turista	turistične
turista	turist
turista	turistično
mann	mann
kathy	kathy
alicia	alica
alicia	alice
parisinos	parižani
won	zmagali
won	zmagala
won	zmagal
heavy	težka
heavy	težki
heavy	težke
heavy	težko
wey	wei
cora	cora
doutora	zdravnik
doutora	zdravnika
doutora	zdravnica
doutora	doktor
envioume	poslan
envioume	poslana
envioume	poslani
envioume	poslano
envioume	poslane
conquistar	osvojil
equipos	ekip
equipos	ekipe
equipos	moštva
procede	pride
procede	iz
procede	od
vise	žago
vise	videl
vise	vidu
vise	žaga
vise	glej
vise	glejte
altar	oltarju
altar	oltar
altar	oltarja
refírome	zloben
refírome	hudoben
refírome	zlobno
debates	razprave
debates	razprave
redes	mreže
redes	mrež
redes	mreže
redes	omrežja
investigadores	raziskovalcem
investigadores	raziskovalci
investigadores	raziskovalca
investigadores	raziskovalce
utilidade	uporaba
utilidade	use
utilidade	uporabi
utilidade	uporabnost
utilidade	pripomoček
crece	raste
crece	zraste
entretemento	zabava
entretemento	razvedrilo
entretemento	zabavo
diapositiva	slide
trampas	pasti
soben	to
soben	tisto
vense	so
cometeu	predano
cometeu	storjena
cometeu	narejena
cometeu	narejeni
cometeu	narejen
cometeu	narejeno
favoritos	priljubljeni
favoritos	priljubljeno
favoritos	najljubša
favoritos	najljubši
favoritos	priljubljene
favoritos	najljubših
favoritos	najljubše
comparten	deli
comparten	delimo
comparten	delež
comparten	delim
volvía	zadaj
volvía	hrbet
volvía	nazaj
musical	glasbeni
musical	muzikal
musical	glasbena
musical	glasba
musical	muzika
musical	glasbo
funcionamento	kako
detector	detektor
illado	osamljen
illado	izolirana
illado	izoliranih
illado	izolirane
illado	izolirano
illado	to
illado	tisto
fundamental	temeljno
fundamental	temeljna
xuízos	sodbe
xuízos	sodb
xuízos	sojenja
xuízos	preizkušnje
xuízos	preizkusi
causas	vzroki
bate	bije
bate	premaga
substituír	nadomesti
substituír	zamenjaj
substituír	nadomestek
substituír	za
debuxo	risba
debuxo	risanje
rostros	obraze
rostros	obrazi
rostros	obraz
rostros	obraza
rostros	face
aula	sobo
aula	soba
aula	sobi
aula	razred
aula	pouk
manipulación	manipulacijo
manipulación	manipulacije
sentirse	občuti
campá	zvonec
campá	zvon
campá	bell
saíde	dobil
saíde	dobi
saíde	ven
saíde	zunaj
corrupción	korupcija
corrupción	korupciji
corrupción	korupcijo
entras	pridi
elo	to
elo	tisto
preguntarnos	vprašajte
preguntarnos	vprašaj
corvos	vrane
corvos	vrane
prestar	plačevanje
prestar	plača
prestar	plačilo
persoais	osebno
persoais	osebne
persoais	osebni
persoais	osebna
herdanza	dediščina
herdanza	dediščino
herdanza	dediščine
herdanza	dediščina
herdanza	nasledstvo
herdanza	dediščino
defecto	privzeta
defecto	privzeto
eléctrica	električno
eléctrica	električna
eléctrica	električni
eléctrica	power
eléctrica	moč
prestado	izposoditi
prestado	sposodil
prestado	sposodila
interiores	notranji
interiores	notranje
interiores	notranja
traxes	vzhodni
traxes	vzhodna
traxes	vzhodno
traxes	obleko
traxes	obleka
traxes	obleke
limitado	omejena
limitado	omejene
limitado	omejen
limitado	omejeno
limitado	omejeni
ancián	stare
ancián	star
ancián	staro
ancián	stara
ancián	stari
ancián	moški
ancián	mož
ancián	človek
infección	okužbe
infección	okužba
radicais	radikalci
radicais	radikalne
radicais	radikalno
recente	nedavne
recente	nedavno
recente	nedavna
italianos	italijanske
italianos	italijanski
italianos	italijansko
italianos	italijanska
italianos	italijan
italianos	italijani
xeracións	generacije
xeracións	generacij
barreira	ovira
barreira	pregrada
ouviu	slišal
ouviu	slišala
ouviu	si
ouviu	ti
jamie	jamie
ido	odšel
arruinar	uniči
toquei	dotaknila
toquei	dotaknil
toquei	dotik
concertos	koncerte
concertos	koncertov
pecho	zapri
virus	virus
virus	virusa
virus	virusi
pulmóns	pljuč
pulmóns	pljuča
extremadamente	izjemno
extremadamente	izredno
fármacos	droge
fármacos	mamila
fármacos	zdravila
microbios	mikrobi
prácticas	prakse
prácticas	praktično
prácticas	praktične
prácticas	praktičen
prácticas	praktična
estudios	studios
axuden	pomagaj
axuden	pomoč
axuden	pomagajte
hackers	hekerji
arrecifes	coral
arrecifes	grebeni
éramos	bili
ondas	valovanje
ondas	valovi
acabará	konec
acabará	will
acabará	bo
acabará	volja
ártico	arktični
mortas	mrtev
egoísta	sebični
egoísta	sebično
crecín	zrasel
crecín	rasel
crecín	zrasla
crecín	vzgojila
crecín	vzgojen
crecín	vzgojena
crecín	postavljeno
tratei	probal
tratei	poskusil
tratei	poskušal
camiñas	hojo
camiñas	hoja
camiñas	hoje
camiñas	hodi
camiñas	peš
camiñas	si
camiñas	ti
camiñas	sprehod
camiñas	hoja
camiñas	sprehodi
