பிராட்வே	broadway
ரீயூனியன்	reunion
சாப்ளின்	chaplin
பனியாறு	glacier
ஐதர்	hyder
பிரின்ஸ்டன்	princeton
ராமா	rama
சகுந்தலா	shakuntala
வருண்	varun
ஈமு	emu
வெனிசுலா	venezuela
மெரினா	marina
சீரியம்	xeri
ஜான்ஸ்	johns
இருமுனையம்	diode
இருமுனையம்	điốt
ஐவரி	ivory
ஐவரி	ngà
காகா	kaga
காகா	gaga
நியோ	neo
டங்கன்	duncan
கதாநாயகி	heroine
பெல்லாரி	bellary
காதுகள்	tai
பாட்டன்	gậy
பாட்டன்	baton
ஹிந்துஸ்தான்	hindustan
பாட்ரிக்	patrick
மலாவி	malawi
பந்தம்	torch
பந்தம்	đuốc
தொடுதிரை	touchscreen
அம்பர்	amber
நீர்கொழும்பு	negombo
பதாகை	banner
வெள்ளெலி	hamster
செல்டிக்	celtic
வெல்ஸ்	wells
வெல்ஸ்	giếng
வான்கூவர்	vancouver
நிக்கல்சன்	nicholson
யூரி	yuri
கையிருப்பு	handheld
கிக்	đá
சேர்க்கிறது	thêm
மிட்செல்	mitchell
நொண்டி	què
நொண்டி	bèo
நொண்டி	lame
நவீன்	naveen
செம்மறி	cừu
நாற்றம்	stinky
ப்ரோ	pro
சில்க்	lụa
நினைத்துக்	nghĩ
கிரேஸ்	ân
கிரேஸ்	grace
கிரேஸ்	tha
யோசுவா	joshua
தினங்கள்	ngày
யமன்	yama
ரேடார்	radar
ரேடார்	rađa
ஹனோய்	hanoi
உமிழும்	emitting
கண்டுபிடித்தல்	finding
பிறரை	khác
தான்சானியா	tanzania
லெஸ்	đọc
லெஸ்	les
முலை	vú
முலை	ngực
முலை	zú
லில்	lil
ஈராக்சைடு	dioxide
ஈராக்சைடு	điôxít
மெல்	mel
மெல்	nhai
மெல்	ngẫm
நவாஸ்	nawaz
அஸ்பாரகஸ்	asparagus
அஸ்பாரகஸ்	măng
டேன்	dane
முதுகுநாணி	chordate
ஆசிரமத்தில்	ashram
நிர்வாண	naked
நிர்வாண	nude
பாதங்கள்	feet
பாதங்கள்	chân
பாதங்கள்	mét
பாதங்கள்	paws
பிளமேன்கோ	flamenco
கோஷ்	ghosh
வெட்சி	ixora
தண்டின்	catcher
நியான்	neon
மேரா	mera
மேரா	meera
தூசி	bụi
தூசி	chốn
பூன்	boon
ஹமாஸ்	hamas
நீள்வட்டம்	elip
மொகாலி	mohali
வியட்நாமிய	vietnamese
புதிது	new
புதிது	mới
புதிது	sâm
புரிந்தான்	vẩn
பிலாஸ்பூர்	bilaspur
சாக்	zac
கண்டிப்பான	chuỗi
பிலிப்ஸ்	philips
ஐஸ்லாந்து	iceland
அன்புள்ள	hon
அன்புள்ள	cưng
இதயத்தை	tim
இதயத்தை	heart
கண்ணே	babes
கண்ணை	eye
கண்ணை	mắt
கூட்டாளிகள்	associates
ஒரிஜினல்	gốc
ஒரிஜினல்	tác
ஜூனோ	juno
பைத்தான்	python
பைத்தான்	trăn
கோலாப்பூர்	kolhapur
சோம்பல்	lat
சோம்பல்	biếng
சோம்பல்	lazy
சோம்பல்	lười
சோம்பல்	lười
என்ஜின்	tơ
உள்நோக்கம்	intention
அசன்	asan
அசன்	ahsan
தம்புள்ளை	dambulla
வாஜ்பாய்	vajpayee
ஆடம்பர	luxury
தாக்கரே	thackeray
குவாம்	guam
கோமஸ்	gomez
கோமஸ்	gómez
சான்றிதழ்கள்	chứng
மொராதாபாத்	moradabad
ஆவடி	avadi
கிளிக்	click
கிளிக்	nhấn
கிளிக்	nhấp
கிளிக்	ấn
கிளிக்	bấm
ஸ்ட்ரீம்	luồng
ஸ்ட்ரீம்	suối
ஸ்ட்ரீம்	stream
தாடை	hàm
வெல்ச்	welch
வெல்ச்	chẩu
சண்டே	sunda
ஓவன்	owen
ஓவன்	lò
மறுக்க	cưỡng
மறுக்க	kiềm
கழுவி	giặt
கார்டு	chord
கார்டு	bài
கார்டு	thẻ
கார்டு	card
வீடியோக்கள்	video
வீடியோக்கள்	videos
பயோட்டின்	biotin
அனிதா	anita
பென்னெட்	bennett
பென்னெட்	bennet
மிசூரி	missouri
பிரமாணம்	brahmana
சோங்	chong
ரீவ்ஸ்	reeves
பக்கவாதம்	cú
பக்கவாதம்	đòn
சுமாராக	decent
நகைச்சுவையான	hài
மாவை	bột
எழுகிறது	rising
சென்ட்	cent
நண்பகல்	noon
நண்பகல்	trưa
கனரா	etroplus
அப்துர்	abdur
சியாட்டில்	seattle
சியாட்டில்	seatle
டேனிஷ்	danish
கௌரவம்	vinh
கொலம்பிய	colombia
டர்னர்	turner
வியாபாரி	nhã
கோர்னிகோவா	kournikova
உருக்கி	chảy
தேக்கு	teak
தேக்கு	tếch
பிரமிட்	pyramid
உதய	rising
தூசு	rác
பெங்	bành
பெங்	peng
திறந்திருக்கும்	download
திறந்திருக்கும்	mở
திறந்திருக்கும்	má
ரேஞ்சர்ஸ்	rangers
ரேஞ்சர்ஸ்	kích
சிங்கங்கள்	lions
சாளரம்	sổ
பேஸ்பால்	chày
கியா	kia
ஷியா	shiite
ஷியா	shia
நின்றுகொண்டு	đứng
மெல்போர்ன்	melbourne
பூட்டு	khoá
பூட்டு	khóa
பூட்டு	unlock
நிக்கி	nikki
நிக்கி	nicky
நிக்கி	nicki
அனுமதிக்கப்பட்டது	phép
அப்பாவி	tội
பேகன்	pagan
போர்வை	chăn
போர்வை	thảm
பெனின்	benin
மஜீத்	majeed
அனாதை	orphan
அனாதை	côi
குறுகலான	hẹp
விருப்பங்கள்	thích
செசில்	cecil
அழைக்கிறோம்	gọi
மனிதரும்	human
அக்தர்	akhtar
சாத்தான்	sa
சாத்தான்	satan
ரியா	rhea
ரியா	riya
தேவையா	cần
சாடி	sadi
வாங்	vương
வாங்	wang
ரீபொக்	reebok
யூஜின்	eugene
தண்டர்	vanilla
தண்டர்	sấm
தண்டர்	sét
யீ	yee
பிரேக்	phanh
பளபளப்பான	glossy
ரூச்	rouge
பாலஸ்தீனம்	palestine
ஆக்சோ	oxo
எதிர்வரும்	sắp
காதிர்	kadir
காதிர்	qadir
பயணிக்கிறது	buồm
சத்ரபதி	chhatrapati
லின்னேயஸ்	linnaeus
நம்பும்	tin
தொங்க	hung
தொங்க	hưng
மால்டா	malta
காஃபி	phê
காஃபி	coffee
காஃபி	cafe
மச்சான்	macha
அலிகார்	aligarh
புகாரி	buhari
நம	nama
ஞாபகம்	nhớ
பங்களாதேஷ்	bangladesh
மாடம்	mam
வொயேஜர்	voyager
வினையை	candice
முடுக்கி	accelerator
திலீப்	dilip
வீடுபேறு	moksha
கினியா	guinea
துக்கம்	tang
கொட்டைகள்	nuts
கொட்டைகள்	bi
பேண்ட்	ban
பேண்ட்	band
ரிக்கி	ricky
ஸ்பெக்ட்ரம்	spectrum
சீமாட்டி	đầm
சீமாட்டி	tẩy
ராகேஷ்	rakesh
மெசொப்பொத்தேமியா	mesopotamia
பண்டு	bantu
சாத்	saad
சாத்	tchad
சாத்	chad
ஸ்டைல்	style
கொசுக்கள்	muỗi
நிலக்கடலை	peanut
பிரியங்கா	priyanka
கருத்தரங்கில்	symposium
ஓட்டை	lỗ
ஓட்டை	hố
ஓட்டை	chẻ
விசித்திரமான	lạ
கொச்சின்	cochin
விளையாடு	play
விளையாடு	chơi
விளையாடு	at
பரிமாணங்கள்	chiều
வகுப்புக்கள்	hạng
முகேஷ்	mukesh
வெடிக்க	nổ
தோனி	dhoni
சாப்பிட	ăn
ஆஃபினியம்	hafni
காஷ்மீரி	kashmiri
ஜமால்	jamal
சொடுக்கி	chuột
பானர்ஜி	banerjee
பேயர்	bayer
ஜென்	jen
ஜென்	zen
ஜென்	gen
கடிய	viêm
பாலின்	pauline
கிளாசிக்	classic
பன்றிக்	thối
சல்வடோர்	salvador
பூத்	booth
தொலைந்து	mất
தொலைந்து	thua
நோலன்	nolan
பூண்ட	punta
உடையில்	váy
உடையில்	áo
சாமுராய்	samurai
தட்டும்	stamp
தட்டும்	tem
பைட்டு	byte
எத்தியோப்பிய	ethiopia
லைபீரியா	tuyến
லைபீரியா	liberia
மீரட்	meerut
உறங்கும்	ngủ
உறங்கும்	ngự
உறங்கும்	ngủ
வேனில்	trù
வேனில்	van
ஜுராசிக்	jurassic
குடித்து	say
குடித்து	xỉn
குடித்து	drunk
அபிஷேக்	abhishek
செருப்பு	sandal
செருப்பு	dép
செருப்பு	dép
இயந்திரத்தில்	máy
இறகு	lông
பயணங்களை	trips
சிரில்	cyril
பொத்தான்	button
பொத்தான்	nút
பொத்தான்	bhutan
குத்துதல்	chhetri
போர்பந்தர்	porbandar
செப்	sept
தருணம்	lát
ஆன்டி	andy
பெர்சி	percy
பிசாசு	devil
பிசாசு	quỷ
ராபின்சன்	robinson
ஸ்டீவர்ட்	stewart
கலிலி	galilei
செர்ரி	cherry
செர்ரி	cherry
கொடுமைகள்	atrocities
லேசிக்	lasik
ஐரிஸ்	iris
எர்னஸ்ட்	ernest
புறக்கோள்	exoplanet
மாசச்சூசெட்ஸ்	massachusetts
போகோ	bogo
டர்பன்	durban
ஆன்லைனில்	online
எதிரொலி	echo
நைரோபி	nairobi
உயிர்களை	lives
மையங்களை	centres
சிறிசேன	sirisena
மோனிகா	monica
நோரிஸ்	norris
தைமூர்	timur
பத்ரி	badri
டேனி	danny
டேனி	dany
சமந்தா	samantha
சல்பர்	sulphur
அவதாரங்கள்	vạn
நகம்	nail
நகம்	móng
பூசப்பட்ட	coated
மினார்	minaret
கலீபகம்	caliphate
நைட்டிங்கேல்	nightingale
உதய்பூர்	udaipur
ஆபாச	porn
அறிவிப்பாளர்	anchors
பங்க்	punk
சௌத்	saud
ராயல்ஸ்	royals
பெரி	peri
காவலன்	catarina
கொதி	sôi
பிரித்தெடுத்து	unplugged
அரக்கர்கள்	giants
இழுக்க	pull
இழுக்க	rút
இழுக்க	kéo
#என்	#my
அஜ்மீர்	ajmer
கொங்கண்	konkan
ஷெல்லி	shelley
ஷெல்லி	shelly
இன்ச்	inch
அனிஸ்டன்	aniston
சந்தைப்படுத்துதல்	marketing
சாப்	sap
பைட்டுகள்	byte
பைட்டுகள்	bytes
கபடி	kabaddi
கூண்டு	lồng
கூண்டு	chuồng
கூண்டு	chăn
கூண்டு	thảm
குச்சிகள்	đũa
ஆமென்	amen
பைரன்	byron
விழித்திரை	retina
ஒட்டும்	dính
ஒட்டும்	sticky
அறிவுரைகள்	khuyên
எங்களது	plr
தோழர்கள்	guys
பிரிஸ்பேன்	brisbane
வாலை	đuôi
உற்சாகம்	cheer
பிரம்மபுத்திரா	brahmaputra
காலணிகள்	giày
காலணிகள்	giầy
காலணிகள்	móng
அழுத்தமான	thick
அழுத்தமான	dầy
அழுத்தமான	dày
தனியாள்	single
தனியாள்	đơn
டெர்மினேட்டர்	terminator
ஸ்டெர்லிங்	sterling
மரியம்	mariam
இரவீந்திரநாத்	rabindranath
வரவும்	đến
நேரலை	sống
நேரலை	live
கலிஸ்டஸ்	calixtô
பெர்	behr
தூவி	dewey
மெக்கா	mecca
கிப்சன்	gibson
வயர்	dây
இட்டுக்	uốn
மர்மம்	mystery
ஐசனாவர்	eisenhower
கண்களின்	mắt
மீத்தைல்	methyl
நெவாடா	nevada
பியர்ஸ்	pierce
ஹீ	hee
மக்காச்சோளம்	maze
ஹா	ha
ஆணவம்	ngạo
புகாரா	bukhara
நிக்கராகுவா	nicaragua
பெர்முடா	bermuda
ராமேஸ்வரம்	rameswaram
ஃபை	phi
வடு	thẹo
வடு	scar
வடு	sẹo
தும்	tum
ராஜூ	raju
கோவிந்தா	govinda
அழைப்புகள்	mời
போனான்	phonon
வதந்தி	rumor
சென்டிமீட்டர்	centimet
டெஸ்	des
டெஸ்	tess
மீயுரை	hypertext
பெல்ட்	đai
ப்ளூஸ்	blues
அச்சுக்கலை	typography
தயமின்	thiamine
மைனா	myna
மைனா	sáo
முனைவோர்	edp
சாகிர்	zahir
கிப்பன்	gibbon
கிப்பன்	vượn
உறக்கம்	ngủ
உறக்கம்	ngự
மரைனர்	mariner
பேர்டினண்ட்	ferdinand
நிப்பான்	nippon
ஆனா	ana
ஆனா	nhưng
ரஷ்	rush
பதிவேடு	log
பதிவேடு	registry
பெண்களே	quý
ஆரோன்	aaron
கண்ணிமுடிச்சு	hitch
மாட்டிக்	dính
மாட்டிக்	fast
மாட்டிக்	kẹt
கைபர்	khyber
ஆகா	agha
கம்பீரமான	majestic
போலிஸ்	cảnh
ரொனால்டினோ	ronaldinho
பாசிர்	pasir
விருந்தினராக	khách
தீம்	thái
காளீ	khali
சிலைகளை	idols
ஹெர்மன்	hermann
ஹெர்மன்	herman
தஜிகிஸ்தான்	tajikistan
முடிகள்	lông
டெரெக்	derek
அசிட்டைல்	acetyl
பிரௌன்	browne
நிக்கோல்	nicole
கிரானைட்	granite
இமான்	iman
இமான்	eman
கன்னத்தில்	má
நோர்போக்	norfolk
நில்	đứng
ஆசிரியை	mistress
வளையத்தில்	rink
இசபெல்லா	isabella
பாக்கெட்	giỏ
பாக்கெட்	túi
பாக்கெட்	pocket
டேட்டிங்	dating
வோ	whoa
காட்டுத்தீ	wildfire
சாங்கி	changi
சூப்பர்மேன்	superman
இரட்டையர்கள்	twins
கோரக்பூர்	gorakhpur
சீனியர்	sr
சீனியர்	senior
கிள்ளான்	klang
வலைகள்	lưới
வலைகள்	web
ராமாயணம்	ramayana
தெலுக்	teluk
சமாஜ்	samaj
யூடியூப்	youtube
பேன்	rận
வழங்குபவர்	máy
சுத்தமாக	cai
சுத்தமாக	sạch
ஆகாஷ்	akash
சிப்பி	oyster
சிப்பி	hàu
மடு	madu
சாதம்	gạo
சாதம்	cơm
நொய்டா	noida
ஆம்ஸ்டர்டாம்	amsterdam
பக்கிங்காம்	buckingham
மெக்சிகன்	mễ
ஆட்ரி	audrey
ஒலிம்பியா	olympia
ரோமியோ	romeo
பேசு	nói
பேசு	nói
கிண்டல்	ghẹo
கிண்டல்	tease
பார்ட்டி	đảng
பார்ட்டி	party
பார்ட்டி	tiệc
ஹீத்	phuc
ஹீத்	heath
சில்வியா	silvia
கசப்பு	đắng
ஷீலா	sheila
கில்ட்	guild
தோர்	tor
தோர்	thor
திரிசூலம்	trident
சுறுசுறுப்பான	energetic
கிழித்து	tear
கிழித்து	xé
பிராடா	prada
அமரும்	ngồi
கடவுளே	omg
அகிரா	akira
கிளின்டன்	clinton
இந்தியன்ஸ்	indians
க்ரூஸ்	cruz
கத்தியால்	đâm
நவ்சாரி	navsari
பழுத்த	chín
லிம்	lim
பங்கீ	bungee
பழக்கவழக்கங்கள்	trù
டகோட்டா	dakota
ஆச்சி	archie
இனிப்புகள்	kẹo
பாலோ	paulo
புளிப்பு	chua
லெஸ்லி	leslie
தூரன்	duran
ஸ்ரீமதி	smt
சோலாப்பூர்	solapur
யுரேனஸ்	uranus
எதற்கு	sao
பிராணவாயு	ôxi
பிராணவாயு	oxygen
பிராணவாயு	oxy
பிராணவாயு	ôxy
இனிமை	sweet
இனிமை	ngọt
இனிமை	ngọt
பிரிஸ்டல்	bristol
கைல்	kyle
தலைமுடி	tóc
சாளரங்கள்	windows
மெய்க்கருவுயிரி	eukaryote
பென்சில்	chì
கேட்டேன்	nghe
பீதர்	bidar
ஹிட்	trúng
ஹிட்	đánh
சாக்சன்	saxon
சினை	roe
மனது	phiền
மௌனம்	tiet
அப்பாவின்	bố
கேது	ketu
சகாரன்பூர்	saharanpur
மகரந்தம்	phấn
அனு	anu
மின்னஞ்சலை	email
நீரேற்று	hydrat
மிரர்	gương
மிரர்	mirror
புடாபெஸ்ட்	budapest
நானி	nani
ரூர்	ruhr
செலின்	celine
அமிர்தம்	amrita
செல்லுபடியாகும்	lệ
விதவை	widow
ஹிந்த்	hind
டிடி	titi
டிடி	callicebus
கசினி	mahmud
குவியல்	đống
குவியல்	less
மேக	sky
மேக	mây
மேக	cloud
ஸ்லாம்	slam
உண்ணுதல்	ăn
காந்தம்	magnet
மோதிக்	va
நாகார்ஜூனா	nagarjuna
முசாபர்நகர்	muzaffarnagar
காதலர்கள்	lovers
எமில்	emil
ஆரவாரம்	zô
ஆரவாரம்	cạn
சதை	thịt
பந்தர்	bandar
மிருகம்	beast
மிருகம்	tã
சாச்ஸ்	sachs
குடிக்க	uống
குடிக்க	ly
கேஜ்	gage
நிகர்	niger
ஒத்திகை	rehearsal
ஒத்திகை	audition
நிக்சன்	nixon
ஹிக்ஸ்	hicks
தட்சிண	dakshina
டியோ	dio
டிரம்ஸ்	trống
ரியான்	ryan
தொப்பிகள்	hats
தொப்பிகள்	mũ
தொப்பிகள்	hatter
தொப்பிகள்	caps
விரும்பியது	khoái
விரும்பியது	thích
உவமையணி	simile
ஓடம்	odum
விவரிப்பு	tả
ராஜிவ்	rajiv
கஞ்சி	cháo
கீலிங்	keeling
மச்ச	matsya
பாமா	bama
இண்டியம்	indi
மதிப்புரை	review
வெபர்	weber
படுகாயம்	thương
எண்ணெய்கள்	oils
குமிழி	bubble
இடைமுகப்பு	giao
அல்டிமேட்	ultimate
அகங்காரம்	ego
பாலே	ballet
பாலே	balê
ஹல்க்	hulk
தன்பாத்	dhanbad
தங்குமிடம்	shelter
ரோவர்	rover
கோச்	hlv
ரூத்	ruth
வெண்ணிலா	vani
வெண்ணிலா	sấm
வெண்ணிலா	vanilla
யாதவர்	yadav
சோப்பு	xà
ஜங்	jung
கசாட்	cassatt
பாதுகாப்பானது	an
டிக்கின்சன்	dickinson
புரிந்துகொள்ளும்	hiểu
புரிந்துகொள்ளும்	hieu
மந்தமான	lụt
வேகாஸ்	vegas
அடா	ada
அல்பர்ட்	albert
டார்ஜிலிங்	darjeeling
நை	nye
சங்கரா	sankara
கள்ளி	cactus
ஹோம்ஸ்	holmes
தெலூரியம்	telua
பெர்னாண்டஸ்	fernandez
பெர்னாண்டஸ்	fernandes
பிடல்	fidel
மும்தாஜ்	mumtaz
ஆயுர்வேதம்	ayurveda
உறுப்புக்களின்	tame
படுக்கைகள்	giường
ஹம்பி	hampi
காட்டன்	bông
காட்டன்	cotton
டியூக்	duke
பட்டாயா	pattaya
ஹங்கேரிய	hung
ஹங்கேரிய	hungary
பிரிய	break
பிரிய	phá
தொடர்புக்கு	lạc
பட்நாயக்	patnaik
உதை	đá
அழைக்கிறது	gọi
சுவாங்	trang
சேம்பியன்	cọc
சேம்பியன்	champion
பீட்டர்சன்	peterson
திட்டமிடுதல்	lịch
ஸ்பைஸ்	spice
ஈக்கள்	ruồi
ஈக்கள்	muỗi
ஆலா	ala
மெக்ஸிகோ	mexico
மெல்லிசை	giai
மெல்லிசை	melody
நாணயக்கார	nanayakkara
இடியாப்ப	spaghetti
தேக்கரண்டி	tsp
குறிப்புரை	luận
குறிப்புரை	dung
சம்மர்	summer
சம்மர்	hè
எமிரேட்ஸ்	emirates
சேதமடைந்த	hỏng
முதிர்	arcus
ஜம்ப்	nhảy
அச்சுப்பொறி	viết
காயமடைந்த	thương
கார்லோஸ்	carlos
தாடி	râu
தாடி	beard
கருக்கள்	motifs
நிரப்ப	tô
நிரப்ப	điền
உளவுத்துறை	pet
மாதரம்	mataram
தெஹ்ரான்	tehran
ஹார்வி	harvey
சம்பாரண்	champaran
புனைப்பெயர்	nickname
உதடு	môi
உதடு	môi
உதடு	lip
ஆற்றும்	lành
நினைத்தேன்	nghĩ
நினைத்தேன்	tưởng
சூர்	zur
தவறியது	lỡ
கபில்	kapil
நோயெதிர்ப்பியல்	immunology
கிரீன்விச்	greenwich
குவெண்டின்	quentin
பேல்	bale
முர்ரே	murray
மொங்	hmong
கிரீன்லாந்து	greenland
ஹேக்	hack
ஹேக்	hacker
ஹேக்	hack
ரேஞ்சர்	ranger
ஷானியா	shania
யோகான்	yohan
காழ்	xylem
கீட்டோன்	ketone
நாராயணா	narayana
எஞ்சி	angie
செல்லுலார்	cellular
செல்பேசி	mobile
செல்பேசி	mobil
காரட்	carat
கூலும்	coulomb
வினாடிகள்	giây
இணைப்பைப்	link
சியான்	cyan
பதிலை	tời
எளிதானது	nhẹ
ஜாவாஸ்கிரிப்ட்	javascript
மேடிசன்	madison
ரத	ratha
மெக்	meg
மெக்	mecha
மெக்	mech
உடைந்தது	gãy
உடைந்தது	vỡ
உடைந்தது	hỏng
உடைந்தது	hư
பரோக்	baroque
பித்து	mania
இஸ்லாமாபாத்	islamabad
மோதிலால்	motilal
செல்லாத	lệ
காலின்ஸ்	collins
பிசாவு	ni
பிசாவு	bissau
தேதிகள்	ngày
கொரிந்தியர்	corinthians
அர்ப்பணிப்பு	dedication
பிராட்லி	bradley
வேகமானது	mau
வேகமானது	nhanh
காம்பு	vú
உதுமான்	uthman
முட்டாள்	lừa
முட்டாள்	ngu
ஸ்டுவர்ட்	stuart
லேலண்ட்	leyland
லேலண்ட்	leland
ரிச்மண்ட்	richmond
ரமோன்	ramón
ரமோன்	ramon
காளைகள்	bò
காளைகள்	bulls
குவேரா	guevara
மைதிலி	maithili
ஜென்னி	jenny
ரோட்டரி	rotary
உரத்த	loud
தேஜாஸ்	tejas
கூர்மை	sharp
கூர்மை	nhọn
ஷேர்	sher
பூட்டிய	khóa
இருமெத்தில்	dimethyl
ரூபிள்	rubel
ஊசிகள்	needles
டைனமிக்	động
கர்ப்பம்	thai
டேப்	băng
அகஸ்டின்	agustin
ஹிஜ்ரி	hijri
போரிஸ்	boris
ஏமன்	yemen
ஏமன்	ye
சிற்றாலயம்	chapel
மகளே	gái
அசைல்	acyl
சதீஷ்	satish
பிக்சல்கள்	pixel
ஹார்ப்பர்	harper
பிராய்ட்	freud
ஆஸ்பிரின்	aspirin
அன்டோனியோ	antonio
லிங்கின்	linkin
சமையலறை	bếp
டயஸ்	dias
சிந்தியா	cynthia
ஆலிஸ்	alice
விழிப்பு	awakening
ஈவான்ஸ்	evans
ஹோவர்ட்	phuong
ஹோவர்ட்	howard
குன்	kun
பெல்காம்	belgaum
அடம்	adam
தாளங்கள்	hê
தாளங்கள்	sọc
ரெனால்ட்ஸ்	reynolds
லயோலா	loyola
நீக்கு	bỏ
நீக்கு	xóa
நீக்கு	xóa
நீக்கு	xoá
ராக்யாட்	rakyat
சத்தியாகிரகம்	satyagraha
தத்தா	dutta
கிரீம்	kem
கிரீம்	cream
தேய்த்து	gãi
தேய்த்து	scratch
வில்லா	villa
சோனிபத்	sonipat
வலைப்பதிவர்	blogger
திட்டு	chửi
திட்டு	kệ
சூட்	dress
ஈஸ்ட்வுட்	eastwood
பத்திரமாக	an
நயாகரா	niagara
சுரோடிங்கர்	schrödinger
ஐக்கியம்	united
ஐக்கியம்	hoa
எப்படிக்	bao
டோபி	toby
டோபி	dobby
பிஷப்	bishop
பிரிட்டோரியா	pretoria
வைரங்கள்	rô
அதிகாரிகளிடம்	bang
சுருக்கங்கள்	nếp
ஃபோன்	đt
கோசல	kosala
தம்பதிகளின்	cặp
தம்பதிகளின்	couple
தம்பதிகளின்	đôi
நாஜி	naji
ஊக்கி	catalyst
சாக்லேட்	sôcôla
சாக்லேட்	sôcôla
சாக்லேட்	chocolate
வம்சாவளி	pedigree
இலியட்	iliad
ஹியூக்ஸ்	hughes
அற்புதங்கள்	miracles
அற்புதங்கள்	kì
சிட்டு	tit
மாமி	mami
ஐபீரிய	iberia
டர்போ	turbo
ஷி	shi
ஷி	thạch
கோண்டி	gondi
அமெச்சூர்	amateur
லிண்டா	linda
மெகாபைட்	megabyte
பாலகுமாரன்	baku
ஹிரோஷிமா	hiroshima
கிடார்	guitars
சோட்டா	chhota
திப்ருகர்	dibrugarh
ட்ரூ	lê
ட்ரூ	drew
பிளாசா	plaza
நாற்காலிகள்	ghế
யாவே	yahweh
பூனா	pune
பூனா	poona
நீட்சே	nietzsche
மம்மி	mummy
பரீட்சை	thi
பிணி	bệnh
பிணி	ốm
பிணி	cúm
இருந்திருந்தால்	tòng
இருந்திருந்தால்	cốt
தாமரைப்	lotus
உப்சாலா	uppsala
பழநி	palani
கஸ்பா	kasba
டாக்ஸி	taxi
மகேஸ்வரி	maheshwari
தியானத்தில்	thiền
தொலைந்த	mất
தொலைந்த	thua
பார்த்தது	thấy
ஜோயல்	joel
மொனாக்கோ	khảm
மொனாக்கோ	monaco
புதிரான	mythical
அட்டன்	hatton
தாதா	dada
அத்வானி	advani
பலவீனமாக	rơn
வித்தியாசமாக	khác
ஷேர்பாயிண்ட்	sharepoint
கிரிகோரி	gregory
பாலிங்	pauling
ஓராக்சைடு	monoxide
ஜென்னர்	jenner
மேடம்	madam
மேடம்	phu
மேடம்	mam
கிளாட்	claude
மடி	gấp
மாவோ	mậu
மாவோ	mao
நோம்	nom
காமிரா	camera
பெலாரஸ்	belarus
கார்னர்	góc
கைலி	kylie
புருண்டி	burundi
ஆயில்	nhớt
ஆயில்	dầu
மண்ணீரல்	lách
திரிதடையம்	transistor
நினைவைப்	ức
அஸ்கார்பிக்	ascorbic
கிரியா	kriya
இனவாதம்	racism
புவனேஸ்வர்	bhubaneswar
சவுத்ரி	choudhary
லீகா	liga
கொலையாளி	assassin
கர்	kar
விவியன்	vivian
மீட்	mead
லூ	lou
வேர்ட்ஸ்வொர்த்	wordsworth
சீமா	seema
கிரீடம்	vương
விரலை	finger
கிளிண்டன்	clinton
திரில்லர்	thriller
இறைவா	huân
காஜல்	kajal
சாது	sadhu
ரேச்சல்	rachel
நடிப்பது	bắn
டெட்ரா	tetra
கமாண்டோ	commando
