kršenja	違反
junior	junior
junior	少年
viteza	騎士
mliječni	乳製品
mliječni	乳白色
duhovni	靈性
duhovni	精神
općinsko	市政
miles	萬里
miles	miles
miles	英里
presuda	裁決
presuda	判決
iranska	伊朗
rivala	對手
rivala	對手
astronomi	天文學家
mauzolej	皇陵
mauzolej	陵
mauzolej	陵墓
banana	香蕉
banana	蕉
autoputeva	高速公路
autoputeva	公路
tomas	tomas
manhattan	曼哈頓
kuge	鼠疫
kuge	瘟疫
supernova	超新星
epa	環保局
epa	環保署
oman	阿曼
argon	氬
štetno	有害
cnn	cnn
okolne	周邊
merkur	水星
merkur	水銀
merkur	汞
amadeus	amadeus
komercijalne	商用
komercijalne	商事
komercijalne	商業
lete	飛
lete	蒼蠅
lete	飛翔
razumije	理解
praksu	實踐
praksu	練習
stava	態度
atlantika	大西洋
zamku	圈套
zamku	陷阱
propisa	條例
čekić	錘
čekić	錘子
čekić	槌
pine	松樹
pine	松
emocije	情感
emocije	感情
emocije	情緒
artur	阿瑟
artur	arthur
jun	淳
jun	俊
gaze	紗布
ramírez	ramírez
edwin	edwin
palme	palme
krovna	傘
krovna	雨傘
pjevaju	唱
pjevaju	唱歌
pjevaju	歌唱
privlače	吸引
logorima	營地
als	als
nalaz	找到
nalaz	尋找
kill	殺
iznenađenje	驚喜
iznenađenje	驚奇
službenik	辦事員
službenik	書記
službenik	職員
direktna	直接
povrijeđeno	受傷
povrijeđeno	傷
sala	笑話
razvojni	發育
cum	精液
dostupno	可用
drift	漂移
reklama	商用
reklama	商事
reklama	商業
nuklearno	核
nuklearno	核子
sana	薩那
čistom	乾淨
čistom	清潔
osjetljivost	靈敏度
osjetljivost	敏感
osjetljivost	敏感性
osjetljivost	敏感度
preživljavanje	存活
preživljavanje	求生
preživljavanje	生存
savezničke	盟軍
savezničke	盟國
rasti	成長
rasti	生長
price	故事
price	動態
molibden	鉬
virusi	病毒
lična	個人
urađeno	完成
trudnoća	懷孕
trudnoća	妊娠
trudnoća	孕期
python	python
python	巨蟒
python	蟒
python	蟒蛇
meyer	meyer
erupcija	火山爆發
erupcija	爆發
erupcija	噴發
strujanje	流
strujanje	流程
strujanje	流通
strujanje	流動
strujanje	流量
periodnog	定期
osudio	判刑
upute	指令
upute	指示
moreno	moreno
rpg	rpg
podzemna	地下
podzemna	地底
android	android
rez	切
rez	削減
rez	剪
rez	割
rez	切口
grudi	胸
grudi	胸部
grudi	胸膛
grudi	胸口
logore	營地
resurse	資源
epohe	紀元
gwh	gwh
umjetničkim	藝術
kanalima	運河
okupacija	職業
okupacija	佔領
računarstvo	運算
računarstvo	計算
nosne	鼻音
reading	閱讀
reading	讀書
reading	讀取
reading	讀
izuzetne	非凡
silovanje	強姦罪
silovanje	強姦
silovanje	強暴
biznismen	商人
beton	具體
beton	混凝土
beton	水泥
komuna	公社
tribus	tribus
robbie	robbie
lažni	假的
lažni	虛假
lažni	假冒
lažni	假
kružnica	圓形
kružnica	圓
kružnica	圓圈
kružnica	迴圈
kružnica	圈
ming	阿明
ming	明
albion	albion
izazove	挑戰
siromaštva	貧窮
siromaštva	貧困
salem	salem
samostalnost	自主
samostalnost	自治
zanimljiv	有趣
mape	地圖
optužbi	收費
sok	汁
sok	果汁
susjedna	鄰近
pronalaze	找到
pronalaze	尋找
posmatranje	觀察
posmatranje	觀測
posmatranje	觀看
volfram	鎢
volfram	wolfram
chan	陳
chan	燦
identifikacija	識別
koledža	學院
koledža	院校
hrast	橡樹
hrast	橡木
hrast	橡
hrast	櫟
udati	嫁
singapur	新加坡
batman	蝙蝠俠
palac	拇指
palac	大拇指
tvoje	你的
komplikacija	併發症
komplikacija	併發症
dobrovoljaca	志願者
cvijeća	花
cvijeća	鮮花
cvijeća	花卉
cvijeća	花兒
cvijeća	花朵
fontana	fontana
fontana	噴泉
pogodna	適合
pogodna	合適
spektru	光譜
spektru	頻譜
digitalne	數碼
digitalne	數位
odgovore	答案
odgovore	解答
pravcima	方向
nlm	nlm
publikacija	出版物
rubovima	邊緣
kanu	獨木舟
građanske	公民
gubici	虧損
gubici	損失
izomeraza	isomerase
ofanzivu	攻勢
ofanzivu	冒犯
amp	放大器
bizantskog	追隨者
violončelo	大提琴
ncbi	ncbi
kila	疝
psihološki	心理
pravoslavni	東正教
pravoslavni	正統
pravoslavni	正教
diplomatske	外交
ćiro	ciro
terminal	終點站
terminal	終端
terminal	終端機
xxx	xxx
civilno	民事
imunitet	豁免權
imunitet	豁免
imunitet	免疫
privatno	隱私
privatno	私人
privatno	私營
seljaci	農民
sharif	sharif
teškoće	困難
teškoće	難度
teškoće	困難
teškoće	困苦
praznika	假期
praznika	假日
praznika	節假日
praznika	節日
ponašaju	act
zaposlio	受雇
sudovima	法庭
sudovima	法院
subpage	subpage
snp	snp
vlage	水分
vlage	濕度
vlage	潮濕
nasljedstvo	傳承
nasljedstvo	遺贈
nasljedstvo	遺留
nasljedstvo	遺產
mill	磨坊
formalni	正規
formalni	正式
bacha	巴赫
kršćanska	基督教
kršćanska	基督徒
kodiraju	編碼
bokser	拳手
bokser	拳擊手
izvoza	出口
foo	foo
konsenzus	共識
odbojka	排球
frakcije	分數
sophie	sophie
angela	angela
imenovanja	任用
imenovanja	任命
impuls	衝動
issn	issn
manga	漫畫
hbo	hbo
kometa	彗星
monografija	專論
prihvatanje	驗收
prihvatanje	接受
viza	visa
viza	簽證
zanimljiva	有趣
temeljima	地基
temeljima	基金會
azijske	亞洲
vfb	vfb
kinima	電影院
amonij	銨
podmornica	潛水艇
podmornica	潛艇
digitalna	數碼
digitalna	數位
laguna	潟湖
kostur	骷髏
kostur	骨架
kostur	骨骼
entitet	實體
asd	asd
državnosti	立國
državnosti	建國
odgoj	培育
odgoj	撫養
odgoj	培養
odgoj	養育
odgoj	教養
odgoj	撫育
svečanosti	儀式
izbjegava	避免
belo	belo
diferencijalna	差分
diferencijalna	微分
gripe	感冒
gripe	流感
pati	受苦
pati	苦難
pati	痛苦
pati	受苦
klana	氏族
klana	部族
klana	氏
decenijama	幾十年
izrađena	草擬
iris	iris
torpedo	魚雷
vilica	顎
vilica	頜
nuts	堅果
sastavi	作曲
interesantno	有趣
kobalt	鈷
acetat	乙酸
nice	很好
nice	尼斯
stand	站立
stand	站
stand	站著
tropska	熱帶
oslobođena	解放
strukturama	結構
etapa	階段
germanij	鍺
postojećim	現存
postojećim	現有
citationclass	citationclass
detaljan	詳細
avio	航空公司
avio	航空
avio	航空公司
avio	航空
šejh	sheikh
omogućili	啟用
kratera	彈坑
registar	註冊
registar	登記
registar	登記處
osuđeni	定罪
nedavne	最近
nedavne	近期
projekcije	預測
izum	發明
imenice	名詞
ovde	這裡
novčića	硬幣
novčića	錢幣
sticanja	購置
bojenje	染色
bojenje	染料
bojenje	染
bojenje	著色
dragon	龍
dragon	神龍
nano	納米
rukomet	手球
derek	derek
hormoni	激素
hormoni	荷爾蒙
rudarstvo	採礦業
rudarstvo	礦業
rudarstvo	採礦
comma	逗號
melodija	旋律
ieee	ieee
gorile	猩猩
kristal	水晶
kristal	crystal
kristal	晶體
sxc	sxc
normalni	常態
normalni	正常
paralelna	並行
paralelna	平行
plati	付費
plati	付款
plati	支付
nevjerovatno	驚人
nevjerovatno	神奇
kameno	stone
kameno	石
kameno	斯通
kameno	石頭
framework	框架
agresora	侵略者
postavke	設定
putnik	乘客
putnik	旅客
shvatanje	理解
shvatanje	諒解
shvatanje	實現
statue	雕像
statue	塑像
parenje	交配
mržnje	仇視
mržnje	仇恨
mržnje	憎恨
mržnje	恨
mržnje	討厭
mržnje	仇恨
jovana	jovana
čekati	等待
boca	瓶子
boca	瓶子
boca	瓶
anion	陰離子
razvod	離婚
riva	riva
nakit	珠寶
nakit	首飾
nakit	珠寶
nakit	首飾
reyes	reyes
powell	鮑威爾
prisustvovao	出席
pomračenje	日蝕
bilježe	唱片
bilježe	記錄
bilježe	紀錄
bilježe	編年史
lovci	獵人
drugačija	不同
operatora	經營者
cementa	水泥
suverenitet	主權
zub	牙
zub	牙齒
ceremoniji	儀式
jugozapadne	西南
bernd	bernd
odbijanje	拒絕
momčilo	momo
kamion	貨車
kamion	卡車
sulejmana	suleiman
kupovinu	買東西
kupovinu	購物
žalost	悲痛
origargs	origargs
cho	趙
manfred	manfred
christine	christine
hidroelektrane	水力發電
hidroelektrane	水力
hidroelektrane	水電
fiziologija	生理
upozorenje	警告
okrenuti	轉
carsku	帝王
titan	泰坦
lan	嵐
lan	蘭
uglova	角度
uglova	盎格魯
protestanti	示威者
kanale	頻道
kanale	渠道
emmanuel	emmanuel
mont	蒙特
mont	蒙
opasne	危險
opasne	危險性
zamisli	想象
zamisli	想像
citat	報價
citat	引文
citat	引用
citat	引述
nasljednica	繼任者
nasljednica	繼任
holding	持有
holding	控股
dominaciju	支配
društvenu	社會
društvenu	社交
pakt	協約
pakt	約定
komplikacije	併發症
veterana	老兵
veterana	退伍軍人
veterana	老兵
veterana	退役軍人
hronični	慢性
kamiona	卡車
blokade	封鎖
sudeći	判斷
sudeći	評判
opasan	危險
opasan	危險性
michelle	michelle
materice	子宮
eksperimenti	試驗
eksperimenti	實驗
moreplovac	水兵
moreplovac	水手
epoha	紀元
uhvati	接住
skandal	醜聞
skandal	緋聞
neprijateljski	敵對
neprijateljski	敵意
neprijateljski	敵視
vazduh	空中
vazduh	air
vazduh	航空
vazduh	空氣
urađen	完成
omogući	啟用
investicija	投資
investicija	投資
bale	bale
tanke	薄
tanke	瘦
iskoristi	利用
iskoristi	使用
kršenje	違反
kršenje	違規
kršenje	違反
kršenje	違約
kršenje	違規
jasmina	jasmina
džez	爵士樂
džez	爵士
dfb	dfb
ubiju	殺
gamma	gamma
gamma	伽瑪
ethan	ethan
neptun	海王星
sudjeluje	參加
sudjeluje	參與
orijentacija	方向
orijentacija	定向
tracy	tracy
preliminarni	初步
pmid	pmid
trijumf	凱旋
trijumf	勝利
platformi	站台
platformi	平台
platformi	平台
larsen	larsen
dinamika	動態
dinamika	動力學
dozvole	許可證
dozvole	許可
dozvole	許可證
dozvole	執照
dozvole	許可證
limun	檸檬
pranje	洗滌
pranje	洗
pranje	洗錢
reaguje	反應
odsustva	缺席
suočava	面對
barnes	barnes
patrijarha	族長
dubok	深
dubok	深層
glumice	女演員
atomska	原子
funta	鎊
funta	磅
domenico	domenico
stambenih	住宅
stambenih	官邸
nastavnik	老師
nastavnik	教師
sarađuje	合作
prijateljske	友軍
prijateljske	友好
prijateljske	友善
con	con
dvorištu	院子
dvorištu	庭院
radioaktivnog	放射
radioaktivnog	放射性
radioaktivnog	輻射
poslovanje	企業
poslovanje	業務
poslovanje	商業
poslovanje	商務
povraćanje	嘔吐
itrij	釔
starenja	衰老
starenja	老化
yale	耶魯
kompromis	妥協
kompromis	折衷
playstation	playstation
sinus	鼻竇
sinus	竇
sinus	正弦
pinto	pinto
amd	amd
udaljene	遙遠
udaljene	遠方
udaljene	偏遠
udaljene	遙控
udaljene	遙控器
neograničeno	無限
abeceda	字母
brdima	丘陵
licencu	執照
licencu	駕照
licencu	許可證
interkontinentalni	洲際
šešir	帽
šešir	帽子
plivanje	游泳
plivanje	游
rex	rex
police	架子
police	貨架
police	書架
molekularne	分子
julio	julio
funkcioniše	工程
funkcioniše	作品
emirata	酋長國
vladajuće	執政
vladajuće	裁決
vladajuće	裁定
uvoz	進口
uvoz	進口
kalaja	白蠟
zhang	張
privilegije	特權
primijetiti	通知
nećak	外甥
nećak	侄子
iridij	銥
kocka	立方
kocka	方塊
kocka	立方體
frameless	frameless
oporavka	回收
oporavka	恢復
oporavka	康復
oporavka	復原
oporavka	復蘇
instrukcije	指令
instrukcije	指示
raspravu	辯論
oštećen	受損
oštećen	損壞
ekvatorijalna	赤道
maksimalne	最大值
maksimalne	最大限度
tuberkuloze	肺結核
tuberkuloze	結核
tuberkuloze	結核病
pokušajima	企圖
pio	飲酒
munja	閃電
munja	電光
grobovi	墳墓
grobovi	墓穴
foster	foster
foster	寄養
sauber	sauber
autobus	公車
autobus	巴士
arhitekte	建築師
mel	mel
mel	梅爾
organizme	有機體
organizme	生物
izbacivanje	彈射
konvergencije	收斂
roses	玫瑰花
roses	玫瑰
zanimanja	職業
leona	leona
abbr	abbr
sedma	第七
kos	kos
cro	cro
ina	ina
izlaganje	暴露
izlaganje	曝光
izlaganje	曝露
nakita	珠寶
nakita	首飾
nash	nash
suprotna	對面
pije	飲料
teologije	神學
destinacija	目的地
lancima	鎖鏈
lancima	鏈
lancima	鏈條
lancima	鐵鍊
cohen	cohen
gate	門
gate	大門
promovira	推廣
promovira	促進
razum	理智
razum	理由
razum	理性
razum	原因
hamid	hamid
drevna	古代
drevna	古老
platina	鉑
platina	白金
izolacija	隔絕
izolacija	隔離
izolacija	孤立
izolacija	與世隔絕
izolacija	孤立
bravo	bravo
forever	永遠
plaćanje	付款
plaćanje	支付
plaćanje	付款
plaćanje	支付
kineskoj	唐人街
kineskoj	華埠
odstupanja	差異
horvat	horvat
gasovi	氣體
tor	tor
obuke	培訓
obuke	訓練
independent	獨立
dozvola	執照
dozvola	駕照
dozvola	許可證
dozvola	許可
dozvola	許可證
minimalno	最少
minimalno	最小
kamp	露營
kamp	難民營
kamp	營
kamp	營地
pmc	pmc
krivim	有罪
oleg	oleg
stoku	牛
knut	knut
iskustava	經驗
iskustava	體驗
dine	沙丘
kružni	環形
kružni	圓形
kružni	迴圈
kazaljke	順時針
kazaljke	順時針方向
kazaljke	順時鐘方向
stres	壓力
stres	強調
stres	應力
derivati	衍生物
bizmut	鉍
irena	irene
ćosić	ćosić
vjersko	宗教
promocije	推廣
promocije	促銷
promocije	晉升
doha	多哈
istraga	調查
istraga	調查
imperator	皇帝
imperator	天皇
navodnjavanje	灌溉
ratnik	戰士
ratnik	勇士
moćan	強大
moćan	強國
jevrejski	猶太人
jevrejski	猶太
jevrejski	猶太教
nož	刀
nož	刀子
nož	小刀
kasni	晚
kasni	遲到
kasni	遲
uvjeren	信心
uvjeren	自信
uvjeren	深信
predvodi	led
meier	meier
ofanzive	攻勢
ofanzive	冒犯
najnoviji	最新
uvjerenja	定罪
uvjerenja	判罪
uvjerenja	信仰
fosila	化石
molitva	祈禱
molitva	禱告
snu	夢
snu	夢幻
snu	夢境
snu	做夢
snu	夢想
globalni	全球
balet	芭蕾
balet	芭蕾舞
navbox	navbox
uključiti	包括
meki	mackey
optika	光學
molly	茉莉
molly	molly
sedamnaest	十七
sedamnaest	seventeen
ličnim	個人
odlikovanja	裝飾
holly	holly
holly	冬青
moćna	強大
moćna	強國
rts	rts
pohvale	表揚
pohvale	贊美
pohvale	稱贊
pojačanja	援軍
pojačanja	增援
mete	目標
nobel	諾貝爾
toplotne	熱力
tetive	筋
sumnju	疑問
sumnju	懷疑
sumnju	疑慮
sumnju	懷疑
plodnosti	生育率
plodnosti	生育
modula	單元
katastrofe	災害
katastrofe	災難
katastrofe	災難
lobanja	骷髏
lobanja	頭顱
lobanja	頭骨
najnovije	最新
najnovije	最新
začina	香料
štampana	印刷
štampana	列印
slom	明細
slom	擊穿
guardian	守護神
guardian	守護者
guardian	守護
guardian	監護人
nadph	nadph
ftp	ftp
dnevnika	日記
namibije	納米比亞
biblija	聖經
plaže	沙灘
plaže	海灘
boginje	麻疹
boginje	天花
implicira	隱含
tak	德
orah	核桃
orah	胡桃
tretmanu	治療
jaroslav	jaroslav
čišćenja	清洗
čišćenja	淨化
gašenje	關機
gašenje	停機
iskopavanja	挖掘
iskopavanja	發掘
iskopavanja	挖掘
hej	嘿
togo	多哥
odgovorne	負責
imovina	地產
imovina	屬性
imovina	財產
imovina	物業
imovina	資產
motion	動議
motion	運動
ruby	紅寶石
ruby	ruby
pojmove	用語
pojmove	術語
pojmove	條款
stih	詩句
hapšenja	逮捕
hapšenja	拘捕
spratu	下限
spratu	地板
najranije	最早
držanje	態勢
držanje	姿態
držanje	姿勢
namirnice	雜貨
chuck	chuck
zabrinutost	關切
dopušteno	合法
doktrina	ism
doktrina	原則
doktrina	學說
doktrina	教義
doktrina	理論
doktrina	原理
frakcija	派系
diplomata	外交官
diplomata	外交官
federico	federico
jamajka	牙買加
smanjenju	減少
smanjenju	裁減
deseti	第十
steka	堆疊
steka	棧
prelazni	過渡
prelazni	轉型
discogs	discogs
grla	喉
grla	喉嚨
grla	嗓子
grla	咽喉
plovna	通航
inspirisan	啟發
inspirisan	靈感
izvući	提取
izvući	萃取
izvući	摘錄
farmi	農場
farmi	農莊
leće	鏡頭
leće	鏡片
leće	透鏡
kara	kara
mučenja	酷刑
majmun	猴
majmun	猴子
majmun	猩猩
majmun	人猿
majmun	猿
irene	irene
bsd	bsd
asistenta	助手
asistenta	助理
getparent	getparent
odvojiti	分離
izbjegavati	避免
pozvani	邀請
pozvani	受邀
reid	reid
kleopatra	cleopatra
naređenje	訂單
naređenje	命令
naređenje	秩序
naređenje	訂購
naređenje	順序
naređenje	命令
naređenje	訂單
grenland	格陵蘭
crteži	圖畫
crteži	圖紙
crteži	繪圖
modeliranje	模特
modeliranje	造型
protestanata	示威者
utf	utf
jong	鐘
jong	jong
boulevard	大道
serge	serge
preveden	翻譯
tiraž	環流
tiraž	流通
tiraž	發行量
tiraž	迴圈
interval	區間
interval	間歇
interval	間隔
proglasi	宣告
proglasi	申報
lisice	手銬
vještačka	人工
vještačka	人造
australijska	澳洲
burns	燒傷
hidroelektrana	水力發電
hidroelektrana	水力
hidroelektrana	水電
interesi	興趣
interesi	利益
garrett	garrett
tečni	終端
tečni	終端機
funkcionalna	功能
narodnosti	民族
yang	楊
yang	yang
vile	別墅
bangladeš	孟加拉國
poljubac	吻
poljubac	親
poljubac	親親
poljubac	kiss
poljubac	親吻
profit	盈利
profit	利潤
profit	營利
profit	獲利
profit	利潤
najnovija	最新
ipv	ipv
nasljeđe	遺產
ekstremnim	極端
ekstremnim	極度
ekstremnim	極限
zaposlen	忙
zaposlen	繁忙
zaposlen	忙碌
zaposlen	忙著
nemiri	暴動
nemiri	暴亂
nemiri	騷亂
nemiri	騷動
nemiri	騷亂
nemiri	動亂
poređenje	對比
poređenje	比較
poređenje	比較
zadaci	任務
zadovoljstvo	滿意
zadovoljstvo	抵償
demonstracija	示威
klanac	山溝
razočaran	失望
petković	petkovic
nasilno	暴力
prevedene	翻譯
prevoz	乘車
prevoz	騎馬
prevoz	騎
prevoz	運輸
prevoz	交通
alba	alba
lideri	領導者
lideri	領導人
đubriva	施肥
đubriva	肥料
đubriva	化肥
đubriva	肥料
đubriva	肥料
đubriva	化肥
rudara	礦工
ekonomista	經濟學家
ekonomista	經濟學家
dozvoljavaju	允許
dozvoljavaju	容許
basso	basso
twitter	twitter
ding	丁
ding	叮
pridjev	形容詞
tolerancije	容忍
tolerancije	寬容
pbs	pbs
zarobili	被俘
poluprečnik	半徑
povezivanja	連線
povezivanja	連結
izabere	選擇
philips	philips
philips	飛利浦
peruu	秘魯
rudniku	礦山
obrenović	obrenović
banner	旗幟
banner	旗
banner	橫幅
prepreke	障礙
prepreke	路障
imanju	產業
imanju	邨
motive	動機
penala	罰
penala	懲罰
penala	處罰
penala	刑罰
fragmenata	片段
fragmenata	碎片
inženjera	工程師
stepenice	樓梯
stepenice	階梯
blu	blu
fuad	fuad
najjača	最強
inspektor	督察
liban	黎巴嫩
brock	brock
listove	小腿
gmizavaca	爬蟲類
bombardovanja	轟炸
theater	電影院
theater	劇場
theater	戲劇
theater	劇院
theater	戲院
rabat	拉巴特
fruktoza	果糖
peroksid	過氧化物
lijepe	漂亮
lijepe	美
lijepe	美女
lijepe	美麗
suprotnim	對面
tas	tas
radionice	研討會
toyota	豐田
regimenta	團
regimenta	兵團
hubert	hubert
teza	命題
teza	論文
padine	山坡
padine	斜坡
kampus	校區
kampus	校園
rastvorljivost	溶解度
parni	蒸氣
parni	蒸汽
postupci	行動
benu	ben
benu	本
benu	奔
uglovi	角落
uglovi	角度
uglovi	盎格魯
naredbu	訂單
naredbu	命令
naredbu	秩序
naredbu	訂購
naredbu	順序
rušenja	拆毀
rušenja	拆除
nacrt	草稿
cristiano	cristiano
želudac	胃
želudac	肚子
osjetljiv	敏感
osjetljiv	敏感性
osjetljiv	敏感度
arhitekti	建築師
schneider	schneider
miješanje	混合
efikasan	高效
efikasan	有效率
efikasan	有效
minimalna	最少
minimalna	最小
koze	山羊
nedostataka	缺點
glavobolja	頭疼
glavobolja	頭痛
slovan	slovan
zaštititi	保護
psihičke	靈媒
psihičke	通靈
pepeo	灰
pepeo	骨灰
pepeo	灰燼
pepeo	灰
pepeo	ash
pepeo	火山灰
pepeo	灰燼
ljubi	接吻
ljubi	吻
ljubi	親親
ljubi	親吻
guanin	guanine
lokus	軌跡
sankcije	制裁
kopiju	複製
kopiju	副本
alejandro	alejandro
zagrijava	暖氣
zagrijava	供暖
zagrijava	加熱
stambene	住宅
stambene	寄宿
igralište	操場
igralište	遊樂場
igralište	運動場
pješadija	步兵
komunistički	共產主義
sem	sem
ljepota	美容
ljepota	美人
ljepota	美女
ljepota	美
nacista	納粹
generator	產生器
generator	發電機
glover	glover
buha	跳蚤
čuvari	守衛
čuvari	衛兵
čuvari	守護者
čuvari	監護人
gal	加侖
univerzalna	環球
univerzalna	普及
univerzalna	普遍
moo	茂
kičme	脊椎
kičme	脊柱
wikibase	wikibase
zaboravi	忘記
glasove	選票
enterprise	企業
preciznosti	精度
preciznosti	精准
preciznosti	精確
preciznosti	精確度
preciznosti	精密
berry	漿果
berry	berry
sovjeti	蘇維埃
uski	狹義
uski	狹隘
uski	縮小
uski	窄
uski	狹窄
takmičarke	參賽者
klaudija	claudia
blokada	封鎖
perje	羽
perje	羽毛
neophodni	必要
neophodni	必需
taipei	臺北
taipei	台北市
taipei	台北
jackie	成龍
zaštićen	保護
elementarne	元素
biber	辣椒
biber	胡椒
uzastopne	先後
tvrdoća	硬度
matilda	matilda
istragu	調查
riješi	解決
riješi	解
talenat	才幹
talenat	人才
talenat	才華
talenat	天才
talenat	天賦
laos	寮國
laos	laos
plato	高原
firefox	firefox
alexandra	alexandra
štrajk	罷工
ukloni	刪除
ukloni	移除
domova	住家
pokušaje	企圖
fitzgerald	fitzgerald
policajca	cop
smanjenjem	減少
avenue	大街
avenue	大道
monica	monica
mješavine	混合
jensen	jensen
zadobio	持續
stanovanje	住房
namirnica	供應
namirnica	用品
porte	porte
demografija	人口
stanari	租戶
stanari	房客
stanari	住戶
rubidij	銣
sevdalinka	詩
rajna	萊茵河
ado	ado
stihovima	歌詞
jung	鄭
carine	關稅
peking	北京市
peking	北京
peking	北京
ponor	深淵
moreuz	海峽
oštrim	尖銳
oštrim	鋒利
oštrim	銳利
otpornosti	韌性
otpornosti	復原力
tetka	姑姑
