den	die
platser	tuistes
platser	werwe
platser	sites
platser	terreine
första	eerste
första	eers
fick	het
fick	got
fick	ontvang
sydväst	suidwes
området	omgewing
området	gebied
området	oppervlakte
området	area
australien	australië
sydöstra	suidoos
april	april
bar	balk
bar	bar
bar	kroeg
sydost	suidoos
hans	hans
södra	suidelike
södra	suid
toppen	groot
toppen	wonderlik
toppen	bokant
toppen	bo
toppen	hoogs
sverige	swede
sedan	then
sedan	dan
sedan	sedert
östra	oos
cet	cet
kilometer	kilometer
kilometer	kilometer
kilometer	kilometer
kilometer	kilometers
norra	noorde
norra	noord
norra	noordelike
norra	northern
också	ook
också	te
talet	spraak
talet	toespraak
talet	speech
detta	dit
detta	hierdie
detta	dié
mot	teenoor
mot	mot
västra	wes
västra	westerse
västra	western
västra	westelike
del	deel
del	gedeelte
riktning	breuke
riktning	rigting
namn	naam
namn	benoem
namn	gebruikernaam
vilket	watter
vilket	watse
svenska	sweedse
svenska	svenska
mellan	tussen
svensk	sweedse
när	wanneer
cerro	cerro
frankrike	frankryk
död	dood
död	dooie
död	dood
kulle	heuwel
kulle	hill
kina	china
kina	sjina
kommunen	munisipaliteit
klimatet	klimaat
est	skatting
est	est
text	teksboodskap
text	teks
annat	ander
edt	edt
största	grootste
skulle	sou
inom	binne
departementet	departement
denna	dit
denna	hierdie
denna	dié
tropiskt	tropiese
park	park
hill	heuwel
hill	hill
flera	klomp
flera	veelvuldige
flera	veelvoud
periodiskt	periodieke
nord	noorde
nord	noord
nord	nord
stockholm	stockholm
alla	alle
alla	alles
alla	all
alla	almal
alla	al
alla	als
alla	almal
samma	dieselfde
samma	selfde
senare	later
olika	verskillende
olika	anders
olika	verskeie
point	punt
ort	stad
nya	nuut
nya	nuwe
island	ysland
dock	egter
sjön	meer
tidigare	voorheen
tidigare	earlier
tidigare	vroeër
tidigare	former
tidigare	voormalige
brasilien	brasilië
colombia	columbia
colombia	columbië
colombia	colombia
utan	sonder
socken	parish
sina	hul
spanien	spanje
mount	mount
mount	monteer
kom	kom
kinshasa	kinshasa
omgivande	omliggende
basen	base
basen	onderliggende
basen	basis
tre	tre
tre	drie
shift	verskuiwende
algeriet	algerië
dessa	daardie
dessa	diegene
chile	chili
växtlighet	plantegroei
mer	nog
mer	meer
här	hier
kongo	kongo
öst	oos
region	streek
von	von
jakarta	djakarta
släkte	generasie
släkte	genera
släkte	genus
sydlig	suidelike
västlig	westerse
västlig	western
västlig	westelike
blir	word
blir	geword
sydvästra	suidwestelike
sydvästra	suidwes
tillsammans	gekuier
tillsammans	saam
samhällen	gemeenskappe
samhällen	bybelgenootskappe
lite	lite
lite	light
republiken	republiek
öppet	ope
öppet	oopmaak
öppet	oop
öppet	deursigtig
öppet	transparent
öppet	deursigtige
delstat	staat
delstat	deelstaat
delstat	provinsie
delstat	toestand
delstat	spasie
innan	voor
innan	before
fram	voorkant
fram	voor
fram	front
canberra	canberra
mål	doelwitte
mål	doele
mål	doelwit
län	provinsie
län	county
län	provinsie
län	provinsies
bosnien	bosnië
afghanistan	afghanistan
john	johannes
john	john
hercegovina	herzegowina
administrativ	administratiewe
administrativ	verrig
nordöstra	noordelike
bara	slegs
bara	net
bara	slegs
bara	net
ska	ska
ska	shall
ontario	ontario
plats	plek
plats	location
plats	ligging
carl	carl
församling	parish
församling	gemeente
församling	saamstel
församling	gemeente
río	río
land	country
land	land
land	grond
dess	its
amerikansk	amerikaans
amerikansk	american
amerikansk	amerikaanse
helsingfors	helsinki
tid	tyd
tid	tydstip
ofta	gereeld
ofta	gereeld
ofta	dikwels
tog	took
några	sommige
kommer	sal
kommer	kom
kommer	oppad
exempel	voorbeelde
exempel	voorbeeld
exempel	voorbeelde
någon	enigiemand
någon	iemand
någon	enige
gräsmarker	grasslands
saint	heilige
saint	saint
något	ietwat
något	effens
något	iets
san	san
ingen	beweeg
ingen	reflekteer
ingen	niemand
staden	town
staden	stad
kallt	cold
kallt	koue
kallt	koud
jawa	jawa
varit	gewees
får	skaap
naturlig	natuurlike
mest	meeste
mest	mees
mest	meestal
webbplats	webwerf
webbplats	webtuiste
ger	ger
mosaik	mosaïek
team	spanne
team	span
började	aanvang
hela	hele
hela	geheel
gör	maak
honom	hom
gick	geloop
kyrka	kerk
nordvästra	noordwestelike
nordvästra	noordwes
angola	angola
vad	watse
vad	wat
columbia	columbia
columbia	columbië
tyskland	duitsland
svg	svg
distrikt	distrikte
distrikt	distrik
fyra	vier
eftersom	want
mexiko	meksiko
mexiko	mexico
london	londen
början	beginnings
vann	gewen
går	goes
hur	hoe
bay	baai
bay	bay
barn	kinders
barn	kinders
barn	kind
ekonomiska	ekonomiese
kunde	kon
dem	hulle
både	altwee
både	beide
både	albei
både	sowel
övrigt	ander
övrigt	allerlei
övrigt	diverse
övrigt	verskeie
england	engeland
england	england
hennes	hers
hennes	haar
argentina	argentinië
mountain	berg
grund	grondslag
grekland	griekeland
deras	hul
distriktet	distrik
dam	dam
dam	dame
dam	lady
karl	karel
karl	charles
karl	karl
idag	vandag
skådespelare	akteurs
skådespelare	akteur
personer	mense
spelade	gespeel
bli	word
bli	geword
endast	slegs
endast	net
öar	eilande
danmark	denemarke
danmark	danmark
son	seun
österrike	oostenryk
river	rivier
helt	heeltemal
artiklar	artikels
därefter	daarna
jean	jean
redan	alreeds
redan	reeds
cirka	circa
cirka	ongeveer
före	voor
före	before
william	willem
william	william
känd	bekende
känd	beroemd
känd	famous
engelska	engels
departement	departement
departement	ministries
departement	departemente
departement	ministry
departement	ministerie
departement	hoofgebou
antal	tel
antal	nommer
antal	getalle
antal	getal
vill	wil
författare	skrywers
författare	outeurs
författare	skrywer
författare	outeur
författare	skrywers
författare	skrywer
författare	outeur
wikipedia	wikipedia
vissa	sekere
vissa	sommige
cobar	cobar
cst	cst
äldre	elder
äldre	bejaardes
äldre	ouer
gamla	oud
gamla	ou
allt	alles
allt	alle
allt	alles
allt	all
allt	almal
allt	al
allt	als
lag	span
lag	reg
lag	wet
lag	spanne
johan	johannes
johan	john
johan	johan
innebär	beteken
diskussion	bespreking
vidare	verdere
vidare	verder
medan	ruk
medan	terwyl
kommuner	communes
kyrkan	kerk
punta	punta
iucn	iubn
kullar	hills
black	swart
asien	asië
varje	elke
varje	elk
bild	prent
bild	prent
bild	beelde
france	frankryk
vik	vou
politiker	politiek
politiker	politici
politiker	politikus
göra	maak
left	gelaat
band	orkeste
band	bands
band	band
band	musiekgroep
band	tape
rio	rio
rock	rock
söderut	suid
sista	last
sista	laas
sista	laaste
sista	jongste
sista	finale
sista	finaal
george	george
delar	dele
delar	parte
delar	gedeel
auto	auto
auto	outomaties
auto	outo
hett	hot
hett	warm
norrut	noorde
norrut	noord
själv	self
själv	myself
åren	jare
höjd	hoogtes
höjd	vergelyking
höjd	hoogte
säsongen	seisoen
poäng	uraan
poäng	punte
poäng	tellings
poäng	punt
istället	eerder
istället	pleks
arroyo	arroyo
peking	beijing
peking	peking
tyska	duits
sätt	wyses
sätt	maniere
sätt	manier
sätt	way
egypten	egipte
wadi	wadi
stad	town
stad	stad
norge	norge
norge	noorweë
area	omgewing
area	gebied
area	oppervlakte
area	area
loma	loma
york	york
därför	daarom
makedonien	masedonië
peter	petrus
peter	peter
franska	frans
franska	franse
vilken	watter
vilken	watse
dominikanska	dominikaanse
västerut	wes
kallas	geroep
kallas	gebel
kallas	naamlik
österut	oos
omkring	rond
göteborg	göteborg
göteborg	gotenburg
schweiz	switserland
fall	kas
fall	geval
fall	gevalle
fall	herfs
fall	val
tiden	tyd
tiden	tydstip
bästa	beste
brasília	brasília
främst	hoofsaaklik
källa	bronne
källa	bron
båda	altwee
båda	beide
båda	albei
båda	sowel
kabul	kaboel
malmö	malmö
delas	gedeel
slutet	einde
slutet	beëindig
olympiska	olimpiese
annan	ander
uppsala	uppsala
isbn	isbn
mätare	meter
madrid	madrid
måste	moet
antarktis	antarktika
erik	erik
erik	eric
erik	erik
paul	paulus
paul	paul
film	fliek
film	rolprent
film	rolprent
robert	robert
serien	reeks
serien	series
skall	shall
bra	goeie
bra	goed
fem	vyf
ryssland	rusland
thomas	thomas
santiago	santiago
deltog	bygewoon
deltog	deelgeneem
tysk	duits
vilka	wie
vilka	watter
vilka	watse
språk	tale
kinesiska	sjinese
kinesiska	chinees
kinesiska	sjinees
kinesiska	chinese
nuvarande	hede
nuvarande	tans
nuvarande	voordra
nuvarande	teenwoordig
officiell	amptelik
officiell	amptenaar
officiell	amptelike
källor	bronne
sång	sang
sång	sing
sång	singing
sång	singende
sång	liedjie
sång	lied
amerikanska	amerikaans
amerikanska	american
amerikanska	amerikaanse
samband	konneksie
globalt	wêreldwyd
globalt	global
globalt	globale
globalt	globaal
kroatien	kroasië
egen	eie
egen	aangepas
pst	pst
pdt	pdt
utanför	buite
aest	aest
mestadels	meestal
kvinnor	meisies
kvinnor	vroulik
kvinnor	vroue
kvinnor	vrouens
tredje	derde
blivit	word
blivit	geword
charles	karel
charles	charles
art	kuns
art	spesie
art	spesies
riket	reich
riket	realm
wales	wallis
david	dawid
david	david
com	com
sidan	blad
sidan	bladsy
sidan	kant
resultat	werkverrigting
resultat	prestasie
resultat	opvoering
resultat	resultate
resultat	uitslae
resultat	uitslag
resultat	resultaat
ibland	soms
enda	enkel
enda	sole
jabal	jabal
kända	bekende
kända	beroemd
kända	famous
universitet	universiteite
universitet	universiteit
libanon	libanon
paris	parys
kamerun	kameroen
border	grens
trots	ondanks
musik	musiek
maria	mary
maria	maria
maria	maria
tillbaka	rug
tillbaka	agterkant
tillbaka	terug
kung	heer
kung	king
kung	koning
barat	barat
form	vorm
form	vorms
der	der
fått	ontvang
historia	berig
historia	geskiedenis
historia	history
nova	nova
dal	valley
dal	vallei
låten	liedjie
låten	lied
fiji	fiji
tjeckien	tsjeggiese
tjeckien	tsjeggië
james	jakobus
james	james
albumet	album
samtidigt	gelyktydig
uppströms	stroomop
kring	rond
män	mans
män	mans
män	manne
lång	tall
lång	lank
lång	hoog
lång	lank
alger	algiers
alger	alg
alger	seewier
gift	getroude
gift	getrou
gift	getroud
gift	poison
album	album
album	albums
ner	ondertoe
ner	neer
ner	af
innehåller	bevat
disk	skyf
little	bietjie
wilhelm	wilhelm
gånger	tye
gånger	kere
brook	brook
övriga	ander
professor	professor
km²	km²
division	division
division	deling
martin	martinus
martin	martin
urval	seleksie
urval	voorbeeld
city	stad
totalt	totale
totalt	overall
alexander	alexander
arena	arena
period	periode
grönland	groenland
dag	dag
låg	lae
bogotá	bogotá
året	jaar
timur	timoer
europa	europa
kalifornien	california
kalifornien	kalifornië
aldrig	nooit
aldrig	never
aldrig	omkeer
gruppen	groep
gruppen	groepeer
miljoner	miljoen
miljoner	miljoene
henry	henry
växter	plants
växter	plante
växter	plant
står	staande
står	staan
står	stalletjies
seed	saad
sex	sesde
sex	ses
sex	seks
sex	geslag
sex	sex
spelar	speel
peak	toppunt
peak	rylaan
peak	peak
bort	weg
ser	lyk
ser	ser
ledamot	lid
särskilt	besonder
särskilt	veral
friedrich	friedrich
liv	lewe
queensland	queensland
kvar	gelaat
medlemmar	lede
sida	blad
sida	bladsy
längre	langer
område	omgewing
område	gebied
område	oppervlakte
område	area
gustaf	gustaf
gustaf	garfield
fortfarande	steeds
fortfarande	nogsteeds
min	myne
min	min
airport	lughawe
befolkningen	bevolking
befolkningen	populasie
louis	louis
louis	lodewyk
ordförande	president
ordförande	chairman
http	http
joseph	joseph
scotia	scotia
kanske	miskien
kanske	dalk
smith	smith
världen	wêreld
användare	gebruiker
användare	gebruikernaam
användare	gebruikers
tar	vat
far	vader
honduras	honduras
bolivia	bolivië
länder	lande
ytterligare	verdere
ytterligare	verder
ytterligare	addisionele
ytterligare	bykomende
guld	goud
kuba	cuba
kuba	kuba
center	sentreer
center	gesentreer
dotter	dogter
god	goeie
god	goed
luanda	luanda
grupp	groep
grupp	groepeer
väl	goed
väl	wel
väl	sowel
lars	lars
rätt	regterkant
rätt	regs
rätt	korrek
roll	rol
svampar	sampioen
svampar	fungus
praktfjärilar	nymphalidae
ryska	russies
ryska	russiese
henne	haar
wien	wene
wien	wenen
via	via
laguna	laguna
italien	italië
syrien	sirië
matcher	speletjies
matcher	wedstryde
arter	spesie
arter	spesies
hjälp	help
hjälp	hulp
kriget	oorlog
klassen	klas
gustav	gustav
gustav	garfield
cdt	cdt
university	universiteit
anna	anna
fredrik	frederik
fredrik	frederick
fredrik	fredrik
fler	nog
fler	meer
kort	kaarte
kort	kort
kort	kortliks
kort	sorteer
kort	kaarte
ungern	hongarye
gitarr	kitaar
serie	reeks
serie	series
serie	serie
serie	serie
gjort	voltooi
gjort	gedoen
gjort	klaar
ledde	gelei
red	gery
guinea	guinee
ecuador	ecuador
tanjung	tanjung
michael	michael
ovan	bo
rapport	rapporteer
lika	gelyk
lika	gelyke
kallad	geroep
kallad	gebel
kallad	naamlik
tycker	dink
tycker	dink
brittisk	brits
använda	gebruik
fransk	frans
fransk	franse
guvernementet	governorate
ungefär	oor
ungefär	rofweg
ungefär	ongeveer
tal	tal
tal	spraak
tal	toespraak
tal	speech
tal	nommer
tal	getalle
tal	getal
tal	getalle
tal	nommers
shan	shan
iii	iii
sarajevo	sarajevo
människor	humans
människor	mense
slutade	opgehou
slutade	gestop
slutade	gestaak
slutade	geëindig
world	wêreld
august	august
august	augustus
zeeland	zealand
zeeland	seelandse
zeeland	seeland
zeeland	zeeland
visar	vertonings
visar	vertoon
visar	vertonings
visar	programme
flyttade	gekuif
flyttade	geskuif
flyttade	verhuis
nästan	amper
nästan	nearly
egna	eie
ursprungligen	aanvanklik
ursprungligen	oorspronklik
nytt	nuut
nytt	nuwe
brittiska	brits
etiopien	ethiopia
etiopien	ethiopië
grande	grande
grottor	caves
grottor	grotte
christian	christian
christian	christene
christian	christen
christian	christiaan
labrador	labrador
newfoundland	newfoundland
klubben	klub
yta	oppervlak
yta	omgewing
yta	gebied
yta	oppervlakte
yta	area
aires	aires
vatten	water
vatten	waters
spelare	speler
spelare	spelers
buenos	buenos
själva	genesing
själva	hulself
andersson	andersson
igen	weer
start	start
start	begin
oftast	gewoonlik
oftast	meestal
true	waar
true	true
richard	richard
reservoar	reservoir
berlin	berlyn
byte	greep
medlem	lid
jan	jan
liten	small
liten	klein
liten	bietjie
liten	klein
liten	tiny
guatemala	guatemala
manitoba	manitoba
information	informasie
information	inligting
guyana	guiana
guyana	guyana
stränder	shores
stränder	strande
love	liefde
adt	adt
national	nasionale
national	national
national	nasionaal
sur	suur
sur	sur
använder	gebruike
typ	tipe
typ	tik
spelades	gespeel
arbete	werk
bättre	beter
problem	probleem
problem	problem
problem	probleme
problem	problems
problem	sukkel
problem	kwessies
grand	vleuel
grand	grand
são	são
irland	ierland
säga	sê
alltså	daarom
edward	edward
edward	eduard
bst	bst
grundades	gestig
varmt	hot
varmt	warm
laget	span
botten	bodem
botten	onder
botten	onderkant
botten	bottom
lilla	bietjie
lilla	lilla
dog	gesterf
dog	oorlede
year	jaar
bror	broer
washington	washington
hög	hoë
hög	hoog
vuxna	volwassenes
vuxna	volwassene
internationella	internasionaal
internationella	internasionale
daniel	daan
daniel	daniel
daniel	daniël
mark	markus
mark	merk
mark	mark
arbetade	gewerk
marie	marie
marie	marié
japan	japan
japan	japannees
förutom	behalwe
förutom	except
förutom	uitgesonderd
förutom	besides
ville	ville
dagar	dae
församlingen	gemeente
församlingen	saamstel
församlingen	gemeente
direkt	direk
direkt	rig
direkt	direkte
records	rekords
records	records
stift	speld
lund	lund
politiska	politieke
haft	moes
mitten	middelste
mitten	midde
mitten	sentreer
mitten	gesentreer
georg	george
georg	georg
alltid	skuilname
alltid	altyd
otto	otto
united	vereenigde
united	united
united	verenigde
aktiv	onaktiewe
aktiv	aktief
inget	niks
silver	silwer
henrik	henrik
henrik	henry
walker	walker
karriär	loopbaan
karriär	loopbane
president	president
federationen	federasie
mitt	mitt
mitt	myne
kungliga	koninklike
kungliga	royal
kungliga	royals
alto	alto
slut	einde
slut	beëindig
liknande	soortgelyke
belägen	geleë
högre	harder
högre	hoër
league	liga
johannes	johannes
johannes	johannes
johannes	john
anspråk	opgeëis
anspråk	geëis
anspråk	eise
anspråk	eis
pointe	pointe
komma	komma
komma	maatskappy
komma	oppad
anses	geag
anses	oorweeg
små	small
små	klein
spela	toneelstuk
spela	speel
spela	speel
bilder	prente
bilder	beelde
bilder	prente
bilder	prentjies
bilder	skyfies
nummer	nommer
nummer	getalle
nummer	getal
nummer	getalle
nummer	nommers
länge	lank
hand	hand
slaget	slag
slaget	veldslag
spelet	speletjie
spelet	spel
väg	roete
väg	pad
väg	road
rum	kamers
rum	rooms
rum	kamer
pierre	pierre
djur	diere
djur	dier
central	sentrale
central	sentraal
färg	deursigtigheid
färg	verf
strand	shore
strand	strand
säsong	seisoen
företaget	maatskappy
regi	regie
regi	gerig
regi	aanstuur
glest	sparse
punkt	paragraaf
punkt	punt
punkt	dot
punkt	punt
områden	streke
områden	gebiede
gifte	getroude
gifte	getrou
gifte	getroud
europeiska	europees
europeiska	europese
skriva	skryf
skriva	tik
international	internasionaal
international	internasionale
avsnitt	seksies
avsnitt	afdelings
avsnitt	artikels
avsnitt	seksie
avsnitt	afdeling
avsnitt	episode
avsnitt	episodes
bas	base
bas	onderliggende
bas	basis
bas	bas
sankt	sankt
sankt	heilige
sankt	saint
verkar	blyk
eget	eie
sulawesi	sulawesi
fotboll	sokker
fotboll	voetbal
bok	bespreek
bok	boek
lyckades	beheerde
#aaa	#aaa
île	île
white	white
ord	woord
ord	woorde
tall	tall
tall	lank
tall	hoog
fortsatte	volgehoue
fortsatte	deurlopende
fortsatte	voortdurende
delvis	gedeeltelik
delvis	gedeeltelike
delvis	gedeeltelik
museum	museum
sju	sewe
sju	sewende
unit	eenheid
verksamhet	bewerkings
verksamhet	aktiwiteite
verksamhet	aktief
verksamhet	aktiwiteit
lever	lewer
minst	minimum
minst	minste
adolf	sailor
adolf	adolf
albert	albert
betyder	beteken
ned	ned
belgien	belgië
böcker	boeke
olof	olof
texas	texas
victoria	victoria
officiella	amptelik
officiella	amptenaar
officiella	amptelike
bakom	agter
rev	reefs
rev	rev
rev	reef
långa	ling
långa	lank
heinrich	heinrich
fotbollsspelare	sokkerspeler
solid	soliede
solid	solied
magnus	magnus
slott	kasteel
slott	paleis
familj	familie
familj	gesin
huset	house
huset	huis
regeringen	regering
trummor	dromme
trummor	drums
spel	dobbel
spel	speletjie
spel	spel
spel	speletjies
spel	wedstryde
aten	athene
svenskt	sweedse
rad	lyn
rad	rad
rad	blaai
rad	ry
rad	row
sett	gesien
länet	provinsie
länet	county
johansson	johansson
hus	house
hus	huis
hus	huise
långt	ver
långt	lank
förlorade	verlore
förlorade	verloor
tio	tio
tio	tien
par	paartjie
par	pare
par	paartjies
enbart	slegs
enbart	net
stefan	stephen
stefan	stefanus
stefan	stefan
fast	stuck
fast	vasgehaak
fast	reggemaak
åtta	agt
åtta	agtste
åtta	reguit
arabiska	arab
arabiska	arabies
arabiska	arabiese
arabiska	arabic
santo	santo
bern	bern
bern	berne
tror	glo
tror	dink
tror	dink
peru	peru
djibouti	djiboeti
côte	côte
costa	costa
chef	bestuurder
chef	chief
chef	baas
system	lêerstelsel
system	sisteem
system	stelsel
system	sisteme
system	stelsels
system	systems
stöd	ondersteuning
stöd	ondersteun
stöd	steun
stöd	bystand
gridcolor	gridcolor
nilsson	nilsson
brukar	gewoonlik
innehåll	tevrede
innehåll	kommentaar
mellersta	middelste
mellersta	midde
mellersta	sentrale
mellersta	sentraal
låtar	liedere
låtar	liedjies
varför	hoekom
varför	waarom
axel	skouer
axel	axel
axel	axis
omfattar	bedek
omfattar	dek
ackumulerade	opgehoopte
skolan	skool
kontinent	kontinent
roman	romeinse
roman	roman
stadium	stadion
stadium	verhoog
stadium	stadium
stadium	etage
gränsen	grens
les	les
radio	radio
dansk	deens
dansk	deense
dansk	dane
företag	besigheid
företag	maatskappy
företag	maatskappye
företag	companies
företag	ondernemings
företag	enterprises
företag	besighede
företag	onderneming
startade	aanvang
gunnar	gunnar
orten	stad
småland	småland
nere	ondertoe
nere	neer
nere	af
rom	rome
rom	rum
betydelse	betekenis
betydelse	betekenis
imagesize	imagesize
saskatchewan	saskatchewan
timeaxis	timeaxis
plotarea	plotarea
scalemajor	scalemajor
starkt	sterk
johann	johann
insee	insee
dateformat	dateformat
textcolor	textcolor
alignbars	alignbars
josé	josé
finska	fins
köpenhamn	kopenhagen
skapa	skep
musiker	musikant
musiker	musikante
sångare	sangers
sångare	singers
sångare	sangeres
sångare	sanger
sångare	singer
mont	mont
hem	tuis
hem	huistoe
hem	tuisblad
hem	huis
ursprung	oorsprong
vet	ken
vet	weet
republika	republika
polen	pole
bulgarien	bulgaria
ordning	orde
ordning	bestel
ordning	volgorde
ordning	bestelling
ordning	rangskik
srpska	srpska
förslag	voorstelle
förslag	voorstel
förlag	uitgewer
förlag	uitgewers
parti	party
parti	feesvieringe
parti	partytjie
äldsta	oudste
singel	enkel
behöver	nood
behöver	benodig
behöver	verlang
alfred	alfred
vanligen	gewoonlik
danska	deens
danska	deense
genre	genre
colorado	colorado
kali	kali
procent	persent
procent	persentasie
ernst	ernst
territorium	gebied
live	regstreekse
live	lewendige
live	gepubliseer
live	regstreeks
ludwig	ludwig
sul	sul
vägen	pad
vägen	road
gammal	oud
gammal	ou
tryckta	printed
modern	modern
modern	moderne
centrum	downtown
centrum	centrum
centrum	sentreer
centrum	gesentreer
centrum	sentreer
hemsida	webwerf
hemsida	webtuiste
spelat	gespeel
sådana	wyl
sådana	sulke
studier	studeer
studier	bestudeer
studier	studie
studier	studeer
studier	studies
filmer	films
filmer	flieks
filmer	rolprente
filmer	movies
byn	village
byn	dorpie
carolina	carolina
ben	bones
ben	bene
ben	ben
ben	been
snart	gou
snart	binnekort
snart	soon
montana	montana
fylke	shire
roller	troupant
roller	roller
skopje	skopje
uppdrag	missions
uppdrag	missie
uppdrag	sending
rivière	rivière
francis	francis
vita	white
vita	vita
kanal	kanaal
kanal	kanaal
ålder	ouderdom
fjärde	vierde
club	klub
flertal	veelvuldige
flertal	veelvoud
morro	morro
tidigt	vroeg
tidigt	vroeë
konstnär	kunstenaar
troligen	geneë
senaste	onlangse
senaste	last
senaste	laas
senaste	laaste
senaste	jongste
senaste	nuutste
senaste	jongste
sådan	wyl
sådan	sulke
ändå	steeds
ändå	nogsteeds
kastilien	kastilië
kastilien	castilla
brazzaville	brazzaville
die	sterf
tidningen	koerant
tidningen	tydskrif
isla	isla
juan	juan
gräs	pot
gräs	gras
gräs	onkruid
port	hawe
port	port
port	poort
mine	myne
beirut	beiroet
ledare	leier
ledare	redaksie
ledare	leiers
dalarna	dalarna
mst	mst
material	gegewens
material	rots
material	materiaal
material	materiale
material	materiaal
don	don
norska	no
folk	folk
folk	mense
nästa	volgende
skogar	woods
monte	monte
cup	koppie
cup	beker
skottland	skotland
norte	norte
historiska	historiese
historiska	geskiedkundige
historiska	historiese
norsk	no
norsk	norsk
längd	duur
längd	tydperk
längd	tydsduur
längd	tydsduur
längd	lengte
längd	hoogte
brown	bruin
kungen	heer
kungen	king
kungen	koning
skillnad	verskil
petit	petit
bgcolor	bgcolor
togs	geneem
omfattande	omvattende
karta	kaart
insekter	insekte
insekter	goggas
insekter	bugs
möjligt	moontlik
grekiska	griekse
snabbt	vinnig
snabbt	vinnige
armén	weermag
armén	leër
armén	army
program	programme
egentligen	eintlik
venezuela	venezuela
visade	gewys
visade	vertoon
visade	uitgelig
visade	inloer
visade	gewild
visade	uitgestal
visade	uitstal
visade	bekyk
visade	gekyk
rica	rica
gud	god
sommaren	somer
svårt	hard
svårt	harde
svårt	moeilik
svårt	moeilik
mera	nog
mera	meer
star	ster
star	star
alaska	alaska
mor	moeder
mor	ma
heller	heller
green	groen
klippa	cut
klippa	cliff
klippa	rock
röda	reds
röda	rooi
röda	rooi
king	heer
king	king
king	koning
one	een
williams	williams
beach	strand
aktiva	onaktiewe
aktiva	aktief
max	maksimum
max	max
hösten	herfs
hösten	herfs
hösten	val
lärare	onderwyser
lärare	onderwysers
samhället	samelewing
samhället	gemeenskap
samhället	geselskap
oregon	oregon
goals	doelwitte
goals	doele
https	https
brons	brons
säger	sê
säger	gesegde
säger	saying
mary	mary
mary	maria
skrivit	geskryf
lagen	reg
lagen	wet
svart	swart
bot	bot
bot	robot
vapen	wapen
vapen	arms
vapen	wapens
vapen	bewapen
vapen	vuurwapens
städer	dorpe
städer	stede
lövfällande	bladwisselende
ford	ford
val	seleksie
val	verkiesings
val	verkiesing
val	walvis
simon	simon
cruz	cruz
inre	interior
inre	binneste
inre	intern
inre	interne
inre	innerlike
harry	harry
sten	klip
sten	sten
sten	rock
mängd	bedrag
mängd	hoeveelheid
mängd	aantal
mängd	kwantiteit
nederländerna	nederlande
nederländerna	netherlands
nederländerna	nederland
månader	maande
moderna	modern
moderna	moderne
tom	leeg
tom	leë
tom	egipte
tom	tom
hålla	hou
platsen	location
platsen	ligging
ursprungliga	oorspronklik
ursprungliga	oorspronklike
vanligt	gemeen
vanligt	common
vanligt	gemeenskaplike
rudolf	rudolf
vanliga	gewoon
vanliga	gemeen
