퍼텐셜	posibleng
레슬리	lesley
레슬리	leslie
에미레이트	emirado
에미레이트	emirates
응원	cheer
응원	magsaya
응원	cheerleading
학대	abuso
학대	aabuso
올림포스	olympus
세계화	globalisasyon
먹이	manghuli
에리크	erik
에리크	eric
퍼레이드	parada
퍼레이드	parade
리버티	liberty
리버티	kalayaan
로크	locke
투르크메니스탄	turkmenistan
투르크메니스탄	turkmen
기저	basehan
포위전	siege
포위전	paglusob
코카콜라	coke
오스트레일리아인	australyano
화합	pagkakatugma
화합	harmony
화합	pagkakaisa
포탈	portal
포탈	portal
히브리	griyego
히브리	ebreo
히브리	hebreo
맥도날드	mcdonald
맥도날드	macdonald
윤리학	ethics
브레스트	brest
통치자	ruler
낚시	pangingisda
밀리미터	millimetre
노퍽	norfolk
커스텀	custom
비참한	miserable
디랙	dirac
호환성	compatibility
수마트라	sumatran
수마트라	sumatra
전망	prospects
전망	outlook
앨릭스	alex
보나파르트	bonaparte
선덜랜드	sunderland
동정	sympathy
동정	pakikiramay
동정	pagmamalasakit
전자공학	elektronika
전자공학	electronics
수익	kita
수익	ani
수익	kinita
수익	kita
수익	earnings
검토하기	suriin
검토하기	review
랠프	ralph
전구	bulb
아이오딘	iodine
돌연변이	mutant
돌연변이	pagbago
마크로스	macross
데이지	daisy
토리	tori
무신론	ateismo
무신론	atheist
실험실	laboratory
실험실	laboratoryo
실험실	laboratories
실험실	lab
홈즈	holmes
튀르크	turkic
페레스	peres
페레스	pérez
간지	kanji
플랑드르	flemish
지우	burahin
지우	malinaw
지우	burahin
반대편	kabaliktaran
프로그래머	programmer
관광객	turista
관광객	turista
제럴드	gerald
도끼	kapnayan
월리스	wallace
둘레	perimeter
상업용	pangkalakal
상업용	commercial
상업용	komersyal
상업용	komersiyal
수영장	pool
수영장	pool
이민자	imigrante
환영	welcome
데이먼	damon
자발적	kusang
황소	toro
황소	bull
안달루시아	andalucia
음악원	conservatory
화랑	gallery
스택	stack
스택	bulto
큐슈	kyushu
에픽	epic
에픽	epiko
에픽	epik
블로거	blogger
친구들이	kaibigan
친구들이	magkaibigan
파인	pino
재무	pinansyal
재무	financial
재무	pananalapi
치과	dentista
치과	dentistry
알렌	alan
인코딩	encode
인코딩	encoding
몰리	molly
몰리	morley
트루	tru
화살	arrow
화살	arrow
섹션	section
섹션	seksyon
섹션	seksiyon
햄릿	hamlet
요시노부	yoshinobu
구문	parirala
구문	syntax
그린란드	sabak
그린란드	greenland
루브르	louvre
무시	pansinin
무시	ignore
무시	balewalain
무시	itapon
무시	alisin
무시	binalewala
땅콩	mani
땅콩	nut
땅콩	mani
땅콩	nuts
땅콩	peanuts
땅콩	mani
닐스	nils
대표자	kinatawan
가끔은	minsa
가끔은	minsan
미러	salamin
미러	salamin
미러	gayahin
미러	mirror
다카오카	takaoka
결제	pay
결제	bayaran
결제	magbayad
결제	pagsisiyasat
결제	pagbabayad
결제	kabayaran
결제	bayad
결제	pagbabayad
트럼프	trump
갈릴레이	galilei
브룩	brooke
브룩	brook
카이사르	caesar
아름답다	ganda
아름답다	maganda
역설	paradox
불행한	kapus
불행한	malas
안도라	andorra
마리야	marie
폐기물	basura
허가서	lisensiya
허가서	lisensya
어린시절	pagkabata
달빛	moonlight
어메이징	amazing
브렛	brett
알토	alto
올리비아	olivia
브라질리아	brasilia
켄타	kenta
급한	urgent
솔리드	solid
외할아버지	lolo
캐머런	cameron
눈물이	luha
단순하게	simply
의사소통	komunikasyon
충전	singil
충전	charge
넓이	malapad
베스	beth
임상	clinical
최단	pinakamaikling
전세	charter
몽키	unggoy
터빈	turbina
사슴	usa
시에라	sierra
로건	logan
카와시마	kawashima
기독교인	kristiyano
소원	naisin
소원	wish
소원	batiin
소원	nais
소원	pagbati
소원	wishes
소원	kagustuhan
수다	madaldal
병행	concurrent
존경하는	tinitingala
존경하는	iginagalang
존경하는	irespeto
비례	pantay
비례	proporsyon
런타임	runtime
베스트셀러	bestseller
베스트셀러	pinakamabenta
모니터링	sinusubaybayan
모니터링	pagmamanman
모니터링	pagsubaybay
모니터링	monitor
엣지	gilid
엣지	edge
엣지	dulo
하모니카	harmonica
파이썬	sawa
난이도	nahirapan
오구라	ogura
브룩스	brooke
브룩스	brooks
나뭇잎	dahon
나뭇잎	dahon
스바루	subaru
사담	saddam
팟캐스트	podcast
파라	farah
아이디어	ideya
아이디어	idea
아이디어	ideya
관습	kaugalian
관습	customs
관습	kaugalian
캐롤라이나	carolina
인터랙티브	interactive
부상당한	nasugatan
페널티	parusa
합금	alloy
합금	alloys
케이시	casey
퍼거슨	ferguson
드레이크	drake
애니멀	animal
애니멀	hayop
죄수	pinalaya
기증	donasyon
훔볼트	humboldt
맬컴	malcolm
푸틴	putin
패킷	packet
아카기	akagi
다카기	takagi
공학자	engineer
프리덤	kalayaan
서킷	circuit
유야	yuya
동지	solstisyo
메이슨	mason
결정하기	magdesisyon
결정하기	magpasya
침묵	tahimik
침묵	katahimikan
중성	neutral
헌트	hunt
헌트	mangkukulam
괴산	kinidnap
부등식	inequality
벵골	bengali
벵골	bengal
여자들	kababaihan
융합	fusion
융합	fused
비틀즈	beatles
니코	nico
장화	bota
장화	boots
스나이퍼	sniper
버팔로	kalabaw
커리어	career
커리어	karera
공구	kasangkapan
프로스트	frost
셰인	shane
크릭	crick
둥지	pugad
아바타	avatar
일시적	pansamantala
일시적	pansamantala
맥도널드	mcdonald
맥도널드	macdonald
마늘	bawang
절벽	cliffs
절벽	bangin
절벽	cliff
유머	katatawanan
유머	pagpapatawa
박쥐	bat
박쥐	paniki
올림푸스	olympus
빙하	glaciers
푸앵카레	poincaré
듀엣	duet
발광	luminous
콤플렉스	complex
콤플렉스	kumplikadong
콤플렉스	komplikadong
콤플렉스	masalimuot
빈곤	kahirapan
럭셔리	luho
럭셔리	marangyang
럭셔리	luxury
어쨌거나	anyway
보츠와나	botswana
물결	alon
스트레이트	straight
스트레이트	tuwid
스트레이트	diretso
이탈리아인	italian
이탈리아인	italyano
생태계	ecosystem
듀티	duty
듀티	tungkulin
홀리	holly
로체스터	rochester
무작위	random
무작위	sapalaran
발렌타인	star
발렌타인	valentine
처칠	churchill
랜스	lance
보손	bosons
엑셀	excel
서스펜션	suspension
투자가	mamumuhunan
스킨	balat
니노미야	ninomiya
지배자	dominant
지배자	nangingibabaw
헬레나	helena
이사벨라	isabel
이사벨라	isabella
각도	anggulo
파이트	fights
토네이도	tornado
토네이도	buhawi
습지	marsh
열쇠	keys
열쇠	susi
시리얼	serial
시리얼	cereal
예언	prophecies
예언	propeta
예언	hula
점화	ignition
프레스	pindutin
마스터스	masters
마스터스	master
토양	lupa
레이첼	rachel
레이첼	rachael
아론	aaron
아론	aron
신념	pananampalataya
신념	paniniwala
신념	paniniwala
얼티밋	panghuli
얼티밋	ultimate
얼티밋	pangwakas
플라즈마	plasma
복음	ebanghelyo
복음	guidance
우표	stamp
우표	selyo
우표	stamps
조앤	joan
히사시	hisashi
이온화	ionization
오리온자리	orion
소수점	decimal
타악기	instrumentong
썬더	kulog
마샬	marshall
라이징	pagsikat
라이징	sumisikat
라이징	rising
셰이크	sheikh
셰이크	sheik
아이카와	aikawa
창문	bintana
댄싱	sayawan
댄싱	sumayaw
댄싱	nagsasayaw
댄싱	sumasayaw
댄싱	pagsasayaw
저수지	imbakan
슈가	asukal
슈가	sugar
관리하기	pamahalaan
버뮤다	bermuda
정보상자	infobox
정보상자	infoboxes
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	pagkaantala
매스	mass
매스	misa
매스	masa
주님	lord
주님	panginoon
마돈나	madonna
반영	ipakita
반영	reflection
미화	usd
인플루엔자	trangkaso
자바스크립트	javascript
마르티네스	martinez
전시관	eksibisyon
전시관	exhibition
콜롬보	colombo
알랭	alain
코스모스	cosmos
더럼	durham
세타	theta
시아파	shia
요시노리	yoshinori
궁궐	palasyo
퓨전	fusion
캄차카	kamchatka
랭커스터	lancaster
일하기	working
일하기	pagtatrabaho
일하기	gumagana
일하기	nagtatrabaho
프레이저	fraser
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarkismo
사보이	savoy
애비뉴	avenue
애비뉴	abenida
다운타운	downtown
입법부	tagapagbatas
알칼리	alkalina
기쁨	joy
기쁨	tuwa
기쁨	kasiyahan
뉴펀들랜드	newfoundland
헌장	charter
클러스터	kumpol
클러스터	cluster
클러스터	clusters
핼리팩스	halifax
첸나이	chennai
프록시	proxy
바스	paliguan
바스	naliligo
핵분열	fission
인피니트	infinite
아무나	sinuman
스텔라	stella
릴리즈	bitawan
릴리즈	ilabas
릴리즈	pakawalan
릴리즈	release
제라드	gerrard
제라드	gerard
모금	fundraiser
아바스	abbas
궁수자리	sagittarius
클레오파트라	cleopatra
잉카	inca
카라카스	caracas
도도	degrees
산토스	santos
크라쿠프	kraków
산책	paglalakad
산책	maglakad
산책	lumakad
산책	lakad
산책	walk
플라잉	lumilipad
추첨	gumuhit
제롬	jerome
패트리어트	patriot
미학	aesthetics
미학	aesthetic
물품	kalakal
물품	paninda
물품	kalakal
그리기	gumuhit
그리기	pagguhit
그리기	drawing
헤라클레스	hercules
헤라클레스	heracles
쥐라기	jurassic
용품	supplies
용품	suplay
콘스탄티노스	constantine
콘스탄티노스	constantino
서포터	tagasuporta
하코네	hakone
마술	salamangka
마술	magic
부담	pasakit
각색	adaptations
폭력적인	marahas
그리니치	greenwich
매운	maanghang
바리톤	baritone
허락	pahintulot
허락	permiso
네덜란드인	netherlands
네덜란드인	olandes
네덜란드인	dutch
본드	bono
본드	bond
섹터	sektor
섹터	sector
우주인	astronaut
장벽	hadlang
장벽	hadlang
장벽	harang
강조	highlight
강조	emphasis
강조	hina
강조	intensity
리브	liv
리브	reeve
포춘	fortune
수염	balbas
미쳐	nababaliw
미쳐	ulol
미쳐	baliw
미쳐	loko
트리오	trio
카네코	kaneko
본질	kakanyahan
돼지고기	pork
돼지고기	baboy
까다로운	nakakalito
욕망	pagnanais
욕망	desire
욕망	nais
욕망	libog
욕망	kahalayan
욕망	hinahangad
매뉴얼	manual
챌린저	challenger
킹덤	kaharian
카노	kano
안전성	kaligtasan
우산	payong
보두앵	baldwin
남방	katimugang
남방	southern
서커스	circus
컴파일	naipon
컴파일	compilation
이브라힘	ibrahim
볼링	bowling
초과	lumampas
초과	sobra
초과	labis
초과	nalampasan
초과	lumampas
향수	bango
향수	pabango
국민투표	reperendum
페가수스자리	pegasus
가와구치	kawaguchi
서스펜스	suspense
셀틱	keltiko
실무	praktikal
수니파	sunni
케이타	keita
술집	pub
술집	pub
이더넷	ethernet
포브스	forbes
돌고래	dolphin
돌고래	dolphins
고소	sue
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	evolution
에볼루션	ebolusyon
올림피아	olympia
동행	samahan
지니	genie
권장	inirerekomenda
권장	inirekomenda
부관	deputy
부관	posthumous
조슈아	joshua
조슈아	josue
우즈	kagubatan
우즈	woods
우즈	kakahuyan
가이아	gaia
사카타	sakata
신탁	magtiwala
신탁	pinagkakatiwalaan
신탁	tiwala
신탁	trust
엉덩이	asno
엉덩이	puwet
엉덩이	hip
엉덩이	balakang
엉덩이	puwit
빌뉴스	vilna
가르침	pagtuturo
웍스	gumagana
가쓰라	katsura
마쓰우라	matsuura
셀프	cell
가봉	gabon
셔먼	sherman
인테리어	panloob
상어	sharks
상어	pating
블룸	bloom
블룸	pamumulaklak
알타이	altai
근로자	manggagawa
근로자	manggagawa
응답	tumugon
응답	sumagot
응답	sagutin
응답	sagot
응답	sumagot
응답	reply
대략적인	tinantiyang
저널리즘	pamamahayag
조립	assemble
조립	magtipon
조립	tipunin
조립	binuo
카불	kabul
앵글로	anglo
로사리오	rosario
장점	pakinabang
장점	kalamangan
장점	bentahe
장점	samantalahin
장점	advantage
장점	kalamangan
오렌지색	orange
오렌지색	kahel
내시	nash
이륙	lumipad
검사관	inspector
등대	paro
등대	parola
제이콥	jacob
차이콥스키	tchaikovsky
우디	woody
던지기	itapon
던지기	throw
던지기	ihagis
디럭스	deluxe
브롱크스	bronx
상상	imahinasyon
상상	haka
상상	maisip
상상	akala
밀스	mills
카르타고	kartago
통계학	istatistika
통계학	statistical
커넥션	koneksyon
커넥션	connection
서프라이즈	surprise
서프라이즈	pagkagulat
서프라이즈	sorpresa
픽션	fiction
학업	akademikong
호화	marangya
호화	marangyang
호화	maluho
포츠담	potsdam
혐오	nadismaya
혐오	hate
블라인드	bulag
등산	umaakyat
혼슈	honshū
착용	nagsusuot
착용	magsuot
레베카	rebecca
천장	kisame
페라리	ferrari
슈트라우스	strauss
아우크스부르크	augsburg
모리셔스	mauritius
신용카드	credit
달팽이	slug
달팽이	kuhol
소중히	cherish
러닝	tumatakbo
러닝	nagpapatakbo
대리석	marmol
노르만	norman
계란	itlog
계란	itlog
렉스	rex
자비	awa
핸드	kamay
외모	anyo
외모	itsura
외모	hitsura
실외	panlabas
이르쿠츠크	irkutsk
미네르바	minerva
당구	bilyar
노블	marangal
형제들	brothers
행진곡	marso
사치코	sachiko
외로운	malungkot
외로운	lonely
라벨	label
트레이시	tracy
팔이	bisig
팔이	braso
프레스턴	preston
벽돌	brick
벽돌	brick
라이	lai
폴란드인	poles
백금	platinum
하인	lingkod
미완성	unfinished
캘린더	kalendaryo
사이공	saigon
오타쿠	otaku
재규어	jaguars
재규어	jaguar
걷기	naglalakad
걷기	lumalakad
걷기	naglakad
걷기	paglalakad
걷기	maglakad
걷기	lumakad
걷기	lakad
걷기	walk
사바나	savannah
바지	pantalon
라플라스	laplace
설득	kumbinsihin
광업	pagmimina
광업	mining
페가수스	pegasus
부트	boot
써니	maaraw
써니	sunny
타타르	tatar
니카라과의	nicaragua
아크라	accra
어려움	nahirapan
어려움	mahirap
껍질	shell
껍질	peel
껍질	balat
오르기	umakyat
오르기	akyatin
네트워킹	networking
그리드	grid
부록	appendix
클랜시	clancy
파이어니어	pioneer
탱고	tango
윌리스	willis
텐서	tensor
언리얼	imitasyon
떠나기	umalis
떠나기	iwan
떠나기	iwanan
떠나기	aalis
떠나기	umaalis
푸리에	fourier
농도	pinagtutuunan
농도	concentration
농도	lalim
코코	ilong
코스타	costa
슬롯	slot
슬롯	slot
폴라	paula
다이오드	diode
엘레나	elena
샘플링	sample
샘플링	halimbawa
샘플링	sampling
지평선	horizon
팬더	panda
팬더	panther
튜브	tube
튜브	tubes
홍대	hong
원더	taka
원더	nagtataka
원더	wonder
카트	kariton
카트	cart
레저	ledger
레저	leisure
마르코프	markov
직위	posisyon
직위	opinyon
비아	via
진흙	putik
브리타니아	britannia
쿼터	quarter
추론	pangangatwiran
헐리우드	hollywood
케리	kerry
모모	momo
적응	adaptive
적응	adaptation
레니	lenny
체이스	chase
코뮌	communes
인디아	india
흡연	naninigarilyo
흡연	paninigarilyo
복권	lotto
복권	lottery
양키	yankee
로마노프	romanov
가이아나	guyana
섀도우	shadow
섀도우	anino
피아트	fiat
블레이크	blake
이방인	stranger
아드리안	adrian
포르쉐	porsche
부스	booth
대머리	kalbo
스미레	sumire
마티아스	matias
호스팅	hosting
스탬프	stamp
스탬프	stamps
베트남어	vietnamese
드러낸다	naglalabas
에메랄드	emerald
아프로	afro
색인	indexed
색인	index
파우스트	faust
테두리	hangganan
하퍼	harper
카우보이	cowboy
카우보이	cowboys
부탄	bhutan
포화	lunod
로이스	royce
로이스	lois
목차	nilalaman
미즈시마	mizushima
오카	oka
서류	papeles
서류	papers
국수	pansit
국수	pancit
국수	noodle
결핵	tuberculosis
불평등	inequality
비정규	kinaugalian
남용	abuso
남용	aabuso
화해	bati
편집기	editor
편집기	editor
줄무늬	striped
줄무늬	stripes
벅스	buck
벅스	alma
벅스	bugs
벅스	bucks
니컬러스	nicolás
니컬러스	nicholas
모듈러	modular
베일	bale
베일	belo
베일	vale
퇴직	pagreretiro
퇴직	retired
녹아	matunaw
무지	kamangmangan
재활	rehab
재활	rehabilitation
통증	sakit
통증	kirot
통증	panganganak
마당	bakuran
플랫	flat
플랫	patag
크로스오버	crossover
복합체	complex
복합체	kumplikadong
복합체	komplikadong
복합체	masalimuot
만찬	hapunan
만찬	supper
시그널	senyas
시그널	signal
시그널	hudyat
볼셰비키	bolshevik
더그	doug
앵커리지	anchorage
숨겨져	nakatagong
숨겨져	nakatago
숨겨져	itinago
깔끔하게	neat
찾아보기	browse
찾아보기	tuklasin
찾아보기	tumuklas
찾아보기	matuklasan
찾아보기	natuklasan
어디서나	saanman
어디서나	dako
생년월일	dob
생년월일	birthdate
블레어	blair
니콜라우스	nicolás
니콜라우스	nicholas
댓글	comment
댓글	pagkomento
댓글	nagkomento
댓글	comments
반짝반짝	twinkle
아래쪽	lower
아래쪽	pababang
아래쪽	ibaba
아래쪽	ibaba
아래쪽	ilalim
플로피	floppy
수족관	akwaryum
편리하다	maginhawa
콜라	coke
콜라	cola
조달	paghanap
미드	mead
미드	mid
리바운드	rebounds
검출	detection
검출	pagtuklas
손상된	nasira
걷고	naglalakad
걷고	lumalakad
범죄자	kriminal
범죄자	nagkasala
범죄자	offender
명성	fame
명성	reputasyon
쏟아져	buhos
쏟아져	pagbuhos
입술	lips
입술	labi
입술	lip
마티	marty
섀넌	shannon
농부	magsasaka
농부	magsasaka
농부	farmer
베니	benny
응급	emerhensiya
응급	emerhensiyang
응급	emerhensiya
응급	emergency
카즈오	kazuo
스무	bente
스무	dalawampu
실린더	cylinder
우분투	ubuntu
리타	rita
샤이니	shah
샤이니	shinee
손해	pagkalugi
손해	damage
손해	pinsala
버추얼	birtwal
버추얼	virtual
어시스트	tumulong
어시스트	assists
어시스트	tumutulong
브람스	brahms
아이비	ivy
스플리트	paghahati
스플리트	split
스플리트	hatiin
베이컨	bacon
코니	connie
혈관	vessels
치프	chief
치프	hepe
노스웨스턴	northwestern
에베레스트	everest
마일스	milya
디나르	dinar
리처드슨	richardson
마인드	isip
노래방	karaoke
피드백	feedback
피드백	puna
공지	pumapansin
공지	pagpapahayag
공지	pansinin
공지	paunawa
공지	anunsyo
잠금	lock
잠금	pagsasara
바하마	bahamas
설리번	sullivan
훌리오	julio
루니	rooney
무례한	bastos
매트	matt
매트	banig
매트	mat
경이	marvelous
항아리	jar
아키하바라	akihabara
엘런	ellen
고마쓰	komatsu
온실	greenhouse
지불	nagbabayad
지불	pay
지불	bayaran
지불	magbayad
지불	nagbabayad
지불	pagbabayad
지불	kabayaran
지불	bayad
감지	detection
감지	pagtuklas
감지	natukoy
감지	nakilalang
감지	detect
네이션	nation
통역	tagapagsalin
통역	interpreter
연습생	pagsasanay
연습생	practice
연습생	praktis
민병대	militia
워프	warp
아브라함	ibrahim
아브라함	abraham
전갈자리	scorpio
아리스토텔레스	aristotle
체계적	sistematikong
물고기자리	pisces
코다마	kodama
가까워	closer
가까워	palapit
자격증	sertipikasyon
자격증	katibayan
자격증	sertipikadong
자격증	certified
가정교사	tutor
가정교사	tutor
가정교사	pagtuturo
루미	rumi
매리너	mariner
벤치	bench
스완	swan
흔적	trail
흔적	bakas
흔적	bakas
에드먼턴	edmonton
말라위	malawi
캐치	mahuli
비자	visa
세르비아인	pranses
오늘도	ngayon
파서	parser
부모님	parents
부모님	magulang
부모님	magulang
스위프트	swift
수류탄	grenade
콜렉션	koleksiyon
콜렉션	koleksyon
몬테레이	monterrey
펀자브	punjab
펀자브	punjabi
단락	talata
하버	harbour
무제한	unlimited
숨김	nakatagong
숨김	nakatago
숨김	itinago
메사	mesa
매기	maggie
카세트	cassette
행복하게	happily
행복하게	maligaya
귀도	guido
거품	bula
거품	bula
거품	bubble
랠리	rally
닫습니다	close
닫습니다	malapit
닫습니다	isara
닫습니다	nagsasara
독립기념일	independence
독립기념일	kalayaan
스캇	scott
배너	banner
배너	banner
의사당	capitol
억제	pagsugpo
억제	suppression
방학	bakasyon
방학	vacation
사우샘프턴	southampton
베네딕트	benedict
베네딕트	benedicto
도달	naabot
도달	maaabot
도달	maabot
도달	naabot
도달	naaabot
도달	abot
도달	abutin
가정부	maid
라그나로크	ragnarok
플레어	flare
플레어	talento
인덱스	indexed
인덱스	index
플라워	bulaklak
아메드	ahmed
배운다	matutunan
배운다	matuto
배운다	aralan
배운다	malaman
멤버들	miyembro
멤버들	members
멤버들	kasapi
애정	pagmamahal
위트레흐트	utrecht
비스마르크	bismarck
볼륨	volume
볼륨	volume
파도	alon
파도	alon
엘프	elf
웬디	wendy
백조	swan
심어	nagtanim
심어	nakatanim
스노우	niyebe
스노우	snow
외출	outing
거스	gus
출판물	publikasyon
출판물	publication
타라	tara
마르코스	marcos
바빌론	babilonya
바빌론	babylon
발목	ankle
중성미자	neutrino
베일리	bailey
새우	alamang
새우	hipon
다코타	dakota
에식스	essex
페니	penny
혼돈	pagkalito
혼돈	nagkagulo
혼돈	kaguluhan
워렌	warren
브라보	bravo
볼프	lobo
볼프	wolf
하이라이트	highlight
하이라이트	highlights
하이라이트	highlight
바닐라	banilya
바닐라	vanilla
두뇌	brain
두뇌	utak
일관성	consistency
손오공	goku
알란	alan
망치	martilyo
주디	judy
피타고라스	pythagoras
지리학	heograpiya
멜로	melo
카레	curry
지브롤터	gibraltar
전자제품	elektronika
전자제품	electronics
재산권	property
헤럴드	herald
유스티니아누스	justiniano
글래스	baso
글래스	salamin
글래스	pampalaki
뱅크스	pampang
뱅크스	bangko
컴팩트	compact
장애물	pagtalon
장애물	jumping
장애물	hadlang
복숭아	peach
닝보	ningbo
사용법	paggamit
쿠미코	kumiko
콘월	cornualles
자정	midnight
자정	hatinggabi
토모에	tomoe
분사	injection
싸이	psy
프로토타입	tularan
프로토타입	prototype
템플	templo
웰스	wells
에덴	eden
