fungi	грибы
moda	модный
brain	мозг
brain	мозги
espn	espn
claudius	клавдий
kalinangang	нок
samoa	самоа
piloto	пилот
piloto	экспериментальных
pundasyong	фонд
pundasyong	основа
pundasyong	foundation
pundasyong	основание
pundasyong	фундамент
sui	sui
pagkakahati	разбивка
pagkakahati	срыв
pagkakahati	распад
mao	мао
bali	бали
bali	трещина
bali	перелом
nars	медсестер
nars	медсестры
nars	сестра
nars	медсестра
nars	няни
nars	няня
pagboto	голосования
pagboto	голосование
cia	цру
tagapagtanggol	адвокат
amo	босс
amo	amo
natutunan	научилась
natutunan	узнал
natutunan	научился
kuwait	кувейт
kuwait	кувейта
kuwait	кувейте
summit	саммит
matuklasan	обнаружить
context	контексте
context	контекст
context	контекста
makatanggap	получать
nakaupo	сидя
nakaupo	сижу
nakaupo	сидим
nakaupo	сидеть
nakaupo	сидение
kastilyo	замок
kastilyo	касл
patent	патент
patent	патента
slam	slam
magnetic	магнитные
tiya	тетя
tiya	тётя
cha	ча
mozambique	мозамбике
mozambique	мозамбик
mozambique	мозамбика
kasaganaan	благосостояние
kasaganaan	процветания
kasaganaan	процветание
taglagas	осенний
taglagas	осень
taglagas	осень
taglagas	падение
taglagas	осенью
taglagas	упасть
nagsusuot	надеть
nagsusuot	носить
nagsusuot	носит
panggagahasa	изнасилования
panggagahasa	изнасилование
gonzaga	гонзага
françois	франсуа
screenshot	скриншот
nato	нато
dale	дейл
dale	дэйл
gate	врата
gate	ворота
bula	пузыри
bula	пены
bula	пена
bula	була
soon	вскоре
soon	скоро
eugenio	эухенио
eugenio	евгений
eugenio	юджин
kawanihan	президиум
kawanihan	бюро
orlando	орландо
latina	латина
cellspacing	cellspacing
asuka	асука
tagapamagitan	ведущий
tagapamagitan	ведущая
tagapamagitan	посредника
tagapamagitan	посредник
awtonomong	автономные
awtonomong	автономных
awtonomong	самостоятельный
mister	мистер
mister	господин
magpakasal	жениться
angola	ангола
angola	анголы
angola	анголе
angola	анголу
syrian	сирийской
syrian	сирийские
syrian	сирийская
haru	хару
aomori	аомори
giant	гигантский
giant	гигант
giant	гигантская
giant	гигантские
bawasan	отделкой
bawasan	уменьшить
bawasan	сократить
bawasan	уменьшить
bawasan	уменьшение
lightsteelblue	lightsteelblue
magnitude	величина
magnitude	масштабов
giuseppe	джузеппе
tigre	тигр
ipinasok	вклад
ipinasok	ввод
miki	мики
tuberculosis	туберкулезом
tuberculosis	туберкулез
phone	телефон
baghdad	багдад
baghdad	багдаде
duel	дуэль
konduktor	дирижёр
konduktor	проводник
thermal	тепловой
pangkalakal	коммерческие
pangkalakal	коммерческая
pangkalakal	коммерческий
mole	крот
tora	тора
sinulid	нитки
sinulid	нити
sinulid	нить
suka	уксус
suka	рвота
albania	албании
albania	албания
kontrolin	контроля
kontrolin	контроль
kontrolin	управление
regal	regal
led	led
configuration	настройка
configuration	конфигурации
configuration	конфигурация
gates	гейтс
gates	ворота
forbes	форбс
matapat	правдивые
matapat	честно
matapat	честным
matapat	честно
matapat	честное
matapat	честный
matapat	честная
trapiko	пробки
trapiko	движения
trapiko	трафик
trapiko	движение
nagbabawal	запрещает
ferrer	феррер
concepción	консепсьон
sabaw	суп
sabaw	бульон
paikot	радиальная
ruben	рубен
evangelista	евангелиста
leopoldo	леопольдо
pal	приятель
pal	пал
paradise	рай
bianca	бьянка
lampas	помимо
dewey	дьюи
magnanakaw	грабитель
magnanakaw	воровка
magnanakaw	вор
download	загрузка
download	загрузить
download	скачать
download	загрузки
nagtataguyod	пропагандирует
nagtataguyod	поощряет
nagtataguyod	содействует
wii	wii
warriors	воины
warriors	воинов
doble	двойная
doble	двойное
doble	двойной
doble	двойные
cynthia	синтия
montreal	монреальского
montreal	монреаль
ini	ini
supply	поставки
supply	снабжение
supply	поставка
respeto	респект
respeto	уважать
respeto	уважение
respeto	уважаю
britannica	британника
quebec	квебек
romantiko	романтический
romantiko	романтик
romantiko	романтика
romantiko	романтическая
bernal	берналь
miyagi	мияги
italic	курсив
gfdl	gfdl
classic	классические
classic	классическая
classic	классический
classic	классика
classic	classic
apektado	затронутые
shizuoka	сидзуока
inline	inline
copenhagen	копенгагене
copenhagen	копенгаген
plataporma	платформу
plataporma	платформы
plataporma	платформа
alumni	выпускники
alumni	выпускников
lumalaking	растет
lumalaking	растущий
lumalaking	растущей
lumalaking	растущая
paghawak	обработка
hinihinalang	подозревается
hinihinalang	подозревали
scottish	шотландский
scottish	шотландии
emblem	герб
emblem	эмблемы
tadhana	судьбу
tadhana	судьба
tadhana	судьбы
canal	канал
kasabihan	пословица
gulo	беспорядок
gulo	бардак
gulo	конфронтации
gulo	противостояние
gulo	тире
alba	альба
hinawakan	провел
midnight	полночь
aki	аки
fusion	fusion
fusion	синтез
mcdonald	макдональд
cortex	кора
keys	ключи
keys	клавиши
sumagot	ответила
sumagot	ответили
sumagot	ответил
sumagot	ответ
sumagot	ответить
sumagot	ответила
sumagot	ответил
nagpakilala	введена
nagpakilala	введен
nagpakilala	введено
paalala	напоминания
paalala	напоминание
impeachment	импичмента
ahmad	ахмад
ahmad	ахмед
integrated	комплексная
integrated	комплексное
integrated	комплексной
integrated	комплексные
manirahan	проживать
patricia	патриция
demand	потребовать
demand	спрос
demand	спроса
demand	требование
teacher	учитель
teacher	преподаватель
teacher	учительница
hawakan	справиться
hawakan	трогательно
hawakan	прикосновения
hawakan	прикосновение
hawakan	держать
hawakan	держите
nanumpa	поклялся
pahalang	горизонтальные
pahalang	горизонтальной
pahalang	горизонтали
maximus	максим
digit	цифр
digit	цифры
digit	цифра
athletic	спортивный
athletic	спортивная
metapisika	метафизика
donasyon	пожертвование
donasyon	пожертвования
donasyon	пожертвования
heinrich	генрих
stack	стек
quarter	квартал
quarter	четверть
quarter	квартале
buddy	приятель
buddy	бадди
ipagtanggol	защищать
ipagtanggol	защитить
ipagtanggol	защита
ipagtanggol	оборона
ipagtanggol	обороны
disk	диск
georgian	грузии
georgian	грузинская
mat	коврик
mat	мат
minsa	иногда
minsa	порой
marinig	слышать
marinig	слышите
marinig	слышу
quest	квест
mixed	смешанных
mixed	смешанная
mixed	смешанные
mixed	смешанный
mortal	смертный
matugunan	познакомиться
matugunan	знакомьтесь
matugunan	встретиться
nagamit	используется
nagamit	использовано
nagamit	используемый
nagamit	используемые
nagamit	использован
dublin	дублине
dublin	дублин
tinamaan	ударил
tinamaan	хит
malusog	здорового
malusog	здоровый
malusog	здоровое
malusog	здоровые
malusog	здоровая
natutulog	спит
natutulog	спит
natutulog	спать
natutulog	спят
ernst	эрнст
panggatong	дрова
pagbaybay	написание
titan	титан
moske	мечетей
moske	мечети
ground	основание
yap	яп
dagdagan	увеличить
dagdagan	увеличение
virtual	виртуальная
virtual	виртуальные
virtual	виртуальный
ran	побежал
esperanto	эсперанто
pagsasayaw	танцуют
pagsasayaw	танцы
antiochus	антиох
josh	джош
josh	джоша
cpu	процессор
kuweba	пещера
kuweba	пещере
maine	мэн
paputok	фейерверк
paputok	фейерверки
paputok	салют
león	леон
nerbiyos	нервозность
nerbiyos	нервы
digits	цифр
digits	цифры
bandalismo	граффити
bandalismo	вандализма
parker	паркер
interwiki	interwiki
hardware	оборудование
hugo	хьюго
hugo	уго
toledo	толедо
amado	амадо
kenneth	кеннет
anino	тени
anino	тени
anino	тень
anino	рефлекс
core	core
core	ядро
propesyon	профессия
estadistikang	описательный
silva	силва
silva	сильва
piliin	выберите
piliin	выбор
piliin	выделить
piliin	выбрать
formation	формирования
formation	формирование
formation	формирований
orleans	орлеан
malubha	суровое
malubha	суровые
malubha	серьезные
prague	праге
prague	прага
sira	сломан
sira	сломана
tinuruan	научил
tinuruan	преподавал
pumipigil	ограничение
masigla	энергичные
masigla	энергично
teologo	богослов
transition	переход
pagbomba	взрыв
pagbomba	бомбардировки
recent	недавние
recent	последние
recent	недавнее
recent	недавно
esteban	стефан
esteban	стивен
esteban	эстебан
ishikawa	исикава
makinis	гладко
kodansha	kodansha
arc	арк
arc	arc
arc	дуги
bug	жук
bug	ошибка
coalition	коалиция
coalition	коалицию
coalition	коалиции
alien	пришелец
alien	чужой
alien	иностранец
alien	пришельцы
alien	инопланетяне
alien	иностранцы
alien	иностранцев
walker	уолкер
walker	уокер
denominasyon	конфессии
oil	нефти
oil	нефть
oil	масло
pulbos	порошок
pulbos	порох
pagpapatakbo	оперативный
pagpapatakbo	оперативной
zambia	замбия
zambia	замбии
owen	оуэн
bonus	бонус
trigo	пшеницы
kaliwanagan	ясность
kaliwanagan	ясности
banner	баннеры
banner	знамя
banner	баннер
spider	паук
spider	пауки
composer	композитор
tang	тан
siko	локоть
moore	мур
sinusubukan	стараюсь
sinusubukan	пытаюсь
sinusubukan	попытка
sinusubukan	испытания
sinusubukan	проверка
sinusubukan	испытание
sinusubukan	тестирование
pasulong	вперед
pasulong	вперёд
nagpapatakbo	бежит
alahas	украшения
alahas	украшение
alahas	драгоценности
wasakin	уничтожать
wasakin	разрушить
wasakin	уничтожить
xbox	xbox
marcelino	марселино
creator	творец
creator	создатель
oman	омана
oman	оман
path	путь
otomo	отомо
doo	ду
lea	лиа
lea	леа
hell	hell
hell	ад
kyrgyzstan	кыргызстан
alternate	альтернативных
alternate	альтернативный
gorilla	горилла
langaw	летит
langaw	мух
langaw	мухи
rachel	рэйчел
rachel	рейчел
corpus	corpus
corpus	корпус
bulak	хлопок
aristotle	аристотель
tibetan	тибетский
palau	палау
honduras	гондурасе
honduras	гондурас
honduras	гондураса
wiktionary	викисловарь
uruguay	уругвая
uruguay	уругвай
uruguay	уругвае
movies	фильмы
movies	кино
maki	маки
aaron	аарон
aaron	аарона
magpatuloy	продолжить
magpatuloy	продолжаем
magpatuloy	продолжать
conrad	конрад
mayayaman	богат
mayayaman	богатых
mayayaman	рич
mayayaman	богатая
mayayaman	богатый
mayayaman	богатые
pilit	напряженными
pondong	фонд
matalino	мудрый
matalino	мудро
matalino	мудрое
matalino	мудрые
matalino	умная
matalino	умный
matalino	умно
matalino	умная
matalino	смарт
matalino	умный
matalino	smart
matalino	умные
charts	диаграммы
connecticut	коннектикут
hudson	хадсон
bote	бутылка
bote	бутылку
katapangan	мужество
katapangan	храбрость
katapangan	смелость
hepburn	хепберн
badyet	бюджет
click	щелчок
click	клик
click	нажмите
click	клики
click	кликов
percentage	проценты
percentage	процент
attr	attr
lino	лино
lino	белье
lino	лайнус
lucy	люси
sexy	sexy
sexy	сексуально
sexy	сексуальный
sexy	сексуальная
sexy	сексуальные
emmy	эмми
kawani	персонал
kawani	сотрудники
aus	aus
sinauna	музыка
sinauna	музыку
sinauna	music
kalinisan	гигиена
kalinisan	гигиены
kalinisan	санитарии
lumipad	муха
lumipad	лети
lumipad	летать
lumipad	взлета
lumipad	парить
romansa	романтика
romansa	романтики
tuyo	сухая
tuyo	сухие
tuyo	сухой
ramesses	рамсес
construction	конструкция
construction	строительство
taliban	талибан
taliban	талибана
stanley	стенли
stanley	стэнли
edinburgh	эдинбург
jeong	чон
shadow	тени
shadow	тень
oceania	океании
aalala	озабоченность
aalala	беспокойство
aalala	забота
aalala	обеспокоенность
superior	высшего
planta	растения
planta	завод
planta	растение
planta	растений
ella	элла
asahi	asahi
cooper	купер
paggana	функциональность
matanggap	получать
kakayanan	компетентность
kakayanan	компетенция
kakayanan	компетенции
lam	лам
glandula	железы
glandula	желез
sayaka	саяка
labintatlong	тринадцать
labintatlong	thirteen
anglo	англо
fatima	фатима
botohan	опросы
botohan	опрос
ibenta	продавать
ibenta	продажа
ibenta	продать
geisha	гейша
gardens	сады
timothy	тимоти
pagkanta	поет
pagkanta	поют
pagkanta	пою
pagkanta	пение
pagkanta	петь
whole	целая
whole	целые
whole	целое
whole	целиком
josue	джошуа
soccer	футбол
buksan	открыть
buksan	открытый
buksan	открыто
buksan	open
buksan	открытая
katalan	каталонии
sarado	закрыта
sarado	закрыто
sarado	закрытая
sarado	закрытое
sarado	закрыты
tab	вкладку
tab	вкладка
hwan	хван
sword	меч
inaprubahan	утверждено
inaprubahan	одобрено
inaprubahan	одобрен
inaprubahan	утвержден
inaprubahan	одобрена
ekolohiya	экологическое
ekolohiya	экологический
ekolohiya	экологическая
ekolohiya	экологических
ekolohiya	экологические
ekolohiya	экологии
ekolohiya	компьютеры
psp	psp
opus	opus
amanda	аманда
denver	денвер
wikibase	wikibase
pinagsasama	сочетает
pinagsasama	связки
tatlumpung	тридцать
tatlumpung	thirty
isis	игил
kumbinasyon	комбинации
kumbinasyon	комбинация
kumbinasyon	сочетание
kumbinasyon	сочетании
quote	цитирую
quote	цитата
pagsasahimpapawid	трансляция
pagsasahimpapawid	трансляции
pagsasahimpapawid	вещание
pagsasahimpapawid	вещания
pagsasahimpapawid	вещание
premyo	премия
premyo	приз
premyo	призы
siksik	плотный
siksik	плотная
jefferson	джефферсон
tumutol	спорных
bapor	пароход
driver	водители
driver	водителей
driver	драйвер
driver	водителя
driver	водитель
chūō	тюо
calabria	калабрия
aktwal	фактическое
aktwal	фактические
aktwal	фактический
aktwal	фактическая
aktwal	фактических
siberia	сибирь
siberia	сибири
oportunidad	возможности
dosis	дозу
dosis	дозу
dosis	доза
luke	люка
luke	люк
kulog	гром
khmer	кхмерский
pornograpiya	порнографии
pornograpiya	порнографию
pornograpiya	порнография
pornograpiya	порнографических
electronics	электроники
winds	ветры
winds	ветра
sistematikong	систематический
sistematikong	систематическая
sistematikong	систематические
sistematikong	систематическое
sistematikong	систематического
gerald	джеральд
raha	раджа
donald	дональд
gumalaw	двигаться
gumalaw	переместить
gumalaw	ход
maestro	маэстро
claus	клаус
graphic	графический
graphic	графические
paumanhin	прости
paumanhin	извините
steel	стали
steel	стальные
steel	стальной
steel	сталь
tiyuhin	дядя
tiyuhin	дядюшка
rolando	роландо
etikal	этических
dome	купол
dome	купола
claude	клод
honey	мед
honey	родная
honey	дорогая
ramirez	рамирес
meaning	значение
meaning	смысл
nagbebenta	продавать
nagbebenta	продажа
nagbebenta	продать
nagbebenta	продажа
nagbebenta	продавец
nagbebenta	продавца
earl	эрл
pagpayag	одобрение
pagpayag	утверждение
pagpayag	готовность
judy	джуди
lumikas	эвакуировать
lumikas	эвакуация
nagustuhan	понравилось
nagustuhan	нравится
nagustuhan	понравилась
nagustuhan	понравились
nagustuhan	понравился
harris	харрис
betty	бетти
styles	стайлз
styles	стили
styles	стилей
karayom	иглы
makinarya	механизм
makinarya	механизма
katherine	кэтрин
katherine	катерина
laden	ладена
ridge	хребет
ridge	ридж
cinderella	золушка
franchise	франшиза
campo	кампо
ezekiel	иезекииль
infanta	инфанта
pantasya	фантазия
pantasya	фантазии
berkeley	беркли
partial	частичный
partial	частичная
partial	частичное
partial	частично
pagpoproseso	обработки
pagpoproseso	переработка
pagpoproseso	обработка
#ff	#ff
baker	бейкер
pansit	лапша
pansit	лапшу
kandila	свечу
kandila	свеча
kandila	свечей
kandila	свечи
bonaparte	бонапарт
kadiliman	тьму
kadiliman	темноту
kadiliman	тьма
kadiliman	темнота
kadiliman	мрак
kadiliman	темноте
akala	мысль
akala	думал
ernesto	эрнесто
sites	сайты
sites	сайтов
alone	одна
alone	одни
alone	один
loki	локи
anu	что
anu	какие
anu	какая
anu	какой
anatolia	анатолии
wolfgang	вольфганг
split	сплит
split	раскол
split	разделить
vampire	вампиры
vampire	вампир
bohr	бор
tangent	касательной
ending	окончание
ending	конец
getargs	getargs
margarita	маргарита
hermes	гермес
jet	jet
panel	панели
panel	панели
panel	панель
pilot	пилот
pilot	экспериментальных
diktador	диктатора
smile	улыбнись
smile	улыбка
smile	улыбаться
burton	бёртон
burton	бартон
vishnu	вишну
designer	дизайнеров
designer	дизайнеры
carter	картер
pinal	окончательный
pinal	окончательного
pinal	заключительный
pinal	заключительные
pino	пино
pino	пайн
lucky	счастливая
lucky	лаки
lucky	счастливчик
lucky	повезло
kanto	углу
kanto	уголок
kanto	угол
kanto	пересечения
kanto	пересечение
magtayo	строить
magtayo	построить
bawang	чеснок
inaalagaan	заботился
saya	печали
saya	горе
saya	скорбь
saya	печаль
saya	счастья
saya	счастье
notre	notre
notre	нотр
smiles	улыбается
smiles	улыбки
banayad	мягкой
gaia	гея
gaia	gaia
tsubasa	tsubasa
isports	спортивные
isports	спорт
isports	спортивная
isports	sports
kalalabasan	итоги
glory	славу
glory	слава
financial	финансовых
financial	финансы
financial	финансовая
financial	финансовые
naglalakad	прогулки
naglalakad	ходить
lunar	лунный
sinasakop	охватывает
sinasakop	покрывает
sinasakop	обложки
naghihintay	ожидание
naghihintay	ждём
naghihintay	жду
naghihintay	ждем
naghihintay	ждать
botante	избирателей
produces	производит
toreng	башня
toreng	tower
toreng	тауэр
binabantayan	надзор
binabantayan	надзора
advertising	реклама
yesno	yesno
kinopya	скопировал
matuto	учиться
matuto	учись
matuto	учитесь
income	доход
income	поступления
income	доходы
selena	селена
penelope	пенелопа
matatapos	концы
matatapos	заканчивается
matatapos	истекает
matatapos	конце
matatapos	end
matatapos	конец
petty	мелкой
petty	мелкая
charity	благотворительность
charity	благотворительная
gunma	гумма
griffin	гриффин
diwata	богиня
buwanang	месячные
buwanang	ежемесячно
buwanang	ежемесячные
buwanang	ежемесячный
katsuura	кацуура
provence	прованс
holdings	запасах
nakararami	большинство
nagsalita	говорил
pinapalitan	преобразует
cleveland	кливленд
prix	prix
jeanne	нападающий
jeanne	нападавшего
jeanne	жанна
etimolohiya	этимология
boulevard	бульвар
kimiko	кимико
mormon	мормонов
niyebe	снег
niyebe	сноу
niyebe	снега
mara	мара
hubble	хаббл
wallace	уоллес
lawin	ястреб
janet	джанет
janet	дженет
accountancy	бухгалтерские
kawad	провод
estate	поместье
kurt	курт
inihanda	подготовленный
inihanda	подготовлена
inihanda	подготовленные
inihanda	подготовлено
inihanda	подготовлен
warsaw	восстание
nagpapadala	отправляет
nagpapadala	посылает
metabolismo	метаболизм
kapatiran	братства
kapatiran	братство
nakulong	ловушке
baywang	талия
baywang	талии
daisy	дэйзи
daisy	дейзи
formula	formula
formula	формулы
formula	формула
galilea	галилеи
dub	dub
gabriela	габриэла
rugby	регби
konstelasyon	созвездии
jensen	дженсен
punta	пунта
hatinggabi	полночь
easy	полегче
easy	легче
easy	легко
sylvia	сильвия
imbento	изобрел
imbento	изобрели
imbento	изобрёл
imbento	изобретение
tagapakinig	слушатель
tagapakinig	слушателей
tagapakinig	слушатели
enzyme	фермент
shirley	ширли
ultra	ультра
ultra	ultra
sibilisasyon	цивилизация
sibilisasyon	цивилизацию
sibilisasyon	цивилизации
sibilisasyon	цивилизациями
sibilisasyon	цивилизаций
sibilisasyon	цивилизации
westminster	вестминстер
praga	праге
praga	прага
kid	парень
lingua	lingua
gibraltar	гибралтаре
gibraltar	гибралтар
huwaran	ориентиры
sto	сто
touch	touch
touch	прикоснуться
touch	прикосновение
dubai	дубай
emosyonal	эмоциональные
emosyonal	эмоциональная
emosyonal	эмоции
emosyonal	эмоциональной
emosyonal	эмоциональный
emosyonal	душевно
emosyonal	эмоционально
mexican	мексиканская
mexican	мексиканский
mexican	мексики
ciro	чиро
elepante	слона
elepante	слон
pandiwang	устные
sport	sport
sport	спорт
itago	скрывать
itago	скрыть
itago	спрятать
sunflower	подсолнечника
null	null
pete	пита
pete	пит
kalat	разбросаны
kalat	грязно
kalat	бардак
kasu	суставов
togo	того
armstrong	армстронг
constitution	конституция
admiral	адмирал
chu	чу
xiv	xiv
winasak	сломалась
winasak	сломал
winasak	сломался
lyon	лион
iranian	иранский
iranian	ирана
iranian	иранские
richards	ричардс
jeremy	джереми
foster	фостер
nero	nero
tsokolate	какао
tsokolate	шоколадные
tsokolate	шоколад
tsokolate	шоколадный
napagmasdan	рассмотрел
masakit	болезненно
masakit	больно
masakit	болит
masakit	больно
kahel	оранжевое
kahel	оранжевый
kahel	апельсин
flor	флор
memphis	мемфис
nutrisyon	питания
nutrisyon	питание
nagpasiya	постановляет
kahaliling	альтернативных
kahaliling	альтернативный
yuan	юаней
config	config
joseon	чосон
carrara	каррара
deboto	преданный
prc	кнр
montana	монтана
falcon	сокол
nguyen	нгуен
dean	декан
dean	дин
tadyang	ребра
fourth	четвертой
fourth	четвертый
fourth	четвертое
fourth	четвёртая
fourth	четвёртый
fourth	четвертая
basil	василий
dolores	долорес
tommy	томми
kaligayahan	счастья
kaligayahan	счастье
candidate	кандидат
levant	левант
delete	удаленные
delete	исключен
delete	удалена
delete	удалено
delete	исключить
delete	удаление
delete	удалить
pagsikat	растущая
ncaa	ncaa
pinasok	вступил
hayti	гаити
yard	ярдов
paglulunsad	запуск
paglulunsad	пуск
hadith	хадис
pekeng	имитация
konserbatibo	консервативные
effect	эффект
talo	неудачник
palasyong	букингемский
astrolohiya	астрология
athletics	атлетика
athletics	атлетике
sumuporta	поддержки
sumuporta	поддержка
sumuporta	поддержку
sumuporta	поддерживаю
diocese	епархии
diocese	епархия
sibuyas	лук
sibuyas	луком
sibuyas	лук
fighting	бои
makakamit	достигнуть
makakamit	достичь
dominic	доминик
itinalagang	назначенных
itinalagang	назначенный
itinalagang	назначенные
pambahay	домохозяйств
pambahay	домохозяйства
ruby	руби
mura	дешевые
mura	недорого
mura	дешевая
mura	дешевый
lata	тин
lata	lata
pansamantala	временно
pansamantala	временный
pansamantala	временная
pansamantala	временное
pansamantala	временно
pansamantala	временные
pansamantala	предварительные
pansamantala	предварительный
datavalue	datavalue
ash	аш
ash	эш
ash	пепел
hana	хана
ronnie	ронни
pagkakaibigan	дружбы
pagkakaibigan	дружба
sicilia	сицилии
maintindihan	пойми
maintindihan	понимаю
maintindihan	понять
prizes	призы
estratehiya	стратегии
estratehiya	стратегия
magkaibigan	друзей
magkaibigan	друзья
yano	яно
mabait	добрая
mabait	хорош
mabait	хороша
mabait	хороший
mabait	хорошее
mabait	хорошо
mabait	послушным
probinsya	область
probinsya	провинция
turo	указывая
turo	указывает
sinai	синай
frances	фрэнсис
miyazaki	миядзаки
dam	дам
dam	плотины
dam	гэс
comments	замечания
comments	комментарии
fantasy	фантазия
fantasy	фантазии
nararanasan	испытывают
boku	boku
pagtanda	старения
pagtanda	старение
deutsche	deutsche
indent	отступом
fernández	фернандес
pagbibilang	подсчет
pagbibilang	рассчитывает
pagbibilang	считаю
pagbibilang	считать
republican	республиканцы
republican	республиканский
republican	республиканской
ceo	гас
stroke	инсульт
idinisenyo	разработан
idinisenyo	разработано
idinisenyo	предназначенные
eri	эри
makasalanan	грешники
makasalanan	грешников
chain	цепочку
chain	цепочка
chain	цепь
aten	атон
hun	хун
hun	гунны
kinokontrol	контролируемых
kinokontrol	управляемый
kinokontrol	контролируемые
kinokontrol	контролируется
kinokontrol	контролирует
kinokontrol	контроль
pusong	бьется
pusong	бьет
pusong	rogue
pusong	клоун
malabo	размыто
armenian	армении
factory	фабрика
factory	завод
sunshine	солнышко
kumamoto	кумамото
api	api
paleolitiko	палеолит
reklamo	жалобы
reklamo	жалоба
yoko	йоко
cut	сократить
cut	вырезать
cut	снято
tinitingnan	проверяем
tinitingnan	проверка
tinitingnan	просмотра
tinitingnan	просмотр
falls	фоллс
falls	падает
rutherford	резерфорд
seconds	секунды
seconds	секунд
tapusin	закончить
tapusin	завершить
tapusin	конце
tapusin	end
tapusin	конец
tapusin	заключить
