die	az
paar	kevesen
paar	pár
paar	kevés
paar	kevesek
paar	néhány
rol	szerepet
rol	szerep
rol	szerepe
rol	tekercs
rol	gurul
rol	roll
vrou	nő
vrou	asszony
vrou	nö
vrou	feleségem
vrou	felesége
vrou	feleség
gebiede	területek
gebiede	térségek
gebiede	területek
derde	harmadik
derde	harmadszor
dag	nap
dag	napon
dag	nappal
dag	napot
john	john
john	jános
moderne	modern
moderne	korszerű
woord	szó
woord	szava
groter	nagyobb
groter	nagyobbak
groter	nagyobb
president	elnök
koninkryk	királyság
tale	nyelveket
tale	nyelvek
tale	nyelveken
ontvang	kapni
ontvang	kapott
ontvang	fogadott
ontvang	beérkezett
ontvang	átvevő
bly	örülök
bly	maradj
amerika	amerika
amerika	america
hoewel	habár
hoewel	bár
webwerf	weboldal
webwerf	honlap
webwerf	webhely
staat	állapot
staat	állami
staat	állam
staat	lap
staat	lepedő
weens	esedékes
vandag	ma
daardie	azok
ekonomiese	gazdasági
aanvaar	elfogadva
aanvaar	elfogadott
aanvaar	elfogadta
aanvaar	elfogadni
aanvaar	elfogadom
geskryf	megírva
geskryf	írásbeli
geskryf	írta
geskryf	írott
geskryf	elégett
geskryf	égett
geskryf	megégett
geskryf	égetett
hele	egészben
hele	egész
bevat	tartalmazza
bevat	tartalmaz
skrywer	író
skrywer	író
skrywer	szerző
see	seneca
see	tengeren
see	tengeri
see	tenger
verander	lemondani
verander	módosítások
verander	változtatások
verander	változás
verander	változások
verander	változtatás
verander	módosítható
verander	módosítani
verander	módosítás
verander	változás
verander	változtatás
verander	megváltozott
verander	változások
bereik	elérés
bereik	elérése
bereik	elérni
bereik	elérte
bereik	elért
russiese	orosz
russiese	oroszul
russiese	oroszország
inwoners	lakói
inwoners	lakók
inwoners	lakosok
beteken	aljas
man	férje
man	férjem
man	férj
man	férfi
man	ember
huis	otthon
huis	itthon
huis	haza
huis	house
huis	ház
huis	házon
besoek	benyomást
besoek	benyomás
besoek	látogatás
besoek	meglátogatta
besoek	meglátogatott
besoek	látogatott
besoek	felkeresett
administratiewe	igazgatási
administratiewe	adminisztratív
bekende	híres
bekende	híresség
gespeel	játszott
gespeel	játszottam
beste	legjobbak
beste	legjobb
beste	best
rusland	oroszország
kerke	templomok
rooi	vörösek
rooi	vörösök
rooi	piros
rooi	piroska
rooi	vörös
skryf	írj
skryf	írni
skryf	írjon
skryf	égés
skryf	égni
wie	ki
wie	aki
visse	halak
suidelike	dél
suidelike	déli
romeinse	római
romeinse	roman
alhoewel	habár
alhoewel	bár
gekry	megtalált
gekry	megtaláltam
gekry	talált
gekom	utazott
hoë	high
hoë	magas
hoë	magasan
sterk	erős
sterk	erősek
africa	afrikai
africa	afrika
londen	londoni
londen	londonban
londen	london
londen	londonba
reeks	sorozat
hoofsaaklik	elsődlegesen
hoofsaaklik	elsősorban
eilande	szigetek
eilande	szigeteket
belangrikste	elsődleges
belangrikste	primer
speel	játék
speel	játszani
speel	play
speel	játssz
speel	lejátszás
speel	játszik
speel	játszom
wel	hát
bou	építsünk
bou	építeni
wil	akarsz
wil	akar
wil	akarod
wil	akarom
minder	kevesebbet
minder	kevesebb
minder	kevésbé
gelei	vezetett
gelei	led
stigting	alapító
stigting	formáció
stigting	alakzat
gegee	megadott
gegee	adva
gegee	megadva
gegee	adott
beskryf	ismertesse
beskryf	leírni
streek	régió
streek	régiók
streek	regionális
gesien	láttam
gesien	látta
gesien	látták
rivier	folyami
rivier	folyó
mees	legtöbb
jan	jan
ses	hat
grond	talajban
grond	talaj
grond	föld
grond	földterület
grond	szárazföld
grond	telek
grond	földterületek
grond	talaj
spesies	faj
spesies	állatfaj
spesies	fajok
beroep	foglalkozása
beroep	szakma
beroep	foglalkozás
png	png
verklaar	bejelentett
gedoen	kész
lede	tagjai
lede	tagok
lede	tagoknak
lede	képviselők
george	george
george	györgy
iii	iii
meter	méter
meter	méter
meter	méter
historiese	történelmi
historiese	történelmi
historiese	történeti
nederland	hollandia
nederland	holland
minister	miniszter
span	csapat
span	team
ontwikkeling	fejlesztés
ontwikkeling	fejlődés
ontwikkeling	fejlesztési
dele	alkatrész
dele	alkatrészek
dele	részek
frans	francia
frans	franciák
distrik	körzet
distrik	járás
distrik	kerület
gewen	nyert
god	isten
japan	japán
pad	út
pad	uton
pad	közúti
oorlede	meghalt
militêre	katonaság
militêre	katonai
militêre	hadsereg
inligting	információ
inligting	tájékoztatás
inligting	információk
paul	paul
paul	pál
veroorsaak	előidézett
veroorsaak	okozta
veroorsaak	okozott
veroorsaak	okoz
ontdek	felfedezés
ontdek	felfedezni
ontdek	felfedezése
oorspronklike	eredeti
katolieke	katolikus
katolieke	katolikusok
keiser	uralkodó
keiser	császár
boek	könyv
boek	könyvet
artikels	árucikkek
artikels	cikkek
artikels	szakaszok
artikels	szelvény
aanvanklik	kezdetben
aanvanklik	eleinte
sowel	mindkettő
sowel	mindketten
sowel	hát
goed	jó
goed	hát
kalender	naptár
kalender	naptári
wet	jogszabályok
wet	jog
wet	jogszabály
wet	törvény
wet	aktus
wet	felvonás
beide	mindkettő
beide	mindketten
goeie	jó
val	csepp
val	esés
val	őszi
val	zuhanás
val	ősszel
val	ősz
vsa	usa
hendrik	hendrik
beheer	kontroll
beheer	irányítás
beheer	vezérlő
beheer	ellenőrzési
beheer	ellenőrzés
http	http
terug	vissza
min	min
predikant	papság
gevind	megtalált
gevind	megtaláltam
gevind	talált
verkies	szívességet
verkies	szívesség
verkies	szívesség
omgewing	környezet
omgewing	környezetvédelem
omgewing	terület
omgewing	környék
lid	tag
voormalige	korábbi
park	park
grens	határ
grens	határon
grens	határokon
skeidsregter	bíró
oudste	legidősebb
oudste	legöregebb
oudste	legősibb
oudste	legrégebbi
sekere	bizonyos
data	adatok
data	adat
data	adatforgalom
jong	fiatalok
jong	fiatal
jong	fiatalos
noorde	észak
noorde	északi
noorde	északra
uiteindelik	végre
buite	kint
buite	kívül
buite	szabadtéri
buite	kültéri
buite	szabadban
invloed	befolyása
invloed	befolyással
invloed	befolyás
ouderdom	kor
ouderdom	életkor
diens	kiszolgálás
diens	szerviz
diens	szolgálat
diens	szolgáltatás
blou	kék
blou	blue
blou	maszat
noordelike	északkelet
noordelike	észak
noordelike	északi
vind	találni
vind	megtalálni
woorde	szavakat
woorde	szavak
verkiesing	választási
verkiesing	választás
verkiesing	választások
verbind	kapcsolódott
verbind	kapcsolt
verbind	összekapcsolt
verbind	kapcsolatban
verbind	kapcsolódás
verbind	kapcsolatot
geval	ügy
geval	case
geval	eset
unie	union
unie	unió
unie	szakszervezet
unie	unión
unie	uniós
griekse	görög
werke	állás
werke	állások
werke	munkahelyek
sterre	sparks
sterre	szikra
sterre	bárok
sterre	rácsok
sterre	rúd
sterre	rács
sterre	csillagok
sterre	sztárok
sterre	csillag
natal	natal
slag	harc
slag	csata
slag	csaták
deelstaat	állapot
deelstaat	állami
deelstaat	állam
oseaan	óceán
oseaan	ocean
son	napsütés
son	sun
son	nap
son	napfény
help	segíteni
help	segítség
museum	múzeumi
museum	múzeum
museum	museum
want	mert
bome	fákon
bome	fák
bome	fákat
voltooi	befejeződött
voltooi	elkészült
voltooi	befejezett
voltooi	befejezés
voltooi	kész
voltooi	komplett
voltooi	teljes
voltooi	teljessé
kilometer	kilométer
stelsel	rendszer
stelsel	system
raad	tanácsadás
raad	tanácsok
raad	tanács
raad	tanácsot
raad	tanács
hoogste	legmagasabb
dorpe	városok
gebly	élt
gebly	lakott
gebly	éltem
stede	városok
stede	városokat
klub	klub
klub	club
ster	csillagos
ster	csillag
ster	sztár
almal	mindenki
almal	mindenkinek
almal	mindegyik
almal	mind
almal	minden
almal	mindenki
almal	mindenkinek
australië	ausztrália
vanuit	től
vanuit	tól
vanuit	from
skakel	hivatkozás
skakel	kapcsolat
skakel	link
skakel	linket
skakel	hivatkozást
skakel	hívás
skakel	hívd
weke	hetekig
weke	hetek
lyk	tűnik
york	yorkban
york	york
york	yorki
generaal	általános
generaal	tábornok
sint	sint
vergadering	gyűlés
vergadering	találkozás
vergadering	találkozó
vergadering	megbeszélés
orde	megrendelés
orde	rendelés
orde	rend
orde	parancs
loop	séta
loop	sétálni
loop	sétál
loop	gyalog
nooit	sosem
nooit	soha
antieke	ősi
antieke	ős
antieke	ókori
musiek	zene
willem	william
willem	vilmos
rooms	helyiségek
rooms	szoba
rooms	szobákban
rooms	szobák
uitgawe	kiadás
verkry	megszerezte
verkry	beszerzett
verkry	szerzett
verkry	megszerzett
william	william
william	vilmos
verkoop	eladás
verkoop	eladva
verkoop	eladott
verkoop	elkelt
verkoop	eladási
verkoop	eladás
verkoop	eladni
voël	madár
sjina	porcelán
sjina	kína
sjina	china
dien	szolgálni
james	james
james	jakab
italië	olaszország
duits	németül
duits	német
vierde	negyedszer
vierde	negyedik
hoër	feljebb
hoër	magasabb
hoër	nagyobb
lei	ólom
lei	vezet
groei	növekedés
gestel	szett
gestel	set
gestel	beállítva
gestel	forgatás
eerder	helyett
eerder	ehelyett
eerder	helyette
kleiner	kisebbet
kleiner	kisebbek
kleiner	kisebb
foto	fényképek
foto	kép
foto	fénykép
foto	fotó
gevestig	letelepedett
verloor	vesztett
verloor	elveszett
verloor	lost
sewe	hetes
sewe	hét
handel	kereskedés
handel	csere
handel	kereskedelem
handel	kereskedelmi
oorspronklik	eredetileg
oorspronklik	eredeti
voorbeeld	mintavétel
voorbeeld	minta
voorbeeld	példa
voorsitter	széket
voorsitter	szék
nederlands	holland
nederlands	dutch
verskil	különbség
sentraal	központi
oppervlakte	terület
oppervlakte	környék
bevestig	ellenőrizve
bevestig	hitelesített
bevestig	ellenőrzött
bevestig	megerősítés
bevestig	megerősítése
bevestig	megerősíteni
bevestig	megerősítve
crystal	kristályos
crystal	crystal
crystal	kristály
bepaal	eltökélt
bepaal	határozott
bepaal	meghatározott
bepaal	meghatározva
bepaal	meghatározza
indiese	indián
indiese	indiai
klas	óra
klas	osztály
lughawe	bunker
lughawe	reptér
lughawe	repülőtér
louis	louis
louis	lajos
vertoon	felfedje
vertoon	felfedni
vertoon	kijelző
vertoon	megjelenítés
vertoon	megjelenítési
vertoon	megjelenített
altyd	mindig
lig	fény
lig	light
lig	fényt
lig	felnevelni
lig	emelés
txt	txt
punt	dot
punt	pont
punt	point
vroue	nők
vroue	asszonyok
vroue	női
vroue	nő
kant	edge
kant	oldalra
kant	oldalam
kant	side
betrokke	jegyesek
betrokke	eljegyzés
wou	akartam
wou	körözött
rome	róma
week	héten
week	hét
reg	jogszabályok
reg	jog
reg	jogszabály
reg	törvény
stadium	színpad
stadium	színpadon
prof	prof
vervaardig	termelt
vervaardig	gyártott
vervaardig	előállított
geskep	létrehozott
geskep	létrehozva
geskep	teremtett
elizabeth	erzsébet
elizabeth	elizabeth
parys	párizs
parys	párizsi
parys	párizsban
openbare	nyilvános
openbare	nyilvánosság
openbare	nyilvánosan
openbare	publikus
oud	idős
oud	régit
oud	régi
oud	öreg
oud	régiek
beskikbaar	elérhető
beskikbaar	rendelhető
dui	jelezze
akteur	színésznek
akteur	színész
sentrale	központi
totale	teljes
totale	összesen
natuurlike	természetes
bied	ajánlat
bied	ajánlatot
amptelik	hivatalos
amptelik	tisztviselő
indië	india
loopbaan	karrier
skep	létrehozása
olimpiese	olimpiai
dogter	lányom
dogter	lánya
dra	vinni
hoof	fő
hoof	main
hoof	főbb
druk	nyomás
verteenwoordig	képviselt
verteenwoordig	képviselte
verteenwoordig	képviseli
verteenwoordig	képviselni
verteenwoordig	képviseli
boeke	könyveket
boeke	könyvek
boeke	könyv
meestal	leginkább
meestal	főleg
meestal	főként
meestal	többnyire
geplaas	közzétette
geplaas	kiküldött
geplaas	közzétett
albei	mindkettő
albei	mindketten
etniese	etnikai
kus	part
kus	tengerpart
gepubliseer	live
gepubliseer	élni
gepubliseer	élőben
gepubliseer	élő
gepubliseer	közzétette
gepubliseer	publikált
gepubliseer	közzétett
super	super
super	szuper
kuns	művészet
kuns	art
bring	hozz
bring	hozd
geld	pénz
geld	pénzt
verdere	tovább
verdere	további
maria	mary
maria	mária
maria	mária
maria	maria
leier	vezér
leier	leader
leier	vezető
boom	fán
boom	fa
boom	fája
boom	fák
boom	bumm
rolprent	filmet
rolprent	mozi
rolprent	film
rolprent	fólia
rolprent	film
westelike	nyugati
westelike	nyugat
westelike	western
kanada	kanada
kanada	kanadai
tradisionele	hagyományos
tradisionele	tradicionális
national	nemzeti
national	országos
national	national
pole	lengyelország
beweging	mozgás
beweging	indítvány
beweging	mozgás
russies	orosz
russies	oroszul
russies	oroszország
russies	tunézia
russies	louisiana
japannese	japán
japannese	japánok
diere	állat
diere	állatok
beter	jobb
beter	jobban
punte	pont
punte	pontok
kulturele	kulturális
beperk	korlátozott
beperk	korlátozottak
beperk	határ
beperk	korlátozás
beperk	határérték
beperk	limit
beperk	korlát
beperk	limited
beperk	limitált
beperk	korlátozott
beperk	korlátolt
liggaam	test
liggaam	testem
liggaam	holttest
wen	win
wen	nyerni
wen	győzelem
wen	nyerj
basis	alap
basis	bázis
verlaat	kilépés
verlaat	kilépő
verlaat	kijárat
white	fehér
red	megmentési
red	mentő
red	mentés
spanje	spanyolország
magte	erők
geraak	érintett
geraak	érintettek
goewerneur	kormányzó
kultuur	tenyésztés
kultuur	kultúra
charles	károly
charles	charles
heilige	saint
heilige	szent
heilige	szent
kaart	térkép
kaart	térképet
oorsprong	eredetű
oorsprong	eredet
oorsprong	eredete
oorsprong	származás
david	david
david	dávid
kennis	tudás
kennis	ismeretek
parlement	parlament
groen	zöld
sosiale	társadalmi
sosiale	szociális
geboue	épületek
daarom	ezért
gebring	hozták
gebring	hozott
gebring	hoztam
gebring	hozta
trek	húzd
stem	szavazz
stem	szavazás
stem	szavazat
stem	szavazzatok
stem	hangja
stem	hang
vroeër	korábban
vroeër	korábbi
energie	energia
von	von
boere	farmerek
boere	gazdálkodók
boere	gazdák
boere	búr
boere	gazda
boere	gazdálkodó
boere	farmer
prys	árak
prys	ár
prys	ára
prys	díj
prys	jutalom
prys	nyeremény
prins	herceg
prins	prince
ligging	helyszín
ligging	hely
ligging	elhelyezkedés
gestuur	elküldött
gestuur	elküldve
gestuur	küldött
broer	testvér
studente	diákok
studente	hallgatók
studente	tanulók
gemeenskap	társadalom
gemeenskap	közösség
gemeenskap	közösségi
berg	hegyen
berg	hegyi
berg	hegy
berg	hegyek
berlyn	berlin
berlyn	berlinben
berlyn	berlini
oppervlak	felszín
oppervlak	felület
oppervlak	felszíni
agter	mögötte
agter	mögött
bronne	forrás
bronne	források
bronne	forrás
beleid	szabályzat
beleid	politika
port	kikötők
port	kikötő
port	port
album	album
beweeg	mozgás
beweeg	költözés
beweeg	mozgó
beweeg	mozog
voorheen	korábban
vertrek	indulási
vertrek	távozás
vertrek	indulás
egipte	egyiptom
egipte	üresek
egipte	üres
egipte	üresen
iets	valami
iets	valamit
brittanje	britannia
meerderheid	többségi
meerderheid	többség
com	com
asië	ázsiai
asië	ázsia
verskaf	megadott
verskaf	feltéve
verskaf	szolgáltatott
verskaf	ellátási
verskaf	utánpótlás
verskaf	ellátás
verskaf	kínálat
lees	olvasott
lees	olvasok
lees	olvasni
lees	olvasás
webtuiste	weboldal
webtuiste	honlap
webtuiste	webhely
onderwys	oktatási
onderwys	oktatás
vinnig	gyorsan
vinnig	gyors
periode	időszak
periode	időtartam
periode	periódus
agt	nyolc
lengte	hossza
lengte	hossz
lengte	hosszúság
goue	golden
goue	arany
buitelandse	külföldi
buitelandse	kül
buitelandse	külföldiek
teenoor	felé
teenoor	felé
aangebied	felajánlott
aangebied	kínált
aangebied	felkínált
aangebied	felajánlotta
tipe	típus
tipe	típusa
peter	peter
peter	péter
verskeidenheid	sokszínűség
verskeidenheid	sokszínű
verskeidenheid	sokféleség
verskeidenheid	fajta
poskode	irányítószám
poskode	zip
stemme	szavazatok
stemme	szavazat
biskop	futó
biskop	bishop
biskop	püspök
duidelik	nyilvánvaló
duidelik	nyilvánvalóan
leiding	iránymutatás
leiding	útmutatást
leiding	útmutató
leiding	útmutatás
iemand	valaki
iemand	valakit
anders	más
anders	különböző
anders	eltérő
politikus	politikusok
politikus	politikus
proses	eljárás
proses	folyamat
pieter	pieter
tree	vedd
toon	szurok
toon	dobás
pas	fit
pas	fitt
pas	mérkőzés
pas	egyezés
pas	találat
pas	meccs
pas	gyufa
pas	egyezik
alias	alias
alias	álnév
massa	tömeges
massa	tömege
massa	mise
massa	tömeg
voorgestel	ajánlott
voorgestel	javasolt
besit	birtoklás
vorige	elmúlt
vorige	múlt
vorige	múltbeli
gesê	said
gesê	mondta
plekke	helyszínek
plekke	helyek
spaanse	spanyolul
spaanse	spanyolok
spaanse	spanyol
argitek	építész
res	pihenés
res	többi
res	pihenő
lewer	máj
ekonomie	közgazdaságtan
ekonomie	gazdaság
ekonomie	közgazdasági
ekonomie	gazdaság
ekonomie	gazdaságos
mark	piac
mark	piaci
mark	market
mark	mark
den	szolga
den	rabszolga
getroud	házas
getroud	házasok
spesie	faj
spesie	állatfaj
spesie	fajok
hoogte	magassága
hoogte	magasság
suidwes	délnyugat
lae	réteg
lae	rétegek
lae	alacsonyan
lae	alacsony
gelderland	gelderland
namibië	namíbia
sake	okok
sake	okozza
sake	okoz
dinastie	dinasztia
verwerf	kiérdemelte
afgelei	származtatott
onafhanklikheid	függetlenség
verower	uralkodj
verhouding	arány
verhouding	kapcsolat
admin	admin
admin	adminisztrátor
gekies	kijelölt
gekies	kiválasztva
gekies	kiválasztott
gedeelte	részben
gedeelte	rész
gedeelte	része
hoog	high
hoog	magas
hoog	magasan
hoog	magas
waarde	érték
waarde	értéke
mans	hímek
mans	férfi
mans	férfiak
mans	emberek
maatskappy	társaság
maatskappy	vállalat
maatskappy	cég
maatskappy	század
maatskappy	vessző
lug	égbolt
lug	sky
lug	ég
lug	levegő
lug	air
regte	jogai
regte	jogokkal
regte	jogok
regte	real
regte	valós
regte	igazi
regte	valódi
dorpie	település
dorpie	falusi
dorpie	falu
oranje	orange
oranje	narancssárga
oranje	narancs
plessis	plessis
dienste	szolgáltatások
dienste	szolgáltatás
digter	költő
then	akkor
then	aztán
tien	tíz
rigting	irány
rigting	irányba
ondersoek	szonda
ondersoek	észlelni
gereeld	gyakran
gereeld	gyakran
getal	szám
getal	száma
alles	mindent
alles	minden
alles	mindegyik
alles	mind
alles	minden
laasgenoemde	utóbbi
onafhanklike	független
onafhanklike	önálló
onafhanklike	függetlenek
volk	volk
demokratiese	demokratikus
demokratiese	demokrata
wys	mutasd
wys	show
seeland	zéland
spesifieke	specifikus
spesifieke	konkrét
gemiddelde	átlagos
gemiddelde	átlagosan
gemiddelde	átlag
stryd	küzdelem
huwelik	házasság
huwelik	házasságot
leër	sereg
leër	hadsereg
robert	robert
robert	róbert
ouer	anyavállalat
ouer	szülői
ouer	szülő
ouer	idősebbek
ouer	öregebb
