responses	odpowiedzi
semifinals	półfinały
belfast	belfast
arctic	arktyce
kurt	kurt
kurt	kurta
mayors	burmistrzów
windsor	windsor
assumption	założenie
assumption	założeniu
assumption	założenia
plates	talerze
plates	tablice
plates	płyty
fourteen	czternaście
disruption	zakłócenie
monroe	monroe
hearts	serduszka
hearts	hearts
hearts	serc
hearts	serca
belgrade	belgradzie
victories	zwycięstwa
victories	zwycięstw
extending	przedłużające
pale	blada
pale	pale
pale	blady
pursuit	pościgu
pursuit	pogoń
pursuit	pościg
glory	chwała
glory	chwały
glory	glory
destroyer	niszczyciel
deeply	głęboko
lectures	wykładów
lectures	wykłady
affiliate	partner
affiliate	partnerski
preston	preston
deceased	zmarłego
deceased	zmarły
deceased	zmarli
deceased	zmarła
speaks	mówi
gathering	zbieranie
gathering	zgromadzenie
gathering	zebranie
gathering	gromadzenie
angry	zła
angry	złość
angry	wściekły
angry	zły
incomplete	niepełne
incomplete	niekompletne
enrolled	włączono
configuration	konfiguracji
configuration	konfiguracja
brad	brada
brad	brad
skill	umiejętności
skill	umiejętność
intense	intensywny
intense	intensywna
intense	intensywne
intense	intensywnie
tasmania	tasmanii
commitment	zobowiązania
commitment	zaangażowanie
commitment	zobowiązanie
loved	kochał
loved	kochany
reforms	reformy
reforms	reform
rulers	linijki
rulers	władcy
uruguay	urugwaju
napoleon	napoleon
confirm	potwierdzić
confirm	potwierdzam
breed	rasy
breed	rasa
auxiliary	pomocniczy
auxiliary	pomocnicze
enabled	włączone
enabled	włączono
enabled	włączony
enabled	włączona
discography	dyskografia
licence	licencja
licence	licencje
licence	licencji
refugees	uchodźców
refugees	uchodźcy
adrian	adrian
pipe	rura
pipe	fajkę
karen	karen
altered	zmieniono
altered	zmienione
altered	zmieniona
altered	zmieniony
budapest	budapeszt
budapest	budapeszcie
designers	projektantów
heir	dziedzica
heir	dziedzic
advisor	doradca
advisor	doradcą
illustrate	zilustrować
authorized	dopuszczone
authorized	upoważniony
hide	ukryj
announcement	ogłoszenie
announcement	zapowiedź
compact	compact
tissue	tkanki
tissue	tkanka
particles	cząsteczki
particles	cząstek
particles	cząstki
refuses	odmówi
refuses	odmawia
receiver	odbiornik
receiver	odbiorca
civilians	cywilów
civilians	cywile
marsh	bagna
marsh	bagno
marsh	marsh
vinyl	winylu
delayed	opóźniony
delayed	opóźnienie
delayed	opóźniona
delayed	opóźnione
wednesday	środy
wednesday	środę
wednesday	środa
checking	sprawdzamy
checking	sprawdzam
checking	sprawdzanie
checking	sprawdzenie
hey	hej
chambers	chambers
chambers	komnaty
chambers	komory
chambers	izby
demo	demo
demo	demonstracja
ahmad	ahmed
ahmad	ahmad
santos	santos
paying	płacić
paying	płacenie
paying	płaci
interpreted	interpretowane
interpreted	interpretować
submit	przedstawienia
submit	prześlij
desired	pożądanego
desired	pożądany
desired	pożądane
followers	obserwujących
followers	wyznawców
observatory	obserwatorium
problematic	problematyczne
springfield	springfield
kit	zestaw
kit	kit
remarks	uwagi
burton	burton
monarch	monarcha
observations	uwagi
observations	spostrzeżenia
observations	obserwacje
beetle	żuk
promised	obiecano
promised	obiecane
promised	obiecała
promised	obiecałem
promised	obiecał
palomar	palomar
cream	śmietana
cream	śmietanki
cream	krem
cream	śmietanka
presenter	prezenter
potter	potter
favourite	ulubione
favourite	ulubiony
favourite	ulubiona
transformation	przemiana
transformation	przemiany
transformation	transformacji
transformation	transformacja
transformation	przekształcenie
mcdonald	mcdonald
bavaria	bawarii
kumar	kumar
nineteenth	xix
severely	surowo
mixture	mieszaniny
mixture	mieszanka
mixture	mieszanina
browser	przeglądarka
browser	przeglądarkę
browser	przeglądarki
browser	przeglądarce
endangered	zagrożona
endangered	zagrożony
endangered	zagrożonych
endangered	zagrożone
mate	ziomek
mate	mat
mate	kolego
everybody	każdy
everybody	wszyscy
lyon	lyon
illustration	ilustracja
kyle	kyle
afl	afl
brook	brook
geometry	geometria
geometry	geometrii
ping	ping
extends	rozszerza
aggregate	zbiorczej
variants	warianty
variants	odmiany
baroque	barokowy
iso	iso
collapsed	upadł
integral	integralną
jake	jake
hopes	nadzieje
hopes	nadziei
cornell	cornell
modes	tryby
servant	służący
servant	służąca
servant	sługa
kenny	kenny
hurt	zraniony
hurt	skrzywdzić
maker	stwórcą
inline	inline
inline	wewnętrznie
carlo	karol
carlo	carlo
lynn	lynn
stability	stabilizacja
stability	stabilności
stability	trwałość
stability	stabilność
imposed	nałożono
imposed	nałożone
confusing	mylące
summaries	podsumowania
summaries	streszczenia
beetles	żuki
joel	joel
jets	jets
logos	logo
malcolm	marcin
malcolm	malcolm
malcolm	malcolma
winnipeg	winnipeg
kilometers	kilometry
kilometers	kilometrów
buddhism	buddyzm
nose	nosy
nose	nosie
nose	nosa
nose	nosek
nose	nos
respected	szanowany
respected	przestrzegane
pace	pace
pace	tempo
pace	tempie
thunder	grom
thunder	piorun
thunder	grzmot
physicians	lekarze
physicians	lekarzy
bolivia	boliwii
forget	zapomnij
crops	upraw
crops	uprawy
halifax	halifax
toll	toll
monk	mnich
monk	mnicha
monk	monk
extraordinary	nadzwyczajne
extraordinary	niezwykła
extraordinary	nadzwyczajny
extraordinary	niezwykłe
lessons	lekcje
lessons	lekcji
pub	pubie
pub	pub
paralympics	paraolimpijskich
monte	monte
segments	segmenty
segments	segmentów
deer	jelenie
deer	jelenia
deer	jeleń
wireless	bezprzewodowe
wireless	bezprzewodowy
mysterious	tajemnicze
mysterious	tajemnicza
mysterious	tajemniczy
consultant	konsultant
consultant	konsultanta
consultant	doradca
consultant	konsultantem
fraser	fraser
formats	formatów
formats	formaty
jam	jam
jam	dżem
chicken	kurczak
chicken	tchórz
chicken	kurczaki
chicken	kurczaka
enable	umożliwić
enable	włącz
idol	idol
reid	reid
reid	reida
births	narodziny
amazing	niesamowite
amazing	niesamowity
pet	pet
pet	zwierzak
upset	zdenerwowana
upset	zdenerwowany
loves	uwielbia
loves	kocha
stretch	stretch
nominate	nominować
striking	uderzające
striker	napastnik
striker	striker
accidentally	przypadkowo
louisville	louisville
hopkins	hopkins
eds	eds
goddess	bogini
resumed	wznowione
satisfy	spełniają
notion	pojęcie
voltage	napięcia
voltage	napięcie
betty	betty
marion	marion
geology	geologia
consistently	niezmiennie
consistently	konsekwentnie
cyclone	cyklon
export	wywóz
export	eksport
lightning	błyskawica
lightning	piorun
maintains	utrzymuje
maintains	podtrzymuje
logical	logika
logical	logiczne
logical	logicznie
logical	logiczny
aggressive	agresywne
aggressive	agresywna
aggressive	agresywny
aggressive	agresywnie
aggressive	agresja
jin	jin
julie	julie
fbi	fbi
yankees	jankesi
ludwig	ludwik
ludwig	ludwig
pond	staw
pond	stawu
pond	stawie
suburban	podmiejskich
suburban	przedmieścia
moments	moments
moments	chwile
moments	chwil
moments	momenty
moments	momentami
interim	okresowego
interim	tymczasowe
interim	tymczasowy
lucky	szczęście
lucky	lucky
lucky	szczęściarz
lon	lon
regiments	pułków
toy	zabawka
toy	zabawki
toy	zabawkę
bicycle	rowerów
bicycle	rower
purely	czysto
interactions	interakcje
fraud	oszustwo
fraud	oszustwa
lang	lang
arcade	arcade
lecture	wykłady
lecture	wykład
sanctuary	schronienie
sanctuary	sanktuarium
dragons	smoki
dragons	smoków
copa	copa
nurse	pielęgniarki
nurse	pielęgniarka
rivals	rywali
module	modułu
module	moduł
supplement	suplement
supplement	suplementy
supplement	uzupełnienie
lens	obiektyw
lens	soczewki
patron	patron
commands	poleceń
commands	komendy
commands	polecenia
trend	trend
trend	tendencje
trend	tendencja
gerald	gerald
rap	rap
geneva	genewie
ash	ash
ash	popiołu
ash	popiół
blade	blade
blade	ostrze
disappeared	zniknął
array	tablicy
patrolling	patrolowanie
committees	komitety
committees	komisje
loose	luzem
loose	luźno
loose	luźne
boom	boom
boom	bum
sailors	marynarze
sailors	marynarzy
beaten	pokonany
beaten	zbity
beaten	bita
beaten	bity
beaten	pobity
smoke	dym
smoke	palenie
smoke	pal
assassination	zabójstwa
assassination	zamachu
assassination	zabójstwo
assassination	zamach
lancaster	lancaster
reynolds	reynoldsa
reynolds	reynolds
divorce	rozwód
dust	kurzu
dust	pył
dust	kurz
saxon	saxon
separately	osobno
separately	oddzielnie
grain	zboża
grain	ziarna
grain	ziarno
grain	zboże
translations	tłumaczeń
translations	tłumaczenia
zimbabwe	łotwa
zimbabwe	zimbabwe
cohen	cohen
puts	kładzie
puts	stawia
diving	nurkowanie
carroll	carroll
accounting	księgowości
accounting	rachunkowość
accounting	księgowość
accounting	księgowy
accounting	rachunkowości
mesa	mesa
mesa	moja
prussia	prusy
intelligent	inteligentna
intelligent	inteligentny
intelligent	inteligentne
cherry	cherry
underlying	zabezpieczających
tobacco	tytoń
tobacco	tytoniu
cleaned	oczyszczony
cleaned	oczyszczone
varieties	odmian
varieties	odmiany
bench	ławki
bench	ławkę
bench	ławce
directions	kierunki
ellen	ellen
measurement	pomiar
measurement	wycena
measurement	pomiaru
measurement	pomiary
paradise	raju
paradise	raj
paradise	paradise
alexandria	aleksandrii
complement	uzupełnienia
complement	uzupełniać
complement	uzupełnienie
witch	czarownica
witch	wiedźma
attraction	atrakcja
attraction	przyciąganie
attraction	atrakcyjność
attraction	atrakcje
diana	diana
personalities	osobistości
personalities	osobowości
busy	zajęta
busy	zajęte
busy	zajęty
cia	cia
screenwriter	scenarzysta
rankings	ranking
rankings	rankingi
aboriginal	aborygenów
commanders	dowódców
commanders	dowódcy
salem	salem
wagner	wagner
firms	firm
sanctions	sankcji
sanctions	sankcje
americas	americas
endings	zakończenia
instructor	instruktor
nobility	szlachetności
divorced	rozwód
divorced	rozwiedziony
tomorrow	jutro
manuscripts	rękopisy
unified	zjednoczone
unified	jednolitego
unified	zjednoczona
clarify	wyjaśnij
scouts	zwiadowcy
investigations	dochodzeń
investigations	śledztwa
investigations	dochodzenia
silva	silva
derek	derek
agenda	agendy
agenda	agenda
humanity	człowieczeństwa
humanity	ludzkość
humanity	ludzkości
humanity	człowieczeństwo
terror	terror
terror	terroru
terror	przerażenie
contestants	zawodnicy
contestants	uczestnicy
trinidad	trynidad
distant	daleki
distant	odległy
distant	dalekie
distant	odległe
burke	burke
circles	kółka
circles	okręgi
circles	kółko
circles	kręgi
assignment	przydział
assignment	zadanie
shrine	sanktuarium
sail	żagiel
sail	żagle
willie	willy
willie	willie
karnataka	karnataka
celebrate	świętowanie
celebrate	uczcić
celebrate	świętować
ranch	rancho
ranch	ranczo
collaborated	współpracował
collaborated	współpracowały
vampire	wampirów
vampire	wampiry
vampire	wampirem
vampire	wampir
playwright	dramaturg
sick	chore
sick	chora
sick	chory
sick	chorzy
associates	współpracowników
associates	współpracownicy
associates	wspólnicy
heinrich	heinrich
ethiopia	etiopii
flags	flag
flags	flagi
tel	tel
drove	prowadził
shorts	spodenki
shorts	szorty
drives	jeździ
drives	dyski
autobiography	autobiografia
recruited	zwerbował
uprising	powstania
uprising	powstanie
edwin	edwin
terminology	terminologii
raiders	raiders
coordinates	współrzędnych
coordinates	współrzędne
coordinates	koordynaty
brighton	brighton
viola	viola
para	para
morrison	morrison
propulsion	napęd
boxer	bokser
finale	finał
finale	finale
shoulder	bark
shoulder	ramię
disabled	wyłączony
disabled	niepełnosprawnych
disabled	wyłączona
disabled	wyłączone
div	div
tactics	taktykę
tactics	taktyki
tactics	taktyka
ernst	ernst
innocent	niewinne
innocent	niewinni
innocent	niewinny
innocent	niewinna
rapper	raper
privacy	prywatności
privacy	prywatność
boeing	boeing
cites	cites
bunch	banda
bunch	bunch
emmy	emmy
indo	indo
distinguish	odróżnić
rosa	róża
rosa	rosa
thermal	termiczne
flute	flet
marines	marines
feminist	feministyczne
sculptures	rzeźby
bacteria	bakterie
bacteria	bakterii
bacteria	bakteria
introduce	wprowadzić
introduce	przedstaw
disorders	zaburzenia
rivalry	rywalizacja
rivalry	rywalizacji
prevention	zapobiegania
prevention	zapobieganie
honored	zaszczyt
healthy	zdrowe
healthy	zdrowo
healthy	zdrowa
healthy	zdrowi
healthy	zdrowy
circus	cyrk
circus	cyrku
speculation	spekulacje
speculation	spekulacji
burma	birmie
burma	birmy
sec	sek
sec	sec
quiet	cicho
quiet	cisza
knee	kolana
knee	kolano
knee	kolanie
deliver	dostarczyć
threw	rzucił
hypothesis	hipoteza
referendum	referendum
travelling	podróżowanie
travelling	podróże
travelling	podróży
estonian	estonii
pastor	pastor
sofia	sofia
sofia	zofia
tribune	tribune
lasting	trwałego
lasting	trwałe
lasting	trwały
permit	zezwolenie
permit	pozwolenie
priority	priorytet
priority	priorytetowe
priority	pierwszeństwo
pounds	kilogramy
pounds	funty
pounds	funtów
cent	centów
cent	cent
consequence	konsekwencje
consequence	konsekwencją
rica	rica
furniture	meble
macdonald	macdonald
honest	szczere
honest	uczciwy
honest	szczery
honest	szczera
innovative	innowacyjność
innovative	innowacyjne
innovative	innowacyjnych
innovative	innowacyjny
innovative	nowatorskie
estimate	oszacowania
estimate	oszacowanie
atp	atp
rotation	obrót
rotation	rotacji
syracuse	syracuse
lecturer	wykładowca
obscure	niejasne
kosovo	kosowo
kosovo	kosowa
classics	klasyki
julius	julius
julius	juliusz
naples	neapol
naples	neapolu
sebastian	sebastian
sebastian	sebastiana
activated	aktywowany
activated	aktywny
activated	aktywowane
activated	uruchomione
varied	zróżnicowane
offense	wykroczenie
barnes	barnes
exceptions	wyjątków
exceptions	wyjątki
martha	marta
martha	martha
martha	marto
quarters	kwatery
quarters	kwatera
drawings	rysunki
drawings	szkice
barely	ledwo
barely	ledwie
refuge	schronienie
maharashtra	maharasztra
conventions	konwencje
conventions	konwencji
elliott	elliott
elliott	elliot
diplomat	dyplomata
searches	wyszukiwania
brigadier	brygadier
particle	cząsteczki
particle	cząstki
particle	cząstek
particle	cząstka
malayalam	malajalam
thursday	czwartek
icon	ikony
icon	ikona
icon	ikonę
ulster	ulster
genes	genów
genes	geny
infinite	nieskończona
infinite	nieskończenie
infinite	nieskończone
infinite	nieskończoność
infinite	nieskończonej
vale	vale
portraits	portrety
paste	pasta
paste	wklej
randy	randy
saxony	saksonii
saxony	saksonia
convoy	konwój
convoy	konwoju
annie	annie
excessive	nadmierny
excessive	nadmierna
excessive	nadmiernego
excessive	nadmierne
believing	wierząc
rhine	ren
rhine	renie
mineral	mineralnych
mineral	mineralne
mineral	minerały
implement	wdrożenie
implement	wdrożenia
surgeon	chirurg
surgeon	chirurga
badge	odznaka
badge	odznakę
charleston	charleston
clause	klauzula
infection	infekcja
infection	infekcje
infection	zakażenia
infection	zakażenie
electron	elektronów
walt	walt
walt	walta
cnn	cnn
likewise	podobnie
confederation	konfederacji
confederation	konfederacja
accommodate	pomieścić
casino	kasynie
casino	kasyno
casino	kasyna
casino	casino
doctorate	doktorat
aux	aux
guatemala	gwatemali
settings	ustawienia
mask	masce
mask	maski
mask	maskę
mask	maska
shelter	schronienie
shelter	schronienia
shelter	schron
dorothy	dorothy
dorothy	dorota
elimination	eliminacja
elimination	eliminacji
elimination	wydalanie
heath	heath
pregnant	ciąży
pregnant	ciężarna
richards	richards
theodore	theodore
delegates	delegatów
blair	blair
fac	fac
phrases	zwrotów
phrases	wyrażenia
phrases	zwroty
crashed	rozbity
crashed	rozbił
preference	pierwszeństwo
preference	preferencji
preference	preferencje
janeiro	janeiro
concerto	koncert
bits	kawałki
bits	bity
tune	melodię
tune	melodia
unofficial	nieoficjalnie
unofficial	nieoficjalne
bulk	luzem
lighthouse	latarni
stan	stan
stan	stana
highland	highland
mascot	maskotka
squadrons	eskadry
acceptance	akceptacja
acceptance	przyjęcia
acceptance	akceptację
tight	ciasne
tight	ciasno
tight	mocno
considers	uważa
mess	bałagan
mess	bajzel
mess	burdel
routine	rutyna
routine	rutynowe
dozens	dziesiątki
dozens	tuzin
dozens	kilkadziesiąt
spotted	zauważył
spotted	zauważyli
spotted	zauważono
harmony	harmonii
harmony	harmony
harmony	harmonia
entrepreneur	przedsiębiorca
entrepreneur	przedsiębiorcy
wwe	wwe
apollo	apollo
runway	wybiegu
naked	nagi
naked	nago
naked	nagie
naked	nadzy
naked	naga
anton	anton
moses	moses
moses	mojżesz
moses	mojżesza
legally	legalnie
legally	prawnie
fake	fałszywy
fake	fałszywe
fake	fałszywa
biased	stronniczy
revolt	bunt
equity	kapitałowych
providence	providence
investors	inwestorami
investors	inwestorzy
investors	inwestorów
reliability	niezawodności
reliability	wiarygodność
reliability	wiarygodności
tenor	tenor
fights	bójki
fights	walki
fights	walk
pocket	kieszeni
pocket	kieszenie
pocket	kieszeń
sad	smutno
sad	smutne
sad	smutny
sad	smutna
troy	troy
troy	troi
treasure	skarbem
treasure	skarb
treasure	skarby
ion	ion
transformed	przekształcone
roberto	roberto
adoption	adopcję
adoption	adopcja
adoption	przyjęcia
adoption	adopcji
decrease	zmniejszyć
decrease	spadek
decrease	zmniejszenie
reserved	zastrzeżony
reserved	zarezerwowany
reserved	zastrzeżone
reserved	zarezerwowane
forgotten	zapomniany
forgotten	zapomniane
lok	lok
crop	uprawa
crop	zbiory
crop	uprawy
crop	upraw
licensing	licencje
licensing	licencjonowania
collecting	zbieranie
treasury	skarbiec
treasury	skarbu
trumpet	trąbce
johnston	johnston
uncertain	niepewna
uncertain	niepewne
uncertain	niepewny
norton	norton
collector	kolekcjoner
cluster	klaster
dear	drogi
dear	kochany
