och	и
nordvästra	северо
nordvästra	northwest
angola	ангола
angola	анголы
angola	анголе
angola	анголу
vad	что
vad	какие
vad	какая
vad	какой
columbia	колумбия
columbia	колумбийский
tyskland	германия
tyskland	германию
tyskland	германии
svg	svg
distrikt	округа
distrikt	районах
distrikt	районы
distrikt	округов
distrikt	округ
distrikt	район
fuktigt	сырости
fuktigt	влажные
fyra	четверо
fyra	четыре
mexiko	мексику
mexiko	мексики
mexiko	мексика
london	лондоне
london	london
london	лондон
används	используется
används	использовано
används	используемый
används	используемые
används	использован
början	начало
början	начало
vann	победила
vann	выиграла
vann	выиграл
vann	победил
hur	как
bay	бей
bay	бэй
bay	залив
bay	bay
barn	kids
barn	детки
barn	дети
barn	детей
barn	дети
barn	дитя
barn	детский
barn	ребенок
barn	ребёнок
barn	ребенка
ekonomiska	экономические
ekonomiska	экономическая
ekonomiska	экономического
ekonomiska	экономический
kunde	может
kunde	мог
kunde	могла
dem	их
både	оба
både	обе
övrigt	другой
övrigt	другая
övrigt	другое
övrigt	другие
övrigt	прочие
övrigt	прочее
övrigt	разное
artikel	статья
england	англии
england	англия
hennes	ее
hennes	ей
hennes	её
argentina	аргентина
mountain	горы
mountain	горный
mountain	гора
mountain	горных
grund	основа
grund	основание
grekland	греции
grekland	грецию
grekland	греция
deras	их
distriktet	округ
distriktet	район
dam	дам
dam	плотины
dam	гэс
dam	lady
dam	дама
dam	леди
karl	шарль
karl	чарльз
karl	карл
idag	сегодня
idag	today
skådespelare	субъектов
skådespelare	актеры
skådespelare	актёр
skådespelare	актер
personer	лиц
personer	народ
personer	людей
personer	люди
fanns	существовала
fanns	существовали
fanns	существовало
fanns	существовал
spelade	играли
spelade	играла
spelade	играл
bli	стать
bli	стань
endast	только
öar	острова
öar	островов
danmark	данию
danmark	дания
danmark	дании
son	сынок
son	сын
österrike	австрии
österrike	австрия
river	ривер
river	река
river	реки
helt	полностью
helt	совершенно
helt	совершенно
helt	полностью
helt	абсолютно
artiklar	статьи
artiklar	статей
artiklar	изделия
därefter	впоследствии
jean	жан
jean	джин
redan	уже
cirka	circa
cirka	приблизительно
cirka	примерно
före	до
före	перед
före	прежде
william	уильям
william	вильям
william	вильгельм
känd	известные
känd	известное
känd	известный
känd	известен
känd	известная
känd	известная
känd	знаменитая
känd	известный
känd	знаменитость
känd	знаменитый
engelska	английский
engelska	английская
departement	департамент
departement	министерств
departement	министерства
departement	министерствам
departement	департаментов
departement	департаменты
departement	министерство
antal	граф
antal	считать
antal	число
antal	номер
antal	количество
vill	хочет
vill	хотеть
vill	хочу
vill	хочешь
des	des
författare	авторов
författare	авторы
författare	писатель
författare	сценарист
författare	писатели
författare	писателей
författare	автор
wikipedia	википедия
wikipedia	википедии
los	los
los	лос
vissa	некоторых
vissa	некоторые
cobar	cobar
äldre	старшая
äldre	старший
äldre	пожилые
äldre	старше
äldre	старшая
gamla	старая
gamla	old
gamla	старые
gamla	старое
gamla	старый
allt	все
allt	всё
allt	всем
allt	всех
allt	all
allt	все
lag	команда
lag	team
lag	закон
lag	право
lag	отставание
lag	лаг
lag	команды
brt	брт
johan	джон
johan	иоанн
johan	йохан
innebär	означает
diskussion	обсуждение
diskussion	дискуссия
diskussion	обсуждения
diskussion	дискуссии
vidare	далее
vidare	дальнейшая
kommuner	коммуны
kommuner	общины
kommuner	коммун
kommuner	муниципалитеты
kommuner	муниципалитетов
kyrkan	церковь
kyrkan	церкви
punta	пунта
iucn	мсоп
kullar	хиллз
kullar	холмы
black	чёрное
black	черный
black	black
black	чёрные
black	чёрный
asien	азии
asien	азия
asien	asia
varje	каждая
varje	каждую
varje	каждый
varje	каждое
varje	каждая
varje	каждому
varje	каждый
varje	каждое
bild	картинка
bild	фотография
bild	фотка
bild	имидж
bild	картинка
bild	образ
bild	изображения
bild	изображение
france	франции
france	франс
france	франция
france	france
politiker	политики
politiker	политика
politiker	политиков
politiker	политики
politiker	политик
göra	сделать
göra	make
left	левой
left	слева
left	налево
left	осталось
left	оставил
band	кассеты
band	ленты
band	полосы
band	band
band	кассета
band	лента
band	ленту
band	лента
rio	рио
rock	скала
rock	камень
rock	рок
rock	rock
söderut	южная
söderut	юг
söderut	южный
söderut	южной
sista	последние
sista	последнее
sista	last
sista	последний
sista	последняя
sista	окончательный
sista	окончательного
sista	заключительный
sista	заключительные
inåt	внутрь
george	георг
george	джордж
george	георгий
delar	обмена
delar	запчасти
delar	частей
delar	части
delar	разделяет
delar	доли
delar	акции
auto	auto
auto	авто
hett	горячие
hett	hot
hett	жарко
hett	горячо
hett	горячая
norrut	северный
norrut	северная
norrut	север
norrut	норт
norrut	северной
själv	себя
själv	сам
åren	годы
åren	лет
åren	years
höjd	высота
höjd	высота
höjd	рост
säsongen	сезон
poäng	точек
poäng	точки
poäng	очки
poäng	очков
poäng	счёт
poäng	счет
poäng	очко
poäng	баллы
poäng	точка
poäng	очко
poäng	point
istället	вместо
arroyo	арройо
peking	пекин
peking	пекинской
tyska	немецкая
tyska	немецкие
tyska	немец
tyska	немецкое
tyska	германии
tyska	немецкий
sätt	способы
sätt	пути
sätt	путь
sätt	way
sätt	способ
egypten	египет
wadi	вади
stad	town
stad	город
stad	городок
stad	city
stad	город
stad	города
norge	norge
norge	норвегия
norge	норвегию
norge	норвегии
area	область
area	район
area	площадь
york	йорк
york	йорке
därför	поэтому
makedonien	македонии
makedonien	македония
peter	петр
peter	питер
peter	петер
peter	пётр
franska	французский
franska	французы
franska	французское
franska	французская
vilken	которое
vilken	которая
vilken	которые
vilken	который
dominikanska	доминиканская
dominikanska	доминиканской
västerut	запад
västerut	уэст
västerut	западная
västerut	западный
västerut	вест
kallas	называется
kallas	звонил
kallas	позвонил
österut	восточная
österut	востоке
österut	восток
österut	ист
österut	east
österut	восточный
omkring	вокруг
göteborg	гётеборг
schweiz	швейцария
schweiz	швейцарию
schweiz	швейцарии
fall	случае
fall	случай
fall	дело
fall	кейс
fall	случаи
fall	дела
fall	осень
fall	падение
fall	осенью
fall	упасть
tiden	время
tiden	времени
tiden	тайм
tiden	time
bästa	лучшие
bästa	лучшая
bästa	лучший
bästa	best
bästa	лучшее
style	style
style	стиль
artikeln	статья
fil	файл
brasília	бразилиа
källa	источник
båda	оба
båda	обе
kabul	кабуле
malmö	мальмё
delas	разделяет
delas	поделилась
delas	поделились
delas	поделился
slutet	конце
slutet	end
slutet	конец
olympiska	олимпийские
olympiska	олимпийский
ast	аст
annan	другой
annan	другая
annan	другое
annan	другие
annan	прочие
uppsala	уппсалы
isbn	isbn
mätare	метрах
mätare	метров
mätare	счетчик
mätare	метр
madrid	мадрид
madrid	мадриде
måste	должен
måste	должно
måste	должны
antarktis	антарктики
antarktis	антарктике
erik	эрик
erik	эрик
paul	павел
paul	пол
paul	пауль
paul	поль
skrev	писал
skrev	написала
skrev	написали
skrev	написал
film	фильм
film	кино
film	фильм
film	film
film	кино
robert	роберт
robert	робер
serien	серия
serien	серии
bör	должен
bör	должны
bra	хорош
bra	хороша
bra	хороший
bra	хорошее
bra	хорошо
fem	пятеро
fem	пять
ryssland	россия
ryssland	russia
thomas	томас
thomas	тома
thomas	томаса
santiago	сантьяго
deltog	присутствовала
deltog	присутствовали
deltog	участвовал
deltog	участвовала
tysk	немецкая
tysk	немецкие
tysk	немец
tysk	немецкое
tysk	германии
tysk	немецкий
vilka	кто
vilka	who
vilka	воз
vilka	которое
vilka	которая
vilka	которые
vilka	который
språk	языки
språk	языках
språk	язык
kinesiska	китайская
kinesiska	китайское
kinesiska	китайцы
kinesiska	китайский
kinesiska	китая
lappland	лапландии
nuvarande	текущий
nuvarande	текущее
nuvarande	нынешней
nuvarande	текущие
nuvarande	текущая
nuvarande	настоящее
nuvarande	подарок
officiell	официальных
officiell	официальное
officiell	официальный
officiell	официальная
officiell	официальные
källor	источники
stort	большой
stort	крупных
stort	крупный
stort	большая
stort	крупные
stort	большие
stort	большая
stort	big
stort	большие
stort	большой
stort	биг
sång	вокал
sång	поет
sång	поют
sång	пою
sång	пение
sång	петь
sång	песня
sång	песнь
sång	song
amerikanska	американский
amerikanska	американские
amerikanska	американская
amerikanska	american
amerikanska	американских
amerikanska	американец
samband	связь
samband	подключение
samband	соединение
samband	корреляции
globalt	глобально
globalt	глобальные
globalt	глобальное
globalt	global
globalt	глобальный
globalt	глобальная
kroatien	хорватии
kroatien	хорватия
egen	собственная
egen	собственных
egen	собственные
egen	собственный
egen	собственное
egen	индивидуально
egen	обычай
utanför	снаружи
utanför	вне
mestadels	преимущественно
kvinnor	самки
kvinnor	женщины
kvinnor	женщины
kvinnor	женщин
tredje	третье
tredje	третий
tredje	третья
blivit	стать
blivit	стань
charles	шарль
charles	чарльз
art	арт
art	art
art	искусство
art	видов
art	виды
art	вид
riket	рейха
riket	рейх
riket	царство
wales	уэльса
wales	уэльс
david	дэвид
david	давид
com	com
sidan	страница
sidan	страницу
sidan	page
sidan	страницы
sidan	сторона
sidan	стороне
resultat	исполнение
resultat	производительность
resultat	результаты
resultat	результат
resultat	результат
gav	дала
gav	отдал
gav	дал
når	достигает
ibland	иногда
ibland	порой
ibland	изредка
dessutom	дополнительно
enda	сингл
jabal	джебель
kända	известные
kända	известное
kända	известный
kända	известен
kända	известная
kända	известная
kända	знаменитая
kända	известный
kända	знаменитость
kända	знаменитый
universitet	университеты
universitet	университет
rgb	rgb
libanon	ливан
libanon	ливана
libanon	ливане
paris	paris
paris	париже
paris	париж
paris	парижский
kamerun	камеруна
kamerun	камеруне
kamerun	камерун
border	граница
border	границы
border	границу
musik	музыка
musik	музыку
musik	music
maria	маша
maria	мэри
maria	мария
maria	мери
maria	мария
tillbaka	назад
tillbaka	back
tillbaka	спина
tillbaka	обратно
kung	король
kung	кинг
kung	царь
kung	king
barat	барат
form	форме
form	форма
form	форме
form	форма
form	бланк
form	формуляр
form	форму
der	дер
fått	получено
fått	получен
fått	полученная
fått	полученные
fått	получены
historia	story
historia	новость
historia	рассказ
historia	история
historia	истории
historia	история
nova	нова
dal	дал
dal	даль
dal	долине
dal	долина
låten	песня
låten	песнь
låten	song
fiji	фиджи
tjeckien	чешская
tjeckien	чешской
tjeckien	чешский
james	джеймс
albumet	альбом
samtidigt	одновременно
kring	вокруг
män	мужчины
män	самцы
män	мужчин
män	мужчин
män	men
män	мужчины
män	мужики
lång	высокий
lång	высокие
lång	высокая
lång	длинный
lång	длинная
lång	длинные
lång	долго
lång	лонг
alger	алжир
alger	алжире
alger	водоросли
alger	водоросли
gift	яд
gift	женился
gift	женаты
gift	замужем
gift	женат
gift	яд
album	альбом
album	альбомы
ner	down
ner	вниз
innehåller	содержит
innehåller	сдержать
innehåller	содержать
disk	диск
räknas	считается
little	little
little	маленький
little	маленькая
little	мало
little	маленькие
wilhelm	вильгельм
gånger	времена
gånger	таймс
gånger	times
brook	брук
övriga	другой
övriga	другая
övriga	другое
övriga	другие
övriga	прочие
övriga	другие
övriga	прочие
professor	профессор
professor	преподаватель
las	лас
division	деление
division	дивизион
division	подразделение
division	отдел
martin	мартин
martin	мартен
martin	martin
urval	выбор
urval	подбор
urval	выделение
urval	отбора
urval	отбор
urval	подборка
urval	образец
urval	выборка
city	city
city	город
city	города
totalt	всего
totalt	итого
alexander	александр
alexander	александер
arena	арена
arena	арене
period	период
utc	utc
grönland	гренландии
dag	дага
dag	даг
dag	день
dag	day
dag	дэй
låg	низко
låg	низкий
låg	низкая
låg	низким
låg	низкое
bogotá	боготе
året	год
timur	тимур
europa	europe
europa	европу
europa	европа
europa	европы
europa	europa
europa	европа
kalifornien	калифорния
kalifornien	калифорнии
aldrig	никогда
aldrig	never
gruppen	группа
gruppen	группы
gruppen	group
miljoner	миллионов
miljoner	миллион
miljoner	млн
miljoner	миллиона
miljoner	миллионов
miljoner	миллионы
henry	генрих
henry	анри
henry	генри
växter	растения
växter	растения
växter	завод
växter	растение
växter	растений
står	стоя
står	стою
står	стоящая
seed	семя
seed	семенной
seed	семена
seed	семян
sex	шесть
sex	six
sex	шестеро
sex	шестой
sex	секс
spelar	играет
spelar	пьесы
spelar	играю
spelar	играет
peak	пик
bort	подальше
bort	прочь
ser	выглядит
ser	смотрится
ser	сир
ledamot	участник
ledamot	член
orkidéer	орхидеи
särskilt	особенно
särskilt	особенно
friedrich	фридрих
liv	life
liv	жизнь
liv	жизни
liv	лив
queensland	квинсленда
bildades	сформированных
bildades	сформирован
bildades	сформировали
bildades	сформированные
bildades	сформирована
kvar	левой
kvar	слева
kvar	налево
kvar	осталось
kvar	оставил
medlemmar	членов
medlemmar	члены
medlemmar	участники
sida	страница
sida	страницу
sida	page
sida	страницы
längre	выше
längre	дольше
längre	длиннее
område	область
område	район
område	площадь
gustaf	густав
gustaf	гарфилд
anders	андерс
min	мое
min	моя
min	мой
min	мои
min	мин
airport	airport
airport	аэропорт
befolkningen	населения
befolkningen	население
översättning	перевод
louis	людовик
louis	луи
louis	луис
ordförande	президент
ordförande	председатель
ordförande	председатель
ordförande	председателю
ordförande	председателя
ordförande	председатель
http	http
joseph	джозеф
joseph	иосиф
joseph	жозеф
kanske	возможно
kanske	может
kanske	возможно
smith	смит
smith	смита
världen	world
världen	мир
användare	пользователь
användare	пользователя
användare	пользователю
användare	пользователей
användare	пользователи
tar	взяв
tar	беру
tar	принимая
far	отче
far	отец
honduras	гондурасе
honduras	гондурас
honduras	гондураса
bolivia	боливии
bolivia	боливия
länder	стран
länder	страны
ytterligare	далее
ytterligare	дальнейшая
ytterligare	дополнительные
ytterligare	дополнительно
ytterligare	дополнительное
ytterligare	дополнительный
ytterligare	дополнительная
guld	золотой
guld	золотая
guld	gold
guld	золото
guld	золотые
kuba	кубе
kuba	кубу
kuba	куба
kuba	кубы
center	центр
dotter	дочь
dotter	дочка
god	хорош
god	хороша
god	хороший
god	хорошее
god	хорошо
luanda	луанде
grupp	группа
grupp	группы
grupp	group
väl	ну
bandet	ремень
lars	ларс
rätt	правильно
rätt	верно
rätt	вправо
rätt	правильно
rätt	исправить
rätt	правильное
rätt	правильный
roll	роль
roll	роли
svampar	грибы
svampar	губки
svampar	гриб
svampar	грибы
svampar	грибы
praktfjärilar	нимфалиды
ryska	русская
ryska	русские
ryska	российская
ryska	русский
henne	ее
henne	ей
henne	её
wien	вена
wien	вены
wien	венская
wien	вене
via	виа
via	via
via	через
laguna	лагуна
italien	италия
italien	италию
italien	италии
syrien	сирию
syrien	сирия
syrien	сирии
matcher	матчи
matcher	совпадения
matcher	спички
matcher	games
matcher	игры
arter	видов
arter	виды
arter	вид
hjälp	помогите
hjälp	помощь
hjälp	помочь
hjälp	справка
kriget	войны
kriget	war
kriget	война
klassen	класс
gustav	густав
gustav	гарфилд
university	университет
van	van
van	ван
van	фургон
anna	анна
fredrik	фредерик
fredrik	фридрих
fredrik	фредрик
fler	более
fler	больше
fler	еще
kort	карты
kort	карточки
kort	открытки
kort	короткая
kort	короткий
kort	короткое
kort	короткие
kort	коротко
kort	кратко
kort	краткая
kort	краткое
kort	карта
kort	карту
kort	карточка
ungern	венгрии
ungern	венгрия
gitarr	гитару
gitarr	гитара
gitarr	гитары
serie	серия
serie	серии
serie	серийный
serie	последовательный
gjort	сделано
ledde	led
red	ехал
guinea	гвинеи
guinea	гвинея
guinea	гвинею
guinea	гвинее
ecuador	эквадор
ecuador	эквадоре
michael	майкл
michael	michael
michael	михаэль
michael	михаил
ovan	выше
brokparasitsteklar	ichneumonidae
rapport	пожаловаться
rapport	отчёт
rapport	доклад
rapport	отчет
lika	равная
lika	равных
lika	равный
lika	равные
lika	равное
kallad	называется
kallad	звонил
kallad	позвонил
tycker	думайте
tycker	думай
tycker	подумайте
tycker	думает
brittisk	британское
brittisk	британская
brittisk	британские
brittisk	великобритании
brittisk	британцы
brittisk	британский
använda	использование
använda	используя
använda	используйте
använda	использование
använda	использовать
använda	используется
använda	использовано
använda	используемый
