το	os
εκτός	excepto
εκτός	exceto
συνέχεια	continuidade
συνέχεια	continue
συνέχεια	continuem
συνέχεια	continuar
συνέχεια	continua
συνέχεια	continuaram
συνέχεια	continuação
συνέχεια	continuado
συνέχεια	continuou
κάτω	down
κάτω	lower
κάτω	inferior
κάτω	abaixo
πολλές	muitos
πολλές	muitas
όλα	everything
όλα	tudo
όλα	todas
όλα	tudo
όλα	todos
σύστημα	system
σύστημα	sistema
ακόμα	ainda
φορές	vezes
φορές	tempos
φορές	times
ίδια	idênticas
ίδια	idêntica
ίδια	idêntico
ίδια	idênticos
ίδια	mesma
ίδια	mesmo
ίδια	mesmos
ιουλίου	julho
χώρα	pais
χώρα	país
αποτέλεσμα	desfecho
αποτέλεσμα	resultado
αποτέλεσμα	resultado
αποτέλεσμα	efeito
οκτωβρίου	outubro
ιανουαρίου	janeiro
σεπτεμβρίου	setembro
νοεμβρίου	novembro
αγώνες	partidas
αγώνες	correspondências
αγώνες	fósforos
αγώνες	games
αγώνες	jogos
ταινίες	filmes
ταινίες	películas
ταινίες	filmes
ταινίες	cinema
μέσω	via
μέσω	através
μέσω	through
μαρτίου	march
μαρτίου	marchar
μαρτίου	marcha
μαρτίου	março
γεννήθηκε	born
γεννήθηκε	nascido
γεννήθηκε	nascida
γεννήθηκε	nasceu
ιουνίου	june
ιουνίου	junho
αυτές	estes
αυτές	essas
αυτές	estas
αυτές	esses
πολλά	muitos
πολλά	muitas
απριλίου	april
απριλίου	abril
τρεις	tres
τρεις	three
τρεις	três
αυγούστου	augusto
αυγούστου	august
αυγούστου	agosto
έργα	funciona
έργα	obras
έργα	trabalhos
έργα	works
έργα	trabalha
έργα	projectos
έργα	projetos
δεκεμβρίου	dezembro
χρήση	uso
χρήση	usar
χρήση	use
χρήση	utilizar
χρήση	utilização
πρόεδρος	presidente
πολιτική	política
πολιτική	politica
πολιτική	política
ακόμη	ainda
ίδιο	mesma
ίδιο	mesmo
ίδιο	mesmos
μας	nossa
μας	nossas
μας	nossos
μας	nosso
εκλογές	eleição
εκλογές	eleições
εκλογές	eleição
εκλογές	eleições
μέλη	sócios
μέλη	membros
τελικά	eventualmente
τελικά	enfim
τελικά	finalmente
μέλος	membro
εποχή	época
εποχή	temporada
εποχή	época
εποχή	eei
χωριό	vila
χωριό	aldeia
αρχικά	inicialmente
αρχικά	originalmente
αρχικά	inicialmente
αρχικά	iniciais
περίοδος	periodo
περίοδος	período
δήμος	município
δήμος	concelho
κύπελλο	xícara
κύπελλο	copa
κύπελλο	taça
κύπελλο	chávena
κύπελλο	copo
ζωή	vida
ζωή	life
ζωή	zoe
έδρα	sede
έδρα	sedes
έδρα	assento
περιλαμβάνει	inclui
μεγάλο	large
μεγάλο	grande
μεγάλο	grandes
μεγάλο	big
μεγάλο	grande
μεγάλο	grandes
βάση	base
βάση	base
κέντρο	centralizar
κέντρο	centrar
κέντρο	centro
κέντρο	center
κέντρο	centrar
κέντρο	centralizar
κέντρο	centro
κέντρο	centre
γεννήσεις	partos
γεννήσεις	nascimentos
φεβρουαρίου	fevereiro
κάτι	algo
κοντά	perto
κοντά	próximo
κοντά	fecha
κοντά	feche
κοντά	perto
κοντά	close
κοντά	fechar
κοντά	imediações
μορφή	formar
μορφή	forma
μορφή	formulário
μορφή	formato
μορφή	formatar
μορφή	formatação
χρόνο	hora
χρόνο	horário
χρόνο	tempo
χρόνο	time
ιστοσελίδα	website
ιστοσελίδα	site
κόμμα	partido
κόμμα	party
κόμμα	festa
κόμμα	vírgula
γιατί	porque
γιατί	pq
γιατί	porque
γιατί	porquê
ρόλο	rollo
ρόλο	papel
άλμπουμ	álbum
άλμπουμ	album
άλμπουμ	álbuns
άλμπουμ	álbuns
επειδή	porque
επειδή	pq
έκδοση	edição
έκδοση	versão
γκολ	objectivos
γκολ	gols
γκολ	metas
γκολ	golos
γκολ	objetivos
γκολ	gol
γκολ	objetivo
γκολ	golo
γκολ	baliza
γκολ	meta
αρχές	autoridades
αρχές	princípios
αρχές	principios
συνήθως	geralmente
συνήθως	normalmente
συνήθως	habitualmente
συνήθως	usualmente
ονομασία	nome
ονομασία	designação
ονομασία	denominação
κοινότητα	comunidade
τελευταία	último
τελευταία	últimas
τελευταία	last
τελευταία	últimos
τελευταία	última
τελευταία	ultimamente
έκανε	fiz
έκανε	did
έκανε	fê
έκανε	fez
έκανε	feitos
έκανε	feita
έκανε	feito
έκανε	made
ξεκίνησε	iniciado
ξεκίνησε	comecei
ξεκίνησε	começou
ξεκίνησε	começaram
ξεκίνησε	iniciou
κυβέρνηση	governo
πρώτος	primeira
πρώτος	primeiros
πρώτος	primeiramente
πρώτος	primeiro
πήρε	levou
πήρε	tirou
πήρε	demorou
πήρε	levaram
κάνει	feito
ηπα	eua
ηπα	usa
ανάμεσα	entre
δεύτερη	segunda
δεύτερη	second
δεύτερη	segundo
γλώσσα	língua
γλώσσα	lingua
γλώσσα	língua
γλώσσα	idioma
γλώσσα	linguagem
γιος	son
γιος	filho
μάχη	battle
μάχη	batalha
μάχη	combate
μάχη	luta
μάχη	briga
μάχη	combate
μάχη	lute
μάχη	fight
πανεπιστήμιο	university
πανεπιστήμιο	universidade
όλες	todas
όλες	tudo
όλες	todos
κάποια	alguns
κάποια	algum
κάποια	algumas
δείτε	veja
δείτε	vê
δείτε	ver
δείτε	assista
δείτε	relógio
δείτε	assistir
δείτε	assistam
πόλεμο	guerra
πόλεμο	war
πόλεμο	guerras
συχνά	freqüentemente
συχνά	frequentemente
συχνά	freqüentemente
συχνά	frequentemente
περιοχές	regiões
περιοχές	áreas
συμμετοχές	participações
παράδειγμα	exemplo
άρθρο	artigo
εικόνα	foto
εικόνα	fotografia
εικόνα	imagem
εικόνα	image
εικόνα	imagem
έλαβε	recebida
έλαβε	recebido
έλαβε	receberam
έλαβε	recebidos
έλαβε	recebeu
έλαβε	recebidas
επίσημη	oficial
επίσημη	funcionário
επίσημη	official
επίσημη	oficiais
επίσημη	formais
επίσημη	formal
κατοίκους	habitantes
κατοίκους	residentes
κατοίκους	moradores
πηγές	fontes
βόρεια	norte
βόρεια	north
βόρεια	norte
βόρεια	setentrional
βόρεια	northern
πόλεις	vilas
πόλεις	cidades
ιδιαίτερα	particularmente
ιδιαίτερα	especialmente
αγώνα	raça
αγώνα	corrida
αγώνα	race
αγώνα	match
αγώνα	luta
αγώνα	briga
αγώνα	combate
αγώνα	lute
αγώνα	fight
γεγονός	acontecimento
γεγονός	evento
γεγονός	fato
γεγονός	facto
σελίδα	pagina
σελίδα	página
σελίδα	page
θέμα	temática
θέμα	tema
θέμα	sujeito
θέμα	assunto
θέμα	objecto
ηλικία	idade
χρησιμοποιείται	utilizada
χρησιμοποιείται	usada
χρησιμοποιείται	usado
χρησιμοποιείται	utilizado
χρησιμοποιείται	utilizados
χρησιμοποιείται	usados
πρώτα	primeira
πρώτα	primeiros
πρώτα	primeiramente
πρώτα	primeiro
μέγεθος	size
μέγεθος	tamanho
μέγεθος	dimensão
θεωρείται	considerada
θεωρείται	considerados
θεωρείται	considerou
θεωρείται	considerado
εδώ	aqui
νότια	sulistas
νότια	sulista
νότια	sul
νότια	southern
νότια	meridional
νότια	sul
νότια	south
σημείο	ponto
σημείο	point
σχέση	relacionamentos
σχέση	relacionamento
σχέση	relação
περίπτωση	case
περίπτωση	caso
νέο	novo
νέο	novas
νέο	novos
νέο	novidade
νέο	nova
ήδη	já
ήδη	ja
έτος	ano
σχεδόν	quase
σχεδόν	quase
ένωση	union
ένωση	união
ένωση	associação
ένωση	association
περισσότερο	mais
περισσότερο	more
βασιλιά	king
βασιλιά	rei
εκκλησία	igrejas
εκκλησία	igreja
εκδόσεις	publicações
μουσείο	museus
μουσείο	museu
πολιτικός	político
πολιτικός	politico
συμμετοχή	participação
συμμετοχή	envolvimento
συμμετοχή	participação
δυο	duas
δυο	two
δυο	dois
μεγαλύτερη	maiores
μεγαλύτερη	maior
μεγαλύτερη	maiores
μεγαλύτερη	maior
μεγαλύτερη	maiores
μεγαλύτερη	maior
πέθανε	morra
πέθανε	die
πέθανε	morram
πέθανε	morre
πέθανε	morrer
πέθανε	morreu
πέθανε	morri
πέθανε	morreram
πέθανε	faleceu
ανά	per
μουσική	music
μουσική	música
μουσική	musica
μουσική	músicas
κόσμο	cosmo
κόσμο	world
κόσμο	mundo
άτομα	indivíduos
άτομα	pessoas
άτομα	povo
άτομα	gente
δεύτερο	segunda
δεύτερο	second
δεύτερο	segundo
είδος	type
είδος	digite
είδος	tipo
είδος	espécies
είδος	espécie
αρκετά	suficiente
αρκετά	chega
μεγαλύτερο	maiores
μεγαλύτερο	maior
μεγαλύτερο	maiores
μεγαλύτερο	maior
εκείνη	ela
εκείνη	she
χώρες	países
χώρο	espaço
χώρο	space
σχολή	escola
εναντίον	contra
τρία	tres
τρία	three
τρία	três
χαρακτηριστικά	características
χαρακτηριστικά	características
χαρακτηριστικά	funcionalidades
χαρακτηριστικά	atributos
όρος	termo
όρος	monte
όρος	mount
όρος	montar
όρος	condição
όρος	estado
ιδρύθηκε	fundado
ιδρύθηκε	fundou
ιδρύθηκε	fundada
βασιλιάς	king
βασιλιάς	rei
παιδιά	boys
παιδιά	rapazes
παιδιά	meninos
παιδιά	rapaziada
παιδιά	garotos
παιδιά	crianças
παιδιά	filhos
παιδιά	miúdos
παιδιά	kids
παιδιά	galera
παιδιά	tipos
παιδιά	pessoal
παιδιά	crianças
παιδιά	filhos
βραβείο	prémio
βραβείο	premio
βραβείο	prêmio
βραβείο	prémio
βραβείο	prêmio
άρχισε	iniciado
άρχισε	comecei
άρχισε	começou
άρχισε	começaram
άρχισε	iniciou
φαίνεται	parece
φαίνεται	parece
φαίνεται	looks
φαίνεται	olhares
αρχαία	antiga
αρχαία	antigo
αρχαία	antigos
αρχαία	antiguidade
αρχαία	ancião
μήκος	comprimento
κυκλοφόρησε	lançado
κυκλοφόρησε	libertado
κυκλοφόρησε	liberado
κυκλοφόρησε	liberada
κυκλοφόρησε	divulgado
κυκλοφόρησε	solto
συμμετείχε	participei
συμμετείχε	participaram
συμμετείχε	participou
χρονιά	ano
παραγωγή	produção
ηθοποιός	atriz
ηθοποιός	actriz
ηθοποιός	ator
ηθοποιός	actor
ούτε	nem
ελληνικά	grega
ελληνικά	grécia
ελληνικά	gregos
ελληνικά	grego
δυνάμεις	potências
δυνάμεις	poderes
δυνάμεις	powers
δυνάμεις	competências
δυνάμεις	dosagens
δυνάμεις	forcas
δυνάμεις	forces
δυνάμεις	forças
γαλλία	franca
γαλλία	frança
ελληνικό	grega
ελληνικό	grécia
ελληνικό	gregos
ελληνικό	grego
ευρώπη	europa
δεκαετία	década
γνωστό	conhecida
γνωστό	conhecido
γνωστό	conhecidas
γνωστό	conhecidos
παγκόσμιο	global
παγκόσμιο	globais
βιβλίο	livro
βιβλίο	reservar
βιβλίο	livros
διάστημα	intervalo
διάστημα	espaço
διάστημα	space
οικογένεια	família
οικογένεια	familia
μέτρα	medidas
σημαίνει	meios
σημαίνει	significa
πέντε	cinco
πέντε	five
παραπάνω	acima
υπουργός	ministro
υπουργός	ministra
σεζόν	temporada
σεζόν	época
πρότυπο	model
πρότυπο	modelo
πρότυπο	modelo
πρότυπο	estandarte
πρότυπο	norma
πρότυπο	padrão
πρότυπο	standard
αριθμός	número
αριθμός	numero
θάνατο	death
θάνατο	morte
εταιρεία	empresa
εταιρεία	company
εταιρεία	companhia
σώμα	body
σώμα	corpo
σώμα	corps
πρωτεύουσα	capitais
πρωτεύουσα	capital
παράλληλα	paralelo
παράλληλα	paralelas
παράλληλα	paralelos
παράλληλα	paralela
σύνολο	total
γνωστή	conhecida
γνωστή	conhecido
γνωστή	conhecidas
γνωστή	conhecidos
κατάσταση	status
κατάσταση	estatuto
κατάσταση	estado
κατάσταση	situação
κατάσταση	condição
κατάσταση	estado
νησί	ilha
νησί	ilhas
επίπεδο	nivel
επίπεδο	nível
επίπεδο	level
επιτυχία	sucessos
επιτυχία	êxito
επιτυχία	sucesso
γερμανία	alemanha
άλλους	outros
άλλους	outras
πίσω	costas
πίσω	volta
πίσω	voltar
δημιουργία	crie
δημιουργία	criar
δημιουργία	cria
δημιουργία	criação
αρχή	comece
αρχή	comecem
αρχή	iniciar
αρχή	começa
αρχή	início
αρχή	começar
αρχή	começando
αρχή	iniciando
αρχή	início
αρχή	começo
αρχή	princípio
αρχή	principio
αρχή	autoridade
άδεια	licença
άδεια	permissão
άδεια	licenças
άδεια	licença
άδεια	permitir
άδεια	vazios
άδεια	vazio
άδεια	vazia
άδεια	esvaziar
άδεια	vazias
σου	sue
επιπλέον	adicional
επιπλέον	adicionais
περισσότερα	mais
περισσότερα	more
ανάπτυξη	desenvolvimento
ανάπτυξη	evolução
ανάπτυξη	crescimento
φάση	fase
αυτόν	ele
συγγραφέας	escritora
συγγραφέας	escritor
συγγραφέας	autor
συγγραφέας	autora
άγιος	agios
άγιος	santo
άγιος	saint
άγιος	santa
θάνατοι	óbitos
θάνατοι	mortes
γ΄	iii
τραγούδι	cantando
τραγούδι	cantar
τραγούδι	canção
τραγούδι	song
κόρη	filha
πάλι	novamente
επαρχία	província
ιωάννης	john
ιωάννης	joão
ιωάννης	joao
ιωάννης	ioannis
θεσσαλονίκη	salónica
θεσσαλονίκη	tessalônica
αγγλικά	ingles
αγγλικά	inglês
άλλοι	outros
άλλοι	outras
κέρδισε	win
κέρδισε	ganhe
κέρδισε	ganhar
κέρδισε	vencer
κέρδισε	vitória
κέρδισε	venceu
κέρδισε	won
κέρδισε	ganhou
κέρδισε	ganhado
βασίλειο	reino
βασίλειο	kingdom
σκοπό	finalidade
σκοπό	objetivo
σκοπό	objectivo
σκοπό	propósito
συνολικά	total
γνωστός	conhecida
γνωστός	conhecido
γνωστός	conhecidas
γνωστός	conhecidos
γνωστός	familiaridade
γνωστός	conhecido
γνωστός	conhecidos
πληροφορίες	info
πληροφορίες	informações
πληροφορίες	informação
εθνικό	national
εθνικό	nacionais
εθνικό	nacional
καριέρα	carreira
ποτέ	nunca
ποτέ	never
ποτέ	ever
ποτέ	nunca
τέλη	taxa
τέλη	honorários
τέλη	taxas
τέλη	honorários
πλευρά	lateral
πλευρά	lado
πλευρά	side
διάφορες	vários
διάφορες	diversos
διάφορες	várias
ανήκει	pertence
πρόγραμμα	programar
πρόγραμμα	programa
πρόγραμμα	horário
πρόγραμμα	agendamento
πρόγραμμα	programação
πρόγραμμα	agendar
πρόγραμμα	programa
χιλιόμετρα	miles
χιλιόμετρα	quilómetros
χιλιόμετρα	milhas
χιλιόμετρα	quilómetros
χιλιόμετρα	quilômetros
χιλιόμετρα	quilometragem
χιλιόμετρα	quilómetros
χιλιόμετρα	quilômetros
κάτοικοι	habitantes
κάτοικοι	residentes
κάτοικοι	moradores
άρθρα	artigos
γεώργιος	georgios
γεώργιος	jorge
γεώργιος	george
τύπου	imprensa
τύπου	pressione
τύπου	type
τύπου	digite
τύπου	tipo
δημοκρατία	república
δημοκρατία	democracia
πόλεμος	guerra
πόλεμος	war
πόλεμος	guerras
εφημερίδα	jornal
εφημερίδα	jornais
μικρό	small
μικρό	pequenos
μικρό	pequeno
μικρό	pequena
μικρό	pequenas
μικρό	pequeno
μικρό	pouco
μικρό	pequena
μικρό	little
τόπος	lugar
τόπος	place
τόπος	local
τόπος	sítio
τόπος	localização
ονομάζεται	chamou
ονομάζεται	chamada
ονομάζεται	chamado
ονομάζεται	chamados
συγκεκριμένα	específicas
συγκεκριμένα	específicos
συγκεκριμένα	específica
συγκεκριμένα	especifico
συγκεκριμένα	específico
συγκεκριμένα	especificamente
είδη	espécies
είδη	espécie
πηγή	fonte
πηγή	origem
κάποιος	alguém
κάποιος	alguem
κάποιος	alguém
κάποιος	alguem
πρωταθλήματα	campeonatos
ιταλία	itália
πατέρας	pai
πατέρας	padre
κατηγορίες	encargos
κατηγορίες	cobranças
κατηγορίες	acusações
κατηγορίες	débitos
κατηγορίες	categorias
αναφέρει	menções
ποδόσφαιρο	soccer
ποδόσφαιρο	futebol
ποδόσφαιρο	football
ποδόσφαιρο	futebol
θέσεις	posições
θέσεις	postagens
θέσεις	posts
θέσεις	publicações
θέσεις	assentos
θέσεις	lugares
θέσεις	bancos
περισσότερες	mais
περισσότερες	more
έκταση	escopo
έκταση	âmbito
έκταση	extensão
έκταση	area
έκταση	área
γενικά	geralmente
γενικά	generalidades
γενικά	gerais
γενικά	geral
γενικά	general
σημαντικό	importante
σημαντικό	importantes
νίκη	win
νίκη	ganhe
νίκη	ganhar
νίκη	vencer
νίκη	vitória
νίκη	vitoria
νίκη	victory
νίκη	vitória
νίκη	vencendo
νίκη	ganhando
νίκη	ganhar
μικρή	small
μικρή	pequenos
μικρή	pequeno
μικρή	pequena
μικρή	pequenas
μικρή	pequeno
μικρή	pouco
μικρή	pequena
μικρή	little
έτη	years
έτη	anos
πατέρα	pai
πατέρα	padre
αμερικανός	americano
αμερικανός	americanos
αμερικανός	american
αμερικανός	americana
τελικό	finais
τελικό	final
πάντα	always
πάντα	sempre
συγκρότημα	band
συγκρότημα	banda
συγκρότημα	complexas
συγκρότημα	complexo
συγκρότημα	complexos
συγκρότημα	complexa
παραγωγής	produção
ίσως	talvez
ίσως	talvez
επόμενη	seguinte
επόμενη	próximo
επόμενη	próxima
επόμενη	next
στιγμή	momento
μήνες	meses
αποτελείται	composta
αποτελείται	consiste
θεωρία	teorias
θεωρία	teoria
ύψος	altitude
ύψος	altura
πολλοί	muitos
πολλοί	muitas
όλοι	todos
όλοι	todas
όλοι	tudo
όλοι	todos
όλοι	todos
τώρα	agora
προπονητής	coach
προπονητής	treinador
θέατρο	teatro
θέατρο	teatro
σημαντική	importante
σημαντική	importantes
σημαντική	significativos
σημαντική	significativo
σημαντική	significativa
σημαντική	significante
σημαντική	significativas
ημέρα	dia
διάφορα	vários
διάφορα	diversos
διάφορα	diversas
επέστρεψε	retornado
επέστρεψε	retornou
επέστρεψε	regressou
επέστρεψε	voltou
επέστρεψε	devolvido
παρέμεινε	permaneceram
παρέμεινε	permaneceu
κατέκτησε	conquistou
κατέκτησε	conquistaram
κατέκτησε	conquistado
κατέκτησε	conquistada
κατέκτησε	conquistados
θέματα	tópicos
θέματα	temas
θέματα	temáticas
θέματα	temas
θέματα	problemas
θέματα	questões
στάδιο	estádio
στάδιο	stadium
στάδιο	palco
στάδιο	etapa
χωριά	vilas
χωριά	aldeias
επίθεση	atacar
επίθεση	attack
επίθεση	ataquem
επίθεση	ataque
επίθεση	assalto
επίθεση	agressão
τραγούδια	músicas
τραγούδια	canções
τραγούδια	songs
έδωσε	dei
έδωσε	deu
πληθυσμός	população
λέξη	word
λέξη	palavra
κατάφερε	geridos
κατάφερε	gerido
κατάφερε	conseguiu
προβλήματα	problemas
έχοντας	ter
έχοντας	tendo
δύναμη	dosagem
δύναμη	força
δύναμη	forças
δύναμη	force
δύναμη	força
δύναμη	forçar
δύναμη	potência
δύναμη	energia
δύναμη	poder
δύναμη	power
επανάσταση	revolution
επανάσταση	revolução
τύπος	imprensa
τύπος	pressione
τύπος	formula
τύπος	fórmula
τύπος	type
τύπος	digite
τύπος	tipo
εκατομμύρια	milhões
εκατομμύρια	milhão
εκατομμύρια	milhões
εκατομμύρια	milhoes
τέσσερις	four
τέσσερις	quatro
πορεία	curso
μέση	meados
μέση	médio
μέση	meio
μέση	middle
μέση	médio
μέση	média
μέση	cintura
πρόβλημα	problemas
πρόβλημα	problema
πρόβλημα	problemas
πρόβλημα	sarilhos
πρόβλημα	encrenca
άνω	superior
άνω	upper
νερό	águas
νερό	agua
νερό	água
αγωνίστηκε	lutado
αγωνίστηκε	lutaram
αγωνίστηκε	lutei
αγωνίστηκε	lutou
τοπική	locais
τοπική	local
περιφέρεια	região
περιφέρεια	distrito
παρουσία	presença
μητέρα	mãe
μητέρα	mamãe
έξι	seis
έξι	six
δομή	estrutura
παρίσι	paris
έγραψε	escreveu
έγραψε	escrevia
έγραψε	escrevi
κατασκευή	fabrico
κατασκευή	fabricação
κατασκευή	construção
κατασκευή	construções
κατασκευή	construir
περιέχει	contém
περιπτώσεις	casos
περιπτώσεις	processos
ημέρες	dias
μαρία	maria
μερικές	alguns
μερικές	algum
μερικές	algumas
τιμή	preço
τιμή	preços
τιμή	price
τιμή	value
τιμή	valor
διαδικασία	processo
διαδικασία	procedimento
κοινό	público
κοινό	audiência
κοινό	platéia
κοινό	plateia
διαγραφή	apagar
διαγραφή	apaga
διαγραφή	apague
διαγραφή	apaguem
διαγραφή	apago
διαγραφή	eliminação
διαγραφή	exclusão
διαγραφή	apagamento
διαγραφή	supressão
διαγραφή	apagar
διαγραφή	excluir
διαγραφή	apaga
διαγραφή	eliminar
απογραφή	recenseamento
απογραφή	censo
απογραφή	estoque
απογραφή	inventário
συλλογή	recolha
συλλογή	colecção
συλλογή	coleção
τρίτη	terça
τρίτη	terceira
τρίτη	terço
τρίτη	terceiro
παρακάτω	abaixo
ναός	temple
ναός	templo
βοήθεια	assistência
βοήθεια	socorro
βοήθεια	ajude
βοήθεια	ajudar
βοήθεια	ajuda
απόσταση	distância
απόσταση	distâncias
απόσταση	distancia
απόσταση	cordilheira
απόσταση	alcance
απόσταση	intervalo
απόσταση	gama
νέων	jovens
νέων	juventude
αμέσως	imediato
αμέσως	imediatamente
αναφορά	relatório
αναφορά	denunciar
αναφορά	relatar
αναφορά	referência
αναφορά	referencia
ποδοσφαιριστής	futebolista
δράση	acção
δράση	action
δράση	ação
λιγκ	league
λιγκ	liga
απλά	só
απλά	apenas
γιώργος	giorgos
γιώργος	jorge
γιώργος	george
γιώργος	georgios
κανείς	ninguém
κανείς	ninguem
γεγονότα	fatos
γεγονότα	factos
γεγονότα	eventos
γεγονότα	acontecimentos
σύντομο	curto
σύντομο	short
σύντομο	curtas
σύντομο	curta
σύντομο	breves
σύντομο	breve
κράτος	estaduais
κράτος	state
κράτος	estado
κράτος	estadual
κωνσταντίνος	konstantinos
κωνσταντίνος	constantine
κωνσταντίνος	constantino
στρατό	exército
στρατό	tropa
στρατό	army
αγία	santo
αγία	saint
αγία	santa
αποτελέσματα	resultados
αποτελέσματα	resultado
ιστορικό	antecedentes
ιστορικό	fundo
ιστορικό	historia
ιστορικό	história
σπίτι	home
σπίτι	casa
σπίτι	lar
σπίτι	casa
τζον	john
τζον	joão
τζον	joao
τζον	jon
αρκετές	vários
αρκετές	varios
αρκετές	várias
τμήματα	divisões
τμήματα	segmentos
τμήματα	departamentos
τμήματα	secções
τμήματα	seções
λειτουργία	função
λειτουργία	funções
λειτουργία	mode
λειτουργία	modalidade
λειτουργία	modo
λειτουργία	funcionamento
λειτουργία	operação
βιβλία	livros
πρωθυπουργός	premier
κείμενο	texto
γραμμή	line
γραμμή	linha
σχέδιο	project
σχέδιο	projeto
σχέδιο	projecto
σχέδιο	rascunho
σχέδιο	draft
σχέδιο	concepção
σχέδιο	desenho
σχέδιο	design
σχέδιο	plano
σχέδιο	plan
σχέδιο	planejar
βουλευτής	membro
γη	earth
γη	terra
γη	land
γη	terrenos
γη	terras
γη	terra
χρήστες	utilizadores
χρήστες	usuários
εμφανίζεται	exibida
εμφανίζεται	exibidos
εμφανίζεται	exibidas
εμφανίζεται	mostrado
εμφανίζεται	exibido
ξανά	novamente
αυτοί	eles
αυτοί	elas
χρήστης	usuários
χρήστης	utilizador
χρήστης	usuário
θάλασσα	mar
χρησιμοποιούνται	utilizada
χρησιμοποιούνται	usada
χρησιμοποιούνται	usado
χρησιμοποιούνται	utilizado
χρησιμοποιούνται	utilizados
