ривалство	rivalry
светли	mẻ
струшки	struga
кафена	brown
кафена	nâu
стабилизација	stabilization
драги	hon
драги	cưng
тод	tod
тод	todd
аристократија	aristocracy
графити	graffiti
пофалби	khen
соединети	united
соединети	hoa
теолог	theologian
капки	guốc
капки	giọt
тракт	tract
шопен	chopin
капак	lừa
сфорца	sforza
масовен	gộp
масовен	nhái
масовен	mass
жермен	germain
реган	reagan
сандра	sandra
двојка	cặp
двојка	couple
двојка	đôi
емигранти	emigrants
стефано	stefano
чудни	weird
чудни	rar
чудни	lạ
чудни	lạ
чудни	lẻ
скијачки	ski
ели	ellie
тоти	totti
рамнини	plains
ројс	royce
струјна	fricative
грегориј	gregory
јама	hố
јама	pit
етерот	aether
соу	gieo
клер	clare
клер	claire
пинјин	pinyin
какао	cocoa
какао	cacao
бејл	bale
суринам	suriname
вулф	wolfe
вулф	woolf
трофеи	cúp
лирски	lyrical
шмалкалден	schmalkalden
купови	piles
сигма	sigma
леден	iced
дрејк	drake
шеесетите	sixties
лесото	lesotho
чешкиот	séc
индијанци	indians
гамбит	gambit
монк	monk
теба	thebes
поправи	fix
раде	rade
споменати	liễu
бес	bess
бес	fury
морава	morava
романска	rumani
лејкерс	lakers
ушите	tai
осетија	ossetia
батерии	bình
батерии	pin
кобејн	cobain
спарта	sparta
адмирал	adm
застој	deadlock
кордоба	córdoba
кордоба	cordoba
џибути	djibouti
линда	linda
кристи	cristi
кристи	kristi
кристи	christi
кристи	christie
кристи	christy
ореви	pecan
ореви	nuts
ореви	bi
твојот	của
лариса	larissa
хогвортс	hogwarts
специјализирана	chuyên
поларна	cực
икс	higgs
тези	thesis
фотографска	photographic
хајдук	hajduk
наташа	natasha
като	cato
трансплантација	ghép
прекинува	ngắt
прекинува	ngắt
прекинува	gián
јуниор	nhỏ
јуниор	junior
индукција	induction
генерира	tạo
полов	sex
индијанците	indians
хеликоптери	helicopters
шалке	schalke
наведена	chất
наш	plr
лохан	lohan
бабата	bà
бабата	granny
вмрежување	mạng
брук	brooke
брук	brook
живеалиштето	hab
исмаил	ismail
чувари	keepers
кланот	clan
кланот	tộc
украдени	chôm
воведниот	keynote
монопол	monopoly
лоренц	lorenz
продавање	bán
лава	lava
патки	vịt
кардиф	cardiff
ромите	roma
троши	phí
фреди	freddie
фреди	freddy
задоволат	satisfy
кардиналот	cận
илм	ilm
купувањето	mua
конкретен	tông
изолиран	isolated
керол	carol
керол	carroll
керол	carole
рударски	mỏ
лисја	lá
вечен	mải
крави	bò
експрес	express
вреди	giá
бродски	brodsky
даф	duff
ворен	warren
андите	andes
ветерот	gió
триполи	tripoli
унгарци	hungary
унгарци	magyars
фатени	caught
ефес	ephesus
извидување	recon
извидување	reconnaissance
одколку	hơn
мите	mite
опасно	dangerously
меркел	merkel
крем	kem
крем	cream
седмото	seventh
мвп	mvp
стебла	cây
шелдон	eldon
шелдон	sheldon
радерфорд	rutherford
текстил	dệt
текстил	dệt
аквитанија	aquitaine
пруги	dải
очила	kính
гео	geo
откажување	hủy
ммф	imf
ласкер	lasker
здрави	healthy
органска	organic
деј	dej
изгубен	mất
изгубен	thua
техно	techno
јунг	jung
забавни	entertainment
делхи	delhi
херодот	herodotus
шмит	schmidt
шмит	schmitt
кен	ken
убавица	cutie
спори	chậm
спори	phím
данкан	duncan
наследи	thừa
напуштена	thác
милост	mercy
пристапување	accession
ромски	romani
капело	capello
кањон	canyon
кањон	hẻm
четиринаесет	fourteen
череп	skull
череп	sọ
череп	quang
рударството	mỏ
команди	lệnh
слух	thính
заеми	vay
лена	lena
авелино	avellino
гигс	giggs
трамвај	tram
пријави	cáo
огранок	charter
огранок	cành
огранок	nhánh
ирвинг	irving
луси	lucie
луси	lucy
погрешна	sai
погрешна	lỗi
погрешна	nhầm
сид	syd
сид	cid
сид	sid
панкреасот	pancreatic
висконти	visconti
баку	baku
најк	nike
госпоѓа	madam
госпоѓа	phu
хант	hunt
хант	săn
светилиште	miếu
каспаров	kasparov
ограда	rào
молба	plea
заканува	đe
челси	chelsea
драматично	kịch
умерени	vừa
поставеност	armament
бристол	bristol
метохија	metohija
томпсон	thompson
принстон	princeton
албион	albion
сорта	breed
ананд	anand
екваторска	equatorial
губејќи	losing
губејќи	thua
пристигна	đến
пристигна	tới
џереми	jeremy
мојсеј	moses
аталанта	atalanta
битлси	beatles
брукс	brooks
емитувана	phát
чак	chuck
стиви	stevie
бони	bonnie
бони	bonny
берн	bernay
берн	bern
хералд	herald
преображение	transfiguration
рембо	rimbaud
елис	elise
елис	ellis
медитација	thiền
парфем	perfume
малме	malmö
најблиските	thiểu
пер	pr
пер	per
неколкумина	vài
алто	alto
сура	surah
сура	sura
протеран	đày
хоризонтално	ngang
сосед	xóm
боро	boro
владика	bishop
тајлер	tyler
алуминиум	nhôm
алуминиум	nhôm
ѕвезден	star
водоземци	amphibians
масивни	massive
одмазди	thù
мата	mata
рогови	gạc
рогови	sừng
успение	dormition
џош	josh
платеници	mercenary
пригниц	prignitz
спин	spin
спин	quay
пензиониран	hưu
алах	allah
троја	troy
удри	trúng
удри	đánh
клаус	klaus
соња	sonia
соња	sonya
соња	sonja
превласт	supremacy
коте	cote
екстремни	extreme
џеферсон	jefferson
андреев	andreev
мила	thuế
мила	mila
мила	hon
мила	cưng
грабежи	cướp
рахман	rahman
ханза	hansa
астана	astana
денвер	denver
падна	rớt
падна	rơi
падна	té
падна	ngã
платформата	rig
јанко	janko
волфсбург	wolfsburg
утре	mai
робеспјер	robespierre
неутрино	neutrino
елвис	elvis
гранада	granada
мик	mic
мик	mick
бронзена	đồng
лора	laura
лора	lora
стрмни	dốc
дакота	dakota
прогон	exile
прогон	persecution
морисон	morrison
гарнизон	garrison
болшевиците	bolshevik
вуди	woody
бунтовници	phiến
романтизам	romanticism
зенит	zenit
зенит	zenith
соседите	xóm
просперитет	vượng
продадено	bán
гибсон	gibson
уникатни	unique
мисионери	missionaries
тенк	tank
тенк	tăng
тенк	bể
мито	hối
мито	hối
мито	graft
беверли	beverly
кантонот	tổng
кантонот	canton
вестерн	tây
макијавели	machiavelli
витамини	vitamin
бкп	bcp
седумнаесет	seventeen
дадоа	tặng
озирис	osiris
мешан	võ
мешан	blended
рет	rhett
константи	constant
константи	hằng
грузиски	georgian
духовите	ghosts
духовите	ma
анархисти	anarchists
триумф	triumph
гранде	grande
хераклеја	heraclea
алисон	allison
алисон	alison
франсис	phanxicô
франсис	francis
франсис	frances
перформанс	suất
фустан	váy
фустан	áo
маратон	marathon
фашистичка	nazi
несоница	insomnia
вали	valli
форматирање	format
мозаици	mosaics
гуштери	lizards
нестор	nestor
кабелски	cáp
пени	penny
верувам	tin
островчиња	islets
никсон	nixon
чарлтон	charlton
ротердам	rotterdam
барбуда	barbuda
болно	bệnh
болно	ốm
болно	cúm
болно	đau
отсек	phần
схс	scs
маркос	marcos
ферми	fermi
пајажина	web
стон	đá
стон	stone
џесика	jessica
дами	quý
аполо	apollo
аполо	apollon
залфелд	saalfeld
затворено	đóng
внесете	nhập
внесете	enter
лажно	faux
лажно	giả
лажно	fake
џеси	jessie
џеси	jesse
призрен	prizren
тинк	tru
давиденко	davydenko
четниците	chetniks
сенки	bóng
хосе	jose
хосе	josé
оценки	điểm
лажна	sai
лажна	giả
лажна	giả
лажна	fake
погодоци	phát
џорџо	giorgio
светови	worlds
свила	lụa
пиза	pisa
писта	speedway
поглавја	chương
лири	leary
лири	lira
лири	lire
лири	lire
болејн	boleyn
томсон	thompson
томсон	thomson
авто	auto
наоколу	khoảng
наоколу	vòng
полумесечина	crescent
патен	patten
изненадувачки	ngàng
клиника	clinic
виола	viola
дизел	diesel
избирање	chọn
избирање	chọn
избирање	đặt
олимп	olympus
хлорид	clorua
аргир	argyros
шансите	odds
секретаријат	secretariat
пластични	nhựa
пластични	plastic
крвава	thằng
хоризонтот	horizon
мнт	mnt
див	wild
див	hoang
див	div
белгискиот	bỉ
ручек	trưa
бул	ngưu
бул	bò
бул	bull
дона	donna
гонзалез	gonzález
гонзалез	gonzalez
латино	latino
латино	latin
кени	kenny
испитува	examines
битен	trọng
мутации	mutations
галатасарај	galatasaray
миног	minogue
висконсин	wisconsin
паз	paz
бети	betty
бенет	bennett
бенет	bennet
бенет	bennet
куан	kuan
хофман	hoffmann
хофман	hoffman
хофман	hoffman
рутери	routers
хенкс	hanks
претензии	ngợi
претензии	khai
падова	padua
падова	padova
јин	âm
јин	yin
фашизмот	fascism
дијаманти	rô
сфр	sfr
цонга	tsonga
вилица	hàm
бахтин	bakhtin
хипертензија	hypertension
генетска	di
полинезија	polynesia
повраќање	nôn
газа	gaza
литургија	liturgy
благослов	blessing
каталонски	catalan
трст	trieste
мирко	mirko
вал	ver
вал	val
мериленд	maryland
констанциј	constantius
сесии	phiên
морален	đạo
лакрос	lacrosse
лакрос	lacroix
социо	socio
кефеј	cepheus
премести	dời
премести	chuyển
пропаст	doom
матео	matteo
матео	mateo
матео	mateo
библиографија	bibliography
скрши	break
скрши	phá
мое	mỏ
мое	mine
увоз	nhập
увоз	danh
увоз	imports
пагански	pagan
пела	pella
годишнина	khắc
плаши	dọa
плаши	scare
легија	legion
штефан	stefan
огледала	gương
огледала	mirrors
пронаоѓачи	inventors
дуи	dui
ветување	hứa
днепар	dnepr
линч	lynch
трајна	perm
ски	ski
договорено	thuận
оперира	mổ
акустична	acoustic
геноцид	genocide
милја	dặm
обвинува	trách
љубовници	lovers
фотографски	photographic
колапс	sập
еминем	eminem
кампови	trại
свежи	tươi
доброволец	nguyện
физиолошки	physiological
азар	hazard
празно	rỗng
празно	trống
празно	trống
празно	blank
вале	vale
измир	izmir
нишка	chuỗi
нишка	thread
грам	gam
грам	gram
грам	grams
декарт	deckard
јени	yeni
јени	yen
билети	vé
апостолов	apostolov
дизниленд	disneyland
штраус	strauss
залихи	supplies
залихи	kho
евтини	cheap
евтини	rẻ
масите	bảng
масите	bàn
ладно	lạnh
јелена	jelena
жестоки	đắng
нај	nye
осака	osaka
просечни	mediocre
глукоза	glucose
дисперзија	dispersion
силвија	silvia
силвија	sylvia
пациент	nhân
стапчиња	đũa
стапчиња	đũa
стапчиња	gậy
стапчиња	que
стапчиња	dùi
џули	julie
сото	soto
небесен	celestial
унгарска	hung
унгарска	hungary
советува	khuyên
историографија	historiography
резервни	chừa
мечеви	gươm
мечеви	kiếm
болна	bệnh
болна	ốm
болна	cúm
болна	đau
галилео	galileo
трипати	ba
трипати	triple
пристигнување	đến
сопот	sopot
топол	ấm
радомир	radomir
твојата	của
аврам	avram
аврам	abraham
грабеж	cướp
врзан	chủa
врзан	bound
врзан	chủa
ивица	ivica
митровица	mitrovica
слонови	voi
оток	sưng
мистерија	mystery
стап	hèo
стап	kho
стап	lòi
стап	stick
ангела	angela
агиос	agios
лорена	lorena
агитација	uro
егзистенција	livelihood
ричардсон	richardson
пик	pic
редица	hàng
валжан	valjean
едуардо	eduardo
аудиција	audition
еремија	jeremiah
абортус	abortion
хроника	chronicle
џуџиња	trọn
џуџиња	trọn
џуџиња	dwarfs
јирген	jürgen
јирген	jurgen
комонс	commons
слатина	slatina
барт	burt
барт	bart
џоан	joanie
џоан	joanne
џоан	joan
тезеј	theseus
водици	epiphany
тимберлејк	timberlake
потпишана	ký
видени	thấy
преведе	dịch
гостински	khách
спилберг	spielberg
расизам	racism
модем	modem
модем	bộ
економистите	economists
бауер	bauer
клаудио	claudio
венечна	alveolar
обвинител	tố
мадам	madam
мадам	phu
мадам	madame
речници	vocabularies
кардинал	cận
панда	panda
панда	trúc
скорсезе	scorsese
девојчиња	girls
девојчиња	gái
тинејџер	teen
тинејџер	teenage
мајлс	miles
мајлс	phít
мајлс	km
мајлс	dặm
тасманија	brisbane
тасманија	tasmania
био	bio
калабрија	calabria
омар	omar
бој	boy
бој	trai
бој	bé
хаген	hagen
павилјон	pavilion
дејли	daley
среќни	phúc
среќни	vui
раониќ	raonic
фунта	bảng
фунта	pound
фунта	lb
авенир	avenir
бетон	tông
бетон	beton
свазиленд	swaziland
маки	heartache
тен	tan
тен	tân
совршен	hảo
чамци	thuyền
напредна	thiệp
напредна	progressive
јанина	ioannina
јанина	janina
хајних	hainich
плутарх	plutarch
иванович	ivanovich
аја	aya
хендл	handel
грев	sin
спуштање	shutdown
секого	ai
наталија	natalya
наталија	natalia
железото	sắt
твитер	twitter
рамно	phẳng
петерсбург	petersburg
придобивките	lợi
вук	vuk
кокаин	coke
кокаин	coca
кокаин	soda
кокаин	cola
кокаин	cocaine
кокаин	buôn
кокаин	cocain
ветува	hứa
воини	warriors
зафатен	bận
чен	chen
чен	trần
чен	chan
чен	trần
џакомо	giacomo
виничка	vinnytsia
крши	thoái
фрли	giọt
фрли	bỏ
фрли	thả
фрли	thảy
фрли	chọi
фрли	quăng
фрли	vứt
фрли	ném
фостер	forster
фостер	forrester
фостер	foster
дерида	derrida
отказ	thoát
зои	zoe
зои	phương
зои	zoe
зои	zoey
посилни	mạnh
орда	horde
орда	đám
орда	bunch
орда	lũ
расправија	cãi
рамзес	rameses
агата	agatha
жозе	jose
жозе	jose
жозе	josé
сув	lau
сув	khô
ленинград	leningrad
ерих	erick
ерих	erich
боинг	boeing
вице	phó
вице	vice
земерда	sömmerda
омо	omo
дрогба	drogba
орев	nut
орев	nứt
митре	mitre
зафат	grip
зафат	grep
зафат	giựt
продолжението	sequel
кубански	cuba
кубански	cuba
свежа	tươi
пука	shabbat
пука	puka
напуштени	thác
борнео	borneo
назначувањето	hẹn
јап	yap
пародија	parody
пладне	noon
пладне	trưa
балади	ballade
хемпшир	hampshire
филипо	filippo
виндзор	windsor
блу	xanh
блу	bleu
ром	rom
ром	roma
мен	người
мен	man
венецијански	venetian
анте	ante
зафатени	bận
бахамите	bahamas
завахири	zawahiri
течни	liquid
течни	lỏng
атомските	atomics
швајцарска	swiss
шише	chai
муслиман	muslim
променливата	biến
хлор	clo
хлор	chlorine
кинетичка	kinetic
подвиг	feat
сочи	sochi
талин	tallinn
профилот	sơ
рејнолдс	reynolds
татка	cha
глобализацијата	globalisation
триење	friction
марибор	maribor
оживување	recreated
оживување	revival
блокирање	chặn
дионис	dionysus
гомез	gomez
гомез	gómez
гомез	gómez
арсен	arsene
арсен	arsenic
гордана	gordana
врховната	supreme
џулијан	julian
џулијан	julien
квинс	queens
личат	resemble
пијана	say
пијана	xỉn
пијана	drunk
цревата	ruột
палмер	palmer
мехмет	mehmet
хелена	helena
блокада	roadblock
стапало	foot
стапало	bộ
нишки	threads
малага	malaga
малага	málaga
малага	malaga
еко	eco
еко	eko
кантона	cantona
рајко	rajko
одвај	khan
понови	mơi
униформа	uniform
овчар	shepherd
разрешување	tit
пинг	ping
арад	arad
бранителите	defenders
фауст	faust
гинсберг	ginsberg
леверкузен	leverkusen
паѓање	falling
паѓање	rơi
паѓање	sáp
паѓање	rơi
паѓање	sút
паѓање	ngã
рилски	rila
сајбер	cyber
почитувани	vinh
централи	cây
линукс	linux
сасуоло	sassuolo
обелиск	obelisk
кгб	kgb
тимур	timur
читањето	truyện
читањето	đọc
влезни	nhập
нико	niko
нико	nico
елита	elite
одринска	adrianople
ракија	brandy
ракија	grappa
ракија	raki
фанк	funk
усна	môi
усна	lip
ковчегот	rương
станислав	stanislav
професии	nguyễn
племенски	tribal
тврд	cứng
тврд	khó
тврд	khổ
тврд	đắng
бурма	burma
бурма	miến
атм	atm
тејт	tate
крег	craig
ненад	nenad
ставете	chua
ставете	norad
ставете	đặt
комплексен	complex
абдула	abdullah
абдула	abdulla
финална	final
ролс	rawls
ролс	cuộn
ролс	rolls
посилна	mạnh
гранџ	grunge
планираат	plan
клотар	chlothar
спои	trộn
хермиона	hermione
сертификати	chứng
афродита	aphrodite
гренада	grenada
демони	quỷ
монтгомери	montgomery
отровни	độc
гарос	garros
колена	gối
мелани	melanie
самрак	twilight
затворањето	đóng
затворањето	cận
меморијал	memorial
фини	fini
пореметување	xáo
килограм	kilogram
килограм	kilo
изгубена	mất
изгубена	thua
мелодија	giai
мелодија	melody
мелодија	tune
столица	ghế
столица	lí
столица	cậy
помошници	aides
орли	eagles
сафин	safin
литл	nhỏ
литл	tiểu
чинг	ching
кришна	krishna
менхетн	manhattan
трака	vết
трака	rãnh
доминика	dominica
горски	gorski
сант	sant
навика	trù
скандал	scandal
бергман	bergman
дуо	duo
бали	bali
опасности	perils
крстови	crosses
гуска	ngỗng
гуска	goose
сладок	ngoan
сладок	cute
сладок	thương
портланд	portland
неш	nash
прекини	hủy
електрицитет	điện
електрицитет	điện
енрике	enrique
вечно	forever
вечно	mải
борови	thông
борови	pine
достапно	rảnh
карлајл	carlyle
карлајл	carlisle
магнезиум	magie
магнезиум	magiê
магнезиум	magnesium
предатори	predators
етнографски	ethnographic
кулминација	climax
интегрирани	integrated
давачки	fee
давачки	phí
давачки	phí
увозот	imports
норис	norris
грац	graz
побарува	đòi
џови	jovi
подземјето	underworld
дваесетина	twentieth
фернандез	fernández
фернандез	fernandez
должат	nợ
велингтон	wellington
ханибал	hannibal
ирско	irish
мелвил	melville
урбанизам	urbanism
есенин	yesenin
конфедерацијата	confederate
павловиќ	pavlovic
франкиски	frankish
татјана	tatiana
татјана	tatjana
горбачов	gorbachev
викинзите	viking
викинзите	vikings
игли	needles
креолски	creole
озборн	osborn
алстер	ulster
шут	jester
блогови	blogger
бора	bora
круга	laps
гослар	goslar
маврициус	mauritius
халил	halil
халил	khalif
гласно	loud
малајски	malay
гранките	cành
страдал	led
ричмонд	richmond
цртан	cartoon
рози	rosie
забавен	fun
забавен	ké
забавен	vui
пино	pino
севиља	sevilla
гваделуп	guadeloupe
андерсен	andersen
рамон	ramone
рамон	ramón
рамон	ramon
рамон	ramón
рамон	ramon
близнак	twin
близнак	song
брада	chin
брада	cằm
брада	râu
брада	beard
супермен	superman
присли	presley
магла	mist
магла	haze
матијас	mathias
главите	đầu
главите	vát
балзак	balzac
романса	romance
ленс	lance
гадафи	gaddafi
торес	torres
августин	augustine
искра	spark
искра	bugi
капење	tắm
капење	bad
капење	bath
капење	tắm
фелини	fellini
протеин	protein
монти	monty
најблиску	thiểu
бекет	beckett
миодраг	miodrag
ериксон	erickson
ериксон	ericson
ериксон	ericsson
попладне	chiều
урош	uros
класично	classic
флоренс	florence
габрово	gabrovo
оскари	oscars
оскари	oscar
скалите	dục
јаже	dây
ѕверови	thú
теофилакт	theophylact
узедом	usedom
бос	bos
прекршок	foul
раселени	displaced
видено	thấy
ојлер	euler
поповиќ	popovic
алберта	alberta
јаки	mạnh
јаки	strong
пиноче	pinochet
нобел	nobel
ентитети	entities
слушање	nghe
бира	picks
затвореник	con
битно	trọng
загора	zagora
екатерина	ekaterina
ефенди	effendi
ефенди	efendi
ловење	săn
затвора	đóng
џан	gian
запален	lit
запален	quẹt
мец	metz
одбележување	commemoration
кристин	kristin
кристин	christine
рум	rum
фримен	freeman
пресуди	câu
рабин	rabbi
галилеј	galilei
камила	camilla
камила	camel
гума	lốp
гума	lốp
ира	ira
суми	sums
сари	surrey
сари	sari
мусолини	mussolini
ултра	ultra
тагоре	tagore
хинди	hindi
свеќи	nến
националности	nationalities
мајки	mikey
руни	rooney
побуна	loạn
побуна	loạn
емир	emir
шарапова	sharapova
канадска	canadian
златко	zlatko
џем	jam
џем	mứt
џем	gem
џем	jem
пиксели	pixel
навреди	xúc
запалени	táng
дејвидсон	davidson
коперник	copernicus
луфтханза	lufthansa
авантури	adventures
свиња	lợn
свиња	thối
свиња	heo
свиња	đẻ
поддржувач	supporter
елија	elia
млс	mls
преземено	taken
преземено	bắt
преземено	chụp
витезите	kị
сив	gray
сив	xám
сив	xám
иса	isa
иса	issa
иса	esa
инжинер	hoạ
рудолштат	rudolstadt
тераса	hiên
тераса	porch
рапер	rapper
грегори	gregory
поручник	trung
мексиканска	mễ
кејси	casey
нацистички	nazi
кутлеш	vergina
херц	hertz
ата	mohamed
ата	atta
ата	atta
ата	ata
облекување	dressing
валери	valery
валери	valeri
валери	valerie
мохамед	mohammed
мохамед	mohamed
вис	vis
сиромашен	nghèo
сиромашен	nghiệp
аман	amman
стомак	bụng
стомак	bụng
симнување	download
тапан	drum
тапан	trống
томислав	tomislav
ривер	sông
генетиката	genetics
таванот	attic
таванот	gác
амрум	amrum
грипот	cúm
кис	hôn
кис	kiss
чекан	búa
фиб	phoebus
боксер	boxer
јовановиќ	jovanovic
круша	pear
круша	lê
раздели	tách
раздели	chia
раздели	chia
врзување	âu
врзување	bondage
хиспанија	hispania
слатка	sweet
слатка	ngọt
слатка	ngoan
слатка	cute
слатка	thương
забавна	fun
забавна	ké
забавна	vui
јусуф	yusuf
роланд	roland
свесна	aware
свесна	conscious
рони	ronnie
рони	ronny
буквален	literal
олимпико	olimpico
миа	mia
оданочување	thuế
ленон	lennon
напредување	advance
антологија	anthology
кожни	da
милиметри	cm
хансен	hanssen
хансен	hansen
бискуп	bishop
нилс	nils
нилс	niels
криминалци	phạm
пескара	pescara
емисиите	emissions
дистрикт	detroit
мува	fly
мува	ruồi
мува	bay
антоанета	antoinette
флејта	sáo
пусен	poussin
уницеф	unicef
автоматска	động
автоматска	tự
брендон	brendan
брендон	brandon
чезаре	cesare
бред	britt
бред	brit
бред	brad
капи	hats
капи	mũ
капи	hatter
капи	caps
гласник	herald
гласник	messenger
спароу	passer
спароу	sparrow
волци	sói
јадранско	adriatic
конак	konak
застапник	advocate
глувци	chuột
глувци	chuột
влече	pulls
боно	bono
кошула	áo
роки	rocky
бреша	brescia
тао	tao
тао	đào
ракови	tôm
бет	beth
попова	popova
тројка	troika
тројка	tre
тројка	ba
тројка	three
тројка	trois
енвер	enver
кемниц	chemnitz
родезија	rhodesia
енергетика	lượng
тигрите	tigers
тигрите	hổ
стравински	stravinsky
отава	ottawa
коефициенти	ratios
бекам	beckham
кашмир	kashmir
вулканска	vulcan
алишта	giặt
фина	fina
сантос	santos
напуштено	thác
стапала	feet
стапала	chân
стапала	mét
ларс	lars
астеризам	asterism
либерија	tuyến
либерија	liberia
трн	thorn
трн	torn
трн	briar
чон	chơn
чон	chon
ростов	rostov
слепи	mù
федерико	federico
уништено	hỏng
уништено	hư
уништено	xì
растеж	gai
зависен	addicted
зависен	nghiện
зависен	ghiền
ноу	nou
ирена	irena
ирена	irene
меркиш	märkisch
бајрам	bayram
њуфаундленд	newfoundland
поло	polo
франконија	franconia
шега	joke
шега	đùa
шега	đểu
авињон	avignon
абердин	aberdeen
беневенто	benevento
поларизација	polarisation
авенија	ave
авенија	avenue
крајбрежна	offshore
седмици	tuần
венето	veneto
никс	nix
никс	knicks
невеста	bride
молња	vanilla
молња	sấm
молња	sét
молња	sét
дани	danny
дани	dani
тит	titus
дагоберт	dagobert
иан	lan
лугано	lugano
срушена	sập
фармата	farm
хесиод	hēsíodos
потфат	tr
карате	karate
тешкотиите	nhọc
клинт	clint
пакување	khít
несогласување	dissent
несогласување	rift
несогласување	mớ
казерта	caserta
педагогија	pedagogy
хоризонт	horizon
дебел	thick
дебел	dầy
дебел	dày
дебел	béo
дебел	mập
дебел	fat
ками	camus
ками	cammy
космички	cosmic
бакунин	bakunin
варовник	limestone
басист	bassist
шевченко	shevchenko
ват	watt
ват	wat
телеком	telecom
телеком	telekom
компензација	bù
ланкастер	lancaster
бисер	pearl
бисер	trân
турчин	turk
очекување	anticipation
тенисот	tennis
костими	costumes
костими	costume
вердер	werder
обиколка	tour
безбедна	an
кукли	dolls
коминтерната	comintern
карен	karen
наполни	tô
наполни	điền
мостар	mostar
ашана	hashanah
оливија	olivia
баер	baer
донецк	donetsk
темнината	darkness
нејасни	vague
хемингвеј	hemingway
лоран	laurent
кети	kathy
кети	cathy
кети	katy
кети	katie
лудило	cuồng
лудило	madness
лудило	insanity
негира	chối
нојштат	neustadt
лажен	sai
лажен	giả
лажен	giả
лажен	fake
несреќен	nhọ
несреќен	xui
несреќен	lê
соларни	solar
хероин	heroin
примера	primera
олег	oleg
грофови	earls
фоњини	fognini
мајсторот	thầy
влечење	lôi
влечење	kéo
влечење	tow
џеки	jacqui
џеки	jackie
темен	dark
темен	tối
хајд	hyde
роса	rosa
роса	hồng
роса	sương
роса	dug
приливот	inflow
кота	cotta
пчели	ong
пчели	ong
пчели	bee
шепард	shepherd
шепард	shephard
шепард	shepard
реткост	hiếm
тури	tours
нејасно	vague
пауло	paulo
потпишани	ký
рочестер	rochester
органско	organic
крик	hawk
крик	lạch
крик	creek
веле	welle
кеплер	kepler
корења	rễ
заб	răng
хусерл	husserl
кампус	trượng
топографска	topographic
комплет	đặt
комплет	set
јагуарот	jaguar
ткаенина	vải
ткаенина	vải
тула	gạch
тула	brick
кокошка	gà
сврти	quay
сврти	lượt
сврти	cua
сврти	flip
кашлица	khạc
кашлица	host
кашлица	ho
клучеви	keys
клучеви	phím
комаров	komarov
