diesel	diesel
afectează	påvirker
afectează	påvirkning
afectează	påvirke
fiice	døtre
fiice	døtrene
nigeria	nigeria
gust	smak
gust	smakebit
gust	smake
gilbert	gilbert
minnesota	minnesota
allah	allah
joan	joan
latina	latin
latina	latinske
latina	latinsk
latina	latina
vila	vila
vila	villa
bor	boron
muncitori	arbeidere
györgy	györgy
gabrovo	gabrovo
strategic	strategisk
strategic	strategisk
strategic	strategiske
privit	sett
dennis	dennis
geografia	geografi
miami	miami
lang	lang
multumesc	takk
bugetul	budsjettet
bugetul	budsjett
matthew	matthew
matthew	matteus
intervalul	range
intervalul	rekkevidde
intervalul	spekter
intervalul	intervall
wisconsin	wisconsin
străzile	gater
străzile	gatene
străzile	streets
străzile	gatelangs
sunete	lyder
sunete	høres
cablu	kabel
cablu	cable
barajul	dam
barajul	demning
barajul	demningen
autonom	autonome
lucas	lucas
justin	justin
laurent	laurent
lingvistice	språklige
northern	nordlige
northern	northern
astea	desse
astea	disse
procedura	prosedyre
procedura	prosedyren
marx	marx
lector	foreleser
primăvară	våren
primăvară	spring
aprox	ca
gândirea	tenking
gândirea	tenkende
gândirea	tenkning
gândirea	tenker
esențial	essensielt
esențial	vesentlig
esențial	essensielle
consecutive	påfølgende
consecutive	etterfølgende
navarra	navarra
carnivore	kjøttetere
carnivore	kjøttetende
repere	fremhever
repere	høydepunkter
repere	høydepunktene
repere	landemerker
repere	milepæler
cifră	sifret
singapore	singapores
singapore	singapore
interpreta	tolke
interpreta	tolker
acoperire	belegg
acoperire	dekke
acoperire	cover
acoperire	deksel
acoperire	dekk
acoperire	dekning
acoperire	dekningen
fontsize	fontsize
wells	brønner
wells	wells
pasăre	fugl
pasăre	bird
ocazional	sporadisk
ocazional	tidvis
ocazional	innimellom
dedesubt	under
dedesubt	nedenfor
dedesubt	below
dedesubt	under
atei	ateister
fundul	rumpa
fundul	rumpe
stadiul	scenen
stadiul	stage
transforma	forvandle
transforma	forvandles
grădină	hage
springs	springs
springs	fjærer
detaliate	detaljerte
detaliate	detaljert
estimat	estimert
estimat	anslått
estimat	beregnet
derivate	derivater
derivate	avledet
derivate	derivasjon
liban	libanon
scaune	stolene
scaune	stoler
scaune	seter
scaune	plasser
gov	gov
béla	béla
regii	konger
regii	kings
apărând	vises
apărând	forsvare
apărând	forsvarer
emma	emma
persană	persisk
persană	persiske
persană	perser
doyle	doyle
efectuarea	lager
efectuarea	making
efectuarea	lage
efectuarea	utfører
efectuarea	opptrer
organe	organer
organe	orgel
organe	organ
surori	søstre
goethe	goethe
cazimir	kasimir
cazimir	casimir
aug	aug
eforturi	innsats
eforturi	anstrengelser
bobby	bobby
ring	ring
sever	alvorlige
sever	alvorlig
sever	kraftig
faze	faser
pielea	hud
pielea	flå
pielea	huden
abordare	tilnærming
vorbind	snakker
apărat	forsvart
apărat	forsvarte
mina	mina
pactului	pakt
pactului	pakten
cameron	cameron
revistele	magasiner
revistele	tidsskrifter
revistele	blader
decisiv	avgjørende
decisiv	besluttsom
sălbatice	wild
sălbatice	vill
sălbatice	vilt
noroc	skål
definiția	definisjon
stins	slukket
stins	falmet
averea	formuer
averea	rikdom
averea	velstand
practicat	øvde
practicat	øvd
practicat	øvet
practicat	praktisert
dați	gir
dați	give
dați	gjev
dați	gje
dați	gi
țintă	målet
comunitățile	samfunn
nenumărate	utallige
vânzare	salgs
vânzare	salg
cunoștință	kjenning
cunoștință	bekjentskap
cunoștință	bekjent
vărul	fetter
vărul	kusine
automată	automatisk
automată	automatgir
refugiați	flyktning
refugiați	flyktningene
refugiați	flyktninger
fereastră	vindu
rector	rektor
propagandă	propaganda
dominat	dominert
crească	gror
crească	voks
crească	vokse
rebel	rebell
rebel	opprører
rebel	rebel
ccd	ccd
lanțul	kjede
lanțul	kjetting
uruguay	uruguay
pascal	pascal
mecanica	mekanikk
abbasid	abbasidene
iugoslaviei	jugoslavia
damian	damian
roll	rulle
roll	roll
roll	rull
preluarea	henter
preluarea	henting
preluarea	overtakelse
coadă	køen
coadă	kø
coadă	halen
coadă	hale
judecător	judge
judecător	dommer
semnează	signer
semnează	jærtegn
semnează	tegn
palermo	palermo
hugh	hugh
termică	termisk
laos	laos
argumentele	argumenter
uesac	uesac
fir	vaier
fir	ledning
fir	wire
fir	tråden
fir	tråd
legiunea	legion
chip	chip
prefect	prefekt
coroană	krans
coroană	krone
triburile	stammer
mon	mon
lisa	lisa
platoul	plateau
păsările	fugler
arcul	bukk
arcul	baug
arcul	bow
arcul	bue
square	firkantet
square	kvm
square	kvadratisk
square	kvadrat
doc	doc
încet	langsomt
încet	sakte
call	anrop
call	call
call	ring
call	ringe
cerul	himmel
cerul	sky
cerul	himmelen
esențiale	essensielt
esențiale	vesentlig
esențiale	essensielle
transferul	overføring
transferul	transfer
transferul	forflytning
transferul	overføre
creatorul	skaper
creatorul	skaperen
companiile	bedrifter
companiile	selskaper
silvia	silvia
silvia	sylvia
gibson	gibson
înconjurată	omringet
înconjurată	omgitt
viktor	viktor
adulți	voksne
adulți	voksen
adulți	voksent
adulți	voksne
nivele	nivåer
estadio	estadio
copertă	dekke
copertă	cover
copertă	deksel
copertă	dekk
atribuită	tilordnes
atribuită	tildelte
atribuită	tilordnet
atribuită	tildelt
wood	trevirke
wood	wood
wood	treverk
abc	abc
geo	geo
coordonatele	koordinatene
coordonatele	koordinater
johan	johan
santos	santos
gif	gif
armament	armament
credit	credit
credit	kreditt
simfonia	symfoni
marcând	scoring
visul	drømmen
visul	drømme
visul	dream
visul	drøm
eddie	eddie
mir	mir
entități	enheter
pescuit	fiskeri
pescuit	fisking
pescuit	fiske
proporție	proporsjoner
opoziția	opposisjon
jorge	jorge
frecvența	hyppighet
frecvența	frekvens
atribuite	tilordnes
atribuite	tildelte
atribuite	tilordnet
atribuite	tildelt
bursă	stipend
etaje	etasjer
etaje	gulv
rază	radius
reciproc	gjensidige
reciproc	gjensidig
reciproc	felles
extra	ekstra
extra	extra
avansate	avansert
avansate	avanserte
avansate	advanced
trenuri	togene
trenuri	tog
antena	antenne
umbra	skygge
umbra	shadow
umbra	skyggen
umbra	skygge
vocală	vokal
creuse	creuse
omorât	myrdet
omorât	drept
omorât	drepte
omorât	drept
mărturii	vitneutsagn
mărturii	vitnesbyrd
mărturii	vitnemål
aaron	aaron
aaron	aron
falls	faller
falls	detter
falls	falls
figură	figur
paraná	paraná
transformare	forvandling
transformare	transformasjon
academică	akademisk
promovează	promotering
promovează	fremme
promovează	promoterer
promovează	promotere
promovează	fremme
promovează	frem
promovează	fremming
promovează	brekk
promovează	fremmer
promovează	boost
digitale	digitalt
digitale	digitale
digitale	digital
abbas	abbas
grafic	graf
grafic	grafisk
grafic	diagrammet
grafic	diagram
antrenori	trenere
antrenori	trenerne
antrenori	trenere
antrenori	trenerne
contul	kontoen
contul	konto
contul	brukerkonto
pedeapsa	straff
pedeapsa	straffespark
pedeapsa	straff
bancă	bank
bancă	benk
bancă	benken
mei	mei
sevilla	sevilla
sevilla	sevilla
domnule	sir
definite	defineres
definite	definerte
definite	definert
pauză	pause
pauză	brekke
pauză	pause
pauză	brekk
pauză	avbrekk
pauză	bryt
allan	allan
seminarul	seminar
seminarul	seminaret
săptămâna	uken
săptămâna	uke
săptămâna	uka
săptămâna	ukedager
globală	global
globală	globalt
torre	torre
conan	conan
brescia	brescia
sarcini	oppgaver
circuitul	circuit
circuitul	krets
înfrânt	beseires
înfrânt	overvunnet
înfrânt	beseiret
hrușciov	khrusjtsjov
roxana	roxana
ferrara	ferrara
string	streng
julian	julian
mandatului	mandat
collins	collins
ontario	ontario
valoroase	verdifull
valoroase	verdifulle
valoroase	verdifullt
manifestat	manifestert
pianist	pianist
reclamă	reklamefilm
reclamă	kommersielt
reclamă	kommersiell
reclamă	reklame
reclamă	annonsering
merite	merit
tong	tong
neagu	neagu
comunicații	kommunikasjon
manga	manga
electorală	kurfyrstedømmet
indo	indo
marketing	markedsføring
declara	erklære
declara	erklærer
montreal	montreal
ribbentrop	ribbentrop
scade	reduser
scade	minsk
scade	nedgang
scade	redusere
ton	tunfisk
ton	tone
cheia	nøkkel
britannica	britannica
vidin	vidin
mecanice	mekaniske
mecanice	mekanisk
ascunde	skjul
ascunde	skjule
mobil	mobile
mobil	mobilt
mobil	mobil
sean	sean
schi	ski
schi	skiidrett
schi	slalom
schi	grener
depozite	innskudd
fictiv	oppdiktede
aeroport	lufthavn
aeroport	flyplass
talentul	talent
oklahoma	oklahoma
terestră	terrestrisk
permisiunea	tillatelse
bernhard	bernhard
nepoata	barnebarn
nepoata	niesen
nepoata	niese
bătut	slått
pragul	terskel
ouă	eggs
ouă	egg
ușa	dørs
ușa	dør
ușa	døra
aristotel	aristoteles
panchen	panchen
alpha	alpha
alpha	alfa
firmă	firma
atlético	atlético
liudmila	ljudmila
contrar	motsatte
sprijină	støtter
tipărită	trykte
tipărită	trykt
rica	rica
imnul	anthem
imnul	hymne
chirurgie	kirurgi
afecta	påvirkning
afecta	påvirke
madison	madison
icoana	ikonet
icoana	ikon
xinglong	xinglong
amy	amy
klaus	klaus
adriana	adriana
pași	trinnene
pași	skritt
pași	steg
pași	trinn
legislația	lovgivning
butler	butler
butler	hovmester
discutat	drøftet
discutat	diskuterte
discutat	diskuteres
discutat	diskutert
inutil	meningsløse
inutil	meningsløs
inutil	meningsløst
inutil	udugelig
inutil	ubrukelig
inutil	nytteløst
inutil	ubrukelige
rolling	ruller
rolling	rullende
rolling	rolling
explicație	forklaring
ritm	rytme
ritm	rhythm
hudson	hudson
placa	plakett
bursa	bursa
bursa	stipend
nori	skyene
nori	clouds
nori	skyer
edmund	edmund
mercedes	mercedes
intelectuali	intellektuelle
intelectuali	intellektuelle
intelectuali	intellektuell
împotrivă	mot
proprietari	eiere
protejat	beskyttet
protejat	beskyttes
ronald	ronald
alin	alin
colective	kollektivt
colective	kollektiv
colective	kollektivet
popularitate	popularitet
gândit	tanke
gândit	tenkte
gândit	trodde
homo	homo
homo	homser
homo	homofile
homo	homofil
homo	gay
castle	castle
castle	slott
droguri	stoff
droguri	dop
droguri	narkotika
droguri	narko
droguri	dop
droguri	rusmiddel
willem	willem
execuție	utførelse
execuție	henrettelse
jucând	spiller
jucând	spiler
generat	generert
generat	genereres
generat	genererte
succese	suksesser
succese	vellykket
succese	suksessen
succese	suksess
bratislava	bratislava
damasc	damaskus
nuvelă	roman
nuvelă	novella
morbihan	morbihan
publica	publisering
publica	publisere
card	kortet
card	card
reformei	reform
necunoscute	ukjent
necunoscute	ukjente
necunoscute	uvisst
filipine	philippines
filipine	filippinene
filipine	filippinenes
secundară	sekundær
carabus	carabus
promis	lovde
promis	lovet
promis	lovte
promis	lovt
rin	rin
rin	rhinen
rin	rhein
incident	hendelsen
semnificația	betydning
plecare	avreise
plecare	avgangen
plecare	avgang
memorii	memoarer
memorii	memoarer
gândire	tenking
gândire	tenkende
gândire	tenkning
gândire	tenker
identificate	identifisert
anatomia	anatomi
farmacie	apotek
farmacie	apotek
farmacie	apoteket
biți	bits
mexican	meksikansk
five	fem
five	five
portrete	portretter
pictate	malt
pictate	malte
aleksandr	aleksandr
aleksandr	aleksander
parcuri	parkene
parcuri	parker
parcuri	parks
pozitivă	positivt
pozitivă	positive
pozitivă	positiv
tipărit	trykte
tipărit	trykt
sângele	blod
sângele	blood
marchiz	marquis
yemen	jemen
yemen	jemenittiske
cântând	syngende
cântând	synger
cântând	synging
cântând	sang
stiluri	styles
stiluri	stiler
protejarea	beskytter
protejarea	beskytte
norvegian	norsk
norvegian	nordmann
norvegian	norwegian
norvegian	norske
împușcat	skutt
sălbatică	wild
sălbatică	vill
sălbatică	vilt
teamă	frykt
teamă	fear
teamă	redsel
statui	statuer
statui	statuene
sâmbătă	lørdag
sâmbătă	lørdagen
profesioniști	fagfolk
profesioniști	profesjonelle
profesioniști	proffer
irlandez	irske
irlandez	irish
irlandez	ire
irlandez	irsk
consilieri	rådgivere
consilieri	rådgivere
consilieri	rådgivere
bunica	farmor
bunica	bestemor
bunica	bestemor
bunica	farmor
bunica	mormor
bunica	bestemor
lituaniei	litauen
limitate	limited
limitate	begrenset
pereți	murer
pereți	vegger
sándor	sándor
cosmin	cosmin
perry	perry
sept	septum
sept	sept
distincție	skillet
platformă	plattformen
platformă	plattform
cronici	krønikene
rugăciune	bønn
luther	luther
personalitatea	personlighet
atelierul	workshop
atelierul	verksted
atelierul	verkstedet
cook	kokk
cook	kokke
cook	steker
cook	cook
cook	kokka
tara	fedreland
tara	landet
tara	land
tara	country
tara	tara
blois	blois
oleg	oleg
respectarea	samsvar
vama	skikker
vama	tollen
vama	toll
interimar	provisorisk
adult	voksen
adult	voksent
adult	voksne
împarte	split
împarte	delt
experimental	eksperimentell
experimental	eksperimentelt
dir	dir
logica	logikk
helsinki	helsingfors
helsinki	helsinki
julia	julia
mussolini	mussolini
scooby	scooby
faimos	berømte
faimos	berømt
nuntă	bryllup
magdalena	magdalena
anastasia	anastasija
anastasia	anastasia
studiourile	studios
bat	balltre
bat	bat
bat	flaggermus
apr	apr
mintea	sinn
mintea	mind
dmitri	dmitrij
dmitri	dmitrij
dmitri	dmitri
americanii	amerikanerne
americanii	amerikanere
alexei	alexei
alexei	aleksej
sârb	serbiske
sârb	serbisk
documentul	dokumentet
documentul	dokument
documentul	dokumentere
baba	baba
codreanu	codreanu
preocupat	bekymret
preocupat	urolig
brusc	plutselig
brusc	brått
brusc	brått
brusc	brå
brusc	plutselige
debehogne	debehogne
japonezi	japansk
inspirată	inspirert
inspirată	inspirerte
paraguay	paraguay
paraguay	paraguays
jennifer	jennifer
facto	facto
cantal	cantal
izolat	isolerte
izolat	isolert
berg	berg
anulat	kansellert
anulat	avlyst
anulat	avbrutt
anulat	annullert
anulat	kansellert
anulat	avbrutt
anulat	avlyst
evaluare	vurdering
evaluare	rating
evaluare	evaluering
evaluare	vurdering
asediu	beleiring
asediu	beleiringen
divizat	delt
divizat	splittet
divizat	split
divizat	delt
bergamo	bergamo
taxe	skatt
taxe	selvangivelsen
taxe	skatter
taxe	gebyr
taxe	gebyrer
taxe	avgifter
novo	novo
încurajat	oppfordret
încurajat	oppmuntret
enterprise	enterprise
inamic	fiende
vehicul	kjøretøy
botanică	botanikk
botanică	botanisk
arma	pistol
arma	gun
arma	revolver
diferențele	uenigheter
diferențele	forskjellene
diferențele	ulikheter
diferențele	forskjeller
servi	serve
servi	tjene
servi	tjen
hanul	vertshus
hanul	kro
presupus	antok
presupus	antatt
presupus	angivelig
presupus	visstnok
presupus	påståtte
presupus	påstått
presupus	antatt
presupus	antatt
nagy	nagy
musulmane	muslimske
musulmane	muslim
musulmane	muslimsk
modificată	modifisert
modificată	endret
arakan	arakan
rasa	breed
rasa	rase
rasa	oppdretter
rasa	kappløp
rasa	rase
rasa	race
restaurarea	restaurering
restaurarea	restaurasjonen
emerit	emeritus
cafenea	café
cafenea	cafe
cafenea	kafé
cafenea	café
cafenea	kafe
cafenea	kafé
permanente	permanente
permanente	permanent
vizibilă	synlig
vizibilă	synlige
asociație	forening
asociație	association
index	indeks
obișnuită	alminnelig
obișnuită	ordinær
obișnuită	ordinært
obișnuită	vanlig
moral	moralsk
kenneth	kenneth
trofee	trofeer
asigurări	forsikring
asigurări	forsikringer
dispute	tvister
