die	на
weer	знов
weer	знову
weer	погода
werk	роботи
werk	робота
werk	працюю
werk	працюють
werk	роботу
werk	робочий
werk	завдання
werk	робота
werk	werk
klein	малий
klein	малі
klein	маленькі
klein	мінор
klein	незначна
klein	молодший
klein	незначний
klein	молодші
klein	маленькі
oos	схід
hier	тут
tyd	тайм
tyd	час
geword	стануть
geword	стати
geword	стають
geword	став
geword	стали
geword	стало
vlag	прапором
vlag	прапорець
vlag	прапор
vlag	прапора
verskeie	різноманітні
verskeie	різні
verskeie	різні
verskeie	різне
verenigde	united
verenigde	юнайтед
mei	травнева
mei	травня
mei	травневі
mei	травні
mei	травень
wes	захід
wes	вест
vorm	форму
vorm	форма
staan	стоїть
staan	стоячи
staan	стоять
staan	стоїмо
staan	стенд
staan	stand
gereformeerde	квітку
isbn	isbn
genoem	згадала
genoem	згадав
genoem	згадував
dan	потім
dan	тоді
bevolking	населення
gemaak	зробила
gemaak	made
gebou	будівля
gebou	будівництво
gebou	будуємо
gebou	будівельні
gebou	будівлі
jare	роки
januarie	січні
januarie	січень
januarie	січня
januarie	підручник
januarie	ручний
januarie	ручна
januarie	ручне
januarie	вручну
januarie	довідок
junie	червня
junie	червні
junie	червень
amerikaanse	американський
amerikaanse	американець
amerikaanse	американські
amerikaanse	американська
amerikaanse	американської
slegs	лише
slegs	тільки
slegs	просто
slegs	щойно
nadat	після
april	квітень
april	квітня
april	квітні
lank	високий
lank	довгий
lank	хай
lank	лонг
lank	long
lank	довга
lank	довгі
gestig	заснував
gestig	засновано
oktober	жовтень
oktober	жовтня
oktober	жовтні
julie	липень
julie	липні
julie	липня
sedert	відтоді
sedert	відколи
sedert	запустили
sedert	розпочали
reeds	уже
reeds	вже
kaapstad	барселона
september	вересня
september	вересні
september	вересень
engels	англійською
engels	англійська
party	вечірка
party	партії
party	вечірки
party	партія
party	party
desember	грудень
desember	грудня
desember	грудні
maart	березні
maart	березень
maart	березня
alle	усі
alle	всі
alle	все
alle	всіх
augustus	серпні
augustus	серпня
augustus	серпень
februarie	лютому
februarie	лютий
februarie	лютого
gaan	їду
gaan	йдемо
nou	тепер
nou	зараз
meeste	найцікавіше
meeste	більшість
gebore	народження
gebore	народився
gebore	борн
gebore	народилась
gebore	народилася
provinsie	провінція
provinsie	графство
provinsie	повіт
provinsie	жупанія
provinsie	стан
provinsie	держава
universiteit	університет
beskou	розглянемо
beskou	вважайте
lewe	життя
lewe	лайф
vier	четвірка
vier	чотирьох
vier	чотири
november	листопаді
november	листопад
november	листопада
franse	френч
franse	французька
franse	французькою
franse	французький
dood	death
dood	смерть
dood	смерті
dood	помер
dood	померла
dood	мертвий
dood	dead
amptelike	офіційні
amptelike	офіційна
amptelike	офіційний
amptelike	офіційне
koning	кінг
koning	король
koning	цар
der	дер
moes	мали
moes	мав
dieselfde	збігається
dieselfde	однаковий
dieselfde	однакові
dieselfde	same
dieselfde	самий
wêreld	світовий
wêreld	світ
wêreld	світе
wêreld	world
volgende	наступний
volgende	наступна
volgende	next
volgende	наступне
volgende	далі
geleë	розташовані
geleë	знаходиться
geleë	розташовано
geleë	розташований
miljoen	мільйон
aantal	кількість
plaaslike	локальні
plaaslike	місцеві
plaaslike	локальна
plaaslike	локальний
plaaslike	місцевий
regs	правий
regs	права
regs	право
regs	праворуч
dikwels	часто
internasionale	міжнародний
internasionale	міжнародна
internasionale	міжнародні
internasionale	інтернаціонал
internasionale	міжнародне
eie	налаштувати
eie	власне
eie	власні
eie	власний
voëls	птахи
voëls	пташки
eers	перше
eers	перша
eers	перший
pretoria	преторія
steeds	still
steeds	ще
steeds	надалі
steeds	досі
groep	група
groep	групова
groep	груповий
groep	групу
groep	спільнота
stel	комплект
stel	встановити
stel	набір
stel	встановлено
stel	множина
sluit	вихід
sluit	вийти
sluit	закрити
sluit	близький
sluit	близько
sluit	близькі
sluit	закриття
frankryk	франції
frankryk	франція
frankryk	францію
naby	поблизу
naby	поруч
naby	поряд
naby	близько
naby	біля
naby	поблизу
naby	поруч
hoofstad	капітал
hoofstad	столиця
verwys	навели
verwys	дотримуйтесь
verwys	зверніться
state	стани
state	штати
water	вода
water	водні
water	водяний
water	водяне
einde	фініш
einde	завершити
einde	закінчити
einde	завершити
einde	кінець
einde	закінчити
einde	закінчиться
einde	закінчення
duitsland	німеччини
duitsland	німеччині
duitsland	німеччина
duitsland	німеччину
daarna	захоче
regering	правління
regering	уряд
elke	кожен
elke	кожні
kaap	мис
dae	днів
dae	дні
wanneer	коли
oorlog	війна
laaste	останній
laaste	остання
laaste	останнє
politieke	політичний
politieke	політичне
politieke	політична
politieke	політичні
besluit	вирішує
besluit	рішенням
besluit	рішення
besluit	вирішили
besluit	вирішив
besluit	вирішила
besluit	вирішувати
besluit	вирішуйте
besluit	вирішити
besluit	визначитися
ryk	імперія
ryk	багаті
ryk	багатий
ryk	rich
sommige	дехто
sommige	деякі
sommige	якесь
sommige	якийсь
sommige	трохи
gewoonlik	зазвичай
gewoonlik	зазвичай
afrikaans	африкаанс
geskiedenis	журнал
geskiedenis	історія
geskiedenis	історії
vis	риб
vis	риба
vis	рибу
vis	рибка
vis	риби
plaas	ферма
plaas	дописі
plaas	опублікувати
plaas	допис
plaas	допису
wikipedia	вікіпедія
wetenskaplike	вчений
wetenskaplike	науковець
wetenskaplike	науковий
wetenskaplike	наукових
wetenskaplike	наукова
ontwikkel	розробили
ontwikkel	розроблений
ontwikkel	розроблено
ontwikkel	розвивати
ontwikkel	розробка
lande	країн
lande	країни
seun	хлопчик
seun	закохалася
seun	сина
seun	сину
seun	син
algemene	загальні
algemene	генерал
algemene	загальний
algemene	загальне
verskillende	different
verskillende	інше
verskillende	різні
verskillende	різних
verskillende	відмінні
ontstaan	сталася
ontstaan	сталась
ontstaan	трапилась
europa	європу
europa	європа
europa	європі
stadion	стадіон
stadion	стедіум
belangrike	важлива
belangrike	важливі
belangrike	важливий
belangrike	важливе
belangrike	важливо
kinders	діти
kinders	дітям
kinders	дітьми
kinders	дітлахи
kinders	дітки
kinders	діти
kinders	дітьми
kinders	дітей
gedurende	підчас
neem	візьму
neem	бери
neem	візьми
neem	взяти
vertaal	переклад
vertaal	перекласти
vertaal	перекладати
munisipaliteit	муніципалітет
munisipaliteit	край
tans	тепер
tans	зараз
tans	зараз
tans	наразі
tans	сьогодення
tans	подарунок
tans	теперішній
tans	присутні
tans	присутня
republiek	республіка
kort	short
kort	короткий
kort	коротка
kort	скорочено
kort	коротке
kort	короткі
self	власна
self	власний
verder	далі
mens	людина
mens	людський
plek	місце
ongeveer	приблизно
binne	inside
binne	всередині
swart	чорні
swart	чорне
swart	чорна
swart	чорний
europese	європейський
europese	європейські
europese	європейська
moontlik	можливе
moontlik	можливо
moontlik	можлива
selfs	навіть
selfs	даже
enige	якісь
gehou	подобалось
gehou	терпів
gehou	сподобався
gehou	сподобалося
tydperk	тривалість
maande	місяці
maande	місяцями
maande	місяців
skool	школа
skool	училище
per	пер
vroeë	рання
vroeë	рано
vroeë	раннє
vroeë	ранній
familie	сімейство
familie	сімейний
familie	сімейні
familie	родина
voorkom	запобігти
voorkom	запобігати
mag	травнева
mag	травня
mag	травневі
mag	травні
mag	травень
geneem	taken
geneem	взято
geneem	забрала
geneem	зроблено
hoe	як
eiland	острів
volg	доріжки
volg	трек
volg	композицію
volg	доріжка
volg	композиція
volg	стежити
volg	слідувати
volg	стежити
volg	такі
volg	стежать
soms	інколи
soms	деколи
soms	іноді
engeland	англія
johannes	йоганнес
johannes	джон
johannes	іоанн
johannes	іван
sonder	без
ontwerp	проектування
ontwerp	дизайн
ontwerp	розробка
aarde	землею
aarde	earth
aarde	землі
aarde	земля
gee	віддам
gee	дайте
gee	надати
kry	отримати
kry	get
paar	кілька
paar	небагато
rol	ролі
rol	роль
rol	рол
rol	roll
rol	кинути
vrou	жінка
vrou	дружині
vrou	дружина
gebiede	територій
gebiede	області
gebiede	ділянки
gebiede	територіях
gebiede	площі
gebiede	районів
derde	третє
derde	третій
derde	третя
dag	день
dag	дню
dag	дня
john	джон
john	іоанн
john	іван
moderne	сучасні
moderne	сучасно
moderne	сучасний
moderne	сучасне
woord	словом
woord	слово
groter	точніше
groter	більший
groter	більше
president	президент
president	президенти
koninkryk	царство
koninkryk	kingdom
koninkryk	королівство
tale	мови
tale	мов
ontvang	отримувати
ontvang	отримано
ontvang	отримані
ontvang	отриманий
ontvang	отримали
ontvang	отримала
ontvang	отримання
bly	блай
bly	радий
bly	раді
bly	залишитися
bly	залишатися
bly	stay
amerika	америка
hoewel	хоча
webwerf	сайті
webwerf	сайт
staat	стан
staat	держава
staat	аркуш
weens	через
vandag	сьогодні
daardie	ті
daardie	тих
daardie	тими
ekonomiese	економічне
ekonomiese	економічні
ekonomiese	економічна
ekonomiese	економічний
ekonomiese	корупцію
aanvaar	прийнято
aanvaar	прийняті
aanvaar	прийняли
aanvaar	прийнятий
aanvaar	прийняти
aanvaar	прийміть
aanvaar	приймаємо
aanvaar	погодитися
aanvaar	приймаю
hou	затримати
hou	тримай
hou	тримай
geskryf	писав
geskryf	записано
geskryf	написано
geskryf	записані
geskryf	спалили
hele	ціла
hele	цілу
hele	цілий
hele	ціла
bevat	містить
bevat	містяться
skrywer	writer
skrywer	письменник
skrywer	автор
skrywer	автора
skrywer	автором
see	сенека
see	море
verander	скасувати
verander	зміни
verander	зміна
verander	змінити
verander	зміна
verander	change
verander	змінити
bereik	охоплення
bereik	досягнуто
bereik	досягли
bereik	досягнув
bereik	досягла
russiese	російська
russiese	російською
russiese	російську
weg	відійшов
weg	відсутність
weg	away
weg	геть
inwoners	мешканці
inwoners	мешканців
beteken	засоби
beteken	означають
beteken	середнє
man	чоловік
man	чоловіка
man	людина
man	чоловік
man	мужчина
man	man
huis	дім
huis	домівка
huis	домашній
huis	додому
huis	хати
huis	будинок
besoek	враження
besoek	відвідання
besoek	візит
besoek	завітати
besoek	відвідайте
besoek	відвідування
besoek	відвідала
besoek	відвідали
besoek	відвідав
besoek	відвідував
administratiewe	адміністративні
administratiewe	адміністративний
administratiewe	адміністративне
drieë	троє
bekende	відома
bekende	знамениті
bekende	відомий
bekende	знаменитий
gespeel	грали
gespeel	грала
gespeel	грав
beste	кращий
beste	найкраща
beste	найкращий
beste	найкраще
beste	найкращі
rusland	росії
rusland	росію
rusland	росія
kerke	церкви
kerke	церквах
kerke	храми
kerke	церков
rooi	червоні
rooi	червона
rooi	ред
rooi	червоний
rooi	червоне
rooi	червоні
skryf	записати
skryf	напишіть
skryf	пишіть
skryf	виписати
skryf	написати
skryf	спалити
skryf	записати
skryf	burn
wie	хто
wie	who
visse	рибки
visse	риби
suidelike	південна
suidelike	південний
romeinse	роман
alhoewel	хоча
gekry	знайшов
gekry	знайдено
gekry	знайшовся
gekry	знайшла
gekry	знайдені
gekom	вирушив
hoë	високий
hoë	висока
hoë	значне
hoë	високе
hoë	високі
sterk	сильним
sterk	сильні
sterk	сильною
sterk	сильний
sterk	сильна
africa	африка
londen	лондонський
londen	london
londen	лондон
reeks	серія
reeks	серії
reeks	ряд
reeks	ряди
eilande	острови
belangrikste	основний
belangrikste	основне
belangrikste	основна
speel	відтворити
speel	грати
speel	програти
speel	програвання
speel	відтворення
speel	грає
speel	програвання
speel	відтворення
wel	добре
wel	well
wel	ну
wel	імхо
bou	зібрати
bou	збирання
bou	побудувати
bou	будувати
wil	вимагаємо
wil	хочу
wil	хочеш
minder	менше
gelei	повів
gelei	led
gelei	лампочка
stigting	засновники
stigting	заснування
stigting	формування
stigting	зборі
gegee	вказаний
gegee	дано
gegee	надано
gegee	даного
beskryf	описати
streek	ділянку
streek	регіон
streek	районної
streek	обласний
streek	регіональні
streek	регіональний
gesien	бачили
gesien	бачив
rivier	річка
rivier	ріка
mees	найцікавіше
mees	більшість
jan	ян
ses	шість
ses	шестеро
grond	ґрунту
grond	ґрунт
grond	земля
grond	земля
grond	землею
grond	землю
spesies	виді
spesies	вид
spesies	види
beroep	професія
png	png
verklaar	заявила
verklaar	оголосив
verklaar	оголошені
gedoen	зроблено
gedoen	закінчили
gedoen	виконано
gedoen	готово
gedoen	done
lede	учасники
lede	члени
george	георгій
george	георгія
george	джордж
george	георг
iii	ііі
iii	iii
meter	метр
meter	метрах
meter	метрів
meter	метри
meter	метрів
meter	метри
persent	відсотки
persent	відсотків
persent	відсоток
historiese	історичний
historiese	історичної
historiese	історичні
historiese	історична
historiese	історичне
historiese	історичні
nederland	нідерланди
nederland	нідерландах
nederland	нідерландів
minister	міністр
minister	міністру
span	команда
ontwikkeling	розвитку
ontwikkeling	розвиток
ontwikkeling	розробка
dele	частини
dele	частинами
frans	френч
frans	французька
frans	французькою
frans	французький
distrik	улус
distrik	округ
distrik	нохія
distrik	район
gewen	здобула
gewen	переміг
gewen	виграв
gewen	вон
gewen	виграли
god	божі
god	боже
god	бога
god	бог
god	богу
japan	японія
japan	японію
japan	японії
pad	дорожні
pad	дорога
oorlede	помер
oorlede	померла
militêre	військові
militêre	військовий
inligting	відомості
inligting	інформація
paul	пол
paul	пауль
paul	павло
veroorsaak	призвела
veroorsaak	викликала
veroorsaak	завдали
veroorsaak	викликає
veroorsaak	спричинити
veroorsaak	причина
veroorsaak	причиною
ontdek	знайдіть
oorspronklike	оригінал
oorspronklike	оригінальна
oorspronklike	оригінальне
oorspronklike	початкове
oorspronklike	оригінальний
katolieke	католицька
keiser	імператор
boek	книжка
boek	книжечки
boek	книга
boek	книги
artikels	статті
artikels	статтями
artikels	статей
artikels	розділи
opgerig	побудовано
opgerig	проведена
aanvanklik	спочатку
sowel	обоє
sowel	обидва
sowel	обох
sowel	обидві
sowel	обом
sowel	добре
sowel	well
sowel	ну
sowel	імхо
goed	хороші
goed	гарні
goed	добрий
goed	добре
goed	добре
goed	well
goed	ну
goed	імхо
kalender	календар
wet	закон
wet	право
wet	діяти
wet	акт
beide	обоє
beide	обидва
beide	обох
beide	обидві
beide	обом
goeie	хороші
goeie	гарні
goeie	добрий
goeie	добре
val	крапля
val	викинути
val	скинути
val	кинути
val	падати
val	осінь
val	fall
val	падіння
vsa	сша
vsa	usa
hendrik	гендрік
beheer	контроль
beheer	контрольна
beheer	керування
http	http
terug	back
terug	назад
terug	ззаду
terug	повернулася
terug	спина
min	мін
min	хв
predikant	духовенство
predikant	священики
gevind	знайшов
gevind	знайдено
gevind	знайшовся
gevind	знайшла
gevind	знайдені
verkies	перевага
verkies	послугу
verkies	послуга
verkies	ласку
omgewing	середовища
omgewing	середовище
omgewing	область
omgewing	ділянка
omgewing	площа
omgewing	місцевість
lid	член
lid	учасник
lid	учасника
lid	члена
voormalige	колишні
voormalige	колишній
park	парк
grens	рамки
grens	обрамлення
grens	межа
grens	кордон
grens	рамка
skeidsregter	арбітр
skeidsregter	рефері
oudste	найстаріших
sekere	певних
sekere	певні
sekere	конкретний
sekere	певна
data	дані
data	data
jong	янг
jong	молода
jong	молоді
jong	молодою
jong	молодий
jong	молодим
noorde	північна
noorde	норт
noorde	північний
noorde	північ
uiteindelik	нарешті
buite	ззовні
buite	надворі
buite	поза
buite	зовні
buite	надворі
invloed	перебіг
invloed	впливати
invloed	вплив
ouderdom	віці
ouderdom	вік
ouderdom	ера
ouderdom	доба
diens	служби
diens	service
diens	служба
diens	послуга
diens	сервіс
blou	blue
blou	блакитні
blou	блакитний
blou	блакитна
blou	синій
blou	сині
blou	виростають
blou	рости
blou	вирощують
blou	ростуть
blou	розмивання
noordelike	північна
noordelike	північний
noordelike	північне
vind	пошук
vind	знайти
vind	знайдіть
vind	find
woorde	слів
woorde	слова
verkiesing	вибори
verbind	підключитися
geval	регістр
geval	справа
geval	випадок
geval	випадку
unie	union
unie	союз
unie	юніон
griekse	грецька
griekse	грецький
griekse	грецьке
griekse	грек
griekse	грецькі
behoort	належить
behoort	належать
werke	завдання
werke	задачі
werke	джобс
sterre	розпалює
sterre	іскри
sterre	барів
sterre	смужки
sterre	бари
sterre	гратами
sterre	бруси
sterre	зірки
natal	наталь
jou	твій
jou	твоя
jou	твої
jou	твоє
jou	ваша
jou	ваші
slag	battle
slag	битва
slag	бій
deelstaat	стан
deelstaat	держава
oseaan	океан
son	нд
son	сонця
son	сонцю
son	sun
son	сонце
help	допоможіть
help	допомогти
help	допомога
help	довідка
help	допомогу
museum	museum
museum	музей
want	адже
want	бо
gregoriaanse	григоріанський
probeer	спробувати
probeer	try
probeer	спробуйте
bome	дерев
bome	дерева
gemeentes	парафій
voltooi	завершено
voltooi	завершені
voltooi	виконано
voltooi	фініш
voltooi	завершити
voltooi	закінчити
voltooi	зроблено
voltooi	закінчили
voltooi	виконано
voltooi	готово
voltooi	done
voltooi	завершене
voltooi	завершити
voltooi	повний
voltooi	завершення
voltooi	завершений
kilometer	кілометр
kilometer	кілометри
kilometer	кілометри
stelsel	система
stelsel	системи
stelsel	системний
stelsel	системне
stelsel	системна
raad	порада
raad	пораду
raad	поради
raad	рада
raad	ради
hoogste	найвища
hoogste	найвищий
dorpe	містами
gebly	жили
gebly	жила
gebly	жив
stede	міста
stede	городи
stede	містах
stede	міст
klub	club
klub	клуб
vader	батька
vader	батько
vader	батьку
vader	отець
ster	зоря
ster	зірочки
ster	зоряні
ster	зірка
almal	everybody
almal	усі
almal	усі
almal	всі
almal	все
almal	всіх
almal	всім
almal	усіх
almal	усі
almal	усім
almal	всіх
australië	австралія
australië	australia
australië	австралії
vanuit	від
skakel	посиланням
skakel	посилання
skakel	link
skakel	лінк
skakel	дзвінок
skakel	зателефонувати
skakel	виклик
skakel	гіперпосилання
genus	рід
weke	тижні
weke	тижнів
lyk	виглядає
york	йорк
generaal	загальні
generaal	генерал
generaal	загальний
generaal	загальне
sint	сінт
vergadering	засідання
vergadering	нарада
vergadering	зустрічі
vergadering	зустріч
orde	замовити
orde	ордер
orde	наказ
orde	порядок
loop	ходити
loop	прогулянка
loop	прогулянки
nooit	никогда
nooit	ніколи
nooit	never
antieke	давніх
antieke	стародавні
antieke	давні
antieke	стародавній
antieke	давній
musiek	музика
musiek	музики
musiek	музик
musiek	музиці
musiek	музику
willem	віллем
willem	вільям
rooms	кімнат
rooms	кімнати
uitgawe	редакція
uitgawe	видання
verkry	придбані
verkry	отримання
william	вільям
verkoop	продати
verkoop	продавати
verkoop	продано
verkoop	продаж
voël	птахи
voël	птаха
voël	пташка
voël	птах
sjina	china
sjina	китаї
sjina	китаю
sjina	китай
dien	служити
dien	подаємо
dien	подавати
dien	надіслати
dien	відправка
dien	подати
james	джеймс
italië	італії
italië	італія
italië	італію
duits	німецька
duits	німець
duits	герман
duits	німецькою
duits	німецький
vierde	четверта
vierde	четвертий
vierde	четверте
hoër	вищу
hoër	вищий
hoër	вище
hoër	вищі
hoër	вища
lei	лід
lei	свинець
lei	ведучий
lei	ліда
groei	росту
groei	зростання
groei	ріст
gestel	комплект
gestel	встановити
gestel	набір
gestel	встановлено
gestel	множина
eerder	натомість
eerder	замість
kleiner	меншим
kleiner	менша
kleiner	менший
kleiner	менше
kleiner	менші
foto	світлину
foto	світлина
foto	світлині
foto	фото
gevestig	встановлено
gevestig	подальшому
gevestig	заснований
verloor	втрачений
verloor	програв
verloor	lost
sewe	сім
sewe	сімка
handel	торгівлі
handel	торгівля
oorspronklik	оригінал
oorspronklik	оригінальна
oorspronklik	оригінальне
oorspronklik	початкове
oorspronklik	оригінальний
voorbeeld	зразки
voorbeeld	зразок
voorbeeld	приклад
voorbeeld	зразка
voorbeeld	примірник
voorbeeld	екземпляр
voorbeeld	приклад
voorbeeld	прикладу
voorsitter	крісло
voorsitter	стілець
sterf	загине
sterf	die
sterf	померти
nederlands	нідерландська
nederlands	голландська
verskil	різниця
verskil	різниці
sentraal	central
sentraal	центральний
sentraal	центральна
oppervlakte	область
oppervlakte	ділянка
oppervlakte	площа
oppervlakte	місцевість
bevestig	перевірено
bevestig	підтвердити
crystal	ясні
crystal	кристал
bepaal	рішуче
bepaal	визначає
indiese	індійська
indiese	індійський
klas	клас
lughawe	бункер
lughawe	аеропорт
louis	людовик
louis	луї
louis	луїс
vertoon	розкривати
vertoon	відображено
vertoon	відображення
vertoon	дисплей
vertoon	показати
vertoon	показ
vertoon	показувати
vertoon	показаний
vertoon	показана
vertoon	показані
vertoon	відображено
vertoon	показано
colspan	colspan
altyd	завжди
lig	світлі
lig	світле
lig	light
lig	світло
lig	світлий
lig	складати
lig	підняти
txt	txt
punt	крапка
punt	точка
punt	точку
punt	point
vroue	жінок
vroue	жінки
kant	ребро
kant	край
kant	ребра
kant	edge
kant	збоку
kant	сторона
kant	бічна
kant	бік
kant	сторони
betrokke	заручена
betrokke	вивели
wou	хотів
wou	захотіли
wou	хотіли
wou	хотіла
rome	рим
week	тиждень
reg	закон
reg	право
stadium	стадія
prof	prof
prof	проф
vervaardig	ролик
vervaardig	виготовлення
vervaardig	виробляють
geskep	створено
geskep	створені
geskep	створене
geskep	створена
plaasgevind	сталася
plaasgevind	сталась
plaasgevind	трапилась
elizabeth	єлизавета
elizabeth	елізабет
parys	paris
parys	париж
openbare	публічний
openbare	громадське
openbare	паблік
openbare	відкритий
openbare	публічна
openbare	громадського
oud	старі
oud	старе
oud	старим
oud	стара
oud	старий
beskikbaar	доступні
beskikbaar	доступний
beskikbaar	наявні
beskikbaar	наявний
beskikbaar	безрезультатно
dui	вказують
dui	позначають
akteur	актор
sentrale	central
sentrale	центральний
sentrale	центральна
totale	усього
totale	всього
totale	загалом
totale	загальна
totale	загальний
behaal	досягнення
natuurlike	натуральний
natuurlike	натуральна
natuurlike	натуральні
natuurlike	природний
natuurlike	природні
bied	пропозиція
bied	пропонуємо
amptelik	офіційні
amptelik	офіційна
amptelik	офіційний
amptelik	офіційне
indië	індію
indië	індія
indië	індії
loopbaan	кар
skep	створення
skep	створити
olimpiese	олімпіади
olimpiese	олімпійська
olimpiese	олімпійський
olimpiese	олімпійські
dogter	донька
dogter	дочка
dra	нести
dra	возять
hoof	головний
hoof	основне
hoof	головна
hoof	головні
hoof	головне
druk	преса
druk	натиснути
druk	прес
druk	press
druk	тиск
verteenwoordig	представлено
verteenwoordig	представляє
verteenwoordig	представляють
verteenwoordig	представляти
boeke	книжки
boeke	книг
boeke	книги
meestal	здебільшого
meestal	переважно
geplaas	опубліковано
geplaas	опубліковані
albei	обоє
albei	обидва
albei	обох
albei	обидві
albei	обом
etniese	національну
etniese	етно
etniese	етнічна
kus	узбережжя
kus	берег
gepubliseer	жити
gepubliseer	live
gepubliseer	наживо
gepubliseer	живу
gepubliseer	трансляція
gepubliseer	опублікований
gepubliseer	оприлюднено
gepubliseer	опубліковано
super	супер
kuns	арт
kuns	мистецтво
kuns	художня
bring	принести
bring	принесе
bring	привезти
geld	гроші
erken	визнаю
erken	визнати
erken	підтвердити
verdere	далі
maria	мері
maria	марічка
maria	маріє
maria	марія
leier	ватажок
leier	лідер
boom	дерево
boom	ялинки
boom	boom
boom	бум
rolprent	фільм
rolprent	кіно
rolprent	фільм
rolprent	плівка
westelike	західний
westelike	західні
westelike	західна
kanada	канаді
kanada	канади
kanada	канаду
kanada	канада
tradisionele	традиційними
tradisionele	традиційний
tradisionele	традиційні
tradisionele	традиційна
tradisionele	традиційне
national	національна
national	націонал
national	національне
national	національний
national	національні
verdeel	ділення
verdeel	поділити
pole	польщу
pole	польща
pole	польщі
beweging	русі
beweging	рух
beweging	рух
russies	російська
russies	російською
russies	російську
russies	тунісі
russies	туніс
russies	тунісу
russies	луїзіана
gelê	ведуться
japannese	японська
japannese	японський
japannese	японці
japannese	японські
diere	звірі
diere	тварини
beter	краща
beter	better
beter	краще
beter	кращі
punte	точки
punte	очки
punte	пункти
punte	очок
punte	балів
kulturele	культурний
kulturele	культурні
beperk	обмежено
beperk	обмежений
beperk	ліміт
beperk	межа
beperk	обмежити
beperk	обмеження
beperk	обмежені
beperk	обмежений
beperk	обмежена
liggaam	тіло
liggaam	тіла
wen	win
wen	переможе
basis	основа
basis	базова
basis	база
basis	основою
basis	базовий
verlaat	залиште
verlaat	leave
verlaat	залишити
verlaat	вихід
verlaat	виходу
verlaat	вийти
white	білий
white	біла
white	біле
white	білі
white	вайт
red	врятувати
red	рятівник
red	порятунок
spanje	іспанію
spanje	іспанія
spanje	іспанії
magte	сил
magte	сили
magte	військах
geraak	задіяні
geraak	ураження
goewerneur	губернатора
goewerneur	губернатор
kultuur	культура
