dahlgren	ダールグレン
uggla	ふくろう
summan	合計
summan	総和
aspekter	側面
vätska	溶剤
vätska	流体
vätska	液体
förespråkade	提唱
glada	ハッピー
glada	幸せ
banco	バンコ
bog	ボウ
bog	お辞儀
bog	おじぎ
bog	船首
bog	ボグ
torpet	コテージ
kara	カラ
arboga	クウェート
marine	マリン
cork	コルク
cork	コーク
flowers	お花
sas	sas
fysiskt	フィジカル
fysiskt	物理
moment	moment
moment	瞬間
moment	モーメント
utgrävningar	発掘
connor	コナー
graz	グラーツ
princess	王女
princess	プリンセス
grote	grote
hannibal	ハンニバル
darwin	ダーウィン
irwin	アーウィン
tillräcklig	足りる
positioner	ポジション
duett	デュエット
wii	wii
leonardo	レオナルド
femma	フィフス
draken	ドラゴン
industriella	工業
kärna	カーネル
kärna	原子核
kärna	コア
kärna	core
segovia	セゴビア
översätta	翻訳
översätta	翻訳
norton	ノートン
dorothy	ドロシー
mlb	mlb
tveksam	疑わしい
tveksam	疑わしい
tveksam	疑念
kane	ケーン
fabriker	工場
frost	フロスト
tan	タン
pau	pau
smalare	シンナー
smalare	狭い
slutliga	最終
slutliga	決勝
slutliga	ファイナル
malawi	マラウイ
upphovsman	作家
upphovsman	著者
upphovsman	作者
sylvain	シルヴァン
barbus	バーブ
jagar	ハント
jagar	狩り
jagar	狩り
jagar	ハンティング
jagar	狩猟
aktier	株式
aktier	シェア
mercury	水星
mercury	マーキュリー
mercury	水銀
varm	あったかい
varm	暖かい
varm	温かい
journalister	リポーター
journalister	ジャーナリスト
buskar	低木
buskar	低木
illustration	イラスト
bruins	ブルーインズ
skatter	宝物
skatter	財宝
skatter	宝物
skatter	税金
derek	デレック
derek	デレク
jackie	ジャッキー
webster	ウェブスター
troll	トロール
troll	トロール
troll	ゴブリン
komplex	コンプレックス
komplex	錯体
komplex	複雑
påståenden	債権
påståenden	言明
behandlingen	トリートメント
behandlingen	待遇
behandlingen	治療
matti	マッティ
matti	マッティア
senat	元老院
albrecht	アルブレヒト
eda	江田
mikronesien	fsm
mikronesien	ミクロネシア
gallen	gallen
angels	エンジェルス
angels	天使
frågar	たずねる
huvudkontoret	本社
huvudkontoret	本部
huvudkontoret	司令部
kul	楽しい
kul	面白い
raven	レイヴン
hoffmann	ホフマン
track	トラック
thorell	thorell
grevinnan	伯爵夫人
markerade	ハイライト
växellåda	伝送
mutant	ミュータント
komponenter	コンポーネント
anpassa	カスタマイズ
anpassa	カスタマイズ
anpassa	調整
anpassa	configure
anpassa	設定
anpassa	適応
kasta	出演
kasta	キャスト
kasta	ギプス
kasta	投げる
kasta	破棄
sultan	スルタン
sultan	スルターン
väsen	エッセンス
väsen	本質
väsen	エンティティ
väsen	実体
godfrey	ゴドフリー
voice	ボイス
voice	音声
arrangör	主催
tungt	重い
tungt	ヘビー
konsul	領事
konsul	執政官
lön	給料
lön	俸給
lön	給与
lön	賃金
lön	報酬
lön	給与
lön	賃金
peruviana	peruviana
medvetet	意識
medvetet	わざと
maraton	マラソン
pratar	トーキング
blanda	mix
blanda	ミックス
blanda	混ぜる
blanda	シャッフル
attacker	攻撃
bön	祈り
bön	礼拝
bön	祈祷
bologna	ボローニャ
tyrrell	タイレル
meddelanden	通信
meddelanden	コミュニケーション
meddelanden	メッセージ
meddelanden	通知
meddelanden	お知らせ
moderata	中道
reporter	リポーター
reporter	レポーター
gross	グロス
jemen	イエメン
jemen	イエメン
shell	シェル
jeffrey	ジェフリー
moderat	中道
autonom	自律
muhammed	ムハンマド
muhammed	モハメッド
ökning	増加
ökning	増額
ökning	増やす
ökning	増分
ökning	インクリメント
toner	音色
toner	トナー
jam	ジャム
anseende	評判
stänga	閉じる
stänga	クローズ
stänga	閉会
allting	すべて
allting	全て
gil	ギル
opposition	野党
zone	ゾーン
zone	zone
näringsliv	営業
näringsliv	事業
näringsliv	ビジネス
näringsliv	エンタープライズ
näringsliv	企業
dell	デル
dell	dell
signe	signe
allvarlig	深刻
allvarlig	重度
helikopter	ヘリコプター
helikopter	チョッパー
förlora	失う
bevisa	証明
utbyggnad	延長
utbyggnad	内線
utbyggnad	膨張
omar	オマール
buena	ブエナ
broken	壊れた
hallen	廊下
hallen	ホール
model	モデル
misstänkt	不審
inblandning	関与
inblandning	干渉
modo	modo
para	パラ
rebecca	レベッカ
sporten	スポーツ
josephine	ジョゼフィーヌ
ursäkt	謝罪
randy	ランディ
uttrycka	エクスプレス
uttrycka	急行
virus	バイラル
virus	ウィルス
virus	ウイルス
virus	ウィルス
virus	ウイルス
floderna	河川
elektroniska	エレクトロニック
joyce	ジョイス
dialog	台詞
simning	スイミング
simning	競泳
simning	水泳
symtom	症状
symtom	徴候
kids	子供
kids	キッズ
sing	歌う
sing	sing
dana	ダナ
kören	合唱
asura	アスラ
individuell	個人
individuell	個別
chambers	チェンバーズ
chambers	チェンバース
avgång	辞表
avgång	辞任
avgång	辞職
avgång	出発
definitionen	定義
kull	ごみ
mynning	orifice
freedom	freedom
freedom	自由
däck	タイヤ
däck	甲板
däck	デッキ
däck	タイヤ
rättvisa	正義
hero	ヒーロー
övergripande	水平
övergripande	全体
anländer	到着
studerar	勉強
lov	lov
singh	シング
dagligen	デイリー
afrikansk	アフリカ
skådespel	スペクタクル
klockor	腕時計
kontinuerligt	連続
manfred	マンフレート
cuenca	クエンカ
kostnad	費用
kostnad	原価
kostnad	コスト
hanarna	オス
muir	ミューア
stycket	段落
chuck	チャック
konventionen	コンベンション
konventionen	大会
diablo	ディアブロ
future	フューチャー
future	未来
future	将来
train	電車
train	列車
train	トレイン
brasilianska	ブラジル
brasilianska	ブラジル
golvet	フロア
agerande	アクション
täta	濃密
täta	頻繁
förhandlingarna	交渉
krigen	戦争
krigen	ウォーズ
valeriana	ヴァレリアン
mass	ミサ
mass	質量
yngste	最年少
kapellmästare	楽長
höst	落ちる
höst	落下
irving	アーヴィング
historiken	履歴
historiken	由緒
historiken	歴史
historiken	沿革
lou	ルー
unikt	ユニーク
unikt	独特
droger	ドラッグ
droger	薬物
melodier	メロディ
banker	バンクス
rufus	ルーファス
sändebud	使徒
sändebud	使者
grundande	財団
grundande	ファンデーション
grundande	ファウンデーション
grundande	創設
permanenta	パーマネント
placeringar	投資
placeringar	配置
anklagade	被告人
marknadsföring	マーケティング
marknadsföring	プロモーション
marknadsföring	宣伝
etablerad	設立
protestantiska	プロテスタント
grafik	グラフィック
grafik	グラフィック
grafik	グラフィックス
tittare	ビューア
ärenden	事例
ärenden	ケース
ärenden	用事
stammen	部族
granskning	レビュー
granskning	審査
granskning	精査
mur	ウォール
korsning	クロッシング
korsning	交差点
möbler	家具
kostnader	費用
kostnader	原価
kostnader	コスト
kostnader	費用
kostnader	経費
kostnader	費用
kostnader	コスト
försvunnen	失踪
upplevde	経験
binder	バインダー
herrgården	マンション
xysticus	xysticus
skriftliga	筆記
novgorod	ノヴゴロド
liang	リャン
lust	欲望
lust	性欲
korsningen	交差点
sunset	夕焼け
sunset	日没
benson	ベンソン
feel	感じる
feel	feel
feel	フィール
gerard	ジェラード
variabel	変数
variabel	可変
mhnt	mhnt
uppskattade	推定
gibraltar	ジブラルタル
anklagades	被告人
panorama	パノラマ
panorama	パノラマ
flygning	飛ぶ
flygning	フライング
flygning	フライト
flygning	飛行
circle	サークル
samarbetar	協働
avlägsna	遠い
avlägsna	リモート
avlägsna	削除
avlägsna	取り除く
avenue	アベニュー
kåren	軍団
dec	dec
roosevelt	ルーズベルト
medium	ミディアム
medium	メディア
mhz	mhz
points	ポイント
vistelse	住居
vistelse	居所
vistelse	滞在
vistelse	ステイ
ambassaden	大使館
unesco	ユネスコ
depression	うつ病
begravning	埋葬
begravning	葬式
begravning	葬儀
wirth	ヴィルト
nordlig	ノーザン
nordlig	北方
nordlig	北部
kopior	コピー
kopior	部数
cykel	サイクリング
cykel	バイク
cykel	自転車
cykel	自転車
cykel	サイクル
arg	怒り
arg	マッド
arg	mad
regimen	政権
alessandro	アレッサンドロ
motivet	動機
inspirerat	インスパイア
jesse	ジェシー
baryton	バリトン
hållning	スタンス
hållning	姿勢
inträde	エントリー
inträde	エントリ
inträde	入場
inträde	入学
inträde	入園
camilla	カミーラ
samverkan	相互作用
symptom	症状
symptom	徴候
motsatsen	反対
dif	dif
våningen	フロア
fixa	フィックス
fixa	修正
vägg	ウォール
trycka	印刷
tunneln	トンネル
vinyl	ビニール
software	ソフトウエア
software	ソフトウェア
ståndpunkt	位置
ståndpunkt	ポジション
ståndpunkt	役職
hjul	ホイール
hjul	車輪
hjul	ホイール
hjul	車輪
frances	フランセス
dragspel	アコーディオン
korsar	クロッシング
ames	エイムズ
förväntas	期待
omloppsbana	軌道
uppsättningar	集合
uppsättningar	セット
invandrare	移民
invandrare	移民
josh	ジョシュ
märkt	烙印
tänk	シンク
brad	ブラッド
modernt	モダン
españa	エスパーニャ
redskap	歯車
redskap	ギア
sammansatt	コンポジット
sammansatt	複合
sammansatt	化合物
affär	情事
affär	浮気
etapper	舞台
etapper	ステージ
fäste	ドリュー
bitter	苦い
bitter	ビター
gladiolus	グラジオラス
nomineringar	ノミネート
nåd	慈悲
nåd	マーシー
nåd	恩寵
nåd	グレース
nåd	グレイス
colón	コロン
varna	ヴァルナ
globen	グローブ
kämpar	ファイティング
dickson	ディクソン
utöva	運動
utöva	行使
utöva	エクササイズ
formatet	フォーマット
formatet	書式
meningar	フレーズ
varg	ウルフ
varg	オオカミ
false	false
false	虚偽
ester	エステル
sämsta	最悪
fira	お祝い
fira	祝う
collin	コリン
department	部署
department	学科
department	部門
musikal	ミュージカル
dee	ディー
speed	速度
speed	スピード
date	デート
date	日付
ingång	エントリー
ingång	エントリ
ingång	入学
ingång	玄関
ingång	入口
ingång	入り口
platta	フラット
grunder	根拠
grunder	事由
add	追加
add	加算
early	アーリー
early	早い
avdelningar	学科
avdelningar	チェンバーズ
avdelningar	チェンバース
alperna	アルプス山脈
alperna	アルプス
alperna	高山
fat	バレル
bortsett	apart
lägret	camp
lägret	キャンプ
ibm	ibm
abbey	修道院
hud	スキン
hud	皮膚
frivillig	任意
frivillig	ボランティア
galileo	ガリレオ
signaler	シグナル
signaler	合図
signaler	信号
tillåta	許可
tillåta	許可証
tillåta	許可
tolka	parse
parlamentsledamot	mep
nigel	ナイジェル
moreno	モレノ
fungerande	働く
fungerande	作業
faith	信仰
faith	信念
faith	フェイス
dickinson	ディキンソン
oppositionen	野党
lider	苦しむ
neal	ニール
bonn	ボン
vana	習慣
diff	diff
tai	タイ
kännetecken	特性
kännetecken	特色
kännetecken	特徴
stämma	スー
motsatt	反対
tenerife	テネリフェ
införande	紹介
införande	導入
införande	挿入
balkan	バルカン
testamente	テスタメント
sexuellt	性的
cha	チャ
proteiner	タンパク質
proteiner	たんぱく質
carol	キャロル
anpassade	適応
anpassade	風習
anpassade	カスタム
råda	助言
rädsla	恐怖
rädsla	恐れ
tucker	タッカー
undantaget	例外
boxning	ボクシング
ledda	led
ärkebiskopen	大主教
hartmann	ハルトマン
moral	士気
moral	道徳
lila	パープル
vänskap	友情
vänskap	友情
nobels	ノーベル
träna	電車
träna	列車
träna	トレイン
waters	ウォーターズ
wave	波動
wave	ウェーブ
kock	シェフ
kock	コック
kock	クック
caldwell	コールドウェル
väntan	待ち
kampanjen	キャンペーン
catch	キャッチ
catch	キャッチボール
ever	ever
myers	マイヤーズ
programmering	プログラミング
skarp	シャープ
skarp	鋭い
hare	ウサギ
hare	うさぎ
gorge	渓谷
gorge	峡谷
bauer	バウアー
nicole	ニコル
lola	ローラ
fulla	いっぱい
fulla	フル
fulla	酔っぱらい
störningar	擾乱
störningar	騒乱
störningar	干渉
störningar	疾患
diane	ダイアン
extern	外部
parvula	parvula
atoll	環礁
innehavare	ホルダー
identisk	同一
angelica	アンジェリカ
nybörjare	初心者
nybörjare	初心者
nybörjare	ビギナー
nybörjare	ルーキー
fett	脂肪
piura	ピウラ
export	輸出
export	エクスポート
export	輸出
export	エクスポート
export	エクスポート
board	ボード
träffades	met
sahara	サハラ
joy	joy
joy	ジョイ
joy	喜び
june	六月
rättegång	公判
rättegång	トライアル
rättegång	審判
rättegång	裁判
anklagelser	告発
anklagelser	告発
rasmussen	ラスムセン
lib	lib
hilda	ヒルダ
frånvaro	欠席
ashley	アシュリー
ashley	アシュレイ
psykiska	メンタル
århus	オーフス
neutrala	中性
neutrala	ニュートラル
verb	動詞
verb	動詞
utnyttjas	搾取
skilsmässa	離婚
sandsten	砂岩
elektricitet	電力
elektricitet	電気
walsh	ウォルシュ
frédéric	フレデリック
adler	アドラー
tank	戦車
tank	タンク
ankomst	到着
lärjunge	弟子
dodge	ダッジ
dodge	ドッジ
förlaga	モデル
förlaga	標本
förlaga	見本
angelo	アンジェロ
turism	観光
addison	アディソン
mari	マリ
paradoxa	paradoxa
uzbekistan	ウズベキスタン
valladolid	バリャドリッド
fontaine	フォンテーヌ
denver	デンバー
galan	ガーラ
paus	休憩
paus	ブレーク
paus	区切り
paus	休憩
paus	休止
redigerar	編集
redigerar	編集
lindsay	リンジー
salinas	サリナス
landsbygd	田舎
homo	ホモ
bostadsområde	住宅
bostadsområde	住宅地
tips	tips
tips	ヒント
tips	ヒント
tips	チップ
tips	tip
tips	ヒント
tips	ヒント
täcka	表紙
täcka	被覆
täcka	カバー
täcka	cover
formell	フォーマル
butik	ショップ
butik	ブティック
butik	店舗
butik	ストア
alliance	アライアンス
sporter	スポーツ
rosor	薔薇
rosor	バラ
labour	分娩
labour	労働
manuellt	manual
manuellt	手動
manuellt	マニュアル
manuellt	手動
ufc	ufc
julen	クリスマス
plain	無地
plain	平野
dorset	ドーセット
raoul	ラウル
farligt	危険
chief	チーフ
lera	マッド
lera	クレイ
lera	粘土
rund	ラウンド
rund	round
rund	丸い
record	レコード
record	記録
mail	郵便
mail	メール
avslöjade	啓示
erkänna	認める
episod	エピソード
hjälte	ヒーロー
brandy	ブランデー
reagerar	リアクション
våning	フロア
primera	プリメーラ
hook	フック
fötter	フィート
fötter	両足
kingdom	王国
stadsdelar	ディストリクト
shah	シャー
sannolikhet	確率
málaga	マラガ
sparta	スパルタ
pin	ピン
pin	pin
förbättringar	改良
förbättringar	改善
esc	esc
högste	supreme
platå	台地
platå	高原
sann	トゥルー
sann	true
sann	本当
modellerna	モデル
arabisk	アラブ
skidåkning	スキー
papp	段ボール
papp	ダンボール
nyman	nyman
dörren	ドア
signatur	署名
operationer	演算
operationer	オペレーション
operationer	操作
operationer	手術
dracula	ドラキュラ
lionel	ライオネル
grundaren	創始者
grundaren	開祖
ljust	軽い
ljust	明るい
ljust	ライト
ljust	ブライト
ljust	明るい
konsekvent	一貫性
konsekvent	一貫性
everything	すべて
everything	全て
tomma	空っぽ
hello	こんにちは
hello	ハロー
its	its
keep	キープ
grafiska	グラフィック
mckenzie	マッケンジー
markis	侯爵
sons	息子
tjock	厚い
tjock	太い
tjock	脂肪
grov	ラフ
grov	乱暴
begär	請求
begär	リクエスト
ros	ローズ
ros	ロゼ
ros	バラ
ros	rose
ros	薔薇
libertadores	リベルタドーレス
kännedom	知識
nämna	言及
leden	階級
midnight	ミッドナイト
midnight	真夜中
truman	トルーマン
nordliga	ノーザン
nordliga	北方
nordliga	北部
kilogram	キログラム
kilogram	キログラム
mackenzie	マッケンジー
stephan	ステファン
århundraden	世紀
arkeolog	考古学
thierry	ティエリー
konstitution	体質
konstitution	憲法
plattform	プラットフォーム
plattform	プラットホーム
jury	陪審制
jury	陪審員
server	サーバ
server	サーバー
gould	グールド
luzon	ルソン島
guernsey	ガーンジー
cosworth	コスワース
vargas	バルガス
konstitutionen	体質
konstitutionen	憲法
farliga	危険
zon	ゾーン
zon	zone
maya	マヤ
mccartney	マッカートニー
munspel	ハーモニカ
stabil	安定
definierar	定義
verklig	real
verklig	本物
verklig	リアル
rickard	リチャード
rickard	リヒャルト
utökning	膨張
utökning	延長
utökning	内線
int	int
roses	薔薇
roses	バラ
sakta	遅い
sakta	スロー
sakta	ゆっくり
sakta	ゆっくりと
hermes	ヘルメース
avslutande	閉包
avslutande	閉鎖
avslutande	終端
avslutande	解雇
avslutande	閉会
krigare	戦士
krigare	ウォリアーズ
krigare	戦士
framsteg	プログレス
framsteg	経過
framsteg	進捗
transporter	輸送
transporter	交通
transporter	輸送
transporter	交通
dörrar	ドア
heltal	整数
heltal	整数
molly	モリー
firma	会社
laga	フィックス
laga	修正
måndag	月曜日
step	step
step	ステップ
joey	ジョーイ
lie	大鎌
gatorna	ストリート
billigare	安上がり
idrott	スポーツ
idrott	スポーツ
woody	ウッディー
strukturer	構造
sträng	厳重
sträng	ストリング
sträng	スターン
sträng	船尾
backe	ヒル
enorm	巨大
köp	購入
köp	買う
köp	購入
köp	購入
alfons	アルフィー
ira	lra
ira	アイラ
konton	アカウント
hitlers	ヒトラー
hitlers	ヒットラー
krim	クリミア半島
krim	クリミア半島
maritima	海事
organiska	有機
rider	乗馬
rider	配車
rider	ライダー
romantiska	ロマンチック
olympia	オリンピア
mausoleum	霊廟
mausoleum	陵墓
parodi	パロディ
karlsruhe	カールスルーエ
parterna	当事者
parterna	パーティ
parterna	パーティー
poliser	警察官
poliser	警察官
poliser	ポリス
poliser	警察
leader	リーダー
zero	ゼロ
stormen	ストーム
rot	root
rot	ルート
jung	ユング
kungligt	王族
kungligt	ロイヤル
fjäll	スケール
fjäll	縮尺
fjäll	目盛
fjäll	スケール
fjäll	ウロコ
färd	旅行
färd	journey
baba	ババ
baba	馬場
fredag	金曜日
fredag	フライデー
tjocka	厚い
tjocka	太い
hals	咽喉
hals	ネック
genomför	実装
telefon	電話機
telefon	電話
telefon	電話機
koncept	概念
koncept	コンセプト
koncept	概念
koncept	コンセプト
jordbävningen	地震
olson	オルソン
tillträde	アクセス
resande	旅行
resande	トラベラー
resande	旅行
resande	旅行
rodrigo	ロドリゴ
givet	与えられた
pax	pax
building	建物
regleras	規制
sluten	閉店
belägg	証拠
inn	宿屋
inn	旅館
inn	旅館
rostock	補充
orientering	オリエンテーリング
orientering	方向
orientering	向き
orientering	オリエンテーション
lördag	土曜日
archangelsk	アルハンゲリスク
skönhet	美容
timothy	ティモシー
peer	ピア
highway	ハイウェイ
highway	公道
skogs	フォレスト
skogs	森林
sister	姉妹
sister	シスター
cyrus	キュロス
cia	cia
tavlor	絵画
jürgen	ユルゲン
aluminium	アルミニウム
aluminium	アルミ
aluminium	アルミニウム
bernadotte	ベルナドッテ
resonemang	推論
nos	nis
nos	nos
atmosfär	大気
atmosfär	大気圏
atmosfär	雰囲気
mystery	ミステリー
aif	aif
fint	ナイス
fint	ニース
fint	素敵
hyllning	朝貢
hyllning	オマージュ
lokalerna	構内
lokalerna	敷地
avslutar	仕上げ
hed	hed
lukas	ルカ
lukas	ルーカス
noel	ノエル
arequipa	アレキパ
ombud	エージェント
ombud	エージェント
ombud	代理人
ombud	代理人
ella	エラ
wonder	ワンダー
helmut	ヘルムート
mono	モノ
manuskript	写本
manuskript	原稿
manuskript	写本
turnera	ツーリング
worcester	ウスター
brottning	レスリング
hold	ホールド
måla	ペンキ
måla	ペイント
måla	塗料
bord	テーブル
bord	テーブル
plural	複数
bowie	ボウイ
föredrag	レクチャー
föredrag	講義
föredrag	講演
föredrag	講義
föredrag	教本
föredrag	講演
föredrag	トーク
tottenham	トッテナム
ringar	リング
ringar	指輪
förstörde	破壊された
morfar	おじいちゃん
morfar	おじいさん
morfar	祖父
cochabamba	コチャバンバ
rod	ロッド
hands	両手
århundradet	世紀
århundradet	センチュリー
lightning	ライトニング
holt	ホルト
skuggan	シャドー
skuggan	シャドウ
skuggan	シェイド
skuggan	日陰
skuggan	シェード
uttalat	発音
pain	痛み
pain	疼痛
pain	ペイン
itunes	itunes
konceptet	概念
konceptet	コンセプト
cache	キャッシュ
leningrad	レニングラード
mask	仮面
mask	マスク
cash	現金
operor	オペラ
ala	アラ
kvarnen	ミル
lidande	苦しみ
lamm	子羊
lamm	ラム
mayer	メイヤー
sanning	真実
sanning	真理
frivilligt	任意
frivilligt	オプション
plzeň	プルゼニ
isak	アイザック
isak	イサク
lucida	lucida
vinnarna	勝者
professorn	教授
warwick	ワーウィック
iranska	イラン
reggae	レゲエ
uppträdande	行動
uppträdande	挙動
rotterdam	ロッテルダム
touring	ツーリング
himmel	天国
himmel	sky
himmel	スカイ
morales	モラレス
ralf	ラルフ
simone	シモーネ
simone	シモーヌ
förlorad	ロスト
skidskytte	バイアスロン
sjunker	ドロップ
utsatta	露出
gates	ゲイツ
nobelprize	nobelprize
förbjudna	禁止
brottare	レスラー
brottare	レスラー
badajoz	バダホス
hop	ホップ
torr	辛口
torr	ドライ
torr	乾燥
kamera	カメラ
oakland	オークランド
ireland	アイルランド
specialiserade	専門
fokusera	焦点
fokusera	フォーカス
knop	ノット
knop	結び目
knop	結び目
jenkins	ジェンキンス
bur	ケージ
flykten	エスケープ
flykten	脱出
matilda	マチルダ
merit	メリット
pioneer	パイオニア
klocka	ベル
klocka	時計
klocka	腕時計
klocka	クロック
klocka	時計
kommissarie	検査官
carina	カリーナ
arrangerar	キュレーション
winnipeg	ウィニペグ
jämn	偶数
jämn	even
jämn	スムーズ
jämn	スムース
jämn	滑らか
aspx	aspx
upplevelser	エクスペリエンス
suzuki	スズキ
suzuki	鈴木
benito	ベニート
huvudperson	主人公
blandat	ミックス
blandat	混合
garcia	ガルシア
kanten	エッジ
kanten	edge
maggie	マギー
michelle	ミシェル
desmond	デズモンド
utfärdade	発行
kontot	口座
kontot	アカウント
gertrud	ゲルトルート
revir	縄張り
revir	ターフ
vinnande	優勝
vinnande	勝利
martinez	マルティネス
martinez	マルティネス
tracy	トレイシー
cool	クール
cool	涼しい
cannes	カンヌ
bokstav	手紙
bokstav	letter
bokstav	レター
sektion	セクション
