сопот	sopot
сув	แห้ง
сув	แล้ง
сув	แห้งๆ
мапи	maps
мапи	แผนที่
контроверзна	แย้ง
вице	รอง
митре	mitre
кубански	คิวบา
кубански	คิวบา
свежа	สด
свежа	สดๆ
свежа	สดชื่น
напуштени	ร้าง
напуштени	ร้าง
борнео	บอร์เนียว
назначувањето	นัด
гледаност	คะแนน
пладне	บ่าย
пладне	เที่ยง
балади	ballade
предни	หน้า
прототип	ต้นแบบ
нападната	ทำร้าย
блу	น้ำเงิน
блу	สีน้ำเงิน
блу	บลู
ром	rom
мен	มนุษย์
мен	ชาย
мен	คน
мен	แมน
мен	man
сатира	เสียดสี
зафатени	ยุ่งๆ
зафатени	ยุ่ง
течни	ของเหลว
течни	เหลว
шише	ขวด
муслиман	มุสลิม
променливата	ตัวแปร
хлор	คลอรีน
подвиг	feat
сочи	sochi
профилот	โปรไฟล์
глобализацијата	globalisation
оживување	ฟื้นฟู
блокирање	บล็อก
закопани	ฝัง
заменка	สรรพนาม
правоаголник	สี่เหลี่ยม
квинс	ควีน
квинс	ราชินี
пијана	เมา
тензии	ตึงเครียด
тензии	ตึง
цревата	ลำไส้
предградија	ชานเมือง
мехмет	mehmet
хелена	เฮเลนา
стапало	เท้า
стапало	ตีน
еко	eco
униформа	ยูนิฟอร์ม
пинг	ping
пинг	ผิง
националистички	ชาตินิยม
паѓање	ล้ม
паѓање	หล่น
паѓање	ตก
паѓање	ร่วง
сајбер	ไซเบอร์
почитувани	นับถือ
централи	พืช
седумдесет	seventy
ресурс	ทรัพยากร
читањето	อ่าน
препознае	จำ
потенцира	ไฮไลท์
потенцира	ไฮไลต์
усна	ลิป
усна	lip
ковчегот	โลง
станислав	stanislav
тврд	แรง
тврд	โหม
тврд	ลำบาก
тврд	หนัก
тврд	ฮาร์ด
тврд	ยาก
бурма	พม่า
атм	atm
атм	เอทีเอ็ม
тејт	เทท
тејт	เทต
тејт	เท็ท
тејт	เท็ต
крег	เคร็ก
крег	เคร
ставете	วาง
ставете	ใส่
комплексен	ปม
комплексен	complex
абдула	abdulla
ролс	rawls
ролс	ม้วน
планираат	แพ็คเกจ
планираат	วางแผน
планираат	แผน
споредуваат	เทียบ
отровни	พิษ
колена	เข่า
одвоено	แยก
меморијал	อนุสรณ์
репка	บีท
одржлив	ยั่งยืน
килограм	กิโลกรัม
килограм	กิโล
изгубена	หลง
изгубена	แพ้
изгубена	เสีย
столица	เก้าอี้
контроверзни	แย้ง
чинг	จิง
чинг	ชิง
чинг	ชิง
кришна	กฤษณะ
традициите	ประเพณี
традициите	ธรรมเนียม
дувачки	เหลือง
трака	แทร็ก
трака	แทร็ค
доминика	โดมินิกา
хирург	ศัลยแพทย์
сант	แซง
навика	นิสัย
скандал	ฉาว
дуо	duo
бали	บาหลี
гуска	ห่าน
семинари	สัมมนา
уставно	รัฐธรรมนูญ
прекини	ยกเลิก
електрицитет	ไฟฟ้า
електрицитет	รถไฟฟ้า
електрицитет	ไฟฟ้า
понудена	เสนอ
вечно	forever
борови	ต้นสน
агрегати	aggregates
карлајл	คาร์ไลล์
карлајл	คาร์ไลส์
заменето	แทนที่
побавно	ค่อยๆ
побавно	ช้าๆ
магнезиум	แมกนีเซียม
нуклеарен	นิวเคลียร์
подземјето	ใต้ดิน
подземјето	ยมโลก
фернандез	fernández
фернандез	fernandez
пасош	หนังสือเดินทาง
информира	แจ้ง
понудени	เสนอ
избрано	เลือก
игли	เข็ม
табли	กระดาน
табли	บอร์ด
стручњаци	บัณฑิต
маврициус	มอริเชียส
гласно	ดังๆ
гласно	ดัง
гранките	กิ่ง
гранките	สาขา
анестезија	ยาสลบ
намалено	ลด
страдал	ทรมาน
страдал	ประสบ
цртан	การ์ตูน
рози	กุหลาบ
псевдоним	นามแฝง
псевдоним	นามแฝง
забавен	สนุก
забавен	สนุกสนาน
уставен	รัฐธรรมนูญ
пино	pino
севиља	sevilla
демографски	ประชากรศาสตร์
рамон	ramón
близнак	twin
близнак	ฝาแฝด
близнак	แฝด
брада	ชิน
брада	คาง
брада	เครา
супермен	superman
магла	หมอก
магла	หมอก
парализа	อัมพาต
главите	หัว
главите	head
наредено	สั่ง
ленс	ทวน
селанец	ชาวไร่
селанец	ชาวนา
селанец	คอแดง
торес	ทอร์เรส
искра	แวว
искра	ประกาย
капење	อ่างอาบน้ำ
капење	อาบ
протеин	โปรตีน
далечен	ไกล
жирито	ลูกขุน
ериксон	ericsson
попладне	บ่าย
класично	คลาสสิค
класично	classic
суверена	อภิสิทธิ์
пратениците	mps
тензија	ตึงเครียด
тензија	ตึง
дамка	คราบ
скалите	บันได
јаже	เชือก
критични	วิกฤติ
критични	วิกฤต
прекршок	ฟาวล์
препораки	อ้างอิง
дизајнирање	ออกแบบ
јаки	เข้ม
јаки	strong
јаки	แรง
јаки	แข็งแกร่ง
ерес	นอกรีต
жири	ลูกขุน
затвореник	นักโทษ
затвореник	เชลย
затвореник	con
битно	สำคัญ
екатерина	ekaterina
џан	gian
потесна	แน่น
рум	รัม
пресуди	ประโยค
камила	อูฐ
гума	ยาง
гума	ยาง
ира	ira
ултра	ultra
тагоре	tagore
свеќи	เทียน
свеќи	เทียน
националности	สัญชาติ
мајки	มารดา
цврстина	toughness
побуна	กบฏ
компас	ทิศ
канадска	แคนาดา
џем	แยม
џем	แจม
џем	อัญมณี
пиксели	พิกเซล
навреди	ดูถูก
навреди	ดูถูก
дипломата	ประกาศนียบัตร
запалени	ไหม้
запалени	เผา
променети	แก้ไข
фокусирани	โฟกัส
фокусирани	จดจ่อ
одвојување	ปลด
свиња	หมู
дирекно	โดยตรง
млс	mls
преземено	ถ่าย
витезите	อัศวิน
сив	เทา
сив	เทา
инжинер	วิศวกร
тераса	ระเบียง
тераса	ระเบียง
сликарот	จิตรกร
прекинати	ขัดจังหวะ
прекинати	ระงับ
поручник	หมวด
мексиканска	เม็กซิโก
нацистички	นาซี
месечини	พระจันทร์
валери	valery
валери	valeri
вис	สุดวิสัย
сиромашен	คนจน
сиромашен	ยากจน
стомак	ท้อง
стомак	กระเพาะ
стомак	ท้อง
стомак	พุง
стомак	สะดือ
поданици	วิชา
симнување	ดาวน์โหลด
тапан	กลอง
тактики	กลยุทธ์
тактики	ยุทธวิธี
комунизам	คอมมิวนิสต์
ривер	แม่น้ำ
тотално	สุดๆ
генетиката	พันธุกรรม
генетиката	กรรมพันธุ์
опкружена	ล้อม
таванот	เพดาน
кис	จูบ
кис	kiss
чекан	ค้อน
лабараторија	แล็ป
лабараторија	แล็บ
лабараторија	แลป
раздели	แยก
раздели	แบ่ง
раздели	แบ่ง
врзување	พันธนาการ
слатка	หวานๆ
слатка	หวาน
детална	ละเอียด
забавна	สนุก
забавна	สนุกสนาน
едногласно	เอกฉันท์
горди	ภูมิใจ
горди	proud
извонредни	ค้าง
растечки	โต
миа	mia
напредување	advance
кожни	หนัง
милиметри	มิลลิเมตร
дневници	วารสาร
дневници	ไดอารี่
желки	เต่า
бискуп	บิชอป
криминалци	อาชญากร
однесувања	พฤติกรรม
квалитетно	คุณภาพ
мува	ฟลาย
мува	บิน
пусен	poussin
автоматска	อัตโนมัติ
апсорпција	หมก
капи	หมวก
капи	caps
гласник	messenger
јаглехидрати	แป้ง
азиска	เอเชีย
азиска	บอล
преведен	แปล
пенис	จู๋
пенис	องคชาติ
кошула	เสื้อ
роки	rocky
тао	เต๋า
тао	เต่า
тао	เทา
тао	tao
идеално	อุดมคติ
бет	เบ็ธ
бет	เบ็ท
бет	เบ็ต
бет	เบธ
тројка	three
тројка	สาม
тунели	อุโมงค์
множење	คูณ
рационални	ตรรก
законодавна	นิติบัญญัติ
енергетика	พลังงาน
тигрите	เสือ
реакциите	ปฏิกิริยา
коефициенти	อัตราส่วน
кашмир	แคชเมียร์
кашмир	แคชเมียร์
телекомуникациски	โทรคมนาคม
телекомуникациски	โทรคมนาคม
алишта	ซักรีด
алишта	เสื้อผ้า
напуштено	ร้าง
напуштено	ร้าง
стапала	ฟุต
стапала	เท้า
стапала	ฟิต
трн	หนาม
чон	ชล
глодари	แทะ
ростов	rostov
слепи	บอด
слепи	ตาบอด
престиж	บารมี
уништено	ทำลาย
темелно	ละเอียด
зависен	ติด
апсолутен	ค่าสัมบูรณ์
апсолутен	สัมบูรณ์
соопштение	ประกาศ
соопштение	คำแถลง
жестока	ดุร้าย
жестока	ดุดัน
прекрасно	วิเศษ
шега	มุข
шега	มุก
шега	ตลก
шега	อำ
измислена	คิดค้น
седмици	อาทิตย์
седмици	สัปดาห์
невеста	bride
молња	ฟ้าร้อง
молња	ฟ้าผ่า
молња	ฟ้าผ่า
молња	สายฟ้า
дани	เดนี
иан	เอียน
срушена	ถล่ม
фармата	farm
фармата	ไร่
фармата	ฟาร์ม
хесиод	hesiod
баланс	สมดุล
карате	คาราเต้
несогласување	rift
дебел	หนา
дебел	หนาๆ
дебел	อ้วน
дебел	อ้วนๆ
душите	วิญญาณ
дијаграми	ไดอะแกรม
варовник	หินปูน
помагање	ลูกมือ
шевченко	shevchenko
ват	watt
ват	วัตต์
ват	วัด
телеком	โทรคมนาคม
телеком	ephesus
турчин	เติร์ก
турчин	turk
тенисот	เทนนิส
костими	ชุด
обиколка	ทัวร์
безбедна	เซฟ
безбедна	ปลอดภัย
безбедна	ปลอดภัย
очекувана	คาด
урината	ปัสสาวะ
кукли	ตุ๊กตา
секции	ส่วน
наполни	กรอก
наполни	เติม
бисери	ไข่มุก
нејасни	คลุมเครือ
кети	แคธี
лудило	วิกลจริต
нојштат	neustadt
лажен	เท็จ
лажен	ปลอม
лажен	แกล้ง
лажен	ปลอม
соларни	สุริยะ
соларни	สุ
хероин	เฮโรอีน
грофови	earls
мајсторот	อาจารย์
влечење	ลาก
влечење	ลาก
влечење	พ่วง
темен	เข้ม
темен	มืด
најт	ไนท์
најт	อัศวิน
роса	กุหลาบ
роса	น้ำค้าง
приливот	inflow
пчели	ผึ้ง
пчели	บี
пчели	ผึ้ง
тури	ทัวร์
надреализмот	surrealist
нејасно	คลุมเครือ
пауло	เปาโล
потпишани	เซ็น
објаснето	ชี้แจง
бајројт	bayreuth
крик	เหยี่ยว
крик	รีก
побарано	ร้องขอ
веле	welle
корења	รากฐาน
корења	ราก
заб	ฟัน
кампус	วิทยาลัย
кампус	วิทยาเขต
кампус	มหาวิทยาลัย
топографска	topographic
великиот	รุ่งโรจน์
шизофренија	โรคจิตเภท
комплет	กำหนด
комплет	ตั้ง
ткаенина	เสื้อผ้า
ткаенина	ผ้า
ткаенина	ผ้า
кокошка	เจี๊ยบ
кокошка	ไก่
сврти	เลี้ยว
сврти	หัน
сврти	พลิก
сврти	เปิด
кашлица	ไอ
клучеви	กุญแจ
гог	โก๊ะ
труди	ทรู
воин	นักรบ
елени	กวาง
неутрални	ฉนวน
јудеја	judea
скриена	ซ่อน
фоки	ผนึก
поату	poitou
египќаните	อียิปต์
обувки	รองเท้า
рударство	เหมือง
резиме	สรุป
варен	วอร์เรน
мирни	สงบ
мирни	สันติ
микрософт	microsoft
коњски	ม้า
балон	บอลลูน
балон	ลูกโป่ง
отфрлен	ละทิ้ง
хоби	hobby
допре	touch
допре	แตะ
допре	ทัช
допре	สัมผัส
допре	สัมผัส
филипински	ฟิลิปปินส์
жаби	กบ
вешт	ช่ำชอง
земјоделците	เกษตรกร
земјоделците	กสิกร
земјоделците	ชาวไร่
симпатии	เห็นใจ
графичка	กราฟิก
меко	นิ่ม
меко	อ่อน
меко	นุ่ม
нота	หมายเหตุ
нота	บันทึก
нота	โน้ต
макао	มาเก๊า
макао	macau
хуманитарна	มนุษยธรรม
референца	อ้างอิง
лапонија	lapland
речникот	ศัพท์
константно	คงที่
шесто	sixth
бејзбол	เบสบอล
банда	แก๊ง
ерупција	ปะทุ
цитат	อ้างอิง
цитат	คำคม
праќање	ส่ง
кампусот	วิทยาลัย
кампусот	วิทยาเขต
кампусот	มหาวิทยาลัย
територијалната	หวง
територијалната	อาณาเขต
костуми	ชุด
прогресивна	ก้าวหน้า
зимзелени	ฟิ
обврзниците	พันธบัตร
петмина	ห้า
мега	เมกะ
мега	mega
претседавач	ประธาน
куршум	ลูกปืน
куршум	กระสุน
мекдоналд	mcdonald
собите	ห้อง
гел	เจล
гревови	บาป
пиринеи	pyrenees
топчиња	ลูกบอล
барови	บาร์
барови	แท่ง
пешачење	เดิน
војникот	ทหาร
шлезија	silesia
универзални	universal
универзални	สากล
тестовите	ทดสอบ
либерална	เสรีนิยม
присилен	บังคับ
ток	ต๊อก
измами	ฉ้อโกง
актуелни	ปัจจุบัน
јунаци	วีรบุรุษ
јунаци	heroes
јунаци	ฮีโร่
соколи	hawks
претставништва	กิ่ง
претставништва	สาขา
адел	อะเดล
адел	อเดล
ребра	ซี่โครง
планирана	วางแผน
прецизен	แม่นยำ
прецизен	แม่นยำ
анализираат	ไตร่ตรอง
улични	ถนน
улични	street
чекање	รอ
прелистувач	เบราว์เซอร์
хеликоптер	เฮลิคอปเตอร์
означено	แท็ก
доброволни	อาสา
рецепт	สูตร
диктатор	เผด็จการ
дагестан	dagestan
путер	เนย
скромен	เจียม
скромен	ถ่อม
мокра	เปียก
мокра	wet
публицитет	ประชาสัมพันธ์
атлетичари	นักกีฬา
интернационале	internazionale
кентаки	kentucky
младенчиња	คับ
минимално	minimal
минимално	น้อย
тивко	เงียบ
храбар	กล้า
храбар	หนา
бенгал	เบงกอล
одвои	ปลด
одвои	จัดสรร
техеран	เตหะราน
креда	ชอล์ค
креда	ชอล์ก
нареди	สั่ง
реч	rec
реч	สันทนาการ
заработува	reason
брунеј	บรูไน
симболично	สัญลักษณ์
џиновски	ยักษ์
забот	ฟัน
ној	neu
виножито	สายรุ้ง
виножито	เรนโบว์
виножито	รุ้ง
перење	ซักรีด
перење	อ่างล้างหน้า
перење	ล้าง
застрелан	ยิง
прада	prada
замислена	จินตนาการ
портокалово	ส้ม
испити	สอบ
испити	ข้อสอบ
протекува	รั่ว
експериментален	ทดลอง
одредба	ชีพ
поместува	กะ
поместува	กะเทย
поместува	moves
плочка	กระเบื้อง
плочка	ทะเบียน
плочка	จาน
потпишано	เซ็น
продадена	ขาย
јака	เข้ม
јака	strong
јака	แรง
јака	แข็งแกร่ง
запирка	จุลภาค
лифт	ลิฟท์
краина	krajina
полјаци	ขั้ว
фогт	voigt
собирал	สะสม
шишиња	ขวด
коза	แพะ
дебела	หนา
дебела	หนาๆ
дебела	อ้วน
дебела	อ้วนๆ
опседнат	สิง
опседнат	หมกมุ่น
опседнат	หลงใหล
штрајк	strike
тај	ไท
тај	ไท่
тај	ต่าย
тај	ไต้
толпа	มาเฟีย
сириски	ซีเรีย
саи	ไทร
саи	ทราย
емоционална	อารมณ์
спремни	พร้อม
чудна	แปลกๆ
чудна	แปลก
чудна	แปลกๆ
чудна	แปลก
чудна	แปลก
лексикон	พจนานุกรม
лексикон	พ้อง
јура	jurassic
праша	ถาม
мел	เมล
државници	statesmen
восхит	ชื่นชม
именик	directory
епл	แอปเปิล
епл	apple
инвестиција	ลงทุน
шарм	เสน่ห์
шарм	เสน่ห์
торта	เค้ก
торта	เค๊ก
преостанати	เหลือ
преостанати	ตกค้าง
кариери	อาชีพ
возрасна	ผู้ใหญ่
бариери	อุปสรรค
фрактура	แตกหัก
врзана	มัด
логоа	โลโก้
адаптации	adaptations
постер	โปสเตอร์
индонезиски	อินโดนีเซีย
индонезиски	อินโดนีเซีย
конкретна	คอนกรีต
вероника	veronika
индустриско	อุตสาหกรรม
сегашност	ปัจจุบัน
бразилија	brasilia
предградијата	ชานเมือง
копчиња	ปุ่ม
копчиња	กุญแจ
наследни	กรรมพันธุ์
бум	แบม
бум	bam
бум	ตูม
бум	บูม
лакови	โบว์
навреда	รุก
навреда	ดูถูก
навреда	ดูถูก
срп	srp
суспендиран	ระงับ
ени	annie
исфрлање	ดีด
сугерираат	แนะนำ
стефани	stefanie
автопати	ทางหลวง
вселена	ภพ
вселена	จักรวาล
вселена	จักรภพ
вселена	พื้นที่
вселена	อวกาศ
вселена	space
задар	zadar
банкрот	แตก
банкрот	พัง
банкрот	หัก
готвач	เชฟ
кауза	เพราะ
кауза	สาเหตุ
пајтон	ไพธอน
бројгел	brueghel
мажена	แต่งงาน
страдања	ทรมาน
бензин	น้ำมัน
бензин	แก๊ส
бензин	ก๊าซ
бензин	น้ำมัน
бензин	เบนซิน
бензин	น้ำมัน
облакодери	ตึกระฟ้า
каса	เคาน์เตอร์
каса	counter
предадени	ทรยศ
предадени	โอน
базени	สระ
партиска	พรรค
партиска	ปาร์ตี้
кревети	ที่นอน
кревети	เตียง
свињите	หมู
жали	ไว้อาลัย
глобализација	globalisation
удирање	ชก
иновација	นวัตกรรม
нереди	จลาจล
нереди	จลาจล
произведена	ผลิต
произведена	ผลิต
воскресение	คืนชีพ
никел	นิกเกิล
магнет	magnet
бодлер	baudelaire
синџири	โซ่
анархија	อนาธิปไตย
заборави	ลืม
возбуда	วิตก
лен	len
лен	เลน
пек	เพ็ก
пек	เพค
пек	เพ็ค
хај	high
хај	สูง
хај	ไฮ
блум	บลูม
исправен	ตรง
практичен	ปฏิบัติ
олденбург	oldenburg
конец	ด้าย
продуктивност	ประสิทธิภาพ
продуктивност	ประสิทธิผล
продуктивност	ผลผลิต
фиш	ฟิช
фиш	ปลา
благ	mild
благ	อ่อน
маглата	หมอก
конзервација	อนุรักษ์
цвета	blossom
филијали	กิ่ง
филијали	สาขา
елтон	elton
продавајќи	ขาย
бал	ลูกบอล
бал	บอล
софи	sophie
метрички	เมตริก
корушка	carinthia
топче	ลูกบอล
топче	บอล
егото	อัตตา
пополнување	กรอก
пополнување	เติม
дора	dora
делавер	เดลาแวร์
бенефиции	ประโยชน์
ехо	ก้อง
ехо	echo
негува	ฝึกฝน
дополнителните	เสริม
продажната	ปลีก
ласер	เลเซอร์
иберија	iberia
упатство	คู่มือ
упатство	ทิศทาง
був	ฮูก
студирање	เรียน
почувствува	รู้สึก
демонстрација	สาธิต
ѕвона	ระฆัง
ѕвона	กระดิ่ง
кар	คาร์
десерт	dessert
мечките	หมี
истакната	ไฮไลท์
истакната	ไฮไลต์
истакната	แนะนำ
транспарентност	โปร่งแสง
транспарентност	โปร่งใส
доминиканската	โดมินิกัน
жалби	บ่น
жалби	อุทธรณ์
цигарите	บุหรี่
диркем	durkheim
бернули	bernoulli
таи	ไท
таи	ไท่
таи	ต่าย
таи	ไต้
траен	ทนทาน
траен	ถาวร
траен	ยั่งยืน
копче	กระดุม
копче	ปุ่ม
модернизација	อัพเกรด
пијалок	ดื่ม
тековна	ปัจจุบัน
рурална	ชนบท
минати	อดีต
тло	ดิน
чип	ชิพ
чип	ชิป
десетти	tenth
пулс	ชีพจร
глумат	นำแสดง
безбеден	เซฟ
безбеден	ปลอดภัย
осамени	เหงา
бука	บีช
бука	เสียง
хара	jara
дпа	dpa
фенербахче	fenerbahce
дева	deva
слугинка	คนใช้
реставрацијата	ฟื้นฟู
реставрацијата	ซ่อมแซม
печење	ขนมอบ
хронични	เรื้อรัง
повеќекратни	หลายๆ
повеќекратни	หลาย
претци	บรรพบุรุษ
идеолошки	ลัทธิ
павлов	pavlov
нарачка	ลำดับ
ласери	เลเซอร์
паладио	palladio
изјавите	คำแถลง
изјавите	statement
стол	เก้าอี้
стол	อุจจาระ
сеопфатна	ครอบคลุม
рецензии	วิจารณ์
рецензии	รีวิว
џулија	julia
маунт	ภูเขา
пријатно	เพลิดเพลิน
пријатно	สนุก
пријатно	สะดวก
пријатно	สบาย
пријатно	สบายใจ
базите	ฐาน
шеги	มุข
шеги	มุก
шеги	ตลก
урина	ปัสสาวะ
лондонски	london
лондонски	ลอนดอน
клан	ตระกูล
клан	เผ่า
наследничка	ทายาท
галеб	นางนวล
ексклузивно	exclusive
ексклузивно	พิเศษ
кајл	ไค
кајл	ไคล
кајл	ไคล์
корпоративни	องค์กร
ископување	ขุด
кармен	carmen
пештерите	ถ้ำ
бафало	ควาย
селевк	seleucus
ијан	ลาน
ијан	เอียน
чамец	เรือ
его	อัตตา
блесок	flash
блесок	แฟลช
солени	เค็ม
солени	เค็ม
цунами	tsunami
истра	istria
погледни	มอง
погледни	ดู
ферментација	หมัก
капка	วาง
капка	หย่อน
капка	หยด
капка	ดรอป
топот	canon
нес	เนส
белегот	ปาน
агресивно	ก้าวร้าว
агресивно	ดุดัน
депозит	มัดจำ
стратег	ยุทธศาสตร์
итно	ด่วน
груба	ขรุขระ
груба	ลำบาก
груба	หยาบ
груба	หยาบ
нагорно	nagorno
прилагоди	ปรับ
танг	ถัง
сартр	sartre
идеална	อุดมคติ
спецификација	สเปค
мане	mane
дозволена	อนุญาต
рубин	ทับทิม
пистата	รันเวย์
вроцлав	wrocław
скриен	ซ่อน
декоративни	ตกแต่ง
аголна	เชิงมุม
замислен	จินตนาการ
обожавател	พัดลม
обожавател	fan
обожавател	แฟนๆ
обожавател	แฟน
киров	kirov
гениј	อัจฉริยะ
интернационално	นานาชาติ
панталони	กางเกง
панталони	กางเกง
хала	hala
покриено	ครอบคลุม
покриено	ปกคลุม
фустани	ชุด
ценети	ชื่นชม
ценети	ซาบซึ้ง
лисици	กุญแจมือ
отпорни	ดื้อยา
дај	มอบ
дај	ให้
регресија	ถดถอย
нет	ตาข่าย
нет	net
нет	สุทธิ
нет	เน็ต
нет	ถ้วน
планирале	วางแผน
мартина	martina
мејн	เมน
мејн	เมนส์
срца	หัวใจ
луле	ท่อ
фрекфенција	ความถี่
мејнстрим	กระแส
брадавици	หัวนม
заден	หลัง
тесто	แรงๆ
тесто	แป้ง
тесто	ขนมอบ
храбро	กล้า
храбро	หนา
кристална	ใส
пневмонија	ปอดบวม
розова	pink
розова	ชมพู
розова	สีชมพู
облакодер	ตึกระฟ้า
хајдегер	heidegger
распространетоста	ชุก
ани	annie
загрижен	กังวล
загрижен	ห่วง
хонориј	honorius
океани	มหาสมุทร
мама	แม่
замор	เหน็ดเหนื่อย
замор	อ่อนเพลีย
земјоделци	เกษตรกร
земјоделци	กสิกร
земјоделци	ชาวไร่
тона	ตัน
дино	dino
мајките	มารดา
гаранции	รับรอง
спојат	ผสาน
добредојде	ต้อนรับ
добредојде	ยินดี
привилегија	เอกสิทธิ์
привилегија	อภิสิทธิ์
јами	อร่อย
пристапни	ย่อมเยา
слепо	บอด
слепо	ตาบอด
елиминирање	ขจัด
учени	สอน
вечерата	ดินเนอร์
пирамидите	พีระมิด
штедење	ออม
штедење	ถนอม
штедење	ประหยัด
куртис	ติส
вените	เส้นเลือด
филтри	กรอง
џекмен	jackman
лумпур	กัวลาลัมเปอร์
кидман	kidman
батерија	แบตเตอรี่
док	หมอ
гил	กิล
планиран	วางแผน
препознаат	จำ
жешки	ร้อนๆ
жешки	ร้อน
жешки	hot
жаба	คางคก
жаба	กบ
тинејџерски	teen
тинејџерски	ทีน
бенц	เบนซ์
бенц	benz
машинерија	เครื่องจักร
носењето	สวม
носењето	ใส่
колиба	กระท่อม
колиба	กระท่อม
колиба	โดยสาร
разбуди	ปลุก
ненси	nancy
менхенгладбах	mönchengladbach
ковчег	โลง
ензим	เอนไซม์
идентификување	ระบุ
абортусот	ทำแท้ง
абортусот	แท้ง
супа	ซุป
сурова	ดิบ
сурова	ดิบๆ
сурова	raw
сурова	หยาบ
печурки	เห็ด
одложи	ล่าช้า
вта	wta
мариус	marius
аукција	ประมูล
бејрут	เบรุต
сипаници	อีสุกอีใส
сипаници	อีสุกอีใส
ископувањата	excavations
виш	อาวุโส
виш	senior
сетот	กำหนด
сетот	ตั้ง
загрижени	กังวล
загрижени	ห่วง
абба	abba
условно	ภาคทัณฑ์
условно	ทัณฑ์บน
додадено	เพิ่ม
бак	บาก
симптом	อาการ
лути	โมโห
лути	โกรธ
комета	ดาวหาง
пена	โฟม
посветла	สดใส
шум	เสียง
кликнете	คลิก
суди	ตัดสิน
медиумот	ภาชนะ
христијан	คริสเตียน
муди	หงุดหงิด
изменето	แก้ไข
калории	แคลอรี่
метан	มีเทน
груб	ขรุขระ
груб	ลำบาก
груб	หยาบ
реџо	reggio
метропола	เมโทรโปลิส
метропола	มหานคร
исидор	isidore
грк	กรีก
исправи	ยืด
ромања	romagna
славна	ดัง
славна	รุ่งโรจน์
ломоносов	lomonosov
предвидат	ทำนาย
серхио	sergio
коко	coco
националисти	ชาตินิยม
неточно	เท็จ
неточно	ปลอม
каспиското	แคสเปียน
рецепти	สูตร
зафатена	ยุ่งๆ
зафатена	ยุ่ง
детелина	clover
пита	พาย
ножеви	มีด
плитки	ตื้นๆ
плитки	ตื้น
богослужба	บูชา
богослужба	นมัสการ
седење	นั่ง
реактор	ปฏิกรณ์
зачувувањето	ออม
сметководство	บัญชี
дворови	หลาว
дворови	หลาบ
дворови	หลา
невестата	bride
словенечкиот	slovene
логично	ตรรก
садот	ชาม
одморалишта	รีสอร์ท
уживање	เพลิดเพลิน
уживање	เพลิน
убавини	งาม
фракција	เศษส่วน
исфрли	ดีด
игнорира	ละเว้น
бибер	พริก
шопинг	ชอปปิ้ง
динан	dunant
коња	konya
психијатар	จิตแพทย์
психијатар	หด
психијатар	จิตแพทย์
рајс	ข้าว
срам	ละอาย
срам	เสียดาย
анатомски	วิภาค
анатомски	กายวิภาค
заоблени	โค้ง
телефонот	โทรศัพท์
суши	ซูชิ
