ngc	ngc
masa	masa
masa	misa
masa	muchedumbre
masa	multitud
masa	masa
baza	base
objekti	facilidades
objekti	instalaciones
objekti	objetos
pozicija	posicion
pozicija	posición
pozicija	puestos
pozicija	posiciones
pozicija	posturas
karta	plano
karta	mapa
karta	mapas
karta	pasaje
karta	ticket
karta	boleto
karta	billete
karta	tarjeta
karta	tarjetas
karta	card
projekt	project
projekt	proyecto
projekt	proyectar
online	conectados
online	conectado
online	online
dimenzije	dimensiones
dok	mientras
nasa	nasa
messier	messier
night	nocturno
night	noche
night	noches
night	night
kako	how
kako	cómo
kako	como
atlas	atlas
sky	cielo
sky	sky
dio	part
dio	parte
jedan	una
jedan	one
jedan	uno
bilo	cualquier
bilo	cualquiera
astronomska	astronómica
astronomska	astronómicos
astronomska	astronómicas
astronomska	astronómico
radijalna	radiales
radijalna	radial
interaktivni	interactivos
interaktivni	interactivas
interaktivni	interactiva
interaktivni	interactivo
interaktivni	interactive
style	style
style	estilo
napravio	hecha
napravio	made
napravio	hecho
rezultat	anotar
rezultat	puntuación
rezultat	partitura
rezultat	resultado
otkriće	descubrimientos
otkriće	discovery
otkriće	descubrimiento
grad	pueblo
grad	ciudad
grad	ciudad
tokom	durante
vrijeme	hora
vrijeme	tiempo
vrijeme	time
još	otro
još	another
još	otra
stranica	pagina
stranica	página
stranica	page
stranica	páginas
stranica	paginas
dva	dos
dva	two
sastav	composición
log	opcionales
log	optativo
log	opcional
log	facultativo
log	troncos
log	tronco
log	bitácora
hrvatska	croacia
ukupno	totales
ukupno	total
ugc	ugc
msg	msg
baz	baz
baz	buzz
županija	condado
knjiga	libro
knjiga	libros
tri	tres
bosna	bosna
bosna	bosnia
bili	billie
bili	eran
bili	estaban
bili	fueron
prije	antes
toga	eso
toga	que
jer	porque
protiv	contra
protiv	against
ime	nombre
ime	name
ime	denominación
nekoliko	pocos
nekoliko	pocas
nekoliko	pareja
nekoliko	varios
nekoliko	varias
kasnije	posteriormente
kasnije	después
stare	viejo
stare	antiguo
stare	viejos
stare	antigua
stare	vieja
jpg	jpg
republika	republic
republika	republica
republika	república
hercegovina	herzegovina
autor	autor
autor	autora
strane	lados
strane	laterales
strane	bandos
strane	costados
http	http
drugi	segundos
drugi	segunda
drugi	segundas
drugi	segundo
drugi	otras
drugi	otro
drugi	otros
drugi	otras
drugi	otros
imao	tenía
imao	tenido
imao	tuvo
imao	había
tim	tim
tim	equipo
tim	team
danas	today
danas	hoy
iako	aunque
iako	aunque
bih	herzegovina
teritorijalne	territorial
teritorijalne	territoriales
bez	sin
koristi	uso
koristi	usar
koristi	utilización
koristi	utilizar
koristi	utilizada
koristi	usada
koristi	usado
koristi	utilizado
koristi	utilizados
koristi	usados
imaju	tener
imaju	tengan
imaju	han
imaju	tienen
preko	over
preko	via
preko	vía
jakov	jacob
jakov	jacobo
sad	now
sad	ahora
izdavač	editor
izdavač	editorial
vjerski	religiosos
vjerski	religioso
vjerski	religiosa
vjerski	religiosas
sarajevo	sarajevo
naseljima	vecindarios
naseljima	barrios
naseljima	vecindarios
naseljima	barrios
veliki	large
veliki	grande
veliki	grandes
veliki	big
veliki	grande
veliki	gran
veliki	grandes
nisu	not
nisu	no
put	sendero
put	path
put	camino
put	surco
put	ruta
put	road
put	camino
put	carretera
već	ya
dana	días
dana	jornadas
dana	dias
dana	days
dana	dana
zvanična	oficial
zvanična	funcionario
zvanična	official
zvanična	funcionaria
kroz	mediante
kroz	through
gelo	gelo
datoteka	files
datoteka	archivos
datoteka	expedientes
datoteka	ficheros
datoteka	fichero
datoteka	expediente
datoteka	archivo
text	text
text	texto
općina	ayuntamientos
općina	municipios
općina	municipalidades
općina	municipalidad
općina	municipio
često	frecuentemente
često	frecuente
često	frecuentes
često	menudo
često	frecuentemente
ove	este
ove	esto
ove	esta
ove	éstas
ove	estos
ove	estas
ove	éstos
koju	cuáles
koju	cuál
koju	cual
nego	than
pri	pri
sam	sam
hiljade	mil
hiljade	miles
hiljade	millares
film	pelicula
film	cine
film	movie
film	película
film	pelicula
film	cine
film	película
film	film
države	estados
cest	cest
ljudi	humanos
jedna	una
jedna	one
jedna	uno
odnosno	respectivamente
eliptična	elíptica
država	estados
država	state
država	estado
tada	luego
tada	entonces
njegov	sus
njegov	su
grupe	grupos
grupe	agrupa
grupe	agrupaciones
jezik	lengua
jezik	lengua
jezik	idioma
jezik	lenguaje
jezik	idiomas
#aaa	#aaa
kralj	king
kralj	rey
napomena	note
napomena	nota
naselja	asentamientos
naselja	liquidaciones
među	entre
vrlo	very
vrlo	muy
glavni	jefa
glavni	chief
glavni	jefe
glavni	main
glavni	principales
glavni	principal
william	william
william	guillermo
ona	ella
postoji	existe
četiri	cuatro
četiri	four
njegova	sus
njegova	su
marta	marta
oni	esas
oni	aquellos
oni	esos
oni	ellos
oni	ellas
neki	algunas
neki	algunos
neki	some
john	juan
john	john
osim	excepto
osim	salvo
osim	aparte
kojima	kojima
sistem	system
sistem	sistema
puta	tiempos
puta	veces
puta	épocas
puta	times
mjesta	sitios
mjesta	lugares
mjesta	localidades
mjesta	plazas
mjesta	escaños
mjesta	asientos
postao	convertirse
dan	dan
dan	día
dan	dia
dan	day
predstavlja	presenta
predstavlja	regalos
predstavlja	representa
predstavlja	poses
predstavlja	plantea
predstavlja	posa
velika	velika
velika	large
velika	grande
velika	grandes
velika	gran
velika	grand
obično	habitualmente
obično	normalmente
obično	generalmente
obično	usualmente
obično	normalmente
prvenstvo	campeonato
prvenstvo	championship
prvenstvo	campeonatos
zajedno	juntos
zajedno	juntas
zajedno	together
zatim	luego
zatim	entonces
način	manera
način	camino
način	way
rat	guerra
rat	war
vrsta	amable
vrsta	especies
vrsta	especie
radi	trabajos
radi	trabaja
radi	obras
radi	funciona
radi	trabajando
radi	funcionando
radi	trabajar
top	cañón
top	cañones
top	cañon
top	top
top	arriba
top	cima
top	torre
bgcolor	bgcolor
tom	tomás
tom	tom
uglavnom	principalmente
uglavnom	principalmente
uglavnom	mayormente
cet	cet
tome	tomé
tome	tomo
tome	tomás
tome	tom
maja	maya
maja	mayas
maja	maja
smrti	muertes
smrti	defunciones
smrti	fallecimientos
mora	deben
mora	debe
mora	mosto
dobio	got
dobio	tengo
dobio	consiguió
dobio	recibidas
dobio	recibida
dobio	recibidos
dobio	recibido
nalaze	hallazgos
nalaze	conclusiones
nalaze	descubrimientos
nagrada	premiado
nagrada	premio
nagrada	recompensa
svi	todos
svi	todas
svi	all
svi	todo
svi	todos
svi	todos
veoma	very
veoma	muy
najbolji	mejores
najbolji	best
najbolji	mejor
sarajevu	sarajevo
rođen	nacidos
rođen	born
rođen	nacido
herschel	herschel
npr	npr
američki	americano
američki	american
američki	estadounidense
američki	americanos
američki	americana
mnogo	lotes
mnogo	montones
mnogo	much
mnogo	mucho
mnogo	lot
mnogo	lote
područja	áreas
područja	zonas
područja	areas
jula	julio
doba	edad
doba	age
doba	edades
drugim	otras
drugim	otro
drugim	otros
postoje	existir
postoje	existo
postoje	existen
zastava	flag
zastava	bandera
vrste	amable
vrste	tipos
jednom	once
uključujući	incluyendo
uključujući	incluida
uključujući	incluido
uključujući	incluidos
sistema	amueblada
sistema	amueblado
čak	hasta
čak	incluso
čak	aun
predsjednik	president
predsjednik	presidenta
predsjednik	presidente
ipak	todavia
ipak	still
ipak	todavía
ipak	aún
ipak	aún
imena	nombres
posebno	particularmente
posebno	especialmente
posebno	especialmente
treba	need
treba	necesitar
treba	necesito
treba	necesita
treba	necesidad
treba	necesidades
treba	necesita
album	álbum
album	album
album	disco
član	miembro
vijek	envejece
vijek	edades
vijek	siglo
vijek	century
york	york
iii	iii
uvijek	always
uvijek	siempre
dolazi	ven
dolazi	venid
dolazi	vente
dolazi	venga
dolazi	vengan
dolazi	viene
dolazi	viene
dolazi	venida
dolazi	coming
dolazi	llegando
dolazi	venir
većina	most
većina	mayoría
većina	mayoritaria
većina	mayorías
većina	mayoria
većina	mayoritario
liga	league
liga	liga
liga	ligas
liga	liga
koriste	uso
koriste	usar
koriste	utilización
koriste	utilizar
sin	hijo
njega	él
manje	menos
one	esas
one	aquellos
one	esos
sada	now
sada	ahora
juni	juni
juni	june
juni	junio
slika	foto
slika	imagen
slika	imágen
njemački	alemanes
njemački	alemán
njemački	alemana
njemački	aleman
znači	medios
znači	significa
ostrva	islas
nad	nad
radio	trabajó
radio	funcionó
radio	trabajado
radio	trabajadas
radio	radio
radio	radios
radio	trabajando
radio	funcionando
radio	trabajar
dijela	repuestos
dijela	piezas
dijela	partes
život	vida
život	life
augusta	augusta
uefa	eurocopa
uefa	uefa
rijeka	rio
rijeka	río
rijeka	rijeka
prava	derechos
januar	enero
žena	mujer
žena	esposa
žena	mujer
februar	febrero
bosanski	bosnio
bosanski	bosnios
bosanski	bosnia
bosanski	bosanski
april	april
april	abril
mart	mart
mart	marcha
mart	marchen
mart	marzo
august	august
august	agosto
pet	pet
pet	mascota
pet	mascotas
pet	cinco
pet	five
osoba	persona
septembar	setiembre
septembar	septiembre
riječi	palabras
decembar	diciembre
juli	julio
juli	juli
naselju	patrimonio
naselju	finca
sezona	temporada
sezona	estaciones
sezona	temporadas
svaki	cada
svaki	cada
maj	may
maj	mayo
maj	maj
ostali	otras
ostali	otros
ponovo	again
ponovo	nuevamente
centar	centrar
centar	centro
centar	center
centar	centro
centar	centre
centar	mall
regija	region
regija	comarca
regija	región
njemačka	alemania
polje	field
polje	campo
polje	polje
oktobar	octubre
počinje	inicia
počinje	empieza
počinje	comienza
počinje	inicia
počinje	empieza
počinje	comienza
počinje	arranca
počinje	empezando
počinje	iniciando
počinje	comenzando
osvojio	conquistó
osvojio	conquistado
osvojio	conquistada
rezultati	resultados
francuski	francés
francuski	francesa
francuski	franceses
ekipe	tripulaciones
ekipe	tripulación
ekipe	equipos
kluba	club
kluba	garrote
kluba	discoteca
igra	juego
ekipa	equipo
ekipa	team
ekipa	tripulantes
ekipa	crew
ekipa	tripulación
primjer	instancia
primjer	ejemplo
tijelo	cuerpo
tijelo	corporal
tijelo	cadáver
tijelo	body
tijelo	carrocería
fifa	fifa
onda	luego
onda	entonces
nešto	algo
tijela	cuerpo
tijela	corporal
tijela	cadáver
tijela	body
tijela	carrocería
tijela	tableros
tijela	paneles
tijela	órganos
tijela	cadáveres
tijela	cuerpos
args	args
web	website
web	web
web	sitio
web	web
web	telaraña
mnogi	muchas
mnogi	muchos
malo	poco
malo	little
malo	pequeño
malo	pequeña
malo	poquito
rad	obra
rad	trabajos
rad	trabaje
rad	trabajo
rad	trabajar
ispod	debajo
ispod	debajo
ispod	abajo
putem	via
putem	vía
joj	ella
joj	su
joj	her
vlast	dominio
vlast	potencia
vlast	power
vlast	poder
vlast	gobierno
red	orden
red	ordenar
red	encargo
red	pedido
red	pedidos
nacionalni	nacionales
nacionalni	national
nacionalni	nacional
jato	cluster
jato	cúmulo
jato	rebaño
jato	bandada
novembar	noviembre
kup	copa
kup	taza
kup	copa
kup	cup
san	dream
san	sueña
san	sueño
san	ensueño
san	soñar
san	san
ćelije	células
ćelije	celdas
članak	articulo
članak	artículo
pravo	recto
pravo	directo
pravo	recta
pravo	directamente
pravo	heterosexual
pravo	derecho
pravo	correcto
pravo	derecha
ovdje	aquí
ovdje	aca
ovdje	aqui
ovdje	acá
unutar	dentro
unutar	adentro
unutar	inside
van	camioneta
van	van
van	furgoneta
snage	fortaleza
snage	fuerza
nova	nova
počeo	comenzó
počeo	iniciada
počeo	comenzado
počeo	iniciado
počeo	empezó
počeo	comenzó
engleski	inglés
engleski	ingles
engleski	espanol
razvoj	desarrollo
čini	hace
mnoge	muchas
mnoge	muchos
džamija	mezquita
oblik	forma
oblik	forma
oblik	formulario
živi	living
živi	vivir
živi	viviendo
živi	vive
živi	vidas
jedinica	unidades
jedinica	unit
jedinica	unidad
umro	murió
umro	murio
umro	murieron
njen	ella
njen	su
njen	her
dobro	buenas
dobro	bien
dobro	bueno
dobro	buena
dobro	buenos
dobro	bien
dobro	fine
dobro	fino
poznata	conocidas
poznata	conocida
poznata	conocido
poznata	conocidos
poznata	famosa
poznata	famosas
poznata	famosos
poznata	famoso
ruka	brazo
ruka	arm
govori	habla
govori	hablar
govori	habla
govori	hablan
govori	hable
govori	hablen
čvor	nodo
čvor	desambiguación
čvor	apellidos
čvor	apellido
čvor	nudo
čvor	nudos
moguće	posiblemente
moguće	posible
moguće	posibles
mali	small
mali	pequeñas
mali	pequeño
mali	pequeña
mali	pequeños
mali	poco
mali	little
mali	pequeño
mali	pequeña
mali	poquito
mali	chaval
mali	pibe
mali	niño
mali	chico
mali	kid
mali	malí
mali	mali
donji	donji
otvoreno	abiertamente
otvoreno	abrir
otvoreno	abre
otvoreno	abierta
otvoreno	abra
otvoreno	abierto
stanje	situacion
stanje	situación
stanje	condicion
stanje	estado
stanje	condición
odnosu	relación
razgovor	conversación
pjesme	cantos
pjesme	canciones
pjesme	songs
gornji	upper
gornji	gornji
zagreb	zagreb
verzija	version
verzija	versión
link	link
link	enlazar
link	enlace
link	vínculo
iznad	arriba
iznad	supra
historija	historia
historija	historial
general	generalidades
general	generales
general	general
francuska	francia
francuska	france
charles	carlos
kraj	end
kraj	fin
kraj	final
selo	selo
selo	pueblo
selo	poblado
selo	villa
selo	aldea
pomoć	asistencia
pomoć	ayuda
pomoć	ayudar
okrug	condado
okrug	comarca
okrug	distrito
iznosi	montantes
iznosi	montos
iznosi	importes
iznosi	cantidades
tekst	text
tekst	texto
porodice	familias
porodice	familia
dnk	adn
dnk	dna
trenutno	actualmente
otac	padre
njegovo	sus
njegovo	su
bolesti	enfermedades
more	mar
ostale	otras
ostale	otro
ostale	otros
osnovu	basada
osnovu	basado
itd	etc
isto	mismo
isto	misma
isto	igual
djevica	virgo
djevica	virgin
djevica	virgen
ponekad	aveces
nagrade	recompensas
nagrade	premios
nagrade	recompensa
nagrade	premiado
nagrade	premio
nagrade	premios
nagrade	galardones
nagrade	premios
ćelija	cell
ćelija	celda
ćelija	celular
ćelija	célula
riječ	word
riječ	palabra
svjetski	mundial
svjetski	mundo
svjetski	world
valign	valign
žene	mujer
žene	mujeres
žene	femenino
proces	procesos
proces	proceso
proces	procesar
poznati	famosa
poznati	famosas
poznati	famosos
poznati	famoso
poznati	renombrada
poznati	renombrado
pobjednik	ganador
pobjednik	vencedor
pobjednik	ganadora
odnosi	relaciones
luka	luka
luka	puerto
luka	puertos
luka	babor
luka	oporto
boje	colores
boje	colorantes
boje	colores
boje	color
potpuno	plenamente
potpuno	totalmente
potpuno	completamente
potpuno	totalmente
potpuno	completamente
potpuno	totalmente
ivan	iván
ivan	ivan
igre	juegos
različitih	distinta
različitih	diferente
različitih	distintos
različitih	distinto
različitih	diferentes
različitih	variedad
daje	dándole
daje	dandole
daje	regalando
daje	dando
daje	da
niz	secuencia
niz	secuencias
niz	sucesión
glumac	actor
ono	ono
hrvatski	croata
hrvatski	croacia
hrvatski	croatas
html	html
lav	león
lav	león
lav	leo
car	zar
windows	windows
windows	ventana
windows	ventanas
windows	ventanillas
beograd	belgrado
nauka	ciencia
nauka	ciencias
ratu	guerra
ratu	war
strani	lateral
strani	side
strani	costado
strani	laterales
strani	lado
strani	extranjeras
strani	extranjeros
strani	extranjero
strani	extranjera
strani	foreign
carstvo	imperio
carstvo	empire
šest	seis
šest	six
stari	viejo
stari	antiguo
stari	viejos
stari	antigua
stari	vieja
stari	compa
stari	dude
der	der
robert	robert
robert	roberto
metara	metros
metara	contadores
metara	metros
metara	medidores
članaka	articulos
članaka	artículos
von	von
političar	político
političar	politico
oblasti	áreas
oblasti	zonas
oblasti	areas
napisao	escrito
napisao	escritas
napisao	escrita
napisao	escritos
napisao	escribí
napisao	escribió
napisao	escribía
pisac	escritora
pisac	escritor
pisac	writer
takmičenje	concurso
takmičenje	competición
takmičenje	competencia
takmičenje	concurso
takmičenje	certamen
snaga	fortaleza
snaga	fuerza
vlade	gobiernos
most	bridge
most	puente
površina	superficie
površina	superficial
osnovan	fundó
osnovan	fundado
osnovan	funda
osnovan	fundada
dobija	obtiene
izvor	procedencia
izvor	fuente
izvor	origen
izvor	source
funkcija	función
funkcija	funciones
igrač	player
igrač	reproductor
igrač	jugador
igrač	jugadora
vjerovatno	probablemente
james	james
james	santiago
james	jaime
james	jacobo
sjedište	sede
sjedište	cuartel
sjedište	cuarteles
sjedište	sedes
čovjek	humano
čovjek	humanas
čovjek	humana
čovjek	humanos
roman	romana
roman	roman
roman	romanos
roman	romano
roman	román
roman	novela
promjene	modificaciones
promjene	cambios
promjene	cambia
promjene	cambios
promjene	cambio
promjene	cambiar
promjene	cambia
promjene	variación
njihove	sus
njihove	su
treći	tercera
treći	tercer
treći	terceros
treći	tercero
ranije	anterior
ranije	antes
ranije	anteriormente
ranije	anteriores
joseph	josé
slike	imagenes
slike	fotos
slike	fotografías
slike	cuadros
slike	imágenes
slike	imagenes
slike	imágenes
istraživanja	explorar
istraživanja	explorando
istraživanja	exploración
istraživanja	explorar
istraživanja	explore
istraživanja	explora
istraživanja	investigaciones
istraživanja	investigación
istraživanja	investigacion
različite	varios
različite	varias
jezero	lagos
jezero	lago
jezero	laguna
igrama	juegos
veze	conexiones
veze	corbatas
veze	lazos
blizini	vecindad
blizini	inmediaciones
colspan	colspan
mark	mark
mark	marcar
mark	marca
mark	marcos
članovi	diputados
članovi	miembros
dužina	eslora
dužina	longitud
serija	serie
serija	series
uključuje	incluye
vrijednosti	valora
vrijednosti	valores
vrijednosti	worth
dao	dio
dao	dió
završio	acabados
završio	terminados
završio	finalizado
završio	acabado
završio	terminado
završio	terminada
rock	rocas
rock	piedra
rock	roca
rock	rock
bosanska	bosanska
frederick	federico
odmah	inmediatamente
odmah	inmediato
george	jordi
george	jorge
čime	hacer
čime	haciendo
čime	pavimentación
čime	pavimento
vojska	ejército
vojska	militares
vojska	militar
vojska	armada
vojska	ejército
vojska	army
vojska	ejercito
vidi	véase
vidi	see
vidi	ver
vidi	vea
vidi	mirad
vidi	mire
vidi	mirada
vidi	miren
vidi	mira
crkva	iglesia
pjesma	canto
pjesma	cancion
pjesma	canción
pjesma	song
počela	comenzó
počela	iniciada
počela	comenzado
počela	iniciado
počela	empezó
počela	comenzó
sedam	siete
sedam	seven
brzo	rapidez
brzo	quick
brzo	rápido
brzo	rapido
brzo	rápida
brzo	rapidez
brzo	rápido
brzo	rapido
brzo	fast
brzo	ayuno
brzo	rápido
brzo	rapido
brzo	rápidamente
relativno	comparativamente
relativno	relativamente
pjesama	cantos
pjesama	canciones
pjesama	songs
knjige	libros
dosta	suficiente
dosta	basta
dosta	suficientes
ubrzo	pronto
ubrzo	soon
ubrzo	próximamente
vladavine	reinar
vladavine	reinado
pripadnost	afiliación
pripadnost	filiación
michael	miguel
michael	michael
sjeverna	norte
sjeverna	septentrional
sjeverna	northern
sjeverna	norteña
voda	agua
njihov	sus
njihov	su
porodica	familiar
porodica	familiares
porodica	famila
porodica	familia
jean	jean
rada	rada
stanovništvo	habitantes
stanovništvo	residentes
stanovništvo	habitantes
dobila	got
dobila	tengo
dobila	consiguió
dobila	recibidas
dobila	recibida
dobila	recibidos
dobila	recibido
rezultatom	anotar
rezultatom	puntuación
rezultatom	partitura
polja	fields
polja	campos
njena	ella
njena	su
njena	her
zemlja	pais
zemlja	país
zemlja	terrenos
zemlja	land
zemlja	terreno
zemlja	tierra
zemlja	tierras
zemlja	earth
zemlja	tierra
zemlja	terrestre
savez	union
savez	unión
savez	sindicato
savez	alliance
savez	alianza
poznate	conocidas
poznate	conocida
poznate	conocido
poznate	conocidos
poznate	famosa
poznate	famosas
poznate	famosos
poznate	famoso
djece	niñez
djece	infancia
djece	ninos
djece	niños
iza	detrás
iza	detras
wisconsin	wisconsin
smrt	fallecimiento
smrt	death
smrt	muerte
smrt	defunción
program	programar
program	programa
program	programa
glavna	main
glavna	principales
glavna	principal
kraljica	queen
kraljica	reina
vrijednost	valorar
vrijednost	value
vrijednost	valor
osobe	persona
osobe	personas
jedinice	unidades
škola	colegio
škola	escuela
gradova	ciudades
gradova	pueblos
izabran	elegidas
izabran	elegidos
izabran	electo
izabran	elegido
izabran	elegida
funkcije	funciones
slovenija	eslovenia
gore	peores
gore	peor
društva	sociedades
kaže	dice
početka	empezar
početka	start
početka	inicio
početka	comienzo
lista	lista
lista	listado
jeste	did
jeste	hizo
jeste	si
jeste	yes
jeste	sí
neka	dejemos
neka	let
naročito	especialmente
you	tu
you	te
you	tú
you	usted
you	vos
igrao	jugaron
igrao	jugó
igrao	jugado
igrao	desempeñado
dinastije	dinastías
harry	enrique
harry	harry
možda	quizas
možda	quizás
možda	quizá
možda	quizas
možda	talvez
možda	quizás
možda	quizá
niti	tampoco
niti	ni
niti	tampoco
niti	nor
ibn	ibn
jezera	lagos
crkve	comunión
isti	mismo
isti	misma
isti	igual
pobjeda	victory
pobjeda	win
pobjeda	triunfo
pobjeda	ganar
pobjeda	gana
pobjeda	gane
pobjeda	gano
gornja	gornja
svaka	cada
boja	color
boja	color
majka	madre
porijekla	procedencia
porijekla	origen
mala	bebe
mala	nena
mala	bebé
mala	nene
mala	baby
mala	poco
mala	little
mala	pequeño
mala	pequeña
mala	poquito
mala	mala
površine	superficie
površine	superficial
rekao	contada
donja	donja
sela	poblados
sela	pueblos
sela	aldeas
sela	sela
premijer	premier
potom	luego
potom	entonces
proglašen	nombrada
proglašen	nombrado
organizacija	organizacion
organizacija	organización
organizacija	organizacion
organizacija	organización
marija	marija
marija	maría
marija	maria
peter	pedro
peter	peter
arena	arena
arena	estadio
došao	vinieron
javlja	denunciar
javlja	reportar
javlja	informes
lewis	lewis
njihova	sus
njihova	su
početak	empezar
početak	start
početak	inicio
početak	comienzo
početak	comienzo
početak	empezando
početak	comenzando
škole	escuelas
škole	colegios
škole	escuela
skoro	casi
skoro	casi
paul	paul
paul	pablo
sarajeva	sarajevo
italijanski	italiana
italijanski	italianos
italijanski	italiano
cara	zar
cara	cara
turnir	torneo
turnir	torneos
filozof	filósofo
jna	jna
datum	cita
datum	fecha
datum	date
pripada	pertenece
kuća	house
kuća	casita
kuća	casa
albuma	álbumes
novo	novo
wiki	wiki
neko	alguien
neko	cualquiera
neko	alguien
neko	alguien
dovoljno	suficiente
dovoljno	basta
dovoljno	suficientes
nalazili	conteniendo
str	its
kupa	cono
stvari	cosas
stvari	things
potrebno	necesitó
potrebno	necesitaba
potrebno	necesitado
objavio	anunciado
objavio	anunció
objavio	anunciada
objavio	anunciados
velikih	large
velikih	grande
velikih	grandes
velikih	big
velikih	grande
velikih	gran
velikih	grandes
velikih	grandioso
velikih	genial
velikih	estupendo
velikih	gran
smatraju	consideren
smatraju	considerar
smatraju	considere
smatraju	consideremos
istovremeno	simultáneamente
srbi	serbios
uspio	administrado
uspio	gestionada
uspio	gestionado
uspio	logrado
uspio	gestionados
uspio	sucedió
uspio	sucedido
posljednji	último
posljednji	last
posljednji	últimos
posljednji	última
lat	lat
lat	lats
mogućnost	posibilidad
srbija	serbio
srbija	serbia
poznato	conocidas
poznato	conocida
poznato	conocido
poznato	conocidos
poznato	familiar
poznato	familiarizado
poznato	familiarizados
gitara	guitarra
prostor	espaciales
prostor	space
prostor	espacial
prostor	espacio
tačka	spot
tačka	dot
tačka	punto
tačka	punta
tačka	point
tačka	punto
cilj	objetivas
cilj	objetiva
cilj	objetivo
cilj	gol
cilj	meta
cilj	objetivo
cilj	portería
www	www
sveti	santo
sveti	saint
sveti	san
sveti	santa
sveti	santo
sveti	santísimo
sveti	holy
sveti	santa
univerzitet	universitario
univerzitet	universitarios
univerzitet	universidades
univerzitet	universidad
termin	término
termin	cita
termin	designación
termin	nombramiento
pennsylvania	pennsylvania
pennsylvania	pensilvania
proizvodi	productos
proizvodi	manufacturas
proizvodi	manufactura
proizvodi	fabrica
proizvodi	produce
kvalifikacije	calificar
