loại	тып
ông	спадар
tỉnh	азіі
tỉnh	пільнымі
sau	пасля
sau	пасьля
sau	і
sau	праз
sau	пазней
sau	пасьля
trung	сярэдзіне
trên	на
trên	у
trên	ў
trên	на
trên	за
trên	над
trên	вышэй
nhà	дамы
nhà	дадому
nhà	дома
nhà	дом
nhà	дамоў
nhà	дом
nhà	доме
như	як
như	як
nước	вадзе
nước	вады
nước	ваду
nước	вада
thời	раз
thời	часу
thời	час
bản	версія
bản	версію
bản	вэрсія
tên	імя
tên	назваў
tên	назвы
tên	імёны
làm	робячы
làm	не
làm	ня
đại	вялікага
đại	што
đại	вялікі
đại	вялікія
hiện	паказаць
thế	гэта
thế	што
chiến	вайны
chiến	сусветнай
chiến	вайна
chiến	вайну
chiến	вайне
lại	зноў
lại	ізноў
cũng	таксама
cũng	і
nhất	найлепшы
hình	выявы
hình	вобраз
hình	выяў
hình	вобразу
nhân	ядро
nhân	пацыента
nhân	доўгацярплівым
nhân	доўгацярплівымі
nhân	цярплівасьць
anh	вы
anh	вас
anh	вам
anh	ты
pháp	французкі
pháp	французкай
pháp	французскую
pháp	францыя
pháp	францыі
chúng	іх
chúng	ім
chúng	імі
chúng	яны
nhiều	шмат
nhiều	многіх
nhiều	многія
nhiều	больш
nhiều	шмат
chi	прычына
chi	дзеля
chi	вёсцы
chi	згаршэньні
chỉ	толькі
chỉ	проста
chỉ	толькі
chỉ	як
vùng	краях
vùng	краіну
vùng	ваколіцы
vùng	край
vùng	межаў
vùng	межы
đây	вось
đây	тут
đây	сюды
sinh	нарадзіліся
sinh	народжаны
sinh	нараджэння
sinh	нараджэньня
sinh	мукаў
sinh	нараджае
sinh	кульгавы
con	дзіця
con	дзіцятка
quan	—
tin	вераць
tin	веру
tin	верыць
tin	паверылі
tin	гісторыі
tin	апавяданняў
tin	навіны
tin	пра
tin	давер
tin	паверце
tin	мне
viên	парк
viên	парку
hai	дзьве
hai	два
hai	дзве
hai	двух
hai	двое
hai	двойку
phải	мусіць
phải	няхай
việc	працу
việc	праца
việc	задача
việc	працы
bắc	паўночнай
bắc	паўночным
bắc	поўначы
sách	кніг
sách	кнігі
sách	кніжак
sách	кнізе
sách	кнігу
sách	кнігі
sách	кніга
tiểu	мала
khác	розных
khác	розныя
khác	іншае
khác	іншых
khác	іншыя
khác	аднаго
khác	іншы
khác	іншых
khác	іншыя
khác	людзьмі
khác	другія
khác	другіх
cao	першасьвятаром
cao	першасьвятара
cao	першасьвятар
tây	захаду
trường	школах
trường	поле
trường	полі
trường	школу
trường	школе
trường	школы
trường	школа
trường	палі
bang	ўлады
bang	стан
tiếng	гадзін
tiếng	гадзіны
tiếng	гадзінаў
tiếng	гадзіну
tiếng	гадзіна
tiếng	гадзіны
điểm	што
thứ	рэч
thứ	што
đông	усходу
phố	горад
phố	горадзе
phố	гораду
phố	горад
phố	горадзе
phố	вуліцы
phố	вуліца
phố	вуліцу
khu	міністэрства
khu	калонію
khu	калоніі
hơn	за
hơn	чым
nhưng	але
nhưng	а
cánh	крылы
cánh	крылаў
chủ	кораня
cách	шляхі
đội	каманду
đội	камандай
đội	каманда
phần	часткай
phần	частка
phần	часткі
phần	частак
phần	часткі
phần	члены
dưới	пад
giới	свет
giới	свеце
châu	амерыцы
châu	амерыкі
châu	зша
điều	што
điều	рэчы
điều	гэта
điều	рэч
điều	што
bay	лёталі
bay	ляцеў
bay	палётаў
bài	карткамі
bài	карты
bài	картаў
bài	кароткі
bài	апавяданняў
bài	кароткае
bài	малы
bài	карта
bài	матывы
bài	карту
lượng	энергія
lượng	энергіі
lượng	энэргію
lượng	энэргіі
lượng	энэргія
lớn	мноства
lớn	шматлікі
lớn	шматлікія
lớn	вялікі
lớn	вялікага
lớn	што
lớn	вялікі
lớn	вялікія
phim	кіно
trước	ўпершыню
trước	спачатку
trước	першы
trước	перш
trước	раней
trước	да
trước	перад
đức	нямецкай
đức	германія
đức	германіі
đêm	ноч
đêm	ўначы
đêm	уначы
bởi	з
bởi	праз
bằng	з
bằng	праз
nhỏ	мала
đường	план
đường	дарозе
đường	шлях
đường	цукру
thêm	дадаць
thêm	больш
xem	паглядзець
xem	на
xem	шукаць
xem	вось
xem	паказаць
xem	гадзіннік
xem	глядзіце
xem	чувайце
xem	ўбачыць
xem	бачыць
xem	прагляд
máy	машыны
máy	машыннай
máy	машынная
máy	машына
máy	машыну
máy	запрасіў
hoàng	князя
hoàng	князь
chức	мелі
chức	дзеля
chức	пільнаваць
chức	і
lực	моц
lực	сілаю
lực	сілу
hay	добры
hay	добра
hay	добрыя
hay	добрае
hay	ці
hay	або
hay	ані
sống	жыве
sống	жывога
sống	жывёлы
sống	жыву
sống	жыць
sống	жывуць
sống	жывымі
sống	жывы
sống	ажыў
thường	звычайна
thường	звычайныя
ban	пра
nhận	атрымаць
nhận	атрымалі
qua	апошніх
qua	над
qua	праз
qua	не
qua	праходзяць
qua	судзіш
ảnh	карціну
ảnh	здымак
ảnh	фота
ảnh	вобласці
ảnh	выявы
ảnh	вобраз
ảnh	выяў
ảnh	вобразу
hòa	мір
hòa	супакой
hòa	супакоі
quyền	правы
gồm	уключаючы
gồm	і
biển	пляжы
biển	мора
biển	моры
cứng	цяжка
cứng	старанна
tiếp	каля
xếp	досыць
hàng	рад
rằng	што
đánh	перамог
đánh	зьбілі
đánh	біў
đánh	зьбіўшы
đánh	ўдарылі
đánh	мяне
đánh	расцягнула
nhạc	музыка
nhạc	музыцы
nhạc	музыку
nhạc	музыкай
nhạc	музыкі
nhạc	прайгравальнік
nhạc	музычнай
hóa	хімічных
tranh	малюнак
tranh	вайны
tranh	сусветнай
tranh	вайна
tranh	вайну
tranh	вайне
gọi	называем
gọi	называюць
gọi	клікаць
gọi	“
gọi	кліча
gọi	клічуць
tàu	карабля
tàu	карабель
tàu	караблі
tàu	караблём
tàu	караблі
tàu	чаўне
tàu	чаўна
trang	бок
trang	баку
trang	боку
trang	старонкі
trang	старонкі
hoặc	ці
hoặc	або
hoặc	ані
tạo	створана
tạo	стварылі
tạo	стварыў
tạo	створаны
tạo	стварыць
tạo	стварэньне
tạo	стварэньня
tạo	стварэньне
tạo	заснаваньня
tạo	каманду
tạo	камандай
tạo	каманда
nên	і
nên	таму
nên	так
nên	каб
nên	трэба
nên	няхай
mới	новыя
mới	новае
bắt	злавіць
mặt	твар
mặt	твары
mặt	аблічча
tinh	планеты
rất	вельмі
rất	сапраўды
đất	зямлі
đất	зямлю
đất	зямлі
đất	на
đất	зямлю
đất	неглыбокая
tới	каб
tới	да
tới	прыйшла
tới	прыйшоў
tới	прыйшлі
tới	прыходзіць
luận	лягічная
hải	натуральна
hải	вядома
khoảng	пра
khoảng	вакол
khoảng	яго
lần	разоў
lần	час
lần	часы
làng	мястэчках
làng	мястэчкі
làng	вёсцы
làng	вёску
làng	мястэчка
vương	вянок
vương	багаты
vương	багатыя
vương	багацьце
vương	багатага
toàn	ўсё
toàn	ўвесь
nhật	японец
nhật	японскай
nhật	японскі
viết	напішу
viết	пісаць
viết	напісаў
viết	напішы
viết	напісаў
viết	напісала
viết	пісаў
viết	напісаў
viết	пісаць
viết	пішучы
bảo	сказаў
bảo	кажа
bảo	кажучы
bảo	кажу
đơn	з
điện	электрычнасці
thấy	бачылі
thấy	бачыў
bao	не
bao	ніколі
bao	ня
bao	як
bao	колькі
nghiệp	бедны
nghiệp	ўбогім
nghiệp	кар
nội	дзядуля
nội	ўнутраныя
tiêu	мэта
thiết	павінна
thiết	патрэбна
thiết	патрэбны
thiết	каб
thiết	трэба
thiết	голы
gian	раз
gian	часу
gian	час
đảo	востраў
tâm	цэнтру
tâm	цэнтр
tâm	цэнтрам
tâm	пасаду
thanh	асабовасць
thanh	прылад
dùng	выкарыстоўваць
nói	сказаў
nói	кажа
nói	кажучы
nói	кажа
nói	скажа
nói	сказаць
nói	кажу
nói	пра
nói	гаварыць
nói	гаварыць
sông	раку
đang	—
đang	—
giữa	сярэдзіне
giữa	паміж
giữa	між
phòng	рым
phòng	рыме
phòng	пакой
phòng	пакоі
phòng	зале
phòng	месца
đổi	змяніць
đổi	зменіць
đổi	змены
đổi	зменіцца
chuyển	пакладзіце
nay	сёння
nay	сёньня
trọng	важна
trọng	важная
trọng	важны
trọng	важныя
trọng	важнае
chế	зрабіў
biết	ведаеце
biết	ведаю
biết	ведаем
nằm	мяне
nằm	аддаю
nằm	душу
nằm	кладу
binh	жаўнеры
binh	жаўнераў
binh	узяўшы
binh	жаўнерам
sáng	раніцай
sáng	раніцы
sáng	ранку
sáng	раніца
thân	цела
thân	целе
nơi	месца
nơi	месцы
nơi	пакладзіце
cuối	апошні
cuối	апошнія
tăng	павелічэнне
lưu	выратаваць
lưu	збавіш
lưu	збавіць
lưu	збаў
tôi	мяне
tôi	мне
tôi	мною
nổi	вядомы
đặt	яго
đặt	выбар
đình	сям
chim	птушак
chim	птушкі
dài	даўно
dài	доўга
bóng	цень
bóng	ценю
vua	караля
vua	валадару
vua	валадар
vua	валадара
vua	валадароў
vua	валадары
vua	валадарамі
phi	афрыцы
hậu	даму
hậu	дамы
chương	праграма
chưa	але
chưa	яшчэ
chưa	ня
bên	бок
bên	баку
bên	боку
vẫn	яшчэ
vẫn	дагэтуль
mất	згубіла
mất	згубіў
liệu	дакумент
liệu	праглядальнік
sơn	малюнак
báo	газету
tìm	шукаем
tìm	шукаюць
tìm	пошук
tìm	даведайцеся
tìm	шукаючы
tìm	знайсці
tìm	знайшоў
thần	богі
thần	багоў
bạn	вы
bạn	вас
bạn	вам
bạn	ты
bạn	сяброўка
bạn	сябар
bạn	сябра
thay	змяніць
thay	зменіць
thay	змены
thay	зменіцца
nhóm	групы
nhóm	групай
nhóm	групу
nhóm	група
nhóm	групы
nhóm	групах
giá	каштоўнасць
giá	значэньне
giá	колькасці
giá	гэта
giá	акупіцца
giá	даражэй
gần	амаль
gần	блізка
gần	блізкіх
gần	блізкія
gần	блізкі
gần	вочы
gần	заплюшчы
gần	блізка
cứu	выратаваць
cứu	збавіш
cứu	збавіць
cứu	збаў
cứu	дапамагчы
lớp	каманду
lớp	камандай
lớp	каманда
lớp	класе
lớp	клас
lớp	урок
quyết	вырашыла
quyết	вырашылі
quyết	вырашыў
tiền	грошы
tiền	срэбра
phục	сэрвер
tuổi	эра
tuổi	веку
tuổi	старыя
tuổi	старое
chân	ног
chân	нагамі
chân	ногі
chân	ногі
chân	перабілі
chân	нага
đời	жыццё
đời	жыцця
đời	жыцьцё
đời	душу
cần	трэба
cần	патрэбна
cần	павінны
cần	патрэбы
chơi	гульня
chơi	гульні
chơi	гульню
mùa	час
nguồn	крыніца
nguồn	крыніцу
nguồn	паліва
nguồn	крыніцай
nguồn	крыніцы
nguồn	першаснага
nguồn	першасны
nguồn	крыніц
nguồn	крыніцы
long	даўно
long	доўга
long	цмок
nếu	калі
đóng	блізка
đóng	блізкіх
đóng	блізкія
đóng	блізкі
đóng	вочы
đóng	заплюшчы
dẫn	шляхі
dẫn	вядзе
dẫn	вадзіць
dẫn	ўводзь
dẫn	сьмерць
quá	занадта
quá	таксама
quá	вельмі
quá	надта
quá	і
thắng	перамагчы
thắng	каб
thắng	здабыць
thắng	перамаглі
thắng	не
thắng	дапамажы
thắng	перамагла
thắng	нікому
thắng	дарадцаў
thắng	перамог
mang	і
mang	нёс
khí	зброяй
khí	паветра
hạng	класе
hạng	клас
hạng	урок
huy	загаду
huy	загад
huy	прыказаньне
huy	загадваю
huy	«
cây	раслін
cây	расліны
cây	садзіць
cây	дрэва
cây	дрэвам
cây	дрэвы
cây	дрэваў
cây	дрэў
thư	ліст
thư	пасланьне
giữ	маюць
giữ	трымацца
giữ	каб
cảnh	паліцыю
cảnh	паліцыя
triệu	мільёнаў
triệu	мільёны
triệu	мільёны
phép	дазволіў
new	новыя
new	новае
yếu	слабое
yếu	слабы
yếu	веданьне
mật	сакрэт
mật	таямніцу
mật	таемна
mạng	сетку
mạng	сеціва
mạng	сеціве
câu	сказ
câu	сказы
ghi	напішу
ghi	пісаць
ghi	напісаў
ghi	напішы
ghi	напісаў
ghi	пісаць
ghi	пішучы
sao	чаму
sao	навошта
sao	што
giả	фальшывымі
giả	фальшыва
giả	фальшывыя
giả	фальшывы
ngữ	мову
ngữ	мове
ngữ	мовы
ngữ	мова
cung	дае
cung	ажыўляе
tượng	аб
chống	мужнасць
chống	супраць
chống	на
nhập	ўводу
nhập	супачынак
nhập	ўвайсьці
nhập	ўваходзіць
nhập	ўвойдзеце
hạt	ядро
chết	смерці
chết	памерці
chết	паміраюць
chết	памрэ
chết	смерць
chết	сьмерць
chết	сьмерці
chết	памёр
chết	памерлі
chết	мёртвых
chung	агульнага
chung	аднолькавае
chung	агульнае
trần	дах
mẫu	формы
mẫu	выглядзе
mẫu	вобразу
mạnh	моцны
trái	пакінуў
trái	пакінула
trái	выйшаў
trái	пакінуўшы
bán	за
bán	прадалі
bán	прадаць
bán	прадаюцца
bán	прадаў
bán	прадавалі
bán	меў
bán	перавярнуў
rộng	шырыня
thuyết	тэорыя
đạt	дасягнуць
giờ	гадзін
giờ	гадзіны
giờ	гадзінаў
giờ	зараз
giờ	цяпер
giờ	а
giờ	гадзіну
giờ	гадзіна
giờ	гадзіны
mỗi	кожны
mỗi	кожны
mỗi	кожнага
mỗi	аднога
mỗi	аднаго
núi	гара
núi	гары
núi	аліўнай
núi	горы
sang	сьпяваюць
phản	выдаў
luật	закону
luật	закон
luật	законам
luật	правіла
luật	панаваць
luật	законы
yêu	і
yêu	любіла
yêu	любіў
yêu	палюбіў
yêu	каханне
yêu	любоў
yêu	любіць
yêu	любові
yêu	кагосьці
môi	вуснаў
môi	вуснамі
môi	вусны
môi	вуснах
độc	толькі
độc	адзін
độc	аднаго
pháo	батарэя
giúp	дапамагчы
phá	падкопваюць
tay	руку
tay	руцэ
tay	рука
tay	рукі
tay	рукі
tay	рук
tay	руку
tay	рукамі
rồi	а
rồi	тады
rồi	і
rồi	дык
chia	падзелены
chia	разьдзялілася
chia	разьдзяліўся
chia	між
chia	ў
chia	з
chia	падзяліцца
chia	частку
chia	радасьць
lời	слова
lời	словы
lời	словамі
lời	словаў
phạm	злачынцаў
chọn	выбраць
chọn	выбралі
chọn	мужоў
chọn	з
chọn	зьбіраюць
chọn	зрываць
chọn	браць
chọn	ложак
chọn	выбар
lục	зялёныя
bàn	стале
bàn	стол
bàn	сталом
bàn	табліца
bàn	стол
đai	пояс
tông	выгнаў
tuần	тыдзень
tuần	тыдні
tuần	тыдня
tuần	дзён
tuần	тыдні
tuần	тыдняў
phiên	версія
phiên	версію
phiên	вэрсія
chứng	сьведка
chứng	сьведкі
chứng	сьведчыў
chứng	пра
chứng	сьведкам
bệnh	і
bệnh	хворых
bệnh	хворы
bệnh	нямоглых
bệnh	хваробы
vòng	вакол
vòng	яго
phái	піхце
phái	бярозе
phái	паслаў
phái	паслалі
phái	паслаўшы
khai	кажа
tốt	добры
tốt	добра
tốt	добрыя
tốt	добрае
lệnh	прыказаньняў
lệnh	загадвае
lệnh	прыказаньні
lệnh	загаду
lệnh	загад
lệnh	прыказаньне
lệnh	загадваю
lệnh	«
gây	зьявіўся
gây	паўстаў
gây	зьявілася
chữ	тэкст
chữ	тэкста
chữ	тэкставых
chữ	тэкставы
chữ	ліст
chữ	пасланьне
duy	толькі
hết	усё
hết	ўсё
hết	ўсім
hết	ўсе
hết	усе
hết	ўсё
hết	ўсіх
hết	над
hầu	амаль
mặc	апранута
mặc	насіць
mặc	носіць
mặc	аранжавую
mặc	апрануўшы
mặc	апрануць
mặc	насіць
mặc	носіць
mặc	шаты
mặc	апрануцца
muốn	будуць
muốn	будзе
muốn	хачу
ninh	бяспецы
khỏi	ад
khỏi	з
tưởng	падумала
tưởng	падумаў
tưởng	думала
tưởng	думаў
tưởng	думалі
vàng	золата
vàng	золатам
vàng	жоўты
dòng	радку
dòng	лініі
ngay	адразу
ngay	зараз
ngay	цяпер
ngay	а
đậu	просьбы
đậu	моляцца
đậu	малітвах
đậu	малітвы
đậu	малітвамі
khách	вас
khách	прыйсьці
khách	братоў
địch	ворага
địch	вораг
địch	ворагам
thánh	сьвятога
thánh	сьвяты
thánh	сьвятым
trẻ	маладых
linh	духоўны
linh	духоўныя
linh	духоўнага
linh	духоўным
linh	духоўнае
trai	хлопчыка
trai	хлопчык
trai	хлопец
trai	хлопца
trai	сын
trai	сына
trai	сыне
cải	дары
cải	падарункі
chạy	пасаду
chạy	ёй
chạy	бягу
chạy	балатавацца
chạy	ехаць
chạy	вадзіць
chạy	выганяю
chạy	выганяць
thuận	узяць
thuận	вазьміце
nông	вінаградарам
bảng	стале
bảng	стол
bảng	сталом
bảng	табліца
chiều	дзень
chiều	абеду
cực	вельмі
cực	сапраўды
mét	ног
mét	нагамі
mét	ногі
mét	метраў
lâu	даўно
lâu	доўга
gặp	сустрэцца
gặp	пазнаёміцца
gặp	сустракаю
gặp	насустрач
gặp	спатканьне
chu	напэўна
chu	мабыць
chu	магчыма
ước	каб
lai	будучыня
lai	будучыню
lai	будучыні
vài	некалькі
song	бацькі
song	бацькоў
song	бацькамі
quay	да
quay	і
quay	ад
điển	слоўнік
american	амерыканскія
american	амерыкі
rừng	лес
rừng	леса
rừng	лес
rừng	лесу
rừng	лесе
thưởng	ўзнагарода
thưởng	узнагарода
thưởng	нагароду
thưởng	нагарода
thưởng	нагароды
thưởng	яўна
toán	матэматыку
toán	матэматыцы
đứng	стаялі
đứng	стаяць
đứng	стаіць
đứng	стаяў
đứng	стаяць
đứng	стаіцё
đứng	стань
truyện	гісторыю
truyện	гісторыя
truyện	гісторыі
truyện	чытаць
truyện	чытаючы
truyện	чытанне
truyện	чытанні
truyện	чытання
truyện	чытае
truyện	чытаў
truyện	гісторыі
truyện	апавяданняў
khởi	пачаць
bầu	грудзьмі
thờ	царкве
thờ	царква
thờ	царквою
cửa	дзверы
cửa	адчыняць
cha	бацька
cha	бацьку
cha	айца
cha	айцец
giết	забойства
giết	забіць
giết	заб
giết	загубіць
nhanh	хутка
nhanh	рэстараны
nhanh	посьцяць
nhanh	посьціць
nhanh	посьцячыся
nhanh	хуткая
nhanh	хуткі
nhanh	хутка
nhanh	хутчэй
nhanh	адразу
giấy	паперы
giấy	спяцоўку
giấy	папяровая
giấy	папера
kiểu	тып
hương	пакаштуюць
súng	зброяй
nghiệm	эксперыментаў
nghiệm	эксперыментах
tối	цёмнай
tối	цёмная
tối	цёмны
tối	і
tối	цёмна
tối	цемры
tối	вячэру
tối	вячэра
tối	абед
tối	ўзьлягалі
tối	ўвечары
tối	вечар
tối	калі
tối	і
giảm	менш
giảm	меней
website	сайт
đôi	удвая
đôi	часам
gái	дачку
gái	дачка
gái	дачкі
gái	дзяўчына
gái	дзяўчыну
gái	дзяўчынку
gái	дзяўчынка
gái	дзяўчыне
mắt	вочы
mắt	вачах
mắt	вачэй
mắt	акуліста
mắt	акуліст
mắt	вока
mắt	воку
mắt	вушка
cáo	аб
cáo	заяўляць
cáo	паведаміце
cáo	пра
sai	не
sai	фальшывымі
sai	фальшыва
sai	фальшывыя
sai	фальшывы
sai	памылку
sai	памылка
sai	падману
sai	чытаньня
sai	запісу
sửa	рэдагаваньне
sửa	рэдактар
sửa	дакараньне
dựa	аснове
dựa	на
dựa	паводле
lửa	агонь
lửa	агню
lửa	агнём
lửa	полымя
nặng	абцяжэлі
nặng	голад
chuyện	гісторыю
chuyện	гісторыя
chuyện	гісторыі
ngành	індустрыі
ngành	індустрыя
ngành	яго
ngành	ягоныя
trắng	белы
trắng	белая
trắng	белую
trắng	белае
trắng	белым
trắng	белыя
đọc	прачытала
đọc	чытаць
đọc	чыталі
đọc	чытаць
đọc	чытаючы
đọc	чытанне
đọc	чытанні
đọc	чытання
đọc	чытае
đọc	чытаў
chịu	пакутаваць
chịu	перацярпець
chịu	цярпець
chịu	за
chịu	збаўленьня
hại	ліха
hại	благога
hại	зло
hại	шкоду
hại	шкоды
nhìn	паглядзець
nhìn	на
nhìn	шукаць
nhìn	вось
quý	спадарыні
thật	рэальным
thật	сапраўднае
thật	сапраўдны
thật	рэальны
thật	рэальныя
thật	так
thật	праўда
thật	праўдзівы
thật	праўда
thật	праўды
thật	праўдзе
thật	сапраўды
thật	вельмі
thật	насамрэч
đen	чорны
đen	чорная
đen	чорныя
đen	чорным
xin	ласка
xin	падыміце
trời	небе
trời	блакітнае
trời	неба
trời	нябесныя
ngắn	кароткі
ngắn	апавяданняў
ngắn	кароткае
ngắn	малы
trả	плаціць
trả	заплаціць
luôn	заўсёды
côn	яшчэ
côn	дагэтуль
phúc	шчаслівым
phúc	шчаслівай
phúc	шчаслівымі
phúc	шчаслівыя
phúc	шчаслівы
phúc	з
phúc	радая
phúc	што
sâu	ў
sâu	глыбокае
sâu	глыбокі
sâu	глыбокія
khó	цяжка
khó	старанна
khó	цяжка
cục	вопратак
trạng	горш
top	вехнім
top	верху
bốn	4
bốn	чатыры
bốn	чатырох
bốn	чацвёрку
phật	перамог
phật	зьбілі
phật	біў
phật	зьбіўшы
phật	ўдарылі
vốn	яго
vốn	капітал
vốn	сталіца
sóng	хваля
kiếm	мячы
kiếm	мячамі
kiếm	каламі
kiếm	меч
kiếm	мяча
kiếm	мячом
hiểu	зразумеў
hiểu	зразумелі
hiểu	зразумець
hiểu	разумею
hiểu	што
bụng	жывот
nuôi	падняць
nuôi	тры
nuôi	ўваскрашу
xóa	прыбярыце
thử	паспрабаваць
thử	каб
thử	паспрабуйце
thử	тэст
thử	спакушаючы
thử	спакусіць
john	джон
john	ян
john	яна
tội	грэх
tội	мелі
liệt	ягня
liệt	ягнём
liệt	спараліжаваны
mua	набыць
mua	купіць
mua	купіў
mua	купілі
mua	купіла
mua	набыў
bật	на
họa	няшчасьця
khối	блок
khối	block
hiến	ідалам
chiếu	шахматы
chùa	бажніцу
chùa	сьвятыню
chùa	сьвятыні
chùa	бажніца
vườn	садзе
vườn	гарод
vườn	сад
vườn	і
group	групы
group	групай
group	групу
group	група
tần	краіну
tần	ваколіцы
tần	край
tần	межаў
tần	межы
loạt	краіну
loạt	ваколіцы
loạt	край
loạt	межаў
loạt	межы
team	каманду
team	камандай
team	каманда
thịt	мяса
thịt	целе
thịt	цела
thịt	целам
khóa	замкнуў
khóa	замкнёныя
khóa	галоўнае
khóa	ключ
suy	думкі
suy	духа
thuốc	медыцыны
thuốc	лекі
đúng	так
đúng	праўда
đúng	праўдзівы
video	відэа
video	відэа
nghe	пачулі
nghe	чулі
nghe	чуў
nghe	пачуў
nghe	чуеце
nghe	чуюць
nghe	слухаць
nghe	слухала
nghe	слухаў
nghe	цёпла
ngựa	коней
chỗ	месца
chỗ	месцы
chỗ	пакладзіце
vân	але
vân	яшчэ
vân	ня
tai	вуха
tai	вушы
tai	вуха
bước	крок
bước	мы
bước	крокі
canada	канадзе
nạn	аварыі
cát	пясок
vinh	пашана
vinh	пашаны
vinh	пашану
vinh	шануй
vinh	славу
vinh	слава
vinh	і
vinh	слава
vinh	славы
vinh	славе
vinh	славу
tuyệt	вялікую
tuyệt	вялікі
dầu	алеем
dầu	алею
dầu	і
dầu	алей
hôn	цалаваў
hôn	пацалаваў
hôn	цалавала
trừ	акрамя
trừ	не
trừ	апрача
trừ	хіба
trừ	толькі
ship	карабля
ship	карабель
ship	караблі
ship	караблём
xương	ногі
xương	перабілі
california	каліфорніі
california	каліфорнія
đẹp	прыгожыя
đẹp	прыемна
cai	пільнымі
cai	чысты
cai	ачысьціць
cai	місу
cai	чыстае
phút	хвілін
phút	хвіліны
phút	хвіліну
loạn	раздражненьні
phí	ад
nâng	падняць
nâng	тры
nâng	ўваскрашу
mai	заўтра
tách	кавы
tách	кубкам
tách	келіх
tách	келіха
bạch	белы
bạch	белая
bạch	белую
bạch	белае
bạch	белым
bạch	белыя
phê	кавы
phê	каву
phê	кава
bạc	і
bạc	срэбра
bạc	срэбрам
tán	пра
tán	чутка
tán	слова
tán	пасьцілалі
đền	бажніцу
đền	сьвятыню
đền	сьвятыні
đền	бажніца
web	сеціва
web	інтэрнэт
web	нерат
web	сеткі
đỉnh	вехнім
đỉnh	верху
nghề	працу
nghề	праца
nghề	задача
nghề	працы
file	файл
file	файла
file	файлаў
file	файлавы
bày	экране
nghĩ	пра
nghĩ	думаць
nghĩ	думкі
nghĩ	падумала
nghĩ	падумаў
nghĩ	думала
nghĩ	думаў
nghĩ	думалі
nghĩ	думаю
nghĩ	думаць
nghĩ	лічу
rắn	зьмеяў
sắt	жалеза
thác	ў
thác	ігуазу
thác	упадзе
thác	ўпадзе
thác	бяду
tường	сцяну
tường	сцяна
tường	мур
tường	сцены
game	гульня
game	гульні
game	гульню
gửi	піхце
gửi	бярозе
gửi	паслаў
gửi	паслалі
gửi	паслаўшы
gửi	пашлю
gửi	пашлі
gửi	паслаў
gửi	будзьце
gửi	падпарадкоўвайцеся
gửi	падпарадкоўваюцца
nhớ	памятаю
nhớ	памятайце
tùy	залежыць
trại	бежанцаў
thuyền	чаўны
thuyền	караблі
thuyền	чаўне
thuyền	чаўна
lượt	да
lượt	і
lượt	ад
tan	прайшло
tan	праз
tan	перайшлі
tan	прамінуў
tan	праходзілі
tan	перадаў
nửa	палова
nửa	на
nửa	напалову
nửa	паловай
nửa	палову
nửa	шэсьць
nửa	дынараў
united	зша
united	штаты
thẳng	проста
kênh	канал
cup	кавы
cup	кубкам
cup	келіх
cup	келіха
