सेब	jabuka
उत्खनन	iskopavanja
उन्नयन	modernizaciju
पेंशन	penzije
गरिमा	dostojanstvo
बताना	reci
बताना	tell
बताना	reći
मैक्सिकन	meksički
देशो	zemljama
देशो	zemlje
खोपड़ी	lobanja
कोलम्बिया	kolumbija
विद्रोहियों	pobunjenicima
विद्रोहियों	pobunjenici
विद्रोहियों	pobunjenika
कैसा	kako
स्टीवन	steven
टेल	tale
टेल	rep
कबीले	pleme
कबीले	plemena
रणनीतिक	strateške
रणनीतिक	strateška
रणनीतिक	strateški
रणनीतिक	strateški
रणनीतिक	taktičku
रणनीतिक	taktičke
रीड	trska
रीड	reed
प्रक्षेप	projekcija
पर्यवेक्षण	nadzorom
एमी	amy
एमी	emi
प्लेटो	platon
मीन	ribe
कनाडाई	kanadski
निषिद्ध	zabranjeno
निषिद्ध	zabranjeno
सेम	grah
सेम	grah
सेम	sem
रॉन	ron
बरसात	kiša
इंटेल	intel
फास्ट	brzo
फास्ट	brza
फास्ट	brz
फास्ट	brzi
यथार्थवाद	realizam
बाह	bah
दर्शनशास्त्र	filozofija
ज्वाला	plamen
ईंटों	cigla
कर्ज	duga
कर्ज	dug
सलाद	salata
जलन	ljubomoran
शौकिया	amaterski
अनूठा	jedinstveni
अनूठा	jedinstveno
अनूठा	jedinstven
अनूठा	jedinstvena
कैरी	carrie
कैरी	carey
पहेली	nedoumica
पहेली	enigma
जामा	jama
फ्रैंकलिन	franklin
सेकेंड	sekundi
सेकेंड	drugi
मानविकी	humanities
महापौर	gradonačelnik
आयताकार	pravougaonik
आयताकार	pravougaonih
प्रस्तावना	uvođenje
प्रस्तावना	upoznavanje
प्रस्तावना	uvod
प्रस्तावना	prolog
मैनहटन	manhattan
मॉरीशस	mauricijusa
लावा	lave
लावा	lavi
बाधाओं	barijere
बाधाओं	barijera
बाधाओं	prepreka
बाधाओं	prepreke
माइग्रेन	migrena
परिधान	dress
गोलीबारी	streljaštvu
हब	čvorište
जग	world
जग	svjetski
जग	svijet
जग	jag
पम्प	pumpa
बायर	bayer
नाल	potkovica
पवित्रता	svetost
रोचेस्टर	rochester
डोनाल्ड	donald
रमन	raman
सीढ़ी	stepenica
सीढ़ी	ljestvici
प्रतिकृति	šema
प्रतिकृति	obrazac
प्रतिकृति	replike
घराने	žanrova
धमाके	bang
परोसा	služio
कार्टर	carter
सिरदर्द	glavobolja
कट्टर	čvrsti
उपनिवेशवाद	kolonijalizam
उपनिवेशवाद	kolonija
सैंडविच	sendvička
चिप्स	cips
विधियां	metoda
विधियां	metode
वेस्टमिंस्टर	vestminsterska
शैतान	šejtan
शैतान	šejtan
नैनोट्यूब	nanocijev
उद्धार	spašavanja
उद्धार	spašavanje
पैकेजिंग	ambalaže
म्यूनिख	münchen
शरीफ	sharif
बिस्तर	krevet
बिस्तर	postelju
बिस्तर	bed
बोल्ट	bolt
गुम्बद	kupola
सेवानिवृत्ति	penzionisanja
सेवानिवृत्ति	penzionisanje
जश्न	proslava
जश्न	proslavama
जश्न	proslave
जश्न	proslava
जश्न	proslave
जश्न	slavlje
जश्न	proslavu
नोबल	plemeniti
टायसन	tyson
लहरों	talasi
अस्थिरता	nestabilnost
स्पाइवेयर	spyware
संग्रहीत	arhivirano
सीसा	olova
सीसा	olovo
तना	proističe
तना	stem
सदाबहार	evergreen
कंकाल	kostur
नाइट्राइट	nitrit
समीर	samir
ऑर	orr
तांबे	bakar
समतुल्य	ekvivalentni
समतुल्य	ekvivalent
जिन्ना	jinnah
फेरारी	ferrari
एमआईटी	mit
संभावनाओं	mogućnostima
संभावनाओं	mogućnosti
केक	kolaca
जिज्ञासा	curiosity
अन्याय	nepravda
अन्याय	nepravdu
अन्याय	nepravde
अनुसूची	raspored
एनिमेशन	animacija
एनिमेशन	animations
देखो	vidi
इंतजार	sačeka
इंतजार	čekati
इंतजार	wait
हिम्मत	hrabrost
हिम्मत	dare
प्रमाणपत्र	potvrde
प्रमाणपत्र	certifikat
सांकेतिक	simbolično
असमानता	nejednakost
आमदनी	prihod
टिन	kalaj
चारा	mamaca
ओलिवर	oliver
डिब्बे	limenke
घनी	gusta
एस्पिरिन	aspirin
सोर्स	izvor
विश्लेषक	analitičar
चेल्सी	chelsea
बाजरा	millet
पाम	pam
इच्छाओं	strastima
इच्छाओं	želje
संन्यास	penzionisanja
संन्यास	penzionisanje
पुनर्वास	rehabilitaciju
पुनर्वास	obnovu
प्रोसेसर	procesor
स्ट्रीम	tokove
स्ट्रीम	potok
वक्तव्य	izjava
चंद्रगुप्त	chandragupta
कोंकणी	konkani
कृत्यों	funkcija
कृत्यों	funkcije
बारहवीं	xii
बारहवीं	dvanaestu
स्टुअर्ट	stuart
प्रदाताओं	provajdera
फेंकने	bacanje
शर्तें	uslovi
शर्तें	pojmove
शर्तें	uslovi
मॉड्यूल	modula
मॉड्यूल	modul
हिरण	jelen
ईसाइयों	hrišćani
सईद	saeed
प्रेषित	poslata
प्रेषित	poslali
प्रेषित	poslao
प्रेषित	poslan
ज़िन्दगी	život
बॉय	boy
बॉय	dječak
बॉय	dečak
हजरत	hazrat
इब्राहिम	ibrahim
स्टेरॉयड	steroid
संवेदी	senzorni
संवेदी	čulni
कार्लो	carlo
तपेदिक	tuberkuloze
पुर	pur
वीजा	vize
वीजा	vize
वीजा	viza
बैनर	banner
याहू	yahoo
बुजुर्ग	starije
वेदी	altar
प्रलय	katastrofe
प्रलय	katastrofa
घटती	padu
नन्द	nand
रिले	štafeta
चुनौतियों	izazovi
चुनौतियों	izazove
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situacija
हालात	stanje
हालात	šanse
हालात	okolnosti
हालात	okolnostima
भैंस	buffalo
महाद्वीपों	kontinente
महाद्वीपों	kontinenti
लेनिन	lenjin
समाचारपत्र	novine
साम्य	sličnost
संतोषजनक	zadovoljavajući
संतोषजनक	zadovoljavajuće
रनवे	pisti
सफ़र	putovanje
मनोरोग	psihijatrijske
खींचा	izvukao
सल्फर	sumpor
सल्फर	sumpor
स्क्वैश	squash
लॉक	brava
एबीसी	abc
वाल्टर	valter
वाल्टर	walter
डाकू	outlaw
डाकू	pljačkaša
पीएचडी	doktorski
फ़ुटबॉल	nogomet
फ़ुटबॉल	fudbala
फ़ुटबॉल	fudbalu
फ़ुटबॉल	football
फ़ुटबॉल	fudbal
गॉर्डन	gordon
वाटसन	watson
सहिष्णुता	tolerancija
सहिष्णुता	tolerancije
सहिष्णुता	toleranciji
लूथर	luther
लूथर	luter
परिपक्वता	zrelost
निरंतरता	kontinuitetu
निरंतरता	kontinuitet
निरंतरता	održivost
पनामा	panama
लॉरेंस	lawrence
हिरासत	staranje
हिरासत	pritvoru
लड़	bori
बौना	patuljak
बौना	patuljasta
रेखाचित्र	crtež
स्वदेश	nacija
सुपरमैन	superman
बुल	buldog
बुल	bik
विकिस्रोत	wikisource
निक	nik
निक	nick
पीढी	generacija
माउस	miš
क्राउन	kruna
क्राउन	krunu
साड़ी	sari
बहुमुखी	višenamjenski
बहुमुखी	svestrani
पहियों	wta
पहियों	točkove
स्पीयर्स	koplja
छठा	šesti
छठा	šestom
स्पा	banja
स्पा	spas
मातृभूमि	domovina
मशीनें	mašine
पनडुब्बी	podmornica
मुखर	glasni
पूर्णांक	cijelobrojni
शौक	hobi
निचला	donjem
निचला	niže
निचला	niži
वानर	majmun
नौकर	sluga
बोवी	bowie
अफगान	afganistanski
दोहा	doha
टार्ज़न	tarzan
उदासीन	nostalgični
राजमहल	palata
राजमहल	palača
बसों	autobusa
अर्थहीन	besmislenim
मॉर्गन	morgan
रसेल	russell
संगीतमय	muzičkim
संगीतमय	muzičke
संगीतमय	muzički
संगीतमय	muzička
संगीतमय	mjuzikl
संगीतमय	musical
टिक	tik
टिक	tic
क्राइस्ट	hristos
क्राइस्ट	hrista
प्रायोजक	sponzor
प्रायोजक	sponzori
ब्रिगेड	brigada
पॉलिसी	politika
कलाई	zgloba
अल्फ्रेड	alfred
वेल्श	velški
वेल्श	braille
कराटे	karate
ग्रंथियों	žlijezde
ट्रैफिक	saobraćaj
सिखाया	učio
सिखाया	učili
लिबरल	liberalne
लिबरल	liberalni
लिबरल	liberalna
खंडहर	ruševina
खंडहर	ruševine
खंडहर	ruševinama
कर्क	rak
प्रेरण	indukcija
लामा	lama
लेज़र	laser
बाइबल	biblija
क्रमांक	broj
आविष्कारक	pronalazača
आविष्कारक	pronalazač
गोपनीय	tajna
प्रेत	zombie
सप्ताहांत	vikend
कब्रिस्तान	mezarja
कब्रिस्तान	groblje
बुल्गारिया	bugarska
पासपोर्ट	pasoš
प्रज्ञा	inteligencija
बेशक	zaista
बेशक	sigurno
आइसलैंड	island
टोयोटा	toyota
ब्लाक	blokirati
सत्यापन	verifikacije
सत्यापन	verifikaciju
रेशों	svile
वृहद	veću
वृहद	veća
वृहद	veće
वृहद	veći
ग्रैमी	grammy
लॉन्च	lansira
लॉन्च	pokretanje
लॉन्च	pokrenuti
बीट	pobijedio
बीट	pobedi
कैटरीना	katrina
डिस्ट्रिक्ट	okrug
काठमांडू	katmandu
सीखना	učenje
वेश	dressed
डॉक्टरों	doktori
डॉक्टरों	ljekari
पक्का	sure
पक्का	siguran
गला	grlo
गला	grla
गला	vrat
हैदर	haider
सुगमता	pristupačnosti
स्ट्रॉस	strauss
गार्सिया	garsija
निद्रा	spavanje
एक्सप्लोरर	istraživač
एक्सप्लोरर	explorer
आलम	alam
बिज़नेस	poslovni
बिज़नेस	poslovanje
प्रतिबद्ध	počinjenih
प्रतिबद्ध	počinjenim
प्रतिबद्ध	počinila
प्रतिबद्ध	izvršio
प्रतिबद्ध	počinio
प्रतिबद्ध	počinili
कॉलोनी	kolonija
आवंटन	dodjela
बाला	bala
कार्लोस	karlos
कार्लोस	carlos
अनीता	alice
अनीता	anita
अनोखा	jedinstveni
अनोखा	jedinstveno
अनोखा	jedinstven
अनोखा	jedinstvena
अनोखा	roman
रिएक्टर	reaktor
करीना	karina
कपाल	lobanja
श्रोता	publika
कॉमन	zajednički
कॉमन	zajedničkim
कॉमन	zajedničku
आपेक्षिकता	relativnosti
आपेक्षिकता	relativnost
लेम्बोर्गिनी	lamborghini
प्याज	luk
असीमित	beskonačno
असीमित	neograničeno
बग	bag
बग	buba
बग	bug
बग	baje
मॉस्को	moskva
बूटी	nagradni
सोम	som
सोम	mon
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	himalaji
ट्रांस	trans
मेहमान	gostiju
मेहमान	gosti
मेहमान	gost
नियमन	propis
जहर	otrov
मगरमच्छ	crocodile
गतिज	kinetička
तन	tan
यूटीसी	utc
वेनिस	venecija
खांसी	kašalj
आईएसओ	iso
युगांडा	ugandi
संख्याएँ	brojevi
सुगंध	aroma
जस्टिन	justin
सरकारें	vlade
अहंकार	ego
ठेठ	tipično
ठेठ	tipičan
फ़ोर्स	sila
मोरक्को	maroko
सुमात्रा	sumatra
सीरम	serum
नतीजतन	shodno
दाम	cijena
नहरें	kanal
नहरें	rijekama
हमलावर	napadača
नॉर्मन	norman
नॉर्मन	normana
माँगा	manga
नाविक	moreplovac
नाविक	navigator
स्थायित्व	izdržljivost
सुश्रुत	sushruta
हावर्ड	howard
साम्यवाद	komunizam
पैमाना	opseg
पैमाना	skala
तंबाकू	duhan
तंबाकू	duhana
पराग	polen
सूर	sur
मैथुन	spol
ग्राफिक्स	grafika
संचारित	prenosi
पराबैंगनी	ultraljubičastih
ताम्र	bakar
योजनाएं	šeme
केल्विन	kelvin
अनुपस्थित	odsutan
अनुपस्थित	nestala
अनुपस्थित	nestale
अनुपस्थित	missing
अनुपस्थित	nestao
अनुपस्थित	nestali
अनुपस्थित	nedostaje
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticidi
लार	pljuvačka
सुनहरे	blonde
सुनहरे	plava
आगंतुक	posjetilac
आगंतुक	učesnik
फ़ॉर्मूला	formula
चीज़ें	stvari
ग्राफिक	grafički
लूप	petlja
पेरी	peri
पेरी	perry
फिल्माया	snimio
ग्रा	gras
दुकानें	prodavnice
दुकानें	radnje
दुकानें	prodavnice
विरोधाभास	paradoks
जैम	jam
चेयरमैन	predsjedavajući
रिश्तेदार	relativna
रिश्तेदार	rodbina
प्रतियोगियों	takmičari
असिमोव	asimov
स्प्रिंग	proljeće
स्प्रिंग	proleće
ग़रीब	loše
ग़रीब	siromašni
ग़रीब	siromašnih
छात्रवृत्ति	stipendiju
छात्रवृत्ति	stipendija
लिखें	pisu
लिखें	napiši
लिखें	pišu
लिखें	sastavi
लिखें	burn
देवों	devon
हुकूमत	kraljevina
हुकूमत	kraljevstvo
हुकूमत	dominacija
डॉक्टरेट	doktorsku
विला	vile
विला	villas
विला	vila
विला	villa
सटीकता	tačnost
सटीकता	preciznost
कोला	colombo
कोला	cola
धमनियों	arterije
प्रतिजन	antigen
अदालतों	sudovima
अदालतों	sudovi
चोंच	kljun
ग्राहम	graham
प्लेटों	ploče
प्रमाणन	certification
खरीदी	kupljene
खरीदी	kupljeno
खरीदी	kupljeni
खरीदी	kupila
खरीदी	kupili
खरीदी	kupio
मिटा	izbriše
दुखी	sadu
न्यूट्रॉन	neutronske
इमरान	imran
निरीक्षक	geometar
निरीक्षक	posmatrač
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	haris
हैरिस	harris
सावधान	diskretni
गियर	opremu
राजतंत्र	monarhija
अंडाकार	eliptična
सर्कस	cirkus
अल्बानिया	albanija
हीलियम	helij
बादाम	badem
निष्कर्षों	nalaze
निष्कर्षों	nalazima
निष्कर्षों	nalazi
प्राचल	parameter
कामकाज	funkcionisanje
मिनेसोटा	minnesota
पृथक्करण	segregacija
अंडा	jaje
एलर्जी	alergija
माइक्रो	mikro
वर्दी	dresove
वर्दी	uniforme
वर्दी	ujednačen
उत्कृष्टता	savršenstvo
उत्कृष्टता	savršenstva
सूर्यास्त	sunset
ताँबा	bakar
ऐश	pepeo
ऐश	ash
कैलोरी	kalorija
कैलोरी	cal
ईमानदारी	iskrenost
ईमानदारी	iskrenost
मताधिकार	franšizu
वृत्ताकार	kružni
निर्वासित	outlaw
स्ट्रिंग	gudački
स्ट्रिंग	string
स्फटिक	kvarc
बुनाई	weaving
बुनाई	knitting
विवाहित	udata
विवाहित	oženjen
विवाहित	oženio
आभा	auru
आभा	aura
ईद	bajram
बॉन	bon
पाँव	stopala
पाँव	stopa
द्वेष	mržnja
द्वेष	mržnjom
द्वेष	mržnje
द्वेष	malice
रेखांकित	podvući
कॉलम	stub
कॉलम	stubovi
कॉलम	stubove
समस्थानिक	izotop
कहावत	dictum
कहावत	maksim
टेड	ted
समष्टि	prostor
दुर्घटनाओं	nezgoda
शायरी	poezija
टेलीग्राफ	telegraph
प्रत्याशी	kandidata
प्रत्याशी	kandidat
आवेग	zamajac
आवेग	impuls
बर्नार्ड	bernard
बर्नार्ड	barnard
एमिनेम	eminem
सुनी	listened
डेव	dave
डेव	dava
पारा	merkur
निदेशालय	direkcija
सोन	sin
नीलामी	aukciji
नीलामी	aukcija
नीलामी	aukcije
पट्टे	lizing
पट्टे	najma
नाटो	nato
ब्रह्मचर्य	čednosti
ग्लेन	glen
ग्लेन	glenn
विरल	sporadičnih
विरल	rijetki
विरल	rijetko
आयामी	dimensional
पोर्टफोलियो	portfolio
नवाचार	inovacija
डायमंड	dijamant
महंगी	skup
फ्रायड	freud
तर्कसंगत	racionalno
पीना	piju
पीना	pio
पीना	piće
पीना	piće
संलयन	fusion
अब्दुल्ला	abdullah
वर्जिन	virgin
वर्जिन	djevice
वर्जिन	djevica
डेप	depp
प्रोसेसिंग	obrade
प्रोसेसिंग	obradu
प्रोसेसिंग	obradi
अवस्थिति	plasman
अवस्थिति	lokacija
अवस्थिति	lokacija
अवस्थिति	lokacijama
अवस्थिति	lokacije
वार्मिंग	zagrijavanje
वार्मिंग	zatopljenje
वार्मिंग	zagrijavanja
मार्गदर्शक	vodič
विभिन्नता	varijacija
ढोल	bubanj
क्वार्क	kvark
अवकल	diferencijalna
टिकाऊ	održiv
टिकाऊ	održivi
क्रोमियम	hrom
कूप	coupe
कीन	keane
स्टेनली	stanley
सिन्ध	sindh
लेखनी	pen
लेखनी	pero
लेखनी	hemijsku
वक्ष	grudni
अखबारों	novine
अखबारों	novina
मध्यस्थता	arbitraže
मध्यस्थता	posredovanje
सोल	sol
किक	kick
आयोडाइड	jodid
धड़कन	pobijedio
धड़कन	pobedi
धड़कन	pobijedivši
धड़कन	porazivši
छल्ले	prstenovi
आखरी	last
आखरी	poslednji
आखरी	poslednja
आखरी	posljednja
आखरी	zadnja
आखरी	posljednji
क्षेत्ररक्षण	kapiten
क्षेत्ररक्षण	kapetan
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	ljiljan
बेली	bailey
बेली	stomaka
ग्रहीय	planetarne
ग्रहीय	planetarna
मॉनिटर	monitor
मॉनिटर	monitora
मॉनिटर	monitoru
कोक	coke
कोक	kolu
मेलबोर्न	melbourne
करुणा	dobroti
करुणा	dobročinstvo
मुठभेड़	susret
अकसर	često
मशरूम	gljiva
शांतिपूर्ण	miran
शांतिपूर्ण	mirne
शांतिपूर्ण	mirni
गरुड़	garuda
फ्लू	gripe
नरक	pakao
ट्री	drvo
बेलन	cilindar
बोलना	govoreći
अवरोधित	blokiran
अवरोधित	blokirao
अवरोधित	blokirane
अवरोधित	blokirali
अवरोधित	blokirala
आत्मविश्वास	uvjereni
आत्मविश्वास	uvjerena
आत्मविश्वास	uvjeren
आत्मविश्वास	povjerenje
लापता	nestala
लापता	nestale
लापता	missing
लापता	nestao
लापता	nestali
लापता	nedostaje
राई	rai
दुश्मनों	neprijateljima
दुश्मनों	neprijatelji
दुश्मनों	neprijatelja
वाइड	wide
वाइड	široki
वाइड	široko
वाइड	široka
फर्नीचर	namještaj
वारिस	nasljednik
वारिस	naslednika
वारिस	nasljeđuju
आधुनिकीकरण	modernizacije
आधुनिकीकरण	modernizacija
आधुनिकीकरण	modernizaciju
मच्छर	komarac
अनजान	nepoznata
अनजान	nepoznat
अनजान	nepoznati
ग्रांट	grant
मैग्नीशियम	magnezij
सनी	sunčan
सनी	sani
प्लेटफॉर्म	platforma
प्लेटफॉर्म	platformi
प्लेटफॉर्म	platformu
प्लेटफॉर्म	platforme
घुस	prodiru
भावुक	emocionalne
कैन	cain
कैन	kanu
कैन	kanski
घोटाला	skandal
घोटाला	prevara
रक्षात्मक	odbrambene
रक्षात्मक	odbrambena
मिस्री	egipatska
मिस्री	egipatski
चार्टर्ड	chartered
ईर्ष्या	ljubomoran
ईर्ष्या	ljubomore
ईर्ष्या	jealousy
अमल	amal
मेडल	medalja
मेडल	medalju
समरूप	homogene
गायों	krava
जैज़	džez
गायकों	pjevači
गायकों	pjevača
गायकों	pjevanje
ओक	hrast
उड़ा	udarac
किनारा	granica
किनारा	edge
किनारा	granica
किनारा	strane
फ्रेड	fred
बुर्ज	toranj
पियरे	pierre
वुड	drva
वुड	drvo
बंदरगाहों	luka
बंदरगाहों	port
अलेक्जेंडर	aleksandar
अलेक्जेंडर	alexander
परिमित	konačni
वर्षगांठ	godišnjica
क्योटो	kyoto
मटर	grašak
मटर	peas
आर्किटेक्चर	arhitektura
फैक्ट्री	fabrika
वॉर्स	ratovi
ओंटारियो	ontario
वायरल	virus
एडवेंचर	avanturu
एडवेंचर	avantura
अनुग्रह	grace
स्टीवर्ट	stewart
डेविडसन	davidson
घंटी	bell
कूपर	cooper
कैरोलिना	karolina
प्लान	plan
विदा	vida
मिर्जा	mirza
खिंचाव	trase
माफी	apologize
माफी	oprost
अबुल	abul
व्लादिमीर	vladimir
प्रणाम	pitanju
दंगों	nemira
दंगों	nemiri
दौलत	bogatstvo
बर्गर	burger
वर्ड	riječ
प्रभार	optužba
प्रभार	naboj
मार्गरेट	margaret
बांसुरी	flauta
दिशानिर्देश	pravci
दिशानिर्देश	pravcima
दिशानिर्देश	pravaca
दिशानिर्देश	smjernice
माननीय	časnom
बधाई	čestitke
बधाई	čestitam
बधाई	pozdrav
सत्तर	sedamdeset
हॉस्पिटल	bolnica
प्रांगण	prostorije
प्रांगण	prostorija
प्रांगण	dvorište
प्रांगण	dvorištu
त्यागपत्र	ostavke
त्यागपत्र	ostavku
त्यागपत्र	ostavka
फास्फेट	fosfat
नीलम	safir
जलसन्धि	moreuz
उठी	podignut
उठी	podigao
मर्फी	murphy
जेड	jade
सत्कार	pozdravio
टिप्पणियाँ	komentari
टिप्पणियाँ	komentarima
प्रिंटर	printera
सिनसिनाटी	cincinnati
गिरी	pala
गिरी	pao
फुल	pun
फुल	full
फुल	puna
फुल	punom
फुल	puni
फुल	punu
जागरूक	svjesna
जागरूक	svjestan
अनिश्चितता	neizvjesnosti
अनिश्चितता	neizvjesnost
अस्सी	osamdeset
आंद्रे	andré
अनोखी	bizarnog
पापुआ	papua
सीआईडी	cid
विषयवस्तु	sadržaj
विषयवस्तु	sadržaja
विषयवस्तु	teme
विषयवस्तु	sadržaj
सूरीनाम	surinama
फोर्ब्स	forbs
एजेंटों	agenti
प्रेमियों	ljubavnici
प्रेमियों	lovers
आनुवंशिकी	genetika
दाग	mrlje
दाग	stain
अज़ाब	pošasti
अज़ाब	doom
मंचन	izvođenja
बटालियन	bataljon
रिक	rick
बर्मिंघम	birmingham
गुस्से	ljutnja
लगन	posvećenost
चाकू	nož
मज्जा	srži
मज्जा	srž
महायान	mahayana
लीबिया	libija
उज़बेक	uzbečki
पिछला	last
पिछला	poslednji
पिछला	poslednja
पिछला	posljednja
पिछला	zadnja
पिछला	posljednji
पिछला	prethodna
पिछला	prethodnim
पिछला	prethodni
पिछला	prethodno
पिछला	prethodnom
पिछला	prethodne
झुंड	stada
प्रसाधन	resursi
प्रसाधन	resurse
ईमानदार	čistih
ईमानदार	honest
जोस	jose
जोस	josé
चंदन	sandal
अंकीय	numeric
असेम्बली	skupština
भिक्षुओं	monasi
लड़ी	nit
कानों	uši
चांसलर	kancelara
चांसलर	kancelar
चांसलर	kancelarka
अहसास	osećaj
अहसास	feeling
अहसास	osjećaju
अहसास	osjećaj
किपलिंग	kipling
अस्थाई	privremeno
अस्थाई	privremenu
अस्थाई	privremene
तैमूर	timur
तबाह	ruševina
तबाह	ruševine
तबाह	ruševinama
योद्धाओं	ratnici
कलाकृति	remek
नाइजीरिया	nigerija
थ्रिलर	triler
अंतरजाल	internet
रहो	ostala
रहो	ostati
रहो	ostanu
रहो	boravka
ट्रैकिंग	praćenje
ट्रैकिंग	praćenja
अब्बास	abbas
अब्बास	abbasa
गिद्ध	sup
वंशजों	potomci
रंजक	pigmenata
रंजक	pigment
चॉकलेट	čokolada
राइफल	puška
मेक	make
मेक	načiniti
बल्ले	bat
स्थलाकृति	topografija
उछाल	bounce
सुन्दरता	ljepota
अंतरिम	generalnu
जबड़े	vilice
सर्वनाम	zamjenice
नंदा	nanda
शेल	ljuske
शेल	shell
शेल	granate
शेल	granata
सू	tužiti
सू	sioux
सू	soo
रसोई	kuhinje
रसोई	kuhinja
रसोई	kuhinji
वाक	govor
चिकित्सालय	bolnica
फंस	zarobljeni
फंस	zarobljen
चट्टानें	stijene
चट्टानें	stijena
चट्टानें	stijenama
तीतर	partridge
खानपान	ugostiteljskih
अस्वीकृत	porekao
अस्वीकृत	odbio
अस्वीकृत	odbacila
अस्वीकृत	odbaci
अस्वीकृत	odbacuju
अस्वीकृत	odbijanje
सजातीय	homogene
परिवर्तक	converter
किराया	najma
किराया	rent
खिलौने	igračke
खिलौने	toys
महीना	mjesec
रिपोर्टिंग	javlja
रिपोर्टिंग	izvještavanje
नैनो	nano
नमकीन	slana
पंद्रहवीं	petnaestog
चुनावी	izbornom
प्लेग	kuge
प्लेग	kuga
निजीकरण	privatizacija
निजीकरण	privatizacije
निजीकरण	privatizaciju
चना	leblebija
नबी	prorok
नबी	vjerovjesnik
नबी	vjerovjesnika
नबी	poslanik
हेल	hel
परी	vila
परी	pari
परी	anđeo
कीचड़	blato
न्यूर्क	newark
स्नायु	ligamenata
छुपा	skriven
छुपा	skriveni
छुपा	skrivena
छुपा	kriti
डिफ़ॉल्ट	default
डिफ़ॉल्ट	uobičajeni
डिफ़ॉल्ट	uobičajena
ड्राफ्ट	nacrtu
ड्राफ्ट	nacrt
राइस	rice
मात	maat
रेफरी	sudija
साहसी	hrabar
ताज़ा	osvježavajuće
ज़िंदगी	život
पेशेवरों	profesionalci
पेशेवरों	profesionalaca
श्वार्ज़नेगर	schwarzenegger
धूमकेतु	kometa
कॉनकॉर्ड	concorde
मिश्रधातु	legura
आइटम	predmeta
आइटम	predmete
आइटम	stavke
आइटम	predmeti
क्षणिक	oscilacije
जीमेल	gmail
फॉर्मेट	formatu
फॉर्मेट	formata
