lone	зарплата
verpligtend	обязательна
verpligtend	обязательные
verpligtend	обязательная
verpligtend	обязательный
hester	хестер
korporatiewe	корпоративной
korporatiewe	корпоративные
korporatiewe	корпоративное
korporatiewe	корпоративный
aboe	абу
eurasië	евразии
stilte	молчание
stilte	тишину
stilte	тишина
stilte	молчать
netto	нетто
netto	net
netto	чистый
burundi	бурунди
gotha	гота
toere	туры
toere	экскурсии
hop	хоп
hop	bounce
brunswyk	braunschweig
bars	лопнул
yuan	юаней
kabeljou	трески
dietrich	дитрих
falkland	фолклендских
veelsydige	разносторонний
beers	пива
beers	пиво
spieël	зеркало
cézanne	сезанна
karnaval	карнавал
eagle	игл
eagle	орёл
eagle	орел
tegnologieë	технологий
tegnologieë	технологии
perseus	персей
charon	харон
verbeterings	усовершенствования
verbeterings	улучшения
verbeterings	улучшение
vandalisme	вандализма
freud	фрейд
nineve	ниневии
fontsize	fontsize
besmet	инфицированных
besmet	инфицированные
bevoegdhede	полномочия
binêre	двоичный
hitchcock	хичкок
vandale	вандалы
diagnose	диагностика
diagnose	диагноз
omsingel	окружают
vennote	партнёры
vennote	партнеров
vennote	партнеры
ervare	эксперта
ervare	эксперт
australis	australis
bewustheid	осведомленность
bewustheid	осознание
bewustheid	осведомленности
simpatie	соболезнования
katalaanse	каталонии
verdrink	утонуть
verdrink	утопить
doodmaak	убей
doodmaak	убивать
doodmaak	убить
valse	фальшивый
valse	фальшивка
valse	фальшивые
valse	подделка
anthus	anthus
debatte	прения
debatte	дебаты
chemikalieë	химикаты
dahmer	дамер
puin	мусора
puin	обломки
bulgare	болгары
antwoorde	ответы
antwoorde	ответы
antwoorde	ответы
vierkant	площадь
vierkant	квадрат
vierkant	квадратный
dundee	данди
adresse	адреса
adresse	адресов
jamaika	ямайка
jamaika	ямайки
indiana	индиана
redding	спасатели
redding	спасти
redding	спасение
skaap	овец
skaap	овца
skaap	овцы
sewentien	семнадцать
sewentien	seventeen
tent	палатку
tent	палатки
panthera	panthera
verstaanbaar	понятна
verstaanbaar	понятно
omar	умар
promoveer	продвигать
haat	ненавидеть
haat	ненависть
haat	ненавистью
haat	ненавижу
haat	ненависти
korporasie	corporation
korporasie	корпорация
korporasie	корпорации
korporasie	plc
tiberius	тиберий
hannes	ханнес
beheerde	управляемый
beheerde	удалось
beheerde	управляемые
wikitext	wikitext
caroline	каролин
caroline	кэролайн
caroline	каролина
mal	сумасшедшая
mal	сумасшествие
mal	безумие
mal	безумно
mal	сумасшедший
demokrate	демократы
pale	бледный
ongepubliseerde	неопубликованные
mededingende	конкурсных
irving	ирвинг
afleiding	приманка
leone	леоне
aflaai	загрузка
aflaai	загрузить
aflaai	скачать
aflaai	обновить
ingevoerde	вступил
slade	слэйд
dakota	дакота
bestry	противостоять
animasie	анимации
animasie	определение
pionier	пионер
sve	процессор
boulevard	бульвар
bach	баха
bach	бах
lisa	лиза
lisa	лиса
marine	морские
marine	морской
marine	морская
norfolk	норфолк
santo	санто
santo	санту
cardiff	кардифф
omgekeer	вспять
omgekeer	обратная
omgekeer	обратный
omgekeer	обратное
onwaarskynlik	маловероятно
onwaarskynlik	вряд
denver	денвер
philipp	филипп
philipp	philipp
webjoernaal	blog
webjoernaal	блог
nasaret	назарета
stralsund	штральзунд
bel	звоните
bel	позвонить
bel	звонок
bel	набрать
resepte	рецепты
loubser	баллы
loubser	кредиты
loubser	кредитов
bristol	bristol
greenwich	гринвич
abc	abc
voortgesette	текущих
baha	баха
skenking	пожертвование
skenking	пожертвования
transliterasie	транслитерации
birmaanse	бирмы
boheme	богемии
verklein	уменьшить
verklein	психиатр
verklein	свернуть
verklein	минимизировать
verklein	минимизации
presbiteriaanse	пресвитерианской
christina	кристина
holy	святая
holy	святые
holy	святой
holy	святейший
holy	святое
kitchener	китченер
bester	бестер
romagna	романья
helikopter	вертолет
helikopter	вертолёт
swapo	свапо
doek	холст
resep	рецепт
teikens	мишени
teikens	цели
bekommerd	обеспокоен
bekommerd	волнуется
bekommerd	волноваться
bankrot	банкротом
bankrot	сломалась
bankrot	сломал
bankrot	сломался
joel	джоэл
kentucky	кентукки
musical	музыкальные
musical	музыкальная
musical	мюзикл
pittsburgh	питтсбурге
mowbray	моубрей
harrison	харрисон
harrison	гаррисон
pakket	пакет
pakket	упаковка
pakket	посылка
pakket	стаи
pakket	стая
voetbal	футбол
versteur	обеспокоен
versteur	нарушена
kemp	кемп
pinyin	пиньинь
gekruis	пересек
gekruis	пересекли
kalifaat	халифата
plaza	площадь
plaza	plaza
plaza	плаза
gregory	григорий
gregory	грегори
panorama	панорама
vita	vita
jerewan	ереван
kollega	коллега
berry	берри
palermo	палермо
ammoniak	аммиака
levant	левант
werker	работник
werker	рабочий
gespikkelde	коралловых
nagorno	нагорно
guevara	гевара
identiese	идентичны
identiese	одинаковые
identiese	идентичные
carol	кэрол
speletjies	games
speletjies	игры
eksperiment	эксперимент
medikasie	лекарства
medikasie	медикаменты
geïgnoreer	игнорируется
geïgnoreer	игнорировать
geesteswetenskappe	гуманитарные
gister	вчера
gister	вчерашний
shaun	шон
liechtenstein	лихтенштейн
tristan	тристан
telekommunikasie	телекоммуникации
telekommunikasie	электросвязи
telekommunikasie	связь
telekommunikasie	телекоммуникаций
telekommunikasie	телекоммуникации
nagte	ночи
nagte	ночами
nagte	ночей
nêrens	нигде
nêrens	никуда
nêrens	некуда
genesis	бытие
genesis	genesis
theodore	теодор
numeriese	числовые
numeriese	numeric
bahrein	бахрейне
bahrein	бахрейна
bahrein	бахрейн
wonde	ранение
wonde	рана
wonde	рану
brett	бретт
nikolai	нико
laval	лаваль
aantekeninge	нота
aantekeninge	записка
aantekeninge	примечание
eddie	эдди
hunne	гунны
serie	серийный
serie	последовательный
nsu	nsu
bom	бомба
krappe	крабов
stoot	push
stoot	толчок
uitstekend	превосходно
estádio	estádio
bundy	банди
dortmund	дортмунд
silvester	сильвестр
neutrino	нейтрино
habsburg	габсбургов
balle	шарики
balle	яйца
balle	мячи
balle	шары
jon	джон
bestek	диапазонах
geteister	преследованиям
vleuels	крылья
etanol	этанола
rostof	ростов
noemenswaardig	примечательно
che	че
kansas	канзас
herhaling	повторение
herhaling	повторения
#efefef	#efefef
simbolies	символическое
kanariese	канарских
norme	нормы
norme	норм
pearl	жемчуг
pearl	жемчужина
pearl	перл
vuurpyl	ракета
montevideo	монтевидео
loof	хвала
malaria	малярией
malaria	малярии
malaria	малярия
reisiger	путешественник
reisiger	traveller
afmetings	геометрия
ikone	иконки
ikone	значки
macmillan	макмиллан
bakoe	баку
olimpiade	олимпиада
justice	правосудия
justice	справедливость
justice	правосудие
mexico	мексику
mexico	мексики
mexico	мексика
vashou	ограничить
kwartaal	квартал
kwartaal	четверть
kwartaal	квартале
hervorm	реформирование
hervorm	реформы
hervorm	реформа
seymour	сеймур
geschichte	geschichte
samestellings	составы
samestellings	композиции
samestellings	соединения
samestellings	соединений
aanhalings	цитаты
aanhalings	цитаты
duet	дуэт
duet	дуэт
ipairs	ipairs
skakelaar	переключатель
skakelaar	переключить
skakelaar	переключение
speletjie	game
speletjie	игра
speletjie	gamer
branders	всплеск
blind	слепая
blind	слепые
blind	ослеп
blind	слеп
blind	слепой
koppelvlak	интерфейс
koppelvlak	перехватить
koppelvlak	перехват
artistieke	художественная
artistieke	художественных
artistieke	художественный
artistieke	художественные
multinasionale	многонациональных
ham	ветчина
benadeel	обездоленных
benadeel	компромисс
benadeel	компромисса
ossetië	осетии
minnesota	миннесота
minnesota	миннесоты
clovis	кловис
watervalle	водопады
kla	жаловаться
mausoleum	мавзолей
sprekende	выступая
sprekende	говорящие
lotus	lotus
village	деревне
village	село
village	деревня
gardner	гарднер
pat	застой
pat	тупик
bissau	бисау
mainz	майнц
honolulu	гонолулу
elektronika	электроники
elsie	элси
moeders	матерей
moeders	матери
moeders	матерям
merke	маркс
ingewikkeld	сложная
ingewikkeld	сложные
ingewikkeld	сложно
ingewikkeld	сложный
terugvoer	отклики
terugvoer	отзывы
terugvoer	отзыв
versmelt	слияние
versmelt	объединить
versmelt	объединение
hoofde	орёл
hoofde	головы
stres	стресс
meshid	meshid
bermuda	бермудских
inmenging	вмешательство
inmenging	вмешательства
inmenging	помехи
orkaan	ураган
qing	цин
woede	гнев
woede	ярость
woede	злость
woede	гнев
woede	ярость
utah	юта
ledemate	конечностей
ledemate	конечности
registrasie	регистрация
skop	удар
hello	привет
hello	здравствуйте
ongewenste	нежелательных
kleine	kleine
māori	маори
chi	чи
kontant	кэш
kontant	наличными
kontant	наличные
worldcat	worldcat
kassier	кассир
andes	андах
vlermuis	бат
vlermuis	бита
superintendent	суперинтендант
ron	рона
ron	рон
morrison	моррисон
dias	диас
alexandria	александрии
harper	харпер
koburg	кобург
avontuur	приключения
avontuur	приключение
rebel	повстанцев
gespaar	пощадил
voorouer	предок
niels	нильс
sussex	сассекс
firefox	firefox
mozilla	mozilla
bekyk	universal
bekyk	универсальные
bekyk	универсальное
bekyk	универсальный
bekyk	всеобщего
bekyk	универсальная
bekyk	посмотрели
bekyk	посмотреть
bekyk	просмотр
bekyk	просмотреть
bekyk	вид
bevoordeel	пособие
uitsaai	трансляция
uitsaai	трансляции
uitsaai	вещание
uitsaai	вещания
uitsaai	вещание
hokkie	хоккей
vegter	воин
maggie	мегги
maggie	мэгги
metropolitan	метрополитен
verdamping	испарения
verdun	вердене
geleidingsvermoë	проводимость
homoseksuele	gay
homoseksuele	гей
homoseksuele	геи
vrywillig	добровольно
vrywillig	добровольный
vrywillig	добровольное
vrywillig	добровольные
vrywillig	добровольная
handleiding	вручную
handleiding	руководство
quo	кво
nancy	нэнси
eenvoudiger	проще
reus	гигантский
reus	гигант
reus	гигантская
reus	гигантские
kinetiese	кинетической
sosiologie	социологии
martelaar	мученик
egeïese	эгейское
alberta	альберты
alberta	альберта
geometriese	геометрических
silesië	силезии
gletser	ледник
émile	эмиль
oegriese	угорские
felipe	фелипе
kinder	парень
buren	бюрен
zambia	замбия
zambia	замбии
alonso	алонсо
oorvleuel	наложение
oorvleuel	дублирования
oorvleuel	дублирование
lausanne	лозанне
grootpad	шоссе
gekose	выбранный
gekose	выбран
gekose	выбранные
gekose	выбрано
gekose	подборка
cannes	cannes
klagtes	жалобы
aruba	арубы
chevrolet	chevrolet
verklarings	декларации
verklarings	заявления
lou	лу
butch	бутч
gekopieer	скопировал
transport	транспорт
transport	перевозка
transport	перевозки
gnome	gnome
gnome	гном
dapper	храбрый
dapper	смелая
dapper	смело
dapper	смелый
phobos	фобос
toelating	разрешите
toelating	разрешение
lesse	уроки
cornelia	корнелия
bevredig	удовлетворять
bevredig	удовлетворить
gemaklik	удобный
gemaklik	удобно
gemaklik	удобная
gemaklik	комфортно
gemaklik	удобные
freiburg	фрайбург
elsa	эльза
koei	коровы
koei	корова
geloofsbelydenis	исповедь
geloofsbelydenis	признание
versteek	скрытая
versteek	скрыты
versteek	скрытый
versteek	скрыто
versteek	скрытые
versteek	скрывать
versteek	скрыть
versteek	спрятать
bewerking	эксплуатация
bewerking	операция
loodreg	перпендикулярно
ouderdomme	возраст
ouderdomme	века
ouderdomme	возрастов
samesprekings	консультации
sauer	sauer
lübeck	любек
uitheemse	пришелец
uitheemse	чужой
uitheemse	иностранец
tekstiele	текстиль
anjou	анжу
uitkoms	итоги
uitkoms	итог
definitief	лапу
gustaf	густав
dekking	охват
dekking	охвата
isa	иса
isa	isa
verlosser	спаситель
verlosser	спасителя
verlosser	спаситель
dieptes	глубины
dieptes	глубин
mitologiese	мифологических
byt	укус
byt	укусить
wessex	уэссекс
vriendelik	дружеские
vriendelik	дружественных
vriendelik	friendly
vriendelik	дружелюбный
fluit	свисток
fluit	свист
fluit	флейта
komma	запятой
komma	запятая
réunion	реюньон
jonas	джонас
thibault	тибо
ingryping	конституционный
ingryping	конституционная
ingryping	конституционные
horlosie	смотрите
horlosie	посмотреть
horlosie	смотреть
horlosie	часы
horlosie	часы
insident	инцидента
insident	инцидент
insident	происшествие
insident	авария
insident	аварии
gilbert	гилберт
vakansiedae	праздники
brugge	брюгге
petroleum	нефти
petroleum	нефть
modules	модули
vaart	путешествие
vaart	рейса
jerry	джерри
trio	трио
apokriewe	библейские
lesing	лекции
lesing	лекцию
lesing	лекция
tuna	тунца
hepburn	хепберн
hardy	харди
lua	lua
akkuraatheid	точности
akkuraatheid	точность
raid	рейд
raid	налет
discovery	открытие
discovery	обнаружение
robotte	ботов
robotte	роботы
robotte	роботов
fotografiese	фотографические
geletterdheid	грамотность
geletterdheid	грамотности
verhoudinge	отношений
verhoudinge	отношения
heidegger	хайдеггер
hoffman	хоффман
nuvola	nuvola
hastings	гастингс
check	проверьте
check	чек
check	проверка
check	проверить
olaf	олаф
saga	сага
aanleer	портной
oesbekistan	узбекистан
oesbekistan	узбекистана
cleopatra	клеопатра
komposisies	составы
komposisies	композиции
liam	лиам
liam	лиама
federal	федеральное
federal	федеральные
federal	федерального
federal	федеральный
federal	федеральная
tang	тан
inwoner	резидент
inwoner	резидента
inwoner	житель
inwoner	резиденты
dreig	угрожать
dreig	угрожает
dreig	угрожающие
dreig	угрожать
groeperings	группировки
historia	historia
damaskus	дамаске
trui	свитер
navigasie	ориентироваться
navigasie	судоходства
navigasie	навигации
navigasie	судоходство
lenings	займы
lenings	займов
lenings	кредиты
lenings	ссуды
spa	spa
spa	спа
maryland	мэриленд
diploma	дипломы
diploma	диплом
diploma	аттестат
aas	терраса
aas	эйс
aas	туз
aas	ас
geskenke	подарки
geskenke	дары
cola	кола
cola	колы
bailey	бэйли
bailey	бейли
gis	дрожжей
brusselse	брюсселе
brusselse	брюссель
marino	марино
tesla	тесла
angelo	анджело
angelo	анжело
kelte	кельты
vasbeslote	определено
vasbeslote	определен
vasbeslote	определены
verweer	разрушает
verweer	уничтожает
angus	ангус
pieke	пикс
pieke	вершины
dhcp	dhcp
inspekteur	топограф
schumacher	шумахер
jose	жозе
jose	хосе
casper	каспер
protestantisme	протестантизм
mangaan	марганца
giacomo	джакомо
rms	rms
astrid	астрид
cunha	кунья
toledo	толедо
weerlig	молния
weerlig	молнии
strafskoppe	санкции
strafskoppe	штрафы
strafskoppe	наказания
gilles	жиль
ardenne	ardennes
kroeg	бар
kroeg	паб
swerwer	путешественник
swerwer	странник
dorothy	дороти
roemeense	румынии
fisies	физически
casualties	пострадавшие
casualties	потери
casualties	жертвы
seëls	марки
bakens	достопримечательности
ich	ich
dylan	дилана
dylan	дилан
liberty	свобода
arcadia	аркадия
eaton	итон
ekologie	экологии
taipei	тайбэй
rente	проценты
rente	интерес
rente	заинтересованность
rente	интересы
bewonder	восхищаться
bewonder	восхищался
skaduwee	тени
skaduwee	тень
kliniese	клинических
masjinerie	механизм
masjinerie	механизма
elegante	элегантный
batoe	бату
vertaalde	перевел
vertaalde	перевели
vertaalde	перевела
giza	гизе
ekonoom	экономист
appèl	обжаловать
appèl	апелляция
appèl	призыв
appèl	обжалование
werkende	операционная
entiteite	субъекты
rot	крысы
rot	крыса
bayer	байер
diertjie	тварь
diertjie	существо
riet	рид
tau	тау
pearson	пирсон
anthem	гимн
verskaffers	поставщики
verskaffers	поставщиков
coca	кока
coca	коки
felis	felis
gekanselleer	отменена
gekanselleer	отменено
gekanselleer	отменен
gekanselleer	отменены
gekanselleer	отменена
gekanselleer	отменил
gekanselleer	отменено
