исполнува	cumpliendo
конг	confucio
конг	kong
програм	programar
програм	programa
орион	orion
орион	orión
споени	fusionada
споени	fusionado
комунизмот	comunismo
уништувањето	remolcador
ефикасноста	efectividad
ефикасноста	eficacia
ефикасноста	eficacia
организатор	organizador
организатор	organizadora
организатор	organizador
доделен	asignadas
доделен	asignada
доделен	asignado
доделен	asignados
негативна	negativa
негативна	negativas
негативна	negativos
негативна	negativo
забите	muelas
забите	dentadura
забите	diente
забите	dientes
верона	verona
перо	pluma
перо	quill
перо	pluma
илјада	mil
кејт	kate
геометриски	geométrico
геометриски	geométricas
геометриски	geometría
геометриски	geométrica
авторите	autores
коле	kole
непозната	desconocida
непозната	desconocidos
непозната	desconocidas
непозната	desconocido
ранет	heridos
ранет	herida
ранет	herido
дарко	darko
дефиниции	definiciones
ресторан	restaurante
ресторан	restaurantes
вили	willy
вили	willie
вили	chalets
вили	villas
развод	divorcio
развод	divorcios
електроника	electrónicos
електроника	electrónica
предок	antepasados
предок	antepasado
предок	ancestro
предок	ancestros
подготовки	preparativos
подготовки	preparación
подготовки	preparaciones
подготовки	preparado
подготовки	preparativos
подготовки	preparaciones
подготовки	preparados
гугл	google
кабли	cables
конрад	conrad
конрад	conrado
конрад	konrad
конрад	conrado
алт	alt
подарок	presente
подарок	obsequio
подарок	regalo
подарок	regalar
предлага	sugieren
предлага	sugiera
предлага	sugerir
предлага	sugiere
предлага	sugiere
предлага	proponiendo
предлага	proponer
предлага	propone
дивината	selva
промет	circulación
промет	tirada
нега	cuidados
нега	cuidado
нега	care
интересни	interesante
интересни	interesantes
михајло	mihailo
предложени	sugerida
предложени	sugerido
предложени	sugirió
предложени	propuesto
предложени	propuesta
предложени	proponía
предложени	propuestas
предложени	propuso
распространета	extendido
пирс	pierce
пирс	muelles
пирс	piers
интерпретација	interpretación
беј	bahía
беј	bay
сведоци	testigos
астон	aston
ројал	real
ројал	royal
ројал	reales
претседателски	presidenciales
претседателски	presidencia
претседателски	presidencial
дишење	respiro
дишење	respirar
дишење	respiración
дишење	respirando
дишење	respiración
стенли	stanley
сиера	sierra
секторот	borough
четириесет	cuarenta
четириесет	forty
постојаните	incesante
постојаните	incesantes
божество	divinidad
божество	deidad
опфатени	cubierta
опфатени	cubiertas
опфатени	cubierto
опфатени	cubrió
опфатени	cubiertos
волфганг	wolfgang
возачите	conductores
возачите	pilotos
возачите	controladores
возачите	choferes
тунел	túnel
тунел	tunel
освоен	conquistó
освоен	conquistado
освоен	conquistada
дијана	diana
дијана	diana
дијана	diane
виртемберг	wurtemberg
виртемберг	württemberg
именување	nombrar
именување	denominación
молитва	oracion
молитва	plegaria
молитва	oración
молитва	rezo
посетеност	asistencia
посетеност	asistentes
признае	reconozcan
признае	reconocer
признае	reconocer
динамика	dinámicos
динамика	dinamismo
динамика	dinámicas
динамика	dynamic
динамика	dinámico
динамика	dinámica
динамика	dinámica
динамика	dinámicas
динамика	dinamismo
динамика	ímpetu
динамика	impulso
огледало	espejo
огледало	mirror
дигитален	digitales
дигитален	digital
узбекистан	uzbekistán
видеа	vídeos
видеа	videos
пустината	desierto
дигитална	digitales
дигитална	digital
остри	afilada
остри	sharp
остри	agudo
остри	afilado
остри	áspero
сексуални	sexuales
сексуални	sexual
обновен	renovados
обновен	renovado
обновен	renovada
обновен	restaurada
обновен	restauradas
обновен	restaurado
аргументи	alegaciones
аргументи	argumentos
аргументи	discusiones
аргументи	argumentación
бојан	bojan
полинезиски	polinesia
понеделник	lunes
партнерство	sociedad
партнерство	asociación
напуштат	abandone
напуштат	abandono
напуштат	abandonen
напуштат	abandona
напуштат	abandonar
напуштат	huye
напуштат	huir
напуштат	huyen
американците	americanas
американците	americanos
американците	estadounidenses
американците	norteamericanos
дефиниран	definida
дефиниран	definidos
дефиниран	definidas
дефиниран	definido
дефиниран	aps
воведени	introducido
воведени	introducidos
воведени	introducida
лесен	facil
лесен	sencilla
лесен	fácil
лесен	sencillo
лесен	easy
низи	cuerdas
низи	cadenas
глобално	mundialmente
глобално	globalmente
глобално	mundial
глобално	global
глобално	globales
гер	guerre
екологија	ecología
надминува	excede
надминува	supera
надминува	sobrepasa
достигнување	logro
достигнување	logros
достигнување	logro
даглас	douglas
тото	toto
даг	cavado
даг	excavado
даг	doug
лок	lok
лок	locke
започнување	lanzamiento
започнување	lanzando
сиетл	seattle
вектор	vector
вектор	vectorial
вектор	vectores
опаѓа	cayendo
опаѓа	bajando
пиво	cerveza
пиво	cervezas
метју	mathew
метју	matthew
метју	mateo
метју	mater
аеродроми	aeropuertos
одбивање	negativa
одбивање	denegación
одбивање	rechazo
одбивање	rechazo
стомакот	tripa
стомакот	panza
стомакот	vientre
стомакот	barriga
стомакот	abdomen
хормони	hormonas
хормони	hormonal
хормони	hormona
хормони	hormonas
микеланџело	michelangelo
шок	conmoción
шок	shock
шок	choque
тенис	tenis
емил	emile
емил	emilio
емил	emil
емил	emilio
герман	alemanes
герман	alemán
герман	alemana
герман	aleman
траење	duración
гај	cayo
гај	gaius
гај	guy
идентификација	identificación
тули	ladrillos
тули	brick
тули	ladrillos
тули	ladrillo
тули	tully
алтернатива	alternativo
алтернатива	alternativos
алтернатива	alternativa
експанзија	ampliación
експанзија	expansión
оженет	casadas
оженет	casada
оженет	casado
оженет	casados
презентација	presentación
презентација	ponencia
презентација	presentacion
мекларен	mclaren
сатурн	saturn
сатурн	saturno
перспектива	prospecto
перспектива	perspectiva
малтретирање	bullying
малтретирање	intimidación
малтретирање	acoso
малтретирање	acoso
малтретирање	hostigamiento
изразена	expresadas
изразена	expresada
изразена	expresó
изразена	expresado
изразена	expresados
стратешки	estratégico
стратешки	estratégica
стратешки	estratégicos
стратешки	estratégicas
винсент	vicente
реализација	realización
реализација	realización
еднина	singulares
еднина	singular
чисти	limpio
чисти	limpios
чисти	limpieza
чисти	limpiar
чисти	limpia
полско	polaca
полско	polonia
полско	polacos
полско	polaco
паднала	cayeron
паднала	cayó
паднала	caí
нива	maizal
глад	hambruna
глад	hambre
глад	inanición
глад	hambre
рене	renée
рене	renee
рене	rené
рене	renato
рене	rené
рене	rene
дозволуваат	permisible
дозволуваат	admisible
крунисан	coronado
крунисан	coronada
претходна	anterior
претходна	previo
претходна	anteriores
претходна	previos
неопределено	difuso
неопределено	borroso
неопределено	difusa
неопределено	fuzzy
неопределено	indefinido
неопределено	indefinida
директни	directa
директни	directo
директни	directamente
директни	direct
директни	directos
директни	directas
шанси	chances
шанси	casualidad
шанси	chance
шанси	oportunidad
шанси	shaanxi
гете	goethe
карактеризираат	caracteriza
карактеризираат	caracterizar
илиноис	illinois
заробеништво	cautiverio
заробеништво	cautividad
бура	tormenta
бура	tormenta
бура	tempestad
бура	storm
валверде	valverde
театри	teatros
театри	cines
театри	teatros
четврто	cuarto
четврто	cuarta
григор	grigor
бренд	brand
бренд	marca
верувале	creyó
верувале	creyeron
верувале	creído
верувале	creía
признаен	reconocido
признаен	reconocidas
признаен	reconocidos
признаен	reconocida
сервер	host
сервер	anfitrión
сервер	acogida
сервер	huésped
сервер	servidor
пирамида	pirámide
пирамида	pirámides
асистенции	asistencias
асистенции	asiste
бремен	bremen
велигден	pascua
велигден	pascuas
опкружен	rodeada
опкружен	rodeado
опкружен	rodeados
графика	gráfica
графика	gráfico
графика	gráficos
графика	gráficas
махмуд	mahmud
махмуд	mahmud
махмуд	mahmoud
платон	plato
платон	platón
платите	sueldos
платите	salario
платите	salarios
платите	sueldos
платите	salarios
значителни	sustancial
значителни	substancial
значителни	sustanciales
оружја	armamento
оружја	armas
администратори	administradoras
администратори	administradores
администратори	administradores
стандардни	predeterminadas
стандардни	predeterminados
стандардни	incumplimientos
стандардни	impagos
стандардни	estándar
стандардни	norma
стандардни	estandar
стандардни	standard
решено	resuelto
решено	resueltos
решено	resuelta
решено	resueltas
решено	resuelto
решено	resueltos
решено	solucionado
решено	resuelta
прсти	dedos
прсти	pies
прсти	dedos
рангиран	clasificado
арѓеш	argeș
означи	etiqueta
означи	tag
означи	etiquetar
марсел	marcel
клод	claudia
клод	claude
клод	claudio
бордо	bordeaux
бордо	burdeos
фока	sella
фока	foca
фока	sello
парма	parma
стабилна	estables
стабилна	establo
стабилна	estable
занимавал	practicado
лекари	medicos
лекари	facultativos
лекари	médicos
лекари	doctores
лекари	medicos
лекари	médicos
натриум	sodio
албрехт	albrecht
поинаку	distinta
поинаку	diferente
поинаку	distintos
поинаку	distinto
поинаку	diferentes
наставник	maestra
наставник	profe
наставник	maestro
наставник	docente
наставник	profesor
наставник	profesora
групирани	agrupadas
групирани	agrupados
групирани	agrupado
квалитети	calidades
квалитети	cualidades
далас	dallas
картичка	tarjeta
картичка	tarjetas
картичка	card
моторот	motores
моторот	motor
мото	lema
мото	moto
дрвена	madera
дрвена	piquete
слободан	slobodan
признал	confesó
признал	confesado
колорадо	colorado
зимбабве	zimbabwe
зимбабве	zimbabue
тереза	teresa
тереза	teresa
тереза	theresa
студијата	estudio
студијата	estudiar
студијата	estudia
кејп	cabo
кејп	capa
сегмент	nicho
сегмент	nichos
сегмент	segmentos
сегмент	segmentar
сегмент	segmento
патрон	patrón
патрон	patron
патрон	patrona
патрон	mecenas
службеник	escribano
службеник	empleado
роди	nacidos
роди	born
роди	nacido
роди	roddy
војводина	vojvodina
телевизиската	televisado
црево	manguera
црево	intestinos
црево	intestino
темите	tópicos
темите	temáticas
темите	temas
јута	utah
јута	jutta
типична	típico
типична	típicas
типична	típica
типична	típicos
кристали	cristales
кисела	alcalina
магазин	cargador
магазин	magazine
магазин	revista
магазин	revistas
седмиот	séptima
седмиот	séptimo
сезонски	estacional
сезонски	estacionales
сезонски	temporada
аргумент	argumento
аргумент	argumentación
колонизација	colonización
сали	sully
сали	sali
сали	sulley
сали	sally
секција	seccion
секција	sección
плеј	playoff
плеј	playoffs
воспаление	inflamación
максимум	máximo
максимум	máxima
максимум	máximas
максимум	maximo
фил	phil
течности	líquidos
течности	fluidos
течности	líquidos
предниот	anterior
охајо	ohio
војување	guerra
јакоб	jakob
јакоб	jacob
јакоб	jacobo
нејзе	ella
нејзе	su
нејзе	her
ломбардија	lombardía
вршење	cometiendo
вршење	cometer
бакар	cobre
мерења	medición
мерења	mediciones
мерења	medidas
усвоено	adoptada
усвоено	adoptado
усвоено	adoptados
варираат	varía
варираат	variar
варираат	varia
варираат	varían
известување	asesoría
известување	consultiva
известување	asesoramiento
известување	notificación
известување	notificaciones
индивидуи	particulares
индивидуи	individuos
индивидуи	individuales
жица	alambre
жица	wire
жица	alambres
педесет	fifty
педесет	cincuenta
андер	ander
нормални	normales
нормални	normalidad
нормални	normal
адријан	adriano
адријан	adrian
адријан	adriano
адријан	adrián
дрим	drin
бангладеш	bangladés
бангладеш	bangladesh
измислен	imaginaria
измислен	imaginario
измислен	imaginarios
бронза	bronce
хепберн	hepburn
цигари	tabaco
цигари	cigarrillos
цигари	cigarros
цигари	cigarrillo
цигари	cigarros
цигари	puros
цигари	cigarro
цигари	cigarrillos
цигари	cigarrillo
заклучи	lock
заклучи	bloqueo
заклучи	cerradura
заклучи	candado
синоним	sinónimo
синоним	sinónimo
синоним	sinónimos
велосипед	bici
велосипед	bicicletas
велосипед	moto
велосипед	bike
велосипед	bicicleta
велосипед	bici
велосипед	bicicletas
велосипед	bicicleta
судијата	juez
судијата	magistrado
судијата	jueza
судијата	árbitro
судијата	referí
сандерленд	sunderland
опозиција	oposiciones
опозиција	opositores
опозиција	oposición
дизајнер	diseñadora
дизајнер	diseñadores
дизајнер	diseñador
екран	pantalla
роза	rose
роза	rosa
роза	rosa
роза	roza
ејми	amy
ејми	ame
водопади	caídas
водопади	cascadas
водопади	falls
водопади	cataratas
водопади	cae
водопади	cataratas
водопади	cascadas
потпис	firma
потпис	firmas
пронајдена	encontrada
пронајдена	encontradas
пронајдена	encontrados
пронајдена	hallado
пронајдена	encontrado
волт	walt
дискриминација	discriminación
дискриминација	discriminaciones
наслови	titulares
наслови	encabezados
наслови	títulos
ага	aga
куско	cusco
куско	cuzco
произведе	producen
произведе	producir
одделно	separadamente
одделно	separado
одделно	separada
одделно	separado
одделно	separados
одделно	separar
судска	judicial
судска	judiciales
убијци	asesinos
убијци	asesinos
убијци	asesinos
магдалена	magdalena
магдалена	magdalena
данскиот	danés
данскиот	danesa
данскиот	daneses
данскиот	dinamarca
осудени	condenado
осудени	condenados
осудени	convicto
осудени	sentenciado
осудени	condenado
осудени	condenados
осудени	sentenciados
осудени	condenado
осудени	condenados
осудени	condenada
просториите	premisas
просториите	locales
кирибати	kiribati
монро	monroe
патувал	viajó
патувал	viajado
патувал	viajó
патувал	viajado
изгубени	perdido
изгубени	lost
изгубени	perdida
изгубени	perdidos
изгубени	perdió
изгубени	perdidas
етички	ética
етички	éticos
етички	éticas
етички	ético
етички	éticamente
стрес	estrés
стрес	stress
лукас	lucas
лукас	lukas
фотографијата	fotografía
фотографијата	photo
фотографијата	foto
секаде	dondequiera
тибет	tíbet
тибет	tibet
заработи	gane
автономни	autónomo
автономни	autónomas
автономни	autonomía
автономни	autónomos
автономни	autónoma
паралелни	paralelo
паралелни	paralelas
паралелни	paralelos
паралелни	paralelismo
паралелни	paralela
линкови	acoplamientos
линкови	vínculos
линкови	enlaces
линкови	links
мара	mara
нилски	hipopótamo
новела	novela
новела	novella
прослава	celebraciones
прослава	celebración
прослава	festejo
сок	jugos
сок	jugo
сок	zumos
сок	juice
сок	zumo
сок	batidos
родно	nativas
родно	nativa
родно	autóctona
родно	nativo
родно	nativos
кану	canoa
кану	canoas
номинирана	nominados
номинирана	nominado
номинирана	nominada
александра	alexandra
александра	alejandra
александра	aleksandra
симетрија	simetría
физиологија	fisiología
оперски	opera
оперски	ópera
злото	malvado
злото	maldad
злото	mal
злото	evil
злото	malvada
беркли	berkley
беркли	berkeley
архив	archivar
архив	archivos
архив	archivado
архив	archivo
архив	archivos
архив	archivo
накратко	brevemente
возови	trenes
изабела	isabel
изабела	isabella
изабела	isabel
изабела	isabelle
плато	meseta
плато	altiplano
опции	opciones
хасан	hassan
хасан	hasan
корисна	util
корисна	utilidad
корисна	útil
корисна	útiles
корисна	instructivo
преведени	traducida
преведени	traducido
преведени	traducidos
жолти	amarillos
жолти	amarilla
жолти	amarillas
жолти	amarillo
повлекува	retira
испраќање	enviando
богатства	tesoros
богатства	riquezas
богатства	riqueza
умерено	moderadamente
соберат	reunir
фрески	frescos
јон	ion
јон	iones
босански	bosnio
босански	bosnios
босански	bosnia
партизани	partisanos
ракометна	balonmano
сахара	sáhara
сахара	sahara
раѓа	nacidos
раѓа	born
раѓа	nacido
наводнување	irrigación
наводнување	regadío
наводнување	riego
должности	deberes
сфати	entendí
сфати	entendido
сфати	entendió
сфати	comprendido
сфати	entendieron
сфати	entienda
сфати	comprenda
сфати	comprender
сфати	entiende
сфати	entender
хром	chrome
хром	cromo
хром	cromo
лед	hielo
електронско	electrónicos
електронско	electrónico
електронско	electrónica
електронско	electrónicas
електронско	electronic
опстанок	supervivencia
опстанок	sobrevivencia
опстанок	sobrevivir
демо	demo
демо	demostración
доза	dosificación
доза	dosis
доза	posología
доза	dosis
воздушни	aéreo
воздушни	aérea
воздушни	antena
воздушни	aéreos
извршната	ejecutables
извршната	ejecutable
германци	alemanes
намибија	namibia
гласа	votos
гласа	votaciones
бронзен	bronce
викенд	finde
заменета	conmutada
заменета	sustituido
заменета	sustituyó
заменета	reemplazados
заменета	sustituye
заменета	reemplazado
фабрики	fábricas
емирати	emiratos
минимум	mínima
минимум	mínimo
минимум	mínimos
минимум	mínimas
минимум	minimo
недоволно	insuficiente
недоволно	insuficientes
универзален	universal
универзален	universales
спортист	deportista
спортист	atleta
спортист	deportista
ангола	angola
поглавје	capitulo
поглавје	capítulo
намален	disminuida
намален	disminuido
намален	reducido
намален	reducida
намален	reducidas
намален	reducidos
вигинс	wiggins
достигнат	alcanzada
достигнат	alcanzó
достигнат	alcanzadas
достигнат	alcanzados
достигнат	alcanzado
достигнат	alcance
достигнат	reach
достигнат	alcances
стотина	cien
стотина	centenar
стотина	hundred
стотина	cientos
стотина	centenares
алтернативен	alternativo
алтернативен	suplente
алтернативен	suplentes
алтернативен	alternar
алтернативен	alternativa
кемал	kemal
видлива	visible
видлива	visibles
сведочи	testifica
сведочи	testificar
сведочи	atestiguar
откриваат	revelar
откриваат	revela
откриваат	revelan
вратен	regresó
вратен	devueltos
вратен	devuelta
вратен	devuelto
вратен	retornados
просечен	promedio
просечен	media
ќерамиди	techos
ќерамиди	tejados
инка	inca
инка	incas
инка	embudo
ротација	rotación
ротација	rotar
ротација	girar
тенкови	tanques
тенкови	cisternas
загрозен	amenazadas
загрозен	peligro
загрозен	amenazado
загрозен	amenazadas
загрозен	amenazada
загрозен	amenazado
загрозен	amenazados
човечко	humano
човечко	humanas
човечко	humana
човечко	humanos
опен	abrir
опен	abre
опен	abierta
опен	abra
опен	abierto
публикации	publicaciones
теодора	theodora
заболување	enfermedad
прстени	anillos
воведува	introduce
практики	practicas
практики	prácticas
младоста	juventud
младоста	jovenes
младоста	jóvenes
болки	dolores
болки	dolor
академска	académicos
академска	académico
академска	académicas
академска	académica
практична	práctico
практична	prácticos
практична	practico
практична	práctica
тврдејќи	discutiendo
тврдејќи	reclamando
тврдејќи	alegando
панама	panamá
панама	panama
театарска	teatral
театарска	teatrales
мастерс	masters
мастерс	máster
мастерс	maestros
каталонија	catalunya
каталонија	cataluña
галиција	galicia
сенка	sombras
сенка	sombra
сенка	shadow
сенка	sombra
привилегии	privilegios
привилегии	privilegio
привилегии	privilegios
привилегии	privilegio
привилегии	atribuciones
привилегии	prerrogativas
подигнат	erigido
подигнат	erigió
занает	artesanía
занает	embarcaciones
витези	knights
витези	caballeros
скијање	esquiar
скијање	esquí
брест	brest
анастасија	anastasia
оман	omán
диригент	revisor
диригент	conductor
супстанции	sustancia
супстанции	substancia
супстанции	substancias
супстанции	sustancias
вечери	cenas
вечери	tardes
вечери	veladas
гнездо	nido
гнездо	nidos
пфалц	palatinado
кралско	real
кралско	royal
кралско	reales
кралско	imperiales
кралско	imperial
резерват	reserva
резерват	reservar
резерват	reserve
религиозна	religiosos
религиозна	religioso
религиозна	religiosa
религиозна	religiosas
топлината	calidez
топлината	calor
математичари	matemáticos
вага	libra
фрази	frases
лорен	lorena
лорен	lauren
лорен	loren
кнежевство	principado
кози	caprinos
кози	cabras
кози	caprino
карибите	caribeño
карибите	caribeños
карибите	caribe
теологија	teología
исклучоци	excepciones
оператор	operador
оператор	operadora
оператор	explotador
јачина	intensidad
јачина	magnitud
утрински	morning
утрински	mañana
утрински	mañanas
носејќи	portando
носејќи	llevando
преовладува	prevalece
наша	nuestra
наша	nuestras
наша	nuestros
наша	nuestro
наша	nuestra
наша	nuestro
грмушки	matorrales
грмушки	arbustos
грмушки	bush
грмушки	arbusto
сегменти	segmentos
ремо	remo
зајак	conejos
зајак	conejo
доволна	suficiente
доволна	basta
доволна	suficientes
наставници	profesores
наставници	docentes
наставници	maestras
наставници	maestros
наставници	profesorado
лош	malas
лош	malos
лош	malo
лош	bad
лош	mal
лош	mala
кал	fango
кал	lodo
кал	barro
кал	kal
кал	cale
кал	cal
дан	dan
дан	dunne
дан	dunn
дан	dun
соочи	rostro
соочи	carita
соочи	cara
соочи	face
помало	menor
урбана	urbanas
урбана	urbana
урбана	urbano
урбана	urban
урбана	urbanos
шести	sexto
шести	sexta
предизвик	impugnación
предизвик	challenge
предизвик	reto
предизвик	desafio
предизвик	desafío
малтер	mortero
малтер	morteros
исполнети	cumplida
исполнети	cumplido
творба	articulación
матеј	matthew
матеј	mateo
претседателството	presidencia
ријана	rihanna
пенали	penas
пенали	castigos
пенали	sanciones
пенали	penalizaciones
незадоволство	descontento
незадоволство	disgusto
незадоволство	descontento
незадоволство	insatisfacción
свештеникот	sacerdote
свештеникот	cura
предизвикувајќи	provocando
предизвикувајќи	causando
предизвикувајќи	causar
предизвикувајќи	provocando
предизвикувајќи	desencadenar
празни	vacías
празни	vacío
празни	vacíos
празни	vaciar
празни	vacio
празни	vacía
шефот	jefa
шефот	chief
шефот	jefe
шефот	jefa
шефот	jefe
шефот	boss
четворица	cuatro
четворица	four
гледајќи	mirando
гледајќи	viendo
гледајќи	observando
пластика	plástica
пластика	plástico
пластика	plásticos
пластика	plástica
пластика	plásticos
пластика	plástico
јемен	yemení
јемен	yemen
уран	urano
обоени	pintada
обоени	pintadas
обоени	pintado
обоени	pintados
обоени	coloreado
обоени	coloreado
портрети	retrato
портрети	retratos
австронезиски	austronesios
алба	alba
идентификува	identifica
божиќ	navidad
божиќ	navidades
алгебра	álgebra
боби	bobby
ранети	heridos
ранети	herida
ранети	herido
роси	rossi
учествуваше	participado
учествуваше	participaron
учествуваше	participó
мештаните	lugareños
мештаните	locales
покриен	cubierta
покриен	cubiertas
покриен	cubierto
покриен	cubrió
покриен	cubiertos
точна	exacto
точна	exacta
точна	precisa
точна	precisos
точна	exacto
точна	exacta
точна	exactos
точна	correcto
точна	corregir
точна	corrija
точна	correcta
подот	pod
подот	vaina
подот	planta
подот	piso
подот	suelo
обемот	volumen
дипломат	diplomática
дипломат	diplomático
месопотамија	mesopotamia
должноста	duty
должноста	deber
пури	cigarro
пури	puro
пури	puros
пури	cigarros
пури	puros
инцидент	incidentes
инцидент	incidente
работеше	trabajó
работеше	funcionó
работеше	trabajado
работеше	trabajadas
вторник	martes
вирус	virus
добиток	ganado
добиток	bovino
добиток	bovinos
посредник	intermediario
посредник	intermediarios
посредник	intermediario
посредник	mediadores
посредник	mediadora
посредник	mediador
траат	dure
состаноци	reuniones
состаноци	encuentros
сиромаштија	pobreza
геолошки	geológico
геолошки	geológica
геолошки	geológicas
геолошки	geológicos
шер	shere
шер	sher
шер	cher
алмати	almaty
разгледува	considerando
обележани	marcadas
обележани	marcada
обележани	marcado
обележани	marcados
курсеви	cursos
фокус	enfoque
фокус	centrar
фокус	concentración
фокус	focus
фокус	foco
конкретни	específicas
конкретни	específicos
конкретни	específica
конкретни	especifico
конкретни	específico
конкретни	hormigón
конкретни	cemento
конкретни	concrete
конкретни	concreto
супстанца	sustancia
супстанца	substancia
наназад	atrasada
наназад	atrasado
лејди	señora
лејди	dama
лејди	senora
рап	rap
скали	escaleras
скали	escalera
скали	escaleras
скали	escalones
скали	escalera
скали	escalera
раководители	gerentes
раководители	gestores
раководители	administradores
раководители	directivos
раководители	directores
раководители	ejecutivas
раководители	ejecutivos
ресурсите	recursos
очекувања	expectativas
очекувања	expectativa
примарна	primario
примарна	primarias
примарна	primarios
примарна	primaria
времетраење	duración
лесна	facil
лесна	sencilla
лесна	fácil
лесна	sencillo
лесна	easy
лесна	ligera
лесна	liviano
лесна	ligero
мадагаскар	madagascar
едрене	edirne
праќа	envía
типични	típico
типични	típicas
типични	típica
типични	típicos
пејџ	paige
џордан	jordán
џордан	jordania
постоечки	existente
постоечки	existentes
јапонска	japonesas
јапонска	japonesa
јапонска	japonés
јапонска	japoneses
џузепе	giuseppe
џејсон	jasón
џејсон	jason
извршат	cometer
извршат	comprometerse
вегас	vegas
статистичка	estadística
статистичка	estadístico
големини	tamaños
големини	tallas
признат	reconocido
признат	reconocidas
признат	reconocidos
признат	reconocida
признат	reconocido
признат	reconocidas
признат	reconocidos
признат	reconocida
остро	firmemente
остро	fuertemente
остро	afilada
остро	sharp
остро	agudo
остро	afilado
остро	duramente
формирано	constituido
формирано	formado
формирано	formadas
формирано	formada
формирано	formados
атракција	atracción
атракција	atractivo
параметар	parámetro
параметар	parámetros
експлоатација	explotación
експлоатација	prospección
експлоатација	exploración
експлоатација	exploraciones
конечен	finales
конечен	final
конечен	definitivo
пештери	cavernas
пештери	cuevas
андалузија	andalucia
андалузија	andalucía
вишок	excedente
вишок	excedentes
вишок	superávit
вишок	redundantes
вишок	redundante
вишок	exceso
вишок	excedente
вишок	excesos
стенфорд	stanford
нормандија	normandía
нормандија	normandie
нормандија	normandía
изложеност	exposición
антропологија	antropología
хаити	haiti
хаити	haití
свадба	boda
свадба	bodas
свадба	casamiento
оценка	anotar
оценка	puntuación
оценка	partitura
сони	sony
сони	sonny
нирнберг	nuremberg
изолација	aislamiento
ралф	rodolfo
ралф	ralph
самуил	samuel
следна	proxima
следна	próximo
следна	siguiente
следна	próxima
следна	next
стравот	temor
стравот	miedo
стравот	fear
почитува	respete
почитува	respeta
почитува	respetos
ритуали	rituales
интензитет	intensidad
обнови	restablecer
обнови	restaurar
обнови	restaura
обнови	renueve
обнови	renueva
обнови	renovar
промовирање	ascensos
промовирање	promocion
промовирање	promoción
промовирање	promociones
промовирање	ascenso
промовирање	promocionar
промовирање	promocionando
