年	jaar
中文	chinees
中文	sjinees
中文	chinese
自由	vryheid
自由	vryheid
自由	liberty
自由	gratis
自由	vry
自由	free
黃	wong
黃	hwang
黃	huang
黃	yellow
獲得	kry
光	lig
光	ligte
重要	belangrik
重要	belangrike
工程	ingenieurswese
港	hawe
港	hawe
港	port
港	poort
港	harbour
最後	last
最後	laas
最後	laaste
最後	jongste
提交	instuur
提交	dien
提交	ingedien
提交	ingestuur
經	soetra
需要	nood
需要	benodig
需要	verlang
江	rivier
江	jiang
臺灣	taiwannese
最佳	optimum
這個	dit
這個	hierdie
這個	dié
泰	tae
泰	tai
地方	plek
地方	plekke
系列	reeks
系列	series
電視	televisie
登	deng
黑	donker
黑	swart
花	blomme
花	blom
神	god
遊戲	speletjie
遊戲	spel
遊戲	speletjies
遊戲	wedstryde
宗	zong
清	qing
最高	bokant
最高	bo
最高	hoogs
最高	hoogste
最高	supreme
要求	vereistes
要求	versoek
要求	aanvraag
要求	versoeke
讓	jean
版本	uitgawes
版本	weergawes
發現	gekry
發現	gevind
發現	ontdek
發現	ontdekking
發現	discovery
只有	slegs
只有	net
內容	tevrede
最大	maksimum
最大	max
華	hua
華	wah
製作	produksie
製作	productions
出生	gebore
出生	geboorte
朱	zhu
航空	lugvaart
航空	aero
航空	lugredery
航空	lugdiens
航空	airlines
航空	air
航空	lug
數	tel
數	counting
數	tel
數	nommer
數	getalle
數	getal
出版	gepubliseer
出版	publisering
發展	ontwikkeling
成功	suksesvol
成功	suksesvolle
成功	sukses
成功	suksesvol
面積	omgewing
面積	gebied
面積	oppervlakte
面積	area
堡	fort
系統	lêerstelsel
系統	sisteem
系統	stelsel
系統	sisteme
系統	stelsels
系統	systems
蘭	lan
劉	liu
劉	lau
班	squad
冠軍	champ
冠軍	kampioen
冠軍	champions
問題	probleem
問題	problem
問題	vraag
問題	vrae
海拔	hoogtes
海拔	vergelyking
島	island
島	eiland
方式	metode
率	gradeer
率	tarief
率	beoordeel
請	asb
請	asseblief
名稱	naam
名稱	benoem
名稱	gebruikernaam
愛	liefde
得到	kry
平	plat
平	ping
印度	india
印度	indië
街道	straat
街道	strate
存在	teenwoordigheid
刪除	geskrap
刪除	uitgevee
設計	ontwerpe
設計	ontwerp
設計	designing
卡特	carter
群	groep
群	groepeer
負責	verantwoordelik
服務	dienste
服務	dien
服務	bedien
服務	bedien
服務	diens
機	masjien
任何	enige
唐	tang
唐	don
西班牙	spanje
頁	bladsye
頁	blaaie
頁	bladsy
兩	twee
當	wanneer
超	ultra
超	super
超	heerlike
以上	bo
著名	bekende
著名	beroemd
著名	famous
聖	heilige
聖	saint
志	chi
已經	alreeds
已經	reeds
梁	beam
梁	straal
梁	lewendige
梁	leung
梁	liang
專輯	album
專輯	albums
角色	rol
角色	karakters
半	half
成員	lid
成員	lede
東京	tokyo
東京	tokio
新聞	nuus
現在	nou
現在	now
現在	tans
劇	drama
後來	later
女性	meisies
女性	vroulik
女性	vroulik
女性	wyfie
女性	vroue
女性	vrouens
高度	hoogtes
高度	hoogte
說	sê
男	manlike
男	mannetjie
之前	voor
之前	before
合作	samewerking
合作	samewerking
門	hek
門	door
門	deur
門	deure
門	doors
卷	rol
位置	location
位置	ligging
活動	aktiwiteite
活動	aktief
活動	gebeure
活動	aktiwiteite
活動	geleenthede
活動	aktiwiteite
活動	geleentheid
活動	aktiwiteit
只	slegs
只	net
歷史	geskiedenis
歷史	history
歌曲	liedere
歌曲	liedjies
歌曲	liedjie
歌曲	lied
點	kolletjies
點	kolle
點	punt
點	dot
點	punt
一次	eenmaal
一次	sodra
一次	eens
植物	plants
植物	plante
植物	plant
封	feng
封	seal
封	seël
皮	leer
非常	baie
而且	en
通常	gewoonlik
通常	gewoonlik
通常	normaalweg
形成	stigting
比賽	speletjie
比賽	spel
比賽	ras
比賽	resies
比賽	wedstryd
比賽	kompetisie
聯賽	liga
九	nege
學校	skole
學校	skool
完全	heeltemal
信	briewe
信	letters
信	brief
信	letter
期間	periode
接受	aanvaarding
接受	aanvaarde
接受	aanvaar
接受	aanvaar
書	bespreek
書	boek
書	boeke
交通	vervoer
交通	traffic
交通	verkeer
交通	vervoer
交通	transport
木	wooden
木	hout
討論	besprekings
討論	bespreek
故事	berig
故事	berigte
故事	stories
直接	direk
直接	rig
直接	direkte
參與	betrokkenheid
參與	interaksie
參與	deelname
朗	lon
湖	meer
根	stam
根	root
根	wortels
保留	besprekings
保留	gereserveer
保留	bespreking
希望	hoop
手	hand
手	hande
心	hart
心	hartjie
心	harte
巴士	bus
巴士	busse
播放	uitgesaai
播放	uitsending
播放	uitsaai
播放	toneelstuk
播放	speel
播放	speel
播放	terugspeel
播放	speel
音	konsonant
音	skakering
音	tone
增加	verhoog
增加	vermeerder
增加	vermeerder
增加	toegeneem
增加	verhoogde
角	angle
角	hoek
角	detailed
角	kaap
角	punt
天文台	observatories
天文台	sterrewag
耶	jippie
太	te
徐	seo
永	wing
永	yong
歌	liedere
歌	liedjies
歌	liedjie
歌	lied
美元	dollar
圖	diagram
圖	grafiek
圖	grafiese
圖	figuur
投票	stem
投票	meningspeiling
灣	inlet
灣	cove
灣	baai
灣	bay
民主	demokrasie
寺	tempel
寺	temple
雖然	hoewel
雖然	alhoewel
雖然	though
參加	bywoon
參加	bygewoon
特別	spesiaal
控制	kontrole
控制	beheer
控制	kontrole
控制	kontroles
蒙	mont
戰	slag
戰	veldslag
戰	oorlog
電視台	televisie
以下	onder
以下	hieronder
以下	onderstaande
然而	egter
七	sewe
七	sewende
口	mond
仁	jin
委員會	kommissie
編輯	wysig
編輯	redigeer
編輯	verstrek
編輯	redigering
編輯	wysiging
編輯	redakteur
資料	data
隆	takashi
青	ching
青	qing
播出	uitgesaai
播出	uitsending
播出	uitsaai
路線	roetes
路線	roete
年度	jaar
宋	liedjie
宋	lied
附近	naby
附近	nabye
附近	nabygeleë
附近	naby
歌手	sangers
歌手	singers
歌手	sangeres
歌手	sanger
歌手	singer
店	winkel
店	stoor
店	winkel
二十	twintig
組織	division
組織	deling
分類	klassifiseer
分類	klassifikasie
教授	professor
盃	koppie
盃	beker
源	bronne
源	bron
八	agt
八	agtste
八	reguit
法國	frankryk
除了	behalwe
除了	except
除了	uitgesonderd
文字	teksboodskap
文字	teks
民族	etnisiteit
主席	president
主席	chairman
不過	maar
文物	artifacts
文物	antiquities
老	oud
老	ou
女子	vrou
世紀	eeue
世紀	eeu
鐵	yster
德國	duitsland
票	kaartjies
票	kaartjie
動畫	anime
打	veg
關係	relationships
關係	verhoudings
關係	betrekking
關係	verwantskap
關係	verhoudinge
關係	betrekkinge
關係	relations
關係	verhouding
能力	kapasiteit
能力	vermoë
能力	vermoeë
能力	lancelot
少	minder
網站	webwerf
網站	webtuiste
網站	webwerwe
模板	voorbeelde
個人	persoonlik
個人	persoonlike
個人	individuele
個人	individu
擁有	besit
擁有	besitter
學生	studente
學生	student
鎮	town
南部	suidelike
南部	suid
語言	tale
模式	modusse
模式	patroon
模式	modus
相關	relevante
相關	relevant
相關	gepas
相關	verwante
相關	verwant
決定	besluit
決定	besluit
決定	besluite
楊	jan
楊	yang
方向	aanwysings
方向	voorskrifte
方向	breuke
方向	rigting
方向	oriëntasie
郭	guo
方法	metode
方法	metodes
影響	impact
影響	impak
影響	invloed
影響	beïnvloed
影響	effekte
影響	invloede
許多	vele
許多	baie
第四	vierde
秀	soo
死	dooie
死	dood
蘇	sue
甚至	selfs
開	ope
開	oopmaak
開	oop
見	sien
田	tian
只是	slegs
只是	net
結束	einde
結束	beëindig
巴西	brasilië
共同	gemeen
共同	common
共同	gemeenskaplike
出版社	uitgewer
出版社	uitgewers
提名	nomination
提名	nominated
保護	presisie
保護	beskerming
保護	beskerm
食	eet
獨立	indie
獨立	independent
獨立	onafhanklike
獨立	onafhanklik
獨立	selfstandige
獨立	onafhanklikheid
包含	bevat
距離	afstand
距離	afstande
社會	samelewing
社會	gemeenskap
社會	geselskap
社會	bybelgenootskappe
社會	maatskaplike
社會	sosiale
社會	sosiaal
加拿大	kanada
加拿大	canada
兩個	twee
公尺	meter
公尺	meter
還	ook
哥	broer
歐洲	europa
歐洲	europees
歐洲	europese
像	soos
鐵路	rail
鐵路	spoor
鐵路	spoorweg
鐵路	spoorlyn
鐵路	railways
鐵路	spoorweg
鐵路	spoorweë
居民	inwoners
功能	kommentaar
功能	kenmerke
功能	eienskappe
功能	funksioneel
功能	funksionele
功能	eienskap
功能	kenmerk
功能	funksionaliteit
聯盟	union
聯盟	unie
聯盟	liga
聯盟	alliance
聯盟	alliansie
聯盟	verbond
聯盟	koalisie
洪	hong
利用	gebruik
最終	eventually
平均	gemiddelde
平均	gemiddeld
平均	gem
侵	assault
雙	dubbel
雙	dubbele
再次	weer
網	web
網	netto
施	shi
量	hoeveelheid
量	aantal
量	kwantiteit
演員	akteurs
演員	aktrise
演員	actress
演員	akteur
亞洲	asiese
亞洲	asiatiese
亞洲	asië
全球	aardbol
全球	globe
全球	wêreldwyd
全球	global
全球	globale
全球	globaal
全部	alle
全部	alles
全部	all
全部	almal
全部	al
全部	als
北部	noorde
北部	noord
北部	noordelike
北部	northern
運動	sportsoorte
運動	sport
運動	mosie
運動	motion
運動	beweging
運動	verslae
運動	sport
運動	sportsoort
運動	movement
運動	beweging
中共	cpc
毛	walglik
毛	bruto
毛	mao
草	gras
直到	totdat
名字	naam
名字	benoem
名字	gebruikernaam
地球	aarde
死亡	dood
戰爭	oorlog
戰爭	oorloë
戰爭	wars
溪	mus
邦	pong
紅	rooi
唱片	rekord
唱片	opneem
安全	veilig
安全	veilige
安全	beveilig
玉	jade
學院	akademie
學院	kollege
學院	kolleges
原因	redes
原因	rede
原因	oorsaak
原因	saak
原因	veroorsaak
通過	via
通過	verbygaan
管	pyp
管	tube
管	buis
強	sterk
選舉	verkiesing
選舉	verkiesings
辛	sheen
辛	sonde
辛	xin
漢	han
法律	reg
法律	wet
法律	wette
革命	rewolusie
革命	revolusie
革命	omwentelinge
計劃	plan
計劃	reëlings
計劃	planne
時代	tye
時代	kere
男性	mans
男性	manlike
男性	mannetjie
男性	mans
男性	manne
目的	poog
形式	vorms
形式	formateer
鄭	zheng
鄭	jung
基本	basies
基本	basic
基本	basiese
蔡	cai
葉	blaar
葉	yip
單位	eenhede
單位	eenheid
修	regmaak
科技	tegnologie
科技	tech
青年	jeug
流	vloei
流	flow
流	strome
流	stroom
蒙古	mongoolse
蒙古	angola
蒙古	mongolia
結果	uitkoms
結果	resultate
結果	uitslae
結果	uitslag
結果	resultaat
教	teaching
解放	bevryding
祖	joe
體	lyf
體	liggaam
球隊	spanne
球隊	span
左	gelaat
戴	wear
自然	natuurlike
自然	aard
自然	prent
自然	natuur
自然	nature
台北	taipei
澳門	macau
澳門	macau
新的	nuut
新的	nuwe
經濟	ekonomie
經濟	ekonomiese
經濟	ekonomie
經濟	ekonomies
傑	jie
傑	jay
切	cut
一起	gekuier
一起	saam
越南	viëtnam
越南	vietnam
越南	viëtnamese
快速	vinnig
快速	vinnige
學	leer
學	leer
職業	loopbaan
職業	beroep
職業	loopbane
職業	besetting
團	regiment
百	honderd
廣	wyd
廣	breed
廣	broad
相同	identiese
相同	identies
相同	dieselfde
相同	selfde
類	klas
兵	soldier
兵	soldate
億	biljoen
分鐘	minute
分鐘	minuut
發	hare
政策	beleid
政策	beleide
銀	silwer
日期	datum
日期	datums
單曲	singles
普通	gewoon
鰭	fin
男子	mans
男子	manne
共和國	republiek
理由	redes
理由	rede
南京	nanking
南京	nanjing
交流	ruil
總統	president
標準	kriteria
標準	standaarde
標準	standaard
排名	range
排名	ranglys
排名	stand
排名	wêreldranglys
排名	rang
排名	rank
排名	gerangskik
表	veranderlike
表	tafel
表	tabel
韓國	korean
韓國	koreaanse
韓國	korea
行動	operasie
行動	bewerking
行動	aksies
行動	handelinge
博士	dokter
博士	doctor
立法	wetgewing
尾	stert
尾	sterte
熱帶	tropiese
熱帶	trope
議員	senator
漫畫	comics
漫畫	strokiesverhaal
漫畫	komies
漫畫	manga
漫畫	tekenprent
漫畫	cartoon
短	kort
短	kortliks
短	sorteer
坑	pit
凱	kai
凱	kay
生物	biologiese
生物	biologie
生物	skepsels
生物	organismes
生物	diertjie
城鎮	town
城鎮	dorpe
春	lente
海軍	navy
海軍	vloot
海軍	naval
公路	paaie
公路	highways
公路	pad
公路	road
公路	hoofweg
公路	grootpad
公路	highway
冠	kroon
作家	skrywer
作家	outeur
作家	skrywers
空	leeg
空	leë
空	egipte
雪	sneeu
牛	beeste
牛	bees
牛	koei
牛	bull
火	brand
火	vuur
攻擊	aanvalle
攻擊	aanval
攻擊	assault
值	waardes
值	waarde
十二	twaalf
新加坡	singapoer
琳	lynn
西部	wes
西部	westerse
西部	western
西部	westelike
土	grond
早期	vroeg
早期	vroeë
速度	velocity
速度	snelheid
速度	spoed
合併	samesmelting
合併	versmelt
合併	samevoeging
合併	saamsmelt
合併	saamvoeg
建築	gebou
建築	geboue
建築	oprigting
建築	konstruksie
建築	argitektuur
道路	paaie
道路	pad
道路	road
發表	publiseer
發表	gepubliseer
低	laer
低	kleinletters
低	verlaag
低	sagter
低	elektrisiteit
低	lae
庫	coop
色	deursigtigheid
仍然	steeds
仍然	nogsteeds
來自	van
來自	vanuit
來自	vanaf
每年	maandelikse
天津	tianjin
技術	tegniese
技術	tegnologieë
技術	technique
技術	tegniek
技術	tegnologie
技術	techniques
主任	direkteur
畢業	gegradueer
畢業	klaargemaak
畢業	graduation
畢業	graduate
設	gestel
設	instel
設	stel
機場	lughawe
機場	lughawens
威廉	willem
威廉	william
館	pavilion
天主教	katolieke
天主教	katoliek
富	ryk
千	duisend
芬	fin
大部分	meeste
大部分	mees
程	cheng
房	kamer
她的	haar
費	fee
費	fooi
情況	situasie
最初	aanvanklik
來源	bronne
來源	bron
來源	bronne
首都	hoofstad
牌	kaarte
杯	koppie
杯	beker
廣告	advertensies
廣告	advertensies
廣告	reklame
廣告	advertering
廣告	advertensies
廣告	advertensie
深	diepte
深	diep
描述	beskryf
描述	uitbreidings
描述	beskrywende
皇帝	keiser
域	domain
域	domein
域	domeine
流行	gewild
流行	gewilde
流行	pop
潘	pam
潘	pan
計畫	plan
列車	trein
列車	treine
環	ring
環	rings
環	lus
父	vader
不明	onbekend
不明	vreemde
取代	oordra
取代	spasie
兄弟	broer
物理	fisika
物理	fisiese
物理	fisieke
底	bodem
底	onder
底	onderkant
底	bottom
右	regterkant
右	regs
武器	wapens
武器	bewapen
武器	wapen
顯示	vertonings
顯示	programme
顯示	vertoon
顯示	aansig
顯示	gewys
顯示	wys
制度	regime
報告	rapporteer
報告	rapporte
報告	verslae
秒	sekondes
秒	sekonde
秒	sekondes
秒	sekonde
秒	sekondes
秒	sek
雲	wolke
雲	wolk
雲	yun
小說	roman
小說	romans
小說	fiksie
風	wind
程度	graad
導演	direkteur
父親	vader
和平	vrede
西北	noordwestelike
西北	noordwes
圈	sirkels
圈	sirkel
修改	verander
修改	wysig
修改	gewysig
生產	produksie
申請	toepassings
申請	programme
申請	aanwendings
申請	aansoeke
申請	aansoek
申請	toepassings
申請	toepassing
單	enkel
谷	valley
谷	vallei
谷	tani
巴黎	parys
家庭	families
家庭	gesinne
家庭	familie
家庭	gesin
宗教	religie
宗教	godsdiens
宗教	godsdienstige
宗教	religieuse
宗教	gelowige
宗教	gelowe
表演	vaar
英格蘭	engeland
英格蘭	england
聯合	gesamentlike
聯合	joint
當地	lokale
當地	plaaslike
當地	plaaslik
不久	gou
不久	binnekort
不久	soon
作用	rol
改革	hervorm
改革	gereformeerde
改革	hervormde
藝術	kunste
藝術	kuns
藝術	artistieke
球員	speler
球員	spelers
教區	parish
處理	hantering
處理	handvatsel
處理	hanteer
香	wierook
先生	sir
先生	meneer
建議	advies
建議	raad
建議	aanbevelings
建議	voorstelle
建議	voorstel
建議	aanbeveling
旅	brigades
旅	brigade
全國	landswyd
全國	landswye
虎	tier
虎	tiger
超級	super
超級	heerlike
土地	lands
土地	grond
彭	peng
四川	sichuan
曹	cao
展	exhibition
特色	kenmerke
特色	eienskappe
特色	eienskap
特色	kenmerk
公園	park
公園	parke
包	sak
包	pakkie
包	pakket
包	bao
包	verpak
包	pakket
中部	midlands
西南	suidwestelike
西南	suidwes
翼	wing
翼	vlerke
翼	vleuels
翼	hordes
孔	kong
孔	gat
盧	lou
十一	elf
研究所	instituut
協會	vereniging
協會	assosiasie
主演	rolverdeling
文學	literêre
文學	letterkunde
文學	literatuur
頻道	kanale
頻道	kanaal
少年	junior
舊	oud
舊	ou
大家	almal
股份	gedeel
紀錄	rekord
紀錄	opneem
紀錄	rekords
紀錄	records
影片	films
影片	fliek
影片	rolprent
影片	video
影片	rolprent
身份	identiteite
身份	identiteit
基地	basisse
基地	base
基地	onderliggende
基地	basis
必須	moet
文件	lêers
電視劇	drama
更多	nog
更多	meer
藍	blou
居住	woonplek
力量	sterkte
板	plate
板	plaat
板	borde
秦	qin
浙江	zhejiang
禁	verbode
船	skip
船	skeep
船	boot
文章	artikels
意見	opinies
意見	opmerkings
意見	opinie
意見	mening
公主	prinses
同意	ooreengekom
果	vrug
果	vrugte
最多	meeste
最多	mees
最多	maksimum
最多	max
地下	ondergrondse
十	tien
銀行	banke
銀行	bank
非洲	africa
非洲	afrika
非洲	afrikaanse
非洲	afrikaan
非洲	afrika
非洲	african
媒體	media
支援	ondersteuning
支援	ondersteun
支援	steun
支援	bystand
支援	rugsteun
陵	mausoleum
拍攝	skiet
拍攝	skiet
拍攝	verskietende
還有	en
俄羅斯	rusland
節	fees
分析	analitiese
分析	ontledings
分析	analise
偉	wai
旗	vlae
旗	gemerk
旗	vlaggies
旗	vlaggie
旗	vlag
旗	rapporteer
旗	banier
行星	planetêre
作者	skrywer
作者	outeur
作者	skrywers
作者	outeurs
作者	skrywers
作者	skrywer
作者	outeur
北海道	hokkaido
皇家	koninklike
皇家	royal
皇家	royals
電子	elektron
電子	elektronies
電子	elektroniese
電子	elektronika
三十	dertig
倫敦	londen
範圍	bestek
範圍	reekse
範圍	gewysig
範圍	omvang
黨	party
黨	feesvieringe
黨	partytjie
微	micro
微	mikro
教堂	kerke
教堂	kerk
警察	polisie
絲	silk
趙	zhao
帝國	ryk
原本	oorspronklik
娛樂	ontspanning
娛樂	onthaal
娛樂	vermaak
坡	poe
方案	programme
屋	house
屋	huis
詞	woord
詞	woorde
洞	gat
洞	cave
洞	grot
洞	dong
宮	paleis
影	skaduwees
影	skadu
影	skaduwee
速	spoed
黎	lai
會議	aanbreek
會議	meetings
會議	vergaderings
會議	ontmoeting
會議	besigheid
會議	vergadering
資訊	informasie
資訊	inligting
戰鬥	slag
戰鬥	veldslag
戰鬥	bakleiery
戰鬥	fighting
戰鬥	veg
項目	projek
項目	items
項目	projekte
項目	item
玩家	speler
玩家	speletjie
玩家	spelers
限制	beperkings
限制	beperkinge
限制	beperkings
限制	beperking
限制	beperking
限制	beperk
電腦	rekenaar
電腦	rekenaars
如何	hoe
創作	skeppings
創作	skepping
創作	kreatief
引擎	masjien
引擎	engine
引擎	enjin
引擎	motor
引擎	enjins
引擎	engines
執行	uitvoer
執行	aksie
執行	uitvoering
英雄	heroes
英雄	helde
英雄	held
英雄	hero
下午	middag
反對	beswaar
反對	opposisie
小時	ure
小時	vakansie
小時	uur
昂	aung
不足	onvoldoende
體育	verslae
體育	sport
體育	sportsoort
體育	sportsoorte
體育	sport
投入	insette
有些	sommige
元素	elemente
宇	woo
任命	afsprake
任命	afspraak
跨	trans
王朝	dinastie
區域	sone
區域	omgewing
區域	gebied
區域	oppervlakte
區域	area
區域	streek
區域	streke
以前	voor
以前	before
報	koerant
分子	molekulêre
分子	molekule
分子	molekules
隧道	tonnel
孫	son
崔	choi
申	shin
湖南	hunan
雜誌	tydskrif
雜誌	tydskrifte
有效	geldig
有效	geldige
有效	soektog
有效	effektief
平台	platform
平台	platforms
概念	konsepte
議會	parlement
傳統	tradisioneel
傳統	tradisionele
傳統	tradisie
傳統	tradisies
夏季	somer
照片	prent
照片	photograph
照片	prente
照片	prentjies
照片	foto
核	nuclear
停止	ophou
公開	openbare
公開	openbaar
公開	publieke
公開	publiek
仙	barry
仙	fairy
仙	xian
劍	swords
劍	swaard
機構	agentskap
帶	bring
帶	gordel
帶	belt
操作	operasie
操作	bewerking
取消	kanselleer
取消	verander
取消	kansellasie
人類	humans
人類	menslik
人類	mens
市場	markplein
市場	markte
市場	markplein
市場	mark
飛	fly
飛	vlieg
飛	vlieënde
飛	flying
軍事	militêre
協助	bystaan
協助	assist
協助	bygestaan
橋	brug
橋	bridges
橋	brûe
調查	opnames
調查	opname
投	toon
忠	chung
澳洲	australiese
主教	biskop
主教	loper
紀念	souvenir
紀念	remembrance
地點	plek
地點	venue
地點	lokaal
地點	plek
地點	location
地點	ligging
地點	plekke
地點	liggings
颱風	typhoon
決賽	finale
決賽	finaal
大臣	minister
沈	shen
移動	beweeg
陸軍	weermag
陸軍	leër
陸軍	army
法院	hof
法院	hof
法院	howe
留	bly
電	elektrisiteit
電	elektriese
運動員	atleet
運動員	atlete
夢	droom
夢	drome
羅馬	rome
科學	wetenskap
科學	wetenskaplike
科學	wetenskaplik
東北	noordelike
烏克蘭	oekraïne
啟用	geaktiveer
啟用	aktiveer
啟用	geaktiveer
啟用	aktiveer
皇后	empress
皇后	queen
皇后	dame
九龍	kowloon
動物	diere
動物	dier
佛教	boeddhisme
佛教	boeddhistiese
精神	geestelik
精神	gees
精神	mental
企業	ondernemings
企業	enterprises
企業	besighede
企業	besigheid
企業	onderneming
核心	kern
核心	kernel
環境	omgewing
環境	omgewings
河南	henan
冰	ys
飛機	vliegtuie
飛機	vliegtuig
飛機	vliegtuig
飛機	vliegtuig
太陽	son
太陽	solar
深圳	shenzhen
瑞典	swede
廳	saal
關	af
選擇	seleksie
選擇	kies
陶	tao
珠	beads
珠	krale
比較	vergelyk
比較	vergelykings
類似	soortgelyke
眼	oë
眼	oog
澤	chak
妻子	vrou
秋	herfs
雨	reën
編號	nommering
編號	nommer
編號	getalle
編號	getal
亭	kiosk
思想	dog
思想	gedink
思想	gedagtes
破壞	sabotage
破壞	vernietiging
重建	herbou
重建	heropbou
基督教	christian
基督教	christene
基督教	christen
基督教	christiaan
基督教	christendom
