புரி	puri
மேசை	arbeitsfläche
மேசை	desktop
லூதர்	luther
கருங்கல்	granit
ஆதரவான	unterstützend
ஆதரவான	unterstützen
ஆதரவான	unterstützende
கூட்டுத்தொகை	sortiert
கூட்டுத்தொகை	sortierung
கூட்டுத்தொகை	sortieren
கம்பளி	woll
கம்பளி	wolle
நிர்வகித்தல்	verwalten
காரணத்தை	grund
காரணத்தை	vernunft
வூ	woo
மார்க்சியம்	marxismus
கூ	koo
சொற்பொழிவு	vortrag
சொற்பொழிவு	vorlesung
சொற்பொழிவு	vorträge
சொற்பொழிவு	vortrag
சொற்பொழிவு	ansprache
சொற்பொழிவு	rede
சொற்பொழிவு	sprache
சொற்பொழிவு	implantate
சொற்பொழிவு	implantat
எளிது	leichter
எளிது	einfache
எளிது	einfach
எளிது	easy
எளிது	leicht
மோசே	mose
மோசே	moses
மோசே	musa
வாய்ப்புகளை	chancen
பிரம்மம்	brahman
வளையங்கள்	schleifen
வளையங்கள்	loops
வளையங்கள்	rings
வளையங்கள்	ringe
வளையங்கள்	ringen
வளையங்கள்	klingeln
பொடி	milchpulver
பொடி	pulver
பொடி	pulverform
பொடி	puder
பொடி	pulver
பொடி	schießpulver
சட்டமன்றத்தின்	gesetzgebenden
சட்டமன்றத்தின்	gesetzgeber
மங்களூர்	mangalore
தாரை	jet
போர்னியோ	borneo
ஸ்டார்க்	stark
நரி	fuchs
நரி	fox
ஜானி	jani
ஜானி	johnny
பாட்	pat
தூங்கும்	schlaf
தூங்கும்	schlafen
தூங்கும்	schläft
போன்றவற்றிற்கு	ect
கண்ணாடிகள்	sonnenbrillen
கண்ணாடிகள்	sonnenbrillen
கண்ணாடிகள்	gläser
கண்ணாடிகள்	brille
கண்ணாடிகள்	gläsern
கண்ணாடிகள்	brillen
சிங்கை	singh
ஒளிப்பதிவாளர்	kameramann
பிரிக்கிறது	trennt
மகாராணி	queen
மகாராணி	königin
மகாராணி	dame
கடமைகள்	zölle
கடமைகள்	pflichten
கடமைகள்	aufgaben
யேல்	yale
லாவோஸ்	laos
மால்	mall
மால்	einkaufszentrum
மால்	mal
மால்கம்	malcolm
நார்	fasern
நார்	glasfaser
நார்	faser
நார்	fasern
நார்	glasfaser
நார்	faser
சுன்னி	sunnitischen
புதிர்	geheimnisse
புதிர்	mystery
புதிர்	geheimnis
புதிர்	rätsel
புதிர்	geheimnisvoll
புதிர்	puzzle
புதிர்	rätsel
பிராந்தியம்	region
பிராந்தியம்	gebiet
சந்திரா	chandra
ரகசியம்	geheim
ரகசியம்	geheimnis
ரகசியம்	secret
ரகசியம்	geheimen
ரகசியம்	heimlich
ரகசியம்	geheimnis
ரகசியம்	geheimhaltung
ஜோஷி	joshi
பசுமையான	evergreen
பெர்னார்ட்	bernard
பெர்னார்ட்	bernhard
மேகம்	cloud
மேகம்	wolken
மேகம்	wolke
கெல்வின்	kelvin
பேக்கர்	baker
பேக்கர்	bäcker
ஓமோ	omo
அபராதம்	kreuzung
அபராதம்	überqueren
அபராதம்	überfahrt
அபராதம்	durchqueren
அபராதம்	überschreiten
அளவியல்	messungen
அளவியல்	messwerte
அளவியல்	maße
இல்ல	startseite
இல்ல	zuhause
இல்ல	haus
இல்ல	heimat
சம்பா	samba
கோவிந்த	govinda
மன்ஹாட்டன்	manhattan
றோயல்	königliches
றோயல்	königliche
றோயல்	royal
றோயல்	königlichen
றோயல்	königlich
நைட்ரேட்டு	nitrate
நைட்ரேட்டு	nitrat
நபியின்	prophet
நபியின்	propheten
லிசா	lisa
கோன்	gon
கோன்	kone
கோன்	kon
சைகை	signal
சைகை	gesten
சைகை	geste
தாழ்வு	niedrige
தாழ்வு	niedrig
தாழ்வு	niedrigen
தாழ்வு	low
தாழ்வு	unterlegenheit
பிரபஞ்ச	kosmische
பிரபஞ்ச	kosmischen
கம்போங்	kampung
மொரிசியசு	mauritius
மொழிபெயர்ப்பாளர்	übersetzerin
மொழிபெயர்ப்பாளர்	übersetzer
மொழிபெயர்ப்பாளர்	dolmetscher
விற்கப்பட்டது	verkauft
விற்கப்பட்டது	verkauften
விற்கப்பட்டது	verkaufte
ஹில்டன்	hilton
சீசியம்	caesium
உடலுறவு	geschlecht
உடலுறவு	geschlechtsverkehr
உடலுறவு	sex
நேர்மையான	aufrichtige
நேர்மையான	aufrichtig
நேர்மையான	aufrichtigen
நேர்மையான	ehrlich
நேர்மையான	ehrliche
நேர்மையான	aufrichtig
நேர்மையான	ehrlichen
தோற்றார்	raubtiere
தோற்றார்	räuber
சீன்	sean
பன்னிரெண்டு	twelve
பன்னிரெண்டு	zwölf
செனான்	xenon
மோடி	modi
முறையீடு	berufung
முறையீடு	rechtsmittel
முறையீடு	rechtsbehelf
முறையீடு	einspruch
அதிகாரமும்	behörde
அதிகாரமும்	vollmacht
அதிகாரமும்	autorität
பெட்ரோலியம்	petroleum
பெட்ரோலியம்	erdöl
பெட்ரோலியம்	mineralöl
நெஞ்சு	kommode
நெஞ்சு	brust
நெஞ்சு	brustkorb
நெஞ்சு	truhe
அமர்	ammar
அமர்	amar
திவான்	dewan
அயோத்தி	ayodhya
பிணையம்	netzwerk
பிணையம்	streckennetz
பிணையம்	netzwerke
பிணையம்	netz
மாமன்	onkel
மாமன்	onkels
போட	setzen
போட	legen
போட	lege
போட	leg
சிதைந்த	verdorben
சிதைந்த	beschädigte
சிதைந்த	beschädigt
அன்வர்	anwar
ஏப்	apr
ஏப்	april
நுண்கணிதம்	analysis
நுண்கணிதம்	kalkül
வரையறுக்க	bestimmen
வரையறுக்க	definieren
மாநாட்டு	konferenzraum
மாநாட்டு	konferenz
மாநாட்டு	konferenzen
சேவல்	schwänze
சேவல்	schwanz
சேவல்	hahn
யூன்	yoon
லின்	lynn
லின்	lyn
லின்	lin
லின்	lynne
தன்னிச்சையான	spontane
தன்னிச்சையான	spontanen
தன்னிச்சையான	spontan
எறும்பு	ant
எறும்பு	ameisen
எறும்பு	ameise
அல்லாஹ்	god
அல்லாஹ்	allah
அல்லாஹ்	gottes
அல்லாஹ்	gott
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgie
பாட்னா	patna
திருப்தி	zufriedenstellen
திருப்தி	befriedigen
திருப்தி	befriedigt
திருப்தி	zufrieden
கன்	gan
இமாம்	imam
பாம்	bam
பாம்	palme
பாம்	palmöl
பாம்	hand
பாம்	palm
பாம்	palmen
பட்டறைகள்	werkstatt
பட்டறைகள்	workshops
பட்டறைகள்	werkstätten
பட்டறைகள்	seminare
இறங்கும்	landen
இறங்கும்	landungen
இறங்கும்	landung
இறங்கும்	anlandung
இணக்கம்	compliance
இணக்கம்	erfüllung
இணக்கம்	einhaltung
இணக்கம்	konformität
ஹதீஸ்	hadith
நிரந்தரமான	ewige
நிரந்தரமான	ewiges
நிரந்தரமான	ewigen
வருகிறேன்	wiedersehen
வருகிறேன்	bye
வருகிறேன்	tschüss
மரணத்தை	todes
மரணத்தை	tode
மரணத்தை	tod
மரணத்தை	todesstrafe
காசா	casa
காசா	gazastreifen
காசா	gaza
பயிற்சியை	ausbildung
பயிற்சியை	schulungen
பயிற்சியை	weiterbildung
பயிற்சியை	schulung
பயிற்சியை	fortbildung
அருணா	aruna
மாயை	wahnvorstellungen
மாயை	einbildung
மாயை	wahn
மாயை	täuschung
மாயை	illusionen
மாயை	illusion
மாயை	täuschung
விற்பனையாளர்கள்	verkäufern
விற்பனையாளர்கள்	verkäufer
அமைப்பாளர்	organisator
அமைப்பாளர்	veranstalter
அமைப்பாளர்	terminkalender
அமைப்பாளர்	komponistin
அமைப்பாளர்	komponist
அமைப்பாளர்	komponisten
கண்களை	blicke
கண்களை	eyes
கண்களை	augen
செர்பியா	serbien
வேண்டுதல்	antrag
வேண்டுதல்	anfordern
வேண்டுதல்	anfragen
வேண்டுதல்	anforderung
வேண்டுதல்	anfrage
ஓய்வுபெற்ற	ruhestand
ஓய்வுபெற்ற	rentner
ஓய்வுபெற்ற	ehemaliger
ஓய்வுபெற்ற	ausgemustert
ஓய்வுபெற்ற	zurückgezogen
நம்ப	glaube
நம்ப	glaubt
நம்ப	glauben
நம்ப	glaub
பியானோ	piano
பியானோ	klavier
பியானோ	flügel
தட்டை	flat
தட்டை	flach
தட்டை	wohnung
மறுசுழற்சி	wiederverwertung
மறுசுழற்சி	recycling
மறுசுழற்சி	recycelt
மறுசுழற்சி	recycelt
கலந்துரையாடல்	diskussion
கலந்துரையாடல்	diskussionen
விரிவுரை	vortrag
விரிவுரை	vorlesung
விரிவுரை	vorträge
வென்	wen
பாதுகாப்பில்	gewahrsam
பாதுகாப்பில்	sorgerecht
பாதுகாப்பில்	verwahrung
பாதுகாப்பில்	untersuchungshaft
சங்கீதம்	psalm
ஹிந்து	hindu
ஹிந்து	hindus
உறவுமுறை	beziehungen
உறவுமுறை	beziehung
உறவுமுறை	verhältnis
சூரத்	surat
சேர்க்கப்பட்டார்	fügte
சேர்க்கப்பட்டார்	hinzugefügt
அரக்கன்	monstern
அரக்கன்	ungeheuer
அரக்கன்	monster
சமுத்திரம்	ozean
சமுத்திரம்	ozeane
சமுத்திரம்	meer
முக்கோணங்கள்	dreiecke
சொந்தமானது	gehört
பாராட்டு	anerkennung
பாராட்டு	würdigung
பாராட்டு	wertschätzung
பாராட்டு	aufwertung
பாராட்டு	dankbarkeit
பாராட்டு	beifall
பாராட்டு	applaus
அச்சிட்டு	drucke
அச்சிட்டு	drucken
அச்சிட்டு	fingerabdrücke
அச்சிட்டு	abzüge
பின்பும்	danach
பின்பும்	nach
பின்பும்	after
பின்பும்	nachher
பின்பும்	nachdem
தோழர்	kamerad
தோழர்	genosse
தோழர்	gefährten
தோழர்	kamerad
தோழர்	begleiter
தோழர்	gefährte
போராடும்	bekämpfen
போராடும்	kämpfen
போராடும்	kampfhandlungen
போராடும்	kämpfe
விலகல்	standardabweichung
விலகல்	abweichungen
விலகல்	abweichung
அர்ஜென்டினா	argentinien
அர்ஜென்டினா	argentinischen
அர்ஜென்டினா	argentinien
அர்ஜென்டினா	argentinischer
அர்ஜென்டினா	argentinische
ரத்தம்	blut
ரத்தம்	blutes
ரத்தம்	blood
ரத்தம்	blutprobe
தாமான்	taman
வெடி	explosionen
வெடி	explosion
வெடி	explosionen
பழமொழி	sprichwort
உறிஞ்சி	trottel
கற்பனைக்	fantasy
கற்பனைக்	fantasien
கற்பனைக்	phantasie
கற்பனைக்	fantasie
கம்	kaugummi
கம்	gummi
மெசியா	messias
ஹெப்பர்ன்	hepburn
குட்டை	kurze
குட்டை	kurzer
குட்டை	short
குட்டை	kurz
குட்டை	kurzen
காதலர்	geliebter
காதலர்	geliebte
காதலர்	liebhaber
காதலர்	lover
யூரியா	harnstoff
மீறல்	übertretung
மீறல்	verletzung
மீறல்	verstoß
குப்தா	gupta
மாணவன்	schüler
மாணவன்	studentin
மாணவன்	studenten
மாணவன்	kursteilnehmer
மாணவன்	studierende
டானியல்	daniel
கனரக	heavy
கனரக	schwerer
கனரக	schwer
கனரக	schweren
கனரக	schwere
சந்தா	anmelden
சந்தா	abonnieren
சந்தா	abonniert
சந்தா	abonnement
சந்தா	zeichnung
தொங்கும்	aufhängen
தொங்கும்	hängen
தொங்கும்	abhängen
ஒருமை	einzigartig
ஒருமை	singular
கொண்டாடுகின்றனர்	feiert
கொண்டாடுகின்றனர்	feiern
வாங்குதல்	kaufen
வாங்குதல்	einkauf
வாங்குதல்	erwerb
வாங்குதல்	kauf
வாங்குதல்	ankauf
வாங்குதல்	einkauf
வாங்குதல்	ankauf
வாங்குதல்	kauf
வாங்குதல்	kaufen
வாங்குதல்	ankauf
வாங்குதல்	kauf
நதிகள்	flüsse
நதிகள்	flüssen
நதிகள்	rivers
ஊடுருவல்	transparenz
ஊடுருவல்	transparente
ஊடுருவல்	transparent
ஊடுருவல்	transparenten
ஊடுருவல்	durchsichtig
ஊடுருவல்	transparenz
ஊடுருவல்	offenheit
ஏர்பஸ்	airbus
தவளை	frösche
தவளை	frosch
கரம்	karam
பிரடெரிக்	friedrich
பிரடெரிக்	frederick
வேலைவாய்ப்பின்மை	arbeitslosengeld
வேலைவாய்ப்பின்மை	arbeitslosigkeit
டில்லி	delhi
துளு	tulu
நான்சி	nancy
இரண்டரை	eliminieren
ஹார்மோன்	hormonelle
ஆறுதல்	bequemlichkeit
ஆறுதல்	komfort
ஆறுதல்	comfort
ஆறுதல்	gemütlichkeit
சுங்	chung
பலவீனமான	schwache
பலவீனமான	schwachen
பலவீனமான	schwach
பலவீனமான	schwacher
தகடுகள்	bleche
தகடுகள்	kennzeichen
தகடுகள்	teller
தகடுகள்	platten
வலியை	schmerz
வலியை	schmerzen
விதிமுறைகளை	geschäftsbedingungen
விதிமுறைகளை	nutzungsbedingungen
விதிமுறைகளை	konditionen
விதிமுறைகளை	begriffe
விதிமுறைகளை	bedingungen
தாள்கள்	bettwäsche
தாள்கள்	blätter
தாள்கள்	datenblätter
தாள்கள்	bleche
தாள்கள்	folien
கல்வியாளர்கள்	akademiker
கல்வியாளர்கள்	pädagogen
கல்வியாளர்கள்	erzieher
நாத்	nath
கிரீஸ்	griechenland
சீக்கியம்	sikhismus
உதயம்	sunrise
உதயம்	sonnenaufgang
மேத்தா	mehta
தோமா	thoma
கரீபியன்	karibik
ஹோலி	holly
ஏற்கவில்லை	ablehnen
சண்டைகள்	kämpfen
சண்டைகள்	kämpft
சண்டைகள்	kämpfe
பானம்	getränk
பானம்	trink
பானம்	trinken
பானம்	trinkt
நித்திய	ewigkeit
நித்திய	ewig
நித்திய	ewigen
நித்திய	ewige
நித்திய	ewiges
நித்திய	ewiger
மடத்தில்	kloster
மடத்தில்	klöster
மடத்தில்	klosters
மண்டை	schädel
பெய்யும்	pei
மாலி	mali
டைலர்	tyler
பேபி	baby
பேபி	schatz
உக்ரைனிய	märchen
புகழை	bekanntheit
புகழை	reputation
புகழை	ruf
குயின்ஸ்லாந்து	queensland
எத்தனால்	ethanol
சீக்ரெட்	geheim
சீக்ரெட்	geheimnis
சீக்ரெட்	secret
சீக்ரெட்	geheimen
சீக்ரெட்	heimlich
ஓட்டோமான்	osmanischen
ஓட்டோமான்	osmanen
ஓட்டோமான்	osmanische
தொப்பி	kappe
தொப்பி	cap
தொப்பி	mütze
தொப்பி	sockel
தொப்பி	gap
தொப்பி	hut
தொப்பி	kappe
தொப்பி	hüte
தொப்பி	hat
தொப்பி	mütze
ஒத்ததாக	gleichbedeutend
ஒத்ததாக	synonym
ஈதர்	äther
ஈதர்	ether
சிக்மா	sigma
இழக்க	verlieren
இழக்க	verliert
துப்பறியும்	detective
துப்பறியும்	detektive
துப்பறியும்	kommissar
துப்பறியும்	detektiv
கம்பிகள்	draht
கம்பிகள்	drähte
கம்பிகள்	leitungen
உபகரணம்	ausstattung
உபகரணம்	ausrüstung
உபகரணம்	geräte
உபகரணம்	anlagen
உபகரணம்	gerät
உபகரணம்	apparate
உபகரணம்	geräte
உபகரணம்	apparatur
வண்ணங்கள்	farbe
வண்ணங்கள்	farbstoffe
வண்ணங்கள்	farben
வண்ணங்கள்	farbig
வண்ணங்கள்	farbe
வண்ணங்கள்	farben
கோலி	kohli
கடினமானது	schwierig
கடினமானது	schwer
கடினமானது	schwierige
நுனி	tipp
நுனி	trinkgeld
நுனி	tip
நுனி	spitze
படவில்லை	folie
படவில்லை	schieben
படவில்லை	rutsche
பெண்ணுக்கு	mädchen
பெண்ணுக்கு	girl
கதாநாயகன்	held
கதாநாயகன்	heldin
கதாநாயகன்	hero
கதாநாயகன்	helden
பீரங்கிகள்	mörtel
பீரங்கிகள்	mörser
பீரங்கிகள்	behälter
பீரங்கிகள்	panzer
பீரங்கிகள்	tanks
காஸ்ட்ரோ	castro
பருந்து	drachen
பருந்து	kite
பருந்து	kitesurfen
உறவுகளை	beziehungen
உறவுகளை	beziehung
உறவுகளை	relationen
கட்டளைகள்	kommandos
கட்டளைகள்	befehl
கட்டளைகள்	befehlen
கட்டளைகள்	befehle
ஜன	jan
ஜன	jana
உரித்தான	verdient
உரித்தான	verdienten
உரித்தான	verdiente
பெருக்க	gewinnen
மேம்படுத்தவும்	aktualisierung
மேம்படுத்தவும்	upgrade
மேம்படுத்தவும்	aktualisieren
மேம்படுத்தவும்	aufrüstung
கசிவு	austreten
கசிவு	leck
மகரிஷி	maharishi
பிளாஸ்மா	plasma
முதலாளி	chef
முதலாளி	boss
முதலாளி	chefin
வடிவமைப்புகள்	formate
வடிவமைப்புகள்	formaten
வடிவமைப்புகள்	formatiert
லாபம்	profit
லாபம்	gewinne
லாபம்	gewinn
ஆடைகளை	bekleidung
ஆடைகளை	kleidung
ஆடைகளை	klamotten
ஆடைகளை	kleider
பட்டாம்பூச்சி	schmetterling
பட்டாம்பூச்சி	butterfly
பட்டாம்பூச்சி	schmetterlinge
ஆடுகள்	ziegen
ஆடுகள்	ziege
நாட்களை	tage
நாட்களை	tagen
சிம்லா	shimla
நியாயம்	gerechtigkeit
நியாயம்	justiz
நியாயம்	gerecht
நியாயம்	messe
நியாயம்	fair
நியாயம்	jahrmarkt
இடவியல்	topologie
பிறப்பிடம்	muttersprache
பிறப்பிடம்	heimisch
பிறப்பிடம்	einheimische
பிறப்பிடம்	muttersprachler
பிறப்பிடம்	native
குளுக்கோஸ்	glukose
குளுக்கோஸ்	glucose
முனி	muni
எரிக்சன்	ericsson
காதில்	flüstern
காதில்	flüstert
காதில்	ohren
காதில்	ohr
காதில்	gehör
நகர்த்த	verschoben
நகர்த்த	zog
நகர்த்த	bewegte
நகர்த்த	bewegt
நகர்த்த	umgezogen
ஹாங்	hong
சிறப்பை	exzellenz
சிறப்பை	excellence
மறுமொழி	erwiderung
மறுமொழி	antworte
மறுமொழி	antworten
மறுமொழி	antwort
மறுமொழி	beantwortung
கின்	sippe
கின்	verwandten
கின்	verwandtschaft
கின்	verwandte
பெட்ரோலிய	petroleum
பெட்ரோலிய	erdöl
பெட்ரோலிய	mineralöl
தேசாய்	desai
அன்பே	lieben
அன்பே	liebe
அன்பே	liebes
அன்பே	lieber
அன்பே	liebling
அன்பே	süße
அன்பே	schatz
அன்பே	schätzchen
பிரதிநிதித்துவம்	repräsentieren
சிமெண்ட்	zement
ஷங்கர்	shankar
போய்விட்டது	gegangen
போய்விட்டது	verschwunden
போய்விட்டது	weg
மின்சுற்று	schaltungen
மின்சுற்று	kreislauf
மின்சுற்று	circuit
மின்சுற்று	rennstrecke
மின்சுற்று	schaltung
நாகா	naga
கலப்பை	pflug
உடைமை	grundstück
உடைமை	eigenschaft
உடைமை	immobilien
உடைமை	immobilie
உடைமை	eigentum
பில்போர்ட்	billboard
பில்போர்ட்	plakat
பயணித்த	gereist
பயணித்த	reiste
பயணித்த	verreist
மாடி	fußboden
மாடி	stockwerk
மாடி	boden
மாடி	etage
மாடி	geschoss
கர்னல்	colonel
கர்னல்	oberstleutnant
கர்னல்	oberst
கர்னல்	col
புதுமையான	innovativ
புதுமையான	innovativen
புதுமையான	innovatives
புதுமையான	innovativer
புதுமையான	innovative
ஷான்	shan
கன்னித்	jungfrau
கன்னித்	jungferninseln
கன்னித்	virgin
வந்தேன்	gekommen
வந்தேன்	kamen
வந்தேன்	kam
வௌவால்	fledermaus
வௌவால்	bat
வௌவால்	fledermäuse
வௌவால்	schläger
வௌவால்	bvt
பல்லி	eidechse
டயர்	reifen
டயர்	reifens
டயர்	reifen
மோட்டார்ஸ்	motors
மோட்டார்ஸ்	elektromotoren
மோட்டார்ஸ்	motoren
நைக்	nike
ஆங்	ang
ஆங்	ong
ஆங்	aung
கிணறுகள்	brunnen
கிணறுகள்	wells
கதவுகள்	tür
கதவுகள்	türen
கதவுகள்	einlass
கதவுகள்	pforten
வாசகர்கள்	leser
வாசகர்கள்	leserschaft
வாசகர்கள்	lesern
கலிலியோ	galileo
அப்பாஸ்	abbas
ரசிகர்	fächer
ரசிகர்	lüfter
ரசிகர்	ventilatoren
ரசிகர்	fan
ரசிகர்	gebläse
விரல்கள்	fingern
விரல்கள்	daumen
விரல்கள்	finger
கனவுகள்	träumt
கனவுகள்	träume
கனவுகள்	traum
கனவுகள்	dreams
கனவுகள்	träumen
பிரையன்	brian
பிரையன்	bryan
பாலஸ்தீன	palästinenser
பாலஸ்தீன	palästinensischer
பாலஸ்தீன	palästinensische
பாலஸ்தீன	palästinensischen
பாலஸ்தீன	palästina
கப்பம்	erpressung
கப்பம்	erpresst
கப்பம்	erpressen
கப்பம்	penner
ஜார்க்கண்ட்	jharkhand
காணவில்லை	fehlt
காணவில்லை	fehlende
காணவில்லை	fehlen
காணவில்லை	vermisst
காணவில்லை	fehlenden
பிச்சை	betteln
பிச்சை	bitten
பிச்சை	betteln
பிச்சை	bittet
பிச்சை	flehen
ஜோஸ்	jose
ஜோஸ்	josé
ஜோஸ்	joes
ஜோஸ்	jos
ஜோஸ்	jose
ஜோஸ்	josé
ஜோஸ்	joss
நேரான	gerade
நேரான	straight
நேரான	hetero
நேரான	direkt
நேரான	geradeaus
நேரான	linearen
நேரான	lineare
நேரான	linear
நேரான	linearer
உயிரோடு	lebendig
உயிரோடு	lebend
உயிரோடு	alive
பிலிப்பைன்	philippinischer
பிலிப்பைன்	philippinische
பிலிப்பைன்	philippinen
பிரார்த்தனை	betet
பிரார்த்தனை	beten
பிரார்த்தனை	bete
பிரார்த்தனை	gebetet
பிரார்த்தனை	gebetet
பிரார்த்தனை	bete
பிரார்த்தனை	beten
பிரார்த்தனை	gebet
பிரார்த்தனை	gebets
பிரார்த்தனை	gebete
பிரார்த்தனை	beten
பிரார்த்தனை	gebetet
பொருத்தி	eingebunden
பொருத்தி	montiert
கார்பனேட்டு	carbonat
தொழிலாளி	arbeitnehmer
தொழிலாளி	arbeiter
ஆன்ம	spirituellen
ஆன்ம	spiritualität
ஆன்ம	geistlichen
ஆன்ம	spirituelle
ஆன்ம	geistliche
ருபீடியம்	rubidium
மஹால்	mahal
யுத்த	battle
யுத்த	kampf
யுத்த	schlacht
யுத்த	gefecht
விலா	vila
விலா	rippen
விலா	rippe
கனமான	heavy
கனமான	schwerer
கனமான	schwer
கனமான	schweren
கனமான	schwere
வியாழக்கிழமை	donnerstag
நெகிரி	negeri
எரிசக்தி	heizöl
எரிசக்தி	brennstoff
எரிசக்தி	kraftstoff
எரிசக்தி	treibstoff
எரிசக்தி	brennstoffe
எரிசக்தி	kalorien
எரிசக்தி	energieversorgung
எரிசக்தி	energiewirtschaft
எரிசக்தி	energie
எரிசக்தி	energieverbrauch
பிரித்தல்	trennen
பிரித்தல்	abtrennung
பிரித்தல்	abtrennen
பிரித்தல்	trennung
புத்தி	schlau
புத்தி	clever
புத்தி	intelligent
புத்தி	klug
புத்தி	smart
டாட்	tot
டாட்	punkt
டாட்	dot
ஹன்னா	hannah
ஹன்னா	hanna
மடியில்	schoss
மடியில்	runde
மடியில்	schoß
தட்டில்	bleche
தட்டில்	kennzeichen
தட்டில்	platte
தட்டில்	teller
சலுகைகள்	bietet
சலுகைகள்	angebot
சலுகைகள்	angeboten
சலுகைகள்	angebote
ஹாக்கி	hockey
ஹாக்கி	eishockey
ஹசன்	hassan
ஹசன்	hasan
ஹசன்	hasan
நைஜீரியா	nigeria
திசைமாற்றி	lenkrad
திசைமாற்றி	lenkung
வரைதல்	zeichnen
வரைதல்	unentschieden
வரைதல்	verlosung
வரைதல்	ziehen
வரைதல்	zeichnen
வரைதல்	zeichnung
கொண்டாட்டங்கள்	feierlichkeiten
கொண்டாட்டங்கள்	feiern
கொண்டாட்டங்கள்	feier
உருண்டை	kugel
காமன்வெல்த்	commonwealth
அணுகும்	zufahrt
அணுகும்	zugang
அணுகும்	zugriff
அணுகும்	zutritt
ஃபீஸ்டா	fiesta
மதிப்பெண்கள்	punktzahl
மதிப்பெண்கள்	score
மதிப்பெண்கள்	filmmusik
மதிப்பெண்கள்	punktzahl
அவதூறு	diffamierung
அவதூறு	verleumdung
அவதூறு	verleumdung
அவதூறு	genervt
அவதூறு	verärgert
அதிகாரிகளின்	beamte
அதிகாரிகளின்	amtsträger
அதிகாரிகளின்	offiziere
அதிகாரிகளின்	polizisten
யமுனா	yamuna
மொழிபெயர்ப்புகள்	übersetzung
மொழிபெயர்ப்புகள்	übersetzungen
முதலீடுகள்	kapitalanlagen
முதலீடுகள்	investition
முதலீடுகள்	investitionen
சுடுதல்	schützen
சுடுதல்	schütze
சுடுதல்	shooter
யூதா	judah
முன்னோர்கள்	vorfahren
முன்னோர்கள்	ahnen
மனிதனுக்கு	mensch
மனிதனுக்கு	mann
மனிதனுக்கு	man
பதில்கள்	reaktion
பதில்கள்	reaktionen
பதில்கள்	antworten
பதில்கள்	reaktionen
பதில்கள்	antworten
பதில்கள்	antwort
பதில்கள்	antworten
பதில்கள்	antwort
வெனிஸ்	venedig
வெனிஸ்	venedigs
தொல்லை	ärger
தொல்லை	schwierigkeiten
தொல்லை	probleme
தொல்லை	problem
தொல்லை	belästigung
தொல்லை	ärgernis
தலைகள்	köpfen
தலைகள்	köpfe
