और	un
प्रयोग	eksperiments
प्रयोग	eksperimentā
प्रयोग	eksperimenta
शामिल	iesaistītas
शामिल	iesaistīts
शामिल	iesaistīta
शामिल	ietilpst
शामिल	ietver
शामिल	iekļāva
शामिल	iekļauta
शामिल	iekļauti
शामिल	iekļautas
शामिल	iekļauts
शामिल	iekļaut
शामिल	ietvert
शामिल	ietver
उन्हें	viņiem
उस	ka
उस	tas
स्थान	vietām
स्थान	vietas
स्थान	vieta
स्थान	vietas
स्थान	vieta
स्थान	vieta
स्थान	novietojums
प्रमुख	priekšnieks
प्रमुख	galvenais
प्रमुख	galvenās
प्रमुख	galvenā
हुई	hui
बीच	pludmale
बीच	pludmales
बीच	beach
बीच	centrs
बीच	centrā
गए	prom
गए	aizgāja
गए	devās
गए	gāja
मुख्य	priekšnieks
मुख्य	galvenais
मुख्य	galvenās
मुख्य	galvenā
थी	bija
थी	tika
बिहार	biharas
उसे	viņam
उसे	viņu
उसे	viņai
उसे	viņas
कार्य	uzdevumi
कार्य	darbs
कार्य	darbiņš
कार्य	darbs
कार्य	darbi
कार्य	darbavietas
कार्य	uzdevumu
कार्य	uzdevums
उनकी	viņu
आंध्र	andra
नगर	pilsēta
नगर	pilsēta
उपयोग	lietošana
उपयोग	izmantošana
उपयोग	lietojums
उपयोग	lietošana
उपयोग	lietojums
उपयोग	lietot
उपयोग	izlietot
उपयोग	izmantošana
उपयोग	lietojumi
लोगों	cilveki
लोगों	cilvēki
लोगों	tauta
लोगों	cilvēkiem
आधार	pamatne
आधार	pamats
आधार	bāze
आधार	priekšnoteikumu
आधार	pamats
आधार	bāze
काम	darbs
जीवन	life
जीवन	dzīve
जीवन	dzīvi
जीवन	dzīvība
विश्व	pasaule
विश्व	pasaulē
भाग	iedaļas
भाग	nodaļas
भाग	sekcijas
भाग	sadaļas
भाग	daļa
भाग	daļas
भाग	detaļas
निर्माण	izveidošanas
निर्माण	izveide
निर्माण	izveidošana
निर्माण	radīšana
निर्माण	celtniecība
निर्माण	būve
निर्माण	uzbūve
निर्माण	būvniecība
निर्माण	konstrukcija
निर्माण	būvēt
निर्माण	veidot
निर्माण	ražošana
गई	aizgāja
गई	devās
गई	gāja
दोनों	abas
दोनों	abus
दोनों	gan
दोनों	abi
राष्ट्रीय	nacionālais
जानकारी	info
जानकारी	informācija
पोर्टल	portāla
पोर्टल	portālā
पोर्टल	portāls
शहर	centrā
शहर	pilsēta
शहर	pilsētu
शहर	pilsētas
बार	stieņi
बार	bāri
बार	bar
बार	bārs
बार	stienis
बार	laiki
लगभग	gandrīz
लगभग	teju
लगभग	aptuveni
लगभग	apmēram
फिल्म	filma
फिल्म	filmu
फिल्म	plēve
फिल्म	filma
फिल्म	plēves
यहाँ	šeit
यहाँ	te
प्रसिद्ध	slavena
प्रसिद्ध	slavens
प्रसिद्ध	slavenais
प्रसिद्ध	slaveno
विकास	attīstība
विकास	izstrāde
विकास	attīstīšana
विकास	pieaugums
विकास	augšana
विकास	izaugsme
केवल	tikai
देश	valsts
देश	nācija
देश	tauta
देश	valstīm
देश	valstis
वेबसाइट	mājaslapa
वेबसाइट	mājaslapā
अलग	nodala
अलग	atdalīta
अलग	atdalītas
अलग	atdalīts
अलग	atšķirīgi
अलग	dažādi
अलग	atšķirīgs
अलग	dažādas
अलग	atsevišķu
अलग	atsevišķs
अलग	atsevišķie
अलग	atsevišķa
अलग	atsevišķi
विशेष	ekskluzīvā
विशेष	ekskluzīva
विशेष	ekskluzīvas
विशेष	ekskluzīvi
विशेष	īpaša
विशेष	īpašais
विशेष	īpašs
विशेष	īpašā
विशेष	īpaši
इसकी	tās
कभी	kādreiz
कभी	ever
कभी	jebkad
दी	dots
दी	dota
दी	dotas
दी	iedeva
पृष्ठ	lappuse
पृष्ठ	lapa
पृष्ठ	lapas
पृष्ठ	lappuses
माना	uzskatīja
माना	uzskatīts
माना	apsvērta
माना	uzskatīta
माना	domājams
शब्द	vārdu
शब्द	vārdi
फिर	tad
तीन	trim
तीन	trīs
पुरस्कार	balva
पुरस्कार	balvu
पुरस्कार	apbalvošana
पुरस्कार	balva
पुरस्कार	piešķiršana
पुरस्कार	piešķiršanas
पुरस्कार	apbalvošana
पुरस्कार	balva
पुरस्कार	balvas
पुरस्कार	godalgas
पुरस्कार	balvas
पुरस्कार	atalgojums
लेख	raksti
लेख	izstrādājumi
लेख	panti
लेख	disertāciju
लेख	raksts
लेख	izstrādājums
लेख	pants
अब	tagad
दौरान	laikā
अमेरिका	amerika
अमेरिका	amerikā
अमेरिका	ameriku
मंदिर	templi
अलावा	pievienošana
वार्ता	sarunas
दक्षिण	dienvidu
दक्षिण	dienvidos
दक्षिण	dienvidi
स्थल	vieta
विभिन्न	dažādi
विभिन्न	dažādas
इतिहास	vēsture
इतिहास	vēstures
इतिहास	vēsturi
इतिहास	vēsturē
लिया	ņemta
लिया	ņemts
लिया	veikti
फ़िल्म	filma
फ़िल्म	filmu
फ़िल्म	plēve
फ़िल्म	filma
फ़िल्म	plēves
क्योंकि	jo
पास	padod
विस्तृत	sīks
विस्तृत	detalizēti
विस्तृत	detalizēta
विस्तृत	sīki
विस्तृत	detalizēts
विस्तृत	visaptverošs
विस्तृत	izsmeļošs
विस्तृत	paplašināti
विस्तृत	progresējošu
दिन	dienu
दिन	dienā
दिन	diena
दिन	dienām
दिन	dienās
दिन	dienas
कृषि	lauksaimniecība
जाना	dzīvotspēja
जाना	dzīvotspēju
शुरू	sākts
शुरू	sākta
शुरू	sākās
शुरू	sākam
शुरू	sākt
व्यक्ति	cilvēks
व्यक्ति	persona
व्यक्ति	individuāla
व्यक्ति	individuālā
व्यक्ति	individuāli
व्यक्ति	individuālisms
उनका	viņu
विज्ञान	zinātnes
विज्ञान	zinātne
सदस्य	deputāts
सदस्य	loceklis
सदस्य	biedrs
सदस्य	pasūtītājs
सदस्य	abonentu
सदस्य	abonentiem
सदस्य	locekļi
सदस्य	dalībnieki
सदस्य	deputāti
सदस्य	biedri
सिंह	singh
सिंह	leo
अनेक	daudziem
अनेक	daudz
अनेक	daudzi
अनेक	daudzus
अनेक	daudzas
अनेक	vairākas
अनेक	vairāki
अनेक	vairāku
अनेक	vairāki
यहां	šeit
यहां	te
संख्या	numuru
संख्या	numurs
संख्या	skaitlis
संख्या	skaits
संख्या	numuri
संख्या	skaitļi
अपना	paša
अपना	pašu
अपना	tavas
अपना	tavu
अपना	tavs
अपना	jūsu
अपना	tava
बात	runāt
साहित्य	literatūra
साहित्य	literatūrā
साहित्य	literatūras
शिक्षा	izglītība
दिल्ली	deli
धर्म	reliģija
धर्म	reliģijām
धर्म	reliģijas
धर्म	dharma
मूल	izcelsmi
मूल	izcelsme
मूल	oriģināli
मूल	dzimtā
मूल	vietējais
मूल	vietējo
मूल	oriģināls
मूल	sākotnējais
मूल	oriģinālā
मूल	sākotnējā
मूल	oriģināli
मूल	oriģināla
मूल	pamata
तब	tad
बना	padarīt
बना	padarītu
बना	make
बना	marka
बना	izgatavots
बना	made
कोड	kods
कोड	kodi
संयुक्त	vienlaicīga
संयुक्त	united
संयुक्त	apvienotā
संयुक्त	apvienoto
संयुक्त	vienoti
संयुक्त	kombinēts
संयुक्त	kombinētā
संयुक्त	apvienots
संयुक्त	kombinēt
संयुक्त	kopīga
संयुक्त	locītavu
संयुक्त	kopīgais
जुलाई	jūlija
जुलाई	jūlijs
जुलाई	jūlijā
युद्ध	kaujā
युद्ध	kauja
युद्ध	cīņa
युद्ध	kaujas
युद्ध	karu
युद्ध	karš
युद्ध	kara
युद्ध	karā
नदी	upe
नदी	upes
काल	saspringta
काल	saukt
काल	laikposms
काल	periods
ऐसे	tādi
ऐसे	tāda
ऐसे	tāds
वर्षों	gadus
वर्षों	gadi
वर्षों	gadiem
प्रति	per
स्टेशन	stacija
स्टेशन	stacijā
स्टेशन	stacijas
स्टेशन	stacijas
बड़े	lielie
बड़े	liels
बड़े	lielas
बड़े	lieli
बड़े	liela
बड़े	lielā
बड़े	liels
बड़े	lielais
बड़े	lieli
बड़े	liela
बड़े	lielā
जनवरी	janvāris
जनवरी	janvāra
जनवरी	janvārī
मध्य	centrālā
मध्य	centrālais
मध्य	centrālās
मध्य	centrs
मध्य	centrā
मध्य	mediāna
मध्य	vidējais
मध्य	vidēji
मध्य	vidū
मध्य	tuvie
मध्य	vidējie
राजा	radžu
राजा	king
राजा	karalis
राजा	ķēniņš
प्रथम	pirmais
प्रथम	pirmā
प्रथम	pirmās
प्रथम	pirmie
प्रथम	pirma
प्रथम	vispirms
विश्वविद्यालय	augstskolas
विश्वविद्यालय	universitātes
विश्वविद्यालय	universitātē
विश्वविद्यालय	universitāte
विश्वविद्यालय	universitātes
जून	jun
जून	jūnijs
जून	jūnija
जून	jūnijā
उसकी	viņa
उसकी	viņai
उसकी	viņas
मार्च	marts
मार्च	marta
मार्च	martā
मार्च	marts
बन	bun
बनी	zaķis
अर्थ	nozīme
अर्थ	jēga
अप्रैल	apr
अप्रैल	aprīlis
अप्रैल	gpl
अप्रैल	aprīlis
अप्रैल	aprīlī
अप्रैल	aprīļa
महत्वपूर्ण	svarīgs
महत्वपूर्ण	svarīga
महत्वपूर्ण	svarīgas
महत्वपूर्ण	svarīgi
महत्वपूर्ण	nozīmīgs
महत्वपूर्ण	kritiskie
महत्वपूर्ण	kritiski
महत्वपूर्ण	kritisko
महत्वपूर्ण	kritiska
महत्वपूर्ण	kritisks
प्रामाणिक	valodā
आप	tu
आप	tevi
आप	jums
आप	tev
आप	jūs
किए	coa
अक्टूबर	oktobris
अक्टूबर	oktobrī
अक्टूबर	azt
समूह	draudzi
समूह	grupu
समूह	grupa
समूह	grupas
समूह	grupām
समूह	grupas
वर्तमान	pašreizējais
वर्तमान	pašreizējo
वर्तमान	pašreizējie
वर्तमान	strāva
वर्तमान	pašreizējā
वर्तमान	pašreizējais
वर्तमान	klāt
वर्तमान	tagadni
अध्ययन	studē
अध्ययन	mācās
अध्ययन	pēta
अध्ययन	pētījums
अध्ययन	izpēte
अध्ययन	pētījuma
अध्ययन	pētījumi
विभाग	departamentā
विभाग	departaments
विभाग	divīzija
विभाग	rajons
विभाग	dalīšana
विभाग	departamenti
विभाग	struktūrvienības
विभाग	departamentiem
आम	mango
आम	kopējo
आम	bieži
स्थिति	statuss
स्थिति	amats
स्थिति	novietojums
स्थिति	pozīcija
स्थिति	valsts
स्थिति	štats
स्थिति	nosacījums
स्थिति	stāvoklis
स्थिति	situācija
स्थिति	stāvoklis
प्रभाव	trieciens
प्रभाव	ietekme
प्रभाव	efekts
प्रभाव	efekti
प्रभाव	iedarbība
प्रभाव	ietekme
प्रभाव	efekts
प्रभाव	ietekme
आदर्श	ideālisma
आदर्श	ideāls
आदर्श	ideāli
आदर्श	ideāla
आदर्श	elks
साल	gadus
साल	gadi
साल	gadiem
साल	gadu
साल	gads
पहली	pirmais
पहली	pirmā
पहली	pirmās
पहली	pirmie
पहली	pirma
पहली	vispirms
संगीत	mūzika
संगीत	music
संगीत	mūzikā
अमेरिकी	american
अमेरिकी	amerikāņu
अमेरिकी	amerikas
अमेरिकी	amerikāņi
सेवा	serviss
सेवा	apkalpošana
सेवा	pakalpojumu
सेवा	dienests
सेवा	pakalpojums
बनाने	radot
बनाने	radīšana
बनाने	padarot
बनाने	ekskavatorus
आज	šodien
स्थापित	izveidots
स्थापित	uzstādītas
स्थापित	uzstādīts
स्थापित	uzstādīta
स्थापित	uzstādīti
स्थापित	uzstādīt
स्थापित	dibināta
स्थापित	dibināts
उच्च	augstā
उच्च	augstu
उच्च	augsts
उच्च	augsta
उच्च	grandiozu
चाहिए	būtu
चाहिए	vajadzētu
देता	dod
उपलब्ध	pieejams
उपलब्ध	pieejami
उपलब्ध	pieejamas
उपलब्ध	pieejama
उपलब्ध	pieejamie
काफी	pietiek
काफी	pietiekami
काफी	pietiks
बड़ी	lielie
बड़ी	liels
बड़ी	lielas
बड़ी	lieli
बड़ी	liela
बड़ी	lielā
बड़ी	liels
बड़ी	lielais
बड़ी	lieli
बड़ी	liela
बड़ी	lielā
चार	četri
चार	četras
चार	četriem
चार	četrus
शक	šaubu
शक	šaubos
शक	sakas
प्रभा	pera
श्री	šrī
उदाहरण	instances
उदाहरण	piemērs
उदाहरण	ilustrācija
उदाहरण	piemērus
उदाहरण	piemēri
उसका	viņa
उसका	viņai
उसका	viņas
ले	ņemt
ले	ņem
जिससे	kas
जिससे	kuras
जिससे	kura
स्थापना	uzstādīšana
स्थापना	instalācija
स्थापना	iekārta
स्थापना	iekārtas
स्थापना	instalācijas
स्थापना	instalēt
स्थापना	uzstādīt
स्थापना	izveide
स्थापना	uzņēmums
स्थापना	izveidi
स्थापना	izveidošana
कंपनी	sabiedrība
कंपनी	uzņēmums
कंपनी	kompānija
अधिकांश	vairums
अधिकांश	visvairāk
अधिकांश	pārsvarā
अधिकांश	galvenokārt
अधिकांश	lielākoties
सामाजिक	sociāla
सामाजिक	sociālie
सामाजिक	sociālais
सामाजिक	sociālā
सामाजिक	sociāls
प्रत्येक	katrs
प्रत्येक	katru
प्रत्येक	katra
बड़ा	lielie
बड़ा	liels
बड़ा	lielas
बड़ा	lieli
बड़ा	liela
बड़ा	lielā
बड़ा	liels
बड़ा	lielais
बड़ा	lieli
बड़ा	liela
बड़ा	lielā
बड़ा	liels
बड़ा	liela
बड़ा	lieliska
बड़ा	lieliski
बड़ा	lielāka
बड़ा	lielāki
बड़ा	lielāks
बड़ा	lielāki
बड़ा	lielākas
बड़ा	lielāka
बड़ा	lielāks
स्तर	līmeņi
स्तर	līmenis
बनाया	izgatavots
बनाया	made
बनाया	radīta
बनाया	radīts
बनाया	izveidots
बनाया	radīti
बनाया	izveidota
जारी	turpinājās
जारी	turpinājums
जारी	turpinās
जारी	izdota
जारी	izsniegta
जारी	izdots
जारी	izsniegts
जबकि	kamēr
चित्र	attēls
चित्र	bildē
चित्र	bilde
चित्र	bildei
चित्र	attēli
चित्र	bildes
चित्र	attēla
चित्र	attēls
चित्र	attēlu
चित्र	attēli
चित्र	attēlus
इससे	no
प्रणाली	sistēmu
प्रणाली	sistēma
प्रणाली	sistēmas
सरकारी	amatpersona
सरकारी	ierēdnis
सरकारी	valdība
सरकारी	valdības
जहां	kur
जहां	ja
देशों	valstīm
देशों	valstis
जल	ūdeni
जल	ūdenī
जल	ūdens
सूची	sarakstu
सूची	saraksta
सूची	uzskaitījums
सूची	saraksts
सूची	sarakstus
सूची	saraksti
सूची	sarakstiem
रखा	turēta
रखा	turēti
विचार	doma
विचार	ideja
विचार	idejas
विचार	domāja
विचार	doma
विचार	domāju
विचार	likās
विचार	apsvērums
विचार	domās
विचार	domas
छोटे	mazas
छोटे	mazās
छोटे	mazie
छोटे	maza
छोटे	mazs
छोटे	maz
छोटे	maza
छोटे	mazais
ऊपर	top
ऊपर	tops
ऊपर	augšējā
ऊपर	augšējais
ऊपर	virs
ऊपर	augstāk
आधारित	balstīts
इसलिए	tāpēc
इसलिए	tādēļ
पानी	ūdeni
पानी	ūdenī
पानी	ūdens
सामान्य	vispārējā
सामान्य	vispārējais
सामान्य	vispārīgi
सामान्य	vispārēji
सामान्य	kopējo
सामान्य	bieži
सामान्य	normāla
सामान्य	normāli
सामान्य	normāls
आगे	pārsūtīt
कुल	kopsummas
कुल	kopā
एक्स्प्रेस	express
एक्स्प्रेस	ekspress
पुलिस	policija
पुलिस	policijā
पुलिस	policiju
पुलिस	policijas
वर्ग	kategoriju
वर्ग	kategorija
वर्ग	kategorijā
वर्ग	kvadrātveida
वर्ग	laukumā
वर्ग	nodarbības
वर्ग	klases
वर्ग	šķira
वर्ग	klase
शरीर	ķermeņa
शरीर	ķermenis
अंग्रेजी	angļu
माध्यम	vidēja
माध्यम	vidējs
मानव	cilvēks
मानव	cilvēka
मानव	cilvēku
पाकिस्तान	pakistāna
भूमिका	ievešana
भूमिका	ieviešanu
भूमिका	ievads
भूमिका	loma
भूमिका	lomu
हर	har
हर	hur
अतिरिक्त	rezerves
अतिरिक्त	papildu
अतिरिक्त	papildus
अतिरिक्त	ārējs
अतिरिक्त	ekstra
अतिरिक्त	papildu
अतिरिक्त	extra
पिता	tēvam
पिता	tēva
पिता	tēvs
समाज	sabiedrība
उत्पन्न	radīts
नीचे	leju
नीचे	lejā
नीचे	lejup
नीचे	zemāk
नीचे	zem
नीचे	apakšējais
नीचे	apakšējā
नीचे	dibens
नीचे	grunts
नीचे	lejas
नीचे	apakšā
दुनिया	pasaule
दुनिया	pasaulē
आधुनिक	mūsdienu
आधुनिक	modernā
आधुनिक	moderni
आधुनिक	moderns
आधुनिक	moderna
ध्यान	meditācija
ध्यान	uzmanību
ध्यान	uzmanība
ध्यान	uzmanības
हिंदी	hindi
दे	iedot
दे	dod
दे	dot
दे	dodiet
सभा	draudzi
सभा	montāža
सभा	asamblejas
सभा	asambleja
सभा	sabha
परिवार	saime
परिवार	ģimene
परिवार	ģimenē
परिवार	ģimenes
विषय	temats
विषय	tēma
विषय	temati
विषय	tēmas
विषय	temati
विषय	subjekti
विषय	tēmas
विषय	priekšmeti
विषय	subjekts
विषय	temats
विषय	objekts
विषय	tēma
अधिकार	tiesības
रंग	krāsu
रंग	krāsa
रंग	krāsas
रंग	krāsvielas
रंग	krāsas
रंग	krāsu
रंग	krāsa
बाहर	iziet
बाहर	āra
बाहर	sportot
बाहर	ārpusē
बाहर	ārpus
बाहर	ārpuses
बाहर	ārā
बाहर	out
खेल	atskaņot
खेल	play
खेल	spēlē
खेल	spēlēt
खेल	sporta
खेल	sports
खेल	spēle
खेल	spēles
खेल	sport
खेल	sporta
खेल	sports
क्षेत्रों	jomas
क्षेत्रों	apgabali
क्षेत्रों	teritorijas
क्षेत्रों	platības
जहाँ	kur
जहाँ	ja
समान	viendabīga
समान	pašas
समान	pašu
समान	līdzīgs
समान	līdzīgi
समान	līdzīgas
समान	līdzīga
सितंबर	septembris
सितंबर	septembrī
सितंबर	septembri
दूर	tālu
दूर	prom
दूर	tālā
पता	adreses
पता	adrese
पता	address
शक्ति	stiprums
शक्ति	stiprība
शक्ति	spēka
शक्ति	izturība
शक्ति	spēks
शक्ति	power
शक्ति	jaudas
शक्ति	jauda
शक्ति	vara
ब्रिटिश	britu
ब्रिटिश	briti
ब्रिटिश	british
ब्रिटिश	lielbritānijas
कला	māksla
कला	māksla
कला	art
देते	mentalitātes
घर	mājās
घर	home
घर	mājas
घर	majas
घर	māja
घर	mājā
संस्कृत	sanskrits
प्रकाशित	publicēt
प्रकाशित	publicē
प्रकाशित	publicēts
प्रकाशित	publicēta
मई	var
मई	drīkst
मई	maijs
प्रक्रिया	process
प्रक्रिया	procesā
प्रक्रिया	procesus
प्रक्रिया	procesi
प्रक्रिया	tiesvedība
प्रक्रिया	procedūru
प्रक्रिया	procedūra
सेना	armijas
सेना	armijas
सेना	armija
पार्टी	ballīte
पार्टी	party
पार्टी	partija
पार्टी	puse
हम	hum
रेलवे	dzelzceļš
रेलवे	dzelzceļš
पश्चिम	rietumu
पश्चिम	rietumos
पश्चिम	rietumi
पश्चिम	west
अंत	beigas
दशक	desmitgadē
दशक	desmitgades
पूरी	vesels
पूरी	veseli
पूरी	veselas
पूरी	vesela
नए	jaunāks
नए	jaunākas
बिना	bez
क्या	kas
क्या	kāda
क्या	kāds
क्या	ko
अगस्त	augusts
अगस्त	augustā
विकसित	attīstīta
विकसित	attīstītas
विकसित	izstrādāti
विकसित	izstrādāts
विकसित	attīstītajām
विकसित	attīstījušās
विकसित	attīstījās
विकसित	attīstījusies
विकसित	attīstījies
संबंध	attiecības
संबंध	attiecības
संबंध	saistība
संबंध	attiecības
संबंध	savienošana
संबंध	savienošanas
संबंध	saistība
प्रदर्शन	sniegums
प्रदर्शन	veiktspēja
प्रदर्शन	izpildījums
प्रदर्शन	izrādes
प्रदर्शन	rādīt
प्रदर्शन	displejs
प्रदर्शन	displeja
प्रदर्शन	iedarbība
प्रदर्शन	ekspozīcija
प्रदर्शन	iedarbības
ऐसी	tādi
ऐसी	tāda
ऐसी	tāds
मार्ग	maršruts
पर्यटन	tūrisms
पर्यटन	tūrismā
ज्ञान	zināšanas
लगा	jūtama
लगा	filcs
लगा	jūtams
लगा	likās
दिसम्बर	decembrī
दिसम्बर	decembris
दिसम्बर	decembra
दिसम्बर	decembrim
दिसम्बर	decembris
दिसम्बर	dec
प्रदर्शित	rādīts
प्रदर्शित	rādīt
प्रदर्शित	displejs
प्रदर्शित	displeja
सहायता	palīgā
सहायता	palīdzība
सहायता	palīdzēt
सहायता	help
सहायता	atbalstīt
सहायता	atbalstu
सहायता	atbalsts
सहायता	atbalsta
सहायता	palīdzība
सहायता	atbalsts
सहायता	palīdzība
पहला	pirmais
पहला	pirmā
पहला	pirmās
पहला	pirmie
पहला	pirma
पहला	vispirms
मृत्यु	nāve
मृत्यु	nāves
मृत्यु	mirstība
मृत्यु	mirstības
मृत्यु	mirstību
स्वयं	sevis
स्वयं	sevi
स्वयं	paša
स्वयं	pašu
विकिपीडिया	wiki
विकिपीडिया	wikipedia
तैयार	gatavi
तैयार	gatava
तैयार	gatavs
तैयार	gatavas
आवश्यक	nepieciešami
आवश्यक	nepieciešama
आवश्यक	prasīts
आवश्यक	pieprasīts
आवश्यक	nepieciešams
आवश्यक	steidzami
आवश्यक	steidzīgi
आवश्यक	steidzama
देखा	izskatījās
देखा	redzējusi
देखा	redzēti
देखा	redzējuši
देखा	redzējis
देखा	redzēju
देखा	redzēja
देखा	ieraudzīju
उत्पादन	ražošana
उत्पादन	produkcija
रोग	slimības
रोग	slimība
संबंधित	saistīts
शताब्दी	gadsimts
गये	aizgāja
गये	devās
गये	gāja
चीन	ķīna
चीन	china
अभी	tagad
संघ	savienības
संघ	savienība
संघ	arodbiedrības
संघ	federācija
संघ	federācijas
संघ	apvienība
संघ	biedrība
संघ	asociācija
यात्रा	braucieni
यात्रा	ceļošana
यात्रा	ceļot
यात्रा	ceļojumi
यात्रा	braucienā
यात्रा	brauciens
यात्रा	ceļojums
यात्रा	brauciens
यात्रा	ceļojums
मात्रा	apjoms
मात्रा	apmērs
मात्रा	summa
मात्रा	daudzums
रचना	izveidošanas
रचना	izveide
रचना	izveidošana
रचना	radīšana
रचना	sastāvs
जगह	atstarpes
जगह	atstatums
जगह	atstarpe
जगह	vieta
जगह	telpa
जगह	kosmoss
भिन्न	diskrēto
भिन्न	atšķirīgi
भिन्न	dažādi
भिन्न	atšķirīgs
भिन्न	dažādas
भिन्न	frakcija
लोक	publiski
लोक	publiskais
लोक	publiska
लोक	tautas
सब	sab
सब	visiem
