planificare	planificación
urmărire	persecución
tabele	mesas
norton	norton
camerele	cuartos
camerele	salas
camerele	habitacións
camerele	ventiladas
sesiune	sesión
copia	copia
seattle	seattle
dinamic	dinámica
laude	gábote
laude	teu
găină	galiña
găină	polo
găină	pito
fly	e
fly	pilotar
fly	voar
fly	voan
fly	voarei
fly	voe
fly	voo
coran	corán
twitter	twitter
disciplina	disciplina
responsabilitate	responsabilidade
responsabilitate	a
suferind	sufrimento
suferind	de
suferind	sofre
creierul	cerebrais
creierul	cerebro
creierul	cerebral
fraza	frase
relevant	relevante
relevant	relevantes
spectrul	espectro
scări	escaleiras
scări	as
scări	escaleira
câmpurile	campos
câmpurile	campo
câmpurile	leiras
roată	roda
operatorul	operadora
pen	boli
pen	lápiz
pen	pluma
pensie	pensión
angels	os
angels	anxos
angels	inferno
dispozitivul	aparello
dispozitivul	dispositivo
dispozitivul	de
dispozitivul	historias
dispozitivul	mecanismo
probabilitatea	probabilidade
limited	limitado
limited	limitada
contractului	contrato
semnale	sinais
traversarea	cruzar
traversarea	cruzando
costuri	custa
costuri	costa
costuri	custar
costuri	custos
costuri	sanitarios
costuri	custo
costuri	custan
costuri	custa
managerul	director
tunurile	canóns
apartamentul	apartamento
apartamentul	piso
eliberată	liberado
eliberată	liberados
eliberată	editaron
braț	brazo
încerc	tentando
încerc	intentando
butonul	botón
dylan	dylan
reacțiile	reaccións
reacțiile	reacción
ciumă	peste
pasajul	noroeste
pasajul	pasaxe
pasajul	paso
pacificului	pacífico
centură	cinto
schimburi	quendas
schimburi	horas
responsabili	responsable
responsabili	responsables
responsabili	responsábeis
responsabili	responsábel
moleculară	molecular
moleculară	moleculares
imensă	enormes
imensă	enorme
imensă	gran
imensă	xigante
imensă	grande
imensă	inmensa
liberală	liberais
liberală	liberal
oficialii	funcionarios
accidentul	accidente
accidentul	de
adâncă	no
adâncă	fondo
adâncă	profundo
adâncă	profundidade
adâncă	de
impuls	pulo
plăcea	gustaba
plăcea	lle
plăcea	gustara
plăcea	gustou
plăcea	me
plăcea	gustáballe
polare	polar
polare	polares
relative	parente
echivalentă	equivalente
muntii	montañas
muntii	das
muntii	andes
muntii	montes
muntii	lorenzo
muntii	montaña
muntii	monte
entuziasm	a
entuziasm	entusiasmo
virtuală	virtual
zboară	e
zboară	pilotar
zboară	voar
zboară	voan
zboară	voarei
zboară	voe
zboară	voo
întunecat	escuras
întunecat	escuro
întunecat	escura
întunecat	escuridade
întunecat	noite
pacienții	pacientes
pacienții	os
pacienții	doentes
idea	idea
pavilion	bandeira
amintirile	lembranzas
amintirile	recordos
bangladesh	bangladesh
holding	suxeitando
holding	a
holding	aguante
hainele	roupa
hainele	roupas
profesorilor	profesores
profesorilor	mestres
profesorilor	os
profesorilor	bos
cheltuieli	gastos
chinezesc	os
chinezesc	chineses
chinezesc	chinés
chinezesc	chinesas
chinezesc	chinesa
corps	corpo
corps	de
corps	fuxitivos
indieni	indios
repet	repite
repet	anda
repet	di
repet	repita
repet	repito
repet	dígoche
firul	fío
ursula	ursula
harbor	porto
marilyn	marilyn
caracterele	idiogramas
caracterele	personaxes
patterson	patterson
reputație	reputación
reputație	sona
realist	realista
realist	realistas
metroul	metro
metroul	sen
metroul	pantalóns
dispar	desaparecendo
dispar	desaparición
dispar	desaparecer
încercați	tentar
încercați	intentar
uniformă	uniforme
juriul	xurado
trăind	vivo
trăind	vivir
trăind	vivindo
trăind	vida
prelungirea	extensión
prelungirea	estensión
inspectorul	inspector
inspectorul	comisario
recupera	recuperar
demnitatea	dignidade
eficiența	eficiencia
eficiența	eficacia
rugăciuni	oracións
rotunde	redondo
rotunde	redondos
rotunde	xira
rotunde	arredor
rotunde	preto
minele	minas
hal	hal
variația	variación
pistă	pista
pistă	track
pistă	camiño
pistă	rastro
pistă	cambios
pistă	hipódromo
postura	postura
admite	admitir
admite	admito
admite	que
admite	admitilo
indicate	dixeron
uniform	uniforme
lână	la
diamant	diamante
diamant	verdade
deciziilor	tomar
deciziilor	decisións
jura	xuro
jura	xúrocho
jura	que
jura	xura
jura	xuraría
rezervor	tanque
rezervor	depósito
rudă	parente
testele	exames
testele	probas
testele	tests
posibilitățile	posibilidades
zimbabwe	cimbabue
zimbabwe	zimbawe
zimbabwe	zimbabwe
opțiuni	opcións
profesionistă	profesionais
profesionistă	profesional
profesionistă	un
surprinzător	sorprendente
surprinzător	sorprendentes
iubitul	mozo
piata	mercado
piata	mercados
piata	esa
piata	feira
marini	marines
umplut	de
umplut	cheos
efectivă	efectivas
efectivă	efectiva
efectivă	efectivo
efectivă	efectivos
efectivă	eficaces
efectivă	eficaz
efectivă	a
comunica	forma
comunica	comunicarse
comunica	comunicarnos
comunica	comunicación
comunica	comunicar
prizonierii	presos
prizonierii	os
prizonierii	prisioneiros
venitul	os
venitul	ingresos
venitul	do
venitul	ingreso
venitul	renda
combinată	combinados
combinată	combinadas
combinată	deben
combinată	as
circumstanțe	circunstancias
bomba	bomba
stie	sabe
stie	coñece
stie	sábeo
băutură	beber
băutură	bebe
băutură	copa
jurnalistul	xornalista
instrumentul	instrumento
rupe	romper
rupe	o
administrează	se
administrează	facelo
mickey	mickey
mickey	micky
permisă	permitiu
permisă	se
permisă	permita
permisă	lles
permisă	permite
permisă	non
permisă	permiten
permisă	vir
tratamente	tratamentos
accidentat	feridos
berlinul	de
berlinul	berlín
bucuria	ledicia
bucuria	alegría
bucuria	desfrute
bucuria	da
severă	grave
severă	graves
masterat	mestres
bătăliile	batallas
bătăliile	combates
experimentat	experimentou
experimentat	experiencia
experimentat	experimentado
experimentat	nisto
trailer	remolque
christos	xesucristo
christos	cristo
christos	advindo
christos	están
christos	aos
christos	por
philips	phillips
gâtul	gorxa
gâtul	pescozo
gâtul	par
gâtul	deles
gâtul	caluga
rebeliunea	rebelión
rebeliunea	rebeldes
mill	fábrica
mill	mill
mill	muíño
trandafir	rose
vitale	vital
distinctă	diferentes
distinctă	entre
gânduri	pensamentos
gânduri	pensamento
gânduri	que
tentative	intentos
toxice	tóxicos
toxice	tóxica
cadă	bañeira
evacuare	evacuación
programat	programada
programat	programados
trup	corpo
trup	corporal
literal	literalmente
cadou	presentar
cadou	actual
cadou	presente
cadou	presentes
cadou	agasallo
cadou	regalo
cadou	agasallo
precisă	exacto
precisă	preciso
precisă	precisa
celula	célula
celula	cela
toxic	tóxicos
toxic	tóxica
prietenia	amizade
prietenia	a
tăcere	silencio
tăcere	o
legislație	lexislación
legislație	a
legislație	lei
etică	de
etică	ética
comentariul	comentar
comentariul	comentario
tehnologică	tecnolóxica
hero	heroe
crima	asasinatos
crima	un
crima	homicidio
crima	asasinato
crima	asasino
crima	delito
crima	crime
crima	criminalidade
crima	crimes
crima	delincuencia
limitează	límite
cazare	vivenda
woods	bosque
woods	bosques
woods	árbores
woods	monte
mecanisme	mecanismos
lentă	lento
lentă	lenta
lentă	lentos
lentă	ou
lentă	frean
lentă	tranquilo
tragedia	traxedia
tragedia	desgraza
android	android
supraviețuire	supervivencia
supraviețuire	mortandade
supraviețuire	infantil
supraviețuire	sobreviven
comunism	comunismo
comunism	o
incidente	incidente
incidente	accidente
brut	cru
brut	groseiro
biologică	biolóxicas
biologică	biolóxica
biologică	biolóxico
biologică	biolóxicos
abstract	abstracta
highway	estrada
avenue	avenida
amenințări	ameazas
trase	afogado
rezerva	reserva
topire	fusión
topire	derreter
grafica	gráficos
clienții	clientes
atlanticului	atlántico
răul	mal
răul	malo
răul	malvado
răul	maldade
răul	malvados
încheiate	concluíu
periculoasă	perigoso
periculoasă	perigosos
periculoasă	perigosa
periculoasă	perigosas
amenință	a
amenință	ameazan
amenință	ameazar
amenință	ameazouna
romantice	romántico
romantice	románticos
simți	sinto
simți	sentir
simți	que
simți	síntome
superiori	superior
superiori	superiores
radicale	radical
radicale	radicais
votare	votación
metalul	de
metalul	metal
portocaliu	laranxa
tragedie	traxedia
tragedie	desgraza
twin	picos
sacre	sagrado
sacre	sagrados
orez	arroz
orez	de
preferate	favorito
preferate	favoritos
preferate	favorita
preferate	preferido
estimări	estima
estimări	que
iad	inferno
iad	carallo
iad	demo
iad	cona
înmormântare	funeral
înmormântare	enterro
vinul	viño
prefectură	prefeitura
preparate	preparada
preparate	listo
preparate	preparado
interacțiunea	interacción
elimină	se
elimină	e
elimină	quitar
elimină	quitamos
glumă	broma
glumă	chiste
glumă	bromas
glumă	gracia
glumă	conto
demn	dignos
demn	respectábeis
etapele	fases
circle	círculo
datorii	débedas
datorii	débeda
cultivă	cultivar
exces	exceso
exces	de
ideologie	ideoloxía
violentă	violentos
violentă	violenta
violentă	violentas
violentă	violento
violentă	violencia
violentă	violencia
violentă	a
conexiune	conexión
necesita	que
etica	de
etica	ética
ofertă	oferta
ofertă	ofrecer
ofertă	lle
ofertă	unha
umple	cubrir
umple	encher
catolica	católica
catolica	católico
catolica	catholic
exceptând	excepto
exceptând	só
exceptând	pero
exceptând	agás
exceptând	menos
diversitatea	diversidade
ură	odio
ură	odio
ură	os
ură	o
ură	a
indicele	índice
sânul	peito
sânul	mama
citirea	lendo
citirea	ler
citirea	lectura
citirea	a
cucerire	conquista
mentale	mentais
mentale	mental
postat	no
concentrația	de
concentrația	concentración
horse	cabalo
horse	kingston
defini	definir
vazut	ver
vazut	viron
vazut	visto
vazut	vin
vazut	vira
vazut	viches
liturghie	foxas
liturghie	masa
liturghie	masiva
liturghie	masas
liturghie	de
liturghie	misa
discutie	discusión
robotul	robot
învățare	aprender
învățare	aprendizaxe
învățare	aprendendo
învățare	a
poștă	correo
poștă	envía
poștă	envíe
rezolvare	resolver
sfat	consello
sfat	punta
sfat	dan
sfat	propinas
practicile	prácticas
faith	fe
faith	confiar
diviziunea	división
domnilor	señores
domnilor	cabaleiros
procuror	fiscal
apără	defender
dependența	dependencia
medicii	os
medicii	médicos
medicii	os
medicii	médicos
medicii	doutores
medicii	médico
tarziu	tarde
temporală	lóbulo
temporală	temporal
nascut	nacín
nascut	naceu
nascut	nacer
nascut	naciches
nascut	nacen
organismele	organismos
barca	barco
barca	bote
barca	chalana
bare	reixas
miliard	millóns
miliard	mil
miliard	de
goală	espido
goală	baleira
goală	baleiro
goală	baleiras
goală	valeiro
inele	aneis
executare	execución
goale	espida
goale	baleira
goale	baleiro
goale	baleiras
goale	valeiro
sailor	mariñeiro
aripă	nunha
aripă	á
sexul	sexo
sexul	sexual
dubla	o
dubla	dobre
dubla	double
rezista	resistir
rezista	resista
rezista	os
hiv	vih
hiv	o
prețuri	prezos
prețuri	os
coranul	corán
telescopul	telescopio
vioara	violín
conectate	conectados
conectate	conectada
conectate	conectado
conectate	con
conectate	conectadas
conectate	conectan
impozite	impostos
impozite	impostos
impozite	dos
invitată	convidei
invitată	a
invitată	invitamos
invitată	invitoume
invitată	invitado
invitată	convidado
invitată	convidou
amprenta	pegada
amprenta	pequena
cancerul	cancro
cancerul	o
cancerul	cáncer
telefonul	teléfono
auriu	de
auriu	ouro
auriu	ouro
auriu	de
gaura	buraco
gaura	burato
gaura	furado
gaura	hole
clinice	clínicos
clinice	clínicas
clinice	clínico
limpede	claro
limpede	clara
limpede	claras
senegal	senegal
extraordinară	extraordinario
extraordinară	cantidade
extraordinară	extraordinarias
extraordinară	extraordinarios
extraordinară	extraodinarios
extraordinară	extraordinaria
glory	gloria
glory	pola
gras	graxa
gras	gorda
gras	gordo
gras	gordos
gras	o
favorit	favorito
favorit	favoritos
favorit	favorita
favorit	preferido
rezolvă	solucionar
rezolvă	resolver
trata	tratar
trata	tratas
trata	trátame
lou	lou
înmormântarea	funeral
înmormântarea	enterro
precedentă	anteriores
nativ	nativo
nativ	onde
nativ	terra
depind	dependen
depind	dos
depind	depender
aceia	eses
aceia	esas
aceia	os
scumpe	caro
scumpe	caros
scumpe	cara
economii	aforros
daune	danos
daune	dano
necesitate	necesidade
cădea	caída
cădea	outono
cădea	caer
mafia	turba
mafia	mafia
mafia	mafia
poemele	poemas
marsilia	marsella
înclinat	insistir
joey	joey
joey	pío
joey	joska
foi	sabas
supraviețui	sobrevivir
supraviețui	sobrevivimos
supraviețui	á
supraviețui	sobreviven
supraviețui	sobreviva
supraviețui	ser
supraviețui	humano
contestat	a
degetul	dedo
degetul	o
degetul	polgar
cloud	nube
ham	xamón
progres	progreso
progres	proceso
progres	progresos
progres	segue
wheeler	wheeler
branch	póla
branch	sucursal
mental	mentais
mental	mental
legitim	lexítima
legitim	lexítimo
iubită	moza
iubită	amado
iubită	querido
train	tren
train	entreno
train	metro
abordate	a
fantomă	pantasma
fantomă	espírito
fantomă	membro
fantomă	pantasma
fantomă	carreta
tentativa	intento
tentativa	de
gps	gps
caritate	caridade
eve	eva
eve	aninovo
eve	data
eve	véspera
eve	noitevella
indicată	dixeron
mersul	camiñando
mersul	pola
mersul	andar
mersul	andando
mersul	subindo
mersul	camiñaba
mersul	camiñar
mersul	polas
domestice	doméstica
domestice	caseira
omoară	matar
omoară	a
caut	a
caut	mirando
caut	mirar
caut	buscando
aranjament	arranxo
aranjament	acordo
asocierea	asociación
suferință	sufrimento
suferință	de
suferință	sofre
ruină	a
ruină	ruínas
valoroasă	valioso
cent	cento
nationala	nacional
nationala	nacionais
nationala	national
pălărie	sombreiro
pălărie	o
pălărie	chapeu
pălărie	sombreiriño
durabile	sostible
clinica	clínica
ratat	de
ratat	menos
gap	distancia
hamlet	aldea
hamlet	estratéxicas
insistă	en
actorilor	actores
autorizat	posúe
autorizat	estabelecido
conac	mansión
oficiu	oficina
oficiu	despacho
oficiu	correo
extraordinare	extraordinario
extraordinare	cantidade
extraordinare	extraordinarias
extraordinare	extraordinarios
extraordinare	extraodinarios
extraordinare	extraordinaria
iluminat	iluminación
executivă	executivo
executivă	ordenanza
râs	risos
râs	risas
râs	rir
râs	de
râs	nunca
perechea	par
faimoasă	famoso
faimoasă	famosos
faimoasă	famosa
speranțe	esperanza
speranțe	esperanzas
gestionarea	de
gestionarea	xestión
gestionarea	dirección
gestionarea	a
rotundă	redondo
rotundă	redondos
rotundă	xira
rotundă	arredor
rotundă	preto
varietatea	variedade
varietatea	de
antropologie	antropoloxía
oxigenul	osíxeno
câinii	cans
câinii	can
câinii	os
câinii	aos
curat	limpa
curat	limpo
curat	limpar
nivelurile	niveis
duel	duelo
inamici	inimigos
cicluri	ciclos
împreuna	xuntos
importanta	importancia
importanta	importante
importanta	importantes
puntea	oco
puntea	ponte
puntea	bridge
puntea	cuberta
diagnosticul	diagnóstico
diagnosticul	diagnose
isidore	isidore
colectare	de
colectare	colección
tipar	padrón
tipar	de
tipar	patrón
tipar	pauta
zgomot	ruido
zgomot	ruído
zgomot	son
virtuale	virtual
ard	queimalos
ard	queiman
ard	queimar
ard	queimade
asociază	conectarnos
separare	separación
votează	votamos
votează	voto
votează	votan
votează	votar
votează	votos
votează	voten
cartofi	patacas
kilograme	kilos
kilograme	quilos
kilograme	kg
kilograme	quilos
kilograme	kilos
kilograme	case
kilograme	libras
kilograme	tonelada
kilograme	toneladas
sperând	que
arde	queimaduras
arde	arde
arde	queimalos
arde	queiman
arde	queimar
arde	queimade
soiuri	variedades
ride	pantalóns
ride	volta
ride	ir
ride	liscar
tata	pai
tata	papá
tata	pai
tata	o
tata	padre
ilegală	ilegal
certitudine	certeza
miniere	minería
miniere	mineiro
pal	amigo
spart	roto
spart	roto
elvis	elvis
echivalente	equivalente
sarcinile	tarefas
genunchi	xeonllo
genunchi	xeonllos
curbă	curva
sindicatelor	sindicatos
adverse	adversos
adverse	efectos
phantom	membro
phantom	pantasma
phantom	carreta
alois	alois
davies	davies
amar	amarga
restaurantul	restaurante
ploi	chove
ploi	chove
ploi	chuvia
ploi	choiva
ploi	nos
ploi	topásemos
ploi	con
ploi	outras
ploi	razas
ploi	chover
ploi	a
conexiuni	conexións
temporal	lóbulo
temporal	temporal
plasarea	a
plasarea	colocar
katherine	katherine
inseamna	significa
inseamna	dicir
inseamna	que
inseamna	medios
inseamna	quere
stres	estrés
pluton	317
macdonald	macdonald
înger	anxo
beneficii	beneficio
beneficii	beneficios
beneficii	os
subacvatice	auga
subacvatice	baixo
subacvatice	a
fură	roubar
ancheta	investigación
brain	cerebrais
brain	cerebro
brain	cerebral
intenție	intención
bombardier	bomber
mediile	entornos
mediile	ambientes
acoperi	a
acoperi	cubrir
acoperi	cuberto
acoperi	cuberta
statistica	estatísticas
unealtă	de
unealtă	ferramenta
unealtă	ferramentas
scandalul	escándalo
mere	mazás
mere	mazá
mere	apple
mere	asadas
mere	mazás
spontan	espontaneamente
neagra	negra
neagra	negro
neagra	negros
confiscate	de
sarea	salgado
sarea	sal
televizor	a
televizor	televisión
televizor	tele
televizor	da
televizor	programa
televizor	tv
televizor	televisión
televizor	tele
animalul	animais
animalul	animal
implicare	participación
implicare	implicación
parisul	parís
tadeusz	tadeusz
sferă	esfera
cosmos	cosmos
registru	rexistro
mituri	mito
distinct	diferentes
distinct	entre
salvați	salvar
salvați	aforrar
salvați	salvalo
polițiști	poli
polițiști	policías
polițiști	policía
polițiști	polis
vaste	amplo
vaste	gran
jackie	jackie
concentrație	de
concentrație	concentración
maniera	xeito
maniera	maneira
procesare	procesando
procesare	procesamento
găuri	buratos
găuri	buracos
slăbit	débil
reagan	reagan
ruda	parente
săpat	cavando
drew	drew
adecvată	para
adecvată	máis
reabilitare	rehabilitación
talentat	con
talentat	talento
talentat	talentosa
formale	formal
scump	caro
scump	caros
scump	cara
favorite	favorito
favorite	favoritos
favorite	favorita
favorite	preferido
citind	lendo
citind	ler
citind	lectura
citind	a
ofensiv	ofensivo
ofensiv	ofensiva
dominante	dominante
dominante	educativa
fizicianul	físico
adopte	adopte
taxele	impostos
taxele	dos
diplome	graos
diplome	16
senzație	sensación
senzație	sentir
senzație	sentimento
infecție	infección
wonder	pregúntaste
wonder	pregúntome
wonder	me
wonder	que
consumat	de
fericirea	felicidade
fericirea	a
fericirea	benestar
fericirea	ledicia
durabilă	sostible
portretele	retratos
touch	tacto
touch	toque
touch	contacto
touch	tocar
touch	toques
columb	columbus
killer	asasino
killer	do
ucisă	a
ucisă	mataron
ucisă	matou
ucisă	asasinado
ucisă	mortos
definesc	definir
dependentă	dependentes
dependentă	depende
sărăcie	pobreza
sărăcie	a
prefera	preferimos
prefera	prefire
prefera	gusto
prefera	dos
prefera	prefiro
prefera	prefires
exercitarea	exercicio
misterioasă	misterioso
pisici	gatos
pacienți	pacientes
pacienți	os
pacienți	doentes
colectivul	colectivo
colectivul	colectiva
crăciunul	nadal
pregătiți	preparar
impresie	impresión
naturali	natural
naturali	normal
naturali	naturais
naturali	a
adevarul	verdade
adevarul	a
talente	talento
distribuită	compartidos
distribuită	compartiron
distribuită	compartido
distribuită	compartida
distribuită	compartimos
distribuită	compartiu
jucării	xoguetes
zori	alborecer
zori	amencer
vital	vital
axe	machada
lacrimi	bágoas
lacrimi	chorar
lacrimi	aburrimento
transparent	transparentes
transparent	transparente
plat	plano
studiind	estudando
studiind	estudar
burns	queimaduras
burns	arde
springer	springer
categoric	definitivamente
asiatic	asiática
asiatic	asiático
asiatic	asiáticos
extrage	extraer
extrage	extraen
rainbow	arco
rainbow	vella
rainbow	da
aprecia	aprezar
aprecia	apreciaría
aprecia	estivese
aprecia	gustaríame
sociolog	sociólogo
sociolog	toma
pomi	árbores
pomi	das
recorduri	discos
ciocan	martelo
răni	feridas
răni	as
much	canto
much	grazas
much	moito
much	máis
much	tanto
racheta	foguete
așteptare	agardando
așteptare	espera
așteptare	a
așteptare	esperar
așteptare	esperando
așteptare	agardar
access	acceso
access	aos
foamete	fame
planetele	planetas
discriminare	discriminación
zăpada	neve
zăpada	impecable
umbre	sombras
gurile	boca
gurile	bocas
laboratoare	laboratorios
ciocolată	chocolate
replici	liñas
replici	de
replici	trincheiras
replici	frases
urechile	oídos
urechile	orellas
citire	lin
citire	ler
citire	leo
citire	le
citire	lendo
citire	ler
citire	lectura
citire	a
telescop	telescopio
alfabetic	alfabética
curios	curioso
buck	dólar
moda	moda
moda	a
picasso	picasso
rate	de
invită	convídovos
invită	a
cina	cear
cina	cea
cina	a
editorii	editores
lumini	luces
lumini	as
lumini	luz
lumini	apaguen
mccarthy	mccarthy
ascultat	escoitei
întârziat	tarde
complicat	complicado
complicat	complexas
complicat	complicadas
dezastrul	desastre
inteligentă	intelixente
inteligentă	intelixentes
inteligentă	intelixente
inteligentă	intelixentes
inteligentă	listos
inteligentă	moi
inteligentă	listo
profet	profeta
sufletele	almas
amintire	memoria
apărătorii	defensores
micii	pequeno
micii	pequenos
micii	pequenas
micii	pequena
infracțiuni	crimes
infracțiuni	delitos
gemeni	xemelgos
servind	servir
servind	cumprir
spuse	dixo
spuse	dixeron
spuse	dixen
spuse	que
irish	irlandés
irish	irlandeses
irish	irlandesa
welt	welt
habitat	do
habitat	hábitat
transferă	transferir
transferă	traslado
concurență	competición
astazi	hoxe
astazi	día
ecranul	pantalla
ecranul	da
ecranul	ecrán
oxid	nítrico
ascultă	escoitar
ascultă	escoita
ascultă	escoite
haos	un
haos	caos
sugerând	suxerindo
sugerând	que
desenator	debuxante
desenator	caricaturista
rana	ferida
combat	de
combat	combate
combat	combates
combat	postos
clifford	clifford
clifford	ei
generată	neuronas
generată	xerado
urechi	oídos
urechi	orellas
gates	gates
fulger	lóstrego
memorialul	día
memorialul	dos
memorialul	caídos
amin	amen
amin	amén
sida	sida
absurd	absurdas
conta	contan
conta	contar
conta	conde
conta	con
conta	conta
nuci	noces
nuci	tola
nuci	tolo
ulise	ulises
frontiere	fronteiras
palme	palmas
furia	ira
furia	rabia
furia	odio
caraibe	caribe
puternica	forte
puternica	fortes
puternica	poderosa
puternica	poderosos
puternica	poderoso
sindrom	síndrome
sindrom	de
oras	cidade
oras	pobo
oras	vila
oras	aldea
oras	city
oras	cidade
oras	da
membrul	membro
membrul	da
membrul	membros
cumpărate	mercou
cumpărate	merquei
cumpărate	merqueino
cumpărate	merqueille
cumpărate	comprou
rebeli	rebeldes
schloss	o
schloss	castelo
complicată	complicado
complicată	complexas
complicată	complicadas
fundalul	de
fundalul	fondo
ajutoare	axuda
franta	francia
franta	franza
quo	quo
gaga	gaga
permise	permitiu
permise	se
permise	permita
permise	lles
permise	permite
permise	non
permise	permiten
permise	vir
testare	probar
testare	proba
testare	exame
testare	probas
testare	de
testare	test
testare	exames
testare	probas
testare	probando
cage	gaiola
sugestia	unha
sugestia	suxestión
seal	foca
seal	selo
tin	estaño
tin	metálico
plătite	pagar
plătite	pagou
complicate	complicado
complicate	complexas
complicate	complicadas
feedback	de
feedback	resposta
araba	árabe
lemne	madeira
mărturisit	confesei
joy	ledicia
joy	alegría
joy	desfrute
joy	da
sacră	sagrado
sacră	sagrados
sunetele	soa
sunetele	parece
sunetele	sons
sunetele	en
sunetele	sona
block	mazá
block	bloque
block	bloquear
block	acceso
block	barracón
convențional	convencional
conectat	conectados
conectat	conectada
conectat	conectado
conectat	con
conectat	conectadas
conectat	conectan
poker	póquer
poker	ao
poker	de
email	correo
foame	famentos
foame	fame
foame	fame
strânge	expremer
paragraf	parágrafo
paragraf	punto
groasă	groso
arest	deter
arest	arresto
plâns	chorando
plâns	choraba
plâns	chorar
plâns	vergoña
plâns	choras
plâns	choran
răzbunarea	vinganza
răzbunarea	vingar
vag	vagamente
vag	mala
emile	emile
autentic	auténtica
autentic	é
vederi	postais
rădăcină	orixe
rădăcină	raíz
salvatore	salvatore
europă	europa
europă	en
jefuit	roubaron
trăsătură	trazo
trăsătură	característica
trăsătură	a
diavolul	demo
diavolul	diaño
terapie	terapia
terapie	de
războinic	guerreiro
războinic	forte
creastă	cresta
rebelii	rebeldes
dulci	sweet
dulci	doces
dulci	doce
fortul	forte
piramida	pirámide
adâncimi	interior
sloan	sloan
sloan	a
sloan	matou
keys	chaves
keys	as
liberali	liberais
liberali	liberal
geometrică	xeométricas
altii	aos
altii	outros
altii	demais
altii	outras
pornire	a
pornire	comezar
pornire	empezar
pornire	a
pornire	comezando
pornire	empezando
pornire	comeza
pornire	tiña
pornire	iniciar
pornire	comezaba
pornire	comezar
sons	fillos
sons	os
sons	mozos
imobiliare	inmobiliario
tor	tor
molecular	molecular
molecular	moleculares
panică	pánico
guvernământ	dominante
paza	de
paza	seguridade
respirație	hálito
respirație	respiro
respirație	alento
respirație	respiración
respirație	folgos
respirație	tempo
respirație	respirar
fixează	prendedor
experimentele	experimentos
sticla	vaso
sticla	vidro
sticla	cristal
sticla	de
sticla	copa
sticla	botella
cailor	cabalos
cailor	os
sârmă	de
comunismul	comunismo
comunismul	o
atinsă	tocan
atinsă	están
atinsă	tocar
atinsă	a
atinsă	tocáronme
mana	man
mana	mans
