जन्मजात	aangeboren
डिवाइस	apparaat
डिवाइस	apparaten
लियोन	leon
हीन	minor
हीन	mineur
हीन	minderjarige
ऑब्जेक्ट	voorwerp
ऑब्जेक्ट	object
ऑब्जेक्ट	objecten
ऑब्जेक्ट	voorwerpen
पेंटिंग	schilderen
पेंटिंग	verven
पेंटिंग	schilderkunst
पेंटिंग	schilderij
सूचियाँ	lijstjes
सूचियाँ	lijsten
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militanten
आतंकवादियों	terroristen
बकरी	geiten
बकरी	geit
महीन	fijnere
महीन	fijner
स्विफ्ट	swift
कुर्सी	stoel
सांचे	schimmel
क्षितिज	horizon
दोहरा	dubbel
दोहरा	dubbele
दोहरा	tweepersoons
दोहरा	verdubbelen
दोहरा	double
दोहरा	dubbele
दोहरा	duale
दोहरा	dual
रैली	rally
रैली	jamboree
संविदा	pact
संविदा	contract
शोधकर्ता	onderzoeker
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	paars
बैंगनी	paarse
बैंगनी	viooltjes
बैंगनी	aubergine
बैंगनी	violet
व्यू	portier
प्रक्षेपास्त्र	raket
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	raket
बीजिंग	beijing
बीजिंग	peking
स्वैच्छिक	vrijwillige
स्वैच्छिक	vrijwillig
फोटोग्राफी	fotografie
फोटोग्राफी	fotograferen
प्रौढ़	volwassen
प्रौढ़	volwassenen
प्रौढ़	adult
प्रौढ़	volwassene
कैलिफ़ोर्निया	california
कैलिफ़ोर्निया	californië
कैलिफ़ोर्निया	californische
धड़	torso
धड़	romp
कैलगरी	calgary
प्रतिभूति	effecten
प्रतिभूति	waardepapieren
साउंडट्रैक	soundtrack
महलों	paleizen
वार्तालाप	conversatie
वार्तालाप	gesprek
वार्तालाप	gesprekken
वार्तालाप	conversaties
टीले	duinen
बुद्धिमान	intelligente
बुद्धिमान	intelligent
बुद्धिमान	scherpzinnig
उभरते	opkomende
फोकस	focussen
फोकस	concentreren
फोकस	focus
वन्यजीव	wildlife
वर्चस्व	gedomineerd
वर्चस्व	overheerst
जावेद	javed
रुझान	trend
रुझान	tendens
रुझान	tendensen
रुझान	trends
रुझान	populair
वेशभूषा	kostuum
वेशभूषा	kostuums
भागीदार	deelnemers
भागीदार	deelnemer
स्पेंसर	spencer
अस्पतालों	ziekenhuis
अस्पतालों	ziekenhuizen
विक्रेताओं	verkopers
वान	busje
पुस्तिका	boekje
नाभि	navel
तुर्कमेनिस्तान	turkmenistan
देखिए	zien
देखिए	zie
आधुनिकता	moderniteit
रॉबर्ट्स	roberts
क्लाइंट	client
क्लाइंट	klant
क्लाइंट	opdrachtgever
क्लाइंट	cliënt
क्लाइंट	cliënten
क्लाइंट	klanten
यन्त्र	yantra
गर्भाधान	inseminatie
डायरी	dagboek
अपडेट	updaten
अपडेट	update
अपडेट	bijwerken
अपडेट	updates
चैम्पियन	kampioen
चैम्पियन	champ
चैम्पियन	kampioen
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	tijdschriften
मैगज़ीन	magazines
सीमाएं	beperkingen
शंघाई	shanghai
शंघाई	sjanghai
आयुर्वेदिक	ayurveda
आयुर्वेदिक	ayurvedische
जहांगीर	jahangir
वाइस	ondeugd
वाइस	zeden
वाइस	vice
किट	setje
किट	kit
भ्रमित	verwarrend
भ्रमित	verwarde
भ्रमित	verward
भ्रमित	verwarren
संस्मरण	memoires
बाप	vader
राजेंद्र	rajendra
नालंदा	nalanda
थाली	plaat
थाली	bord
नग्न	naakt
नग्न	naakte
नग्न	naakt
नग्न	naakte
कार्यभार	opdrachten
कार्यभार	opdracht
एनालॉग	analoog
एनालॉग	analoge
युगों	yuga
रुकावट	blokkade
रुकावट	verstopping
रुकावट	belemmering
रुकावट	hinderen
रुकावट	obstructie
रुकावट	tegenwerking
प्रतिबिंब	reflectie
प्रतिबिंब	spiegelbeeld
प्रतिबिंब	weerspiegeling
प्रतिबिंब	bezinning
प्रतिबिंब	spiegeltje
प्रतिबिंब	spiegelen
प्रतिबिंब	spiegel
प्रतिबिंब	mirror
ब्लेड	lemmet
ब्लेड	blade
ब्लेड	mes
ब्लेड	zwaard
ब्लेड	messen
सदिश	vector
सदिश	vectoren
सदिश	dragers
स्थगित	schorsen
स्थगित	opschorten
स्थगित	uitgesteld
स्थगित	hangende
स्थगित	afwachting
गिरोह	bende
दायित्वों	verplichtingen
पावन	heilige
पावन	heilig
पावन	holy
मर्यादा	waardigheid
श्रीनिवास	srinivasa
बैले	ballet
बसंत	voorjaar
बसंत	lente
शर्ट	overhemd
शर्ट	shirt
शर्ट	hemd
शर्ट	hemden
शर्ट	overhemden
शर्ट	shirts
न्यायाधीशों	magistraten
न्यायाधीशों	rechters
तेरी	teri
सेंसर	sensors
सेंसर	sensoren
सेंसर	sensor
स्टैंड	stand
स्टैंड	stands
उपनिवेशों	kolonie
बहुवचन	meervoud
एकाधिकार	monopolie
एकाधिकार	monopoly
एकदिवसीय	odi
विनाशकारी	rampzalig
विनाशकारी	rampzalige
विनाशकारी	vernietigende
विनाशकारी	vernietigend
विनाशकारी	verwoestende
विनाशकारी	verwoestend
मिसौरी	missouri
बहुराष्ट्रीय	multinational
बहुराष्ट्रीय	multinationale
मारी	marie
मारी	mari
कार्गो	cargo
कार्गो	vracht
कार्गो	lading
शुभारंभ	lanceren
शुभारंभ	lancering
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	frans
फ़्रांसीसी	fransen
फ़्रांसीसी	franse
जादूगर	tovenaar
जादूगर	wizard
जादूगर	goochelaars
जादूगर	tovenaars
जादूगर	tovenaar
जादूगर	goochelaar
जादूगर	illusionist
जादूगर	magiër
प्रतिमान	patroon
प्रतिमान	paradigma
सच्चा	waar
सच्चा	true
सच्चा	klopt
वोल्ट	volt
अमोनिया	ammoniak
विश्लेषणात्मक	analytisch
प्रतिबद्धता	verbintenis
प्रतिबद्धता	toewijding
प्रतिबद्धता	engagement
प्रतिबद्धता	betrokkenheid
डू	doo
विधायिका	wetgever
पकड़ा	gegrepen
पकड़ा	greep
पकड़ा	pakte
कॉफ़ी	koffie
उल्टा	achteruit
उल्टा	omgekeerde
उल्टा	omkeren
उल्टा	omgekeerd
उल्टा	omgekeerde
उल्टा	omgekeerd
एलेन	ellen
किराए	tarieven
न्यायालयों	rechtbanken
एस्टन	aston
मांसपेशी	spieren
मांसपेशी	spier
विषाक्त	toxische
विषाक्त	toxisch
विषाक्त	giftig
तूफ़ान	stormen
तूफ़ान	tyfoon
तूफ़ान	noodweer
तूफ़ान	onweer
तूफ़ान	storm
कड़ा	krap
कड़ा	strakke
कड़ा	strak
कड़ा	moeilijk
कड़ा	hard
कड़ा	harde
बारूद	buskruit
बारूद	kruit
बदली	bewolkt
पड़ाव	mijlpaal
एंजाइम	enzymen
एंजाइम	enzym
मूसा	moses
मूसा	mozes
पिंक	pink
पिंक	roze
बैरी	barry
बैरी	antagonisten
बैरी	antagonist
कॉमर्स	handel
जीप	jeep
चलाना	exec
चलाना	uitvoering
चलाना	terechtstelling
चलाना	executie
दादी	grootmoeder
दादी	oma
दादी	oma
दादी	grootmoeder
कमिश्नर	commissaris
पहाड़ियाँ	heuvels
पहाड़ियाँ	hills
मैथ्यू	matthew
गंधक	zwavel
गंधक	zwavel
षड्यंत्र	complot
षड्यंत्र	samenzwering
प्रशस्त	geplaveid
अंडमान	andaman
दूषित	corrupt
दूषित	bedorven
दूषित	beschadigd
पश्च	achterste
पश्च	achterkant
पश्च	achteraan
पश्च	achterhoede
पश्च	achterzijde
रीडर	reader
रीडर	lezer
मिर्ज़ा	mirza
क्रांतिकारियों	revolutionairen
हीरे	ruiten
हीरे	diamanten
प्रशिक्षक	trainer
प्रशिक्षक	opleider
प्रशिक्षक	instructeur
नास्तिक	atheïsme
नास्तिक	atheïst
जासूसी	spionage
जासूसी	spioneren
जासूसी	bespioneren
प्रचारित	gepromoot
प्रचारित	gepromoveerd
सांसारिक	wereldse
प्रवर्धक	versterker
फसलें	gewassen
डायोड	diode
अमूर्त	abstracte
अमूर्त	abstract
सौभाग्य	gelukkig
सौभाग्य	fortuin
सौभाग्य	fortune
सौभाग्य	fortuin
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
कार्बोनेट	carbonaat
हिब्रू	hebreeuws
बर्ड	vogeltje
बर्ड	vogels
बर्ड	vogel
आत्मसमर्पण	overgeven
आत्मसमर्पण	overgave
एथलेटिक्स	atletiek
तैराकी	zwemmen
हक	huck
हक	haq
संस्थागत	institutioneel
चिट्ठा	blog
चिट्ठा	weblog
चिट्ठा	bloggen
ठंड	koude
ठंड	kou
ठंड	koud
चूहे	muizen
चूहे	ratten
लीड	leads
लीड	leidt
लीड	leiden
लीड	lood
लीड	loden
लीड	lead
दरार	rift
दरार	barst
दरार	kraken
दरार	crack
परमार	parmar
दार्शनिकों	filosofen
नेहरु	nehru
प्राणायाम	pranayama
संवेदना	medeleven
संवेदना	condoleances
सॉफ़्टवेयर	programmatuur
सॉफ़्टवेयर	software
परवाह	zorg
परवाह	care
परवाह	verzorging
बहुविकल्पी	doorverwijspagina
महेन्द्र	mahendra
बमबारी	bombardement
बमबारी	bom
कीड़े	wormen
कठपुतली	marionet
अधीनस्थ	ondergeschikte
अधीनस्थ	ondergeschikt
ग्रीनहाउस	kas
ग्रीनहाउस	broeikas
ग्रीनहाउस	serre
कैम्प	kamp
कैम्प	kampen
किस्में	strengen
किस्में	rassen
किस्में	variëteiten
किस्में	variëteit
किस्में	variatie
विषाक्तता	vergiftigen
विषाक्तता	vergiftiging
खोजी	exploratie
खोजी	verkenning
सम्मेलनों	congressen
सम्मेलनों	conferenties
चिंतित	angstig
चिंतित	bezorgd
चिंतित	ongerust
चिंतित	bezorgd
स्टारबक्स	starbucks
छुटकारा	redt
जॉर्डन	jordan
जॉर्डन	jordanië
एथलीट	sporter
एथलीट	atlete
एथलीट	atleet
एथलीट	atleten
एथलीट	sporters
बीजापुर	bijapur
विधिक	legaal
विधिक	wettelijk
विधिक	wettig
विधिक	juridische
विधिक	juridisch
असुरक्षित	onveilig
असुरक्षित	onzeker
असुरक्षित	onzekere
असुरक्षित	onveilig
असुरक्षित	onveilige
रेखीय	lineaire
रेखीय	lineair
शहद	schat
शहद	honing
ऑपरेटर	operator
ऑपरेटर	exploitant
ऑपरेटर	telefoniste
ऑपरेटर	operators
ऑपरेटर	operatoren
ऑपरेटर	exploitanten
नल	null
प्रेसीडेंसी	voorzitterschap
प्रेसीडेंसी	presidentschap
कुक	kook
कुक	koken
कुक	kok
कुक	cook
मनी	geld
मनी	mani
नारा	slogan
नारा	leus
चढ़	roesten
चढ़	roest
चढ़	rust
सेक्टर	sector
सेक्टर	sectoren
महासागरीय	oceanië
क्रियाशील	active
क्रियाशील	actieve
क्रियाशील	actief
क्रियाशील	adjectief
बैठकों	meetings
बैठकों	ontmoetingen
बैठकों	vergaderingen
बैठकों	bijeenkomsten
भट्ठी	oven
रघुनाथ	raghunath
क्योकि	want
क्योकि	omdat
सभ्य	deftig
सभ्य	fatsoenlijke
सभ्य	fatsoenlijk
विकलांगता	invaliditeit
विकलांगता	handicap
विकलांगता	handicaps
विकलांगता	arbeidsongeschiktheid
दरिया	darja
अनजाने	onbewust
नोट्स	toelichting
नोट्स	aantekeningen
नोट्स	notities
नोट्स	noten
विलास	vilas
कहें	say
कहें	zeg
कहें	zeggen
एव	ave
सामी	sami
धर्मशास्त्र	theologie
सीखा	geleerd
सीखा	leerde
आर्क	arc
ट्रम्प	troefkaart
ट्रम्प	trump
ट्रम्प	troef
यीशु	jezus
यीशु	jesus
चश्मे	brillen
चश्मे	bril
चश्मे	brillen
चश्मे	glazen
चश्मे	bril
एक्यूपंक्चर	acupunctuur
प्लूटो	pluto
डेनियल	daniel
डेनियल	daniël
डेनियल	danilo
थोक	groothandel
पैरिस	parijs
कामयाबी	succes
कामयाबी	success
प्रोटोटाइप	prototype
सिलसिले	silas
कुरु	kuru
फर्क	verschil
इयान	lan
इयान	ian
दुग्ध	zuivel
भयभीत	bang
भयभीत	bang
वसूली	herstel
मौन	gedempt
मौन	dempen
मौन	stom
मौन	stilzwijgende
मौन	stilte
मौन	zwijgen
मौन	silence
डिप्लोमा	diploma
घटा	verminderen
घटा	afname
घटा	daling
घटा	vermindering
पॉइंट	punten
पॉइंट	punt
पॉइंट	point
त्वरण	versnelling
त्वरण	acceleratie
जमैका	jamaica
स्केल	schaal
स्केल	schalen
मक्खन	boter
साम्राज्यवाद	imperialisme
सूत	garens
सूत	garen
सूत	katoen
इज़राइल	israël
इज़राइल	israel
वैधता	wettigheid
वैधता	legaliteit
वैधता	rechtmatigheid
वैधता	geldigheid
वैधता	rechtsgeldigheid
अनन्य	exclusieve
अनन्य	exclusief
सीना	cena
मिथक	mythes
मिथक	mythe
श्रृंगार	makeup
प्रावधानों	bepalingen
नतीजा	neerslag
अर्ल	earl
अर्ल	graaf
वेदान्त	vedanta
निर्देशिका	map
निर्देशिका	index
निर्देशिका	indexcijfer
निर्देशिका	indexeren
निर्देशिका	mappen
आंग्ल	anglo
समता	pariteit
समता	gelijkheid
एवेन्यू	laan
एवेन्यू	avenue
बेरोजगारी	werkloosheid
लत	verslaving
जुर्माना	prima
जुर्माना	boetes
जुर्माना	geldboetes
जुर्माना	boeten
क़ुरान	koran
पूर्णता	voltooiing
पूर्णता	perfectie
ओमान	oman
मार्केटिंग	marketing
पीड़ितों	slachtoffers
शक्तियां	powers
शक्तियां	bevoegdheden
शक्तियां	krachten
शक्तियां	forces
शक्तियां	krachten
बादलों	wolken
बादलों	bewolking
चतुर्भुज	vierhoek
चतुर्भुज	rechthoek
चतुर्भुज	rechthoekig
चीता	cheetah
चीता	luipaard
मूक	gedempt
मूक	stil
मूक	silent
मूक	zwijgen
मूक	stille
मूक	dempen
मूक	stom
लीन	lyn
प्रतिभाशाली	geniaal
प्रतिभाशाली	genie
प्रतिभाशाली	genius
प्रतिभाशाली	talentvol
प्रतिभाशाली	getalenteerd
प्रतिभाशाली	talentvolle
प्रतिभाशाली	getalenteerde
पनीर	kaas
स्मार्ट	slimme
स्मार्ट	slim
स्मार्ट	smart
नियोक्ता	werkgevers
नियोक्ता	werkgever
नियोक्ता	werkgever
नियोक्ता	werkgevers
पश्तो	pasjtoe
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	lichtgevende
चमकदार	glanzend
चमकदार	glimmend
चमकदार	glimmende
नाड़ी	puls
नाड़ी	pols
नाड़ी	polsslag
नाड़ी	pulse
स्पीकर	speaker
स्पीकर	luidspreker
स्पीकर	spreker
गैसें	gassen
सहभागिता	engagement
सहभागिता	betrokkenheid
सहभागिता	verloving
सहभागिता	interactie
सहभागिता	wisselwerking
यों	plank
गतिविधियाँ	activiteiten
गतिविधियाँ	activiteit
इसराइल	israël
इसराइल	israel
वाट	watt
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	landbouwers
कृषक	boeren
इंडीज़	indië
ब्राउजर	browser
गुदा	anus
गुदा	anaal
गुदा	anale
टीकाकरण	inenting
टीकाकरण	vaccineren
टीकाकरण	vaccinatie
मूर्तिकला	beeld
मूर्तिकला	beeldhouwwerk
मूर्तिकला	sculptuur
शाश्वत	eeuwigheid
किरणें	stralen
वैश्वीकरण	mondialisering
वैश्वीकरण	globalisering
पूना	poona
बैग	zakje
बैग	zak
बैग	tas
बैग	tassen
बैग	zakken
बैग	zakjes
नर्तक	dansers
नर्तक	danseressen
नर्तक	dancer
नर्तक	danser
नर्तक	danseres
ग्लूकोज	glucose
नीतियाँ	beleid
प्रतिभागियों	deelnemers
पढ़ना	lezen
पढ़ना	lectuur
पढ़ना	reading
पढ़ना	lezing
आपरेशन	operation
आपरेशन	bewerking
आपरेशन	operatie
आपरेशन	exploitatie
ब्रॉडबैंड	breedband
मैनुअल	handmatige
मैनुअल	manueel
मैनुअल	handleiding
मैनुअल	handmatig
मैनुअल	handboek
दर्जन	dozijn
सुखद	aangename
सुखद	aangenaam
सस्ती	betaalbaar
सस्ती	betaalbare
गन्ना	suikerriet
बेखम	beckham
स्याही	inkt
रॉस	ross
हल्दी	kurkuma
हवाओं	winden
हवाओं	wind
परम्पराओं	tradities
पूछे	vroegen
पूछे	gevraagd
सेब	appel
सेब	apple
शत्रुओं	haters
रो	rho
रो	janken
रो	huilend
रो	huilen
पुस्तकालयों	bibliotheken
पुस्तकालयों	bibliotheek
बालाजी	balaji
चौकी	checkpoint
चौकी	controlepost
चौकी	controlepunt
चौकी	buitenpost
बहनों	sisters
बहनों	zusters
बहनों	zussen
बहनों	zusjes
अश्लील	porno
