mercur	меркур
scăzută	ниско
scăzută	ниски
scăzută	ниска
scăzută	низок
exterioară	надворешност
ofensivă	офанзивата
ofensivă	навредливи
ofensivă	офанзива
ofensivă	навредлива
intervenție	интервенции
intervenție	интервенција
galilor	гали
fenomene	феномени
austrieci	австријците
austrieci	австрискиот
austrieci	австриски
austrieci	австриска
austrieci	австриско
costume	костими
costume	костуми
costume	одела
costume	костуми
cânta	пеам
cânta	синг
cânta	пеј
cânta	пејте
cânta	пеат
grija	грижата
grija	грижлив
grija	грижа
grija	нега
corul	хор
corul	рефрен
modelele	модели
modelele	манекенки
reich	рајх
józsef	јожеф
agricol	земјоделско
agricol	земјоделска
agricol	земјоделски
agricol	земјоделство
originile	потекло
khan	хан
khan	кан
mutarea	преселба
mutarea	селење
mutarea	преместување
mutarea	движење
moscheea	џамија
lățimea	ширина
cooper	купер
invazie	инвазија
ehf	ехф
brabant	brabant
dealuri	ридови
dealuri	ридовите
dealuri	хилс
danny	дени
danny	дани
determinată	определен
determinată	решен
determinată	одлучен
determinată	одлучно
determinată	одлучни
determinată	одлучна
tag	ознака
tag	означи
perete	ѕид
nicholas	николас
istoricii	историчари
istoricii	историчарите
străină	странски
străină	странска
iubit	сакан
iubit	сакаше
iubit	сакано
iubit	сакан
iubit	сакана
iubit	љубена
iubit	дечко
entitate	ентитет
platină	платинум
rezolva	решавање
rezolva	реши
indivizi	поединци
indivizi	индивидуи
indivizi	индивидуалци
continental	континентална
caesar	цезар
cruci	крстови
conferit	доделена
pcupdate	pcupdate
pierdute	изгубено
pierdute	изгубени
pierdute	изгубена
pierdute	загуби
pierdute	изгубен
perioadele	периоди
bianco	bianco
ilustrează	илустрира
cardinal	кардинал
cardinal	кардиналот
clare	клер
vulcan	вулкан
vulcan	вулканот
vulcan	вулканска
vulcan	вулкански
moștenit	наследи
moștenit	наследен
curentului	актуелни
curentului	тековната
curentului	моментална
curentului	сегашна
curentului	тековна
destinație	одредиште
destinație	дестинација
hawaii	хаваи
hawaii	хаваите
sunetul	звук
xbox	иксбокс
inca	сеуште
inca	уште
inca	сепак
gama	гама
baby	бебе
baby	орце
baby	душичка
baby	срце
evaluarea	проценка
evaluarea	проценка
evaluarea	оценување
evaluarea	евалуација
cinematografie	кинематографија
danez	дански
danez	данскиот
raportat	пријавена
raportat	пријавени
râurilor	реки
râurilor	риверс
râurilor	реките
paula	паула
paula	пола
acoperiș	кровот
acoperiș	кров
acoperiș	кров
acoperiș	покрив
acoperiș	покривот
conferință	конференција
conferință	конференции
legală	легално
legală	законска
legală	легална
legală	правна
legală	легален
legală	правен
civili	цивили
elisabeth	елизабет
citește	читај
citește	читам
citește	читање
citește	читајте
citește	прочитај
citește	прочитајте
variate	варира
variate	разновидни
bros	браќа
prăbușit	срушена
clasificate	доверливи
clasificate	класифицирани
clasificate	доверливо
pic	pic
pic	пик
administrare	администрација
cereale	зрна
cereale	зрно
cereale	житарици
cereale	жито
cereale	житни
cereale	житарки
cereale	житарици
warren	варен
warren	ворен
parlamentară	парламентарни
parlamentară	парламентарно
parlamentară	парламентарна
parlamentară	парламентарен
ferenc	ференц
pictori	сликари
stein	стајн
basel	базел
doo	ду
trafic	сообраќај
baraj	браната
baraj	брана
absolvent	дипломиран
islamică	исламски
islamică	исламска
derivă	дрифт
balta	понд
balta	барата
balta	локва
aires	аирес
roberts	робертс
kingdom	кралство
kingdom	царство
amândoi	двајцата
statuie	статуа
tennessee	тенеси
toamnă	есента
toamnă	наесен
toamnă	есен
moștenirea	наследство
moștenirea	наследство
oslo	осло
turner	тарнер
adăugate	додадена
adăugate	додаде
adăugate	додадени
adăugate	додадено
adăugate	додаден
beta	бета
aripi	крила
aripi	крилја
aripi	крилца
golf	голф
golf	golf
interzisă	забрането
interzisă	забранета
interzisă	забранети
interzisă	забрането
interzisă	забранети
interzisă	забранета
numirea	назначување
numirea	закажано
numirea	закажување
numirea	назначувањето
contactul	контакт
java	јава
java	java
siberia	сибир
inspector	инспектор
cumva	некако
ocean	оушн
ocean	океан
claudia	клаудија
plăcut	пријатни
plăcut	пријатно
evans	еванс
franceza	французи
franceza	француски
wien	wien
wien	вин
edge	раб
edge	edge
edge	острина
declarație	изјава
declarație	соопштение
declarație	декларација
declarație	прогласување
declarație	декларацијата
discursul	говорот
discursul	говор
alabama	алабама
folosire	употреба
folosire	користење
intrând	влегување
intrând	влегуваме
intrând	влегува
tabel	табела
tabel	маса
indiei	индија
keith	кит
asigurată	осигурани
emise	издаден
emise	издадена
emise	издадени
emise	издадено
manastirea	манастир
louisiana	луизијана
baschet	кошарка
organ	орган
organ	органи
hotelul	hotel
hotelul	хотел
oarecum	донекаде
tranziție	транзиција
distanțe	далечини
cald	згодна
cald	жешка
cald	жешко
cald	жешки
cald	топла
cald	грее
cald	топло
cald	топли
cald	топол
cald	топла
adânc	deep
adânc	длабок
adânc	длабока
adânc	длабоко
adânc	длабоки
salvare	спас
salvare	спасението
salvare	спасение
salvare	спасување
salvare	спас
salvare	спасувачки
vacanță	празнична
vacanță	празнично
vacanță	празник
vacanță	одмор
malta	малта
manifestări	манифестации
fotbalul	фудбал
radical	радикално
radical	радикал
radical	радикални
radical	радикален
radical	радикална
asalt	напад
renault	рено
sierra	сиера
specializate	специјализирана
specializate	специјализирани
specializate	специјализирана
specializate	специјализирани
buenos	буенос
dificultăți	потешкотии
dificultăți	сложеност
dificultăți	тешкотија
dificultăți	потешкотии
dificultăți	тешкотии
râurile	реки
râurile	риверс
râurile	реките
tribuna	трибјун
lapte	млеко
grove	гроув
memoriile	мемоари
memoriile	мемоар
viteze	брзини
clara	клара
vieți	животи
vieți	живота
boemia	бохемија
oferind	нудење
oferind	нудејќи
oferind	нудеше
letonia	латвија
islanda	исланд
hanovra	хановер
hanovra	хановер
hanovra	hannover
rahman	рахман
edinburgh	единбург
hlist	hlist
silva	силва
democratic	демократски
democratic	демократски
democratic	демократска
distinge	разликуваат
vrei	сакаат
strategice	стратешко
strategice	стратешка
strategice	стратешки
strategice	стратегиски
utilizând	користење
utilizând	користејќи
simte	почувствувам
simte	осети
lloyd	лојд
robinson	робинсон
oldenburg	олденбург
controverse	контроверзност
controverse	контроверзија
controverse	контроверзии
lunile	месеци
rase	трки
rase	раси
bordeaux	бордо
lecții	поука
lecții	лекции
jay	џеј
soră	sister
soră	сестра
teste	тестови
teste	испитувања
teste	тестовите
aventuri	авантури
aventuri	доживувања
aventuri	авантура
autorități	властите
autorități	власти
estimare	проценка
estimare	процени
estimare	процена
estimare	проценуваат
comparativ	компаративна
comparativ	споредено
islamice	исламски
islamice	исламска
salt	скокни
salt	скок
salt	скокај
salt	солт
salt	солта
salt	сол
dezvolta	развие
dezvolta	развивање
tensiune	напнатост
tensiune	тензии
tensiune	тензија
tensiune	напон
banda	касета
banda	лента
batman	бетмен
trăiască	live
trăiască	живеј
trăiască	живо
trăiască	лајв
exprimate	гипс
exprimate	искажано
exprimate	изрази
exprimate	изразено
exprimate	изразена
exprimate	изразил
moneda	валута
moneda	валути
moneda	паричка
moneda	монета
instalații	инсталации
romeo	ромео
aruncă	фрли
aruncă	фрлање
conservare	конзервација
conservare	зачувување
matilda	матилда
recentă	неодамнешно
recentă	неодамнешни
recentă	скорешни
recentă	неодамнешна
recentă	неодамнешните
accentul	нагласок
accentul	акцент
trenul	воз
bate	тепале
bate	чука
bate	тепа
bate	бие
propuse	предложени
propuse	предложена
propuse	предложен
manuscris	ракопис
manuscris	ракописи
manuscris	ракописот
tanc	тенк
veliko	велико
zguduit	потресен
zguduit	потресена
zguduit	потресени
zguduit	потресена
zguduit	потресе
bolnav	болно
bolnav	болен
bolnav	болна
bolnav	болни
nguyen	нгујен
afectează	погодува
afectează	влијае
fiice	ќерките
fiice	ќерки
nigeria	нигерија
gust	вкус
gilbert	гилберт
vizuale	визуализација
minnesota	минесота
allah	алах
allah	allah
joan	џоан
latina	латинска
latina	латино
latina	латиница
latina	латински
latina	латина
vila	vila
vila	вила
bor	бор
muncitori	работниците
muncitori	работници
gabrovo	габрово
strategic	стратегиски
strategic	стратешко
strategic	стратешка
strategic	стратешки
strategic	стратегиски
privit	гледал
privit	гледаа
privit	следена
privit	гледаше
dennis	денис
geografia	географија
miami	мајами
lang	ленг
lang	ланг
multumesc	фала
multumesc	благодарам
bugetul	буџет
matthew	матеј
matthew	метју
intervalul	опсег
intervalul	интервал
wisconsin	висконсин
străzile	улици
sunete	звуци
sunete	звучи
cablu	кабел
cablu	кабловска
cablu	кабелска
cablu	кабелски
barajul	браната
barajul	брана
autonom	автономни
autonom	автономен
autonom	автономна
lucas	лукас
justin	џастин
laurent	лоран
lingvistice	лингвистички
northern	северен
northern	северна
zaharia	захарија
astea	овие
astea	oвие
procedura	процедура
procedura	постапка
marx	маркс
lector	предавач
primăvară	пролет
primăvară	пролетни
gândirea	размислување
esențial	основно
esențial	суштински
esențial	основни
consecutive	последователни
navarra	навара
asimov	асимов
carnivore	месојади
carnivore	месојадни
repere	истакнува
repere	потенцира
repere	знаменитости
repere	обележја
repere	пресвртници
cifră	цифрен
singapore	сингапур
interpreta	толкува
interpreta	толкување
acoperire	насловната
acoperire	корица
acoperire	насловна
acoperire	покривањето
acoperire	покриеност
acoperire	покривање
fontsize	fontsize
wells	бунари
wells	велс
pasăre	птица
ocazional	повремени
ocazional	повремено
ocazional	повремено
dedesubt	одоздола
dedesubt	под
dedesubt	испод
dedesubt	подолу
atei	атеистите
fundul	задник
fundul	задникот
fundul	газ
stadiul	бина
stadiul	етапа
stadiul	фаза
transforma	преобрази
transforma	трансформираат
transforma	трансформација
transforma	трансформира
transforma	трансформирање
grădină	градината
grădină	градина
springs	спрингс
detaliate	детално
detaliate	детален
detaliate	детални
detaliate	детална
estimat	проценета
estimat	проценет
derivate	деривати
derivate	изведени
derivate	добиени
derivate	дериват
liban	либан
scaune	столици
scaune	столчиња
scaune	столови
scaune	места
scaune	седишта
regii	кралеви
regii	кралевите
apărând	појавуваат
apărând	бранејќи
apărând	брани
emma	ема
persană	персиска
persană	персиски
doyle	дојл
efectuarea	правење
efectuarea	изведува
organe	органите
organe	органи
organe	орган
organe	органи
surori	сестрите
surori	сестри
goethe	гете
cazimir	казимиров
aug	aug
eforturi	напори
bobby	боби
ring	прстен
sever	север
faze	фази
pielea	кожа
vorbind	зборувајќи
vorbind	говорејќи
apărat	одбрани
apărat	бранеше
mina	мина
pactului	пакт
pactului	пактот
cameron	камерон
revistele	списанија
revistele	магазини
decisiv	решителен
decisiv	решавачки
decisiv	одлучувачки
decisiv	одлучна
sălbatice	диво
sălbatice	диви
sălbatice	див
sălbatice	дива
sălbatice	дивина
definiția	дефиниција
stins	изгаснат
stins	изгаснати
averea	богатство
practicat	вежбал
practicat	вежбаше
practicat	вежбале
dați	дајте
dați	давај
dați	дај
țintă	таргет
țintă	метата
țintă	мета
comunitățile	заедници
nenumărate	безбројни
nenumărate	безброј
vânzare	распродажба
vânzare	продажба
cunoștință	познаник
vărul	роднина
vărul	братучед
mer	mer
automată	автоматски
automată	автоматска
automată	автоматско
refugiați	бегалци
fereastră	прозорец
rector	ректорот
propagandă	пропаганда
dominat	доминираше
dominat	доминираа
crească	расте
crească	растат
rebel	бунтовничка
rebel	бунтовнички
rebel	бунтовник
ccd	ccd
lanțul	синџир
lanțul	ланец
uruguay	уругвај
pascal	паскал
mecanica	механика
mecanica	механичари
iugoslaviei	југославија
damian	дамијан
damian	демијан
roll	roll
roll	ролна
preluarea	преземање
preluarea	превземање
preluarea	преземањето
coadă	редицата
coadă	опашка
coadă	опашката
coadă	опаш
judecător	судија
judecător	судијата
semnează	потпишете
semnează	знак
palermo	палермо
hugh	хју
termică	термичка
laos	лаос
argumentele	аргументи
alexandrescu	александреску
fir	жица
fir	нишка
fir	конец
legiunea	легија
legiunea	легијата
chip	чип
prefect	префектот
coroană	венец
coroană	круна
localizată	лоциран
localizată	лоцирана
localizată	лоцирано
localizată	сместена
localizată	локализиран
triburile	племиња
mon	мон
mon	mon
lisa	лиза
lisa	лиса
platoul	плато
păsările	птиците
păsările	птици
arcul	лакот
arcul	поклонување
arcul	лак
square	квадратен
square	плоштад
square	квадрат
doc	док
încet	побавно
încet	споро
încet	бавно
încet	пополека
încet	полека
call	повик
call	повикај
cerul	sky
cerul	небо
esențiale	основно
esențiale	суштински
esențiale	основни
transferul	пренос
transferul	трансфер
transferul	преместување
transferul	пренесување
creatorul	создавач
creatorul	создателот
creatorul	креатор
creatorul	творец
creatorul	творецот
companiile	претпријатија
companiile	компании
silvia	силвија
silvia	силвија
gibson	гибсон
înconjurată	опкружена
înconjurată	опкружени
înconjurată	опколен
înconjurată	опколени
înconjurată	опкружен
viktor	виктор
adulți	возрасни
adulți	возрасните
adulți	возрасна
adulți	возрасни
adulți	возрасен
nivele	нивоа
estadio	estadio
copertă	насловната
copertă	корица
copertă	насловна
atribuită	доделена
atribuită	доделено
atribuită	доделени
atribuită	доделен
atribuită	назначена
atribuită	назначен
wood	дрво
wood	дрва
abc	abc
geo	гео
coordonatele	координатите
coordonatele	координати
johan	јохан
santos	сантос
gif	gif
armament	поставеност
armament	наоружување
armament	вооружување
credit	кредит
credit	заслуга
simfonia	симфонија
visul	сон
visul	dream
eddie	еди
întreprinderi	претпријатија
entități	ентитетите
entități	ентитети
entități	ентитета
pescuit	рибарството
pescuit	риболов
pescuit	рибарење
proporție	пропорција
opoziția	опозициски
opoziția	опозицијата
opoziția	противење
opoziția	опозиција
jorge	хорхе
frecvența	фрекфенција
frecvența	фреквенција
atribuite	доделена
atribuite	доделено
atribuite	доделени
atribuite	доделен
atribuite	назначена
atribuite	назначен
bursă	стипендија
etaje	ката
etaje	катови
rază	радиус
dragomir	драгомир
reciproc	взаемна
reciproc	заеднички
reciproc	взаемно
extra	екстра
avansate	напредни
avansate	напредно
avansate	напредна
avansate	напреден
trenuri	возови
tratarea	третирање
antena	јадење
antena	антена
umbra	сенка
umbra	сенката
umbra	сенка
umbra	нијанса
vocală	самогласка
omorât	убиена
omorât	убиени
omorât	убивани
omorât	убиен
omorât	убиена
omorât	убиени
omorât	убиено
omorât	уби
omorât	убиен
mărturii	сведочења
mărturii	сведоштва
mărturii	сведочења
mărturii	сведоштва
mărturii	сведоштвото
mărturii	сведочење
mărturii	сведоштво
aaron	ерон
aaron	арон
falls	паѓа
falls	фолс
falls	водопади
figură	фигура
figură	бројка
paraná	paraná
transformare	трансформации
transformare	трансформација
transformare	преобразба
academică	академик
academică	академски
academică	академска
promovează	зајакнување
promovează	boost
promovează	поттик
digitale	дигитални
digitale	дигитална
digitale	дигитален
abbas	абас
grafic	графикон
grafic	графичка
grafic	графички
grafic	табелата
antrenori	тренери
antrenori	патики
contul	сметка
contul	сметката
pedeapsa	пенал
pedeapsa	казни
pedeapsa	казнување
pedeapsa	казна
bancă	банка
bancă	клупа
mei	меј
mei	меи
sevilla	севиља
sevilla	севил
domnule	господине
domnule	сер
definite	дефинирано
definite	дефинирана
definite	дефиниран
definite	дефинирани
pauză	пауза
pauză	пауза
pauză	скрши
allan	алан
seminarul	семинар
săptămâna	недела
săptămâna	седмица
globală	глобална
globală	глобални
globală	глобално
conan	конан
brescia	бреша
sarcini	задачи
sarcini	задачите
circuitul	коло
înfrânt	поразена
înfrânt	поразени
înfrânt	порази
înfrânt	поразен
roxana	роксана
ferrara	ферара
string	низа
string	врвка
string	стринг
julian	џулиан
julian	џулијан
mandatului	мандатот
mandatului	мандат
collins	колинс
ontario	онтарио
valoroase	вредно
valoroase	вредни
pianist	пијанист
reclamă	комерцијално
reclamă	комерцијален
reclamă	реклама
reclamă	комерцијални
reclamă	комерцијална
reclamă	рекламирање
reclamă	рекламирањето
merite	заслуги
merite	заслуги
tong	тонг
neagu	неагу
comunicații	комуникации
manga	манга
indo	indo
marketing	маркетинг
declara	прогласи
montreal	монтреал
ribbentrop	рибентроп
scade	намали
scade	намалување
scade	опаѓање
ton	туна
ton	тон
cheia	клучот
cheia	клуч
romanov	романов
vidin	видин
mecanice	механички
vrh	врх
ascunde	сокриј
ascunde	скриј
mobil	мобилен
mobil	мобилни
mobil	мобиле
sean	шон
schi	скијачки
schi	ски
schi	скијање
schi	скијањето
fondarea	основањето
fondarea	основање
depozite	складишта
depozite	магацини
depozite	депозити
depozite	наслаги
fictiv	фиктивна
fictiv	измислена
fictiv	измислени
aeroport	аеродром
talentul	талент
oklahoma	оклахома
terestră	копнени
terestră	копнен
permisiunea	дозвола
nepoata	внука
nepoata	внуката
nepoata	внука
bătut	претепан
bătut	претепана
bătut	претепани
bătut	тепан
bătut	тепани
pragul	праг
ouă	јајца
ușa	врата
aristotel	аристотел
alpha	алфа
firmă	фирма
atlético	атлетико
liudmila	људмила
contrar	спротивно
sprijină	поддржува
tipărită	печатени
rica	рика
imnul	химни
imnul	химна
chirurgie	операција
chirurgie	хирургија
madison	медисон
icoana	икона
amy	ејми
klaus	клаус
adriana	адријана
pași	чекори
spațial	просторно
legislația	легислатива
legislația	легислативата
legislația	законодавство
butler	батлер
discutat	дискутирано
discutat	разговарано
discutat	разговараа
discutat	дискутираше
inutil	бесцелно
inutil	бесмислено
inutil	бесмислени
inutil	бескорисни
inutil	бескорисна
inutil	бескорисен
inutil	бескорисно
rolling	ролинг
rolling	виткање
explicație	објаснување
explicație	објаснение
ritm	ритамот
ritm	ритам
hudson	хадсон
bursa	bursa
bursa	бурса
bursa	стипендија
nori	облаци
edmund	едмунд
mercedes	mercedes
mercedes	мерцедес
intelectuali	интелектуалци
intelectuali	интелектуален
intelectuali	интелектуалец
intelectuali	интелектуална
intelectuali	интелектуално
împotrivă	против
proprietari	сопственици
protejat	заштитени
protejat	заштитена
protejat	заштитен
protejat	заштитено
ronald	роналд
alin	алин
colective	колективни
colective	колектив
colective	колективна
colective	колективно
colective	колективен
popularitate	популарност
gândit	мисла
gândit	мислата
homo	хомо
homo	хомосексуалец
homo	педер
homo	геј
castle	тврдина
castle	замок
droguri	дрога
droguri	дроги
droguri	дрога
droguri	дрога
willem	вилем
execuție	извршување
execuție	извршувањето
execuție	егзекуција
execuție	погубување
jucând	свирење
jucând	играње
jucând	свири
generat	создадено
succese	успеси
succese	успех
succese	успеси
bratislava	братислава
damasc	дамаск
nuvelă	новела
nuvelă	роман
nuvelă	новела
publica	објави
card	картичка
card	картичката
card	карта
reformei	реформи
reformei	реформа
necunoscute	непознати
necunoscute	непознато
necunoscute	непозната
necunoscute	непознат
filipine	филипините
filipine	филипини
secundară	средно
promis	ветено
promis	ветив
promis	ветена
promis	вети
rin	rin
rin	рајна
incident	инциденти
incident	инцидент
semnificația	значење
semnificația	важност
plecare	поаѓање
plecare	заминување
memorii	мемоари
memorii	мемоар
gândire	размислување
identificate	идентификуван
identificate	идентификувани
identificate	идентификувано
anatomia	анатомија
farmacie	аптека
farmacie	аптека
farmacie	фармација
biți	парчиња
rightarm	rightarm
mexican	мексикански
mexican	мексиканец
mexican	мексиканска
mexican	мексиканско
five	пет
five	петмина
five	five
portrete	портрети
pictate	обоени
pictate	насликал
parcuri	паркс
parcuri	паркови
parcuri	парковите
pozitivă	позитивен
pozitivă	позитивна
pozitivă	позитивно
pozitivă	позитивни
pozitivă	позитив
tipărit	печатени
sângele	крв
marchiz	маркиз
yemen	јемен
cântând	пеам
cântând	пеејќи
cântând	пее
cântând	пеат
cântând	пеење
stiluri	стилови
protejarea	штити
norvegian	норвешкиот
norvegian	норвешки
norvegian	норвешка
împușcat	застрелан
împușcat	истрел
împușcat	погодок
sălbatică	диво
sălbatică	диви
sălbatică	див
sălbatică	дива
sălbatică	дивина
teamă	стравот
teamă	страв
statui	статуи
sâmbătă	саботна
sâmbătă	сабота
profesioniști	професионалци
irlandez	ирско
irlandez	ирци
irlandez	ирски
irlandez	ирец
consilieri	советници
consilieri	советници
consilieri	советници
bunica	прабаба
bunica	баба
bunica	бабата
bunica	бабичка
bunica	баба
bunica	бабо
bunica	баба
bunica	бабичка
lituaniei	литванија
limitate	ограничено
limitate	лимитирана
limitate	ограничена
limitate	ограничен
limitate	ограничени
pereți	ѕидови
pereți	ѕидини
pereți	зидови
perry	пери
sept	септум
distincție	разлика
platformă	платформа
cronici	хронолошки
rugăciune	молитва
luther	лутер
personalitatea	карактер
personalitatea	личност
atelierul	работилница
cook	кувар
cook	кук
tara	земја
tara	држава
tara	кантри
tara	тара
tara	тера
blois	бло
abur	пареа
oleg	олег
respectarea	согласност
respectarea	усогласеност
vama	обичаи
vama	царини
vama	царински
vama	царина
interimar	привремениот
adult	возрасна
adult	возрасни
adult	возрасен
împarte	сплит
împarte	подели
împarte	поделен
împarte	раздели
experimental	експериментални
experimental	експериментален
dir	dir
logica	логика
helsinki	хелсинки
helsinki	хелсиншки
julia	јулија
julia	џулија
julia	julia
mussolini	мусолини
faimos	познат
faimos	познатата
faimos	славна
faimos	позната
faimos	познати
nuntă	венчавка
nuntă	свадба
magdalena	магдалена
anastasia	анастасија
bat	бат
bat	лилјак
bat	лилјаци
bat	палка
apr	apr
mintea	умот
mintea	ум
dmitri	дмитри
dmitri	димитриј
dmitri	димитри
dmitri	димитриј
americanii	американците
americanii	американци
alexei	алексеј
sârb	србин
sârb	србинка
sârb	српски
sârb	српска
sârb	српски
documentul	документ
baba	baba
baba	баба
preocupat	загрижен
preocupat	загрижена
preocupat	засегнати
preocupat	загрижени
brusc	ненадејно
brusc	одеднаш
brusc	наеднаш
brusc	ненадејно
brusc	одеднаш
brusc	изненадно
japonezi	јапонско
japonezi	јапонска
japonezi	јапонски
inspirată	инспирираше
inspirată	инспириран
inspirată	инспирирани
inspirată	инспирирана
paraguay	парагвај
consacrat	осветен
jennifer	џенифер
facto	факто
izolat	изолиран
izolat	изолирана
izolat	изолирано
izolat	изолирани
izolat	изолиран
berg	берг
anulat	откажана
anulat	откажани
anulat	откажано
anulat	откажан
anulat	откажа
anulat	откажаа
anulat	откажани
anulat	откажана
anulat	откажано
anulat	откажа
precizează	наведете
evaluare	рејтинг
evaluare	рангирање
evaluare	проценка
evaluare	оценување
evaluare	евалуација
evaluare	проценка
asediu	опсада
divizat	поделени
divizat	поделено
divizat	поделена
divizat	поделен
divizat	сплит
divizat	подели
divizat	поделен
divizat	раздели
taxe	даноците
taxe	даноци
taxe	давачки
novo	ново
încurajat	охрабри
încurajat	охрабрени
încurajat	охрабрен
enterprise	претпријатие
enterprise	ентерпрајс
inamic	непријателот
inamic	непријател
vehicul	возило
botanică	ботанички
botanică	ботаничка
arma	оружје
arma	пушка
arma	пиштол
diferențele	разлики
servi	служи
servi	служат
servi	сервира
servi	послужи
hanul	гостилница
hanul	ин
presupus	наводно
presupus	наводното
presupus	наводна
presupus	наводни
presupus	наводен
presupus	наводниот
presupus	претпоставува
musulmane	муслимански
musulmane	муслиманско
musulmane	муслиманска
musulmane	муслиман
modificată	модифициран
modificată	променети
modificată	изменета
modificată	изменето
modificată	изменет
modificată	изменето
modificată	изменетиот
modificată	изменет
definitivă	дефинитивниот
definitivă	дефинитивен
rasa	сорта
rasa	раса
rasa	трка
rasa	раса
restaurarea	реставрацијата
restaurarea	реставрација
cafenea	кафуле
cafenea	кафана
cafenea	кафуле
permanente	траен
permanente	трајна
permanente	трајно
permanente	постојана
permanente	постојан
vizibilă	видливо
vizibilă	видлива
vizibilă	видлив
vizibilă	видливи
asociație	здружение
asociație	асоцијација
index	индекс
obișnuită	обичен
obișnuită	обичните
obișnuită	обични
moral	морално
moral	морални
moral	морален
moral	морално
kenneth	кенет
trofee	трофеи
asigurări	осигурување
dispute	спорови
dispute	расправии
portughez	португалски
funcționar	службеничка
funcționar	службеник
haiti	хаити
sindromul	синдром
locație	локација
prezență	посетеност
prezență	присуство
prezență	присутност
prezență	присуство
eugene	еуген
eugene	јуџин
cândva	некогаш
persan	персиска
persan	персиски
sinaia	синаја
traseu	трага
traseu	патека
traseu	траги
traseu	рута
îmbunătățit	подобрен
îmbunătățit	подобрена
îmbunătățit	подобрени
îmbunătățit	подобрено
îmbunătățit	подобрен
îmbunătățit	подобрена
îmbunătățit	зајакната
îmbunătățit	засилен
vinde	продаде
vinde	продавај
vinde	продажба
arhitecturale	архитектонски
arhitecturale	архитектонско
logic	логично
logic	логички
logic	логичка
logic	логика
precizie	прецизност
precizie	прецизност
precizie	точност
precizie	точноста
meyer	мајер
măsoară	измери
măsoară	мерка
măsoară	мера
dom	купола
dom	дом
dom	dom
fame	слава
controlat	контролирана
controlat	контролиран
controlat	контролирани
controlat	контролирано
acționat	дејствуваше
acționat	дејствувал
coleg	колега
coleg	колешка
express	express
express	експрес
amt	амт
nel	nel
baltice	балтичките
mustafa	мустафа
ardere	согорување
ardere	изгорени
ardere	гори
ardere	снимање
ardere	горење
modifică	измени
boeing	ah
boeing	боинг
întoarcere	враќање
cercetătorii	истражувачи
peșteră	пештерата
peșteră	пештера
senat	сенат
senat	сенатот
gay	хомосексуалец
gay	педер
gay	геј
creta	крит
creta	креда
ming	минг
montgomery	монтгомери
egiptean	египетска
egiptean	египетски
variabile	променлива
variabile	променливи
variabile	променливата
variabile	променливи
mediterană	медитерански
mediterană	медитеранска
metale	метал
metale	метали
pană	пердув
pană	перо
bush	грмушка
bush	грмушки
bush	буш
standardele	стандарди
daneză	дански
daneză	данскиот
