katsuura	勝浦
zaupanja	信頼
zaupanja	信頼
tango	タンゴ
tango	丹後
johnston	ジョンストン
nevaren	危険
čudežni	ワンダー
dvorcu	マンション
sorte	品種
sorte	品種
sorte	バラエティ
sorte	変種
volja	ウィル
volja	遺言
bass	バス
bass	ベース
neznana	不明
elena	エレナ
ogledalo	ミラー
grobo	ラフ
grobo	乱暴
grobo	おおよそ
grobo	厳しい
mason	メイソン
vrtov	庭園
stanovanjskih	住宅
stanovanjskih	住宅地
tragedija	悲劇
morrison	モリソン
armenski	アルメニア
slovnica	文法
katherine	キャサリン
konjenica	騎兵
predstavitve	プレゼン
predstavitve	プレゼンテーション
predstavitve	デモ
predstavitve	プレゼン
predstavitve	プレゼンテーション
prisotno	現在
prisotno	present
prisotno	プレゼント
kvantni	量子
proizvod	製品
proizvod	プロダクト
miš	ねずみ
miš	マウス
brad	ブラッド
vsote	合計
generacij	世代
