min	min
sanitat	shëndetësor
sanitat	shëndetin
capturats	kapur
lloret	lloret
leone	leone
official	zyrtar
official	official
official	zyrtare
marcus	marcus
marcus	markus
beca	bursë
beca	burse
alimenta	ushqehet
alimenta	ushqen
avantpassats	paraardhësit
avantpassats	stërgjyshërit
bonaparte	bonaparti
dimissió	dorëheqjen
dimissió	dorëheqja
dimissió	dorëheqje
cames	kembet
cames	këmbët
cames	këmbë
superat	kaluar
superat	kaloi
superat	kaluan
superat	kalonin
jon	jon
hereus	trashëgimtarët
hereus	trashëgimtarë
enregistraments	regjistrime
enregistraments	regjistrimet
euro	evro
euro	euron
euro	euro
armenis	armenë
armenis	armenët
armenis	armenëve
vins	verërat
mirada	shikim
prince	princi
prince	prince
prince	princ
catolicisme	katolicizmin
afecten	prekë
afecten	ndikojnë
afecten	ndikoj
iniciatives	nismat
iniciatives	iniciativat
iniciatives	nisma
fila	rresht
fila	rreshti
connexions	lidhjet
dignitat	dinjitet
dignitat	dinjiteti
flores	flores
cartell	poster
cartell	afishe
fetge	mëlçi
fetge	mëlçinë
fetge	mëlçia
fetge	mëlçisë
marx	marksi
ciu	ciu
jerarquia	hierarkinë
leonard	leonard
emprendre	ndërmarrë
emprendre	ndërmarrin
collins	collins
oratori	oratorisë
urbanisme	urbanizmit
escrivint	shkrimi
escrivint	shkruan
escrivint	shkrim
manageryears	manageryears
danubi	danubit
danubi	danub
danubi	danubi
aplicat	aplikoi
aplicat	aplikuar
aplicat	aplikohet
paquets	paketat
paquets	paketa
caixes	kutitë
caixes	kuti
lentament	ngadalë
lentament	ngadale
suplement	suplement
suplement	shtesë
accessible	arritshme
salons	sallat
salons	salla
filadèlfia	filadelfia
especialistes	specialistë
especialistes	specialistët
hardy	hardy
hudson	hudson
hudson	kristaq
combinar	kombinojnë
amir	amir
infraestructura	infrastrukturën
infraestructura	infrastrukturë
infraestructura	infrastruktura
olor	aroma
olor	hund
olor	ere
olor	erë
prix	prix
banys	banjot
holandès	hollandez
holandès	hollandeze
holandès	holandeze
estrenat	lirohet
estrenat	lëshuar
estrenat	liruar
ibèric	iberik
harris	harris
mortal	vdekjeprurës
mortal	vdekjeprurëse
mortal	vdekjeprures
mortal	vdekshëm
mortal	vdekshme
servit	shërbeu
servit	shërbyer
servit	shërbente
servit	shërbehet
elionor	eleanor
anàlisis	statistikat
gal	gal
chen	chen
chen	cen
chen	çen
trans	trans
anunci	njoftim
anunci	lajmërim
exposat	ekspozohet
exposat	ekspozuar
compressió	kardiak
dilluns	henen
dilluns	henes
dilluns	mondi
editada	redaktuar
editada	redaktohet
examen	provim
examen	provimin
examen	provimi
rudolf	rudolf
nicolás	nicolás
viscut	jetonin
viscut	jetova
viscut	jetoi
viscut	jetonte
viscut	jetuan
cama	kembe
cama	këmbën
cama	kemba
cama	këmba
cama	këmbë
paquet	pakoja
paquet	pako
paquet	paketë
paquet	pakete
paquet	paketa
sergi	serxhio
sergi	sergej
transforma	transformuar
transforma	transformojë
transforma	transformohet
morfologia	morfologji
bru	brun
èmfasi	theksi
èmfasi	theks
tierra	tierra
autopista	autostrada
autopista	autostradës
autopista	autostradë
autopista	autostrade
rebuda	mori
bonet	bonet
huracà	uragani
huracà	uraganit
huracà	uragan
margaret	margaret
desastre	katastrofe
desastre	fatkeqësi
desastre	katastrofë
protector	mbrojtësi
protector	mbrojtës
estructural	strukturore
estructural	strukturor
defensiva	mbrojtëse
defensiva	mbrojtes
entrat	hynë
entrat	hyre
entrat	hyri
conscient	vetëdije
conscient	vetëdijshëm
conscient	ndërgjegjshëm
conscient	ndërgjegjshme
capitals	kryeqytetet
sensible	ndjeshëm
criminal	penale
criminal	kriminel
criminal	krimineli
criminal	kriminele
criminal	kriminale
warner	qortues
warner	paralajmërues
humits	lagësht
bank	bankë
bank	banka
bank	bank
essència	thelb
essència	esenca
essència	thelbi
essència	esenciale
franges	bira
vectors	vektorët
bit	bit
gustav	gustav
decorats	dekoruar
decorats	zbukuruar
decorats	zbukurohet
fans	fansa
fans	fansat
fans	admiruesit
domina	mbizotëron
josef	josef
bas	bas
esclau	skllevër
esclau	skllave
esclau	skllav
esclau	skllavi
tebes	teba
hms	hms
ajudat	ndihmoi
setena	shtati
setena	shtatë
setena	shtata
maduresa	pjekurinë
maduresa	pjekurisë
maduresa	maturim
maduresa	pjekuri
schmidt	schmidt
condemna	mallkimi
condemna	dënon
reuneix	grumbullon
construeix	ndërto
anatòlia	anatoli
bany	banjo
bany	banja
bany	banjoja
bany	banjë
estimació	vlerësojnë
barba	mjekra
barba	mjekër
barba	mjekërr
barba	mjekrën
barba	mjekrra
exportació	eksportit
exportació	eksporti
notre	notre
anatomia	anatomisë
codificació	gërmave
jurament	betimi
jurament	betim
venjança	hakmarrja
venjança	hakmarrje
venjança	hak
venjança	hakmarrja
mercenaris	mercenarët
mercenaris	mercenarë
alep	alepo
medicaments	ilaçet
habitacions	dhoma
habitacions	dhomat
tija	burojnë
exclusiva	ekskluzive
integrant	integrimi
contractat	punesuar
contractat	punësuar
sumatra	sumatra
scala	skala
passatge	fragmenti
passatge	kalim
passatge	kalimi
veïnat	lagjia
veïnat	lagje
recuperat	shëruar
registrat	rregjistruar
registrat	regjistruar
relatiu	relative
next	tjetër
next	tjetra
next	tjetri
next	tjeter
next	next
proporcional	proporcional
proporcional	proporcionale
pisa	pisa
dependent	varur
esperant	pritje
esperant	pret
esperant	pritja
esperant	pres
esperant	presim
cine	cine
gonzalo	gonzalo
característics	karakteristike
incendis	zjarre
incendis	zjarret
sony	sony
kurt	kurt
ibm	ibm
suggerir	sugjerojnë
suggerir	sugjeroj
sou	paga
sou	pagë
sou	rrogë
sou	page
sou	rroga
focs	fishekzjarrët
dividits	ndarë
preservació	ruajtja
thompson	thompson
thompson	tomson
thompson	tomsoni
oportunitats	mundësitë
cook	kuzhinier
cook	kuk
cook	çok
cook	kuzhinieri
eugeni	juxhin
eugeni	eugen
eugeni	eugene
assistents	pranishmit
assistents	pjesmarrës
assistents	pjesëmarrësit
targetes	letra
targetes	karta
targetes	letrat
targetes	kartat
latitud	gjerësi
concentracions	përqendrimet
caçadors	gjuetarët
catherine	katerina
catherine	catherine
uganda	uganda
reglament	rregullore
residir	banojnë
beguda	pije
beguda	pi
beguda	pish
beguda	pini
beguda	pija
duració	kohëzgjatja
duració	zgjatja
consolidació	konsolidimin
neolític	neolitike
determinació	vendosmërinë
determinació	vendosmëri
determinació	vendosmëria
elevades	ngritur
pep	pep
combinat	kombinuar
silvestre	silvestre
facció	fraksion
sultanat	sultanate
folre	rreshtim
carlota	charlotte
estels	yje
esclavitud	skllavëri
esclavitud	skllavëria
paleolític	paleoliti
àtom	atomi
àtom	atom
segòvia	segovia
ortega	ortega
ramírez	ramirez
dinosaures	dinosaurët
immediata	menjëhershëm
poissons	poissons
envolten	rrethojnë
envolten	rrethues
esquadra	skuadër
esquadra	skuadra
esquadra	skuader
levi	levi
dead	vdekur
dead	dead
homònim	eponymous
guipúscoa	gipuzkoa
brut	brutus
lang	lang
lang	leng
clans	shqipetareve
tubs	tuba
penes	dhimbjet
penes	brengat
celebracions	festime
celebracions	festimet
accidents	aksidentet
accidents	aksidente
entrant	fillestar
fix	fiksuar
fix	fiks
fix	fikse
domènech	domènech
privilegi	privilegji
privilegi	privilegj
càlculs	llogaritje
càlculs	llogaritjet
acompanyament	pad
acompanyament	shoqërimin
montenegro	montenegro
descàrrega	shkarko
descàrrega	shkarkoni
descàrrega	shkarkimi
realista	realistë
realista	realiste
realista	realist
ras	ras
angel	engjell
angel	engjëlli
angel	angel
angel	engjëll
handbol	hendboll
handbol	hendbollit
mercedes	mercedes
bizanci	bizantit
hondures	hondurasi
malawi	malavit
primari	kryesor
primari	parësore
primari	primare
primari	primar
primari	parësor
mobilitat	lëvizshmërinë
racó	këndi
racó	cepi
racó	qoshe
racó	qoshja
racó	cep
canet	canet
troia	trojës
troia	troy
gats	macet
homer	homeri
homer	homer
homer	homerin
costaneres	bregdetare
costaneres	bregdetar
poderosa	fuqishëm
poderosa	fuqishem
sàhara	sahara
tabac	duhanit
tabac	duhan
tabac	duhani
metropolitan	metropolitane
pics	plumbat
pics	fishekë
pics	plumba
pics	majat
pronunciat	shqiptohet
fiable	besueshëm
fiable	besueshme
montpeller	montpellier
assassí	vrasësi
assassí	vrasëse
assassí	vrases
assassí	vrasës
precipitacions	shirat
eficiència	efikasitetin
eficiència	efektshmërinë
eficiència	efikasitet
entesa	mirëkuptimi
entesa	mirëkuptim
entesa	kuptuarit
entesa	mirkuptim
stanford	stanford
info	info
info	informacione
virgili	virgil
classic	klasik
classic	klasike
classic	classic
cràter	krater
suprema	supreme
suprema	suprem
antologia	antologjia
franquícia	ekskluzivitetin
declaracions	deklarime
declaracions	deklarata
declaracions	deklarimet
declaracions	deklaratat
mecànic	mekaniku
mecànic	mekanik
mecànic	mekanike
explorar	eksploruar
hereva	trashëgimtare
wei	vei
diferencial	diferenciale
esplendor	shkëlqimin
baker	baker
turistes	turistet
turistes	turistët
turistes	turistë
calcària	gëlqerorëve
revela	zbulon
leiden	leiden
limitacions	kufizimet
consola	konsolë
partició	ndarja
postura	qendrimi
postura	qëndrimi
tribunals	gjykatave
tribunals	gjykatat
significativament	ndjeshëm
conreus	ara
respostes	përgjigjet
respostes	përgjigjet
respostes	përgjigjet
conservadors	konservatorët
candidatures	propozimet
candidatures	propozime
biol	biol
mariners	marinarë
mariners	detarë
suportar	duroni
suportar	durosh
horari	planifikimi
horari	orar
horari	orari
annexió	aneksimi
kurdistan	kurdistanit
devoció	përkushtimi
devoció	devotshmëri
devoció	përkushtim
devoció	përkushtimin
kent	kent
remei	ilaçi
remei	shërim
remei	ilaç
portals	portaleve
melodies	melodi
mixta	përzier
mixta	përzierë
mixta	përziera
mosaic	mozaik
proa	harku
proa	hark
auxiliars	ndihmëse
desenes	dhjeta
desenes	dhjetra
desenes	dhjetëra
agnès	agnes
evans	evans
utrecht	utrecht
infeccions	infeksioneve
explotar	shpërthen
explotar	shpërthejnë
explotar	shpërthejë
lliurement	lirisht
olivier	olivier
successives	njëpasnjëshme
complement	plugin
cornellà	cornellà
estesa	shtrirë
slam	përplas
graham	graham
prosperitat	mbarësi
prosperitat	begati
prosperitat	mirëqenie
prosperitat	begatia
prosperitat	prosperitet
savi	urti
savi	urtë
andes	ande
cantàbria	cantabria
gutiérrez	gutiérrez
gutiérrez	gutierrez
belgrad	beograd
belgrad	beogradi
belgrad	beogradit
maestrat	maestrat
ingredients	përbërësit
advocats	avokatë
advocats	avokatët
acadèmics	akademikë
acadèmics	akademikët
mills	mills
fuga	arratisja
fuga	arratisje
fuga	ikje
rom	rom
rom	rum
miralles	miralles
louise	louise
hospitals	spitale
hospitals	spitalet
obligació	detyrim
obligació	obligim
obligació	detyrimi
esteban	esteban
trastorn	çrregullimi
trastorn	çrregullim
sara	sara
villanueva	villanueva
panzer	panzer
imam	imam
oslo	oslo
prevenció	parandalimin
prevenció	parandalimi
mussolini	musolini
bombarders	bombarduesit
comparar	krahaso
comparar	krahasoni
comparar	krahasohet
comparar	krahasohen
vespre	mbrëmje
vespre	mbremje
vespre	mbrëmja
vespre	mbramje
morales	morales
jeff	xhef
jeff	jeff
descans	pushim
descans	tjert
descans	pushoni
descans	pushim
descans	tjerat
actuant	aktrim
actuant	aktrimi
tallada	gdhendur
radar	radar
radar	radari
radar	radarin
sopar	darkë
sopar	darka
sopar	darke
contingent	kontigjenti
contingent	kontigjent
jaén	jaen
johan	johan
lisa	lisa
lisa	liza
plasma	plazma
ratolí	mouse
ratolí	miu
folk	folk
basilea	basel
corbes	kthesat
corbes	kthesa
correcció	korrigjim
àvia	gjyshja
àvia	gjyshe
cooper	kuper
cooper	cooper
internacionalment	ndërkombëtarisht
internacionalment	ndërkombëtarët
mostrat	tregohet
mostrat	shfaqur
mostrat	treguar
mostrat	shfaqur
néta	mbesë
néta	mbesa
folklore	folklorike
folklore	folklorit
gant	ghent
gant	gent
seine	sena
seine	seine
raïm	rrush
raïm	rrushi
solo	solo
hot	nxehtë
hot	nxeht
hot	hot
hot	seksi
administracions	administratave
conqueridor	pushtuesi
enciclopèdic	encyclopedic
herman	herman
werner	werner
rituals	ritualet
rituals	ritet
rituals	rituale
discursos	fjalime
discursos	fjalimet
bust	bust
amfibis	amfibe
sts	shenjtëve
desenvolupats	zhvilluara
desenvolupats	zhvilluar
mikhaïl	mikhail
mikhaïl	mihail
detenció	arrestim
detenció	arrestimi
detenció	arrest
detenció	paraburgim
detenció	paraburgimi
detenció	paraburgimit
entrevistes	intervista
entrevistes	intervistat
audiovisual	audiovizive
subespècie	subspecies
sofre	squfur
aïllada	izoluar
manhattan	manhattan
manhattan	manhatan
hopkins	hopkins
haia	haga
haia	hagë
haia	hagës
melbourne	melbourne
sociologia	sociologjisë
estratègic	strategjikë
estratègic	strategjike
estratègic	strategjik
teva	jotja
teva	juaja
teva	tuajat
teva	yti
jerry	xherri
jerry	xheri
jerry	jerry
namíbia	namibinë
ramos	ramos
teòrica	teorike
timbre	zile
timbre	zilja
timbre	kambana
timbre	belli
timbre	bell
acumulació	grumbullimi
acumulació	akumulimit
magatzems	depot
magatzems	magazina
mali	mali
banyoles	banyoles
pous	uells
pous	puset
pous	puse
taverna	taverna
husayn	husayn
montblanc	montblanc
connecticut	connecticut
impost	tatimi
impost	taksat
impost	taksa
impost	taksë
aurora	aurora
deux	deux
darwin	darvinit
institucional	institucional
institucional	institucionale
coets	raketat
romàntic	romantike
romàntic	romantik
precipitació	reshje
executiva	ekzekutiv
executiva	ekzekutive
eure	eure
matthew	matthew
matthew	mateu
acb	acb
intermedi	mesatare
beatriu	beatrice
corregir	saktë
corregir	korrekte
corregir	korrekt
corregir	sakt
traspàs	transferim
traspàs	transferimi
traspàs	transferi
traspàs	transfer
compartit	ndahet
compartit	përbashkët
compartit	ndau
pero	pero
desapareguda	mungon
butlletí	buletini
hercegovina	herzegovina
hercegovina	hercegovina
hercegovina	hercegovinë
groenlàndia	greenland
inca	inka
maquinari	hardware
oceania	oqeania
studio	studio
studio	studion
nadiu	vendase
nadiu	amtare
nadiu	vendas
shadow	hije
shadow	hija
obtinguts	përftuar
indo	indo
faccions	fraksioneve
faccions	fraksione
faccions	fraksionet
aixeca	heq
zoologia	zoologji
efectius	trupat
efectius	trupa
efectius	trupave
toro	toro
campanes	këmbanat
extraordinària	jashtëzakonshëm
basar	pazari
vuitè	teti
vuitè	teta
ron	ron
migració	migrimi
migració	migracionit
migració	emigrimi
antropologia	antropologji
princeton	princeton
carro	karrocë
carro	shporta
estatuts	statutet
assignat	caktuar
assignat	caktohet
solana	solana
precisa	saktë
turner	turner
palaus	pallateve
palaus	pallate
palaus	pallatet
auge	auge
mesopotàmia	mesopotami
pradesh	pradesh
tiges	buron
tiges	rrjedh
vestuari	kostumet
vestuari	kostume
renúncia	dorëheqjen
renúncia	dorëheqja
renúncia	dorëheqje
caigut	pali
caigut	rënë
caigut	rene
disset	shtatëmbëdhjetë
controlada	kontrolluar
controlada	kontrollohen
controlada	kontrollohet
controlada	kontrolluara
circumferència	rrethi
epidèmia	epidemi
prehistòria	parahistoria
transversal	kapërcejnë
salvatges	egërsirat
salvatges	egërsira
moderat	moderuar
moros	kënetat
moros	moros
abolició	shfuqizimin
guillaume	guillaume
meca	mekë
meca	meka
tve	tve
visitant	vizitore
visitant	vizitor
dolç	sweet
dolç	ëmbël
dolç	embel
géry	géry
larry	lari
larry	larry
larry	leri
patent	patente
twitter	twitter
wayne	wayne
cerimònies	ceremonitë
fictici	imagjinar
escates	terezi
vocabulari	fjalorin
vocabulari	fjalor
pila	grumbull
pila	grumbulli
dick	dick
dick	palla
dick	dik
edimburg	edinburg
narbona	narbonne
motocicletes	motoçikleta
arsenal	arsenal
arsenal	arsenali
transformacions	transformime
desapareix	zhduket
acusació	akuzë
delictes	krimesh
delictes	krimeve
delictes	krimet
delictes	krime
afirmació	pohimi
afirmació	afirmimin
ortiz	ortiz
avenç	rrugëdalje
cia	cia
cia	cla
cia	cia
cia	cla
pink	pink
pink	roze
pink	rozë
iglesias	iglesias
dave	dave
ventre	mitra
ventre	barkut
hannover	hanover
submarí	nëndetëse
submarí	nëndetësja
llibertats	liritë
servidors	server
excepcions	përjashtime
jamaica	xhamajka
letó	letoneze
evolucionar	zhvillohet
evolucionar	zhvillohen
generat	gjeneruar
ken	ken
observador	vëzhguesi
observador	vëzhgues
observador	vëzhguesit
tiberi	tiberius
fotogràfica	fotografike
controlat	kontrolluar
controlat	kontrollohen
controlat	kontrollohet
controlat	kontrolluara
almeria	almería
quintana	quintana
valoració	vlerësimi
dany	dany
interaccions	ndërveprimet
pesant	rëndë
pesant	rende
atlanta	atlanta
substitueix	zëvendëso
substitueix	zëvendësojë
recomana	rekomandoj
recomana	rekomandojmë
recomana	rekomandojnë
recomana	rekomandon
houston	houston
houston	hjuston
singapur	singapor
deure	detyrë
deure	detyre
deure	detyrën
deure	detyra
assíria	asiria
aprenent	nxenes
aprenent	nxënës
aprenent	nxënësi
rubí	ruby
rubí	rubi
northern	veriut
northern	veriore
northern	verior
sul	sul
fritz	fritz
marxista	marksiste
edgar	edgar
fallida	falimentimin
fallida	falimentimi
fallida	falimentimit
pietat	meshire
pietat	mëshirë
pietat	mëshira
phil	fili
phil	phil
phil	fil
phil	fill
andreas	andreas
somme	somme
joies	bizhuteri
joies	bizhuteritë
joies	xhevahire
antecedents	sfond
antecedents	sfondi
antecedents	sfondin
ryan	ryan
ryan	rajan
versalles	versailles
murals	murale
pica	pike
pica	piken
pica	pikes
búlgar	bullgare
búlgar	bullgarë
búlgar	bullgar
deutsche	deutsche
albacete	albacete
repúbliques	republikat
susan	suzana
susan	suzan
susan	susan
convidats	mysafirë
convidats	mysafirët
convidats	mysafire
bàrbara	barbara
infern	ferri
infern	ferr
infern	ferrit
revolucionaris	revolucionarëve
revolucionaris	revolucionarët
lost	humbi
lost	humba
lost	humbe
lost	humbur
mini	mini
operar	operojë
operar	operojnë
filòsofs	filozofët
rosario	rosario
buits	boshllëqe
salvat	shpëtuar
salvat	ruajtur
salvat	shpëtoi
salvat	shpëtuan
salvat	shpëtuam
carbonell	carbonell
permanents	përhershme
permanents	përhershëm
modest	modest
modest	modeste
segments	segmentet
mansur	mansur
nikolai	nikolaj
nikolai	nikolai
nikolai	nikolaj
nikolai	nikolai
marcos	markos
inter	inter
especialitzats	specializuar
especialitzats	specializuara
geologia	gjeologji
avaluar	vlerësojmë
avaluar	vlerësoni
maragall	maragall
banca	banca
banca	stoli
banca	stol
llars	familjet
gall	gjeli
gall	gjel
desnivell	shpat
aristocràcia	aristokracia
piscina	bilardo
piscina	pishina
piscina	pishinë
piscina	pool
atles	atlas
imdb	imdb
allegro	allegro
clars	pastro
clars	qart
clars	qartë
nuevo	nuevo
artesans	zejtarët
suplent	alternativ
participacions	aksionet
participacions	aksione
participacions	shpërndarje
participacions	ndan
participacions	ndarjet
marató	maratona
marató	maratonë
marató	maratonën
ànimes	shpirtrave
ànimes	shpirtrat
ànimes	shpirtërat
ànimes	shpirtra
cec	qorr
cec	verbër
secretària	sekretare
secretària	sekretar
secretària	sekretari
feliç	gezuar
feliç	gëzuar
exiliats	mërguarve
distribuïts	shpërndahet
distribuïts	shpërndahen
distribuïts	shpërndarë
marino	marino
multimèdia	multimediale
creades	krijoi
creades	krijuar
ipa	ipa
enclavament	enklavën
ferrara	ferrara
mag	magjistar
mag	magi
mag	mag
act	sillu
act	akti
act	vepro
act	veper
autobusos	autobusë
ovelles	delet
ovelles	dele
ovelles	delja
confirma	konfirmoni
mariner	marinari
mariner	marinar
matilde	matilda
gloria	gloria
logotip	logo
logotip	logon
infinit	pafund
infinit	pakufi
infinit	pafundësi
jason	jason
guerrer	luftetar
guerrer	luftetari
guerrer	luftëtari
guerrer	luftëtare
guerrer	luftëtar
pineda	pineda
comandants	komandantët
comandants	komandantë
comandants	komandantëve
perfecta	perfekt
perfecta	perfect
perfecta	perfekte
perfecta	përsosur
charlotte	charlotte
actualització	përditësimi
actualització	përditësim
rectes	drejt
rectes	drejtë
cromosoma	kromozom
diccionaris	dictionaries
coca	kola
coca	coca
inundacions	përmbytjet
inundacions	përmbytjen
inundacions	përmbytje
inundacions	përmbytja
sanz	sanz
salts	zhytje
salts	zhyten
salts	kërcen
salts	hidhet
gregorio	gregorio
zur	zur
milícia	milicia
helen	helena
helen	helen
sergent	rreshter
sergent	kapter
ambulància	ambulancë
ambulància	ambulanca
ambulància	ambulancën
ambulància	ambulance
excavació	gërmimi
excavació	gërmimet
barons	baronët
kosovo	kosovë
kosovo	kosovo
kosovo	kosova
kosovo	kosovës
emès	lëshohet
emès	lëshohen
emès	lëshuar
gots	gotët
vaca	lop
vaca	lopë
vaca	lopa
econòmicament	ekonomikisht
sebastián	sebastian
sebastián	sebastiani
ciment	çimento
ciment	çimentos
cadira	karrige
cadira	karrike
transbordador	trageti
transbordador	traget
làser	lazer
làser	laser
claudio	claudio
claudio	klaudio
coloració	udhëzim
progressiva	progresive
quaderns	fletore
libro	libro
evita	evita
adhesió	anëtarësimin
adhesió	anëtarësimi
adhesió	anëtarësim
fum	tym
fum	tymi
fum	tymin
fum	cigare
niu	fole
niu	nest
niu	foleja
consolat	konsullatë
consolat	konsullata
consolat	konsullatën
masters	mjeshtra
masters	mjeshtrat
wallace	wallace
amos	amos
amos	mjeshtra
amos	mjeshtrat
pretendent	kërkues
comissionat	komisioner
comissionat	komisar
comissionat	komisari
comissionat	komisioneri
dotzena	dymbëdhjetë
dotzena	twelfth
significatius	domethënëse
mon	mon
vendrell	vendrell
erosió	erozioni
verona	verona
sabor	shija
sabor	shije
civilitzacions	qytetërimeve
hugh	hug
lara	lara
simpson	simpson
implementació	zbatimi
implementació	zbatim
implementació	zbatimin
implementació	realizimi
implementació	realizim
guido	guido
robinson	robinson
cabells	qime
cabells	floku
cabells	flokë
cabells	flokët
cabells	floket
cabells	floke
bemoll	banesë
bemoll	dur
arturo	arturo
divuit	tetëmbëdhjetë
acabats	perfundon
bobby	bobi
bobby	bobby
consonant	bashkëtingëllore
revelació	shpallje
revelació	shpallja
estrasburg	strasburg
estrasburg	strasbourg
inventar	shpifin
inventar	shpik
raúl	raul
ibáñez	ibáñez
complutense	complutense
ajuntaments	bashkitë
ajuntaments	komunat
ajuntaments	komuna
adolfo	adolfo
budisme	budizmin
cretaci	cretaceous
volant	fluturon
volant	fluturoj
sostingut	fiks
sostingut	sharp
sostingut	pesuar
bakr	beker
oceans	oqeane
oceans	oqeanet
consorci	konsorciumi
consorci	konsorcium
otan	nato
honda	honda
pastures	kullosat
empat	tie
empat	kravata
empat	lidhe
empat	kravatë
desena	dhjetën
desena	dhjeta
aguda	akute
pastors	barinjtë
pastors	barinjve
pastors	barinj
telecomunicacions	telekomunikacioneve
precursor	pararendës
morris	morris
morris	moris
side	krah
side	anë
side	side
consentiment	pëlqimin
consentiment	pëlqim
pàdua	padovës
charente	charente
paradís	parajsa
paradís	parajse
paradís	parajsë
paradís	paradise
paradís	xhenetit
paradís	xhenneti
caserna	barakë
caserna	kazermë
caserna	kazerma
caserna	kazermat
caserna	barakat
presentant	paraqitjen
laos	laos
kara	kara
respectius	respektive
respectius	përkatëse
llegendari	legjendar
llegendari	legjendare
fires	panaire
adaptada	përshtatur
cristall	kristal
cristall	kristali
cristall	kristalin
cristall	crystal
duo	dyshja
musa	musa
musa	muse
transparent	transparente
transparent	transparent
olimpíada	olimpiada
olimpíada	olimpiadën
olimpíada	olimpiadës
acusacions	akuzat
auguste	auguste
potassi	kalium
espiral	spirale
feminista	feministe
einstein	ajnshtajn
einstein	ajnshtajni
einstein	einstein
bitllets	biletat
bitllets	bileta
escolta	dëgjo
warren	warren
forçat	detyroi
forçat	detyruar
quentin	quentin
garantia	garantuar
garantia	garanci
eficient	efikase
eficient	efikas
trilogia	trilogji
electrodomèstics	pajisje
electrodomèstics	paisjet
consecutives	radhazi
gironès	platja
forjat	farkëtuar
forjat	trilluar
palerm	palermo
mòduls	modulet
publ	publ
sorprenent	befasuese
sorprenent	habitshme
arrebossat	godasin
nenes	vajzat
nenes	vajza
xbox	xbox
correus	emailet
llenç	piktur
operatius	operative
operatius	operativ
operatius	operacionale
operatius	operacional
operatius	veprues
atòmica	atomike
exiliat	mërguar
compliment	përputhje
vladimir	vladimir
adolescent	adoleshente
adolescent	adoleshent
mònaco	monako
mònaco	monaco
estalvis	kursimet
estalvis	kursimeve
estalvis	kursime
estalvis	kursimi
erik	eriku
erik	erik
firma	firma
firma	nënshkrimi
firma	firmë
firma	firmën
balcans	ballkan
balcans	ballkani
conversa	bisedë
conversa	muhabet
conversa	bisede
conversa	biseda
conversa	bashkëbisedim
somnis	ëndërrat
somnis	endrrat
somnis	enderra
somnis	ëndrra
somnis	ëndrrat
müller	müller
palmas	palmas
castilla	castilla
yusuf	yusuf
yusuf	jusuf
bari	bariumi
bari	bari
estratègies	strategjitë
estratègies	strategji
heidelberg	heidelberg
concedida	dhënë
homo	homo
margarita	margarita
minories	pakicat
minories	pakicave
minories	pakica
minories	minoriteteve
minories	minoritetet
esprint	sprint
conducció	vozitje
xocolata	cokollata
xocolata	cokollate
xocolata	çokollata
xocolata	çokollatë
disposicions	dispozitat
rèptils	zvarranikët
acompanya	shoqëron
edita	ndrysho
edita	redakto
decoratius	dekorative
noció	nocion
vacant	vakant
descripcions	përshkrime
disminueix	pakësohet
bossa	çantë
bossa	qese
bossa	begu
bossa	thes
stark	stark
