rousseau	rousseau
perse	perzije
diesel	diesel
diesel	dizel
phoenix	feniks
phoenix	phoenix
valley	dolini
valley	valley
valley	dolinu
valley	dolina
valley	doline
lópez	lopez
erik	erik
comprennent	uključuju
délai	odgoda
délai	odgodi
délai	kašnjenje
délai	odgoditi
magic	magic
magic	čarolija
magic	magija
solidarité	solidarnost
solidarité	solidarnosti
peugeot	peugeot
piémont	piedmont
successifs	uzastopnim
chapeau	šešire
chapeau	kape
chapeau	šeširi
chapeau	hat
chapeau	kapa
chapeau	šešir
vénus	venera
régiments	pukovnije
portait	nosili
portait	nosio
portait	nosila
comptant	gotovina
comptant	cash
ted	ted
uniforme	pozornici
uniforme	odore
uniforme	uniforme
uniforme	uniforma
uniforme	uniforme
uniforme	odora
uniforme	uniformu
serment	zakletvu
serment	zakletvom
serment	zakletva
libéraux	liberali
libéraux	liberalne
libéraux	liberalni
libéraux	liberalna
éliminé	odlagati
éliminé	eliminiran
portugaise	portugalski
edition	izdanje
supérieurs	nadređeni
scandale	skandal
débarquement	slijetanja
débarquement	iskrcavanje
débarquement	slijetanje
jésuites	isusovci
jésuites	jezuit
wta	wta
sebastian	sebastian
sebastian	sebastiana
ducs	dukes
ducs	vojvode
alphabétique	abecednim
juliette	juliette
juliette	juliet
juliette	julija
attribution	pripisivanje
protestants	protestanti
protestants	protestantska
arrestation	uhićenje
arrestation	uhititi
cristal	kristal
cristal	kristalno
cristal	kristalna
cristal	crystal
combinaison	kombinacija
combinaison	kombinacija
taxe	poreza
taxe	porez
radar	radar
radar	radaru
jouée	igrao
malaisie	maleziji
malaisie	malaja
nominations	imenovanja
nominations	termini
nominations	sastanci
nominations	nominacija
terminée	dovršeno
terminée	završena
terminée	završio
terminée	završeno
terminée	završeno
insurrection	ustanak
repas	obroci
repas	jela
repas	obrok
repas	objed
repas	jelo
éthique	etički
éthique	etike
éthique	etika
éthique	etiku
hesse	hesse
bâti	izgrađen
bâti	izgrađena
bâti	izgrađeno
bâti	izgradio
halle	halle
luxe	deluxe
luxe	luksuz
luxe	luksuzni
estimée	procjena
maîtresse	gospodarica
lorenzo	lorenzo
grenade	grenada
grenade	nara
grenade	šipka
grenade	granada
grenade	granate
grenade	granata
rob	rob
rob	robe
rob	roba
casablanca	casablanci
dennis	dennis
dennis	denis
mail	mail
mail	pošta
qualifier	kvalifikacije
qualifier	kvalificirati
mobilier	uređen
mobilier	namještaj
mobilier	pokućstvo
compositeurs	skladatelja
compositeurs	tekstopisci
cat	mačak
cat	macka
cat	mačka
cat	cat
bourges	bourgesu
témoigne	svjedočiti
témoigne	svjedoči
strictement	strogo
strictement	striktno
tâches	zadaci
tâches	zadaće
tâches	zadatke
impératrice	carice
impératrice	carica
soccer	nogomet
ressort	proljeće
ressort	proljeća
gère	upravlja
marquer	označi
marquer	marko
marquer	marka
marquer	mark
marquer	rezultat
marquer	ocjena
chartres	chartres
décoré	uređena
décoré	odlikovan
humides	vlažno
humides	vlažna
humides	vlažno
humides	vlažno
humides	vlažna
humides	vlaga
humides	vlažno
humides	mokar
humides	mokro
humides	mokra
humides	mokri
léo	lea
léo	leo
hof	hof
condé	conde
détective	detektiv
cohen	cohen
conçue	zamišljen
conçue	začet
conçue	dizajnirana
conçue	dizajnirani
conçue	osmišljen
conçue	dizajniran
conçue	dizajnirao
sarkozy	sarkozy
pole	polu
pole	poljak
pole	stup
pole	pole
wagner	wagnera
wagner	wagner
devenus	postao
devenus	postala
devenus	postalo
mondes	svjetove
mondes	svjetova
mondes	svjetovi
mondes	svjetsko
wurtemberg	württemberg
truc	stvar
salomon	solomon
barbe	barbe
barbe	bradu
barbe	brada
barbe	bradom
allié	savezničke
allié	saveznika
allié	saveznik
allié	ally
prouver	dokazivanje
prouver	dokazati
dette	duga
dette	dugovi
dette	dug
dream	dream
dream	san
dream	sanjaj
moyennes	prosječan
moyennes	prosječno
moyennes	prosjek
moyennes	prosječni
moyennes	prosječna
moyennes	prosjeka
moyennes	medij
moyennes	srednje
moyennes	srednji
moyennes	srednja
meurthe	meurthe
bibliothèques	knjižnice
bibliothèques	biblioteke
cru	sirova
cru	sirov
cru	sirovi
cru	sirove
cru	sirovo
cru	cru
dessert	desert
dessert	deserta
blake	blake
nationaliste	nacionalističke
nationaliste	nacionalističke
peuplée	naseljena
expert	stručnjak
expert	ekspert
normand	normand
normand	norman
attache	ataše
lourde	teška
lourde	težak
lourde	teški
holmes	holmes
renard	renard
renard	lisac
renard	lisica
renard	fox
esclavage	ropstvo
esclavage	roblje
esclavage	ropstva
esclavage	vezivanje
esclavage	vezanje
video	videozapis
video	video
magnétique	magnetska
magnétique	magnetski
magnétique	magnetsko
mississippi	mississippi
collègues	kolege
collègues	kolegama
collègues	kolege
collègues	suradnici
attire	privlači
attire	privlače
attire	privlačenje
attire	privući
graines	sjemenke
graines	sjeme
graines	seme
graines	sjeme
rébellion	pobune
rébellion	pobuna
rébellion	ustanak
républicaine	republikanac
rtl	rtl
nova	nova
réputé	renomirani
isolées	izolirana
isolées	izolirani
isolées	izolirana
isolées	izoliran
isolées	izolirano
percussions	udaraljke
fixé	popravio
fixé	fiksna
fixé	fiksne
fixé	fiksni
fixé	popravljen
tueur	ubojica
tueur	ubica
envoyés	poslana
envoyés	poslano
galeries	galerije
galeries	galerija
galeries	galerije
galeries	galeriju
provincial	provincijski
évident	očigledno
évident	očito
coûts	košta
coûts	troškove
coûts	troškovi
coûts	cijena
coûts	trošak
coûts	troškovi
auxerre	auxerre
munitions	municija
munitions	streljivo
munitions	municiju
munitions	municija
munitions	streljivo
munitions	municiju
divine	božanski
divine	božansko
warren	warrena
warren	warren
observe	promatrati
bouddhisme	budizam
bouddhisme	budistički
fraction	djelić
présentés	predstavljen
présentés	predstavio
aidé	pomogla
aidé	pomogli
aidé	pomogao
aidé	pomoglo
concepts	koncepti
harmonie	sklad
harmonie	harmonija
harmonie	harmony
harmonie	sloga
magnus	magnus
révélé	otkriveno
révélé	otkriven
révélé	otkrivena
parlementaires	zastupnika
parlementaires	zastupnici
renseignements	informacija
renseignements	podaci
renseignements	informacije
collins	collins
blocs	blokove
blocs	blokovi
voulant	želeći
acheté	kupljen
acheté	kupljeno
acheté	kupljena
acheté	kupljen
acheté	kupljeno
acheté	kupljena
acheté	kupio
acheté	kupila
bolivie	bolivijske
bolivie	boliviji
coupé	coupe
immeubles	građevine
immeubles	zgrade
localement	lokalno
cerf	cerf
cerf	jelen
cerf	srna
cerf	jeleni
cerf	jelen
cerf	jelena
courtes	ukratko
courtes	kratki
courtes	kratko
courtes	kratka
révolutionnaires	revolucionarna
révolutionnaires	revolucionarni
révolutionnaires	revolucionari
oblige	obvezuje
palatinat	porajnje
noces	svadba
noces	vjenčanje
poméranie	pomeraniji
sylvie	sylvia
sylvie	silvija
sylvie	silvia
sylvie	david
sylvie	sylvie
sylvie	suzan
sylvie	susan
posthume	posthumno
posthume	posthumno
wolfgang	wolfgang
reçoivent	primi
reçoivent	primite
bal	bal
bal	prom
bal	matura
câble	kabel
câble	cable
lost	izgubljeni
lost	izgubljena
lost	izgubljeno
lost	izgubljen
johan	johan
cbs	cbs
reconstruit	obnovljen
reconstruit	obnovljena
canaux	kanali
canaux	kanale
canaux	kanali
figaro	figaro
exercer	vježbati
brièvement	ukratko
brièvement	kratko
brièvement	nakratko
implantation	implantaciju
irlandaise	irac
irlandaise	irski
irlandaise	irci
boucle	kopča
boucle	petlja
boucle	petlje
escadre	eskadrila
escadre	wing
escadre	krilo
maçonnerie	zidanje
slovénie	slovenija
correctement	pravilno
piliers	stupove
piliers	stupovi
piliers	stub
piliers	stup
coordination	koordinaciju
talents	talenti
talents	talente
talents	talenti
talents	talent
talents	talenat
diplomatique	diplomatski
doux	slatki
doux	slatko
doux	slatka
doux	milina
doux	nježan
doux	nježno
doux	blaga
doux	blage
doux	blagi
doux	blag
doux	mekani
doux	mekana
doux	meko
doux	mekano
pères	očeve
pères	očevi
pères	tate
pères	očevi
capables	sposoban
capables	sposobno
capables	sposobni
capables	sposobna
partagé	dijeli
partagé	zajednička
partagé	podijelili
partagé	zajedničko
partagé	dijelili
romaines	rimski
romaines	roman
romaines	romane
romaines	rimsko
achevé	dovršeno
achevé	završena
achevé	završio
achevé	završeno
joint	joint
joint	zajedničke
joint	brtva
syndicats	sindikati
nigeria	nigeriji
lou	lou
gaulois	gal
gaulois	galiji
gaulois	galski
gaulois	gali
émilie	emilie
émilie	emili
émilie	emily
convaincu	uvjereni
convaincu	uvjerio
convaincu	uvjeren
nacional	nacional
malades	bolesna
malades	bolestan
malades	bolesno
malades	bolesnik
leonard	leonarda
leonard	leonard
concession	koncesije
hainaut	hainaut
inspirée	inspiriran
inspirée	inspirirala
dérive	drift
eurovision	euroviziji
égyptien	egipatski
naturaliste	prirodoslovac
tort	krivo
tort	pogrešno
juges	suci
juges	sudije
juges	žiri
juges	suce
hms	hms
avantages	prednosti
avantages	beneficije
avantages	prednosti
avantages	povlastice
avantages	pogodnosti
prévention	prevenciju
keith	keith
dommages	oštećenja
dommages	oštećenje
prononce	izgovoriti
eglise	crkva
organique	organsko
organique	organska
organique	organski
impôt	poreza
impôt	porez
impôt	porezi
impôt	poreze
impôt	porez
vengeance	osveta
vengeance	doigravanje
vengeance	osveta
vengeance	osvete
vengeance	osveta
vengeance	osvete
bombardement	granatiranja
bombardement	bombardiranje
bombardement	bombardiranja
bombardement	bombardiranje
guadeloupe	guadeloupe
violoncelle	čelo
impliqué	upleten
impliqué	umiješan
impliqué	uključen
impliqué	uključeni
ancêtre	predak
memorial	spomen
sfondo	sfondo
stage	staž
bros	bros
demain	sutra
nasa	nasa
mensuel	mjesečno
mensuel	mjesečni
équipée	opremljen
équipée	opremljena
équipée	opremljen
équipée	opremljeni
équipée	opremljena
dakar	dakar
souveraineté	suverenitet
profond	duboka
profond	duboko
occitan	okcitanski
spécialisés	specijalizirana
spécialisés	specijaliziran
spécialisés	specijalizirane
spécialisés	specijalizirana
spécialisés	specijalizirani
continuité	kontinuitet
systématiquement	sistematski
systématiquement	sustavno
systématiquement	sistematski
systématiquement	sustavno
intensité	intenzitet
protéines	protein
protéines	proteina
protéines	proteini
protéines	proteini
récent	nedavno
récent	nedavne
récent	nedavna
récent	nedavno
récent	nedavni
hollandais	dutch
hollandais	nizozemski
attentats	napadi
attentats	napada
attentats	bombardiranja
intéressé	zainteresovani
intéressé	zainteresirani
intéressé	zainteresiran
intéressé	zainteresirana
décrire	opisati
décrire	opisi
sauveur	spasitelj
sauveur	spasitelja
sauveur	spasilac
sauveur	spasitelj
sauveur	spasilac
éclairage	osvjetljenje
éclairage	osvjetljenje
éclairage	rasvjeta
betty	beti
betty	betty
haye	haagu
haye	haag
rochefort	rochefort
assurée	osigurano
assurée	osiguran
assurée	osigurani
martinique	martinique
esp	esp
mathématique	matematički
mathématique	matematike
mathématique	matematički
mathématique	matematiku
mathématique	matematika
mathématique	matematiku
mathématique	matematika
ita	ita
baccalauréat	neženja
gonzález	gonzález
gonzález	gonzalez
wikidata	wikidata
dialogues	dijalog
dialogues	dijaloge
passes	prolazi
atlético	atlético
mesurer	mjerenje
mesurer	mjerenje
mesurer	mjerenja
mesurer	mjera
mesurer	mjeri
mesurer	mjere
joachim	joachim
gallois	velški
jupiter	jupitera
jupiter	jupiter
protestante	protestantska
grace	grace
grace	milost
précipitations	padalina
marianne	marian
marianne	marijana
marianne	marianne
bohême	bohemiji
bohême	boemski
sidi	sidi
paire	par
console	konzole
console	konzoli
console	konzola
santos	santos
tombes	grobovi
tombes	graves
tombes	grobove
tombes	grobnice
tombes	grobnica
adolf	adolf
adolf	adolfa
récents	nedavne
récents	nedavna
récents	nedavno
récents	nedavni
réservoir	tenk
réservoir	spremnik
réservoir	tank
réservoir	rezervoar
approfondir	produbljivanje
approfondir	produbiti
linda	linda
élevés	povišen
vocabulaire	rječnik
missile	projektil
missile	raketa
utiles	korisne
utiles	koristan
utiles	korisno
utiles	korisna
utiles	korisni
utiles	korisno
glasgow	glasgow
écoute	slušanje
écoute	sluša
écoute	slušam
écoute	slušaj
harrison	harrisona
harrison	harrison
wallonie	valonija
représentés	predstavljali
représentés	predstavljao
anneaux	prstenje
cyr	cyr
sentier	trag
sentier	put
sentier	staza
sentier	putanja
richelieu	richelieu
boxeur	bokser
boxeur	boksač
boxeur	borac
boxeur	borca
parisiens	parižani
parisiens	pariški
qualifiée	vješt
qualifiée	vješta
qualifiée	kvalifikacije
qualifiée	kvalificirana
qualifiée	kvalificiran
qualifiée	kvalificirani
fifa	fifa
finance	financija
finance	financije
finance	financiranje
finance	financije
vedette	zvjezdica
vedette	star
vedette	zvijezda
vedette	zvezda
vedette	prikazano
vedette	izdvojene
critère	kriterij
critère	kriterije
critère	kriterija
critère	kriterij
inédit	neobjavljeni
tensions	napetost
tensions	napetosti
tensions	tenzija
tensions	napetosti
tensions	tenzije
tensions	tenzija
lucie	lucie
lucie	lucy
lucie	lusi
lucie	lucija
lucie	lucia
rica	rica
casse	pauze
casse	razbija
bête	zvijeri
bête	zvijer
impôts	poreza
impôts	porez
impôts	porezi
impôts	poreze
impôts	porez
brigitte	bridget
brigitte	brigitte
fresques	freske
fresques	murala
pattes	noge
pattes	šape
pattes	šapa
économiste	ekonomist
adapter	prilagodi
disparaître	nestaje
disparaître	nestaju
disparaître	nestati
verbe	glagol
bull	bika
bull	bik
bull	bull
reconstruite	obnovljen
reconstruite	obnovljena
adopter	usvoji
adopter	usvojiti
évalué	procijenio
saintes	sveci
saintes	sveta
saintes	sveti
saintes	sveto
rond	okrugli
rond	okruglo
rond	okrugla
rond	runda
rond	rond
bnf	bnf
érigé	podignut
érigé	podignuta
rudolf	rudolf
pokémon	pokemon
pokémon	pokemon
linux	linux
commandée	naručio
commandée	zapovijedio
commandée	zapovijedao
commandée	naredio
commandée	naređeno
fabricant	proizvođač
syntaxe	sintaksa
celtique	keltski
singapour	singapuru
michelle	michelle
joie	veselje
joie	joy
joie	radosti
joie	radost
costume	kostim
costume	odijelo
puissants	moćno
puissants	moćna
puissants	moćan
hymne	himna
hymne	himnu
hymne	himna
hymne	himnu
hymne	himne
douleur	boli
douleur	bol
douleur	bolovi
restauré	vraćena
restauré	obnovljen
restauré	obnovljena
restauré	vraćeno
gay	gej
gay	peder
gay	gay
mannequin	lutka
mannequin	manekenka
mannequin	model
mannequin	maneken
mannequin	lutka
mannequin	modeliranje
intense	intenzivne
intense	intenzivno
intense	intenzivna
intense	intenzivno
intense	napeto
intense	intenzivna
intense	intenzivan
rendus	pružene
appartiennent	pripadam
appartiennent	pripadaju
vegas	vegas
chimiste	kemičar
flash	blic
flash	bljesak
pacte	pakt
pacte	zavjet
pacte	kompaktan
analyses	analizira
analyses	analize
analyses	analiza
foire	pošteno
foire	sajam
excellence	izvrsnost
plateforme	platforma
plateforme	platformu
stock	zalihe
stock	dionice
traversé	prešao
traversé	prešli
fritz	fritz
corruption	mito
corruption	podmićivanje
corruption	korupcija
corruption	korupcije
corruption	korupciju
dépenses	trošenje
dépenses	potrošnje
dépenses	troškove
dépenses	troškovi
découpage	rezanje
vampire	vampir
vampire	vampiru
vampire	vampira
consultation	savjetovanje
consultation	savjetovanja
consultation	konzultacije
consultation	konzultacija
comtés	županije
platine	platine
jeter	odbaci
jeter	odbaciti
jeter	baci
perrin	perrin
remplacés	zamijenio
remplacés	zamijenjena
remplacés	zamijenjen
pin	bor
pin	pine
pin	igla
pin	pin
angelo	angelo
moreau	moreau
augmenté	povećana
augmenté	povećan
haïti	haiti
pédagogique	pedagoška
nécessairement	nužno
cécile	cécile
tissu	tkanine
tissu	tkanina
tissu	tkanine
tissu	tkanina
continu	neprekidno
continu	kontinuirano
rire	smijeh
rire	smijeh
créations	kreacije
coupable	kriv
report	odgoda
channel	kanal
channel	channel
cylindres	cilindar
cylindres	cilindara
cylindres	kotrlja
cylindres	role
cylindres	rolls
quais	rivu
quais	dokovima
monténégro	montenegro
terreur	užas
terreur	teror
temporaire	privremeno
temporaire	privremena
temporaire	privremeni
brooklyn	brooklyn
brooklyn	brooklynu
ultra	ultra
sonde	sonda
tante	teta
tante	strina
tante	tetka
tante	teta
tante	tetka
tante	teta
tante	strina
tante	ujna
tante	tetka
baltimore	baltimore
télécommunications	telekom
télécommunications	telecom
télécommunications	telekomunikacije
assurances	osiguranje
vélo	bicikla
vélo	bicikl
vélo	biciklom
vélo	motor
vélo	bicikla
vélo	biciklu
vélo	bicikl
vélo	biciklom
vélo	biciklizam
vélo	biciklizam
cloche	zvono
cloche	zvonce
cloche	bell
stabilité	stabilnost
stabilité	stabilnosti
stabilité	stabilna
stabilité	stabilan
stabilité	stabilno
rabbin	rabina
rabbin	rabin
marketing	marketing
dotée	obdaren
simultanément	istovremenu
simultanément	istovremeno
simultanément	istodobno
touché	udri
touché	hit
touché	dirnut
touché	dotaknuo
touché	dodirnuo
touché	dotakla
touché	polaganje
touché	pogođeni
nicholas	nikolas
nicholas	nikola
nicholas	nicholas
nicholas	nikole
globalement	globalno
globalement	sveukupno
globalement	ukupno
attirer	atrakcija
attirer	privlačnost
attirer	namamiti
attirer	privlače
attirer	privlačenje
attirer	privući
attirer	privlačenje
exploitant	operater
végétation	vegetacije
souffle	dah
souffle	udarac
souffle	puše
pol	pol
diagnostic	dijagnostički
diagnostic	dijagnoza
diagnostic	dijagnoze
diagnostic	dijagnostiku
conservés	očuvana
caraïbes	karibima
caraïbes	kariba
sacrée	svetinja
sacrée	sveto
casino	kazino
casino	kasino
casino	casino
casino	kasina
musulman	islamske
musulman	islamski
musulman	muslimanski
musulman	muslimani
musulman	muslimana
musulman	musliman
musulman	muslimane
musulman	muslimanima
musulman	muslimana
musulman	muslimani
amené	donio
observé	promatrao
serre	staklenika
serre	staklenicima
architectural	arhitektonski
complot	zavjeru
complot	zavjera
complot	zemljište
complot	parcela
complot	urota
complot	zavjere
complot	zavjera
voyant	vidovnjak
appris	naučio
appris	naučio
fan	ventilator
fan	obožavatelj
fan	navijač
fan	fan
sara	sara
sara	saro
sara	saru
remarqué	zabilježeno
remarqué	primijetio
taïwan	tajvanu
taïwan	tajvanski
faces	lica
faces	face
müller	müller
müller	muller
mammifères	sisavci
mammifères	sisavaca
funéraire	sprovod
funéraire	pokop
funéraire	sahrana
funéraire	pogreb
potter	potteru
potter	potter
doré	zlatni
doré	zlatna
doré	zlatne
doré	zlatno
doré	zlatna
doré	zlato
doré	zlatni
doré	gold
doré	zlata
doré	pozlaćeni
toscane	toskanski
toscane	toskani
bain	kupanje
bain	kupka
rêves	dream
rêves	san
rêves	sanjaj
rêves	snove
rêves	sanja
rêves	snova
rêves	snovi
chômage	nezaposlenosti
chômage	nezaposlenost
signaler	prijavi
signaler	izvješće
signaler	izvještaj
signaler	prijavite
signaler	izvješćivanje
écrivit	napisala
écrivit	pisao
écrivit	napisao
marina	marina
marina	marini
marina	marine
marina	marinu
temples	hramove
antilles	karibima
antilles	kariba
antilles	antili
survivants	preživjele
survivants	preživjeli
survivants	preživjelih
étroite	uski
étroite	uska
étroite	uske
étroite	usko
métallique	metala
métallique	metal
métallique	metalni
métallique	metalni
métallique	metalno
xbox	xbox
occidentaux	zapadnjaci
géographiques	geographic
renseignement	inteligencija
renseignement	obavještajna
renseignement	inteligenciju
entourée	okružen
contacts	kontakte
contacts	kontakti
contacts	kontakata
poudre	prah
poudre	prašak
poudre	barut
avertissement	upozorenje
avertissement	upozorenja
avertissement	demanti
continental	continental
prolongement	produžetak
prolongement	proširenje
abandonnée	napuštena
abandonnée	napušten
abandonnée	napušteni
abandonnée	napušteno
frederick	frederick
géré	uspio
théologien	teolog
lever	poluga
lever	ručica
lever	polugu
lever	svitanje
lever	zoru
lever	zora
lever	dizanje
algorithme	algoritmi
algorithme	algoritam
minuit	ponoć
minuit	ponoći
buste	poprsje
humide	vlažno
humide	vlažna
humide	vlažno
humide	vlažna
humide	vlaga
humide	vlažno
humide	vlažno
humide	mokar
humide	mokro
humide	mokra
humide	mokri
catalan	katalonski
contrats	ugovori
censure	cenzurirati
censure	cenzura
chapelles	kapele
parade	parada
parade	parade
ménage	domaćinstva
ménage	kućanstvu
ménage	domaćinstvo
ménage	čišćenje
bush	bush
bush	grm
marathon	maratona
marathon	maraton
solitaire	samici
solitaire	usamljeno
solitaire	usamljeni
solitaire	usamljena
lombardie	lombardiji
algérienne	alžirske
lazare	lazarus
lazare	lazar
lazare	lazar
justifier	opravdavajući
justifier	opravdati
baies	uvale
baies	bobica
baies	bobice
baies	bobica
baies	berry
avr	apr
peste	štetočina
peste	kuge
peste	kuga
wallace	wallace
instructions	upute
instructions	instrukcije
controverse	kontroverzni
controverse	kontroverze
musulmane	muslimanski
musulmane	muslimani
musulmane	muslimana
musulmane	musliman
angles	uglovima
angles	uglove
angles	kutova
aaron	aaron
aaron	aron
soudan	sudanu
regarder	pazi
regarder	gledam
regarder	gledamo
regarder	gleda
regarder	gledajući
regarder	gledanje
lama	lama
lama	ljama
détenu	zatvorenik
détenu	zatvorenik
détenu	osuditi
détenu	osuđenik
détenu	robijaš
détenu	zadržan
murphy	murphy
divorce	razvod
divorce	rastava
divorce	razveden
divorce	razvedena
divorce	rastavljen
divorce	rastavljeni
cook	kuhar
cook	cook
cook	kuhati
arrêtés	uhićeni
arrêtés	uhićen
manhattan	manhattan
hardy	hardy
parme	parma
paiement	plaćanje
paiement	rate
paiement	uplate
paiement	plaćanja
paiement	uplata
paiement	plaćanje
paiement	isplata
imposant	impozantan
systématique	sistematski
systématique	sustavno
rémy	remy
rémy	rémy
prochain	sljedeća
morris	morris
fût	bubanj
survie	opstanak
survie	preživljavanje
collégiale	collegiate
hydrogène	vodik
provoquer	provocira
igor	igor
métaux	metala
métaux	metal
métaux	metalni
métaux	metala
parrain	kume
parrain	kum
parrain	kuma
parrain	sponzor
km²	km²
parent	rođak
parent	relativno
parent	roditelj
parent	roditeljski
révélation	otkrivenje
révélation	otkrivenja
hudson	hudson
fabrice	fabrizio
fabrice	fabrice
gravité	ozbiljnost
gravité	gravitacija
gravité	ozbiljnost
valérie	valerie
groupement	grupiranje
wallonne	valonski
belfort	belfort
pente	padini
pente	nagib
pente	gradijent
multi	multi
adhésion	adhezija
adhésion	članstva
adhésion	članstvo
adhésion	priključenje
adhésion	priključenju
adhésion	pridruživanje
remparts	bedeme
apple	apple
apple	jabuka
karen	karen
nazi	nacist
nazi	nacisti
nazi	nacistički
consacrés	posvećeno
moral	moral
moral	moralno
inscrire	upisati
complément	upotpuniti
futurs	budućnosti
futurs	budućnost
traverser	prelazak
traverser	prijelaz
traverser	traverse
traverser	križ
traverser	cross
traverser	krst
traverser	kros
dons	donacija
dons	donaciju
dons	donacije
dons	donirati
dons	donira
dons	donacija
dons	donacije
ignore	ignorirati
ignore	zanemari
ignore	ignorira
patrie	domovina
patrie	domovinu
patrie	domovine
patrie	domovinska
patrie	domovinu
patrie	domovina
sèche	suha
sèche	suhi
sèche	suho
oxygène	kisika
oxygène	kisik
ampleur	magnitude
molécules	molekula
molécules	molekule
signée	potpisano
signée	potpis
signée	potpisan
signée	potpisao
céramique	lončarstvo
céramique	keramičke
céramique	keramike
uss	uss
judaïsme	judaizam
pauvreté	siromaštvo
pauvreté	siromaštva
sévère	ozbiljne
sévère	teške
sévère	grubo
sévère	stern
souligne	naprezanja
souligne	pramenove
souligne	naglasiti
exemplaire	kopiraj
exemplaire	kopija
exemplaire	uzoran
wings	krila
wings	krilima
wings	krilca
enregistrer	ploča
enregistrer	spremi
enregistrer	registar
enregistrer	registrirati
monstre	nakaza
monstre	čudovište
monstre	monstrum
acides	kiseline
acides	kiselina
séparés	odvojeni
séparés	rastavljeni
séparés	razdvojeni
séparés	odvoji
séparés	odvojeno
séparés	odvojeni
séparés	razdvoji
morales	morales
perry	peri
perry	perry
commerces	trgovine
commerces	prodavaonice
brève	kratko
anthologie	antologija
positive	pozitivni
positive	pozitivna
positive	pozitivno
positive	pozitivan
substance	supstanca
substance	tvar
geste	gesta
numériques	numerički
numériques	digitalni
numériques	digitalno
numériques	digitalna
matrice	matricu
matrice	matrica
nfl	nfl
sardaigne	sardiniji
escrime	mačevanje
perception	percepcije
perception	percepcija
perception	percepcije
axes	sjekire
axes	osi
axes	osovine
axes	os
significations	značenja
descendance	potomstvo
descendance	potomstvo
descendance	potomci
descendance	potomci
mayer	mayer
électroniques	elektronički
électroniques	elektronski
appartenance	pripadnost
appartenance	pripadnosti
commonwealth	commonwealtha
retenue	suzdržanost
gregory	gregory
arménien	armenski
domestique	domaći
domestique	domaće
domestique	domaća
plongée	ronjenje
plongée	ronjenja
plongée	ronjenje
plongée	roniti
plongée	zaroni
composants	komponente
composants	sastojci
rival	suparnik
patriarche	patrijarh
chair	mesa
chair	meso
constituant	konstitutivnih
dominant	dominira
dominant	dominantna
julian	julian
carburant	gorivo
carburant	goriva
téléchargement	preuzimanje
téléchargement	preuzimanja
téléchargement	skidanje
téléchargement	preuzimanje
voler	leti
voler	fly
voler	poleti
voler	muha
voler	leti
voler	letenje
voler	leteći
sigle	akronim
dubois	dubois
identifié	označena
identifié	označeni
identifié	označen
identifié	označeno
identifié	identificiran
