den	را
södra	جنوب
södra	جنوبی
toppen	عالی
toppen	عالیه
toppen	بالا
toppen	top
toppen	تاپ
toppen	اوج
toppen	فاعل
sverige	سوئد
sedan	پس
östra	شرق
östra	شرقی
östra	شرق
östra	شرقی
sitt	بنشینم
kilometer	کیلومتر
kilometer	کیلومتر
kilometer	کیلومتر
norra	شمالی
norra	نورث
norra	شمال
norra	شمالی
norra	شمال
också	همچنین
också	همچنین
talet	سخنرانی
talet	گفتار
detta	این
västra	وست
västra	باختر
västra	غرب
västra	غربی
västra	وسترن
västra	غربی
del	جزء
del	قسمت
del	پارت
del	دِل
del	دل
del	del
riktning	جهت
riktning	قبله
namn	نام
namn	نامها
namn	نامهای
bland	درمیان
vilket	کدام
svenska	سوئدی
svenska	svenska
mellan	میان
mellan	بین
svensk	سوئدی
svensk	سوید
svensk	svensk
när	وقتی
när	چون
cerro	سرو
frankrike	فرانس
frankrike	فرانسه
död	مرگ
död	مرده
död	مردن
död	مُرده
död	مردگان
kulle	تپه
kulle	هیل
kina	چین
kina	prc
klimatet	اقلیم
est	est
text	متن
lista	فهرست
annat	دیگر
annat	غیره
edt	edt
största	بزرگترین
största	بزرگترین
departementet	وزارت
departementet	اداره
departementet	بخش
denna	این
from	پرهیزگاری
from	پرهیزگاران
from	تقوا
tropiskt	گرمسیری
park	park
park	پارک
hill	تپه
hill	هیل
flera	چندین
flera	چندگانه
flera	چندین
periodiskt	دورهای
periodiskt	متناوب
nord	شمالی
nord	نورث
nord	شمال
nord	نورد
stockholm	استکهلم
alla	همه
alla	همه
samma	همون
senare	دیرتر
senare	بعدها
senare	بعدا
senare	بعداً
olika	متفاوت
olika	گوناگون
point	نکته
point	نقطه
point	پوینت
ort	شهری
ort	شهر
ort	سیتی
nya	تازه
nya	نو
nya	جدید
nya	نیو
island	ایسلند
dock	هرچند
tidigare	سابق
tidigare	پیشین
tidigare	پیشین
tidigare	قبلی
brasilien	برزیل
colombia	کلمبیا
utan	بى
utan	بدون
socken	قصبه
socken	پاریش
socken	پریش
score	نمره
score	امتیاز
spanien	اسپانیای
spanien	اسپانیا
mount	کوه
mount	طور
kom	بیا
kom	بیاید
kom	آمد
stora	بزرگ
stora	درشت
stora	بیگ
stora	big
stora	بزرگ
stora	بزرگی
stora	استورا
kinshasa	kinshasa
omgivande	اطراف
omgivande	احاطه
omgivande	پیرامون
omgivande	امبینت
basen	پایه
basen	مبنا
basen	پایگاه
tre	تره
tre	سه
shift	شیفت
algeriet	الجزایر
dessa	اینها
dessa	اینا
chile	شیلی
mer	دیگر
mer	بیشتر
här	اینجا
kongo	کنگو
öst	شرق
öst	شرقی
öst	شرق
öst	شرقی
region	منطقه
region	ناحیه
region	استان
region	منطقۀ
von	فون
von	فن
jakarta	جاکارتا
wat	وت
file	پرونده
släkte	نسل
släkte	نژاد
sydlig	جنوب
sydlig	جنوبی
västlig	وسترن
västlig	غربی
blir	بشوی
blir	گردد
tillsammans	باهم
samhällen	جوامع
samhällen	اجتماعات
samhällen	جوامع
lite	لایت
republiken	جمهوری
öppet	آشکارا
öppet	باز
öppet	شفاف
delstat	حالت
delstat	استیت
delstat	دولت
delstat	وضعیت
delstat	ایالت
innan	پیش
fram	جبهه
fram	جلو
canberra	کانبرا
mål	اهداف
mål	گل
mål	هدف
mål	goal
län	شهرستان
län	کانتی
län	ولایت
län	استان
län	شهرستانهای
bosnien	بوسنی
afghanistan	افغانستان
john	جان
john	یوحنا
hercegovina	هرزگوین
administrativ	اداری
bara	تنها
bara	فقط
ska	ska
ontario	انتاریو
plats	محل
plats	مکانی
plats	مکان
plats	جای
plats	جایی
plats	محل
plats	مکان
församling	قصبه
församling	پاریش
församling	پریش
församling	جماعت
församling	آدینه
församling	مجلس
församling	مجمع
församling	محفل
land	کانتری
land	کشوری
land	کشور
land	مملکت
land	ییلاق
land	خشکی
land	land
land	سرزمین
dess	its
amerikansk	آمریکایی
amerikansk	امریکایی
amerikansk	امریکن
amerikansk	آمریکن
helsingfors	هلسینکی
tid	زمان
tid	تایم
tid	time
ofta	غالبا
ofta	اغلب
några	بعضیها
några	برخی
kommer	ویل
kommer	بیا
kommer	بیاید
kommer	میاد
kommer	آمدن
exempel	مثلی
exempel	مثال
exempel	نمونه
exempel	مثالهای
någon	یکی
någon	کسی
någon	هر
någon	هیچ
saint	قدیس
saint	سن
san	san
san	سن
san	سان
stor	بزرگ
stor	درشت
stor	بیگ
stor	big
stor	بزرگ
stor	بزرگی
ingen	هیچکدام
ingen	هیچکس
staden	قریه
staden	شهر
staden	شهرک
staden	شهری
staden	شهر
staden	سیتی
kallt	سرما
kallt	سرد
kallt	سرماخوردگی
jawa	jawa
varit	شده
får	گوسفند
får	گوسفندی
naturlig	طبیعی
naturlig	natural
mest	اکثر
mest	بیشتر
mest	بیشترین
mest	غالبا
webbplats	سایت
webbplats	وبگاه
webbplats	وبسایت
webbplats	سایت
ger	دادن
ger	گر
ger	میدهد
mosaik	موزاییک
mosaik	موزائیک
team	تیمهای
team	تیم
team	تیمی
hela	شفا
hela	التیام
hela	کل
gör	make
gör	را
honom	او
kyrka	کلیسا
kyrka	چرچ
kyrka	کلیسای
angola	آنگولا
vad	چی
vad	چه
columbia	کلمبیا
tyskland	آلمان
svg	svg
distrikt	نواحی
distrikt	مناطق
distrikt	منطقه
distrikt	ناحیه
distrikt	بخش
fuktigt	خفقان
fuktigt	مرطوب
eftersom	چون
london	لندن
london	london
början	ابتدای
början	آغاز
vann	وون
går	میرود
hur	چطور
bay	خلیج
bay	بای
barn	کودکان
barn	فرزندان
barn	اطفال
barn	کودک
barn	کودکان
barn	فرزند
barn	بچه
ekonomiska	اقتصادی
kunde	میتوانست
dem	آنها
dem	آنان
både	هردو
övrigt	دیگر
övrigt	غیره
övrigt	متفرقه
artikel	مطلب
artikel	مقالۀ
artikel	مقاله
england	انگلستان
england	انگلیس
hennes	تختی
hennes	او
argentina	آرژانتین
mountain	کوهستانی
mountain	کوهی
mountain	کوه
mountain	کوهستان
grund	پایه
förekommer	رخ
distriktet	منطقه
distriktet	ناحیه
distriktet	بخش
dam	دم
dam	سد
dam	بانوی
dam	بانو
karl	شارل
karl	چارلز
idag	امروز
skådespelare	بازیگران
skådespelare	هنرپیشه
skådespelare	بازیگر
skådespelare	actor
personer	اشخاص
personer	افراد
personer	مردمان
personer	آدمها
personer	مردم
bli	بشوی
endast	تنها
öar	جزایر
danmark	دانمارک
son	پسر
österrike	اتریش
river	ریور
river	رود
river	رودخانه
helt	کاملا
helt	کلا
artiklar	مقالات
artiklar	مقاله
därefter	متعاقبا
jean	ژان
redan	قبلا
cirka	circa
cirka	حدوداً
före	پیش
william	ویلیام
känd	دانسته
känd	معلوم
känd	مشهور
känd	مشهوره
känd	معروف
engelska	انگلیسی
engelska	english
departement	وزارت
departement	اداره
departement	بخش
departement	وزارت
antal	شمارش
antal	عدد
antal	شمارۀ
antal	شماره
vill	میخواهد
des	des
des	دس
författare	نویسندگان
författare	نویسنده
författare	مؤلف
författare	نویسندۀ
författare	نویسنده
wikipedia	ویکیپدیا
wikipedia	ویکیپدیای
los	los
los	لوس
los	لس
vissa	یقین
vissa	بعضیها
vissa	برخی
cst	cst
äldre	سالمندان
äldre	مسن
äldre	سالخورده
äldre	بزرگتر
äldre	پیرتر
gamla	پیر
gamla	قدیمی
gamla	قدمت
gamla	کهنه
allt	همه
lag	تیم
lag	تیمی
lag	حقوق
lag	قانون
lag	lag
lag	تیمهای
brt	grt
johan	جان
johan	یوحنا
johan	یوهان
diskussion	بحثش
diskussion	بحث
kommuner	شهرهای
kommuner	دهستانهای
kyrkan	کلیسا
kyrkan	چرچ
kyrkan	کلیسای
punta	پونتا
eet	eet
iucn	iucn
kullar	هیلز
black	مشکی
black	سیاه
black	سیاهی
black	بلک
varje	هر
varje	هرکدوم
varje	هریک
bild	عکسه
bild	عکس
bild	تصویر
bild	نگاره
france	فرانس
france	فرانسه
politiker	سیاست
politiker	سیاستمداران
politiker	سیاستمدار
göra	make
göra	را
left	چپ
band	نوارها
band	نوارهای
band	band
band	بند
band	گروه
band	نوار
band	نواری
band	روبان
rio	ریو
rock	سنگی
rock	صخره
rock	راک
söderut	ساوت
söderut	جنوب
söderut	جنوبی
sista	آخری
sista	لست
sista	واپسین
sista	آخرین
sista	اخرین
sista	نهائی
sista	نهایی
sista	پایانی
sista	آخرین
sista	فاینال
inåt	باطن
inåt	باطنی
george	جرج
george	گئورگ
george	جورج
delar	اشتراک
delar	قطعات
delar	عورت
delar	سهم
delar	اشتراک
delar	سهام
auto	خودکار
hett	گرم
hett	داغ
norrut	شمالی
norrut	نورث
norrut	شمال
själv	نفس
själv	بخود
själv	خودش
själv	خودم
åren	سالهای
åren	سالها
åren	سال
höjd	ارتفاع
höjd	بلندی
höjd	ارتفاعی
höjd	بلندی
höjd	قد
höjd	ارتفاع
höjd	height
säsongen	فصل
poäng	نقاط
poäng	امتیاز
poäng	نمره
poäng	امتیاز
poäng	امتیازهای
poäng	امتیازات
poäng	نمرات
poäng	نمره
poäng	نکته
poäng	نقطه
poäng	پوینت
arroyo	آریو
peking	پکن
peking	پکن
tyska	آلمان
tyska	آلمانی
sätt	راهها
sätt	راههایی
sätt	راههای
sätt	روشهای
sätt	راه
egypten	مصر
wadi	وادی
stad	قریه
stad	شهر
stad	شهرک
stad	شهری
stad	شهر
stad	سیتی
norge	نروژ
area	منطقه
area	مساحت
area	ناحیه
loma	لما
york	یورک
makedonien	مقدونیه
peter	پتر
peter	پیتر
peter	پطرس
franska	فرنچ
franska	فرانسه
franska	فرانسوی
vilken	کدام
dominikanska	دومینیکن
västerut	وست
västerut	باختر
västerut	غرب
västerut	غربی
österut	شرق
österut	شرقی
omkring	اطراف
omkring	حوالی
schweiz	سویس
schweiz	سوییس
schweiz	سوئیس
fall	پرونده
fall	کیس
fall	مورد
fall	موارد
fall	سقوط
fall	پاییز
fall	fall
fall	افتادن
tiden	زمان
tiden	تایم
tiden	time
bästa	بهترین
bästa	بهتر
bästa	best
style	سبک
artikeln	مطلب
artikeln	مقالۀ
artikeln	مقاله
fil	پرونده
främst	اساسا
främst	عمدتاً
främst	عمدتاً
källa	مبدأ
källa	متن
källa	منبع
båda	هردو
kabul	کابل
malmö	مالمو
slutet	پایان
olympiska	المپیک
ast	ast
annan	دیگر
annan	غیره
uppsala	uppsala
isbn	isbn
mätare	متری
mätare	متر
mätare	کنتور
mätare	متر
madrid	مادرید
måste	باید
antarktis	جنوبگان
antarktis	جنوبگان
erik	اریک
paul	پائول
paul	پال
paul	پل
paul	پاول
skrev	نوشتم
film	فیلمی
film	فیلم
film	فیلمش
film	سینمایی
film	فیلم
film	film
robert	رابرت
robert	روبرت
robert	robert
robert	روبر
serien	سری
bra	خوبی
bra	good
bra	خوب
bra	خوبش
fem	fem
fem	پنج
fem	فایو
ryssland	روسیه
thomas	توماس
thomas	تامس
thomas	توما
santiago	سانتیاگو
tysk	آلمان
tysk	آلمانی
vilka	که
vilka	کدام
språk	زبانهای
språk	زبانها
språk	زبان
språk	زبان
kinesiska	چینی
lappland	لاپلند
nuvarande	جاری
nuvarande	جریان
nuvarande	حاضر
nuvarande	هدیه
officiell	رسمی
källor	منابع
stort	بزرگ
stort	درشت
stort	بیگ
stort	big
stort	بزرگ
stort	بزرگی
sång	آواز
sång	خوانندگی
sång	نغمه
sång	ترانه
sång	اهنگ
sång	آهنگ
sång	آواز
amerikanska	آمریکایی
amerikanska	امریکایی
amerikanska	امریکن
amerikanska	آمریکن
samband	ارتباط
samband	اتصال
samband	همبستگی
globalt	سراسری
globalt	جهانی
globalt	گلوبال
egen	سفارشی
aest	aest
mestadels	غالبا
kvinnor	زنانی
kvinnor	زنها
kvinnor	زنان
tredje	سومین
tredje	سومی
tredje	سوم
blivit	بشوی
charles	شارل
charles	چارلز
art	art
art	هنر
art	آرت
art	گونه
art	گونههای
riket	رایش
riket	قلمرو
wales	ولز
wales	ویلز
david	داوید
david	داود
david	داوود
david	دیوید
david	david
com	com
sidan	صفحۀ
sidan	صفحه
sidan	کنار
sidan	پهلو
sidan	طرف
resultat	عملکرد
resultat	اجرا
resultat	کارایی
resultat	نتایج
resultat	نتیجه
resultat	نتایجی
resultat	نتیجه
resultat	نتیجۀ
resultat	حاصل
når	میرسد
ibland	گاهی
ibland	گهگاه
enda	تکی
enda	single
enda	تک
enda	حلوای
jabal	جبل
kända	دانسته
kända	معلوم
kända	مشهور
kända	مشهوره
kända	معروف
universitet	دانشگاههای
universitet	دانشگاهها
universitet	دانشگاه
universitet	qom
libanon	لبنان
paris	paris
paris	پاریسی
paris	پاریس
utgör	مطرح
kamerun	کامرون
border	لبه
border	مرزی
border	مرزبانی
border	مرز
border	لبۀ
musik	موسیقی
musik	موزیک
maria	ماری
maria	مریم
maria	مری
maria	ماریا
tillbaka	عقب
tillbaka	پشت
tillbaka	باز
tillbaka	برگشت
kung	پادشاه
kung	کینگ
kung	شاه
barat	barat
form	شکل
form	فرم
form	شکل
der	der
historia	داستان
historia	داستانی
historia	قصه
historia	تاریخچه
historia	تاریخ
nova	نووا
nova	نوا
dal	دال
dal	دره
låten	نغمه
låten	ترانه
låten	اهنگ
låten	آهنگ
låten	آواز
fiji	فیجی
tjeckien	چک
tjeckien	چکی
james	جیمز
james	خامس
albumet	آلبوم
samtidigt	همزمان
kring	اطراف
kring	حوالی
män	ذکور
män	مردانی
män	مردها
män	مردان
lång	تل
lång	قد
lång	طولانی
lång	لانگ
lång	دراز
alger	الجزیره
alger	جلبک
alger	جلبک
gift	زهر
gift	married
gift	متاهل
gift	ازدواج
gift	زهر
gift	مسموم
album	آلبوم
album	آلبومهای
ner	فرود
ner	پایین
innehåller	حاوی
innehåller	حاوی
disk	دیسک
little	اندکی
little	کوچک
little	کم
little	لیتل
little	کوچولو
wilhelm	ویلهلم
gånger	زمانهای
gånger	times
gånger	دفعات
gånger	تایمز
brook	بروک
övriga	دیگر
övriga	غیره
övriga	دیگران
övriga	دیگر
professor	پروفسور
professor	پرفسور
las	لاس
las	las
division	تقسیم
division	واحد
martin	مارتن
martin	مارتین
urval	گزینش
urval	نمونه
city	شهری
city	شهر
city	سیتی
totalt	مجموع
totalt	کلا
totalt	کل
alexander	اسکندر
alexander	الکساندر
arena	آرنا
period	دوره
period	دورهای
period	پریود
period	دورۀ
utc	utc
grönland	گرینلند
dag	dag
dag	روز
dag	روزی
låg	کم
låg	low
bogotá	بوگوتا
året	سال
timur	تیمور
europa	اروپای
europa	اروپا
europa	اروپا
kalifornien	california
kalifornien	کالیفرنیا
aldrig	هیچوقت
aldrig	هرگز
gruppen	گروهبندی
gruppen	گروپ
gruppen	گروه
miljoner	میلیون
miljoner	میلیونی
miljoner	ملیون
henry	هنری
henry	آنری
växter	گیاهان
växter	گیاهی
växter	نیروگاه
växter	پلنت
växter	گیاه
står	قیام
står	ایستاده
står	ایستادن
står	حایل
seed	بذر
seed	دانه
seed	نسل
sex	شش
sex	سیکس
sex	شیش
sex	سکس
sex	جنسیت
sex	جنسی
spelar	پخش
peak	اوج
peak	قله
bort	میفرمایند
bort	دور
ser	سِر
ledamot	عضو
ledamot	عضوی
orkidéer	ارکیده
särskilt	مخصوصا
särskilt	بخصوص
friedrich	فردریش
friedrich	فریدریش
liv	زندگى
liv	زندگی
liv	لیو
bildades	تشکیل
kvar	چپ
medlemmar	اعضای
medlemmar	اعضا
sida	صفحۀ
sida	صفحه
längre	بلندتری
område	منطقه
område	مساحت
område	ناحیه
gustaf	گوستاف
gustaf	گارفیلد
anders	آندرس
anders	اندرس
fortfarande	همچنان
fortfarande	هنوزم
fortfarande	هنوز
min	مین
min	min
airport	فرودگاه
befolkningen	جمعیت
befolkningen	جمعیتی
översättning	ترجمه
louis	لویی
louis	لوئی
ordförande	جوبالند
http	http
joseph	یوسف
joseph	یوزف
joseph	ژوزف
joseph	جوزف
scotia	اسکوشیا
kanske	شایدم
kanske	شاید
smith	اسمیت
världen	جهان
världen	دنیا
världen	جهانی
användare	کاربر
användare	کاربران
varierad	متنوع
tar	گرفتن
tar	میگیرد
far	پدری
far	پدر
honduras	هندوراس
bolivia	بولیوی
länder	کشورها
ytterligare	اضافی
guld	طلای
guld	gold
guld	طلا
guld	طلایی
guld	گلد
guld	زرین
kuba	کوبا
center	سنتر
center	مرکزش
center	مرکز
dotter	دختر
god	خوبی
god	good
god	خوب
god	خوبش
luanda	لوآندا
grupp	گروهبندی
grupp	گروپ
grupp	گروه
väl	خب
väl	خوب
bandet	تسمه
lars	لارس
roll	نقشی
roll	رل
roll	نقش
svampar	قارچها
svampar	قارچ
svampar	قارچ
svampar	قارچها
svampar	قارچهای
ryska	روس
ryska	روسیه
ryska	روسی
henne	او
wien	وین
wien	وینا
via	via
via	طریق
laguna	لاگونا
italien	ایتالیا
syrien	سوریه
matcher	کبریت
matcher	بازیهای
matcher	بازیها
matcher	بازی
arter	گونه
arter	گونههای
hjälp	کمک
kriget	جنگ
kriget	جنگی
klassen	رده
klassen	ردۀ
klassen	کلاس
klassen	طبقاتی
klassen	class
klassen	کلاسی
gustav	گوستاو
gustav	گارفیلد
cdt	cdt
university	دانشگاه
university	qom
van	وان
van	فان
van	ون
van	وَن
anna	آنا
anna	انا
fredrik	فردریک
fredrik	فریدریش
fler	دیگر
fler	بیشتر
kort	کارتها
kort	ورق
kort	کارتهای
kort	کوتاه
kort	کوتاهی
kort	خلاصه
kort	مختصر
kort	کارت
kort	ورق
ungern	مجارستان
gitarr	گیتار
serie	سری
serie	متوالی
serie	سریالی
serie	سریالهای
serie	سری
ledde	led
ledde	رفاقت
guinea	گینه
ecuador	اکوادور
michael	میکائیل
michael	مایکل
ovan	فراز
rapport	گزارش
lika	برابر
lika	مساوی
tycker	فکر
brittisk	بریتانیایی
brittisk	بریتانیا
fransk	فرنچ
fransk	فرانسه
fransk	فرانسوی
guvernementet	مهدیه
ungefär	درباره
ungefär	دربارۀ
ungefär	حدوداً
tal	تل
tal	تال
tal	سخنرانی
tal	گفتار
tal	عدد
tal	شمارۀ
tal	شماره
tal	اعداد
tal	عدد
tal	اعدادی
shan	shan
gäller	صفت
iii	iii
iii	سوم
sarajevo	سارایوو
människor	انسانها
människor	بشر
människor	افراد
människor	مردمان
människor	آدمها
människor	مردم
slutade	ایستاد
world	جهان
world	دنیا
world	جهانی
august	آگوست
august	آگست
august	اوت
zeeland	زلاند
zeeland	زیلاند
head	هد
head	سر
nästan	تقریباً
nästan	تقریبا
nästan	نزدیک
nästan	نمانده
ursprungligen	اصالتا
nytt	تازه
nytt	نو
nytt	جدید
nytt	نیو
sheng	شنگ
brittiska	بریتانیایی
brittiska	بریتانیا
etiopien	حبشه
etiopien	اتیوپی
grande	گرانده
grande	گراند
grottor	غار
grottor	غارهای
grottor	غارها
christian	کریستین
christian	کریستیان
christian	مسیحی
christian	کریستن
labrador	لابرادور
newfoundland	نیوفاندلند
klubben	باشگاه
klubben	چماق
klubben	کلاب
klubben	کلوب
klubben	کلوپ
yta	سطح
yta	سطحی
yta	منطقه
yta	مساحت
yta	ناحیه
livskraftig	ماندگاری
aires	آیرس
vatten	آب
vatten	آبها
vatten	آبهای
spelare	بازیکن
spelare	بازیکنان
spelare	بازیکن
buenos	بوئنوس
själva	خودشان
andersson	آندرشون
igen	دوباره
start	شروع
start	آغاز
oftast	معمولا
oftast	غالبا
true	راست
true	حقیقی
true	درست
true	true
richard	ریچارد
berlin	برلین
byte	بایت
medlem	عضو
medlem	عضوی
jan	jan
jan	یان
liten	کوچک
liten	small
liten	کوچکی
liten	اسمال
liten	اندکی
liten	کوچک
liten	کم
liten	لیتل
liten	کوچولو
liten	تاینی
liten	ریز
guatemala	گواتمالا
version	نسخۀ
version	نسخه
manitoba	مانیتوبا
information	اطلاعات
information	معلومات
guyana	گویان
guyana	گویان
stränder	سواحل
stränder	سواحل
love	دوست
love	عشق
love	عشقی
love	عاشق
national	نشنال
national	ملی
sur	ترش
sur	سور
typ	تیپ
typ	نوع
typ	تایپ
arbete	کار
arbete	کاری
bättre	بهتر
bättre	بهترش
problem	مشکل
problem	مسئله
problem	مشکلی
problem	مسائلی
problem	مسائل
problem	مشکلات
problem	مشکل
problem	دردسر
problem	زحمت
problem	مسائل
grand	گرند
grand	گراند
são	سائو
irland	ایرلند
säga	بگویید
säga	بگو
edward	ادوارد
grundades	بنیان
varmt	گرم
varmt	داغ
varmt	گرم
laget	تیم
laget	تیمی
botten	تهش
botten	مفعول
botten	پایین
botten	باتوم
lilla	اندکی
lilla	کوچک
lilla	کم
lilla	لیتل
lilla	کوچولو
dog	درگذشت
year	سال
bror	برادر
bror	داداش
washington	واشینگتون
washington	واشنگتون
washington	واشینگتن
washington	واشنگتن
hög	والا
hög	رفیع
hög	بلند
vuxna	بزرگسال
vuxna	بزرگسالان
vuxna	بزرگترها
vuxna	بزرگسال
vuxna	بالغ
vuxna	بزرگسالان
internationella	اینترنشنال
internationella	بینالمللی
internationella	جهانی
daniel	دانیال
daniel	دانیل
daniel	دنیل
mark	مارک
japan	ژاپن
dagar	روزها
dagar	روزگار
dagar	روزهایی
dagar	روزای
dagar	روزهای
församlingen	جماعت
församlingen	آدینه
församlingen	مجلس
församlingen	مجمع
församlingen	محفل
direkt	دایرکت
direkt	direct
direkt	مستقیما
direkt	مستقیماً
records	رکوردز
stift	سنجاق
stift	پین
lund	لوند
politiska	سیاسی
bezirk	bezirk
haft	had
mitten	وسطی
mitten	میدل
mitten	میانی
mitten	میانه
mitten	وسط
mitten	سنتر
mitten	مرکزش
mitten	مرکز
georg	جرج
georg	گئورگ
georg	جورج
georg	گئورگ
alltid	always
alltid	همیشه
otto	اوتو
otto	اتو
otto	آتو
united	یونایتد
united	متحد
aktiv	فعال
silver	نقره
silver	سیمین
silver	سیلور
henrik	هنریک
henrik	هنری
henrik	آنری
walker	واکر
walker	والکر
karriär	حرفه
karriär	شغل
federationen	فدراسیون
mitt	میت
kungliga	رویال
kungliga	سلطنتی
kungliga	شاهانه
kungliga	استاده
alto	آلتو
alto	التو
nils	نیلز
slut	پایان
liknande	مشابه
högre	بالاتری
högre	بالاتر
league	لیگ
johannes	یوهانس
johannes	جان
johannes	یوحنا
person	شخص
anspråk	ادعا
anspråk	ادعا
anspråk	ادعا
anspråk	مطالبه
anspråk	ادعا
anspråk	ادعای
pointe	پوئنت
komma	کاما
komma	میاد
komma	آمدن
små	کوچک
små	small
små	کوچکی
små	اسمال
spela	پخش
spela	بازی
spela	پخش
bilder	تصاویر
bilder	پیکچرز
bilder	تصاویر
bilder	عکسها
bilder	عکس
bilder	عکسها
bilder	عکس
nummer	عدد
nummer	شمارۀ
nummer	شماره
nummer	اعداد
nummer	عدد
nummer	اعدادی
länge	طولانی
länge	لانگ
länge	دراز
hand	دست
slaget	رزم
slaget	کارزار
slaget	بتل
slaget	نبرد
spelet	بازی
spelet	گیم
väg	مسیر
väg	جاده
rum	اتاقها
rum	اتاقهای
rum	اتاق
rum	اتاق
rum	اتاقی
rum	اطاق
pierre	پیر
pierre	پییر
djur	جانوران
djur	حیوانات
djur	حیوانی
djur	حیوانات
djur	جانوران
djur	حیوان
central	مرکزی
central	سنترال
central	مرکز
färg	رنگ
färg	رنگها
färg	رنگ
färg	نقاشی
strand	ساحل
strand	بیچ
strand	ساحل
säsong	فصل
företaget	گروهان
företaget	شرکت
företaget	company
företaget	کمپانی
regi	کارگردانی
regi	کارگردانی
punkt	پاراگراف
punkt	بند
