политехнический	politehnični
дева	dekliški
травму	travmo
травму	travme
травму	travma
висит	obešen
висит	obešanje
висит	visi
полицейских	policisti
конвенции	konvencija
конвенции	konvencijo
конвенции	konvencije
конвенции	konvencij
конвенции	konvencije
местоположения	lokacij
местоположения	lokacije
обнаружить	odkriti
обнаружить	odkrili
душа	tuš
душа	prha
душа	duša
душа	duši
душа	soul
душа	dušo
медведь	medo
медведь	medvedka
медведь	medvedje
медведь	medved
медведь	medvedek
чёрное	črno
чёрное	črne
чёрное	črn
чёрное	črni
чёрное	črna
эхо	odmeva
эхо	odmev
эхо	echo
кипра	ciper
кипра	cipru
быстрый	hitro
быстрый	hitri
быстрый	hiter
быстрый	hitra
быстрый	hitro
кратеров	kraterjev
тан	tang
тан	tan
спектр	spectre
спектр	spektra
спектр	spekter
спектр	prikazen
курт	kurt
курт	curt
ширину	širino
ширину	širina
нации	narod
джин	jin
джин	gin
джин	jean
джин	gene
джин	gen
продано	prodani
продано	prodano
продано	prodana
продано	prodan
материнская	materinski
мощный	močan
мощный	močni
мощный	močno
мощный	mogočna
мощный	močna
кругах	krogi
кругах	kroge
кругах	krogov
записать	plošča
записать	rekord
записать	zapis
испанская	špansko
испанская	španščina
испанская	španski
испанская	španska
комплексы	kompleksi
разнообразные	raznolike
разнообразные	raznolika
мол	mal
мол	mol
моложе	mlajši
моложе	mlajša
моложе	mlajše
интерпретации	razlage
льда	led
льда	ice
льда	ledom
северные	severna
северные	severno
северные	severni
северные	severne
сопровождении	pospremili
обоснования	obrazložitve
обоснования	utemeljitve
зимний	zimska
зимний	zimsko
зимний	zimo
зимний	zima
зимний	winter
институты	inštituti
институты	institucije
институты	nosilci
институты	ustanove
немецкое	nemško
немецкое	nemec
немецкое	nemška
немецкое	nemščina
немецкое	nemški
норвежский	norveško
норвежский	norveške
норвежский	norveška
норвежский	norveški
командиров	poveljnikov
командиров	poveljniki
взяв	jemanje
вулкан	vulkan
вулкан	vulkan
дополнительная	dodatna
дополнительная	dodatno
дополнительная	dodatni
дополнительная	dodatno
дополнительная	dodaten
дополнительная	ekstra
дополнительная	extra
десятилетий	desetletji
десятилетий	desetletjih
десятилетий	desetletij
десятилетий	desetletja
выросла	zrasel
выросла	rasel
выросла	zrasla
гостиницы	hotele
гостиницы	hoteli
гостиницы	hotelov
конкретный	specifično
конкретный	specifični
конкретный	konkretno
конкретный	konkretne
конкретный	beton
конкретный	konkreten
верить	verjemi
купить	kupi
купить	kupiš
купить	nakup
купить	kupil
верность	zvestobe
верность	zvestobo
верность	zvestoba
верность	zvestobe
верность	vdanost
верность	zvestobo
верность	zvestoba
верность	lojalnost
репутацию	sloves
репутацию	ugled
школьников	šolarji
коммуникации	komunikacije
коммуникации	komuniciranje
костюм	kostum
костюм	obleko
костюм	obleka
избирательный	selektivna
избирательный	selektivni
избирательный	selektiven
избирательный	selektivne
избирательный	selektivno
маяк	svetilnik
маяк	beacon
маяк	svetilnik
норма	norma
норма	norma
норма	norm
отдельное	ločena
отдельное	ločeni
отдельное	ločeno
воин	bojevnica
воин	bojevnik
крус	cruz
отбора	izbira
отбора	izbor
отбора	izbiranje
бойцы	borci
бойцы	borca
бойцы	borca
бойцы	borci
лук	allium
лук	čebula
лук	čebulo
лук	čebule
лук	čebula
лук	čebule
лук	lok
лук	premec
ушел	odšel
прусской	pruski
бабушка	babica
бабушка	babi
бабушка	babica
бабушка	babi
бабушка	babica
бабушка	babico
фишер	fisher
фишер	fischer
симфония	simfonija
скажите	povej
разрешено	pooblaščeni
разрешено	dovoljeno
разрешено	dovoljen
разрешено	dovoljeno
разрешено	dovoljen
разрешено	dovoljeno
разрешено	dovoljen
разрешено	pooblaščen
разрешено	pooblaščeni
гражданские	civilno
гражданские	civilna
гражданские	civilne
гражданские	civilno
гражданские	civilni
гражданские	civilist
гражданские	civilne
гражданские	civilna
гражданские	civiliste
гражданские	civilisti
марино	marino
александров	aleksandrov
яковлев	jakovljev
богдан	bogdan
проектирование	zasnova
проектирование	oblikovanje
проектирование	dizajn
функционирования	delovanje
низкая	nizki
низкая	nizka
низкая	nizko
низкая	nizek
низкая	nizke
краснодар	krasnodar
завершено	končano
завершено	zaključene
завершено	izpolnjeno
завершено	končana
завершено	zaključena
завершено	končano
завершено	končala
завершено	končana
сталинская	stalinistični
франс	frans
франс	francijo
франс	francija
франс	france
индейцы	indijci
индейцы	indijancev
индейцы	indijanci
трио	trio
польшу	poljsko
польшу	poljski
польшу	poljska
толщиной	debelo
толщиной	debel
толщиной	gosto
толщиной	debela
достоинство	dostojanstvo
достоинство	dostojanstva
верующих	vernikov
верующих	verniki
верующих	zvesto
верующих	zvesta
верующих	zvest
верующих	zvesti
пустыни	puščava
пустыни	puščavi
пустыни	puščave
оборона	obramba
оборона	obramba
оборона	obrambno
оборона	obrambna
оборона	obrambne
оборона	obrambni
аллен	allen
технически	tehnično
дяди	strici
христос	kristus
героиня	junakinja
снята	odvzeta
снята	umaknjeni
снята	umaknjena
снята	odvzeto
эрика	erika
эрика	erica
упомянуть	omenjen
упомянуть	omenil
упомянуть	omeni
пещера	votlina
пещера	jamo
пещера	jama
пещера	jami
кабардино	kabardino
снимаю	snemanje
гости	obiskovalce
гости	obiskovalci
гости	gostje
гости	gosti
обнаружена	odkrila
обнаружена	odkril
обнаружена	odkrite
обнаружена	odkrita
обнаружена	odkrili
обнаружена	odkrit
обнаружена	odkrite
обнаружена	ugotovljena
обнаружена	odkrita
переворот	udar
южные	južna
южные	južno
южные	južni
афганистан	afganistan
афганистан	afganistanu
перри	perry
обслуживание	storitve
обслуживание	servisiranje
обслуживание	storitve
обслуживание	storitev
обслуживание	servis
религиозный	verske
религиозный	verski
религиозный	versko
религиозный	verska
религиозный	verskega
сортов	sort
сортов	sorte
выделение	izbira
выделение	izbor
выделение	izbiranje
вероятности	verjetnosti
степанов	stepanov
банки	banks
банки	bankam
банки	bankah
банки	bankami
банки	banke
банки	kozarci
банки	kante
банки	pločevinke
патриархата	patriarhat
используемый	uporabljen
используемый	uporabljena
используемый	uporabljeno
используемый	uporabljene
используемый	uporabljeni
настоящие	resničen
настоящие	resnično
настоящие	resnična
настоящие	prava
настоящие	realno
настоящие	verodostojna
настоящие	pristen
настоящие	pristno
настоящие	verodostojno
тяжёлый	težka
тяжёлый	težki
тяжёлый	težke
тяжёлый	težko
сорок	štirideset
сорок	forty
ларри	larry
курган	kurgan
зам	zam
стояла	stal
стояла	stala
запретить	ban
запретить	prepoved
запретить	prepovedi
запретить	prepovedati
крыша	strehe
крыша	streho
крыша	streha
крыша	strehi
промышленный	industrijsko
промышленный	industrijska
промышленный	industrijske
промышленный	industrijski
продюсеры	pridelovalci
продюсеры	proizvajalci
объяснение	pojasnilo
объяснение	obrazložitev
объяснение	razlaga
уэст	zahodna
уэст	zahod
уэст	zahodno
атмосферу	ozračje
атмосферу	atmosfera
атмосферу	atmosfero
атмосферу	vzdušje
добавления	dodatkov
добавления	dodatki
прорыв	preboj
прорыв	izbruh
сложный	zapletena
сложный	zapleteno
сложный	kompleks
сложный	kompleksna
сложный	zapleten
сложный	zapletena
сложный	zapleteno
лат	lat
мастерство	veščine
мастерство	spretnost
мастерство	veščina
сущность	bistva
сущность	bistvo
дизель	dizel
приоритет	prednost
приоритет	prednostno
кратко	kratek
боли	bolečine
боли	bolečino
боли	bolečina
секс	seks
секс	spol
секс	sex
уолтер	walterja
уолтер	walter
инцидент	incident
посредничества	posredovanje
посредничества	mediacije
серый	gray
серый	siv
серый	siva
серый	sivo
серый	sivi
серый	sive
серый	sivo
серый	sivi
серый	grey
серый	siva
филармонии	filharmoniji
точность	natančnosti
точность	natančnost
точность	točnost
точность	natančnost
политбюро	politbiroja
альянс	zavezništvo
заявляет	izjavlja
заявляет	razglasi
проза	proza
белки	beljakovin
белки	protein
белки	proteini
белки	beljakovine
белки	beljakovin
белки	proteini
белки	beljakovine
белки	veverice
мяса	mesa
мяса	meso
мяса	mesni
управляет	upravlja
скандал	škandal
свадьбы	porok
свадьбы	poroke
свадьбы	poroka
свадьбы	poroke
свадьбы	poroko
ранение	poškodbe
ранение	poškodba
ранение	rane
ранение	rano
ранение	rana
орловская	orjol
подразумевает	implicitna
подразумевает	namiguje
фсб	fsb
пенсильвания	pensilvaniji
арбитра	razsodnika
цепь	vezja
цепь	vezje
цепь	dirkališče
цепь	verigo
цепь	verige
цепь	veriga
видна	vidno
видна	vidni
видна	viden
видна	vidna
пруд	ribniku
пруд	ribnik
звёздный	stellar
звёздный	zvezdno
пятой	petič
пятой	peta
пятой	peto
пятой	peti
волгоград	volgograd
делегации	delegacije
делегации	delegacij
умершего	umrli
умершего	preminil
умершего	umrl
длиннее	dlje
длиннее	daljše
длиннее	daljši
длиннее	daljša
заменены	zamenjana
заменены	nadomeščen
процессор	procesor
процессор	procesor
процессор	cpe
изредка	občasno
эксперименты	poskuse
эксперименты	eksperimentiranje
монах	menih
монах	pater
монах	monk
монах	menih
гражданина	državljan
гражданина	meščan
флоренции	florence
флоренции	firence
занят	zaseden
занят	zaposlen
занят	zasedeno
занят	zasedena
занят	zaposlena
баз	baz
баз	baze
баз	baz
добровольцев	prostovoljci
добровольцев	prostovoljec
рождение	rojstva
рождение	rojstev
рождение	rojstva
рождение	rojstvo
отменить	preklic
отменить	odpovedati
отменить	razveljavi
винтовки	puške
винтовки	pušk
самостоятельный	avtonomne
самостоятельный	samostojno
самостоятельный	avtonomna
доски	deske
доски	table
доски	deske
доски	deski
отступить	umik
очевидна	očitno
очевидна	očiten
очевидна	očitna
вступление	uvod
существо	wesen
существо	bitje
открытая	odpri
открытая	odprto
знати	plemiči
принесли	pripeljan
принесли	prinesel
единство	enotnost
единство	enotnosti
восьмой	osmica
восьмой	osem
восьмой	osmi
восьмой	osma
восьмой	eighth
восьмой	osmo
столкновение	trčenje
столкновение	trk
столкновение	clash
столкновение	spopada
столкновение	spopad
батарея	baterija
батарея	baterijo
батарея	baterije
батарея	akumulator
оценил	ocenjeno
оценил	nazivna
оценил	ocenjen
оценил	ocenjeni
оценил	cenjeni
оценил	cenjena
оценил	cenil
топливо	gorivo
топливо	goriva
топливо	goriva
зенит	zenit
зенит	zenith
педагогических	pedagoških
рико	rico
снятие	dvigi
снятие	dviganje
снятие	dvigovanje
снятие	preklic
снятие	umik
снятие	odvzem
снятие	odstop
прекращения	prenehanje
купил	kupljen
купил	kupljene
купил	kupljeno
купил	kupljena
купил	kupljen
купил	kupljene
купил	kupljeno
купил	kupljena
купил	kupil
срочно	nujno
срочно	nujna
срочно	nujen
срочно	nujni
петрозаводск	petrozavodsk
похожие	podobni
похожие	podoben
похожие	podobna
похожие	podobne
похожие	podobnih
похожие	podobno
врачи	zdravniki
врачи	zdravnikov
врачи	doktorji
врачи	zdravniki
врачи	zdravnike
глубину	globina
галактики	galaksije
галактики	galaksij
собирать	zbirajo
собирать	zbiranje
уникальный	edinstveno
уникальный	edinstven
уникальный	edinstvena
уникальный	enkratna
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	mostove
мостов	mostov
мостов	mostovi
миллион	milijon
миллион	milijoni
миллион	milijonov
миллион	miljon
экспериментов	eksperimentiranje
комнаты	sobe
комнаты	sob
ралли	rally
ралли	shod
сократить	skrajša
сократить	zmanjšanje
сократить	zmanjšati
сократить	rez
сократить	odreži
стрельба	streljanje
стрельба	streljanje
раскопки	izkopavanje
раскопки	izkopavanja
корпорация	korporacija
корпорация	corporation
корпорация	korporacijo
австрийская	avstrijski
австрийская	avstrijska
австрийская	avstrijsko
вершина	apex
вершина	vertex
перестал	ustavil
перестал	ustavljen
стрелок	strelec
стрелок	strelca
стрелок	strelec
региональный	regionalno
региональный	regionalna
региональный	regionalni
резиденция	prebivanje
резиденция	bivališče
резиденция	bivanje
резиденция	rezidenca
резиденция	prebivališče
катание	drsanje
католицизм	katolicizem
изготовление	izdelava
изготовление	proizvodnja
изготовление	izdelava
изготовление	proizvodnja
изготовление	izdelovanje
победителей	zmagovalcev
победителей	zmagovalci
победителей	zmagovalce
пользователи	uporabniki
борисов	borisov
землетрясения	potresi
землетрясения	potres
колоний	kolonije
христиане	christian
христиане	krščanski
христиане	kristjan
христиане	kristjane
христиане	kristjani
христиане	kristjanov
рнк	rna
тыл	zadaj
кипр	ciper
кипр	cipru
мифы	mitov
мифы	miti
судьбу	usoda
судьбу	usodo
судьбу	usoda
судьбу	usodo
глубины	globin
глубины	globine
глубины	globina
огпу	ogpu
ногу	nogo
ногу	noga
ногу	stopalo
ногу	nogo
ногу	noga
ногу	nogi
страх	strah
интересная	zanimiv
интересная	zanimivo
интересная	zanimiva
заседания	sestanki
заседания	seje
заседания	sej
заседания	zasedanja
заседания	srečanja
побеждает	zmaga
разработчик	razvijalec
статуи	kipe
статуи	kipi
активная	aktivna
активная	dejavno
активная	aktiven
активная	aktivni
активная	aktivno
оперативной	operativno
оперативной	operativnih
оперативной	operativna
начальное	primarno
начальное	primarne
начальное	primarna
начальное	primarni
растворяется	raztopi
заметили	opazil
заметили	opazili
заметили	opazila
вмешательства	vmešavanje
вмешательства	motnja
вмешательства	vmešavanja
вмешательства	motnje
вмешательства	intervencija
вмешательства	intervencijo
вмешательства	posredovanje
вмешательства	intervencije
корона	krona
корона	krono
корона	corona
политиков	politikov
политиков	politiki
посла	veleposlanik
посла	ambasador
регулярного	redno
регулярного	redni
регулярного	redna
нова	nova
разногласия	razlik
разногласия	razlike
разногласия	nestrinjanje
разногласия	nesoglasja
операторы	upravljavci
операторы	operaterji
операторы	izvajalci
операторы	operaterje
производственного	produktivno
эмигрировал	emigriral
риа	ria
традиционный	tradicionalna
традиционный	tradicionalni
традиционный	tradicionalne
традиционный	tradicionalen
традиционный	tradicionalno
генералов	generali
генералов	generalov
фонтан	vodnjak
фонтан	fontana
авторство	avtorstva
ресторан	restavracija
присутствовали	udeležili
углы	vogalih
углы	kote
углы	kota
углы	koti
партизаны	partizani
отчет	prijavi
отчет	poročilo
экспорт	izvoz
экспорт	izvozi
экспорт	izvoz
антония	antonia
целое	cele
целое	cel
целое	cela
целое	celotno
вещь	stvar
учебников	učbeniki
подтверждено	potrjen
подтверждено	potrjeno
подтверждено	potrjeni
подтверждено	potrjena
лёгкий	lahki
лёгкий	lahek
шведская	švedska
шведская	švedsko
шведская	švedski
товарищества	tovarištva
враг	sovražnik
враг	sovražniki
изменилось	spremenjen
изменилось	spremenjeno
богдана	bohdan
наследник	dedič
наследник	naslednik
наследник	dediča
коммунистическая	komunistično
коммунистическая	komunist
коммунистическая	komunistična
коммунистическая	komunistični
широкая	široka
широкая	široko
широкая	široka
широкая	široki
широкая	široko
широкая	širok
мюзикл	glasbeni
мюзикл	muzikal
мюзикл	glasbena
резерв	rezerve
резерв	rezerva
резерв	rezervo
резерв	rezerve
репрессий	zatiranje
прозвища	vzdevke
безуспешно	neuspešno
интересный	zanimiv
интересный	zanimivo
интересный	zanimiva
реальные	resničen
реальные	resnično
реальные	resnična
реальные	prava
реальные	realno
теннис	tenisu
теннис	tenis
ключи	ključe
ключи	tipke
ключи	ključi
лавры	lovorike
сделанные	narejena
сделанные	narejeni
сделанные	narejen
сделанные	narejeno
восприятия	dojemanje
банды	združbe
банды	tolp
банды	tolpe
банды	bande
татарский	tatar
духовное	duhovna
духовное	duhovni
духовное	duhovnega
духовное	duhovne
духовное	duhovno
славу	slava
славу	slavo
славу	slava
славу	slavi
славу	slavo
таиланд	tajska
таиланд	tajsko
таиланд	tajske
финансирование	financiranje
финансирование	financiranje
финансирование	finance
финансирование	financiranje
младшая	najmlajše
младшая	najmlajša
младшая	najmlajši
младшая	mlajši
младшая	mlajša
младшая	mlajše
глазго	glasgow
соперников	tekmeci
пакистан	pakistan
робин	robin
робин	robyn
библиотек	knjižnice
угроза	grožnja
угроза	grožnja
мтс	mts
председатели	stoli
председатели	stolov
председатели	stole
председатели	predsednikov
председатели	predsedniki
председатели	predsedniki
мозель	moselle
подростков	najstniki
подростков	najstniki
подростков	najstnike
демо	demo
демо	demos
трагедия	tragično
трагедия	tragične
трагедия	tragičen
трагедия	tragična
трагедия	tragedije
трагедия	tragedijo
трагедия	tragedija
заседание	zasedanje
заседание	sejo
заседание	zasedanju
заседание	seja
заседание	seji
заседание	srečanje
заседание	sestanek
ушла	odšel
теоретик	teoretik
луки	loki
луки	loke
луки	luci
луки	luca
луки	luka
таиланда	tajska
таиланда	tajsko
таиланда	tajske
таиланда	tajska
таиланда	tajsko
таиланда	tajski
советники	svetovalci
советники	svetovalci
советники	svetovalce
троллейбус	trolejbus
отправили	poslan
отправили	poslana
отправили	poslani
отправили	poslano
отправили	poslane
аэропорты	letališča
гитлер	hitlerju
гитлер	hitler
гитлер	hitlerja
связанный	povezana
связанный	povezano
связанный	povezani
оплаты	plačilo
оплаты	izplačilo
организмов	organizmi
организмов	povzročitelji
организмов	organizme
хьюстон	houston
плацдарм	mostišče
счастье	srečo
счастье	sreče
счастье	sreča
загрузки	prenosi
загрузки	prejemanja
холл	hall
холл	dvorana
холл	hodnik
культ	kult
домашнее	domači
домашнее	domač
домашнее	domače
домашнее	domača
лесных	gozda
лесных	gozd
лесных	gozdni
лесных	gozdovi
никитин	nikitin
поколений	generacije
поколений	generacij
македония	makedonijo
македония	makedonija
утверждено	odobrena
утверждено	odobrene
утверждено	odobreni
утверждено	odobreno
утверждено	odobren
волос	dlake
волос	lasje
волос	lase
создатели	ustvarjalci
покрытия	kritje
покрытия	premazi
покрытия	prevleke
ферма	farma
ферма	kmetiji
ферма	kmetija
произносится	izrazita
произносится	izrazit
произносится	izrazito
грозный	grozni
грозный	groznem
условие	pogoj
условие	stanje
объединять	združi
объединять	združujejo
португальский	portugalski
португальский	portugalsko
португальский	portugalska
низкий	nizki
низкий	nizka
низкий	nizko
низкий	nizek
низкий	nizke
никуда	nikamor
никуда	nikjer
древесины	les
древесины	wood
древесины	lesena
древесины	lesa
древесины	lesni
древесины	leseno
уменьшить	zmanjšanje
уменьшить	zmanjšati
уменьшить	zmanjšanje
уменьшить	znižanje
уменьшить	psihiater
уменьшить	skrči
типичный	tipičen
типичный	značilno
типичный	tipično
геолог	geolog
мобильных	mobilna
мобильных	mobilni
мобильных	mobilnih
мобильных	mobilno
получены	prejeto
получены	prejeti
получены	prejeta
азота	dušik
азота	dušika
усовершенствования	izboljšave
усовершенствования	izboljšave
дань	poklon
мозг	možgani
мозг	možgansko
мозг	možganski
мозг	možgane
мозг	možganska
мозг	možgani
мозг	možgane
поднял	vzgojila
поднял	vzgojen
поднял	vzgojena
поднял	postavljeno
бред	brad
бред	delirij
бред	blede
дэнни	danny
дэнни	denny
секция	odsek
секция	poglavje
секция	razdelek
секция	oddelek
десятка	ten
десятка	ducat
нацистской	nacist
нацистской	nacistični
господин	gospod
господин	dominus
богатых	bogato
богатых	bogati
богатых	rich
богатых	bogat
богатых	bogata
богатых	bogat
сау	sau
биология	biologijo
биология	biologija
михайловский	mihajlovski
диалектов	narečij
сложность	težavah
сложность	oteženo
сложность	težave
сложность	zapletenost
сложность	zapletenosti
прибытия	prihod
осло	oslo
расписание	urnik
расписание	razpored
введено	uvedeno
введено	uveden
введено	uvedeni
введено	uvedene
введено	uvedena
квантовой	kvantno
квантовой	kvantni
джонатан	jonathan
разрыв	razpad
разрыв	razhod
разрыв	počila
разрыв	vrzel
греки	grki
греки	grški
греки	grško
греки	grk
греки	grška
проявления	manifestacije
васильевича	vasiljević
эволюция	evolucijo
эволюция	razvoj
эволюция	evolucija
подписания	podpisovanje
подписания	podpis
подписания	podpis
леонардо	leonardo
сеньор	signor
водитель	voznika
водитель	voznik
водитель	strojevodja
водитель	šofer
постоянная	trajni
постоянная	trajen
постоянная	trajna
постоянная	trajno
постоянная	stalna
постоянная	konstanta
постоянная	stalno
монахов	menihov
монахов	meniha
монахов	menihi
паоло	paolo
завоевать	osvojil
вино	vina
вино	vino
бокс	boks
прожил	živel
прожил	živeli
прожил	živela
рабов	sužnji
рабов	sužnje
формируется	oblikovanje
боливии	bolivijske
боливии	boliviji
популярная	priljubljene
популярная	priljubljena
популярная	priljubljeno
популярная	priljubljeni
популярная	priljubljen
желающие	željo
желающие	želja
шейх	šejk
шейх	šejk
охлаждения	hlajenje
путешественник	popotnika
путешественник	popotnik
путешественник	popotnik
гаити	haiti
гаити	haitiju
арсенал	arsenal
отбор	izbira
отбор	izbor
отбор	izbiranje
заменена	zamenjana
заменена	nadomeščen
автономии	samostojnost
автономии	avtonomija
автономии	avtonomijo
мадам	gospa
мадам	madam
мадам	madame
молока	mlečni
молока	mleka
молока	mleko
специалиста	specialist
словари	slovarji
длительность	trajanje
окончательный	končna
окончательный	končni
мера	ukrep
мера	merilo
департаменты	oddelki
новичков	novinci
новичков	novince
новичков	novinci
фазы	faze
фазы	faz
рекорды	evidenca
рекорды	zapisi
рекорды	evidence
меню	menu
меню	jedilnik
меню	meni
меню	meniji
белград	beograd
вилли	willy
вилли	willi
вилли	willie
хлеба	kruh
хлеба	kruha
владельцев	lastniki
кислот	kisline
дословно	dobesedno
археологических	arheološki
археологических	arheološki
сорока	štirideset
сорока	forty
сорока	sraka
соблюдать	opazuj
соблюдать	opazovati
наталия	natalija
наталия	natalia
приносит	prinaša
приносит	prinese
инициатором	pobudnik
дерби	derbi
глеб	gleb
голода	lakote
голода	lakota
голода	lakote
голода	lakoto
испанию	španija
ассамблеи	sklopi
ассамблеи	skupščina
ассамблеи	sklop
ассамблеи	sestavljanje
ассамблеи	sestav
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	zunaj
археолог	arheolog
отмечена	označena
отмечена	označeni
отмечена	označen
отмечена	označene
отмечена	označeno
отмечена	označena
отмечена	označeni
отмечена	označene
отмечена	označeno
баскетбол	košarka
баскетбол	košarko
константинополь	konstantinopel
гектаров	hektarov
гектаров	hektarjev
предпочтение	prednostno
предпочтение	zaželeno
общение	obveščanje
общение	komunikacija
общение	komuniciranje
общение	sporazumevanje
общение	sporočanje
общение	komuniciranje
общение	sporočanje
