dhe	et
njohur	reconnu
njohur	reconnues
njohur	reconnue
njohur	reconnus
njohur	connues
njohur	connue
njohur	connus
njohur	connu
shqiptar	albanaise
shqiptar	albanais
style	style
dytë	second
dytë	deuxième
dytë	deuxieme
dytë	seconde
mirë	bons
mirë	bien
mirë	bonne
mirë	bon
mirë	bonnes
fundit	dernier
fundit	dernière
fundit	derniers
fundit	dernières
fundit	dernier
fundit	dernières
fundit	derniers
fundit	dernière
pasi	apres
pasi	after
pasi	après
pasi	aprés
shiko	consultez
shiko	voyez
shiko	voir
shiko	vois
shiko	regardez
shiko	regarde
shiko	regardes
nën	dessous
nën	sub
nën	sous
nën	under
jpg	jpg
herë	plier
herë	rabattre
herë	plié
herë	pli
herë	fois
viti	annee
viti	an
viti	année
sot	hui
sot	aujourdhui
çdo	chaque
lartë	élevée
lartë	hautes
lartë	haut
lartë	haute
lartë	élevé
popullsi	populations
popullsi	population
kosovës	kosovo
komunë	municipalité
jetë	vie
president	présidente
president	président
bërë	fait
bërë	faite
mes	middle
mes	milieu
mes	mid
mes	entre
vonë	tardive
vonë	tardif
vonë	retard
vonë	tard
vend	pays
vend	lieu
vend	place
vend	endroit
vend	lieu
shqipëri	albanie
pak	petit
pak	peu
pak	petite
pak	légèrement
francë	france
fshat	campagne
fshat	village
zyrtare	fonctionnaire
zyrtare	officielles
zyrtare	officiels
zyrtare	officielle
zyrtare	officiel
kryetari	orateur
kryetari	intervenant
kryetari	enceintes
kryetari	conférencier
kryetari	président
vendosur	situés
vendosur	située
vendosur	localisé
vendosur	situé
pasur	avait
pasur	avaient
pasur	avais
pasur	riches
pasur	rich
pasur	riche
sepse	parce
sepse	car
sepse	parceque
sepse	cause
kishin	avait
kishin	avaient
kishin	avais
vitet	années
vitet	ans
tre	triplés
tre	trois
tre	three
fund	jupe
fund	jupes
fund	finissant
fund	end
fund	fin
marrë	prises
marrë	taken
marrë	pris
marrë	prise
tjerë	autres
harta	cartes
harta	plan
harta	carte
harta	cartes
mbreti	roi
mbreti	king
midis	entre
vogël	minuscule
vogël	minuscules
vogël	tiny
kosovë	kosovo
vjet	années
vjet	ans
përbëhet	consiste
pastaj	ensuite
pastaj	alors
pastaj	puis
shtetit	etat
shtetit	état
tiranë	tirana
kombëtare	nationaux
kombëtare	national
kombëtare	nationale
kombëtare	nationales
emrin	nommer
emrin	nom
emrin	dénomination
emrin	noms
mori	reçu
mori	reçues
mori	reçus
mori	reçue
mori	pris
mori	prit
filloi	commencé
filloi	démarré
filloi	commencée
ish	ancien
ish	ancienne
mars	marche
mars	mars
mars	mars
file	dossier
file	fichier
presidenti	présidente
presidenti	président
lindur	naître
lindur	né
lindur	naissance
lindur	née
lindur	born
lindi	lindi
lindi	lindy
lindi	naissance
kryesore	principal
kryesore	principales
kryesore	main
kryesore	principale
kryesore	principaux
aktualisht	actuellement
aktualisht	présentement
qyteti	ville
qyteti	ville
qyteti	villes
qershor	juin
pse	pourquoi
pse	why
maj	mai
maj	may
maj	peut
vetë	self
nëntor	novembre
janar	janvier
thotë	dit
shtator	septembre
vet	sa
vet	his
vet	ses
vet	son
brenda	brenda
brenda	interieur
brenda	inside
brenda	intérieur
shteteve	etats
shteteve	états
kryesisht	principalement
kryesisht	essentiellement
kryesisht	principalement
kryesisht	essentiellement
kryesisht	surtout
shqiptarë	albanais
prill	avril
ditë	journée
ditë	jour
ditë	journee
ditë	jours
ditë	journées
tetor	octobre
shkurt	fevrier
shkurt	février
shkurt	courte
shkurt	court
shkurt	courts
shkurt	courtes
bëhet	devenez
bëhet	deviennent
bëhet	deviens
bëhet	devenir
bëhet	devient
vjetër	ancienne
vjetër	anciens
vjetër	ancien
vjetër	vieux
vjetër	vieille
bën	rend
kodi	code
monark	monarque
dhjetor	décembre
dhjetor	decembre
dhjetor	décimale
dhjetor	décimal
mbret	roi
mbret	king
aktuale	actuel
aktuale	courant
aktuale	actuels
aktuale	actuelle
gjuhën	langue
gjuhën	langage
gjuhën	langues
tani	désormais
tani	now
tani	maintenant
frëngjisht	francais
frëngjisht	française
frëngjisht	français
frëngjisht	françaises
km²	km²
shtetet	etats
shtetet	états
shtetet	pays
informacion	informations
informacion	infos
informacion	renseignements
informacion	information
shume	très
shume	tres
shume	trés
shume	much
shume	beaucoup
gusht	aout
gusht	août
shba	usa
pranë	proche
pranë	près
top	top
top	haut
korrik	juillet
katër	quatre
rëndësishme	importante
rëndësishme	important
rëndësishme	importantes
rëndësishme	importants
fillim	commencement
fillim	début
prishtinë	pristina
jashtë	extérieur
jashtë	dehors
jashtë	exterieur
jashtë	sortir
jashtë	sortie
jashtë	dehors
jashtë	out
përbërja	composition
shën	sainte
shën	saint
qytet	ville
qytet	ville
qytet	villes
këtu	ici
këtu	voilà
këtu	voici
dhënë	donné
dhënë	donnés
dhënë	accordées
dhënë	accordé
dhënë	octroyé
dhënë	accordée
përdorur	utilisées
përdorur	utilisé
përdorur	utilisés
përdorur	utilisée
faqja	pages
faqja	page
aty	là
nëpër	via
krijuar	créée
krijuar	créé
krijuar	crée
krijuar	crées
krijuar	créés
del	del
zona	zone
zona	région
zona	zone
zona	domaine
vit	annee
vit	an
vit	année
shpesh	fréquent
shpesh	souvent
shpesh	fréquemment
shpesh	souvent
përfshirë	impliqué
përfshirë	impliqués
përfshirë	impliquée
përfshirë	incluses
përfshirë	inclus
përfshirë	incluse
përfshirë	compris
megjithatë	néanmoins
megjithatë	toutefois
megjithatë	cependant
data	date
kryesor	principal
kryesor	principales
kryesor	main
kryesor	principale
kryesor	principaux
kryesor	primaire
kryesor	primaires
emri	nommer
emri	nom
emri	dénomination
emri	noms
jane	jane
jane	jeanne
new	nouveau
new	nouvelle
new	nouvelles
new	nouveaux
new	nouveautés
isbn	isbn
zakonisht	habituellement
zakonisht	généralement
zakonisht	habituel
zakonisht	habituelle
reja	nouveau
reja	nouvelle
reja	nouvelles
reja	nouveaux
reja	nouveautés
federal	fédéral
federal	fédérale
federal	fédéraux
federal	fédérales
qarkun	comté
qendër	center
qendër	centrer
qendër	centre
qendër	centre
ana	ana
ana	anna
republika	république
iii	ill
iii	malade
iii	malades
iii	iii
provinca	province
der	der
fjalë	mot
fjalë	mots
ndodhet	situés
ndodhet	située
ndodhet	localisé
ndodhet	situé
amerikan	américaine
amerikan	américain
amerikan	américaines
amerikan	américains
osmane	ottoman
osmane	ottomane
pjesa	partie
caps	casquettes
caps	chapeaux
caps	caps
caps	bouchons
gjë	truc
gjë	chose
ali	allie
ali	ali
shkruar	ecrit
shkruar	écrite
shkruar	écrit
shkruar	écrites
shkruar	écrits
kulturore	culturels
kulturore	culturelle
kulturore	culturel
mesme	middle
mesme	milieu
mesme	moyen
mesme	moyennes
mesme	médium
mesme	moyenne
mesme	milieu
shqip	albanaise
shqip	albanais
numër	nombre
numër	numéro
atëherë	ensuite
atëherë	alors
atëherë	puis
mjaft	suffisamment
mjaft	assez
bazë	base
bazë	basiques
bazë	élémentaire
bazë	basique
bazë	basic
kohe	temps
kohe	heure
ndërtuar	construite
ndërtuar	construit
ndërtuar	bâti
ndërtuar	construits
ndërtuar	bâtir
ndërtuar	construire
nëpërmjet	via
nëpërmjet	via
solid	solides
solid	massif
solid	solide
fshati	village
vite	années
vite	ans
forcat	forces
vdiq	morte
vdiq	décédé
vdiq	mort
sipërfaqja	hull
sipërfaqja	coque
sipërfaqja	coques
jug	méridional
jug	sud
atyre	eux
lidhur	connectée
lidhur	connectés
lidhur	raccordée
lidhur	connecté
lidhur	liée
lidhur	lié
lidhur	relié
lidhur	liés
lidhur	liées
ushtarake	armée
ushtarake	militaire
ushtarake	militaires
veri	nord
papa	pape
papa	papes
popullore	populaires
popullore	populaire
numri	nombre
numri	numéro
atij	lui
përveç	sauf
përveç	excepté
vepra	opus
vepra	actes
vepra	travaux
vepra	œuvres
vepra	oeuvres
asaj	her
vërtetë	réel
vërtetë	réelle
vërtetë	véritable
vërtetë	vrai
vërtetë	vraie
vërtetë	vraiment
vërtetë	réellement
përmes	via
përmes	via
përdoret	utilisées
përdoret	utilisé
përdoret	utilisés
përdoret	utilisée
arriti	arrivés
arriti	arrivé
botë	monde
botë	mondial
botë	mondiale
spanjë	espagne
ndërkombëtare	international
ndërkombëtare	internationaux
ndërkombëtare	internationale
shqipëria	albanie
sidomos	particulièrement
sidomos	surtout
sidomos	spécialement
tretë	troisieme
tretë	troisième
tretë	tiers
tretë	third
tretë	troisièmement
veriore	septentrionale
veriore	nordique
veriore	septentrional
veriore	northern
veriore	nord
merr	prend
merr	prendre
merr	prenez
merr	prends
merr	obtenez
merr	obtenir
formë	shape
formë	forme
formë	forme
formë	formulaire
kisha	églises
kisha	eglises
kisha	église
kisha	eglise
veçantë	spéciales
veçantë	spécial
veçantë	spéciaux
veçantë	spéciale
shteti	pays
shteti	etat
shteti	état
vende	endroits
vende	lieux
vende	sièges
ndeshje	correspondance
ndeshje	allumette
ndeshje	match
njerëzit	gens
njerëzit	personnes
ende	still
ende	encore
ende	toujours
maqedonisë	macédoine
shënoi	marqué
shënoi	marquées
shënoi	marquée
shënoi	marqué
shënoi	marqués
fitoi	gagné
fitoi	gagnée
fitoi	gagnées
fitoi	won
fitoi	gagnés
vendi	pays
vendi	place
vendi	endroit
vendi	lieu
http	http
faqe	fesse
faqe	joue
faqe	joues
faqe	pages
faqe	page
faqe	pages
jeta	vie
popullsia	populations
popullsia	population
shqiptarët	albanais
kryetar	orateur
kryetar	intervenant
kryetar	enceintes
kryetar	conférencier
kryetar	bourgmestre
kryetar	maire
kryetar	maires
kryetar	président
luajtur	joués
luajtur	jouées
luajtur	jouée
luajtur	joué
shtëpi	maison
shtëpi	maisons
shtëpi	maison
shtëpi	domicile
shtëpi	accueil
gjuhë	langues
gjuhë	langue
gjuhë	langage
gjuhë	langues
historike	historique
historike	historiques
historike	historique
historike	historiques
fetare	religieux
fetare	religieuses
fetare	religieuse
perëndimore	occidentale
perëndimore	occident
perëndimore	ouest
perëndimore	west
perëndimore	occidentale
perëndimore	occidental
perëndimore	ouest
perëndimore	western
tri	tri
tri	trois
tri	three
shembull	exemple
ekonomike	économique
ekonomike	economiques
ekonomike	economique
ekonomike	économique
ekonomike	economique
ekonomike	economiques
tilla	tels
tilla	tel
tilla	telle
tilla	telles
saint	sainte
saint	saint
asnjë	aucun
asnjë	néant
asnjë	aucune
plotë	complète
plotë	pleine
plotë	plein
plotë	complet
rajoni	région
rajoni	district
shqiptarëve	albanais
shkolla	école
shkolla	ecoles
shkolla	écoles
shkolla	ecole
shkolla	école
afër	proche
afër	près
afër	fermer
afër	proche
then	échec
then	échouer
drejt	hétéro
drejt	vers
lindje	orientale
lindje	est
lindje	orient
historia	récit
historia	histoire
historia	historique
film	film
film	film
figura	image
figura	chiffres
figura	chiffre
figura	figure
zoti	god
zoti	dieu
zoti	lord
zoti	seigneur
kosova	kosova
kosova	kosovo
gjuha	langue
gjuha	langage
gjuha	langues
studimet	etudes
studimet	études
familje	familiale
familje	famille
familje	familles
duket	semble
duket	looks
tha	dit
tha	disait
fillon	débute
fillon	commence
fillon	débute
fillon	démarre
fillon	commence
fillon	démarrer
fillon	démarrage
anë	latéraux
anë	côté
anë	latérale
anë	latéral
gjerë	large
gjerë	vaste
greke	grecs
greke	grecque
greke	grecques
greke	grec
qëllim	objet
qëllim	finalité
qëllim	but
qëllim	objectif
city	ville
city	villes
tempulli	temple
tempulli	tempe
kane	kane
von	von
lufta	guerre
lufta	war
rast	cas
rast	étui
rast	affaire
vjen	vient
vjen	venir
grupi	groupe
grupi	orchestre
grupi	bande
grupi	groupe
pare	vu
pare	vus
itali	italie
arritur	atteint
arritur	atteints
arritur	atteint
shumica	majorité
shumica	majoritaire
shumica	majoritaires
rëndësishëm	instrumental
rëndësishëm	instrumentale
svg	svg
shkencore	scientifiques
shkencore	scientifique
autor	auteure
autor	auteur
përpara	forward
përpara	auparavant
përpara	avant
tregon	indique
tregon	spectacles
tonë	notre
tonë	nos
njerëz	gens
njerëz	personnes
jugore	méridional
jugore	méridionale
botuar	publiée
botuar	publiées
botuar	publiés
botuar	publié
pesë	five
pesë	cinq
anëtar	membres
anëtar	membre
lloji	aimable
lloji	taper
lloji	type
lloji	tapez
emër	noun
emër	nommer
emër	nom
emër	dénomination
emër	noms
ibn	ibn
grup	groupe
mali	montagne
mali	montagnes
mali	monter
mali	mont
mali	monture
mali	malien
mali	mali
zhvillimin	developpement
zhvillimin	développement
und	und
john	jean
john	john
vendet	sièges
vendet	endroits
vendet	lieux
vendet	pays
poshtë	down
poshtë	descendre
poshtë	dessous
poshtë	fond
fjala	mot
qendrore	central
qendrore	centrale
jep	bourses
jep	subventions
jep	fournit
jep	donner
jep	donne
jep	donnez
wikipedia	wikipédia
wikipedia	wikipedia
bashkë	ensemble
bashkë	together
hershme	early
hershme	précoce
hershme	tôt
jugut	méridional
jugut	sud
lindore	orientale
lindore	oriental
përfshinë	incluses
përfshinë	inclus
përfshinë	incluse
përfshinë	compris
italia	italie
qarqet	cercles
qarqet	circuits
qarqet	districts
qarqet	arrondissements
qarqet	quartiers
punë	travaux
punë	travail
punë	travailler
hapur	ouverte
hapur	ouvrez
hapur	ouvert
hapur	ouverture
hapur	ouvrir
hapur	débloqués
hapur	débloqué
hapur	ouvert
njihet	connues
njihet	connue
njihet	connus
njihet	connu
qendra	center
qendra	centrer
qendra	centre
qendra	centre
libri	livre
libri	réserver
romake	romain
romake	romaine
romake	roman
romake	romaines
romake	romains
shquar	distinguées
shquar	distingués
shquar	distinguée
shquar	distingué
caktuar	attribué
caktuar	assignée
caktuar	assignés
caktuar	affecté
caktuar	assignées
caktuar	assigné
administrative	administratif
administrative	administratives
administrative	administratifs
pati	patty
pati	patti
burimi	source
burimi	sources
burimi	ressource
sistemi	système
fushë	champ
fushë	domaine
shtëpia	maison
shtëpia	domicile
shtëpia	accueil
shtëpia	maison
kete	ceci
kete	cet
kete	cette
kete	cela
kete	ce
ora	temps
ora	heure
ora	ora
ora	horloge
ora	horloges
gola	buts
gola	objectifs
serbe	serbe
serbe	serbes
serbe	serbe
serbe	serbes
detit	mer
burim	source
burim	sources
njeri	humaine
njeri	humains
njeri	humain
njeri	man
njeri	mec
njeri	homme
not	nager
not	natation
not	baignade
faqet	pages
faqet	joues
ate	lui
lirë	gratuit
lirë	gratuits
lirë	free
lirë	gratuitement
lirë	libre
bardhë	blanche
bardhë	blancs
bardhë	blanches
bardhë	blanc
komuniste	communisme
komuniste	communistes
komuniste	communiste
gjermane	allemand
gjermane	allemands
gjermane	allemande
ujë	eaux
ujë	eau
zhvilluar	développées
zhvilluar	développés
zhvilluar	développée
zhvilluar	développé
rrethi	cercle
koha	temps
koha	heure
letrare	littéraire
letrare	littéraires
tokë	earth
tokë	terre
tokë	terre
tokë	terrain
tokë	terres
histori	récit
histori	histoire
histori	historique
kreu	head
kreu	tête
kreu	têtes
njeriu	man
njeriu	mec
njeriu	homme
gjendje	situation
gjendje	état
gjendje	condition
amerikane	américaine
amerikane	américain
amerikane	américaines
amerikane	américains
krye	top
krye	haut
tirana	tirana
veprat	actes
vendos	définir
vendos	décider
vendos	décide
vendos	décident
vendos	décidez
mbajtur	tenu
mbajtur	maintenu
mbajtur	entretenu
mbajtur	entretenue
mbajtur	maintenus
mbajtur	maintenue
mbajtur	gardé
com	ocm
com	com
madje	meme
madje	même
colspan	colspan
përfshin	inclut
përfshin	comprend
george	georges
george	george
elektrike	électrique
elektrike	electrique
elektrike	électrique
elektrike	electrique
luftë	guerre
luftë	war
arsye	raisons
arsye	raisons
arsye	raison
punuar	fonctionné
punuar	travaillé
punuar	travaillant
punuar	travailler
perëndim	occidentale
perëndim	occident
perëndim	ouest
perëndim	west
fëmijë	enfants
fëmijë	enfant
fëmijë	enfants
fëmijë	enfant
malit	montagne
malit	montagnes
qarku	comté
qarku	circuit
autori	auteure
autori	auteur
shtrihet	étire
shtrihet	tronçons
shtrihet	étend
mira	mira
mira	meera
verore	eté
verore	été
ushtarak	armée
ushtarak	militaire
ushtarak	militaires
ushtarak	martial
ushtarak	martiaux
san	san
përsëri	again
përsëri	encore
evropian	européens
evropian	européennes
evropian	européenne
evropian	européen
vendbanim	résidence
familja	familiale
familja	famille
familja	familles
larg	far
larg	loin
larg	loin
shkodër	shkodra
princi	prince
kaluar	passées
kaluar	passée
kaluar	passé
kaluar	passés
pikë	points
pikë	point
qeveria	gouvernement
qeveria	gouvernements
nobel	nobel
shkencave	sciences
rolin	rôle
jugosllave	yougoslaves
jugosllave	yougoslave
mal	montagne
mal	montagnes
mal	lta
mal	mal
vetem	seul
vetem	seuls
vetem	seule
vetem	seul
vetem	uniquement
vetem	seulement
vetem	seule
vetem	just
vetem	simplement
vetem	juste
drejtë	hétéro
drejtë	droite
drejtë	droit
aktor	comédien
aktor	acteur
italian	italiennes
italian	italienne
italian	italien
italian	italiens
skeda	tabulation
skeda	onglets
skeda	tab
skeda	onglet
luajti	joués
luajti	jouées
luajti	jouée
luajti	joué
gjashtë	six
universiteti	université
universiteti	universitaire
gjetur	trouvée
gjetur	trouvé
gjetur	trouvées
gjetur	retrouvé
gjetur	trouvés
radio	radiophonique
radio	radio
yes	oui
yes	yes
formuar	formés
formuar	formé
formuar	formées
formuar	formée
formuar	façonné
formuar	façonnés
formuar	façonnée
mbretëresha	reine
mbretëresha	queen
italiane	italiennes
italiane	italienne
italiane	italien
italiane	italiens
bazuar	basée
bazuar	basés
bazuar	basé
përshkrimi	descriptif
përshkrimi	description
rrugë	rues
rrugë	street
rrugë	rue
rrugë	routier
rrugë	route
rrugë	chemin
gjerman	allemand
gjerman	allemands
gjerman	allemande
lashtë	antiquité
lashtë	anciens
lashtë	ancien
lashtë	ancienne
perandoria	empire
poezi	poème
poezi	poésie
evropiane	européens
evropiane	européennes
evropiane	européenne
evropiane	européen
drejtim	direction
luan	luan
luan	lion
luan	lionne
luan	joue
luan	jouer
luan	jouant
artistike	artistiques
artistike	artistique
mundur	possible
mundur	possibles
mundur	vaincu
mundur	défaite
mundur	battu
mundur	vaincus
mundur	vaincue
mundur	poss
atje	là
brendshme	interieur
brendshme	intérieur
brendshme	intérieurs
dita	dita
dita	journée
dita	jour
dita	journee
shpejt	bientôt
shpejt	prochainement
shpejt	bientot
shpejt	rapide
shpejt	rapidement
shpejt	vite
shpejt	rapidité
shpejt	rapides
shpejt	rapidement
shpejt	vite
shpejt	rapide
shpejt	rapidement
shpejt	vite
shpejt	rapides
natyrore	naturel
natyrore	naturelles
natyrore	naturels
natyrore	naturelle
veriut	nord
veriut	septentrionale
veriut	nordique
veriut	septentrional
veriut	northern
veriut	nord
ndryshe	différentes
ndryshe	différente
ndryshe	différents
ndryshe	différent
ndryshe	autrement
ndryshe	sinon
ara	cultures
ara	récoltes
ara	ara
perandori	empire
perandori	empereur
perandori	empereurs
kush	qui
kush	oms
kush	who
fusha	domaines
fusha	champs
fusha	champ
fusha	domaine
fusha	domaines
fusha	zones
anglisht	anglaise
anglisht	francais
anglisht	anglais
forma	formes
forma	formes
forma	formulaires
forma	shape
forma	forme
forma	forme
forma	formulaire
fillimisht	initialement
fillimisht	initialement
muaj	mois
muaj	mois
publike	publics
publike	publiques
publike	public
publike	publique
shënuar	marqué
shënuar	marquées
shënuar	marquée
shënuar	marqué
shënuar	marqués
shtet	pays
shtet	etat
shtet	état
demokratike	démocratique
demokratike	démocrate
demokratike	démocratiques
filmi	film
filmi	film
veçanërisht	particulièrement
veçanërisht	particulièrement
veçanërisht	surtout
veçanërisht	spécialement
veçanërisht	spécifiquement
veçanërisht	précisément
veçanërisht	spécialement
moderne	modernité
moderne	moderne
moderne	modernes
metra	compteurs
metra	mètres
artit	art
artit	artistique
artit	oeuvres
artit	artwork
gjithmonë	always
gjithmonë	tjrs
gjithmonë	toujour
gjithmonë	toujours
tashmë	déja
tashmë	déjà
tashmë	deja
tashmë	dejà
york	york
kryer	mené
kryer	engagée
kryer	engagés
kryer	commis
kryer	engagé
postal	npa
gjermani	allemagne
erdhi	arrivés
erdhi	arrivé
erdhi	vint
dorë	main
dorë	hand
sukses	succes
sukses	succès
sukses	success
sukses	réussite
gjate	longues
gjate	longs
gjate	longue
gjate	longtemps
gjate	long
world	monde
world	mondial
world	mondiale
paris	paris
shtatë	seven
shtatë	sept
shtatë	septième
shtatë	seventh
këngë	chanson
këngë	chansons
këngë	chant
këngë	chanson
megjithëse	quoique
vazhdoi	continué
përmban	contient
përmban	contiennent
përmban	contenir
targa	assiettes
targa	plaques
marrin	reçois
marrin	reçoivent
marrin	recevez
marrin	recevoir
menjëherë	immédiatement
menjëherë	aussitôt
gati	prête
gati	pret
gati	prêtes
gati	prêt
gati	prêts
robert	robert
robert	thierry
club	club
libër	livre
libër	réserver
përfundoi	complété
përfundoi	terminée
përfundoi	achevés
përfundoi	achevé
përfundoi	terminées
përfundoi	terminé
përfundoi	fini
përfundoi	terminée
përfundoi	finis
përfundoi	terminé
mire	bons
mire	bien
mire	bonne
mire	bon
mire	bonnes
sistem	système
shekulli	siecle
shekulli	siècle
shekulli	century
periudhë	période
vazhdon	poursuit
vazhdon	continue
shoqërore	sociétaux
shoqërore	sociétal
shoqërore	sociale
shoqërore	sociaux
shoqërore	social
artikuj	articles
sotme	hui
sotme	aujourdhui
shkrimtar	rédacteur
shkrimtar	auteur
shkrimtar	écrivain
shkrimtar	scénariste
ndërkohë	entretemps
qartë	limpide
qartë	clair
qartë	effacer
qartë	manifestement
qartë	clairement
huaj	étranger
huaj	etranger
huaj	étranger
huaj	etranger
huaj	étrangère
huaj	étrangères
francez	francais
francez	française
francez	français
francez	françaises
thjeshtë	simple
thjeshtë	simples
thjeshtë	simplement
fshatrat	bourgs
fshatrat	villages
vlera	valeurs
vlera	valeur
sikur	comme
sikur	aime
sikur	aiment
sikur	genre
sikur	aimez
themeluar	fondé
themeluar	fondée
themeluar	établies
themeluar	établie
themeluar	établi
themeluar	établis
rol	rôle
ndërkombëtar	international
ndërkombëtar	internationaux
ndërkombëtar	internationale
bashkimi	union
bashkimi	syndicat
bashkimi	fusion
bashkimi	unité
bashkimi	unity
bashkimi	rejoindre
lumi	fleuve
lumi	rivière
lumi	lumi
maqedoni	macédoine
golin	objectif
golin	but
toka	earth
toka	terre
toka	terre
toka	terrain
toka	terres
raste	occasions
raste	cas
here	fois
here	temps
here	heure
xxxx	xxxx
filluan	commencé
filluan	démarré
filluan	commencée
shkurtër	courte
shkurtër	court
shkurtër	courts
shkurtër	courtes
shkurtër	bref
shkurtër	brèves
shkurtër	brève
yyyy	aaaa
roman	romain
roman	romaine
roman	roman
roman	romaines
roman	romains
william	guillaume
william	william
uefa	uefa
vendosi	décidée
vendosi	décidés
vendosi	décidé
mbetur	restantes
mbetur	restant
mbetur	restants
rruga	rues
rruga	street
rruga	rue
rruga	routier
rruga	route
rruga	chemin
ndoshta	surement
ndoshta	probablement
ndoshta	sûrement
kupa	calice
kupa	coupes
kupa	tasses
kupa	gobelets
kupa	gobelet
kupa	cup
kupa	tasse
kupa	coupe
ekonomik	économique
ekonomik	economiques
ekonomik	economique
ekonomik	économique
ekonomik	economique
ekonomik	economiques
bukur	beau
bukur	superbe
bukur	magnifiques
bukur	magnifique
bukur	belle
bukur	joli
bukur	jolie
bukur	jolies
bukur	sympa
bukur	gentil
bukur	joli
bukur	jolie
bukur	nice
jean	jean
turke	turques
turke	turque
turke	turc
turke	turcs
ulët	basses
ulët	basse
ulët	faible
ulët	faibles
ulët	bas
periudha	période
periudha	périodes
real	réel
real	réelle
real	véritable
real	vrai
real	vraie
jetojnë	live
jetojnë	vivant
jetojnë	vivre
publik	publics
publik	publiques
publik	public
publik	publique
pavarur	indépendant
pavarur	indépendante
pavarur	indépendantes
pavarur	indépendants
pavarur	indépendant
pavarur	freelance
ushtria	armée
ushtria	militaire
ushtria	militaires
ushtria	armée
lind	naître
lind	né
lind	naissance
lind	née
lind	born
lind	lind
fundi	end
fundi	fin
ndarë	divisé
ndarë	divisée
ndarë	divisées
ndarë	divisés
klubi	club
kuqe	rouges
kuqe	roux
kuqe	rouge
pasha	pacha
puna	travaux
puna	travail
puna	travailler
puna	puna
vdekur	morts
vdekur	morte
vdekur	dead
vdekur	mort
university	université
university	universitaire
www	www
gjeografike	géographique
gjeografike	géographiques
gjeografike	géographique
madrid	madrid
njësi	unités
njësi	unité
njësi	unite
njësi	unit
osman	osman
qytetet	bourgs
qytetet	villes
https	https
gazeta	journal
gazeta	journaux
gazeta	quotidiens
gazeta	papier
gazeta	papiers
rritur	adulte
rritur	adultes
format	formes
format	formater
format	format
zgjedhur	sélectionnés
zgjedhur	sélectionnées
zgjedhur	sélectionnée
zgjedhur	sélectionné
anëtarët	membres
anëtarët	adhérents
banorët	habitants
banorët	résidants
