массачусетс	massachusetts
путівник	gabay
матриця	matrix
матриця	matris
формує	hugis
розчин	solusyon
баланс	balanse
тунель	tunnel
визначена	tinukoy
визначена	kinilala
визначена	nakilala
розгортання	expansion
випускник	graduate
мат	mate
мат	checkmate
ветеран	veteran
ветеран	beterano
ветеран	sanay
вірогідно	kuno
герберт	herbert
змусили	pinilit
змусили	sapilitang
вирощують	lumago
вирощують	paglaki
вирощують	paramihin
художниця	artista
художниця	artist
корінь	ugat
корінь	root
алкоголю	alak
алкоголю	alak
алкоголю	alkohol
медічі	medici
відзначення	kos
звільнили	umatake
звільнили	fired
звільнили	pinalabas
договори	treaties
бурятія	buryatia
занепад	doom
арабська	arabic
арабська	arabe
арабська	arabo
процесора	cpu
симона	simone
мартин	bako
метали	metal
метали	metals
дені	dani
модулі	modules
дозволити	paganahin
дозволити	pahintulutan
дозволити	payagan
їхньому	kanilang
пшениці	trigo
співдружності	commonwealth
незалежний	malayang
незалежний	independent
величезна	napakalaki
штучний	artipisyal
штучний	artificial
двадцяти	bente
двадцяти	dalawampu
підтверджує	nagko
підтверджує	nanindigan
подією	pangyayari
подією	kaganapan
подією	event
вершину	vertex
рука	bisig
рука	braso
рука	kamay
стиснення	compress
реальність	katotohanan
тридцять	tatlumpung
тридцять	medya
подію	pangyayari
подію	kaganapan
подію	event
неправильно	mali
аналогічний	analogo
диски	cd
улюблений	favourite
улюблений	paborito
улюблений	favorite
іспанською	spanish
іспанською	kastila
іспанською	espanyol
доведено	pinatunayan
доведено	napatunayan
ззаду	likod
ззаду	bumalik
ззаду	balikan
ззаду	balik
жанрів	genres
суперників	karibal
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yankee
статистичні	statistical
цвітіння	blossom
цвітіння	pamumulaklak
цвітіння	namumulaklak
фан	fan
фан	tagahanga
фан	fang
трикутник	tatsulok
клермон	clermont
крива	curve
крива	liko
радника	tagapayo
кіпру	cyprus
самець	male
самець	lalaki
заново	manumbalik
емілія	emilia
емілія	amelia
голокосту	holocaust
земельні	zealand
різновидів	flavors
гессен	hesse
віл	wil
віл	hiv
леопольд	leopold
актуальні	nauuso
актуальні	trending
тяжіння	gravitation
тяжіння	gravity
індонезія	indonesia
прованс	provence
вимова	pagbigkas
вимова	bigkas
наступником	successor
серійний	serial
францію	pransiya
францію	france
автономний	autonomous
автономний	awtonomong
автономний	sosyalistikong
автономний	offline
алтай	altai
включати	magsama
включати	isama
арагон	aragón
арагон	aragon
тонкі	manipis
тонкі	ginhawa
тонкі	payat
сант	sant
підлітків	teen
підлітків	tinedyer
закриті	nakasara
закриті	sarado
закриті	saradong
мідь	tanso
воїн	warrior
воїн	mandirigma
уельс	wales
духовні	espirituwal
духовні	spiritual
розробник	developer
янг	bata
шостий	ikaanim
вісь	axis
єврейська	jewish
єврейська	griyego
єврейська	ebreo
єврейська	hebreo
колон	colón
колон	colon
податок	buwis
прокурора	abugado
прокурора	attorney
прокурора	prosecutor
рядка	linyang
рядка	linya
рядка	line
гранд	grandes
гранд	grande
гранд	grand
сталін	stalin
дует	duet
секція	section
секція	seksyon
секція	seksiyon
латинська	latin
адаптації	adaptation
позначені	tinang
позначені	tinag
колеги	kasamahan
колеги	katrabaho
підтримати	suportahan
підтримати	support
підтримати	sumusuporta
підтримати	suporta
підтримати	sumuporta
підтримати	sinusuportahan
дослівно	verbatim
дзеркала	salamin
штучні	artipisyal
штучні	artificial
публікація	story
публікація	kuwento
публікація	kwento
публікація	publikasyon
публікація	publication
публікація	paglalathala
публікація	publishing
едмонтон	edmonton
здійснюються	pinamamahalaan
адріан	hadrian
адріан	adrian
якесь	ilang
якесь	ilan
італію	italya
кора	cora
спалили	sinusunog
звіти	ulat
спеціалізовані	espesyal
правосуддя	katarungan
правосуддя	hustisya
сміття	basura
сміття	basura
пор	daungan
природним	natural
природним	naturally
колесо	gulong
колесо	gulong
юлій	julius
враховувати	konsiderasyon
приток	tributaries
череп	bungo
захоплені	nakunan
захоплені	captured
вгорі	itaas
вгорі	upper
вгорі	tuktok
вгорі	nangunguna
вгорі	itaas
коричневі	brown
коричневі	kayumanggi
колона	hanay
колона	haligi
колона	colonna
рідкісний	bihirang
рідкісний	bihira
піднімається	pagsikat
піднімається	sumisikat
піднімається	rising
купол	dome
передбачав	predicted
почути	marinig
почути	maririnig
почути	naririnig
лео	leo
жорстоко	malupit
мандрівник	traveler
мандрівник	manlalakbay
мандрівник	traveller
мандрівник	manlalakbay
мандрівник	palaboy
барі	bari
багатства	yaman
худ	hood
тренування	pagsasanay
тренування	practice
мільйон	milyon
малювання	painting
малювання	pinta
малювання	pagguhit
малювання	drawing
сімейство	kapamilya
сімейство	pamilya
аполлон	apollo
рафаель	raphael
рафаель	rafael
урану	uranyo
дума	duma
перевагою	bentahe
перевагою	samantalahin
перевагою	advantage
перевагою	kalamangan
почалась	sinimulan
зібрано	nakapaloob
зібрано	binuo
зібрано	naipon
зібрано	inipon
зібрано	kapnayan
зібрано	tinipon
переконати	kumbinsihin
розлучення	diborsiyo
пен	peng
пен	pin
сервера	server
люфтваффе	luftwaffe
штучно	artipisyal
штучно	fictional
фотограф	photographer
стрічку	ticker
стрічку	tape
попит	pangangailangan
попит	demand
крайній	porno
винахід	imbento
змінилася	nagbago
змінилася	binago
змінилася	pinalitan
записати	magsulat
записати	sumulat
записати	isulat
записати	record
записати	talaan
записати	rekord
записати	sunugin
записати	paso
куби	cuba
уникати	iwasan
звільнено	umatake
звільнено	fired
звільнено	napalaya
албанія	albanya
албанія	albania
туристичний	turista
пола	pola
дружба	pakikipagkaibigan
дружба	pagkakaibigan
дружба	pakikipagkaibigan
чорногорія	montenegro
венера	venus
айрес	aires
зменшує	binabawasan
могилу	puntod
могилу	libingan
могилу	grave
підключення	kumokonekta
підключення	pagkonekta
підключення	kinokonekta
поліцейський	pulis
поліцейський	pulis
дам	dame
поверхонь	surface
поверхонь	ibabaw
конкретно	partikular
курорт	resort
позитивний	positive
позитивний	positibong
позитивний	positibo
туніс	tunisia
туніс	tunis
чай	tsaa
чай	tsa
кримінальні	kriminal
вірус	virus
висловлювання	output
розрив	break
розрив	puwang
розрив	gap
куля	sphere
куля	bala
легенд	legends
органічні	organic
підприємців	negosyante
ресторан	restawran
ресторан	kainan
ресторан	restaurant
цілу	whole
цілу	buo
цілу	buong
підняття	pagpapalaki
згоду	apruba
згоду	pagpayag
згоду	approval
згоду	pahintulot
зростанням	ascending
коричневий	brown
коричневий	kayumanggi
археологічний	archaeological
лави	lava
шкода	naawa
шкода	awa
шкода	patawad
шкода	paumanhin
шкода	nanghihinayang
шкода	nagsisi
шкода	panghihinayang
делла	della
фарби	paint
фарби	pintura
сформовано	nabuo
собака	aso
собака	dog
шолом	helmet
пропаганда	propaganda
записані	isinulat
записані	nakasulat
записані	sinulat
записані	naisulat
впливати	makakaapekto
впливати	impluwensiya
впливати	impluwensya
швейцарський	swiss
сильних	kapangyarihan
підприємстві	pasilidad
підприємстві	facility
лікуванні	gamutin
лікуванні	treat
ліцензію	lisensya
ліцензію	licence
ліцензію	lisensiya
ліцензію	lisensya
курт	kurt
сумнів	pagdududa
сумнів	duda
сумнів	doubt
сумнів	alinlangan
змішані	mixed
змішані	magkahalong
підтверджено	kumpirmado
підтверджено	nakumpirma
підтверджено	inaprubahan
підтверджено	naaprubahan
індивідуальні	indibiduwal
заарештовано	naaresto
заарештовано	arestado
заарештовано	inaresto
альтернативний	alternatibong
альтернативний	alternatibo
альтернативний	kahaliling
альтернативний	alternatibong
альтернативний	alternate
континенту	kontinente
ванкувер	vancouver
небесної	makalangit
зла	evil
зла	masama
зла	kasamaan
траса	bakas
встановлює	sets
чекає	waits
заслуговує	nararapat
холодна	malamig
холодна	sipon
холодна	lamig
фільтр	filter
фільтр	salain
фільтр	panala
сильна	malakas
сильна	strong
мера	alkalde
мера	mayor
важливості	kahalagahan
репертуар	repertoire
ваз	vaz
ярмарок	patas
ліцензія	lisensya
ліцензія	licence
ліцензія	lisensiya
ліцензія	lisensya
пісок	buhangin
пісок	sand
пера	feather
гірше	malala
ворог	kaaway
невдало	sawi
невдало	nabigo
невдало	palpak
невдало	fails
девіз	motto
девіз	moto
лицарі	knights
часті	madalas
завершити	tapusin
завершити	matatapos
завершити	katapusan
завершити	pagtatapos
завершити	tapusin
завершити	dulo
завершити	complete
завершити	kumpletuhin
завершити	kompleto
завершити	kumpleto
підняти	iangat
підняти	angat
підняти	taasan
відсутнє	wala
змінні	variables
клер	claire
клер	clair
нікого	sinuman
террі	terry
раннє	maagang
раннє	maaga
задня	posterior
вибрана	pinili
інфраструктура	imprastraktura
присвячено	nakatutok
присвячено	dedikado
спорядження	backpack
спорядження	gear
кіото	kyoto
продюсери	producers
продюсери	producer
навчальної	tutorial
реалізувати	ipatupad
наміри	hangarin
черепаха	pagong
черепаха	tortoise
збудження	panghihimok
синонім	synonym
пропонував	ambag
тези	theses
кінематограф	cinematography
кінематограф	sinehan
кінематограф	cinema
страв	pinggan
браян	brian
браян	bryan
гільдії	guild
гільдії	kapisanan
рон	rhône
рон	ron
ілюстрація	illustration
схему	scheme
традиційна	tradisyunal
традиційна	tradisyonal
симон	simon
залізний	bakal
залізний	iron
якоб	jacob
якоб	jakob
рукописи	manuscripts
тримається	magtagal
вихідний	papalabas
збираються	pagtitipon
видати	puke
мовні	antropolohiyang
привілеї	pribilehiyo
фраза	parirala
міфи	myths
фольклор	katutubong
фольклор	folk
фольклор	alamat
заповіт	tipan
будівельник	builder
скарби	treasures
рання	maagang
рання	maaga
джейсон	jason
комерційного	pangkalakal
комерційного	commercial
комерційного	komersyal
комерційного	komersiyal
юліан	julian
анатомія	anatomiya
федеральний	federal
федеральний	pederal
тед	ted
польщу	poland
керрі	kerry
керрі	carrie
страйк	strike
страйк	welga
віддали	nagbigay
платівки	records
платівки	talaan
рибу	isda
оригінал	orihinal
підвищує	tataas
тихий	pasipiko
тихий	pacific
відмова	pagkabigo
себастьян	sebastian
себастьян	sebastián
єзуїтів	heswita
стелі	kisame
постійна	constant
євгеній	eugene
євгеній	eugenio
хоп	sakay
підвищити	pagtaas
підвищити	dagdagan
підвищити	taasan
змії	snakes
змії	ahas
безпосередній	napipintong
безпосередній	agarang
безпосередній	kagyat
провідник	patnubay
провідник	gabay
провідник	konduktor
партизан	partisan
допомагали	natulungan
допомагали	tinulungan
аграрної	agrarian
ютери	machine
мільярдів	billion
мільярдів	bilyon
протести	protests
ельзас	alsace
шеф	chef
шеф	chief
шеф	hepe
завтра	bukas
обряд	rite
боксери	boxers
жозеф	joseph
зупинка	tigil
зупинка	itinigil
зупинка	tumigil
зупинка	tma
зупинка	tumigil
зупинка	itigil
зупинка	tigil
зупинка	huminto
допомагати	pagtulong
дзвін	bells
дзвін	bell
проміжок	pagitan
проміжок	interval
проміжок	whitespace
удари	tap
удари	paglagay
холодний	malamig
холодний	sipon
холодний	lamig
сорок	apatnapu
вантажний	kargada
вантажний	kargamento
епізоди	episodes
відпочинок	paglilibang
відпочинок	libangan
відпочинок	pahinga
автомат	makina
апостол	alagad
апостол	apostol
липа	lipa
липа	tilia
калію	potassium
цифр	digits
цифр	digit
змінився	nagbago
змінився	binago
змінився	pinalitan
замінено	pinagpalit
замінено	pinalitan
пів	kalahati
пів	kalahating
пів	half
спираючись	nakahilig
подвійний	dobleng
подвійний	double
подвійний	doble
подвійний	dalawahan
подвійний	dual
відверто	tumitira
нараховується	iginawad
сортування	pagkakaayos
розробок	developments
організми	organismo
організми	organism
десант	assault
десант	troopers
путін	putin
юридичні	legal
труси	salawal
труси	panty
труси	boxers
пишеться	spell
пишеться	spelling
організували	hagdan
барбара	barbara
законодавчих	distritong
колу	coke
сосни	pines
павільйон	pavilion
копіювання	kopya
копіювання	copy
копіювання	kopyahin
копіювання	kinokopya
подарунок	gift
подарунок	regalo
подарунок	kasalukuyan
буркіна	burkina
блиск	shine
обстеження	sinusuri
обстеження	nasuri
продати	ibenta
продати	magbenta
продати	nagbebenta
помічника	assistant
помічника	katulong
стамбул	istanbul
іноземців	dayuhan
захоплено	captures
фаза	phase
відчуває	sarili
прочитати	mabasa
прочитати	nabasa
прочитати	basahin
мовознавство	lingguwistika
існуючі	umiiral
електроніка	elektronika
електроніка	electronics
електроніка	elektronikong
електроніка	electronic
зімбабве	zimbabwe
координації	koordinasyon
перетворити	convert
перетворити	transform
зварювання	hinang
дощів	maulan
цинку	sink
узагальнення	paglalahat
ленін	lenin
болгарський	bulgaro
говорили	talking
говорили	nakausap
говорили	kinausap
говорили	nagsalita
фрукти	prutas
фрукти	bunga
фрукти	fruits
фрукти	prutas
міф	mito
міф	myth
здавалося	tila
партнер	partner
партнер	kasosyo
партнер	kapareha
дельта	delta
очікування	naghihintay
очікування	waiting
налаштування	setup
налаштування	configuration
налаштування	pagsasaayos
налаштування	kagustuhan
рушій	engine
рушій	makina
старші	older
навички	skills
завдали	dulot
зустрічей	pagpupulong
діалог	query
діалог	dialogue
едо	edo
порошенко	poroshenko
купити	bilhin
купити	pagbili
купити	bumili
купити	bilhin
купити	bibilhin
купити	bumili
геральдика	heraldry
цивільний	civil
цивільний	sibil
цивільний	civilian
потяги	tren
принцеси	princesses
доставки	pagdadala
доставки	pagpapadala
підводного	lunod
практичне	praktikal
завершується	matatapos
завершується	nagtatapos
завершується	ending
редакторів	editor
шини	gulong
шини	bus
продовжили	naipagpatuloy
продовжили	nakatakas
продовжили	tumakas
дане	dane
житель	mamamayan
житель	citizen
брокгауза	efron
демократичний	democratic
демократичний	demokratikong
демократичний	demokratiko
сирія	syria
сирія	suwesya
індіана	indiana
боже	sus
боже	god
боже	diyos
зараження	infected
зараження	nahawaang
захисників	defenders
форд	ford
фірмі	kompanya
фірмі	matibay
юхимович	rasputin
лід	lead
лід	humantong
лід	tingga
лід	pamunuan
лід	yelo
лід	ice
дунай	danubio
демо	demo
демо	pagpapakita
прибрати	malinis
прибрати	alisin
палаті	ward
нагірно	nagorno
темний	madilim
темний	maitim
темний	dilim
мусульмани	muslim
видобування	extraction
облога	siege
облога	paglusob
ходів	moves
ходів	gumagalaw
ніколас	nicolás
ніколас	nicholas
брами	gates
баррі	barry
лувр	louvre
фішер	fisher
фішер	fischer
додаткова	dagdag
додаткова	extra
додаткова	supplemental
припинено	itinigil
казані	kazan
гарно	ganda
гарно	sarap
гарно	nice
перетворено	convert
геологічних	geological
перекласти	translate
перекласти	isalin
корі	corey
корі	cory
трудові	paggawa
трудові	pinaghirapan
трудові	labor
перемагає	panalong
перемагає	daig
перемагає	pagkatalo
груди	dibdib
груди	dibdib
груди	suso
чекати	teka
чекати	maghintay
чекати	wait
птаха	ibon
стадія	entablado
стадія	yugto
стадія	stage
ззовні	labas
рейд	raid
пояснив	ipinaliwanag
автоматична	awtomatiko
автоматична	awtomatikong
отвори	butas
зближення	frontiers
сухі	tuyo
сухі	tuyong
поповнення	replacement
поповнення	hukbo
жива	buhay
фасо	faso
дивитися	watch
дивитися	panoorin
дивитися	relo
дивитися	pinapanood
дивитися	nanonood
дивитися	pinanonood
ставлять	lahi
жанна	juana
жанна	jeanne
таємниця	misteryo
таємниця	sikreto
таємниця	secret
таємниця	lihim
творців	gumagawa
застосувати	apply
застосувати	ilapat
печер	tabon
прогнозування	forecasting
коротко	dagli
коротко	maikli
коротко	maikling
тяжко	hard
тяжко	mahirap
тяжко	nursing
нагляду	binabantayan
ректора	rector
куб	kubo
куб	cube
напали	sinugod
напали	umatake
універсальний	unified
універсальний	universal
універсальний	unibersal
подивитися	makita
подивитися	see
подивитися	makakita
подивитися	tingnan
подивитися	watch
подивитися	panoorin
подивитися	relo
подивитися	tumingin
подивитися	look
очікується	inaasahang
очікується	inaasahan
очікується	inasahan
очікується	nakaabang
очікується	umaasa
очікується	nakabinbin
матвій	mateo
членство	membership
оригінальне	orihinal
звернутися	kumonsulta
повітряна	aerial
повітряна	hangin
повітряна	himpapawid
подають	served
подають	nagsilbi
подають	hinahatid
подають	naglilingkod
битв	battlefield
ірак	iraq
гомер	homer
орда	horde
степ	steppe
пострілів	shots
тінь	shadow
тінь	anino
переглянути	browse
переглянути	suriin
переглянути	review
переглянути	makita
переглянути	see
переглянути	makakita
переглянути	tingnan
переглянути	pagtingin
переглянути	tingnan
переглянути	tignan
переглянути	panonood
переглянути	view
антологія	anthology
інтенсивність	intensity
інтенсивність	lakas
інтенсивність	tibay
християни	christian
християни	kristiyano
християни	kristiyano
паша	pasha
знімок	snapshot
сусідів	roommate
олівер	oliver
фундамент	pundasyong
фундамент	foundation
фундамент	pundasyon
окреме	hiwalay
нагляд	binabantayan
ходити	naglalakad
ходити	lumalakad
заборонені	forbidden
заборонені	ipinagbabawal
хоккайдо	hokkaido
хоккайдо	hokkaidō
волтер	walter
орест	orestes
ключі	keys
ключі	susi
ключі	token
землеробство	agrikultura
бак	buck
бак	alma
бак	bak
бак	bac
самка	babae
самка	female
таблиць	mesa
гарольд	harold
турин	torino
скрізь	saanman
скрізь	dako
приєднатися	sumali
приєднатися	sasali
приєднатися	sali
меблі	furniture
платон	plato
чия	kaninong
грудей	dibdib
грудей	suso
збережені	save
сенатор	senador
сенатор	senator
буш	bush
глибокий	malalim
глибокий	deep
просте	simple
просте	simpleng
хутро	fur
хутро	balahibo
зареєстрований	nakarehistro
іванова	ivanova
дано	dano
дано	binigay
дано	given
дано	ibinigay
посадку	landing
скандал	scandal
скандал	iskandalo
скандал	scandals
арабські	arabic
арабські	arabe
арабські	arabo
кей	kay
реп	rep
обеліск	obelisk
збирає	nangongolekta
референдум	reperendum
патент	patent
супер	super
аматорів	amateurs
їсти	kain
їсти	kumakain
їсти	kumain
відправлення	aalis
відправлення	alis
зручності	kaginhawahan
прихід	pagdating
прихід	arrival
строго	mahigpit
чверть	quarter
протест	pagtutol
протест	protesta
фермі	fermi
інтенсивно	matinding
меню	menu
меню	menu
брюссель	brussels
яйце	itlog
боснія	bosnia
турецькі	turko
побачила	saw
побачила	nakita
складна	hard
складна	mahirap
владимир	vladimir
сир	keso
трилер	thriller
путіна	putin
півфіналі	semifinals
сніг	niyebe
сніг	snow
необхідним	kinakailangan
мануель	manuel
дейв	dave
вілен	vilaine
візит	puntahan
візит	pagbisita
чинний	valid
чинний	bisang
чинний	validity
чинний	bisa
напої	inumin
напої	inumin
напої	uminom
напої	inumin
напої	umiinom
куль	bullets
співає	kumakanta
співає	kantahan
співає	pagkanta
діалектів	dialects
альфонсо	alfonso
класичні	classic
класичні	klasikong
класичні	klasiko
картах	maps
картах	mapa
грант	grant
співав	sang
фінансова	pinansyal
фінансова	financial
жук	salagubang
надані	ibinigay
ведмідь	madala
ведмідь	oso
ведмідь	kinaya
сьомий	ikapitong
протока	kipot
імператриця	emperatris
контролює	pagkontrol
контролює	kinokontrol
ісландія	iceland
компаніями	kumpanya
компаніями	kompanya
вітри	winds
анджей	andrzej
вдова	balo
кан	kang
кан	kahn
кан	kan
ботаніка	botanika
надійності	maaasahan
грін	greene
фрази	parirala
символіка	symbolism
суха	tuyo
суха	tuyong
гая	gaia
розрахунків	settlements
негативний	negatibong
негативний	negatibo
негативний	negative
вказівки	guidance
вказівки	alituntunin
вказівки	tagubilin
здобич	manghuli
благодійний	kawanggawa
благодійний	charity
цезар	caesar
теннессі	tennessee
боббі	bobby
боббі	evelyn
організовані	maayos
номера	numbered
номера	bilang
озброєні	hukbong
озброєні	armadong
озброєні	sandatahang
анголи	angola
приймав	daigdig
приймав	empleyado
вінсент	vincent
нікола	nicola
нікола	nikola
традиційне	tradisyunal
традиційне	tradisyonal
підземний	underground
підземний	underworld
голосувати	boto
голосувати	bumoto
екологічний	ekolohiya
юра	jura
домашній	tahanan
домашній	bahay
домашній	makauwi
кримінальний	kriminal
запиту	query
соціальне	panlipunan
соціальне	social
соціальне	sosyal
буддизм	budismo
описати	describe
описати	ilarawan
вихідного	pinagmulang
практичні	praktikal
палермо	palermo
узбекистан	uzbekistan
залишиться	mananatiling
черепа	bungo
геометрія	heometriya
християнська	christian
християнська	kristiyano
справжня	real
ледве	bahagya
шум	ingay
базиліка	basilika
віа	via
конвенція	convention
атакували	hinabol
архіпелаг	kapuluan
маркетинг	pamimili
маркетинг	marketing
джоан	joan
джекі	jackie
інвестиції	investments
інвестиції	puhunan
інвестиції	pamumuhunan
інвестиції	investment
альберто	alberto
муніципальний	munisipyo
футів	talampakan
футів	paa
буріння	drill
складів	syllables
рекорди	records
рекорди	talaan
дикі	wild
дикі	ligaw
нести	carry
їжа	pagkain
їжа	siyomay
білгород	belgorod
християнський	christian
християнський	kristiyano
показані	ipinapakita
показані	ipinakita
показані	ipinapakita
показані	ipapakita
повертаються	bumabalik
думав	inakala
думав	akala
думав	naisip
думав	kala
меценат	maecenas
громадське	publiko
громадське	pampubliko
гарний	pogi
гарний	gwapo
перевал	pumasa
перевал	ipasa
перевал	pass
білок	protina
гвинтівка	rifle
бергамо	bergamo
юнацтва	kabataan
вопросы	katanungan
вопросы	tanong
рідина	likido
рідина	fluid
рідина	likido
натхнення	inspirasyon
натхнення	inspiration
репутацію	reputasyon
надійність	maaasahan
надійність	pinagkakatiwalaan
надійність	pinagkakatiwalaang
джеррі	gerry
джеррі	jerry
грузинська	georgian
знімати	film
випадкових	random
випадкових	sapalaran
прагнули	umasa
спинний	spinal
персональний	personal
землетрус	lumindol
землетрус	lindol
землетрус	paglindol
богу	god
богу	diyos
регулярний	regular
мартен	maarten
покращити	mapabuti
покращити	pagbutihin
робітника	daigdig
робітника	empleyado
мюллер	mueller
мюллер	muller
рой	roy
лампи	lamp
лампи	lampara
еріка	erika
еріка	erica
клієнта	kliyente
клієнта	client
допомогли	natulungan
допомогли	tinulungan
чесно	matapat
найближча	nearest
найближча	pinakamalapit
запах	amoy
запах	scent
запах	amoy
запах	amoy
гострий	matalim
гострий	pagkagising
деніел	daniel
робін	robin
робін	robyn
закрити	close
закрити	malapit
закрити	isara
стануть	maging
експерт	dalubhasa
експерт	expert
експерт	eksperto
мається	implied
мається	ipinahiwatig
гетто	ghetto
голуб	pigeon
маркус	markus
маркус	marcus
брюсселі	brussels
мовний	antropolohiyang
пальці	daliri
