και	और
δείτε	देखिये
δείτε	देखना
δείτε	देखें
πόλεμο	युद्ध
συχνά	अक्सर
συχνά	अकसर
συχνά	अक्सर
συχνά	प्रायः
περιοχές	एटलस
περιοχές	क्षेत्र
περιοχές	क्षेत्रों
πρώην	पूर्व
παράδειγμα	उदाहरण
άρθρο	लेख
άρθρο	आलेख
εικόνα	तस्वीर
εικόνα	पिक्चर
εικόνα	चित्र
εικόνα	छवि
εικόνα	प्रतिबिम्ब
εικόνα	चित्र
έλαβε	प्राप्त
επίσημη	अधिकारी
επίσημη	सरकारी
επίσημη	आधिकारिक
επίσημη	औपचारिक
κατοίκους	निवासी
κατοίκους	निवासियों
κατοίκους	निवासी
κατοίκους	निवासियों
πηγές	स्रोत
πηγές	स्त्रोत
βόρεια	उत्तर
βόρεια	उत्तरी
πόλεις	कस्बों
πόλεις	शहर
πόλεις	शहरों
ιδιαίτερα	विशेषकर
ιδιαίτερα	विशेषकर
αγώνα	दौड़
αγώνα	जाति
αγώνα	रेस
αγώνα	माचिस
αγώνα	मिलाएँ
αγώνα	मिलान
αγώνα	मैच
αγώνα	झगडा
αγώνα	लड़ाई
αγώνα	लड़ो
γεγονός	ईवेंट
γεγονός	घटना
γεγονός	कार्यक्रम
γεγονός	इवेंट
γεγονός	तथ्य
γεγονός	फैक्ट
σελίδα	पृष्ठ
σελίδα	पेज
θέμα	प्रसंग
θέμα	थीम
θέμα	विषय
ηλικία	उम्र
ηλικία	आयु
χρησιμοποιείται	प्रयुक्त
πρώτα	प्रथम
πρώτα	पहली
πρώτα	पहले
πρώτα	पहला
μέγεθος	आकार
θεωρείται	समझी
θεωρείται	माना
εδώ	यहां
εδώ	यहा
εδώ	यहाँ
νότια	दक्षिणी
νότια	दक्षिणी
νότια	साउथ
νότια	दक्षिण
σημείο	बिंदु
σημείο	बिन्दु
σημείο	पॉइंट
σημείο	पाइंट
σχέση	रिश्ता
σχέση	रिश्ते
σχέση	संबन्ध
σχέση	संबंध
περίπτωση	केस
περίπτωση	मामला
νέο	नया
νέο	नई
έτος	वर्ष
έτος	साल
σχεδόν	लगभग
ένωση	यूनियन
ένωση	संघ
ένωση	सम्बद्धता
ένωση	एसोसिएशन
ένωση	संघ
περισσότερο	ज्यादा
περισσότερο	आदि
περισσότερο	अधिक
βασιλιά	राजा
βασιλιά	बादशाह
βασιλιά	किंग
εκκλησία	गिरजाघर
εκκλησία	चर्च
εκκλησία	गिरिजाघर
μουσείο	संग्रहालय
πολιτικός	राजनीतिज्ञ
πολιτικός	राजनेता
συμμετοχή	भागीदारी
συμμετοχή	भागीदारी
δυο	दो
μεγαλύτερη	बड़ा
μεγαλύτερη	वृहद
μεγαλύτερη	पुराने
μεγαλύτερη	पुराना
μεγαλύτερη	वृद्ध
μεγαλύτερη	पुरानी
μεγαλύτερη	बड़ा
μεγαλύτερη	बडे
ανά	स्वादानुसार
ανά	प्रति
μουσική	संगीत
μουσική	म्यूज़िक
κόσμο	दुनिया
κόσμο	विश्व
κόσμο	जग
κόσμο	संसार
άτομα	व्यक्तियों
άτομα	लोग
άτομα	लोगों
δεύτερο	दूसरा
δεύτερο	सेकेंड
δεύτερο	द्वितीय
δεύτερο	सेकण्ड
δεύτερο	सेकंड
δεύτερο	दूसरी
είδος	क़िस्म
είδος	प्रकार
είδος	प्रजातियां
είδος	प्रजाति
αρκετά	काफी
αρκετά	पर्याप्त
μεγαλύτερο	पुराने
μεγαλύτερο	पुराना
μεγαλύτερο	वृद्ध
μεγαλύτερο	पुरानी
μεγαλύτερο	बड़ा
μεγαλύτερο	बडे
εκείνη	वो
χώρες	देश
χώρες	देशो
χώρες	देशों
χώρο	अंतरिक्ष
χώρο	समष्टि
χώρο	जगह
χώρο	स्पेस
σχολή	विद्यालय
σχολή	school
σχολή	स्कूल
εναντίον	खिलाफ
εναντίον	विरुद्ध
εναντίον	विरूद्ध
τρία	तीन
χαρακτηριστικά	विशेषताएँ
χαρακτηριστικά	विशेषताएं
χαρακτηριστικά	विशेषताएँ
χαρακτηριστικά	सुविधाएँ
χαρακτηριστικά	गुण
όρος	पद
όρος	आरोह
όρος	माउंट
όρος	हालत
όρος	स्थिति
όρος	शर्त
όρος	कंडीशन
ιδρύθηκε	स्थापित
ιδρύθηκε	संस्थापित
βασιλιάς	राजा
βασιλιάς	बादशाह
βασιλιάς	किंग
παιδιά	लड़के
παιδιά	लड़को
παιδιά	लड़कों
παιδιά	किड्स
παιδιά	बच्चों
παιδιά	बच्चे
παιδιά	दोस्तों
παιδιά	यारों
βραβείο	ईनाम
βραβείο	इनाम
βραβείο	पुरस्कार
βραβείο	अवार्ड
βραβείο	पुरस्कार
άρχισε	शुरू
άρχισε	प्रारंभ
αρχαία	प्राचीन
μήκος	लम्बाई
μήκος	लंबाई
τι	क्या
τι	कया
χρονιά	वर्ष
χρονιά	साल
παραγωγή	उत्पादन
ηθοποιός	अदाकारा
ηθοποιός	अभिनेत्री
ηθοποιός	अभिनेता
ηθοποιός	एक्टर
ηθοποιός	कर्ता
ελληνικά	ग्रीक
ελληνικά	यूनानी
δυνάμεις	शक्तियों
δυνάμεις	शक्तियाँ
δυνάμεις	शक्तियां
δυνάμεις	ताकत
δυνάμεις	बलों
δυνάμεις	शक्तियां
γαλλία	फ्रांस
γαλλία	फ़्रांस
ελληνικό	ग्रीक
ελληνικό	यूनानी
ευρώπη	यूरोप
ευρώπη	यूरोपीय
δεκαετία	दशक
γνωστό	ज्ञात
παγκόσμιο	वैश्विक
βιβλίο	बुक
βιβλίο	किताबे
βιβλίο	पुस्तक
βιβλίο	किताब
διάστημα	अंतराल
διάστημα	अंतरिक्ष
διάστημα	समष्टि
διάστημα	जगह
διάστημα	स्पेस
οικογένεια	फैमिली
οικογένεια	परिवार
μέτρα	उपाय
μέτρα	उपायों
σημαίνει	मतलब
σημαίνει	यानि
σημαίνει	अर्थात्
πέντε	पांच
πέντε	पाँच
παραπάνω	अरदास
παραπάνω	ऊपर
υπουργός	मंत्री
σεζόν	मौसम
σεζόν	ऋतु
πρότυπο	मॉडल
πρότυπο	टेम्प्लेट
πρότυπο	टेम्पलेट
πρότυπο	मानक
αριθμός	संख्या
αριθμός	नंबर
αριθμός	क्रमांक
θάνατο	निधन
θάνατο	मोत
θάνατο	मृत्यु
θάνατο	मौत
εταιρεία	कंपनी
εταιρεία	कम्पनी
σώμα	जिस्म
σώμα	बॉडी
σώμα	शरीर
σώμα	देह
πρωτεύουσα	राजधानी
πρωτεύουσα	पूंजी
παράλληλα	समानांतर
σύνολο	कुल
γνωστή	ज्ञात
κατάσταση	स्टेटस
κατάσταση	स्थिति
κατάσταση	प्रस्थिति
κατάσταση	औकात
κατάσταση	परिस्थिति
κατάσταση	स्थिति
κατάσταση	हालात
κατάσταση	हालत
κατάσταση	स्थिति
κατάσταση	शर्त
κατάσταση	कंडीशन
νησί	आइलैंड
νησί	द्वीप
επίπεδο	स्तर
επιτυχία	सफल
επιτυχία	सफलता
επιτυχία	कामयाबी
γερμανία	जर्मनी
άλλους	अन्य
πίσω	पीछे
πίσω	बैक
πίσω	पिछे
πίσω	वापस
δημιουργία	बनाएं
δημιουργία	बनाएँ
δημιουργία	रचना
δημιουργία	सृजन
δημιουργία	निर्माण
δημιουργία	सृष्टि
αρχή	आरंभ
αρχή	प्रारंभ
αρχή	शुरुआत
αρχή	आरम्भ
αρχή	शुरूआत
αρχή	प्राधिकरण
αρχή	प्राधिकार
άδεια	लाइसेंस
άδεια	अनुज्ञा
άδεια	इजाजत
άδεια	अनुमति
άδεια	लाइसेंस
άδεια	परमिट
άδεια	रिक्त
άδεια	खाली
σου	सू
σου	मुकदमा
επιπλέον	अतिरिक्त
περισσότερα	ज्यादा
περισσότερα	आदि
περισσότερα	अधिक
ανάπτυξη	विकास
ανάπτυξη	वृद्धि
ανάπτυξη	विकास
αυτόν	उससे
αυτόν	उसको
αυτόν	उसे
συγγραφέας	रचनाकार
συγγραφέας	राइटर
συγγραφέας	लेखक
συγγραφέας	रचयिता
συγγραφέας	लेखक
άγιος	संत
θάνατοι	मौतें
θάνατοι	मौतों
γ΄	तृतीय
γ΄	iii
τραγούδι	गाना
τραγούδι	गायकों
τραγούδι	गायन
τραγούδι	गीत
τραγούδι	गाना
τραγούδι	सोंग
κόρη	बेटी
επαρχία	प्रान्त
επαρχία	प्रांतों
επαρχία	प्रांत
ιωάννης	जॉन
αγγλικά	english
αγγλικά	अंग्रेज
αγγλικά	अंग्रेजी
αγγλικά	अंग्रेज़ी
άλλοι	अन्य
κέρδισε	विन
κέρδισε	जीत
κέρδισε	जीता
κέρδισε	जीते
κέρδισε	जीती
βασίλειο	हुकूमत
βασίλειο	किंगडम
σκοπό	उद्देश्य
σκοπό	purpose
συνολικά	कुल
γνωστός	ज्ञात
γνωστός	परिचित
γνωστός	परिचितों
πληροφορίες	जानकारी
πληροφορίες	सूचना
πληροφορίες	सुचना
πληροφορίες	एनोटेशन
πληροφορίες	जानकारी
πληροφορίες	सूचना
εθνικό	राष्टीय
εθνικό	राष्ट्रीय
εθνικό	नेशनल
καριέρα	कैरियर
καριέρα	आजीविका
καριέρα	करियर
ποτέ	कभी
τέλη	फी
τέλη	शुल्क
τέλη	फीस
τέλη	शुल्क
πλευρά	पार्श्व
πλευρά	तरफ
πλευρά	पक्ष
διάφορες	विभिन्न
πρόγραμμα	प्रोग्राम
πρόγραμμα	कार्यक्रम
πρόγραμμα	शेड्यूल
πρόγραμμα	अनुसूची
πρόγραμμα	कार्यक्रम
χιλιόμετρα	मील
χιλιόμετρα	किलोमीटर
χιλιόμετρα	माइलेज
χιλιόμετρα	किलोमीटर
κάτοικοι	निवासी
κάτοικοι	निवासियों
κάτοικοι	निवासी
κάτοικοι	निवासियों
άρθρα	लेख
άρθρα	आलेख
γεώργιος	जॉर्ज
γεώργιος	जार्ज
τύπου	प्रेस
τύπου	दबाएँ
τύπου	दबाएं
τύπου	दबायें
τύπου	क़िस्म
τύπου	प्रकार
δημοκρατία	गणराज्य
δημοκρατία	गणतंत्र
δημοκρατία	लोकतंत्र
πόλεμος	युद्ध
εφημερίδα	अख़बार
εφημερίδα	अखबार
εφημερίδα	समाचारपत्र
μικρό	छोटे
μικρό	छोटा
μικρό	छोटी
μικρό	छोटे
μικρό	छोटा
μικρό	लिटिल
μικρό	छोटी
τόπος	जगह
τόπος	स्थान
τόπος	प्लेस
τόπος	लोकेशन
τόπος	अवस्थिति
τόπος	स्थान
ονομάζεται	बुलाया
ονομάζεται	पुकारा
συγκεκριμένα	विशिष्ट
είδη	प्रजातियां
είδη	प्रजाति
πηγή	स्रोत
πηγή	स्त्रोत
πηγή	सोर्स
κάποιος	किसी
ιταλία	इटली
πατέρας	चचा
πατέρας	बाप
πατέρας	father
πατέρας	पिता
κατηγορίες	आरोप
κατηγορίες	श्रेणियाँ
κατηγορίες	श्रेणी
αναφέρει	mentions
αναφέρει	उल्लेख
ποδόσφαιρο	सॉकर
ποδόσφαιρο	फुटबॉल
ποδόσφαιρο	फुटबाल
ποδόσφαιρο	फ़ुटबॉल
θέσεις	स्थितियाँ
θέσεις	पोस्ट
θέσεις	सीटें
θέσεις	सीटों
θέσεις	सीटे
περισσότερες	ज्यादा
περισσότερες	आदि
περισσότερες	अधिक
έκταση	स्कोप
έκταση	गुंजाइश
έκταση	कार्यक्षेत्र
έκταση	पैमाना
έκταση	क्षेत्र
έκταση	क्षेत्रफल
γενικά	जनरल
γενικά	साधारण
γενικά	सामान्य
σημαντικό	महत्वपूर्ण
νίκη	विन
νίκη	जीत
νίκη	विजय
νίκη	जीतना
μικρή	छोटे
μικρή	छोटा
μικρή	छोटी
μικρή	छोटे
μικρή	छोटा
μικρή	लिटिल
μικρή	छोटी
έτη	सालों
έτη	वर्ष
έτη	साल
έτη	वर्षों
έτη	सालो
πατέρα	चचा
πατέρα	बाप
πατέρα	father
πατέρα	पिता
αμερικανός	अमेरिकन
αμερικανός	अमेरिकी
αμερικανός	अमरीकी
τελικό	फ़ाइनल
τελικό	अंतिम
τελικό	फाइनल
πάντα	हमेशा
πάντα	सदा
συγκρότημα	band
συγκρότημα	बैंड
συγκρότημα	परिसर
συγκρότημα	जटिल
παραγωγής	उत्पादन
ίσως	शायद
ίσως	शायद
ίσως	संभवतः
επόμενη	अगला
στιγμή	क्षण
στιγμή	पल
μήνες	महीनों
μήνες	माह
μήνες	महीने
αποτελείται	रचित
θεωρία	सिद्धांत
θεωρία	सिद्धान्त
ύψος	ऊँचाई
ύψος	ऊंचाई
ύψος	ऊँचाई
πολλοί	कई
πολλοί	अनेक
όλοι	सभी
όλοι	सब
τώρα	अब
τώρα	अभी
προπονητής	कोच
θέατρο	थिएटर
θέατρο	सिनेमाघर
θέατρο	रंगमंच
θέατρο	थिएटर
σημαντική	महत्वपूर्ण
ημέρα	दिवस
ημέρα	दिन
διάφορα	विभिन्न
διάφορα	विविध
επέστρεψε	लौटाया
επέστρεψε	लौटे
θέματα	विषयों
θέματα	विषय
θέματα	प्रसंग
θέματα	थीम
θέματα	विषयवस्तु
θέματα	समस्याएँ
θέματα	मुद्दे
στάδιο	स्टेडियम
στάδιο	चरण
στάδιο	स्टेज
χωριά	गावों
χωριά	गांवों
επίθεση	हमले
επίθεση	हमला
επίθεση	आक्रमण
επίθεση	उत्पीड़न
τραγούδια	गाने
τραγούδια	गीत
τραγούδια	गीतों
έδωσε	दी
έδωσε	दिया
πληθυσμός	जनसंख्या
πληθυσμός	आबादी
πληθυσμός	जनसांख्यिकी
λέξη	वर्ड
λέξη	शब्द
κατάφερε	कामयाब
κατάφερε	प्रबंधित
προβλήματα	समस्याएँ
προβλήματα	समस्याएं
δύναμη	ताकत
δύναμη	सामर्थ्य
δύναμη	मजबूती
δύναμη	शक्ति
δύναμη	बल
δύναμη	फ़ोर्स
δύναμη	पावर
δύναμη	शक्ति
επανάσταση	क्रांति
επανάσταση	इंकलाब
επανάσταση	क्रान्ति
τύπος	प्रेस
τύπος	दबाएँ
τύπος	दबाएं
τύπος	दबायें
τύπος	फ़ॉर्मूला
τύπος	सूत्र
τύπος	क़िस्म
τύπος	प्रकार
εκατομμύρια	मिलियन
εκατομμύρια	लाख
εκατομμύρια	मिलियन
εκατομμύρια	लाखों
εκατομμύρια	लाखो
τέσσερις	चार
πορεία	पाठ्यक्रम
πορεία	कोर्स
μέση	मध्य
μέση	औसत
μέση	कमर
πρόβλημα	समस्या
πρόβλημα	प्रॉब्लम
πρόβλημα	मुसीबत
πρόβλημα	परेशानी
πρόβλημα	ट्रबल
άνω	ऊपरी
άνω	upper
άνω	अपर
νερό	वाटर
νερό	पानी
νερό	जल
αγωνίστηκε	लड़ा
τοπική	स्थानीय
τοπική	लोकल
εντός	अन्दर
εντός	भीतर
περιφέρεια	क्षेत्र
περιφέρεια	प्रदेश
περιφέρεια	जिला
περιφέρεια	डिस्ट्रिक्ट
περιφέρεια	जिलाध्यक्ष
περιφέρεια	ज़िला
παρουσία	मौजूदगी
παρουσία	उपस्थिति
μητέρα	maa
μητέρα	माँ
έξι	छः
έξι	छक्का
έξι	छह
δομή	संरचना
δομή	अवसंरचना
δομή	स्ट्रक्चर
δομή	ढांचा
παρίσι	पैरिस
παρίσι	पेरिस
έγραψε	लिखा
κατασκευή	निर्माण
περιπτώσεις	मामलों
περιπτώσεις	केस
περιπτώσεις	मामले
ημέρες	दिन
ημέρες	दिनों
μαρία	मारिया
μαρία	मरिया
μερικές	कुछ
τιμή	कीमत
τιμή	मूल्य
τιμή	दाम
τιμή	मूल्य
τιμή	मान
διαδικασία	प्रक्रिया
διαδικασία	प्रक्रम
διαδικασία	कार्यवाही
διαδικασία	प्रक्रिया
διαδικασία	कार्यविधि
κοινό	श्रोता
κοινό	ऑडियंस
κοινό	दर्शक
διαγραφή	मिटा
διαγραφή	फंदा
διαγραφή	हटाना
διαγραφή	हटाएँ
απογραφή	जनगणना
απογραφή	जनसांख्यिकी
συλλογή	संग्रह
συλλογή	कलेक्शन
συλλογή	संग्रहण
τρίτη	मंगलवार
τρίτη	तृतीय
τρίτη	तीसरे
τρίτη	तीसरा
παρακάτω	नीचे
ναός	मन्दिर
ναός	मंदिर
ναός	टेम्पल
βοήθεια	सहायता
βοήθεια	मदद
βοήθεια	सहायता
απόσταση	दूरी
απόσταση	अलहदा
απόσταση	सीमा
απόσταση	दायरा
νέων	जवानी
νέων	युवा
νέων	युवाओं
νέων	युवावस्था
αμέσως	तुरन्त
αμέσως	फौरन
αμέσως	तुरंत
αμέσως	तत्काल
αναφορά	रिपोर्ट
αναφορά	रपट
αναφορά	संदर्भ
αναφορά	सन्दर्भ
δράση	क्रिया
δράση	एक्शन
δράση	कार्रवाई
λιγκ	लीग
απλά	सिर्फ
απλά	बस
γιώργος	जॉर्ज
γιώργος	जार्ज
γεγονότα	तथ्य
γεγονότα	घटनाएँ
γεγονότα	ईवेंट
γεγονότα	कार्यक्रम
σύντομο	छोटा
σύντομο	छोटी
σύντομο	संक्षिप्त
σύντομο	ब्रैड
κράτος	अवस्था
κράτος	स्टेट
κράτος	स्थिति
κράτος	राज्य
στρατό	आर्मी
στρατό	फ़ौज
στρατό	सेना
στρατό	फौज
αγία	संत
αποτελέσματα	परिणामों
αποτελέσματα	रिजल्ट
αποτελέσματα	परिणाम
ιστορικό	पृष्ठभूमि
