veleposlanik	nagykövet
sekunde	másodpercek
sekunde	másodperc
rossi	rossi
rona	ron
rona	ront
psihologijo	pszichológiai
psihologijo	pszichológia
charlie	charlie
obsežne	kiterjedt
bron	bronz
državljani	állampolgárok
državljani	polgárok
državljani	állampolgárok
walther	walther
weber	weber
leonardo	leonardo
prepovedano	tilos
prepovedano	tiltott
prepovedano	tilos
prepovedano	tiltott
linux	linux
kritiko	kritika
kritiko	kritikát
razlogi	okok
razlogi	oka
razlogi	indokok
moderno	modern
moderno	korszerű
bolečino	fáj
bolečino	fájdalmat
bolečino	fájdalom
voditelji	vezetői
voditelji	vezetők
jedrski	nukleáris
hamburg	hamburg
cruz	cruz
vožnjo	lovagolni
vožnjo	vezet
vožnjo	vezetés
vožnjo	vezetési
poln	full
poln	teljes
div	div
iranu	iráni
iranu	irán
mitologija	mitológia
drugačna	más
drugačna	különböző
drugačna	eltérő
oddaj	műsorok
oddaj	mutatja
teologijo	teológia
zmesi	keverékek
alma	alma
slišal	hallott
slišal	hallottam
verjeli	hittem
verjeli	hitte
odhod	indulási
odhod	távozás
odhod	indulás
odhod	elmegy
koža	bőre
koža	bőr
proizvajalci	gyártói
proizvajalci	gyártók
proizvajalci	producerek
proizvajalci	termelők
proizvajalci	gyártói
proizvajalci	gyártók
najmanjši	legkisebb
odvisnost	függőség
odvisnost	függőség
odvisnost	függőség
dick	fasz
dick	dick
dick	farok
theodore	theodore
renesančni	reneszánsz
royce	royce
jupiter	jupiter
kotel	kazán
kotel	üst
wade	wade
nemudoma	azonnal
krogla	gömb
krogla	golyót
krogla	golyó
krogla	lövedék
krogla	töltény
prepričal	meggyőzte
aero	aero
klopi	kullancs
klopi	kullancsok
klopi	padok
klopi	pad
klopi	padon
vredno	érdemes
vredno	megéri
vredno	worth
konvencija	egyezmény
konvencija	konvent
mad	őrült
mad	mad
šef	főnök
delitve	körzetek
delitve	osztályok
absolutno	abszolút
absolutno	abszolút
poraba	költ
poraba	költeni
poraba	kiadások
poraba	fogyasztása
poraba	fogyasztás
poraba	fogyasztásra
poraba	felhasználás
žleze	mirigyek
žleze	mirigy
zadetkov	találat
merila	kritérium
merila	szempontok
merila	kritériumok
desetletju	évtized
desetletju	évtizedben
desetletju	évtizede
jajca	tojást
jajca	tojások
jajca	tojás
jajca	tökös
jajca	golyók
pretirano	túlzott
pretirano	túlzottan
pretirano	túlzott
nord	nord
zemljišča	föld
zemljišča	földterület
zemljišča	szárazföld
zemljišča	telek
zemljišča	földterületek
zemeljskega	földes
povezovanje	integráció
povezovanje	beilleszkedés
povezovanje	kapcsolódás
povezovanje	csatlakozás
globine	mélységben
izvajati	végrehajtani
izvajati	végrehajtja
izvajati	végrehajtása
nedvomno	kétségtelenül
nedvomno	kétségkívül
botanik	botanikus
odkrit	felfedezte
odkrit	felfedezett
koles	kerékpárok
koles	kerékpár
col	col
flote	flotta
flote	flották
kandidata	jelöltek
kandidata	jelentkezők
kandidata	pályázók
kandidata	tagjelölt
kandidata	pályázó
kandidata	jelölt
dvojna	kettős
dvojna	dupla
dvojna	duplán
križišče	kereszteződés
križišče	csomópont
križišče	junction
križišče	crossroads
igralce	játékosok
igralce	szereplők
england	anglia
england	england
england	angliai
palice	bárok
palice	rácsok
palice	rúd
palice	rács
palice	botok
palice	klubok
palice	pálca
palice	rudak
ločila	írásjelek
moška	férfi
moška	férfiak
moška	emberek
moška	férfi
moška	hím
puščava	sivatag
zmožnost	képesség
zmožnost	képesség
zmožnost	képességek
harvey	harvey
metka	juliska
metka	golyót
metka	golyó
metka	lövedék
metka	töltény
podpis	aláírás
podpis	aláírás
melodije	dallamok
melodije	dallamok
neapelj	nápolyi
neapelj	nápoly
vzorca	minták
vzorca	mintákat
larry	larry
obrambno	védekező
obrambno	védekezés
termin	távú
termin	kifejezés
termin	kinevezés
termin	időpont
obrne	fordul
robin	robint
robin	robin
lesena	fából
lesena	fa
lesena	wood
lesena	erdő
lesena	fát
datotek	akták
datotek	fájlok
samodejno	auto
samodejno	automata
samodejno	automatikus
samodejno	automata
samodejno	automatikus
samodejno	automatikusan
samodejno	automatikus
kvartet	kvartett
wallace	wallace
posebnosti	sajátosságai
posebnosti	sajátosságait
pozitivni	pozitívak
pozitivni	pozitív
antike	ókor
nedavno	nemrégiben
nedavno	nemrég
nedavno	mostanában
nedavno	nemrég
nedavno	legutóbbi
piramida	piramis
vesoljska	űr
vesoljska	tér
ricardo	ricardo
eur	eur
žagar	jigsaw
žagar	fűrész
katedrale	katedrálisok
zvočni	hallható
slava	hírnév
slava	dicsőség
madžari	magyarok
odločno	erősen
sočasno	egyidejű
sočasno	egyidejű
sočasno	egyidejűleg
sočasno	egyszerre
sočasno	egyidejűleg
moto	mottója
moto	moto
duševno	mentális
duševno	szellemi
duševno	szellemileg
duševno	mentálisan
allan	allan
ekip	csapatok
lokacijo	helyszín
lokacijo	hely
lokacijo	elhelyezkedés
valovi	hullám
valovi	hullámok
zvezno	szövetségi
populacija	populáció
populacija	népesség
populacija	lakosság
zamenjava	csere
zamenjava	helyettesítő
zamenjava	csere
zamenjava	cseréje
kače	kígyókat
kače	kígyók
kače	snake
kače	kígyó
skoki	ugrik
skoki	ugrál
delavce	dolgozók
delavce	munkavállalók
delavce	munkások
odposlancev	követeket
napadalec	támadó
napadalec	támadó
srbijo	szerbia
čustveno	érzelmi
čustveno	érzelmes
čustveno	érzelmileg
saturn	szaturnusz
encima	enzim
tokio	tokió
tokio	tokiói
tokio	tokyo
dream	álmodj
dream	álma
dream	álom
germain	germain
matt	matt
pérez	pérez
slovenia	szlovénia
opatija	opatija
alexandre	alexandre
centralne	központi
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarchia
vlaken	szál
vlaken	rost
mansell	mansell
propad	végzet
propad	összeomlás
propad	bukását
turistične	turisták
turistične	turista
clarke	clarke
krona	koronát
krona	crown
krona	korona
uran	urán
uran	uránusz
celično	porózus
celično	sejt
resnica	igaz
resnica	igazi
resnica	igazság
bruhanje	hányás
bruhanje	hányt
bruhanje	hányás
arheologi	régészek
pripadal	tartozott
dodana	hozzáadott
dodana	felvéve
menihi	szerzetesek
funtov	font
odziva	reagálás
odziva	reagál
odziva	reagálás
odziva	reakció
odziva	válasz
tesla	tesla
sloj	réteg
padli	bukott
padli	elesett
viktorija	viktória
viktorija	victoria
akcija	művelet
akcija	fellépés
akcija	cselekvési
akcija	cselekvés
akcija	akció
ščiti	megvédi
ščiti	védi
ščiti	véd
ščiti	pajzsok
ščiti	pajzsokat
ščiti	pajzs
vickers	vickers
luknje	lyukak
waffen	waffen
presega	meghaladja
game	gamma
vladanje	uralma
vladanje	uralom
andre	andre
andre	andré
andre	andre
andre	andré
ban	tilalom
opredeljuje	meghatározza
ema	emmával
ema	emma
doktorat	doktori
doktorat	doktori
doktorat	phd
listina	charta
pljuč	tüdő
pljuč	tüdő
nasprotnikov	ellenfelek
okoliščine	körülmények
okoliščine	körülmény
okoliščine	körülmények
okoliščine	körülmény
krizo	krízis
krizo	válság
silver	silver
silver	ezüst
léon	léon
planine	hegység
planine	hegyek
agent	ügynök
vstaja	felkelés
vstaja	felkelés
vzpostavitev	telephely
vzpostavitev	létesítmény
vzpostavitev	létrehozása
vzpostavitev	letelepedés
priznana	felismert
priznana	elismert
priznana	elismerte
priznana	elismert
priznana	felismert
priznana	elismert
upokojen	visszavonult
upokojen	nyugdíjas
kalibra	kaliberű
jason	jason
guillaume	guillaume
danny	danny
skrajno	szélsőséges
skrajno	extrém
ravna	lapos
ravna	lakás
ravna	sík
instrument	eszköz
instrument	műszer
instrument	hangszer
delec	töredék
delec	részecske
negativna	negatív
konzulat	konzulátus
učitelji	tanárok
izkoristek	hatékonysági
izkoristek	hatékonyság
izkoristek	hatékonyság
zatočišče	menedéket
zatočišče	menedék
zatočišče	szentély
zatočišče	menedék
zatočišče	menedék
brod	brod
zaposlitve	állás
zaposlitve	állások
zaposlitve	munkahelyek
zaposlitve	foglalkoztatottság
zaposlitve	foglalkoztatási
zaposlitve	foglalkoztatás
sivo	ősz
sivo	gray
sivo	szürke
sivo	ősz
sivo	grey
sivo	szürke
sod	hordó
sod	hordót
sod	hordó
prizor	jelenet
vlakna	szál
vlakna	rost
vlakna	szálak
vlakna	rost
vlakna	szálak
keramike	kerámia
tarča	célpont
tarča	cél
panis	panis
arizona	arizona
arizona	arizonai
arizona	arizonában
zmogljivosti	kapacitások
zmogljivosti	kapacitások
zmogljivosti	kapacitás
zmogljivosti	képességek
spektra	spektrum
santo	santo
dvoboj	párbaj
liverpool	liverpool
meč	kard
upanje	remény
upanje	remélem
grumman	grumman
avtomobilska	autóipari
avtomobilska	autóipar
avtomobilska	gépjármű
indeks	index
indeks	mutató
spoštovanje	tiszteletet
spoštovanje	tisztelet
chapelle	chapelle
arheološki	régészeti
definira	meghatározza
eksplozije	robbanás
eksplozije	robbantás
eksplozije	robbanások
demokratična	demokratikus
demokratična	demokrata
marin	marin
preostale	megmaradt
preostale	megmaradó
preostale	fennmaradó
razvite	fejlett
razvite	fejlesztett
razvite	kifejlesztett
razvite	kidolgozott
moralno	morális
moralno	erkölcs
moralno	erkölcsös
moralno	erkölcsi
negativni	negatív
razni	egyéb
razni	egyebek
razni	különféle
razni	vegyes
zadovoljstvo	elégedettség
zadovoljstvo	gyönyör
zadovoljstvo	öröm
zadovoljstvo	élvezet
zadovoljstvo	örülök
predpisi	szabályzat
predpisi	rendeletek
predpisi	szabályozások
predpisi	szabályozás
predpisi	szabályok
predpisi	szabály
predpisi	szabályzat
usmerjeno	rendezte
usmerjeno	rendezett
usmerjeno	irányított
delovalo	bevált
delovalo	dolgozott
delovalo	működött
hribi	hegység
hribi	hegyek
hribi	dombok
hribi	hills
oblačil	ruházata
oblačil	ruhák
oblačil	ruházat
oblačil	ruha
igrišče	játszótér
igrišče	játszótéren
administrator	adminisztrátor
administrator	ügyvezető
administrator	ügyintéző
administrator	tisztviselő
klasifikacija	osztályozási
klasifikacija	besorolás
klasifikacija	osztályozás
nosila	hordott
nosila	viselte
nosila	viselt
licenca	engedély
licenca	engedély
licenca	jogosítvány
licenca	jogosítványt
ska	ska
tisoče	ezrek
tisoče	ezer
ločitev	válást
ločitev	válás
ločitev	szétválasztás
meritev	mérések
meritev	mérés
meritev	mérés
mine	aknák
spopadov	konfrontáció
patent	szabadalmi
patent	szabadalom
opiše	leírja
organizacijske	szervezési
župnijo	parish
glive	gombák
glive	gomba
tommy	tommy
obiskala	meglátogatta
obiskala	meglátogatott
obiskala	látogatott
obiskala	felkeresett
videm	udine
težavah	nehézségek
težavah	nehézséget
težavah	nehézség
doris	doris
primerni	alkalmas
primerni	megfelelő
auf	auf
hawker	hawker
tower	tower
tower	torony
odvisni	eltartott
odvisni	függő
dodajanje	hozzáadás
dodajanje	hozzáadás
dodajanje	hozzáadása
serena	serena
potrebovali	kellett
potrebovali	szükséges
običajna	szokásos
običajna	szokásos
običajna	normális
običajna	normál
vroče	forró
vroče	hot
vroče	meleg
vroče	dögös
komercialni	reklám
komercialni	kereskedelmi
trio	trió
izbire	döntések
manjšine	kisebbségi
manjšine	kisebbség
manjšine	kisebbségek
premiera	premier
zime	winters
duhovni	spirituális
duhovni	szellemi
duhovni	lelki
erwin	erwin
tretjič	harmadszor
mišica	izmok
mišica	izom
sredozemlju	mediterrán
algoritem	algoritmust
algoritem	algoritmus
preberite	olvasott
posamezno	egyedileg
posamezno	egyenként
posamezno	egyénileg
posamezno	egyén
posamezno	egyéni
ulrik	ulrik
kmetije	gazdaságok
možni	lehetséges
hudson	hudson
ohranjeno	tartósított
ohranjeno	megőrizte
doherty	doherty
blake	blake
zlom	törés
jezo	düh
jezo	harag
jezo	dühöt
jezo	haragot
geometrija	geometria
geometrija	geometria
geometrija	geometriai
iraku	irak
iraku	iraki
strategije	stratégiák
ogljik	szén
elektro	elektro
sekundarni	középfokú
sekundarni	másodlagos
preboj	áttörés
človeška	ember
človeška	emberi
novosti	újdonság
novosti	innováció
novosti	innovációk
novosti	frissítés
novosti	frissítések
oklep	páncél
oklep	páncélos
oklep	páncél
obsežna	kiterjedt
obsežna	bőséges
zaščitna	védő
ugotovitve	megfigyelések
ugotovitve	észrevétel
ugotovitve	észrevételek
ugotovitve	megállapítások
ugotovitve	leletek
leseni	fából
geografski	földrajzi
barvni	színek
barvni	színes
barvni	színe
barvni	szín
barvni	színes
barvni	színe
barvni	szín
otroštva	gyermekkori
otroštva	gyerekkorom
otroštva	gyermekkorom
otroštva	gyerekkori
definicije	fogalmak
definicije	meghatározások
pastir	shepherd
pastir	juhász
pastir	pásztor
odkrivanje	kimutatás
pravoslavne	ortodox
samostojnost	autonómia
samostojnost	függetlenség
razcvet	virágozni
enrico	enrico
sinove	fiaim
sinove	fiai
receptorjev	receptorok
industrijska	ipari
putnam	putnam
standardna	normál
standardna	szabványos
standardna	szabvány
standardna	standard
encimi	enzimek
encimi	enzim
loke	boltívek
loke	íjak
tokovi	áramlatok
tokovi	flow
platon	platón
lisica	róka
lisica	fox
kalcijev	kalcium
pogovori	beszél
pogovori	beszélgetések
pogovori	interjúk
pogovori	interjú
pogovori	beszélni
pogovori	beszélgetés
vmesnik	interfész
jajčeca	tojást
jajčeca	tojások
jajčeca	tojás
pištola	pisztoly
pištola	fegyver
pištola	pisztoly
regionalni	regionális
richardson	richardson
razširjeni	kibővített
razširjeni	meghosszabbított
razširjeni	kiterjesztett
razširjeni	kibővített
razširjeni	bővült
razširjeni	kiterjesztett
razširjeni	kibővített
prihodnje	jövőbeli
prihodnje	jövő
prijateljstvo	barátság
kancler	kancellár
alternative	alternatív
alternative	alternatíva
alternative	alternatívák
industries	ágazatok
industries	iparágak
pozni	későn
pozni	késő
pozni	késve
pogledi	megtekintés
magnus	magnus
sorodniki	unokatestvérek
sorodniki	hozzátartozók
sorodniki	rokonok
podjetnik	vállalkozó
policist	rendőr
bradley	bradley
mostovi	hidak
mostovi	hidakat
marseille	marseille
marseille	marseille
marseille	marseilles
lastna	saját
posredovanje	átvitel
posredovanje	továbbítás
posredovanje	adás
posredovanje	átviteli
posredovanje	továbbítás
posredovanje	közvetítés
posredovanje	beavatkozás
posredovanje	intervenciós
posredovanje	intervenció
zaključek	befejezés
zaključek	befejezése
zaključek	lezárás
zaključek	bezárása
zaključek	következtetés
zaključek	következtetések
razstavi	kiállítás
razstavi	bemutató
razstavi	kiállítása
lucas	lucas
gibson	gibson
terme	fürdő
terme	spa
terme	gyógyfürdő
terme	wellness
terme	terme
moon	hold
moon	holdon
moon	holdat
moon	moon
organizirano	szervezett
organizirano	rendezett
organizirano	szervezett
dama	hölgy
dama	dame
jezikovno	nyelvi
jezikovno	nyelv
ščit	pajzs
ščit	shield
achille	achille
hčere	lányai
dodekaeder	dodekaéder
programiranje	programozás
programiranje	programozási
izpostavljenost	expozíciós
izpostavljenost	kitettség
izpostavljenost	expozíció
biološki	biológiai
perzijci	perzsák
powell	powell
utrdbo	erőd
utrdbo	fort
ted	ted
imenovanja	találkozók
imenovanja	időpontok
emilio	emilio
slab	bad
slab	rosz
slab	rossz
nature	natura
izbris	törlés
izbris	törlés
izbris	törlése
izbris	töröld
izbris	törlés
biologijo	biológia
roku	roku
dedek	nagypapa
dedek	nagyapa
dedek	nagypapa
dedek	nagyapa
ustavil	leállt
ustavil	megállt
alpinist	hegymászó
opremljen	felszerelve
opremljen	felszerelt
epizode	epizódjainak
epizode	epizódok
epizode	epizód
epizode	epizód
epizode	rész
izidi	végeredmény
izidi	eredmény
izidi	eredmények
izidi	eredményei
fisher	fisher
porto	porto
označen	megjelöltek
označen	megjelölt
realno	real
realno	valós
realno	igazi
realno	valódi
realno	realista
realno	reális
trinajst	tizenhárom
trinajst	thirteen
casa	casa
virusi	vírussal
virusi	vírus
virusi	vírusok
snega	hó
snega	hófehérke
snega	havazás
snega	hóesés
mach	mach
leteči	repül
leteči	repülés
leteči	repülő
hitra	gyorsan
hitra	gyors
reynolds	reynolds
ureditve	megállapodások
priporoča	ajánl
priporoča	ajánlja
ekonomska	gazdasági
zastrupitve	mérgezés
warren	warren
komunikacija	kommunikáció
komunikacija	közlemény
komunikacija	kommunikációs
rick	rick
commons	commons
alkohol	likőr
alkohol	szesz
alkohol	alkoholos
alkohol	alkoholt
alkohol	alkohol
kras	crassus
terry	terry
osebje	személyzet
osebje	alkalmazottak
osebje	személyzet
osebje	munkatársak
zbrane	beszedett
zbrane	begyűjtött
zbrane	összeszedett
zbrane	összegyűjtött
zbrane	gyűjtött
zbrane	összegyűlt
zbrane	összegyűjtött
jelka	fán
jelka	fa
jelka	fája
jelka	fák
izvajalci	üzemeltetők
izvajalci	vállalkozók
izvajalci	előadók
mile	mérföld
toto	toto
rolling	rolling
rolling	forog
rolling	gurul
dodatki	adalékanyagok
dodatki	bónusz
dodatki	bónuszok
dodatki	kellékek
dodatki	kiegészítők
dodatki	tartozékok
dodatki	függelékek
mass	tömeges
mass	tömege
mass	mise
mass	tömeg
dušo	lélek
dušo	soul
dušo	lelkem
dušo	lelked
simetrija	szimmetria
lakote	éhínség
lakote	éhezés
lakote	éhen
lakote	éhínség
lakote	éhezés
lakote	éhség
bertrand	bertrand
zaščitena	védett
kvalifikacije	minősített
kvalifikacije	kötelezett
kvalifikacije	végzettség
kvalifikacije	képesítés
kvalifikacije	végzettség
kvalifikacije	minősítés
kvalifikacije	minősítési
kvalifikacije	képesítés
pari	párok
pari	párokat
pari	párok
pari	párban
pari	pari
irana	iráni
irana	irán
turbina	turbina
aktivist	aktivista
dominik	dominik
augusta	augusta
sen	sen
hrbet	vissza
chaplin	chaplin
bach	bach
skriva	elbújt
skriva	bujkál
televizija	tv
televizija	televízió
osvojitev	hódítás
rena	rajna
rena	reno
poj	énekelni
poj	énekelj
poj	énekel
gena	gena
deveto	kilencedik
pomanjkljivosti	hiányosságok
pomanjkljivosti	hiányosságai
pomanjkljivosti	hiányosságok
pomanjkljivosti	hiányosságai
pomanjkljivosti	hibák
pomanjkljivosti	hiányosságok
člena	árucikk
člena	cikk
upravnik	menedzser
upravnik	vezető
upravnik	kezelő
upravnik	igazgató
gilles	gilles
uspešnica	bestseller
resnico	igazság
strup	méreg
strup	méreg
ignacij	ignatius
preživi	túlélni
živčni	ideges
novinarjev	újságírók
novinarjev	újságírókat
geoffrey	geoffrey
zadaj	vissza
zadaj	hátsó
opisi	leírások
predavanj	előadások
poskusil	próbálta
poskusil	próbáltam
pooblastila	powers
pooblastila	hatáskörök
pooblastila	hatáskör
pooblastila	megbízás
pooblastila	megbízatásának
pooblastila	felhatalmazás
pooblastila	megbízatás
guido	guido
violinist	hegedűs
najmanjša	minimum
najmanjša	minimális
najmanjša	legkisebb
najmanjša	minimálisan
najmanjša	legkisebb
metalec	kilövő
metalec	dobó
metalec	korsó
navade	szokások
navade	szokásai
navade	szokás
con	átverés
con	con
vittorio	vittorio
religija	vallás
častniki	tisztek
pravokotno	merőleges
pravokotno	téglalap
pravokotno	négyszögletes
groba	durván
groba	durva
groba	kemény
groba	sírba
groba	sír
seme	sperma
seme	ondó
seme	vetőmag
seme	magvak
seme	mag
seme	magok
seme	vetőmag
seme	mag
verigo	lánc
izboljša	javítja
izboljša	javul
izboljša	javítása
poznavanje	tudás
poznavanje	ismeretek
duncan	duncan
hansen	hansen
horst	horst
poznano	ismerős
ujel	elkapott
ujel	fogott
ujel	kifogott
preiskave	vizsgálat
preiskave	nyomozás
preiskave	kivizsgálás
preiskave	vizsgálatok
preiskave	érdeklődni
preiskave	nyomozás
preiskave	vizsgálatok
štirinajst	tizennégy
nameščeni	telepítve
nameščeni	beépített
nameščeni	telepített
dramo	dráma
dramo	drama
jürgen	jürgen
jürgen	jürgen
bin	bin
bin	kuka
minute	perc
minute	jegyzőkönyv
minute	percek
gerard	gerard
uničiti	elpusztítani
identiteto	személyazonosság
identiteto	személyazonosságát
identiteto	identitás
mehansko	mechanikusan
mehansko	mechanikai
mehansko	mechanikus
izjavo	nyilatkozat
izjavo	nyilatkozata
izjavo	kimutatás
izjavo	állítás
izjavo	kijelentés
poštna	postai
police	politikák
police	polcok
police	polc
smole	gyanták
smole	gyanta
thierry	thierry
organizacijsko	szervezési
demokratične	demokratikus
demokratične	demokrata
dano	megadott
dano	adva
dano	megadva
dano	adott
demokracije	demokráciák
klobuk	kalap
klobuk	sapka
klobuk	kalapot
photo	fényképek
photo	kép
photo	fénykép
photo	fotó
izobraževalno	oktatási
greene	greene
varuje	megvédi
varuje	védi
varuje	véd
pierce	pierce
japonci	japán
japonci	japánok
objavljeni	közzétette
objavljeni	publikált
objavljeni	közzétett
nikdar	sosem
nikdar	soha
elektroni	elektronok
predala	leadott
škotske	skócia
škotske	skót
robertson	robertson
postavljeno	felemelt
postavljeno	nevelt
postavljeno	felvetett
postavljeno	emelt
budistični	buddhista
potniški	utas
zavira	gátolja
sonja	sonja
umetni	mesterséges
glavobol	fejfájás
glavobol	fejfájás
angeli	angyalok
članstvo	tagság
članstvo	tagsági
bruselj	brüsszelben
bruselj	brüsszeli
bruselj	brüsszel
razmišljanje	gondolkodás
razmišljanje	gondolkodik
razmišljanje	gondolkodom
razmišljanje	gondolkodó
razmišljanje	elmélkedés
umetne	mesterséges
prisilil	kényszer
prisilil	kényszerített
prisilil	erőltetett
misijonar	misszionárius
sesalcev	emlősök
sesalcev	emlős
julie	julie
širitev	bővítési
širitev	bővítés
širitev	terjeszkedés
širitev	bővítés
legend	legendák
legend	legendák
legend	legendája
legend	legenda
malmö	malmö
dimenzije	méretek
dimenzije	méretei
volji	hangulatban
volji	hangulat
oblikovan	alakú
oblikovan	megfogalmazott
porta	porta
ayrton	ayrton
klein	klein
zob	fogat
zob	fog
zob	foga
cesarica	császárnő
wiener	virsli
wiener	wiener
petja	kántálás
petja	ének
petja	éneklés
petja	énekelni
petja	énekel
italiano	italiano
opisan	leírt
lennon	lennon
vijak	csavar
žita	gabona
žita	gabonát
žita	gabona
žita	gabonafélék
podaljšana	meghosszabbított
podaljšana	kiterjesztett
podaljšana	kibővített
podaljšana	elhúzódó
prispel	megérkezett
prispel	megérkeztek
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	gyümölcs
sadje	gyümölcsök
sadje	gyümölcsöt
sadje	gyümölcs
sadje	gyümölcsök
jevgenij	jevgenyij
presenetljivo	megdöbbentő
presenetljivo	meglepően
presenetljivo	meglepő
presenetljivo	meglepő
trditve	állítások
trditve	állítások
trditve	követelés
trditve	követelések
trditve	igények
trditve	állítások
trditve	állításokat
trditve	érvek
avtomobilski	autóipari
avtomobilski	autóipar
avtomobilski	gépjármű
tujino	külföldön
tujino	külföldre
sara	sarah
sara	sara
sara	cera
nizki	alacsonyan
nizki	alacsony
plodovi	gyümölcs
plodovi	gyümölcsök
priljubljeno	népszerű
priljubljeno	népszerűek
priljubljeno	kedvenc
priljubljeno	kedvencem
priljubljeno	aktuális
priljubljeno	kedvenc
priljubljeno	kedvencem
dale	dale
jay	jay
jarek	árok
jarek	várárok
jarek	árok
premera	átmérője
premera	átmérő
premera	átmérőjű
kampanje	kampányok
kampanje	kampány
zasnovana	tervezett
zasnovana	megtervezett
doseženo	elérte
