indslag	segment
forøget	povećan
forøget	povećana
forøget	povećane
forøget	povećanu
forøget	povećanog
regelmæssige	redovni
regelmæssige	redovnog
regelmæssige	redovan
regelmæssige	redovna
regelmæssige	redovnom
regelmæssige	redovnim
cypern	kipar
halve	polovine
mitsubishi	mitsubishi
skarpe	oštrim
skarpe	oštre
skarpe	oštru
skarpe	oštrog
kriminalitet	zločini
kriminalitet	zločine
kriminalitet	kriminal
undervist	učio
undervist	učili
batteri	baterija
batteri	baterije
seg	seg
omkostninger	košta
omkostninger	troškovi
omkostninger	trošak
afdelingen	odjel
afdelingen	katedri
afdelingen	odjeljenje
afdelingen	departmenta
mur	zid
motors	motors
passede	stati
passede	fit
cia	cia
cia	cia
cia	cla
forberede	priprema
richmond	richmond
lissabon	lisabon
grace	grace
illustrationer	illustrations
brugerne	korisnici
brugerne	korisnika
sct	sct
tjenester	usluge
tjenester	usluga
tusind	hiljade
tusind	hiljadu
tusind	hiljada
templet	hram
håbet	nadaju
håbet	nada
håbet	nade
håbet	nadali
indlagt	primljena
indlagt	priznao
indlagt	primljen
reform	reforma
videnskabeligt	naučno
videnskabeligt	naučna
videnskabeligt	naučne
videnskabeligt	naučno
psykisk	psihološki
psykisk	psihičke
psykisk	psihijatrijske
psykisk	mentalne
psykisk	mentalno
psykisk	duševna
psykisk	mentalno
clara	clara
hoteller	hotela
hoteller	hoteli
hoteller	hotelima
beskadiget	oštećeni
beskadiget	oštećeno
beskadiget	oštećen
rudolph	rudolph
pinyin	pinyin
ward	ward
ward	odjeljenju
modtagelse	prima
modtagelse	primanje
modtagelse	prijem
support	podrška
sandhed	istina
hævet	podignut
hævet	podigao
manuelt	uputstvo
manuelt	priručnik
manuelt	ručno
præstation	nastup
præstation	postignuće
præstation	dostignuće
atmosfæren	atmosfera
atmosfæren	atmosferu
magic	sihr
eksistere	postoje
eksistere	postoji
betragtede	smatran
racer	trkama
racer	rasa
racer	utrka
racer	utrke
boksning	boks
iau	iau
specialiseret	specijalizirane
specialiseret	specijalizovani
voice	glas
cameron	cameron
holberg	holberg
bjerre	bjerre
fastholdt	održavala
fastholdt	održavana
badminton	badminton
øre	uho
øre	uši
walt	walt
katalog	katalog
katalog	katalog
shakespeare	shakespeare
hudson	hudson
schwerin	schwerin
rapporterede	izvijestio
rapporterede	prijavljeno
rapporterede	prijavili
rapporterede	izvještava
susan	susan
elben	laba
triple	trostrukog
klassificeret	klasificirane
klassificeret	klasifikovan
produktet	proizvod
produktet	produkt
taber	loser
taber	izgubiti
taber	gube
taber	izgubi
broadway	broadwayu
armenien	armenski
armenien	armenije
tropiske	tropske
tropiske	tropski
tropiske	tropska
hand	šaka
indstilling	opcija
indstilling	stav
indstilling	stava
indstilling	konfiguracija
indstilling	podešavanja
munch	munch
busk	busk
busk	bush
busk	žbun
rapporter	izveštaj
rapporter	izvještaj
rapporter	izvještaje
rapporter	izvještajima
rapporter	izveštaji
rapporter	izvještaji
kompleks	kompleksan
kompleks	kompleks
kompleks	kompleksna
jespersen	jespersen
fænomener	fenomen
fænomener	fenomene
koncept	pojam
wallace	wallace
redigere	uredi
redigere	uređivanje
glenn	glenn
eksport	izvoz
eksport	izvoza
eksport	izvoz
eksport	izvozom
lært	naučila
lært	naučili
lært	saznao
lært	naučio
lært	učio
lært	učili
lært	naučio
elite	elita
jakobsen	jakobsen
spurgte	pitali
spurgte	upitan
spurgte	zatražio
kørsel	vozeći
kørsel	vožnje
ment	značilo
jules	jules
symboliserer	simbolizira
bloch	bloch
legendariske	legendarna
legendariske	legendarni
memorial	spomen
memorial	memorijal
memorial	komemoraciji
memorial	pomen
memorial	memorijalni
udtrykker	izražava
udtrykker	izražavajući
udtrykker	izrazivši
polo	polo
frugter	plod
frugter	voće
frugter	plod
tunesien	tunis
hood	hood
tobias	tobias
indvandrere	imigranti
indvandrere	migranti
indvandrere	imigranti
indvandrere	imigranata
indvandrere	imigrant
arbejdspladser	jobs
arbejdspladser	poslovi
anklager	optužbe
anklager	tužilac
peters	peters
konsulent	konsultant
konsulent	konsultanta
konsulent	savjetnik
venezuela	venecuela
skribent	pisac
skribent	pisar
saturn	saturn
ride	jahanje
ride	prevoz
forklarede	pojasnio
forklarede	objasnio
samtale	razgovor
arrangement	aranžman
ridge	greben
classic	klasični
classic	classic
classic	klasik
ritualer	obreda
ritualer	ritualnim
sekund	drugi
mændene	muškarci
ambassade	ambasada
statsborgerskab	nacionalnost
statsborgerskab	državljanstvo
newcastle	newcastle
fyldte	ispunio
runder	runde
runder	rundama
ontario	ontario
åndelige	duhovne
åndelige	duhovni
åndelige	duhovnih
åndelige	duhovno
åndelige	duhovnog
åndelige	duhovnu
panzer	panzer
tropperne	trupe
fiktion	fikcija
tibet	tibet
svendsen	svendsen
gottorp	gottorp
iversen	iversen
særskilt	odvojeno
særskilt	odvojenih
særskilt	odvojene
særskilt	odvojiti
højdepunkt	isticanja
højdepunkt	istaknuta
højdepunkt	vrhunac
højdepunkt	peak
varighed	trajanja
varighed	trajanje
pseudonym	pseudonim
gemeinden	gemeinden
kommunistisk	komunistička
kommunistisk	komunistički
sko	shoes
lider	pati
lider	pate
lider	pati
bakken	brdo
simpelt	jednostavna
simpelt	jednostavne
simpelt	jednostavan
simpelt	jednostavni
simpelt	jednostavnih
simpelt	jednostavno
standarder	standardi
standarder	standarde
standarder	standarda
opererer	operativni
opererer	posluje
dominerede	dominiraju
dominerede	dominirali
mælk	mlijeko
færge	šatl
færge	trajekt
track	track
track	stazi
intelligens	inteligencija
eastwood	eastwood
virus	virus
virus	virusi
marcel	marcel
leonard	leonard
halle	halle
birger	birger
seattle	seattle
mozart	mozart
adm	adm
evil	zlo
dylan	dylan
vision	vid
slagmarken	ratište
slagmarken	bojnom
gæst	posjetilac
gæst	gost
statsborger	građanin
definerer	definisati
definerer	definisanje
definerer	definira
definerer	definiše
ugift	neudate
brasilianske	brazilski
vestindien	karipsko
vestindien	karipska
vestindien	kariba
siddepladser	sjedenja
idéer	ideja
idéer	idejama
idéer	ideje
zulu	zulu
begivenhederne	događaja
begivenhederne	događaji
begivenhederne	dešavanja
økonom	ekonomista
beat	pobijedio
beat	pobedi
gradvis	postepenu
gradvis	postepenom
gradvis	postepene
gradvis	postepeno
gradvis	postepeno
gradvis	progresivni
winter	zima
vinden	vjetar
gert	gert
peace	mira
ralph	ralph
mare	mare
percussion	udaraljke
matcher	mečevi
matcher	mečevima
matcher	mečeva
matcher	mečeve
matcher	meč
novelle	roman
ejeren	vlasnik
vedrører	zabrinutosti
tilbyde	nuditi
tilbyde	ponuda
hope	nada
hope	nade
regelmæssigt	redovno
regelmæssigt	redovni
regelmæssigt	redovnog
regelmæssigt	redovan
regelmæssigt	redovna
regelmæssigt	redovnom
regelmæssigt	redovnim
rigdom	bogatstvo
nævne	spomen
nævne	spomenuti
renæssance	renesansa
finansieret	finansirao
finansieret	finansiran
finansieret	finansirali
finansieret	finansirala
finansieret	finansiralo
finansieret	finansirala
finansieret	finansiran
akt	ponašaju
akt	čin
akt	akt
personale	personal
personale	osoblje
kaster	bacanje
kaster	baca
halvkugle	hemisfera
halvkugle	hemisferu
halen	rep
happy	sretan
happy	sretna
happy	happy
ansøgning	primjenu
ansøgning	aplikacija
ansøgning	prijavu
ansøgning	prijavi
ansøgning	aplikativni
ansøgning	prijave
ansøgning	aplikacije
ansøgning	prijave
sangere	pjevači
sangere	pjevača
command	naredba
command	komandu
command	komanda
genopbygget	obnovljena
kammer	odaja
kammer	komora
kammer	komori
hemmelig	tajna
følges	praćen
følges	slijede
følges	slijedili
bue	arch
bue	sedžde
bue	luk
christoph	christoph
værksted	radionica
værksted	radionice
værksted	radionici
værksted	radionicu
udtalelser	mišljenja
udtalelser	izjave
simpsons	simpsons
simpsons	simpson
weekend	vikend
sætninger	fraze
sætninger	rečenica
sætninger	presude
sætninger	rečenice
wta	wta
bryggeri	pivara
bryggeri	brewer
madison	madison
pulje	pooling
pulje	bazen
sørger	žalosti
sørger	pruža
sørger	obezbjeđuje
atlético	atlético
tilsyn	nadzorom
blom	blom
helium	helij
brugernavn	username
indtaget	odveden
indtaget	uzeo
indtaget	donesena
crash	sudar
crash	pad
glimrende	odličnu
glimrende	odličan
glimrende	odlične
glimrende	izvrsno
glimrende	odlično
besidder	posjeduje
devil	šejtan
ungdoms	omladina
søgning	pretrage
søgning	potraga
søgning	pretraga
evolution	evolucija
vidne	svjedok
seksuel	seksualnu
seksuel	spolno
seksuel	spolni
seksuel	seksualna
landede	sletio
beskeden	poruka
beskeden	skroman
zar	car
zar	cara
lead	olova
lead	olovo
vinderne	pobjednici
montana	montana
brock	brock
falsk	lažnih
falsk	lažna
falsk	lažne
falsk	lažni
falsk	lažno
observeret	posmatrala
observeret	posmatrao
nash	nash
pil	strela
mhz	mhz
monarki	monarhija
moral	moral
moral	moralna
moral	moralne
moral	moral
moral	moral
moral	morala
gilbert	gilbert
sandsynlighed	vjerovatnoća
håbede	nadaju
håbede	nadali
dokumenteret	dokumentiran
dokumenteret	dokazan
dokumenteret	dokazala
dokumenteret	dokazana
dokumenteret	dokazano
kosovo	kosovo
nacional	nacional
strengt	stroga
strengt	stroge
strengt	strogo
torino	torino
torino	torino
akustisk	acoustic
konference	konferencija
martha	martha
massive	masivne
massive	masivan
massive	masivna
massive	masivni
kyster	obala
stabil	stabilno
stabil	stabilna
stabil	stabilan
forbrug	potrošnja
forbrug	potrošnju
germain	germain
eksperter	stručnjaci
tyndt	tanke
anime	anime
sank	potonuo
sank	potonuo
ask	ask
ask	pepeo
ask	ash
freja	freya
limited	ograničene
limited	ograničena
limited	ograničen
versionen	verzija
chefen	boss
chefen	šef
murphy	murphy
diesel	dizel
tromsø	tromsø
analyser	analiza
faxe	fax
steget	porasla
diamond	dijamant
forårsagede	izazvalo
forårsagede	uzrokovala
forårsagede	uzrokovane
forårsagede	izazvao
forårsagede	izazvala
detaljeret	detaljan
detaljeret	detaljne
bekendte	poznanicima
mærker	brendove
mærker	brendova
mærker	obilježava
mærker	maraka
mærker	oznake
mærker	tags
tråd	žica
tråd	nit
edge	edge
bopæl	boravka
jürgen	jürgen
jürgen	jurgen
læsere	čitaocima
knight	vitez
knight	skakač
knight	viteza
tilgængeligt	dostupan
tilgængeligt	dostupno
tilgængeligt	dostupni
tilgængeligt	dostupna
tilgængeligt	raspolaganju
døren	vrata
tungt	heavy
tungt	teški
tungt	težak
tungt	teška
tungt	teške
viet	klanjao
smukt	lijepe
smukt	lijepa
hugh	hugh
grundstoffer	elemenata
grundstoffer	elementima
grundstoffer	elementa
grundstoffer	elemente
grundstoffer	elementi
grundstoffer	elementarne
ryg	nazad
ryg	back
ryg	vrati
ryg	dim
forbød	zabranili
faldende	pada
faldende	falling
faldende	padao
faldende	padu
faldende	smanjuje
niende	deveti
forstad	predgrađu
forstad	predgrađa
mund	usta
bryggeriet	pivara
huskes	upamćen
ram	ram
uro	nemire
uro	nemira
uro	nemiri
uro	anksioznost
due	dove
due	pigeon
justin	justin
trusler	prijetnje
trusler	prijetnjama
trusler	prijetnji
trusler	prijetnju
trusler	prijetnja
lau	lau
willy	willy
gestapo	gestapo
eminem	eminem
andersson	andersson
coast	obala
fjernsyn	televizija
ture	ture
ture	putovanja
leon	lion
leon	leon
forstået	razumiju
forstået	shvatili
forstået	razumije
forstået	razumiju
forstået	razumije
forstået	shvati
leonardo	leonardo
opfandt	izmislili
opfandt	izumio
opfandt	izmislio
tiende	deseti
tiende	deseta
denis	denis
logik	logika
latinsk	latinski
forbliver	ostaci
forbliver	ostaje
forbliver	ostaje
miner	rudnici
miner	mina
miner	mine
event	manifestacija
event	događaj
kattegat	kattegat
ruiner	ruševina
ruiner	ruševine
ruiner	ruševinama
investeringer	ulaganja
investeringer	investicija
investeringer	investicije
investeringer	investicija
israelsk	izraelski
israelsk	izrael
organer	organi
organer	tela
organer	tijela
skåret	rez
skåret	smanjila
skåret	shard
mindesmærke	spomen
mindesmærke	memorijal
mindesmærke	komemoraciji
mindesmærke	pomen
mindesmærke	memorijalni
lane	lane
producenter	proizvođača
producenter	proizvođači
tottenham	tottenham
fødslen	rođenja
fødslen	rodila
koncerten	koncert
tusindvis	hiljade
fjernede	uklonjena
ægypten	egipat
ulykker	nezgoda
ulykker	nesreća
pete	pete
privilegier	privilegije
nicholas	nicholas
mann	men
beograd	beograd
omgivende	okolne
omgivende	okolnim
canal	kanal
ost	sir
ost	sireva
vegetation	vegetacija
værre	gorom
værre	gore
værre	gori
værre	gora
renoveret	redone
renoveret	obnovljena
hulk	hulk
legenden	legenda
interviews	intervjue
troen	vjera
troen	vjerovanje
troen	vjerovanja
add	dodaju
add	dodati
add	dodajte
lara	lara
hyldest	počast
hyldest	homage
overveje	smatraju
lettisk	letonski
svækket	slabljenje
svækket	oslabila
est	est
arkiver	arhive
udgår	deleted
kierkegaard	kierkegaard
vægten	težina
piper	piper
palads	palata
palads	palača
banner	banner
opdagelse	otkriće
botaniske	botanical
helen	helen
toppede	izduženi
faser	faze
faser	etapa
faser	stadijuma
balance	mjerilo
balance	bilans
hogwarts	hogwarts
child	dijete
krim	krim
misbrug	zloupotreba
misbrug	zlostavljanja
misbrug	zlostavljanje
misbrug	zloupotrebu
misbrug	brojna
kulturelt	kulturna
kulturelt	kulturno
kulturelt	kulturni
kulturelt	kulturnih
kulturelt	kulturno
fastsat	fiksni
sultan	sultan
hercegovina	hercegovina
asfalt	bitumen
amerikaner	američki
amerikaner	amerikanac
mandskab	ljudstva
mandskab	ekipa
bølger	talasi
erkendelse	priznanja
erkendelse	priznavanje
erkendelse	priznanje
erkendelse	shvatanje
erkendelse	realizacija
abel	abel
helsingfors	helsinki
siddet	sjedio
siddet	sat
vindende	osvojivši
vindende	pobjednički
vindende	dobijanje
cirkel	kružnica
six	šest
adrian	adrian
svalbard	svalbard
adelsmand	plemić
brooklyn	brooklyn
discovery	otkriće
lukas	luke
lukas	luk
lukas	lukas
avenue	avenue
kælenavn	nadimak
kid	mali
kid	dijete
kid	kid
spencer	spencer
berømmelse	slavnih
berømmelse	fame
kontakter	kontakti
born	born
born	rođen
born	rođena
born	rođeni
alter	altar
alter	oltar
alter	alter
alberto	alberto
nansen	nansen
logisk	logično
logisk	logičan
logisk	logika
udgifter	košta
udgifter	troškovi
udgifter	izdataka
udgifter	troškovi
udstedt	izdat
udstedt	izdana
udstedt	izdale
udstedt	izdata
udstedt	izdali
philipp	philipp
erhvervet	stečena
erhvervet	stekla
betegnelser	indikacije
betegnelser	imena
betegnelser	opise
betegnelser	opisa
torsdag	četvrtak
linket	veza
linket	link
velegnet	pogodan
velegnet	pogodna
billigere	jeftiniji
himmel	nebo
himmel	sky
himmel	nebo
himmel	nebo
himmel	skies
wang	wang
ansvarlige	odgovorne
ansvarlige	odgovorna
ansvarlige	odgovorni
ansvarlige	odgovornim
ansvarlige	odgovoran
redskaber	opremu
redskaber	alat
redskaber	nets
forhindrer	sprječava
forhindrer	sprečava
biograf	theater
biograf	pozorište
biograf	kino
biograf	kinematografija
biograf	cinema
blik	oka
blik	oko
christie	kristi
christie	christie
datterselskab	podružnica
påstod	ustvrdio
påstod	preuzela
påstod	tvrdili
påstod	tvrdio
greg	greg
bestemmelse	odredbom
bestemmelse	odredbu
bestemmelse	opskrba
bestemmelse	odlučnost
bestemmelse	klauzula
skønhed	ljepota
roberts	roberts
brigader	brigade
unger	deca
unger	djeca
unger	mladunci
discogs	discogs
comeback	povratak
serbiske	srpski
koden	kod
ferie	praznik
ferie	odmor
ferie	praznici
ferie	praznike
ferie	praznika
freedom	sloboda
rex	rex
elektronik	elektronika
cykel	bicikl
botanisk	botanical
polens	poljska
huden	koža
passager	putnik
pol	pol
pol	poi
burma	burmi
fattigdom	siromaštvo
fattigdom	siromaštva
slægtninge	rodbina
tchad	čad
sammenbrud	slom
sammenbrud	sudar
sammenbrud	pad
sammenbrud	kolapsom
sammenbrud	kolapsa
sammenbrud	kolaps
facto	facto
konferencen	konferencija
udpegede	označene
standpunkt	stanovišta
depression	depresija
steffen	steffen
tænkte	misao
tænkte	misleći
gregorianske	gregorian
erklærer	proglašenja
erklærer	proglasi
erklærer	proglasiti
erklærer	proglasi
slås	bori
kold	hladno
værft	dvorišta
foreslå	predložiti
forlangte	zahtijevao
tjekkiske	češki
krisen	kriza
palæstinensiske	palestinski
wiener	wiener
wiener	beč
colin	colin
colin	kolin
graven	grob
efterretningstjeneste	inteligencija
mongoliet	mongolija
interwiki	interwiki
syriske	sirijski
syriske	sirijskoj
matthias	matthias
moss	mos
anvendelser	aplikacije
anvendelser	prijave
face	licem
face	suočavaju
face	suočiti
face	lice
face	face
mineraler	minerali
bosættelser	naselja
kontrolleret	kontrolira
kontrolleret	kontrolom
break	brejk
done	uradio
done	urađen
done	završeno
done	urađeno
radar	radar
elias	elias
halsen	grlo
halsen	grla
halsen	vrat
nancy	nancy
repræsentation	zastupljenost
repræsentation	predstavništvo
repræsentation	predstavljanja
sprang	skočio
tårne	kule
gotisk	gothic
spirit	duh
spirit	džibril
fed	masti
fed	fat
fed	debela
fed	masnoća
fed	masnoće
iss	iss
ministerium	ministarstvo
tusinder	hiljade
ækvator	ekvator
shepherd	ovčar
prøvet	pokušao
prøvet	testirali
prøvet	ispitana
thompson	thompson
daily	svakodnevne
daily	dnevnik
daily	svakodnevni
daily	dnevni
aristoteles	aristotel
biografier	biographies
sagn	legenda
sagn	folklora
sagn	folklor
sagn	legende
blank	prazna
dårligere	gorom
dårligere	gore
dårligere	gori
dårligere	gora
alpes	alpes
nature	priroda
aktuelt	trenutna
aktuelt	trenutno
speed	brzina
argentinske	argentinac
zagreb	zagreb
leningrad	lenjingradska
atlantis	atlantida
smart	fancy
smart	smart
smart	pametan
holding	drže
holding	holding
oder	odra
roland	roland
turner	turner
primitive	primitivno
wing	krilo
udnævnelse	nominaciju
udnævnelse	nominacija
udnævnelse	termin
udnævnelse	termina
udnævnelse	imenovanje
nytte	komunalne
ligue	ligue
joan	joan
afhængige	zavisna
dirty	prljavi
cirkus	cirkus
hud	hud
hud	koža
skyder	puca
skyder	streljaštvu
skyder	paljbe
indledning	uvođenje
indledning	upoznavanje
præsenterede	predstavila
præsenterede	predstavljena
præsenterede	predstavljen
præsenterede	predstavilo
præsenterede	predstavio
dekoreret	ukrašen
syndrom	sindrom
orientering	orijentacija
bin	bin
floyd	floyd
hegn	ograda
hegn	ograde
hegn	ograda
liège	liege
liège	liège
lilla	ljubičasti
massiv	masivne
massiv	masivan
massiv	masivna
massiv	masivni
bros	bros
meninger	mišljenja
groft	gruba
groft	približno
groft	oštrodlaki
krydset	raskrsnica
krydset	prešao
iowa	iowa
litteraturen	književnost
gennemgang	pregled
drager	zmajevi
butler	butler
kaos	haos
marina	marina
konsul	konzul
kvaliteten	kvalitet
kvaliteten	kvaliteta
sværere	teže
cfg	cfg
teknikken	tehnika
pablo	pablo
split	splitsko
split	split
split	splitska
geologi	geologija
johnston	johnston
begrænsninger	ograničenja
begrænsninger	ograničenjima
begrænsninger	ograničenja
begrænsninger	ograničenja
gaver	darova
gaver	predstavlja
soldaterne	vojnici
oplevelse	iskustva
oplevelse	iskustvo
mystiske	misteriozna
mystiske	mystic
massakren	masakr
paradise	raj
sri	šri
kvartfinalen	četvrtfinale
filosofisk	filozofskim
glade	sretan
glade	sretna
glade	happy
krater	krater
bestilt	naručio
bestilt	priveo
bestilt	naredio
cola	coke
cola	kolu
cola	cola
queens	queens
moser	moser
astronomi	astronomija
afsluttende	zatvaranje
afsluttende	zatvara
afsluttende	finale
afsluttende	završni
afsluttende	konačni
emilie	emilie
utah	utah
profession	profesiji
profession	struke
profession	profesije
rigeste	najbogatijih
rigeste	najbogatiji
rigeste	najbogatijih
rigeste	najbogatija
forretningsmand	biznismen
karakterer	ocjene
karakterer	likovi
provinserne	pokrajina
provinserne	provincija
provinserne	provincije
joint	zajedničke
ondt	zlo
ondt	bole
arving	nasljednik
arving	naslednika
fattig	loše
fattig	siromašni
fattig	siromašnih
funktionen	funkcija
funktionen	igranih
funktionen	igrane
mainsnak	mainsnak
dagmar	dagmar
avanceret	naprednim
avanceret	napredna
fauna	fauna
udsatte	odgođena
udsatte	odgođeno
udsatte	odložena
udsatte	ranjive
udsatte	ugrožene
craig	craig
beregninger	proračunima
stjernen	zvijezda
håndværkere	zanatlija
kalk	kalcij
kalk	lime
distribution	distribuciji
distribution	distribucija
distribution	distribuciju
smal	uski
smal	uske
mekaniske	mehanički
mekaniske	mašinski
mekaniske	mašinsko
litterær	književni
litterær	književna
fylde	napuni
dokumentar	dokumentarac
farvande	vodama
platforme	platformi
gener	geni
generaler	generali
teatre	pozorišta
teatre	teatara
understøtter	podržava
flytning	preseljenja
flytning	pokret
munke	monasi
undersøgte	istraživala
undersøgte	istragom
undersøgte	istraga
undersøgte	ispitao
mexicansk	meksički
gottlieb	gottlieb
jung	jung
offensiven	ofanzive
offensiven	kozari
offensiven	ofanzivu
offensiven	ofanziva
truman	truman
elektroner	elektrone
elektroner	elektrona
anerkende	prizna
anerkende	priznati
påstande	tvrdnje
påstande	tvrdi
påstande	navode
riges	rajh
riges	rajha
eftermiddagen	popodne
eftermiddagen	popodnevnim
kigger	traži
kigger	gledajući
kigger	tražili
kigger	posmatra
kigger	posmatranje
kigger	posmatrao
cm³	cm³
wisconsin	wisconsin
deutschen	deutschen
crystal	kristal
vedligeholdelse	održavanje
sid	sida
sid	sid
homo	homo
malcolm	malcolm
perfekt	savršen
perfekt	savršena
fugtige	vlažne
cat	mačka
seere	gledaoci
udfald	ishod
persisk	perzijski
forudsætning	preduslov
forudsætning	pretpostavka
forudsætning	preduslov
wanderers	wanderers
commonwealth	commonwealth
kunstig	vještačko
kunstig	vještačka
dos	dos
fods	foot
fænomenet	fenomen
earl	earl
bæres	nosio
fotos	fotografije
fotos	fotografija
stage	faza
stage	bina
mistanke	sumnje
mistanke	osumnjičenog
mistanke	osumnjičeni
mistanke	osumnjičena
mistanke	sumnja
mistanke	osumnjičen
mistanke	sumnje
mistanke	sumnju
digitalt	digitalno
digitalt	digitalnu
digitalt	digitalna
digitalt	digitalne
digitalt	digitalni
digitalt	digitalnoj
paradis	raj
svømmer	plivanju
svømmer	plivačica
