και	at
αρχείο	talaksan
αρχείο	file
πρέπει	dapat
φορά	panahon
φορά	oras
φορά	time
πάνω	taas
πρώτο	unang
πρώτο	muna
έργο	project
έργο	proyekto
έργο	taumbayan
έργο	trabaho
έργο	magtrabaho
έργο	work
όχι	hinde
όχι	hindi
μεγάλη	big
μεγάλη	malaking
μεγάλη	malaki
έως	hanggang
ταινία	pelikula
ταινία	sine
ταινία	movie
ταινία	tape
άλλα	iba
τμήμα	kagawaran
τμήμα	departamento
τμήμα	section
τμήμα	seksyon
τμήμα	seksiyon
σαν	parang
σαν	like
σαν	gustuhin
εκεί	may
ωστόσο	subalit
ωστόσο	gayunman
ωστόσο	gayunpaman
τέλος	wakas
τέλος	matatapos
τέλος	katapusan
τέλος	pagtatapos
τέλος	tapusin
τέλος	dulo
σειρά	serye
σειρά	series
σειρά	order
σειρά	hilera
σειρά	row
στοιχεία	datos
στοιχεία	data
εκτός	maliban
εκτός	puwera
εκτός	maliban
εκτός	pwera
συνέχεια	tuloy
συνέχεια	magpatuloy
συνέχεια	ipagpatuloy
συνέχεια	ipinagpatuloy
συνέχεια	nagpatuloy
κάτω	down
κάτω	pababa
κάτω	lower
κάτω	ibaba
πολλές	maraming
πολλές	marami
όλα	all
όλα	puro
όλα	lahat
σύστημα	sistemang
σύστημα	system
σύστημα	sistema
ακόμα	parin
φορές	times
φορές	beses
ίδια	magkapareho
ίδια	parehong
ίδια	same
ιουλίου	hulyo
χώρα	bansa
χώρα	makabayan
αποτέλεσμα	outcome
αποτέλεσμα	kinalabasan
αποτέλεσμα	resulta
αποτέλεσμα	effect
αποτέλεσμα	epekto
οκτωβρίου	oktubre
ιανουαρίου	january
ιανουαρίου	enero
σεπτεμβρίου	setyembre
νοεμβρίου	nobyembre
νοεμβρίου	november
αγώνες	tumutugma
αγώνες	games
ταινίες	films
ταινίες	movies
μέσω	via
μέσω	through
μαρτίου	marso
γεννήθηκε	ipinanganak
γεννήθηκε	pinanganak
ιουνίου	june
ιουνίου	hunyo
πολλά	maraming
πολλά	marami
απριλίου	april
απριλίου	abril
τρεις	tatlong
τρεις	tatlo
αυγούστου	august
αυγούστου	agosto
έργα	gumagana
έργα	proyekto
δεκεμβρίου	december
δεκεμβρίου	disyembre
χρήση	gamitin
πρόεδρος	pangulo
πρόεδρος	presidente
πολιτική	patakaran
πολιτική	politika
πολιτική	pulitika
ακόμη	parin
ίδιο	parehong
ίδιο	same
μας	ating
μας	aming
εκλογές	eleksyon
εκλογές	halalan
μέλη	miyembro
μέλη	members
μέλη	kasapi
τελικά	eventually
τελικά	kalaunan
τελικά	wakas
μέλος	miyembro
εποχή	epoch
εποχή	panahon
εποχή	era
χωριό	nayon
αρχικά	initially
αρχικά	originally
αρχικά	inisyal
περίοδος	panahon
δήμος	munisipalidad
δήμος	munisipyo
κύπελλο	tasa
κύπελλο	kopa
ζωή	buhay
ζωή	zoe
έδρα	headquarters
έδρα	upuan
περιλαμβάνει	nagsasama
μεγάλο	large
μεγάλο	malaki
μεγάλο	malaking
μεγάλο	big
μεγάλο	malaking
μεγάλο	malaki
βάση	base
βάση	basehan
κέντρο	center
κέντρο	sentro
κέντρο	sentro
κέντρο	centre
φεβρουαρίου	february
φεβρουαρίου	pebrero
κοντά	malapit
κοντά	close
κοντά	malapit
κοντά	isara
κοντά	malapit
κοντά	kalapit
μορφή	anyo
μορφή	format
χρόνο	panahon
χρόνο	oras
χρόνο	time
ιστοσελίδα	website
κόμμα	partido
κόμμα	party
κόμμα	pagdiriwang
κόμμα	pagtitipon
κόμμα	kuwit
γιατί	kc
γιατί	kasi
γιατί	dahil
γιατί	bakit
ρόλο	tungkulin
άλμπουμ	album
άλμπουμ	album
άλμπουμ	albums
επειδή	kc
επειδή	kasi
επειδή	dahil
έκδοση	edition
έκδοση	edisyon
έκδοση	bersyon
έκδοση	bersiyon
γκολ	goals
γκολ	layunin
αρχές	kinauukulan
αρχές	prinsipyo
γύρω	paligid
συνήθως	kadalasan
ονομασία	pangalan
ονομασία	pong
ονομασία	designation
κοινότητα	pamayanan
κοινότητα	komunidad
τελευταία	huling
τελευταία	huli
τελευταία	last
τελευταία	kamakailan
τελευταία	lately
έκανε	ginawa
ξεκίνησε	nagsimula
ξεκίνησε	inumpisahan
ξεκίνησε	sinimulan
είτε	alinman
είτε	either
κυβέρνηση	pamahalaan
κυβέρνηση	gobyerno
πρώτος	unang
πρώτος	muna
κάνει	done
ηπα	usa
ανάμεσα	pagitan
δεύτερη	pangalawa
γλώσσα	dila
γλώσσα	wika
γλώσσα	alangan
γλώσσα	wikang
γλώσσα	tausug
γιος	anak
γιος	son
μάχη	labanan
μάχη	combat
μάχη	labanan
μάχη	lumaban
πανεπιστήμιο	university
πανεπιστήμιο	unibersidad
πανεπιστήμιο	pamantasan
όλες	all
όλες	puro
όλες	lahat
κάποια	ilang
κάποια	ilan
δείτε	makita
δείτε	see
δείτε	makakita
δείτε	tingnan
δείτε	watch
δείτε	panoorin
δείτε	relo
πόλεμο	digmaan
πόλεμο	digmaang
συχνά	madalas
συχνά	madalas
συχνά	kadalasan
περιοχές	rehiyon
πρώην	dating
παράδειγμα	halimbawa
άρθρο	artikulo
εικόνα	picture
εικόνα	larawan
εικόνα	larawan
εικόνα	imahe
έλαβε	natanggap
επίσημη	official
επίσημη	opisyal
επίσημη	pormal
κατοίκους	naninirahan
κατοίκους	residente
πηγές	sources
πηγές	pinagmumulan
πηγές	pagkukunan
βόρεια	north
βόρεια	hilagang
βόρεια	hilaga
βόρεια	hilagang
πόλεις	lungsod
αγώνα	lahi
αγώνα	laban
αγώνα	tugma
αγώνα	lumaban
γεγονός	pangyayari
γεγονός	kaganapan
γεγονός	event
γεγονός	katunayan
γεγονός	fact
γεγονός	katotohanan
σελίδα	pahinang
σελίδα	pahina
σελίδα	page
θέμα	theme
θέμα	tema
θέμα	sasailalim
θέμα	paksa
θέμα	subject
ηλικία	edad
ηλικία	age
χρησιμοποιείται	ginamit
χρησιμοποιείται	nagamit
χρησιμοποιείται	ginagamit
πρώτα	unang
πρώτα	muna
μέγεθος	laki
μέγεθος	sukat
εδώ	rito
εδώ	dito
εδώ	nandito
νότια	katimugang
νότια	southern
νότια	timog
σημείο	puntong
σημείο	punto
σημείο	point
σχέση	pinagsamahan
σχέση	kaugnayan
σχέση	relasyon
περίπτωση	case
περίπτωση	kaso
περίπτωση	kasong
νέο	new
νέο	bago
νέο	bagong
έτος	taon
σχεδόν	halos
ένωση	unyon
ένωση	union
ένωση	unyong
ένωση	association
περισσότερο	pa
περισσότερο	pang
βασιλιά	king
βασιλιά	hari
βασιλιά	haring
εκκλησία	iglesia
εκκλησία	simbahan
εκκλησία	church
μουσείο	museo
πολιτικός	pulitiko
συμμετοχή	paglahok
δυο	dalawang
δυο	dalawa
δυο	two
μεγαλύτερη	older
πέθανε	die
πέθανε	mamatay
πέθανε	mamamatay
πέθανε	namatay
ανά	kada
μουσική	sinauna
μουσική	tugtog
μουσική	musika
μουσική	tugtugin
μουσική	music
κόσμο	cosmo
κόσμο	mundo
άτομα	persons
άτομα	tao
δεύτερο	pangalawa
είδος	type
είδος	uri
είδος	species
αρκετά	sapat
μεγαλύτερο	older
χώρες	bansang
χώρο	space
χώρο	kalawakan
χώρο	puwang
χώρο	espasyo
σχολή	paaralan
τρία	tatlong
τρία	tatlo
χαρακτηριστικά	katangian
χαρακτηριστικά	tampok
χαρακτηριστικά	katangian
χαρακτηριστικά	attributes
όρος	term
όρος	termino
όρος	kataga
όρος	bundok
όρος	kalagayan
όρος	kondisyon
όρος	kundisyon
ιδρύθηκε	itinatag
βασιλιάς	king
βασιλιάς	hari
βασιλιάς	haring
παιδιά	boys
παιδιά	pambata
παιδιά	guys
βραβείο	prize
βραβείο	premyo
βραβείο	award
άρχισε	nagsimula
άρχισε	inumpisahan
άρχισε	sinimulan
φαίνεται	anyong
φαίνεται	mukhang
αρχαία	ancient
αρχαία	sinaunang
μήκος	haba
κυκλοφόρησε	pinakawalan
τι	anong
τι	anu
τι	anung
τι	ano
συμμετείχε	lumahok
χρονιά	taon
παραγωγή	produksyon
παραγωγή	production
ηθοποιός	aktres
ηθοποιός	artista
ηθοποιός	actress
ηθοποιός	artista
ηθοποιός	actor
ηθοποιός	aktor
δυνάμεις	kapangyarihan
δυνάμεις	pwersa
δυνάμεις	sandatahan
γαλλία	pransiya
γαλλία	france
ευρώπη	europa
ευρώπη	gresya
δεκαετία	dekada
γνωστό	kilala
παγκόσμιο	pandaigdigang
παγκόσμιο	global
παγκόσμιο	pandaigdigan
βιβλίο	book
βιβλίο	libro
βιβλίο	aklat
διάστημα	pagitan
διάστημα	interval
διάστημα	space
διάστημα	kalawakan
διάστημα	puwang
διάστημα	espasyo
οικογένεια	kapamilya
οικογένεια	pamilya
σημαίνει	means
πέντε	limang
πέντε	lima
πέντε	singko
υπουργός	ministro
υπουργός	minister
σεζόν	panahon
πρότυπο	model
πρότυπο	template
πρότυπο	pamantayan
πρότυπο	karaniwang
πρότυπο	standard
αριθμός	bilang
θάνατο	kamatayan
εταιρεία	kumpanya
εταιρεία	kompanya
σώμα	katawan
σώμα	corps
πρωτεύουσα	capital
πρωτεύουσα	kabisera
πρωτεύουσα	kapital
παράλληλα	kahilera
σύνολο	kabuuang
σύνολο	kabuuan
γνωστή	kilala
κατάσταση	status
κατάσταση	katayuan
κατάσταση	situation
κατάσταση	sitwasyon
κατάσταση	kalagayan
κατάσταση	kondisyon
κατάσταση	kundisyon
νησί	isla
νησί	pulo
νησί	island
επίπεδο	antas
επίπεδο	level
επιτυχία	tagumpay
γερμανία	germany
γερμανία	alemanya
γερμανία	mikrobyo
άλλους	iba
πίσω	likod
πίσω	bumalik
πίσω	balikan
πίσω	balik
δημιουργία	gumawa
δημιουργία	lumikha
δημιουργία	paglikha
δημιουργία	paggawa
δημιουργία	creation
αρχή	simula
αρχή	simulan
αρχή	magsimula
αρχή	simula
αρχή	prinsipyo
αρχή	awtoridad
αρχή	otoridad
αρχή	authority
αρχή	kapangyarihan
άδεια	lisensiya
άδεια	lisensya
άδεια	pahintulot
άδεια	permiso
άδεια	lisensya
άδεια	licence
άδεια	pahintulutan
άδεια	permit
σου	sue
επιπλέον	karagdagang
περισσότερα	pa
περισσότερα	pang
ανάπτυξη	development
ανάπτυξη	pagpapaunlad
ανάπτυξη	unlad
ανάπτυξη	paglago
ανάπτυξη	paglaki
φάση	phase
αυτόν	kaniya
αυτόν	niya
αυτόν	siya
αυτόν	kanya
συγγραφέας	manunulat
συγγραφέας	author
άγιος	santo
άγιος	santa
θάνατοι	pagkamatay
γ΄	iii
τραγούδι	kumakanta
τραγούδι	kantahan
τραγούδι	pagkanta
τραγούδι	awitin
τραγούδι	kanta
τραγούδι	awit
κόρη	daughter
πάλι	ulit
πάλι	again
πάλι	muli
πάλι	nanaman
επαρχία	probinsya
επαρχία	province
επαρχία	probinsiya
επαρχία	lalawigan
ιωάννης	juan
ιωάννης	john
θεσσαλονίκη	tesalonica
αγγλικά	tagalog
αγγλικά	ingles
άλλοι	iba
κέρδισε	manalo
κέρδισε	nanalo
κέρδισε	panalo
βασίλειο	kaharian
σκοπό	layunin
συνολικά	kabuuang
συνολικά	kabuuan
συνολικά	pangkalahatan
γνωστός	kilala
γνωστός	kakilala
πληροφορίες	info
πληροφορίες	impormasyon
εθνικό	national
εθνικό	pambansa
εθνικό	pambansang
εθνικό	nasyonal
καριέρα	career
καριέρα	karera
ποτέ	never
ποτέ	ever
τέλη	fee
τέλη	bayad
τέλη	bayad
πλευρά	gilid
πλευρά	tabi
πλευρά	karamay
πλευρά	tagiliran
πρόγραμμα	program
πρόγραμμα	programa
πρόγραμμα	iskedyul
πρόγραμμα	schedule
χιλιόμετρα	milya
χιλιόμετρα	kilometres
χιλιόμετρα	kilometro
κάτοικοι	naninirahan
κάτοικοι	residente
άρθρα	akda
άρθρα	artikulo
γεώργιος	george
τύπου	pindutin
τύπου	type
τύπου	uri
δημοκρατία	republika
δημοκρατία	demokrasya
πόλεμος	digmaan
πόλεμος	digmaang
εφημερίδα	diyaryo
εφημερίδα	pahayagan
μικρό	liit
μικρό	maliit
μικρό	kaunti
μικρό	maliit
τόπος	lugar
τόπος	pook
τόπος	kinalalagyan
τόπος	lokasyon
ονομάζεται	tinawagan
ονομάζεται	tinatawag
ονομάζεται	tinawag
συγκεκριμένα	tukoy
συγκεκριμένα	tiyak
συγκεκριμένα	partikular
συγκεκριμένα	partikular
είδη	species
πηγή	source
πηγή	pinagkunan
κάποιος	somebody
πρωταθλήματα	championships
ιταλία	italya
πατέρας	ama
πατέρας	tatay
πατέρας	father
κατηγορίες	singil
αναφέρει	pagbanggit
αναφέρει	mentions
αναφέρει	binabanggit
ποδόσφαιρο	soccer
ποδόσφαιρο	football
θέσεις	upuan
περισσότερες	pa
περισσότερες	pang
έκταση	scope
έκταση	saklaw
έκταση	lawak
έκταση	lugar
έκταση	area
έκταση	lawak
γενικά	pangkalahatan
γενικά	kadalasan
γενικά	pangkalahatan
γενικά	heneral
γενικά	pangkalahatang
γενικά	general
σημαντικό	kahalaga
σημαντικό	mahalaga
νίκη	manalo
νίκη	tagumpay
νίκη	panalong
μικρή	liit
μικρή	maliit
μικρή	kaunti
μικρή	maliit
έτη	taon
πατέρα	ama
πατέρα	tatay
πατέρα	father
αμερικανός	amerikano
τελικό	pinal
τελικό	pangwakas
τελικό	final
τελικό	panghuling
πάντα	palagi
πάντα	laging
συγκρότημα	banda
συγκρότημα	complex
συγκρότημα	kumplikadong
συγκρότημα	komplikadong
συγκρότημα	masalimuot
παραγωγής	produksyon
παραγωγής	production
ίσως	marahil
ίσως	siguro
ίσως	baka
επόμενη	kasunod
επόμενη	susunod
επόμενη	next
στιγμή	sandali
στιγμή	moment
μήνες	buwan
μήνες	months
αποτελείται	binubuo
αποτελείται	binubuo
θεωρία	panukala
θεωρία	teoriya
θεωρία	teorya
ύψος	altitude
ύψος	taas
ύψος	height
πολλοί	maraming
πολλοί	marami
όλοι	all
όλοι	puro
όλοι	lahat
όλοι	lahat
τώρα	ngayon
προπονητής	coach
θέατρο	sinehan
θέατρο	theater
θέατρο	teatro
θέατρο	tanghalan
σημαντική	kahalaga
σημαντική	mahalaga
σημαντική	makabuluhang
ημέρα	araw
διάφορα	miscellaneous
διάφορα	kalokohan
επέστρεψε	ibabalik
επέστρεψε	binalik
παρέμεινε	nanatiling
παρέμεινε	naiiwan
θέματα	paksa
θέματα	tema
στάδιο	stadium
στάδιο	entablado
στάδιο	yugto
στάδιο	stage
χωριά	villages
χωριά	nayon
επίθεση	attack
επίθεση	atake
επίθεση	assault
τραγούδια	kanta
τραγούδια	songs
έδωσε	nagbigay
πληθυσμός	populasyong
πληθυσμός	populasyon
λέξη	salitang
λέξη	salita
κατάφερε	pinamamahalaan
κατάφερε	pinamamahalaang
προβλήματα	problema
έχοντας	pagkakaroon
δύναμη	lakas
δύναμη	tibay
δύναμη	puwersa
δύναμη	power
δύναμη	kapangyarihan
επανάσταση	himagsikang
επανάσταση	rebolusyon
τύπος	pindutin
τύπος	formula
τύπος	type
τύπος	uri
εκατομμύρια	milyon
εκατομμύρια	milyon
εκατομμύρια	millions
τέσσερις	apat
πορεία	kurso
πορεία	course
μέση	gitnang
μέση	gitna
μέση	karaniwan
μέση	baywang
πρόβλημα	problema
πρόβλημα	trouble
πρόβλημα	suliranin
πρόβλημα	problema
άνω	itaas
άνω	upper
νερό	tubig
τοπική	lokal
περιφέρεια	rehiyon
περιφέρεια	distrito
παρουσία	presensya
παρουσία	iral
παρουσία	presence
παρουσία	presensiya
μητέρα	nanay
μητέρα	ina
έξι	anim
δομή	istraktura
παρίσι	paris
παρίσι	parokya
έγραψε	sinulat
έγραψε	wrote
έγραψε	nagsulat
κατασκευή	paggawa
κατασκευή	konstruksiyon
κατασκευή	construction
κατασκευή	konstruksyon
περιέχει	naglalaman
περιπτώσεις	kaso
ημέρες	araw
μαρία	maria
μερικές	ilang
μερικές	ilan
τιμή	presyo
τιμή	halaga
διαδικασία	maproseso
διαδικασία	prosesong
διαδικασία	proseso
διαδικασία	proceedings
διαδικασία	pamamaraan
κοινό	audience
κοινό	tagapanood
κοινό	madla
κοινό	makakakita
διαγραφή	burahin
διαγραφή	pagtanggal
διαγραφή	pagtatanggal
διαγραφή	tanggalin
διαγραφή	burahin
διαγραφή	delete
απογραφή	census
απογραφή	imbentaryo
απογραφή	inventory
συλλογή	koleksiyon
συλλογή	koleksyon
τρίτη	tuesday
τρίτη	martes
τρίτη	ikatlong
τρίτη	pangatlo
παρακάτω	ibaba
ναός	templo
βοήθεια	tulong
βοήθεια	tulong
βοήθεια	tulungan
απόσταση	layo
απόσταση	distansya
απόσταση	distansiya
απόσταση	saklaw
απόσταση	hanay
νέων	kabataan
αμέσως	kaagad
αμέσως	agad
αναφορά	iulat
αναφορά	ulat
αναφορά	sanggunian
αναφορά	reperensiya
ποδοσφαιριστής	putbolista
δράση	aksiyon
δράση	pagkilos
δράση	aksyon
λιγκ	league
λιγκ	liga
απλά	lng
απλά	nalang
απλά	basta
γιώργος	george
γεγονότα	katotohanan
σύντομο	maiksi
σύντομο	maikli
σύντομο	short
σύντομο	pandak
σύντομο	maikling
σύντομο	maikli
σύντομο	maikling
κράτος	state
κράτος	estado
κωνσταντίνος	constantine
κωνσταντίνος	constantino
στρατό	hukbo
στρατό	army
αγία	santo
αγία	santa
αποτελέσματα	resulta
ιστορικό	background
ιστορικό	kasaysayan
ιστορικό	history
σπίτι	tahanan
σπίτι	bahay
σπίτι	makauwi
σπίτι	bahay
τζον	juan
τζον	john
τζον	jon
αρκετές	ilang
τμήματα	segments
τμήματα	departamento
λειτουργία	tungkulin
λειτουργία	punsiyon
λειτουργία	mode
λειτουργία	operation
λειτουργία	operasyong
λειτουργία	operasyon
βιβλία	libro
βιβλία	aklat
πρωθυπουργός	premier
κείμενο	text
κείμενο	txt
κείμενο	teksto
γραμμή	linyang
γραμμή	linya
γραμμή	line
σχέδιο	project
σχέδιο	proyekto
σχέδιο	taumbayan
σχέδιο	draft
σχέδιο	disenyo
σχέδιο	plano
σχέδιο	plan
σχέδιο	magplano
βουλευτής	miyembro
γη	daigdig
γη	lupa
γη	lupain
γη	lupa
εμφανίζεται	ipinapakita
εμφανίζεται	ipapakita
ξανά	ulit
ξανά	again
ξανά	muli
ξανά	nanaman
αυτοί	sila
αυτοί	nila
χρήστης	gumagamit
χρήστης	user
θάλασσα	dagat
χρησιμοποιούνται	ginamit
χρησιμοποιούνται	nagamit
χρησιμοποιούνται	ginagamit
καλύτερη	better
πολιτείες	states
πολιτείες	estado
πολιτείες	unidos
χρήστη	gumagamit
χρήστη	user
πληθυσμού	populasyong
πληθυσμού	populasyon
εξουσία	awtoridad
εξουσία	otoridad
εξουσία	authority
εξουσία	kapangyarihan
εξουσία	power
εξουσία	kapangyarihan
καλοκαίρι	summer
παράδοση	pagdadala
παράδοση	delivery
παράδοση	paghahatid
παράδοση	kaugalian
παράδοση	tradisyon
άνδρες	kalalakihan
δίνει	binibigyan
δίνει	nagbibigay
όσκαρ	oscars
όσκαρ	oscar
όσκαρ	oskar
ακριβώς	tiyak
ακριβώς	sakto
γυναίκα	babae
γυναίκα	babae
γυναίκα	female
γυναίκα	asawa
κλπ	atbp
κλπ	etc
περιοδικό	magazine
περιοδικό	magasin
κατάλογος	directory
κατάλογος	direktoryo
κατάλογος	listahang
κατάλογος	listahan
κεντρική	central
κεντρική	gitnang
ακολούθησε	subaybayan
ακολούθησε	sundan
ακολούθησε	sinusubaybayan
ακολούθησε	sumunod
ακολούθησε	sinundan
νησιά	kapuluang
χρώμα	kulay
χρώμα	kulay
διεθνής	internasyonal
διεθνής	international
διεθνής	internasyunal
διεθνής	pandaigdig
αμερική	amerika
αμερική	america
γυναίκες	kababaihan
μονή	monasteryo
μονή	kumbento
κύρια	pangunahing
κύρια	pangunahin
πρότυπα	template
πρότυπα	pamantayan
δημιουργήθηκε	ginawa
δημιουργήθηκε	nilikha
μικρά	liit
μικρά	maliit
σχέσεις	kaugnayan
σχέσεις	relasyon
σχέσεις	ugnayang
σχέσεις	ugnayan
σχέσεις	relasyon
εμφάνιση	magpakita
εμφάνιση	ipakita
εμφάνιση	pakita
εμφάνιση	show
εμφάνιση	ipakita
εμφάνιση	ipapakita
εμφάνιση	display
τέσσερα	apat
εγκυκλοπαίδεια	encyclopedia
αυτοκρατορία	imperyo
αυτοκρατορία	monggol
ώρες	oras
τίτλος	titulo
τίτλος	pamagat
τίτλος	title
συνθήκες	treaties
συνθήκες	kondisyon
συνθήκες	kundisyon
συνθήκες	pangyayari
μελέτη	aral
σχολείο	paaralan
υλικό	materyal
υλικό	materyales
κάστρο	mangarap
κάστρο	kastilyo
κάστρο	castro
βουλευτές	mps
δυτικά	west
δυτικά	kanluran
δυτικά	kanluranin
δυτικά	western
καλά	mabait
καλά	mabuti
ανατολικά	silangan
ανατολικά	east
ανατολικά	silangang
απέναντι	kabaliktaran
συνεργασία	pagtutulungan
συνεργασία	kooperasyon
επιτροπή	commission
επιτροπή	komisyon
επιτροπή	komite
επιτροπή	committee
άνθρωποι	tao
έφτασε	dumating
αρχηγός	chief
αρχηγός	hepe
αρχηγός	lider
σύνθεση	komposisyon
σύνθεση	sintesis
προσπάθεια	attempt
προσπάθεια	susubukan
προσπάθεια	pagtatangka
προσπάθεια	susubukang
προσπάθεια	effort
προσπάθεια	pagsisikap
τελευταίο	huling
τελευταίο	huli
τελευταίο	last
εξελέγη	inihalal
εξελέγη	hinalal
απόφαση	desisyon
αυτοκράτορα	emperador
αγορά	bilhin
αγορά	pagbili
αγορά	bumili
αγορά	marketplace
αγορά	merkado
αγορά	palengke
αγορά	pamilihan
αγορά	market
πρόταση	proposal
ταυτόχρονα	sabay
μέρες	araw
ανακαλύφθηκε	natuklasan
ποσοστό	porsiyento
ποσοστό	porsyento
ποσοστό	percentage
ποσοστό	rate
τελική	pinal
τελική	pangwakas
τελική	final
τελική	panghuling
καθηγητής	lektor
καθηγητής	professor
καθηγητής	propesor
καθηγητής	guro
καθηγητής	teacher
συμβούλιο	konseho
συμβούλιο	konsilyo
μέσο	pinapalo
μέσο	instrumento
μέσο	katamtaman
συνέχισε	magpatuloy
συνέχισε	ipagpatuloy
σταθμός	estasyon
σταθμός	station
σταθμός	istasyon
παράγεται	ginawa
παράγεται	nakabuo
παράγεται	nabuo
έρευνα	imbestigasyon
έρευνα	pagsisiyasat
έρευνα	survey
έρευνα	pananaliksik
έρευνα	pagsisiyasat
έρευνα	research
γέννησης	kapanganakan
δυτική	west
δυτική	kanluran
δυτική	kanluranin
δυτική	western
κωνσταντινούπολη	constantinople
κωνσταντινούπολη	istanbul
έννοια	meaning
έννοια	kahulugan
έννοια	konsepto
απο	mula
αλέξανδρος	alexandros
αλέξανδρος	alejandro
αλέξανδρος	alexander
δυνατότητα	posibilidad
θερμοκρασία	temperatura
σπουδές	araling
σπουδές	aral
γενική	pangkalahatan
γενική	heneral
γενική	pangkalahatang
γενική	general
οργάνωση	organisasyon
μερικά	ilang
μερικά	ilan
χρειάζεται	pangangailangan
όμιλος	grupo
όμιλος	pangkat
όμιλος	group
επιφάνεια	ibabaw
αγγλία	inglatera
αγγλία	england
μετάφραση	translation
μετάφραση	pagsalin
μετάφραση	pagsasalin
ρωσία	rusya
ρωσία	russia
ρώμη	rome
ρώμη	roma
κορυφή	tuktok
κορυφή	nangunguna
κορυφή	itaas
βιβλιοθήκη	aklatan
βιβλιοθήκη	library
σημαία	bandila
σημαία	watawat
δεδομένων	datos
δεδομένων	data
βρέθηκε	natagpuan
βρέθηκε	nahanap
βρέθηκε	nakita
βρέθηκε	nakahanap
ορίζεται	tinukoy
ενδιαφέρον	interesting
ενδιαφέρον	interesante
έξω	labas
έξω	lumabas
ισπανία	espanya
ισπανία	spain
ρωσίας	rusya
ρωσίας	russia
μιχαήλ	mikhail
μιχαήλ	michael
πέρασε	lumipas
πέρασε	pasado
διοίκηση	command
διοίκηση	utos
διοίκηση	management
διοίκηση	pamamahala
διοίκηση	tagapamahala
διοίκηση	pangangasiwa
διοίκηση	pangasiwaan
δεξιά	diba
δεξιά	kanang
καμία	wala
εφαρμογή	pagpapatupad
εφαρμογή	app
εφαρμογή	aplikasyon
σύζυγος	asawa
σύζυγος	asawa
σύζυγος	lakay
σύζυγος	asawa
βραβεία	parangal
βραβεία	awards
βραβεία	prizes
βραβεία	premyo
ημερομηνία	date
ημερομηνία	petsa
συμμετείχαν	lumahok
ανατολική	silangan
ανατολική	east
ανατολική	silangang
υπουργείο	ministry
μέρη	parts
μέρη	places
αγγλική	tagalog
αγγλική	ingles
λόγος	dahilan
λόγος	speech
λόγος	pananalita
λόγος	talumpati
λόγος	pagsasalita
παιχνίδι	game
παιχνίδι	laro
παιχνίδι	toy
παιχνίδι	laruan
παιχνίδι	dula
παιχνίδι	play
παιχνίδι	makipaglaro
παιχνίδι	maglaro
σχήμα	shape
σχήμα	hugis
σχήμα	pigura
σχήμα	personalidad
σχήμα	figure
δημοτικό	elementary
δημοτικό	elementarya
φεστιβάλ	festival
φεστιβάλ	festivals
επίσημα	formally
επίσημα	officially
επίσημα	opisyal
επιχείρηση	operation
επιχείρηση	operasyong
επιχείρηση	operasyon
επιχείρηση	enterprise
αποφάσισε	nagpasya
αποφάσισε	naisipang
αποφάσισε	nagdesisyon
αποφάσισε	napagdesisyunan
αποφάσισε	magdesisyon
