яно	jana
організована	organizată
організована	organizate
обкладинка	acoperi
обкладинка	acoperă
обкладинка	coperta
обкладинка	copertă
обкладинка	cover
обкладинка	acoperire
збирати	aduna
збирати	colectează
збирати	colecta
бурі	furtuni
бурі	furtunile
трасі	tracy
сірі	gray
сірі	gri
сірі	siri
різниці	diferența
різниці	diferență
різниці	diferenta
розпочати	start
розпочати	începe
розпочати	pornire
газетах	ziarele
газетах	ziare
страх	frica
страх	teama
страх	frică
страх	teamă
детектив	detective
детектив	detectiv
географічний	geografice
географічний	geografic
географічний	geografică
гине	moare
володарі	revendicare
володарі	revendică
вбили	ucis
вбили	ucisă
вбили	omorât
такао	takao
службовців	angajații
службовців	angajați
службовців	angajati
перерви	break
перерви	rupe
перерви	pauza
перерви	sparge
перерви	pauză
орла	eagle
орла	vultur
орла	vulturul
класична	clasică
класична	clasic
класична	clasica
класична	clasică
класична	clasic
класична	clasica
класична	classic
помирає	moare
гордон	gordon
кроки	pașii
кроки	trepte
кроки	pași
кроки	pasi
поради	sfaturi
поради	sfat
поради	sfatul
поради	sfaturi
арджеш	argeș
віддає	taker
живі	living
живі	trăind
лиман	liman
лиман	estuar
винищувач	blaster
винищувач	luptator
винищувач	luptătorul
винищувач	luptător
косово	kosovo
землеробства	agricultura
землеробства	agricultură
дуглас	douglass
дуглас	douglas
девіс	davis
девіс	davies
тертя	frecare
посуд	vesela
посуд	vase
накопичення	acumularea
накопичення	acumulare
папуа	papua
сірки	pucioasă
осінь	toamna
осінь	toamnă
осінь	cazi
осінь	toamna
осінь	cădea
юзеф	józef
рекомендується	recomandat
рекомендується	recomandate
рекомендується	recomandată
пфальц	palatinat
стандартний	standardul
стандартний	standard
душа	sufletul
душа	suflet
душа	soul
гризунів	rozătoare
прим	prim
паоло	paolo
савченко	savcenko
гвинтівки	pusca
гвинтівки	pușcă
закрито	închise
закрито	inchis
закрито	închisă
закрито	închis
алгоритми	algoritmi
кіпр	ciprul
кіпр	cipru
виклик	provocare
виклик	provocarea
виклик	sună
виклик	suna
виклик	apel
виклик	call
виклик	sfidare
виклик	sfidarea
виклик	defiance
пакистану	pakistan
пакистану	pakistanul
австралійський	australiană
австралійський	australian
австралійський	australieni
реформування	reformare
реформування	reformarea
вклад	contributie
вклад	contribuția
вклад	contribuție
покриттям	gropi
мозок	brain
мозок	creier
мозок	creierul
гніздо	slot
гніздо	cuib
гніздо	cuibul
безкоштовно	liberă
безкоштовно	liber
безкоштовно	liberi
безкоштовно	free
безкоштовно	gratuit
тепло	calde
тепло	cald
тепло	caldă
тепло	caldura
тепло	căldură
тепло	căldura
прояви	rasiste
прояви	rasistă
прояви	rasist
осло	oslo
принесли	adusă
принесли	adusa
принесли	adus
спини	sandy
ботанік	botanist
висотах	altitudini
ріст	creșterea
ріст	creşterea
ріст	crestere
ріст	creștere
дізнатися	invata
дізнатися	află
дізнатися	învață
передмісті	suburbii
передмісті	suburbiile
відійшли	falit
кристали	cristalele
кристали	cristale
мартіна	martina
інтерпретації	interpretări
комунікацій	comunicații
комунікацій	comunicări
мадонна	madonna
спільну	partajate
спільну	distribuit
спільну	distribuite
спільну	distribuită
небезпеку	pericole
небезпеку	pericolele
саксонія	saxonia
пожежа	focul
пожежа	incendiu
пожежа	foc
підвіска	suspendare
підвіска	suspendarea
підвіска	suspensie
підвіска	suspensia
дехто	unele
дехто	unii
сумніви	dubii
сумніви	îndoieli
сумніви	îndoielile
змушена	constrâns
всеволод	vsevolod
гребля	dam
гребля	baraj
гребля	barajul
чоловічі	bărbat
чоловічі	masculin
чоловічі	mascul
чоловічі	barbat
купив	cumparat
купив	cumpărată
купив	cumpărat
купив	cumpărate
політикою	politică
політикою	politica
бухарест	bucurești
бухарест	bucuresti
бухарест	bucureşti
вибрати	alegeti
вибрати	alege
вибрати	selectează
вибрати	alegeți
вибрати	selectare
унікальні	unicat
унікальні	unic
унікальні	unice
унікальні	unici
унікальні	unică
чиновників	oficiali
чиновників	funcționarii
чиновників	oficialii
чиновників	funcționari
оцінити	evaluează
оцінити	evaluează
оцінити	rată
оцінити	rata
небезпеки	pericolul
небезпеки	primejdie
небезпеки	pericol
архіви	arhive
архіви	arhiva
архіви	arhivele
архіви	arhivă
статевий	genital
статевий	genitală
статевий	genitale
статевий	sexuala
статевий	sexuale
статевий	sexuală
статевий	sexual
відійшов	departe
відійшов	recuperate
відійшов	recuperată
відійшов	recuperat
ісус	isus
ісус	iisus
теоретично	teoretic
вчителі	profesorilor
вчителі	profesorii
вчителі	profesori
заявила	declarată
заявила	declarate
заявила	declarat
однакові	identice
однакові	identic
однакові	identică
однакові	același
секс	sexul
секс	sex
чутки	zvonurile
чутки	zvonuri
чутки	zvonuri
чутки	zvonul
чутки	zvon
визнала	recunoscut
несуть	cărat
крістофер	cristofor
крістофер	christopher
методика	tehnică
методика	tehnica
пейзаж	peisaj
пейзаж	peisajului
пейзаж	peisajul
джаз	jazz
уельсу	wales
сантиметрів	centimetri
едді	eddie
едді	eddy
бомби	bombe
бомби	bombele
закладено	prevede
закладено	furnizează
віки	vârstele
німеччину	germania
фасаді	controversate
фасаді	controversat
фасаді	controversată
менеджмент	gestionare
менеджмент	conducerea
менеджмент	managementul
менеджмент	gestionarea
менеджмент	management
говард	howard
течія	curentul
течія	curent
течія	actual
течія	curentului
течія	actuală
робітники	lucrători
робітники	muncitori
робітники	muncitorii
робітники	lucrătorii
робітники	lucrătorilor
розмови	conversații
розмови	conversatie
розмови	conversație
біженців	refugiat
біженців	refugiati
біженців	refugiați
корона	coroana
корона	coroană
корона	crown
сантьяго	santiago
змій	serpi
комуністична	comunist
комуністична	comunistă
комуністична	comuniste
тропічні	tropical
тропічні	tropicală
тропічні	tropicale
етимологія	etimologie
преса	presă
преса	press
преса	apasa
преса	apăsați
преса	apasă
ціль	obiectiv
ціль	obiectivul
ціль	tinta
ціль	țintă
добровільно	deliberat
добровільно	voluntariat
добровільно	voluntare
добровільно	voluntară
добровільно	voluntar
підтримується	susţinut
підтримується	sprijinit
підтримується	susținut
пізно	tarziu
пізно	întârziat
пізно	târziu
вдвічі	dublat
переселенців	strămutate
переселенців	deplasată
блакитний	albastră
блакитний	albastru
блакитний	cyan
тель	tel
коди	coduri
коди	codurile
пенсії	pensionare
пенсії	pensionarea
пенсії	pensiile
пенсії	pensii
пенсії	pensiuni
бойове	combat
гурток	cercul
гурток	circle
гурток	cerc
моменти	momentele
моменти	clipe
моменти	momente
вилча	vâlcea
затемнення	eclipsa
затемнення	eclipsă
лавки	banci
лавки	bănci
наближення	aproximare
наближення	iminentă
трудова	muncitoresc
тріо	trio
гагаріна	gagarin
читача	urmăritor
читача	adept
читача	urmăritori
трави	iarbă
трави	iarba
діагностики	diagnosticare
діагностики	diagnostice
еволюція	evolutia
еволюція	evoluție
еволюція	evoluția
еволюція	evoluţia
інтелектуальної	intelectuale
інтелектуальної	intelectuali
інтелектуальної	intelectual
інтелектуальної	intelectuală
груповий	grupa
груповий	grup
груповий	grupul
груповий	grupă
церковної	ecleziastice
викладає	predă
викладає	preda
амстердам	amsterdam
перебіг	influența
перебіг	influență
перебіг	influenta
жуків	gândaci
жуків	insecte
жуків	bugs
рів	reeve
клієнт	clientul
клієнт	client
клієнт	clientul
клієнт	client
сервіс	serviciu
сервіс	serviciul
сервіс	service
сервіс	servicii
придбати	cumpărare
придбати	achiziție
придбати	cumpără
придбати	cumpara
придбати	cumpăr
придбати	cumpăra
гвардійська	gărzi
гвардійська	paznici
мінську	minsk
тварина	animalul
тварина	animal
різдво	crăciunul
різдво	crăciun
різдво	craciun
різдво	craciunul
декоративні	ornamentale
молитви	rugăciuni
молитви	rugăciunile
проста	simplu
проста	simple
проста	simplă
собаки	caini
собаки	câinii
собаки	câini
фантастичний	fantastică
фантастичний	fantastic
виробника	vânzător
студію	studio
студію	studioul
царі	magi
реставрація	restaurare
реставрація	restaurarea
проникнення	pătrundere
проникнення	penetrare
проникнення	infiltrare
презентація	prezentare
презентація	prezentarea
французів	cajun
диких	wild
диких	salbatic
диких	sălbatică
диких	sălbatic
диких	sălbatice
маркса	marx
отриманий	primit
отриманий	primite
отриманий	primită
ново	novo
бад	bud
чоловічого	masculin
феодосія	feodosia
перевірка	verific
перевірка	verificarea
перевірка	verificarea
перевірка	verificare
перевірка	test
перевірка	testul
перевірка	încercarea
перевірка	încercare
перевірка	testare
перевірка	validarea
перевірка	validare
заяви	declaratii
заяви	declarații
заяви	declaratiile
схем	scheme
приватної	voită
сидіння	scaune
сидіння	locuri
гості	oaspeti
гості	musafiri
представив	introdusă
представив	introduse
представив	introdus
розбіжності	dif
розбіжності	dezacorduri
турецька	turcesc
турецька	turc
турецька	turci
турецька	turcă
міфів	mituri
міфів	miturile
барон	baron
операціях	manevre
відправляється	plecarea
бруно	bruno
визнає	admite
визнає	recunoaște
північне	northern
північне	nordul
напруга	tensiuni
напруга	tensiune
напруга	tensiunea
залишитися	rămâi
залишитися	stai
міссурі	missouri
піраміди	piramide
піраміди	piramidele
додавати	adăugare
додавати	adaugă
додавати	add
додавати	adauga
вектор	vectorul
вектор	vector
братство	fraternitate
братство	fraternitate
ланцюг	lant
ланцюг	lanț
ланцюг	lanțul
довів	dovedit
паспорт	pașaport
позитивно	pozitiv
позитивно	pozitivă
позитивно	pozitive
підродина	subfamilia
внутрішнє	internă
внутрішнє	intern
внутрішнє	interne
внутрішнє	interior
внутрішнє	interioară
кафедральний	skara
практична	practice
практична	practică
практична	practic
кетрін	kathryn
кетрін	katharine
кетрін	katherine
панель	panou
панель	panoul
вихідні	weekenduri
вихідні	weekendul
вихідні	weekend
массачусетс	massachusetts
зсу	zsu
лавка	bancă
стрічці	feed
стрічці	furaje
стрічці	hrăni
стрічці	flux
настає	pauze
настає	pauzele
покинули	smuls
оцінкою	rating
оцінкою	evaluare
зазначає	enumerat
зазначає	listat
зазначає	enumerate
зазначає	listate
венесуели	venezuela
шанс	sansa
шанс	șanse
шанс	sanse
шанс	șansă
арнольд	arnold
підпілля	underground
підпілля	subteran
виправлення	corecții
виправлення	corectarea
виправлення	corectez
гар	gard
гаїті	haiti
заборона	interzis
заборона	interzisă
заборона	interzise
заборона	interdicția
заборона	interzicerea
заборона	interdicție
пакистан	pakistan
пакистан	pakistanul
легіон	legiune
легіон	legiunea
полотна	pânză
полотна	panza
позначають	indicați
позначають	indică
позначають	semnificând
механік	mecanic
хронологія	cronologie
хронологія	cronologia
вступили	dubios
галицька	galiciană
вебер	weber
ніде	nicaieri
ніде	nicăieri
ніде	niciunde
стилів	styles
стилів	stiluri
стилів	stilurile
консультант	consultant
консультант	consultantul
консультант	consultarea
консультант	consultanta
жер	gers
багатих	mansions
здатністю	brittle
фінанси	financiară
фінанси	financiar
фінанси	financial
фінанси	financiara
фінанси	financiare
фінанси	finante
фінанси	finanțare
фінанси	finanțe
фінанси	finanţe
фінанси	finanţe
сталь	steel
сталь	otel
сталь	oțel
шахи	sah
шахи	șah
шахи	şah
темні	dark
темні	întuneric
темні	intuneric
темні	întunecat
інженери	tehnicienii
інженери	tehnicieni
інженери	ingineri
інженери	inginerii
вюртемберг	württemberg
вивести	ieșire
вивести	iesire
стандартна	standardul
стандартна	standard
ізраїлі	israel
ізраїлі	israelului
ізраїлі	israelul
куба	cuba
соціологія	sociologie
ясси	iași
флоренція	florenţa
флоренція	florența
флоренція	florence
флоренція	florenta
шкіра	piele
шкіра	piele
шкіра	pielea
життєпис	cronologie
життєпис	cronologia
записано	scrisa
записано	scris
записано	scrise
записано	scrisă
записано	înregistrate
записано	înregistrată
записано	înregistrat
записано	inregistrat
визначений	definite
визначений	definită
визначений	definit
поклоніння	cult
поклоніння	venera
комети	comete
щоденник	journal
щоденник	jurnalul
щоденник	jurnal
щоденник	jurnalul
щоденник	jurnal
документальні	documentare
делі	delhi
сочі	soci
джорджія	giorgia
римляни	romani
промислова	industriala
промислова	industrială
промислова	industrial
промислова	industriale
вимогою	cerința
вимогою	cerință
схожість	asemănare
сейм	sejm
міллер	miller
спільна	comune
спільна	joint
бідності	sărăcie
бідності	saracie
бідності	sărăciei
бідності	sărăcia
центрами	centre
правова	juridice
правова	legale
правова	juridic
правова	legală
правова	legal
феномен	fenomenul
феномен	fenomen
турецький	otomană
турецький	otoman
турецький	turcesc
турецький	turc
турецький	turci
турецький	turcă
союзники	aliații
союзники	aliați
союзники	aliati
моріс	maurice
сіра	grey
сіра	gri
симптоми	simptomele
симптоми	simptome
індіанці	indieni
індіанці	indienii
необхідне	obligatoriu
необхідне	necesare
необхідне	necesară
необхідне	necesar
галактик	galaxiile
галактик	galaxii
власна	self
любителів	aprecierea
любителів	apreciere
вінніпег	winnipeg
попов	popov
вікон	windows
вікон	ferestre
вікон	geamuri
вікон	ferestrele
хребетних	zoologie
старша	elder
стани	statele
стани	state
стани	stări
казав	spuse
казав	said
казав	spus
казав	spus
казав	spusă
штурм	sturm
фестивалів	festivaluri
замінили	înlocuit
замінили	înlocuită
замінили	înlocuite
роберто	roberto
шари	straturi
кадри	rame
кадри	cadre
цех	guild
максимальний	maximă
максимальний	maxima
максимальний	maxim
максимальний	maximum
нижніх	subiacente
площ	retail
нахил	înclină
нахил	înclina
нахил	înclinare
трупи	cadavre
легкі	ușor
легкі	usor
діалект	dialectul
діалект	dialect
афганістан	afganistan
афганістан	afghanistan
афганістан	afganistanul
хіп	hip
хіп	sold
хіп	soldul
блог	blog
блог	blogul
термінології	terminologia
термінології	terminologie
проголосували	votat
проголосували	votată
роджер	roger
інструкції	tutoriale
інструкції	instrucțiunile
інструкції	instrucțiuni
інструкції	instructiuni
атлетика	atletism
фантастика	fantastică
фантастика	fantastic
фантастика	fictiv
фантастика	fictiune
сорти	varietate
сорти	soi
сорти	varietatea
зникла	plecat
виконавці	resursele
виконавці	resurse
виконавці	artisti
виконавці	artiști
бульвар	boulevard
бульвар	bulevardul
бульвар	bulevard
євангеліє	evanghelia
борець	luptătorul
борець	luptător
самиць	femele
самиць	femelele
величин	cantitățile
величин	cantități
профспілок	sindicatelor
профспілок	uniuni
профспілок	sindicatele
профспілок	sindicate
польську	poloneze
польську	poloneză
польську	polonez
спадкоємець	moștenitor
спадкоємець	mostenitor
негативні	negativă
негативні	negative
негативні	negativ
сіро	ciro
луцій	lucius
загроза	amenințare
загроза	amenintare
духовна	liturgice
духовна	teologice
перегони	rasa
перегони	cursa
перегони	rasă
перегони	race
перегони	cursă
перегони	curse
глосарій	glosar
молодим	tânără
молодим	tânăr
молодим	tinere
молодим	young
молодим	tineri
регулярні	periodic
регулярні	periodice
ходи	mutări
ходи	mișcări
ходи	miscari
монету	monede
монету	moneda
монету	monedă
кімната	cameră
кімната	camera
альянс	alianta
альянс	alianță
альянс	alianța
корпорація	corporation
штук	blocat
мок	mok
кінь	calul
кінь	horse
кінь	cal
сенат	senatul
сенат	senat
сенат	senatului
батьківщина	patria
батьківщина	patriei
батьківщина	homeland
батьківщина	patrie
батьківщина	patria
батьківщина	patrie
коробка	căsuța
коробка	cutie
коробка	cutia
твердість	duritate
ланка	lanka
запалення	inflamarea
гази	gazele
гази	gaze
гази	gaza
оцінювання	marcând
оцінювання	evaluarea
оцінювання	evaluare
важливість	importanța
важливість	importanta
важливість	importanță
важливість	gravitate
важливість	severitatea
важливість	severitate
важливість	urgenta
важливість	urgență
виживання	supraviețuire
виживання	supravietuire
дизель	motorină
дизель	motorina
дизель	diesel
недоліків	defecte
написала	scria
багатство	averi
багатство	averea
багатство	avere
багатство	bunăstare
винограду	struguri
винограду	strugure
винограду	struguri
винограду	strugurii
судану	sudan
судану	sudanului
судану	sudanul
загреб	zagreb
остап	ostap
сидить	stând
сидить	ședința
персонал	personal
персонал	personalul
персонал	staff
обмежені	limited
обмежені	limitate
обмежені	limitat
обмежені	limitată
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	mohammed
мухаммед	muhammed
вищому	premier
вищому	premierul
обрані	recomandate
обрані	selectate
обрані	selectată
обрані	selectat
нафта	petrol
нафта	ulei
нафта	petrolul
нафта	petrol
сигнали	semnale
сигнали	semnalele
розділити	furcă
розділити	împărțit
розділити	divizat
розділити	split
розділити	împarte
сибір	siberia
міркувань	raționament
міссісіпі	mississippi
конрад	konrad
конрад	conrad
безумовно	categoric
род	tija
род	rod
род	dic
арсенал	arsenalul
арсенал	arsenal
абсолютна	absolută
маргарет	margaret
маргарет	margareta
сицилії	sicilia
технічно	tehnic
попередня	anterior
попередня	precedentă
попередня	anterioare
попередня	precedent
адм	adm
мазепа	mazeppa
мазепа	mazepa
спереду	front
спереду	față
провулки	alei
створюючи	asigurând
кандидатуру	candidatura
інженерних	inginerie
інженерних	ingineria
крус	cruz
крус	kroes
знаючи	știind
знаючи	stiind
поховали	îngropa
поховали	îngroapă
суцвіття	inflorescență
проведених	cârma
проведених	helm
підряд	consecutive
підряд	consecutiv
пілотів	piloti
ратуша	hall
міра	myra
міра	mira
міра	măsura
міра	măsură
міра	măsoară
міра	masura
військах	forţele
військах	forțe
військах	forțele
спокою	serenity
виробляють	produc
виробляють	produce
мережах	rețele
мережах	retele
впевнений	sigur
математичні	matematică
математичні	matematic
математичні	mate
математичні	matematică
математичні	matematica
луїза	luiza
луїза	louisa
луїза	luisa
луїза	louise
залишатися	rămâi
залишатися	stai
броні	armură
броні	armura
броні	armuri
запитів	cereri
запитів	solicitări
запитів	cererile
зник	plecat
зник	dispărut
механічний	mecanice
механічний	mecanic
механічний	mecanică
кераміка	ceramica
кераміка	ceramică
кераміка	ware
кераміка	ceramice
кераміка	ceramica
кераміка	ceramică
кераміка	ceramica
кераміка	ceramică
астрономи	astronomii
дербі	darby
дербі	derby
прапором	drapel
прапором	drapelul
прапором	steagul
прапором	pavilion
прапором	steag
зерно	cereale
зерно	grâne
студій	studii
студій	studiile
ставка	rată
ставка	rata
всюди	oriunde
всюди	pretutindeni
підтримання	menține
підтримання	mentine
гідності	demnitate
гідності	demnitatea
відповідну	adecvată
відповідну	corespunzătoare
відповідну	corespunzător
відповідну	adecvat
реалізацію	implementarea
реалізацію	implementare
проза	proza
вираження	exprimarea
виграли	won
виграли	câștigat
путівник	ghid
путівник	ghidul
матриця	matrice
матриця	matrix
матриця	matricea
філолог	lingvist
розчин	mortar
розчин	mortiere
розчин	soluție
розчин	solutie
розчин	soluția
баланс	echilibru
баланс	balanta
баланс	balans
баланс	sold
баланс	soldul
тунель	tunelul
тунель	tunel
верес	veres
визначена	definite
визначена	definită
визначена	definit
визначена	identificate
визначена	identificat
визначена	identificată
розгортання	retrage
розгортання	expansiune
розгортання	extinderea
розгортання	expansiunea
розгортання	extindere
випускник	absolvent
доходи	mărfuri
мат	colega
мат	mate
мат	checkmate
потоцький	potocki
ветеран	veteran
вірогідно	presupus
герберт	herbert
похідні	derivate
похідні	derivați
змусили	fortat
змусили	forțat
змусили	forțată
вирощують	creste
вирощують	crească
вирощують	crește
вирощують	cresc
вирощують	creşte
художниця	artistă
художниця	artista
художниця	artistul
художниця	artist
корінь	radacina
корінь	root
корінь	rădăcina
корінь	rădăcină
алкоголю	lichior
алкоголю	bauturi
алкоголю	băuturi
алкоголю	alcool
алкоголю	alcoolul
медічі	medici
відзначення	kos
звільнили	concediată
звільнили	concediat
звільнили	externat
звільнили	evacuate
договори	tratate
договори	tratatele
бурятія	buriatia
занепад	ruină
занепад	ruina
занепад	doom
занепад	osândă
арабська	araba
арабська	arabă
процесора	gpu
процесора	procesor
процесора	cpu
симона	simone
мартин	marcin
мартин	pescăruş
мартин	gull
метали	metale
метали	metalul
метали	metalic
метали	metal
метали	metale
метали	metalele
дені	dani
модулі	modulele
модулі	module
дозволити	activează
дозволити	permite
дозволити	permit
їхньому	lor
пшениці	grâu
пшениці	grau
фірм	firme
фірм	firmele
незалежний	independent
незалежний	independenta
незалежний	independente
незалежний	independentă
величезна	imensă
величезна	imens
штучний	artificiale
штучний	artificială
штучний	artificiala
штучний	artificial
двадцяти	douăzeci
двадцяти	twenty
двадцяти	douazeci
чернівців	cernăuți
подією	eveniment
подією	evenimentul
рука	braț
рука	brațul
рука	arm
рука	brat
рука	mînă
рука	mana
рука	mână
рука	mâna
стиснення	compresie
реальність	realitate
реальність	realitatea
тридцять	treizeci
тридцять	thirty
подію	eveniment
подію	evenimentul
покриті	sărăcit
неправильно	gresit
неправильно	greșit
аналогічний	analog
диски	discuri
диски	discuri
улюблений	preferat
улюблений	favorit
улюблений	preferat
улюблений	favorita
улюблений	favorite
улюблений	favorit
улюблений	preferata
улюблений	preferate
іспанською	spaniola
іспанською	spanioli
іспанською	spaniolă
іспанською	spaniol
доведено	dovedit
доведено	dovedite
доведено	dovedită
доведено	demonstrate
доведено	dovedit
доведено	demonstrat
ззаду	înapoi
ззаду	inapoi
ззаду	back
ззаду	spate
жанрів	genuri
суперників	rivalii
суперників	rivali
суперників	rivale
суперників	adversari
суперників	adversarii
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yankee
статистичні	statistice
статистичні	statistică
статистичні	statistic
цвітіння	blossom
фан	ventilator
фан	fana
фан	fană
фан	fan
фан	fang
трикутник	triunghi
трикутник	triunghiul
муреш	mureș
клермон	clermont
крива	curba
крива	curbă
радника	consilier
кіпру	ciprul
кіпру	cipru
самець	bărbat
самець	masculin
самець	mascul
самець	barbat
заново	reconstrui
заново	reconstruiesc
кримська	crimeea
емілія	emilia
емілія	aemilia
емілія	amelia
голокосту	holocaustului
голокосту	holocaust
земельні	zeelandă
різновидів	aromele
різновидів	arome
гессен	hessa
гессен	hesse
віл	wil
віл	hiv
леопольд	leopold
актуальні	vogă
тяжіння	gravitate
тяжіння	gravitatea
індонезія	indonezia
прованс	provence
вимова	pronunție
наступником	succesorul
наступником	succesor
серійний	serial
францію	franţa
францію	franța
францію	franta
францію	france
автономний	autonomă
автономний	autonome
автономний	autonom
автономний	deconectat
автономний	offline
алтай	altai
включати	include
включати	includ
арагон	aragon
тонкі	subtire
тонкі	subțire
митці	artisti
митці	artiști
сант	sant
підлітків	teen
підлітків	adolescent
закриті	închise
закриті	inchis
закриті	închisă
закриті	închis
мідь	cupru
ростислав	rostislav
воїн	războinic
воїн	warrior
воїн	razboinic
воїн	războinicul
уельс	wales
духовні	spirituală
духовні	spiritual
духовні	spirituale
духовні	spirituala
розробник	dezvoltator
янг	tânără
янг	tânăr
янг	tinere
янг	young
янг	tineri
вісь	axă
вісь	axa
єврейська	evreică
єврейська	evreu
єврейська	evreiesc
єврейська	ebraică
колон	colón
колон	colonul
колон	colon
податок	impozite
податок	taxa
податок	tax
податок	taxă
податок	impozit
прокурора	avocat
прокурора	procuror
прокурора	procurorul
рядка	linia
рядка	line
рядка	linie
гранд	grandes
гранд	grande
гранд	grand
сталін	stalin
дует	duet
секція	sectiune
секція	secţiunea
секція	secțiune
секція	secţiune
секція	secțiunea
латинська	latine
латинська	latin
латинська	latina
латинська	latină
шахтар	șahtior
шахтар	miner
адаптації	adaptarea
адаптації	adaptare
позначені	etichetate
позначені	etichetat
позначені	etichetată
колеги	colegi
колеги	colegii
колеги	coleg
підтримати	suport
підтримати	sprijin
підтримати	sprijinul
дослівно	verbatim
дзеркала	oglinzile
дзеркала	oglinzi
штучні	artificiale
штучні	artificială
штучні	artificiala
штучні	artificial
публікація	poveste
публікація	story
публікація	povestea
публікація	publicare
публікація	publicarea
публікація	postarea
публікація	publicare
публікація	publicarea
едмонтон	edmonton
здійснюються	operate
здійснюються	operat
здійснюються	operată
башкири	bașchiri
адріан	adriaen
адріан	hadrian
адріан	adrian
якесь	unele
якесь	unii
італію	italia
кора	crusta
кора	crustă
кора	kora
кора	cora
спалили	arse
спалили	ars
спалили	arsă
звіти	rapoarte
звіти	rapoartele
спеціалізовані	specializat
спеціалізовані	specializate
спеціалізовані	specializată
правосуддя	dreptate
правосуддя	dreptatea
правосуддя	justiţie
правосуддя	justiție
сміття	gunoi
сміття	gunoaie
сміття	gunoiul
пор	portul
пор	port
природним	natural
колесо	roată
колесо	roata
юлій	julius
юлій	iulius
враховувати	considerare
бразильський	amazonian
череп	craniu
череп	skull
череп	craniul
захоплені	capturat
захоплені	capturată
захоплені	capturate
вгорі	top
вгорі	topul
коричневі	căprui
коричневі	brown
коричневі	maro
колона	coloană
колона	coloana
колона	colonna
рідкісний	rari
рідкісний	rar
рідкісний	rară
рідкісний	rare
рідкісний	rara
андріївна	dmitrieva
купол	cupola
купол	domul
купол	dom
передбачав	prezis
почути	auzi
лео	leo
жорстоко	crude
жорстоко	crud
жорстоко	crudă
валя	valea
мандрівник	călător
мандрівник	călător
мандрівник	hoinar
барі	bari
багатства	averi
багатства	averea
багатства	avere
багатства	bunăstare
худ	glugă
худ	gluga
худ	capota
худ	hood
тренування	antrenamente
