ரொனால்டோ	ronaldo
வாடிக்கையாளரின்	kliyente
வாடிக்கையாளரின்	client
பட்டினி	istarbasyon
பழமொழிகள்	kawikaan
திறக்கும்	pagbubukas
திறக்கும்	binubuksan
திறக்கும்	opening
ராபர்ட்ஸ்	roberts
கிரி	kiri
அசிட்டேட்டு	acetate
மருமகன்	pamangkin
கிரகங்கள்	planets
காவி	saffron
தோழன்	mate
நாட்டியம்	sayaw
நிறைவுற்ற	lunod
கடனை	utang
சாஹிப்	sahib
உபரி	kalabisan
குட்டிகள்	puppy
ஓவியத்தை	painting
ஓவியத்தை	pinta
மணமகள்	bride
நிரூபிக்க	patunayan
ஜூலி	juli
ஜூலி	julie
ஒலிகள்	tunog
ஒலிகள்	sounds
ஜோர்டான்	jordan
பிரபஞ்சம்	sansinukob
பிரபஞ்சம்	universe
பிரபஞ்சம்	galaxy
சிறுநீரகம்	bato
மறக்க	kalimutang
மறக்க	kalimutan
மறக்க	makakalimutan
பிளாங்க்	planck
நடித்தது	starring
சுயசரிதை	talambuhay
ரூபி	ruby
அத்தை	auntie
அத்தை	tita
அத்தை	tiyahin
அத்தை	tita
அத்தை	tiya
துரோகம்	betrayal
சீரோ	ciro
சரியா	diba
சரியா	kanang
பிட்டு	bit
பிட்டு	kinagat
கார்லோ	carlo
நடக்கின்றன	nangyayari
கருச்சிதைவு	nakunan
ஆரியர்	aryan
திரி	tri
டேம்	dame
படுக்கையில்	kama
விவசாயி	magsasaka
விவசாயி	farmer
வழங்குநர்	host
வழங்குநர்	tagapagkaloob
வழங்குநர்	provider
பதினொன்று	labing
வெளிநாட்டில்	abroad
திறமைகளை	talents
நிற்பது	standing
நிற்பது	nakatayo
இரகசியமாக	palihim
முன்னேற்றத்தை	progreso
முகமூடி	mask
முகமூடி	maskara
கோல்ட்மேன்	goldman
எலியட்	eliot
மொழிபெயர்க்கப்பட்டது	isinalin
பட்லர்	butler
காட்டப்பட்டது	itapon
காட்டப்பட்டது	ipinapakita
காட்டப்பட்டது	ipinakita
முபாரக்	mubarak
வயர்லெஸ்	wireless
குளூனி	clooney
பென்னி	penny
பென்னி	benny
லூக்	luke
லூக்	lucas
ஹன்னிபால்	hannibal
வில்லி	willy
பொய்யான	maling
பொய்யான	false
பொய்யான	peke
பொய்யான	fake
படத்தைப்	itrato
படத்தைப்	larawan
படத்தைப்	litrato
படத்தைப்	litratong
முற்றத்தில்	bakuran
தேவாலயங்கள்	simbahan
மல்யுத்தம்	wrestling
டோ	toe
பெட்ரோ	pedro
பிம்பம்	larawan
பிம்பம்	imahe
இறுக்கம்	compress
இழப்பீடு	compensation
இழப்பீடு	sweldo
கோலங்கள்	drawings
நீட்டிப்பு	pahabain
நீட்டிப்பு	extend
வினைச்சொல்	pandiwa
ஜாகுவார்	jaguar
கிராமத்திற்கு	nayon
பாணிகள்	styles
பாணிகள்	istilo
பாணிகள்	estilo
அல்ஜீரியா	algeria
குளிர்காலம்	taglamig
குளிர்காலம்	winter
குறிப்பான	tukoy
குறிப்பான	tiyak
குறிப்பான	partikular
காத்துக்	naghihintay
காத்துக்	waiting
செதுக்கப்பட்ட	kinatay
ஜெனிபர்	jennifer
பிரபா	prabha
மஹா	maha
டோம்	dome
ஆராய்ச்சியாளர்	researcher
நதியா	nadia
பத்திரிக்கையாளர்	mamamahayag
இர்வின்	irwin
இர்வின்	irvine
பங்குதாரர்கள்	parokyano
புரூக்	brooke
புரூக்	brook
உற்பத்தியாளர்	tagagawa
உற்பத்தியாளர்	gumagawa
புதன்கிழமை	miyerkules
கொரியன்	korean
கொரியன்	koreano
முன்னொட்டு	prefix
படக்	batak
விவகாரம்	scandal
விவகாரம்	iskandalo
விவகாரம்	isyu
விவகாரம்	issue
விவகாரம்	problema
முதலாளித்துவ	kapitalista
பாடு	sing
பாடு	kumanta
கொதிக்க	pigsa
சையத்	syed
பண்டார	pandora
தமன்	daman
சியாம்	siyam
பாகா	baja
கிடங்கு	warehouse
கிடங்கு	bodega
சோடா	soda
நாஷ்	nash
பயங்கரமான	nakakatakot
பயங்கரமான	terrible
பொறுத்தே	depends
பொறுத்தே	depende
சிறப்பானது	itinatampok
சிறப்பானது	itinampok
குங்குமப்பூ	saffron
வெனிலா	banilya
வெனிலா	vanilla
உரையாற்றினார்	hinarap
துறவறம்	santo
துறவறம்	santa
குடிக்கும்	inuman
குடிக்கும்	inom
பார்க்கப்பட்டது	seen
பார்க்கப்பட்டது	nakita
பார்க்கப்பட்டது	nanood
பார்க்கப்பட்டது	napanood
பார்க்கப்பட்டது	pinanood
பார்க்கப்பட்டது	tiningnan
மேனி	manny
கையாளுதல்	paghawak
கையாளுதல்	manipulasyon
கையாளுதல்	pagmamanipula
அடித்தள	saligan
அடித்தள	silong
அடித்தள	basement
கார்டர்	carter
ரைடர்ஸ்	riders
குடிமகன்	mamamayan
குடிமகன்	citizen
பேராசிரியர்கள்	professors
பால்டிக்	baltiko
ஏற்கப்பட்டது	tinanggap
நாடெங்கும்	nationwide
மொசாம்பிக்	mozambique
ஹரியானா	haryana
சுடும்	shooter
ஃபெராரி	ferrari
ஜாதி	kasta
நிறுத்தங்கள்	hihinto
நாகை	nagai
பர்	bur
பர்	bur
ஈரம்	basa
மிருகங்கள்	hayop
விதிவிலக்கு	eksepsiyon
பொறுமை	patience
பொறுமை	pasensya
பொறுமை	tiyaga
பொறுமை	pagtitiis
குறிப்பை	tala
குறிப்பை	tandaan
ஜார்ஜியா	georgia
சிறகுகள்	feathers
சிறகுகள்	wings
சிறகுகள்	pakpak
காகம்	uwak
ஜிகாத்	jihad
பையன்	boy
பையன்	guy
மெய்யான	orihinal
கோர்டன்	gordon
பெக்	beg
ஹாரிசன்	harrison
கீத்	keith
சுற்றுகள்	rounds
குரல்கள்	tinig
சிண்ட்ரெல்லா	cinderella
பானு	banu
மோ	moe
தீவுக்கூட்டம்	kapuluan
அலைந்து	wander
இஞ்சி	luya
காசநோய்	tuberculosis
கிட்ஸ்	kitts
பிரான்	braun
ஏபெல்	abel
பெல்ஜிய	belgian
பணியாளர்களின்	kawani
பணியாளர்களின்	staff
முந்திரி	kasoy
தோராயமான	rough
தோராயமான	magaspang
திறமைகள்	skills
திறமைகள்	talents
விஷம்	lason
அச்சே	aceh
பீங்கான்	porselana
கரோலின்	caroline
விஸ்கி	whisky
பேனா	pen
பேனா	panulat
திணிப்பு	tambakan
திணிப்பு	dump
ஸல்	sal
மாஸ்	mass
மாஸ்	misa
மாஸ்	masa
குத்து	punch
நட்டு	nut
ஊழி	epoch
சொகுசு	luho
சொகுசு	marangyang
சொகுசு	luxury
நம்பத்தகுந்த	faithfully
யே	yehey
சேகரிக்க	kolektahin
உகாண்டா	turkiya
உகாண்டா	uganda
கருக்கலைப்பு	pagpapalaglag
வெளியாகிறது	releasing
கர்ப்பப்பை	cervical
கரீம்	kareem
காத்மாண்டு	kathmandu
இரவுகள்	nights
செவ்வாய்க்கிழமை	tuesday
செவ்வாய்க்கிழமை	martes
புளி	sampalok
பரிசுத்த	banal
சியாங்	chiang
சியாங்	xiang
சியாங்	siang
அகலமான	wider
சர்வாதிகாரி	diktador
பீஸ்	beas
முகில்	ulap
கிராமங்களை	villages
கிராமங்களை	nayon
பூசி	maiinit
பூசி	mainit
கற்றை	strands
முடுக்கம்	akselerasyon
இருக்கும்போதே	habang
கடத்தப்பட்ட	inagaw
கடத்தப்பட்ட	kinidnap
இறுக்கமாக	masikip
இறுக்கமாக	mahigpit
இசைக்கு	tune
இத்தாலியன்	italian
இத்தாலியன்	italyano
ஒயிட்	maputi
ஒயிட்	puti
தொந்தரவு	panggugulo
தொந்தரவு	pananakot
தால்	dal
தால்	taal
சான்டா	santa
கேளுங்கள்	pakinggan
கேளுங்கள்	makinig
ஃபிராங்கண்ஸ்டைன்	frankenstein
கிடைமட்ட	pahigang
கிடைமட்ட	pahalang
கேன்ஸ்	cannes
கிளாஸ்கோ	glasgow
மட்டு	modular
ஹாலந்து	holland
வடிகால்	kanal
ஆக்ஸிஜன்	oxygen
செருகி	plugin
அடுப்பு	kalan
புல்வெளி	lawn
புல்வெளி	damuhan
பழைமை	antigo
அடிமைத்தனம்	slavery
குரோ	kuro
குரோ	cro
குரோ	gro
தொடர்புடையவை	kaugnayan
தொடர்புடையவை	kaugnay
லைலா	leila
ஷேக்ஸ்பியர்	shakespeare
மெர்ரில்	merrill
அன்ரன்	anton
ஜாஸ்	jazz
அன்பும்	nagmahal
அன்பும்	love
அன்பும்	nagmamahal
கலவைகள்	compounds
வைரல்	viral
சகாப்தம்	era
தானியம்	butil
தானியம்	cereal
மூ	moo
ரூஸ்வெல்ட்	roosevelt
டொபாகோ	tobago
ஆர்டர்	iniutos
ஆர்டர்	order
மதுவிலக்கு	pagbabawal
பயணிகளும்	travelers
கரங்கள்	kamay
கரங்கள்	hands
நிறைவடைந்தது	tapos
நெடுந்தீவு	delft
பலமாக	lumakas
சமர்	samar
தீர்மானிக்கிறது	tumutukoy
திருடன்	magnanakaw
கபில	mayang
ஜோவி	jovi
நாற்காலி	upuan
விற்பனையாளர்	nagbebenta
ஓநாய்	lobo
ஓநாய்	wolf
வர்ண	pigment
பாகு	baku
பீட	plateau
கிராமத்து	nayon
உத்திகளை	estratehiya
பத்தொன்பது	nineteen
பிரிமியர்	pangunahin
ஹாப்	sakay
தேவதைகள்	angels
தேவதைகள்	anghel
அஸ்ஸாம்	assam
லூனா	luna
முன்மொழியப்பட்ட	iminungkahing
ஆண்டனி	anthony
அருளும்	grace
அருளும்	biyaya
நறுமணம்	bango
சுயமாக	self
சுயமாக	sarili
தேனீக்கள்	bubuyog
தேனீக்கள்	bees
அறிக்கைகளை	pahayag
பெண்டிர்	ladies
நார்மாண்டி	normandia
ஃபேஸ்புக்	facebook
ஜோனாஸ்	jonas
ஜேக்கப்	jacob
நெற்றி	noo
உணர்தல்	katuparan
சந்தித்தனர்	matugunan
சந்தித்தனர்	kilalanin
சந்தித்தனர்	magkita
பூசாரி	pari
உதாரணமாகும்	sportsmanship
லாலா	lala
பிங்	bing
பிங்	ping
கபீர்	kabir
ஆணி	nail
ஆணி	kuko
டிஸ்கவரி	pagtuklas
டிஸ்கவரி	pagkatuklas
ஆத்தர்	arthur
சத்ய	satya
குறைத்தது	nabawasan
கலந்துகொண்டனர்	nagpunta
கலந்துகொண்டனர்	pumasok
கலந்துகொண்டனர்	pinapasukan
கலந்துகொண்டனர்	dumalo
மதீனா	medina
மோர்கன்	morgan
மன்மதன்	kupido
மன்மதன்	cupid
வீனஸ்	venus
பெய்லி	bailey
தொகுக்கப்பட்டது	naipon
மினாக்	minogue
லூர்து	lourdes
எஸ்தர்	ester
எஸ்தர்	esther
சுற்றிப்	paligid
சுழலி	turbina
புலிட்சர்	pulitzer
ஆய்வக	laboratory
ஆய்வக	laboratoryo
நெபுலா	nebula
கிரியை	gumagana
பாதிக்கப்பட்டவர்கள்	biktima
வெற்றிடம்	vacuum
துடுப்பு	fin
விரிவுரையாளர்	lektor
கலந்துகொண்ட	pumasok
கலந்துகொண்ட	pinapasukan
கலந்துகொண்ட	dumalo
வினாடி	pangalawa
பத்திரிகையாளர்கள்	mamamahayag
பத்திரிகையாளர்கள்	mamamahayag
டோன்	tone
டோன்	tono
பிக்காசோ	picasso
பீட்	pete
சமத்துவ	eritrean
தேடிய	naghanap
தேடிய	hinanap
அடைவு	directory
அடைவு	direktoryo
அடைவு	folder
பிடியில்	pagkakahawak
துளி	drop
கெல்லர்	keller
கணித்த	predicted
நாயக்கன்	nayaka
பரிந்துரையை	rekomendasyon
அகதி	refugee
ஆதாம்	adam
ஆதாம்	adan
அவென்யூ	avenue
அவென்யூ	abenida
மறுக்கப்பட்டது	tinanggihan
நலத்துறை	welfare
நலத்துறை	kagalingan
குத்தகை	lease
ரஸ்புடின்	rasputin
எகான்	akon
தியோடர்	theodore
ரிக்கோ	riko
ஹலோ	hello
ஹார்வர்டு	harvard
புத்தம்	tatak
கேட்டது	nakarinig
கேட்டது	narinig
பத்மா	padma
பொலிவு	buff
ஒட்டாவா	ottawa
தோற்றது	sawi
தோற்றது	nabigo
தோற்றது	palpak
மூலை	kanto
மூலை	sulok
இமாலய	himalayan
அஃப்லெக்	affleck
நொதித்தல்	pagbuburo
ஆஸ்கர்	oscar
டேவி	davey
ஜகார்த்தா	jakarta
மீறும்	lumalabag
மீறும்	nilalabag
கார்ட்	kariton
கார்ட்	cart
காக்ஸ்	cox
பாஷா	pasha
எக்செல்	excel
வினாக்கள்	katanungan
வினாக்கள்	tanong
இலினொய்	illinois
எத்தியோப்பியா	ethiopia
வாக்களிக்கும்	pagboto
வாக்களிக்கும்	voting
வாக்களிக்கும்	boboto
கண்ணுக்குத்	invisible
பெல்லா	bella
லாரா	laura
லாரா	lara
பிரான்சுவா	francois
பிரான்சுவா	françois
அற்புதம்	pambihira
அற்புதம்	galing
பெர்க்லி	berkeley
மொழிபெயர்க்க	translate
மொழிபெயர்க்க	isalin
மக்சேசே	magsaysay
அதிசயம்	himala
அதிசயம்	milagro
அதிசயம்	miracle
அதிசயம்	taka
அதிசயம்	nagtataka
அதிசயம்	wonder
மீனின்	milagro
எபிசோட்	episode
கியோட்டோ	kyoto
கச்சேரிகள்	konsiyerto
எடி	eddie
எடி	eddy
ஆப்கான்	afghan
அப்துல்லாஹ்	abdullah
புலாவ்	batam
அல்பேனியா	albanya
அல்பேனியா	albania
பிலாத்து	pilato
மறுவாழ்வு	rehab
மகிமை	glory
மகிமை	luwalhati
மகிமை	kaluwalhatian
பாத்	paliguan
பாத்	naliligo
போதகர்	mangangaral
கோபா	copa
நரகம்	impiyerno
நரகம்	hell
சிரிப்பு	pagtawa
சிரிப்பு	tawa
சிரிப்பு	cartoon
சிரிப்பு	tawa
சிரிப்பு	tumawa
டைட்டானிக்	titanic
யோ	yoo
கேஸ்	case
கேஸ்	kaso
கேஸ்	kasong
கேஸ்	gas
லெவி	levy
என்றென்றும்	forever
என்றென்றும்	magpakailanman
கேல்	gale
படுகை	basin
தீன்	deen
வாழைப்பழம்	saging
வாசுதேவ	vasudeva
பவுண்டுகள்	pounds
மாறு	switch
மாறு	lumipat
சேர்க்கவும்	magdagdag
சேர்க்கவும்	add
சேர்க்கவும்	idagdag
சேர்க்கவும்	magsama
சேர்க்கவும்	isama
வடம்	cable
சாரணர்	pakikipagsapalaran
சாரணர்	scout
கொழுப்புகள்	fats
வெள்ளப்பெருக்கு	baha
வெள்ளப்பெருக்கு	pagbaha
