majoritaire	majority
tombé	fallen
escadron	squadron
escadron	squad
immatriculation	registration
juridiction	jurisdiction
terminer	finish
terminer	finishing
claviers	keyboard
claviers	keyboards
conclut	concludes
engagés	hired
engagés	engaged
engagés	committed
mandats	mandates
sarthe	sarthe
istanbul	istanbul
témoignages	testimonials
témoignages	testimonies
proposée	proposed
laurence	laurence
élimination	elimination
élimination	disposal
consacrer	dedicate
consacrer	devote
łódź	łódź
aviron	rowing
aviron	rower
aviron	aviron
aviron	oar
sorties	exits
timbre	stamp
baptisé	baptised
baptisé	baptized
baptisé	christened
mons	mons
théorique	theoretical
sean	sean
dégâts	damage
dégâts	damages
arrondissements	districts
wolf	wolf
notable	notable
notable	noticeable
doublage	dubbing
secrète	secret
considérablement	considerably
considérablement	dramatically
louisiane	louisiana
professionnelles	professional
absolue	absolute
médiéval	medieval
spécialité	specialty
spécialité	speciality
intégrale	integral
prime	bonus
prime	prime
prime	premium
prime	bounty
occupent	occupy
sonore	sound
classées	classified
classées	ranked
oracle	oracle
age	age
melbourne	melbourne
polémique	controversial
polémique	controversy
sauvages	wild
sauvages	savages
vivants	living
vivants	alive
compréhension	comprehension
compréhension	understanding
tournées	tours
tournées	touring
three	three
bade	baden
bade	bade
catastrophe	disaster
catastrophe	catastrophe
démonstration	demo
démonstration	demonstration
réussite	success
citoyen	citizen
thriller	thriller
configuration	setup
configuration	configuration
configuration	settings
bleus	blue
bleus	bruises
bleus	blues
creuse	dig
creuse	creuse
creuse	hollow
greg	greg
nuits	nights
lincoln	lincoln
cavaliers	horsemen
cavaliers	riders
cavaliers	cavaliers
char	char
char	chariot
cardiaque	cardiac
volcan	volcano
kent	kent
parlant	talking
parlant	speaking
grille	grid
fernández	fernandez
fernández	fernández
marvel	marvel
voisines	neighbors
voisines	neighbours
remarques	notes
remarques	comments
remarques	remarks
tend	tends
spirou	spirou
sofia	sofia
quête	quest
hébreu	hebrew
inhumé	buried
pat	pat
variables	variable
variables	variables
vignoble	vineyard
vignoble	vineyards
vignoble	winery
roue	wheel
autorisé	authorised
autorisé	authorized
autorisé	allowed
cavalier	rider
cavalier	cavalier
sierra	sierra
retenu	retained
navigateur	navigator
navigateur	browser
albin	albin
organes	organs
organes	bodies
originaires	originating
sylvain	sylvain
compétence	jurisdiction
compétence	skill
compétence	competence
décerné	awarded
provinciale	provincial
provinciale	provinciale
éliminer	eliminate
usages	uses
fonctionnaires	officials
caractérise	characterizes
démocrates	democrats
démocrates	democrat
bords	edges
directrice	director
directrice	manager
espérance	espérance
espérance	hope
fragments	fragment
fragments	fragments
seattle	seattle
existant	existing
bond	bond
mulhouse	mulhouse
missiles	missiles
missiles	missile
ordonné	ordained
ordonné	ordered
certifié	certified
chercheur	researcher
prépare	prepares
prépare	prepare
innovation	innovation
combiné	combined
ref	ref
amy	amy
turner	turner
ardèche	ardèche
démissionne	resigns
alternatif	alternative
écrites	written
fortifications	fortifications
définitive	final
définitive	definitive
jaunes	yellow
burkina	burkina
évènement	event
yonne	yonne
sachant	knowing
chargés	loaded
chargés	laden
assisté	assisted
effectifs	staffing
devraient	should
répression	repression
répression	crackdown
blé	wheat
blé	blé
inaugurée	inaugurated
his	his
conrad	conrad
rousseau	rousseau
meyer	meyer
stable	steady
stable	stable
terrestres	terrestrial
correspondent	correspond
symphonique	symphony
symphonique	symphonic
ecclésiastique	cleric
ecclésiastique	ecclesiastical
fonctionnaire	official
catholicisme	catholicism
rayons	rays
silva	silva
linéaire	linear
commandé	commissioned
commandé	ordered
commandé	commanded
bretonne	brittany
bretonne	breton
brevet	patent
mémorial	memorial
engagée	hired
engagée	engaged
engagée	committed
propulsion	propulsion
mythe	myth
mythe	myths
faso	faso
manger	eating
manger	eat
bouches	bouches
bouches	mouths
mohammed	mohammed
prochaine	next
léonard	léonard
léonard	leonardo
léonard	leonard
degrés	degrees
flammarion	flammarion
extérieure	outdoor
extérieure	external
extérieure	exterior
philosophique	philosophical
philosophique	philosophy
styles	styles
europa	europa
doubs	doubs
nazis	nazi
nazis	nazis
guyane	guiana
guyane	guyana
rappeler	recall
esprits	spirits
esprits	minds
talk	talk
elisabeth	elisabeth
aude	aude
alexandra	alexandra
caméra	camera
assiste	assists
assiste	attends
andreas	andreas
régulier	regular
contiennent	contain
mix	mix
grandeur	magnitude
grandeur	greatness
grandeur	grandeur
sound	sound
immigration	immigration
werner	werner
airlines	airlines
pollution	pollution
garcia	garcia
fayard	fayard
marocain	moroccan
accessibles	accessible
attribuée	attributed
réunis	reunited
hôte	host
revers	lapel
revers	setback
revers	backhand
sergio	sergio
calme	calm
calme	quiet
organe	body
organe	organ
signification	meaning
signification	significance
todd	todd
duel	duel
panama	panama
poétique	poetic
enregistrements	records
enregistrements	recordings
enregistrements	registrations
épaisseur	thickness
hunter	hunter
heureux	happy
alaska	alaska
entreprend	undertakes
perdues	lost
bébé	baby
bébé	babe
entré	entered
moments	moments
illustrateur	illustrator
dépendant	dependent
dépendant	dependant
perse	persian
perse	persia
perse	perse
diesel	diesel
indiquant	indicating
phoenix	phoenix
valley	valley
lópez	lópez
lópez	lopez
erik	erik
comprennent	include
délai	delay
délai	deadline
magic	magic
solidarité	solidarity
peugeot	peugeot
piémont	piedmont
successifs	successive
détient	holds
chapeau	hats
chapeau	hat
chapeau	chapeau
vraisemblablement	presumably
vénus	venus
régiments	regiments
comptant	cash
ted	ted
uniforme	uniforms
uniforme	uniform
serment	oath
libéraux	liberals
libéraux	liberal
éliminé	eliminated
disciplines	disciplines
portugaise	portuguese
edition	edition
supérieurs	superior
supérieurs	superiors
scandale	scandal
débarquement	landing
festivals	festivals
jésuites	jesuits
jésuites	jesuit
wta	wta
échoue	fails
isle	isle
sebastian	sebastian
ducs	dukes
ducs	ducs
alphabétique	alphabetical
juliette	juliette
juliette	juliet
attribution	allocation
attribution	attribution
harmattan	harmattan
protestants	protestants
protestants	protestant
arrestation	arrest
daté	dated
cristal	crystal
cristal	cristal
combinaison	jumpsuit
combinaison	combination
combinaison	combo
taxe	tax
radar	radar
jouée	played
malaisie	malaysia
malaisie	malaya
nominations	appointments
nominations	nominations
terminée	completed
terminée	finished
insurrection	uprising
insurrection	insurrection
insurrection	insurgency
repas	meals
repas	meal
éthique	ethical
éthique	ethics
hesse	hessen
hesse	hesse
bâti	built
halle	halle
luxe	deluxe
luxe	luxury
estimée	estimated
maîtresse	mistress
lorenzo	lorenzo
grenade	grenada
grenade	pomegranate
grenade	granada
grenade	grenade
rob	rob
casablanca	casablanca
dennis	dennis
mail	mail
qualifier	qualifier
qualifier	qualifying
qualifier	qualify
mobilier	furnishings
mobilier	furniture
compositeurs	composers
compositeurs	songwriters
artisans	craftsmen
artisans	artisans
cat	cat
bourges	bourges
témoigne	testifies
témoigne	testify
strictement	strictly
tâches	tasks
impératrice	empress
soccer	soccer
ressort	spring
gère	manages
marquer	scoring
marquer	mark
marquer	score
chartres	chartres
décoré	decorated
humides	moist
humides	humid
humides	wet
léo	léo
léo	leo
hof	hof
condé	conde
condé	condé
contraintes	constraints
détective	detective
cohen	cohen
conçue	conceived
conçue	designed
sarkozy	sarkozy
pole	pole
wagner	wagner
mondes	worlds
wurtemberg	württemberg
truc	thing
salomon	salomon
salomon	solomon
barbe	barbe
barbe	beard
allié	allied
allié	ally
prouver	proving
prouver	prove
proposant	proposing
dette	debt
dream	dream
moyennes	average
moyennes	medium
moyennes	averages
meurthe	meurthe
bibliothèques	libraries
cru	raw
cru	cru
dessert	dessert
dessert	desserts
blake	blake
nationaliste	nationalist
nationaliste	nationalistic
peuplée	populated
expert	expert
normand	normand
normand	norman
lourde	heavy
holmes	holmes
renard	renard
renard	fox
esclavage	slavery
esclavage	enslavement
esclavage	bondage
video	video
magnétique	magnetic
mississippi	mississippi
collègues	colleagues
ille	ille
attire	attracts
attire	attract
graines	seeds
graines	seed
rébellion	rebellion
républicaine	republican
rtl	rtl
nova	nova
réputé	reputable
réputé	reputed
isolées	insulated
isolées	isolated
percussions	percussion
fixé	fixed
tueur	killer
envoyés	envoys
envoyés	sent
galeries	galleries
galeries	gallery
apparente	apparent
provincial	provincial
évident	obvious
évident	evident
coûts	costs
coûts	cost
auxerre	auxerre
munitions	ammunition
munitions	ammo
munitions	munitions
divine	divine
warren	warren
observe	observe
bouddhisme	buddhism
bouddhisme	buddhist
fraction	fraction
présentés	presented
aidé	helped
aidé	aided
aidé	assisted
concepts	concepts
harmonie	harmony
magnus	magnus
révélé	revealed
révélé	disclosed
parlementaires	mps
parlementaires	parliamentarians
renseignements	information
collins	collins
blocs	blocks
voulant	wanting
acheté	purchased
acheté	bought
bolivie	bolivian
bolivie	bolivia
coupé	cut
coupé	coupe
#aaa	#aaa
législation	legislation
immeubles	buildings
localement	locally
cerf	cerf
cerf	stag
cerf	deer
courtes	short
révolutionnaires	revolutionary
révolutionnaires	revolutionaries
proportion	proportion
palatinat	palatinate
noces	wedding
poméranie	pomeranian
poméranie	pomerania
sylvie	sylvia
sylvie	david
sylvie	sylvie
sylvie	susan
posthume	posthumous
posthume	posthumously
wolfgang	wolfgang
reçoivent	receive
bal	bal
bal	prom
câble	cable
mers	seas
amoureuse	amoureuse
lost	lost
johan	johan
cbs	cbs
reconstruit	reconstructed
reconstruit	rebuilt
canaux	channels
canaux	canals
figaro	figaro
exercer	practicing
brièvement	briefly
implantation	implantation
irlandaise	irish
boucle	buckle
boucle	loop
produisent	produce
escadre	squadron
escadre	wing
maçonnerie	masonry
slovénie	slovenia
correctement	properly
correctement	correctly
piliers	pillars
piliers	pillar
coordination	coordination
coordination	coordinating
talents	talents
talents	talent
diplomatique	diplomatic
doux	doux
doux	sweet
doux	gentle
doux	mild
doux	soft
pères	fathers
pères	pères
pères	dads
capables	capable
partagé	shared
romaines	roman
achevé	completed
joint	joint
joint	gasket
vieil	vieil
syndicats	unions
immédiate	immediate
nigeria	nigeria
lou	lou
gaulois	gaul
gaulois	gaulois
gaulois	gallic
gaulois	gauls
émilie	émilie
émilie	emilie
émilie	emily
convaincu	convinced
nacional	nacional
malades	ill
malades	sick
leonard	leonard
concession	concession
concession	dealership
hainaut	hainaut
inspirée	inspired
dérive	drift
dérive	drifting
eurovision	eurovision
égyptien	egyptian
naturaliste	naturaliste
naturaliste	naturalist
tort	wrong
juges	judges
hms	hms
avantages	advantages
avantages	benefits
prévention	prevention
keith	keith
dommages	damage
dommages	damages
prononce	pronounce
eglise	church
organique	organic
impôt	tax
impôt	taxes
vengeance	payback
vengeance	vengeance
vengeance	revenge
bombardement	shelling
bombardement	bombardment
bombardement	bombing
guadeloupe	guadeloupe
violoncelle	cello
impliqué	implicated
impliqué	involved
ancêtre	ancestor
memorial	memorial
sfondo	sfondo
stage	internship
bros	bros
demain	tomorrow
nasa	nasa
mensuel	monthly
équipée	equipped
dakar	dakar
souveraineté	sovereignty
profond	deep
profond	profound
occitan	occitan
spécialisés	specialised
spécialisés	specialized
continuité	continuity
systématiquement	systematically
systématiquement	systematic
attend	waits
intensité	intensity
protéines	protein
protéines	proteins
récent	recently
récent	recent
accompagnée	accompanied
hollandais	dutch
attentats	attacks
attentats	bombings
intéressé	interested
décrire	describe
sauveur	saviour
sauveur	savior
éclairage	illumination
éclairage	lighting
betty	betty
haye	hague
rochefort	rochefort
assurée	insured
vernaculaire	vernacular
martinique	martinique
esp	pse
esp	pil
esp	esp
mathématique	mathematical
mathématique	math
mathématique	mathematics
ita	ita
halte	halt
baccalauréat	bachelor
baccalauréat	baccalaureate
gonzález	gonzález
gonzález	gonzalez
wikidata	wikidata
dialogues	dialogs
dialogues	dialogue
dialogues	dialogues
appliquée	applied
passes	passes
atlético	atlético
mesurer	measuring
mesurer	measurement
mesurer	measure
joachim	joachim
sèvres	sèvres
gallois	welsh
gallois	gallois
jupiter	jupiter
protestante	protestant
wwe	wwe
grace	grace
précipitations	rainfall
précipitations	precipitation
marianne	marian
marianne	marianne
bohême	bohemia
bohême	bohemian
sidi	sidi
paire	pair
console	console
santos	santos
tombes	graves
tombes	tombes
tombes	tombs
tombes	tomb
adolf	adolf
récents	recent
réservoir	tank
réservoir	reservoir
approfondir	deepening
approfondir	deepen
transformée	transformed
linda	linda
élevés	elevated
vocabulaire	vocabulary
missile	missile
utiles	useful
utiles	helpful
glasgow	glasgow
écoute	listening
écoute	listen
harrison	harrison
wallonie	wallonia
transept	transept
représentés	represented
anneaux	rings
cyr	cyr
fuir	flee
sentier	trail
sentier	footpath
sentier	path
richelieu	richelieu
croisade	crusade
boxeur	boxer
boxeur	fighter
parisiens	parisians
parisiens	parisiens
parisiens	parisian
qualifiée	skilled
qualifiée	qualifying
qualifiée	qualified
fifa	fifa
finance	finance
finance	finances
vedette	star
vedette	featured
critère	criterion
critère	criteria
inédit	unpublished
inédit	unreleased
stanislas	stanislas
tensions	tension
tensions	tensions
lucie	lucie
lucie	lucy
lucie	lucia
rica	rica
casse	breaks
casse	casse
casse	breakage
casse	heist
bête	beast
impôts	tax
impôts	taxes
brigitte	bridget
brigitte	brigitte
fresques	frescoes
fresques	murals
pattes	legs
pattes	paws
économiste	economist
adapter	adapting
adapter	adapt
disparaître	vanishing
disparaître	disappearing
disparaître	disappear
verbe	verb
bull	bull
reconstruite	reconstructed
reconstruite	rebuilt
adopter	adopt
adopter	adopting
craig	craig
évalué	assessed
évalué	rated
évalué	evaluated
saintes	saintes
saintes	saints
saintes	holy
rond	round
rond	rond
bnf	bnf
érigé	erected
rudolf	rudolf
pokémon	pokémon
pokémon	pokemon
linux	linux
commandée	commissioned
commandée	commanded
commandée	ordered
fabricant	manufacturer
syntaxe	syntax
logis	logis
celtique	celtic
singapour	singapore
michelle	michelle
joie	joy
costume	costume
costume	suit
puissants	powerful
hymne	hymn
hymne	anthem
hymne	hymne
douleur	pain
restauré	restored
gay	gay
mannequin	dummy
mannequin	model
mannequin	mannequin
mannequin	modeling
intense	intensive
intense	intense
rendus	rendus
appartiennent	belong
vegas	vegas
chimiste	chemist
flash	flash
pacte	pact
pacte	covenant
pacte	compact
analyses	analytics
analyses	analyses
analyses	analysis
foire	fair
excellence	excellency
excellence	excellence
plateforme	platform
stock	stock
traversé	crossed
fritz	fritz
corruption	bribery
corruption	corruption
dépenses	spending
dépenses	expenditures
dépenses	expenditure
dépenses	expenses
découpage	cutting
vampire	vamp
vampire	vampire
consultation	consulting
consultation	consultation
comtés	counties
platine	platinum
platine	turntable
jeter	discard
jeter	throw
jeter	jeter
perrin	perrin
remplacés	replaced
pin	pine
pin	pin
angelo	angelo
moreau	moreau
augmenté	increased
augmenté	augmented
haïti	haiti
pédagogique	pedagogical
nécessairement	necessarily
cécile	cecile
cécile	cécile
loge	loge
tissu	cloth
tissu	fabric
continu	continuous
mets	mets
rire	laughing
rire	laugh
rire	laughter
créations	creations
coupable	guilty
report	postponement
apport	intake
channel	channel
cylindres	cylinder
cylindres	cylinders
cylindres	rolls
vif	vivid
quais	docks
monténégro	montenegro
terreur	terror
temporaire	temporary
verlag	verlag
wang	wang
anglophone	anglophone
brooklyn	brooklyn
ultra	ultra
fourni	provided
fourni	supplied
sonde	probe
tante	auntie
tante	aunty
tante	aunt
baltimore	baltimore
télécommunications	telecom
télécommunications	telecommunications
assurances	insurance
assurances	insurances
vélo	bike
vélo	bicycle
vélo	cycling
vélo	biking
cloche	cloche
cloche	bell
stabilité	stability
stabilité	stable
rabbin	rabbi
marketing	marketing
dotée	endowed
simultanément	simultaneous
simultanément	simultaneously
essonne	essonne
touché	hit
touché	touched
touché	touchdown
touché	affected
nicholas	nicholas
globalement	globally
attirer	attraction
attirer	lure
attirer	attract
attirer	attracting
exploitant	operator
végétation	vegetation
souffle	breath
souffle	blow
souffle	blowing
pol	pol
diagnostic	diagnostic
diagnostic	diagnosis
diagnostic	diagnostics
conservés	retained
conservés	preserved
caraïbes	caribbean
sacrée	sacred
casino	casino
musulman	islamic
musulman	muslim
musulman	muslims
amené	brought
observé	observed
serre	greenhouse
serre	greenhouses
architectural	architectural
complot	plot
complot	conspiracy
voyant	seer
appris	learned
appris	taught
appris	learnt
fan	fan
sara	sara
remarqué	noted
remarqué	noticed
taïwan	taiwan
taïwan	taiwanese
faces	faces
müller	müller
müller	muller
mammifères	mammals
funéraire	funerary
funéraire	funeral
potter	potter
doré	golden
doré	gold
doré	doré
toscane	tuscan
toscane	tuscany
bain	bath
rêves	dream
rêves	dreams
chômage	unemployment
signaler	report
signaler	reporting
écrivit	wrote
marina	marina
temples	temples
antilles	caribbean
antilles	antilles
survivants	survivors
étroite	narrow
métallique	metal
métallique	metallic
xbox	xbox
occidentaux	westerners
géographiques	geographic
renseignement	intelligence
entourée	surrounded
contacts	contacts
poudre	powder
avertissement	warning
avertissement	disclaimer
continental	continental
occupant	occupying
occupant	occupier
occupant	occupant
prolongement	prolongation
prolongement	extension
abandonnée	abandoned
frederick	frederick
géré	managed
géré	handled
théologien	theologian
lever	lever
lever	sunrise
lever	lifting
algorithme	algorithms
algorithme	algorithm
minuit	midnight
buste	bust
humide	moist
humide	humid
humide	wet
catalan	catalan
contrats	contracts
censure	censors
censure	censor
censure	censorship
chapelles	chapels
parade	parade
indicatif	indicative
ménage	housekeeping
ménage	household
ménage	cleaning
bush	bush
marathon	marathon
solitaire	solitary
solitaire	lonely
solitaire	solitaire
lombardie	lombardy
algérienne	algerian
lazare	lazare
lazare	lazarus
lazare	lazar
aveyron	aveyron
justifier	justifying
justifier	justify
baies	bays
baies	berries
baies	berry
beauvais	beauvais
avr	apr
avr	avr
perpignan	perpignan
peste	pest
peste	plague
peste	pestilence
wallace	wallace
instructions	instructions
controverse	controversial
controverse	controversy
tiens	hold
musulmane	muslim
angles	corners
angles	angles
autorise	authorizes
aaron	aaron
soudan	sudan
regarder	watch
regarder	watching
lama	lama
détenu	inmate
détenu	prisoner
détenu	convict
détenu	detained
détenu	detainee
murphy	murphy
purement	purely
divorce	divorce
divorce	divorced
cook	cook
arrêtés	arrested
manhattan	manhattan
hardy	hardy
parme	parma
paiement	payments
paiement	payment
imposant	imposing
systématique	systematic
rémy	remy
rémy	rémy
prochain	next
morris	morris
fût	keg
fût	drum
survie	survival
collégiale	collegial
collégiale	collegiate
hydrogène	hydrogen
provoquer	provoke
provoquer	provoking
igor	igor
métaux	metal
métaux	metals
parrain	godfather
parrain	sponsor
km²	km²
parent	relative
parent	parent
révélation	revelation
hudson	hudson
avoue	confess
avoue	confesses
fabrice	fabrizio
fabrice	fabrice
gravité	seriousness
gravité	gravity
gravité	severity
valérie	valerie
groupement	grouping
wallonne	walloon
belfort	belfort
pente	slope
pente	gradient
multi	multi
adhésion	adhesion
adhésion	membership
adhésion	accession
remparts	ramparts
apple	apple
karen	karen
drôme	drôme
nazi	nazi
consacrés	consecrated
moral	morale
moral	moral
narrateur	narrator
inscrire	enroll
complément	complement
complément	supplement
futurs	future
futurs	futures
traverser	crossing
traverser	traverse
traverser	cross
dons	donation
dons	donate
dons	donations
ignore	ignore
ignore	ignores
patrie	motherland
patrie	fatherland
patrie	homeland
sèche	dry
oxygène	oxygen
ampleur	magnitude
molécules	molecules
signée	signed
céramique	pottery
céramique	ceramic
céramique	ceramics
uss	uss
judaïsme	judaism
pauvreté	poverty
sévère	severe
sévère	harsh
sévère	stern
souligne	highlights
souligne	underline
souligne	emphasizes
exemplaire	copy
exemplaire	exemplary
wings	wings
enregistrer	record
enregistrer	save
enregistrer	register
monstre	freak
monstre	monster
acides	acids
acides	acid
séparés	separated
séparés	separate
morales	morales
perry	perry
roubaix	roubaix
commerces	shops
brève	brief
anthologie	anthology
positive	positive
substance	substance
geste	gesture
numériques	numeric
numériques	digital
matrice	matrix
nfl	nfl
sardaigne	sardinia
escrime	fencing
perception	perception
perception	perceptions
charleroi	charleroi
axes	axes
axes	axis
significations	meanings
descendance	progeny
descendance	offspring
descendance	descendants
mayer	mayer
électroniques	electronic
appartenance	affiliation
appartenance	belonging
commonwealth	commonwealth
retenue	restraint
retenue	retained
gregory	gregory
arménien	armenian
domestique	domestic
plongée	diving
plongée	dive
plongée	snorkelling
composants	components
composants	ingredients
rival	rival
patriarche	patriarch
constituant	constituent
dominant	dominating
dominant	dominant
julian	julian
carburant	fuel
téléchargement	download
téléchargement	downloads
téléchargement	downloading
voler	fly
voler	flying
voler	steal
sigle	acronym
kilomètre	kilometre
kilomètre	kilometer
kilomètre	kilometers
dubois	dubois
identifié	tagged
identifié	identified
successives	successive
vaucluse	vaucluse
honneurs	honours
honneurs	honors
capturé	caught
capturé	captured
jet	jet
enterrée	buried
riz	rice
riz	riz
constance	constance
ème	ème
affichage	display
affichage	view
guatemala	guatemala
extraordinaire	extraordinary
extraordinaire	amazing
chan	chan
urbains	urban
postérité	posterity
médicis	medici
trajet	route
doyen	dean
extérieurs	outdoor
extérieurs	external
extérieurs	exterior
bridge	bridge
décédée	deceased
créatures	critters
créatures	creatures
otan	nato
patinage	skating
patinage	skate
perdent	loses
indispensable	indispensable
indispensable	essential
révision	review
révision	revision
préliminaire	preliminary
bulle	bulle
bulle	bubbles
bulle	bubble
alessandro	alessandro
israélien	israeli
israélien	israelis
modifiée	modified
modifiée	amended
pete	pete
médicaments	medicines
médicaments	medication
médicaments	medications
cricket	cricket
ancêtres	ancestors
olga	olga
développés	developed
touristes	tourists
réédité	reissued
terrible	dreadful
terrible	terrible
blood	blood
indépendantes	independent
demandant	asking
demandant	requesting
hilaire	hilaire
confondre	confuse
mobiles	mobiles
barrière	barrier
barrière	fence
barrière	barrière
soie	silk
essayé	attempted
essayé	tried
acoustique	acoustic
acoustique	audio
acoustique	acoustics
colonial	colonial
marches	marche
marches	steps
marches	marches
sécession	secession
intellectuelle	intellectual
aluminium	aluminium
aluminium	aluminum
composées	composed
piège	trap
biélorussie	belarus
doc	doc
policière	police
citations	quotes
citations	quotations
citations	citations
tubes	tubes
écho	echo
thématique	thematic
industrielles	industrial
tragédie	tragedy
mozart	mozart
organiste	organist
excellent	excellent
hart	hart
hôtels	hotels
arras	arras
diminution	decrease
diminution	decreased
horizon	horizon
gorge	throat
gorge	gorge
librement	freely
silver	silver
pauline	pauline
offrant	offering
chronologique	chronological
hugh	hugh
amphibiens	amphibian
amphibiens	amphibians
érigée	erected
durand	durand
océanie	oceania
kenya	kenya
pilier	pillar
diamant	diamond
diamant	diamonds
quinzaine	fifteen
quinzaine	fortnight
drogue	drugs
drogue	drug
soutenue	sustained
soutenue	supported
derby	derby
libertés	liberties
libertés	freedoms
magazines	magazines
tennessee	tennessee
chaos	chaos
guise	guise
chanter	sing
chanter	singing
abrégé	abbreviated
abrégé	abridged
historiquement	historically
fusil	shotgun
fusil	gun
fusil	rifle
serbes	serb
serbes	serbs
serbes	serbian
maintient	maintains
marx	marx
couverte	covered
reliques	relics
roberts	roberts
roumaine	romanian
broadway	broadway
législatif	legislative
législatif	legislature
rotterdam	rotterdam
salaire	salary
salaire	wage
salaire	wages
salaire	earnings
rappeur	rapper
rappeur	rap
plaines	plains
watson	watson
prêté	loaned
prêté	lent
préféré	favourite
préféré	favorite
préféré	preferred
ingénierie	engineering
bayonne	bayonne
asiatiques	asian
asiatiques	asians
clara	clara
bataillons	battalions
pérez	pérez
magistrat	judge
magistrat	magistrate
chanteurs	singers
automobiles	automobiles
admissible	eligible
admissible	admissible
admissible	permissible
admissible	allowable
ethnique	ethnicity
ethnique	ethnic
comarque	comarca
haies	hedges
haies	hurdles
haies	hedge
considérées	considered
flanc	flank
randonnée	hiking
randonnée	trekking
chambéry	chambéry
vignes	vignes
vignes	vines
vignes	vineyard
vignes	vineyards
contrainte	stress
contrainte	constraint
contrainte	compulsion
contrainte	coercion
folk	folk
portails	gates
portails	portals
billets	tickets
billets	banknotes
apogée	climax
apogée	pinnacle
apogée	peak
obtenue	obtained
antarctique	antarctica
antarctique	antarctic
contenir	contain
conducteur	drivers
conducteur	driver
conducteur	conductor
étendu	extended
étendu	expanded
interdite	forbidden
interdite	prohibited
interdite	banned
proviennent	originate
sphère	sphere
lévy	lévy
libye	libyan
libye	libya
choisie	chosen
chirurgie	surgery
chirurgie	surgical
sent	smells
oublié	forgot
oublié	forgotten
résidences	residences
grammaire	grammar
yann	jan
yann	yann
mineure	minor
balles	balls
balles	bullets
légendaire	legendary
tigre	tiger
tigre	tigre
compromis	compromise
compromis	compromised
horloge	clock
chaine	chain
séoul	seoul
parts	shares
partager	sharing
partager	share
pluriel	plural
omar	omar
monica	monica
rey	rey
dépôts	deposits
dépôts	filings
josef	josef
michèle	michelle
michèle	michele
michèle	michèle
pommes	pommes
