носити	viselni
давній	ókori
міграції	áttérés
міграції	átállás
міграції	bevándorlás
міграції	migráció
продажів	eladások
продажів	eladás
продажів	értékesítés
продажів	értékesítési
індійський	indián
індійський	indiai
еміль	emile
еміль	emil
каменів	stones
каменів	kövek
вузли	házigazdák
вузли	szervezők
вузли	csomópontok
вогези	vosges
літер	leveleket
літер	betűk
літер	levelek
організована	rendezett
організована	szervezett
обкладинка	fedezze
обкладинка	címlap
обкладинка	fedezni
обкладинка	fedő
обкладинка	borító
збирати	gyülekező
збирати	összegyűjti
збирати	gyűjteni
бурі	viharok
трасі	tracy
сірі	ősz
сірі	gray
сірі	szürke
сірі	siri
різниці	különbség
розпочати	start
розпочати	kezdés
розпочати	kezdeni
газетах	lapok
газетах	újság
газетах	újságok
страх	félelem
детектив	nyomozó
детектив	detektív
географічний	földrajzi
звільнити	töröld
словники	szótár
словники	szótárak
гине	meghal
володарі	követelés
володарі	állítás
володарі	igény
вбили	megölt
вбили	megölte
службовців	alkalmazottak
службовців	munkavállalók
службовців	foglalkoztatottak
службовців	munkatársak
перерви	szünet
перерви	törés
орла	sas
орла	eagle
класична	klasszikus
класична	klasszikus
класична	classic
помирає	meghal
гордон	gordon
кроки	lépcső
кроки	lépcsők
кроки	lépések
кроки	lépés
кроки	lépéseket
поради	tanácsadás
поради	tanácsok
поради	tanács
поради	tanácsot
поради	tipp
поради	tanácsok
поради	tippek
арджеш	argeș
живі	élni
живі	élő
послання	levele
лиман	torkolat
винищувач	harcos
винищувач	bunyós
косово	koszovó
косово	koszovói
землеробства	gazdálkodás
землеробства	tenyésztés
дуглас	douglas
девіс	davis
девіс	davies
першість	eltörpül
тертя	súrlódás
посуд	edények
посуд	edényeket
посуд	ételek
накопичення	felhalmozódása
папуа	pápua
осінь	ősz
осінь	őszi
осінь	ősszel
осінь	esés
осінь	őszi
осінь	zuhanás
осінь	ősszel
осінь	ősz
рекомендується	ajánlotta
рекомендується	ajánlott
рекомендується	javasolt
пфальц	pfalz
стандартний	normál
стандартний	szabványos
стандартний	szabvány
стандартний	standard
душа	lélek
душа	soul
душа	lelkem
душа	lelked
гризунів	rágcsáló
гризунів	rágcsálók
прим	prim
паоло	paolo
ефір	műsorszolgáltató
гвинтівки	puskák
гвинтівки	puska
гвинтівки	puskát
закрито	bezárt
закрито	zárva
закрито	zárt
алгоритми	algoritmusok
кіпр	ciprusi
кіпр	ciprus
кіпр	cipruson
виклик	kihívás
виклик	hívás
виклик	hívd
пакистану	pakisztán
пакистану	pakisztáni
австралійський	ausztrál
австралійський	ausztrália
реформування	reformja
вклад	járulék
вклад	hozzájárulás
мозок	agya
мозок	agyat
мозок	agyam
мозок	agy
гніздо	slot
гніздо	fészket
гніздо	fészek
безкоштовно	ingyenes
безкоштовно	ingyen
безкоштовно	free
безкоштовно	szabad
тепло	meleg
тепло	melegen
тепло	melegség
прояви	rasszista
прояви	rasszizmus
осло	oslo
принесли	hozták
принесли	hozott
принесли	hoztam
принесли	hozta
спини	homokos
спини	sandy
ботанік	botanikus
висотах	magasságok
ріст	növekedés
дізнатися	tanulni
дізнатися	tanuljon
дізнатися	tanul
передмісті	külvárosban
відійшли	tört
відійшли	eltört
відійшли	összetört
відійшли	eltörte
кристали	kristályok
мартіна	martina
інтерпретації	értelmezések
комунікацій	kommunikáció
комунікацій	távközlés
комунікацій	kommunikációs
мадонна	madonna
спільну	közös
спільну	osztott
спільну	megosztotta
спільну	megosztott
спільну	megosztva
небезпеку	veszélyeket
небезпеку	veszélyek
саксонія	szászország
саксонія	szász
пожежа	tűz
підвіска	felfüggesztése
підвіска	szuszpenzió
підвіска	felfüggesztés
дехто	néhány
сумніви	kétségei
сумніви	kétely
сумніви	kétség
сумніви	kétségek
гребля	gátat
гребля	gát
оснащений	kettős
чоловічі	férfi
чоловічі	hím
купив	megvásárolt
купив	vásárolt
купив	vett
купив	vettem
політикою	szabályzat
політикою	politika
бухарест	bukarest
вибрати	válasszon
вибрати	választás
вибрати	kiválasztás
унікальні	egyedülálló
унікальні	páratlan
унікальні	egyedi
чиновників	hivatalnokok
чиновників	tisztviselők
чиновників	tisztviselői
оцінити	értékeli
оцінити	értékelje
оцінити	értékeli
оцінити	mérték
оцінити	kamatláb
оцінити	arány
небезпеки	veszély
архіви	archívum
статевий	szexualitás
статевий	szexuális
передня	elülső
відійшов	felépült
ісус	jézus
теоретично	elméletileg
вчителі	tanárok
заявила	bejelentett
однакові	egyforma
однакові	megegyező
однакові	azonos
однакові	ugyanez
однакові	ugyanaz
секс	szex
секс	sex
чутки	szóbeszéd
чутки	pletykák
чутки	szóbeszéd
чутки	pletykák
чутки	szóbeszéd
чутки	pletyka
визнала	elismerte
визнала	elismert
крістофер	christopher
крістофер	kristóf
методика	technika
пейзаж	táj
джаз	jazz
уельсу	wales
сантиметрів	centiméter
сантиметрів	centiméter
едді	eddie
едді	eddy
бомби	bomba
бомби	bombák
бомби	bombákat
закладено	nyújt
багата	uptown
німеччину	németország
фасаді	vitatható
фасаді	ellentmondásos
фасаді	vitatott
менеджмент	menedzsment
менеджмент	irányítás
менеджмент	vezetőség
менеджмент	gazdálkodás
менеджмент	irányítási
говард	howard
течія	áramlat
течія	jelenlegi
течія	aktuális
течія	fluxus
робітники	dolgozók
робітники	munkavállalók
робітники	munkások
розмови	beszélgetések
розмови	társalgás
розмови	beszélgetés
розмови	beszélgetést
бойовиків	aktivisták
біженців	menekült
біженців	menekültek
корона	koronát
корона	crown
корона	korona
фотографій	fotók
фотографій	fényképek
сантьяго	santiago
однаково	egyenlően
однаково	egyformán
змій	kígyókat
змій	kígyók
комуністична	kommunisták
комуністична	kommunista
тропічні	trópusi
етимологія	etimológia
ціль	objektív
ціль	cél
ціль	célkitűzés
ціль	célpont
ціль	cél
добровільно	önként
добровільно	önként
добровільно	önkéntesen
добровільно	szándékosan
добровільно	önkéntes
добровільно	önként
добровільно	önkéntesen
підтримується	támogatott
пізно	későn
пізно	késő
пізно	késve
вдвічі	kétszer
вдвічі	megduplázódott
переселенців	elmozdult
блакитний	kék
блакитний	blue
тель	tel
коди	kódok
пенсії	nyugdíjba
пенсії	nyugdíj
пенсії	nyugdíjas
пенсії	nyugdíj
пенсії	nyugdíjak
бойове	harci
бойове	küzdelem
бойове	harc
гурток	kör
гурток	kört
моменти	pillanatai
моменти	pillanatok
вилча	vâlcea
затемнення	napfogyatkozás
лавки	padok
трудова	munkaügyi
трудова	munkaerő
тріо	trió
гагаріна	gagarin
сорока	pica
читача	követője
читача	követő
трави	fű
трави	füvet
діагностики	diagnosztika
еволюція	evolúció
еволюція	fejlődés
інтелектуальної	intellektuális
інтелектуальної	szellemi
груповий	csoport
груповий	csoportban
викладає	tanít
викладає	tanítja
амстердам	amsterdam
амстердам	amszterdam
амстердам	amszterdami
перебіг	befolyása
перебіг	befolyással
перебіг	befolyás
вимагав	követelte
вимагав	követelt
жуків	rovarok
жуків	bogarak
клієнт	vendég
клієнт	ügyfél
клієнт	vevő
клієнт	vásárlói
клієнт	vásárló
клієнт	ügyfél
клієнт	kliens
сервіс	kiszolgálás
сервіс	szerviz
сервіс	szolgálat
сервіс	szolgáltatás
придбати	beszerzés
придбати	vásárlás
придбати	vétel
придбати	vegyél
придбати	venni
придбати	vásárol
придбати	megvásárolni
гвардійська	őrök
мінську	minszk
тварина	állati
тварина	állatok
тварина	állat
різдво	karácsonykor
різдво	karácsonyi
різдво	karácsony
декоративні	díszítő
молитви	ima
молитви	imát
молитви	imádság
проста	egyszerű
проста	szimpla
собаки	kutyák
собаки	kutyáknak
собаки	kutya
фантастичний	fantasztikus
виробника	értékesítő
виробника	árus
студію	studio
студію	stúdió
реставрація	helyreállítási
реставрація	helyreállítása
проникнення	behatolás
презентація	megjelenítés
презентація	bemutatása
презентація	bemutató
диких	wild
диких	vadon
диких	vadak
диких	vad
маркса	marx
отриманий	kapott
отриманий	fogadott
отриманий	beérkezett
отриманий	eredő
отриманий	létrejövő
ново	novo
бад	bud
чоловічого	férfias
перевірка	ellenőrzése
перевірка	hitelesítés
перевірка	ellenőrzés
перевірка	vizsgálati
перевірка	vizsgálat
перевірка	próba
перевірка	teszt
перевірка	hitelesítés
перевірка	megerősítés
перевірка	hitelesítési
заяви	kimutatások
заяви	állítások
заяви	nyilatkozatok
приватної	akaratos
сидіння	ülések
сидіння	ülés
гості	vendég
гості	vendégek
представив	bevezetett
представив	bemutatott
розбіжності	diff
розбіжності	nézeteltérések
розбіжності	nézeteltérés
турецька	török
міфів	mítoszok
барон	báró
відправляється	elmegy
бруно	bruno
визнає	elismeri
визнає	elismerik
визнає	felismerni
північне	észak
північне	északi
напруга	feszültség
залишитися	maradj
міссурі	missouri
піраміди	piramisok
додавати	hozzáadás
додавати	hozzáadása
вектор	vektor
попереду	előre
братство	testvériség
братство	testvériség
ланцюг	lánc
довів	bebizonyosodott
довів	bizonyított
довів	bizonyult
паспорт	útlevél
позитивно	pozitívak
позитивно	pozitív
позитивно	pozitívan
внутрішнє	belső
внутрішнє	belső
кафедральний	skara
практична	gyakorlati
практична	praktikus
кетрін	kathryn
кетрін	katharine
кетрін	katherine
сау	sau
панель	panel
вихідні	hétvégén
вихідні	hétvége
вихідні	hétvégén
вихідні	hétvégi
вихідні	hétvégére
вихідні	hétvége
вихідні	kimenő
массачусетс	massachusetts
лавка	pad
лавка	padon
стрічці	takarmány
стрічці	etesd
стрічці	takarmányok
настає	eltörik
настає	megszakad
оцінкою	besorolás
оцінкою	minősítés
оцінкою	minősítési
зазначає	felsorolt
венесуели	venezuelai
венесуели	venezuela
шанс	esélyt
шанс	chance
шанс	esély
арнольд	arnold
навчальному	legkönnyebb
евакуації	evakuálni
виправлення	korrekció
виправлення	javítások
виправлення	javítások
гар	gard
збільшує	növeli
гаїті	haiti
заборона	tilos
заборона	tiltott
заборона	tilalom
заборона	tilalmak
пакистан	pakisztán
пакистан	pakisztáni
легіон	légió
полотна	vászon
позначають	jelezze
механік	autószerelő
механік	szerelő
хронологія	kronológia
хронологія	idővonal
галицька	galíciai
вебер	weber
стилів	styles
консультант	tanácsadó
консультант	tanácsadás
консультант	tanácsadó
консультант	konzultáció
жер	gers
багатих	gazdagok
здатністю	törékeny
фінанси	pénzügyi
фінанси	pénzügyi
фінанси	pénzügyek
фінанси	finanszírozás
фінанси	pénzügyek
сталь	steel
сталь	acél
шахи	sakk
темні	sötét
темні	sötétebb
інженери	technikusok
інженери	mérnökök
вюртемберг	württemberg
вивести	kimeneti
вивести	kibocsátás
вивести	kimenő
стандартна	normál
стандартна	szabványos
стандартна	szabvány
стандартна	standard
ізраїлі	izraeli
ізраїлі	izrael
куба	kubában
куба	kuba
соціологія	szociológia
ясси	iași
читає	olvas
флоренція	florence
флоренція	firenze
шкіра	bőr
шкіра	bőre
шкіра	bőr
життєпис	idővonal
записано	megírva
записано	írásbeli
записано	írta
записано	írott
записано	rögzített
записано	rögzítve
записано	regisztrált
записано	nyilvántartott
визначений	meghatározott
визначений	meghatározva
визначений	határozott
комети	üstökösök
щоденник	journal
щоденник	napló
щоденник	lap
щоденник	lapjában
щоденник	napló
щоденник	naplója
документальні	dokumentumfilmeket
делі	delhi
договорів	foglalkozik
сочі	szocsi
римляни	rómaiak
промислова	ipari
вимогою	követelmény
схожість	hasonlóság
міллер	molnár
міллер	miller
спільна	ízületi
спільна	joint
спільна	együttes
спільна	közös
бідності	szegénység
бідності	szegénységben
бідності	nyomor
центрами	központok
правова	jogi
правова	legális
правова	törvényes
феномен	jelenség
турецький	oszmán
турецький	török
союзники	szövetséges
союзники	szövetségesek
довше	hosszabb
моріс	maurice
сіра	ősz
сіра	grey
сіра	szürke
симптоми	tünetei
симптоми	tünetek
індіанці	indiánok
індіанці	indiaiak
присвоєння	megbízás
присвоєння	megbízatás
необхідне	szükséges
галактик	galaxisok
власна	megfelelő
любителів	elismerést
любителів	elismerés
вінніпег	winnipeg
попов	popov
вікон	windows
вікон	ablakok
вікон	ablak
хребетних	zoológia
рівно	állandósult
рівно	egyenletes
старша	idősebb
старша	idősebbek
старша	öregebb
старша	idősebb
старша	régebbi
стани	államok
стани	államokat
розряд	egyéni
розряд	mentesítés
казав	said
казав	mondta
казав	mondtam
штурм	sturm
фестивалів	fesztiválok
замінили	levált
замінили	helyébe
роберто	roberto
шари	réteg
шари	rétegek
кадри	keret
кадри	keretek
кадри	kereteket
цех	céh
максимальний	legfeljebb
максимальний	maximum
максимальний	maximális
площ	lakossági
площ	kiskereskedelmi
нахил	döntsd
трупи	holttestek
трупи	hullák
легкі	könnyű
діалект	dialektus
афганістан	afganisztán
афганістан	afganisztáni
хіп	hip
хіп	csípő
блог	blog
термінології	terminológia
проголосували	szavaztam
проголосували	szavazott
роджер	roger
інструкції	utasítás
інструкції	utasításokat
інструкції	utasítások
інструкції	útmutató
атлетика	atlétika
фантастика	fantasztikus
фантастика	kitaláció
фантастика	fikció
сорти	fajta
зникла	elment
зникла	eltűnt
виконавці	erőforrások
виконавці	erőforrás
виконавці	források
виконавці	előadók
виконавці	művészek
бульвар	boulevard
бульвар	körúton
бульвар	sugárút
євангеліє	evangélium
борець	birkózó
самиць	nőstények
величин	mennyiségek
величин	mennyiség
профспілок	szakszervezet
профспілок	szakszervezetek
польську	lengyel
спадкоємець	örökös
негативні	negatív
сіро	ciro
луцій	lucius
заряд	töltés
загроза	fenyegetés
перегони	faj
перегони	futam
перегони	verseny
перегони	racing
глосарій	szótár
глосарій	szószedet
молодим	fiatalok
молодим	fiatal
молодим	fiatalos
ходи	mozog
монету	érme
кімната	terem
кімната	szoba
альянс	szövetség
корпорація	corporation
кінь	lovas
кінь	ló
сенат	szenátus
сенат	szenátusi
коробка	box
коробка	rovat
коробка	láda
коробка	doboz
коробка	váltó
твердість	keménység
ланка	lanka
запалення	gyulladás
гази	gázok
гази	gázai
оцінювання	elbírálás
оцінювання	értékelés
важливість	súlyossága
виживання	túlélés
дизель	dízel
дизель	diesel
дизель	gázolaj
недоліків	hibái
написала	írt
написала	irtam
написала	írta
написала	írtam
багатство	gazdagság
багатство	gazdagság
багатство	jólét
багатство	vagyon
винограду	szőlő
винограду	szőlő
винограду	szőlőt
судану	szudáni
судану	szudán
загреб	zágráb
сидить	ül
сидить	ül
сидить	ülve
сидить	ülök
персонал	alkalmazottak
персонал	személyzet
персонал	munkatársak
обмежені	limited
обмежені	limitált
обмежені	korlátozott
обмежені	korlátolt
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	mohamed
мухаммед	mohammed
мухаммед	mohamed
мухаммед	muhammed
вищому	premier
обрані	kiemelt
обрані	kijelölt
обрані	kiválasztva
обрані	kiválasztott
нафта	olaj
нафта	kőolaj
нафта	olajjal
нафта	olajat
нафта	kőolaj
нафта	ásványolaj
сигнали	jelek
сигнали	jelzések
сигнали	jeleket
розділити	villát
розділити	villa
розділити	osztott
сибір	szibéria
сибір	szibériai
міркувань	érvelés
міссісіпі	mississippi
конрад	conrad
безумовно	határozottan
род	rúd
род	rod
арсенал	arsenal
абсолютна	abszolút
маргарет	margaret
маргарет	margit
сицилії	szicília
сицилії	szicíliai
технічно	technikailag
технічно	gyakorlatilag
попередня	előző
попередня	korábbi
спереду	front
спереду	eleje
інженерних	mérnöki
крус	cruz
знаючи	tudván
знаючи	ismerve
знаючи	tudva
поховали	eltemetni
суцвіття	virágzat
проведених	helm
проведених	kormányos
рівноваги	egyensúly
рівноваги	egyensúlyi
пілотів	pilóták
ратуша	terem
ратуша	hall
ратуша	csarnok
міра	myra
міра	mira
міра	mérték
міра	intézkedés
військах	erők
спокою	serenity
мережах	hálózatok
математичні	matek
математичні	matematika
математичні	matematika
математичні	matematikai
математичні	matek
математичні	matematikai
математичні	matematika
луїза	louisa
луїза	luisa
луїза	louise
залишатися	maradj
броні	páncél
найвищих	legmagasabb
запитів	kérelmek
запитів	kéri
запитів	kérések
зник	elment
зник	eltűnt
зник	eltűnt
зник	eltűnt
зник	eltünt
механічний	mechanikai
механічний	mechanikus
кераміка	kerámia
кераміка	ware
кераміка	kerámia
кераміка	kerámia
астрономи	csillagászok
дербі	darby
дербі	derby
прапором	zászló
прапором	megjelölés
прапором	lobogó
зерно	gabona
зерно	gabonát
студій	vizsgálatok
студій	tanulmányok
ставка	mérték
ставка	kamatláb
ставка	arány
всюди	globálisan
всюди	bárhol
всюди	bárhová
всюди	mindenütt
всюди	mindenhol
виконали	megfagy
найвище	legmagasabb
підтримання	fenntartása
підтримання	fenntartani
гідності	méltóság
відповідну	helyénvaló
відповідну	megfelelő
реалізацію	végrehajtás
реалізацію	végrehajtására
реалізацію	megvalósítás
проза	próza
вираження	kifejezni
виграли	nyert
путівник	kalauz
путівник	útmutató
путівник	útikönyv
матриця	mátrix
філолог	nyelvész
формує	alakú
розчин	aknavető
розчин	megoldást
розчин	megoldás
розчин	oldat
баланс	egyenleg
баланс	mérleg
баланс	egyensúly
тунель	alagút
верес	veres
визначена	meghatározott
визначена	meghatározva
визначена	azonosított
визначена	azonosítva
розгортання	terjeszkedés
розгортання	bővítés
випускник	diplomás
випускник	végzős
доходи	árucikkek
доходи	árucikk
доходи	áruk
мат	haver
мат	mate
потоцький	potocki
ветеран	veterán
вірогідно	állítólag
вірогідно	elvileg
герберт	herbert
похідні	származékok
змусили	kényszer
змусили	kényszerített
змусили	erőltetett
художниця	művész
художниця	előadó
корінь	gyökér
алкоголю	likőr
алкоголю	szesz
алкоголю	italok
алкоголю	alkoholos
алкоголю	alkoholt
алкоголю	alkohol
медічі	medici
звільнили	lőtt
договори	szerződések
занепад	tönkre
занепад	végzet
арабська	arab
арабська	arabul
процесора	gpu
процесора	cpu
симона	simone
мартин	marcin
мартин	sirály
метали	metál
метали	metal
метали	fémek
метали	fém
метали	fémek
дені	dani
модулі	modulok
дозволити	lehetővé
пшениці	búza
фірм	cégek
незалежний	független
незалежний	önálló
незалежний	függetlenek
величезна	hatalmas
величезна	óriási
штучний	mesterséges
двадцяти	twenty
двадцяти	húsz
підтверджує	megerősíti
подією	esemény
подією	rendezvény
рука	kar
рука	karját
рука	kezét
рука	kéz
стиснення	kompressziós
реальність	valóság
школярів	iskolások
тридцять	harminc
тридцять	thirty
подію	esemény
подію	rendezvény
покриті	kimerült
неправильно	rossz
неправильно	helytelen
диски	lemezek
диски	lemezek
улюблений	kedvenc
улюблений	kedvencem
улюблений	kedvenc
улюблений	kedvencem
іспанською	spanyolul
іспанською	spanyolok
іспанською	spanyol
доведено	bebizonyosodott
доведено	bizonyított
доведено	bizonyult
доведено	bizonyítottan
доведено	bizonyított
ззаду	vissza
жанрів	műfajok
суперників	rivális
суперників	riválisok
суперників	ellenfelek
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	jenki
янки	yankee
статистичні	statisztikai
цвітіння	blossom
фан	ventilátor
фан	rajongó
фан	fan
фан	fanni
фан	fang
трикутник	háromszög
муреш	mureș
клермон	clermont
крива	görbe
крива	kanyar
радника	tanácsadó
кіпру	ciprusi
кіпру	ciprus
кіпру	cipruson
самець	férfi
самець	hím
заново	újjáépíteni
кримська	krími
емілія	emilia
емілія	amelia
голокосту	holokauszt
земельні	zéland
різновидів	ízek
гессен	hesse
віл	wil
віл	hiv
леопольд	leopold
актуальні	aktuális
тяжіння	gravitáció
індонезія	indonéziában
індонезія	indonézia
індонезія	indonéz
прованс	provence
вимова	kiejtés
наступником	utódja
серійний	soros
серійний	sorozat
францію	franciaország
францію	france
автономний	autonóm
автономний	önálló
автономний	offline
алтай	altaj
арагон	aragón
арагон	aragon
тонкі	vékony
тонкі	sovány
митці	előadók
митці	művészek
сант	sant
підлітків	tinédzser
підлітків	tini
підлітків	serdülők
закриті	bezárt
закриті	zárva
закриті	zárt
мідь	réz
воїн	harcos
уельс	wales
духовні	spirituális
духовні	szellemi
духовні	lelki
розробник	fejlesztő
янг	fiatalok
янг	fiatal
янг	fiatalos
шостий	hatodik
вісь	tengely
єврейська	zsidó
єврейська	zsidók
єврейська	héber
колон	colón
колон	vastagbél
податок	adó
податок	adózás
податок	adók
прокурора	ügyvéd
прокурора	ügyész
прокурора	főügyész
рядка	line
рядка	sor
рядка	vonal
гранд	grande
гранд	grand
сталін	sztálin
дует	duett
секція	részleg
секція	szakasz
секція	szekció
латинська	latin
латинська	latinul
шахтар	bányász
адаптації	kiigazítás
адаптації	alkalmazkodási
адаптації	alkalmazkodás
позначені	megjelöltek
позначені	megjelölt
колеги	kollégák
колеги	munkatársak
колеги	munkatárs
підтримати	támogatás
підтримати	támogatást
дзеркала	tükrök
дзеркала	tükör
штучні	mesterséges
публікація	sztori
публікація	történet
публікація	story
публікація	története
публікація	mese
публікація	kiadvány
публікація	közzététel
публікація	közzététel
публікація	kiadás
публікація	kiadó
публікація	közzététel
едмонтон	edmonton
здійснюються	működtetett
здійснюються	üzemeltetett
адріан	adrián
адріан	hadrianus
адріан	adrian
якесь	néhány
італію	olaszország
кора	cora
спалили	elégett
спалили	égett
спалили	megégett
спалили	égetett
звіти	jelentések
звіти	beszámolók
спеціалізовані	szakosodott
спеціалізовані	szakosított
надгробок	sírkő
правосуддя	igazságszolgáltatás
правосуддя	igazság
сміття	szemetet
сміття	szemét
сміття	vacak
сміття	szemét
пор	kikötők
пор	kikötő
пор	port
природним	természetesen
колесо	volán
колесо	kereket
колесо	kerék
юлій	julius
враховувати	megfontolás
враховувати	figyelembe
бразильський	amazóniai
приток	mellékfolyói
череп	koponya
череп	koponyát
захоплені	elfogott
захоплені	elfogták
вгорі	felső
вгорі	felül
вгорі	top
вгорі	csúcs
вгорі	felső
вгорі	legfelső
коричневі	brown
коричневі	barna
колона	oszlop
колона	colonna
рідкісний	ritka
піднімається	mászik
піднімається	emelkedő
піднімається	emelkedik
купол	búra
передбачав	megjósolta
почути	hallani
лео	leo
жорстоко	kegyetlen
жорстоко	kegyetlenség
жорстоко	brutálisan
мандрівник	utazó
мандрівник	utazó
мандрівник	utazók
мандрівник	utas
мандрівник	vándor
барі	bari
багатства	gazdagság
багатства	jólét
багатства	vagyon
худ	hood
худ	csuklyás
тренування	tréning
тренування	képzési
тренування	kiképzés
тренування	képzés
тренування	edzés
тренування	gyakorol
тренування	gyakorolni
мільйон	millió
малювання	festés
малювання	festmény
малювання	rajza
малювання	rajz
малювання	rajzol
сімейство	családi
сімейство	családtag
сімейство	család
прийоми	trükk
прийоми	trükkök
аполлон	apollo
аполлон	apolló
рафаель	raphael
рафаель	rafael
рафаель	raphaël
урану	urán
перевагою	előny
судова	törvényszéki
зібрано	épült
зібрано	épített
зібрано	felépített
зібрано	beépített
зібрано	összeállított
зібрано	összegyűlt
зібрано	összegyűjtött
зібрано	csoportosított
зібрано	beszedett
зібрано	begyűjtött
зібрано	összeszedett
зібрано	összegyűjtött
зібрано	gyűjtött
переконати	meggyőzni
розлучення	válást
розлучення	válás
виключення	kizárja
виключення	kizárása
виключення	kivételek
виключення	kivétel
пен	peng
пен	pins
пен	csapok
пен	tűk
пен	pin
сервера	kiszolgáló
сервера	szerver
люфтваффе	luftwaffe
штучно	mesterségesen
фотограф	fotós
фотограф	fényképész
стрічку	szalag
стрічку	kazetta
попит	kereslet
попит	követelés
попит	igény
крайній	pornó
винахід	találmány
змінилася	megváltozott
змінилася	változott
записати	írj
записати	írni
записати	írjon
записати	rekord
записати	lemez
записати	égés
записати	égni
куби	kubában
куби	kuba
уникати	kerüld
уникати	elkerülése
звільнено	lőtt
звільнено	freed
албанія	albánia
туристичний	turisták
туристичний	turista
дедалі	hidegebb
пола	pola
дружба	barátságok
дружба	barátság
чорногорія	montenegró
венера	vénusz
айрес	aires
зменшує	csökken
могилу	sírba
могилу	sír
підключення	kapcsolódás
підключення	csatlakozás
комбінації	kombináció
комбінації	kombinációk
поліцейський	zsaru
поліцейський	rendőr
поліцейський	rendőr
дам	dame
поверхонь	felületek
конкретно	konkrétan
конкретно	kifejezetten
конкретно	kimondottan
воювали	harcolt
воювали	küzdött
курорт	resort
позитивний	pozitívak
позитивний	pozitív
туніс	tunézia
туніс	tunisz
чай	tea
чай	teát
кримінальні	bűnöző
кримінальні	bűnözői
вірус	vírussal
вірус	vírus
висловлювання	kimeneti
висловлювання	kibocsátás
висловлювання	kimenő
розрив	szünet
розрив	törés
розрив	hézag
розрив	szakadék
розрив	rés
куля	gömb
куля	golyót
куля	golyó
куля	lövedék
куля	töltény
легенд	legendák
органічні	organikus
органічні	szerves
капели	freskók
підприємців	vállalkozóknak
підприємців	vállalkozók
ресторан	vendéglő
ресторан	étterem
цілу	egészben
цілу	egész
підняття	felnevelni
згоду	jóváhagyás
згоду	jóváhagyási
згоду	engedélyezés
згоду	hozzájárulás
згоду	beleegyezése
зростанням	emelkedő
коричневий	brown
коричневий	barna
каф	caf
археологічний	régészeti
коробки	dobozok
коробки	dobozokat
коробки	ládák
лави	láva
шкода	szánalom
шкода	sajnálom
