černych	τσερνίχ
teréne	έδαφος
robinson	robinson
robinson	ρόμπινσον
zubov	δόντια
sierra	sierra
sierra	σιέρρα
sierra	σιέρα
prusko	πρωσία
portugalský	πορτογαλική
portugalský	πορτογαλικά
portugalský	πορτογαλικό
portugalský	πορτογάλοι
case	περίπτωση
case	υποθεση
case	υπόθεση
vlakov	τραίνα
vlakov	τρένα
vlakov	αμαξοστοιχίες
soľ	άλας
soľ	σολτ
soľ	αλάτι
miestni	ντόπιους
miestni	ντόπιοι
castle	καστρο
castle	κάστρο
castle	castle
zjednotenie	ενοποίηση
väzba	δεσμεύουν
väzba	συνδετικό
väzba	δεσμευτική
väzba	δεσμευτικός
väzba	δεσμευτικό
väzba	δέσιμο
väzba	δεσμός
väzba	κηδεμονία
väzba	επιμέλεια
väzba	δεσμός
väzba	μποντ
väzba	bond
tradícia	παράδοση
povesti	φήμες
nástupcu	διάδοχος
nástupcu	διάδοχο
aktuálny	νυν
aktuálny	τρέχουσα
aktuálny	ρεύμα
aktuálny	τρέχουσες
aktuálny	τρέχον
aktuálny	επίκαιρο
katalóg	κατάλογο
katalóg	κατάλογο
nelson	νέλσον
nelson	nelson
rastú	μεγαλώνουν
sčítanie	απογραφή
výklad	ερμηνεία
výklad	διερμηνεία
znamenal	σήμαινε
výzbroje	εξοπλισμών
pozemné	επίγεια
pozemné	έδαφος
pohľady	αξιοθέατα
pohľady	προβολές
pohľady	απόψεις
cestná	οδός
cestná	δρόμος
cestná	δρόμο
cestná	road
zásah	παρεμβολές
zásah	παρέμβαση
zásah	παρεμβολή
zásah	παρεμβάσεις
zásah	παρέμβασης
zásah	παρέμβαση
warner	γουόρνερ
warner	warner
zdravotné	ιατρικό
zdravotné	ιατρική
zdravotné	ιατρικά
zdravotné	ιατρικές
zdravotné	υγεία
chybu	λάθος
založiť	βαση
založiť	βάση
jules	τζουλς
prúdov	ρεύματα
prúdov	ροές
komédia	κωμωδία
kresťanov	χριστιανούς
kresťanov	χριστιανοί
angel	άγγελος
angel	αγγελος
angel	έιντζελ
angel	angel
továrne	εργοστάσια
faktor	παράγοντας
faktor	παράγοντα
faktor	παράγων
faktor	συντελεστής
litva	λιθουανίας
litva	λιθουανία
zavraždený	δολοφονήθηκε
zavraždený	δολοφονήθηκαν
zavraždený	δολοφόνησε
phil	φιλ
phil	phil
phil	φίλ
rob	rob
rob	ρομπ
zastúpené	εκπροσωπείται
zastúpené	εκπροσωπούνται
spôsobujú	προκαλώντας
výkonný	εκτελεστική
výkonný	εκτελεστικό
ponúkol	προσφέρθηκαν
ponúkol	προσφέρεται
ponúkol	πρόσφερε
ponúkol	προσφέρθηκε
ponúkol	προσφέρονται
presun	μεταφορά
presun	μετάθεση
presun	μεταβίβαση
presun	μετακινήστε
presun	μετακίνηση
presun	κίνηση
presun	μετακόμιση
presun	μετακίνηση
presun	κινείται
presun	μετακίνηση
presun	κίνημα
presun	κίνηση
carter	κάρτερ
carter	carter
poistenie	ασφάλιση
poistenie	ασφάλεια
poistenie	ασφάλειες
kroky	σκαλιά
kroky	στάδια
kroky	σκαλοπάτια
kroky	βήματα
kroky	βαθμίδες
kroky	βήματα
zmazať	διαγραφή
bohatý	πλούσιος
bohatý	ριτς
bohatý	πλούσιοι
bohatý	πλούσιο
bohatý	πλούσια
informatiky	πληροφορική
suchá	ξηρή
suchá	στεγνά
suchá	ξηρά
suchá	στεγνό
suchá	ξηρό
poddruh	υποείδος
slnečná	ηλιακές
slnečná	ηλιακό
slnečná	ηλιακή
infraštruktúra	υποδομές
infraštruktúra	υποδομής
infraštruktúra	υποδομή
svetom	world
svetom	κόσμο
svetom	κόσμος
nahrávanie	ανεβάζω
nahrávanie	ανέβασμα
nahrávanie	ανεβαίνει
nahrávanie	ανεβάστε
nahrávanie	ανέβασμα
nahrávanie	εγγραφή
nahrávanie	καταγραφή
nahrávanie	ηχογράφηση
nahrávanie	ρεκόρ
čítať	διαβάσει
čítať	διάβαζε
čítať	ανάγνωση
čítať	διαβάστε
čítať	διάβασε
záchranu	διάσωση
záchranu	διάσωσης
wood	ξύλο
wood	ξυλεία
klavirista	πιανίστα
klavirista	πιανίστας
kabíny	καμπίνες
kabíny	καλύβες
dutiny	κοιλότητα
dutiny	ιγμόρεια
dutiny	κοιλότητες
mer	μερ
organické	οργανικά
organické	οργανικό
organické	οργανική
organické	βιολογικά
organické	οργανικές
portálu	πύλη
orientačné	ενδεικτικά
orientačné	ενδεικτική
orientačné	ενδεικτικό
orientačné	ενδεικτικές
vyvinuli	εξελίχθηκαν
vyvinuli	εξελίχθηκε
vyvinuli	εξελιχθεί
skutočné	πραγματικός
skutočné	πραγματικό
skutočné	ρεάλ
skutočné	αληθινά
skutočné	γνήσιος
skutočné	γνήσια
skutočné	γνήσιο
skutočné	πραγματική
návštevy	επισκέπτες
návštevy	επισκεφθείτε
návštevy	επίσκεψη
návštevy	επισκέψεις
predstaviť	φαντάσου
predstaviť	φανταστείτε
citát	απόσπασμα
citát	παράθεση
citát	παράθεση
odborov	σωματεία
odborov	συνδικάτα
štvrté	τέταρτος
štvrté	τέταρτο
štvrté	τέταρτη
vzduchom	αερομεταφερόμενη
jonas	jonas
jonas	τζόνας
barry	barry
barry	μπάρυ
barry	μπάρι
equus	equus
licencie	άδειες
licencie	άδεια
licencie	αδεια
licencie	αδειοδότησης
licencie	αδειοδότηση
nákladu	φορτίο
hlboké	βαθύς
hlboké	βαθιά
hlboké	βαθύ
hlboké	βαθειά
odhad	εκτιμώμενη
odhad	εκτιμώμενο
odhad	εκτίμηση
vojnový	πόλεμος
vojnový	πόλεμο
koalície	συνασπισμού
koalície	συνασπισμός
koalície	συνασπισμό
charakteristiky	χαρακτηριστικά
charakteristiky	χαρακτηριστικά
briti	βρετανικό
briti	βρετανός
briti	βρετανική
briti	βρετανοί
briti	βρετανικά
čínske	κινέζος
čínske	κινεζική
čínske	κινέζικο
čínske	κινέζικα
čínske	κινέζοι
mama	μαμά
mama	μαμά
mama	μητέρα
mama	μάνα
mama	μαμά
zisku	κέρδος
zisku	κέρδη
zaznamenané	καταγράφονται
zaznamenané	καταγράφεται
zaznamenané	καταγεγραμμένη
zaznamenané	καταγράφηκε
zaznamenané	σημειώθηκε
zaznamenané	σημείωσε
prepustený	κυκλοφόρησε
prepustený	απελευθερώνεται
prepustený	εξιτήριο
venuša	αφροδίτη
väzení	φυλακή
väzení	φυλακές
centrálne	κεντρικό
centrálne	κεντρική
centrálne	κεντρικός
centrálne	central
porážku	ήττα
budúci	επόμενος
budúci	επόμενη
budúci	επόμενο
harvard	χάρβαρντ
harvard	harvard
olympic	ολυμπιακή
olympic	ολυμπιακός
olympic	ολυμπιακό
nepriateľov	εχθροί
nepriateľov	εχθρούς
geometria	γεωμετρία
reprezentácia	αντιπροσώπευση
reprezentácia	εκπροσώπηση
reprezentácia	αναπαράσταση
priatelia	φίλους
priatelia	φίλες
priatelia	friends
priatelia	φίλοι
priatelia	φιλοι
verše	στίχοι
verše	στίχους
socialistická	σοσιαλιστής
socialistická	σοσιαλιστικό
socialistická	σοσιαλιστική
socialistická	σοσιαλιστικής
prince	πρίγκηπας
prince	πρίγκιπας
prince	πρίγκιπα
prince	πρινς
prince	prince
vrtuľníky	ελικόπτερα
titan	τιτάνα
cook	μάγειρα
cook	μαγείρισσα
cook	μάγειρας
cook	κουκ
cook	μαγείρεμα
diely	μέρη
diely	τεμάχια
diely	περικοπές
diely	κοψίματα
charlotte	charlotte
charlotte	σαρλότ
charlotte	σάρλοτ
počuť	ακούσω
chemicky	χημικώς
matthew	μάθιου
emanuel	εμάνουελ
oskar	όσκαρ
oskar	οσκαρ
oskar	όσκαρ
oskar	oscar
oskar	οσκαρ
predstavenie	επίδοση
predstavenie	επιδόσεων
predstavenie	επιδόσεις
predstavenie	απόδοση
predstavenie	παράσταση
predstavenie	εμφάνιση
predstavenie	show
predstavenie	δείξω
predstavenie	παράσταση
vraždy	ανθρωποκτονίες
vraždy	ανθρωποκτονία
vraždy	ανθρωποκτονιών
vraždy	δολοφονία
vraždy	φόνος
vraždy	φόνο
vraždy	φόνοι
vraždy	φόνους
vraždy	δολοφονίες
podvozok	σασί
podvozok	φορείο
zavedená	εισήχθη
zavedená	εισήγαγε
zavedená	καθιερώθηκε
ensign	σημαιοφόρος
lisa	λίζα
lisa	λίσα
lisa	lisa
vybrať	διάλεξε
vybrať	διαλέξτε
vybrať	επιλογή
vybrať	επιλέξτε
vybrať	επιλογή
vybrať	επιλέξτε
činiteľ	παράγοντας
činiteľ	παράγοντα
činiteľ	παράγων
činiteľ	συντελεστής
premenné	μεταβλητό
premenné	μεταβλητή
premenné	μεταβλητές
fred	φρεντ
fred	fred
adrian	άντριαν
štandardy	πρότυπα
planéte	πλανήτης
planéte	πλανήτη
čisté	καθαρή
čisté	δίχτυ
čisté	καθαρά
čisté	net
čisté	καθαρό
čisté	καθαρή
čisté	αγνή
čisté	αγνό
čisté	καθαρή
čisté	καθαρό
čisté	καθαρά
čisté	καθαρός
čisté	καθαροί
ukončený	τερματιστεί
ukončený	τερματίστηκε
súbežne	ταυτόχρονα
súbežne	ταυτοχρόνως
súbežne	παράλληλη
súbežne	παράλληλο
súbežne	παράλληλα
súbežne	παράλληλες
tvrdenia	απαιτήσεις
tvrdenia	αξιώσεις
tvrdenia	ισχυρισμοί
tvrdenia	ισχυρισμούς
tvrdenia	ισχυρισμοί
tvrdenia	επιχειρήματα
tvrdenia	επιχειρηματολογία
alois	alois
ručne	χειροποίητο
ručne	χειροποίητα
ručne	χειροκίνητα
súkromný	ιδιωτικά
súkromný	ιδιωτική
súkromný	ιδιωτικό
súkromný	ιδιωτικός
scaleminor	scaleminor
plody	καρποί
plody	καρπός
plody	φρούτο
plody	φρούτα
plody	καρποί
plody	φρούτα
fórum	φόρουμ
fórum	forum
fórum	φόρουμ
pestovanie	μεγαλώνει
pestovanie	αυξανόμενη
pestovanie	φύτευση
pestovanie	φύτευσης
pestovanie	καλλιέργεια
relácia	συνεδρία
cooper	cooper
cooper	κούπερ
nahradená	αντικαταστάθηκε
nahradená	αντικαθίσταται
nahradená	αντικατέστησε
nahradená	αντικαθίστανται
logiky	λογική
pohyby	κινήσεις
pohyby	κινήματα
pohyby	κινήσεις
psychológ	ψυχολόγος
slávnosti	φεστιβάλ
slávnosti	πανηγύρι
terminológia	ορολογία
bytosti	όντα
bytosti	πλάσματα
samice	θηλυκά
samice	γυναίκα
samice	θηλυκό
súradnice	συντεταγμένες
senátu	γερουσία
senátu	σύγκλητος
grafický	γραφικό
grafický	γραφικός
grafický	γραφικό
grafický	γραφικά
plukovník	συνταγματάρχη
plukovník	συνταγματάρχης
michelangelo	μικελάντζελο
potomkov	απόγονοι
potomkov	απόγονος
potomkov	απογόνους
potomkov	απόγονοι
melbourne	μελβούρνη
korunu	κορώνα
korunu	στέμμα
korunu	κράουν
korunu	κορόνα
agent	πράκτορας
agent	πράκτορα
tém	θεματα
tém	θέματα
kapitola	κεφάλαιο
železo	σίδηρος
železo	σίδηρο
železo	σιδήρου
železo	σίδερο
spisy	γραφές
spisy	γραπτά
podvozku	φορείο
labe	έλβα
konečný	τελικός
konečný	τελικό
konečný	τελικο
konečný	τελική
efektívne	αποτελεσματική
efektívne	αποτελεσματικό
efektívne	αποδοτικό
efektívne	αποδοτική
efektívne	αποτελεσματική
efektívne	αποτελεσματικός
efektívne	αποτελεσματικό
efektívne	αποτελεσματικά
najnovšie	πρόσφατα
najnovšie	πρόσφατο
najnovšie	πρόσφατη
najnovšie	πρόσφατες
najnovšie	νεότερο
kaplnke	τσάπελ
kaplnke	παρεκκλήσι
kaplnke	εκκλησάκι
sasko	σαξονία
sasko	sachsen
modra	μπλέ
modra	μπλε
modra	γαλάζιο
jadrom	πυρήνας
jadrom	πυρήνα
papiera	χαρτί
platňa	πιάτο
spol	συνεργάτες
hlasovať	ψηφοφορία
hlasovať	ψήφος
hlasovať	ψηφίστε
hlasovať	ψηφοφορία
liverpool	λίβερπουλ
opravy	διορθώσεις
opravy	επισκευή
opravy	επισκευές
opravy	επιδιορθώσεις
opravy	διορθώσεις
opravy	επιδιόρθωση
opravy	επισκευή
opravy	επισκευές
dia	dia
mačky	γάτες
trestné	κακοποιός
trestné	εγκληματική
trestné	εγκληματίας
trestné	ποινικό
brigády	ταξιαρχίες
brigády	ταξιαρχία
teológia	θεολογία
varšave	βαρσοβία
varšave	βαρσοβίας
ľudský	ανθρώπινα
ľudský	ανθρώπινη
ľudský	άνθρωπος
ľudský	ανθρώπινο
ľudský	ανθρωπίνων
ľudský	ανθρώπινος
potrieb	χρειαζεται
potrieb	χρειάζεται
potrieb	ανάγκες
útek	διαφυγής
útek	διαφυγή
útek	απόδραση
zaťaženie	φόρτωση
zaťaženie	φορτίο
zaťaženie	φορτία
zaťaženie	φόρτωση
zaťaženie	φόρτωσης
tal	ταλ
sarah	σάρα
venované	αφοσιωμένος
venované	αφοσιωμένη
venované	αφιερωμένο
československo	τσεχοσλοβακία
spolupracovať	συνεργαστείτε
spolupracovať	συνεργάζονται
spolupracovať	συνεργαστείτε
vyhlásenia	καταθέσεις
vyhlásenia	δηλώσεις
vyhlásenia	δηλώσεις
vyhlásenia	ανακοινώσεις
sebastian	σεμπάστιαν
sebastian	σεμπαστιάν
klaus	κλάους
klaus	klaus
dôsledky	επιπτώσεις
dôsledky	συνέπειες
dôsledky	επιπτώσεις
dôsledky	συνέπειες
váhy	κλίμακες
váhy	ζυγό
váhy	ζυγός
váhy	βάρη
zámer	πρόθεσή
zámer	πρόθεση
zámer	πρόθεση
hladina	επίπεδο
hladina	στάθμη
hladina	level
čreva	έντερο
čreva	εντέρου
iniciatívy	πρωτοβουλίες
iniciatívy	πρωτοβουλία
symbolov	σύμβολα
mons	mons
empire	αυτοκρατορία
empire	empire
empire	εμπάιρ
vietname	βιετνάμ
piatok	παρασκευη
piatok	παρασκευή
tvarov	σχήματα
tvarov	σχημάτων
štúdiá	στούντιο
používateľ	χρήστη
používateľ	χρήστης
made	φτιαγμένο
made	φτιαγμένα
made	φτιαγμένη
made	έκανε
etapy	στάδια
etapy	φάσεις
pristál	landed
pristál	προσγειώθηκε
rozširuje	εκτείνεται
rozširuje	διαστέλλεται
osád	οικισμούς
žltý	κίτρινα
žltý	κίτρινος
žltý	κίτρινη
žltý	κίτρινο
abd	abd
odmietli	αρνήθηκε
odmietli	απορρίφθηκε
novšie	νεότερη
novšie	νεότερο
novšie	νεότερα
jamie	jamie
jamie	τζέιμι
náčelník	αρχηγός
náčelník	αρχηγέ
sociálny	κοινωνικά
sociálny	κοινωνικές
sociálny	κοινωνικό
sociálny	κοινωνικη
sociálny	κοινωνική
porto	porto
porto	πόρτο
rozdielne	διαφορετικός
rozdielne	διαφορετικά
rozdielne	διαφορετικοί
rozdielne	διαφορετική
rozdielne	διαφορετικό
rozdielne	αποκλίνουσες
deutsche	deutsche
adresu	διεύθυνση
rumunský	ρουμανικό
rumunský	ρουμανική
rumunský	ρουμάνος
rumunský	ρουμάνοι
lebky	κρανία
lebky	κρανίο
úseky	τμήματα
úseky	ενότητες
priemyselná	βιομηχανική
priemyselná	βιομηχανικό
priemyselná	βιομηχανικός
uhlie	κάρβουνο
uhlie	άνθρακας
uhlie	άνθρακα
uhlie	κάρβουνο
uhlie	κάρβουνα
abeceda	αλφάβητο
komédie	κωμωδία
komédie	κωμωδίες
kopa	στοίβα
kopa	σωρός
duchovné	πνευματικά
duchovné	πνευματική
duchovné	πνευματικός
duchovné	πνευματικό
extra	έξτρα
extra	extra
vzdať	παράδοση
snahu	προσπάθεια
snahu	προσπαθεια
nárok	αξίωση
nárok	διεκδίκηση
nárok	κατοχύρωση
nárok	ισχυρισμός
chýb	σφάλματα
chýb	λάθη
chýb	σφάλματα
chýb	λάθη
chýb	σφάλματα
chýb	ζωύφια
chýb	ζουζούνια
chýb	έντομα
chýb	μπαγκς
medi	χαλκό
medi	χαλκού
medi	χαλκός
pokryté	καλύπτεται
pokryté	καλυμμένοι
pokryté	καλύπτονται
pokryté	καλυμμένη
pokryté	καλυμμένο
poskytnúť	παρέχει
zavedený	εισήχθη
zavedený	εισήγαγε
zavedený	καθιερώθηκε
jednotlivcov	άτομα
archeológ	αρχαιολόγος
archeológ	αρχαιολόγος
junior	τζούνιορ
junior	junior
životy	ζωές
životy	ζει
frekvencie	συχνότητες
frekvencie	συχνότητα
autobus	λεωφορείο
výrobcu	παραγωγός
výrobcu	κατασκευαστής
výrobcu	κατασκευαστή
výrobcu	παραγωγός
tisícročia	χιλιετία
prednášky	διαλέξεις
prednášky	κήρυγμα
prednášky	διάλεξη
ulrich	ούλριχ
akademický	ακαδημαϊκή
akademický	ακαδημαϊκά
akademický	ακαδημαϊκό
návrhov	προτάσεις
praktické	πρακτικά
praktické	πρακτική
praktické	πρακτικός
praktické	πρακτικό
počasie	καιρός
nominácia	υποψηφιότητα
nominácia	διορισμός
trio	τρίο
skúsenosť	εμπειρία
skúsenosť	πείρα
najmladší	νεότερος
sklo	γυάλινο
sklo	γυάλινη
sklo	ποτήρι
sklo	γυαλί
sklo	γυαλιά
preložené	μεταφραστεί
disciplíne	πειθαρχία
wwe	wwe
elektrických	ηλεκτρικά
elektrických	ηλεκτρικές
elektrických	ηλεκτρική
elektrických	ηλεκτρικός
elektrických	ηλεκτρικά
elektrických	ηλεκτρικό
elektrických	ηλεκτρική
elektrických	ηλεκτρικός
adresy	διευθύνσεις
family	οικογενεια
family	οικογένεια
operáciu	χειρουργική
operáciu	εγχείρηση
operáciu	χειρουργείο
vzdialený	μακρινές
vzdialený	απόμακρη
vzdialený	απόμακρος
vzdialený	μακρινή
vzdialený	μακρινό
vzdialený	απομακρυσμένο
vzdialený	απομακρυσμένα
vzdialený	απομακρυσμένη
naučil	έμαθε
naučil	μάθει
naučil	δίδασκε
naučil	δίδαξε
porasty	φυτείες
dmitrij	ντιμίτρι
pohlavia	φύλο
pohlavia	γένος
pohlavia	φύλα
pohlavia	σεξ
pohlavia	sex
pohlavia	φύλο
wars	πολέμους
wars	πόλεμοι
dallas	ντάλλας
dallas	ντάλας
karibiku	καραϊβικής
karibiku	καραϊβική
broughton	broughton
timeaxis	timeaxis
zrýchlenie	επιτάχυνση
core	πυρήνας
core	πυρήνα
paralelne	παράλληλη
paralelne	παράλληλο
paralelne	παράλληλα
paralelne	παράλληλες
challenger	τσάλεντζερ
bytov	bytes
bytov	διαμερίσματα
centrálny	κεντρικό
centrálny	κεντρική
centrálny	κεντρικός
centrálny	central
rodičmi	γονείς
eddie	eddie
eddie	έντι
eddie	έντυ
ross	ρος
ross	ross
média	media
média	μμε
fritz	φριτς
fritz	φριτζ
afganistane	αφγανιστάν
prístupné	προσβάσιμο
prístupné	προσβάσιμη
prístupné	προσιτή
prístupné	προσιτό
rádia	ασύρματος
rádia	ασύρματο
rádia	ραδιόφωνο
rádia	ράδιο
rádia	ραδιο
afrických	αφρικής
afrických	αφρικανική
terminál	τερματικό
konstantin	κονσταντίν
výstupy	εκροές
armstrong	άρμστρονγκ
lekára	γιατρός
lekára	ιατρός
lekára	δόκτωρ
lekára	γιατρός
lekára	γιατρό
lekára	γιατρέ
rukopis	χειρόγραφο
rukopis	χειρόγραφα
shoemaker	τσαγκάρης
projektom	σχέδια
projektom	έργα
projektom	εργα
prózy	πρόζα
margaret	μαργαρίτα
margaret	μάργκαρετ
pridáva	προσθήκες
pridáva	προσθέτει
nebezpečné	επικίνδυνος
nebezpečné	επικίνδυνο
nebezpečné	επικίνδυνες
nebezpečné	επικίνδυνα
nebezpečné	επικίνδυνη
nebezpečné	επικίνδυνο
nebezpečné	επικίνδυνων
nebezpečné	επικίνδυνος
nebezpečné	επικίνδυνα
pristáli	landed
pristáli	προσγειώθηκε
škótsku	σκοτία
škótsku	σκωτίας
škótsku	σκωτία
škótsku	ουίσκι
berkeley	μπέρκλεϊ
outline	περίγραμμα
venovaná	αφοσιωμένος
venovaná	αφοσιωμένη
venovaná	αφοσιωμένο
venovaná	αφιερωμένη
venovaná	αφιερωμένο
bočné	πλάγια
bočné	πλευρική
platnosť	ισχύει
platnosť	έγκυρο
platnosť	έγκυρη
platnosť	κύρος
platnosť	εγκυρότητα
platnosť	ισχύς
výchovu	ανατροφή
child	τέκνο
child	παιδι
child	παιδί
zostať	μένοντας
zostať	μείνετε
zostať	μείνε
zostať	παραμονή
polo	πόλο
sporné	αμφισβητήσιμη
sporné	επίμαχα
sporné	αμφισβήτησε
sporné	αμφισβητήθηκε
neba	παράδεισος
neba	παράδεισο
baktérie	βακτήρια
baktérie	βακτήριο
baktérie	μικρόβια
main	κύρια
grafika	γραφικά
vodcov	αρχηγοί
vodcov	ηγέτες
estónsko	εσθονία
sodný	νάτριο
sodný	νατρίου
schopností	ικανότητες
medzinárodne	διεθνώς
médium	media
médium	μμε
médium	μέντιουμ
médium	ψυχική
médium	ψυχικό
médium	μέτρια
médium	μεσαία
médium	μεσαίο
médium	μέσο
vyhláška	διάταξη
vyhláška	διάταγμα
vyhláška	διάταγμα
vyhláška	διάταγμα
úteku	δραπέτης
úteku	φυγάς
geometrie	γεωμετρία
zachránil	αποθηκευμένα
zachránil	αποθηκεύτηκε
zachránil	σώθηκε
zachránil	έσωσε
zachránil	αποθηκευμένες
pravdepodobnosť	πιθανότητες
pravdepodobnosť	πιθανότητες
pravdepodobnosť	πιθανότητας
pravdepodobnosť	πιθανότητα
guide	οδηγό
guide	οδηγός
airbus	airbus
komentár	comment
komentár	σχόλιο
komentár	σχολια
komentár	σχόλια
komentár	παρατηρήσεις
neskoro	αργά
dokázať	αποδείξει
dokázať	αποδείξω
dokázať	απόδειξε
dokázať	απέδειξε
vybraný	εκλεκτός
vybraný	επιλέξει
vybraný	επιλέχθηκε
vybraný	επιλεγμένη
vybraný	επιλεγμένα
vybraný	επιλεγμένο
vybraný	επιλεγμένες
vybraný	επιλέχθηκε
zvon	κουδούνι
zvon	καμπάνα
zvon	μπελ
zvon	καμπανάκι
zvon	bell
kult	λατρεία
kult	αίρεση
usb	usb
veží	πύργοι
veží	πύργους
tajne	κρυφά
dodáva	παραδίδει
dodáva	προσθήκες
dodáva	προσθέτει
dodáva	παρεχόμενη
kryštály	κρυστάλλους
kryštály	κρύσταλλοι
unit	μονάδα
lightgrey	lightgrey
riadil	οδηγούσε
príbuzných	συγγενείς
polomer	ακτίνα
nákladné	δαπανηρή
nákladné	δαπανηρό
nechce	θελει
nechce	θέλει
užitočné	χρήσιμο
užitočné	χρήσιμες
užitočné	χρήσιμα
užitočné	χρήσιμη
užitočné	χρήσιμος
užitočné	χρήσιμο
užitočné	χρήσιμη
športovcov	αθλητές
dos	dos
terénu	έδαφος
plemena	ράτσα
otázok	ερωτήματα
otázok	ερωτήσεις
otázok	απορίες
kantónov	καντόνια
širokú	ευρεία
širokú	πλατύ
širokú	ευρύ
širokú	πλατιά
buffalo	βουβάλι
buffalo	βουβάλια
buffalo	μπάφαλο
pripravený	έτοιμο
pripravený	έτοιμη
pripravený	έτοιμος
pripravený	έτοιμοι
chemickej	χημικό
chemickej	χημική
chemickej	χημικά
špecifikácie	προδιαγραφές
obnoviť	επαναφορά
obnoviť	επαναφορά
obnoviť	αποκαταστήσει
obnoviť	ανανέωση
obnoviť	βιογραφικό
ueda	ουέντα
vodiča	οδηγό
vodiča	οδηγός
vajíčka	αβγά
vajíčka	αυγά
zavedené	εισήχθη
zavedené	εισήγαγε
zavedené	καθιερώθηκε
zavedené	εφαρμόστηκε
odborník	ειδικός
odborník	εμπειρογνώμονας
odborník	ειδικός
bordeaux	μπορντώ
bordeaux	μπορντό
sietí	δίχτυα
sietí	δίκτυα
matematické	μαθηματική
matematické	μαθηματικό
magazín	περιοδικό
chápe	κατανοεί
chápe	καταλαβαίνει
hrdinovia	ήρωες
hrdinovia	ηρώων
bloky	μπλοκ
bloky	τετράγωνα
táborov	στρατόπεδα
táborov	κατασκηνώσεις
predkov	πρόγονοι
predkov	προγόνων
predkov	προγόνους
predkov	προγονικό
nikde	πουθενα
nikde	πουθενά
guinea	γουϊνέα
guinea	γουινέας
guinea	γουινέα
ralph	ράλφ
ralph	ραλφ
dáma	κυρά
dáma	κυρία
populárna	δημοφιλή
populárna	δημοφιλείς
populárna	δημοφιλής
populárna	δημοφιλές
drámy	δράμα
pavilón	περίπτερο
hodnotenia	κριτικές
hodnotenia	αξιολογήσεις
hodnotenia	αξιολογήσεις
hodnotenia	αξιολογήσεις
robotník	εργαζόμενος
robotník	εργάτη
robotník	εργάτης
