اتھاہ	diep
اُبھرنا	opkoms
اُبھرنا	blou
ابھک	baie
ابھک	much
ابھک	bemoedig
ابھک	greatly
ابِھلاشا	begeerte
ابِھمان	pride
ابِھمان	trots
ابِھمانی	trots
ابِھمانی	arrogant
ابِھن	hele
ابِھن	voltooi
ابِھن	afgehandel
ابھوگ	useless
ابھی	onmiddelik
ابھی	onmiddellik
ابھی	dadelik
ابھی	nou
ابھی	now
ابھی	tans
ابھی	onmiddelik
ابھی	onmiddellik
ابھی	dadelik
ابِھّیاس	meditasie
ابِھّیاس	practice
ابِھّیاس	praktyk
ابِھّیاس	oefen
ابھید	identiese
ابھید	identies
اپ	self
اُپادھیا	onderwyser
اپار	oneindige
اُپاس	vinnig
اُپاس	vinnige
اُپاس	aanbidding
اُپاس	worship
اُپاسا	honger
اُپاسنا	vinnig
اُپاسنا	vinnige
اُپاسنا	aanbidding
اُپاسنا	homage
اُپاسنا	aanbidding
اُپاسنا	worship
اپاہج	gestremde
اپاہج	geaktiveer
اپاہج	afgeskakel
اُپائے	vermeende
اُپائے	toestel
اُپائے	plan
اپت	belediging
اپت	disgrace
اُپٹنا	oorloop
اپج	wicked
اپج	gemeen
اپج	bedoel
اپج	beteken
اُپج	innovasie
اُپج	uitvinding
اُپج	snoei
اُپج	vervaardig
اُپج	produce
اُپدیش	counsel
اُپدیش	instruksie
اُپدیش	advies
اُپدیش	raad
اُپدیشک	onderwyser
اپرادھ	fault
اپرادھ	breuk
اپرادھ	skuldgevoelens
اپرادھ	skuld
اپرادھ	misdaad
اپرادھی	skuldig
اپرادھی	kriminele
اُپرالا	hoër
اُپرالا	help
اُپرالا	hulp
اُپرالا	ondersteuning
اُپرالا	ondersteun
اُپرالا	steun
اُپرالا	bystand
اُپرالا	boonste
اُپرانا	opkoms
اُپرَوٹا	upstairs
اپریل	april
اپسرا	nimf
اُپکار	verkies
اُپکار	gunste
اُپکاری	filantropiese
اُپکاری	nuttige
اُپکاری	gehelp
اُپکاری	hulpvaardig
اُپکاری	behulpsaam
اُپکاری	nuttig
اُپلانا	float
اُپلانا	dryf
اپمان	disgrace
اپن	myne
اپنا	persoonlik
اپنا	persoonlike
اپنا	ons
اپنا	individuele
اپنا	individu
اپنا	eksklusiewe
اپنا	vennoot
اپنا	maat
اپنا	lewensmaat
اپنا	metgesel
اپنا	myne
اپنا	ours
اپنا	relatief
اپنا	relatiewe
اپنا	eie
اپنا	persoonlik
اپنا	persoonlike
اپنا	vriend
اپنا	ons
اپنا	individuele
اپنا	individu
اپنا	eksklusiewe
اپنا	vennoot
اپنا	maat
اپنا	lewensmaat
اپنا	metgesel
اپنا	myne
اپنا	ours
اپنا	relatief
اپنا	relatiewe
اپنا	eie
اپنا	privaat
اپنائِیت	vriendelikheid
اپنگ	gestremde
اپنگ	geaktiveer
اپنگ	afgeskakel
اپواد	blameer
اُپواس	vinnig
اُپواس	vinnige
اُپواس	rasend
اُپوَن	grove
اُپوَن	tuin
اپیل	appèl
اپیل	appelleer
اپھار	swelling
اپھار	swelsel
اُپھان	skuim
اُپھان	swelling
اُپھان	swelsel
اپھر	swelling
اپھر	swelsel
اپھرا	tevrede
اتا	vader
اتابِک	tutor
اتابِک	onderwyser
اتاپتا	location
اتاپتا	ligging
اتاپتا	trace
اُتار	descent
اُتار	verminder
اُتار	herfs
اُتار	val
اُتار	weier
اُتار	ebb
اُتارا	wharf
اُتارا	kontant
اُتارا	kopieer
اُتارا	bokant
اُتارا	kopiereg
اُتارا	duplikaat
اُتارا	dupliseer
اُتارنا	vertoon
اُتارنا	onthul
اُتارنا	ontlaai
اُتارنا	kopieer
اُتارنا	bokant
اُتارنا	kopiereg
اُتارنا	vertoon
اُتارنا	onthul
اُتارنا	ontlaai
اُتارنا	kopieer
اُتارنا	bokant
اُتارنا	kopiereg
اُتارنا	laer
اُتارنا	kleinletters
اُتارنا	verlaag
اُتارنا	sagter
اُتارنا	elektrisiteit
اُتارُو	bereid
اُتارُو	prepared
اُتاق	kamer
اُتاقا	hoephoep
اُتال	ongeduldig
اتالیق	onderwyser
اتالیق	mentor
اتالیق	instrukteur
اُتاول	onrus
اُتاول	ongeduldig
اُتاول	onrus
اُتاولا	ongeduldig
اِتّباع	volg
اِتّحاد	union
اِتّحاد	unie
اِتّحاد	liga
اِتّحاد	concord
اِتّحاد	verdrag
اِتّحاد	unity
اِتّحادی	ondersteuner
اِتّحادی	ally
اُتراق	kamp
اُتراون	dik
اِتراہٹ	pride
اِتراہٹ	trots
اُترائی	descent
اُترتا	gemeen
اُترتا	bedoel
اُترتا	beteken
اُترتا	afnemende
اُترتا	falling
اُترتا	vallende
اُترنا	verminder
اُترنا	wane
اُترنا	weier
اُترنا	kruis
اُتسَو	geluk
اُتسَو	ecstasy
اُتسَو	wegraping
اِتّصال	kontak
اِتّصال	aanhangsel
اِتّصال	union
اِتّصال	unie
اِتّصال	konneksie
اِتّفاق	concord
اِتّفاق	kans
اِتّفاق	ooreenkoms
اِتّفاق	unity
اِتّفاقی	informele
اِتّفاقی	gemaklike
اِتّفاقیہ	informele
اِتّفاقیہ	gemaklike
اِتقان	uitnemendheid
اِتقان	excellence
اِتقان	perfeksie
اِتّکا	dependence
اِتلاف	decay
اِتلاف	verlies
اِتلاف	vernietiging
اتَم	voltooi
اتَم	afgehandel
اتَم	perfek
اُتّم	eerste
اُتّم	eers
اُتّم	beste
اُتّم	hoogste
اِتمام	aangaan
اِتمام	voltooiïng
اُتُّو	borduurwerk
اِتوار	sondag
اِتہاس	berig
اِتہاس	annals
اِتہاس	geskiedenis
اِتہاس	history
اِتیان	aksie
اِتیان	uitvoering
اِتیان	oppad
اِتیان	gebeur
اتیت	verlede
اتیت	vorige
اتیت	afgelope
اتیت	pilgrim
اُتھلانا	disorder
اُتھلنا	herfs
اُتھلنا	val
اٹ	roes
اٹ	rust
اٹ	stof
اٹاٹوٹ	verskriklik
اٹاٹوٹ	uiters
اٹاٹوٹ	vreeslik
اٹّا	hopie
اٹّا	solder
اٹاری	terrace
اٹاری	aas
اٹاری	solder
اٹال	massa
اٹال	hopie
اٹالا	goedere
اٹالا	verhandeling
اٹالا	meubels
اٹالا	meubelstuk
اُٹپٹانگ	arme
اُٹپٹانگ	absurd
اٹک	belemmering
اٹک	hindernis
اٹکا	opgehou
اٹکا	gestop
اٹکا	gestaak
اٹکائو	ophou
اٹکائو	belemmering
اُٹکّرلَیس	absurd
اٹکل	vermoede
اٹکل	raai
اٹکلنا	raai
اٹکن	skakel
اٹکنا	ophou
اٹکھیل	geseënde
اٹکھیل	lively
اٹکھیل	spelerige
اٹکھیل	speels
اٹل	vas
اٹل	stilstaande
اٹل	vasbeslote
اٹل	vasberade
اٹل	bepaal
اٹل	reggemaak
اٹل	permanente
اٹل	permanent
اٹم	hopie
اٹُوٹ	konstante
اٹُوٹ	aaneenlopende
اٹیرن	storie
اٹیرنا	storie
اٹھ	agt
اٹھ	agtste
اٹھ	reguit
اُٹھا	toeneem
اٹھادینا	awake
اٹھادینا	uitskiet
اٹھالینا	dra
اٹھالینا	carry
اُٹّھا	ingesamel
اٹّھارہ	agtien
اُٹھان	opkoms
اُٹھان	ascension
اُٹھان	ontwikkeling
اُٹھان	growth
اُٹھان	groei
اُٹھان	start
اُٹھان	begin
اُٹھان	bestyging
اُٹھانا	lig
اُٹھانا	steel
اُٹھانا	dra
اُٹھانا	carry
اُٹھانا	beer
اُٹھائو	lig
اُٹھائو	lift
اُٹھتا	opgaande
اُٹھتا	toeneem
اِٹھلانا	gedra
اُٹھنا	opkoms
اُٹھنا	los
اُٹھنا	verlof
اُٹھنا	verlaat
اُٹھنا	onklaar
اُٹھنا	awake
اثاثہ	goedere
اثاثہ	effekte
اثاثہ	rykdom
اثاثہ	eiendom
اِثارت	woede
اِثارت	fury
اِثارت	woede
اِثارت	rage
اِثبات	bevestiging
اِثبات	herkenning
اِثبات	verifikasie
اثر	effek
اثر	invloed
اثر	beïnvloed
اثر	consequence
اثرورسوخ	invloed
اثرورسوخ	beïnvloed
اِثم	sonde
اثمار	fruits
اثمان	pryse
اثنا	tyd
اثنا	tydstip
اثنا	periode
اثنا	tyd
اثنا	tydstip
اثنا	tydens
اثنا	gedurende
اثنا	periode
اثیر	hoë
اثیر	hoog
اِجابت	verleen
اِجابت	grant
اِجابت	goedkeuring
اِجابت	aanvaarding
اِجابت	nakoming
اِجابت	toestemming
اِجارہ	verhuur
اِجارہ	huur
اُجاڑ	bederf
اُجاڑ	wilderness
اُجاڑنا	verwoes
اُجاڑنا	vernietig
اِجازت	los
اِجازت	verlof
اِجازت	verlaat
اِجازت	toelating
اِجازت	toestemming
اِجازت	vryheid
اِجازت	liberty
اِجازت	lisensie
اُجاغ	stoof
اُجاگر	manifes
اُجاگر	manifest
اُجاگر	prominent
اُجاگر	helder
اُجالا	sonskyn
اُجالا	lig
اُجالا	ligte
اُجالا	dawn
اُجالا	daglig
اُجالنا	buff
اُجالنا	pools
اُجالنا	polish
اُجالنا	poolse
اُجالی	lig
اُجالی	ligte
اُجالی	illuminated
اُجالی	helder
اُجالی	helderheid
اجان	onskuldige
اجان	onskuldig
اجان	innocentius
اجان	innocent
اجانِب	aliens
اجانِب	vreemdelinge
اِجبار	constraint
اِجبار	force
اِجبار	forseer
اِجبار	krag
اِجبار	dwing
اجِت	invincible
اِجتبا	seleksie
اِجتماع	ontmoeting
اِجتماع	besigheid
اِجتماع	vergadering
اِجتماع	assemblage
اِجتماعی	collective
اِجتناب	onthouding
اِجتہاد	innovasie
اجداد	voorvaders
اُجڈ	vulgêr
اجَر	immortal
اجَر	ewige
اجر	fee
اجر	fooi
اجر	hire
اجر	pay
اجر	betaal
اجر	beloning
اجر	vergoeding
اجر	vergoeding
اِجرا	verleen
اِجرا	grant
اِجرا	aksie
اِجرا	uitvoering
اِجرا	sirkulasie
اِجرا	vloei
اِجرا	flow
اِجرا	kwessie
اجرام	bodies
اُجرت	fee
اُجرت	fooi
اُجرت	beloning
اُجرت	vergoeding
اجزا	elemente
اجزا	dele
اجزا	parte
اجزا	portions
اجزا	seksies
اجزا	afdelings
اجزا	artikels
اِجزال	verhoog
اِجزال	vermeerder
اِجزال	hupstoot
اِجزال	bevorder
اِجزال	growth
اِجزال	groei
اجساد	stowwe
اجل	lot
اجل	fate
اجل	dood
اجل	destiny
اُجلا	suiwer
اُجلا	skoon
اُجلا	slank
اُجلا	suiwer
اُجلا	white
اُجلا	skoon
اُجلا	slank
اجلاف	base
اجلاف	onderliggende
اجلاف	basis
اِجلال	honour
اِجلال	gestand
اِجلال	eer
اِجلال	glorie
اِجلال	glory
اُجلانا	pools
اُجلانا	polish
اُجلانا	poolse
اجلیٰ	helderder
اجم	woud
اجم	bos
اِجماع	consensus
اِجماع	saamstel
اِجماع	gemeente
اِجماع	ontmoeting
اِجماع	besigheid
اِجماع	vergadering
اِجماع	raad
اِجمال	abstrakte
اِجمال	opsomming
اِجمال	synopsis
اِجمالاً	summier
اجناس	goedere
اجناس	spesie
اجناس	spesies
اجناس	kinds
اجنبی	buitelander
اجنبی	onbekend
اجنبی	vreemd
اجنبی	alien
اجنبی	uitheemse
اجنبی	buitelandse
اجنبی	foreign
اجنبی	buitelander
اجنبی	vreemdeling
اجنبی	onbekend
اجنبی	nuut
اجنبی	nuwe
اجنبی	vreemd
اجوِبہ	antwoorde
اجوِبہ	antwoorde
اجوت	dim
اجوت	donker
اُجُورہ	vergoeding
اُجُورہ	beloning
اُجُورہ	huur
اجوَف	hol
اجوگ	enkel
اِجہاز	aborsie
اُجیالا	lig
اُجیالا	ligte
اجیت	invincible
اجیجی	bangladesj
اجیَد	beste
اجیر	dienaar
اجیر	dienaar
اجیر	werknemer
اجیرن	moeilik
اُچاٹ	hartseer
اُچاٹ	verveeld
اُچاٹ	depressief
اُچاٹ	ontevrede
اُچاٹ	versteur
اُچاٹی	verveeldheid
اچارج	onderwyser
اچارج	mentor
اُچارن	uitspraak
اُچارن	accent
اُچارن	aksent
اچاری	onderwyser
اُچان	hoogte
اُچان	vergelyking
اُچانا	lig
اچانک	onverwags
اچانک	suddenly
اچانک	incidental
اچپل	spelerige
اچپل	speels
اچُت	laf
اچُت	silly
اچُت	dom
اُچِت	gepaste
اُچِت	pas
اُچِت	regterkant
اُچِت	regs
اُچٹتا	lig
اُچٹتا	ligte
اُچٹتا	verveeld
اچرج	uncommon
اچرج	vreemd
اچرج	miracle
اُچک	hoogte
اُچک	vergelyking
اُچک	spring
اُچکنا	gryp
اُچکنا	grab
اچَل	vas
اچَل	steady
اچَل	reggemaak
اُچلنا	afsonderlike
اُچلنا	aparte
اچنبھا	marvel
اچنبھا	verrassing
اچُوک	akkurate
اچُوک	akkuraat
اچُوک	seker
اچُوک	sekere
اچّھا	suiwer
اچّھا	gesonde
اچّھا	korrek
اچّھا	noble
اچّھا	edel
اچّھا	lekker
اچّھا	oulike
اچّھا	nice
اچّھا	goed
اچّھا	wel
اچّھا	sowel
اچّھا	toegestaan
اچّھا	klank
اچّھا	ja
اچّھا	aangenaam
اچّھا	aangenaam
اچّھا	uitstekend
اچّھا	uitstekende
اچّھا	excellent
اچّھا	genuine
اچّھا	goeie
اچّھا	goed
اچّھا	lieflik
اِچّھا	begeerte
اِچّھا	inclination
اِچّھا	voorneme
اِچّھا	bedoeling
اِچّھا	verwesenlik
اِچّھا	wens
اُچھال	spring
اُچھال	dryfvermoë
اُچھالنا	bevorder
اُچھالنا	promoveer
اُچھالنا	bemark
اچّھر	woord
اچّھر	lettergreep
اچّھر	brief
اچّھر	letter
اُچھلنا	opkoms
اُچھلنا	gebind
اچھوانا	skoon
اچھوبھ	steeds
اچھوبھ	nogsteeds
اچھوبھ	stilstaande
اچُھوتا	skaars
اچُھوتا	skoon
اچُھوتا	roman
اچُھوتا	nuut
اچُھوتا	nuwe
اچُھوتا	unieke
اچُھوتا	uniek
اچُھوتی	nun
اچھّی	goeie
اچھّی	goed
اچھّی	korrek
اچھّی	liefling
اِچھیا	begeerte
اِچھیا	wens
احاد	ene
احاد	eenhede
احادیث	tradisies
اِحاطہ	omliggende
اِحاطہ	perseel
احب	vriend
اَحباب	vriende
احبال	stringe
احبال	drade
اِحتباس	lyke
اِحتجاب	veil
اِحتجاب	skerm
اِحتجاج	betoging
اِحتجاج	protes
اِحتجاج	beswaar
اِحتجاجی	agitator
اِحتراز	onthouding
اِحتراق	skryfwerk
اِحتراق	verbranding
اِحترام	respek
اِحتساب	uitwerk
اِحتساب	verbod
اِحتساس	voel
اِحتصار	obsessie
اِحتفال	ontmoeting
اِحتفال	besigheid
اِحتفال	vergadering
اِحتفال	gemeente
اِحتکاک	wrywing
اِحتمال	twyfel
اِحتمال	waarskynlikheid
اِحتمال	onsekerheid
اِحتمالی	geneë
اِحتیاج	wil
اِحتیاج	nood
اِحتیاج	benodig
اِحتیاط	omgee
اِحتیال	craft
اِحتیال	deception
احجار	klippe
احد	individuele
احد	individu
احد	unieke
احد	uniek
احد	een
احدی	lui
احدی	onaktief
احدی	luier
احدی	ledig
احدِیّت	unity
اِحراز	collecting
اِحراق	skryfwerk
اِحراق	heat
اِحراق	hitte
احزاب	partytjies
احزاب	partye
اِحساس	voel
اِحساس	sensibility
اِحساس	perception
اِحساسیت	empiricism
اِحسان	verkies
اِحسان	gunste
احسن	beste
احسن	uitstekend
احسن	uitstekende
احسن	excellent
احشا	hart
احشا	hartjie
احشا	longe
احشا	lewer
احشام	volgelinge
اِحصا	counting
اِحصا	tel
اِحصا	calculus
اِحضار	voorkoms
اِحضار	bywoning
اِحظاظ	plesier
اِحفاظ	sekuriteit
اِحفاظ	presisie
اِحفاظ	beskerming
احقاب	ouderdomme
احقر	laagste
احقر	laagte
اِحکاک	wrywing
احکام	opdragte
احکام	orders
احکام	bestellings
احلام	drome
احلم	geduldig
احلم	patient
احمال	laai
احمال	las
احمر	rooi
احمق	idiot
احمق	dom
احمق	idiot
احمق	gek
احوال	staat
احوال	deelstaat
احوال	provinsie
احوال	toestand
احوال	spasie
احوال	voorwaarde
احوال	kondisie
احوال	voorwaardes
احوال	toestande
احوال	omstandighede
احوال	gebeure
احوال	aktiwiteite
احوال	geleenthede
احوال	insidente
احوج	armer
احوج	onvermydelike
احوَل	loer
احیا	families
احیا	gesinne
احیا	clans
احیا	tribes
اِحیا	herlewing
اِحیا	revival
اِحیا	resurrection
احیان	oomblikke
احیان	tye
احیان	kere
احیاناً	soms
اخ	broer
اخ	niggie
اخ	neef
اخّاذ	intelligente
اخبار	gebeure
اخبار	aktiwiteite
اخبار	geleenthede
اخبار	koerant
اخبار	tradisies
اخبار	nuus
اخبار	staatskoerant
اخبار	gazette
اخبار	gebeure
اخبار	aktiwiteite
اخبار	geleenthede
اخبار	koerant
اخبار	tradisies
اخبار	nuus
اخبارباِلغیب	wiggelary
اخپخ	intelligensie
اخپخ	wysheid
اخپخ	verdraagsaamheid
اخپخ	begrip
اُخت	suster
اِختبار	toets
اِختبار	eksperimenteer
اِختبار	eksperiment
اِختبار	analise
اِختباری	eksperimentele
اِختباری	eksperimenteel
اِختباری	analitiese
اِختباریت	empiricism
اِختباط	paranoia
اِختتام	einde
اِختتام	beëindig
اِختتام	einde
اِختتام	voltooi
اِختتام	voltooiïng
اِختتام	toemaak
اِختتام	sluit
اِختتامی	last
اِختتامی	laas
اِختتامی	laaste
اِختتامی	jongste
اختر	ster
اختر	star
اِختراع	uitvinding
اِختراع	innovasie
اِختراع	lie
اِختراع	jok
اِختراع	leuen
اِختراع	skepping
اِختراعی	innoverend
اِختراعی	innoverende
اِختزال	snelskrif
اِختصار	afkorting
اِختصار	opsomming
اِختصار	synopsis
اِختصاریہ	voortgaan
اِختصاریہ	hervat
اِختصاریہ	opsomming
اِختصاص	characteristic
اِختصاصی	specialized
اِختلاط	mengsel
اِختلاط	vriendskap
اِختلاف	verskil
اِختلاف	opposisie
اِختلافی	omstrede
اِختلافی	betwis
اِختلال	disorder
اِختلال	verwarring
اِختلال	deficiency
اِختیار	krag
اِختیار	elektrisiteit
اِختیار	verkiesing
اِختیار	sal
اِختیار	jurisdiksie
اِختیار	kontrole
اِختیار	beheer
اِختیار	opsie
اِختیار	gesag
اِختیار	owerheid
اِختیاری	opsioneel
اِختیاری	opsionele
اخذ	vat
اخذ	vat
اِخراج	ontruiming
اِخراج	ontslag
اِخراج	ontlaai
اخروٹ	okkerneut
اخضر	groen
اِخفا	wegkruip
اِخفا	wegkruip
اِخلاص	liefde
اِخلاص	teerheid
اخلاف	afstammelinge
اخلاق	etiek
اخلاق	maniere
اخلاق	morals
اخلاق	afhandeling
اخلاقیات	etiek
اخلق	ouer
اخو	broer
اخوات	susters
اِخوان	brethren
اِخوان	vriende
اِخوان	broers
اُخُوّت	broederskap
اخُوند	meester
اخُوند	mentor
اخُوند	leier
اخُوند	onderwyser
اخُوند	aaneenlopende
اخُوند	liniaal
اخُوند	tutor
اخی	broer
اخی	vriend
اخیر	einde
اخیر	beëindig
اخیر	last
اخیر	laas
اخیر	laaste
اخیر	jongste
اخیر	einde
اخیر	beëindig
اخیر	finale
اخیر	finaal
ادا	betaling
ادات	instruments
ادات	instrumente
ادات	gereedskap
ادات	artikels
ادات	alfabet
ادات	briewe
ادات	letters
اُدار	vrygewigheid
اُدار	gentle
اُدار	noble
اُدار	edel
اِداریہ	redaksie
اُداس	hartseer
اُداس	depressief
اُداسا	hartseer
اُداسی	hartseer
اداکار	akteur
اداکارہ	aktrise
اداکارہ	actress
اداَنت	skuilname
اداَنت	altyd
ادانی	gemeen
ادانی	bedoel
ادانی	beteken
ادائیگی	betaling
ادب	letterkunde
ادب	literatuur
ادب	betrekking
ادب	opsig
ادب	respek
ادب	letterkunde
ادب	literatuur
ادب	betrekking
ادب	opsig
ادب	respek
اِدبار	armoede
اِدبار	oorwin
ادبُد	vreemd
ادبدا	opsetlik
ادبیّات	letterkunde
ادبیّات	literatuur
اِدخال	inskrywing
اِدرار	flux
اِدرار	vloei
اِدرار	flow
اِدراک	bewussyn
اِدراک	consciousness
اِدراک	wysheid
اِدراک	verdraagsaamheid
اِدراک	begrip
اِدراک	perception
ادرک	gemmer
اِدّعا	versoek
اِدّعا	eis
اِدّعا	versoek
ادعیہ	prayers
اِدغام	samesmelting
اِدغام	integrasie
ادق	complicated
ادق	ingewikkeld
ادقچہ	wrapper
اَدل	prominent
اِدلال	debate
اِدلال	debat
اِدلال	logika
اِدلال	pride
اِدلال	trots
اِدلال	advies
اِدلال	raad
اِدلال	toesig
اِدلال	redenasie
اِدلال	leiding
ادِلّہ	argumente
اُدم	arbeid
اُدم	labour
اُدم	poging
اُدم	moeite
اَدما	vel
اُدماتا	arrogant
ادنیٰ	naby
ادنیٰ	gemeen
ادنیٰ	bedoel
ادنیٰ	beteken
ادنیٰ	nader
ادنیٰ	naby
ادنیٰ	gemeen
ادنیٰ	bedoel
ادنیٰ	beteken
ادنیٰ	onbeduidend
ادنیٰ	nader
ادنیٰ	small
ادنیٰ	klein
ادنیٰ	petty
ادنیٰ	bietjie
ادوات	instruments
ادوات	instrumente
ادوات	gereedskap
ادوات	wapens
ادوات	bewapen
ادوار	ouderdomme
ادوار	tydperke
ادوار	periods
ادوار	periodes
ادویات	medisyne
ادویات	drugs
ادویات	dwelms
ادوَیت	unieke
ادوَیت	uniek
ادوِیہ	medisyne
ادوِیہ	drugs
ادوِیہ	dwelms
اُدے	voorkoms
اُدے	oos
ادیان	gelowe
ادیب	skrywer
ادیب	outeur
ادیب	skrywer
ادیب	outeur
ادیب	skrywer
ادیب	outeur
ادیم	oppervlak
ادھ	half
اُدھار	lening
اُدھار	skuld
اُدھار	krediet
ادھارمِک	wicked
اُدھارُو	bereid
اُدھارُو	prepared
اُدھارُو	herlaai
اُدھارُو	gereed
ادھر	onderskeidelike
ادھر	hang
ادھر	lip
ادھر	afgestel
ادھر	uitgesit
ادھر	afsonderlike
ادھر	aparte
اِدھر	naby
اِدھر	hier
اِدھر	nou
اِدھر	now
اِدھر	tans
اِدھر	tydens
اِدھر	gedurende
اِدھر	toemaak
اِدھر	sluit
اُدھر	ver
اُدھر	verby
اُدھر	regoor
اُدھر	oorkant
اُدھر	weg
اُدھر	onmiddelik
اُدھر	onmiddellik
اُدھر	dadelik
اُدھر	oombliklik
ادھرم	verkeerd
ادھرم	verkeerde
ادھرم	onregverdig
ادھرم	immorality
ادِھک	buitensporig
ادِھک	much
ادِھک	nog
ادِھک	meer
ادِھک	addisionele
ادِھک	bykomende
ادِھکار	voorreg
ادِھکار	krag
ادِھکار	elektrisiteit
ادِھکار	deugsame
ادِھکار	gesag
ادِھکار	owerheid
ادِھکار	regterkant
ادِھکار	regs
ادِھکاری	gesag
ادِھکاری	owerheid
ادِھکاری	eienaarskap
ادھم	lae
ادھم	gemeen
ادھم	bedoel
ادھم	beteken
ادھم	base
ادھم	onderliggende
ادھم	basis
اُدھم	bekendheid
اُدھم	fame
اُدھم	publisiteit
ادّھم	tussen
ادُھورا	half
ادُھورا	onvolledige
ادُھورا	onvoltooid
ادُھورا	onvolledig
ادُھورا	onvoldoende
ادُھورا	onvoltooide
ادّھیا	seeds
ادھیانا	halveer
ادھیراج	keiser
ادھیڑبُن	onrus
ادھیڑبُن	onsekerheid
ادِھیکار	gesag
ادِھیکار	owerheid
ادِھیکار	krag
ادِھیکار	elektrisiteit
ادھین	slaaf
ادھین	den
ادھین	dienaar
اڈّا	staan
اڈّا	rendezvous
اڈِگ	steady
اڈِگ	vas
اڈِگ	reggemaak
اڈیٹھ	kreef
اڈیٹھ	kanker
اِذعان	instuur
اذکار	berigte
اذکار	stories
اِذکار	instruksie
اذکیا	intelligentsia
اذلال	gemeen
اذلال	bedoel
اذلال	beteken
اِذلال	disgrace
اِذن	los
اِذن	verlof
اِذن	verlaat
اِذن	toelating
اِذن	toestemming
اِذن	orde
اِذن	bestel
اِذن	volgorde
اِذن	bestelling
اِذن	rangskik
اُذن	oor
اِذنی	herald
اذوقہ	kos
اذوقہ	voedsel
اذہان	university
اذہان	minds
اذیّت	marteling
اذیّت	agony
ارابا	voertuig
ارابا	araba
ارابا	wagon
اِرادت	sal
اِرادت	belief
اِرادت	gewete
اِرادت	geloof
اِرادت	respek
اِرادت	voorneme
اِرادت	bedoeling
اِرادت	devotion
اِرادتاً	opsetlik
اِرادہ	voorwerp
اِرادہ	sal
