pax	پکس
avslutning	پایان
avslutning	اختتامیه
avslutning	پایانی
française	française
underholdning	سرگرمی
underholdning	تفریحات
underholdning	پذیرایی
fotografi	عکاسی
fotografi	photography
fotografi	عکسبرداری
fotografi	عکس
engineering	مهندسی
farao	فرعون
tetthet	تراکم
tetthet	چگالی
kursiv	کج
dagbok	ژورنال
dagbok	مجله
dagbok	نشریه
ankommer	میرسد
bevissthet	آگاهی
bevissthet	هوشیاری
bevissthet	خودآگاه
bevissthet	آگاهی
bevissthet	هشیاری
rotterdam	روتردام
mystiske	صوفی
mystiske	میستیک
look	نگاهی
look	ببین
cato	کیتو
ekspansjon	گسترش
ekspansjon	انبساط
ekspansjon	بسط
yunnan	یوننان
forbød	ممنوع
range	گستره
range	گسترۀ
forbrytelser	جنایات
forbrytelser	جرایم
forbrytelser	جرائم
landing	فرود
toulouse	تولوز
intern	داخلی
intern	درونی
orlando	اورلاندو
alliance	ائتلاف
alliance	وصلت
alliance	اتحاد
flyplasser	فرودگاههای
flyplasser	فرودگاهها
antok	فرض
tyler	تایلر
holger	هولگر
lucy	لوسی
burton	برتون
burton	بارتون
psykolog	روانشناس
brenner	سوزاندن
brenner	سوختن
brenner	برنر
brenner	برنز
brenner	سوختگی
skandinavisk	اسکاندیناوی
prima	پریما
dyre	گران
dyre	گرونه
duck	داک
duck	اردک
duck	مرغابی
kontekst	متن
tegneserie	کمیک
tegneserie	کارتون
alexandre	آلکساندر
purple	بنفش
purple	ارغوانی
purple	زرشکی
oder	اودر
trim	تعادل
trim	مشق
trim	ورزش
trim	تمرین
somalia	سومالی
bennett	بنت
topper	تاپر
kritikker	نقدهای
signaler	سیگنالهای
bakre	عقب
hager	باغ
hager	بوستان
hager	باغها
tankene	افکار
tankene	افکارش
estiske	استونی
piper	پایپر
emmanuel	امانوئل
ulykker	تصادفات
ulykker	حوادث
terminal	ترمینال
terminal	پایانه
fravær	غیبت
fravær	غیاب
vakt	نگهبانی
vakt	گارد
hengt	چسبید
hengt	آویخته
hengt	آویزان
overføre	انتقال
tenor	تنور
opplagt	واضح
håret	موی
håret	مو
håret	موها
vinkel	زاویۀ
vinkel	زاویه
bulgarske	بلغاری
very	خیلی
very	بسیار
leie	اجاره
leie	استخدام
leie	اجاره
leie	کرایه
walt	والت
federal	فدرال
tolvte	دوازدهمین
tolvte	دوازدهم
forestilling	عملکرد
forestilling	اجرا
forestilling	کارایی
mick	میک
arkiver	آرشیو
arkiver	بایگانی
arkiver	آرشیو
arkiver	بایگانی
bekostning	هزینه
honduras	هندوراس
henter	کسب
henter	واکشی
henter	شدن
lexikon	lexikon
dynamisk	داینامیک
dynamisk	پویای
dynamisk	پویا
dynamisk	دینامیک
kollega	همکار
leserne	خوانندگان
ørkenen	کویر
ørkenen	بیابان
ørkenen	بیابانی
ørkenen	صحرا
ørkenen	اعراب
besittelse	تسخیر
besittelse	تملک
besittelse	مالکیت
besittelse	تصرف
guddommelige	الهی
massive	مسیو
massive	حجیم
spektrum	طیف
ska	ska
styring	حاکمیت
styring	ملکوت
import	واردات
trinidad	ترینیداد
omstendigheter	شرایط
omstendigheter	شرایطی
omstendigheter	شرایط
skjule	پنهان
permanente	پایدار
permanente	همیشگی
permanente	دائم
permanente	دائمی
permanente	دایمی
permanente	دایم
facto	facto
anatomi	تشریح
anatomi	آناتومی
jemen	یمن
tilflukt	پناه
tilflukt	پناهی
regjeringer	دولتها
regjeringer	دولتهای
enestående	استثنایی
enestående	استثنائی
enestående	سابقه
enestående	برجسته
moralsk	اخلاقی
moralsk	اخلاق
jorge	جُرج
jorge	خورخه
fisken	فیش
fisken	ماهیان
fisken	ماهی
orknøyene	اورکنی
nassau	ناسو
kompleks	پیچیده
kompleks	هرات
manhattan	منهتن
festivaler	جشنهای
detalj	جزئیات
detalj	جزییات
danse	dance
danse	رقص
darwin	داروین
schloss	اشلوس
sel	مُهر
sel	مهر
sel	مهری
nation	ملت
nation	ملتی
noenlunde	نسبتاً
noenlunde	اعتدالی
religionen	مذهب
religionen	دین
won	وون
maximilian	ماکسیمیلیان
mistanke	بدگمانی
mistanke	ظن
mistanke	مظنون
mistanke	مضنون
amy	ایمی
amy	اِمی
amy	امی
march	مارس
march	پیشروی
march	راهپیمایی
vendt	روبروی
vendt	روبرو
hebei	هبی
mora	مورا
terra	ترا
dokumentere	سند
dokumentere	نوشتار
stan	استن
beleiring	محاصره
augustin	آگوستین
sendinger	مخابره
etterkommer	زادگان
etterkommer	نواده
bild	bild
ram	رام
ram	ram
ram	رم
morning	صبح
morning	بامداد
prosa	نثر
alter	محراب
alter	قربانگاه
doktoren	دکتری
doktoren	داکتر
doktoren	دکتر
brunt	قهوهای
brunt	براون
kaldt	سرما
kaldt	سرد
kaldt	سرماخوردگی
foreslå	پیشنهاد
edge	لبه
edge	اج
edge	لبۀ
seere	بیننده
seere	بینندگان
seere	بازدیدکنندگان
leilighet	آپارتمان
leilighet	آپارتمانی
jeremy	جرمی
away	میفرمایند
away	دور
marino	مارینو
borgerlig	بورژوا
madame	بانوی
madame	بانو
better	بهتر
better	بهترش
gravd	ته
synd	ترحم
synd	افسوس
synd	گناه
synd	sin
synd	گناهی
skjermen	پرده
kritiker	معترض
kritiker	منتقد
burgund	برگندی
split	شکافتن
une	فاخته
verde	ورده
verde	ورد
namibia	نامیبیا
kjøkken	آشپزی
kjøkken	آشپزخانه
dokumentarfilm	مستند
respons	پاسخگویی
respons	پاسخ
respons	واکنش
respons	پاسخها
respons	پاسخهای
qatar	قطر
vedvarende	ماندگار
vedvarende	سمج
vedvarende	دیرپا
nyttige	مفید
nyttige	مفید
vega	وگا
sida	صفحۀ
sida	صفحه
sida	کنار
sida	پهلو
sida	طرف
målinger	معیارهای
samtale	گفتگو
samtale	مکالمه
samtale	گفتگوی
melodier	تونز
tips	نکات
tips	نکته
tips	نوک
tips	انعام
reading	خواندن
reading	قرائت
charter	منشور
charter	چارتر
sorg	غمت
sorg	غم
sorg	اندوه
sorg	غصه
sorg	غم
sorg	اندوه
sorg	غصه
sorg	غمی
sorg	غم
sorg	اندوه
sorg	عزاداری
sorg	عزا
sorg	سوگواری
sorg	ماتم
emigrerte	هجرت
gerald	جرالد
flo	فلو
vulkansk	آتشفشانی
guillaume	گیوم
virgin	باکرگی
virgin	باکره
virgin	ویرجین
evil	شر
evil	شرور
evil	شرارت
evil	بد
bukt	خلیج
bukt	خلیج
bukt	بای
rart	عجیب
rart	عجیبی
rart	عجیب
operativ	عملیاتی
diplom	دیپلم
philips	فیلیپس
jevn	ثابت
jevn	یکنواخت
ira	آیرا
why	چرا
future	اینده
future	future
future	آینده
tenkning	تفکر
tenkning	فکر
gjengen	گنگ
stammet	لکنت
parallell	موازی
chester	چستر
reykjavík	ریکیاویک
pre	pre
innvendig	داخل
innvendig	درون
innvendig	درونت
body	بدن
body	بدنی
body	بدنه
body	جسم
body	body
akutt	حاد
give	بده
furu	پاین
furu	کاج
forberedt	مهیا
forutsetter	دلالت
sletter	حذف
interwiki	interwiki
giles	گیلز
symbolsk	نمادی
symbolsk	نمادین
gregory	گریگوری
gregory	گرگوری
zambia	زامبیا
burke	برک
blake	بلیک
hjemland	میهن
guttene	پسران
guttene	پسرها
guttene	پسرا
gottfried	گوتفرید
rockefeller	راکفلر
slave	slave
slave	بنده
slave	برده
productions	productions
tilsyn	نظارت
tilsyn	سرپرستی
thai	تایلندی
thai	تای
thai	تایلند
michelle	میشل
granitt	خارا
granitt	گرانیت
building	ساختن
building	ساختمانی
building	ساختمان
bradley	بردلی
brooks	بروکس
brooks	بروکز
carol	کرول
carol	کارول
pic	عکس
streisand	استرایسند
crystal	بلور
crystal	کریستال
crystal	آبگینه
crystal	بلوری
fargerike	رنگارنگ
hindi	هندی
shorts	شلوارک
wells	ولز
språklige	کلامی
språklige	زبانی
blokk	بلوک
blokk	بلاک
trine	تراین
overkant	مازاد
overkant	افراط
overkant	فزون
skottlands	اسکاتلند
husket	یادش
emily	امیلی
naken	عریان
naken	لختی
naken	برهنه
naken	لخت
åbo	تورکو
benz	بنز
benz	benz
grekere	یونانیان
grekere	یونانی
grekere	یونانیها
varighet	دوام
arven	میراثی
arven	میراث
arven	ارث
aaron	آرون
pleier	معمولا
pleier	گرایش
giftige	زهرآگین
june	ژوئن
june	june
eyes	چشمها
eyes	چشمانی
eyes	چشم
eyes	چشمان
fremgang	پیشرفت
fremgang	پیشرفتی
cardiff	کاردیف
utfyllende	جامع
utfyllende	بسیط
irakiske	عراقی
wind	باد
wind	بادی
willie	ویلی
catholic	کاتولیک
enormt	بزرگی
pablo	پابلو
nathan	نیتن
nathan	ناتان
rettssak	محاکمه
rettssak	دادرسی
objektet	شئ
objektet	مفعول
objektet	شیء
cohen	کوهن
cohen	کوئن
imperial	امپراطوری
imperial	سلطنتی
imperial	امپراتوری
springer	اسپرینگر
forfølgelse	فتنه
mottakelse	دریافت
mottakelse	پذیرش
mottakelse	پذیرایی
lovgivning	قانونگذاری
lovgivning	قوانین
feste	مهمانی
feste	پارتی
feste	مهمونی
feste	حزب
feste	جشن
stranda	بیچ
stranda	ساحل
kenny	کنی
fraser	عبارتهای
fraser	فریزر
penn	پن
penn	قلم
lotus	لوتوس
lotus	نیلوفر
frekvens	فرکانسی
frekvens	فرکانس
frekvens	بسامد
hang	چسبید
hang	آویخته
hang	آویزان
presentere	معرفی
presentere	حاضر
presentere	هدیه
presentere	معرفی
umiddelbar	فوری
umiddelbar	فوری
aalborg	آلبورگ
everton	اورتون
potensielle	بالقوه
potensielle	پتانسیل
hopkins	هاپکینز
presley	پرسلی
today	امروز
ocean	اقیانوس
ocean	اقیانوسی
advarsel	اخطار
advarsel	هشدار
advarsel	احتیاط
logisk	منطقی
kleopatra	کلئوپاترا
støttes	پشتیبانی
lines	خطوط
leiden	لیدن
schneider	اشنایدر
elektroner	الکترونهای
elektroner	الکترون
elektroner	الکترونها
portland	پورتلند
geometri	هندسه
sunderland	ساندرلند
astronomiske	نجومی
astronomiske	اخترشناسی
pedagogisk	آموزنده
pedagogisk	آموزشی
fredelig	آرام
ekspert	متخصص
ekspert	کارشناس
ekspert	expert
undervist	آموخت
undervist	آموخته
vita	vita
oppmuntret	دلگرم
montreal	مونترال
kabul	کابل
sid	ساید
sid	سید
hearts	دل
hearts	دلها
pole	قطب
pole	تیرک
sardinia	ساردینیا
feire	جشن
feire	جشن
trusler	تهدید
trusler	تهدیدات
trusler	تهدیدها
trusler	تهدیدهای
helikopter	هلیکوپتر
helikopter	بالگرد
øyeblikkelig	فوراً
øyeblikkelig	فورا
øyeblikkelig	بلافاصله
øyeblikkelig	فوری
øyeblikkelig	فوری
øyeblikkelig	بلافاصله
konferanse	کنفرانس
konferanse	همایش
magi	جادویی
magi	جادو
magi	سحر
magi	جادوی
etikk	اخلاقیات
etikk	اخلاق
stigende	طلوع
stigende	صعودی
stigende	عروج
hopper	جهش
hopper	پریدن
hopper	هاپر
anledningen	مناسبت
misjon	مأموریت
misjon	ماموریت
befestet	مستحکم
enstemmig	متفق
klein	کلین
klein	کلاین
originalen	اصیل
originalen	اصلی
originalen	اوریجینال
macdonald	مکدونالد
folkelig	عامه
folkelig	محبوبه
folkelig	محبوب
hoteller	هتلهای
hoteller	هتلها
grenen	انشعاب
grenen	برنچ
grenen	شاخه
telefon	گوشی
telefon	تلفن
telefon	تلفن
ving	بال
ving	وینگ
sopp	قارچ
sopp	قارچهای
sopp	قارچها
sopp	قارچ
sopp	قارچ
tommer	اینچ
tommer	اینچ
bing	بینگ
uklar	نامشخص
performance	عملکرد
performance	اجرا
performance	کارایی
gradene	درجات
gradene	صف
fiji	فیجی
bevist	ثابت
åndelig	معنوی
åndelig	روحانی
medarbeider	کارمند
medarbeider	همتای
strømmer	نهرها
strømmer	جویبارها
strømmer	رودها
kommisjon	تصدی
kommisjon	کمیسیون
alla	آلا
taliban	طالبان
école	école
rome	رُم
rome	رم
rome	روم
misnøye	نارضایتی
brått	یهویی
brått	ناگهان
brått	ناگهانی
goes	میرود
gripe	تصرف
vie	قال
karbon	کربن
karbon	کربنی
domstol	دادگاه
domstol	دربار
wehrmacht	ورماخت
minnesmerke	یادبود
minnesmerke	مموریال
jamie	جمی
audi	آئودی
øre	خوشه
beskjeden	فروتن
beskjeden	متواضع
mosambik	موزامبیک
morrison	موریسون
plikt	وظیفه
alberta	آلبرتا
synonym	مترادف
jenta	دختری
jenta	دختر
jenta	girl
siv	سیو
konsentrerte	متمرکز
korstog	جهاد
korstog	نهضت
korstog	صلیبی
korstog	صلیبی
huskes	یادش
niger	نیجر
weimar	وایمار
overføring	انتقال
overføring	مخابره
overføring	انتقال
overføring	انتقال
cromwell	کرامول
usikkerhet	ناامنی
usikkerhet	تزلزل
vor	وری
dante	دانته
catalonia	کاتالونیا
catalonia	کاتالونیا
afghanske	افغانی
afghanske	afghan
afghanske	افغان
lene	لنه
sokker	جوراب
jürgen	یورگن
laurent	لوران
laurent	لورنت
fish	فیش
fish	ماهیان
fish	ماهی
mortensen	مورتنسن
buffalo	بوفالو
landsbyene	روستاها
landsbyene	روستاهای
dører	درها
borneo	بورنئو
oppfylle	وفا
oppfylle	وفا
fysiologi	فیزیولوژی
liberty	لیبرتی
templer	معابد
svakere	ضعیفتر
alfabetisk	الفبایی
britt	بریت
homofile	همجنسگرایان
homofile	گی
homofile	همجنسگرا
homofile	gay
homofile	همجنسگرایی
homofile	سرخوش
cortina	کورتینا
syriske	سوریه
syriske	سوری
visstnok	ظاهرا
concert	کنسرت
sparken	کنسرو
sparken	اخراج
utredning	تحقیق
utredning	تحقیقات
ufc	ufc
gaza	غزه
butterfly	پروانه
winston	وینستون
barndommen	کودکی
barndommen	بچگی
konsept	مفهومی
konsept	مفهوم
luthersk	lutheran
utvidelser	پسوندهای
jose	جوز
jose	خوزه
spesialist	متخصص
sykkel	دوچرخه
sykkel	موتور
sykkel	دوچرخه
rodríguez	رودریگز
statskupp	کودتا
statskupp	کودتای
innehaver	هولدر
journalistikk	نگاری
journalistikk	خبرنگاری
arrow	پیکان
arrow	تیر
arrow	ارو
als	als
tank	مخزن
tank	تانک
tank	تنک
fremtidig	اینده
fremtidig	future
fremtidig	آینده
plaget	آشفته
marmor	مرمر
marmor	تیله
rasisme	نژادپرستی
nåde	بخشش
nåde	رحمت
nåde	رحمتی
nåde	فضل
nåde	گریس
ich	ich
dortmund	دورتموند
innvandring	مهاجرت
cornwall	کورنوال
bombe	بمب
pannen	پیشانی
pannen	پیشونی
pannen	پیشانیش
skvadron	اسکادران
maren	مارن
beregning	محاسبه
dominikanske	دومینیکن
overgi	تسلیم
kinesere	چینی
dukke	عروسکی
dukke	عروسک
beslutninger	تصمیم
beslutninger	تصمیمات
forbehold	رزرو
klemens	کلمنس
klemens	کلمنت
klemens	بردبار
sannsynlighet	احتمال
sannsynlighet	احتمالات
common	رایج
common	معمولی
common	مشترک
gjenopprette	بازگردانی
gjenopprette	بازگرداندن
gjenopprette	برگرداندن
gjenopprette	بازیابی
gjenopprette	بازیابی
utestengt	ممنوع
narkotika	مواد
dimensjoner	ابعاد
karibia	کارائیب
brente	سوزانده
brente	سوخته
yan	یان
blokkere	بلوکه
blokkere	بلوک
blokkere	بلاک
platon	افلاطون
hoffmann	هافمن
verd	ارزش
routledge	روتلج
eierskap	مالکیت
dyktige	ماهر
con	con
computer	رایانه
computer	کامپیوتر
sauer	گوسفند
sauer	گوسفندی
kavaleri	سواران
kavaleri	سواره
greier	مادۀ
sjel	نفس
sjel	سول
sjel	نفسی
baltimore	بالتیمور
statsborger	همشهری
statsborger	شهروند
statsborger	شهروندی
modus	حالت
modus	modus
idol	طاغوت
idol	بُت
engel	آنجل
engel	فرشته
engel	انجل
fiat	فیات
celle	سلول
celle	یاخته
dinamo	دینامو
ekvator	استوا
trene	قطار
łódź	لودز
joão	ژوائو
kald	سرما
kald	سرد
kald	سرماخوردگی
underground	زیرزمینی
underground	زیرزمین
polynesia	پلینزی
sønnesønn	نوه
underart	زیرگونه
johannesburg	ژوهانسبورگ
ground	زمینی
adolph	آدولف
nekter	امتناع
willem	ویلم
demonstrasjoner	تظاهرات
demonstrasjoner	نمایشی
gravid	آبستن
gravid	بارداری
gravid	حامله
gravid	باردار
xbox	xbox
seil	بادبان
half	نیم
half	نیمی
half	نصف
belte	کمربند
lama	لاما
våpenhvile	آشتی
brenne	سوخت
brenne	سوختگی
brenne	سوختن
brenne	سوزاندن
helter	قهرمانان
fjern	دوردست
fjern	حذف
vegger	دیوارها
vegger	دیوارهای
vegger	دیوار
fader	پدری
fader	پدر
stevens	استیونس
stevens	استیونز
avgjørelser	تصمیم
avgjørelser	تصمیمات
severin	سورین
formatet	قالب
formatet	قالبی
felter	فیلدز
felter	مزارع
fbi	فدرال
leiligheter	یت
said	گفت
eksklusiv	خالص
eksklusiv	انحصاری
fiendtlig	خصومت
fiendtlig	دشمنی
sammenligne	مقایسه
somerset	سامرست
server	سرور
server	کارساز
server	کارگزار
aragón	آراگن
aragón	آراگون
vegg	وال
vegg	دیواری
vegg	دیوار
juryen	منصفه
midgard	میدگارد
betty	بتی
belfast	بلفاست
nottingham	ناتینگهام
angela	آنگلا
angela	آنجلا
fortiden	past
fortiden	گذشته
mclaren	مکلارن
regulerer	تدبیر
virkelighet	واقعیت
uttrykker	ابراز
richter	ریشتر
bwv	bwv
akt	عمل
bevise	اثبات
bevise	اثبات
ortodoks	ارتدوکس
toner	شدتی
crew	سرنشین
crew	سرنشینان
crew	خدمه
isolerte	منزوی
isolerte	ایزوله
leningrad	لنینگراد
claudia	کلودیا
trombone	ترومبون
munker	راهبان
aarhus	آرهوس
leslie	لزلی
leslie	لسلی
booth	بوث
booth	بوت
booth	باجه
booth	غرفه
deling	اشتراک
jostein	یوستین
henan	هنان
slovensk	اسلونیایی
begravelse	دفن
begravelse	خاکسپاری
begravelse	ختم
begravelse	خاکسپاری
likheter	شباهت
uventet	غیرمنتظره
mystisk	اسرارآمیز
mystisk	مرموز
mystisk	عرفانی
mystisk	اسرارآمیز
mystisk	صوفی
mystisk	میستیک
klassene	کلاس
klassene	کلاسهای
klassene	کلاسها
diplomatisk	دیپلماتیک
idretter	اسپرت
idretter	اسپورت
idretter	ورزشی
idretter	ورزش
ronnie	رونی
musikal	موزیکال
highway	اتوبان
highway	بزرگراه
keiserdømmet	امپراطوری
keiserdømmet	امپایر
keiserdømmet	امپراتوری
helmut	هلموت
kandidaten	کاندید
kandidaten	نامزد
kandidaten	کاندیدای
belle	بل
quebec	کبک
sko	کفش
toscana	توسکانی
saab	ساب
sangere	خوانندگان
lucius	لوسیوس
planeter	سیارات
relativ	نسبی
sussex	ساسکس
horse	اسب
forskjellene	تفاوت
forskjellene	تفاوتهای
forskjellene	تفاوتها
forskjellene	اختلاف
eugen	اویگن
weber	وبر
returnere	بازگشت
skinner	اسکینر
skinner	تابان
skinner	درخشان
skinner	درخشنده
messe	جرم
messe	توده
northumbria	نورثامبریا
kast	پرتاب
uranus	اورانوس
eksperter	متخصصان
eksperter	متخصصین
eksperter	کارشناسان
seksjoner	بخشهای
seksjoner	بخشها
thriller	تریلر
richardson	ریچاردسون
mainz	ماینتس
falk	فالک
nordmann	نروژی
nordmann	نروژ
definisjoner	تعاریف
drømmer	رؤیاها
drømmer	پریشان
drømmer	رویاها
drømmer	رویاهای
især	مخصوصا
især	بخصوص
pedagog	educator
forlengelse	افزونه
forlengelse	پسوند
studerer	studying
studerer	مطالعه
pittsburgh	پیتزبورگ
fujian	فوجیان
fleming	فلمینگ
sannhet	حقیقتی
sannhet	واقعیت
sannhet	حقیقت
sannhet	حق
kongress	کنگره
vardø	وردو
smerte	درد
smerte	دردی
smerte	درده
smerte	دردم
iblant	گاهی
obligatorisk	لازم
obligatorisk	نیاز
obligatorisk	الزامی
obligatorisk	اجباری
obligatorisk	واجب
mail	نامۀ
mail	نامه
monarki	شهریاری
innledning	معرفی
innledning	مقدمه
innledning	اشنایی
innledning	آشنایی
poly	پلی
beregne	محاسبه
pensjonert	بازنشست
pensjonert	بازنشسته
perm	پرم
oman	عمان
freddy	فردی
lek	پخش
