seúl	ソウル
marcar	マルク
oceanía	オセアニア
cáucaso	コーカサス
solicitar	請求
solicitar	リクエスト
after	アフター
enamorado	恋人
policías	警察官
policías	警察官
policías	ポリス
policías	警察
arcade	arcade
arcade	ゲームセンター
arcade	アーケード
púrpura	パープル
tecnológica	技術
tecnológica	テクノロジー
expresar	エクスプレス
expresar	急行
jacinto	ジャシント
qui	qui
minoría	少数
medicamentos	ドラッグ
medicamentos	薬物
crean	作成
bebida	飲む
bebida	飲み物
bebida	ドリンク
bebida	飲む
bebida	飲み物
bebida	ドリンク
bebida	飲み物
bebida	飲料
mitchell	ミッチェル
rascacielos	摩天楼
favorito	お気に入り
favorito	お気に入り
favorito	お気に入り
conjunta	関節
transforma	変換
transforma	変形
élite	エリート
pagina	ページ
ncaa	ncaa
negativo	ネガティブ
negativo	マイナス
negativo	ネガ
cordero	子羊
cordero	ラム
cordero	マトン
cordero	コルデロ
leonard	レナード
ibm	ibm
austral	アウストラル
coma	昏睡
coma	コンマ
coma	食べる
coma	eat
oscuridad	ダーク
oscuridad	暗い
oscuridad	暗闇
caracol	カタツムリ
estatuas	彫像
days	日数
malos	バッド
malos	悪い
cazadores	狩人
cazadores	ハンター
temple	テンプル
temple	寺院
temple	神殿
castellanos	castellanos
tokyo	東京
vendidos	落札
doctores	医師
doctores	医者
hércules	ヘラクレス
trastorno	無秩序
restricciones	制限
restricciones	制限
restricciones	制約
traición	裏切り
traición	裏切り
traición	反逆
amenazas	脅威
amenazas	威嚇
amenazas	脅迫
suministro	サプライ
suministro	供給
heredia	エレディア
sombrero	ソンブレロ
sombrero	ハット
sombrero	帽子
sentir	感じる
sentir	feel
sentir	フィール
residencial	住宅
residencial	住宅地
mit	mit
mit	mlt
herzegovina	ヘルツェゴヴィナ
herzegovina	bih
abel	アーベル
abel	アベル
armonía	ハーモニー
armonía	調和
amo	マスター
cadáver	本文
cadáver	身体
cadáver	本体
cadáver	ボディ
cadáver	死体
cadáver	死体
inter	inter
obligación	義務
obligación	債務
soccer	サッカー
sweet	スウィート
sweet	甘い
distancias	距離
distancias	距離
pensó	思考
bordes	エッジ
fracción	分数
cintas	リボン
cintas	テープ
kenia	ケニア
kenia	ケニア
homosexualidad	lgbt
homosexualidad	同性愛
aníbal	ハンニバル
defensas	ディフェンス
defensas	防御
defensas	抗弁
defensas	防衛
agrega	追加
agrega	加算
agrega	追加
invitación	招待
invitación	招聘
invitación	招待
patagonia	パタゴニア
patagonia	パタゴニア
cívica	シビック
terra	テラ
presentando	提示
presentando	プレゼン
mágico	magic
mágico	魔法
mágico	マジック
mágico	マジカル
transmitir	転送
richter	リヒター
ritual	儀式
corpus	コーパス
exclusivo	独占
round	ラウンド
round	round
round	丸い
pete	ピート
muerta	デッド
ritmos	ビーツ
ritmos	リズム
nombrar	命名
nombrar	呼称
bebidas	飲み物
bebidas	飲物
bebidas	飲み物
bebidas	飲料
bebidas	飲み物
bebidas	ドリンク
newton	ニュートン
dell	デル
dell	dell
cartago	カルタゴ
expuesto	露出
ion	イオン
aparatos	デバイス
aparatos	機器
leon	レオン
greg	グレッグ
arañas	スパイダー
arañas	クモ
bush	ブッシュ
automática	自動
automática	オートマチック
consciente	意識
lola	ローラ
monje	モンク
monje	僧侶
fragmento	フラグメント
fragmento	抜粋
químicas	化学
anales	アナル
claustro	回廊
claustro	学部
claustro	教職員
choque	ショック
choque	衝撃
choque	クラッシュ
azerbaiyán	アゼルバイジャン
comprender	理解
romeo	ロミオ
romeo	ロメオ
auditorio	観客
auditorio	オーディエンス
auditorio	講堂
eslovaquia	スロバキア
círculos	サークル
entierro	埋葬
entierro	葬式
entierro	葬儀
entierro	埋める
trayecto	旅行
trayecto	journey
claves	キー
claves	キー
claves	key
narrador	語り手
unir	参加
intermedio	休憩
intermedio	中間
intermedio	中級
luke	ルカ
remo	ボート
remo	オール
remo	パドル
remo	レモ
computadoras	コンピューター
computadoras	コンピュータ
computadoras	コンピューター
computadoras	コンピュータ
sacrificio	犠牲
sacrificio	生贄
intenciones	意図
promesa	約束
promesa	promise
promesa	誓約
todd	トッド
consultar	問い合わせ
cilindros	円柱
cilindros	シリンダー
cilindros	シリンダー
walt	ウォルト
belgrado	ベオグラード
raro	レア
raro	変人
baterías	電池
baterías	バッテリー
baterías	バッテリ
baterías	電池
abuso	誤用
abuso	虐待
receptores	宛先
estrategias	戦略
intersección	交差点
aumentando	増加
conquistar	征服
almas	霊魂
stuart	スチュアート
stuart	ステュアート
natalia	ナターシャ
natalia	ナタリー
natalia	ナタリア
toque	タッチ
toque	touch
toque	触る
deseos	願いごと
deseos	欲望
brujas	魔女
brujas	ブリュージュ
continentales	コンチネンタル
match	マッチ
match	一致
transmite	転送
enfermo	病気
enfermo	病気
avanzado	上級
llamas	炎上
ortografía	つづり
ortografía	スペル
ortografía	スペリング
away	away
away	アウェイ
caro	カロ
caro	高い
caro	高額
esgrima	フェンシング
equipamiento	道具
equipamiento	装備
equipamiento	機器
equipamiento	機材
óptica	光学
óptica	光学
ingredientes	材料
ingredientes	食材
ingredientes	成分
párrafo	段落
mago	魔法使い
mago	ウィザード
sustituir	置換
eliminados	削除
extraña	よそ者
extraña	はずれ
suicidio	自殺
wolfgang	ヴォルフガング
enormes	巨大
amarillas	イエロー
amarillas	黄色
rompió	壊れた
asiento	座席
presos	囚人
vice	バイス
liderado	led
slam	スラム
computación	計算
computación	コンピューティング
quebrada	壊れた
alerta	アラート
levantar	エレベーター
levantar	リフト
naturalista	博物学
hawái	ハワイ
wide	ワイド
submarinos	潜水艦
submarinos	潜水艦
susan	スーザン
bailarina	バレリーナ
bailarina	ダンサー
preparado	準備
preparado	調製
preparado	仕込み
preparado	調合
borja	ボルハ
reemplazar	置換
reemplazar	置換
aprendió	学習
fibra	繊維
fibra	繊維
colaboraciones	パートナーシップ
secuencias	シーケンス
secuencias	シーケンス
donación	募金
donación	寄付
donación	募金
donación	寄付
acontecimiento	イベント
acontecimiento	行事
entregar	届け
olga	オルガ
cohete	ロケット
vancouver	バンクーバー
pontevedra	ポンテベドラ
horizonte	地平線
horizonte	ホライズン
horizonte	水平線
correos	メール
folclore	伝承
boliviano	ボリビア
romántica	ロマンチック
designar	指名
compartido	共有
fan	ファン
malas	バッド
malas	悪い
afirmación	表明
afirmación	主張
afirmación	ステートメント
afirmación	声明
sombras	シャドウズ
sombras	シャドー
sombras	シャドウ
violeta	パープル
violeta	バイオレット
itunes	itunes
nicholas	ニコラス
inflorescencia	花序
osvaldo	オスヴァルド
guayana	ガイアナ
inspirada	インスパイア
respaldo	バッキング
respaldo	バックアップ
respaldo	裏書
retirar	引き出す
oculta	隠し
oculta	ヒデ
oculta	隠す
alejandra	アレクサンドラ
alejandra	アレハンドラ
helicóptero	ヘリコプター
helicóptero	チョッパー
aplicada	応用
testimonios	証言
keith	キース
nervioso	緊張
nervioso	神経質
paraguayo	パラグアイ
clinton	クリントン
irlandesa	アイリッシュ
puntas	tips
puntas	ヒント
constantino	コンスタンチン
reflexión	反射
reflexión	リフレクション
pietro	ピエトロ
afición	趣味
again	再び
again	アゲイン
remodelación	リフォーム
júpiter	ジュピター
júpiter	木星
cualidades	資質
linaje	系統
linaje	血統
hurtado	スナッチャー
justin	ジャスティン
jessica	ジェシカ
tanzania	タンザニア
tanzania	タンザニア
francisca	フランソワーズ
antofagasta	アントファガスタ
musulmana	イスラム教
musulmana	ムスリム
musulmana	イスラム教
musulmana	ムスリム
kings	キングス
querer	欲しい
oregón	オレゴン
haití	ハイチ
haití	ハイチ
pour	注ぐ
asistentes	出席
asistentes	傍聴
rachel	レイチェル
ciclos	サイクル
ciclos	サイクル
identifica	識別
identifica	識別
cuero	レザー
cuero	皮革
superando	克服
corredores	レーサー
corredores	ランナー
tranvía	トラム
escolta	エスコート
escolta	護送
terminales	端末
terminales	ターミナル
terminales	端末
desfile	パレード
barras	バー
dublín	ダブリン
celebraciones	お祝い
celebraciones	祝賀会
celebraciones	お祝い
galerías	ギャラリー
artificiales	人工
piscina	プール
clásicas	古典
patente	特許
patente	特許
biografías	伝記
biografías	bios
biografías	伝記
office	事務局
office	事務所
office	オフィス
chelsea	チェルシー
concedido	付与
marx	マルクス
plural	複数
nudos	ノット
nudos	結び目
nudos	結び目
biológica	生物
khan	ハーン
khan	カーン
anarquistas	アナキズム
knight	騎士
knight	ナイト
billetes	切符
billetes	チケット
billetes	紙幣
billetes	紙幣
ecuaciones	方程式
atacado	襲撃
secret	秘密
privilegios	特権
privilegios	特権
balada	バラード
balada	バラッド
disfrutar	楽しむ
mixtas	ミックス
mixtas	混合
perfecta	パーフェクト
perfecta	完璧
átomos	原子
evidencias	証拠
suite	スイート
detectar	検出
detectar	検知
detectar	検出
ronald	ロナルド
sujetos	科目
mejía	メヒア
costos	費用
costos	コスト
láser	レーザー
danzas	踊り
kiss	キス
kiss	kiss
kiss	接吻
conducir	ドライブ
conducir	運転
pirámide	ピラミッド
inscripciones	碑文
inscripciones	登録
inscripciones	登録
inscripciones	登記
materna	母方
eficiente	効率
agregado	集計
agregado	集約
agregado	集計
algodón	木綿
algodón	コットン
sultán	スルタン
sultán	スルターン
saavedra	サアベドラ
inundaciones	洪水
inundaciones	洪水
inundaciones	洪水
hopkins	ホプキンス
adolf	アドルフ
inspector	検査官
calibre	口径
grey	灰色
grey	グレイ
grey	グレー
terrible	ひどい
serbio	セルビア
serbio	セルビア
action	アクション
ejecutiva	エグゼクティブ
triste	悲しい
triste	sad
edita	編集
edita	編集
templado	温帯
nieves	スノー
nieves	snow
maracaibo	マラカイボ
mártir	殉教
frecuencias	周波数
frecuencias	周波数
frecuencias	頻度
luchando	ファイティング
cometido	コミット
talk	トーク
analizar	分析
analizar	分析
analizar	analyze
cantos	唱える
cantos	歌う
cantos	ソング
emplear	雇う
querido	dear
querido	ディア
view	表示
view	見る
view	ビュー
plomo	リード
ciudadana	市民
bruja	魔女
bruja	ウィッチ
sudán	スーダン
sudán	スーダン
horror	ホラー
eficacia	効率
eficacia	実効
eficacia	効能
creciendo	栽培
creciendo	成長
traductor	翻訳
monroe	モンロー
ufc	ufc
supervisión	モニタリング
supervisión	監視
supervisión	監督
estudiosos	学者
tag	タグ
tonos	トーン
tonos	音色
ecología	エコロジー
ecología	生態学
automático	自動
automático	オート
automático	自動
automático	オートマチック
atracciones	アトラクション
atracciones	観光
desaparece	消える
martí	マルティ
renunciar	辞める
renunciar	終了
renunciar	辞任
budismo	仏教
budismo	仏教徒
budismo	仏教
misisipi	ミシシッピ
interesantes	興味深い
interesantes	おもしろい
interesantes	面白い
tigres	トラ
tigres	タイガー
tigres	タイガース
camerún	カメルーン
ambientes	環境
atentados	攻撃
olimpia	オリンピア
milicias	民兵
oído	聴聞
oído	聴覚
oído	聴力
oído	審問
adaptado	適応
resurrección	復活
pensando	考え
pensando	思考
ratón	ねずみ
ratón	マウス
bolonia	ボローニャ
tubos	パイプ
tubos	パイプス
presas	捕食
matanza	虐殺
matanza	屠殺
matanza	キリング
costado	サイド
kids	子供
kids	キッズ
sensibilidad	感度
sensibilidad	感受性
sensibilidad	感性
automovilismo	モータースポーツ
culpable	有罪
culpable	guilty
aguilera	アギレラ
sosa	ソーダ
financiación	融資
financiación	財務
financiación	金融
financiación	財政
financiación	ファイナンス
protestantes	プロテスタント
determinación	裁決
marcando	ダイヤル
hit	hit
hit	ヒット
act	アクト
act	act
elche	エルチェ
carrasco	カラスコ
citar	引用
citar	クォート
tabaco	喫煙
tabaco	タバコ
tabaco	たばこ
tabaco	タバコ
pájaros	鳥類
saliendo	デート
saliendo	出会い
saliendo	交際
saliendo	去る
autónomo	自律
quieres	欲しい
jerarquía	ヒエラルキー
turno	ターン
turno	曲がる
turno	シフト
infraestructuras	インフラストラクチャー
limón	レモン
húmedos	しっとり
húmedos	湿度
traducir	翻訳
traducir	翻訳
race	人種
race	競走
race	レース
temor	恐怖
temor	恐れ
recoger	徴収
recoger	集める
recoger	収集
aislamiento	隔離
aislamiento	孤立
campanario	鐘楼
corporal	本文
corporal	身体
corporal	本体
corporal	ボディ
corporal	伍長
hook	フック
valentín	ヴァレンティン
valentín	バレンタイン
lentamente	ゆっくり
lentamente	ゆっくりと
lana	ウール
damas	婦人
damas	レディース
damas	チェッカー
cabina	コックピット
cabina	ブース
cabina	キャビン
cabina	船室
agraria	農業
vocación	コーリング
teléfonos	電話機
teléfonos	電話機
teléfonos	電話
teléfonos	電話機
otan	nato
primitiva	プリミティブ
nepal	ネパール
fusil	小銃
fusil	小銃
fusil	ライフル
servidores	サーバ
servidores	サーバー
primitivo	プライマル
primitivo	プリミティブ
primitivo	プライミーバル
caracterizan	特徴付ける
frías	風邪
frías	コールド
frías	冷たい
frías	寒い
mecánico	メカニック
copenhague	コペンハーゲン
raven	レイヴン
esclavitud	緊縛
escucha	聴く
manchas	しみ
manchas	斑点
deep	ディープ
deep	深い
decadencia	辞退
decadencia	拒否
decadencia	却下
decadencia	崩壊
decadencia	減衰
decadencia	デカダンス
aeronave	航空機
aeronave	飛行機
permanentes	パーマネント
cerros	ヒルズ
luciano	ルチアーノ
finalización	修了
finalización	補完
finalización	竣工
finalización	完成
finalización	終端
finalización	解雇
che	チェ
monasterios	修道院
monasterios	僧院
efectivos	実効
irrelevante	無関係
empleada	社員
empleada	職員
ámbitos	スコープ
colin	コリン
sonata	ソナタ
enfermos	病気
cairo	カイロ
estimado	dear
estimado	ディア
estimado	見積もり
estimado	推定
carro	自動車
carro	クルマ
carro	カート
carro	荷車
carro	ワゴン
fantasy	ファンタジー
pascua	イースター
enseñanzas	レッスン
enseñanzas	授業
escasez	不足
escasez	不足
frescos	フレッシュ
criatura	生き物
emplazamiento	所在地
emplazamiento	ロケーション
emplazamiento	場所
ernest	アーネスト
etimología	語源
cantautor	ソングライター
coco	ココ
coco	ココナツ
coco	ココナッツ
bohemia	ボヘミア
bohemia	ボヘミアン
emblema	エンブレム
mayer	メイヤー
filtro	フィルタ
filtro	フィルター
colectivos	collectives
stalin	スターリン
parámetro	パラメータ
génova	ジェノヴァ
génova	ジュネーブ
génova	ジュネーヴ
pétalos	花弁
pétalos	花びら
spencer	スペンサー
size	サイズ
craig	クレイグ
karen	カレン
misioneros	宣教師
misioneros	宣教師
milagros	奇跡
milagros	ミラクル
milagros	奇跡
semanal	毎週
semanal	週間
semanal	週刊
semanal	ウィークリー
creadas	作成
emplean	雇う
agrupaciones	グループ
garcia	ガルシア
telefónica	テレフォニカ
alt	alt
vampiro	ヴァンパイア
vampiro	吸血鬼
pantalón	パント
pantalón	ズボン
pantalón	パンツ
pantalón	ズボン
pantalón	ズボン
ultimate	アルティメット
toulouse	トゥールーズ
portavoz	スポークスマン
josh	ジョシュ
fruta	フルーツ
fruta	果実
fruta	果物
fruta	フルーツ
fruta	果実
fruta	果物
ralph	ラルフ
insignia	バッジ
especializados	専門
destruyó	破壊された
abandonada	放棄された
barranco	峡谷
barranco	クリフ
suena	サウンド
pasto	牧草
pasto	grass
pasto	放牧
vaca	カウ
ward	ウォード
divididos	分ける
divididos	分割
divididos	スプリット
catherine	キャサリン
encabezado	見出し
encabezado	ヘッダ
encabezado	ヘッダー
encabezado	見出し
hábitos	習慣
bestia	野獣
bestia	ビースト
quejas	クレーム
quejas	苦情
quejas	苦情
quejas	クレーム
judiciales	司法
desembarco	着陸
desembarco	上陸
pájaro	鳥類
pájaro	バード
residente	住民
discriminación	差別
primario	メイン
primario	プライマリ
see	見る
edades	age
edades	年齢
edades	年齢
diagrama	ダイアグラム
enzima	酵素
secuestro	誘拐
secuestro	拉致
secuestro	拉致
muelle	岸壁
muelle	ドッキング
muelle	ドック
muelle	埠頭
muelle	桟橋
monstruos	モンスターズ
monstruos	怪物
monstruos	モンスター
monstruos	怪獣
amanecer	明け方
amanecer	夜明け
amanecer	ドーン
amanecer	日の出
soportar	耐える
precipitación	降雨量
precipitación	降雨
precipitación	降水
precipitación	沈殿
regalo	ギフト
regalo	贈り物
regalo	ギフト
regalo	贈り物
evita	避ける
adolescencia	青少年
embarazo	妊娠
embarazo	妊娠
alejandría	アレクサンドリア
zagreb	ザグレブ
vendidas	落札
sena	セナ
erupción	発疹
arreglo	配置
arreglo	編曲
roble	オーク
devoción	献身
cuándo	いつ
cuándo	とき
cómico	コミック
cómico	コメディアン
catolicismo	カトリシズム
márgenes	余白
márgenes	マージン
márgenes	余白
johannes	ヨハネス
superman	スーパーマン
cid	dlc
cid	cld
cid	idc
cid	cid
gótica	ゴス
gótica	ゴシック
gótica	ゴッサム
césped	縄張り
césped	ターフ
césped	芝生
césped	grass
miel	ハニー
miel	はちみつ
miel	蜂蜜
irene	イレーネ
irene	アイリーン
denver	デンバー
montgomery	モンゴメリー
positivas	陽性
positivas	ポジティブ
atraer	ルアー
champions	チャンピオンズ
champions	チャンピオン
pato	カモ
pato	アヒル
pato	ダック
rescatar	救助
rescatar	レスキュー
dueños	オーナー
dueños	所有者
francos	フラン
francos	フランク
lucy	ルーシー
durán	デュラン
apodado	吹き替え
apodado	愛称
rumanía	ルーマニア
some	いくつか
some	一部
some	いくらか
balance	残高
balance	バランス
holmes	ホームズ
establecidos	設立
sydney	シドニー
laderas	スロープ
laderas	傾き
nfl	nfl
murphy	マーフィー
joel	ジョエル
mars	マーズ
mars	火星
cardenales	カージナルス
clarke	クラーク
pesada	重い
pesada	ヘビー
milagro	ミラクル
milagro	奇跡
diamante	ダイヤモンド
diamante	ダイアモンド
agencias	代理店
narración	ストーリー
narración	物語
paralela	パラレル
paralela	並列
distribuido	分散
ideales	理想
ideales	理想
embarcaciones	ボート
embarcaciones	工芸
embarcaciones	クラフト
cal	石灰
cal	ライム
cal	カル
refuerzos	バックアップ
refuerzos	援軍
refuerzos	強化
aaron	アロン
aaron	アーロン
agujero	ホール
agujero	ワームホール
rechazado	却下
rechazado	拒否された
schmidt	シュミット
empire	帝国
empire	帝政
empire	エンパイア
rendición	降伏
desaparecer	消える
desaparecer	消える
artigas	アルティガス
decano	ディーン
jung	ユング
segmentos	セグメント
segmentos	セグメント
segmentos	線分
flecha	矢印
flecha	アロー
fabricado	製造
practicar	練習
practicar	練習
helicópteros	ヘリコプター
milan	ミラノ
disparar	シュート
bielorrusia	ベラルーシ
bielorrusia	ベラルーシ
reich	ライヒ
hierbas	ハーブ
hierbas	ハーブ
sellos	切手
sellos	スタンプ
sellos	切手
sellos	ラベル
botón	ボタン
observado	観測
panel	ダッシュボード
panel	パネル
corregir	正解
corregir	正しい
uva	ぶどう
uva	ブドウ
uva	ブドウ
uva	ぶどう
aurelio	アウレリウス
emilia	エミリー
pioneros	パイオニア
mineros	鉱夫
cierra	閉じる
cierra	クローズ
boyacá	ボヤカ
fibras	繊維
fibras	ファイバ
fibras	繊維
fibras	繊維
fibras	繊維
anarquista	アナキズム
claire	クレア
mons	モンス
cedió	陥没
acá	ここ
run	run
run	ラン
run	走り
run	走る
seda	シルク
alimenta	フィード
presta	貸す
andina	アンデス
jesse	ジェシー
multimedia	マルチメディア
andorra	アンドラ
disposiciones	処分
disposiciones	条文
disposiciones	規定
edificaciones	建物
edificaciones	建築物
rogers	ロジャース
orchestra	オーケストラ
pollo	鶏肉
pollo	ニワトリ
pollo	チキン
standard	基準
standard	スタンダード
standard	標準
helsinki	ヘルシンキ
hemisferio	半球
sex	性別
sex	セックス
peligroso	危険
derivada	デリバティブ
derivada	微分
derivada	派生
emperatriz	皇后
emperatriz	女帝
vestuario	コスチューム
vestuario	衣装
vestuario	装束
vestuario	コスチューム
vestuario	仮装
vestuario	衣装
vestuario	装束
vestuario	服飾
pesados	重い
pesados	ヘビー
panteón	pantheon
dignidad	威厳
dignidad	品格
dignidad	尊厳
paquetes	パッケージ
válido	有効
antonia	アントニア
got	got
felicidad	ハピネス
felicidad	幸福
felicidad	幸せ
stefan	シュテファン
stefan	ステファン
ceremonias	セレモニー
ceremonias	儀式
ceremonias	式典
encarnación	化身
brillantes	ブリリアント
apache	apache
limitaciones	制限
limitaciones	制約
demostración	デモ
demostración	デモンストレーション
demostración	実演
demostración	デモ
fall	落ちる
fall	落下
carros	カート
carros	荷車
carros	カーズ
embarazada	妊娠
benedicto	ベネディクト
butler	バトラー
inspiró	インスパイア
exiliados	流罪
hongos	キノコ
hongos	きのこ
hongos	マッシュルーム
hongos	菌類
hongos	キノコ
hongos	マッシュルーム
arrestado	逮捕
planet	惑星
poderosos	パワフル
cameron	キャメロン
beat	beat
beat	ビート
case	ケース
visibles	可視
elige	選択
obligatorio	強制
mixta	ミックス
mixta	混合
darwin	ダーウィン
manzana	リンゴ
manzana	りんご
manzana	アップル
manzana	林檎
estimaciones	見積もり
porta	ポルタ
nature	ネイチャー
nature	自然
maquinaria	機械
maquinaria	機械
domingos	日曜
domingos	日曜日
romántico	ロマンチック
obligaciones	義務
obligaciones	債務
supresión	削除
supresión	廃止
card	カード
laboratorios	labs
laboratorios	研究室
birmania	ビルマ
birmania	ミャンマー
guionistas	作家
basta	十分
pau	pau
andreas	アンドレアス
homosexual	ゲイ
mitos	神話
mitos	神話
progresista	プログレッシブ
ábside	アプス
matando	キリング
siberia	シベリア
siberia	シベリア
consorcio	コンソーシアム
comercialización	マーケティング
comercialización	マーチャンダイジング
mártires	殉教
mártires	殉教
gimnasio	体育館
gimnasio	ジム
gimnasio	体育館
lógico	論理
lógico	論理
hermoso	美しい
hermoso	ビューティフル
dados	与えられた
dados	ダイス
dados	サイコロ
dados	クラップス
ascender	昇順
euro	ユーロ
convencer	説得
leído	読み
leído	読み込み
leído	読み取り
leído	読む
chevrolet	シボレー
erik	エリック
marketing	マーケティング
siento	感じる
siento	feel
siento	フィール
acabado	終了
acabado	フィニッシュ
acabado	終了
acabado	仕上げ
harina	粉末
harina	小麦粉
diaria	デイリー
mural	壁画
teodoro	テオドール
madres	母親
aplicado	応用
trabajador	社員
trabajador	職員
listo	賢い
listo	賢い
listo	スマート
mongolia	モンゴル
müller	ミュラー
müller	ミュラー
mejorado	改良
mejorado	強化された
votaciones	投票
votaciones	投票
guitarristas	ギタリスト
semestre	学期
actrices	女優
representados	表現
diplomáticos	外交官
descubren	発見
muebles	家具
adquirida	後天性
armstrong	アームストロング
tel	tel
peruanos	ペルー
comerciante	マーチャント
comerciante	商人
comerciante	トレーダー
comerciante	ディーラー
cuántica	量子
anfitrión	ホスト
anfitrión	主催
chase	チェイス
hell	ヘル
hell	地獄
protestante	プロテスタント
adaptaciones	調整
adaptaciones	補正
barroca	バロック
andrade	アンドラーデ
búlgaro	ブルガリア
michigan	ミシガン
amanda	アマンダ
eliminatorias	プレーオフ
eliminatorias	プレイオフ
eliminatorias	予選
detección	検知
detección	検出
detección	検出
detección	検知
detección	検出
amantes	恋人
funeral	葬式
funeral	葬儀
aportes	入力
aportes	貢献
semilla	種子
semilla	シード
semilla	種子
semilla	シード
sobrevivientes	サバイバー
jules	ジュール
distribuida	分散
unitario	ユニタリ
wallace	ウォレス
true	トゥルー
true	true
true	本当
lucky	ラッキー
morning	モーニング
parma	パルマ
cumbres	サミット
cumbres	頂上
rca	rca
index	索引
index	インデックス
tyler	タイラー
sugieren	提案
súper	スーパー
tablero	ボード
tablero	ダッシュボード
pennsylvania	ペンシルバニア
confirma	確認
playoffs	プレーオフ
playoffs	プレーオフ
playoffs	プレイオフ
demonios	悪霊
zúrich	チューリッヒ
zúrich	チューリッヒ
hart	ハート
anuncios	広告
anuncios	アナウンス
anuncios	発表
lane	レーン
lane	車線
mate	マット
mate	マテ
mate	メイト
ayacucho	アヤクーチョ
cortar	裁断
cortar	切り取り
cortar	cut
cortar	カット
cortar	切り取り
glaciar	氷河
terceros	番目
terceros	サード
protector	プロテクター
its	str
its	sti
zar	zar
aficionado	アマチュア
estambul	イスタンブール
phillips	フィリップス
mama	乳房
mama	母乳
mama	ママ
mama	mama
herida	怪我
herida	傷口
herida	負傷
herida	怪我
herida	外傷
roles	役割
gardens	庭園
pirata	ハッカー
pirata	海賊
hope	ホープ
hope	希望
reed	リード
want	欲しい
seven	seven
seven	セブン
vásquez	バスケス
partiendo	出発
nulo	null
nulo	ヌル
indie	インディー
ferroviarios	鉄道
trampa	カンニング
trampa	浮気
trampa	トラップ
middle	真ん中
middle	ミドル
extendida	拡張
extendida	延長
kid	キッド
sousa	ソウザ
mascota	pet
mascota	ペット
mascota	ペット
mascota	マスコット
dispuestos	編曲
reorganización	更生
bala	弾丸
bala	銃弾
harvey	ハービー
harvey	ハーヴィー
harvey	ハーヴェイ
comandos	コマンド
ara	ara
madurez	満期
nicole	ニコル
ghana	ガーナ
esqueleto	スケルトン
esqueleto	骨格
candidaturas	ノミネート
candidaturas	候補者
where	どこ
bienal	ビエンナーレ
dominación	支配
recogida	コレクション
recogida	ピックアップ
privilegio	特権
privilegio	特権
diploma	ディプロマ
arquero	ゴールキーパー
comarcas	カウンティ
sugirió	おすすめ
aprovechar	馬具
aprovechar	ハーネス
machado	マチャド
sandoval	サンドヴァル
pasada	過去
through	through
through	スルー
cálido	あったかい
cálido	暖かい
cálido	温かい
gatos	キャッツ
gatos	ネコ
gatos	ネコ
gatos	ねこ
amplitud	振幅
trajes	コスチューム
trajes	衣装
trajes	装束
trajes	スーツ
eagle	ワシ
eagle	イーグル
coca	コーク
coca	コーラ
coca	コカ
dragones	ドラゴン
dragones	ドラゴンズ
dragones	ドラゴン
cubiertos	刃物
vientre	子宮
orgullo	プライド
orgullo	傲慢
orgullo	誇り
sonda	プローブ
salario	給料
salario	俸給
salario	給与
salario	賃金
