врат	nek
мексикански	meksikaanse
мексикански	mexican
изненадување	verrassing
дизајни	ontwerpe
миранда	miranda
патка	eend
патка	duck
ема	emma
застапеност	verteenwoordiging
хомер	homer
маја	maia
маја	maja
окленд	auckland
стипендија	beurs
маски	maskers
екстремитети	ledemate
формална	formele
формална	formal
часовници	horlosies
часовници	horlosies
тркала	wiele
бохемија	boheme
победува	wins
магнетни	magnetiese
кантон	canton
раководење	bestuur
апсолутно	absoluut
студена	cold
студена	koue
студена	koud
забранета	verbode
забранета	verbande
забранета	verban
доброволци	volunteers
активист	activist
погубен	uitgevoerde
погубен	uitgevoer
терминологија	terminology
нуклеарно	nuclear
вулкани	vulkane
управител	goewerneur
едвардс	edwards
братислава	bratislava
кристоф	christophe
кристоф	christof
практични	praktiese
глазгов	glasgow
истакнато	gemerk
истакнато	uitgelig
истакнато	inloer
истакнато	gewild
истакнато	uitgestal
истакнато	uitstal
референци	verwysings
кент	kent
отпорност	endurance
отпорност	weerstand
рода	roda
мајорка	majorka
мајорка	mallorca
хејс	hays
хејс	hayes
невработеноста	werkloosheid
квалификува	qualify
квалификува	kwalifiseer
илустрација	illustrasie
аферата	affair
тесни	smal
вртење	spinning
карактери	karakters
прстите	fingers
моќна	powerful
моќна	kragtige
белешка	nota
белешка	aantekeninge
стекнување	verkry
ниче	nietzsche
неуспешни	onsuksesvol
ганди	gandhi
предизвикан	uitgedaag
литературна	literêre
долар	dollar
секстант	sekstant
тувалу	tvl
седница	sessie
сосем	heel
пронаоѓање	bevinding
задачите	take
подножје	voetskrif
полицајци	polisiemanne
полицајци	beamptes
земање	vat
водеше	gehardloop
водеше	gelei
комунист	kommunistiese
повика	geroep
повика	gebel
повика	naamlik
грубо	rof
анкара	ankara
мареј	murray
кривични	kriminele
хелен	helen
добивањето	ontvang
генетика	genetika
точната	presiese
точната	presies
анимиран	geanimeerde
инчи	duime
инчи	duim
сајтови	webwerwe
сајтови	tuistes
сајтови	werwe
сајтови	sites
сајтови	terreine
сребрена	silwer
таџикистан	tadjikistan
погледнете	behold
социјалистички	sosialistiese
рамо	skouer
рекламирање	reklame
рекламирање	advertering
рекламирање	advertensies
алјаска	alaska
жлезда	klier
бактериите	bakterie
цвет	blom
селтик	celtic
селтик	smelt
семјуел	samuel
ахил	achilles
доволен	voldoende
сојузник	ally
хардвер	hardeware
факто	facto
штетни	skadelike
остар	skerp
федерални	federale
федерални	federal
руралните	landelike
руралните	rural
погребот	funeral
погребот	begrafnis
пронајдоци	inventions
моли	molly
мтв	mtv
чудо	miracle
отсуството	afwesigheid
рајт	wright
матка	uterus
хрвати	kroate
бунтовниците	rebels
бунтовниците	rebelle
топологија	topology
влажни	nat
прецизност	presisie
прецизност	akkuraatheid
лама	lama
лама	llama
автобиографија	outobiografie
муслиманско	muslim
муслиманско	moslem
муслиманско	moslems
лувр	louvre
шведскиот	sweedse
страст	passie
страст	passion
словачки	slowaaks
споредено	vergeleke
величини	groottes
величини	grotes
муниција	ammunisie
надминат	oorskry
зраците	strale
професионалци	professionals
професионалци	pros
функционални	funksionering
функционални	funksioneel
функционални	funksionele
конфигурација	opstelling
дует	duet
првичните	aanvanklike
бремена	swanger
тирана	tirana
сериозен	ernstige
сериозен	ernstig
точките	kolletjies
точките	kolle
испит	ondersoeke
испит	eksamen
хорор	gruwel
хорор	riller
хорор	horror
зрелост	mauritius
тенка	maer
тенка	dun
древни	antieke
рајнска	rhenish
мајсен	meißen
хемијата	chemie
романтична	romantiese
романтична	romanties
лео	leeu
мулти	multi
мирно	steady
мирно	vreedsame
мирно	rustige
мирно	vreedsaam
желби	wense
желби	begeer
утврден	daargestel
утврден	vasgestel
утврден	gevestig
мат	matt
мат	matte
мат	mat
алтернативна	afwissel
алтернативна	alternatiewe
насилно	geweldadig
насилно	geweldadige
насилно	violent
насилно	gewelddadig
свињи	varke
анимирани	geanimeerde
формација	stigting
опус	opus
ловец	hunter
ловец	jagter
славни	bekendes
бауцен	bautzen
екрани	skerms
потсдам	potsdam
длабок	diep
земјотреси	earthquakes
интересна	interessant
виолина	viool
пресуда	skuldigbevinding
пресуда	sin
пресуда	beslissing
пресуда	regerende
пресуда	vonnis
даб	dub
даб	oak
мајер	meier
мајер	mayer
мајер	meyer
пишан	geskryf
чума	plaag
вокер	walker
регистар	registreer
готфрид	gottfried
универзална	bekyk
присуствува	bywoon
присуствува	bygewoon
фраза	frase
обезбедени	verskaf
делегат	delegeer
фото	foto
грим	grimm
грим	grim
емилија	emilia
емилија	emilie
машко	manlike
машко	mannetjie
перси	percy
противниците	teenstanders
трон	throne
никарагва	nicaragua
законодавство	wetgewing
гота	gotha
руанда	rwanda
благодарност	dankbaarheid
благодарност	waardering
гласини	gerugte
гласини	gerugte
даноците	belastings
мапа	kaart
масакр	knee
масакр	slagting
санто	santo
голи	naked
голи	bare
васко	vasco
поединец	individuele
поединец	individu
формални	formele
формални	formal
старт	start
старт	begin
плутон	pluto
персијците	perse
духовно	geestelik
плочки	teël
плочки	geteël
плочки	teëls
оро	oro
укинување	herroeping
творец	skepper
творец	stigter
реге	reggae
одбиен	afgekeur
одбиен	verwerp
фотограф	fotograaf
полноќ	middernag
асен	asen
асен	assen
сомалија	somalia
примарен	primêr
примарен	primary
примарен	primêre
примарен	belangrikste
покривање	dekking
алгоритам	algoritme
вдовица	weduwee
иселеници	expats
преведува	vertalings
преведува	vertaal
навики	gewoontes
галерии	galleries
слободи	vryhede
контроверзии	controversy
филипини	filippyne
филипини	philippines
тренери	afrigters
месје	messier
напредни	moeiliker
напредни	gevorderde
напредни	gevorderd
фергусон	ferguson
партиски	party
партиски	feesvieringe
партиски	partytjie
партиски	partydige
новак	novak
јудаизмот	judaïsme
магдебург	maagdenburg
галаксијата	galaxy
галаксијата	sterrestelsel
дива	wildernis
дива	wild
дива	wilde
дива	diva
реклама	kommersiële
реклама	kommersieel
маркус	marcus
пензиски	pensioen
логор	kamp
фрајбург	freiburg
еднорог	unicorn
ерменски	armeense
риболов	visvang
лестер	lester
лестер	leicester
раствор	oplossing
андреас	andreas
андреас	andries
примаат	ontvang
ментално	mental
претставуваше	verteenwoordig
маглини	newels
атлас	atlas
кандидатот	kandidaat
мадона	madonna
мон	mont
мон	mon
летаат	fly
летаат	vlieg
роналд	ronald
унгарците	hongare
шерлок	sherlock
кувајт	kuwait
работилници	werkswinkels
грег	greg
грег	gregg
вујко	oom
додаден	bygevoeg
затворање	afsluiting
затворање	uitdien
отпуштен	gidse
отпуштен	afgedank
дерби	derby
болтон	bolton
глаголски	grammatikale
мешаат	opskud
мешаат	meng
пелопонез	peloponnese
синан	sinan
мирен	kalm
мирен	vreedsame
мирен	rustige
мирен	vreedsaam
рик	rick
индијанец	indiër
индијанец	indiese
ридовите	hills
одземање	aftrek
одземање	aftrek
карневал	carnival
карневал	karnaval
танцување	dans
пан	pan
литри	gelling
литри	liter
литри	liters
мислата	dog
мислата	gedink
полувреме	halftyd
кемпбел	campbell
толеранција	tolerance
настапила	glorious
ромео	romeo
предизвикано	uitgedaag
извозот	uitvoer
фински	fins
статуи	standbeelde
златно	goue
златно	golden
посветеност	toewyding
посветеност	verbintenis
посветеност	commitment
посветеност	devotion
национализам	nationalism
истакне	hoogtepunt
истакне	verlig
истакне	definieer
далај	dalai
летање	vlieënde
летање	flying
влажност	humiditeit
потрошувачи	verbruikers
бенедикт	benedictus
загадување	besoedeling
хрватите	kroate
хајделберг	heidelberg
харис	harris
христијанин	christian
христијанин	christene
христијанин	christen
христијанин	christiaan
торп	thorpe
интензивно	intens
интензивно	intense
југоисточен	suidoos
ричи	ritchie
ричи	richie
цврст	soliede
цврст	solied
цврст	tough
цврст	lot
предавство	joffe
тероризам	terrorisme
анкета	meningspeiling
анкета	opname
кристал	kristal
кристал	crystal
џејми	jamie
џејми	jaime
јарец	capricorn
јарец	steenbok
убиваат	doodmaak
благосостојба	welvaart
благосостојба	welfare
показатели	aanwysers
подвижни	verwyderbare
координатен	koördinaat
координатен	koördineer
такси	taxi
такси	cab
неутрална	neutraal
родос	rhodes
поштенска	posgeld
критична	kritieke
критична	krities
критична	kritiese
критична	kritiek
пенал	penalty
пенал	strafskop
домашно	domestic
домашно	huishoudelike
домашно	huiswerk
домашно	tuisgemaakte
континуитет	voortsetting
кантакузин	kantakouzenos
инспирирана	besiel
инспирирана	geïnspireer
иницијативата	mosie
иницијативата	motion
иницијативата	beweging
роналдо	ronaldo
скај	skye
присуствувал	bygewoon
олтар	altar
отфрла	rejects
тенок	maer
тенок	dun
третмани	behandelings
ајкула	shark
ајкула	haai
ајкула	haaie
сфери	sfere
андреја	andrea
монах	monk
култ	cult
прекинат	beëindig
мешана	gemeng
мешана	gemengde
предна	voorkant
предна	voor
предна	front
рамни	plat
фиба	fiba
ложа	sitkamer
автономен	outonome
тенеси	tennessee
бест	beste
пророк	profeet
пророк	profesie
воздухопловство	lugvaart
олово	lei
олово	lood
олово	aanvoer
хондурас	honduras
ливчиња	oortjies
месечно	maandelikse
месечно	maandeliks
месечно	maand
вооружена	gewapende
регулирање	behartig
странци	vreemdelinge
странци	buitelanders
дејмон	damon
неверојатно	ongelooflik
неверојатно	amazing
неверојатно	ongelooflik
дубаи	dubai
редок	skaars
виновен	skuldig
сиви	grys
сиви	grys
сиви	grey
мин	min
направа	toestel
направа	gadget
катастрофи	rampe
катастрофи	ramp
катастрофи	disaster
атол	atol
претворена	omgeskakel
претворена	geskakel
суверенитет	soewereiniteit
извонредно	extraordinary
извонредно	merkwaardig
извонредно	remarkable
извонредно	uitstaande
тулуз	toulouse
вернер	werner
младина	jeug
антарктикот	antarktika
саем	redelik
трилер	riller
глина	clay
семе	saad
администраторите	administrateurs
администраторите	admins
исклучен	af
исклучен	uitgesluit
исклучен	gevoer
доброволно	gewillig
доброволно	vrywillig
доброволно	vrywillige
доброволно	vrywillig
вредни	kosbare
вредни	waardevol
тринаесет	dertien
австрискиот	oostenrykse
преселба	beweeg
џезира	jazeera
религиозен	godsdienstige
религиозен	religieuse
религиозен	gelowige
сампдорија	sampdoria
индиска	indiër
индиска	indiese
принсипе	príncipe
ќелии	selle
хоризонтални	horisontale
најмалиот	kleinste
најмалиот	oorleg
пронаоѓач	soeker
пронаоѓач	finder
соништата	drome
вестминстер	westminster
статутот	statute
маргарита	margarita
апликацијата	aansoek
апликацијата	toepassings
апликацијата	toepassing
апликацијата	toepassing
увид	insig
нож	knife
нож	mes
стабилни	stabiel
стабилни	stable
стабилни	stabiele
измислил	uitgevind
спонзор	borg
треви	trevi
мисури	missouri
герлиц	görlitz
грант	verleen
грант	grant
словенскиот	slawiese
антили	antille
мозаик	mosaïek
поминати	bestee
тоскана	tuscany
тоскана	toskaanse
совршено	perfek
совршено	perfectly
пензија	aftrede
пензија	pensioen
платен	betaal
платен	betaalde
недостасува	ontbreek
недостасува	vermis
недостасува	afwesig
декада	dekade
скапоцени	precious
дерек	derek
назначени	aangestelde
членството	lidmaatskap
бонус	bonus
спротивен	teenoorgestelde
носење	geklee
носење	dra
носење	carry
клеопатра	cleopatra
домаќинство	huishouding
домаќинство	huishoudelike
ќелија	sel
изложена	blootgestel
изложена	kaak
невада	nevada
невада	noorweë
манифестира	manifes
манифестира	manifest
алтенбург	altenburg
алехандро	alejandro
дипломи	grade
дипломи	diplomas
фени	fanny
сесија	sessie
зголемено	toegeneem
зголемено	verhoogde
мозамбик	mozambique
мозамбик	mosambiek
колеџи	kolleges
ерфурт	erfurt
коли	motors
коли	karre
коли	cars
доктрина	leerstelling
џингис	djengis
учебници	handboeke
учебници	handboek
почитуван	agbare
почитуван	geagte
бредли	bradley
летало	lugskip
сопственоста	eienaarskap
растење	growth
растење	groei
марш	marsh
марш	maart
марш	optog
препорака	aanbeveling
одозгора	bo
морфологија	morfologie
шпанско	spaanse
шпанско	spaans
гори	skryf
гори	skryfwerk
регионално	streek
норма	norma
отфрли	weggooi
отфрли	verwerp
варење	vertering
замбија	zambië
замбија	zambia
рекреација	ontspanning
ставовите	attitudes
оштетен	beskadig
самуел	samuel
призната	herken
призната	erkende
призната	herken
призната	erkende
импулс	impulse
гамбија	gambië
лидија	lydia
лидија	lidia
комонвелтот	commonwealth
рут	ruth
банкноти	banknotes
женско	vroulik
женско	wyfie
хонда	honda
амстел	amstel
препознавање	herkenning
едмунд	edmund
астрологија	astrologie
астрологија	sterreteken
конечна	finale
конечна	finaal
решен	opgelos
решен	vasbeslote
решен	vasberade
решен	bepaal
градината	tuin
кембел	campbell
сопствено	eie
сопствено	aangepas
блага	mild
пијанист	pianis
пула	pula
зилт	sylt
префектури	prefekture
слушнал	aangehoor
рај	hemel
рај	heaven
рај	paradise
лови	hunt
мина	mina
комбинира	kombineer
апостолски	apostolic
апостолски	apostoliese
стандардизација	standardisation
предизвици	uitdagings
грип	griep
грип	flu
кражба	diefstal
цитати	aanhalings
цитати	aanhalings
дрвен	wooden
примарно	primêr
примарно	primary
примарно	primêre
примарно	belangrikste
примарно	hoofsaaklik
неофицијална	unofficial
наеднаш	suddenly
нло	ufo
партиите	partytjies
партиите	partye
муса	musa
фрост	frost
робертс	roberts
добивајќи	ontvang
отоманско	ottoman
фати	vang
фати	gryp
фати	grab
индустри	industries
твен	twain
полицаец	polisieman
полицаец	beampte
несакани	onnodige
несакани	ongewensde
несакани	ongewenste
бременост	swangerskap
точност	stiptelikheid
точност	akkuraatheid
процедура	prosedure
шпревалд	spreewald
заштитена	beskerm
летната	midsomerfees
погреб	burial
погреб	funeral
погреб	begrafnis
течна	vloeistof
авив	aviv
намери	rea
обележје	landmerk
обележје	baken
зелените	greens
хајзенберг	heisenberg
замисла	idee
позајмица	lening
леоне	leone
компир	aartappel
крос	kruis
атила	attila
минесота	minnesota
зајакнување	versterk
зајакнување	verbeter
зајакнување	hupstoot
зајакнување	bevorder
зајакнување	verbetering
