παναμά	панами
διαστημόπλοιο	зореліт
νιλ	ніл
διορθώσεις	виправлення
διορθώσεις	виправлення
διορθώσεις	edits
πρόδρομος	сировина
μαρόκου	марокко
ιού	вірус
φόρμα	форму
φόρμα	форма
φόρμα	комбінезон
διαφορών	суперечки
έζησαν	жили
έζησαν	жила
έζησαν	жив
αδάμ	адам
έλλη	еллі
έλλη	еллі
μιανμάρ	бірмі
προσφέρεται	запропоновано
προσφέρεται	запропонували
προσφέρεται	запропонував
κλειστή	закрита
κλειστή	закрито
κλειστή	закриті
κλειστή	зачинено
γράφημα	граф
γράφημα	графіка
γράφημα	графік
γράφημα	діаграма
γράφημα	діаграми
εκτόξευση	стартувати
εκτόξευση	запуск
ταϊλάνδη	таїланд
καπνού	тютюн
ρόδος	родос
φάρμακο	ліки
φάρμακο	медицина
φάρμακο	препарати
φάρμακο	наркотик
εκτελέσει	виконують
εκτελέσει	виконати
εκτελέσει	виконати
αιχμάλωτοι	затримані
αιχμάλωτοι	полонених
χάμιλτον	гамільтон
όμηρο	заручник
όμηρο	заручники
γυαλί	скло
κάτοικος	жителька
κάτοικος	мешканець
ουδέτερη	нейтральний
ουδέτερη	нейтральна
ευγενής	дворянин
ευγενής	благородний
ευγενής	благородні
ορυχεία	гірнича
ορυχεία	мін
ορυχεία	копальні
ορυχεία	міни
παράθεση	цитати
παράθεση	цитата
παράθεση	цитування
παράθεση	цитату
παράθεση	лапки
παράθεση	цитата
παράθεση	цитування
εξόρυξη	видобування
εξόρυξη	гірнича
ράιτ	райт
βόμβες	бомб
βόμβες	бомби
κλασσική	класична
πόντοι	точки
πόντοι	очки
πόντοι	пункти
πόντοι	очок
πόντοι	балів
πράκτορας	агент
επίδειξη	продемонструвати
επίδειξη	демонстрація
επίδειξη	демонстрацію
επιδημία	епідемія
επιδημία	епідемія
πρωσία	пруссія
πρεσβευτής	посол
σέρρες	серр
φόνο	вбивство
φόνο	убивство
συχνότητες	частоти
αμφιβολία	сумнівів
αμφιβολία	сумнів
αμφιβολία	сумніву
αμφιβολία	сумніваюся
αμφιβολία	сумніватися
ανταγωνισμού	змагання
μπενίν	бенін
μπενίν	царства
μέλισσα	джміль
μέλισσα	бджола
μέλισσα	бджоли
ποικίλλει	різною
ποικίλλει	змінюється
πορτογαλική	португальська
στέφαν	стефан
στέφαν	штефан
στέφαν	стефан
στέφαν	штефан
ινδονησίας	індонезійський
ινδονησίας	індонезія
ινδονησίας	індонезії
αντεπίθεση	контратака
κάμπελ	кемпбелл
γλωσσολογία	мовознавство
χρονος	тайм
χρονος	час
λουίζα	луїза
λουίζα	луїза
μοτίβο	взірець
μοτίβο	взірцем
μοτίβο	візерунок
μοτίβο	шаблон
ισοτιμία	парність
ισοτιμία	еквівалентності
μεταφραστής	перекладач
σουηδικά	шведська
παν	пан
παν	випічки
πες	say
πες	скажуть
πες	кажу
πες	сказати
πες	кажеш
πες	скажи
πες	розказати
πες	розкажіть
πες	розкажу
πες	розкажи
θάλασσες	моря
θάλασσες	морів
προγραμματισμός	планування
προγραμματισμός	планування
προγραμματισμός	програмування
προγραμματισμός	розклад
έβερτον	евертон
κάρτερ	картер
αρένα	арена
μπιν	скринька
μπιν	бін
μπιν	сабін
κίνητρα	мотивації
κίνητρα	мотивація
κίνητρα	мотивацію
κίνητρα	стимулів
κίνητρα	мотиви
δεσμοί	стосунку
δεσμοί	лінки
δεσμοί	посилання
δεσμοί	посиланнями
δεσμοί	посилань
δαχτυλίδι	кільце
δαχτυλίδι	перстень
δαχτυλίδι	каблучка
δαχτυλίδι	кільцева
ολοκληρωμένο	комплексний
νύχτες	ночі
νύχτες	ночей
δέσποινα	деспіна
ψηφιακά	цифрове
ψηφιακά	digital
ψηφιακά	цифрова
ψηφιακά	цифровий
νέλσον	нельсон
διαλύματα	рішення
διαλύματα	вирішення
ανιψιός	племінник
κλήση	дзвінок
κλήση	зателефонувати
κλήση	виклик
κλήση	дзвонить
κλήση	покликання
κλήση	викликає
κλήση	звертаюсь
πρόνοιας	дотації
έπαυλη	маєток
παντρεμένη	одружені
παντρεμένη	заміжня
παντρεμένη	одружена
παντρεμένη	заміж
παντρεμένη	одружений
ενδοχώρα	материка
ουίλιαμς	вільямс
χιόνι	сніг
μοναχούς	монахи
αυστριακοί	австрійці
ανατομία	анатомія
σχεδιασμένο	розроблена
σχεδιασμένο	розробив
σχεδιασμένο	розроблено
σχεδιασμένο	запланована
σχεδιασμένο	заплановано
σχεδιασμένο	запланований
σχεδιασμένο	заплановане
δαπάνες	зняття
μπαχρέιν	бахрейн
γένη	айстрових
δίδασκε	навчили
δίδασκε	вчили
δίδασκε	навчила
δίδασκε	викладав
δίδασκε	навчив
έτοιμος	готовий
έτοιμος	напоготові
έτοιμος	готові
έτοιμος	готове
έτοιμος	готовність
έτοιμος	готова
συνεχόμενα	неодноразово
εξασφαλίζει	доводить
επικίνδυνο	небезпечні
επικίνδυνο	небезпечна
επικίνδυνο	небезпечний
επικίνδυνο	небезпечно
υπέφερε	страждав
υπέφερε	зазнали
υπέφερε	зазнав
επιπλοκές	ускладнення
δρομολόγια	шляхи
δρομολόγια	маршрутів
δρομολόγια	маршрути
ντεπορτίβο	депортіво
όρκο	обітниця
όρκο	присягу
όρκο	присягнувся
προειδοποίηση	попередження
προειδοποίηση	увага
λύρα	ліри
έβδομο	сьомому
έβδομο	сьомий
έβδομο	сьома
νοημοσύνη	інтелект
νοημοσύνη	розвідка
νοημοσύνη	інтелект
ανησυχία	турботу
ανησυχία	занепокоєння
ιστούς	павутині
ιστούς	тканинах
επιλέγει	вибирає
επιλέγει	обирає
επιλέγει	обирає
οκλαχόμα	оклахома
πάχος	товщина
θάρρος	мужність
ενεργός	активна
ενεργός	активні
ενεργός	активне
ενεργός	активним
ενεργός	активний
αδύνατη	неможлива
αδύνατη	неможливе
αδύνατη	неможливо
αερολιμένας	аеропорт
δεσμός	справі
δεσμός	посиланням
δεσμός	посилання
δεσμός	link
δεσμός	лінк
δεσμός	бонд
σεξ	стать
σεξ	секс
σεξ	sex
περιοδείες	тури
περιοδείες	турів
άλφα	alpha
άλφα	альфа
άλφα	alfa
άλφα	вишиванці
εχθρός	ворог
εχθρός	розрізнити
νεολιθική	неоліт
γκαμπόν	габону
πρόοδος	прогрес
πρόοδος	поступ
συγγνώμη	вибачте
συγγνώμη	шкода
συγγνώμη	пробачте
συγγνώμη	перепрошую
συγγνώμη	прикро
λογοκρισία	цензура
μικτή	змішана
μικτή	змішаний
μικτή	змішані
οφέλη	переваги
οφέλη	вигоди
ημι	крапкою
ημι	напів
μελά	мела
γκόγια	гойя
σοφοκλή	софокл
κανονισμούς	статут
κανονισμούς	постанов
κέντρων	центрах
αναστολή	призупинити
αναστολή	підвіска
αναστολή	призупинення
αναστολή	призупинено
ομιλίες	доповідей
διέκοψε	перервано
συνεργάτη	партнер
συνεργάτη	напарник
συνεργάτη	партнерські
αμυντική	захисний
κίνητρο	мотив
κίνητρο	мотивації
κίνητρο	мотивація
κίνητρο	мотивацію
κίνητρο	стимулів
χάρολντ	гарольд
βουδαπέστη	будапешт
ανταρκτική	антарктична
ανταρκτική	антарктида
ανταρκτική	антарктиди
αλάτι	сіль
αλάτι	солі
ορλεάνης	орлеан
σιτάρι	пшениці
σιτάρι	житом
ράλλη	раллі
άστρο	astro
διάσωση	врятувати
διάσωση	рятівник
διάσωση	порятунок
πινακίδες	знаки
πινακίδες	тарілки
πινακίδες	знаки
πινακίδες	написи
γκλεν	глен
γκλεν	гленн
μονάρχης	монарх
δούλευε	спрацювало
δούλευε	працював
δούλευε	працювали
δούλευε	працювала
μελωδία	мелодія
μελωδία	мелодії
μελωδία	мелодію
μυστήριο	mystery
μυστήριο	таємниця
μυστήριο	загадка
μυστήριο	таїнства
μάνα	матір
μάνα	мати
μάνα	матері
τοιχογραφία	фреско
γλωσσική	мовні
γλωσσική	мовний
τιμά	чеснот
τιμά	чесноти
τιμά	вшановує
ουρανός	небом
ουρανός	небо
ουρανός	небо
μειώσει	зменшити
μόλυνση	забруднення
μόλυνση	інфекція
ιατρικό	медичних
ιατρικό	медичний
ιατρικό	medical
ιατρικό	медична
ιατρικό	медичні
προθέσεις	наміри
μπουρούντι	бурунді
ταυτόχρονη	конкурентні
ταυτόχρονη	одночасних
λιθίου	літію
τυχαίο	випадковість
τυχαίο	випадкові
τυχαίο	випадкове
τυχαίο	випадковий
τυχαίο	випадкова
τυχαίο	випадкових
τυχαίο	навмання
πολιτισμούς	культур
λεωνίδα	леонід
μαλάουι	малаві
επιθετική	агресивний
επιθετική	агресивні
σιδηροδρόμων	залізнична
σιδηροδρόμων	залізниця
σιδηροδρόμων	залізниця
σιδηροδρόμων	залізниці
αφρικανική	африканська
αφρικανική	африканський
αφρικανική	африканські
αφρικανική	африканських
σπουδαιότητα	важливості
σπουδαιότητα	важливість
παρατηρητές	спостерігачі
παρατηρητές	спостерігачів
κέλυφος	оболонка
κέλυφος	оболонки
μπάρτον	бертон
μπάρτον	бартон
έντι	едді
έντι	едді
μπουρκίνα	буркіна
φάσο	фасо
πορτρέτα	портрети
κάρτες	карт
κάρτες	карти
κάρτες	карток
κάρτες	картки
πληρώσει	заплатити
πληρώσει	платять
πληρώσει	заплатить
ελίτ	еліта
μύτη	ніс
έπαθλο	премія
ναυτικός	моряк
ναυτικός	mariner
τζέρσεϊ	джерсі
ιερή	святе
ιερή	священна
ιερή	священні
βασιλεύς	кінг
βασιλεύς	король
βασιλεύς	цар
μις	міс
μορφοποίησης	форматування
ουράς	хвіст
ιός	вірус
ενώνει	приєднується
ενώνει	вступає
μαχητικό	боєць
μαχητικό	винищувач
επίπεδη	рівна
γιατρό	лікар
γιατρό	лікаря
γιατρό	доктор
γιατρό	лікарю
πάμπλο	пабло
ανδρόνικος	андронік
σαντ	пісок
σαντ	сант
σαντ	чорноморський
τοπικός	локальні
τοπικός	місцеві
τοπικός	локальна
τοπικός	локальний
τοπικός	місцевий
προτιμούν	перевагу
προκλήθηκε	призвела
προκλήθηκε	викликала
προκλήθηκε	завдали
βίαια	криваво
βίαια	агресивних
βίαια	жорстокі
βίαια	жорстоке
επηρεάζεται	чинив
επηρεάζεται	задіяні
επηρεάζεται	ураження
ξενοδοχεία	готелях
ξενοδοχεία	готелі
ξενοδοχεία	готелів
συγκριτικά	порівняльна
συγκριτικά	порівняно
πρώιμο	передчасно
αποθήκη	склад
αποθήκη	зберігання
αποθήκη	носії
αποθήκη	сховище
νιγηρίας	квартету
νιγηρίας	нігерія
νιγηρίας	нігерії
λάζαρος	лазаря
ζωές	життів
ζωές	живе
σημάδι	підписати
σημάδι	знак
μοριακό	молекулярна
ψήφισμα	resolution
υπουργών	міністрів
υπουργών	міністри
αποφευχθεί	уникнути
αποφευχθεί	уникайте
αποφευχθεί	уникати
βρύση	кран
ενδιαφέρεται	цікавиться
ενδιαφέρεται	зацікавлений
ενδιαφέρεται	зацікавило
ενδιαφέρεται	цікаво
ενδιαφέρεται	цікавить
ενδιαφέρεται	цікавляться
ώθηση	рекламувати
ώθηση	boost
εξασφαλίζοντας	переконатися
εξασφαλίζοντας	забезпечити
εξασφαλίζοντας	створюючи
λας	лас
λας	las
βικτώρια	вікторія
λευκορωσία	білорусі
λευκορωσία	білорусь
πλέγμα	сітка
πλέγμα	сітку
πλέγμα	сітка
πλέγμα	сітки
πλέγμα	grid
πλέγμα	ґратка
λένινγκραντ	ленінград
ντιέγκο	дієго
κατοικεί	згортається
κομοτηνή	комотіні
απεικονίζονται	дівочі
μάνη	mani
πρώτον	перше
πρώτον	перша
πρώτον	перший
δημοσιογραφία	журналісти
δημοσιογραφία	журналістика
ρυθμίσεις	аранжування
ρυθμίσεις	конфігурація
ρυθμίσεις	налаштування
ρυθμίσεις	налаштуваннях
ρυθμίσεις	налаштування
ρυθμίσεις	параметри
δένδρα	дерев
δένδρα	дерева
δεκτός	прийнято
δεκτός	прийняті
δεκτός	прийняли
δεκτός	прийнятий
συντρόφους	сподвижників
κολύμβηση	купання
κολύμβηση	плавання
υπερβαίνει	перевищує
ανέβηκαν	завантажено
δουλεία	рабство
δουλεία	рабства
αναλύσεις	вивчено
χρέος	борг
χρέος	боргу
μειωμένη	меншає
μειωμένη	зменшено
μειωμένη	зведена
πιτ	піт
υπεύθυνοι	відповідальний
υπεύθυνοι	відповідальна
βαυαρία	баварська
βαυαρία	баварський
βαυαρία	баварія
νεκρή	помер
νεκρή	померла
νεκρή	мертвий
νεκρή	dead
σεβίλλη	севілья
σεβίλλη	севільї
άσυλο	asylum
κέρδος	прибуток
κέρδος	підсилення
κέρδος	заробити
σιέρα	сьєрра
πολωνός	польською
πολωνός	польську
πολωνός	польська
πολωνός	польські
πολωνός	польське
θησαυρός	скарб
χάος	хаос
κλαδιά	філії
κλαδιά	гілками
κλαδιά	гілки
λεπτή	струнка
λεπτή	тонка
λεπτή	тонкі
λεπτή	тонкий
λεπτή	ніжною
λεπτή	ніжні
λεπτή	тендітна
σουηδός	шведська
υιοθέτηση	усиновлення
υιοθέτηση	прийняття
αυτιά	вуха
ηγεμονία	гегемонія
ηγεμονία	dominion
κατάρ	катару
ευρεσιτεχνίας	патент
απόσπαση	публікувати
απόσπαση	розміщення
απόσπαση	публікація
απόσπαση	публікування
μαλαισία	малайзії
μηχανήματα	техніка
μηχανήματα	ютери
μηχανήματα	автоматів
μηχανήματα	машини
μηχανήματα	машинами
πληροφορική	інформатики
ποντίκι	миша
ποντίκι	мишу
ποντίκι	мишкою
ποντίκι	миші
ποντίκι	мишка
μίλερ	міллер
μίλερ	мюллер
πυκνό	зосередитись
πυκνό	щільна
ύφασμα	тканина
ύφασμα	тканину
ύφασμα	тканина
συμβουλή	порада
συμβουλή	пораду
συμβουλή	поради
συμβουλή	порада
συμβουλή	підказка
σφάλματα	помилки
σφάλματα	помилки
σφάλματα	жуків
σφάλματα	вад
σφάλματα	вади
καραμανλής	караманліс
συντελεστή	коефіцієнт
προσευχή	молитва
άνταμς	адамс
μεσημέρι	полудень
μεσημέρι	обід
ήξερε	знала
ήξερε	знало
ήξερε	знали
ήξερε	знав
διαφυγής	втеча
διαφυγής	втечу
διαφυγής	втекти
ρομπ	роб
νευρικό	нервовий
σουηδική	шведська
τρένο	потяг
τρένο	поїзд
αιθιοπίας	ефіопський
κιριμπάτι	кірибаті
βολιβία	болівії
κύκλοι	кіл
κύκλοι	кола
κύκλοι	циклів
μεσαίο	середня
μεσαίο	посередині
μεσαίο	середньої
μεσαίο	середина
μεσαίο	середній
μεσαίο	середній
μεσαίο	носій
μεσαίο	середня
μεσαίο	середні
κάμερον	кемерон
θεώρηση	візи
θεώρηση	віза
θεώρηση	візи
φόβος	fear
φόβος	страх
φόβος	страху
κολωνία	кельн
βαθμίδα	tier
κατασκευαστές	виробники
προωθεί	сприяє
περίχωρα	околиці
αρχικώς	спочатку
καζάν	казані
κατάθλιψη	депресії
κατάθλιψη	депресія
κατάθλιψη	депресія
φανερό	очевидно
φανερό	очевидне
φανερό	банально
φανερό	очевидна
ουδετερότητα	нейтралітет
επιβάλει	накладати
επιβάλει	боронити
λοιπά	інший
λοιπά	інша
λοιπά	інші
λοιπά	інше
λοιπά	інших
άλεν	аллен
αλεξέι	олексій
βλαχίας	волощина
όραση	зір
όραση	видіння
όραση	зір
όραση	vision
όραση	бачення
παρατηρητή	спостерігач
παρατηρητή	спостерігача
βαρβάρα	варвара
εκδηλώθηκε	виявив
σκληρός	жорстокий
σκληρός	жорстока
σκληρός	жорстоко
σκληρός	жорстокі
σκληρός	жорстокість
σκληρός	hard
σκληρός	тяжко
σκληρός	важкий
σκληρός	складна
σκληρός	важка
σκληρός	жорсткий
σκληρός	витривалі
διπλωμάτες	дипломати
διπλωμάτες	дипломатів
νάνος	карлик
νάνος	гном
κατανοητό	зрозуміла
κατανοητό	зрозуміло
κατανοητό	зрозуміли
κατανοητό	прийнятним
κατανοητό	зрозумілий
κλάδοι	філії
κλάδοι	гілками
κλάδοι	гілки
κλάδοι	секторів
κλάδοι	сектори
αλβανική	албанська
αναγκαίο	необхідно
αναγκαίο	необхідні
αναγκαίο	необхідним
προαγωγή	підвищення
προαγωγή	просування
προαγωγή	заохочення
επιβίωση	пережити
επιβίωση	виживають
επιβίωση	вижити
επιβίωση	виживання
γιορκ	йорк
λιλ	lil
λιλ	лілль
εξαιρετικό	відмінний
εξαιρετικό	чудова
εξαιρετικό	відмінно
αισθήματα	емоції
αισθήματα	почуття
εκδότες	видавців
εκδότες	редакторів
ομάν	оману
πρόσθεση	додавання
πρόσθεση	додавання
φίλτρο	фільтрувати
φίλτρο	фільтр
φίλτρο	зілля
ηγούμενος	перед
ηγούμενος	абат
ομπάμα	обама
καγκελάριος	канцлер
προσέλαβε	найняв
καραϊβική	caribbean
μεταμόρφωση	метаморфоз
μεταμόρφωση	трансформація
μεταμόρφωση	перетворення
μεταμόρφωση	перетворити
μεταμόρφωση	перетворення
θεμελιώδη	основне
θεμελιώδη	фундаментальні
κίεβο	київ
πραγματοποίηση	реалізації
πραγματοποίηση	реалізація
συμβάν	інцидент
συμβάν	дтп
συμβάν	подію
συμβάν	події
συμβάν	подією
συμβάν	подія
βρείτε	пошук
βρείτε	знайти
βρείτε	знайдіть
βρείτε	find
διαμαρτυρίες	протести
δίωξη	звинувачення
δίωξη	обвинувачення
κλασικά	класика
κλασικά	класику
κλασικά	класична
κλασικά	класична
κλασικά	класичні
κλασικά	класичний
κλασικά	класика
κλασικά	класичне
δυναμικά	динамічно
δυναμικά	динамічний
δυναμικά	динамічні
δυναμικά	динамічна
δυναμικά	динамічне
ήθη	мораль
άντι	енді
τεχνικός	технік
χτύπησε	удар
χτύπησε	хіт
χτύπησε	влучити
χτύπησε	зачепив
χτύπησε	вдарив
τέρας	звір
τέρας	монстр
κατακτητές	завойовники
οπαδός	читача
οπαδός	послідовником
οπαδός	читач
μεμβράνη	фільм
μεμβράνη	плівка
μεμβράνη	мембрана
εισιτήριο	квиток
εισιτήριο	квитків
βεβαιότητα	впевненості
παράλληλες	паралельний
παράλληλες	паралельні
παράλληλες	паралельно
αποκαλύπτεται	розкриває
αποκαλύπτεται	названо
αποκαλύπτεται	відкрив
πέταξε	fly
πέταξε	літати
πέταξε	муха
πέταξε	лети
πέταξε	прилетіли
πέταξε	пролетів
πέταξε	полетіли
πέταξε	летів
πέταξε	прилетіла
αριζόνα	аризона
τίτο	тіто
αύριο	завтра
αύριο	tomorrow
λίνκολν	лінкольн
ιόντων	іон
συντελεστής	коефіцієнт
συντελεστής	оцінити
συντελεστής	частота
συντελεστής	швидкість
συντελεστής	оцініть
συντελεστής	ставка
συντελεστής	фактори
συντελεστής	коефіцієнт
συντελεστής	фактор
μισά	половинки
μισά	пів
μισά	півтори
μισά	половина
μισά	половину
μισά	наполовину
διευθύνσεις	адреси
διευθύνσεις	адрес
επιβεβαιώθηκε	підтверджено
επιβεβαιώθηκε	підтвердила
επιβεβαιώθηκε	підтвердили
επιβεβαιώθηκε	підтверджена
παλέρμο	палермо
ρητορική	риторика
ρητορική	риторичне
ποταμούς	річок
ποταμούς	річки
ποταμούς	ріки
διαφορική	диференціальна
πρύτανης	ректора
εβραϊκό	єврейський
εβραϊκό	єврейська
εβραϊκό	єврейська
εβραϊκό	іврит
δημιουργό	творець
δημιουργό	автор
δημιουργό	створив
φόρους	податки
ακριβείς	точним
ακριβείς	точні
ακριβείς	точний
ακριβείς	точні
ακριβείς	точна
ακριβείς	акуратно
ευγενή	благородний
ευγενή	благородні
δίδυμο	duo
δίδυμο	близнюк
ουάσιγκτον	washington
ουάσιγκτον	вашингтон
ουάσιγκτον	вашингтона
πατέρες	отці
πατέρες	батьки
γαλάζιο	blue
γαλάζιο	блакитні
γαλάζιο	блакитний
γαλάζιο	блакитна
γαλάζιο	синій
γαλάζιο	сині
γαλάζιο	azure
οικολογία	екологія
πτώμα	тіло
πτώμα	тіла
πτώμα	туші
πτώμα	труп
ερωμένη	коханець
διασπορά	дисперсія
διασπορά	дисперсія
καύση	спалити
καύση	записати
καύση	burn
καύση	горіння
καύση	палає
λετονίας	латвії
λετονίας	латвія
υπόγειο	підземні
υπόγειο	підземний
υπόγειο	підпілля
υπόγειο	підвал
ποινές	штрафи
ποινές	штрафів
ποινές	речення
ποινές	речень
αντίστροφο	зворотній
αντίστροφο	обернений
αντίστροφο	зворотний
ίντερνετ	інтернет
παρέχοντας	надання
πεκίνο	пекін
πεκίνο	пекінська
ανοίγματα	дебютів
κρύο	холодні
κρύο	холодна
κρύο	холод
κρύο	холодно
κρύο	холодний
ψηφοφόροι	виборців
διάλογος	діалог
διάλογος	діалог
αντάντ	адад
φορώντας	носять
τατζικιστάν	таджикистану
σάιμον	симон
σάιμον	сімон
σάιμον	саймон
χαλκό	міді
χαλκό	мідь
ουρουγουάης	уругвай
χαρακτηρισμός	позначення
χαρακτηρισμός	characterization
τρύπες	дірки
τρύπες	отвори
τρύπες	дір
άμμο	пісок
αποθήκες	склади
πλάσμα	плазма
πλάσμα	істота
πλάσμα	створіння
κλειδιά	клавіші
κλειδιά	ключі
ισλαμικό	ісламський
δικαστής	суддя
δικαστής	судді
δικαστής	суддю
δικαστής	магістрат
φρούρια	фортеці
δυνατά	гучний
δυνατά	голосно
δυνατά	гучно
δυνατά	яскрава
μήκη	довжини
τοπολογία	топологія
πολωνοί	польською
πολωνοί	польську
πολωνοί	польська
πολωνοί	польські
πολωνοί	польське
πολωνοί	поляків
πολωνοί	поляки
πράσινοι	зелень
πράσινοι	зелені
άξονες	осі
αυτοκινητόδρομος	автомагістраль
αυτοκινητόδρομος	шосе
αυτοκινητόδρομος	шосе
βίβλο	біблія
πιέτρο	pietro
μπρόντγουεϊ	бродвей
κάθετη	вертикальна
κάθετη	вертикальне
κάθετη	вертикальні
κάθετη	вертикально
κάθετη	вертикаль
κάθετη	вертикальний
βίκτωρ	віктор
βίκτωρ	віктор
βίκτωρ	переможцю
υποδιαιρέσεις	підрозділи
πράσινα	зелене
πράσινα	зелені
πράσινα	зелений
θιβέτ	тибетська
θιβέτ	тибету
υποσχέθηκε	обіцяла
υποσχέθηκε	обіцяв
υποσχέθηκε	пообіцяв
σχεδιαστές	дизайнери
σχεδιαστές	дизайнерів
λευκορωσίας	білоруський
λευκορωσίας	білоруська
καλλιτεχνικές	художні
καλλιτεχνικές	художнього
προσωπικός	особисті
προσωπικός	особисте
προσωπικός	особистий
προσωπικός	персональний
αναλογίες	пропорції
δωρεές	пожертви
ακριβές	точним
ακριβές	точні
ακριβές	точний
ακριβές	точні
ακριβές	точна
ακριβές	акуратно
ακριβές	точне
ακριβές	точні
ακριβές	точна
ακριβές	точний
μεσοποταμία	межиріччя
νοσοκομεία	лікарнях
νοσοκομεία	лікарень
καρδινάλιος	кількісний
επώνυμα	прізвища
επώνυμα	фірмова
παραδοσιακός	традиційними
παραδοσιακός	традиційний
παραδοσιακός	традиційні
παραδοσιακός	традиційна
παραδοσιακός	традиційне
αποφασιστική	рішучий
επιλεγμένα	вибраний
επιλεγμένα	обрані
επιλεγμένα	вибрані
επιλεγμένα	вибране
επιλεγμένα	вибрано
αγγελική	анжеліка
προτιμήσεις	уподобання
προτιμήσεις	налаштування
προτιμήσεις	вподобання
έλξης	тяга
έλξης	привабливості
έλξης	атракціон
έλξης	притягнення
ψήφισαν	проголосували
ψήφισαν	голосував
ψήφισαν	проголосував
ομαλή	плавне
ομαλή	згладжування
ομαλή	плавні
ομαλή	плавно
ομαλή	гладкий
κληρικοί	диякони
εξυπηρέτηση	служби
εξυπηρέτηση	service
εξυπηρέτηση	служба
εξυπηρέτηση	послуга
εξυπηρέτηση	сервіс
τζέρι	джері
τζέρι	джеррі
τζέρι	джері
τζέρι	джеррі
παραμύθια	казки
ρούζβελτ	рузвельт
ενορίες	парафій
κανόνια	гарматами
κανόνια	гармат
κανόνια	гармата
κανόνια	гармати
μελετήσει	вчився
μελετήσει	вивчав
μελετήσει	вивчила
μελετήσει	навчався
παρασκευάζεται	виготовлено
παρασκευάζεται	виготовлена
γλυκά	цукерки
γλυκά	солодощі
γλυκά	солодке
γλυκά	цукерки
γλυκά	вата
γλυκά	кенді
γλυκά	прикраси
γλυκά	солодка
γλυκά	солодкі
γλυκά	солодкий
ολόκληρα	ціла
ολόκληρα	цілу
ολόκληρα	цілий
ολόκληρα	ціла
ταφή	поховання
μονπελιέ	монпельє
σεραφείμ	серафим
εκπομπών	викидів
εκπομπών	емісія
μακάμπι	маккабі
ανώνυμη	анонімний
ανώνυμη	наркомани
ομιλητές	спікерів
πεπερασμένο	скінченна
εισοδήματος	вклади
εισοδήματος	прибуток
εισοδήματος	дохід
εισοδήματος	прибутки
μετανάστευσε	емігрував
μεγαλώνει	росте
μεγαλώνει	нарощування
μεγαλώνει	росте
μεγαλώνει	зростати
μεγαλώνει	зростає
δανιήλ	daniel
δανιήλ	даніел
δανιήλ	даніель
δανιήλ	деніел
δανιήλ	данило
φαρμακευτική	фармацевтична
φαρμακευτική	pharmaceuticals
συνδρομή	допомогу
συνδρομή	допомоги
συνδρομή	підписка
συνδρομή	підписки
καππαδοκίας	каппадокія
ετιέν	етьєнн
ετιέν	етьєн
