bratislava	براتیسلاوا
oregon	اورگان
oregon	اورگن
bănci	بنک
bănci	بانکها
bănci	بانک
bănci	بنکس
restaurant	رستورانی
restaurant	رستوران
baltă	چاله
pavia	پاویا
impuse	تحمیل
silezia	سیلسیان
silezia	سیلزی
uriaș	غول
tabere	اردوگاه
alma	الما
alma	آلما
atribuie	انتساب
formulă	فرمول
kentucky	کنتاکی
mărfuri	محموله
mărfuri	کالاهای
mărfuri	کالا
mărfuri	اجناس
mărfuri	کالاها
mărfuri	کالاها
belle	بل
grâu	گندم
cuantică	کوانتوم
cuantică	کوانتومی
văzute	ندیده
văzute	دیده
walt	والت
dublin	دابلین
dublin	دوبلین
festivaluri	جشنهای
ball	بال
ball	توپ
rusesc	روس
rusesc	روسیه
rusesc	روسی
concepte	مفاهیم
padova	پادوا
echivalentul	معادل
fani	هواداران
fani	هوادارن
fani	طرفداران
plovdiv	پلوودیو
morminte	گورها
morminte	قبرها
morminte	گورها
morminte	گریوز
colegi	همکاران
potențialul	بالقوه
potențialul	پتانسیل
exactă	دقیق
horror	ترسناک
horror	وحشت
vizibile	نمایان
vizibile	مرئی
flash	فلش
flash	flash
flash	فلاش
duminica	ساندی
duminica	یکشنبه
srl	llc
srl	srl
srl	ltd
persia	پرشیا
elementare	ابتدایی
elementare	مقدماتی
christina	کریستینا
datorat	بدهکار
succesiunea	جانشینی
protocol	قرارداد
protocol	پروتکل
update	بهروز
execută	اجرا
ecuador	اکوادور
bull	بول
kenya	کنیا
ntupdate	ntupdate
november	نوامبر
locații	مکانهای
locații	مکانها
locații	محلهای
biblie	انجیل
durere	درد
durere	دردی
durere	درده
durere	دردم
întâlniri	جلسات
lucrând	کار
taiwan	تایوان
dramatică	دراماتیک
tereza	ترسا
tereza	تریسا
tereza	ترزا
semnată	امضا
baptiste	باپتیست
stelele	ستارگان
sovieticii	شوروی
sovieticii	شوراها
praf	غبار
praf	خاک
praf	باروت
praf	پودر
haga	هیگ
zeus	زاوش
zeus	زئوس
animat	پویانمایی
animat	کارتونی
animat	انیمیشن
nintendo	نینتندو
locuită	سکونت
semnal	انتن
semnal	سیگنال
semnal	علامت
ceas	کلاک
ceas	ساعت
democrație	دمکراسی
democrație	دموکراسی
alfa	آلفا
expune	افشا
partener	همکار
partener	شریک
cerințele	نیازها
cerințele	نیازهای
amenințare	تحدید
amenințare	تهدید
bolta	طاق
lovituri	طوفانی
vizitează	آباد
vizitează	ملاقات
vizitează	عیادت
vizitează	بازدید
vizibil	نمایان
vizibil	مرئی
sporturi	اسپرت
sporturi	اسپورت
sporturi	ورزشی
sporturi	ورزش
informatii	اطلاعات
informatii	اطلاعات
informatii	معلومات
observație	مشاهده
observație	رصد
parker	پارکر
zeilor	خدایان
discovery	اکتشاف
discovery	دیسکاوری
discovery	کشف
găsiți	یافتن
dur	ناهموار
dur	خروشان
dur	عالیست
tăiat	قطع
tăiat	برش
tăiat	کات
etajul	کف
etajul	کفپوش
etajul	طبقه
chapelle	شاپل
strategie	استراتژی
strategie	راهبرد
peisaj	عرضی
peisaj	منظره
attila	آتیلا
experiment	آزمایش
vinci	وینچی
reptile	خزندگان
reptile	خزنده
reptile	خزندگان
convinge	متقاعد
sportul	sport
sportul	اسپورت
sportul	ورزش
sportul	ورزشی
sportul	ورزشکار
leul	شیر
personalul	کارکنان
personalul	پرسنل
personalul	کارمندان
personalul	ستاد
personalul	عصای
plată	پرداختی
plată	دستمزد
plată	اجری
plată	پرداخت
won	وون
integrarea	یکپارچگی
reci	سرما
reci	سرد
reci	سرماخوردگی
integrat	مجتمع
integrat	یکپارچه
roosevelt	روزولت
vasili	واسیلی
aviație	هوانوردی
aviație	هواپیمایی
spanioli	اسپانیا
spanioli	اسپانیایی
heinz	هاینتس
heinz	هاینز
thompson	تامسون
thompson	تامپسون
wallace	والاس
wallace	والیس
monarh	مونارچ
beethoven	بتهوون
ploaie	باران
ploaie	بارانی
ploaie	بارون
islamului	اسلام
bremen	برمن
zagora	زاگورا
artificial	مصنوعی
solară	خورشیدی
disponibilă	موجود
reprezentative	نماینده
marino	مارینو
fetele	دخترها
fetele	دختران
strategia	استراتژی
strategia	راهبرد
transmise	ارسالی
culmea	ریج
identice	همسان
identice	منطبق
fotografia	فتو
fotografia	photo
fotografia	عکس
fotografia	عکاسی
fotografia	photography
fotografia	عکسبرداری
locuite	سکونت
albrecht	آلبرشت
aia	که
separarea	جداسازی
separarea	جدایی
separarea	تفکیک
separarea	فراق
datoria	وظیفه
scrisoarea	حرف
scrisoarea	نامه
scrisoarea	نامهای
eroul	قهرمان
eroul	پهلوان
aviației	هوانوردی
aviației	هواپیمایی
rupt	شکسته
integrate	مجتمع
integrate	یکپارچه
panama	پاناما
greaca	یونان
greaca	یونانی
nancy	نانسی
comisie	تصدی
comisie	کمیسیون
reveni	رجعت
reveni	بازگشت
westfalia	وستفالن
arkansas	آرکانزاس
sinteza	سنتز
aripa	بال
aripa	وینگ
cauzele	علل
cauzele	موجب
graz	گراتس
veniturile	درآمد
veniturile	درآمدی
veniturile	درآمد
atomic	اتمی
clinton	کلینتون
împărăteasă	شهبانو
integrare	یکپارچگی
districtele	نواحی
districtele	مناطق
miercurea	چهارشنبه
dramatice	دراماتیک
transmiterea	انتقال
transmiterea	مخابره
hunter	هانتر
hunter	شکارچی
armeni	ارمنیان
armeni	ارمنی
armeni	ارامنه
armeni	ارمنیان
armeni	ارمنی
vera	ورا
sferturi	اقامتگاه
sferturi	مقر
borsod	borsod
demo	دمو
standarde	استانداردها
standarde	استانداردهای
minimă	کمترین
minimă	کمینه
minimă	کمترین
minimă	کمینه
simț	عقل
simț	حس
datată	مورخ
câteodată	گاهی
utilă	مفید
utilă	مفید
păstrată	محفوظ
isabella	ایزابلا
predare	تدریس
predare	آموزش
airlines	ایرلاینز
airlines	هواپیمایی
sănătatea	سلامت
sănătatea	بهداشت
sănătatea	health
sănătatea	سلامتی
transfermarkt	transfermarkt
rareori	ندرت
rareori	بندرت
rareori	ندرت
rareori	بندرت
climă	اقلیم
abaúj	abaúj
pătrat	مربع
pătrat	میدان
raze	اشعه
epic	حماسی
epic	حماسه
grație	فضل
grație	گریس
avere	بخت
avere	فال
avere	ثروت
avere	ثروت
avere	مال
windsor	ویندسور
windsor	ویندزور
prevede	نعم
birou	اداره
birou	دفتر
birou	رومیزی
secretul	محرمانه
secretul	رازی
secretul	راز
secretul	مخفی
aniversare	تولد
aniversare	زادروز
aniversare	سالگرد
gonzaga	گونزاگا
pib	gdp
frumusețea	زیبایی
frumusețea	زیبای
executată	اعدام
musulmană	مسلمان
musulmană	مسلم
musulmană	مسلمانان
concret	بتون
concret	بتن
frumusețe	زیبایی
frumusețe	زیبای
laboratorul	آزمایشگاهی
laboratorul	لابراتوار
laboratorul	آزمایشگاه
laboratorul	آزمایشگاه
laboratorul	ازمایشگاه
mâini	دست
mâini	دستهای
mâini	دستان
ala	آلا
ala	الا
ala	ala
batalionul	گردان
decorative	تزئینی
decorative	زینتی
conștient	آگاه
conștient	هوشیاری
șansă	شانس
șansă	فرصت
autostrada	آزادراه
autostrada	اتوبان
autostrada	بزرگراه
compozitori	آهنگسازان
fabricație	تولید
fabricație	ساخت
fabricație	تولیدی
zemplén	zemplén
alegere	انتخاب
notre	نوتر
moștenire	میراثی
moștenire	میراث
moștenire	ارث
mode	حالت
negocierile	مذاکرات
linda	لیندا
split	شکافتن
cascada	آبشار
cascada	ابشار
lev	لف
colin	کولین
colin	کالین
legendele	افسانه
germana	آلمان
germana	آلمانی
gruparea	گروهبندی
intenționat	ارادی
intenționat	عمدی
intenționat	عمد
intenționat	عمداً
iulius	جولیوس
iulius	ژولیوس
virusul	ویروس
tribul	قبیله
petrolul	نفت
petrolul	اویل
petrolul	روغن
erori	خطاهای
erori	خطاست
erori	خطاها
unghiul	زاویۀ
unghiul	زاویه
egipteană	مصر
egipteană	مصری
cuneo	کونیو
jakob	یاکوب
msg	msg
masacrul	کشتار
patria	میهن
capitole	سوره
capitole	فصلها
hessa	هسه
hessa	هسن
musulman	مسلمان
musulman	مسلم
musulman	مسلمانان
omagiu	وطنم
omagiu	خراج
negativă	نگاتیو
negativă	منفی
estimează	برآورد
estimează	تخمین
dezvăluit	رونمایی
maritim	دریانوردی
nixon	نیکسون
zborul	پروازی
zborul	پرواز
arcade	آرکید
voluntar	داوطلبانه
voluntar	اختیاری
voluntar	داوطلب
tramvai	تراموا
responsabilitatea	مسولیت
responsabilitatea	مسئولیتی
responsabilitatea	مسئولیت
ceh	چک
ceh	چکی
elias	الیاس
stâncă	سنگی
stâncă	صخره
stâncă	راک
sfert	ربع
sfert	کوارتر
violente	خشن
violente	خشونت
colț	گوشه
aducând	آوردن
aducând	اوردن
eșec	خرابی
eșec	شکست
eșec	نارسایی
eșec	خرابی
trib	قبیله
anatomie	تشریح
anatomie	آناتومی
varna	ورنه
currentclub	currentclub
confirmă	تایید
confirmă	تأیید
confirmă	تصدیق
houston	هیوستون
houston	هوستون
houston	هاستون
yeung	یئونگ
eficientă	کارآمد
eficientă	مؤثر
eficientă	موثر
împărăteasa	شهبانو
proiectare	دیزاین
proiectare	طرح
proiectare	طراحی
proiectare	طراحی
marche	مارکه
sancho	سانچو
violență	خشونت
eleanor	النور
deșert	کویر
deșert	بیابان
deșert	بیابانی
deșert	صحرا
deșert	اعراب
oferta	پیشکش
oferta	پیشنهاد
oferta	تقدیم
castro	کاسترو
koch	کوخ
koch	کخ
israeliene	اسرائیلی
israeliene	اسراییل
israeliene	اسرائیل
furtună	استورم
furtună	توفان
furtună	طوفان
vatican	واتیکان
ken	کن
remarcabil	برجسته
biologice	زیستی
știut	دانستم
regulate	منظم
lusignan	لوزینیان
rwanda	رواندا
ciudat	عجیبی
ciudat	عجیب
ciudat	عجیب
ciudat	فرد
ciudat	عجیب
productions	productions
națiune	ملت
națiune	ملتی
sinteză	سنتز
mal	مال
adăpost	پناهگاه
adăpost	پناه
status	وضعیت
tower	تاور
tower	برج
pradă	درندگان
pradă	طعمه
pradă	شکارش
franconia	فرانکونیا
regiment	هنگ
feb	فوریه
artista	هنرمند
artista	artist
artista	هنرمندی
titan	تیتانیوم
titan	تیتان
titan	تایتان
mărci	مارکس
ordinele	فرمان
ordinele	دستورات
ordinele	دستور
ozn	ufo
excepții	استثنا
valabil	معتبری
valabil	معتبر
monroe	مونرو
facultate	دانشگاه
facultate	qom
facultate	کالج
facultate	دانشکده
facultate	دانشگاه
facultate	دانشگاهی
neptun	نپتون
apache	آپاچی
rome	رُم
rome	رم
rome	روم
rădăcini	ریشه
monarhiei	شهریاری
negocieri	مذاکرات
negocieri	مذاکره
negocieri	مذاکرات
raf	raf
săraci	فقیران
săraci	فقیر
săraci	فقیری
săraci	بیچاره
mâine	فردا
mâine	فردایی
vina	سرزنش
vina	ملامت
vina	مقصر
vina	گناه
randy	رندی
bibliografice	کتابشناختی
provocate	تحریک
administratorii	admins
dorită	مطلوب
dorită	میخواستند
dorită	خواست
pasărea	پرنده
tei	لیندن
tei	آهک
tei	لایم
văduva	بیوه
garcia	گارسیا
ark	آرک
casetă	کاست
casetă	نوار
musical	موزیکال
gyula	جولا
fericit	خوشبخت
fericit	خوش
fericit	شاد
fericit	خوشحال
fericit	مبارک
însoțită	همراه
patriei	میهن
poze	عکسها
poze	عکس
poze	pics
poze	پیکچرز
poze	تصاویر
poze	عکسها
poze	عکس
procent	درصد
procent	درصدی
procent	درصد
constanta	constanta
constanta	ثابت
constanta	دائم
constanta	مداوم
armat	مسلح
armat	مجهز
mongolii	مغول
mongolii	مغولها
sodiu	سدیم
tentativă	تلاش
tentativă	احتمالی
prinde	گرفتن
prinde	بگیرن
prinde	کچ
accepta	accept
accepta	پذیرش
accepta	قبول
valdemar	والدمار
lut	کلی
lut	گلی
istria	ایستریا
dieter	دیتر
răspândire	پخش
răspândire	گسترده
patricia	پاتریشیا
liberty	لیبرتی
esență	فروهر
esență	گوهر
esență	اسانس
cetățenia	تابعیت
cetățenia	ملیت
cetățenia	ملیتی
cetățenia	تابعیت
cetățenia	شهروندی
usd	usd
nice	خوبی
nice	قشنگ
nice	قشنگه
beatrice	بئاتریس
atașat	پیوست
spadă	شمشیر
bolivia	بولیوی
ciuperci	قارچها
ciuperci	قارچ
ciuperci	قارچها
ciuperci	قارچهای
ciuperci	قارچ
maryland	مریلند
criteriul	فرقان
criteriul	معیار
criteriul	ملاک
performanțe	عملکرد
performanțe	اجرا
performanțe	کارایی
pakistan	پاکستان
optică	نوری
optică	اپتیک
profesoară	معلم
profesoară	معلمی
profesoară	teacher
profesoară	آموزگار
nad	ناد
solide	توپر
solide	یکدست
solide	جامد
artificială	مصنوعی
banks	بنک
banks	بانکها
banks	بانک
banks	بنکس
instrucțiuni	دستورالعملها
instrucțiuni	دستورالعمل
aluminiu	آلومینیوم
aluminiu	آلومینیوم
ziarist	خبرنگار
generic	عمومی
generic	عام
turismul	گردشگری
ajax	آژاکس
flacăra	شراره
flacăra	شعله
grupări	گروهها
marion	ماریون
dinți	دندانها
dinți	دندون
dinți	دندان
dinți	دندانهای
liège	لیژ
evidentă	واضح
distincția	تمایز
nod	گره
nod	گره
selo	سلو
glasgow	گلاسکو
geniu	نبوغ
geniu	نابغه
broadway	برادوی
întreprinderea	انترپرایز
întreprinderea	سازمانی
toledo	تولیدو
toledo	تولدو
autorilor	نویسندگان
abdul	عبدل
cavaleria	سواران
cavaleria	سواره
brand	براند
brand	برند
burgas	بورگاس
colțul	گوشه
cuplu	زوجی
cuplu	زوج
cuplu	گشتاور
evanghelia	انجیل
informativ	آموزنده
mărturie	شهادت
emmanuel	امانوئل
alpii	آلپ
condiție	شرط
condiție	شرایط
pedeapsă	مجازات
pedeapsă	پنالتی
pedeapsă	مجازات
pedeapsă	تنبیه
dobândit	بدست
dobândit	اکتسابی
onorific	افتخاری
grey	گری
grey	خاکستری
como	کومو
cartiere	نواحی
cartiere	مناطق
stand	استند
stand	ایستادن
șanse	شانس
șanse	فرصت
guvernele	دولتها
guvernele	دولتهای
confederația	متحدین
confederația	کنفدراسیون
ward	وارد
organisme	اجساد
deciziile	تصمیم
deciziile	تصمیمات
nevada	نوادا
iarbă	چمن
iarbă	چمنی
iarbă	علف
iarbă	گرس
iarbă	علف
comitet	کمیته
comitet	کمیسیون
capabilă	توانایی
capabilă	لایق
capabilă	قادر
capabilă	توانا
masivă	مسیو
masivă	حجیم
inițiativă	ابتکار
saga	حماسه
saga	ساگا
natalia	ناتالیا
reformă	اصلاح
reformă	اصلاحات
celtic	سلتیک
arestarea	توقیف
arestarea	بازداشت
arestarea	توقیف
arestarea	دستگیر
arestarea	دستگیری
hart	هارت
vânzarea	فروش
vânzarea	sale
vânzarea	حراج
bella	بلا
daily	روزانه
daily	daily
daily	دیلی
volînskîi	وولینسکیی
secție	حوزه
chitarist	guitarist
chitarist	گیتاریست
italiana	ایتالیایی
italiana	ایتالیا
sociologie	جامعهشناسی
variabilă	متغیر
variabilă	متغیرها
divine	الهی
grecesc	یونان
grecesc	یونانی
sabia	شمشیر
proiectarea	دیزاین
proiectarea	طرح
proiectarea	طراحی
existent	موجود
instalarea	نصب
instalarea	نصب
tropicale	گرمسیری
kane	کین
puerto	پورتو
semnate	امضا
dallas	دالاس
geometrie	هندسه
notele	مراتب
notele	نمره
calde	گرم
clienți	مشتریان
clienți	مشتری
calul	اسب
abuz	سوءاستفاده
unghi	زاویۀ
unghi	زاویه
piacenza	پیاچنزا
madagascar	ماداگاسکار
relativă	نسبی
intervenții	مداخلات
examenul	امتحان
examenul	معاینه
examenul	آزمون
operație	عملیات
operație	عمل
operație	جراحی
voivodina	وویوودینا
peisajul	عرضی
peisajul	منظره
copaci	درخت
copaci	درختان
copaci	درختها
urs	خرس
urs	بیر
urs	خرسی
nina	نینا
divorțat	مطلقه
divorțat	طلاق
plantele	گیاهان
orientală	خاوری
orientală	شرقی
rick	ریک
jeremy	جرمی
locuitor	مقیم
locuitor	ساکن
locuitor	رزیدنت
locuitor	اقامت
ueda	اوئدا
cafea	قهوه
profesional	حرفهای
aziz	aziz
aziz	عزیز
weber	وبر
guvernarea	حاکمیت
guvernarea	ملکوت
ascensiunea	عروج
ascensiunea	صعود
ofițerii	ماموران
ofițerii	افسران
straturi	لایه
fermă	مزرعه
fermă	فارم
teoretice	نظری
nacional	ناسیونال
munchen	مونیخ
ivanovici	ایوانوویچ
urmărirea	ردگیری
urmărirea	ردیابی
urmărirea	پیگیر
echipaj	سرنشین
echipaj	سرنشینان
echipaj	خدمه
rachel	راشل
rachel	ریچل
rachel	راچل
vecini	همسایه
vecini	همسایگان
vecini	همسایه
vecini	همسایگان
patron	حامی
dosarul	پوشه
click	کلیک
iris	آیرس
iris	آیریس
iris	زنبق
rama	قاب
rama	چارچوب
rama	فریم
rama	راما
afganistan	افغانستان
interzise	ممنوعه
interzise	ممنوع
interzise	حرام
interzise	نهی
interzise	ممنوع
interzise	حرام
miles	مایل
miles	مایلز
sfinte	مقدس
tolstoi	تولستوی
impactul	ضربه
impactul	اصابت
impactul	برخوردی
impactul	برخورد
trentino	ترنتینو
abilitatea	توانایی
abilitatea	قابلیت
tango	تنگو
tango	تانگو
designer	طراح
designer	نگارنده
designer	designer
southern	جنوب
southern	جنوبی
cultivarea	پرورشی
politicieni	سیاستمداران
blagoevgrad	بلاگووگراد
demografice	جمعیتی
înlocui	جایگزینی
înlocui	جایگزین
botezat	تعمید
teoriile	نظریات
teoriile	نظریه
adeseori	اغلب
living	living
living	وزندگی
living	زندگی
orientarea	جهت
metz	متز
stefano	استفانو
modificate	تغییریافته
candidați	کاندیداهای
variantele	مشتقات
vorbim	حرف
divizată	تقسیم
princeton	پرینستون
navigație	ناوبری
brațul	بازو
brațul	دست
brațul	آرم
brațul	بازوی
aurul	طلای
aurul	gold
aurul	طلا
aurul	طلایی
aurul	گلد
aurul	زرین
literă	حرف
literă	نامه
literă	نامهای
violent	خشن
violent	خشونت
joyce	جویس
avantaj	برتری
avantaj	مزیت
acceptate	پذیرفت
acceptate	پذیرفته
genetică	ژنتیک
genetică	ژنتیکی
genetică	ژنتیک
colegiu	کالج
colegiu	دانشکده
colegiu	دانشگاه
colegiu	دانشگاهی
nucleu	هسته
nucleu	هسته
nopți	شبا
nopți	شبها
nopți	شبهای
nopți	شب
amiralul	آدمیرال
amiralul	دریاسالار
rezerve	ارزی
rezerve	ذخایر
niger	نیجر
simt	احساس
simt	حس
simt	احساس
simt	حس
simt	احساسش
villeneuve	وینو
tommy	تامی
vlaicu	ولایکو
proiectată	projected
supraveghere	نظارت
supraveghere	سرپرستی
supraveghere	نظارت
supraveghere	نظارتی
rap	rap
rap	رپ
popularitatea	محبوبیت
decan	دین
brest	برست
française	française
surorile	خواهران
nepot	برادرزاده
nepot	خواهرزاده
nepot	نوه
extindere	گسترش
extindere	انبساط
extindere	بسط
extindere	افزونه
extindere	پسوند
dune	احقاف
dune	dune
fundamental	بنیادی
fundamental	اساسی
doamne	خداوند
doamne	خدا
doamne	الهی
doamne	خدایی
doamne	الله
indirect	غیرمستقیم
pure	خالص
pure	ناب
pure	پاک
episoadele	قسمتهای
floare	گل
floare	شکوفه
floare	فلاور
miezul	هسته
concrete	بتون
concrete	بتن
parteneriat	شراکت
parteneriat	همکاری
parteneriat	شرکتی
miros	بوش
miros	بوی
kushiro	کوشیرو
mortal	کشنده
mortal	مرگبار
manuscrisul	خطی
movilă	ماوند
dog	سگ
dog	سگی
verificare	وارسی
verificare	تصدیق
verificare	بررسی
dresda	درسدن
expresii	عبارتهای
expresii	عبارتهای
car	ارابه
mobilier	اثاث
mobilier	اثاثیه
mobilier	مبل
mobilier	مبلمان
fund	کون
fund	باسن
fund	بات
emisfera	نیمکره
rai	آسمان
rai	رای
teritorial	ارضی
factorii	عوامل
bucată	تکه
bucată	قطعه
ferrari	فراری
suplimentar	اضافی
suplimentar	اضافی
suplimentar	اضافه
brooklyn	بروکلین
oase	استخوان
oase	بونز
oase	استخوانها
oase	استخوان
oak	اوک
oak	بلوط
textile	پارچه
profesorii	اساتید
profesorii	معلم
profesorii	مدرس
coordonarea	هماهنگی
craig	کرگ
craig	کریگ
craig	گریک
atomi	اتمهای
atomi	اتمها
obiceiul	عادت
ilustrată	مثلی
palace	کاخ
palace	قصر
flancul	جناح
flancul	پهلوها
plasă	تور
plasă	net
plasă	مش
rain	باران
rain	بارانی
rain	بارون
depozit	انبار
depozit	انبار
depozit	ذخیره
depozit	سپرده
depozit	مخزن
vegas	وگاس
semnificație	معنای
semnificație	معنی
semnificație	معنا
oficiul	اداره
oficiul	دفتر
julien	ژولین
traficul	ترافیک
traficul	ترافیکی
suspendat	معلق
seniori	ارشد
perspective	دورنمای
manhattan	منهتن
avansată	پیشرفته
aplicație	کاربردی
aplicație	کاربرد
aplicație	اپ
aplicație	برنامه
exprimarea	ابراز
înconjoară	محاصره
înconjoară	احاطه
înconjoară	فراگیر
întreținere	نگهداشت
întreținere	نگهداری
liberale	لیبرال
liberale	آزادیخواه
uși	درها
conturi	حسابهای
izolate	منزوی
izolate	ایزوله
joi	پنجشنبه
exprimată	فرمودند
urata	زشته
urata	زشتی
urata	زشت
vecinătate	همسایه
vecinătate	همسایگی
vecinătate	محله
vecinătate	همسایگی
vizual	دیداری
vizual	بصری
vizual	تصویری
fanii	هواداران
fanii	هوادارن
fanii	طرفداران
sensuri	معانی
prevenirea	پیشگیری
mecanism	مکانیسم
mecanism	مکانیزم
talie	کمر
amor	amor
amor	آمور
ace	ایس
ace	آس
ducesa	دوشس
dracula	دراکولا
bonus	پاداش
bonus	جایزه
justificarea	توجیح
trădare	غدر
trădare	خیانت
trădare	خیانت
scrieți	نوشت
scrieți	نویسند
scrieți	نوشتن
scrieți	بنویسید
scrieți	بنویسد
beck	بک
corespondență	مکاتبات
corespondență	مکاتبه
atomică	اتمی
adaptarea	وفق
adaptarea	سازگاری
