les	os
vers	vers
année	ano
temps	clima
temps	tempo
temps	meteorologia
temps	hora
temps	horário
temps	tempo
temps	time
plusieurs	muitos
plusieurs	muitas
plusieurs	vários
plusieurs	varios
plusieurs	várias
plusieurs	múltiplas
plusieurs	múltiplos
plusieurs	múltipla
plusieurs	múltiplo
faire	fazendo
faire	make
faire	faça
faire	faire
mars	march
mars	marchar
mars	marcha
mars	março
mars	marte
mars	mars
histoire	historia
histoire	história
série	series
série	série
série	séries
série	serial
série	seriado
série	série
joueur	player
joueur	reprodutor
joueur	jogador
mai	may
mai	maio
mai	pode
mai	mai
tour	tour
tour	torre
tour	tower
mort	morreu
mort	morri
mort	morreram
mort	faleceu
mort	death
mort	morte
mort	mort
mort	morta
mort	morto
mort	mortos
mort	dead
juin	jun
juin	june
juin	junho
jpg	jpg
française	french
française	franceses
française	francês
pierre	stone
pierre	pedra
pierre	pedras
pierre	pedro
pierre	peter
pierre	pierre
région	região
région	area
région	área
janvier	janeiro
avoir	ter
avoir	tendo
avoir	tenha
avoir	ter
fois	vezes
fois	tempos
fois	times
autre	autre
autre	outro
autre	outros
autre	outras
autre	outra
septembre	setembro
juillet	julho
état	status
état	estatuto
état	estado
état	estaduais
état	state
état	estado
état	estadual
état	condição
état	estado
église	igrejas
église	igreja
octobre	outubro
octobre	toc
octobre	out
place	lugar
place	place
place	local
place	sítio
famille	família
famille	familia
états	estados
général	generalidades
général	gerais
général	geral
général	general
avril	abr
avril	april
avril	abril
avril	avril
insee	insee
tous	todas
tous	tudo
tous	todos
politique	política
politique	politica
politique	política
album	álbum
album	album
album	álbuns
décembre	dezembro
août	augusto
août	august
août	agosto
août	ago
août	agosto
novembre	novembro
novembre	nov
avait	tive
avait	tinha
avait	teve
prix	preços
prix	preço
prix	preços
prix	price
nouvelle	novo
nouvelle	novas
nouvelle	novos
nouvelle	novidade
nouvelle	nova
février	fevereiro
février	fev
février	fevereiro
département	departamento
grande	large
grande	grande
grande	grandes
grande	big
grande	grande
grande	grandes
grande	ótima
grande	grande
grande	ótimo
grande	grande
peu	poucas
peu	poucos
peu	pequeno
peu	pouco
peu	pequena
peu	little
américain	americano
américain	americanos
américain	american
américain	americana
début	comece
début	comecem
début	iniciar
début	começa
début	início
début	começar
début	começando
début	iniciando
début	início
début	começo
ligne	line
ligne	linha
ligne	rema
ligne	fila
ligne	fileira
ligne	row
suite	suite
suite	suíte
nationale	national
nationale	nacionais
nationale	nacional
nationale	nationale
championnat	campeonato
championnat	championship
encore	novamente
encore	ainda
encore	bis
encore	encore
image	foto
image	fotografia
image	imagem
image	image
image	imagem
vie	vida
vie	life
vie	vie
unis	unidas
unis	unida
unis	united
unis	unidos
lien	link
lien	ligação
football	soccer
football	futebol
football	football
football	futebol
pendant	durante
jeux	gaming
jeux	games
jeux	jogos
moins	menos
moins	menos
ouest	west
ouest	ocidente
ouest	oeste
ouest	ocidental
ouest	ocidentais
ouest	western
ouest	oeste
page	pagina
page	página
page	page
nouveau	novo
nouveau	novas
nouveau	novos
nouveau	novidade
nouveau	nova
vous	tu
vous	você
vous	vc
notamment	nomeadamente
notamment	notavelmente
centre	centralizar
centre	centrar
centre	centro
centre	center
centre	centrar
centre	centralizar
centre	centro
centre	centre
cours	curso
cours	cours
cours	cursos
partir	deixe
partir	sair
partir	deixar
village	vila
village	aldeia
université	university
université	universidade
université	faculdade
université	colégio
université	college
université	universidade
louis	luiz
louis	luis
louis	luís
louis	louis
nombre	número
nombre	numero
quelques	alguns
quelques	algum
quelques	algumas
leurs	suas
siècle	século
siècle	century
coupe	xícara
coupe	copa
coupe	taça
coupe	chávena
coupe	copo
coupe	cortando
coupe	cortar
coupe	corte
coupe	desmancha
coupe	corta
coupe	cut
coupe	corte
coupe	cortar
coupe	coupe
population	população
connexes	relacionados
connexes	relacionada
connexes	relacionadas
connexes	relacionado
homme	macho
homme	masculino
homme	homme
homme	men
homme	homens
homme	man
homme	pá
homme	cara
homme	homem
communes	municípios
communes	comunas
communes	municípios
division	divisão
président	presidente
président	cadeira
président	presidente
national	national
national	nacionais
national	nacional
société	society
société	sociedade
société	empresa
société	company
société	companhia
quatre	four
quatre	quatro
cas	case
cas	caso
cas	cas
cas	casos
cas	processos
jeu	gaming
jeu	game
jeu	jogo
genre	género
genre	gênero
genre	género
genre	gênero
genre	sexo
genre	género
genre	gênero
genre	like
genre	curta
genre	como
musique	music
musique	música
musique	musica
musique	músicas
fils	arame
fils	fios
fils	fio
fils	son
fils	filho
fils	sons
fils	filhos
fils	fios
roi	king
roi	rei
roi	roi
parti	partido
parti	party
parti	festa
parti	gone
parti	ido
parti	sumido
jour	dia
europe	europa
mise	mise
mise	aposta
forme	formar
forme	forma
forme	formulário
forme	forma
forme	shape
époque	época
époque	eei
ancien	antiga
ancien	antigo
ancien	antigos
ancien	antiguidade
ancien	ancião
ancien	antiga
ancien	velho
ancien	antigo
ancien	velha
ancien	velhos
ancien	elder
ancien	ancião
origine	origem
origine	origens
ordre	ordem
ordre	encomendar
ordre	encomenda
château	château
château	castelo
école	escolas
école	escola
carrière	carreira
carrière	pedreira
carrière	carreiras
carrière	carreira
part	compartilhem
part	compartilhar
part	partilhar
part	partilha
part	compartilhamento
part	compartilhe
deuxième	segunda
deuxième	second
deuxième	segundo
bar	barra
bar	bar
située	localizada
située	localizado
située	localizados
située	situado
charles	charles
charles	carlos
points	pontos
points	pontos
ayant	ter
ayant	tendo
paul	paulo
paul	paul
rue	rua
rue	street
rue	rue
chef	chef
chef	cozinheiro
chef	chief
chef	chefe
chef	alcaide
père	pai
père	papai
père	pai
père	padre
exemple	exemplo
trouve	achados
durant	durante
durant	durant
rapport	relatório
rapport	denunciar
rapport	relatar
art	art
art	arte
canton	cantão
canton	guangzhou
canton	cantão
canton	canton
dernier	último
dernier	últimas
dernier	last
dernier	últimos
dernier	última
dernier	últimos
dernier	últimas
type	type
type	digite
type	tipo
habitants	habitantes
habitants	residentes
habitants	moradores
point	ponto
point	point
compte	conde
compte	conte
compte	count
compte	contagem
compte	conta
période	periodo
période	período
armée	militares
armée	militar
armée	exército
armée	tropa
armée	army
eau	águas
eau	agua
eau	água
marie	marie
marie	maria
marie	mary
marie	maria
marie	maria
discuter	conversando
discuter	discuta
discuter	discutir
discuter	discute
discuter	papo
discuter	conversar
discuter	chat
discuter	conversa
car	porque
car	pq
projet	project
projet	projeto
projet	projecto
chaque	cada
chaque	cada
anglais	ingles
anglais	inglês
province	província
john	john
john	joão
john	joao
international	internacional
international	international
international	internacionais
conseil	consultoria
conseil	consultadoria
conseil	assessoria
conseil	conselho
conseil	conselhos
conseil	aconselhamento
conseil	concílio
conseil	conselho
françois	francisco
françois	francis
françois	françois
françois	françois
maison	casa
maison	home
maison	casa
maison	lar
cela	este
cela	esta
cela	isso
cela	isto
cela	essa
cela	esse
cela	essa
cela	isso
cela	que
demande	pedir
demande	solicitação
demande	pedido
demande	solicitar
demande	pergunte
demande	pedir
demande	pergunta
demande	perguntar
fonction	função
fonction	funções
toujours	always
toujours	sempre
toujours	ainda
doit	mosto
doit	deve
doit	must
production	produção
certains	alguns
certains	algum
certains	algumas
membre	membro
près	perto
près	próximo
rôle	papel
meilleur	melhor
meilleur	melhores
meilleur	meilleur
meilleur	melhor
meilleur	melhores
meilleur	best
droit	certo
droit	direito
droit	direita
droit	lei
droit	direito
droit	law
droit	leis
mois	meses
mois	mês
île	ilha
île	ilhas
île	île
république	república
service	serviço
jacques	jacques
score	pontuação
score	placar
ensuite	então
ensuite	depois
langue	língua
langue	idioma
langue	linguagem
dit	said
dit	disse
dit	diz
gouvernement	governo
center	centralizar
center	centrar
center	centro
center	center
elles	elles
elles	eles
elles	elas
petit	small
petit	pequenos
petit	pequeno
petit	pequena
petit	pequenas
petit	petit
petit	pequeno
petit	pouco
petit	pequena
petit	little
toutes	todas
toutes	tudo
toutes	todos
argent	dinheiro
argent	money
argent	grana
argent	prateado
argent	silver
argent	prata
argent	dinheiro
argent	grana
argent	numerário
argent	cash
souvent	freqüentemente
souvent	frequentemente
souvent	freqüentemente
souvent	frequentemente
style	style
style	estilo
face	cara
face	carinha
face	rosto
face	face
olympiques	olympic
olympiques	olímpico
olympiques	olímpica
olympiques	olímpicos
olympiques	olimpíadas
olympiques	olimpíada
quand	quando
quand	when
top	topo
top	top
ministre	ministro
ministre	ministra
mondiale	worldwide
mondiale	mundial
mondiale	mundialmente
mondiale	world
mondiale	mundo
mondiale	global
mondiale	globais
ensemble	conjunto
ensemble	juntos
ensemble	juntas
théâtre	teatro
théâtre	teatro
épisode	episódios
épisode	episódio
scène	cena
scène	palco
scène	etapa
situé	localizada
situé	localizado
situé	localizados
situé	situado
toute	todas
toute	tudo
toute	todos
asp	asp
étaient	estavam
étaient	foram
étaient	eram
musée	museus
musée	museu
troisième	terceira
troisième	terço
troisième	terceiro
nombreux	muitos
nombreux	muitas
nombreux	numerosos
nombreux	inúmeros
nombreux	numerosas
auteur	autor
auteur	autora
auteur	escritora
auteur	escritor
système	system
système	sistema
création	criação
stade	stade
stade	estádio
stade	estádio
stade	stadium
stade	palco
stade	etapa
tard	tarde
tard	atrasada
tard	tardia
tard	atrasados
tard	atrasado
reste	ficar
reste	fica
reste	stay
reste	fique
seconde	segunda
seconde	second
seconde	segundo
roman	romana
roman	romanas
roman	roman
roman	romano
roman	romanos
jours	dias
hui	hui
hui	hj
hui	hoje
édition	edit
édition	edita
édition	editar
édition	edite
édition	edição
édition	editando
édition	edição
édition	publicar
édition	edição
édition	publicação
édition	publicando
éditions	edições
éditions	éditions
historique	histórico
historique	históricas
historique	histórica
historique	históricos
historique	históricas
historique	histórico
historique	histórica
historique	históricos
historique	historia
historique	história
sera	will
sera	vontade
permet	permite
âge	idade
robert	robert
robert	roberto
officiel	oficial
officiel	funcionário
officiel	official
officiel	oficiais
officiel	officiel
environ	aproximadamente
effet	efeito
version	versão
membres	membro
membres	filiação
membres	adesão
membres	sócios
membres	membros
niveau	nivel
niveau	nível
niveau	level
champion	campeão
champion	champ
champion	campeão
champion	campeã
champion	champion
espèce	espécies
espèce	espécie
michel	miguel
michel	michael
michel	michel
raison	razão
raison	motivo
modèle	model
modèle	modelo
modèle	modelo
travail	trabalhos
travail	trabalho
travail	trabalhar
travail	trabalhe
femme	mulheres
femme	mulher
femme	mulher
femme	fêmea
femme	feminino
femme	mulher
femme	esposa
cinq	cinco
cinq	five
cinq	cinq
déjà	já
déjà	ja
bas	meias
bas	baixa
bas	baixos
bas	low
bas	baixo
bas	bas
texte	texto
terre	earth
terre	terra
terre	land
terre	terrenos
terre	terras
terre	terra
terre	terre
terre	solo
terre	solos
allemagne	allemagne
allemagne	alemanha
compétition	competitivas
compétition	competitiva
compétition	competitivo
compétition	competitivos
compétition	concurso
compétition	competição
compétition	concorrência
wikipédia	wikipédia
wikipédia	wikipedia
allemand	alemã
allemand	alemães
allemand	alemão
allemand	allemand
britannique	britânico
britannique	britânicos
britannique	british
porte	portão
porte	portal
porte	gate
porte	porte
porte	porta
hommes	men
hommes	homens
hommes	machos
italie	itália
bataille	battle
bataille	batalha
corps	body
corps	corpo
corps	corps
demi	metade
demi	meia
demi	meio
demi	half
demi	demi
siège	cerco
siège	sede
siège	sedes
siège	assento
personnes	pessoas
personnes	povo
personnes	gente
nommé	nomeada
nommé	nomeado
nommé	nomeados
nommé	nomeado
route	rota
route	percurso
route	highway
route	rodovia
route	autoestrada
route	estrada
route	rodoviário
route	estrada
route	road
finale	finais
finale	final
finale	finais
finale	final
jeune	young
jeune	jovem
jeune	jovens
match	game
match	jogo
match	match
peuvent	pode
peuvent	podem
peuvent	lata
peuvent	can
york	york
york	iorque
royaume	reino
royaume	kingdom
royaume	reino
ceux	essas
ceux	aqueles
ceux	esses
ceux	aquelas
long	longa
long	longos
long	longo
long	comprido
long	long
latitude	latitude
base	base
base	base
études	estudos
communauté	comunidade
association	associação
association	association
militaire	militares
militaire	militar
section	seção
section	secção
longitude	longitude
bronze	bronze
livre	livro
livre	reservar
livre	livros
livre	libra
américaine	americano
américaine	americanos
américaine	american
américaine	americana
haut	alto
haut	high
haut	altos
haut	altas
haut	alta
haut	topo
haut	top
suisse	suíça
suisse	suiça
suisse	suíça
suisse	suiça
suisse	suíços
suisse	swiss
suisse	suíço
canada	canadá
canada	canada
valign	valign
suivant	seguindo
suivant	seguintes
suivant	seguinte
suivant	próximo
suivant	próxima
suivant	next
beaucoup	muitos
beaucoup	muitas
beaucoup	muito
beaucoup	much
dire	dizer
dire	say
dire	digam
dire	diga
dire	diz
seul	alone
seul	sozinha
seul	sozinho
seul	sozinhos
seul	só
seul	apenas
seul	somente
seul	unicamente
fille	menina
fille	moça
fille	miúda
fille	rapariga
fille	garota
fille	filha
buts	objectivos
buts	objectivos
buts	gols
buts	metas
buts	golos
buts	objetivos
enfants	crianças
enfants	filhos
enfants	miúdos
enfants	kids
enfants	crianças
enfants	filhos
direction	direção
direction	direcção
direction	direção
direction	direcção
position	posição
pouvoir	potência
pouvoir	energia
pouvoir	poder
pouvoir	power
but	gol
but	objetivo
but	golo
but	baliza
but	meta
but	finalidade
but	objetivo
but	objectivo
but	propósito
merci	obg
merci	obrigado
merci	obrigada
merci	valeu
tête	head
tête	cabeça
tête	cabeças
tête	cabeças
tête	chefes
territoire	territórios
territoire	território
union	union
union	união
construction	construção
construction	construções
ancienne	antiga
ancienne	antigo
ancienne	antigos
ancienne	antiguidade
ancienne	ancião
ancienne	antiga
ancienne	velho
ancienne	antigo
ancienne	velha
ancienne	velhos
premiers	primeira
premiers	primeiros
premiers	primeiramente
premiers	primeiro
prend	pega
prend	levar
prend	take
prend	pegue
prend	toma
prend	leve
prend	leva
maire	maire
maire	prefeito
maire	mayor
présente	presentes
présente	apresenta
présente	presentes
présente	presente
personnalité	personalidade
ligue	league
ligue	liga
public	público
public	públicas
public	pública
public	públicos
public	publico
pages	páginas
pages	pagina
pages	página
pages	page
externe	externas
externe	externo
externe	externos
externe	externa
externe	ambulatório
simple	simple
simple	simples
simple	singles
simple	individuais
simple	solteiros
dernière	último
dernière	últimas
dernière	last
dernière	últimos
dernière	última
dernière	últimos
dernière	últimas
henri	henrique
henri	henrique
henri	henri
chanson	chanson
chanson	músicas
chanson	canções
chanson	songs
chanson	canção
chanson	song
poste	postar
poste	publicar
poste	publicação
poste	pós
poste	post
culture	cultura
grâce	graça
grâce	grace
développement	desenvolvimento
développement	evolução
sortie	output
sortie	saída
sortie	saida
sortie	saída
sortie	sair
sortie	fora
sortie	out
empire	empire
empire	império
québec	quebec
david	davi
david	david
loi	lei
loi	direito
loi	law
loi	leis
loi	agir
loi	ato
loi	acto
loi	act
équipes	equipas
équipes	equipes
équipes	times
côté	lateral
côté	lado
côté	side
mer	mar
haute	alto
haute	high
haute	altos
haute	altas
haute	alta
haute	haute
vue	vista
vue	ver
vue	visualizar
espagne	espagne
espagne	espanha
mère	mãe
mère	mamãe
mère	mãe
mère	mamãe
fichier	arquivo
fichier	ficheiro
nombreuses	muitos
nombreuses	muitas
nombreuses	numerosos
nombreuses	inúmeros
nombreuses	numerosas
acteur	ator
acteur	actor
parcours	rota
parcours	percurso
parcours	viagem
parcours	jornada
parcours	journey
recherche	procurar
recherche	pesquisar
recherche	pesquisa
recherche	busca
recherche	investigação
recherche	pesquisa
recherche	pesquisas
classement	ranking
classement	classificação
code	codigo
code	código
double	duplicar
double	dupla
double	duplo
double	dobro
double	duplicado
double	duplicados
double	duplicar
double	dupla
double	duplo
double	dual
entraîneur	trainer
entraîneur	formador
entraîneur	treinador
entraîneur	coach
entraîneur	treinador
web	web
web	teia
arrondissement	arrondissement
arrondissement	bairro
arrondissement	borough
directeur	director
directeur	directora
directeur	diretora
directeur	diretor
directeur	realizador
directeur	gerenciador
directeur	gerente
directeur	gestor
joseph	joseph
joseph	josé
semble	parece
semble	aparece
ici	aqui
vainqueur	vencedor
vainqueur	ganhador
vainqueur	vencedora
réalisé	dirigiu
réalisé	direcionado
réalisé	dirigido
réalisé	percebido
réalisé	perceberam
réalisé	percebeu
existe	existem
existe	existir
existe	existirem
existe	existe
six	seis
six	six
créé	criadas
créé	criada
créé	criado
créé	criados
créé	criou
devant	front
devant	fachada
devant	frente
devant	devant
écrit	escreve
écrit	escrito
écrit	escritas
écrit	escritos
écrit	escrita
écrit	escreveu
écrit	escrevia
écrit	escrevi
petite	small
petite	pequenos
petite	pequeno
petite	pequena
petite	pequenas
petite	pequeno
petite	pouco
petite	pequena
petite	little
petite	petite
bois	madeiras
bois	madeira
bois	bebe
bois	beber
bois	bebida
bois	beba
entreprise	negócios
entreprise	negócio
entreprise	empresa
entreprise	company
entreprise	companhia
entreprise	empreendimento
entreprise	empresa
entreprise	enterprise
retour	retrocesso
retour	devolução
retour	retornar
retour	retorno
retour	regresso
retour	costas
retour	volta
retour	voltar
numéro	número
numéro	numero
principale	principais
principale	main
principale	principal
principale	principal
sainte	sainte
sainte	santo
sainte	santo
sainte	saint
sainte	santa
comté	condado
comté	shire
comté	condado
second	segunda
second	second
second	segundo
gare	estação
terme	termo
terme	terme
connu	conhecida
connu	conhecido
connu	conhecidas
connu	conhecidos
formation	formação
formation	treinamento
formation	treinos
formation	treino
arts	arts
arts	artes
technique	técnicos
technique	técnico
technique	técnica
technique	técnica
révolution	revolution
révolution	revolução
etc	etc
objet	objeto
objet	objecto
objet	finalidade
objet	objetivo
objet	objectivo
objet	propósito
objet	sujeito
objet	assunto
objet	objecto
mon	seg
mon	mon
philippe	philippe
philippe	filipe
philippe	felipe
philippe	filipe
question	questão
question	pergunta
lorsque	quando
lorsque	when
cinéma	filmes
cinéma	cinema
cinéma	cinemas
cinéma	cinema
plan	mapa
plan	plano
plan	plan
plan	planejar
van	carrinha
van	van
médaille	medalha
serait	iria
serait	faria
œuvres	funciona
œuvres	obras
œuvres	trabalhos
œuvres	works
œuvres	trabalha
zone	zona
zone	zone
zone	area
zone	área
écrivain	escritora
écrivain	escritor
compagnie	empresa
compagnie	company
compagnie	companhia
italien	italiana
italien	italianos
italien	italiano
championnats	campeonatos
laquelle	qual
films	filmes
films	películas
films	filmes
films	cinema
surtout	especialmente
surtout	principalmente
parfois	ocasionalmente
sources	fontes
sources	fonte
sources	origem
parc	parc
parc	parque
parc	park
moyenne	médio
moyenne	média
moyenne	mídia
moyenne	médio
moyenne	média
moyenne	meio
moyenne	médium
mouvement	moção
mouvement	motion
mouvement	movimento
mouvement	movimentação
mouvement	movimentos
mouvement	movimento
succès	sucessos
succès	êxitos
succès	acertos
succès	sucessos
succès	êxito
succès	sucesso
rivière	rio
rivière	rivière
jamais	nunca
jamais	never
jamais	ever
jamais	nunca
vidéo	vídeo
vidéo	video
martin	martín
martin	martins
martin	martinho
martin	martin
député	deputado
député	congressista
député	delegada
député	adjunto
député	deputado
député	delegado
claude	cláudia
claude	claude
moyen	mídia
moyen	médio
moyen	média
moyen	meio
moyen	médium
moyen	médio
moyen	média
san	san
notre	nossa
notre	nossas
notre	nossos
notre	nosso
bon	boa
bon	bom
peintre	pintora
peintre	pintor
voix	votações
voix	votação
voix	votos
voix	vota
voix	vozes
voix	voices
voix	vocal
voix	vocais
voix	voice
voix	voz
rouge	vermelhas
rouge	vermelha
rouge	vermelho
rouge	vermelhos
rouge	red
rouge	rouge
district	distrito
seulement	só
seulement	apenas
seulement	somente
seulement	unicamente
pont	pont
pont	bridge
pont	ponte
pont	convés
pont	baralho
pont	deck
libre	livre
libre	grátis
libre	free
libre	gratuito
libre	libre
air	ar
air	air
sein	peito
sein	mama
sein	seio
sein	seios
milieu	meados
milieu	médio
milieu	meio
milieu	middle
milieu	mídia
milieu	médio
milieu	média
milieu	meio
milieu	médium
festival	festival
belgique	bélgica
belgique	belgique
grands	large
grands	grande
grands	grandes
georges	jorge
georges	george
georges	georges
blanc	brancos
blanc	branco
blanc	white
blanc	brancas
blanc	branca
gauche	esquerdo
gauche	left
gauche	esquerda
gauche	partiu
travaux	trabalhos
travaux	trabalho
travaux	trabalhar
travaux	trabalhe
travaux	funciona
travaux	obras
travaux	trabalhos
travaux	works
travaux	trabalha
donne	donne
donne	dê
donne	dar
donne	dá
passe	passes
passe	passa
passe	passe
passe	passar
passe	passa
passe	pass
produit	produto
diffusion	difusão
diffusion	emissão
diffusion	radiodifusão
diffusion	transmissão
diffusion	difusão
diffusion	radiodifusão
diffusion	difusão
diffusion	divulgação
diffusion	disseminação
aide	ajudas
aide	auxílio
aide	auxílios
aide	auxilio
aide	ajuda
aide	socorro
aide	ajude
aide	ajudar
aide	ajuda
action	acção
action	action
action	ação
andré	andre
andré	andré
andré	andré
andré	andré
andré	andrew
font	fonte
réseau	network
réseau	rede
utilisé	utilizada
utilisé	usada
utilisé	usado
utilisé	utilizado
utilisé	utilizados
utilisé	usados
victoire	win
victoire	ganhe
victoire	ganhar
victoire	vencer
victoire	vitória
victoire	vitoria
victoire	victory
victoire	vitória
victoire	victoire
femmes	fêmeas
femmes	mulheres
femmes	mulher
femmes	fêmea
femmes	feminino
femmes	mulheres
minutes	acta
minutes	minutos
minutes	actas
aurait	iria
aurait	faria
belge	belge
belge	belga
belge	belgas
certaines	certas
certaines	alguns
certaines	algum
certaines	algumas
durée	duração
espèces	espécies
espèces	espécie
angleterre	inglaterra
angleterre	england
afrique	áfrica
sens	sens
sens	significando
sens	significado
sens	sentidos
sens	sentido
sens	senso
personne	pessoa
personne	ninguém
personne	ninguem
mis	colocar
mis	coloca
mis	pôr
mis	posta
mis	coloque
mis	mis
municipalité	município
municipalité	concelho
frère	irmão
frère	irmao
frère	brother
frère	frère
rencontre	encontro
rencontre	reunião
rencontre	conheçam
rencontre	conheça
rencontre	conhecer
rencontre	encontro
trop	também
trop	demais
matchs	partidas
matchs	correspondências
matchs	fósforos
japon	japao
japon	japão
publié	publicados
publié	publicou
publié	publicadas
publié	publicada
publié	publicado
publié	lançado
publié	libertado
publié	liberado
publié	liberada
publié	divulgado
publié	solto
publié	publicado
publié	postado
publié	postou
publié	postei
publié	publicou
domaine	field
domaine	campo
domaine	domínio
domaine	dominio
domaine	area
domaine	área
eux	eles
eux	eles
eux	elas
professeur	professor
professeur	professora
professeur	professora
professeur	professor
quartier	bairro
quartier	vizinhança
quartier	bairro
quartier	vizinhança
scientifique	ciências
scientifique	ciência
scientifique	cientista
scientifique	cientistas
scientifique	científico
scientifique	científica
honneur	honra
honneur	honra
honneur	honor
seule	alone
seule	sozinha
seule	sozinho
seule	sozinhos
seule	só
seule	apenas
seule	somente
seule	unicamente
cause	causa
cause	cause
cause	causa
cause	causas
rien	nada
nouvelles	novidades
nouvelles	noticias
nouvelles	notícia
nouvelles	notícias
nouvelles	novo
nouvelles	novas
nouvelles	novos
nouvelles	novidade
nouvelles	nova
iii	iii
administration	administração
comte	conde
comte	conte
comte	count
comte	contagem
comte	earl
comte	conde
comte	conde
suivante	seguinte
suivante	próximo
suivante	próxima
suivante	next
fort	forte
fort	strong
fort	fortes
fort	forte
fort	fortaleza
fort	fort
hockey	hóquei
hockey	hockey
journal	jornal
journal	jornais
journal	timeline
journal	cronograma
journal	cronologia
journal	jornal
journal	diário
journal	journal
journal	diário
différents	diferente
différents	diferentes
rome	roma
possible	possivel
possible	possíveis
possible	possível
dix	dix
dix	dez
dix	ten
taille	cintura
taille	altura
taille	tamanhos
taille	size
taille	tamanho
taille	dimensão
sport	desporto
sport	esporte
sport	desporto
sport	esportes
sport	desportos
principal	principais
principal	main
principal	principal
principal	principal
sujet	tópicos
sujet	tópico
sujet	sujeito
sujet	assunto
sujet	objecto
référence	referência
référence	referencia
croix	cruzes
croix	cruzamentos
croix	croix
croix	cruz
croix	cross
élections	eleição
élections	eleições
élections	eleição
élections	eleições
mettre	colocar
mettre	coloca
mettre	pôr
mettre	posta
mettre	coloque
titres	títulos
titres	títulos
enfin	enfim
enfin	finalmente
millions	milhões
millions	milhão
millions	milhões
millions	milhoes
noir	dark
noir	escura
noir	sombrio
noir	escuro
noir	noir
noir	preta
noir	black
noir	preto
noir	negro
noir	pretas
joue	bochecha
joue	bochechas
joue	joga
joue	jogadas
londres	londres
agglomération	sinterização
agglomération	agglomération
agglomération	aglomeração
moment	momento
chapelle	chapelle
chapelle	capela
