το	the
ποτέ	nikad
ποτέ	ikada
ποτέ	ikad
ποτέ	ever
τέλη	takse
τέλη	naknadu
τέλη	naknada
τέλη	naknade
πλευρά	strani
πλευρά	strana
διάφορες	različite
διάφορες	različita
διάφορες	razni
διάφορες	razne
διάφορες	raznim
διάφορες	raznih
ανήκει	pripada
πρόγραμμα	program
πρόγραμμα	raspored
πρόγραμμα	program
χιλιόμετρα	miles
χιλιόμετρα	milja
χιλιόμετρα	km
χιλιόμετρα	kilometara
κάτοικοι	stanovnici
κάτοικοι	stanovništvo
κάτοικοι	stanovnika
κάτοικοι	stanovništvo
άρθρα	članaka
άρθρα	članci
γεώργιος	georgios
γεώργιος	george
τύπου	press
τύπου	štampa
τύπου	tip
τύπου	type
δημοκρατία	republika
δημοκρατία	demokratija
πόλεμος	rat
πόλεμος	ratu
εφημερίδα	novine
μικρό	male
μικρό	mali
μικρό	malu
μικρό	malo
μικρό	mali
μικρό	mala
τόπος	mjesto
τόπος	lokacija
ονομάζεται	nazvana
ονομάζεται	zvao
ονομάζεται	nazvan
ονομάζεται	pozvala
συγκεκριμένα	specifične
συγκεκριμένα	konkretne
συγκεκριμένα	specifična
συγκεκριμένα	konkretno
συγκεκριμένα	tačnije
είδη	vrsta
πηγή	izvor
κάποιος	neko
κάποιος	neko
πρωταθλήματα	prvenstava
ιταλία	italija
πατέρας	otac
κατηγορίες	optužbe
κατηγορίες	optužbi
κατηγορίες	kategorije
κατηγορίες	kategorija
αναφέρει	spominje
ποδόσφαιρο	nogomet
ποδόσφαιρο	fudbal
ποδόσφαιρο	nogomet
ποδόσφαιρο	fudbala
ποδόσφαιρο	fudbalu
ποδόσφαιρο	football
ποδόσφαιρο	fudbal
θέσεις	pozicija
θέσεις	pozicije
θέσεις	položaje
θέσεις	pozicijama
θέσεις	objave
θέσεις	mjesta
περισσότερες	više
έκταση	opseg
έκταση	omjer
γενικά	sveukupno
γενικά	sveukupni
γενικά	sveukupna
γενικά	općenito
γενικά	generalno
γενικά	uopšteno
γενικά	general
σημαντικό	važnom
σημαντικό	važna
σημαντικό	važno
σημαντικό	bitan
σημαντικό	važnih
σημαντικό	bitno
νίκη	pobjeda
νίκη	pobijedi
νίκη	osvoji
νίκη	pobjeda
νίκη	osvojivši
νίκη	pobjednički
νίκη	dobijanje
μικρή	male
μικρή	mali
μικρή	malu
μικρή	malo
μικρή	mali
μικρή	mala
έτη	godina
πατέρα	otac
αμερικανός	američki
αμερικανός	amerikanac
τελικό	finale
τελικό	završni
τελικό	konačni
πάντα	uvijek
πάντα	uvek
συγκρότημα	bend
συγκρότημα	kompleksan
συγκρότημα	kompleks
συγκρότημα	kompleksna
παραγωγής	proizvodnja
ίσως	možda
ίσως	možda
επόμενη	sljedeći
επόμενη	narednu
επόμενη	sledeći
επόμενη	slijedeći
στιγμή	trenutak
στιγμή	momenat
στιγμή	moment
μήνες	meseci
μήνες	mjesecima
αποτελείται	sastavljene
θεωρία	teorija
ύψος	visini
ύψος	visina
ύψος	visina
πολλοί	mnoge
πολλοί	mnogi
όλοι	svi
όλοι	all
όλοι	svi
όλοι	sve
όλοι	svi
τώρα	sada
τώρα	now
τώρα	sad
προπονητής	trener
προπονητής	selektor
θέατρο	theater
θέατρο	pozorište
θέατρο	pozorište
σημαντική	važnom
σημαντική	važna
σημαντική	važno
σημαντική	bitan
σημαντική	važnih
σημαντική	bitno
σημαντική	značajne
σημαντική	značajnom
σημαντική	značajna
σημαντική	značajan
σημαντική	značajno
σημαντική	značajnu
ημέρα	dan
διάφορα	razni
επέστρεψε	vraćen
επέστρεψε	vratio
επέστρεψε	vratili
παρέμεινε	ostala
κατέκτησε	osvojio
κατέκτησε	osvojen
θέματα	teme
θέματα	teme
στάδιο	stadion
στάδιο	faza
στάδιο	bina
χωριά	sela
χωριά	selima
επίθεση	napad
επίθεση	napad
τραγούδια	pesama
τραγούδια	pjesme
τραγούδια	pesme
τραγούδια	pjesmama
τραγούδια	pjesama
έδωσε	dala
έδωσε	dao
έδωσε	dali
πληθυσμός	populacija
λέξη	riječ
κατάφερε	uspjeli
κατάφερε	uspjela
κατάφερε	uspio
προβλήματα	problemi
δύναμη	snage
δύναμη	snaga
δύναμη	sila
δύναμη	power
δύναμη	vlast
επανάσταση	revolucija
τύπος	press
τύπος	štampa
τύπος	formula
τύπος	tip
τύπος	type
εκατομμύρια	milion
εκατομμύρια	milioni
εκατομμύρια	milione
τέσσερις	četiri
πορεία	kurs
μέση	srednji
μέση	prosječno
μέση	prosječne
μέση	prosječnom
μέση	prosjek
μέση	struka
πρόβλημα	problem
πρόβλημα	nevolje
άνω	gornji
νερό	voda
τοπική	lokalnom
τοπική	lokalni
περιφέρεια	regija
περιφέρεια	okrug
παρουσία	prisustvo
μητέρα	majka
έξι	šest
δομή	struktura
δομή	strukturi
δομή	strukture
παρίσι	pariz
έγραψε	pisala
έγραψε	napisao
έγραψε	pisao
κατασκευή	izgradnja
κατασκευή	građevinarstvo
κατασκευή	građevinski
περιέχει	sadrži
περιπτώσεις	slučajevi
ημέρες	dana
μαρία	marija
μαρία	maria
μερικές	neki
τιμή	cijena
τιμή	vrijednost
διαδικασία	proces
διαδικασία	postupak
διαδικασία	postupka
διαδικασία	postupci
διαδικασία	postupak
διαδικασία	procedura
κοινό	publika
διαγραφή	izbriše
διαγραφή	delecija
διαγραφή	izbrisati
απογραφή	popis
συλλογή	zbirka
συλλογή	kolekcija
συλλογή	collection
τρίτη	utorak
τρίτη	treći
τρίτη	treća
τρίτη	treće
παρακάτω	ispod
ναός	hram
βοήθεια	pomoć
βοήθεια	pomoći
βοήθεια	pomogne
βοήθεια	pomoć
απόσταση	udaljenost
απόσταση	domet
απόσταση	dometa
νέων	omladina
αμέσως	odmah
αναφορά	izveštaj
αναφορά	izvještaj
αναφορά	referenca
ποδοσφαιριστής	nogometaš
ποδοσφαιριστής	fudbaler
δράση	akcija
λιγκ	liga
απλά	samo
γιώργος	giorgos
γιώργος	george
γιώργος	georgios
κανείς	niko
γεγονότα	činjenica
γεγονότα	činjenice
γεγονότα	događaja
γεγονότα	događaji
γεγονότα	dešavanja
σύντομο	kratko
σύντομο	kratko
κράτος	država
κωνσταντίνος	konstantinos
κωνσταντίνος	konstantin
στρατό	vojska
στρατό	armija
αγία	sveti
αγία	saint
αποτελέσματα	rezultati
ιστορικό	pozadinu
ιστορικό	pozadina
ιστορικό	historija
σπίτι	dom
σπίτι	home
σπίτι	kuća
τζον	john
τζον	jon
αρκετές	nekoliko
τμήματα	podjele
τμήματα	podjela
τμήματα	segmentima
τμήματα	sekcije
λειτουργία	funkcija
λειτουργία	modu
λειτουργία	mode
λειτουργία	mod
λειτουργία	operacija
βιβλία	knjige
βιβλία	knjiga
πρωθυπουργός	premier
πρωθυπουργός	premijer
κείμενο	tekst
κείμενο	text
γραμμή	linija
σχέδιο	projekt
σχέδιο	projekat
σχέδιο	nacrtu
σχέδιο	nacrt
σχέδιο	dizajn
σχέδιο	plan
βουλευτής	član
βουλευτής	članica
γη	zemlja
γη	land
γη	kopnena
γη	zemlja
χρήστες	korisnici
χρήστες	korisnika
εμφανίζεται	prikazana
εμφανίζεται	pokazivao
ξανά	opet
ξανά	ponovo
αυτοί	oni
χρήστης	korisnički
χρήστης	korisnik
θάλασσα	moru
θάλασσα	more
χρησιμοποιούνται	korištene
χρησιμοποιούνται	koristi
χρησιμοποιούνται	korišteno
χρησιμοποιούνται	korišten
καλύτερη	bolji
καλύτερη	bolje
πολιτείες	države
πολιτείες	država
χρήστη	korisnički
χρήστη	korisnik
πληθυσμού	populacija
εξουσία	autoritet
εξουσία	power
εξουσία	vlast
καλοκαίρι	ljeto
παράδοση	predaju
παράδοση	>>
παράδοση	predaja
παράδοση	tradicija
άνδρες	muškarci
δίνει	daje
όσκαρ	oskar
όσκαρ	oscar
όσκαρ	oskar
ακριβώς	precizno
ακριβώς	tačno
γυναίκα	žena
γυναίκα	ženka
γυναίκα	supruga
γυναίκα	žena
κλπ	etc
κλπ	itd
περιοδικό	magazin
κατάλογος	direktorij
κατάλογος	spisak
κατάλογος	lista
κεντρική	central
κεντρική	centralni
κεντρική	centralna
ακολούθησε	povode
ακολούθησε	slijede
ακολούθησε	slijedi
ακολούθησε	praćen
ακολούθησε	slijede
ακολούθησε	slijedili
γλώσσες	jezici
γλώσσες	jezike
νησιά	ostrva
χρώμα	boja
χρώμα	boji
χρώμα	boje
χρώμα	boju
χρώμα	boja
διεθνής	međunarodno
διεθνής	međunarodni
διεθνής	international
αμερική	amerika
γυναίκες	žene
μονή	samostan
μονή	manastir
σπούδασε	studirao
σπούδασε	proučili
σπούδασε	učio
σπούδασε	proučen
σπούδασε	proučavao
σπούδασε	proučio
κύρια	glavne
κύρια	glavna
κύρια	glavno
κύρια	glavni
πρότυπα	templates
πρότυπα	standardi
πρότυπα	standarde
πρότυπα	standarda
δημιουργήθηκε	kreirana
δημιουργήθηκε	stvoreno
δημιουργήθηκε	stvorena
δημιουργήθηκε	stvoren
δημιουργήθηκε	stvorio
μικρά	male
μικρά	mali
σχέσεις	odnosi
εμφάνιση	show
εμφάνιση	emisiju
εμφάνιση	nastup
εμφάνιση	šou
εμφάνιση	sou
εμφάνιση	prikaz
τέσσερα	četiri
εγκυκλοπαίδεια	enciklopedija
αυτοκρατορία	carstvo
ώρες	sati
τίτλος	titula
συνθήκες	uslovi
συνθήκες	okolnosti
συνθήκες	okolnostima
μελέτη	proučiti
μελέτη	studija
μελέτη	proučavanja
σχολείο	škola
ειδικά	posebno
ειδικά	naročito
υλικό	materijal
υλικό	material
κάστρο	dvorac
κάστρο	kastro
κάστρο	castro
βουλευτές	parlamentaraca
βουλευτές	parlamentarci
βουλευτές	poslanici
δυτικά	zapadu
δυτικά	zapad
δυτικά	zapadu
δυτικά	zapadna
δυτικά	zapadnim
δυτικά	zapadne
δυτικά	zapadni
καλά	dobro
καλά	dobar
καλά	dobre
ανατολικά	istok
ανατολικά	istočnim
ανατολικά	istočni
ανατολικά	istočnoj
ανατολικά	istočna
ανατολικά	istočne
απέναντι	suprotnost
απέναντι	suprotna
απέναντι	suprotnim
απέναντι	suprotno
συνεργασία	saradnja
επιτροπή	komisija
επιτροπή	odbor
επιτροπή	komitet
νίκος	nikos
άνθρωποι	ljudi
άνθρωποι	narod
έφτασε	stigao
έφτασε	stigli
έφτασε	stigla
αρχηγός	načelnik
αρχηγός	glavni
αρχηγός	šef
αρχηγός	lider
σύνθεση	sastav
σύνθεση	kompozicija
σύνθεση	sastavu
σύνθεση	sinteza
σύνθεση	sintezu
προσπάθεια	pokušaj
προσπάθεια	napor
προσπάθεια	trud
τελευταίο	last
τελευταίο	poslednji
τελευταίο	poslednja
τελευταίο	posljednja
τελευταίο	zadnja
τελευταίο	posljednji
εξελέγη	izabran
απόφαση	odlukom
απόφαση	odluka
αυτοκράτορα	imperator
αγορά	nabavku
αγορά	kupovina
αγορά	pijaci
αγορά	tržište
αγορά	tržišta
πρόταση	prijedlog
ταυτόχρονα	istovremeno
μέρες	dana
ανακαλύφθηκε	otkriveni
ανακαλύφθηκε	otkrivene
ανακαλύφθηκε	otkrivena
ανακαλύφθηκε	otkriven
ανακαλύφθηκε	otkrio
ανακαλύφθηκε	otkrili
ποσοστό	postotak
ποσοστό	stopa
τελική	finale
τελική	završni
τελική	konačni
καθηγητής	predavač
καθηγητής	profesor
καθηγητής	nastavnik
καθηγητής	učitelj
συμβούλιο	vijeće
μέσο	instrument
μέσο	medium
μέσο	srednji
μέσο	srednjim
μέσο	srednje
μέσο	srednja
γιάννης	giannis
συνέχισε	nastavljaju
σταθμός	stanica
παράγεται	proizveo
παράγεται	proizvela
έρευνα	istraga
έρευνα	istraživanje
έρευνα	ispitivanje
έρευνα	istraživanje
έρευνα	istraživanja
γέννησης	rođenja
γέννησης	rodila
δυτική	zapadu
δυτική	zapad
δυτική	zapadu
δυτική	zapadna
δυτική	zapadnim
δυτική	zapadne
δυτική	zapadni
κωνσταντινούπολη	konstantinopolj
κωνσταντινούπολη	istanbul
έννοια	značenja
έννοια	značenju
έννοια	značenje
έννοια	smisao
έννοια	pojam
απο	od
χαρακτήρα	karaktera
χαρακτήρα	karakter
χαρακτήρα	lik
αλέξανδρος	aleksandar
αλέξανδρος	alexander
δυνατότητα	mogućnost
θερμοκρασία	temperatura
σπουδές	studirao
σπουδές	proučili
σπουδές	učio
σπουδές	proučen
σπουδές	proučavao
σπουδές	proučio
σπουδές	studijama
σπουδές	proučavanja
σπουδές	studije
γενική	general
οργάνωση	organizacija
οργάνωση	organizacija
μερικά	neki
χρειάζεται	treba
όμιλος	grupa
επιφάνεια	površine
επιφάνεια	površina
αγγλία	engleska
μετάφραση	prevođenje
ρωσία	rusija
ρώμη	rim
κορυφή	top
κορυφή	vrhunac
κορυφή	peak
βιβλιοθήκη	biblioteka
λόγους	razlozi
λόγους	razloga
σημαία	zastava
δεδομένων	podatak
βρέθηκε	našla
βρέθηκε	pronađen
βρέθηκε	pronađena
βρέθηκε	pronašli
βρέθηκε	pronašao
βρέθηκε	utvrdila
ορίζεται	definisani
ορίζεται	definisano
ορίζεται	definisan
ορίζεται	definisane
ορίζεται	definisana
ενδιαφέρον	zanimljiva
