лед	קרח
инцидент	תקרית
работеше	עבדה
работеше	עבד
вторник	שלישי
вирус	נגיף
вирус	וירוס
добиток	בקר
посредник	מתווך
посредник	המתווך
посредник	מתווך
посредник	מגשר
состаноци	פגישות
состаноци	מפגשים
состаноци	ישיבות
сиромаштија	עוני
геолошки	הגיאולוגי
шер	שר
шер	שר
разгледува	בהתחשב
разгледува	שוקלת
разгледува	שוקל
обележани	מסומנים
обележани	מסומן
обележани	מסומנת
обележани	סומן
курсеви	הקורסים
курсеви	קורסים
фокус	להתרכז
фокус	מיקוד
фокус	פוקוס
конкретни	ספציפית
конкретни	ספציפי
конкретни	ספציפיות
конкретни	ספציפיים
конкретни	בטון
супстанца	חומר
наназад	הפוך
наназад	אחורנית
наназад	לאחור
лејди	גברת
лејди	ליידי
рап	ראפ
скали	סולמות
скали	מדרגות
раководители	מנהלים
раководители	מנהלים
ресурсите	משאבים
очекувања	ציפיות
очекувања	תקוות
очекувања	הציפיות
примарна	ראשוני
примарна	עיקרי
примарна	ראשי
примарна	העיקרי
времетраење	משך
лесна	בקלות
лесна	קל
лесна	קלות
лесна	לאט
мадагаскар	מדגסקר
едрене	אדירנה
праќа	שולחת
праќа	שולח
типични	אופיינית
типични	טיפוסית
типични	טיפוסי
типични	אופייני
џордан	ירדן
постоечки	קיימת
постоечки	קיימות
постоечки	קיים
постоечки	קיימים
јапонска	יפני
јапонска	יפנית
јапонска	יפנים
извршат	מתחייב
вегас	וגאס
вегас	ווגאס
големини	מידות
признат	מזוהה
признат	זוהה
признат	מזוהה
признат	מוכר
признат	מוכרת
остро	בחוזקה
остро	שארפ
остро	חד
остро	חדה
остро	חדות
формирано	נוצרו
формирано	נוצר
атракција	משיכה
параметар	פרמטר
експлоатација	ניצול
експлоатација	חקר
конечен	סופית
конечен	סופי
конечен	סופיות
конечен	גמר
пештери	מערות
андалузија	אנדלוסיה
вишок	עודף
вишок	עודפים
вишок	מיותר
вишок	עודף
стенфорд	סטנפורד
нормандија	נורמנדי
изложеност	חשיפה
антропологија	אנתרופולוגיה
хаити	האיטי
свадба	חתונה
свадба	החתונה
оценка	ניקוד
оценка	ציון
сони	סוני
сони	סוני
сони	סאני
нирнберг	נירנברג
изолација	בידוד
ралф	ראלף
самуил	סמואל
самуил	שמואל
следна	הבא
стравот	פחד
стравот	הפחד
стравот	חשש
почитува	מכבד
почитува	המובנים
ритуали	טקסים
интензитет	עוצמה
обнови	שיחזור
обнови	שחזר
обнови	לשחזר
обнови	לחדש
промовирање	קידום
промовирање	הקידום
промовирање	קידום
промовирање	מקדם
поразена	מנוצחים
поразена	מובס
поразена	תבוסה
поразена	הובס
упатува	המלצות
упатува	הפניות
согорување	בעירה
заседа	המארב
заседа	מארב
континуирано	ברציפות
континуирано	מתמשך
континуирано	רציף
факултети	מכללות
факултети	הפקולטות
евиденција	רישומי
евиденција	תקליטים
евиденција	רישומים
евиденција	רשומות
евиденција	יומן
индиректно	עקיף
индиректно	בעקיפין
спротивни	מפוצלים
спротивни	ההפך
спротивни	ההיפך
кралевите	המלכים
кралевите	מלכים
пеколот	גיהנום
пеколот	תופת
пеколот	התופת
сознанија	ממצאים
сознанија	הממצאים
тениско	טניס
протест	המחאה
протест	מחאה
рајот	עדן
панорама	פנורמה
опасни	מסוכנים
опасни	מסוכנת
опасни	מסוכן
почина	מת
почина	מתו
почина	מתה
ангели	מלאכיות
ангели	מלאכים
еми	אמי
шеми	תבניות
шеми	דפוסים
шеми	מזימות
среда	רביעי
среда	רביעי
врат	הצוואר
врат	מפרקת
врат	צוואר
врат	נק
играчки	צעצועי
играчки	צעצועים
масовни	מיסה
масовни	מסת
масовни	המסה
масовни	מסה
масовни	מאסיב
масовни	מסיבית
масовни	מסיבי
групна	חבורה
групна	הקבוצה
групна	קבוצה
ник	ניק
идол	האליל
идол	איידול
идол	אליל
витамин	ויטמין
одби	סירבה
одби	נדחה
одби	סרב
одби	דחה
одби	סירבה
одби	סרבו
одби	סירבו
одби	סרב
одби	סירב
одење	הליכה
одење	טרקים
граѓанин	האזרח
граѓанин	אזרחית
граѓанин	אזרח
материјална	חומר
комесар	הנציב
комесар	ניצב
комесар	נציב
комесар	קומיסר
професионалец	מקצועיות
професионалец	מקצוען
професионалец	מקצועית
професионалец	מקצועי
професионалец	מקצוען
професионалец	פרו
професионалец	pro
декларацијата	הכרזת
декларацијата	הצהרת
религиски	דתיות
религиски	דת
религиски	דתי
религиски	דתית
религиски	דתיים
припаѓал	שייך
припаѓал	שייכת
брегови	חופים
индекси	המדדים
мајмуни	קופים
спартак	ספרטקוס
спартак	ספרטק
докторат	דוקטורט
докторат	הדוקטורט
докторат	דוקטורט
докторат	הדוקטורט
верувањето	האמונה
верувањето	אמונה
моќност	כוח
моќност	עוצמה
моќност	כח
моќност	power
артисти	אומנים
артисти	אמנים
артисти	אמני
врзани	כבול
врзани	מחויב
врзани	קשורה
врзани	קשור
англо	אנגלו
клун	מקור
празен	ריקה
празен	ריק
празен	בלאנק
протеини	חלבון
протеини	פרוטאין
михаел	מיכאל
михаел	מייקל
тел	תל
тел	טל
стразбур	שטרסבורג
предвидување	חיזוי
предвидување	תחזית
лил	ליל
длабоки	עמוקים
длабоки	עמוקה
длабоки	עמוק
барбара	ברברה
осло	אוסלו
пристигнува	נכנסים
пристигнува	נכנסת
армстронг	ארמסטרונג
цветови	פרחים
руси	רוסים
руси	הרוסים
бесплатно	חופשי
бесплатно	חינם
бесплатно	free
бесплатно	חופשיים
бесплатно	בחינם
милтон	מילטון
фрлање	זרוק
фрлање	לזרוק
фрлање	זורק
припаѓале	שייך
припаѓале	שייכת
гари	גרי
гари	גארי
милошевиќ	מילושביץ
базен	בריכה
базен	ביליארד
базен	סנוקר
базен	בריכת
капацитети	מתקנים
капацитети	מתקני
грос	גרוס
грос	גועל
грос	דוחה
грос	מגעיל
грос	ברוטו
рус	ראס
учествуваа	בהשתתפות
учествуваа	נבחרים
учествуваа	השתתפו
учествуваа	השתתפה
учествуваа	השתתפתי
учествуваа	השתתף
одраз	משקפים
одраз	משקף
одраз	לשקף
одраз	ההשתקפות
одраз	השתקפות
шарлот	שרלוט
шарлот	שארלוט
ататурк	אטאטורק
хумор	הומור
хумор	הומור
работничка	פועל
работничка	עובד
католици	הקתולים
католици	קתולים
наклон	הטה
утро	בוקר
мис	מיס
мис	מתגעגעת
мис	מתגעגע
мис	מתגעגעים
сооднос	יחס
реми	רמי
реми	רמי
претставништво	ייצוג
претставништво	לייצוג
пазарите	שווקים
планетите	כוכבים
клајн	קליין
атлетико	אתלטיקו
атлетико	אתלטיקו
кафеава	בראון
кафеава	חומה
кафеава	חומות
кафеава	חום
уганда	אוגנדה
брана	סכר
украси	קישוטים
украси	קישוטים
привремена	זמנית
привремена	זמני
привремена	טמפרטורה
драстично	דרסטית
неопходни	נחוץ
неопходни	הכרחית
неопходни	הכרחי
неопходни	נחוצה
неопходни	צורך
половината	המותניים
половината	מותניים
половината	מחצית
половината	חצי
изолирани	מבודד
изолирани	מבודדים
изолирани	מבודדת
откри	נחשף
откри	חשף
откри	התגלה
френклин	פרנקלין
бродовите	אוניות
бродовите	ספינות
бродовите	מעבורות
предупредување	אזהרה
кршење	הפרה
кршење	שבירה
кршење	שוברים
кршење	לנפץ
кршење	ריסוק
државјанство	אזרחות
предци	אבותינו
натписи	מאמרים
харисон	הריסון
харисон	האריסון
леви	לוי
обама	אובאמה
обама	אובמה
осветлување	תאורת
осветлување	תאורה
прославата	חגיגה
прославата	החגיגה
славко	סלאבקו
експериментални	נסיוני
експериментални	ניסיוני
масти	שמן
масти	שמנים
масти	שמנה
масти	שומן
семејствата	משפחות
паскал	פסקל
пипин	פיפין
вавилон	בבל
вавилон	בבילון
скандинавија	סקנדינביה
обреди	טקסים
сакаше	אהבתי
сакаше	אהוב
сакаше	אהב
сакаше	מבוקשים
сакаше	מבוקשת
сакаше	מבוקש
сакаше	רצה
конкретно	במפורש
конкретно	ספציפית
конкретно	ובפרט
роберто	רוברטו
бетмен	באטמן
запишување	כתיבה
запишување	כותבת
запишување	כותב
тропски	טרופית
тропски	טרופי
пит	פיט
ненадејно	לפתע
ненадејно	פתאום
ненадејно	פתאומי
ненадејно	פתאומיות
ненадејно	פתאומית
дебелина	השמנה
дебелина	עובי
евангелие	הבשורה
ловат	האנט
фридман	פרידמן
волк	וולף
волк	זאב
бањи	ספא
бањи	אמבטיות
распад	ריקבון
господин	מיסטר
господин	אדון
грама	גרם
сместување	לינה
сместување	מגורים
сместување	לינה
крила	כנפי
крила	כנפיים
курт	קורט
курт	קורט
регионална	אזורי
регионална	איזורי
пушки	רובים
пушки	רובים
пушки	אקדחים
умерена	ממוזג
умерена	מתון
умерена	למתן
цивилизации	תרבויות
болни	כואבת
болни	כואב
болни	כואבות
болни	כואבים
болни	חולה
лаос	לאוס
полот	מין
полот	מגדר
гравитација	כבידה
памук	פאמוק
памук	קוטון
памук	כותנה
редовна	רגילה
редовна	סדיר
редовна	רגיל
редовна	קבוע
олимпија	אולימפיה
олимпија	אולימפיאס
погодни	נוחה
клинтон	קלינטון
учеснички	משתתפים
учеснички	משתתפת
учеснички	משתתף
учеснички	משתתפים
варна	וארנה
варна	ורנה
валути	מטבע
дно	תחתון
дно	תחתית
среќен	מרוצה
среќен	מאושר
среќен	שמחה
среќен	שמח
среќен	מאושרת
азиски	אסייתית
азиски	אסייתי
азиски	אסיאתית
азиски	אסיה
азиски	אסיאתי
идентични	זהים
идентични	זהה
поканети	מוזמנים
поканети	מוזמנת
поканети	הוזמן
поканети	הוזמנה
поканети	מוזמן
сведок	עדה
сведок	העד
сведок	עדים
сведок	עדה
сведок	עדים
арапска	ערבים
арапска	ערבי
уста	מאות
дилан	דילן
антиохија	אנטיוכיה
болката	כאב
болката	כאבים
управувани	מנוהלת
управувани	מנוהל
вработен	העובד
вработен	עובד
вработен	מועסק
стручно	מומחה
стручно	מומחית
ладен	לאדן
бернард	ברנאר
бернард	ברנארד
бернард	ברנרד
девојче	בחורה
девојче	ילדה
девојче	נערה
мајнц	מיינץ
сценарист	תסריטאי
моќни	עוצמה
моќни	חזקה
моќни	חזק
моќни	עוצמתי
реда	שורות
мисисипи	מיסיסיפי
добиена	זכיתי
добиена	זכה
добиена	ניצח
добиена	ניצחו
преспанско	פרספה
мигел	מיגל
чуда	ניסים
чуда	נסים
чуда	פלאים
покани	הזמנות
покани	הזמנה
покани	להזמנה
покани	ההזמנה
покани	הזמנות
робот	רובוט
одредби	אספקה
рамен	דירה
рамен	שטוחה
рамен	במול
рамен	שטוח
рамен	ראמן
гледал	צפתה
гледал	צפיתי
гледал	צפו
гледал	צפה
гледал	צפית
детално	מפורטת
детално	מפורט
детално	מפורטים
детално	פרט
предаваат	ללמד
хранливи	תזונתי
модни	אופנה
модни	fashion
модни	פאשן
модни	האופנה
имплементација	יישום
имплементација	מימוש
сини	כחולה
сини	בלו
сини	כחול
пијалаци	משקה
пијалаци	משקאות
пијалаци	משקאות
пијалаци	שתייה
пијалаци	משקאות
пијалаци	שתיה
онтарио	אונטריו
ген	גן
ген	הגן
капабланка	קפבלנקה
штети	פיצויים
штети	נזקים
штети	הנזקים
штети	נזקים
штети	נזק
веста	וסטה
антониј	אנטוני
антониј	אנטוניוס
антониј	אנטוניוס
континенти	היבשות
континенти	יבשת
континенти	יבשות
надмине	לחרוג
надмине	להתגבר
ризици	סיכונים
трик	טריק
трик	תכסיס
трик	תעלול
трик	תחבולה
придружен	מלווה
придружен	בליווי
есеист	מסאי
емоции	הרגש
емоции	רגש
емоции	רגשות
тери	טרי
тери	טרי
тери	טרי
бич	חוף
бич	החוף
доминантен	דומיננטי
судење	משפט
протестанти	פרוטסטנטים
протестанти	מפגינים
исполнет	מילא
конференции	ועידה
конференции	ועידות
пирин	פירין
мажот	בעלי
мажот	בעל
мажот	הבעל
татковината	המולדת
заклучоци	ממצאים
заклучоци	הממצאים
заклучоци	מסקנות
кабинет	ארון
кабинет	הקבינט
зачуван	נשמר
зачуван	שמורים
зачуван	שמורה
зачуван	הציל
арагон	אראגון
значителна	ניכר
значителна	ניכר
значителна	ניכרת
значителна	משמעותי
значителна	משמעותיים
значителна	משמעותיות
значителна	משמעותית
сончев	שמש
сончев	סאני
здраво	שלום
здраво	הלו
корпорација	תאגיד
радијација	הקרנות
радијација	קרינה
анимација	אנימציה
собрал	אסף
помогнале	עזר
неутрони	נייטרונים
краков	קרקוב
едвај	בקושי
едвај	בקושי
одеднаш	לפתע
одеднаш	פתאום
одеднаш	פתאומי
одеднаш	פתאומיות
одеднаш	פתאומית
ферари	פרארי
прописи	תקנות
прописи	התקנות
дуран	דוראנט
дуран	דוראן
кремљ	הקרמלין
кромид	בצל
кромид	בצלים
кромид	בצל
мередит	מרדית
продукт	המוצר
продукт	מוצר
пролог	פרולוג
свесни	בהכרה
свесни	מודע
свесни	תודעה
свесни	מודעת
свесни	מודע
свесни	מודעת
освојувач	כובש
освојувач	הכובש
викиликс	ויקיליקס
налог	צו
започната	השיק
подигање	אתחול
подигање	מגף
подигање	המגף
подигање	הרם
подигање	לגדל
подигање	העלאה
мак	מאק
мак	mac
мак	מק
мак	מאק
мак	מק
колона	הטור
колона	טור
нијанси	גוונים
облаци	העננים
облаци	עננים
адамс	אדמס
адамс	אדאמס
шират	מתפשט
самоа	סמואה
иновации	חידושים
иновации	חדשנות
топла	הוט
топла	חם
топла	חמה
топла	שווה
топла	חמים
топла	חם
топла	חמה
заинтересиран	מתעניין
заинтересиран	מעוניינים
заинтересиран	מעוניינת
заинтересиран	מעונין
заинтересиран	מעוניין
корпорации	תאגידים
спротивна	ההפך
спротивна	ההיפך
забави	מפלגות
забави	מסיבות
грло	הגרון
грло	גרון
потсетува	מזכיר
бизниси	עסקים
теоретичар	תאורטיקן
моќен	האדיר
моќен	עוצמה
моќен	חזקה
моќен	חזק
моќен	עוצמתי
воспоставена	מבוסס
воспоставена	הוקם
воспоставена	הוקמה
зими	וינטרס
пилот	פיילוט
пилот	טייס
линколн	לינקולן
вируси	ויראלי
вируси	וירוסים
свесен	מודע
свесен	מודעת
свесен	בהכרה
свесен	מודע
свесен	תודעה
свесен	מודעת
криви	עקומות
витез	אביר
печатени	הדפסת
печатени	מודפס
осигура	להבטיח
осигура	ודא
искористување	ניצול
рајх	רייך
рајх	הרייך
додадена	הוסיף
додадена	נוספו
додадена	נוספה
додадена	הוסיפה
додадена	נוסף
семиња	גרעינים
семиња	זרעים
интервјуа	ראיונות
браната	סכר
вагнер	וגנר
вагнер	ווגנר
рејчел	רחל
рамна	דירה
рамна	שטוחה
рамна	במול
рамна	שטוח
предвидено	חזיתי
предвидено	חזו
извршувањето	ביצוע
декади	עשורים
забранети	אסורים
забранети	אסור
забранети	אסורה
забранети	נאסר
забранети	אסורים
забранети	אסור
забранети	אסורה
забранети	אסר
забранети	נאסר
чудно	מביכה
чудно	מביך
чудно	מוזרה
чудно	מוזר
чудно	מוזרות
чудно	משונה
чудно	מוזרה
чудно	מוזר
чудно	מוזרים
чудно	מוזרה
чудно	מוזר
чудно	מוזרות
чудно	אוד
писменост	אוריינות
пијалоци	שתייה
пијалоци	משקאות
пијалоци	שתיה
тактика	טקטיקות
тактика	טקטיקה
тактика	טקטיקה
кастро	קסטרו
одри	אודרי
поплави	שטפונות
поплави	הצפה
поплави	מבול
поплави	שיטפון
поплави	להציף
тринидад	טרינידד
архиепископот	הארכיבישוף
извоз	יצוא
извоз	היצוא
извоз	ייצוא
извоз	ייצא
извоз	יצוא
благоевград	בלגואבגרד
единбург	אדינבורו
тесна	מהודק
тесна	צמודה
тесна	הדוק
тесна	צמוד
тесна	חזק
багдад	בגדד
ката	קאטה
ката	קומות
ката	רצפה
ката	רצפות
аризона	אריזונה
масла	שמנים
организирано	מאורגן
организирано	מסודרת
организирано	מאורגנת
организирано	מאורגנים
класифицирани	סיווג
класифицирани	מסווג
ривали	יריבים
советници	יועצים
советници	יועצים
советници	פרקליטים
лажни	מזויף
лажни	מזוייף
лажни	מזויפת
лажни	זיוף
лажни	מזויפות
опозицијата	האופוזיציה
опозицијата	התנגדות
евентуално	יתכן
евентуално	ייתכן
кук	קוק
кук	טבח
изработката	ניסוח
полк	חטיבה
полк	גדוד
полк	פולק
лоара	הלואר
просторија	חדר
просторија	החדר
просторија	חדרה
моделите	תבניות
моделите	דפוסים
соседи	שכנות
соседи	שכנים
соседи	השכנים
соседи	שכנים
неделно	שבועי
базирано	מבוסס
дамаск	דמשק
бруно	ברונו
повторува	חזרות
хал	הל
хал	האל
черепот	גולגולת
черепот	סקאל
паѓаат	נפילה
паѓаат	נופל
паѓаат	נופלת
паѓаат	נופלים
плажи	החופים
плажи	חופים
таблички	צלחות
делфин	דולפין
делфин	דלפין
канцеларии	משרדים
одиграно	שיחק
одиграно	ניגן
инструкции	הוראה
инструкции	הדרכה
инструкции	הנחיות
инструкции	הוראות
придонесуваат	לתרום
чувар	שומר
чувар	שומרת
чувар	אפוטרופוס
чувар	שומר
чувар	משמר
чувар	המשמר
чувар	שמירה
подобрува	משתפרת
подобрува	משפר
потешкотии	קשיים
потешкотии	הקושי
потешкотии	קושי
потешкотии	קשיים
потешкотии	הקשיים
сончева	שמש
судиите	שופטים
пречка	המשוכה
пречка	מכשול
поинаков	שונות
поинаков	שונה
поинаков	שונים
клинички	קליני
клинички	קלינית
клинички	קלינית
отворања	פתיחות
вообичаени	נהוג
вообичаени	הרגיל
вообичаени	כרגיל
измислени	דמיוניים
измислени	דמיוני
измислени	דמיונית
измислени	המציאה
измислени	הומצא
измислени	המציא
измислени	מפוברק
измислени	בדיונית
измислени	בדיוני
измислени	בדוי
континентот	יבשת
континентот	היבשת
ерп	ארפ
фан	מאוורר
фан	מעריץ
фан	מעריצה
фан	אוהד
синовите	בנים
алесандро	אלסנדרו
еквивалент	המקבילה
еквивалент	מקבילה
придружува	ללוות
придружува	להתלוות
трчање	מפעיל
трчање	רץ
трчање	ריצה
драматург	מחזאי
означен	מתויגים
означен	מתויג
духовен	רוחנית
духовен	רוחני
духовен	רוחניות
бенџамин	בנימין
лиги	ליגות
арт	אומנות
арт	ארט
арт	אמנות
рудник	מוקש
рудник	שלי
минимална	מינימום
минимална	המינימום
минимална	מינימלי
минимална	מינימלית
минимална	מין
реален	מציאותי
реален	מציאותיים
реален	ריאלי
реален	מציאותית
чистење	מנקה
чистење	נקיון
чистење	ניקיון
чистење	ניקוי
самоил	סמואל
самоил	שמואל
елстер	אלסטר
прованса	פרובנס
купувачот	קונה
купувачот	קניין
купувачот	הקונה
омилен	מועדף
омилен	אהובים
омилен	מועדפת
омилен	מועדף
омилен	אהוב
одразува	משתקף
одразува	משקף
тежи	שוקל
пресврт	טוויסט
пресврт	תפנית
хармонија	הרמוני
хармонија	הרמוניה
портали	שערים
едгар	אדגר
обновено	מחודש
обновено	מחודשת
обновено	שוחזר
минг	מינג
грејс	גרייס
грејс	חסד
стрипови	קומיקס
заслуга	קרדיט
заслуга	זיכוי
заслуга	אשראי
сајмон	שמעון
сајмон	סימון
сајмон	סיימון
крие	מסתיר
крие	מסתור
крие	מסתתרת
крие	מסתיר
крие	מתחבאת
крие	מתחבא
крие	מסתתר
сантјаго	סנטיאגו
губат	לאבד
губат	מפסידה
губат	מפסיד
губат	לאבד
губат	מפסיד
губат	להפסיד
дијалог	דיאלוג
филипс	פיליפס
картер	קרטר
елементот	יסוד
елементот	אלמנט
нагло	בחדות
колумбо	קולומבוס
колумбо	קולומבו
тигри	הנמרים
тигри	נמרים
самостоен	סולו
добиен	הושג
умрела	מת
умрела	מתו
умрела	מתה
комедии	קומדיות
терористи	טרוריסטים
терористи	מחבלים
рој	רועי
рој	רוי
рој	נחיל
снабдување	אספקת
снабдување	אספקה
стебло	עץ
гази	גאזי
обвинети	הואשם
обвинети	מואשם
обвинети	הואשם
обвинети	מואשמת
обвинети	מואשם
обвинети	האשים
обвинети	נאשם
обвинети	הנאשמים
обвинети	טעון
обвинети	טעונה
бот	בוט
војводите	דוכס
војводите	דיוקס
сакајќи	לרצות
феномени	תופעות
феномени	תופעה
затвори	קרוב
затвори	סגור
затвори	קרובים
затвори	סגורות
затвори	סגורים
затвори	סגור
затвори	סגורה
вакуум	ואקום
студентски	סטודנט
студентски	תלמידה
студентски	תלמיד
студентски	סטודנטית
братучед	דודן
братучед	דודן
фасада	חזות
земјоделско	חקלאי
присуствуваат	השתתפות
присуствуваат	נוכח
присуствуваат	להשתתף
одигран	שיחק
одигран	ניגן
спротивност	ההפך
спротивност	ההיפך
продуценти	מפיקים
продуценти	מפיק
продуценти	המפיקים
орлеанс	אורלינס
заминување	עזיבה
мансфелд	מנספלד
миле	מייל
одел	אודל
образовен	חינוכית
образовен	חינוכי
одделенија	מחלקות
клас	רמה
клас	כיתה
клас	מעמד
сена	סנה
сена	סנה
сена	הסיין
полови	מין
полови	מגדר
непријателот	האויב
непријателот	אוייב
непријателот	אויב
повторување	חזרה
повторување	חזרות
повторување	חזור
повторување	חוזר
вотсон	ווטסון
научи	ללמוד
научи	למדו
научи	למד
научи	תלמד
тропска	טרופית
тропска	טרופי
серверот	שרת
серверот	השרת
релативна	יחסי
томи	טומי
развивањето	פיתוח
процедури	הליכים
процедури	נהלים
духовни	רוחנית
духовни	רוחני
духовни	רוחניות
безбедно	בטוחה
безбедно	כספת
безбедно	בטוחים
безбедно	בטוח
безбедно	בשלום
безбедно	בבטחה
постигнато	הושלמה
постигнато	בוצעה
постигнато	הושג
постигнато	השיג
постигнато	הושגה
намерата	כוונה
намерата	כוונה
намерата	כוונת
преостанатите	נותר
преостанатите	נותרה
преостанатите	נותרו
преостанатите	שנותרו
велосипеди	אופניים
велосипеди	אופניים
ископувања	חפירות
ископувања	חפירות
олга	אולגה
стандардно	מחדל
стандардно	סטנדרטים
стандардно	סטנדרט
стандардно	סטנדרטי
стандардно	תקן
американец	אמריקאים
американец	אמריקני
американец	אמריקאית
американец	אמריקאי
домаќини	מארחים
домаќини	מארח
одлучено	החלטת
одлучено	החליטה
одлучено	החליטו
одлучено	החלטתי
одлучено	הוחלט
одлучено	החליט
контраст	ניגודיות
контраст	ניגוד
контраст	חדות
поен	ניקוד
поен	ציון
задачата	משימה
задачата	מטלה
дијагноза	אבחון
дијагноза	האבחנה
дијагноза	אבחנה
данлоп	דאנלופ
лоренцо	לורנזו
лоренцо	לורנצו
топки	ביצים
топки	כדורים
тргување	מסחר
тргување	סחר
мој	מוקש
мој	שלי
романди	רומנדי
испратена	נשלחו
испратена	נשלח
испратена	נשלחה
туркменистан	טורקמניסטן
гледачите	הצופים
гледачите	צופים
бизмарк	ביסמרק
регулира	מסדיר
регулира	לווסת
регистрација	רישום
регистрација	הרשמה
регистрација	להרשמה
поттикнува	הסית
фатен	תפס
фатен	נתפס
фатен	נתפסה
