scheiden	divorț
achtbaan	coaster
verwijderde	șters
verwijderde	sters
verwijderde	îndepărtat
verwijderde	eliminat
verwijderde	scos
groenland	groenlanda
spanningen	tensiuni
spanningen	tensiune
spanningen	tensiunea
spanningen	tensiuni
spanningen	tensiunile
antieke	antică
antieke	antichitate
antieke	antic
tenggara	tenggara
beton	concret
beton	beton
beton	concrete
tongeren	tongeren
campeonato	campeonato
pearl	pearl
pearl	perla
pearl	perlă
monsters	monștri
monsters	monstri
monsters	probe
monsters	mostre
monsters	eșantioane
noodzaak	nevoie
noodzaak	necesitate
noodzaak	necesitatea
godsdienst	religie
godsdienst	religia
bestaand	existent
bestaand	existentă
bestaand	existând
bestaand	existente
comics	comics
norm	norma
norm	norm
norm	standardul
norm	standard
uitgewerkt	elaborată
auf	auf
gisteren	ieri
familieleden	neamuri
familieleden	rudelor
familieleden	rudele
familieleden	rude
chelsea	chelsea
banner	banner
nrc	nrc
klant	clientul
klant	client
klant	clientul
klant	client
seven	şapte
seven	șapte
seven	sapte
seven	seven
jesse	jesse
gogh	gogh
sous	sous
maximiliaan	maximilian
voetballen	fotbal
voetballen	fotbal
voetballen	football
voetballen	fotbalul
auteursrechten	copyright
bergh	bergh
botanicus	botanist
landgenoot	compatriot
landgenoot	compatriotul
bres	încălcare
klaus	klaus
dallas	dallas
dylan	dylan
grafische	grafic
grafische	grafică
humor	umorul
humor	umor
humor	umorul
humor	umor
normen	standarde
normen	standardele
vlekken	petele
vlekken	pata
vlekken	pată
referendum	referendumul
referendum	referendum
interim	interimar
berry	berry
randall	randall
spirit	spiritul
spirit	spirit
sneek	sneek
pond	liră
pond	lira
pond	kilograme
oplossingen	solutii
oplossingen	soluții
göteborg	göteborg
göteborg	gothenburg
castro	castro
plezier	plăcerea
plezier	placere
plezier	placerea
plezier	plăcere
variaties	variații
agnes	agnes
mechanische	mecanice
mechanische	mecanic
mechanische	mecanică
digitaal	digitală
digitaal	digitale
digitaal	digital
zoo	zoo
vert	vert
australis	australis
fanfare	fanfara
fanfare	fanfară
besteed	cheltuit
besteed	cheltuite
besteed	petrecut
motten	molii
ferreira	ferreira
blijf	rămâi
blijf	stai
geleerd	învățat
geleerd	invatat
geleerd	învățat
elegans	elegans
nabijheid	proximitate
nabijheid	apropiere
producties	productions
vormgeving	proiectare
vormgeving	design
vormgeving	proiectarea
vormgeving	modelarea
knop	nasture
knop	buton
knop	button
knop	butonul
realiseren	realizând
realiseren	realizând
leonardo	leonardo
aanwijzing	desemnarea
aanwijzing	desemnare
aanwijzing	indiciu
aanwijzing	indiciul
stromen	fluxuri
stromen	fluxuri
stromen	fluxurile
stromen	curge
pier	dig
pier	pier
synthese	sinteză
synthese	sinteza
sonic	sonic
uitzonderingen	excepții
uitzonderingen	scutirile
uitzonderingen	excepții
uitzonderingen	scutiri
uitzonderingen	derogări
richtingen	directii
abc	abc
exploitatie	exploatarea
exploitatie	exploatare
exploitatie	operație
exploitatie	operațiune
exploitatie	operațiunea
exploitatie	operaţiunea
berekend	calculată
berekend	calculat
berekend	calculate
justin	justin
aandoening	stare
aandoening	condiția
aandoening	condiție
ban	ban
ban	interzicere
ban	interdicție
schrijf	scrieti
schrijf	scrieți
schrijf	scriu
schrijf	scrie
beloften	promisiuni
beloften	promisiunile
case	case
case	caz
case	cazul
geschikte	adecvată
geschikte	adecvate
geschikte	adecvat
evenwicht	echilibru
evenwicht	balanta
evenwicht	balans
evenwicht	sold
evenwicht	soldul
evenwicht	echilibrare
mississippi	mississippi
reformatie	reformare
reformatie	reforma
michaël	mihai
michaël	michael
michaël	mihail
werkgever	angajatori
werkgever	angajatorilor
werkgever	angajatorii
werkgever	angajator
werkgever	angajatorului
werkgever	angajatorul
juliana	juliana
mega	mega
verdelen	divide
verworven	dobândite
verworven	dobândită
verworven	dobândit
verworven	achiziționat
concurrent	concurent
concurrent	concurentul
lille	lille
curtis	curtis
vernieuwd	reînnoit
vernieuwd	reînnoite
vernieuwd	reînnoită
holle	hollow
uiteenlopende	divergente
villiers	villiers
borg	borg
borg	garant
luigi	luigi
oklahoma	oklahoma
achtervolging	urmărire
achtervolging	chase
precieze	precise
precieze	precis
precieze	precisă
blokken	blocuri
objectief	obiectiv
objectief	obiectivul
objectief	lentilă
objectief	lentile
scheikunde	chimie
scheikunde	chimia
symptomen	simptomele
symptomen	simptome
mainz	mainz
apollo	apollo
ulrich	ulrich
erasmus	erasmus
ongeacht	indiferent
kiel	keel
kiel	kiel
tracks	piese
tracks	urme
dalen	văi
dalen	văile
dalen	coborâre
dalen	descendent
wielen	roti
wielen	rotile
wielen	roți
wielen	roţi
omega	omega
raket	racheta
raket	rachetă
raket	rocket
raket	rachetă
bijeenkomst	intalnire
bijeenkomst	întâlnirea
bijeenkomst	întâlnire
cornelius	cornelius
divisies	divizii
divisies	diviziile
verhuizen	mutarea
gevormde	formate
gevormde	formată
gevormde	format
beperkingen	limitările
beperkingen	limitări
beperkingen	restricții
beperkingen	constrângeri
beslissingen	decizii
beslissingen	deciziilor
beslissingen	deciziile
havens	porturile
havens	porturi
strepen	dungi
strepen	dungile
waarnemingen	observații
platteland	rural
bevoegdheden	privilegiile
bevoegdheden	privilegii
bevoegdheden	puterile
bevoegdheden	powers
bevoegdheden	puteri
bevoegdheden	competențe
overleefde	supraviețuit
overleefde	supravietuit
ontvangst	primire
ontvangst	primirea
ontvangst	primire
ontvangst	recepție
ontvangst	receptie
aspect	aspect
gloria	gloria
franken	franci
franken	franks
franken	franci
gilles	gilles
minas	minas
kilogram	kilograme
kilogram	kilogram
vertegenwoordigt	reprezintă
vertegenwoordigt	reprezinta
statistische	statistice
statistische	statistică
statistische	statistic
parlementaire	parlamentar
parlementaire	parlamentară
parlementaire	parlamentare
uitgesloten	exclus
uitgesloten	excluse
uitgesloten	exclusă
muzikaal	muzical
muzikaal	musical
muzikaal	muzical
monica	monica
gelijktijdig	simultan
gelijktijdig	simultane
gelijktijdig	simultană
gelijktijdig	simultan
verwachting	așteptări
hong	hong
vingers	degetele
vingers	degete
benedictus	benedict
afzonderlijk	separat
mensheid	omenirea
mensheid	umanitate
mensheid	omenire
mensheid	umanitatea
mensheid	omenirea
mensheid	omenirii
mensheid	omenire
relatieve	rudă
relatieve	relativ
relatieve	ruda
relatieve	relative
relatieve	relativă
mar	mar
worstelen	wrestling
worstelen	lupte
room	crema
room	smântână
room	crem
room	cremă
early	early
early	timpuriu
early	devreme
ede	jurământ
ede	jurământul
ede	edu
snavel	cioc
snavel	ciocul
cor	cor
rembrandt	rembrandt
binding	lipire
binding	lipirea
binding	unire
binding	legare
binding	legarea
binding	bond
mengsel	amestecul
mengsel	amestec
mengsel	amestec
peeters	peeters
religieus	religioasa
religieus	religioase
religieus	religioasă
religieus	religios
jagen	vânătoare
jagen	vânătoarea
jagen	vanatoare
jamaica	jamaica
job	iov
job	job
plaatselijk	local
plaatselijk	locale
plaatselijk	localnic
plaatselijk	local
plaatselijk	locală
neo	neo
willekeurig	aleatoriu
willekeurig	random
willekeurig	aleatoare
willekeurig	aleatoriu
willekeurig	aleator
willekeurig	aleatorie
willekeurig	arbitrare
willekeurig	arbitrar
clemens	clemens
plato	platon
bis	bis
isotoop	izotop
wallace	wallace
betrokkenheid	angajament
betrokkenheid	logodnă
betrokkenheid	logodna
betrokkenheid	interacțiuni
betrokkenheid	angajamentul
betrokkenheid	implicare
betrokkenheid	implicarea
betrokkenheid	angajament
betrokkenheid	angajamentul
stalin	stalin
eis	cerința
eis	cerință
eis	cererea
eis	cerere
uitbreiden	expansiune
uitbreiden	extinderea
uitbreiden	expansiunea
uitbreiden	extindere
uitbreiden	extinde
community	comunitate
community	comunitatea
bevordering	promovare
bevordering	promovarea
marx	marx
fossiel	fosile
fossiel	fosilă
fossiel	fosili
belgrado	belgrad
belgrado	belgradul
bijgedragen	contribuit
bacteriën	bacterie
bacteriën	bacterii
bacteriën	bacteriile
bacteriën	bacteria
bacteriën	germeni
bacteriën	microbii
bacteriën	microbi
poorten	gates
poorten	porţile
poorten	porți
poorten	porti
poorten	porturile
poorten	porturi
leen	împrumut
leen	împrumuta
leen	împrumută
wells	fântâni
wells	wells
salzburg	salzburg
sleutel	cheie
sleutel	tasta
sleutel	cheia
hol	bârlogul
hol	vizuină
hol	hollow
marcos	marcos
hardy	hardy
fossiele	fosile
fossiele	fosilă
fossiele	fosili
mason	mason
simone	simone
breuk	fractură
breuk	fractura
filmografie	filmografia
nielsen	nielsen
friends	prietenii
friends	prieteni
rassen	rase
rassen	curse
rassen	soiurile
rassen	soiuri
rassen	rase
irene	irene
concrete	concret
concrete	beton
concrete	concrete
alias	alias
alias	aka
mathilde	mathilde
mathilde	matilda
seks	sexul
seks	sex
tempels	templele
leken	părea
bradley	bradley
globe	glob
globe	globe
globe	globul
integratie	integrare
integratie	integrarea
wagens	vagoane
craig	craig
verhogen	crește
verhogen	creștere
sergej	sergei
sergej	serghei
sergej	serghei
argentijns	argentinian
argentijns	argentinian
argentijns	argentina
argentijns	argentinian
driehoek	triunghi
driehoek	triunghiul
arizona	arizona
emmanuel	emmanuel
beweerde	pretins
beweerde	revendicat
beweerde	presupusă
beweerde	presupusa
beweerde	presupus
dana	dana
presentatrice	prezentator
presentatrice	prezentatoare
mineralen	minerale
holmes	holmes
vaardigheden	skills
vaardigheden	aptitudini
vaardigheden	competențe
vaardigheden	abilitate
vaardigheden	îndemânare
wei	wei
wei	zer
genoteerd	înregistrate
genoteerd	înregistrată
genoteerd	înregistrat
genoteerd	inregistrat
genoteerd	notat
genoteerd	remarcat
fraser	fraser
variëren	varia
variëren	variază
gelinkt	legate
gelinkt	legată
hell	iadul
hell	iad
filosofische	filozofice
buitenste	exterioare
buitenste	exterior
scheepvaart	expediere
scheepvaart	livrare
césar	cesar
césar	césar
enterprise	întreprindere
enterprise	întreprinderea
enterprise	enterprise
finalist	finalist
verzocht	solicitate
verzocht	solicitat
verzocht	cerut
verzocht	solicitată
duivel	devil
duivel	diavolul
duivel	diavol
duivel	drac
duivel	demonul
duivel	demon
niels	niels
bazel	basel
kanon	cannon
kanon	tun
kanon	tunul
groetjes	salutări
groetjes	salutari
lens	lentilă
lens	lentile
martín	martín
invloedrijke	influente
invloedrijke	influent
invloedrijke	influentă
manuscript	manuscris
manuscript	manuscrisul
zuiver	pură
zuiver	pura
zuiver	pure
zuiver	pur
trans	trans
miljoenen	milioane
voorlopige	provizorii
voorlopige	provizoriu
voorlopige	provizorie
voorlopige	preliminare
voorlopige	preliminar
voorlopige	preliminară
meeting	intalnire
meeting	întâlnirea
meeting	întâlnire
karen	karen
gerenoveerd	renovat
gerenoveerd	renovat
betaling	plata
betaling	plată
bloei	înflorire
bloei	bloom
interessante	interesanta
interessante	interesant
interessante	interesantă
metz	metz
krachtig	viguros
krachtig	puternica
krachtig	puternic
brouwer	brouwer
brouwer	brewer
uitgevers	editorii
uitgevers	editori
sandra	sandra
bekken	pelvis
bekken	pelvisul
bekken	bazinul
bekken	bazin
étienne	étienne
étienne	etienne
étienne	etienne
papieren	hârtii
papieren	acte
ana	ana
hudson	hudson
kids	copii
kids	copiii
natte	ud
natte	umed
natte	ude
natte	umedă
natte	udă
bevrijd	eliberat
bevrijd	eliberat
herinneringen	amintiri
herinneringen	amintirile
herinneringen	memorie
herinneringen	memoria
herinneringen	amintirea
herinneringen	amintire
patricia	patricia
sterkte	putere
sterkte	puterea
sterkte	forta
graves	mormintele
graves	graves
graves	morminte
essays	eseuri
opslag	stocare
opslag	depozitarea
opslag	depozit
opslag	depozitare
gedoopt	botezată
gedoopt	botezat
gedoopt	botezată
gedoopt	botezat
gedoopt	botezată
gedoopt	botezat
farao	faraonul
farao	faraonului
farao	faraon
stabiele	stabil
stabiele	stabile
stabiele	grajd
stabiele	stabilă
turken	turc
turken	turk
turken	turcul
turken	turcii
turken	turci
turken	turcilor
legendarische	legendar
legendarische	legendară
legendarische	legendara
legendarische	legendarul
oekraïens	ucrainean
oekraïens	ucraineană
fictie	fictiune
individu	individuală
individu	individ
individu	individual
individu	individuale
copyright	copyright
jenny	jenny
colombiaanse	columbian
dubai	dubai
aangekocht	cumpărată
aangekocht	cumpărat
aangekocht	achiziționat
lucius	lucius
eng	înspăimântător
eng	înfricoșător
eng	înfiorător
eng	eng
petra	petra
vie	vie
mans	mans
tanzania	tanzania
mer	aie
mer	mer
taalkundige	lingvistic
taalkundige	lingvistice
taalkundige	lingvistică
taalkundige	lingvist
ontwikkelt	dezvoltă
fortuna	fortuna
dalai	dalai
pavel	pavel
edelen	nobililor
edelen	nobili
edelen	nobilii
avro	avro
tradities	traditiile
tradities	traditia
tradities	tradiție
tradities	traditie
tradities	tradiția
coördinaten	coordonatele
coördinaten	coordonate
viktor	viktor
wisconsin	wisconsin
volwassenen	adulți
volwassenen	adulti
volwassenen	adulți
volwassenen	adult
volwassenen	adultă
julian	julian
verpleegster	asistenta
verpleegster	asistentă
herhaling	reapariție
herhaling	repetarea
herhaling	repetare
herhaling	reluare
herhaling	repet
herhaling	repeta
herhaling	repetă
herhaling	reluare
adelaar	eagle
adelaar	vultur
adelaar	vulturul
xii	xii
miste	ratat
staudinger	staudinger
scenarioschrijver	scenarist
rechtstreekse	directa
rechtstreekse	directe
rechtstreekse	directă
rechtstreekse	direct
versterkte	consolidat
versterkte	întărit
versterkte	fortificat
versterkte	armat
versterkte	întărit
versterkte	întărită
kiss	pup
beoefend	practicat
beoefend	exersat
beoefend	practicată
beoefend	practicată
beoefend	practicate
true	adevărat
true	adevarat
renovatie	renovări
renovatie	renovarea
renovatie	renovare
gesprekken	conversații
noordse	nordice
noordse	nordic
noordse	nordică
uitnodiging	invita
uitnodiging	invită
uitnodiging	invitație
uitnodiging	invitatie
uitnodiging	invitație
juridisch	legal
juridisch	juridice
juridisch	legale
juridisch	juridic
juridisch	legală
juridisch	legal
aangepaste	personalizată
aangepaste	personalizate
aangepaste	personalizat
componenten	componente
componenten	componentele
nathan	nathan
nicholas	nicholas
nicholas	nicolae
lexikon	lexikon
knopen	butoanele
knopen	butoane
knopen	nasturi
knopen	noduri
knopen	noduri
knopen	nod
guatemala	guatemala
vervullen	îndeplinirea
vervullen	îndeplini
waardig	demn
waardig	demnă
waardig	demn
waardig	vrednic
vrucht	fructul
vrucht	fructe
vrucht	fructele
vrucht	fruct
impact	impact
impact	impactul
vancouver	vancouver
gekleurde	colorate
gekleurde	colorate
grammy	grammy
kid	copile
kid	kid
armoede	sărăcie
armoede	saracie
armoede	sărăciei
armoede	sărăcia
bologna	bologna
vooruitgang	progresul
vooruitgang	progres
vooruitgang	progresele
vooruitgang	progress
vooruitgang	progrese
rondes	ture
rondes	runde
limburgs	limburgheză
allan	allan
stark	stark
nusa	nusa
continentale	continental
continentale	continentale
continentale	continentală
aanraking	atinge
aanraking	touch
aanraking	atingere
yorkshire	yorkshire
zwaarden	săbiile
zwaarden	sabii
zwaarden	săbii
canon	canon
onnodig	inutile
onnodig	inutilă
owen	owen
suggestie	sugestia
suggestie	sugestie
beweren	afirme
ingediend	prezentat
residentie	resedinta
residentie	reședință
residentie	reședința
medina	medina
verdiensten	merite
verdiensten	meritele
verdiensten	merite
verdiensten	merit
discografie	discografia
pascal	pascal
pre	pre
romeo	romeo
kwetsbaar	fragile
kwetsbaar	fragil
kwetsbaar	fragilă
kwetsbaar	vulnerabili
kwetsbaar	vulnerabile
kwetsbaar	vulnerabilă
kwetsbaar	vulnerabil
automatische	automată
automatische	automatic
automatische	automate
automatische	automat
plantage	plantaţie
tours	excursii
tours	tururi
diplomatieke	diplomatice
diplomatieke	diplomatic
diplomatieke	diplomatică
dossier	fișierul
dossier	fişier
dossier	fișier
dossier	dosar
cook	cook
cook	bucătar
cook	gătesc
gepromoveerd	promovat
gepromoveerd	promovată
gepromoveerd	promovate
millennium	mileniu
millennium	millennium
millennium	mileniului
spring	sari
spring	salt
suárez	suárez
roemeens	românesc
roemeens	român
roemeens	români
roemeens	română
brandt	brandt
malmö	malmö
tuba	tuba
winters	winters
winters	ierni
emmy	emmy
atleten	sportivii
atleten	sportivi
var	var
operaties	operatiuni
operaties	operațiuni
operaties	operații
kazachstan	kazahstan
lou	lou
plots	brusc
gustave	gustave
integraal	integrale
integraal	integrantă
integraal	integrală
toegevoegde	adăugată
toegevoegde	adaugat
toegevoegde	adăugate
toegevoegde	adăugat
walt	walt
hervorming	reforme
hervorming	reformele
hervorming	reformare
hervorming	reformarea
hervorming	reformei
hervorming	reforma
hervorming	reformă
andrej	andrei
andrej	andrey
andrej	andrei
vandaal	vandal
overig	altele
overig	alte
overig	alți
verhuisd	mutate
verhuisd	mutat
verhuisd	mutată
beïnvloeden	afectează
beïnvloeden	afecta
beïnvloeden	influența
beïnvloeden	influență
beïnvloeden	influenta
tang	tang
staken	mize
staken	mizele
staken	miza
staken	miză
perron	platformă
perron	platforma
wattenwyl	wattenwyl
antillen	antile
beweegt	mutări
beweegt	mișcări
beweegt	miscari
paraguay	paraguay
blessure	accidentare
blessure	prejudiciu
blessure	vătămare
civiele	civil
civiele	civila
civiele	civilă
civiele	civile
cilinder	cilindru
cilinder	butelie
kramer	kramer
trombone	trombon
txt	txt
theoretische	teoretice
theoretische	teoretic
theoretische	teoretică
kwalificeren	califică
kwalificeren	califica
inch	centimetru
inch	inchi
inch	inci
inch	centimetri
ruth	ruth
ruth	rut
kilometers	miles
kilometers	mile
kilometers	kilometri
kilometers	kilometri
kilometers	kilometri
kilometers	kilometrii
afwisselend	alternativ
avontuur	aventură
avontuur	aventura
avontuur	aventuri
hein	hein
prooien	pradă
prooien	prada
aragón	aragon
zhu	zhu
krabben	crabi
krabben	crabii
krabben	raci
krabben	zgârietură
krabben	crabi
krabben	rac
krabben	crab
bennett	bennett
verdragen	tratate
verdragen	tratatele
verdragen	convenții
verdragen	convențiile
stefano	stefano
christoph	christoph
reeve	reeve
geruchten	zvonurile
geruchten	zvonuri
geruchten	zvonul
geruchten	zvon
geruchten	zvonuri
manhattan	manhattan
bei	bei
arrest	judecată
arrest	judecata
arrest	hotărârea
arrest	hotărâre
repertoire	repertoriul
lijstje	lista
lijstje	listă
woestijn	deșert
woestijn	deşertul
woestijn	desert
velde	velde
meters	metri
meters	contoare
meters	metri
mineur	minore
mineur	minoră
mineur	minora
mineur	minor
liberalen	liberalii
liberalen	liberali
liberalen	liberalilor
adressen	adrese
adressen	adresele
brooklyn	brooklyn
verminderen	reduce
verminderen	scădere
verminderen	scade
kelder	beci
kelder	beci
kelder	subsolul
kelder	subsol
batavia	batavia
suggereert	sugerează
update	actualizarea
update	actualizează
update	actualizare
update	update
achteruit	inversă
achteruit	inversa
achteruit	invers
achteruit	inversează
achteruit	reverse
suiker	zahăr
suiker	zahar
suiker	zahărul
suiker	sugar
inter	inter
raf	raf
molens	mills
ondernemingen	întreprinderile
ondernemingen	intreprinderi
ondernemingen	întreprinderi
pietro	pietro
seattle	seattle
ingewijd	inaugurat
bariton	bariton
schwarz	schwarz
tol	tol
teruggetrokken	retrase
teruggetrokken	retrasă
teruggetrokken	retras
loge	lodge
loge	loja
loge	lojă
materie	materia
materie	materie
gertsch	gertsch
slaap	dormi
slaap	somn
wallonië	valonia
bioscoop	teatrul
bioscoop	teatru
bioscoop	cinematograf
bioscoop	cinema
bioscoop	filme
bioscoop	filmele
bioscoop	cinematografe
els	els
pat	pat
stock	stocul
stock	stoc
rsc	rsc
bibliografie	bibliografia
kromme	curba
kromme	curbă
fin	fin
bestuderen	studiază
bestuderen	studii
bestuderen	studiul
bestuderen	studiu
vergelijk	compară
vergelijk	compara
begeleid	ghidat
begeleid	îndrumat
begeleid	călăuzit
begeleid	ghidate
begeleid	escortat
magdalena	magdalena
christophe	christophe
carmen	carmen
lichter	bricheta
lichter	brichetă
elzas	rhin
subtribus	subtribul
doornik	tournai
gil	gil
donau	dunăre
donau	dunărea
donau	dunării
japanners	japonez
japanners	japonezi
japanners	japoneze
japanners	japoneza
japanners	japoneză
beck	beck
beethoven	beethoven
begrafenis	înmormântare
begrafenis	înmormântare
begrafenis	funeralii
begrafenis	înmormântarea
begrafenis	funeraliile
gewoonte	obiceiul
gewoonte	obicei
cantate	cantată
stamboom	pedigree
klik	click
klik	clic
klik	apasă
guyana	guyana
lucy	lucy
onlangs	recent
full	plina
full	full
full	plin
full	plină
minimale	minimă
minimale	minime
minimale	minim
put	groapa
put	groapă
put	pit
vervoerd	transportate
vervoerd	transportat
vervoerd	transportată
communisten	comunisti
wakker	treaz
wakker	trează
hertrouwde	recăsătorit
heersers	conducători
heersers	conducătorii
rolf	rolf
econoom	economist
planning	programarea
planning	planificare
planning	planificarea
planning	orar
planning	program
planning	programează
planning	programul
lezingen	prelegeri
lezingen	lecturi
lezingen	prelegere
benz	benz
verdiende	meritat
goddelijke	divine
goddelijke	divina
goddelijke	divin
goddelijke	divină
draad	fir
draad	sârmă
draad	sarma
draad	fir
draad	firul
vee	vee
vee	vitele
vee	vite
vee	bovine
phillips	philips
phillips	phillips
xvi	xvi
wetboek	codul
wetboek	cod
angela	angela
jürgen	jürgen
gemonteerd	montat
gemonteerd	montată
gemonteerd	montate
gemonteerd	asamblat
gemonteerd	asamblate
gemonteerd	montat
gemonteerd	montate
short	scurt
short	scurta
short	scurtă
short	short
short	scurte
beëindigen	sfârșit
beëindigen	sfarsit
beëindigen	final
duels	dueluri
raden	consiliile
raden	consilii
raden	ghicitul
weert	weert
araneus	araneus
kijkers	telespectatori
kijkers	telespectatorii
kijkers	spectatori
hood	glugă
hood	gluga
hood	capota
hood	hood
ghost	ghost
ghost	stafie
ghost	fantoma
ghost	fantomă
vinci	vinci
kolom	coloană
kolom	coloana
opsomming	enumerare
opsomming	numărare
marino	marino
lombardije	lombardia
fresco	frescă
violen	viori
buis	tub
buis	tubul
bord	farfurie
bord	placă
bord	bord
bord	tablă
louisiana	louisiana
face	faţă
face	fata
face	fața
face	faţa
face	față
terminal	terminal
terminal	terminalul
terminal	terminale
uitgedrukt	exprimat
uitgedrukt	exprimată
uitgedrukt	exprimate
continu	continuu
continu	constant
continu	continuu
gegraven	săpat
rossi	rossi
deurne	deurne
beveiliging	securitate
beveiliging	securitatea
beveiliging	pază
beveiliging	paza
dominique	dominique
arsenal	arsenalul
arsenal	arsenal
schiphol	schiphol
olympique	olympique
davies	davies
judith	judith
orleans	orleans
strategie	strategii
strategie	strategiile
strategie	strategie
strategie	strategia
betty	betty
temperaturen	temperaturi
temperaturen	temperaturile
moed	curaj
moed	curajul
benny	beni
benny	benny
rat	șobolan
rat	rat
wekelijks	săptămânale
wekelijks	săptămânală
wekelijks	săptămânal
afgesproken	convenit
afgesproken	convenite
feestdag	vacanta
feestdag	vacanță
feestdag	sărbători
feestdag	sărbătoare
emily	emily
elektronen	electronii
elektronen	electroni
gaston	gaston
democratisch	democratic
democratisch	democrată
democratisch	democratice
democratisch	democratică
democratisch	democrat
democratisch	democratic
versailles	versailles
cvp	cvp
herrich	herrich
elo	elo
gewapende	armat
gewapende	înarmat
cole	cole
iris	iris
mali	mali
matrix	matrice
matrix	matrix
matrix	matricea
vriendelijk	prietenoasă
vriendelijk	prietenos
vriendelijk	amical
jessica	jessica
literair	literar
literair	literară
literair	literare
prestigieuze	prestigioase
verhoging	crește
verhoging	creștere
markies	marchiz
markies	marchiz
markies	marchizul
vicente	vicente
erich	erich
dell	dell
erfenis	patrimoniu
erfenis	patrimoniului
erfenis	patrimoniul
erfenis	mostenire
erfenis	moștenire
erfenis	moștenirea
erfenis	moștenire
erfenis	moștenirea
accent	accente
accent	accent
accent	accentul
opmerkelijke	notabile
opmerkelijke	remarcabila
opmerkelijke	remarcabile
opmerkelijke	remarcabilă
opmerkelijke	remarcabil
samantha	samantha
