occitània	اوکسیتانیا
challenge	چالش
amants	عشاق
amants	عاشقان
amants	lovers
hàbit	عادت
afer	امور
argila	کلی
argila	گلی
tunis	تونس
grossa	گروسا
gremi	صنف
oblidar	فراموشی
dallas	دالاس
criminals	مجرمان
criminals	جنایتکاران
immediat	فوری
viatgers	مسافرین
viatgers	مسافران
patinatge	اسکیت
patinatge	پاتیناژ
rotterdam	روتردام
bàltic	بالتیک
ronald	رونالد
antàrtida	جنوبگان
eddie	اِدی
sentits	حواس
calent	گرم
calent	داغ
bateries	باطری
bateries	باتری
montgomery	مونتگومری
montgomery	مانتگامری
trencat	شکسته
aleix	آلکسیوس
coronada	تاجدار
comunisme	کمونیسم
irene	آیرین
irene	ایرن
irene	ایرین
satisfer	ارضا
positius	مثبت
núñez	نونز
strauss	اشتراوس
cerro	سرو
jacint	هیاکینس
jacint	سنبل
rècords	رکوردز
baltimore	بالتیمور
nantes	نانت
plomes	پر
plomes	پرهای
sistemàtica	سیستماتیک
sistemàtica	اصولی
tit	تایتوس
brabant	برابانت
colin	کولین
colin	کالین
estructurals	ساختاری
estructurals	سازهای
lliura	پوند
rita	ریتا
cries	فرزندانی
cries	اولاد
cries	فرزند
cries	زاد
finalitats	مقاصد
transformada	تبدیل
simètrica	متقارن
simètrica	متقارن
wellington	ولینگتون
frescos	تازه
bush	بوته
bush	بوش
recompensa	اجر
recompensa	پاداش
romàntica	رمانتیکی
romàntica	رومانتیک
romàntica	رمانتیک
romàntica	عاشقانه
exactes	دقیق
pardo	پاردو
fontaine	فونتن
balduí	بالدوین
ardenes	برآمدگی
salsa	سس
nielsen	نیلسن
granit	خارا
granit	گرانیت
corredors	دوندگان
negro	نگرو
vinci	وینچی
franca	فرانکا
invertebrats	تنان
iris	آیرس
iris	آیریس
iris	زنبق
harrison	هریسون
sastre	خیاط
retard	تأخیر
retard	تاخیر
retard	تأخیری
pascal	پاسکال
salzburg	سالزبورگ
brooklyn	بروکلین
repeteix	تکرار
repeteix	حلقه
acceleració	شتاب
acceleració	تسریع
continents	قاره
cohen	کوهن
cohen	کوئن
federals	فدرال
embarcacions	قایقهای
embarcacions	قایقها
enciclopedia	enciclopedia
ravenna	راونا
degà	دین
glasgow	گلاسکو
disposades	ترتیب
vancouver	ونکوور
clube	clube
mixt	مخلوط
mixt	مختلط
abel	ابل
abel	آبل
mod	مود
mod	mod
formals	صوری
formals	رسمی
caracas	کاراکاس
pelegrinatge	حج
pelegrinatge	زیارت
convocatòria	بخوانید
convocatòria	تماس
bombai	بمبئی
bombai	بمبئی
direccions	جهت
direccions	مسیرها
cher	چر
cher	شر
escàndol	رسوایی
proveir	فراهم
làmines	ملافه
bucarest	بخارست
ling	لینگ
blaus	بلوز
espases	شمشیرهای
espases	شمشیرها
reg	آبیاری
serbis	صربها
regal	هدیه
regal	کادو
seleccionat	برگزیده
num	نوم
croat	کروات
croat	کرواسی
yahya	یحیی
diploma	دیپلم
metz	متز
ntupdate	ntupdate
matt	مَت
abi	أبی
supervisió	نظارت
supervisió	سرپرستی
progressiu	پیشرو
bots	bot
poderosos	توانا
poderosos	نیرومند
poderosos	پرقدرت
poderosos	قدرتمند
deep	اعماق
deep	ژرف
deep	عمیق
reflex	بازتاب
reflex	رفلکس
reflex	واکنش
botó	دکمه
plens	پر
plens	کاملش
plens	سرشار
plens	فول
plens	پره
ulster	اولستر
calvo	کچل
calvo	کچله
calvo	طاس
calvo	کالوو
armand	آرمان
armand	ارمان
hampshire	همپشایر
màntua	مانتوا
seques	خشک
veterans	ایثارگران
julián	جولیان
julián	جولین
julián	خولیان
agut	تریبل
guàrdies	نگهبانان
guàrdies	گارد
bridge	پل
bridge	پلی
vuitena	هشتم
vuitena	هشتمین
dijous	پنجشنبه
baby	جیگر
baby	عزیزم
baby	بچه
assignar	انتساب
mercader	بازرگانی
mercader	تاجر
mercader	بازرگان
vestíbul	لابی
nomenats	معین
gala	گالا
gala	gala
cabana	اتاقک
cabana	کابین
cabana	کلبه
johns	جانز
extensions	پسوندهای
darmstadt	دارمشتات
integrats	مجتمع
integrats	یکپارچه
cilindre	استوانه
cilindre	سیلندر
pesos	وزنه
montaner	مونتانر
celler	سرداب
celler	دخمه
constança	کنستانس
ploma	قلم
ploma	پر
ploma	پرم
oman	عمان
innovacions	نوآوری
continuat	ادامه
nits	شبا
nits	شبها
nits	شبهای
nits	شب
pendents	گوشواره
orador	سخنران
orador	ناطق
orador	خطیب
joão	ژوائو
mani	mani
mani	مانی
express	اکسپرس
convencionals	مرسوم
convencionals	متعارف
carnaval	کارناوال
yang	یانگ
desfer	برگردان
desfer	برگرداندن
dominada	چیره
ametlla	بادام
ornamental	زینتی
resurrecció	رستاخیز
obaga	اومبریا
ucd	ucd
consultat	مشورت
domèstic	اهلی
mill	میل
mill	آسیاب
llavor	بذر
llavor	دانه
llavor	نسل
armstrong	آرمسترانگ
sky	آسمان
sky	اسکای
esborrany	حواله
esborrany	پیشنویس
esborrany	درفت
tor	tor
tor	تور
notari	دفتردار
schneider	اشنایدر
montfort	مونتفورت
responsabilitats	مسولیت
responsabilitats	مسئولیتی
responsabilitats	مسئولیت
subdivisió	زیربخش
subdivisió	انشعاب
subdivisió	برنچ
subdivisió	شاخه
meyer	مایر
meyer	میر
desde	desde
localment	محلی
incidents	حوادث
segells	تمبر
acad	acad
valent	شجاع
valent	دلیر
valent	شجاعی
valent	دلاوری
convençut	قانع
convençut	متقاعد
feixista	فاشیست
feixista	فاشیستی
escalada	صعود
eugène	اوژن
berg	برگ
resistents	مقاوم
banks	بنک
banks	بانکها
banks	بانک
banks	بنکس
pensant	تفکر
pensant	فکر
entorns	محیطهای
mauritània	موریتانی
convocat	احضار
òptic	نوری
ressonància	تشدید
embaràs	حاملگی
embaràs	بارداری
alegria	مسرت
alegria	شادی
alegria	جوی
alegria	شادمانی
alegria	خوشی
mineria	معدن
cromosomes	کروموزوم
ain	عین
ain	آئین
horts	باغها
cristóbal	کریستبال
guerrero	گوئررو
demandes	خاسته
demandes	تقاضا
cadascú	هرکدوم
cadascú	هریک
judicis	آزمونهای
closca	زست
grove	گروو
grove	گرو
apollo	آپولو
apollo	شفاخانه
plànol	هواپیمای
plànol	هواپیمایی
plànol	هواپیما
metabolisme	متابولیسم
caos	آشفتگی
caos	آشوب
hunter	هانتر
hunter	شکارچی
jefferson	جفرسون
obligacions	تعهدات
obligacions	قراردادها
cecília	سیسیلیا
polo	پلو
polo	پولو
polo	چوگان
trento	ترنتو
français	français
floyd	فلوید
seients	صندلی
frau	متقلب
frau	کلاهبرداری
frau	تقلب
frau	کلاهبردار
viquipedista	wikipedian
llimona	لیمویی
llimona	لمون
llimona	لیمو
llimona	لیمون
llimona	لیموترش
sentia	احساس
nervis	اعصاب
nervis	عصب
tolerància	بردباری
tolerància	تحمل
tolerància	مدارا
phoenix	سیمرغ
phoenix	فونیکس
phoenix	ققنوس
phoenix	فینکس
phoenix	فینیکس
diables	شیاطین
born	متولد
born	زاده
definicions	تعاریف
funeral	ختم
funeral	خاکسپاری
felicitat	خوشبختی
felicitat	شادی
felicitat	خوشی
rares	نادره
rares	کمیاب
rares	نادر
rares	نادری
jura	قسم
jura	ژورا
subgrup	زیرگروه
plegat	گاه
tallat	قطع
tallat	برش
tallat	کات
pronunciació	تلفظ
intencions	قصدی
intencions	قصد
intencions	نیات
intencions	مقاصد
estrets	استریتس
conill	خرگوشی
conill	خرگوش
navegador	مرورگر
tia	چیک
tia	خاله
tia	عمه
tia	تیا
banco	بانکو
textura	بافت
ismail	اسماعیل
émile	امیل
fortificada	مستحکم
júlia	جولیا
violació	تجاوز
administratius	اداری
heavy	سنگینی
heavy	سنگین
fantasma	شبح
fantasma	گوست
fantasma	روح
judaisme	یهودیت
cuir	چرمی
cuir	چرم
vegas	وگاس
peticions	درخواستها
exacte	دقیق
maximilià	ماکسیمیلیان
huelva	اوئلوا
iss	iss
nervi	عصب
conservats	محفوظ
detroit	دیترویت
legítim	مشروع
santi	سانتی
perdó	استغفار
perdó	بخشش
perdó	مغفرت
perdó	آمرزش
cruïlla	جانکشن
cruïlla	تلاقی
determinant	دترمینان
harvey	هاروی
julian	جولیان
julian	جولین
batallons	سپاه
icona	شمایل
icona	نماد
electró	الکترون
electró	الکترونی
arkansas	آرکانزاس
horitzó	افق
honorífic	تجلیلی
racional	معقول
racional	عقلانی
obligatori	الزامی
obligatori	اجباری
obligatori	واجب
autobús	اتوبوس
autobús	bus
fàrmacs	مواد
dimoni	شیطان
dimoni	خبیث
dimoni	اهریمن
brava	براوا
criticar	انتقاد
philadelphia	فیلادلفیا
creadors	آفرینندگان
fòssil	فسیلی
fòssil	فسیل
lucre	سودش
lucre	منفعت
lucre	سودی
lucre	سود
sintaxi	نحو
sintaxi	نحوی
mandíbula	فک
mandíbula	آرواره
mandíbula	چونه
soto	سوتو
autèntica	اصلن
leningrad	لنینگراد
entusiasme	اشتیاق
atletes	ورزشکاران
emocions	احساسات
pib	gdp
hubert	هوبرت
veterinari	دامپزشکی
veterinari	دامپزشک
veterinari	دامپزشکی
veterinari	دامپزشک
gabon	گابن
orella	خوشه
chan	چان
chan	chan
mason	میسون
mason	میسن
benín	بنین
championship	قهرمانی
amagat	پنهان
amagat	مخفی
suaus	ملایم
suaus	نرمه
suaus	نرمی
suaus	سافت
suaus	نرم
rex	رکس
vita	vita
teràpia	درمانی
teràpia	معالجه
teràpia	درمان
compilació	کامپایل
compilació	تالیف
nòrdic	نوردیک
yale	یل
yale	ییل
boris	بوریس
bahadur	بهادر
comunal	همگانی
decisiu	قاطع
hotels	هتلهای
hotels	هتلها
príncipe	پرنسیپ
custòdia	حضانت
société	société
ensenyaments	درسهای
ensenyaments	دروس
ensenyaments	درس
ensenyaments	تعالیم
ensenyaments	آموزشهای
jordània	جوردن
jordània	جردن
jordània	اردن
puebla	پوئبلا
introduïda	معرفی
organitzen	سازماندهی
bravo	براو
bravo	براوو
bravo	آفرین
dante	دانته
prohibida	ممنوع
ballarina	بالت
ballarina	رقصنده
ballarina	dancer
ballarina	رقاص
dedicació	اهدا
dedicació	اهداء
dedicació	فداکاری
automàtic	اتوماتیک
automàtic	خودکار
loire	لوآر
suggerit	پیشنهاد
genoma	ژنوم
evidentment	مشخصا
hàbits	عادات
carcassona	کارکاسون
tradueix	ترجمه
magnífic	باشکوه
obstacles	موانعی
obstacles	موانع
platí	پلاتین
platí	پلاتینی
ven	جانش
trípoli	تریپولی
lliçons	درسهای
lliçons	دروس
lliçons	درس
datació	دوستیابی
corral	کرال
corral	کورال
vincenzo	وینچنزو
pells	پوست
olimpíades	المپیک
domèstics	اهلی
transformat	مسخ
xeic	شیخ
australiana	آزی
hard	سخت
hard	دشوار
mayer	مایر
danny	دنی
reformar	اصلاحی
gimnàstica	ژیمناستیک
let	بزار
granges	مزارع
rumors	شایعات
rumors	شایعاتی
clorur	کلرید
node	گره
refereixen	حکایت
elegant	ظریف
elegant	برازنده
aïllats	منزوی
aïllats	ایزوله
madonna	مدونا
heli	هلیم
heli	هلیوم
caçador	هانتر
caçador	شکارچی
educat	مودب
educat	مودبانه
educat	مؤدب
educat	مؤدبانه
perillós	خطرناکی
perillós	خطرناک
pròxima	بعدی
pròxima	next
leon	لئون
leon	لیون
distintiu	متمایز
distintiu	نشان
debats	بحثهای
debats	مناظره
ferrari	فراری
cripta	سرداب
cripta	دخمه
keith	کیث
repetició	تکرار
repetició	تکرار
salvació	رستگاری
diàlegs	گفتگوها
oracle	اوراکل
confiar	تراست
confiar	توکل
confiar	اعتماد
consagrat	نامتان
contractes	قراردادهای
contractes	قراردادها
pantalons	شلوار
tinta	جوهر
tinta	مرکب
lingüista	زبانشناس
tibet	تبت
hassan	حسن
plànols	مسطح
plànols	فلت
dot	جهیزیه
dot	جهاز
dot	مهریه
dot	دات
continuada	ادامه
culpable	مجرم
culpable	گناهکار
culpable	گناه
aisne	ازن
mares	مادرها
mares	مادران
bilingüe	bilingual
greix	چاقی
greix	چربی
greix	fat
greix	چاق
greix	تپل
escàs	نایاب
saqueig	غارت
saqueig	گونی
lloguer	اجاره
lloguer	کرایه
compensació	فدایی
jeanne	ژان
tel	تل
tel	tel
apèndix	پیوست
apèndix	آپاندیس
detectiu	کارگاه
detectiu	کارآگاه
detectiu	کاراگاه
trompeta	شیپور
trompeta	ترومپت
trompeta	صور
rates	موشهای
ruth	روت
ruth	روث
penjar	آویزان
five	پنج
five	فایو
funcionalitat	کارآمدی
fractura	شکستگی
chopin	شوپن
implicats	درگیر
implicats	دخیل
entreteniment	سرگرمی
entreteniment	تفریحات
entreteniment	پذیرایی
eritrea	اریتره
genealogia	تبارشناسی
agulles	سوزن
pronunciar	تلفظ
llicenciatura	لیسانس
llicenciatura	مجرد
mitridates	مهرداد
umar	عمر
treballador	کارگری
treballador	کارگر
plaer	رضای
plaer	خوشنودی
plaer	لذت
gene	ژنها
gene	ژن
gene	ژنی
navegant	قایقرانی
navegant	دریانوردی
amnistia	عفو
antilles	آنتیل
hui	hui
planteja	مطرح
monopoli	انحصار
jay	جی
jay	جیجاق
jay	jay
zinc	فلز
zinc	روی
perfecció	کمال
antònia	آنتونیا
acosta	آکوستا
lituà	لیتوانی
bei	bei
electric	برقی
electric	الکتریکی
electric	الکتریک
stefan	استفن
stefan	اشتفان
stefan	stefan
stefan	استیفن
elefant	فیله
elefant	فیل
elefant	فیلی
fuentes	فوئنتس
absent	غایب
hostal	مهمانسرا
hostal	مهمانخانه
hostal	مسافرخانه
zimbabwe	زیمبابوه
zimbabwe	زیمباوه
fris	frieze
atzar	تصادفی
palla	کاه
palla	پوشالی
guardiola	گواردیولا
intel	اینتل
intel	معلومات
mobiliari	اثاث
mobiliari	اثاثیه
mobiliari	مبل
mobiliari	مبلمان
orientat	گرا
atmosfèrica	اتمسفر
obertament	آشکارا
dean	دین
agricultors	کشاورزان
agricultors	کشاورز
pub	میخانه
pub	میکده
consten	متشکل
aprova	پسندد
mausoleu	آرامگاه
experimentat	تجربه
myanmar	میانمار
tàctica	رزم
tàctica	تاکتیک
discriminació	تبعیض
despatx	اداره
despatx	دفتر
alteració	دگرگونی
aude	اود
botí	تاراج
botí	غنیمت
roche	روش
atur	بیکاری
excursionista	کوهنورد
six	شش
six	سیکس
six	شیش
esportista	athlete
esportista	پهلوان
esportista	ورزشکار
esportista	جاک
sediments	رسوب
ribas	ریباس
màgic	جادویی
docència	تدریس
docència	آموزش
pràctic	عملی
prioritat	اولویت
proc	proc
romeu	رومئو
junior	جونیور
consecutius	پیاپی
consecutius	متوالی
randall	رندل
randall	راندال
demòcrates	دموکراتها
complicat	پیچیده
octavi	اکتاویوس
mayo	مایو
laboratoris	آزمایشگاه
laboratoris	آزمایشگاههای
laboratoris	آزمایشگاههای
distribueix	توزیع
libre	libre
connectat	متصل
jordà	جوردن
jordà	جردن
jordà	اردن
intersecció	چهارراه
intersecció	تقاطع
suïcidi	انتحاری
suïcidi	خودکشی
suïcidi	انتحار
alger	الجزیره
boxa	boxing
boxa	بوکس
boxa	بکس
lleials	باوفا
lleials	وفادار
sòria	سریا
magnus	ماگنوس
austin	آستین
tramvia	تراموا
rajoles	آجرهای
rajoles	آجر
riscos	خطرات
biològic	زیستی
belle	بل
rondes	ویزیت
musell	پوزه
kate	kate
edmund	ادموند
roosevelt	روزولت
coeficient	ضریب
clarinet	کلارینت
lectures	احادیث
màlik	مالک
admet	جوار
tommy	تامی
comunió	صمیمیت
edwards	ادواردز
linda	لیندا
aureli	اورلیوس
electe	منتخب
llegit	بخوان
llegit	خواندن
llegit	خوانده
llegit	بخوانند
llegit	بخوانید
secà	خشک
secà	خشکیده
chelsea	چلسی
chelsea	chelsea
che	che
nutrients	مغذی
prefereix	ترجیح
alçària	ارتفاعی
alçària	بلندی
alçària	قد
alçària	ارتفاع
alçària	height
brooks	بروکس
brooks	بروکز
bremen	برمن
eco	پژواک
eco	اکو
marea	جزر
vulgar	رکیک
vulgar	مبتذل
cameron	کمرون
seattle	سیاتل
nuremberg	نورنبرگ
julie	جولی
euskadi	euskadi
visconti	ویسکانتی
reed	رید
verbs	افعال
tambor	طبل
tambor	درام
diamant	الماس
diamant	دیاموند
diamant	الماسی
diamant	دایموند
banyes	شاخ
immaculada	منزه
immaculada	معصومی
estrabó	استرابون
mensual	ماهانه
mensual	ماهنامه
mensual	ماهیانه
collita	برداشت
collita	خرمن
certesa	یقین
certesa	قطعیت
domínguez	دومینگز
blois	بلوآ
armadura	زره
armadura	زره
guardó	جایزه
sac	سک
sac	گونی
trajecte	سفر
trajecte	سفری
trajecte	مسافرت
inclús	حتی
inclús	حتى
inclús	وحتی
incerta	یقین
walt	والت
malauradament	بدبختانه
malauradament	متأسفانه
malauradament	متاسفانه
rata	موش
cleveland	کلیولند
parcials	جزئی
rogers	راجرز
monja	راهبه
rumb	دوره
emocional	احساسی
emocional	هیجانی
emocional	احساساتی
emocional	عاطفی
clergues	روحانیت
clergues	روحانیون
fai	fai
nomenclàtor	gazetteer
motocicleta	موتورسیکلت
ferida	جراحت
ferida	زخم
bricolatge	diy
integritat	صحت
integritat	امانت
novè	نهم
novè	نهمین
supermercat	سوپرمارکت
rossi	روسی
stefano	استفانو
annex	انکس
homosexuals	همجنسگرایان
estius	سامرز
bang	بنگ
teòleg	خداشناس
honorari	افتخاری
porcs	خوک
jennifer	جنیفر
tarn	تارن
euler	اویلر
monstre	هیولا
robot	رباط
robot	روبات
robot	ربات
enrico	انریکو
perry	پری
dinasties	دودمانهای
polzades	اینچ
rugby	راگبی
kurds	کردهای
kurds	کردها
murcia	مورسیا
aziz	aziz
aziz	عزیز
bonifaci	بونیفاس
acompanyats	همراه
invasors	مهاجم
invasors	مهاجمین
invasors	مهاجمان
invasors	متجاوزین
edu	ادو
planter	فهرست
apache	آپاچی
desambiguació	ابهامزدایی
inestabilitat	ناپایداری
moisès	موسی
moisès	موسى
andrews	اندروز
estadis	ورزشگاههای
luca	لوکا
sallent	پیرنه
filharmònica	فیلارمونیک
conde	کنده
ocupacions	مستمر
gérard	ژرار
tirà	ستمگر
alguer	آلگرو
aixecat	برداشته
curiositat	کنجکاوی
funcionals	تابعی
epir	اپیروس
evacuació	تخلیه
preparats	اماده
preparats	آماده
compacte	چکیده
terminologia	عبارات
terminologia	اصطلاحات
holmes	هولمز
holmes	هلمز
saviesa	حکمت
saviesa	حکمتی
lleons	شیرهای
lleons	شیرها
instant	فوری
incursió	یورش
tropa	قافله
dakar	داکار
cristòfor	کریستوفر
buida	خالی
buida	تهی
cineasta	فیلمساز
brill	بریل
voluntari	داوطلب
àliga	عقاب
àliga	ایگل
head	هد
head	سر
balanç	میزان
balanç	تعادل
balanç	توازن
balanç	موازنه
allan	آلان
cintes	نوارها
cintes	نوارهای
rubio	روبیو
multiplicació	ضرب
pistola	تفنگ
pistola	تفنگی
pistola	اسلحه
pontevedra	پنتبدرا
murphy	مورفی
nans	دورف
gustau	گوستاو
setmanal	هفتگی
forster	فورستر
poitiers	پواتیه
ariel	آریل
vèrtexs	رئوس
guadalupe	گوادالوپ
guadalupe	گوادلوپ
cera	مومی
cera	موم
cera	واکس
cera	وکس
abdul	عبدل
catalan	کاتالان
singles	اختصاص
singles	تکآهنگ
singles	تکنفره
singles	مجرد
renault	رنو
esquelet	اسکلت
sidney	سیدنی
ted	تد
depredadors	درندگان
palatinat	فالتس
dinosaure	دایناسور
klaus	کلاوس
aïllades	منزوی
aïllades	ایزوله
anant	میرم
gnu	گنو
gnu	gnu
acústica	آکوستیک
xat	گپ
xat	گپی
etiquetes	برچسبها
etiquetes	برچسبهای
etiquetes	برچسبها
etiquetes	برچسبهای
regals	هدایایی
regals	هدایا
regals	هدایای
regals	هدیه
droga	دارو
finit	متناهی
verbal	کلامی
verbal	شفاهی
alianza	الیانزا
càpsula	کپسول
càpsula	محفظه
pacífica	آرام
sands	سندز
virtuts	حسنات
yeung	یئونگ
aplicant	اعمال
acompanyant	همنشین
acompanyant	همدم
acompanyant	همنشینی
filippo	فیلیپو
simbòlic	نمادی
simbòlic	نمادین
emmanuel	امانوئل
recipient	کانتینر
recipient	محتوی
blake	بلیک
ugt	ugt
cables	کابل
enquesta	نظرسنجی
enquesta	سروی
enquesta	نظرسنجی
hindú	هندو
legalment	قانونا
sínode	synod
concessions	امتیازی
mat	میت
mat	ماته
baralla	ورق
baralla	عرشه
operadors	تکمیلی
birmingham	بیرمنگام
cometre	مرتکب
gustavo	گوستاوو
bukharà	بخارا
mao	مائو
manipulació	دستکاری
equipat	مجهز
pètals	گلبرگ
mann	مان
activació	فعالسازی
batman	بتمن
abbas	abbas
abbas	عباس
absolutament	مطلقا
tàctiques	تاکتیکهای
tàctiques	تاکتیک
carol	کرول
carol	کارول
mhz	mhz
nada	nada
comprat	خریدم
comprat	خریدی
comprat	خریده
historiografia	تاریخنگاری
quinzena	دوهفته
quinzena	fifteenth
quinzena	پانزدهمین
hindús	هندوها
regadiu	آبیاری
inventat	اختراع
guineu	فاکس
guineu	روباه
wta	wta
adolescents	نوجوانان
adolescents	نوجوان
pertinença	عضویت
ernesto	ارنستو
bautista	باتیستا
mínims	کمترین
mínims	کمینه
deutes	بدهی
tecla	کلید
tecla	کلیدی
exclusiu	خالص
exclusiu	انحصاری
owen	آون
owen	اوون
divorci	طلاق
fars	فارس
fars	fars
votat	رای
votat	رأی
obediència	فرمانبرداری
ànec	داک
ànec	اردک
ànec	مرغابی
bertrand	برترند
bertrand	برتراند
banská	بانسکا
ibèria	ایبری
estricte	اکید
zàmbia	زامبیا
reflectir	اندیشه
reflectir	منعکس
cresta	کرست
clinton	کلینتون
toc	تلنگر
togo	توگو
geomètrica	geometric
geomètrica	هندسی
potencials	بالقوه
potencials	پتانسیل
sufix	پسوند
editorials	ناشر
editorials	انتشارات
respiració	تنفس
implicació	گرفتاری
implicació	درگیری
implicació	دخالت
esa	esa
franciscà	فرانسیسکن
gest	ژست
vàlida	معتبری
vàlida	معتبر
commemorativa	یادبودی
regula	تدبیر
kazan	کازان
bartolomé	بارتلمه
her	او
magnesi	منیزیم
bruixes	جادوگران
cascada	آبشاری
cascada	آبشار
cascada	ابشار
debilitat	ضعف
menéndez	منندز
baríton	باریتون
munició	مهمات
aliances	الفت
tokyo	توکیو
delgado	دلگادو
encontre	رویارویی
encontre	دیدار
vermont	ورمونت
vermont	ورمانت
signa	امضا
signa	امضاء
signa	علامت
ein	ein
terrorisme	تروریسم
christophe	کریستوف
escasses	نایاب
flickr	فلیکر
false	کاذب
false	دروغین
false	نادرست
false	غلط
false	باطل
canònica	شرعی
canònica	متعارف
desè	دهم
desè	دهمین
craig	کرگ
craig	کریگ
craig	گریک
fonament	پایه
fonament	بنیاد
ornamentals	زینتی
dominique	دومنیک
txad	چاد
txad	چد
flames	شعله
cava	حفر
dem	دم
tipografia	تایپوگرافی
gay	گی
gay	همجنسگرا
gay	gay
gay	همجنسگرایی
gay	سرخوش
corb	کلاغ
corb	کرو
corb	کلاغ
corb	ریون
facin	هاگن
aeronaus	هواپیمای
aeronaus	هواگرد
boeing	بوئینگ
ritmes	ریتم
computació	محاسبات
computació	رایانه
computació	رایانش
brossa	هرزنامه
brossa	اسپم
alberta	آلبرتا
aranyes	عنکبوتها
nicola	نیکولا
bala	فشنگ
bala	گلوله
exposats	عرضه
puresa	پاکی
papallona	پروانه
controls	کنترلهای
laguna	لاگونا
confirmació	تاییدیه
confirmació	تأیید
confirmació	تصدیق
baixada	نزول
verdures	سبزیجات
dom	دام
àlex	الکس
àlex	آلکس
tasmània	تاسمانی
adoració	نیایش
adoració	سجده
geni	نبوغ
geni	نابغه
doi	دوای
serps	مارهای
serps	مارها
libèria	لیبریا
periòdica	گاهنامه
basili	ریحان
coreà	کره
coreà	کرهای
substitut	جانشین
retòrica	بلاغت
neptú	نپتون
imitació	تقلید
foscor	تیرگی
foscor	ظلمت
foscor	تاریکی
flexible	انعطاف
dosi	دوز
butler	باتلر
protocols	قراردادهای
protocols	قراردادها
samoa	ساموآ
servint	خدمت
gradual	تدریجی
tigre	ببر
tigre	ببری
tigre	تایگر
tigre	پلنگ
tuberculosi	سل
cànon	canon
cànon	کانن
sullivan	سالیوان
andrei	آندری
norte	نورت
axelrod	اکسلراد
mecànics	مکانیک
mecànics	mechanical
mecànics	مکانیکی
paràgraf	پاراگراف
paràgraf	بند
simón	سیمون
simón	سایمن
simón	سایمون
mètrica	متریک
escassos	نایاب
iec	iec
pearl	pearl
pearl	مروارید
pearl	پرل
glacial	یخبندان
cabres	بز
olga	اولگا
ramsès	رامسس
lògic	منطقی
convencions	همایش
peloponès	پلوپونز
densa	متراکم
budista	بودایی
atòmic	اتمی
autobiografia	خودزندگینامه
autobiografia	زندگینامه
inusual	غیرعادی
lola	لولا
roll	رول
joel	جوئل
certamen	مسابقه
vasco	واسکو
mahoma	محمد
víkings	وایکینگها
víkings	وایکینگ
košice	کوشیتسه
propagació	انتشار
celeste	سلست
verí	زهر
verí	مسموم
duet	دونفری
emília	امیلیا
regina	رجینا
tocat	لمس
bis	بیس
reflecteixen	اندیشه
reflecteixen	منعکس
decimal	دهدهی
palazzo	کاخ
liber	liber
surinam	سورینام
