dead	surnud
rom	rumm
rom	rummi
louise	louise
hospitals	haiglad
obligació	kohustus
esteban	esteban
sara	sara
panzer	pzkpfw
imam	imaam
oslo	oslo
prevenció	ennetamine
prevenció	profülaktika
prevenció	ennetamise
prevenció	vältimine
mussolini	mussolini
bombarders	pommitajad
comparar	võrdlemine
comparar	võrdle
vespre	õhtust
vespre	õhtu
vespre	õhtused
vespre	õhtune
morales	morales
jeff	jeff
descans	vaheaeg
descans	murda
descans	puhkama
descans	puhka
descans	puhata
actuant	näitlemine
bryan	bryan
tallada	nikerdatud
radar	radar
sopar	õhtusöök
sopar	õhtusöök
contingent	tingimuslikud
residencial	elamu
johan	johan
lisa	lisa
plasma	plasma
ratolí	hiir
ratolí	hiire
folk	rahvas
basilea	baseli
basilea	basel
corbes	kõverad
correcció	parandus
correcció	korrigeerimine
correcció	korrektsioon
correcció	parandused
correcció	parandamine
correcció	õigsuse
àvia	vanaema
cooper	cooper
internacionalment	rahvusvaheliselt
guillermo	guillermo
mostrat	näidatud
néta	lapselaps
folklore	folkloor
gant	genti
seine	seine
raïm	viinamarjad
solo	solo
solo	soolo
hot	kuum
hot	kuumad
hot	hot
hot	palav
conqueridor	vallutaja
trossos	tükid
herman	herman
werner	werner
rituals	rituaalid
discursos	kõned
discursos	sõnavõtud
bust	büst
detinguts	kinnipeetavate
desenvolupats	arenenud
desenvolupats	arendatud
mikhaïl	mihhail
caledònia	kaledoonia
detenció	arreteerida
detenció	vahistamine
detenció	kinnipidamine
detenció	kinnipidamise
entrevistes	vestlused
entrevistes	intervjuud
subespècie	alamliik
sofre	väävel
aïllada	isoleeritud
aïllada	eraldatud
manhattan	manhattanil
manhattan	manhattan
manhattan	manhattani
hopkins	hopkins
haia	haagi
melbourne	melbourne
sociologia	sotsioloogia
estratègic	strateegilised
estratègic	strateegiline
teva	sinu
jerry	jerry
namíbia	namiibia
ramos	ramos
teòrica	teoreetiline
timbre	kella
timbre	belli
timbre	bell
acumulació	kogunemine
magatzems	laod
mali	mali
weimar	weimar
pous	wells
taverna	kõrtsi
taverna	kõrtsis
taverna	kõrts
true	tõene
true	tõsi
connecticut	connecticuti
impost	maks
aurora	aurora
terrat	katus
darwin	darwin
institucional	institutsionaalne
lugo	lugo
coets	raketid
coets	rakette
romàntic	romantik
romàntic	romantiline
precipitació	sademed
eure	eure
matthew	matthew
preservar	säilita
preservar	säilitamine
intermedi	vahepealne
beatriu	beatrice
polígon	hulknurk
corregir	korrektne
corregir	õige
traspàs	üleviimine
traspàs	ülekandmine
traspàs	ülekanne
traspàs	üleandmine
compartit	jagatud
desapareguda	puuduvad
desapareguda	kadunud
desapareguda	puudu
desapareguda	puudub
butlletí	uudiskiri
butlletí	bülletään
hercegovina	hertsegoviina
groenlàndia	gröönimaa
inca	inkade
maquinari	riistvara
oceania	okeaania
studio	stuudio
shadow	varju
shadow	vari
obtinguts	saadud
indo	indo
aixeca	liftid
efectius	väed
toro	toro
campanes	kellad
extraordinària	erakorraline
vuitè	kaheksas
ron	ron
migració	ränne
migració	rände
antropologia	antropoloogia
princeton	princetoni
baptiste	baptiste
carro	vanker
carro	käru
estatuts	põhikiri
assignat	omistatud
assignat	määratud
solana	solana
solana	päikesepaiste
solana	päikesekiir
solana	päikest
precisa	täpne
precisa	täpsed
turner	turner
mesopotàmia	mesopotaamia
pradesh	pradesh
tiges	vartest
vestuari	garderoob
vestuari	riidekapp
vestuari	kostüümid
renúncia	tagasiastumisega
caigut	langenud
disset	seitseteist
controlada	kontrollitud
controlada	kontrollitav
circumferència	ring
circumferència	circle
circumferència	ringi
circumferència	ümbermõõt
epidèmia	epideemia
divulgació	avalikustamine
salvatges	metslased
moderat	mõõdukas
moderat	mõõdukad
guillaume	guillaume
meca	meka
visitant	külastaja
visitant	külaline
visitant	külas
dolç	magusa
dolç	magus
dolç	magusad
larry	larry
patent	patent
twitter	twitter
wayne	wayne
cerimònies	tseremooniaid
escates	kaalud
vocabulari	sõnavara
pila	kuhi
pila	kuhja
pila	stack
dick	munn
dick	dick
prior	eelnev
edimburg	edinburghi
motocicletes	mootorrattad
arsenal	arsenali
transformacions	teisendused
desapareix	kaob
acusació	süüdistus
delictes	kuriteod
ortiz	ortiz
avenç	läbimurre
cia	cia
cia	cia
pink	roosa
pink	roosad
iglesias	iglesias
dave	dave
ventre	emakas
hannover	hannoveri
submarí	allveelaev
submarí	allveelaeva
llibertats	vabadused
servidors	serverid
excepcions	erandid
jamaica	jamaica
letó	läti
evolucionar	arenema
evolucionar	areneda
evolucionar	arenevad
generat	tekitatud
sals	soolad
ken	ken
observador	jälgija
observador	vaatleja
tiberi	tiberius
fotogràfica	fotograafiline
controlat	kontrollitud
controlat	kontrollitav
almeria	almería
quintana	quintana
valoració	hindamine
pesant	rasked
pesant	raske
atlanta	atlanta
atlanta	atlantas
substitueix	asenda
substitueix	asendus
substitueix	asendatakse
substitueix	asendamine
recomana	soovita
recomana	soovitan
recomana	soovitab
houston	houston
singapur	singapuri
singapur	singapuris
deure	tollimaks
aprenent	õpipoiss
rubí	ruby
northern	põhja
sul	sul
fritz	fritz
marxista	marksist
edgar	edgar
fallida	pankrot
pietat	halastus
pietat	halastust
phil	phil
andreas	andreas
somme	somme
joies	juveelid
antecedents	tausta
antecedents	taust
ryan	ryan
versalles	versailles
pica	pike
qualificació	hinnang
qualificació	reiting
búlgar	bulgaaria
deutsche	deutsche
albacete	albacete
susan	susan
convidats	külalised
bàrbara	barbara
infern	põrgu
revolucionaris	revolutsionäärid
lost	eksinud
lost	kaotas
lost	kadunud
lost	kaotatud
mini	mini
filòsofs	filosoofid
rosario	rosario
buits	lünki
buits	lüngad
salvat	päästetud
salvat	salvestatud
salvat	päästis
permanents	alalise
permanents	alalised
permanents	alaline
permanents	püsiv
modest	tagasihoidlik
segments	segmentide
nikolai	nikolai
nikolai	nikolai
marcos	marcos
amplitud	amplituud
especialitzats	spetsialiseerunud
geologia	geoloogia
banca	banca
banca	pink
banca	pingi
gall	kukk
desnivell	kalle
aristocràcia	aristokraatia
piscina	bassein
piscina	basseini
atles	atlas
allegro	allegro
clars	puhas
clars	selge
nuevo	nuevo
artesans	käsitööliste
suplent	alternatiiv
participacions	jagab
participacions	aktsiad
marató	maraton
ànimes	hinged
cec	pime
cec	pimedad
secretària	sekretär
feliç	õnnelik
distribuïts	jaotatud
marino	marino
madame	proua
madame	madame
emigració	väljaränne
multimèdia	multimeedia
creades	loodi
creades	loodud
fosfat	fosfaadi
ipa	ipa
enclavament	enklaav
ferrara	ferrara
mag	mustkunstnik
mag	maag
mag	võlur
mag	mag
act	akt
act	tegutsema
act	act
autobusos	bussid
ovelles	lambad
ovelles	lammas
confirma	kinnitus
confirma	kinnitada
confirma	kinnitan
confirma	kinnita
mariner	madrus
mariner	meremees
adjacent	külgnevate
gloria	gloria
logotip	logo
infinit	lõpmatu
infinit	lõputu
infinit	infinity
infinit	lõpmatuseni
jason	jason
guerrer	sõdalane
purament	puhtalt
revestiment	katmine
comandants	komandörid
perfecta	perfektne
perfecta	ideaalne
perfecta	täiuslik
charlotte	charlotte
actualització	uuenda
actualització	update
actualització	uuendus
actualització	ajakohastamine
actualització	uuendamine
rectes	sirge
cromosoma	kromosoomi
diccionaris	sõnaraamatud
predominant	valdav
coca	koka
coca	koola
coca	coca
coca	koksi
coca	coca
inundacions	üleujutus
inundacions	üleujutused
sanz	sanz
salts	sukeldumine
salts	hüppab
gregorio	gregorio
zur	zur
milícia	miilits
helen	helen
sergent	seersant
narrador	jutustaja
ambulància	kiirabi
peña	peña
barons	parunid
legions	leegionid
kosovo	kosovo
emès	emiteeritud
emès	väljastatud
gots	goodid
vaca	lehm
econòmicament	majanduslikult
sebastián	sebastian
ciment	tsemendi
cadira	tool
cadira	tooli
transbordador	praam
làser	laseri
làser	laser
claudio	claudio
apòstol	apostel
coloració	värvus
progressiva	progresseeruva
evita	evita
adhesió	liikmeks
fum	suitsu
fum	suits
niu	pesa
consolat	konsulaat
masters	isandad
masters	meistrid
wallace	wallace
amos	amos
amos	isandad
amos	meistrid
pretendent	kosilane
peó	ettur
comissionat	komissar
comissionat	volinik
dotzena	kaheteistkümnes
significatius	märkimisväärne
mon	mon
erosió	erosiooni
verona	verona
sabor	maitse
civilitzacions	tsivilisatsioone
hugh	hugh
lara	lara
simpson	simpsoni
simpson	simpson
implementació	rakendamine
implementació	elluviimine
guido	guido
robinson	robinson
cabells	karvad
cabells	soeng
cabells	juuksed
bemoll	tasane
bemoll	lame
arturo	arturo
divuit	kaheksateist
bobby	bobby
consonant	konsonant
revelació	ilmutus
estrasburg	strasbourgi
estrasburg	strasbourg
inventar	leiutada
raúl	raúl
horda	hord
ajuntaments	omavalitsused
gneu	gnaeus
budisme	budism
volant	lendamine
volant	lendavad
sostingut	teravad
sostingut	sharp
sostingut	terav
bakr	bakr
oceans	ookeanide
oceans	ookeanid
consorci	konsortsium
otan	nato
honda	honda
pastures	karjamaa
empat	lips
empat	viik
desena	kümnes
aguda	ägeda
compatible	ühilduvad
pastors	lambakoerad
telecomunicacions	telekommunikatsioon
telecomunicacions	telekommunikatsiooni
precursor	lähteaine
morris	morris
side	külg
consentiment	nõusolek
pàdua	padova
paradís	paradiisi
paradís	paradiis
múltiple	mitmekordne
múltiple	mitu
laos	laos
kara	kara
llegendari	legendaarne
adaptada	kohandatud
cristall	crystal
cristall	kristall
duo	duo
musa	musa
musa	muusa
transparent	läbipaistvad
transparent	läbipaistev
olimpíada	olümpiaadil
acusacions	süüdistusi
acusacions	süüdistused
auguste	auguste
potassi	kaalium
potassi	kaaliumi
espiral	spiraal
feminista	feministlik
einstein	einstein
bitllets	piletid
companya	kaaslaseks
companya	kaaslane
escolta	kuula
warren	warren
forçat	sundis
forçat	sunnitud
quars	kvarts
quentin	quentin
garantia	garantii
garantia	garantiid
garantia	tagatis
garantia	garantii
eficient	efektiivne
eficient	tõhus
eficient	tõhusad
trilogia	triloogia
tonalitat	toon
tonalitat	tooni
destacable	märkimisväärne
destacable	tähelepanuväärne
electrodomèstics	seadmed
consecutives	järjestikuse
forjat	sepistatud
forjat	võltsimine
palerm	palermo
mòduls	moodulid
sorprenent	üllatav
arrebossat	lööja
combatents	võitlejad
nenes	tüdrukud
nenes	girls
xbox	xbox
gaudeix	naudi
correus	kirju
llenç	lõuend
atòmica	aatom
atòmica	aatomi
exiliat	pagendatud
compliment	vastavus
vladimir	vladimir
adolescent	teismeline
mònaco	monaco
estalvis	kokkuhoid
vie	vie
firma	signatuur
firma	allkiri
diversa	mitmekesine
balcans	balkani
balcans	balkanil
conversa	vestlus
somnis	unistused
somnis	unenäod
müller	müller
palmas	palmas
castilla	castilla
yusuf	yusuf
bari	baariumi
bari	bari
estratègies	strateegiad
heidelberg	heidelbergi
concedida	antud
adaptacions	kohandused
homo	homo
margarita	margarita
minories	vähemuste
minories	vähemused
esprint	sprint
conducció	sõitmas
conducció	sõidab
conducció	sõitmine
xocolata	šokolaad
xocolata	šokolaadi
disposicions	eraldised
disposicions	sätted
rèptils	roomajad
acompanya	kaasas
edita	edit
edita	muuda
edita	redigeerimine
decoratius	dekoratiivne
quintet	kvintett
descripcions	kirjeldused
disminueix	vähendab
disminueix	väheneb
bossa	kott
bossa	koti
stark	starki
stark	stark
processador	protsessor
processador	töötleja
württemberg	württemberg
capitalisme	kapitalismi
capitalisme	kapitalism
delegats	delegaadid
springs	vedrud
yuan	yuan
begudes	joogid
begudes	joob
begudes	joogid
challenge	väljakutse
cilindres	silindrid
amants	armukesed
amants	armastajad
hàbit	harjumus
afer	afäär
argila	clay
argila	savi
tunis	tunis
gremi	gildi
dallas	dallas
criminals	kurjategijad
immediat	vahetu
immediat	kohene
viatgers	rändurid
patinatge	uisutama
dennis	dennis
reims	reims
rotterdam	rotterdami
panteó	panteon
bàltic	baltic
bàltic	balti
bàltic	läänemere
ronald	ronald
fórmules	valemid
antàrtida	antarktika
intèrprets	esitajad
pioners	pioneerid
eddie	eddie
sentits	meeli
calent	kuum
calent	kuumad
calent	hot
calent	palav
bateries	patareid
bateries	akud
montgomery	montgomery
trencat	katkised
trencat	katki
trencat	murtud
trencat	murdunud
coronada	kroonitud
comunisme	kommunismi
irene	irene
vilar	vilar
satisfer	rahuldada
positius	positiivsed
positius	positiivse
positius	positiivne
strauss	strauss
cerro	cerro
fabricat	valmistatud
fabricat	toodetud
rècords	records
ecologia	ökoloogia
baltimore	baltimore
nantes	nantes
plomes	suled
sistemàtica	süstemaatiline
brabant	brabant
combinacions	kombinatsioonid
colin	colin
llemosí	limousin
estructurals	struktuurne
estructurals	struktuuriline
lliura	kaalud
rita	rita
cries	järglane
cries	järglased
finalitats	eesmärgid
transformada	muuta
simètrica	sümmeetriline
simètrica	sümmeetriline
wellington	wellington
frescos	värsked
frescos	värske
admetre	tunnista
significatives	märkimisväärne
bush	bush
bush	põõsas
recompensa	tasu
recompensa	autasu
romàntica	romantik
romàntica	romantiline
cavitat	õõnsus
exactes	täpne
pardo	pardo
fontaine	fontaine
balduí	baldwin
salsa	kastme
salsa	kaste
nielsen	nielsen
mostrava	näitasid
mostrava	näitas
granit	graniit
corredors	jooksjad
negro	neeger
negro	negro
vinci	vinci
franca	franca
invertebrats	selgrootud
iris	iris
harrison	harrisoni
harrison	harrison
nicholas	nicolas
nicholas	nikolai
nicholas	nicholas
sastre	rätsep
retard	viivitus
pascal	pascal
salzburg	salzburgi
brooklyn	brooklyn
brooklyn	brooklyni
repeteix	korda
repeteix	korrata
repeteix	kordamine
repeteix	kordan
repeteix	silmus
repeteix	loop
valeri	valeri
valeri	valeri
acceleració	kiirendamine
acceleració	kiirendus
continents	mandrite
cohen	cohen
embarcacions	paate
embarcacions	paadid
ravenna	ravenna
degà	dean
degà	dekaan
glasgow	glasgow
disposades	korraldatud
vancouver	vancouveri
conquerit	vallutanud
conquerit	vallutatud
mixt	segatud
mixt	sega
mixt	segunenud
abel	abel
mod	mod
copiar	kopeerimine
formals	ametlik
formals	ametliku
caracas	caracas
pelegrinatge	palverännak
convocatòria	kõne
bombai	bombay
bombai	mumbai
anglo	anglo
direccions	suunad
direccions	juhised
cher	cher
escàndol	skandaal
escàndol	skandaali
léon	léon
làmines	lehed
làmines	linad
bucarest	bukaresti
concursos	võistlustel
concursos	võistlused
concursos	võistlused
ling	ling
ling	lingil
blaus	blues
américa	américa
polinomi	polünoom
espases	mõõgad
reg	niisutus
serbis	serblased
regal	kink
regal	kingitus
seleccionat	valitud
num	num
croat	horvaatia
diploma	diplom
metz	metz
matt	matt
matt	matti
tomé	tomé
batejat	ristitud
sortides	väljundite
supervisió	järelevalve
progressiu	progresseeruva
poderosos	võimas
deep	sügav
deep	deep
deep	sügavale
reflex	refleks
botó	nööp
botó	nupp
botó	button
plens	täis
plens	täielik
calvo	calvo
armand	armand
hampshire	hampshire
màntua	mantova
seques	kuivatatud
facultats	teaduskondade
veterans	veteranide
veterans	veteranid
julián	julian
guàrdies	valvurid
bridge	sild
vuitena	kaheksas
dijous	neljapäev
baby	kallis
baby	beebi
reyes	reyes
mercader	kaupmees
vestíbul	fuajee
nomenats	määratud
gala	gala
cabana	salongi
cabana	majake
cabana	kabiin
johns	johns
extensions	laiendused
integrats	integreeritud
cilindre	silindri
cilindre	ballooni
pesos	kaalud
inquisició	inkvisitsiooni
ref	kohtunik
celler	kelder
constança	constance
ploma	pen
ploma	pliiats
ploma	sulg
oman	omaan
innovacions	uuendused
continuat	jätkamine
continuat	jätkub
continuat	jätkati
continuat	jätkus
continuat	jätkuv
continuat	jätkas
nits	ööd
nits	õhtud
pendents	kõrvarõngad
donades	antud
joão	joão
mani	mani
express	express
express	ekspress
express	väljendada
gov	gov
carnaval	karneval
yang	yang
cartells	plakatid
ornamental	dekoratiivsed
resurrecció	ülestõusmine
obaga	umbria
consultat	konsulteeritud
domèstic	riigisisesed
domèstic	kodumaine
teclats	klaviatuurid
mill	mill
mill	veski
llavor	seeme
armstrong	armstrong
sky	sky
sky	taevas
esborrany	eelnõu
esborrany	kavand
tesis	väitekirja
tor	tor
evitant	vältimine
ordena	sorteerimine
notari	notar
politècnica	polütehnikumis
grams	memm
grams	grammi
schneider	schneider
responsabilitats	vastutus
responsabilitats	kohustused
plantacions	istandused
subdivisió	oks
subdivisió	filiaal
subdivisió	haru
subdivisió	filiaali
meyer	meyer
facilita	hõlbustab
localment	kohalikult
localment	lokaalselt
localment	kohapeal
tracció	veojõu
segells	margid
lents	läätsed
valent	vapper
valent	vaprad
valent	vapp
convençut	veendunud
feixista	fašistlik
nòmades	nomaadid
escalada	ronimine
escalada	ronib
studios	studios
atributs	atribuudid
farmàcies	apteekides
eugène	eugène
berg	berg
resistents	resistentsete
resistents	vastupidavad
banks	banks
banks	pangad
pensant	mõtlemine
pensant	mõeldes
pensant	mõtled
pensant	mõtleb
entorns	keskkondade
mauritània	mauritaania
convocat	kutsutud
òptic	optiline
òptic	optilised
ressonància	resonants
embaràs	rasedus
alegria	joy
alegria	rõõmu
alegria	rõõm
mineria	kaevandamine
siena	siena
cromosomes	kromosoomid
ain	ain
guerrero	guerrero
hegemonia	hegemoonia
demandes	nõudmised
cadascú	iga
divinitat	jumalikkuse
grove	grove
apollo	apollo
plànol	lennuk
patates	kartul
patates	kartulid
metabolisme	ainevahetus
metabolisme	metabolism
caos	kaos
hunter	kütt
hunter	hunter
hunter	jahimees
jefferson	jefferson
jefferson	jeffersoni
obligacions	kohustused
cecília	cecilia
polo	polo
yes	jah
trento	trento
français	français
floyd	floyd
seients	istmed
frau	pettused
frau	pettus
frau	pettuse
frau	petis
cantonades	nurgad
llimona	sidrun
llimona	sidruni
sentia	tundsin
sentia	tundis
sentia	tundsid
nervis	närvid
tolerància	hälve
tolerància	sallivust
phoenix	phoenix
abandonament	hülgamine
abandonament	loobumine
suecs	rootslased
born	sündis
born	sündinud
amenaçat	ohustatud
definicions	määratlused
definicions	mõisted
directori	kataloog
neutrons	neutronid
funeral	matustel
funeral	matus
funeral	matused
funeral	matuse
felicitat	õnn
felicitat	õnne
rares	harv
rares	harva
rares	haruldased
rares	haruldane
jura	jura
subgrup	alagrupis
bonn	bonni
tallat	lõika
tallat	lõigatud
pronunciació	hääldus
intencions	kavatsused
porxo	veranda
estrets	väinade
conill	jänes
conill	küülik
tia	chick
tia	tibi
tia	tibu
tia	tädi
tia	tia
banco	banco
textura	tekstuuri
ismail	ismail
belgues	belglased
successius	järjestikused
successius	järjestikuste
trobant	leidmine
júlia	julia
yves	yves
violació	vägistamine
administratius	haldus
heavy	rasked
heavy	raske
fantasma	vaim
fantasma	vaimu
fantasma	kummitus
fantasma	tont
impedeix	takistab
impedeix	väldib
after	pärast
judaisme	judaismi
cuir	nahk
cuir	nahast
vegas	vegas
peticions	nõudmised
peticions	taotlused
exacte	täpne
maximilià	maximilian
senadors	senaatorid
àlies	varjunimi
àlies	alias
àlies	aka
huelva	huelva
mites	müüdid
influents	mõjukas
cometa	komeet
nervi	närvi
conservats	säilitatud
conservats	säilinud
conservats	konserveeritud
detroit	detroiti
detroit	detroidi
detroit	detroit
legítim	õiguspärane
santi	santi
perdó	andestust
serguei	sergei
harvey	harvey
julian	julian
batallons	armeed
icona	ikoon
icona	ikooni
electró	elektron
disputada	vaidlustatud
combinada	kombineeritud
arkansas	arkansases
horitzó	horisont
racional	ratsionaalne
obligatori	kohustuslikud
obligatori	kohustuslik
autobús	buss
autobús	bussi
autobús	bussiga
congost	mäekuru
fàrmacs	uimastid
fàrmacs	narkootikumid
dimoni	saatan
dimoni	deemon
brava	brava
criticar	kritiseerida
philadelphia	philadelphia
creadors	loojad
lucre	kasum
sintaxi	süntaksi
mandíbula	lõualuu
soto	soto
autèntica	autentne
leningrad	leningradi
ombres	varjud
constitucions	põhiseaduste
administrar	manustada
entusiasme	entusiasmi
físicament	füüsiliselt
terrible	kohutav
atletes	sportlased
emocions	emotsioonid
pobladors	asunikud
pib	skt
pib	skp
hubert	hubert
veterinari	loomaarst
veterinari	loomaarst
veterinari	veterinaararst
veterinari	veterinaar
finalitza	otsad
finalitza	lõpeb
finalitza	lõppeb
finalitza	lõpeta
gabon	gaboni
orella	kõrv
orella	kõrva
chan	chan
mason	mas
mason	mason
benín	benini
championship	meistrivõistlused
championship	meistrivõistluste
amagat	peidus
amagat	peidetud
amagat	varjatud
suaus	pehme
suaus	pehmed
rex	rex
vita	vita
teràpia	teraapia
teràpia	ravi
teràpia	ravile
compilació	koostamine
nòrdic	põhjamaade
yale	yale
boris	boris
boris	boriss
bey	bei
boles	kerad
boles	munad
boles	pallid
comunal	communal
decisiu	otsustav
hotels	hotellid
príncipe	príncipe
custòdia	hooldusõiguse
calàbria	calabria
société	société
ensenyaments	tunnid
ensenyaments	õppetunnid
ensenyaments	õpetused
jordània	jordan
jordània	jordaania
puebla	puebla
introduïda	tutvustas
introduïda	tutvustati
organitzen	organiseerida
bravo	bravo
dante	dante
creien	uskusin
creien	uskusid
creien	uskus
prohibida	keelustatud
prohibida	keelatud
ballarina	baleriin
ballarina	tantsija
dedicació	pühendumus
automàtic	automaat
automàtic	automaatsed
automàtic	automaatne
loire	loire
suggerit	soovitatud
suggerit	soovitas
genoma	genoomi
evidentment	ilmselgelt
condemnar	hukka
hàbits	harjumused
volts	volti
neil	neil
tradueix	tõlkida
tradueix	tõlgi
tradueix	tõlkimine
magnífic	võrratu
obstacles	takistused
platí	plaatina
ven	müüb
trípoli	tripoli
lliçons	tunnid
lliçons	õppetunnid
datació	kohtamas
datació	kohtamine
datació	käimine
vincenzo	vincenzo
pells	karusnahku
pells	nahad
olimpíades	olümpiamängud
viatja	reisib
domèstics	riigisisesed
domèstics	kodumaine
xeic	sheikh
terminals	terminalide
dames	kabe
constituent	koostisosa
hard	raske
hard	kõva
mayer	mayer
danny	danny
reformar	reformimise
granges	põllumajandusettevõtete
rumors	kuulujutud
rumors	kuulujutte
clorur	kloriidi
node	sõlm
node	sõlme
elegant	elegantne
aïllats	isoleeritud
aïllats	eraldatud
inversions	investeeringud
madonna	madonna
heli	heelium
caçador	kütt
caçador	hunter
caçador	jahimees
educat	haritud
educat	viisakas
perillós	ohtlikud
perillós	ohtlik
caracteritzar	iseloomustada
llicències	litsentsid
millorat	täiustatud
millorat	paranenud
millorat	tõhustatud
pròxima	järgmiseks
pròxima	järgmisena
pròxima	järgmine
pròxima	next
leon	leon
debats	arutelud
debats	arutelud
ferrari	ferrari
cripta	krüpti
keith	keith
repetició	korda
repetició	korrata
repetició	kordamine
repetició	kordan
repetició	kordamine
salvació	lunastus
diàlegs	dialoogid
diàlegs	dialoogide
oracle	oraakel
confiar	usalda
confiar	usaldus
confiar	usaldust
restant	jäänud
contractes	lepingud
pantalons	püksid
tinta	tint
lingüista	keeleteadlane
tibet	tiibeti
hassan	hassan
plànols	tasane
plànols	lame
dot	kaasavara
dot	täpp
dot	dot
dot	täppi
continuada	jätkamine
continuada	jätkub
continuada	jätkati
continuada	jätkus
continuada	jätkuv
continuada	jätkas
culpable	süüdi
numeració	numeratsioon
incidència	esinemissagedus
aisne	aisne
federacions	liidud
mares	emad
bilingüe	kakskeelne
greix	rasv
greix	rasva
greix	paksud
greix	paks
jin	jin
saqueig	rüüstamine
anunciat	teatas
lloguer	üür
lloguer	üüri
lloguer	laenutada
lloguer	rent
compensació	hüvitis
compensació	hüvitamine
simbolitza	sümboliseerib
jeanne	jeanne
tel	tel
ampliada	suurenenud
ampliada	laienenud
apèndix	liide
reduint	vähendamine
detectiu	uurija
detectiu	detektiiv
trompeta	trompet
organitzador	korraldaja
comunicat	teatas
comunicat	teatanud
comunicat	teatatud
rates	rotid
ruth	ruth
penjar	riputada
loir	loir
five	viis
funcionalitat	funktsionaalsuse
fractura	luumurdude
fractura	mõra
chopin	chopini
implicats	kaasatud
sean	sean
entreteniment	meelelahutus
constava	koosnes
constava	seisnes
eritrea	eritrea
genealogia	genealoogia
ran	jooksis
mateo	mateo
ritu	riitus
agulles	nõelu
agulles	nõelad
inscrits	registreeritud
inscrits	registreerinud
pronunciar	hääldada
llicenciatura	poissmees
tutela	eestkoste
mitridates	mithridates
umar	umar
treballador	töötaja
treballador	tööline
plaer	rõõm
plaer	nauding
gene	gene
gene	geen
gene	geeni
navegant	purjetama
amnistia	amnesty
amnistia	amnestia
antilles	antillid
hui	hui
aritmètica	aritmeetiline
planteja	tõstab
monopoli	monopol
monopoli	monopoli
jay	jay
zinc	tsink
guies	juhib
perfecció	täiuslikkust
antònia	antonia
mantell	mantle
lituà	leedu
bei	bei
indians	indiaanlased
electric	elektriline
electric	elektrilised
electric	elekter
clade	klaad
stefan	stefan
instituts	instituutide
elefant	elevant
fuentes	fuentes
absent	puuduvad
absent	puudub
hostal	inn
powell	powell
zimbabwe	zimbabwe
atzar	suvaline
atzar	juhuslik
mitchell	mitchell
frare	munk
olis	õlid
mobiliari	mööbel
orientat	orienteeritud
constructor	ehitaja
atmosfèrica	atmosfääri
convenient	mugav
obertament	avatult
obertament	avalikult
dean	dean
