alè	دم
revisa	(کتاب
revisa	اعادہ
revisa	کتاب
revisa	غور-
pater	باپ.
antimoni	سرمہ
antimoni	کحل
jiddisch	یدش.
adjudicació	انعام
adjudicació	سزا
paladar	پسند.
paladar	ذوق
paladar	تالو.
interpolació	الحاق
interpolació	تحریف
inoxidable	کھری.
exigeixen	from
exigeixen	موقوف
exigeixen	چاہنا
emergeix	کھلنا
emergeix	مانا
moderació	معدلت.
moderació	تعدیل
moderació	معقول
moderació	معتدل
severitat	شدت
escrutini	معائنہ
escrutini	مشاہدہ.
desistir	پرہیز
domesticació	تالّف
peculiars	نامانوس.
peculiars	حق.
peculiars	عجیب
peculiars	نامانوس.
peculiars	انوکھا
peculiars	حق.
peculiars	عجیب
sucursal	دریا
selecciona	چنیدہ
selecciona	چننا
selecciona	منتخب.
admirable	پسندیدہ
vernís	وارنش
vernís	لکڑی
vernís	پتھر
vernís	دھات
traslladen	تبادل
molesta	پریشانی
molesta	خرابی
molesta	خراب
molesta	بگاڑ.
desobediència	نافرمانی
mercantils	دنیادارانہ.
mercantils	تجارت
grat	ذوق
grat	پسندیدگی
grat	انتخاب
grat	ذوق
grat	پسندیدگی
grat	پسند
grat	رغبت
grat	انتخاب
orfenat	یتیمی.
porcina	سؤر.
obstrucció	رکاوٹ
obstrucció	مزاحمت
obstrucció	بندش
obstrucció	رکاوٹ
obstrucció	مزاحمت
lèxica	لُغوی.
esponja	over
esponja	پیوٹ.
esponja	on
esponja	out
esponja	اسفنج
cabellera	گھنے
cabellera	گھنے
cabellera	جھبرا
lloro	نقلچی
lloro	گھونٹنا
lloro	نقال
lloro	بھانڈ.
lloro	رٹنا
transcendent	برگزیدہ
transcendent	ماورا
manava	سردار.
diversificació	رنگارنگی
diversificació	گوناگونی
diversificació	توسیع
diversificació	تنوع
sabotatge	بگاڑنا
terapèutic	شفائی
elf	پری
elf	چھلاوا
erotisme	شہوانیات.
abastament	سامان
encens	with
kitty	بلوٹا
kitty	بلونگڑا
beagle	کھوجی
beagle	مخبر
infinites	لاتعداد.
infinites	کامل.
infinites	زبردست
infinites	عظیم
infinites	لامحدود
infinites	لاتعداد.
infinites	کامل.
infinites	زبردست
infinites	عظیم
vibrant	مرتعش.
vibrant	لرزاں
electromagnetisme	برقناطیسیت
estèril	جذبے
estèril	جدّت
estèril	بیہٹر
estèril	جذبے
estèril	جدّت
estèril	بانجھ
estèril	بیہٹر
molèsties	تکلیف
trencall	چکر
plomall	پر
plomall	کلغی.
plomall	(بعدہٗupon
epidermis	برادمہ
taüt	تابوت
lloança	قصیدہ
jovent	نوجوانی
jovent	جوش
jovent	لڑکپن
jovent	توانائی
jovent	عنفوان
monsó	برشگال.
subjectiu	موضوعی
irracional	محال
demència	عتاہت
pallasso	بدّھو
pallasso	دیہاتی
pallasso	گنوار.
magre	back
magre	میلان
magre	on
magre	لاحاصل
magre	جھکاؤ
indult	درگزر
indult	معافی
indult	عفو.
convincent	معقول
convincent	بلاشبہ
fugitiu	پراں.
fugitiu	ہنگامی.
fugitiu	بھاگنے
fugitiu	رواں
fugitiu	ڈھلمل
fugitiu	گریزاں
fugitiu	عارضی
cul	دھونسنا.
cul	چوتڑ.
cul	سُرین
cul	ہدف.
darling	دلدار.
darling	محبوب
darling	دلارا
darling	پسندیدہ
darling	چہیتا
darling	حسین
darling	دلکش.
darling	مرغوب.
darling	خوبصورت
darling	دلدار.
darling	محبوب
darling	دلارا
darling	پسندیدہ
darling	چہیتا
darling	حسین
darling	دلکش.
darling	پیارا
darling	مرغوب.
darling	خوبصورت
capçal	کس
capçal	مختار
capçal	بڑا
capçal	فرد
capçal	صدر
capçal	سیش.
capçal	صلاحیت.
capçal	اسم
capçal	کلاں.
capçal	مہا
capçal	زندگانی.
capçal	لیڈری.
capçal	راس
capçal	انتہا
capçal	سربراہ
capçal	کس
capçal	مختار
capçal	بڑا
capçal	فرد
capçal	صدر
capçal	سیش.
capçal	صلاحیت.
capçal	اسم
capçal	کلاں.
capçal	مہا
capçal	زندگانی.
capçal	لیڈری.
capçal	راس
capçal	انتہا
olivar	شاخسار.
mercenari	منافع
mercenari	زر
manta	جامع
tornado	عاصفہ
weather	موسم.
weather	موسمیانا
pubertat	بلوغ
pubertat	بلوغت.
esclerosi	atherosclerosis)
fusiona	ملانا
circulatori	گردشی
circulatori	دوری
circulatori	مستدیر
contratemps	بدقسمتی
contratemps	سانحہ
contratemps	حادثہ
embarassades	بھرپور.
embarassades	پُرتخیّل
embarassades	پُرمغز
fashion	طرزِعمل
fashion	وتیرہ
pinna	پر
turmell	ٹخنہ
turmell	چلنا
disgust	بیزار
disgust	اکراہ
disgust	بیزاری
pronunciament	اظہار
pronunciament	اعلان
pronunciament	فیصلہ
dictat	حکم
dictat	الفاظ
dictat	فرمان
lleig	بیہودہ
lleig	گھنائونا
lleig	کریہہ
lleig	ڈرائونا
lleig	صورت
lleig	واہیات
lleig	خطرناک
lleig	خوفناک
lleig	زشت
lleig	بھیانک
lleig	بھدّا
lleig	بیہودہ
lleig	گھنائونا
lleig	کریہہ
lleig	ڈرائونا
lleig	صورت
lleig	واہیات
lleig	خطرناک
lleig	بدنما
lleig	خوفناک
lleig	زشت
lleig	بھیانک
lleig	بھدّا
inactiva	معطل
inactiva	ساکت
inactiva	سست
inactiva	ساکن
inactiva	کاہل.
inactiva	مجہول.
saliva	رال.
saliva	تھوک
acceptables	کافی
intensiu	زوردار
intensiu	تاکیدی
intensiu	کامل
maquinista	مستری.
rave	مولی
resort	to
resort	مدد
resort	(بعدہ
distracció	تفریح
distracció	سستانا.
distracció	خلفشار
distracció	باؤلاپن.
distracció	آرام
distracció	انتشار.
distracció	الجھن
distracció	بھٹکاوا.
distracció	مخمصہ.
nuvi	سائیس-
nuvi	دوست
nuvi	رفیق
nuvi	مرد
tímid	from
tímid	محتاط
tímid	(بعدہ
tímid	نامانوس
germen	جرثومہ.
suor	عرق
suor	مشقت
suor	عرق
suor	پسینہ
suor	مشقت
glam	رک:
glam	glamorous
avalua	جانچنا
avalua	آنکنا
corbata	کسنا.
corbata	تعلق
corbata	ڈوری
benzina	پٹرول.
sords	وزن
sords	اصم
fervent	شدید
fervent	تمتماتا
fervent	سرگرم
fervent	جوشیلا
fervent	تپتا
nocius	مضر
aim	چاہنا.
aim	مدعا
aim	مقصد
aim	چاہنا.
aim	مدعا
catifa	دھمکانا
catifa	ڈانٹنا
catifa	قالین
catifa	دھمکانا
catifa	ڈانٹنا
pipa	(موسیقی
pipa	صفیر.
pipa	on
pipa	دھات
sale	بکری
sale	فروخت
sale	بکری
traure	مالش
traure	چمکانا
traure	through
traure	مزاحمت
traure	in
traure	against
traure	on
traure	(بعدہ
traure	رگڑا-
sine	جیب
abstinència	ترک
abstinència	پرہیز
abstinència	ترک
commemoratius	یادگاری
avellana	بُندق
alberg	سرائے.
menta	(لفظ
menta	دولت.
menta	معدن
menta	ڈھالنا
menta	دارالضرب
menta	گھڑنا
menta	مخزن
estèreo	بیّن.
estèreo	مجسّم
ajustat	احتیاطیں
ajustat	تھڑدلا
ajustat	تند
ajustat	قابو)
ajustat	دشوار
ajustat	کسا
ajustat	احتیاطیں
ajustat	تنگ
ajustat	تھڑدلا
ajustat	تند
ajustat	قابو)
ajustat	دشوار
ambigu	مبہم
arada	up
arada	ہل
arada	up
psique	نفس.
psique	جان.
psique	ذہن
psique	روح
indignació	توہین.
indignació	برہمی
indignació	غصہ
absorbeixen	تصادم
absorbeixen	اپنانا
absorbeixen	دھچکے
absorbeixen	(دھکے
disfressa	اخفا
disfressa	سوانگ
disfressa	اخفا
disfressa	پوشاک
sedentària	نشستہ
sedentària	متمکّن
apta	مناسب
apta	زودفہم
apta	ہوشیار
apta	موزوں.
apta	ذکی
encanteri	پُرکشش
encanteri	افسوں
encanteri	منتر
encanteri	پُرکشش
mossegada	کاٹ
mossegada	تیزی.
mossegada	چارہ
mossegada	(کیڑے
mossegada	تیز
mossegada	سانپ
mossegada	(پہیّے
meravella	کرامات.
meravella	اچرج.
meravella	اچنبھا
meravella	حیرت
meravella	عجائباتی.
meravella	حیرانی
meravella	استعجاب
competents	(جج
competents	مجاز
competents	(جج
competents	لائق
competents	مجاز
pebrot	capcicum
boulder	بٹیا
boulder	صخرہ
boulder	بٹا
boulder	گُنڈ
gueto	پاڑا
informals	معمولی
tensa	کشیدہ.
tensa	تنت
tensa	تاننا
vino	ٹھرّا.
abstenir	پرہیز
abstenir	احتراز
obliguen	سمیٹنا
obliguen	کسنا
obliguen	جکڑنا.
obliguen	تھامنا
obliguen	on
obliguen	بندش.
obliguen	علّت
sífilis	آتشک
fry	تلن
dissident	منحرف
dissident	اقتدار
dissident	ناموافق
bud	ناپختہ
validació	توثیق
validació	تصدیق
ranura	درز
ranura	چھیدنا
ranura	پیڑا
ranura	دراڑ
ranura	جگہ
ranura	کھوج.
ranura	نلکی
ranura	گوشہ
ranura	نالی
ranura	بیٹھنا
netament	خوبی
netament	لیاقت
gentile	قبائلی
arbitrari	زبردستی
optimista	رجائی
jasper	یشب.
jasper	یشم
auditoria	پڑتال.
auditoria	محاسبہ
auditoria	تنقیح
heroic	شجیع
heroic	ڈرامائی
cranial	قحفی.
acudit	چہل.
acudit	لطیفہ
acudit	چہل.
acudit	مذاق
musicologia	غنائیات.
additiu	آمیزش
additiu	اضافہ
sobri	معقول.
sobri	متین.
sobri	سادہ
sobri	متوازن
sobri	محترز
sobri	معقول.
sobri	متین.
sobri	سادہ
sobri	متوازن
sobri	سنجیدہ
sobri	محترز
limbe	قرنیائی
velvet	مخملی
velvet	مخمل
velvet	مخملی
feat	کارنامہ
feat	کارِنمایاں.
mania	سودا
mania	جنون
difusa	طولانی
difusa	(روشنی
difusa	منفوذ
difusa	منتشر
difusa	(نثر
pleasant	خوشگوار
pleasant	پُرلطف
pleasant	دماغ
lamb	مسکین
navalla	موس.
navalla	مونڈنا
navalla	استرا
funicular	ریسمانی.
productives	خلّاق
productives	(بعدہ
rad	عجیب.
elder	بیلساں
elder	اقطیٔ
elder	شبدر
paternitat	نژاد
paternitat	پدریت
paternitat	ابویت
paternitat	اصلیت.
paternitat	باپتا.
curry	سنوارنا.
curry	کوٹنا-
curry	چھڑنا
contemplativa	زاہد
contemplativa	راہب
urea	یوریا
lodge	بسانا
lodge	رکھنا
lodge	ٹھہرنا
lodge	سمانا
lodge	اعتراض
rígids	سخت
rígids	کڑا
rígids	سخت
rígids	کڑا
rígids	کٹّر
horrible	ہولناک.
horrible	مہیب
horrible	کثیر
horrible	بہت
horrible	برا
fonoll	سوا
multiplicitat	تعدّد.
multiplicitat	تنوع
lone	خالی
lone	سونی
lone	مہجور
beau	سہیلا
beau	آشنا.
gelós	چوکنّا.
gelós	(تفتیش
gelós	تحقیق
bramans	برہمن
temptació	جانچ
temptació	اکساہٹ
temptació	آزمائش
temptació	امتحان.
temptació	جانچ
temptació	تحریص
temptació	اکساہٹ
temptació	آزمائش
temptació	امتحان.
simètrics	متوازن
simètrics	متشاکُل
simètrics	متناسب
correspongui	مناسب.
correspongui	ہتھیانا
granular	دانوں
insignificant	معمولی.
insignificant	لغو.
insignificant	لایعنی
insignificant	غیراہم
insignificant	ناچیز.
diva	مشہور
iogurt	رائب.
iogurt	رائب.
iogurt	دہی
argus	نگہبان
argus	محافظ.
ancoratge	سہارا.
paralitzar	معذور
arrow	تیر
arrow	بان
arrow	تیر
dictamen	خیال
dictamen	ظن
dictamen	تخمینہ
dictamen	جانچ-
dictamen	اندازہ
dictamen	خیال
dictamen	ظن
dictamen	رائے
dictamen	تخمینہ
dictamen	جانچ-
dictamen	اندازہ
concertar	چکانا
misticisme	الٰہیات
misticisme	روحانیت
misticisme	باطنیت
misticisme	تصوّف
sintonia	آہنگ
sintonia	سُر
sit	جھنڈی
costosa	گراں.
costosa	قیمتی.
costosa	گراں.
costosa	مہنگا
costosa	قیمتی.
forte	خوبی
quantificar	چند
sunshine	مسرت
sunshine	بشاشت
salze	بید
esperma	تخم.
esperma	نطفہ
esperma	منی
esperma	دھات
ganga	چکانا
ganga	معاملہ
perca	جریب
perca	ٹکنا
púlpit	منبر
allium	پیاز
tendó	نسیج
preceptor	ہدایت
epic	عظیم
epic	بہادرانہ.
epic	زبردست
epic	عظیم
epic	بہادرانہ.
epic	زبردست
epic	رزمیہ
melody	نغمگی.
melody	موسیقیت.
individualisme	انانیت.
rodet	جھومنا
rodet	up
rodet	اٹیرنا.
rodet	(بعدہ
rodet	ڈگمگانا.
rodet	ناہموار
rodet	ڈولنا
rodet	سوت
wolfram	ٹنگسٹن.
mackintosh	برساتی
piqué	(حیرت
piqué	رنجش
piqué	خفگی
piqué	عداوت
fork	پھاڑنا
estèrils	جذبے
estèrils	جدّت
estèrils	بیہٹر
estèrils	جذبے
estèrils	جدّت
estèrils	بانجھ
estèrils	بیہٹر
ateu	کافر
ateu	کافر
ateu	دہریہ
bloqueja	لگانا
bloqueja	محصور
bloqueja	in
bloqueja	مبہوت
bloqueja	کھڑکی
bloqueja	معنی۲.
bloqueja	قفل
bloqueja	لگانا
bloqueja	تالا
bloqueja	محصور
bloqueja	in
bloqueja	مبہوت
bloqueja	کھڑکی
bloqueja	معنی۲.
bloqueja	قفل
bloqueja	انگھڑ
bloqueja	سر
bloqueja	ٹھس
bloqueja	ٹکڑا
bloqueja	منڈیا
bloqueja	پچّر.
colpejat	(سونا
colpejat	ہرایا
ressentiment	ناراضگی.
ressentiment	of
tabú	مردود
tabú	بندش
tabú	ممانعت
tabú	تحدید
tabú	مقدّس
tabú	مردود
tabú	بندش
tabú	ممانعت
tabú	تحدید
tabú	مقدّس
tabú	ممنوع
trobeu	خزانے
trobeu	لانا
trobeu	کان
extingida	کالعدم.
extingida	نابود.
extingida	فنا
extingida	ناپید.
extingida	(زندگی
extingida	کالعدم.
extingida	نابود.
extingida	فنا
extingida	ناپید.
extingida	معدوم
extingida	(زندگی
humorística	مزاحیہ
humorística	مذاقیہ.
perillositat	خدشہ.
perillositat	گمان
perillositat	اتفاق
perillositat	خطرہ
adherència	اتصال.
adherència	جوڑ
adherència	منسلک
adherència	ملحق
aviram	پیلو
aviram	بطخیں
preàmbul	آغاز
preàmbul	تمہید
preàmbul	آغاز
escorpí	بچھو
palet	کتا
palet	چٹائی.
fascinat	دلدادہ
fascinat	مسحور
fascinat	دلدادہ
pruna	کشمش.
drum	ڈھول
drum	پاؤں
victorià	وکٹوریائی
cavallets	چکر.
cavallets	چکر.
cavallets	چرخ
hexadecimal	طلسم.
hexadecimal	جادو
hexadecimal	چڑیل.
hexadecimal	سحر
marcha	پُھونکنا
marcha	جلانا.
ullada	تاکنا.
ullada	out
simula	مصنوعی.
turquesa	فیروزہ
minimalista	سادہ
epilèpsia	مرگی
epilèpsia	مرگی
epilèpsia	صرع
cascos	دھکیلنا.
amarga	کڑوا
amarga	کڑوا
amarga	تلخ
microbiologia	جراثیم
hibernació	شتویّت
brodat	کڑھائی
dido	مذاق
dido	شرارت
dido	شوخی
dido	ٹھٹھول
perdedor	پٹیل.
alegres	شادماں
pastel	مدّھم
verinosa	سمّی
verinosa	مسموم
verinosa	سمّی
verinosa	زہریلا
verinosa	مسموم
decididament	قطعاً.
decididament	یقیناً
decididament	بلاشبہ
esprit	چونچالی
progenitor	جدّاعلیٰ.
progenitor	پُرکھا
progenitor	بانی
progenitor	موجد
progenitor	جڑ
progenitor	اصل
furiós	متشدّد.
furiós	چلاتا
furiós	بنکارتا
clientela	مؤکل
inadequat	ناموزوں
lulu	عمدہ
lulu	غیرمعمولی
globular	گول.
extreme	جابرانہ
extreme	انتہائی
extreme	ازحد
extreme	آخری
extreme	اختتامی.
extreme	سخت
concordança	مطابقت
infiltració	نفوذ
fràgils	کمزور
fràgils	شکستنی.
fràgils	پُھوٹک
fràgils	کمزور
fràgils	شکستنی.
agonia	ایذا
agonia	صعوبت.
criden	through
criden	تیز
criden	(بعدہ
laringe	حنجرہ
laringe	نرخرہ.
respectiu	متعلقہ
respectiu	منسوب
skinner	سلاّخ.
produeixin	نشریے
produeixin	(پھل
produeixin	جانچنے
produeixin	سنسنی
produeixin	نتیجہ.
encaix	پیٹنا
encaix	(کافی
encaix	لیس
simbiosi	مطابقت
denunciant	مستغیث.
denunciant	مدعی
denunciant	مستغیث.
denunciant	فریادی
denunciant	مدعی
cèrcol	تاننا.
cíclica	دوری
cíclica	دولابی
cíclica	لولبی
messenger	پیامی.
messenger	پیامی.
messenger	قاصد
molsa	کائی
albatros	کوفت
albatros	علّت.
precepte	قاعدہ.
precepte	حکم
precepte	تلقین.
precepte	قاعدہ.
precepte	حکم
precepte	نصیحت
precepte	تلقین.
distreure	باؤلا
chef	باورچی
invocació	دعا
invocació	مناجات.
sublim	ارفع
sublim	مطہرہونا.
sublim	برگزیدہ-
sublim	تطہیر
sublim	اعلیٰ
sublim	پاک
mango	انبہ.
mango	انبہ.
mango	آم
tahsil	تحصیل
simpàtic	ہمدردانہ.
simpàtic	(بعدہ
simpàtic	حامی.
simpàtic	ہمدردانہ.
simpàtic	ہمدرد
simpàtic	(بعدہ
simpàtic	حامی.
espurna	شرارہ
espurna	اخگر
espurna	چنگاری
espurna	بانکا.
espurna	بہادر
espurna	شرارہ
espurna	اخگر
espurna	چنگاری
espurna	بانکا.
espurna	بہادر
espurna	پتنگا
estigma	بٹّہ
dígit	عدد
mamut	جسیم
mamut	زبردست
opaca	غبی
opaca	مبہم
opaca	دُھندلا
nicotina	زہریلا
bora	خشک
ding	جلسہ
ding	تقریب
indefinida	لامحدود.
esplèndida	مردود
esplèndida	مرحوم
esplèndida	ملعون
esplèndida	مقّدس.
esplèndida	مغفور
jardiner	مالی.
jardiner	مالی.
jardiner	باغبان
adornen	سجانا
fosse	سرنگ.
muntura	زین
pneumàtic	تھکانا.
pneumàtic	تھکنا
pneumàtic	تھکانا.
formulari	جون
formulari	قاعدہ
formulari	روایت.
formulari	جنس
formulari	بنانا.
formulari	سدھانا.
formulari	حُلیہ
formulari	نقشہ
formulari	خاکہ
formulari	ذات.
formulari	قسم
formulari	جماعت
formulari	ضابطہ
formulari	کلاس.
formulari	رسم
formulari	گھڑنا.
formulari	بولنا.
formulari	پیرایہ
formulari	جون
formulari	قاعدہ
formulari	روایت.
formulari	جنس
formulari	بنانا.
formulari	سدھانا.
formulari	حُلیہ
formulari	نقشہ
formulari	خاکہ
formulari	ذات.
formulari	قسم
formulari	جماعت
formulari	ضابطہ
formulari	کلاس.
formulari	رسم
formulari	گھڑنا.
formulari	بولنا.
formulari	پیرایہ
formulari	شکل
ask	پوچھنا
rèptil	کمینہ.
rèptil	چھپکلی
rèptil	گھٹیا
rèptil	مگرمچھ
rèptil	ذلیل
rèptil	کمینہ
còncau	مقعر
injustament	دھاندلی
plausible	متفنّی.
clon	قلمہ
minaret	مینارہ
minaret	ماذنہ.
solemnitat	متانت
solemnitat	تمکنت
solemnitat	وقار
solemnitat	متانت
solemnitat	تمکنت
esfinx	ببون
esfinx	عجیب
exclusivitat	اختصاص
exclusivitat	امتیاز
exclusivitat	استثنا
usurpació	غصب
alter	بدلنا
fiança	چوکھٹا
fiança	ضامن
convergeixen	آملنا
confinament	بندش
brodats	کڑھائی
aiguabarreig	سنگم.
degradar	ٹوٹنا
degradar	تڑقنا.
degradar	گھلنا
degradar	پھوٹنا
scout	ٹوہیا
scout	کھوجی.
scout	نفر
scout	بندہ.
scout	آدمی
scout	round
scout	(بعدہٗfor
scout	قراولی
corrupte	(متن
corrupte	سڑا.
corrupte	گندا
proporcionals	متناسب.
proporcionals	تقابلی
bast	لیمو
excèntric	انوکھا
excèntric	سنکی.
excèntric	عجیب
insult	خرابی.
insult	خرابی.
insult	ہتک
indispensables	لازمی
indispensables	(قانون
abrupte	اچانک
abrupte	پھسلواں
abrupte	اتاولا
abrupte	ناہموار
abrupte	یکلخت
abrupte	سربریدہ
abrupte	ڈھالو.
clip	فرّاٹا.
clip	(clipped
clip	فرّاٹا.
clip	کاٹنا
clip	(clipped
contradictòries	اِبائی
contradictòries	انکاری
contradictòries	تردیدی.
humiliació	اہانت
humiliació	تذلیل
humiliació	تحقیر
humiliació	اہانت
sandwich	بھینچا
paint	روغن
paint	غازہ
paint	سرخی
sse	south-south-east.
aventurers	دلیرانہ.
cash	نقدی.
cash	دولت.
còrnia	قرنیہ.
bufet	وار.
bufet	دھچکا.
bufet	ضرب
bufet	ٹکرانا
bufet	تھپڑ
simplex	سادہ
simplex	سادہ.
creatives	مخترع
creatives	موجد
creatives	خلاّق.
vota	ووٹ-
vota	against
vota	رائے
vota	ووٹ-
vota	against
faringe	بلعوم.
lentitud	آہستگی
baldaquí	چھتر
menhir	لمبا
accessori	اضافی
accessori	زائد
accessori	جوتے
herpes	تبخال.
catorzena	چودھواں
barbeta	زنخداں
barbeta	ٹھوڑی
barbeta	ذقن
barbeta	زنخداں
barbeta	ٹھوڑی
slow	تدریجی
slow	سست.
slow	متأمل
slow	مندا
slow	تدریجی
slow	سست.
slow	متأمل
inert	سست
inert	جامد
impediment	لکنت
impediment	روک.
impediment	مزاحمت
manso	مسکین
manso	فروتنی
manso	عاجزی
manso	منکسرالمزاج
rot	تعجب
rot	گلانا
rot	بکواس
rot	ستانا
rot	away
rot	خرابی
rot	سڑانا
rot	تباہی.
rot	انحطاط
destina	منگیتر
mesclat	مرکب.
mesclat	مرکب.
mesclat	مخلوط
timbals	تاشے
timbals	طنبورے.
ene	east-north-east
introductori	ابتدائی.
introductori	تمہیدی
introductori	ابتدائی.
