singular	tunggal
așteptat	diharapkan
copie	menyalin
copie	copy
copie	salin
copie	salinan
augusta	augusta
conservatorul	konservatori
nièvre	nièvre
individ	individu
individ	individual
individ	perorangan
cauze	penyebabnya
cauze	penyebab
cauze	menyebabkan
posturi	kiriman
posturi	posting
rosa	rosa
neil	neil
orientale	oriental
murray	murray
giorgio	giorgio
bloc	blok
bloc	block
bloc	blokir
extremă	ekstrem
extremă	ekstrim
extremă	extreme
sophie	sophie
fundamentală	mendasar
fundamentală	fundamental
democratice	demokratik
democratice	demokratis
democratice	demokrat
democratice	demokrasi
searchbuttonlabel	searchbuttonlabel
verii	sepupu
aventură	bertualang
aventură	adventure
aventură	petualangan
ciot	stub
ciot	tunggul
gri	kelabu
gri	gray
gri	kelabu
gri	grey
imdb	imdb
producători	produsen
producători	produser
producători	manufaktur
producători	produsen
editată	disunting
editată	diedit
gratuit	bebas
gratuit	gratis
gratuit	free
proiectele	proyek
versailles	versailles
floarea	bunga
floarea	flower
terry	terry
nordice	nordik
nordice	nordic
viziune	penglihatan
viziune	visi
viziune	vision
viziune	yaqin
partidele	pesta
partidele	pihak
catalonia	catalunya
profesie	profesi
mayenne	mayenne
tablouri	lukisan
dean	dekan
dean	dean
zagreb	zagreb
exemplul	contoh
magnolia	magnolia
magnolia	cempaka
informare	briefing
informare	pengarahan
populații	populasi
bere	beer
bere	bir
solicitat	diminta
solicitat	meminta
mandatul	mandat
cape	cape
cape	tanjung
expert	ahli
expert	pakar
zahăr	sukrosa
zahăr	gula
zahăr	sugar
wagner	wagner
călugăr	biksu
călugăr	rahib
călugăr	biarawan
călugăr	monk
titu	titu
scandal	skandal
scandal	scandal
digitală	digital
mențiune	term
mențiune	istilah
fals	palsu
fals	false
fals	salah
fals	palsu
fals	fake
ruta	rute
clement	clément
clement	klemens
liberi	bebas
liberi	gratis
liberi	free
arhiducele	archduke
amintirea	memory
amintirea	kenangan
amintirea	ingatan
amintirea	memori
medicamente	obat
medicamente	narkoba
întrebat	ditanyakan
întrebat	ditanya
întrebat	bertanya
stări	negara
colaborator	kolaborator
colaborator	penyumbang
colaborator	kontributor
auf	auf
opiniile	opini
opiniile	pendapat
lunar	perbulan
lunar	bulanan
lunar	lunar
celulele	sel
percuție	perkusi
short	short
short	singkat
short	pendek
baron	baron
suficientă	kecukupan
atelier	lokakarya
atelier	workshop
atelier	bengkel
barry	barry
mercur	mercury
mercur	merkuri
mercur	merkurius
mercur	raksa
tun	meriam
tun	cannon
tun	tun
păr	hair
păr	rambut
cresc	tumbuhkan
cresc	kembangkan
cresc	grow
cresc	tumbuh
cresc	bertumbuh
concluzie	kesimpulannya
concluzie	kesimpulan
admis	mengaku
astrofizică	astrofisika
egalitate	persamaan
egalitate	kesetaraan
identificare	identifikasi
astronomic	astronomi
demonstrează	menunjukkan
ideal	ideal
găsită	menemukan
găsită	mendapati
găsită	nemu
găsită	ditemukan
haine	baju
haine	pakaian
haine	bajunya
structurii	struktur
abdallah	abdallah
repetat	berulang
repetat	diulang
tinere	muda
tinere	young
tinere	mudanya
romaniansoccer	romaniansoccer
gros	tebal
calendar	kalender
patrimoniu	warisan
patrimoniu	heritage
vocale	vokal
vocale	vocal
vocale	vokal
donat	sumbangan
donat	disumbangkan
donat	menyumbang
dakota	dakota
dakota	desy
mansur	mansur
susan	susan
holt	holt
federală	federal
pont	pont
pont	tip
pont	tips
pont	kiat
înlocuirea	pengganti
înlocuirea	penggantian
apple	apel
apple	apple
nepenthes	nepenthes
dame	dame
strasbourg	strasbourg
sportivi	atlet
sportivi	atlit
tulburări	gangguan
apostoli	rasul
château	château
adăugarea	tambahan
adăugarea	penambahan
adăugarea	menambahkan
adăugarea	menambah
bois	bois
formularul	formulir
formularul	membentuk
formularul	form
formularul	bentuk
grupate	dikelompokkan
crimă	pembunuhan
crimă	kriminalitas
crimă	pidana
crimă	kejahatan
crimă	kriminal
crimă	crime
gotic	goth
gotic	gotik
gotic	gothic
tre	tre
roz	pink
ahmed	ahmed
latine	latin
frunzele	dedaunan
frunzele	daun
exprima	ekspres
exprima	express
exprima	ungkapkan
exprima	mengungkapkan
moscovei	moskow
moscovei	moskwa
kashmir	kashmir
belgian	belgia
wikimapia	wikimapia
orange	orange
orange	jingga
orange	jeruk
orange	oranye
pierderile	kerugian
naviga	berlayar
naviga	sail
naviga	layar
echipament	perlengkapan
echipament	peralatan
includerea	penyertaan
simona	simona
joachim	joachim
formal	formal
formal	formal
austin	austin
austin	ananda
filozofia	filsafat
filozofia	filosofi
aedes	aedes
implicarea	keterlibatan
implicarea	keterlibatannya
explica	jelaskan
explica	menjelaskan
wall	wall
wall	tembok
wall	dinding
harald	harald
meridiane	meridian
autonome	otonom
autonome	otonomi
village	kampung
village	dusun
village	desa
village	village
răspândirea	menyebar
răspândirea	menyebarkan
răspândirea	disebarkan
răspândirea	menyebar
răspândirea	sebarkan
răspândirea	sebar
răspândirea	penyebaran
intensă	intens
intensă	menegangkan
lugoj	lugoj
mutată	dipindahkan
strâmtoarea	selat
refugiat	pengungsi
ungară	hongaria
ungară	hungaria
scăzută	rendah
scăzută	low
compune	tulis
exterioară	eksterior
ofensivă	ofensif
ofensivă	menyinggung
ofensivă	menghina
ofensivă	serangan
ofensivă	menyerang
ofensivă	mengganggu
intervenție	intervensi
galilor	galia
fenomene	fenomena
austrieci	austria
costume	kostum
costume	setelan
costume	jas
muban	muban
cânta	sing
cânta	nyanyi
cânta	nyanyikan
grija	kepedulian
grija	peduli
grija	peduli
grija	perawatan
grija	care
corul	choir
corul	chorus
modelele	models
modelele	model
îndeplini	penuhi
îndeplini	memenuhi
îndeplini	penuhilah
reich	reich
józsef	józsef
agricol	pertanian
originile	asal
khan	khan
mutarea	memindahkan
mutarea	pindah
mutarea	bergerak
moscheea	masjid
lățimea	lebar
ladislau	ladislaus
cooper	cooper
preah	preah
invazie	invasi
ehf	ehf
brabant	brabant
dealuri	bukit
dealuri	hills
dealuri	perbukitan
danny	dimas
danny	danny
determinată	ditentukan
determinată	bertekad
tag	tanda
tag	tag
perete	wall
perete	tembok
perete	dinding
amenajare	fitting
amenajare	pas
nicholas	nicholas
istoricii	sejarawan
străină	asing
străină	foreign
iubit	dicintai
iubit	tercinta
iubit	beloved
iubit	pacar
iubit	boyfriend
entitate	entitas
platină	platinum
rezolva	memecahkan
rezolva	selesaikan
rezolva	pecahkan
indivizi	individu
indivizi	individual
continental	continental
continental	kontinental
continental	benua
caesar	caesar
cruci	salib
maiorescu	maiorescu
conferit	dianugerahkan
pcupdate	pcupdate
pierdute	kalah
pierdute	tersesat
pierdute	kehilangan
pierdute	lost
pierdute	hilang
perioadele	periode
bianco	bianco
cardinal	cardinal
cardinal	kardinal
clare	clare
vulcan	berapi
vulcan	vulcan
moștenit	diwariskan
moștenit	mewarisi
moștenit	turunan
moștenit	diwarisi
curentului	current
curentului	arus
curentului	skrg
destinație	tujuan
destinație	destination
destinație	destinasi
hawaii	hawaii
sunetul	sound
sunetul	suara
xbox	xbox
inca	masih
gama	galungan
gama	gama
gama	gamma
baby	baby
baby	sayang
baby	bayi
evaluarea	penaksiran
evaluarea	penilaian
evaluarea	evaluasi
cinematografie	sinematografi
danez	denmark
raportat	dilaporkan
raportat	melaporkan
râurilor	sungai
râurilor	rivers
paula	paula
acoperiș	atap
acoperiș	atap
acoperiș	roof
conferință	conference
conferință	konferensi
legală	hukum
legală	sah
legală	legal
civili	sipil
elisabeth	elisabeth
citește	bacalah
citește	baca
citește	read
citește	dibaca
citește	membaca
variate	bervariasi
variate	beragam
bros	bros
prăbușit	dilipat
prăbușit	roboh
prăbușit	runtuh
clasificate	diklasifikasikan
pic	pic
administrare	administrasi
cereale	gandum
cereale	bijian
cereale	sereal
cereale	sereal
warren	warren
ferenc	ferenc
pictori	pelukis
stein	stein
basel	basel
étienne	étienne
baraj	dam
baraj	waduk
baraj	bendungan
absolvent	pascasarjana
absolvent	lulus
absolvent	graduate
islamică	islamic
islamică	islam
derivă	melayang
derivă	drift
derivă	hanyut
balta	kolam
balta	tambak
balta	pond
balta	genangan
aires	aires
roberts	roberts
kingdom	kingdom
kingdom	kerajaan
amândoi	berdua
amândoi	keduanya
statuie	patung
tennessee	tennessee
toamnă	autumn
moștenirea	pewaris
moștenirea	legacy
moștenirea	warisan
moștenirea	warisan
oslo	oslo
turner	turner
adăugate	menambahkan
adăugate	ditambahkan
beta	beta
aripi	sayap
aripi	wings
golf	golf
interzisă	terlarang
interzisă	dilarang
interzisă	terlarang
interzisă	dilarang
numirea	janji
contactul	hubungi
contactul	kontak
contactul	contact
java	jaktim
java	jawa
java	java
alexandre	alexandre
siberia	siberia
inspector	inspektur
inspector	pemeriksa
ocean	samudera
ocean	samudra
ocean	lautan
ocean	laut
ocean	ocean
claudia	claudia
plăcut	suka
plăcut	disukai
plăcut	menyukai
plăcut	menyenangkan
evans	evans
franceza	prancis
franceza	perancis
wien	wien
wien	wina
edge	edge
edge	tepi
edge	tepian
declarație	pernyataan
declarație	deklarasi
discursul	pidato
discursul	speech
discursul	ucapan
discursul	berpidato
alabama	alabama
folosire	penggunaan
folosire	kegunaan
folosire	pemakaian
intrând	memasuki
intrând	memasukkan
tabel	meja
tabel	tabel
indiei	india
keith	keith
asigurată	tertanggung
asigurată	diasuransikan
corrèze	corrèze
emise	diterbitkan
emise	dikeluarkan
campionatele	kejuaraan
manastirea	vihara
manastirea	biara
louisiana	louisiana
baschet	basket
baschet	basketball
organ	organ
hotelul	hotel
oarecum	agak
oarecum	lumayan
finistère	finistère
tranziție	peralihan
tranziție	transisi
cald	hot
cald	panas
cald	hangat
cald	warm
adânc	sedalam
adânc	mendalam
adânc	deep
salvare	keselamatan
salvare	penyelamatan
salvare	rescue
vacanță	libur
vacanță	holiday
vacanță	liburan
vacanță	liburan
malta	malta
manifestări	manifestasi
fotbalul	sepakbola
fotbalul	football
radical	radikal
asalt	serbu
asalt	serangan
asalt	penyerangan
renault	renault
sierra	sierra
specializate	spesialis
buenos	buenos
dificultăți	kesukaran
dificultăți	kesempitan
dificultăți	kesusahan
dificultăți	kesulitan
dificultăți	kesukaran
dificultăți	kesulitan
râurile	sungai
râurile	rivers
tribuna	tribune
lapte	susu
lapte	susunya
grove	grove
memoriile	memoar
memoriile	memoar
viteze	kecepatan
studios	studios
studios	studio
clara	clara
vieți	nyawa
vieți	lives
boemia	bohemia
oferind	membual
oferind	menawarkan
letonia	latvia
islanda	islandia
hanovra	hanover
hanovra	hannover
hanovra	hannover
rahman	rahman
rahman	abdurrahman
edinburgh	edinburgh
hlist	hlist
silva	silva
democratic	demokratik
democratic	demokratis
democratic	demokrat
democratic	demokrasi
distinge	membedakan
chalukya	chalukya
vrei	ingin
vrei	inginkan
vrei	pengen
vrei	mau
strategice	strategis
utilizând	menggunakan
utilizând	using
numeric	numerik
simte	feel
simte	merasa
simte	rasakan
lloyd	lloyd
lloyd	llyod
robinson	robinson
oldenburg	oldenburg
controverse	kontroversi
lunile	bulan
rase	balapan
rase	ras
rase	trah
bordeaux	bordeaux
lecții	pelajaran
jay	jay
soră	saudari
soră	adik
soră	suster
soră	kakak
teste	pengujian
teste	uji
teste	tes
aventuri	bertualang
aventuri	adventures
aventuri	petualangan
aventuri	bertualang
aventuri	adventure
aventuri	petualangan
autorități	otoritas
autorități	berwenang
estimare	perkirakan
estimare	memperkirakan
estimare	perkiraan
estimare	estimasi
estimare	perkiraan
estimare	estimasi
comparativ	perbandingan
comparativ	dibandingkan
islamice	islamic
islamice	islam
salt	jump
salt	melompat
salt	loncat
salt	lompat
salt	garam
salt	asin
dezvolta	kembangkan
dezvolta	mengembangkan
tensiune	ketegangan
tensiune	tegangan
banda	pita
banda	rekaman
banda	tape
batman	batman
pius	pius
trăiască	live
trăiască	jalani
trăiască	langsung
exprimate	cor
exprimate	dilemparkan
exprimate	pemeran
exprimate	cast
exprimate	melemparkan
exprimate	diungkapkan
moneda	koin
moneda	coin
instalații	pemasangan
instalații	instalasi
romeo	romeo
aruncă	melempar
aruncă	lemparan
aruncă	lempar
aruncă	throw
conservare	konservasi
conservare	pelestarian
matilda	matilda
recentă	terkini
recentă	terbaru
accentul	logat
accentul	aksen
trenul	train
trenul	kereta
bate	beat
bate	mengalahkan
bate	kalahkan
bate	mengalahkan
bate	beats
bate	berdetak
bate	irama
bate	ketukan
propuse	diusulkan
propuse	mengusulkan
manuscris	manuskrip
manuscris	naskah
tanc	tangki
tanc	tank
veliko	veliko
zguduit	terguncang
zguduit	dikocok
zguduit	mengguncang
zguduit	berjabat
bolnav	sakit
bolnav	sick
prix	prix
nguyen	nguyen
afectează	berpengaruh
afectează	memengaruhi
afectează	mempengaruhi
afectează	pengaruhi
afectează	amaliah
afectează	memengaruhi
afectează	mempengaruhi
nigeria	pekanbaru
nigeria	nigeria
gust	taste
gust	rame
gust	selera
gust	rasa
gilbert	gilbert
vizuale	visual
minnesota	minnesota
allah	allah
joan	joan
latina	latin
latina	latina
vila	vila
vila	vila
vila	villa
bor	bor
bor	boron
muncitori	pekerja
györgy	györgy
gabrovo	gabrovo
strategic	strategis
privit	ditonton
privit	disaksikan
privit	diawasi
geografia	geografi
miami	miami
lang	lang
multumesc	trims
multumesc	terimakasih
multumesc	makasih
bugetul	budget
bugetul	anggaran
matthew	matius
matthew	matthew
intervalul	rentang
intervalul	kisaran
intervalul	range
intervalul	jangkauan
intervalul	interval
wisconsin	wisconsin
străzile	jalanan
sunete	suara
sunete	bunyi
sunete	kedengarannya
sunete	sounds
sunete	bunyinya
cablu	kabel
barajul	dam
barajul	waduk
barajul	bendungan
autonom	otonom
autonom	otonomi
lucas	lucas
justin	justin
laurent	laurent
lingvistice	linguistik
northern	utara
northern	northern
zaharia	zakariya
zaharia	zakaria
procedura	prosedur
caussols	caussols
marx	marx
lector	dosen
primăvară	spring
primăvară	pegas
gândirea	memikirkan
gândirea	thinking
gândirea	pemikiran
gândirea	berpikir
esențial	esensial
esențial	penting
consecutive	berturut
navarra	navarra
asimov	asimov
carnivore	karnivora
carnivore	karnivora
repere	highlight
repere	sorot
repere	highlights
repere	sorotan
repere	landmark
repere	tonggak
cifră	digit
singapore	singapura
singapore	singapore
interpreta	menafsirkan
interpreta	menafsirkannya
acoperire	coating
acoperire	pelapis
acoperire	sampul
acoperire	cover
acoperire	penutup
acoperire	tutupi
acoperire	liputan
acoperire	cakupan
fontsize	fontsize
wells	sumur
wells	wells
pasăre	bird
pasăre	burung
ocazional	sesekali
ocazional	sesekali
dedesubt	dibawah
atei	ateis
fundul	bokong
fundul	pantat
fundul	butt
stadiul	pentas
stadiul	tahap
stadiul	panggung
stadiul	stage
transforma	transformasi
transforma	mengubah
grădină	masya
grădină	taman
grădină	garden
grădină	kebun
springs	springs
detaliate	terperinci
detaliate	rinci
estimat	perkiraan
estimat	estimasi
derivate	derivatif
derivate	turunan
liban	libanon
liban	lebanon
scaune	kursi
scaune	kursi
gov	gov
regii	kings
apărând	membela
emma	emma
persană	persia
doyle	doyle
efectuarea	making
efectuarea	tampil
organe	organ
organe	organ
surori	sisters
surori	saudara
surori	saudari
surori	suster
goethe	goethe
cazimir	casimir
aug	agu
aug	aug
aug	agustus
eforturi	upaya
kogălniceanu	kogălniceanu
bobby	bobby
ring	ring
ring	cincin
sever	parah
pielea	kulit
pielea	skin
abordare	dekati
abordare	pendekatan
vorbind	berbicara
apărat	dipertahankan
bretagne	bretagne
mina	mina
pactului	pakta
cameron	cameron
revistele	majalah
decisiv	menentukan
sălbatice	wild
sălbatice	liar
noroc	cheers
noroc	bersulang
noroc	ceria
definiția	definisinya
definiția	definisi
stins	memudar
stins	pudar
averea	harta
averea	kekayaan
dați	memberi
dați	berikan
dați	give
dați	beri
dați	memberikan
țintă	menargetkan
țintă	targetkan
țintă	sasaran
țintă	target
comunitățile	komunitas
vânzare	penjualan
vânzare	jualan
vânzare	dijual
vânzare	sale
vânzare	obral
cunoștință	kenalan
vărul	cousin
vărul	sepupu
mer	mer
automată	automatic
automată	otomatis
refugiați	pengungsi
fereastră	window
fereastră	jendela
rector	rektor
propagandă	propaganda
dominat	didominasi
dominat	mendominasi
crească	tumbuhkan
crească	kembangkan
crească	grow
crească	tumbuh
crească	bertumbuh
rebel	rebel
rebel	pemberontak
lanțul	rantai
uruguay	uruguay
pascal	pascal
mecanica	mekanik
mecanica	mekanika
abbasid	kekhalifahan
iugoslaviei	yugoslavia
damian	damian
roll	roll
roll	gulung
preluarea	mengambil
preluarea	pengambilan
preluarea	pengambilalihan
coadă	antrian
coadă	antri
coadă	antrean
coadă	tail
coadă	ekor
judecător	judge
judecător	menghakimi
judecător	hakim
semnează	tanda
semnează	tandatangani
semnează	menandatangani
palermo	palermo
hugh	hugh
termică	thermal
termică	termal
laos	laos
argumentele	argumen
uesac	uesac
fir	wire
fir	kawat
fir	benang
fir	thread
fir	utas
legiunea	legion
legiunea	legiun
chip	chip
prefect	residen
prefect	prefek
coroană	mahkota
coroană	crown
localizată	berlokasi
localizată	bertempat
localizată	terletak
triburile	suku
mon	mon
lisa	lisa
platoul	plateau
jpg}}	jpg}}
păsările	birds
păsările	burung
arcul	busur
arcul	bow
square	square
square	persegi
square	kuadrat
doc	doc
doc	mbah
doc	dok
încet	perlahan
call	telepon
call	panggilan
call	panggil
call	call
cerul	sky
cerul	langit
cerul	angkasa
esențiale	esensial
esențiale	penting
transferul	transfer
transferul	mentransfer
creatorul	pembuat
creatorul	pencipta
creatorul	creator
companiile	perusahaan
silvia	silvia
silvia	sylvia
gibson	gibson
înconjurată	dikelilingi
înconjurată	terkepung
înconjurată	mengepung
viktor	viktor
adulți	dewasa
adulți	dewasa
nivele	tier
nivele	tiers
nivele	tingkatan
nivele	aras
nivele	tingkat
nivele	tingkatan
nivele	level
copertă	sampul
copertă	cover
copertă	penutup
copertă	tutupi
atribuită	diatribusikan
atribuită	dikaitkan
atribuită	ditugaskan
atribuită	ditetapkan
wood	kayu
wood	wood
abc	abc
geo	geo
coordonatele	koordinat
santos	santos
gif	gif
armament	armament
armament	persenjataan
credit	kredit
credit	credit
simfonia	simfoni
simfonia	symphony
marcând	skor
visul	impian
visul	mimpi
visul	dream
eddie	eddie
întreprinderi	enterprises
mir	mir
entități	entitas
pescuit	perikanan
pescuit	perikanan
pescuit	memancing
pescuit	mancing
proporție	proporsi
proporție	proporsional
opoziția	oposisi
jorge	jorge
frecvența	frekuensinya
frecvența	frekuensi
atribuite	diatribusikan
atribuite	dikaitkan
atribuite	ditugaskan
atribuite	ditetapkan
bursă	persekutuan
bursă	beasiswa
etaje	lantai
rază	radius
dragomir	dragomir
reciproc	mutual
reciproc	bersama
extra	kelebihan
extra	ekstra
extra	tambahan
extra	extra
avansate	maju
avansate	canggih
avansate	lanjutan
tratarea	mengobati
tratarea	memperlakukan
antena	hidangan
antena	dish
antena	piring
antena	antena
umbra	bayangan
umbra	shadow
umbra	bayang
umbra	bayang
umbra	berbayang
umbra	teduh
umbra	shade
vocală	vokal
creuse	creuse
omorât	dibunuh
omorât	terbunuh
omorât	dibunuh
omorât	tewas
omorât	terbunuh
mărturii	testimonial
mărturii	testimoni
mărturii	kesaksian
mărturii	testimoni
mărturii	kesaksian
aaron	harun
aaron	aaron
falls	terjun
falls	falls
falls	jatuh
figură	figure
figură	figur
figură	tokoh
figură	sosok
paraná	paraná
transformare	transformasi
academică	akademik
academică	akademisi
academică	akademis
promovează	mempromosikannya
promovează	promosi
promovează	promosikan
promovează	promote
promovează	mempromosikan
promovează	boost
promovează	promosikan
digitale	digital
abbas	abbas
hcm	hcm
grafic	grafik
grafic	graf
grafic	grafis
grafic	sadis
grafic	grafik
grafic	diagram
grafic	bagan
antrenori	pelatih
contul	rekening
contul	account
contul	akun
pedeapsa	penalti
pedeapsa	pinalti
pedeapsa	hukuman
pedeapsa	azab
pedeapsa	berjamaah
bancă	bank
bancă	bangku
mei	mei
sevilla	sevilla
sevilla	sevilla
sevilla	seville
domnule	sir
domnule	pak
domnule	tuan
definite	ditentukan
definite	dijelaskan
definite	didefinisikan
definite	terdefinisi
pauză	jeda
pauză	istirahat
pauză	break
allan	allan
seminarul	seminar
săptămâna	week
săptămâna	minggu
globală	global
conan	conan
brescia	brescia
sarcini	tugas
circuitul	circuit
circuitul	sirkuit
înfrânt	mengalahkan
înfrânt	terkalahkan
înfrânt	kalah
înfrânt	dikalahkan
hrușciov	khrushchev
roxana	roxana
ferrara	ferrara
string	untaian
string	string
julian	julian
mandatului	mandat
collins	collins
ontario	ontario
valoroase	berharga
valoroase	bernilai
pianist	pianis
viet	viet
reclamă	komersial
reclamă	komersil
reclamă	periklanan
reclamă	mengiklankan
reclamă	iklan
reclamă	beriklan
merite	merit
tong	tong
comunicații	komunikasi
comunicații	communications
junimea	junimea
manga	manga
electorală	pemilu
indo	indo
marketing	marketing
marketing	memasarkan
marketing	pemasaran
declara	menyatakan
montreal	montreal
ribbentrop	ribbentrop
scade	kurangi
scade	mengurangi
scade	menurun
scade	berkurang
scade	penurunan
ton	tuna
ton	nada
ton	tone
cheia	kunci
cheia	key
romanov	romanov
vidin	vidin
mecanice	mekanik
mecanice	mechanical
mecanice	mekanis
mecanice	mekanika
vrh	vrh
ascunde	menyembunyikan
ascunde	sembunyikan
ascunde	sembunyi
mobil	mobile
mobil	seluler
mobil	ponsel
mobil	handphone
sean	sean
schi	ski
schi	ski
schi	berseluncur
depozite	gudang
depozite	deposito
depozite	setoran
fictiv	fiktif
fictiv	fiksi
fictiv	fiktif
maplandia	maplandia
aeroport	airport
aeroport	bandara
talentul	bakat
talentul	talenta
talentul	bakatnya
talentul	talent
oklahoma	oklahoma
terestră	terestrial
permisiunea	ijin
permisiunea	izin
bernhard	bernhard
nepoata	cucu
nepoata	keponakan
bătut	dipukuli
bătut	dihajar
pragul	ambang
ouă	eggs
ouă	telur
ușa	pintu
ușa	door
aristotel	aristoteles
panchen	panchen
alpha	alpha
alpha	alfa
firmă	firma
firmă	teguh
firmă	tegas
liudmila	lyudmila
contrar	berlawanan
sprijină	mendukung
tipărită	dicetak
rica	rica
rica	rika
araneidae	araneidae
chirurgie	operasi
chirurgie	pembedahan
chirurgie	bedah
afecta	pengaruhi
afecta	amaliah
afecta	memengaruhi
afecta	mempengaruhi
madison	madison
icoana	icon
icoana	ikon
xinglong	xinglong
amy	amy
amy	adinda
amy	airlangga
klaus	klaus
pași	langkah
spațial	spasial
legislația	legislasi
butler	butler
discutat	didiskusikan
discutat	dibahas
inutil	gunanya
rolling	rolling
rolling	bergulir
rolling	berguling
explicație	penjelasan
ritm	ritme
ritm	irama
ritm	rhythm
hudson	hudson
placa	plak
placa	plakat
bursa	bursa
bursa	beasiswa
nori	awan
edmund	edmund
mercedes	mercedes
intelectuali	intelektual
intelectuali	intelektual
intelectuali	cendekiawan
împotrivă	menentang
împotrivă	melawan
împotrivă	against
împotrivă	terhadap
proprietari	pemilik
proprietari	pemiliknya
protejat	terlindung
protejat	dilindungi
protejat	terlindungi
ronald	ronald
alin	alin
colective	kolektif
popularitate	popularitas
gândit	pikir
gândit	pemikiran
gândit	berpikir
homo	homo
homo	gay
castle	kastil
castle	istana
castle	castle
castle	benteng
droguri	obat
droguri	narkoba
droguri	dope
droguri	obat
droguri	narkoba
willem	willem
execuție	eksekusi
execuție	pelaksanaan
jucând	memainkan
jucând	diputar
jucând	bermain
generat	dihasilkan
succese	keberhasilan
succese	sukses
succese	kesuksesan
succese	berhasil
succese	keberhasilan
bratislava	bratislava
damasc	damaskus
nuvelă	novel
nuvelă	novella
morbihan	morbihan
publica	publikasikan
publica	terbitkan
card	card
card	kartu
reformei	reformasi
necunoscute	bruk
filipine	filipina
filipine	philipina
secundară	sekunder
promis	dijanjikan
promis	berjanji
rin	rin
rin	rhine
incident	insiden
incident	kejadian
semnificația	makna
semnificația	signifikansi
plecare	pemberangkatan
plecare	keberangkatan
memorii	memoar
memorii	memoar
gândire	memikirkan
gândire	thinking
gândire	pemikiran
gândire	berpikir
identificate	identifikasi
identificate	diidentifikasi
identificate	teridentifikasi
identificate	mengidentifikasi
anatomia	anatomi
farmacie	apotek
farmacie	apotek
farmacie	farmasi
biți	bit
biți	bits
biți	bita
rightarm	rightarm
mexican	meksiko
five	lima
five	five
portrete	potret
pictate	dilukis
pictate	dicat
aleksandr	aleksandr
parcuri	pertamanan
parcuri	parks
parcuri	taman
pozitivă	positive
pozitivă	positif
tipărit	dicetak
sângele	blood
sângele	darah
marchiz	marquess
marchiz	marquis
yemen	yaman
yemen	yemen
cântând	menyanyi
cântând	bernyanyi
stiluri	styles
stiluri	gaya
protejarea	melindungi
norvegian	norwegia
împușcat	shot
împușcat	bidikan
împușcat	tertembak
împușcat	ditembak
sălbatică	wild
sălbatică	liar
teamă	takut
teamă	fear
teamă	ketakutan
statui	patung
sâmbătă	sabtu
profesioniști	profesional
irlandez	irish
irlandez	irlandia
consilieri	penasehat
consilieri	konselor
bunica	nenek
bunica	granny
bunica	nenek
bunica	grandma
lituaniei	lithuania
lituaniei	lituania
limitate	limited
limitate	terbatas
limitate	dibatasi
pereți	tembok
pereți	dinding
sándor	sándor
cosmin	cosmin
perry	perry
sept	septum
sept	sept
distincție	perbedaan
platformă	platform
platformă	backend
cronici	chronicles
rugăciune	sholat
rugăciune	shalat
rugăciune	doa
rugăciune	salat
rugăciune	sembahyang
luther	luther
personalitatea	kepribadian
atelierul	lokakarya
atelierul	workshop
atelierul	bengkel
cook	masak
cook	cook
cook	memasak
tara	negara
tara	tara
blois	blois
abur	uap
abur	steam
abur	kukus
oleg	oleg
respectarea	kepatuhan
