őrgróf	markgraf
trombita	trompeta
pan	tigaie
pan	pan
péntek	vineri
péntek	vinerea
moldova	moldova
monumentális	monumentală
bányászati	minerit
bányászati	miniere
poroszország	prusia
poroszország	prusiei
korrekt	corectează
korrekt	corectă
korrekt	corecta
korrekt	corect
korrekt	echitabil
korrekt	fair
korrekt	corect
annie	annie
kalauz	ghid
kalauz	ghidul
kalauz	dirijor
kalauz	conductor
vasutak	ferate
vizsgált	testate
vizsgált	testat
vizsgált	testată
vizsgált	examinate
vizsgált	examinat
vizsgált	examinată
vizsgált	anchetat
vizsgált	investigate
vizsgált	investigată
vizsgált	investigat
tölgy	quercus
tölgy	stejarul
tölgy	stejar
tölgy	oak
tojás	ouă
tojás	oua
tojás	ouăle
tojás	ou
tojás	oul
létesítmény	instalație
létesítmény	montare
létesítmény	instalarea
létesítmény	instalare
létesítmény	facilitatea
létesítmény	facilitate
létesítmény	stabilirea
létesítmény	stabilire
értelmezhető	semnificativ
megszállt	posedat
megszállt	posedată
megszállt	ocupat
megszállt	ocupate
megszállt	ocupată
klorid	clorură
klorid	cloruri
fix	repară
fix	fix
fix	repara
fix	repar
fix	fixă
fix	fix
fix	reparat
fix	fixat
homok	nisip
homok	sand
homok	nisipul
homok	sands
homok	nisipuri
homok	nisipurile
csók	pup
veszteségeket	pierderile
veszteségeket	pierderi
spontán	spontane
spontán	spontană
spontán	spontan
spontán	spontan
derby	derby
evolúció	evolutia
evolúció	evoluție
evolúció	evoluția
evolúció	evoluţia
szurkolók	fani
szurkolók	fanii
szurkolók	ventilatoare
szurkolók	fanilor
szurkolók	suporteri
üzemeltető	operator
üzemeltető	operatorul
üzemeltető	operatorului
conrad	conrad
analízis	analize
analízis	analiză
analízis	analiza
mongólia	mongolia
luna	luna
privát	privată
privát	privat
privát	private
kezdetek	început
kezdetek	începuturi
kezdetek	începuturile
bizonyítani	dovedesc
bizonyítani	dovedind
bizonyítani	dovedeste
főnök	sef
főnök	șef
főnök	boss
szülő	părinte
szülő	parinte
harvey	harvey
áruház	magazin
áruház	magazinul
áruház	store
áruház	stochează
jackie	jackie
atlanta	atlanta
koordináta	coordonează
koordináta	coordona
koordináta	coordonate
koordináta	coordonatele
koordináta	coordonate
claudius	claudius
átadott	transferat
átadott	transferate
átadott	transferată
csillagkapu	stargate
potenciális	potențial
potenciális	potențialul
potenciális	potential
lambert	lambert
horror	groază
horror	groaza
horror	horror
horror	oroare
szaxofon	saxofon
utasok	pasageri
utasok	pasagerii
utasok	călători
utasok	călătorii
utasok	călătorilor
teológia	teologie
eltávolították	îndepărtat
eltávolították	eliminat
eltávolították	scos
diszkográfia	discografia
hamburger	burger
hamburger	hamburgeri
hamburger	hamburger
hamburger	hamburgeri
reeder	reeder
szál	fibre
szál	fibra
szál	fibră
szál	fire
szál	fir
szál	firul
centrum	centrum
centrum	centrul
centrum	centru
fát	lemn
fát	lemnul
fát	wood
fát	lemne
hatásai	efectele
hatásai	efecte
keserű	amar
keserű	amare
keserű	amară
bűncselekmény	crimă
bűncselekmény	crima
bűncselekmény	criminalitate
kutatói	cercetătorul
kutatói	cercetător
kutatói	cercetătorii
kutatói	cercetatori
kutatói	cercetătorilor
kutatói	cercetători
lennon	lennon
broadway	broadway
értelmező	interpretative
értelmező	interpretativ
bomba	bomba
bomba	bombă
bomba	bombe
bomba	bombele
pérez	pérez
abraham	avraam
abraham	abraham
szerencsétlen	ghinionist
szerencsétlen	ghinion
szerencsétlen	nefericit
felszerelve	montat
felszerelve	montate
felszerelve	echipată
felszerelve	echipate
felszerelve	echipat
ibc	ibc
madagaszkár	madagascar
gene	gene
gene	genă
gene	gena
oslo	oslo
robbanás	explozia
robbanás	explozie
krakkó	cracovia
krakkó	cracovia
diploma	diploma
diploma	diplomă
diploma	diploma
diploma	grad
diploma	gradul
diploma	diplomă
egyetértés	acordul
egyetértés	acord
egyetértés	înțelegerea
egyetértés	intelegere
egyetértés	înțelegere
egyetértés	consens
egyetértés	consensul
belseje	interior
belseje	interioare
megoldások	solutii
megoldások	soluții
hetes	şapte
hetes	șapte
hetes	sapte
hetes	seven
következményei	consecințele
következményei	consecințe
következményei	consecinte
lucia	lucia
boszorkány	vrăjitoare
boszorkány	vrajitoare
fészek	cuib
fészek	cuibul
pat	pat
propaganda	propaganda
propaganda	propagandă
szocializmus	socialismul
botrány	scandalul
botrány	scandal
botrány	scandalos
botrány	scandaloase
webber	webber
szilveszter	sylvester
santo	santo
tök	dovleac
tök	dovlecel
sheffield	sheffield
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	executarea
végrehajtási	executare
végrehajtási	implementarea
tengerentúli	străinătate
düsseldorf	düsseldorf
düsseldorf	dusseldorf
termelt	produs
csarnok	hall
spider	păianjen
spider	păianjenul
spider	paianjen
spider	spider
interaktív	interactiv
interaktív	interactive
sex	sexul
sex	sex
feltöltött	încărcate
feltöltött	încărcat
autóval	maşină
autóval	mașină
autóval	maşina
autóval	mașina
autóval	masina
paramount	paramount
hivatkozást	legătura
hivatkozást	legătură
hivatkozást	link
hivatkozást	linkul
alkotók	creatorii
szépség	frumusețe
szépség	frumusete
szépség	frumusețea
csomag	haita
csomag	pack
csomag	pachet
csomag	împachetează
csomag	pachetul
csomag	colet
csomag	pachet
kai	kai
kazahsztán	kazahstan
puy	puy
utazási	călătorii
utazási	călătorie
linnaeus	linnaeus
radioaktív	radioactive
radioaktív	radioactivă
radioaktív	radioactiv
lezárt	sigilat
lezárt	sigilate
lezárt	sigilată
jamaica	jamaica
vallott	mărturisit
vallott	marturisit
kopasz	chel
kopasz	chelie
kopasz	cheală
kaukázusi	caucazul
kaukázusi	caucaz
kaukázusi	caucazian
bokor	tufisuri
bokor	bush
bokor	arbust
búza	grâu
búza	grau
egységesen	uniform
bónusz	bonus
bónusz	bonusul
bónusz	bonusuri
hónapja	lună
hónapja	luna
amy	amy
jelentéktelen	neimportante
jelentéktelen	neimportant
jelentéktelen	nesemnificativă
jelentéktelen	nesemnificativ
jelentéktelen	nesemnificative
alpha	alpha
alpha	alfa
sör	bere
sör	berea
hughes	hughes
jake	jake
sorba	coadă
sorba	coada
hopkins	hopkins
stark	stark
olivier	olivier
ned	ned
gks	gks
niger	niger
megjelölt	etichetate
megjelölt	etichetat
megjelölt	etichetată
megjelölt	marcată
megjelölt	marcat
megjelölt	marcate
kizárólagos	exclusive
kizárólagos	exclusivă
kizárólagos	exclusivitate
kizárólagos	exclusiv
szemét	gunoi
szemét	gunoaie
szemét	gunoiul
szemét	gunoi
szemét	gunoiul
lakás	plate
lakás	plat
lakás	apartamentul
lakás	apartament
lakás	locuință
lakás	locuințe
lakás	locuinţe
lakás	cazare
lakás	carcasă
trilógia	trilogia
dakota	dakota
szombaton	sâmbătă
szombaton	sâmbăta
szombaton	sambata
szombaton	sâmbata
julianna	julianna
évenként	anual
évenként	anuală
koncepció	concept
koncepció	conceptul
jeanne	joan
jeanne	ioana
jeanne	jeanne
átalakított	modificată
átalakított	modificate
átalakított	modificat
átalakított	convertite
átalakított	convertit
átalakított	transformat
átalakított	transformate
átalakított	transformată
átalakított	adaptat
átalakított	adaptate
átalakított	adaptată
előnyös	benefică
előnyös	benefice
előnyös	benefic
előnyös	avantajoase
előnyös	avantajoasă
előnyös	avantajos
törlése	șterge
törlése	sterge
törlése	ștergere
alább	dedesubt
bizonyítékok	dovezi
bizonyítékok	probe
bizonyítékok	dovadă
bizonyítékok	dovada
burgenland	burgenland
bsc	bsk
ávila	ávila
eduardo	eduardo
fizikusok	fizicieni
fizikusok	fizicienii
simpson	simpson
nílus	nil
vallások	religiile
vallások	religii
élőlény	organism
orange	orange
orange	portocală
orange	portocaliu
orange	portocalie
számláló	contor
számláló	contra
számláló	numărător
elkerülése	evitarea
elkerülése	evitând
elkerülése	evită
elkerülése	evita
elkerülése	evitarea
elkerülése	evitare
konszenzus	consens
konszenzus	consensul
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	legături
kapcsolatai	conexiuni
elszenvedett	îndurat
közreműködő	contribuitor
közreműködő	colaborator
közreműködő	colaboratori
közreműködő	contribuabili
közreműködő	colaboratorii
nicaragua	nicaragua
castro	castro
vandalizmus	vandalism
rhône	rhône
mobile	mobile
mobile	mobil
mobile	mobilă
glenn	glenn
stein	stein
gombák	ciupercile
gombák	ciuperci
gombák	ciupercă
gombák	ciuperca
gombák	ciuperci
ablakok	windows
ablakok	ferestre
ablakok	geamuri
ablakok	ferestrele
brno	brno
reagál	răspund
reagál	răspunzând
évszázad	secolul
évszázad	secol
évszázad	century
armstrong	armstrong
csomópont	nod
csomópont	junction
törvénytelen	nelegitim
aranyos	drăguță
aranyos	drăguț
aranyos	dragut
próbáltam	încercat
palermo	palermo
bezárt	închise
bezárt	inchis
bezárt	închisă
bezárt	închis
csökkentése	reduce
csökkentése	reducere
csökkentése	reducerea
csökkentése	reducerea
csökkentése	reducând
rain	ploaie
rain	plouă
rain	ploi
rain	rain
auto	auto
kitörés	focar
kitörés	epidemie
kitörés	izbucnire
freddie	freddie
apache	apache
esküvő	nuntă
esküvő	nunta
hudson	hudson
utcák	străzile
utcák	străzi
utcák	strazi
technikailag	tehnic
alekszandrovics	alexandrovici
perui	peruvian
perui	peru
koreográfus	coregraf
recept	rețeta
recept	reteta
recept	rețetă
társaságok	societăți
társaságok	societăți
társaságok	companii
társaságok	companiile
megszüntetése	încetarea
siemens	siemens
kiadások	cheltuielile
kiadások	cheltuieli
kiadások	cheltuielile
kiadások	cheltuieli
nyelvészet	lingvistică
hollywoodi	hollywood
divat	moda
divat	modei
divat	modă
divat	fashion
christoph	christoph
összeg	sumă
összeg	cantitate
összeg	suma
összeg	sum
összeg	sumă
összeg	suma
nicole	nicole
nepál	nepal
deux	deux
távközlési	telecom
távközlési	telecomunicații
távközlési	telecomunicații
kocsik	maşini
kocsik	mașini
kocsik	masini
kocsik	vagoane
kocsik	vagoane
felújítás	renovări
felújítás	renovare
felújítás	reînnoire
felújítás	reînnoirea
felújítás	renovări
felújítás	renovarea
felújítás	renovare
felújítás	renovare
professzionális	profesional
professzionális	profesională
professzionális	profesionale
professzionális	profesionistă
professzionális	profesionist
houston	houston
ulrich	ulrich
működés	operație
működés	operațiune
működés	operațiunea
működés	operaţiunea
lika	lika
istennő	zeita
istennő	zeiţa
hidak	podurile
hidak	poduri
kultúrák	culturile
kultúrák	culturi
lombard	lombard
vívás	scrimă
waters	apele
waters	apelor
waters	waters
waters	ape
fbi	fbi
későn	tarziu
későn	întârziat
későn	târziu
vert	vert
szociológus	sociolog
cape	cape
cape	pelerina
cape	pelerină
hallani	auzi
kiadatlan	nepublicate
kiadatlan	nepublicată
vilma	vilma
lili	crin
lili	lily
lili	lili
harald	harald
plus	plus
érvénytelen	incorect
érvénytelen	invalid
kövér	grasă
kövér	grasa
kövér	grăsime
kövér	gras
kínál	oferte
kínál	ofertele
kínál	oferind
kínál	oferirea
kínál	ofrandă
kínál	ofer
kolostorban	manastirea
kolostorban	mănăstirea
kolostorban	manastire
kolostorban	mânăstire
kolostorban	mănăstire
kerék	roată
kerék	roata
kerék	roti
kerék	rotile
kerék	roți
kerék	roţi
vegyész	chimist
fejlesztések	îmbunătățiri
fejlesztések	evoluțiile
fejlesztések	evoluții
emelet	etajul
emelet	etaj
emelet	podea
szimmetrikus	simetrice
szimmetrikus	simetrice
kártya	cărţi
kártya	carti
kártya	cărți
kártya	carduri
kártya	cardul
kártya	card
instrumentális	instrumental
holmes	holmes
kötés	legare
kötés	legarea
kötés	bandaj
kötés	bond
tulajdonság	proprietate
tulajdonság	proprietatea
tulajdonság	proprietăți
tulajdonság	proprietati
légkör	atmosferă
légkör	atmosfera
légkör	atmosferic
légkör	atmosferice
kurd	kurd
kurd	kurdă
kurd	kurzi
szabályozza	reglementează
mainz	mainz
orne	orne
varázsló	vrăjitorul
varázsló	vrăjitor
varázsló	magicianul
varázsló	magician
heinz	heinz
sárgás	gălbuie
producerek	producători
producerek	producătorii
nyelveket	limbi
nyelveket	limbile
felmérés	anchete
felmérés	sondajul
felmérés	sondaj
felmérés	sondaj
caf	caf
eugène	eugène
gyanús	suspicios
gyanús	suspecte
gyanús	suspect
gyanús	suspecta
gyanús	suspectul
gyanús	suspect
henger	cilindru
henger	butelie
henger	butelii
henger	cilindri
műsorok	arată
műsorok	spectacole
műsorok	emisiuni
felváltva	alternativ
csökkenő	descendent
todd	todd
parma	parma
infrastruktúra	infrastructuri
infrastruktúra	infrastructură
infrastruktúra	infrastructura
seattle	seattle
fegyvereket	armele
fegyvereket	arme
vágy	dorinta
vágy	dorința
vágy	dorință
vágy	poftă
vágy	pofta
vágy	poftă
vágy	pofta
romboló	distrugătorul
romboló	distrugător
ugrás	sari
ugrás	salt
erotikus	erotică
erotikus	erotic
erotikus	erotice
homo	homo
hibrid	hibrid
dráva	drava
bon	bon
robbie	robbie
morris	morris
europa	europa
cukor	bomboane
cukor	candy
cukor	dulciuri
cukor	zahăr
cukor	zahar
cukor	zahărul
cukor	sugar
terhes	gravidă
terhes	insarcinata
terhes	gravida
terhes	însărcinată
érvek	argumentele
érvek	certuri
érvek	argumente
városokat	oraşe
városokat	oraşele
városokat	orase
városokat	orasele
városokat	orașe
mdf	mdf
triász	triasic
tömör	compact
tömör	solid
tömör	solidă
tömör	solide
tömör	succint
tömör	concis
anhalt	anhalt
kórházi	spitalul
kórházi	spital
komédia	comedia
komédia	comedie
komédia	farsă
komédia	farsa
ita	ita
víztározó	acvifer
víztározó	rezervor
roth	roth
csont	bones
csont	oase
csont	oasele
csont	oase
csont	os
csont	osul
csont	bone
bennett	bennett
csőre	cioc
csőre	ciocul
arizona	arizona
jegyzett	subscris
jegyzett	abonat
baseball	baseball
egyezik	meciuri
egyezik	chibrituri
egyezik	meci
egyezik	match
egyezik	potrivire
algebra	algebră
algebra	algebra
kínaiak	chineza
kínaiak	chineză
kínaiak	chinezesc
kínaiak	chinez
kínaiak	chinezi
tibet	tibet
őszintén	sincer
toyota	toyota
ovális	oval
megosztott	partajate
megosztott	distribuit
megosztott	distribuite
megosztott	distribuită
megosztott	împărțit
megosztott	divizat
megosztott	divizată
tematikus	tematică
követői	urmăritorii
követői	urmăritori
egyenlítői	ecuatorială
napokban	zilele
napokban	zile
munkahelyek	joburi
hanna	hannah
hanna	hanna
halottak	moartă
halottak	dead
halottak	mort
burton	burton
csatornák	canalele
csatornák	canale
csatornák	jgheaburi
csatornák	canalizare
kezelő	operator
kezelő	operatorul
kezelő	operatorului
kezelő	manager
kezelő	managerul
kezelő	handler
vatikáni	vaticanul
vatikáni	vaticanului
vatikáni	vatican
módszertani	metodologice
porsche	porsche
haiti	haiti
haiti	haitian
hírhedt	notoriu
hírhedt	infam
tokiói	tokio
tokiói	tokyo
józan	treaz
józan	sobru
józan	trează
költség	costuri
költség	costul
költség	cost
költség	costuri
költség	costurile
ricardo	ricardo
részleteket	detaliile
részleteket	detalii
mel	mel
alpesi	alpine
szekeres	szekeres
törtek	fracțiunile
galamb	porumbel
galamb	dove
galamb	porumbel
galamb	porumbelul
galamb	porumbei
szervező	promotor
szervező	organizator
szervező	organizator
macskák	pisicile
macskák	pisici
befolyásos	influente
befolyásos	influent
befolyásos	influentă
elpusztította	distrusa
elpusztította	distruse
elpusztította	distrus
elpusztította	distrusă
hús	carne
hús	carnea
bástya	bastion
bástya	tură
bástya	tura
serena	serena
vosges	vosges
felipe	felipe
hirdetett	promovat
hirdetett	promovată
hirdetett	promovate
logó	logo
logó	sigla
katalógus	cataloagele
katalógus	cataloage
katalógus	catalog
katalógus	catalogul
katalógus	catalog
katalógus	catalogul
platform	platformă
platform	platforma
platform	platformele
platform	platforme
nyelvtan	gramatică
nyelvtan	gramatica
kollektív	colective
kollektív	colectivă
kollektív	colectivul
kollektív	colectiv
hazafias	patriotic
hazafias	patriot
rogers	rogers
tudor	tudor
tizenegyedik	eleventh
jefferson	jefferson
meghívást	invita
meghívást	invită
meghívást	invitație
meghívást	invitatie
meghívást	invitație
akkád	akkadiana
feladatai	atribuții
feladatai	sarcini
feladatai	sarcinile
feladatai	îndatoriri
glasgow	glasgow
súlyemelés	haltere
suriname	surinam
légió	legiune
légió	legiunea
gyalogság	infanterie
gyalogság	infanteria
értelmezni	interpretează
értelmezni	interpreta
bauer	bauer
dunántúl	transdanubia
muzulmán	musulmană
muzulmán	musulmani
muzulmán	musulmane
muzulmán	musulman
fajták	rase
fajták	soiurile
fajták	soiuri
hivatkozásokat	referințe
hivatkozásokat	referinte
hivatkozásokat	trimiteri
montana	montana
stratégia	strategie
stratégia	strategia
nélkülözhetetlen	indispensabil
nélkülözhetetlen	indispensabilă
nélkülözhetetlen	indispensabile
nélkülözhetetlen	esențială
nélkülözhetetlen	esențiale
nélkülözhetetlen	esențial
nélkülözhetetlen	esential
biztonság	securitate
biztonság	securitatea
biztonság	pază
biztonság	paza
biztonság	siguranță
biztonság	siguranța
biztonság	siguranta
len	len
struktúra	structură
struktúra	structura
struktúra	structurii
ismétlődő	dublură
ismétlődő	duplicat
ismétlődő	repetitive
ismétlődő	recurente
ismétlődő	repetat
ismétlődő	repetată
ismétlődő	repetate
felvételeket	benzi
felvételeket	casete
felvételeket	casetele
felvételeket	înregistrări
gaja	gaja
bűnös	vinovat
bűnös	vinovată
bűnös	păcătoasă
bűnös	păcătos
kiejtés	pronunție
kén	sulf
kén	sulf
admirális	amiral
admirális	amiralul
tarka	pied
tedd	pune
tedd	pus
mérhető	măsurabile
puha	moi
puha	moale
zavaros	derutat
zavaros	confuzi
zavaros	confuz
zavaros	confuză
zavaros	tulbure
zavaros	confuză
zavaros	derutant
zavaros	confuze
zavaros	confuz
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
gers	gers
hitte	crezut
rap	rap
januárban	ianuarie
sértő	ofensator
sértő	ofensiv
sértő	jignitor
sértő	ofensiva
sértő	ofensivă
sértő	insultător
sértő	jignitoare
sértő	jignitor
sértő	insultă
iowa	iowa
medina	medina
törvényeket	legi
törvényeket	legile
kölcsön	imprumutat
kölcsön	împrumutat
kölcsön	împrumuturile
kölcsön	împrumuturi
kölcsön	împrumut
kölcsön	împrumutul
kölcsön	împrumut
clarke	clarke
kezdeményezés	initiativa
kezdeményezés	inițiativă
kezdeményezés	inițiativa
túlélte	supraviețuit
túlélte	supravietuit
régiók	regiuni
régiók	regiunilor
régiók	regiunile
régiók	regiunea
régiók	regiune
módosult	modificat
módosult	modificată
módosult	modificate
módosult	modificat
algoritmus	algoritmul
algoritmus	algoritm
hallgatta	ascultat
marton	marton
randy	randy
ferde	strâmbă
ferde	strâmb
ferde	oblic
ontario	ontario
riporter	reporterul
riporter	reporter
esély	șanse
esély	sanse
esély	sansa
esély	șanse
esély	sanse
esély	șansă
esély	sanse
esély	cote
szárnyas	înaripat
ünnepség	ceremonia
ünnepség	ceremonie
ünnepség	sărbătorire
ünnepség	sărbătoare
kaliforniában	california
rossi	rossi
temetkezési	undertaker
bis	bis
kibocsátott	eliberat
kibocsátott	emis
kibocsátott	emisă
kibocsátott	emise
kibocsátott	emis
kibocsátott	emisă
laboratóriumi	laboratorul
laboratóriumi	laborator
berg	berg
állampolgár	cetatean
állampolgár	cetățean
albrecht	albrecht
gomba	ciupercile
gomba	ciuperci
gomba	ciupercă
gomba	ciuperca
gomba	ciuperci
gomba	ciupercă
gomba	ciuperca
gomba	ciuperci
szavazott	votat
szavazott	votată
nyelveken	limbi
nyelveken	limbile
biztosítva	asigurat
biztosítva	asigurată
biztosítva	asigurate
afganisztán	afganistan
afganisztán	afghanistan
afganisztán	afganistanul
steiner	steiner
állítólagos	presupusă
állítólagos	presupusa
állítólagos	presupus
szándéka	intentie
szándéka	intenția
szándéka	intenție
szándéka	intentie
szándéka	intenția
szándéka	intenție
világosabb	bricheta
világosabb	brichetă
elérés	impact
elérés	impactul
visszafelé	invers
ptolemaiosz	ptolemeu
cliff	cliff
memorial	memorial
memorial	memorialul
nicola	nicola
képviselt	reprezentate
képviselt	reprezentat
képviselt	reprezentată
leveleket	scrisori
leveleket	litere
brecht	brecht
martínez	martínez
julien	julien
antarktisz	antarctica
üzemeltetett	operate
üzemeltetett	operat
üzemeltetett	operată
törzsi	tribal
törzsi	tribale
cartman	cartman
beavatkozás	intervenție
beavatkozás	intervenția
tolkien	tolkien
karcsú	slim
karcsú	subțire
tanít	predau
tanít	predare
tanít	predă
tanít	preda
kétséges	îndoiala
kétséges	îndoială
kétséges	indoiala
kétséges	dubioase
kétséges	dubioasă
kétséges	dubios
kétséges	îndoielnic
dobó	bowler
dobó	ulcior
dobó	aruncător
technikák	tehnici
átjáró	portal
átjáró	portalul
átjáró	pasajul
átjáró	pasaj
leslie	leslie
pusztító	distructiv
pusztító	distructive
pusztító	distructivă
pusztító	devastatoare
pusztító	devastator
pusztító	distrugătorul
pusztító	distrugător
bolygók	planete
bolygók	planetelor
bolygók	planetele
pearl	pearl
pearl	perla
pearl	perlă
erősíti	consolidează
átdolgozott	revizuit
átdolgozott	revizuită
átdolgozott	revizuite
rétegek	straturi
álma	visul
álma	vis
álma	visează
álma	viseaza
essen	essen
romantika	romantism
feldolgozó	procesorul
feldolgozó	procesor
elena	elena
elektron	electron
konferencián	conferința
konferencián	conferinta
konferencián	conferință
konferencián	conferinţa
telek	teren
telek	terenuri
telek	land
telek	pământ
sűrűsége	densitate
sűrűsége	densitatea
dôme	dôme
singer	cântăreață
singer	singer
singer	cântăreț
lejárt	expirat
lejárt	expirate
anatómiai	anatomice
zambia	zambia
leon	leon
laosz	laos
verset	poem
verset	poezie
rico	rico
haydn	haydn
felhasználás	utilizează
felhasználás	utilizarea
felhasználás	folosește
felhasználás	utilizare
felhasználás	consumul
felhasználás	consum
felhasználás	consumului
korong	discul
korong	disc
korong	discheta
korong	pucul
korong	puck
korong	discul
korong	disc
hűséges	loială
hűséges	loial
hűséges	loiali
hűséges	loiale
hűséges	credincios
hűséges	credincioasă
elektronikai	electronica
elektronikai	electronică
elektronikai	electronice
venezuelai	venezuelean
venezuelai	venezuela
venezuelai	venezuela
kötőjel	cratimă
paradicsom	roșii
paradicsom	roşii
paradicsom	rosii
paradicsom	roșii
paradicsom	tomate
paradicsom	roşii
paradicsom	rosii
paradicsom	paradisul
paradicsom	paradis
paradicsom	paradise
fenntartása	menține
fenntartása	mentine
fenntartása	menținerea
álláspont	pozitie
álláspont	poziția
álláspont	poziţia
álláspont	poziţie
álláspont	poziție
házigazda	gazdă
házigazda	gazda
faktor	factorul
faktor	factor
federico	federico
növelése	crește
növelése	creștere
samantha	samantha
emily	emily
hbo	hbo
szingapúr	singapore
giacomo	giacomo
hektáros	acre
hektáros	acru
oszlopok	stâlpi
oszlopok	piloni
oszlopok	coloanele
oszlopok	coloane
martina	martina
darwin	darwin
domenico	domenico
küld	trimiterea
küld	trimit
küld	trimite
doug	doug
lakók	locuitori
lakók	locuitorii
lakók	rezidenți
lakók	locatari
lakók	ocupanților
nyikolajevics	nikolaevich
republikánus	republicani
republikánus	republican
republikánus	republicane
republikánus	republicană
rosszindulatú	răuvoitoare
rosszindulatú	abuziv
rosszindulatú	abuzive
rosszindulatú	abuzivă
rosszindulatú	răutăcioase
rosszindulatú	maligne
rövidítések	abrevieri
rövidítések	acronime
arabok	arabi
arabok	arabii
elemzés	analize
elemzés	analiză
elemzés	analiza
tehetségét	talentele
tehetségét	talente
veronika	veronika
nomád	nomazi
nomád	nomad
járvány	focar
járvány	epidemie
járvány	ciumă
járvány	ciuma
járvány	plagă
járvány	pandemie
járvány	epidemie
járvány	epidemia
járvány	epidemii
megfigyelő	observator
megfigyelő	observatorul
lille	lille
vicces	funny
vicces	amuzant
vicces	haios
vicces	hilar
hónapok	lunile
hónapok	luni
laurent	laurent
gázok	gazele
gázok	gaze
válás	divorț
chan	chan
másképpen	altfel
halászat	pescuit
halászat	pescuitul
halászat	pescărie
halászat	pescuit
halászat	pescuiesc
halászat	pescuitul
évkönyv	anuarul
neill	neill
lánc	lanțuri
lánc	lant
lánc	lanț
lánc	lanțul
oxid	oxid
illetékes	competent
illetékes	competentă
illetékes	competente
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
vega	vegetariană
vega	vegetarian
vega	vegan
befejeződött	încheiat
befejeződött	finalizat
