ジオン	dione
囚人	tahanan
囚人	narapidana
囚人	narapidana
囚人	napi
道徳	moral
道徳	moralitas
泣き	menangis
泣き	tangis
泣き	cry
泣き	menangislah
園田	sonoda
邦彦	kunihiko
正則	masanori
柏崎	kashiwazaki
光子	foton
高倉	takakura
松坂	matsuzaka
カジノ	kasino
カジノ	kasino
カジノ	casino
頭痛	pusing
太刀	tachi
いちご	stroberi
いちご	strawberry
いちご	stroberi
いちご	strawberry
石塚	ishizuka
コイル	koil
コイル	kumparan
コイル	coil
並列	paralel
主観	subjektivitas
キログラム	kilogram
キログラム	kilogram
ローソン	lawson
ゴミ	sampah
総覧	soran
顕彰	menghormati
事柄	materi
計算機	kalkulator
若狭	wakasa
インク	tinta
インク	ink
ミサ	mass
ミサ	massa
ミサ	misa
オバマ	obama
未亡人	duda
未亡人	janda
未亡人	menjanda
未亡人	janda
タブ	tab
タブ	tab
薬学	apotek
薬学	farmasi
食材	bahan
食材	bahan
帝都	teito
岩倉	iwakura
暗い	dark
暗い	gelap
暗い	kegelapan
ルース	ruth
ルース	longgar
ルース	loose
熱い	hot
熱い	panas
風呂	mandi
風呂	pemandian
風呂	mandi
輝き	bersinar
輝き	glow
ミント	mint
ベンツ	benz
皇女	putri
融資	pinjaman
融資	pinjaman
融資	pembiayaan
ピラミッド	pyramid
ピラミッド	piramida
ピラミッド	piramid
ピラミッド	piramida
痛み	sakit
痛み	kesakitan
痛み	pain
痛み	nyeri
プロフェッショナル	profesionalisme
プロフェッショナル	profesional
プロフェッショナル	professional
プロフェッショナル	profesional
ストックホルム	stockholm
バトラー	butler
偶数	even
偶数	genap
偶数	bahkan
コラボ	kolaborasi
パンツ	celana
パンツ	celana
ソユーズ	soyuz
フランコ	franco
植木	ueki
放火	pembakaran
武雄	takeo
渋川	shibukawa
忠誠	kesetiaan
浅田	asada
エラー	galat
エラー	error
エラー	kesalahan
エラー	galat
エラー	error
エラー	eror
エラー	kesalahan
ゆか	yuka
使い方	penggunaan
使い方	kegunaan
使い方	pemakaian
森永	morinaga
クリントン	clinton
塚本	tsukamoto
シリンダー	silinder
シリンダー	cylinder
シリンダー	silinder
アスキー	ascii
ノード	node
ノード	nodal
ノード	simpul
ノード	noktah
ノード	nodus
ノード	node
ノード	nodal
ベラルーシ	belarus
ベラルーシ	belarusia
ベラルーシ	belarus
ベラルーシ	belarusia
ドミニカ	dominika
ドミニカ	dominika
硫酸	sulfat
リバウンド	rebound
マルタ	maltese
マルタ	malta
マルタ	malta
なでしこ	nadeshiko
ゆず	yuzu
侍従	chamberlain
ゾウ	gajah
ゾウ	gajah
呪文	spell
呪文	mantra
呪文	eja
熱海	atami
創価	soka
サイボーグ	cyborg
エーカー	hektar
エーカー	acre
カザフスタン	kazakhstan
ニュートン	newton
何でも	anything
何でも	apapun
真澄	masumi
群れ	kawanan
群れ	kawanan
群れ	herd
カイロ	kairo
カイロ	cairo
損害賠償	kerusakan
くるみ	kurumi
くるみ	kenari
くるみ	walnut
不具合	kutu
不具合	serangga
不具合	bug
不具合	bugs
不具合	kutu
不具合	bug
幸雄	yukio
メロン	melon
黒澤	kurosawa
英樹	hideki
クーペ	coupé
クーペ	coupe
男の子	boy
男の子	bocah
男の子	nak
男の子	boys
刈谷	kariya
サバ	mackerel
サバ	tenggiri
サバ	kembung
おおよそ	perkiraan
常盤	tokiwa
梶原	kajiwara
フィット	fit
面白い	menarik
面白い	lucu
アクセント	aksen
アクセント	logat
アクセント	aksen
クロウ	crow
クロウ	gagak
クロウ	crowe
丁寧	sopan
驚異	keajaiban
阿南	anan
派閥	faksi
派閥	golongan
派閥	fraksi
あかり	akari
パケット	paket
パケット	paket
未定	mungkin
未定	maybe
岡野	okano
花子	hanako
意欲	kesediaan
きわめて	sangat
きわめて	amat
佐川	sagawa
三日月	sabit
三日月	crescent
井原	ihara
紅葉	koyo
金田一	kindaichi
子音	konsonan
保護者	orangtua
指輪	ring
指輪	cincin
指輪	rings
指輪	cincin
ジャンヌ	jeanne
ホールド	tahan
証明書	sertifikat
証明書	sertifikat
五島	goto
ボウル	bowl
ボウル	mangkuk
ボウル	mangkok
ボウル	mangkuk
競泳	perenang
競泳	perenang
競泳	berenang
競泳	renang
クローバー	clover
クローバー	semanggi
監禁	kurungan
鎌田	kamata
過半数	mayoritas
経理	accounting
経理	akunting
経理	akuntansi
硫黄	sulfur
硫黄	belerang
硫黄	sulfur
硫黄	belerang
桃子	momoko
卸売	grosir
卸売	grosir
フランチェスコ	francesco
向井	mukai
預金	tabungan
預金	penghematan
預金	deposito
預金	deposit
預金	setoran
預金	deposito
預金	setoran
花巻	hanamaki
捕食	mangsanya
捕食	mangsa
捕食	pemangsa
捕食	pemangsa
捕食	predator
ヘルメット	helm
ヘルメット	helm
雅彦	masahiko
スパーク	percikan
スパーク	spark
発作	kejang
桜花	ohka
四谷	yotsuya
抽象	abstrak
赤城	akagi
スルー	thru
スルー	through
スルー	melalui
穏やか	gentle
穏やか	lembut
穏やか	tenteram
フィリップス	philips
フィリップス	phillips
龍馬	ryoma
ケニア	kenya
藤崎	fujisaki
生田	toma
寄生	parasit
寄生	parasit
資本主義	kapitalisme
浸水	banjir
浸水	kebanjiran
八雲	yakumo
意匠	disain
意匠	design
意匠	desain
弾道	lintasan
弾道	balistik
ダーラン	dhahran
デフォルト	default
デフォルト	baku
デフォルト	bawaan
デフォルト	standar
デフォルト	default
デフォルト	baku
ベット	taruhan
ベット	bette
ベット	taruhan
ベット	bet
ベット	bertaruh
ドジャース	dodgers
ソープ	sabun
ソープ	soap
ユネスコ	unesco
ナノ	nano
スチール	baja
スチール	steel
コスプレ	cosplay
茶色	brown
茶色	coklat
カズ	kazu
解像度	resolusi
解像度	resolusi
初舞台	debut
初舞台	debutnya
ロドリゲス	rodriguez
ラオス	laos
ラオス	laos
デュオ	duo
りえ	rie
リビア	libya
リビア	libya
ジェネレーション	generation
ジェネレーション	generasi
丹羽	niwa
ランス	lance
支配人	manager
支配人	manajer
支配人	pengelola
クリニック	klinik
クリニック	klinik
無形	berwujud
キッチン	kitchen
キッチン	dapur
レイプ	pemerkosaan
レイプ	perkosaan
ベータ	beta
すみれ	sumire
葛西	kasai
クイン	quinn
没収	menyita
没収	sita
没収	sitaan
没収	penyitaan
没収	menyita
没収	disita
真珠	pearl
真珠	mutiara
真珠	mutiara
赤外線	inframerah
赤外線	infrared
マカオ	macau
マカオ	makau
スカート	rok
スカート	skirt
スカート	rok
音頭	ondo
醤油	soy
醤油	kedelai
アイン	anh
アイン	ein
マシュー	matius
マシュー	matthew
チャリティー	sedekah
チャリティー	amal
チャリティー	bersedekah
職場	workplace
ウェルズ	sumur
ウェルズ	wells
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	meteorit
岩石	batuan
岩石	rocks
買う	beli
買う	membeli
投げる	melempar
投げる	lemparan
投げる	lempar
投げる	throw
盗賊	bandit
盗賊	perampok
盗賊	bandit
西岡	nishioka
シュトラウス	strauss
親戚	relatif
親戚	kerabat
乱れ	guncangan
乱れ	turbulensi
乱れ	pergolakan
乱れ	goncangan
シモン	simon
羽根	bulu
イルカ	dolphin
イルカ	dolphins
バーク	kulit
バーク	menggonggong
バーク	gonggongan
バーク	burke
アンサンブル	ensemble
かご	keranjang
かご	bakul
孤児	yatim
孤児	yatim
前川	maekawa
愛宕	atago
ホープ	harapan
ホープ	asa
ホープ	hope
アームストロング	armstrong
皮肉	ironis
皮肉	sarkasme
皮肉	ironi
皮肉	ironisnya
テクニカル	teknis
蝦夷	emishi
蝦夷	ezo
華族	kazoku
絞り	aperture
絞り	bukaan
拷問	menyiksa
拷問	penyiksaan
拷問	siksa
拷問	menyiksa
拷問	siksaan
ルル	lulu
吸血鬼	vampir
吸血鬼	vampire
アクセル	axel
柳沢	yanagisawa
清掃	kebersihan
清掃	kebersihan
清掃	pembersihan
清掃	pembersih
清掃	membersihkan
排水	drainase
ダコタ	dakota
ダコタ	desy
ヘレン	helen
立案	penyusunan
タック	tuck
プロトタイプ	prototipe
プロトタイプ	purwarupa
プロトタイプ	prototipe
プロトタイプ	purwarupa
ウリ	melon
ウリ	melon
ウリ	uli
瀬川	segawa
天候	cuaca
却下	tolak
却下	pemecatan
却下	ditolak
シド	syd
シド	sid
名取	natori
スローガン	slogan
スローガン	slogan
湿地	upo
湿地	rawa
綾瀬	ayase
負債	kewajiban
肯定	afirmatif
挑発	provokasi
時刻表	jadwal
バルカン	vulcan
バルカン	balkan
承諾	persetujuan
承諾	kepasrahan
承諾	penerimaan
添付	melampirkan
添付	lampirkan
添付	lampiran
添付	lampiran
栗山	kuriyama
ポーズ	pose
ポーズ	berpose
ポーズ	berpose
ルック	look
ルック	lihat
ルック	lihatlah
カルシウム	kalsium
迂回	pengalihan
能代	noshiro
克服	mengatasi
克服	diatasi
荒廃	hawar
和歌	waka
フランチャイズ	franchise
フランチャイズ	waralaba
ジュリア	yulia
ジュリア	julia
調停	mediasi
ボウリング	bowling
ボウリング	boling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	berkarat
サビ	karat
サビ	rust
静香	shizuka
おもちゃ	toy
おもちゃ	mainan
おもちゃ	mainan
イヴ	hawa
イヴ	eve
ポピュラー	populer
鋼鉄	baja
鋼鉄	steel
ケイト	kate
パンフレット	brosur
パンフレット	pamflet
パンフレット	brosur
パンフレット	pamflet
メーター	meteran
メーター	meter
メーター	meter
リンダ	linda
宮島	miyajima
井口	iguchi
体積	volume
体積	borongan
体積	volum
体積	volume
体積	volum
体積	jilid
組み立て	assembly
組み立て	perakitan
組み立て	majelis
基底	basis
栄一	eiichi
陽一	yoichi
有名人	selebritis
有名人	selebriti
有名人	celebrity
有名人	selebritis
有名人	selebriti
ロボ	robo
経費	pengeluaran
経費	beban
ハーバー	pelabuhan
ハーバー	harbour
ホリデー	libur
ホリデー	holiday
ホリデー	liburan
ミルウォーキー	milwaukee
超過	kelebihan
造園	pertamanan
造園	lanskap
造園	lansekap
インテリア	interior
磯部	isobe
公使	menteri
公使	menteri
ジョッキー	joki
伊勢崎	isesaki
キリスト教徒	christian
キリスト教徒	kristiani
キリスト教徒	kristen
キリスト教徒	nasrani
キリスト教徒	kristen
リヴァプール	liverpool
スコープ	cakupan
スコープ	lingkup
スコープ	cakupan
スコープ	lingkup
三谷	mitani
児島	kojima
カメ	turtle
カメ	penyu
カメ	penyu
制裁	sanksi
制裁	sangsi
制裁	sanksi
バックアップ	backup
バックアップ	cadangan
バックアップ	backup
ステファン	stefan
ステファン	stephan
スーダン	sudan
細い	tipis
細い	kurus
エキス	ekstrak
エキス	mengekstrak
メッツ	mets
改宗	dikonversi
改宗	mengonversi
憲章	charter
憲章	piagam
正雄	masao
キティ	kitty
由美子	yumiko
敦子	atsuko
ねじ	sekrup
ねじ	sekrup
バースト	pecah
バースト	meledak
母方	keibuan
警部補	letnan
柔術	jujutsu
正治	masaharu
諸侯	lords
スキャンダル	skandal
スキャンダル	scandal
トンプソン	thompson
テラス	teras
テラス	terrace
キプロス	cyprus
キプロス	siprus
キプロス	siprus
ナイジェリア	nigeria
ナイジェリア	pekanbaru
ナイジェリア	nigeria
ターナー	turner
調和	keharmonisan
調和	harmoni
調和	harmony
タニア	tania
早乙女	saotome
笑う	tertawa
笑う	ketawa
笑う	tawa
笑う	laugh
笑う	tertawa
アゼルバイジャン	azerbaijan
サントス	santos
支出	pengeluaran
剣術	kenjutsu
マインド	mind
マインド	pikiran
知多	chita
ベオグラード	belgrade
ミゲル	miguel
三船	mifune
チューナー	tuner
元老院	senat
銘柄	brand
銘柄	merk
銘柄	merek
表彰台	podium
吉宗	yoshimune
見通し	prospek
肺炎	pneumonia
三角形	segitiga
クジラ	paus
クジラ	paus
レーニン	lenin
叫び	berteriak
叫び	menjerit
叫び	jeritan
叫び	teriakan
叫び	berteriak
叫び	teriak
叫び	menjerit
叫び	scream
叫び	jeritan
龍太郎	ryutaro
ヴュルテンベルク	württemberg
上総	kazusa
ハープ	kecapi
ハープ	harpa
ソプラノ	sopran
知人	kenalan
知人	kenalan
北京市	beijing
アミノ酸	amino
遂に	akhirnya
竹下	takeshita
ムード	mood
ムード	suasana
パブリッシング	penerbit
パブリッシング	terbitan
パブリッシング	penerbitan
パブリッシング	publikasi
パブリッシング	menerbitkan
山岡	yamaoka
日田	hita
薬局	apotek
薬局	apotek
薬局	farmasi
下町	downtown
速水	hayami
ジョヴァンニ	giovanni
カラス	crow
カラス	gagak
模倣	imitasi
模倣	tiruan
ウォルト	walt
発酵	fermentasi
発酵	fermentasi
伯父	paman
楽しい	asyik
楽しい	fun
楽しい	seru
楽しい	menyenangkan
楽しい	kesenangan
楽しい	menyenangkan
楽しい	mengasyikkan
七瀬	nanase
トマト	tomat
トマト	tomat
騒音	noise
騒音	bising
騒音	kebisingan
騒音	derau
英明	bijak
英明	wise
英明	bijaksana
流す	menyiram
流す	siram
流す	flush
府県	prefectures
流派	sekolah
エステル	ester
エステル	estelle
ラルフ	ralph
ノーマル	biasa
ノーマル	normal
布施	fuse
布施	sekering
インタフェース	interface
インタフェース	antarmuka
インタフェース	antarmuka
遺物	artifak
遺物	artefak
遺物	pusaka
遺物	relik
ナチュラル	alamiah
ナチュラル	natural
ナチュラル	alami
ボヘミア	bohemia
紡績	berputar
紡績	pemintalan
ディアス	díaz
ディアス	diaz
チャイナ	tiongkok
チャイナ	china
チャイナ	jatim
チャイナ	cina
こだわり	obsesi
ディフェンダー	bek
ディフェンダー	pembela
混血	multirasial
入国	imigrasi
代理人	perwakilan
代理人	agen
代理人	agent
湯浅	yuasa
レンツ	lenz
売春	prostitusi
売春	pelacuran
ドリル	bor
平戸	hirado
話し合い	diskusi
喫茶店	teahouse
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hanover
ハノーファー	hannover
ハノーファー	hannover
製造業	memproduksi
製造業	manufaktur
製造業	pabrikasi
宣告	hukuman
宣告	kalimat
鴨川	kamogawa
土方	hijikata
マフィア	mafia
正平	shohei
ルビ	rubi
ルビ	ruby
山根	yamane
金髪	pirang
金髪	pirang
金髪	blonde
金髪	pirang
小野田	onoda
ヴィオラ	viola
胞子	spora
胞子	spora
開花	berbunga
開花	mekar
ジュール	jules
ジュール	joule
ジュール	joule
反動	reaksioner
賀茂	kamo
西宮市	nishinomiya
ナミ	nami
回帰	regresi
アンカー	jangkar
アンカー	anchor
アンカー	jangkar
ネバダ	nevada
溶接	dilas
溶接	las
奥村	okumura
ビクトリア	victoria
給付	manfaatnya
給付	benefit
給付	manfaat
環礁	atol
手動	manual
手動	manual
マキシ	maxi
マキシ	maksi
パルス	pulsa
パルス	denyut
レオナルド	leonardo
許諾	otorisasi
許諾	ijin
許諾	izin
まゆ	alis
カオス	kekacauan
カオス	chaos
マネージメント	management
マネージメント	manajemen
マネージメント	pengelolaan
ハングル	hangul
抹消	pembatalan
細野	hosono
セクシー	sexy
セクシー	seksi
発光	bercahaya
発光	glowing
発光	bersinar
ちび	tiny
ちび	kecil
ちび	mungil
ダウ	dow
リッチモンド	richmond
注ぐ	tuang
注ぐ	pour
注ぐ	tuangkan
カーネル	kada
カーネル	kernel
カーネル	kernel
電線	kabel
スペンサー	spencer
居酒屋	kedai
ギルバート	gilbert
隆盛	takamori
興奮	keseruan
興奮	kegembiraan
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	plateau
春日部	kasukabe
パルマ	palma
パルマ	parma
日数	days
日数	hari
機密	kerahasiaan
機密	rahasia
機密	kerahasiaannya
機密	dirahasiakan
未遂	dicoba
未遂	upaya
未遂	upaya
クライアント	klien
クライアント	klien
衣笠	kinugasa
掃除	kebersihan
掃除	pembersihan
掃除	pembersih
掃除	membersihkan
微生物	mikroorganisme
ウシ	sapi
ウシ	ternak
ソマリア	somalia
穀物	gandum
穀物	bijian
パオ	pao
音色	nada
山名	yamana
スカイライン	cakrawala
スカイライン	skyline
鉱石	bijih
鉱石	ore
保育園	pembibitan
シンポジウム	simposium
ブランデンブルク	brandenburg
エドガー	edgar
湯沢	yuzawa
ローラー	roller
下線	digarisbawahi
下線	digarisbawahi
トラスト	percayai
トラスト	kepercayaan
トラスト	trust
トラスト	percaya
エリカ	erika
フラット	kempes
フラット	flat
フラット	rata
フラット	datar
アニメーター	animator
谷山	taniyama
稲田	inada
カバ	hippo
ジョーカー	joker
受け入れる	menerima
受け入れる	terimalah
受け入れる	terima
迫撃砲	mortir
中谷	nakatani
浅川	asakawa
補助金	subsidi
補助金	disubsidi
シェフ	chef
シェフ	koki
館山	tateyama
スクープ	scoop
スクープ	sendok
歯車	gear
大当たり	jackpot
俊夫	toshio
グレッグ	greg
パスワード	password
パスワード	sandi
パスワード	password
パスワード	sandi
復員	demobilisasi
メカニック	mekanik
メカニック	montir
申告	menyatakan
申告	deklarasi
赤ちゃん	baby
赤ちゃん	sayang
赤ちゃん	bayi
赤ちゃん	bayi
赤ちゃん	babies
金井	kanai
壱岐	iki
スクロール	menggulung
スクロール	gulir
スクロール	scroll
スクロール	gulung
スクロール	gulungan
会う	bertemu
会う	meet
会う	temui
セクター	sektor
セクター	sektor
濃い	tegar
濃い	strong
濃い	kuat
減らす	kurangi
減らす	mengurangi
減らす	menurun
減らす	berkurang
減らす	penurunan
減らす	kurangi
減らす	mengurangi
ショパン	chopin
トロンボーン	trombone
一関	ichinoseki
ネック	leher
ネック	neck
ストライキ	mogok
ストライキ	strike
ストライキ	serang
ストライキ	coret
最低限	minimum
最低限	minimal
スクランブル	perebutan
スクランブル	berebut
レター	surat
レター	huruf
レター	letter
回廊	cloister
回廊	koridor
プレゼン	presentasi
プレゼン	menyajikan
プレゼン	presentasi
モスク	mesjid
モスク	masjid
モスク	masjid
ルーカス	lucas
