হর্ন	แตร
অ্যাটাক	โจมตี
ব্রক	บร็อค
স্থিতি	สถานะ
স্থিতি	สถานภาพ
ফারিয়া	faria
অবাঞ্ছিত	ขยะ
অবাঞ্ছিত	จูน
অবাঞ্ছিত	มิถุนายน
কেন্টাকি	kentucky
কেশ	ขน
কেশ	เส้นผม
শ্লোগান	สโลแกน
শ্লোগান	slogan
চাকরী	งาน
গালা	กาลา
আরতি	arti
মেগান	megan
কঙ্গোর	คองโก
সম্পদশালী	ร่ำรวย
সম্পদশালী	มั่งคั่ง
অবহেলা	หลงลืม
অবহেলা	เลินเล่อ
মুক্তার	mukhtar
গ্রাফিক্যাল	กราฟิก
ফোটা	หยอด
ফোটা	หยด
লিং	หลิง
লিং	หล่ง
এলটিই	lte
মেঘলা	เมฆ
মার্জিত	หรูหรา
ফাম	pham
টেলিগ্রাম	โทรเลข
আচমকা	ตุ่ม
আচমকা	กระแทก
চিরকাল	forever
পিকনিক	ปิกนิก
পোস্টাল	ไปรษณีย์
ধন্য	พร
ধন্য	เป็นสุข
সেন্স	sense
মালে	ตัวผู้
বিছানায়	นอน
বিছানায়	ที่นอน
বিছানায়	เตียง
ট্যাব	แท็บ
রুল	ปกครอง
রুল	กฏ
রুল	กฎ
ফিনিশ	ฟินแลนด์
লিসবন	ลิสบอน
লিসবন	lisbon
ঘুষ	สินบน
ঘুষ	สินบน
ঘুষ	สินบน
ফেইথ	ศรัทธา
সূচি	ดัชนี
সূচি	เนื้อหา
উইন্সলেট	winslet
অপরিশোধিত	หยาบ
অভিমান	ภูมิใจ
অভিমান	proud
নিকোল	nicolle
কুঁড়ি	อ่อน
কুঁড়ি	บัด
কুঁড়ি	แย้ม
শিক্ষানবিশ	ศิษย์
ভার্মা	verma
ডিয়ার	ถึง
ডিয়ার	ที่รัก
ডিয়ার	กวาง
ওয়েড	เวด
মিতা	mita
উন্মাদ	วิกลจริต
কওমী	qaumi
সহানুভূতি	เห็นใจ
অপমানিত	ดูถูก
কলম্বিয়ান	โคลอมเบีย
কলম্বিয়ান	โคลัมเบีย
প্রতারণা	cheat
প্রতারণা	โกง
প্রতারণা	โกง
প্রতারণা	นอกใจ
একন	akon
স্ট্যাটাস	สถานะ
স্ট্যাটাস	สถานภาพ
উপশহর	ชานเมือง
তাঁবু	เต็นท์
জেদ্দা	jeddah
ইন্দোনেশিয়ান	อินโดนีเซีย
জিপিএ	gpa
উপনাম	nick
উপনাম	นิค
উপনাম	นิก
উপনাম	ฉายา
কর্ড	คอร์ด
ফাইট	ต่อสู้
ফাইট	สู้
ভেটেরিনারি	สัตวแพทย์
সাকিবের	ซากิ
চু	chu
সাঁই	ไทร
সাঁই	ทราย
চাকর	บ่าว
প্রেসার	กดดัน
লোকটি	กาย
অমরত্ব	อมตะ
শব্দভাণ্ডার	ศัพท์
ওলে	ole
লিয়াম	เลียม
বিজয়ীর	แชมป์
মিশরীয়দের	อียิปต์
ক্রনিক	เรื้อรัง
রেস্ট	พัก
সুখে	สุขใจ
সুখে	ดีใจ
সুখে	แฮปปี้
জন্ডিস	ดีซ่าน
বিপদজনক	อันตราย
মই	บันได
অ্যাপ	แอป
অ্যাপ	แอพ
অ্যাপ	แอป
অ্যাপ	แอพ
সুমো	ซูโม่
এনডিএ	nda
এতিম	กำพร้า
এতিম	กำพร้า
সোয়াত	สวาท
সোয়াত	swat
আসছেন	ที่มา
কাস্টমস	ศุลกากร
লেসনার	lesnar
সহগ	สัมประสิทธิ์
বইগুলি	หนังสือ
স্পা	ปาส
স্পা	ปา
স্পা	สปา
থ্রো	trow
ড্রোন	drone
মেসেঞ্জার	messenger
লেখচিত্র	แผนภูมิ
লেখচিত্র	ชาร์ต
লেখচিত্র	ภูมิ
আউস	aws
ডিশ	จาน
ডেবিট	เดบิต
আঙ্কেল	ลุง
রিভারসাইড	riverside
মধ্যাহ্ন	บ่าย
মধ্যাহ্ন	เที่ยง
মধ্যাহ্ন	เที่ยง
গ্রিনল্যান্ড	กรีนแลนด์
পরিশিষ্ট	ไส้ติ่ง
পরিশিষ্ট	ผนวก
স্কার্ট	กระโปรง
যব	บาร์เลย์
মেনু	เมนู
সুস্থতা	สุขภาพ
সুস্থতা	ฟิตเนส
সুস্থতা	สมรรถภาพ
দান্তে	dante
গ্যালিলি	galilee
অশ্রু	น้ำตา
কুইক	รวดเร็ว
কুইক	ด่วน
কুইক	ไว
সময়সূচি	ตาราง
সময়সূচি	กำหนดการ
অম্বা	amba
জিপ	zip
জিপ	รูด
ইন্টারভিউ	interview
ইন্টারভিউ	สัมภาษณ์
ইন্টারভিউ	สัมภาษณ์
মুই	muay
মুই	มวย
ভাগ্যের	โชค
স্ট্যাক	ซ้อน
ক্লিপ	คลิป
ক্লিপ	clip
উডস	ป่า
লোকোমোটিভ	markus
কোরাল	ปะการัง
পটি	กระโถน
বিচারকদের	กรรมการ
ডিজিট্যাল	ดิจิตอล
ডিজিট্যাল	digital
ওয়াদা	สัญญา
দেখবে	เห็น
দেখবে	ดู
স্বাস্থ্যকর	สุขภาพ
গুস্তাফ	gustaf
সিজন	ฤดูกาล
রোসা	กุหลาบ
বেপরোয়া	สะเพร่า
বেপরোয়া	มุทะลุ
হ্যামবার্গার	แฮมเบอร์เกอร์
কুঠার	ขวาน
কোপ	ต่อสู้
কোপ	สู้
বস্তুগুলো	วัตถุ
ড্যাশ	แดช
প্লাগ	ปลั๊ก
কমিউনিস্টদের	คอมมิวนิสต์
মিনারে	minar
ডিউটি	duty
ডিউটি	หน้าที่
চ্যান	จัน
চ্যান	ชาน
জেলি	jelly
আঁধার	เข้ม
আঁধার	มืด
পবা	paba
বিরক্তিকর	รำคาญ
বিরক্তিকর	ขยะแขยง
দৃষ্টিশক্তি	นิมิต
দৃষ্টিশক্তি	นิมิตร
দৃষ্টিশক্তি	สายตา
দৃষ্টিশক্তি	นิมิตร
টয়লেট	ส้วม
টয়লেট	ส้วม
টুইন	twin
টুইন	ฝาแฝด
টুইন	แฝด
ম্যানুয়াল	คู่มือ
আয়োডিন	ไอโอดีน
বেত	เฆี่ยน
বেত	ขนตา
হাল্ক	ฮัลค์
সায়ানাইড	ไซยาไนด์
এক্সেল	excel
পাপড়ির	กลีบ
মেজাজ	อารมณ์
অগ্রিম	advance
চুলকানি	คัน
নিতম্ব	สะโพก
মানানসই	พอดี
মানানসই	ฟิต
মানানসই	fit
বিক্রীত	ขาย
সিমস	sims
ডকুমেন্টেশন	เอกสาร
পূর্ণসংখ্যা	จำนวนเต็ม
লাগা	วาง
লাগা	ใส่
ভেনিজুয়েলা	เวเนซุเอลา
ইয়ার্ড	สนาม
ইয়ার্ড	ลาน
নিয়ন	นีออน
হাদি	hadi
পেনশন	บำนาญ
পেনশন	บำนาญ
বিং	บิง
বিং	bing
প্রশংসনীয়	สวยๆ
প্রশংসনীয়	สวย
মোমবাতি	เทียน
মোমবাতি	เทียนไข
মোমবাতি	เทียน
ট্রাজেডি	โศกนาฏกรรม
বিদ্রুপ	เสียดสี
কনুই	ข้อศอก
কনুই	ศอก
পরিষ্কারভাবে	ชัด
থা	ท่า
নানী	nani
অনুক্রম	ลำดับ
অনুক্রম	ลำดับ
অনুক্রম	อนุกรม
উপকারিতা	ประโยชน์
ডায়েরী	ไดอารี่
গুয়াম	กวม
এবাদত	เสิร์ฟ
এবাদত	เสริฟ
এবাদত	บูชา
এবাদত	นมัสการ
পজিশন	จุดยืน
পজিশন	ตำแหน่ง
ভিক	วิค
চুং	ชัง
চুং	ชุง
মাকড়সার	แมงมุม
ঝরনা	ฝักบัว
ঝরনা	spring
ঝরনা	สปริง
বিশৃঙ্খলার	วุ่นวาย
গোলাপের	กุหลาบ
গোলাপের	rose
গোলাপের	กุหลาบ
গোলাপের	โรส
গোলাপের	โร
ঘনক	ลูกบาศก์
বিকেলের	บ่าย
কড	คอด
কড	cod
খড়	ฟาง
খড়	hay
সাম্বা	samba
ম্যাগি	maggi
বহমান	ฟุ้ง
বহমান	เป่า
মলিন	สกปรก
স্পাইডার	แมงมุม
বজ্রপাত	ฟ้าร้อง
বজ্রপাত	ฟ้าผ่า
বিদায়ী	อำลา
মাইন্ড	มายด์
মাইন্ড	จิต
মাইন্ড	ใจ
মাইন্ড	mind
মাইন্ড	รังเกียจ
মিক্সড	ผสม
জীবজন্তু	สัตว์
ভিলেন	ร้าย
ভিলেন	ผู้ร้าย
লেদার	หนัง
মোজা	ถุงเท้า
মোজা	socks
ট্রান্সফরমার	transformer
ট্রান্সফরমার	หม้อแปลง
বিটিভি	btv
কল্যান	สวัสดิการ
কল্যান	สวัสดิภาพ
প্রোজেক্ট	โครงการ
কারাবন্দী	นักโทษ
কারাবন্দী	เชลย
কারাবন্দী	นักโทษ
কারাবন্দী	เชลย
কারাবন্দী	กักขัง
স্লাইড	เลื่อน
স্লাইড	สไลด์
পারাপার	ข้าม
গোয়ালিয়র	gwalior
স্ট্রাকচার	โครงสร้าง
মরিচের	พริก
নিপ্পন	นิปปอน
ফেনল	phenol
বান্দর	ลิง
ছেঁড়া	ฉีก
ছেঁড়া	ขาด
সমাধিক্ষেত্র	สุสาน
সমাধিক্ষেত্র	ป่าช้า
পাও	รับ
পাও	pav
পাও	ตีน
পাও	อุ้งเท้า
দুশ্চিন্তা	ห่วง
দুশ্চিন্তা	วิตก
দুশ্চিন্তা	กังวล
দুশ্চিন্তা	ห่วง
লরেন	ลอว์เรน
লরেন	ลอเรน
লিল	lil
লিল	ลิล
বেনারস	banaras
শিবা	ชิบะ
বালাই	balai
প্রতীকি	สัญลักษณ์
আরএসএস	rss
হেভেন	สวรรค์
বাধ	เขื่อน
টোঙ্গা	ตองกา
গিলে	กลืน
গিলে	กลืน
ভিভো	vivo
তুলো	สายไหม
তুলো	ฝ้าย
তুলো	cotton
প্রোটোটাইপ	ต้นแบบ
জোয়াও	joao
কুৎসিত	ขี้เหร่
ফরচুন	วาสนา
ফরচুন	ลาภ
পিল	เม็ด
থাবা	อุ้งเท้า
থাবা	อุ้งมือ
থাবা	ตีน
থাবা	อุ้งเท้า
লেমন	เลมอน
লেমন	มะนาว
কাও	kao
সিনার	sina
উইকিপিডিয়ানরা	wikipedians
ইন্সটিটিউশন	สถาบัน
ক্লিফ	หน้าผา
উৎপাদনশীল	ประสิทธิ์
স্পীকার	ลำโพง
আল্লাহ্	อัลลอฮ์
আল্লাহ্	พระเจ้า
আল্লাহ্	อัลลอฮฺ
নমো	namo
স্বীকারোক্তি	สารภาพ
রেখাচিত্র	แผนภาพ
রেখাচিত্র	แผนภูมิ
রেখাচিত্র	ชาร์ต
রেখাচিত্র	ภูมิ
রিচ	ริช
রিচ	รวย
রিচ	คนรวย
রিচ	ร่ำรวย
স্কি	สกี
রাগান্বিত	โมโห
রাগান্বিত	โกรธ
জড়ানো	ห่อ
আলগা	หลุด
আলগা	หลวม
উল্কি	ยันต์
উল্কি	tattoo
আত্মবিশ্বাস	มั่นใจ
ধোয়া	ล้าง
ধোয়া	ควัน
কেবিন	กระท่อม
কেবিন	โดยสาร
উর্ধ্বতন	อาวุโส
উর্ধ্বতন	senior
কৃষকরা	เกษตรกร
কৃষকরা	กสิกร
কৃষকরা	ชาวไร่
শাওয়ার	ฝักบัว
আকাঙ্খা	ปรารถนา
উৎসস্থল	ต้นทาง
ধৈর্য্য	อดทน
উপহাস	เหน็บแนม
আইসক্রিম	ไอศกรีม
জর্জিয়ান	จอร์เจีย
লিয়ন	ออน
ওজিল	özil
ইফতিখার	iftikhar
লুকা	luca
আফিম	dope
আফিম	ฝิ่น
লোটাস	โลตัส
লোটাস	lotus
হজ্ব	haj
স্বচ্ছতা	โปร่งแสง
স্বচ্ছতা	โปร่งใส
ফ্লোরেস	ฟลอเรส
জমিন	texture
অর্গ	org
সারিবদ্ধ	สอดคล้อง
হেডার	ปี
ইথার	ether
ক্ষুধার্ত	หิว
বিলিয়ে	billy
মর্মান্তিক	ตกใจ
ট্রাই	ไตร
হাস্যরস	ขัน
বুয়েট	boo
বুয়েট	บู
বুয়েট	บู้
ক্যু	รัฐประหาร
ভাতের	ข้าว
কেলেঙ্কারি	ฉาว
লাউঞ্জ	lounge
গৌর	รุ่งโรจน์
কাল্ট	ลัทธิ
পেনি	เพนนี
পেনি	พน
মনোযোগের	ใส่ใจ
মনোযোগের	สนใจ
সেদ্ধ	ต้ม
সেদ্ধ	ต้ม
সেদ্ধ	เดือด
নিচ্ছে	การพา
মাকড়সা	แมงมุม
গুন্ডা	มาเฟีย
গুন্ডা	นักเลง
গুন্ডা	รังแก
মহড়া	ซ้อม
তরমুজ	แตงโม
ভালোই	เก่ง
ভালোই	ดี
হাস্যকর	ขัน
হাস্যকর	ตลก
হাস্যকর	ขำ
হাস্যকর	สาระ
হাস্যকর	ตลก
হাস্যকর	เฮฮา
ওআইসি	oic
উপলদ্ধি	ตระหนัก
গয়না	อัญมณี
টিক	ติ๊ก
টিক	เช็ค
টিক	ตรวจ
কাইট্টা	เต่า
সিআইডি	cid
ইথিওপিয়ান	เอธิโอเปีย
ইউটিলিটি	อรรถประโยชน์
ইউটিলিটি	สาธารณูปโภค
পিএসভি	psv
চক্রাকারে	ขยะ
হ্যা	ใช่
ব্রাশ	แปรง
ক্র্যাক	ร่อง
ক্র্যাক	ร้าว
টার্ফ	ถิ่น
সাইকেলের	วัฏจักร
সাইকেলের	วงจร
সাইকেলের	รอบ
ফ্ল্যাট	แบน
ফ্ল্যাট	แฟลต
মব	มาเฟีย
জপ	ประคำ
প্রমোশন	โปรโมท
প্রমোশন	โปรโมชัน
আরিজোনা	แอริโซนา
জাহ	jah
খাঁচা	กรง
সংকটে	วิกฤตการณ์
সংকটে	วิกฤติ
সংকটে	วิกฤต
আলার	alaa
কেনাকাটা	ชอปปิ้ง
নিকৃষ্ট	ด้อย
সহসা	กวาด
আক্রমন	โจมตี
বিছানা	นอน
বিছানা	ที่นอน
বিছানা	เตียง
রিসিভার	ผู้รับ
সান্ত্বনা	ปลอบ
সান্ত্বনা	สบาย
সান্ত্বনা	สบายใจ
রত্না	รัตนา
অ্যালার্জি	ภูมิแพ้
ভোগের	บริโภค
মর্মাহত	ช็อก
মর্মাহত	ตกใจ
মেগাবাইট	เมกะไบต์
মেগাবাইট	เมกะไบต์
ক্লোনিং	โคลนนิ่ง
ফিটনেস	ฟิตเนส
ফিটনেস	สมรรถภาพ
বীরত্বপূর্ণ	พระเอก
বিলাপ	คร่ำครวญ
হোস	วรรณ
কাশিম	qasim
উইকিসংকলন	wikisource
মারামারি	สู้
মারামারি	ต่อสู้
মারামারি	สู้
দীর্ঘায়িত	ยืนยาว
ব্যালেন্স	สมดุล
মজাদার	สนุก
মজাদার	สนุกสนาน
মজাদার	อร่อย
মজাদার	อร่อย
মজাদার	ขัน
মজাদার	ตลก
মজাদার	ขำ
ডালিম	ทับทิม
মিক্স	ผสม
মিক্স	มิกซ์
বাটি	ชาม
বাটি	ชาม
চমক	เซอร์ไพรส์
কনা	โคน
বুলগেরিয়ান	บัลแกเรีย
বেড	นอน
বেড	ที่นอน
বেড	เตียง
ছফা	โซฟา
গ্রীনল্যান্ড	กรีนแลนด์
সেবাস্তিয়ান	sebastián
ভাড়ার	เช่า
ভাড়ার	เช่า
আখের	อ้อย
ল্যাং	แลง
গেয়েছিলেন	แซง
গেয়েছিলেন	ซัง
গেয়েছিলেন	ซาง
সংযত	สร่าง
ঘাম	เหงื่อ
র্যা	หวย
বুকিং	จอง
বুকিং	สังกัด
ছবিগুলি	ภาพถ่าย
ছবিগুলি	รูปภาพ
আইপ্যাড	ipad
সংগৃহিত	สะสม
কসমস	จักรวาล
সেভিয়া	sevilla
মাইনিং	เหมือง
ভর্তা	บด
চিনে	จำ
আইএমএফ	imf
ঈর্ষা	อิจฉา
ঈর্ষা	หึง
শিষ্টাচার	มารยาท
বোনাস	โบนัส
গাথা	ode
শঙ্কিত	กลัว
শঙ্কিত	กลัว
ম্যাড	โมโห
ম্যাড	mad
ম্যাড	โกรธ
পোশাকে	ชุด
ফের	fer
ফের	แฟร์
বার্বুডা	บาร์บูดา
নোঙ্গর	สมอ
নোঙ্গর	สม
পুশ	เบ่ง
পুশ	ผลัก
পুশ	ดัน
পুশ	เข็น
টুথব্রাশ	แปรงสีฟัน
আরামদায়ক	สะดวก
আরামদায়ক	สบาย
আরামদায়ক	สบายใจ
স্প্রিংস	สปริง
স্প্রিংস	น้ำพุ
উপশম	รักษา
অ্যারে	อาร์เรย์
ড্রেস	ชุด
ড্রেস	ชุด
জোলিও	joliot
জলার	บึง
সুবিধাসমূহ	ประโยชน์
সিম্ফোনিক	symphonic
কার্টুনের	การ์ตูน
মেস	เมส
মেস	เมซ
অঞ্জনা	anjana
ডিম্পল	บุ๋ม
মিসরীয়	อียิปต์
জেব্রা	ม้าลาย
লিগামেন্ট	เอ็น
গোসলের	อ่างอาบน้ำ
গোসলের	อาบ
লাগছে	รู้สึก
লাগছে	feeling
উদ্বেগের	วิตก
ভিন	vin
প্রশমন	mitigation
ইতালী	อิตาลี
ইতালী	อิตาลี่
গর্ভ	ครรภ์
গর্ভ	มดลูก
টোকাই	tokai
ধর্ষিত	ข่มขืน
ঢাকনা	ฝา
গোঁফ	หนวด
গোঁফ	หนวด
ক্রাই	krai
কুয়ান	กวน
ঈর্ষান্বিত	อิจฉา
ঈর্ষান্বিত	หึง
আনন্দদায়ক	เริงร่า
আনন্দদায়ক	รื่นเริง
ম্যাঙ্গানিজ	แมงกานีส
অনড়	มั่นคง
মদের	เหล้า
মদের	สุรา
কোমা	โคม่า
স্টিক	ไม้
বাইক	จักรยาน
গামছা	ผ้าเช็ดตัว
কাসা	casa
সিওল	โซล
শ্রদ্ধেয়	นับถือ
আর্গুমেন্ট	อาร์กิวเมนต์
নিঃসঙ্গ	เหงา
কেন্ডাল	kendall
অজগর	ไพธอน
নিবেন	น่อง
মেজিয়া	mejía
রসূল	messenger
রুড	รัดรูป
রুড	รัด
হীরার	diamond
হীরার	ไดมอนด์
হীরার	เพชร
গাধা	ก้น
গাধা	ตูด
গাধা	ลา
সুপারম্যান	superman
গোড়ালি	ส้น
মেগ	เมก
আরি	อารีย์
আরি	อารี
আরি	ary
জেনারেশন	รุ่น
জেনারেশন	ยุค
বেলি	ท้อง
বেলি	พุง
বেলি	สะดือ
সানী	sani
বিবিএস	bbs
সেরি	เสรี
তারিফ	ซาบซึ้ง
ভ্রাতৃত্ব	ภราดรภาพ
সুশি	ซูชิ
সংস্থাগুলি	องค์กร
সংস্থাগুলি	บริษัท
স্পঞ্জ	ฟองน้ำ
প্রাকদর্শন	ตัวอย่าง
ঝুকি	เสี่ยง
উচ্চস্বরে	ดัง
অক্টোপাস	ปลาหมึก
আর্তনাদ	กรี๊ด
উৎপাদনশীলতা	ประสิทธิภาพ
উৎপাদনশীলতা	ประสิทธิผล
উৎপাদনশীলতা	ผลผลิต
কাস্ট	เฝือก
কাস্ট	โยน
আইসিটি	ict
আমেরিকানরা	อเมริกัน
খড়ি	ชอล์ค
খড়ি	ชอล์ก
স্ফীতি	ตุง
এসওএস	sos
কফিন	โลง
ব্রণ	สิว
ব্রণ	สิว
নবজাতক	ทารก
রামা	พระราม
ন্যুনতম	minimal
ন্যুনতম	น้อย
বুর্জ	burj
কেএফসি	kfc
লেজেন্ড	ตำนาน
লেজেন্ড	legend
প্যাসকেল	pascal
পচা	เน่า
হেই	เฮ้
হেই	เฮ
মিউকাস	เมือก
বিচারিক	ตุลาการ
প্রচারাভিযান	แคมเปญ
প্রচারাভিযান	แคมเปญ
অখ্যাত	ฉาวโฉ่
একো	ก้อง
একো	echo
ধাঁধা	ปริศนา
ধাঁধা	ปริศนา
গতিশীলতা	dynamism
ল্যান	ลาน
উন্মত্ত	บ้า
উন্মত্ত	เพี้ยน
অবচেতন	จิตใต้สำนึก
কামনার	ปรารถนา
রসিকতা	มุข
রসিকতা	มุก
রসিকতা	ตลก
রসিকতা	อำ
আয	adh
জিএমটি	gmt
সম্প্রীতি	ปรองดอง
থলি	ถุง
সিটিজেন	พลเมือง
আব্দেল	abdel
সেলিব্রিটি	ดัง
লিঞ্চ	ลินซ์
লিঞ্চ	ลินช์
সিয়াম	สยาม
কাসলার	cussler
বিভ্রান্তিকর	คลุมเครือ
বিভ্রান্তিকর	สับสน
হাইলাইট	ไฮไลท์
হাইলাইট	ไฮไลต์
হাইলাইট	ไฮไลท์
হাইলাইট	เน้น
হাইলাইট	ไฮไลต์
ক্রোম	chrome
ক্রোম	โครม
স্কুইড	ปลาหมึก
জেস	เจส
লিখেছে	เขียน
অন্ধত্ব	ตาบอด
স্ম্যাকডাউন	smackdown
ভ্যাল	วาล
ভ্যাল	เวล
ভ্যাল	val
পিচ্ছিল	ลื่น
সিড়ি	บันได
আজব	แปลกๆ
আজব	แปลก
আজব	แปลกๆ
আজব	แปลก
ফোটো	ภาพถ่าย
ফোটো	รูปภาพ
মহিমান্বিত	รุ่งโรจน์
রাশিচক্র	ราศี
রাশিচক্র	จักรราศี
রেসিপি	สูตร
রেসিপি	สูตร
থং	ทอง
টাক	โล้น
আরাম	สบาย
আরাম	สบายใจ
আরাম	relax
উদ্ধারকারী	rescuers
কর্কট	มะเร็ง
বস্তিতে	สลัม
লাক	โชค
মিষ্ট	หวาน
ইন্টারপ্রেটার	ล่าม
সাইকো	จิต
সাইকো	โรคจิต
নবীদের	ศาสดา
ন্যানো	nano
আচরন	พฤติกรรม
লেবানিজ	เลบานอน
প্রলুব্ধ	ล่อ
আল্ট্রা	ultra
হফ	hof
চিকেন	เจี๊ยบ
চিকেন	ไก่
স্বাধীনতায়	เสรีภาพ
স্বাধীনতায়	อิสระ
স্বাধীনতায়	อิสรภาพ
চিরে	ปาด
বিয়োগান্তক	สลด
পীড়িত	เครียด
রিফ	ปะการัง
ভুয়া	แกล้ง
ভুয়া	ปลอม
প্যান্থার	เสือดำ
ভায়া	ผ่าน
গৃহহীন	จร
গৃহহীন	จรจัด
বাস্তববাদী	สมจริง
হৈ	หอย
বিনামূল্যের	ฟรี
বিনামূল্যের	อิสระ
বিনামূল্যের	ว่าง
বিনামূল্যের	เสรี
বিনামূল্যের	free
অস্বচ্ছ	ทึบ
শুক্রাশয়	อัณฑะ
