obliczu	αντιμετωπίζοντας
uszkodzony	ελαττωματικό
uszkodzony	ελαττωματικά
uszkodzony	ελαττωματική
administratorem	διαχειριστής
administratorem	διαχειριστή
administratorem	διαχειριστής
administratorem	διαχειριστή
kierunki	κατευθύνσεις
kompozycje	συνθέσεις
airways	airways
trofeum	τρόπαιο
mandatu	εντολή
legia	λεγεώνα
gabinet	ντουλάπι
zniszczenie	καταστροφή
libertadores	λιμπερταδόρες
umieścić	βάλτε
umieścić	βάλε
pfalz	pfalz
zabrze	zabrze
iran	ιράν
han	χαν
han	han
dekret	διάταγμα
pisanie	δακτυλογράφηση
pisanie	συγγραφή
pisanie	γραφή
pisanie	γράψιμο
olympic	ολυμπιακή
olympic	ολυμπιακός
olympic	ολυμπιακό
słownika	λεξικό
dochód	έσοδα
dochód	εισόδημα
dochód	έσοδα
dochód	εισοδήματα
dochód	εισοδήματος
winter	χειμώνα
winter	χειμώνας
winter	γουίντερ
poprawki	διορθώσεις
poprawki	τροποποιήσεις
poprawki	τροπολογίες
poprawki	αναθεωρήσεις
samolotem	αεροπλάνο
samolotem	αεροπλάνο
samolotem	αεροπλάνο
samolotem	αεροπλάνου
zhang	ζανγκ
anioł	άγγελος
anioł	αγγελος
anioł	έιντζελ
anioł	angel
seattle	σηάτλ
seattle	σιάτλ
nadawania	μετάδοση
zbędne	περιττή
zbędne	περιττή
zbędne	περιττό
zbędne	περιττά
zbędne	περιττή
zbędne	περιττό
przekracza	υπερβαίνει
dzieciństwie	παιδικά
santo	σάντο
bristol	μπρίστολ
centralna	κεντρικό
centralna	κεντρική
centralna	κεντρικός
centralna	central
mosty	γεφυρών
mosty	γέφυρες
traci	χάνει
działki	συνωμοσίες
działki	οικόπεδα
działki	δέματα
działki	αγροτεμαχίων
działki	οικόπεδο
działki	πλοκή
powstać	προκύπτουν
krajowym	εγχώρια
krajowym	εγχώριο
krajowym	εγχώριες
krajowym	οικιακή
nazwane	ονόματι
autorskie	copyright
parafie	ενορίες
gilbert	γκίλμπερτ
równanie	εξίσωση
równanie	εξισώσεις
davisa	davis
davisa	ντέηβις
davisa	ντέιβις
więzień	φυλακισμένη
więzień	φυλακισμένος
więzień	αιχμάλωτος
więzień	κρατούμενος
więzień	κρατούμενο
więzień	κρατούμενος
więzień	τρόφιμος
więzień	φυλακές
telefon	τηλέφωνο
telefon	τηλέφωνο
jasno	φωτεινά
jasno	φωτεινή
jasno	φωτεινό
jasno	φωτεινός
kuba	κούβα
utc	utc
felix	φέλιξ
felix	felix
felix	φήλιξ
aktualne	νυν
aktualne	τρέχουσα
aktualne	ρεύμα
aktualne	τρέχουσες
aktualne	τρέχον
franka	φρανκ
franka	frank
ujednoznacznienie	αποσαφήνιση
dachau	νταχάου
przemiany	μεταμόρφωση
dziwne	παράξενο
dziwne	περίεργα
dziwne	περίεργο
dziwne	παράξενος
dziwne	παράξενο
dziwne	περίεργο
dziwne	παράξενο
gerard	ζεράρ
gerard	τζεράρντ
zagraniczne	εξερχόμενο
zagraniczne	ξένος
zagraniczne	ξένο
zagraniczne	ξένη
zagraniczne	ξένα
wyrzutni	εκτοξευτή
turynie	τορίνο
recenzji	κριτικές
pastor	πάστορας
pastor	πάστορα
brzegi	άκρες
urban	urban
urban	αστικές
urban	αστική
urban	αστικός
urban	αστικό
fotograf	φωτογράφος
zaatakował	επιτέθηκε
turystyczna	τουριστικό
turystyczna	τουρίστα
turystyczna	τουρίστας
symboli	σύμβολα
podania	εφαρμογές
podania	αιτήσεις
zabił	σκότωσε
zabił	σκοτώθηκε
zabił	σκοτώθηκαν
rzeczywistość	πραγματικότητα
korporacji	εταιρίες
korporacji	εταιρείες
korporacji	corporation
ludzkości	ανθρωπιά
ludzkości	ανθρωπότητας
ludzkości	ανθρωπότητα
ludzkości	ανθρωπότητα
twierdza	οχυρό
twierdza	φρούριο
obserwacje	παρατηρήσεις
obserwacje	παρατήρηση
satelity	δορυφόροι
satelity	δορυφόρους
satelity	δορυφόρος
satelity	δορυφόρο
satelity	δορυφορική
szyi	λαιμό
szyi	σβέρκο
szyi	λαιμός
młodzi	νεαρός
młodzi	νέος
akademickich	ακαδημαϊκή
akademickich	ακαδημαϊκά
akademickich	ακαδημαϊκό
ligue	ligue
stalina	στάλιν
borys	μπόρις
uznana	αναγνωρισμένο
uznana	αναγνωρίζεται
uznana	αναγνωρίστηκε
uznana	αναγνωρισμένη
uznana	αναγνωρίζεται
uznana	αναγνωρισμένο
uznana	αναγνωρισμένος
uznana	αναγνωρισμένη
uznana	αναγνωρισμένα
tożsamość	ταυτότητα
machine	μηχανή
machine	μηχάνημα
składników	συστατικά
sławy	διασημότητες
sławy	διάσημοι
sławy	φήμη
sławy	δόξα
wykonawcy	καλλιτέχνες
wykonawcy	ανάδοχο
wykonawcy	ανάδοχος
wykonawcy	εργολάβος
wykonawcy	καλλιτέχνες
wykonawcy	εργολάβους
beta	βήτα
beta	beta
rodríguez	ροντρίγκεζ
rodríguez	rodríguez
zysk	κέρδος
zysk	κέρδη
zysk	κέρδος
zysk	κέρδη
ring	δακτύλιο
ring	ρινγκ
ring	δακτύλιος
ring	δαχτυλίδι
instruktor	εκπαιδευτής
instruktor	εκπαιδευτή
iata	iata
ludzkie	ανθρώπινα
ludzkie	ανθρώπινη
ludzkie	άνθρωπος
ludzkie	ανθρώπινο
ludzkie	ανθρωπίνων
ludzkie	ανθρώπινος
resztki	αποφάγια
resztki	αποφάγια
resztki	απομεινάρια
zagrożony	απειλείται
zagrożony	απείλησε
zagrożony	απειλούνται
martínez	martínez
dzieciństwa	παιδικά
portów	λιμένες
portów	θύρες
portów	λιμάνια
nicholas	νίκολας
mateusza	μάθιου
punk	αλήτη
punk	πανκ
punk	αλήτης
punk	punk
brać	πάρτε
brać	λήψη
brać	πάρε
specjalistów	ειδικοί
specjalistów	ειδικούς
specjalistów	επαγγελματίες
spencer	σπένσερ
spencer	spencer
wiatru	άνεμο
wiatru	αιολική
wiatru	άνεμος
ósmy	όγδοη
ósmy	όγδοο
syberii	σιβηρία
tarcza	ασπιδα
tarcza	ασπίδα
przedstawiciela	αντιπροσωπευτική
przedstawiciela	αντιπρόσωπος
przedstawiciela	αντιπροσωπευτικές
przedstawiciela	εκπρόσωπος
piwo	μπύρα
piwo	μπίρα
piwo	μπύρες
piwo	μπύρες
arystokrata	αριστοκράτης
kultur	πολιτισμοί
kultur	κουλτούρες
kultur	καλλιέργειες
kultur	πολιτισμούς
willi	willi
willi	βίλες
katastrof	καταστροφές
komenda	διοίκηση
komenda	εντολή
atlantic	atlantic
atlantic	ατλαντικού
atlantic	ατλάντικ
atlantic	ατλαντικός
atlantic	ατλαντικό
pokonać	νικήσει
pokonać	ξεπεράσει
pokonać	ήττα
age	ηλικίας
age	ηλικία
age	ηλικια
rysunek	φωτογραφια
rysunek	φωτογραφία
rysunek	εικόνα
rysunek	σκίτσο
rysunek	σκετς
rysunek	σχήμα
rysunek	ζωγραφιά
rysunek	κλήρωση
urzędnicy	αξιωματούχοι
urzędnicy	υπάλληλοι
panorama	panorama
panorama	πανοραμική
gitarze	κιθάρα
karne	ποινή
karne	πέναλτι
dole	πάτος
dole	βυθό
marsa	αρη
marsa	άρη
marsa	μαρς
marsa	αρης
marsa	άρης
podpis	λεζάντα
podpis	υπογραφή
znajomości	συνδέσεις
znajomości	διασυνδέσεις
nigerii	νιγηρίας
nigerii	νιγηρίας
nigerii	νιγηρία
potencjał	δυνατότητες
potencjał	δυναμικό
włoskie	ιταλικά
włoskie	ιταλική
włoskie	ιταλός
włoskie	ιταλικό
xbox	xbox
boeing	boeing
niespodziewanie	απροσδόκητα
niespodziewanie	απρόσμενα
niespodziewanie	αναπάντεχα
niespodziewanie	εκπληκτικά
niespodziewanie	παραδόξως
niespodziewanie	αναπάντεχα
wirginia	βιρτζίνια
dick	dick
dick	ντικ
konie	άλογα
konie	ίππος
konie	άλογο
agresji	επιθετικότητα
kiss	φιλί
kiss	kiss
rezerw	αποθέματα
rezerw	αποθεματικό
rezerw	αποθεματικά
kolejność	τάξη
kolejność	παραγγελία
kolejność	σειρά
kolejność	διαταγή
kolejność	αλληλουχία
kolejność	ακολουθία
imigrantów	μετανάστες
imigrantów	μετανάστης
pogrzeb	ταφή
pogrzeb	κηδεία
angelo	άντζελο
mostów	γεφυρών
mostów	γέφυρες
petra	πέτρα
bułgaria	βουλγαρία
bułgaria	βουλγαρίας
straße	straße
kopia	αντιγραφή
kopia	αντίγραφο
podróżnik	ταξιδιώτης
podróżnik	ταξιδιώτη
podróżnik	ταξιδιώτης
podróżnik	ταξιδιώτη
bogate	πλούσιος
bogate	ριτς
bogate	πλούσιοι
bogate	πλούσιο
bogate	πλούσια
odziedziczył	κληρονόμησε
odziedziczył	κληρονομική
delegacji	αντιπροσωπεία
delegacji	ανάθεση
delegacji	αντιπροσωπία
delegacji	αντιπροσωπείες
delegacji	αντιπροσωπειών
chelsea	τσέλσι
zwolennicy	υποστηρικτές
wątek	νήμα
wątek	κλωστή
nigdzie	πουθενα
nigdzie	πουθενά
ograniczone	limited
ograniczone	περιορισμένη
ograniczone	περιορισμένα
ograniczone	περιορισμένο
ograniczone	περιορισμένος
ograniczone	περιορισμένη
ograniczone	περιορισμένος
ograniczone	περιορισμένο
amerykanów	αμερικάνοι
amerykanów	αμερικανοί
dowolny	οποιαδήποτε
alfons	αλφόνσο
amerykanin	αμερικανική
amerykanin	αμερικάνικα
amerykanin	αμερικανός
amerykanin	αμερικάνος
amerykanin	αμερικάνικο
amerykanin	αμερικανοί
linux	linux
bordeaux	μπορντώ
bordeaux	μπορντό
teorie	θεωρία
teorie	θεωρεία
teorie	θεωρίες
hierarchii	ιεραρχία
hierarchii	ιεράρχηση
centralne	κεντρικό
centralne	κεντρική
centralne	κεντρικός
centralne	central
porsche	πόρσε
emilia	emilia
powiązane	σχετιζόμενη
powiązane	συνδεδεμένο
powiązane	συνδεδεμένη
powiązane	συνδεδεμένοι
powiązane	συνδέονται
powiązane	συνδεδεμένος
powiązane	συνδέθηκε
powiązane	συνδεδεμένο
powiązane	συνδεδεμένη
powiązane	συνδεδεμένα
powiązane	σχετική
powiązane	σχετικές
powiązane	σχετικό
katolicyzm	καθολικισμό
bolszewików	μπολσεβίκοι
milion	εκατομμύρια
krążowniki	καταδρομικά
etiopii	αιθιοπία
etiopii	αιθιοπίας
błędne	εσφαλμένη
doświadczeń	εμπειρίες
projektant	σχεδιάστρια
projektant	σχεδιαστής
projektant	σχεδιαστή
otwór	διάφραγμα
otwór	οπή
otwór	τρύπα
justyna	τζάστιν
justyna	justin
propagandy	προπαγάνδα
odpowiedzialność	ευθύνη
odpowiedzialność	παθητικό
odpowiedzialność	υποχρέωση
odpowiedzialność	αρμοδιότητες
odpowiedzialność	ευθύνες
odpowiedzialność	ευθύνη
odpowiedzialność	υπευθυνότητα
odpowiedzialność	λογοδοσία
police	αστυνομία
bundesligi	bundesliga
dysku	δίσκος
dysku	δίσκο
dysku	δισκέτα
hokej	χόκεϋ
hokej	χόκεϊ
liu	λιου
liu	λιού
liu	liu
odkryty	υπαίθρια
wyjaśnienia	επεξήγηση
wyjaśnienia	εξήγηση
wyjaśnienia	εξηγήσεις
wyjaśnienia	επεξηγήσεις
wyjaśnienia	αποσαφήνιση
wyjaśnienia	διευκρίνιση
ołeksandr	oleksandr
okrążenia	γύρους
okrążenia	γύροι
wyższy	ψηλότερο
wyższy	ψηλότερος
wyższy	ψηλότερη
wyższy	υψηλότερη
wyższy	υψηλότερο
wyższy	ψηλότερα
wyższy	υψηλότερα
hop	χοπ
hop	hop
współrzędnych	συντεταγμένες
marynarzy	ναυτικοί
marynarzy	ναύτες
marynarzy	ναυτικών
marynarzy	ναυτικούς
marynarzy	ναυτικοί
marynarzy	ναύτες
marynarzy	ναυτικών
marynarzy	ναυτικοί
marynarzy	ναυτικούς
marynarzy	ναυτικοί
avenue	avenue
avenue	λεωφόρος
avenue	λεωφόρο
gustav	γκούσταβ
mobile	mobile
mobile	κινητό
mobile	κινητή
mobile	κινητά
filadelfii	φιλαδέλφεια
filadelfii	φιλαδέλφεια
oddziaływania	επιπτώσεις
kadencja	όρος
kadencja	θητεία
poczta	αλληλογραφία
poczta	ταχυδρομείο
poczta	mail
poczta	post
poczta	δημοσίευση
poczta	ποστ
wenus	αφροδίτη
graf	γκραφ
zapraszam	καλωσόρισες
cosworth	cosworth
funduszu	ταμείο
felipe	φελίπε
wyemigrował	μετανάστευσε
wyemigrował	μετανάστευσαν
wyróżnić	επισημάνω
zurychu	ζυρίχη
pasażerski	επιβάτη
pasażerski	επιβάτης
pasażerski	επιβατών
cia	cia
cia	σια
cia	cia
cia	σια
pojedynczy	single
pojedynczy	ενιαία
sprinter	σπρίντερ
ból	άλγος
ból	πόνο
ból	πόνος
rgb	rgb
pierwotne	αρχέγονη
pierwotne	πρωτογενής
pierwotne	πρωτοβάθμια
pierwotne	πρωτογενούς
pierwotne	πρωτεύον
działało	δούλεψε
działało	εργάστηκε
działało	δούλευε
grobu	τάφος
grobu	τάφο
martín	μαρτίν
więzienie	φυλακή
więzienie	φυλακή
więzienie	φυλακές
kupił	αγόρασε
kupił	αγοράστηκαν
kupił	αγοράστηκε
wycofany	αποσύρθηκε
wycofany	αποσύρεται
wycofany	αποσυρθεί
justin	τζάστιν
justin	justin
beck	μπεκ
true	αληθές
true	αληθεια
true	αληθινή
true	αλήθεια
ginie	τζίνα
collegium	collegium
indianapolis	ινδιανάπολη
kadetów	δόκιμοι
sprawdzone	ελέγχθηκε
sprawdzone	έλεγξα
sprawdzone	επαληθεύεται
sprawdzone	επαλήθευση
sprawdzone	επαλήθευσε
rzymskie	ρωμαϊκό
rzymskie	ρωμαϊκή
rzymskie	ρωμαίος
rzymskie	ρόμαν
godło	έμβλημα
hampshire	χάμσαϊρ
motywy	θεματα
motywy	θέματα
motywy	ρεσιτάλ
motywy	κίνητρα
tras	δρομολόγια
tras	διαδρομές
rakieta	ρουκέτα
rakieta	πύραυλος
rakieta	πύραυλο
rakieta	πυραύλων
rakieta	πύραυλος
hart	χαρτ
khan	χαν
khan	καν
khan	khan
wymieniona	αναφερόμενο
podanie	αίτηση
podanie	εφαρμογή
podanie	πέρασμα
podanie	πάσα
podanie	περάσει
podanie	πάσο
luca	λούκα
akademickie	ακαδημαϊκή
akademickie	ακαδημαϊκά
akademickie	ακαδημαϊκό
szt	τεμ
dialogi	διαλόγους
aparatu	φωτογραφική
aparatu	κάμερα
przyszedł	ήρθε
przywilej	προνόμιο
przywilej	προνόμια
sri	σρι
lekki	φως
lekki	light
lekki	ελαφρύ
lekki	ελαφριά
lekki	φώς
lekki	ελαφρών
lekki	ελαφρύς
lekki	ελαφρύ
lekki	ελαφριά
karaibów	καραϊβικής
karaibów	καραϊβική
konserwatorium	ωδείο
łatwiej	ευκολότερο
łatwiej	ευκολότερη
basen	πισίνα
roll	roll
roll	ρολό
uchodźców	πρόσφυγας
uchodźców	πρόσφυγα
uchodźców	πρόσφυγες
owoc	καρποί
owoc	καρπός
owoc	φρούτο
owoc	φρούτα
empire	αυτοκρατορία
empire	empire
empire	εμπάιρ
pióra	πένες
pióra	στυλό
pióra	πούπουλα
pióra	φτερά
ski	σκι
okręgów	συνοικίες
regularne	τακτικά
regularne	τακτική
regularne	κανονική
regularne	κανονικός
regularne	κανονικό
break	διάλειμμα
break	σπάσε
break	διακοπή
break	σπάσιμο
druku	εκτύπωση
druku	εκτυπώσεις
zasoby	πόρο
zasoby	πόρος
zasoby	πόρων
zasoby	πόροι
zasoby	απόθεμα
zasoby	στοκ
ran	πληγή
ran	τραύμα
ran	πληγές
ran	τραύματα
objętości	όγκος
objętości	όγκο
objętości	τόμος
objętości	όγκοι
czystości	καθαρότητας
czystości	καθαρότητα
czystości	αγνότητα
oskar	όσκαρ
oskar	oscar
oskar	οσκαρ
oskar	όσκαρ
oskar	οσκαρ
szczęścia	τύχη
szczęścia	ευτυχία
modlitwa	προσεύχεται
modlitwa	προσευχές
modlitwa	προσευχή
marine	πεζοναύτης
marine	θαλάσσια
marine	μαρίν
marine	πεζοναύτη
rasa	ράτσα
rasa	κούρσα
rasa	φυλή
rasa	αγώνα
rasa	race
rasa	αγώνας
tymczasowy	προσωρινά
tymczasowy	προσωρινό
tymczasowy	προσωρινή
tymczasowy	προσωρινός
tymczasowy	προσωρινές
tymczasowy	προσωρινός
tymczasowy	ενδιάμεσες
tymczasowy	ενδιάμεση
tymczasowy	προσωρινά
tymczasowy	προσωρινό
tymczasowy	προσωρινή
tymczasowy	προσωρινός
tymczasowy	προσωρινού
satelita	δορυφόρος
satelita	δορυφόρο
satelita	δορυφορική
przykładów	παραδείγματα
era	εποχή
era	εποχή
lang	λανγκ
królowie	βασιλιάδες
królowie	βασιλείς
królowie	βασιλέων
królowie	κινγκς
pascal	πασκάλ
szóste	έκτη
szóste	έκτος
szóste	έκτο
pomógł	βοήθησα
pomógł	βοήθησε
gridcolor	gridcolor
teatrów	θέατρα
teatrów	θέατρα
dyskografia	δισκογραφία
koń	ίππος
koń	άλογο
pacjenta	ασθενής
pacjenta	ασθενή
potrzebna	αναγκη
potrzebna	ανάγκη
potrzebna	απαραίτητος
potrzebna	χρειαζόταν
proponuje	προτείνει
uderzenie	αντίκτυπος
uderzenie	επίπτωση
uderzenie	σύγκρουση
uderzenie	πρόσκρουση
uderzenie	επιπτώσεις
uderzenie	χτύπησε
uderzenie	χτύπημα
uderzenie	χτύπα
popełnił	δεσμεύτηκε
popełnił	διαπράξει
piaski	σαντς
piaski	άμμος
annie	άνι
annie	άννυ
annie	annie
secret	μυστικός
secret	μυστικό
secret	μυστική
zmniejsza	μειώνει
zmniejsza	μειώσεις
zmniejsza	μειώνεται
polecenia	εντολές
polecenia	διοίκηση
polecenia	εντολή
fortu	οχυρό
fortu	φορτ
fortu	fort
fortu	φρούριο
aleksandrii	αλεξάνδρεια
praktyka	πρακτική
praktyka	ιατρείο
praktyka	εξάσκηση
praktyka	προπόνηση
sainte	sainte
środowisk	περιβάλλοντα
ska	σκα
zaangażowany	δεσμεύτηκε
zaangażowany	διαπράξει
zakończony	τερματιστεί
zakończony	τερματίστηκε
pomiarów	μετρήσεις
renesansu	αναγέννηση
częste	κοινές
częste	κοινή
częste	κοινός
częste	συχνές
jelita	έγκατα
jelita	έντερο
jelita	σπλάχνα
jelita	έντερα
jelita	έντερο
jelita	εντέρου
jelita	έντερο
jelita	εντερική
jelita	έντερο
jelita	έντερα
zdrowie	υγεία
cbs	κτ
cbs	cbs
partnerem	συνεργάτης
partnerem	σύντροφος
partnerem	συνεργάτη
partnerem	εταίρος
partnerem	συνέταιρος
przedstawiono	παρουσιάστηκαν
przedstawiono	παρουσίασε
przedstawiono	παρουσιάζεται
przedstawiono	παρουσιάστηκε
square	τετράγωνο
square	πλατεία
odrębne	χωριστή
odrębne	ξεχωριστά
odrębne	χωριστά
czaszki	κρανία
czaszki	κρανίο
fischer	fischer
fischer	φίσερ
białek	πρωτεΐνες
publiczny	δημόσιες
publiczny	δημόσια
publiczny	δημόσιος
mail	αλληλογραφία
mail	ταχυδρομείο
mail	mail
nieznacznie	ελαφρά
nieznacznie	ελαφρώς
tronie	θρόνος
tronie	θρόνο
kogo	ποιος
heaven	παράδεισος
heaven	παράδεισο
cen	cen
rozkładu	αποσύνθεση
piła	ποτό
piła	πίνω
piła	πίνουμε
piła	πίνοντας
piła	ήπια
piła	ήπιε
piła	είδα
piła	είδε
piła	πριόνι
śniegu	χιόνι
śniegu	σνόου
damian	ντέμιαν
istoty	όντα
istoty	πλάσματα
ołtarzu	βωμό
policjant	μπάτσος
policjant	αστυνομικός
policjant	αστυνομικό
policjant	αστυνομικός
toledo	τολέδο
cannes	κάννες
informacyjny	ενημερωτικό
informacyjny	ενημερωτικά
geschichte	geschichte
gospodarstwo	αγρόκτημα
gospodarstwo	farm
gospodarstwo	φάρμα
gospodarstwo	εκμετάλλευση
gospodarstwo	κρατώντας
gospodarstwo	holding
czwartego	τέταρτος
czwartego	τέταρτο
czwartego	τέταρτη
wiosce	χωριο
wiosce	χωριό
teologiczne	θεολογική
ograniczona	limited
ograniczona	περιορισμένη
ograniczona	περιορισμένα
ograniczona	περιορισμένο
ograniczona	περιορισμένος
ograniczona	περιορισμένη
ograniczona	περιορισμένος
ograniczona	περιορισμένο
kontynuować	συνέχιση
kontynuować	συνεχίστε
kontynuować	συνέχεια
kontynuować	συνέχισε
kontynuować	προχωρήστε
dem	dem
