relevant	relevantní
swembad	bazén
ritme	beat
ritme	porazit
kas	case
kas	případě
kas	pouzdro
kas	případ
kas	cache
uss	uss
gewas	cysta
aria	aria
orléans	orléans
deelnemer	účastník
paneel	panelu
paneel	panel
formate	formáty
griep	chřipka
griep	chřipku
marmer	mramor
marmer	kulička
marmer	mramoru
alkoholiese	alkoholička
alkoholiese	alkoholik
andrews	andrews
bejaardes	starší
viëtnamese	vietnamské
beethoven	beethoven
komende	nadcházející
subordo	subordo
dapperheid	statečnost
bord	prkno
bord	palubě
bord	tabule
lombard	lombard
hol	duté
hol	hollow
haute	haute
bai	bai
versterkte	posílena
aurora	aurora
michelangelo	michelangelo
titus	titus
plig	clo
plig	povinnost
plig	povinnosti
filippynse	filipínské
filippynse	filipínský
lettergreep	slabiku
iberiese	iberský
hiërargie	hierarchii
hiërargie	hierarchie
unix	unix
lowry	lowry
burg	burg
patriot	patriot
patriot	vlastenec
dyk	dyk
eksentrisiteit	excentricita
haïti	haiti
wedersydse	vzájemné
wedersydse	vzájemná
wedersydse	vzájemný
calais	calais
mehmet	mehmed
sol	sol
connecticut	connecticutu
dick	dick
dick	kokot
batavia	batavia
shepherd	shepherd
shepherd	pastýř
afrodite	afrodita
aap	opičák
aap	opice
aap	opička
beswyk	hroutí
pleistoseen	pleistocénu
motivering	motivace
motivering	motivaci
guillaume	guillaume
simfonie	symfonie
sinagoge	synagogy
blanc	blanc
proteïen	protein
proteïen	proteiny
proteïen	bílkoviny
proteïen	bílkovin
tenk	tanku
tenk	tank
tenk	nádrž
stoel	židle
stoel	židli
stoel	křeslo
digbundel	antologie
reguleer	praktiky
reguleer	tréninky
reguleer	praxe
sophie	sophie
sophie	sophii
miguel	miguel
oorweging	úvahu
oorweging	zvážení
oorweging	úvaha
edik	edikt
edik	výnos
galaktiese	galaktické
centauri	centauri
jefferson	jefferson
vertonings	displeje
vertonings	ukazuje
vertonings	zobrazí
vertonings	pořady
dickinson	dickinson
verde	verde
lening	půjčku
lening	půjčky
lening	půjčka
lening	úvěr
spesifikasies	specifikace
blik	bin
opgehou	zastavil
opgehou	přestalo
opgehou	zastaveno
opgehou	přestal
tegnies	technicky
gaia	gaia
diaspora	diaspory
pont	pont
desimale	desetinné
konferensies	konference
sony	sony
sony	playstation
rogers	rogers
geweer	pušku
geweer	puška
verdrae	smlouvy
gottfried	gottfried
turyn	turín
inkwisisie	inkvizice
diktator	diktátora
diktator	diktátor
ussr	sssr
arriveer	přijíždí
arriveer	dorazí
kritieke	kritický
kritieke	kritická
kritieke	kritické
jeremy	jeremy
jeremy	jeremyho
kleindogter	vnučku
kleindogter	vnučka
herald	herald
bobby	bobbyho
bobby	bobby
naturelle	naturelle
gamma	gamma
gamma	gama
verhuur	pronájem
aankondiging	vyhlášení
aankondiging	oznámení
aankondiging	ohlášení
beoordeel	sazba
beoordeel	míra
bruno	bruno
blair	blair
hef	poplatek
hef	obvinění
hef	nálož
hef	nabít
regters	rozhodčí
regters	porotci
regters	soudců
regters	soudci
diskriminasie	diskriminace
diskriminasie	diskriminaci
verpligtinge	závazky
verpligtinge	povinnosti
plymouth	plymouth
kia	kia
padda	žába
genereer	generovat
reagan	reagan
volwassene	dospělých
volwassene	dospělé
volwassene	dospělá
volwassene	dospělí
volwassene	dospělý
kleredrag	oděv
kleredrag	oděvy
kleredrag	oblečení
austin	austin
asem	nádech
asem	dech
eskader	letka
eskader	letky
thom	thom
allah	alláh
sánchez	sánchez
heritage	dědictví
rustige	mírové
rustige	klidné
flieks	filmy
flieks	kina
maraton	maraton
verfyn	upřesnit
dance	dance
dance	taneční
dance	tanec
sterte	naklonit
sterte	orel
sterte	ocasy
riefenstahl	riefenstahlová
never	nikdy
hoed	klobouček
hoed	čepice
hoed	klobouk
onderhandelings	vyjednávání
onderhandelings	jednání
implementering	implementace
implementering	provedení
implementering	provádění
implementering	realizace
hamer	hammer
hamer	kladivo
versoening	usmíření
versoening	sladění
versoening	smíření
spook	ghost
spook	přízrak
spook	duch
spook	duchu
spook	strašidlo
mabel	mabel
oklahoma	oklahoma
wilhelmina	wilhelmina
yellow	žlutý
yellow	žluté
yellow	žlutá
charadrius	charadrius
amazon	amazon
ren	rene
ren	ren
intelligente	inteligentní
clarke	clarke
hel	hel
loire	loire
honduras	hondurasu
beale	beale
drake	drake
lus	smyčka
lus	smyčky
gedrink	pít
gedrink	pití
hera	héra
vervat	obsahovala
vervat	obsahovaly
vervat	obsažené
vervat	obsažený
verkieslik	nejlépe
verkieslik	přednostně
verkieslik	ideálně
guardian	opatrovník
guardian	strážný
guardian	strážce
lessing	lessing
deurlopende	pokračoval
deurlopende	pokračovalo
deurlopende	pokračovala
deurlopende	pokračování
pollock	pollock
albrecht	albrecht
antiogië	antiochie
aanhouding	ponechání
aanhouding	uchovávání
elbe	labem
elbe	labe
bomme	bomby
ambisieuse	ambiciózní
hillary	hillary
kolomme	sloupce
kolomme	sloupy
erich	erich
maine	maine
joernalistiek	žurnalistiky
argiewe	archivy
argiewe	archiv
argiewe	archivu
gebind	svázané
gebind	vázané
stadions	stadiony
innsbruck	innsbruck
maagdenburg	magdeburg
indirek	nepřímo
beslissing	vládnutí
beslissing	vládnoucí
beck	beck
miranda	miranda
koors	horečka
koors	horečky
koors	horečku
agtien	osmnáct
illustreer	dokládá
atlanta	atlantě
atlanta	atlanty
indeling	uspořádání
indeling	ujednání
genees	vyléčení
genees	vyléčit
genees	lék
mod	mod
uitbreidings	prodloužení
uitbreidings	rozšíření
uitbreidings	popis
lille	lille
rudi	rudi
sean	sean
sean	seana
afhanklikheid	závislosti
afhanklikheid	závislost
potter	potter
bantoe	bantu
botter	másla
botter	máslo
kosbare	cenný
kosbare	cenná
kosbare	cenné
kosbare	hodnotné
theodorus	theodore
balk	baru
balk	bar
krimp	zmenšit
bespeur	zjištěno
bespeur	zjištěn
bespeur	zjištěné
bespeur	zjištěna
kilometers	kilometrů
kilometers	kilometry
arles	arles
muise	myší
muise	myši
bauhaus	bauhaus
temple	svatyně
temple	temple
temple	chrám
duik	potápění
duik	potápět
duik	ponořit
auguste	auguste
tamil	tamilští
roussillon	roussillon
verpligtend	povinně
verpligtend	povinné
verpligtend	povinná
verpligtend	povinný
sacs	váčky
hester	hester
korporatiewe	firemní
korporatiewe	korporátní
aboe	abú
aboe	abu
eurasië	eurasie
stilte	mlčení
stilte	ticho
netto	čisté
netto	síť
netto	net
burundi	burundi
antille	antily
gotha	gotha
toere	výlety
toere	prohlídky
hop	hop
hop	odrazit
brunswyk	braunschweig
bars	praskla
yuan	yuan
kabeljou	tresky
kabeljou	treska
dietrich	dietrich
falkland	falklandských
veelsydige	univerzální
beers	piva
beers	pivo
beers	piv
spieël	zrcátko
spieël	zrcadla
spieël	zrcadlo
cézanne	cézanne
karnaval	karneval
eagle	orel
eagle	eagle
eagle	orlí
eagle	orla
tegnologieë	technologie
rue	rusínština
perseus	perseus
charon	charon
verbeterings	zlepšení
verbeterings	zdokonalení
verbeterings	vylepšení
vandalisme	vandalismus
freud	freud
nineve	ninive
abell	abell
besmet	nakažený
besmet	infikované
besmet	nakažení
besmet	nakažených
besmet	infikovaných
zeeland	zeeland
bevoegdhede	powers
bevoegdhede	pravomoci
claremont	claremont
binêre	binární
advertensie	inzerát
advertensie	reklama
hitchcock	hitchcock
vandale	vandalové
diagnose	diagnózy
diagnose	diagnózu
diagnose	diagnostika
diagnose	diagnóza
omsingel	obklopují
vennote	parťáci
vennote	partnery
vennote	partneři
ervare	odborník
ervare	odborná
ervare	znalec
ervare	expert
australis	australis
bewustheid	informovanost
bewustheid	uvědomění
bewustheid	povědomí
simpatie	soustrast
katalaanse	katalánský
verdrink	utopit
doodmaak	zabít
doodmaak	zabij
valse	padělek
valse	falešné
valse	falešný
valse	fake
anthus	anthus
debatte	debaty
debatte	rozpravy
chemikalieë	chemikálie
uitreiking	vydávající
uitreiking	vydávání
dahmer	dahmer
puin	trosky
bulgare	bulharů
antwoorde	odpovědi
antwoorde	reakce
antwoorde	odezvy
antwoorde	odpovědi
antwoorde	odpovědi
antwoorde	odpovědí
ontslag	vypouštění
ontslag	absolutorium
lewensduur	celoživotní
lewensduur	dlouhodobý
lewensduur	životnost
lewensduur	doživotní
flatley	flatley
vierkant	náměstí
vierkant	čtverec
dundee	dundee
adresse	adres
adresse	adresy
jamaika	jamajky
indiana	indiana
redding	záchrana
redding	záchranu
skaap	ovečky
skaap	ovčí
skaap	ovce
sewentien	seventeen
sewentien	sedmnáct
beraamde	odhad
beraamde	odhadované
beraamde	odhadovaná
tent	stan
tent	stanu
panthera	panthera
verstaanbaar	pochopitelné
omar	umar
promoveer	propagovat
haat	nesnáším
haat	nenávist
haat	nenávidím
korporasie	korporace
korporasie	corporation
korporasie	plc
tiberius	tiberius
hannes	hannes
beheerde	spravované
beheerde	řízené
beheerde	podařilo
wikitext	wikitext
caroline	caroline
caroline	karolína
mal	blázen
mal	šílený
mal	šílená
mal	bláznivý
demokrate	demokratů
demokrate	demokraty
demokrate	demokraté
pale	bledě
pale	bledá
pale	bledý
ongepubliseerde	nezveřejněné
ongepubliseerde	nepublikované
mededingende	soutěžní
mededingende	konkurenční
irving	irving
afleiding	návnada
afleiding	návnadu
leone	leone
aflaai	stahování
aflaai	stáhnout
aflaai	stažení
ingevoerde	zadali
ingevoerde	zadané
ingevoerde	vstoupil
ingevoerde	vstoupila
ingevoerde	dovezené
ingevoerde	dovážené
slade	slade
dakota	dakota
animasie	animace
animasie	definice
animasie	vymezení
pionier	pioneer
sve	procesor
sve	cpu
boulevard	bulvár
boulevard	boulevard
boulevard	bulváru
bach	bach
lisa	lisa
lisa	lisu
lisa	líza
lisa	lisy
marine	námořní
marine	mariňák
marine	marine
marine	mořských
marine	mořská
norfolk	norfolku
santo	santo
cardiff	cardiffu
omgekeer	obrátil
omgekeer	opačně
omgekeer	reverzní
omgekeer	obrátit
omgekeer	zvrátit
omgekeer	zpětný
onwaarskynlik	nepravděpodobné
denver	denveru
philipp	philipp
webjoernaal	blog
webjoernaal	blogu
nasaret	nazaretu
stralsund	stralsund
bel	volejte
bel	volání
bel	zavolat
bel	volat
bel	vytočit
resepte	recepty
resepte	receptů
loubser	kreditů
loubser	kredity
loubser	úvěry
klaas	klaas
bristol	bristol
greenwich	greenwich
abc	abc
ondermyn	tlačí
voortgesette	probíhá
voortgesette	pokračující
voortgesette	probíhající
baha	bahá
baha	baha
skenking	darování
skenking	dárcovství
skenking	příspěvek
skenking	dar
birmaanse	barmské
boheme	bohemia
boheme	čechy
boheme	čech
verklein	zmenšit
verklein	minimalizaci
verklein	minimalizovat
verklein	minimalizace
presbiteriaanse	presbyteriánské
christina	kristýna
christina	christina
holy	svatý
holy	svaté
holy	svatá
internationale	internationale
kitchener	kitchener
romagna	romagna
helikopter	vrtulníku
helikopter	helikoptéra
helikopter	helikoptéru
helikopter	vrtulník
swapo	swapo
geprys	chválit
doek	plátno
resep	recept
teikens	cíle
bekommerd	obavy
bankrot	zlomený
bankrot	zlomil
joel	joel
kentucky	kentucky
musical	muzikál
musical	hudební
pittsburgh	pittsburghu
harrison	harrisona
harrison	harrison
pakket	balík
pakket	balíček
pakket	balení
pakket	zabalit
pakket	smečka
pakket	sbalit
voetbal	fotbal
versteur	narušený
kemp	kemp
pinyin	pinyin
plaza	plaza
gregory	gregory
panorama	panorama
vita	vita
jerewan	jerevan
kollega	spolupracovník
kollega	kolega
kollega	kolegyně
berry	bobule
berry	berry
palermo	palermu
ammoniak	amoniaku
levant	levant
werker	pracovnice
werker	dělník
werker	pracovník
werker	pracovníka
gespikkelde	coral
nagorno	náhorní
guevara	guevara
identiese	totožné
identiese	shodné
identiese	identické
carol	carol
speletjies	hraní
speletjies	herní
speletjies	hry
speletjies	hrách
eksperiment	experiment
eksperiment	pokus
eksperiment	experimentovat
medikasie	léky
geïgnoreer	ignoroval
geïgnoreer	ignorovali
geesteswetenskappe	humanitních
gister	včera
gister	včerejší
shaun	shaun
liechtenstein	lichtenštejnsko
tristan	tristan
telekommunikasie	telekomunikace
telekommunikasie	telekomunikace
nagte	noci
nagte	večery
nagte	nocí
nêrens	nikam
nêrens	nikde
genesis	genesis
theodore	theodore
numeriese	číselné
numeriese	číselný
numeriese	číselné
bahrein	bahrajnu
wonde	zranění
wonde	rána
brett	brett
nikolai	niko
laval	laval
aantekeninge	poznámka
eddie	eddie
eddie	eddieho
hunne	hunové
serie	sériový
serie	sériová
serie	sériové
nsu	nsu
bom	bomba
krappe	krabi
krappe	kraby
stoot	zatlačit
stoot	tlačit
uitstekend	vynikající
estádio	estádio
bundy	bundy
dortmund	dortmund
silvester	sylvester
neutrino	neutrin
habsburg	habsburské
balle	míče
balle	míčky
balle	koule
jon	jon
ioniese	jónské
geteister	obtěžoval
vleuels	křídla
etanol	ethanolu
rostof	rostov
che	che
kansas	kansas
kansas	kansasu
herhaling	opakování
#efefef	#efefef
simbolies	symbolické
kanariese	kanárských
norme	normy
norme	norem
pearl	pearl
pearl	perlu
pearl	perla
vuurpyl	raketa
montevideo	montevideo
loof	chvála
loof	chválím
bydraer	přispěvatelem
malaria	malárie
malaria	malárii
reisiger	cestovatel
afmetings	geometrie
ikone	ikony
macmillan	macmillan
bakoe	baku
olimpiade	olympiáda
justice	justice
justice	spravedlnost
justice	spravedlnosti
mexico	mexika
mexico	mexiku
mexico	mexiko
vashou	omezit
kwartaal	čtvrtletí
kwartaal	čtvrtina
hervorm	reformu
hervorm	reformovat
hervorm	reforma
hervorm	reformy
seymour	seymour
samestellings	skladby
samestellings	kompozice
samestellings	sloučenin
samestellings	sloučeniny
aanhalings	citáty
aanhalings	citace
aanhalings	citace
duet	duet
duet	dvojka
duet	duo
ipairs	ipairs
skakelaar	přepínač
skakelaar	přepnout
speletjie	hru
speletjie	zápas
speletjie	hra
speletjie	hráč
speletjie	gamer
branders	nárůst
blind	slepý
blind	slepé
blind	slepá
koppelvlak	rozhraní
koppelvlak	zachytit
artistieke	umělecké
artistieke	umělecká
artistieke	umělecký
multinasionale	nadnárodní
ham	šunka
ham	ham
ham	šunku
benadeel	znevýhodněných
benadeel	znevýhodněné
benadeel	kompromis
benadeel	kompromisy
ossetië	osetie
henk	henk
minnesota	minnesotě
clovis	clovis
watervalle	vodopády
kla	stěžovat
mausoleum	mauzoleum
swaarste	nejtěžší
sprekende	mluvení
lotus	lotus
village	village
village	vesnice
gardner	gardner
pat	pat
bissau	bissau
mainz	mainz
honolulu	honolulu
elektronika	elektronika
elektronika	elektroniky
elsie	elsie
moeders	matek
moeders	matky
merke	marek
merke	marks
merke	značky
ingewikkeld	složité
ingewikkeld	komplikovaný
ingewikkeld	komplikovaná
ingewikkeld	složitý
ingewikkeld	komplikované
terugvoer	názor
terugvoer	odezva
versmelt	sloučení
versmelt	sloučit
hoofde	hlav
hoofde	hlavy
stres	stres
stres	stresu
bermuda	bermudy
inmenging	rušení
inmenging	zasahování
inmenging	vměšování
inmenging	vměšování
orkaan	hurikán
qing	qing
woede	hněv
woede	zloba
woede	vztek
woede	zlost
woede	zuřivost
woede	hněv
woede	vztek
woede	zlost
utah	utahu
ledemate	končetiny
ledemate	končetin
registrasie	registrace
registrasie	zápis
registrasie	registraci
skop	kopání
skop	kopat
skop	kop
skop	výkop
skop	kopnout
hello	ahoj
ongewenste	nežádoucí
ongewenste	nechtěné
chi	chi
kontant	hotovosti
kontant	hotovost
kontant	cash
kontant	hotově
worldcat	worldcat
kassier	pokladník
kassier	pokladna
kassier	pokladní
vlermuis	bat
vlermuis	pálka
vlermuis	netopýr
ron	ron
morrison	morrison
dias	dias
alexandria	alexandrii
harper	harper
koburg	coburg
avontuur	dobrodružství
rebel	rebel
gespaar	ušetřil
voorouer	předek
niels	niels
sussex	sussexu
firefox	firefox
mozilla	mozilla
bekyk	univerzální
bekyk	zobrazení
bekyk	zobrazit
bekyk	výhled
bekyk	pohled
cite	citovat
bevoordeel	přínos
bevoordeel	prospěch
uitsaai	vysílání
uitsaai	vysílat
uitsaai	vysílání
hokkie	hokej
vegter	bojovnice
vegter	bojovníka
vegter	válečník
vegter	bojovník
maggie	maggie
metropolitan	metropolitní
verdamping	odpařování
verdun	verdunu
geleidingsvermoë	vodivost
homoseksuele	teplá
homoseksuele	gayové
homoseksuele	gay
homoseksuele	teplý
vrywillig	dobrovolně
vrywillig	dobrovolné
vrywillig	dobrovolná
vrywillig	dobrovolně
vrywillig	dobrovolný
handleiding	návod
handleiding	manuál
handleiding	příručka
handleiding	ruční
handleiding	manuální
quo	quo
nancy	nancy
eenvoudiger	jednodušší
reus	obr
reus	obří
dinosauria	dinosauria
kinetiese	kinetické
sosiologie	sociologie
martelaar	mučedník
egeïese	egejské
alberta	alberta
alberta	alberto
shire	kraje
shire	kraj
geometriese	védské
geometriese	geometrické
christo	christo
silesië	slezsko
gletser	ledovec
gletser	ledovce
émile	émile
